GEN.1.1	Diyà te keteboan te kedita, mig-inang se Timanem te langit aw keneyonan. 
GEN.1.22	Mèpiya se imbegay te Timanem diyà te kedita niyan, aw migpunù sikandin diyà te kedita eg-ogpà doton te wayeg aw dagat, “Pegbatà kaw, aw pegkedita kaw amon melegeb se dagat kenyo.” Migpunù heman sikandin diyà te menge manok, “Pegkedita kaw doton te tanà.” 
GEN.1.23	Migkemeapon aw migkeiselem, aw yan nepenga se ikelima te aldaw.
GEN.1.24	Minikagi se Timanem, “Megkedoen medita kinemoloan eg-ogpà doton te tanà, menge ayam-ayam aw menenanap te kebenesan dakel aw deitek.” Neinang iyan. 
GEN.1.25	Ininang te Timanem se kedita niyan, aw kinità din te mèpiya iyan.
GEN.1.26	Penga niyan, minikagi se Timanem, “Meg-inang kidon den te otaw iling kenitadon. Inangen tadon dan melangkaw diyà te kedita te ininang tadon, menge ikan, manok, ayam-ayam, aw menenanap dakel aw deitek.”
GEN.1.27	Yan ininang te Timanem se otaw iling kandin. Ininang se otaw iling te Timanem. Ininang dan meama aw bayi.
GEN.1.28	Mèpiya se imbegay te Timanem diyà kandan, aw migpunù sikandin, “Pegbatà kaw te medita amon doen bowad-bowad niyo meg-ogpà diyà te kebelad te tanà aw mengibing kenyan. Sikiyo se mengolo diyà te menge ikan, manok, aw kedita te ayam-ayam aw menenanap eg-ogpà dini lanto te tanà.”
GEN.1.29	Minikagi heman se Timanem, “Ibegay ko diyà kenyo se kedita te tinemunun doen benì dini te tanà aw kedita te kayo doen pongo amon doen kànen niyo. 
GEN.1.30	Ibegay ko heman se kedita te mèpiya tinemunun diyà te menge ayam-ayam, manok, aw menenanap, amon doen kànen te kedita eg-ogpà dini lanto te tanà.” Neinang iyan.
GEN.1.31	Timengteng se Timanem diyà te kedita te ininang din, aw ontò iyan mèpiya. Migkemeapon aw migkeiselem, aw yan nepenga se ikeenem te aldaw.
GEN.2.1	Yan nepenga se peg-inang te Timanem te kedakel te langit, aw keneyonan, aw awop niyan.
GEN.2.2	Pegdateng te ikepito te aldaw, nepenga den se kedita te ininang te Timanem, aw yan mig-ogpà sikandin te ikepito te aldaw. 
GEN.2.3	Ininang din melangkaw aw egpenimeneman se ikepito te aldaw. Yan se aldaw te peg-ogpà din, so nepenga den se peg-inang din. 
GEN.2.4	Yan se indan tepad te peg-inang te langit aw keneyonan.
GEN.2.4	Peg-inang te Timanem te keneyonan aw langit, 
GEN.2.5	wedad pa tinemunun dini te tanà, aw wedad heman timobò, so wedà pa peodani te Timanem se tanà, aw wedad pa otaw migpawà. 
GEN.2.6	Meneng doen wayeg timebol lekat didalem te tanà amon meelem se kebelad te tanà.
GEN.2.7	Penga niyan, inabat te Timanem se tanà, aw yan se ginamit din te pegtiyon din te otaw. Penga niyan, inedop din se idong te otaw, aw yan binegayan din se otaw te pedowan.
GEN.2.8	Penga niyan, ininang te Timanem se kekeyowan kidoen te Eden doton te eglibtakan, aw yan se pineogpaan din te otaw ininang din. 
GEN.2.9	Impetilles te Timanem se medita kemolò te kayo kidoen. Mèpiya iyan tengtengen, aw mèpiya heman se pongo niyan. Dowa se kayo intanem din diyà te tengà-tengà te kekeyowan, aw yan se kayo egpemegay te pedowan wedad temanan aw kayo egpemegay te kebiyasa tepad te mèpiya aw medaet.
GEN.2.10	Doen heman wayeg kidoen te Eden gayed eg-elem te tanà te kekeyowan. Doton dibabà te Eden, migsoway-soway se wayeg sìyan, aw neinang iyan olo te epat dakel wayeg. 
GEN.2.11	Pison se ngadan te tagnà wayeg, aw minokit iyan te tanà iningedanan Habila. 
GEN.2.12	Mèpiya se bolawan egketelaan kidoen, aw doen heman litek te kayo metinadeg aw menge bato meelagà kidoen. 
GEN.2.13	Gihon se ngadan te ikedowa te wayeg, aw minokit iyan te tanà iningedanan Cus. 
GEN.2.14	Tigris se ngadan te iketelo te wayeg, aw minokit iyan lenged te eglibtakan te tanà iningedanan Asirya. Yofritis se ngadan te ikeepat te wayeg.
GEN.2.15	Impeogpà te Timanem se otaw doton te kekeyowan te Eden amon meg-obong sikandin kenyan aw megtonggò heman kenyan. 
GEN.2.16	Migpunù se Timanem diyà kandin, “Mepakay aw kànen no se pongo te kedita te kayo kidoen te kekeyowan, 
GEN.2.17	meneng ikà egpengaen te pongo te kayo egpemegay te kebiyasa tepad te mèpiya aw medaet. So aw komaen ka kenyan, ontò ka matay te aldaw sìyan.”
GEN.2.18	Minikagi heman se Timanem, “Kenà mèpiya aw sebad olò se otaw. Yan meg-inang a te doma din meketepad kandin amon doen megtelaban kandin.”
GEN.2.19	Yan inibing te Timanem se kedita te ayam-ayam, menenanap, aw manok ininang din lekat te tanà. Inibing din se kedita niyan doton te otaw amon ingedanan din iyan. Pengkey eden se in-ingadan din kenyan, yan se ngadan niyan. 
GEN.2.20	Iningedanan te otaw se kedita te ayam-ayam, menge manok, aw kedita te menenanap, meneng wedad palos diyà kenyan meketepad kandin meinang doma din.
GEN.2.21	Penga niyan, ontò impetedogi te Timanem se otaw. Pegketedogi din, inabat te Timanem se gosok din, aw sinengseng din se awang te onod. 
GEN.2.22	Penga niyan, ininang din se bayi lekat te gosok, aw inibing din sikandin doton te meama.
GEN.2.23	Minikagi se meama, “Na, lekat te tòlan ko se kandin tòlan, aw lekat te onod ko se kandin onod. Ingedanan ko sikandin bayi, so inabat sikandin lekat te meama.”
GEN.2.24	Yan se doun te tomanan se meama te amay aw inay din, aw megsebad diyà te esawa din. Se didowa dan meinang sebad.
GEN.2.25	Pengkey migpetabeg-tabeg se meama aw bayi, meneng wedà dan keyàyà.
GEN.3.1	Nayan, diyà te kedita te menge menenanap ininang te Timanem, memokan se ontò biyasa eg-akal. Mig-insà se memokan diyà te bayi, “Benal lay migpunù se Timanem kenyo te eked kaw kaen te pongo te kedita te kayo dini te kekeyowan?”
GEN.3.2	Timaba se bayi, “Mepakay aw komaen kay te pongo te menge kayo dini te kekeyowan. 
GEN.3.3	Meneng minikagi se Timanem te keilangan eked kay kaen te pongo te kayo doton te tengà-tengà te kekeyowan, aw keilangan eked kay pemaed kenyan, so matay kay.”
GEN.3.4	Minikagi se memokan, “Eked kaw kematay. 
GEN.3.5	Minikagi se Timanem kenyan so netegahan din aw komaen kaw kenyan, megkebiyasa kaw, aw meinang kaw iling kandin, so metaga-taga kaw heman aw eden se mèpiya aw eden se medaet.”
GEN.3.6	Penga niyan, kimità se bayi te mèpiya kànen se pongo te kayo sìyan, aw mèpiya se bawa niyan, aw mig-aneng-aneng sikandin te mèpiya aw megkebiyasa sikandin. Yan se doun te inabat din se pongo niyan aw kinaen din iyan. Doen heman imbegay din diyà te esawa din, aw kinaen din heman iyan. 
GEN.3.7	Pegpengaen dan kenyan, migkebiyasa dan aw netegahan dan te migpetabeg-tabeg dan. Yan tinebil dan se dawen te kayo igira amon doen isampeng te sinelowan dan.
GEN.3.8	Te kelikit te meapon, minipanaw se Timanem kidoen te kekeyowan. Meneng te aldaw sìyan, pegdineg dan te tegodtod te peg-ipanaw din, mineles dan doton te menge kayo. 
GEN.3.9	Meneng timawal se Timanem diyà te meama, “Kenan ka lay?”
GEN.3.10	Timaba sikandin, “Dinineg ko sikona doton te kekeyowan, meneng nelemitan a so migpetabeg-tabeg a, aw yan mineles a.”
GEN.3.11	Mig-insà se Timanem, “Sinu lay se mig-indan kamno te migpetabeg-tabeg ka? Kimaen ka lay te pongo te kayo impunù ko kamno?”
GEN.3.12	Minikagi se meama, “Se bayi impedoma no diyà kanak, yan se nemegay te pongo diyà kanak, aw kimaen a kenyan.”
GEN.3.13	Mig-insà se Timanem diyà te bayi, “Eden lay se ininang no seini?”
GEN.3.13	Timaba se bayi, “Se memokan, yan se mig-akal kanak, aw yan kimaen a.”
GEN.3.14	Penga niyan, minikagi se Timanem diyà te memokan, “Ipelumun ka tandà te medaet ininang no seini. Diyà te kedita te menge ayam-ayam aw menenanap, olò sikona se ipelumun iling kani. Lekat seini, keilangan domelog se getek nikaw diyà te tanà, aw gayed ka komaen te kepong-kepong te tanà taman te pegkematay nikaw. 
GEN.3.15	Inangen ko sikiyo megpepoonay, sikona aw bayi, kamno sakop aw kandin bowad-bowad. Bonalan te bowad-bowad din se olo nikaw, aw bengaen no se palo din.”
GEN.3.16	Minikagi se Timanem diyà te bayi, “Ontò ko dogangan se kelimahan te pegbatà nikaw. Aw tebawan ka, elegen ka. Meneng ontò ka meibeg te kamno esawa, aw mengolo sikandin diyà kamno.”
GEN.3.17	Minikagi se Timanem diyà te meama, “Nenenalan ka diyà te esawa nikaw, aw kimaen ka te pongo te kayo impunù ko kamno. Tandà te salà no sìyan, inangen ko heman medaet se tanà. Keilangan gayed ka megterbaho taman te pegkematay nikaw, amon botong se kànen nikaw. 
GEN.3.18	Gayed tomilles se sagbet aw tigis kidoen te tanà, aw keilangan mahà ka heman te kànen egtobò doton te kebenesan tandà te kelimahan nikaw. 
GEN.3.19	Keilangan gayed ka megterbaho lamig peg-etingan ka amon doen tomilles kidoen te tanà lamig molì ka doton te tanà, so yan se linekatan nikaw. Ininang ka lekat te tanà, aw todà ka heman meinang tanà.”
GEN.3.20	Iningedanan i Adam (kelebadan niyan, otaw) se esawa din ki Eva (kelebadan niyan, pegkeotaw), so sikandin se neinang inay te kedita te otaw. 
GEN.3.21	Doen penenaktun ininang te Timanem lekat te kindal te menge ayam-ayam, aw imbegay din iyan diyà ki Adam aw esawa din amon doen penenaktun dan.
GEN.3.22	Nayan, minikagi se Timanem, “Neinang den se otaw iling kenitadon, so netegahan den dan aw eden se mèpiya aw eden se medaet. Eked den kepakay aw mengabat dan te pongo lekat te kayo mekebegay te pedowan wedad temanan, so aw komaen dan kenyan, eked dan palos kematay te wedad temanan.”
GEN.3.23	Yan impekesayo te Timanem se otaw lekat te kekeyowan te Eden, aw impeobong din sikandin te tanà linekatan din. 
GEN.3.24	Penga te pegkesayo te otaw lekat te Eden, insogò te Timanem se iling te anghil iningedanan kirobim lenged te eglibtakan te kekeyowan, aw insawol din se sondang eglegdeg aw gayed egkebiling, amon wedad otaw mekepedapag diyà te kayo egpemegay te pedowan wedad temanan.
GEN.4.1	Nayan, migpeleyokay si Adam aw esawa din, aw miglaman si Eva. Pegtebaw te batà din, minikagi si Eva, “Pineokit te tabang te Timanem, doen den batà ko meama.”
GEN.4.1	Iningedanan din se batà din ki Cain (kelebadan niyan, doen den). 
GEN.4.2	Penga niyan, todà sikandin migbatà te doma batà din meama si Abel.
GEN.4.2	Si Abel se biyasa egdiyaga te menge ayam-ayam, aw si Cain se biyasa egpawà. 
GEN.4.3	Doen sebad aldaw, nengibing si Cain te menge pongo te tinanem din amon ibegay din iyan diyà te Timanem. 
GEN.4.4	Meneng si Abel se nemallì te penganay nati te menge karniro din, aw iniyaw din iyan, aw inibing din se melambò onod niyan amon ibegay din iyan diyà te Timanem. Neluba se Timanem ki Abel aw sìyan imbegay din. 
GEN.4.5	Meneng wedà keluba se Timanem ki Cain aw sìyan imbegay din. Yan ontò neopal si Cain aw timàmod.
GEN.4.6	Penga niyan, minikagi se Timanem diyà ki Cain, “Kenà mèpiya se pegkeopal nikaw. Kenà mèpiya se pegtàmod nikaw. 
GEN.4.7	Aw metòlid se inangen nikaw, yan meluba a kamno. Meneng aw eked ka peg-inang te metòlid, delisegen ka den i Satanas amon meg-inang ka te salà. Dàgen ka peden te peg-inang no te salà, meneng keilangan domaeg ka kenyan.”
GEN.4.8	Wedà kenamay, minikagi si Cain diyà te kedowa din si Abel, “Taking ka kanak doton te pawà.”
GEN.4.8	Pegdateng dan doton te pawà, inimetayan i Cain se kedowa din.
GEN.4.9	Mig-insà se Timanem diyà ki Cain, “Kenan lay se kedowa no si Abel?”
GEN.4.9	Timaba sikandin, “Inday. Kenà a teletonggò te kedowa ko.”
GEN.4.10	Minikagi se Timanem, “Ontò den medaet se ininang no seini. Iling te egpengenganay se dipanog din diyà kanak lekat te tanà. 
GEN.4.11	Lekat seini, ipelumun ko sikona. Eked den kepakay aw meg-obong ka te tanà, so tanà se inegseban te dipanog te kedowa no te pegpengimatay no kandin. 
GEN.4.12	Aw todà ka megpawà, eked pongo se tinanem nikaw. Keilangan gayed ka meglegeb dini lanto te tanà.”
GEN.4.13	Minikagi si Cain, “Pelaban melima se pegpelumun no kanak, aw eked a peketayod kenyan. 
GEN.4.14	Eked a no den pepewai, aw ipekesayo a no den lekat kamno. Keilangan gayed a meglegeb dini lanto te tanà. Aw ketelaan a te doma otaw, imetayan a din.”
GEN.4.15	Meneng minikagi se Timanem diyà kandin, “Eked iyan ketoman, so aw doen mengimatay kamno, mekepito pa se kedaet te pelumun domateng diyà kandin.”
GEN.4.15	Penga niyan, doen pengilala imbegay te Timanem diyà ki Cain amon eked sikandin imetayi te otaw meketalà kandin. 
GEN.4.16	Penga niyan, timanan si Cain te Timanem, aw mig-ogpà sikandin doton te ogpeanan te Nod, lenged te eglibtakan te Eden.
GEN.4.17	Nayan, migpeleyokay si Cain aw esawa din, aw doen batà dan timebaw si Enok. Dalem niyan, mig-inang si Cain te lonsod, aw yan heman se iningedanan din Enok, onawa te ngadan te batà din. 
GEN.4.18	Si Enok se amay i Irad. Si Irad se amay i Mehujael. Si Mehujael se amay i Metusael. Si Metusael se amay i Lamek.
GEN.4.19	Migdoway si Lamek. Si Ada se ngadan te sebad esawa din, aw si Sela se doma. 
GEN.4.20	Si Ada se inay i Jabal, aw sikandin se neinang kemonaan te kedita te telediyaga te menge ayam-ayam. Mig-ogpà dan diyà te menge tolda. 
GEN.4.21	Doen adi i Jabal si Jubal, aw sikandin se neinang kemonaan te kedita te otaw biyasa egpengablit te sista aw egpengedop te seluli. 
GEN.4.22	Si Sela se inay i Tubal Cain, aw sikandin se menenayab te tebaga aw kinis. Doen heman etebay i Tubal Cain si Naama.
GEN.4.23	Minikagi si Lamek diyà te didowa esawa din,
GEN.4.23	“Ada aw Sela, penenalan kaw den diyà kanak.
GEN.4.23	E menge esawa ko, seini se kagi ko diyà kenyo.
GEN.4.23	Mekebatog a den mengimatay te otaw menigbas kanak.
GEN.4.23	Pengkey pa telaki se megpeeleg kanak, mengimatay a kandin.
GEN.4.24	Aw mekepito pa se kedaet te pelumun domateng diyà te otaw mengimatay ki Cain,
GEN.4.24	Yan mekekepitowan teg pito pa se kedaet te pelumun domateng diyà te otaw mengimatay peden kanak.”
GEN.4.25	Nayan, penga te pegkematay i Abel, migpeleyokay si Adam aw esawa din, aw doen batà meama timebaw diyà ki Eva. Iningedanan din se batà din ki Set (kelebadan niyan, imbegay), so minikagi sikandin, “Binegayan a te Timanem te sebad batà inselilin ki Abel, so inimetayan sikandin i Cain.”
GEN.4.26	Doen batà meama timebaw diyà te esawa i Set, aw iningedanan din se batà din ki Enos.
GEN.4.26	Nayan, lekat te aldaw sìyan, migtebò se menge otaw migsimba aw migtawal-tawal diyà te Timanem.
GEN.5.1	Seini se ngadan te menge bowad-bowad i Adam.
GEN.5.1	Peg-inang te Timanem te otaw, ininang din dan iling kandin. 
GEN.5.2	Ininang din se otaw meama aw bayi. Mèpiya se imbegay din diyà kandan, aw iningedanan din dan otaw.
GEN.5.3	Peg-apet te sebad gatos ketlowan se omay i Adam, timebaw se batà din meama iling kandin. Iningedanan din se batà din ki Set. 
GEN.5.4	Penga te pegtebaw i Set, walo gatos se omay minokit te wedà pa kematay si Adam. Dalem niyan, doen pa menge doma batà din timebaw. 
GEN.5.5	Siyam gatos ketlowan se omay i Adam te pegkematay din.
GEN.5.6	Peg-apet te sebad gatos aw lima se omay i Set, timebaw se batà din meama si Enos. 
GEN.5.7	Penga te pegtebaw i Enos, walo gatos aw pito se omay minokit te wedà pa kematay si Set. Dalem niyan, doen pa menge doma batà din timebaw. 
GEN.5.8	Siyam gatos sempolò teg dowa se omay i Set te pegkematay din.
GEN.5.9	Peg-apet te kesyaman se omay i Enos, timebaw se batà din meama si Cainan. 
GEN.5.10	Penga niyan, walo gatos sempolò teg lima se omay minokit te wedà pa kematay si Enos. Dalem niyan, doen pa menge doma batà din timebaw. 
GEN.5.11	Siyam gatos aw lima se omay i Enos te pegkematay din.
GEN.5.12	Peg-apet te kepitowan se omay i Cainan, timebaw se batà din meama si Mahalaleel. 
GEN.5.13	Penga niyan, walo gatos kepatan se omay minokit te wedà pa kematay si Cainan. Dalem niyan, doen pa menge doma batà din timebaw. 
GEN.5.14	Siyam gatos aw sempolò se omay i Cainan te pegkematay din.
GEN.5.15	Peg-apet te keneman teg lima se omay i Mahalaleel, timebaw se batà din meama si Jared. 
GEN.5.16	Penga niyan, walo gatos ketlowan se omay minokit te wedà pa kematay si Mahalaleel. Dalem niyan, doen pa menge doma batà din timebaw. 
GEN.5.17	Walo gatos kesyaman teg lima se omay i Mahalaleel te pegkematay din.
GEN.5.18	Peg-apet te sebad gatos keneman teg dowa se omay i Jared, timebaw se batà din meama si Enok. 
GEN.5.19	Penga niyan, walo gatos se omay minokit te wedà pa kematay si Jared. Dalem niyan, doen pa menge doma batà din timebaw. 
GEN.5.20	Siyam gatos keneman teg dowa se omay i Jared te pegkematay din.
GEN.5.21	Peg-apet te keneman teg lima se omay i Enok, timebaw se batà din meama si Matusalem. 
GEN.5.22	Penga niyan, dalem te telo gatos se omay, migpedomaay si Enok aw Timanem. Dalem niyan, doen pa menge doma batà din timebaw. 
GEN.5.23	Minapet se omay din te telo gatos keneman teg lima. 
GEN.5.24	Gayed migpedomaay si Enok aw Timanem lamig te aldaw te pegkewedad din, so binaloy sikandin te Timanem.
GEN.5.25	Peg-apet te sebad gatos kewelowan teg pito se omay i Matusalem, timebaw se batà din meama si Lamek. 
GEN.5.26	Penga niyan, pito gatos kewelowan teg dowa se omay minokit te wedà pa kematay si Matusalem. Dalem niyan, doen pa menge doma batà din timebaw. 
GEN.5.27	Siyam gatos keneman teg siyam se omay i Matusalem te pegkematay din.
GEN.5.28	Peg-apet te sebad gatos kewelowan teg dowa se omay i Lamek, doen batà din meama timebaw. 
GEN.5.29	Iningedanan din se batà din ki Noe (kelebadan niyan, peg-etod), so minikagi sikandin, “Seini se otaw megpeetod kenitadon lekat te kelimahan te terbaho tadon dini te tanà seini ininang te Timanem medaet.”
GEN.5.30	Penga te pegtebaw i Noe, lima gatos kesyaman teg lima se omay minokit te wedà pa kematay si Lamek. Dalem niyan, doen pa menge doma batà din timebaw. 
GEN.5.31	Pito gatos kepitowan teg pito se omay i Lamek te pegkematay din.
GEN.5.32	Penga te lima gatos se omay i Noe, timebaw se telo batà din meama, si Sem, si Ham, aw si Japet.
GEN.6.1	Nayan, pegkedita-dita te menge otaw dini lanto te tanà, aw pegkedita heman te bayi timebaw, 
GEN.6.2	doen menge sakop te Timanem kimità te mèpiya se bawa te menge bayi, aw pengkey sinu se neibegan dan, yan se pinengognan dan. 
GEN.6.3	Penga niyan, minikagi se Timanem, “Eked ko pekeleyati se pedowan ko diyà te menge otaw te wedad temanan, so otaw dan olò. Lekat seini, taman olò te sebad gatos kelowan se omay se tegsebad-sebad otaw.”
GEN.6.4	Dalem te aldaw sìyan te pegpengognan te menge sakop te Timanem diyà te menge bayi aw pegbatà dan, aw pengkey pa te pegkepenga niyan, doen menge telandig iningedanan Nefilim. Ontò dan nedengeg gebii, so dakel se nebatog dan.
GEN.6.5	Kinità te Timanem te ontò medaet se eg-inangen te kedita te otaw dini lanto te tanà, aw tomalag medaet se aneng-aneng aw ibeg dan te kelikit te aldaw. 
GEN.6.6	Yan miglama-lama sikandin tepad te peg-inang din te otaw aw tepad te pegpeogpà din kandan dini te tanà. Ontò nepuluk se pedowan din, 
GEN.6.7	aw minikagi sikandin, “Pegbàtan ko se otaw ininang ko dini te tanà, sipat te menge ayam-ayam, menenanap, aw manok, so miglama-lama a tepad te peg-inang ko kandan.”
GEN.6.8	Meneng neluba se Timanem tepad ki Noe.
GEN.6.9	Seini se indan tepad ki Noe. Diyà te kedita te otaw, olò si Noe se eg-inang te metòlid, aw wedad palos isila kandin. Migpedomaay si Noe aw Timanem. 
GEN.6.10	Telo se batà din meama, si Sem, si Ham, aw si Japet.
GEN.6.11	Netegahan te Timanem te medaet se kedita te doma otaw dini lanto te tanà, aw doen samok doton te kedita te ogpeanan. 
GEN.6.12	Pegtengteng te Timanem diyà te tanà, kinità din te tomalag iyan medaet, so gayed medaet se eg-inangen te kedita te otaw.
GEN.6.13	Minikagi se Timanem diyà ki Noe, “Tod ko, igelaen ko den se kedita te otaw, so nelegeb den se kebelad te tanà te medaet eg-inangen dan. Yan ontò ko dan bàtan sipat te kedita dini lanto te tanà. 
GEN.6.14	Yan peg-inang ka den te arka te mèpiya kemolò te kayo amon doen sekayan nikaw. Peg-inang ka te menge tambì doton te arka, aw pemolit ka kenyan doton didalem aw doton te lowà. 
GEN.6.15	Sebad gatos ketlowan teg telo mitro se kelayat niyan, aw kelowan teg dowa mitro se kebelad niyan, aw sempolò teg telo mitro se kelangkaw niyan. 
GEN.6.16	Peg-atep ka kenyan, aw peg-inang ka te elet diyà te ampa aw atep taman te tengà mitro se kelangkaw niyan. Peg-inang ka te telo kunsad niyan aw sebad se lelebangan kidoen te ampa.
GEN.6.17	“Linepen ko se tanà te wayeg amon megelà se kedita doen pedowan. Matay se kedita dini lanto te tanà. 
GEN.6.18	Meneng doen ipakang ko den kamno. Awop ka diyà te arka sipat te esawa nikaw, menge batà nikaw, aw menge esawa dan. 
GEN.6.19+GEN.6.20	Pengibing ka heman te meama aw bayi lekat te tegsebad-sebad kemolò te ayam-ayam, menenanap, aw manok amon eked iyan kegelà. 
GEN.6.21	Peglolan ka heman te medita kemolò te kànen amon doen kànen te kedita niyo.”
GEN.6.22	Timolò si Noe te kedita te impunù te Timanem diyà kandin.
GEN.7.1	Nayan, minikagi se Timanem diyà ki Noe, “Awop ka diyà te arka sipat te kedita diyà te pamilya nikaw, so diyà te kedita te otaw dini lanto te tanà, olò sikona se kinità ko eg-inang te metòlid. 
GEN.7.2+GEN.7.3	Pengibing ka te sebad meama aw sebad bayi lekat te tegsebad-sebad kemolò te ayam-ayam aw menenanap eked kepakay sonogen aw ibegay diyà kanak, meneng pengibing ka te pito meama aw pito bayi lekat te tegsebad-sebad kemolò te ayam-ayam aw manok mepakay sonogen aw ibegay diyà kanak. Peg-inang ka kenyan amon todà megbowad-bowad se kedita te kemolò dini lanto te tanà. 
GEN.7.4	Na, pito seini, ipetedak ko se odan, aw eked iyan kedit singed aw kepatan se aldaw aw kepatan se delem amon bàtan ko se kedita ininang ko doen pedowan dini lanto te tanà.”
GEN.7.5	Timolò si Noe te kedita te impunù te Timanem diyà kandin. 
GEN.7.6	Enem gatos se omay i Noe te pegkelinep te tanà te wayeg. 
GEN.7.7	Minawop sikandin diyà te arka sipat te esawa din, menge batà din, aw menge esawa dan, amon eked dan kegelà aw melinep se tanà te wayeg. 
GEN.7.8+GEN.7.9	Netipon se sebad meama aw sebad bayi lekat te tegsebad-sebad kemolò te menge ayam-ayam, menenanap, aw manok pengkey mepakay sonogen aw eked kepakay sonogen. Dimoton se kedita niyan ki Noe, aw minawop dan diyà te arka, iling te impunù te Timanem diyà ki Noe. 
GEN.7.10	Penga te pito se aldaw, migtebò nelinep se tanà te wayeg.
GEN.7.11	Peg-apet te enem gatos se omay i Noe, te pitsa sempolò teg pito te ikedowa te bolan te omay sìyan, neowang se kedita te selep doton didalem te dagat, aw neowang heman se kedita te linekatan te odan doton te langit. 
GEN.7.12	Penga niyan, minodan te kepatan se aldaw aw kepatan se delem.
GEN.7.13	Te wedà pa kelinep se tanà, tapay minawop si Noe diyà te arka sipat te esawa din, menge batà din si Sem, si Ham, aw si Japet, aw menge esawa dan. 
GEN.7.14	Minawop heman se kedita te kemolò te menge ayam-ayam aw menenanap, dakel aw deitek, aw kedita te kemolò te manok. 
GEN.7.15+GEN.7.16	Doen meama aw bayi diyà te tegsebad-sebad kemolò doen pedowan dimoton ki Noe, aw minawop dan diyà te arka, iling te impunù te Timanem diyà ki Noe. Penga niyan, tinakep te Timanem se lelebangan te arka.
GEN.7.17	Gayed minodan te kepatan se aldaw aw kepatan se delem. Gayed migkedalem se wayeg lamig limepaw se arka. 
GEN.7.18	Gayed timilles se wayeg diyà te lanto te tanà, aw miglepaw-lepaw se arka diyà te lanto te wayeg. 
GEN.7.19	Gayed timilles se wayeg diyà te lanto te tanà lamig nelinep te wayeg se kedita te melangkaw bontod. 
GEN.7.20	Timilles se wayeg lamig pito mitro se kedalem te wayeg limowan diyà te toktok te menge bontod. 
GEN.7.21	Yan nelemes se kedita diyà te lanto te tanà, pengkey manok, ayam-ayam, menenanap, aw otaw. 
GEN.7.22	Nematay se kedita doen pedowan dini lanto te tanà. 
GEN.7.23	Inigelà te Timanem se kedita te otaw, ayam-ayam, menenanap, aw manok. Olò si Noe se nesamà, sipat te menge doma din kidoen didalem te arka.
GEN.7.24	Sebad gatos keliman se aldaw se kenamay te pegkelinep te tanà te wayeg.
