GEN.1.1	元始、上帝創造天地、  
GEN.7.10	七日後、洪水氾濫於地、  
GEN.7.11	適
GEN.7.12	雨降於地、四十晝夜、○  
GEN.7.13	是日
GEN.7.14	百獸六畜、昆蟲禽鳥諸族、皆各從其類、  
GEN.7.15	凡有血氣之生物、各以匹偶、就
GEN.7.16	凡入舟有血氣之物、有牝有牡、循上帝所命、耶和華閉之舟中、  
GEN.7.17	洪水氾濫四旬、水勢洶湧、舟浮於地、  
GEN.7.18	水愈漲溢、舟溯洄於水面、  
GEN.7.19	水勢橫流已甚、天下崇山、俱為湮沒、  
GEN.7.20	水高於山、十有五肘、岑巖悉沒、  
GEN.7.21	地上眾生、飛鳥、六畜、百獸、昆蟲、以及人類、盡皆滅亡、  
GEN.7.22	凡在陸地、有鼻可通呼吸者、咸就淪喪、  
GEN.7.23	地上眾生、人及牲畜、昆蟲、禽鳥、悉滅於地、獨
GEN.7.24	水溢於地、凡一百五十日、  
GEN.8.1	上帝眷念
GEN.8.2	淵之泉、天之隙、俱已閉塞、霪雨既止、  
GEN.8.3	水由地漸退、歷百有五十日而始消、  
GEN.8.4	七月十七日、舟停於
GEN.8.5	水勢漸消、迨十月朔、山巔始見、○  
GEN.8.6	越四旬、
GEN.8.7	放一鴉出、鴉飛翔還往、以待水涸、  
GEN.8.8	又放一鴿出、欲視水退與否、  
GEN.8.9	鴿無止足處、仍返於舟、
GEN.8.10	又待七日、復放鴿出、  
GEN.8.11	薄暮鴿歸、口啣橄欖新葉、
GEN.8.12	更待七日、放其鴿、不復返、  
GEN.8.13	適
GEN.8.14	二月二十七日、地已燥、○  
GEN.8.15	上帝諭
GEN.8.16	爾與妻子及媳、可出方舟、  
GEN.8.17	凡偕爾之生物、即禽鳥、牲畜、昆蟲、皆挈之出、使孳生產育、繁衍於地、  
GEN.8.18	乃與妻子及媳俱出、  
GEN.8.19	百獸、昆蟲、禽鳥、地上諸動物、各從其類、咸出方舟、○  
GEN.8.21	耶和華聞其馨香、意謂人自幼時、衷懷邪慝、嗣後我不緣之詛地、不復殄滅生物、如前所為、  
GEN.8.22	地存之時、稼穡寒暑、冬夏晝夜、永不間絕、  
GEN.9.1	上帝錫嘏
GEN.9.2	地上走獸、空中飛鳥、於爾是畏是懼、以及各類昆蟲、海中諸魚、悉付爾手、  
GEN.9.3	凡有生之動物、皆為爾食、悉以賜爾、如菜蔬然、  
GEN.9.4	惟肉有血、即其生命、毋食、  
GEN.9.5	有流爾血、害爾命者、或獸或人、我必討之、凡害人命者、我必討之、  
GEN.9.6	凡流人血者、人必流其血、蓋上帝造人、乃肖己象也、  
GEN.9.7	爾其生育眾多、昌熾繁衍於地、○  
GEN.9.8	上帝諭
GEN.9.9	我與爾約、及爾後裔、  
GEN.9.10	並偕爾之生物、即飛鳥、六畜、走獸、凡出自方舟、在於陸地者、  
GEN.9.11	我與爾約、不復以洪水滅眾生、不復以洪水湮地、  
GEN.9.12	上帝曰、我與爾暨偕爾之生物、立約有徵、以至永世、  
GEN.9.13	置虹雲中、為我與世立約之徵、  
GEN.9.14	雲覆地時、虹見雲中、  
GEN.9.15	我則念我與爾眾、及凡有血氣之生物、所立之約、不復以洪水滅眾生、  
GEN.9.16	虹在雲中、我則觀之、以記上帝與地上凡有血氣之生物、所立之永約、  
GEN.9.17	上帝諭
GEN.9.18	子出方舟者、即
GEN.9.19	由
GEN.9.20	為農、植葡萄園、  
GEN.9.21	飲酒而醉、裸體幕中、  
GEN.9.22	父
GEN.9.23	與
GEN.9.24	醉醒、方知仲子所為、  
GEN.9.25	曰、
GEN.9.26	又曰、
GEN.9.27	願上帝昌大
GEN.9.28	洪水後、
GEN.9.29	享壽九百五十歲而終、  
GEN.10.2	之子、
GEN.10.3	之子、
GEN.10.4	之子、
GEN.10.5	此數人散處州島、各為方言、族姓、邦國、○  
GEN.10.6	之子、
GEN.10.7	之子、
GEN.10.8	之裔
GEN.10.9	在耶和華前、為獵夫之雄、故語云、斯人為獵夫之雄、如
GEN.10.10	其國肇於
GEN.10.11	由彼往
GEN.10.12	及
GEN.10.13	生
GEN.10.14	族、
GEN.10.15	生冢子
GEN.10.16	及
GEN.10.17	族、
GEN.10.18	族、
GEN.10.19	之境、自
GEN.10.20	此乃
GEN.10.21	兄
GEN.10.22	其子乃
GEN.10.23	之子、乃
GEN.10.24	生
GEN.10.25	二子、一名
GEN.10.26	生
GEN.10.27	、
GEN.10.28	、
GEN.10.29	、
GEN.10.30	其所居之域、自
GEN.10.31	此乃
GEN.10.32	以上所載、皆
GEN.11.1	維時、天下音一語同、  
GEN.11.2	東徙、遇平原於
GEN.11.3	彼此互議曰、我其作甎、爇以成之、於是以甎代石、石漆代泥、  
GEN.11.4	又曰、我其築城與臺、臺頂及天、以揚我名、庶免散於四方、  
GEN.11.5	耶和華臨格、欲觀世人所築之城與臺、  
GEN.11.6	曰、斯民為一、言語亦同、今興是役、後之所謀、末由遏止、  
GEN.11.7	我儕臨格、淆其言語、使彼此不通、  
GEN.11.8	於是耶和華散之四方、遂罷築城之役、  
GEN.11.9	其城名曰
GEN.11.10	之裔如左、洪水後二年、
GEN.11.11	後歷五百年、猶生子女、  
GEN.11.12	三十五歲生
GEN.11.13	後歷四百有三年、猶生子女、  
GEN.11.14	三十歲生
GEN.11.15	後歷四百有三年、猶生子女、  
GEN.11.16	三十四歲生
GEN.11.17	後歷四百三十年、猶生子女、  
GEN.11.18	三十歲生
GEN.11.19	後歷二百有九年、猶生子女、  
GEN.11.20	三十二歲生
GEN.11.21	後歷二百有七年、猶生子女、  
GEN.11.22	三十歲生
GEN.11.23	後歷二百年、猶生子女、  
GEN.11.24	二十九歲生
GEN.11.25	後歷一百十九年、猶生子女、  
GEN.11.26	七十歲生
GEN.11.27	之裔如左、
GEN.11.28	先其父死於故土、
GEN.11.29	   
GEN.11.30	不妊、無子、  
GEN.11.32	享壽二百有五歲、終於
GEN.12.1	耶和華諭
GEN.12.2	我將使爾成為大邦、錫嘏於爾、丕顯爾名、爾為福源、  
GEN.12.3	祝爾者吾亦祝之、詛爾者吾亦詛之、天下萬族、將緣爾獲福焉、  
GEN.12.4	循耶和華命而往、
GEN.12.5	挈妻
GEN.12.6	經行至
GEN.12.7	耶和華顯見於
GEN.12.8	由此遷往
GEN.12.9	後漸南徙、○  
GEN.12.10	其地適饑且甚、
GEN.12.11	將入境、語妻
GEN.12.12	人見爾、必云此其妻也、將殺我而存爾、  
GEN.12.13	請爾謂為我妹、俾我獲安、緣爾得全吾生、  
GEN.12.14	至
GEN.12.15	之臣觀之、譽於
GEN.12.16	緣婦故、厚遇
GEN.12.17	耶和華以
GEN.12.19	何以稱之為妹、致我妻之、爾妻在此、可挈之去、  
GEN.12.20	於是命人送
GEN.13.2	富有金銀牲畜、  
GEN.13.3	自南而行、歷程至
GEN.13.4	即前築壇之處、於彼籲耶和華名、  
GEN.13.5	偕行之
GEN.13.6	二人之業浩繁、其地莫能容、弗獲同處、  
GEN.13.7	時、
GEN.13.9	地非具在爾前乎、爾其與我區別、爾左則我右、爾右則我左、  
GEN.13.10	時、
GEN.13.11	舉目觀之、遂擇
GEN.13.12	居
GEN.13.13	人作惡、重獲罪於耶和華、○  
GEN.13.14	別後、耶和華諭
GEN.13.15	凡所見之地、我必賜爾、及爾苗裔、永世弗替、  
GEN.13.16	使爾苗裔如塵埃然、有能核塵埃之數者、則爾苗裔、亦可計矣、  
GEN.13.17	爾起遍歷斯土、縱橫而行、我必以之賜爾、  
GEN.13.18	遂遷幕、至
GEN.14.1	維時、
GEN.14.2	與
GEN.14.3	五王咸會於
GEN.14.4	此五王事
GEN.14.5	十四年、
GEN.14.6	又擊
GEN.14.7	四王歸至
GEN.14.8	王、
GEN.14.9	以敵
GEN.14.10	谷多石漆坑、
GEN.14.11	四王奪
GEN.14.13	有逃遁者、以告
GEN.14.14	聞姪被虜、遂率習練之丁壯、素育於家者、三百一十八人、追敵至但、  
GEN.14.15	乘夜分隊進攻、追至
GEN.14.16	奪回所虜之物、暨姪
GEN.14.17	既戮
GEN.14.19	祝之曰、願天地之主宰、至高之上帝、錫嘏於
GEN.14.20	至高上帝、以敵付於爾手、宜頌美焉、
GEN.14.21	王謂
GEN.14.22	曰、我已舉手、指至高之上帝、天地之主宰耶和華而誓、  
GEN.14.23	凡屬爾者、一絲縷、一履帶、吾弗取焉、免爾云、我使
GEN.14.24	惟少者所食、暨同行之
GEN.15.1	嗣後耶和華於異象中、諭
GEN.15.2	曰、主耶和華歟、何以賜我、蓋我無子、承我業者、
GEN.15.3	又曰、爾未賜我子、育於我家者、將為我嗣、  
GEN.15.4	耶和華諭之曰、此非爾嗣、必自爾出者、乃為爾嗣、  
GEN.15.5	遂攜之出、曰、仰觀於天、眾星可核數乎、又曰、汝苗裔必如是、  
GEN.15.6	信耶和華、耶和華以此為其義、  
GEN.15.7	又曰、我乃耶和華、昔挈爾出
GEN.15.8	曰、主耶和華歟、我承此地、何以知之、  
GEN.15.9	曰、為我取三歲之牝牛、牝山羊、牡綿羊、及鳲鳩雛鴿各一、  
GEN.15.10	遂取而中剖之、置之兩旁、使各相對、惟鳥不剖、  
GEN.15.11	有鷙鳥下、集於牲牷、
GEN.15.12	日將入、
GEN.15.13	耶和華諭之曰、爾當實知、汝裔必旅於異邦、服役良苦、歷四百年、  
GEN.15.14	其所服事之邦、我必鞫之、厥後汝裔、得其重貲以出、  
GEN.15.15	爾必安然歸祖、考終而葬、  
GEN.15.16	越至四世、爾之苗裔、必歸斯土、蓋
GEN.15.17	日入而昏、有出烟之爐、與已燃之炬、由牲牷中而過、  
GEN.15.18	當日耶和華與
GEN.15.19	即
GEN.15.20	、
GEN.15.21	、
GEN.16.2	謂
GEN.16.3	其妻
GEN.16.4	遂與
GEN.16.6	曰、婢為爾所治、可任意以待、於是
GEN.16.7	耶和華之使者見之於野、在
GEN.16.8	曰、
GEN.16.9	曰、宜歸主母、服於其下、  
GEN.16.10	又曰、我必使爾苗裔繁衍、不可勝數、  
GEN.16.11	又曰、爾今懷妊、必生男子、可命名
GEN.16.12	彼於人中、將為野驢、擊眾而眾亦擊之、其所居之地、在同族之東、  
GEN.16.13	蒙耶和華諭、則稱其名曰監人之上帝、蓋曰、我豈於此、瞻仰夫監我者乎、  
GEN.16.14	故其泉名曰
GEN.16.15	生子、
GEN.16.16	生
GEN.17.2	我與爾約、使爾苗裔、繁衍昌熾、  
GEN.17.3	遂俯伏焉、上帝與之言曰、  
GEN.17.4	我與爾約、爾必為多族之父、  
GEN.17.5	今而後、爾不復名
GEN.17.6	我將使爾蕃息、成為邦國、列王由爾而出、  
GEN.17.7	我必與爾及爾歷世苗裔、立我永約、為爾及爾苗裔之上帝、  
GEN.17.8	爾今所旅之地、即
GEN.17.9	上帝諭
GEN.17.10	爾中男子、咸宜受割、即我賜爾及爾後裔、所必守之約、  
GEN.17.11	爾必受割、為我與爾立約之徵、  
GEN.17.12	爾歷世男子、或生於爾家、或購自異邦、非爾苗裔、既生八日、皆必受割、  
GEN.17.13	家所生者、金所購者、俱必受割、我約加於爾躬、以為永約、  
GEN.17.14	惟男子不受割者、是背我約、必絕之民中、○  
GEN.17.15	上帝諭
GEN.17.16	我必祝之、賜之生子、復錫以嘏、使為列國之母、列王由之而出、  
GEN.17.17	俯伏而哂、竊謂百歲之人、猶能生子乎、
GEN.17.18	乃對上帝曰、惟願
GEN.17.19	上帝曰、否、爾妻
GEN.17.20	至
GEN.17.21	惟我與
GEN.17.22	上帝言竟、離
GEN.17.23	是日
GEN.17.24	受割時、年九十有九、  
GEN.17.25	其子
GEN.17.26	父子二人、同日受割、  
GEN.17.27	凡其所屬、或生於家、或購自異邦、均受割焉、  
GEN.18.1	一日亭午、
GEN.18.2	舉目、見三人對之而立、乃自幕門趨迎、伏地、  
GEN.18.3	曰、若蒙主恩、願勿離僕而去、  
GEN.18.4	容取勺水、以濯爾足、且憩樹下、  
GEN.18.5	既至僕所、我將取餅少許、壯爾心力而後行、曰、可依汝言、  
GEN.18.6	亟入幕、語
GEN.18.7	又趨至牛羣、擇犢之肥美者付僕、僕急治之、  
GEN.18.8	遂以酥與乳、及所治之犢、臚陳其前、自侍樹下、三人食之、  
GEN.18.9	其人曰、爾妻
GEN.18.10	其中一人曰、明年屆期、我必復至、爾妻
GEN.18.11	與
GEN.18.12	竊哂曰、我老矣、吾主亦然、庸有喜乎、  
GEN.18.13	耶和華諭
GEN.18.14	耶和華豈有難行之事哉、屆期、我將復至、
GEN.18.15	懼而不承、曰、我未嘗哂也、曰、否、爾實哂、○  
GEN.18.16	三人乃起、觀望
GEN.18.17	耶和華曰、我之所為、豈隱於
GEN.18.18	蓋彼必為強大之族、天下萬民、因之獲福、  
GEN.18.19	我簡之、使命其子及眷屬、守我之道、秉公行義、致耶和華所言、悉以予之、  
GEN.18.20	又曰、
GEN.18.21	我必臨格、監其動作、實如所聞、設若不然、我必知之、○  
GEN.18.22	二人往
GEN.18.23	進曰、善者惡者、爾豈並滅之乎、  
GEN.18.24	假令邑中有五十義人、亦必翦滅乎、不緣其五十義人、而悉赦宥乎、  
GEN.18.25	善惡倂誅、臧否同待、此斷非爾所為、鞫天下者、豈不行義乎、  
GEN.18.26	耶和華曰、
GEN.18.27	曰、我雖為灰塵、敢告於主、  
GEN.18.28	假令五十義者缺其五、豈因缺五人、而滅此一邑乎、曰、設有四十五人、則亦弗滅、  
GEN.18.29	曰、設有四十人、則何如、曰、緣四十人、吾亦弗行是、  
GEN.18.30	曰、願主毋怒、容我言之、假令三十人、則何如、曰、有三十人、亦弗行是、  
GEN.18.31	曰、敢告於主、假令二十人、則何如、曰、緣二十人、我亦不滅、  
GEN.18.32	曰、願主毋怒、容我言之、惟此一次、假令十人、則何如、曰、緣十人、吾亦弗滅、  
GEN.18.33	耶和華言竟而往、
GEN.19.1	日暮、二天使至
GEN.19.2	曰、吾主請返、以臨僕舍、濯足而宿、夙興以行、曰、否、我將竟夕於衢、  
GEN.19.3	亟促之、乃旋踵、入其室、遂為之設筵、炊無酵餅、天使食之、  
GEN.19.4	未及寢、
GEN.19.5	呼
GEN.19.6	出、閉門而就之、  
GEN.19.7	曰、請我兄弟、勿作斯惡、  
GEN.19.8	我有二女、尚未適人、容我出之、任爾所為、惟此二人、既臨我舍、請毋擾之、  
GEN.19.9	眾曰、退、又曰、斯人旅於斯土、乃欲為士師、今將害爾、較彼尤甚、遂迫
GEN.19.10	天使手援
GEN.19.11	使眾於門外、少長目眯、索門致倦、○  
GEN.19.12	二人謂
GEN.19.13	我將滅此一方、因其罪惡甚大、聲聞於耶和華、故遣我滅之、  
GEN.19.14	出、告聘其女之壻曰、爾起、出此、耶和華將滅是邑、其壻聞之、以為戲言、  
GEN.19.15	及旦、天使促
GEN.19.17	既出、謂之曰、爾其遁逃、以全生命、毋返顧、毋止平原、宜避於山、免爾滅亡、  
GEN.19.18	曰、主歟、勿爾、  
GEN.19.19	僕蒙爾恩、大施仁慈、以全我生、今我不能避於山、恐遭災禍而殞、  
GEN.19.20	前有一邑、既小且近、容我遁彼、以全我生、此非蕞爾之區乎、  
GEN.19.21	曰、斯事我亦允爾、所言之邑、我不翦滅、  
GEN.19.22	汝其速遁於彼、蓋爾未至、吾不能有所為、故其邑名曰
GEN.19.24	耶和華自天雨火硫於
GEN.19.25	於是城邑、平壤、居民、及土所產、無不毀滅、  
GEN.19.26	妻隨行返顧、變為鹽柱、  
GEN.19.27	夙興、至昔立於耶和華前之處、  
GEN.19.28	瞻望
GEN.19.29	當上帝殄滅平原諸邑、傾覆
GEN.19.30	懼居
GEN.19.31	長女謂季女曰、吾父已老、斯土又無人與我為偶、以循人道、  
GEN.19.32	莫若使父飲酒、而與偕寢、以存其後、  
GEN.19.33	是夜飲父以酒、長女與之寢、女之臥起、父不及知、  
GEN.19.34	翌日、長女謂季女曰、我昨與父偕寢、今夕仍飲以酒、爾可偕寢、以存其後、  
GEN.19.35	是夜亦飲父以酒、季女偕寢、女之臥起、父亦不知、  
GEN.19.36	如是、
GEN.19.37	長女生子、命名
GEN.19.38	季女亦生子、命名
GEN.20.2	稱其妻
GEN.20.3	夜夢上帝臨之曰、爾其死矣、蓋所取之婦、乃他人之妻也、  
GEN.20.4	未近婦身、曰、主歟、為義之民、亦滅之乎、  
GEN.20.5	彼非對我稱婦為妹、婦亦稱之為兄乎、我之為此、心正手潔、  
GEN.20.6	上帝曰、我知爾為此、心本端正、故我阻爾、免玷婦身、干咎於我、  
GEN.20.7	今以婦歸其夫、彼乃先知、將為爾祈、以全汝生、如不歸之、宜知爾與眷聚、必皆死亡、○  
GEN.20.9	召
GEN.20.10	又曰、爾何所見而行是、  
GEN.20.11	曰、我意此邦不畏上帝、必緣我妻而殺我、  
GEN.20.12	彼誠我妹、同父異母、我娶為室、  
GEN.20.13	昔上帝命我離父家、遨遊於外、我謂婦曰、所適之邦、必稱我為兄、是即待我以恩也、  
GEN.20.14	遂以牛羊僕婢賜之、並歸其妻
GEN.20.15	曰、吾之土地、具在爾前、可任意居之、  
GEN.20.16	謂
GEN.20.17	祈於上帝、遂醫
GEN.20.18	蓋耶和華以
GEN.21.1	耶和華踐其前言、眷顧
GEN.21.2	暮年、
GEN.21.3	以其所生之子、命名
GEN.21.4	越至八日、遵上帝命、為之行割、  
GEN.21.5	當
GEN.21.6	曰、上帝使我笑、凡聞之者、將與我同笑、  
GEN.21.7	又曰、孰曾告
GEN.21.8	子長而斷乳、斷乳之日、
GEN.21.9	婢
GEN.21.10	語
GEN.21.11	為子之故、深以為憂、  
