MAT.1.1	Kabuttuanna Yesus Kristus peampoanna tomaraya Daud, peampoanna Abraham, susi inde laoannae:
MAT.2.5	Natimba'mi nakua: “Dio tondok Betlehem illalan lembangna Yudea annu innang dengan battakadanna Puang Allata'alla nauki' mesa nabi nakua:
MAT.2.6	‘O tondok Betlehem illalan lembangna Yehuda, tae'ko la mala dipa'barinni'i illalan alla'-alla'na tondok kamai illalan lembangna Yehuda.
MAT.2.6	Annu iko la nangei buttu perepi' to la ungkambi' petauangku to Israel.’ ”
MAT.2.7	Mangkaii, untambai bunimi to untarru' penono'na bentoen Herodes anna kutanai manappai piran anna buttu itin bentoenno. 
MAT.2.8	Mangkai nakutanai, nasuami lako Betlehem anna pakari'di'i nakua: “Laomokoa' umpeang manappa itin anakko, ianna mulambi'mo pakarebainakkao angku lao kao duka' umpenombaii.”
MAT.2.9+MAT.2.10	Mangkanna mantula' tomaraya mengkalaomi. Ummita omi bentoen mangka naita yaya tandai kabuttuan allo napolalan dore'. Nayoloanammi inde bentoenne anna torro yao sipatunna angngenan nangei inde anakke. 
MAT.2.11	Tamami banua, ummitami inde anakke sola Maria indona. Malimuntu' asammi umpenombaii. Umbukaimi pa'pengngeanna anna umpebeen pa'petandona lako inde anakke iamo bulawan, lite kayu bumanangnga' disanga kemenyan, anna lite kayu senga' disanga mur. 
MAT.2.12	Lalan senga'mo naola anna ma'pasulemo lako tondokna annu mangka napangngimpi napakari'di' Puang Allata'alla tae' la ma'pasule lako Herodes.
MAT.2.13	Le'bai to untarru' penono'na bentoen, mangngimpimi Yusuf napellambi'i malaeka'na Dewata anna ma'kada nakua: “O Yusuf, millikko alai itin anak sola indonao ammu kondonganni lako Mesir annu la napeang Herodes napatei. La torrokoa' dio sae lako nalambi' attunna kupantula'i pole oko.”
MAT.2.14	Millik siami Yusuf anna ummala inde anak sola indonae anna mengkalao lako Mesir bongi ia siamo too. 
MAT.2.15	Torromi dio sae lako bonno' Herodes. Kara-kara iatoo dadi anna malara lemba' battakadanna Puang Allata'alla napalanda' nabinna nakua: “Kutambai dio mai Mesir anakku.”
MAT.2.16	Naissananna Herodes kumua napakenamia to untarru' penono'na bentoen, keara' siami. Napolalan umpopepatei angganna ana'-ana' muane illalan tondok Betlehem anna lako tondok sikadappi'na, mengkalao dio mane dadinna sae lako anak dua taun, napasipolean attu mangka narangngi napokada to untarru' penono'na bentoen. 
MAT.2.17	Susimi tee napolalan lemba' battakadanna Dewata napalanda' nabi Yeremia nakua:
MAT.2.18	“Dirangngimi to umbating dio tondok Rama,
MAT.2.18	Rahel umbatingngi anakna
MAT.2.18	anna moka dipakaranga
MAT.2.18	annu pa'de asammi anakna.”
MAT.2.19	Mangkai bonno' Herodes, mangngimpimi Yusuf dio Mesir napellambi'i malaeka'na Dewata anna ma'kada nakua: 
MAT.2.20	“Millikko, baai itin anak sola Maria indonao ammu ma'pasulea' lako Israel, annu mangkami bonno' to la umpatei itin anakko.” 
MAT.2.21	Millik siami Yusuf anna mengkalao lako Israel umbaa inde anak sola indonae. 
MAT.2.22	Sapo marea' ma'pasule lako lembangna Yudea annu napelele kumua Arkhelaus ussonda Herodes ambena mentomaraya dio. Lu lakomi lembangna Galilea annu mangka napangngimpi napaturoi lalan Dewata. 
MAT.2.23	Saei lako, matana diomi mesa tondok disanga Nazaret. Ia nangei dadi susi anna malara lemba' battakadanna Dewata untula' Anakna napalanda' nabinna nakua: “La digente' to Nazaret.”
MAT.3.1	Masaei mangkanna, saemi Yohanes to simantedok dio padang alla' illalan lembangna Yudea anna parandukki umpalanda' kadanna Puang Allata'alla nakua: 
MAT.3.2	“Mengkatoba'mokoa' annu madappi'mi kasaeanna kaparentaanna Puang Allata'alla.” 
MAT.3.3	Yohanesmo napatu kadanna nabi Yesaya anna ma'kada nakua:
MAT.3.3	“Dengan tau dio padang alla' metamba-tamba nakua:
MAT.3.3	‘Patokanni lalan Dewata,
MAT.3.3	maloloananni lalan la naola.’ ”
MAT.3.4	Inde Yohanes to simantedokke bulu unta napa'bayu anna balulang napa'beke',
MAT.3.5	Sasaeammi tau lu dio mai Yerusalem, anna dio mai lembangna Yudea anna angganna tondok dio sikadappi'na Salu Yordan umpellambi'i Yohanes. 
MAT.3.6	Ummakui asammi kasalaanna anna tedokki dio Salu Yordan.
MAT.3.7	Buda duka' to Farisi sola to Saduki
MAT.3.8	Pakawananni kumua mengkatoba' tongammokoa' ummolai panggauammua'. 
MAT.3.9	Daua' anna kendek illalan penawammu kumua tae'koa' la napabambanni sangka' Puang Allata'alla annu peampoannakoa' Abraham. Annu kutulasangkoa' sitonganna, inde mai batue la mala napopendadi peampoanna Abraham Puang Allata'alla. 
MAT.3.10	Tokami wase dio to' kayu la dilellengan kayu tae' kembua mapia anna ditibe tama api. 
MAT.3.11	Wai kao kutedokangkoa' la tandana kumua mengkatoba'mokoa'. Sapo dengan la sae windingku marru untondon kakuasaangku annu moi angga palopakna la kualaianni, tae'na' la sipato'. Inde taue Penawa Masero sola api la natedokangkoa'. 
MAT.3.12	Tokami petappi dio limanna la natappian gandum. Angganna gandum malapu' naanna tama talukun, anna tappianna la ditibe tama api tae' la nabela pi'de.”
MAT.3.13	Attu iatoo, saemi Puang Yesus dio mai Galilea umpellambi'i Yohanes dio Salu Yordan la natedok. 
MAT.3.14	Sapo nasandak Yohanes nadapai nakua: “Sitonganna kao la sipato' mutedok. Maakari anna Ikora sae umpellambi'ina' la kutedok?”
MAT.3.15	Sapo natimba' Puang Yesus nakua: “Pabeaina' mutedok temo annu la taola ungganna'i angganna pa'kuanna Puang Allata'alla.” Naturu'mi Yohanes pelaunna napolalan natedok.
MAT.3.16	Mangkai ditedok, kendekmi dio mai wai Puang Yesus. Ummitami langi' titungka' anna turun Penawanna Puang Allata'alla susi dangan-dangan urrampoii. 
MAT.3.17	Dirangngi siami kamara yao mai suruga nakua: “Iamo te Anakku to kukamaseie anna to umpomasannang penawangku.”
MAT.4.1	Mangkai too, natettemi Penawa Masero Puang Yesus lako padang alla' annu la nasudi ponggawana setang. 
MAT.4.2	Ma'puasami
MAT.4.3	Saemi ponggawana setang
MAT.4.4	Sapo natimba' Puang Yesus nakua: “Dengan tiuki' illalan Buku Masero nakua:
MAT.4.4	‘Tangngia angga roti la napotuo ma'rupa tau, sapo angganna battakadanna Puang Allata'alla.’ ”
MAT.4.5	Mangkaii, ussolammi Puang Yesus lako Yerusalem, kota masero, anna payaoi bubungan Banua Ada'na Puang Allata'alla 
MAT.4.6	anna ma'kada lako nakua: “Ianna Anakna tongangko Puang Allata'alla, dondonangko kalemu rokko annu dengan tiuki' illalan Buku Masero nakua:
MAT.4.6	‘La ussua malaeka'na Puang Allata'alla umpesangkaiko,
MAT.4.6	anna timangko
MAT.4.6	indana titumbu lentekmu lako batu.’ ”
MAT.4.7	Natimba' Puang Yesus nakua: “Dengan duka' tiuki' illalan Buku Masero nakua:
MAT.4.7	‘Dau ussandak-sandak Puang Allata'alla Dewatammu.’ ”
MAT.4.8	Ussolaan pole omi Puang Yesus langngan tanete malangka' anna paitaii angganna kaparentaan illalan lino sitonda kamalekeanna 
MAT.4.9	anna ma'kada nakua: “Angganna tende lakoe la kupalulako asan kalemu ke malimuntu'ko dio oloku umpenombaina'.”
MAT.4.10	Ma'kada Puang Yesus lako nakua: “Pallaiko lao Setang! Annu dengan tiuki' illalan Buku Masero nakua: ‘Penombaiko Puang Allata'alla Dewatammu, anna angga lako kalena la muola memala'.’ ”
MAT.4.11	Le'ba siami ponggawana setang umpellei Puang Yesus. Saemi malaeka'na Puang Allata'alla ussaraii.
MAT.4.12	Tappana naissanan Puang Yesus kumua ditarungkun Yohanes to simantedok,
MAT.4.13	Untampemi Nazaret lu lako tondok Kapernaum anna torro dio. Inde Kapernaum-e dio biring Tasik Galilea illalan lili'na litak katawaanna Zebulon anna Naftali. 
MAT.4.14	Ia nangei lu lako Kapernaum Puang Yesus anna malara lemba' battakadanna Dewata napalanda' nabi Yesaya nakua:
MAT.4.15	“Litak katawaanna Zebulon anna Naftali,
MAT.4.15	lalan lako Tasik Galilea, tandai lianna Salu Yordan illalan lembangna Galilea,
MAT.4.15	litakna tau senga' salianna to Yahudi.
MAT.4.16	Ummitami kamasiangan passassang
MAT.4.16	to nakala' kamalillinan,
MAT.4.16	anna to illalan lembangna kamatean,
MAT.4.16	naarrangmi kamasiangan.”
MAT.4.17	Saena Puang Yesus dio Kapernaum, naparandukmi napa'peassakan lako tau buda kumua: “Mengkatoba'mokoa' annu madappi'mi kasaeanna kaparentaanna Puang Allata'alla.”
MAT.4.18	Pissan attu ummundu' biring Tasik Galilea Puang Yesus. Ummitami dua to sirondong disanga Simon (sidikuaan toi Petrus) anna disanga Andreas marassan madala, annu innang to simadala. 
MAT.4.19	Napa'kadaimi Puang Yesus nakua: “Maikoa' ammu turu'na' annu la kupatudukoa' undala ma'rupa tau.” 
MAT.4.20	Mengkalao siami untampe dalana anna le'ba unturu' Puang Yesus.
MAT.4.21	Umpatarru'mi penonosanna, ummita pole omi to sirondong disanga Yakobus anna Yohanes, anakna Zebedeus, marassan umpapia dalana sola ambena illalan lopinna. Natambaimi duka' Puang Yesus, 
MAT.4.22	napolalan bassi umpellei lopinna sola ambena, anna le'ba unturu' Puang Yesus.
MAT.4.23	Ulleleammi banua pa'sambayanganna to Yahudi Puang Yesus illalan lili'na Galilea ma'patudu anna umpalanda' Kareba Kadoresan kumua madappi'mi kasaeanna kaparentaanna Puang Allata'alla. Anna umpomalapu' to masaki dio mai ma'rupa-rupa saki anna rammun. 
MAT.4.24	Tappa silelemi karebana Puang Yesus dio lembangna Siria, napolalan buda tau sae umpellambi'i pantan umbaa to masakinna. Inde mai to masakie narua ma'rupa-rupa saki, to ussa'dingan kamapa'disan, to natamai setang, to lintu manukan, anna to balimbingan. Napomalapu' asammi Puang Yesus, 
MAT.4.25	napolalan buda tau ma'karompo' ummula'i, dengan to lu dio mai lembangna Galilea, dengan to lu dio mai lembangna Dekapolis, dengan to lu dio mai Yerusalem, dengan to lu dio mai lembangna Yudea, anna dengan to lu sambali' mai lamban lianna Salu Yordan.
MAT.5.1	Inde anna ummitamo tau buda Puang Yesus-e, lu langngammi tanete anna ma'loko. Saemi passikolana umpellambi'i.
MAT.5.2	Naparandukmi Puang Yesus ma'patudu nakua:
MAT.5.3	“Kerongko' angganna to ussanga kalena to tapalambi', to anggamo Puang Allata'alla narannuan, annu la tama kaparentaanna Puang Allata'alla.
MAT.5.4	Kerongko' angganna to masussa penawanna, annu la napakaranga Puang Allata'alla.
MAT.5.5	Kerongko' angganna to malenna' penawa, annu la untarima pa'dandinna Puang Allata'alla.
MAT.5.6	Kerongko' angganna to morai liu la umpogau' pa'kuanna Puang Allata'alla, annu la napalosso' inawanna Puang Allata'alla.
MAT.5.7	Kerongko' angganna to pa'rantangan bua, annu la narantangan bua Puang Allata'alla.
MAT.5.8	Kerongko' angganna to ma'penawa mapatting, annu la silambi' Puang Allata'alla.
MAT.5.9	Kerongko' angganna to umpaombo' kasikalinoan, annu la digente' anakna Puang Allata'alla.
MAT.5.10	Kerongko' angganna to didarra annu unturu' pa'kuanna Puang Allata'alla, annu la tama kaparentaanna Puang Allata'alla.
MAT.5.11	Kerongko'koa' ke ditellekoa' anna dipakario-rio sola dipatampoi angganna kakadakean ura'na kapangngoreanammua' lako kaleku. 
MAT.5.12	Susimi duka' nabi yolona buda didarra. Dadi la dore'koa' ke nalambi'koa' kara-kara iatoo annu tokami pa'tamba' yao suruga la nabengangkoa' Puang Allata'alla.”
MAT.5.13	“Ikomoa' dipasirapan sianna lino. Ianna matammangmo sia ta'mo diissan dipamassin sule. Ta'mo dengan gunana, ditibe babangmi lao nasilullu'-lullu'i tau.
MAT.5.14	Ikomoa' dipasirapan kamasiangan la ummarrang ma'rupa tau illalan lino. Ianna dengan tondok yao tanete tae' dengan leleanna tae' la naita tau. 
MAT.5.15	Tae' dengan tau la umpau' ballo anna mane palumbangngi busso. Sangngadinna la napayao innang angngenanna anna malara ummarrang angganna tau illalan banua. 
MAT.5.16	La susimi duka' pangngarrangmu la nakawanan angganna tau anna malara ummita gau' mapiammu napolalan umpakasalle Ambemu yao suruga.”
MAT.5.17	“Daua' anna kendek illalan penawammu kumua kasaeangku tama lino la umpa'dean issinna sura'na Musa anna pepatudu illalan sura'na nabi. Tae'nakkao la sae umpa'deanni sapo sae kuganna'i.
MAT.5.18	Kutulasangkoa' sitonganna, ianna ta'pa pa'de langi' anna lino, tae' duka' dengan la dipa'dean issinna sura'na Musa moi podo sangkanuku malotongmo ke ta'pa lemba' asan. 
MAT.5.19	Iamo too benna-benna umpa'dean issinna sura'na Musa moi mesamo randan barinni'na anna pa'patuduanni lako tau senga', innang la to takeangga' illalan kaparentaanna Puang Allata'alla. Sapo benna-benna umpalakoi anna pa'patuduanni lako tau senga', innang to la keangga' illalan kaparentaanna Puang Allata'alla. 
MAT.5.20	Dadi paillalan penawai inde tula'kue: Tae' dengan leleammua' la tama kaparentaanna Puang Allata'alla, ke tae'koa' untondon to untarru' issinna sura'na Musa anna to Farisi umpogau' pa'kuanna Puang Allata'alla.”
MAT.5.21	“Muissanammia' pepatudu mangka dipalanda' lako neneta nakua: ‘Daua' papatean; benna-benna papatean, la dipabambanni sangka'.’ 
MAT.5.22	Sapo kukua Kao temo lako kalemua' benna-benna keara' lako padanna, la dipabambanni sangka'. Benna-benna ma'kada lako solana nakua: ‘Tae' dengan gunamu,’ la dibaa lako pa'bisara aluk. Anna benna-benna ma'kada lako solana nakua: ‘Oma'ko,’ la sipato' dipatama api naraka.
MAT.5.23	Dadi, ianna marassangkoa' memala' langngan Puang Allata'alla anna mukilalai kumua dengan tau mangka mupa'di' penawa, 
MAT.5.24	patorro salapi kapemalasammu ammu lao sikapia itin solamuo. Mangkai too malamoko pole' umpatarru' kapemalasammu langngan Puang Allata'alla.
MAT.5.25	Pa'rapanan dengan tau umparapa'ko lako pa'bisara aluk, peangko lalan ammu sikapiaa' ummola lalan, bayuammu ta'pa ullambi' angngenan pa'bisara. Annu' ianna tae' mupateen, la nasorongko balimmu rokko lisu pala'na pa'bisara anna mane patarru'ko lako polisi pa'bisara, anna mane pole' patamako tarungkun polisi. 
MAT.5.26	Kutulasangkoa' sitonganna, tae' dengan leleammu la dipasuun illalan mai tarungkun ke tae' kebaya' asan indammu.”
MAT.5.27	“Muissanammia' pepatudu kumua: ‘Dau ullullu' pa'bannetauan.’ 
MAT.5.28	Sapo kukua Kao temo: benna-benna unnenne'i baine anna kendek kamailuanna, tau iatoo ullullu' pa'bannetauan illalan penawanna. 
MAT.5.29	Ianna mata kanammu untumangko kasalaan, lessu'i lao ammu tibei. Annu dotamia ungkapa'deiko matammu sabali, anna la sangkalebu kalemu dipa'tibean tama naraka. 
MAT.5.30	Ianna lima kanammu la untumangko kasalaan, poloi lao ammu tibei. Annu dotamia ungkapa'deiko limammu sabali, anna la sangkalebu kalemu dipa'tibean tama naraka.”
MAT.5.31	“Dengan duka' mesa pepa'guruan nakua: Benna-benna ussisarakan bainena, la umbeen sura' kasisarakan bainena. 
MAT.5.32	Sapo kukua Kao temo: benna-benna ussisarakan bainena salianna ke ullullu'i pa'bannetauan bainena, tau iatoo untumang bainena ullullu' pa'bannetauan ke kemuane polei. Anna benna-benna umpobaine inde baine nasisarakan muanenae, tau iatoo ullullu' pa'bannetauan.”
MAT.5.33	“Muissanammia' pepatudu mangka dibeen neneta nakua: ‘Daua' tokke' ma'pinda-pinda babang, sapo pengnganda' tonganni ke dengan aka mangka mupa'pindai dio olona Dewata.’ 
MAT.5.34	Sapo kukua Kao temo lako kalemua': Tae'koa' mala ma'pinda-pinda, susi la umpa'pindai suruga annu iamo tongkonan layukna Puang Allata'alla, 
MAT.5.35	tenni la umpa'pindai lino annu iamo pente'dakanna Puang Allata'alla. Tae'koa' duka' mala umpa'pindai Yerusalem annu iamo nangei Tomarayanna angganna tomaraya. 
MAT.5.36	Tae'koa' mala umpa'pindai ulummu annu tae' dengan kakuasaammua' la umpomabusa beluakmu battu' la mupomalotong, moi la salamba'mo. 
MAT.5.37	Sapo anggamia' la mukua ‘Io’ battu la mukua ‘Tae'.’ Ianna dengampa murangnganni, pa'damanamo ponggawana setang.”
MAT.5.38	“Mangkamia' murangngi pepatudu nakua: ‘Dialai matanna to ummalai matanna solana anna diressuian isinna to ummalai isinna solana.’
MAT.5.39	Sapo kukua Kao temo lako kalemua': Daua' umbala'i to umpogau' kakadakean lako kalemu. Sapo ianna dengan untampiling papo kanammu, tananan polei papo kairimmu. 
MAT.5.40	Ianna dengan umparapa'ko lako pa'bisara aluk annu morai la ummala bayummu, bengan polei bayu rui'mu. 
MAT.5.41	Ianna dengan tau umpassako umbaanni porewana sangkilo mambelanna, paduai kilo muola umbaanni. 
MAT.5.42	Ianna dengan aka-akammu napelau tau, beenni. Ammu dau tutu'ian lalan to la mangngindan lako kalemu.”
MAT.5.43	“Mangkamia' murangngi pepatudu kumua: ‘Kamaseikoa' solamu ammu kabassi ewalimmu.’ 
MAT.5.44	Sapo kukuangkoa' temo: Kamaseikoa' ewalimmu ammu pa'sambayanganni to undarrakoa'. 
MAT.5.45	Ianna mupasusi tee, la kawanan kumua anakna tongammokoa' Ambemu yao suruga. Annu Puang Allata'alla umpadellek mata allo susi lako to umpogau' kamapiaan tenni lako to umpogau' kakadakean anna umpadengan uran lako to umpogau' kamaloloan tenni lako to umpogau' kakadakean. 
MAT.5.46	Annu akamo la saromua' ke anggami to ungkamaseiko mukamasei? Annu tuang passima duka', to musangaia' to kasalaan, anna siungkamasei to ungkamaseii. 
MAT.5.47	Ianna anggamo sangkalamma'mu mupa'kadai, tae' dengan alla'na panggauammua' tau senga'. Annu to tama'dewata duka' anna ma'gau' susi. 
MAT.5.48	Iamo too kenamala angganna panggauammu tae' dengan sassana susi Ambemu yao suruga tae' dengan sassana.”
MAT.6.1	“Pengkilalaii, daua' umpalako sara'na alukmu ke anggari la mupa'paitaan lako tau kamban. Annu ianna susi too, ta'mo la dengan saromua' yao mai Ambemu yao suruga.
MAT.6.2	Ianna ma'petandokoa' lako to mase-mase, daua' pa'peassakanni susi sinapalako to ma'dua tambuk illalan banua pa'sambayangan sola lako tangnga lalan annu morai la natede tau buda. Sitonganna itin matin tau susio untarimamia sarona ke natedei tau buda. 
MAT.6.3	Sapo ianna dengan aka-akammua' la mutandoian to mase-mase, pomatimminni indana issananni tau senga'. 
MAT.6.4	Angga iko la ummissananni anna Ambemu yao suruga to ullosa angga maritik sae lako kara-kara membuni, la umbengangko saromu.”
MAT.6.5	“Ianna ma'sambayangkoa', tae'koa' la susi to ma'dua tambuk sinaporai ke'de' ma'sambayang illalan banua pa'sambayangan, battu lako lalan maroa' anna malara naita tau buda. Sitonganna, tau susi too untarimamia sarona ke natedemi tau. 
MAT.6.6	Sapo ianna ikoa' ma'sambayang, tamakoa' tambingmu ammu tutu'i ammu mane ma'sambayang langngan Ambemu to tadiita. Anna Ambemu to ullosa angganna membuninna, la umbengangkoa' saromu.
MAT.6.7	Ianna ma'sambayangkoa', tae'koa' la susi to tangngummissanan Dewata umpa'sule-sulei tula'na. Annu nasanga la naperangngii Dewata ke kalandoi sambayangna. 
MAT.6.8	Dau pa'pasusii, annu naissanan asan Ambemu kaparalluammua' moika anna ta'pa lemba' dio pudukmu. 
MAT.6.9	Sapo ianna ma'sambayangkoa' la mukua:
MAT.6.9	‘Ambeki yao suruga,
MAT.6.9	dipomasero sangammu.
MAT.6.10	Paombo'mi kaparentaammu,
MAT.6.10	anna dituru' pa'kuammu
MAT.6.10	illalan lino susi yao suruga.
MAT.6.11	Beengkan nande la siruanna kiande allo temo.
MAT.6.12	Ammu garri'iangkan kasalaangki,
MAT.6.12	susi kami unggarri'imo to kasalaan lako kaleki.
MAT.6.13	Dau pabeaikan disudi la umpogau' kasalaan,
MAT.6.13	sapo la mupasikambelakan kakuasaanna kakadakean.
MAT.6.13	[Annu Ikomo to ummampui kaparentaan, kakuasaan, anna kamatandean sae lako-lakona. Amin.]’
MAT.6.14	Annu ianna unggarri'iko kasalaanna padammu ma'rupa tau, la nagarri'iangkoa' duka' kasalaammu Ambemu yao suruga. 
MAT.6.15	Sapo ianna tae'koa' unggarri'i kasalaanna padammu, tae'koa' duka' nagarri'ian kasalaammu Ambemu yao suruga.”
MAT.6.16	“Ianna ma'puasakoa', daua' ma'patingkurrung leen susi to ma'dua tambuk annu sinaangga'i umpalumalin rupanna anna malara naita tau kumua marassan ma'puasa. Kupokadangkoa' sitonganna, itin matin tau susio untarimamia sarona ke natedemi tau. 
MAT.6.17	Sapo ianna ikoa' ma'puasa, mendau'koa' ammu meselak manappa, 
MAT.6.18	anna malara tae' naissanan tau senga' kumua marassangko ma'puasa. Sapo angga Ambemu to tadiita ummissananni. Annu Ambemu yao suruga to ullosa angga maritik sae lako kara-kara membuninna la umbengangko saromu.”
MAT.6.19	“Daua' urrempun ewanan illalan lino, annu la naande panattak, ta'gasan, anna la naboko tau. 
MAT.6.20	Sapo rempun yaori suruga ewanammu annu tala naande panattak, tala ta'gasan, dapakaia la naboko tau. 
MAT.6.21	Annu umba-umba angngenan nangei ewanammu, iamo duka' nangei penawammu.
MAT.6.22	Mata sirapan ballona batang kaleta. Ianna masiang matammu, masiang asan duka' sangkalebu kalemu. 
MAT.6.23	Sapo ianna mapa'di' matammu, manassa anna tae' dengan aka muita susi to illalan kamalillinan. Dadi ianna pi'de kamasiangan illalan kalemu, manassa anna kali'likangko.
MAT.6.24	Tae' dengan tau la nabela umpengkarangan dua puang annu la naturu' manappa mesa, anna la napaboko'i penawa mesa. Battu' dikua marru la napakalando mesa anna tae' la naperangngii mesa. Susimokoa' duka', tae' la mubela umpalulangngan Puang Allata'alla penawammu ke mupasiolanni untombon ewanan lino.”
MAT.6.25	“Iamo too kupokadangkoa' matin temo: Daua' malallan umpikki' salu katuoammu kumua akamo la diande sola diiru'. Tae'koa' duka' la malallan umpikki' batang kalemu kumua akamo la dipake. Annu katuoanna ma'rupa tau tae' angga la ummande anna batang kalena tae' angga la ma'pake. 
MAT.6.26	Pikki'pia' katuoanna dassi langngan loa, tala mangngambo', tala mepare, dapakaia la mallika'. Sapo moika anna susimo too, tontong liu duka' nabengan nande Ambemu yao suruga. Tae'ka marru keangga'koa' iko anna la itin lako dassio? 
MAT.6.27	Tae' dengan tau mala ullombungngi sunga'na moi titti'mo annu malallan umpikki' salu katuoanna.
MAT.6.28	Maakari ammu malallan umpikki' la mupakena? Petua'pi bunga-bunga lako pasang, tala mengkarang, tala ma'tannun. 
MAT.6.29	Sapo marru untondon kamalekeanna pakeanna tomaraya Salomo yolona, moika anna iamo randan tomakaka. 
MAT.6.30	Inde lako reue tuo temo disumpunni makale', sapo napomaleke Puang Allata'alla. Senga'mia' iko too, sapo tangkaangkoa' mangngorean. 
MAT.6.31	Iamo too daua' malallan umpikki' salu katuoammu kumua: ‘Akamo la kiande? Akamo la kiiru'? Anna akamo la kipake?’ 
MAT.6.32	Itin matin kara-kara susio napeang to tae' ummissanan Puang Allata'alla. Sapo tae'koa' iko la susi, annu innang naissanan iko Ambemu yao suruga angganna kaparalluammu. 
