MAT.1.1	Annayan mansùsùnufan na nginkanà an Jesu Cristu wi kanà David wi kanà ako Abraham.
MAT.2.16	Inakammun pu Herod wi sinikapan chachi nangad-achar ta fituwon à siya, naam-amod na og-otna. Ad illintogna wi mapatoy na losani an-ananà wi larai ad Betlehem ya sinakupna wi mantawon à chuwa ya uray kurang à machuway tawon. Tan umoy à chuway tawon na naparafas nanipud ta nail-an na fituwon wi imfakan chachi nangad-achar ta fituwon.
MAT.2.17	Ad sachin tummuttuwaan na imfakan Jeremias wi profeta ta awi wi anana,
MAT.2.18	“Mamagngor na ngonot ad Rama
MAT.2.18	wi amochi ifil ya chomchom.
MAT.2.18	Ifilan Raquel chachi kanàna tan natoycha.
MAT.2.18	Ad achi pu maàarù
MAT.2.18	tan naamin natoy na kanàna.”
MAT.2.19	Natoy pun à Herod, asin nampain-inop na anghel Apudyus an Jose ad Egipto, 
MAT.2.20	ad anana, “Fumangon-a ta ilayawnun man-ina ta mangulin-ayud Israel, tan natoy losan chachi maryad mangtoy ta annay anà.” 
MAT.2.21	Siyan illayaw Jose na man-ina ad nangulinchad Israel.
MAT.2.22	Ngim chingngor pu Jose wi sinukatan Arkelao à amanay Herod wi man-ali ad Judea, ummogyat wi umoy ad aschi. Siyan asin nipain-inop an siya wi Galilea na umayancha, 
MAT.2.23	ad ummoycha finumroy ta osay ili wi ananchay Nazaret. Nàwan sachì tummuttuwaan na imfakan na profetas ta awi wi anancha, “Awakan na takù siyà iNazaret.”
MAT.3.1	Lummaus ad na am-annay tawon, iningkaw na osay larai wi nangngachan à Juan wi anancha koy Mamfufunyag wi ummoy ta ikaw wi maid pu ili, ad illukinay mangitudtuchu ta takuy mituntun-ud an siya. 
MAT.3.2	Anana, “Masapur ifafawiyun lawingi oy-oyyoonyu, tan chanchanin mallukiyan na Manturayan Apudyus!” 
MAT.3.3	Na sachi Juan, siyan inug-ugkud Isaias wi profetan Apudyus ta awi, wi anana,
MAT.3.3	“Awad na osay taku ta ikaw wi maid pu ili,
MAT.3.3	wi mangip-ip-aw ta taku anani,
MAT.3.3	‘Annay chumatong na Apu.
MAT.3.3	Pafaruwonyun somsomòyu ya mansakanaayu
MAT.3.3	wi isun na mangikakatan ta charan
MAT.3.3	nu siya chumatong na Ali!’”
MAT.3.4	Na luput Juan, inafor wi chutchut na kamar, ya uglit na tàyadna, ad chuchun ya chilun aannona. 
MAT.3.5	Ad na ad-adchuwani taku, ummoycha chingngor na itudtuchuna, wi narpuchad Jerusalem ya losani sakupon na provinsiya wi Judea ya losan akoy ili wi achani ta Chawwang wi Jordan. 
MAT.3.6	Ad imfafawichan fasurcha, ad finunyakan Juan chicha ta sachi chawwang.
MAT.3.7	Ngim na nangil-an Juan ta achuy Fariseo ya Saduceo wi ummoy an siya mampafunyag, ananan chicha, “Apay, chiayuy nasikap! Sinun nangifakan chiayu wi mampafunyag-ayu kay ta ilisiyun chusan Apudyus ta taku? 
MAT.3.8	Masapur oyyoonyun sinuy mangipaila wi tuttuway namfafawiayu ta fasuryu. 
MAT.3.9	Ad achiyu namnamaoni mailisiyun kachusaanyu ta mangwanaanyuy kanà Abraham chiayu. Tan ifakà an chiayu, wi uray na anchanayay fatu, mafalini mamfalinon Apudyus chichà kanà Abraham nu piona! 
MAT.3.10	Na miyalikan na manusaan Apudyus ta taku, isù pannakur wi nififiyad wi manipur ta ayu ta lamutna. Siyan losani ayu wi achi pu mamkas à mamfaru, masipur ad maskob. 
MAT.3.11	Chanum yakan ifunyag-ù mangipaila wi namfafawiayu ta fasuryu. Ngim awad na umali wi misukat an saon wi nangatngatu nu saon, wi kurangà à mansaniluna. À siya, ifunyagnan chiayun Ispiritun Apudyus ya apuy. 
MAT.3.12	Ad nu umali, ilasinnan mamfaruy taku ta lawing, wi isun na mantopà finayu wi ilasinnan finayu ta chuki. Na finayu, iyarangna, ngim na chuki, mifallu ta apuy wi achi pu masobsofan.”
MAT.3.13	Na sachi timpu, chummatong à Jesus wi narpud Galilea wi ummoy mampafunyag an Juan ta sachi Chawwang wi Jordan. 
MAT.3.14	Ngim ummisì à Juan, wi anana, “Sia kuman mamunyag an saon, ngim ummalian saon pafunyag!”
MAT.3.15	Ngim summongfat à Jesus anani, “Sian mamunyag an saon, tan siyan mangwaanta ta losani pion Apudyus.” Siyan nanay-ù Juan.
MAT.3.16	Nafunyakan pun à Jesus, lummoswa ta chanum, ad niwanit ad langit ad innilanan Ispiritun Apudyus wi nan-osog lummap-oy an siya wi isù karupati. 
MAT.3.17	Ad iningkaw na kinga wi narpud langit, wi anana, “Sanat na anàu wi ay-ayatò. Maragsakanà an siya.”
MAT.4.1	Sachi ad impuyut na Ispiritun Apudyus à Jesus ta ikaw wi maid pu takù ingkaw ta sachin mamachasan Satan an siya makafasuron. 
MAT.4.2	Ad ta unog na opatpuruy padcha ta sachi wi foon pù nangnangan, siyan nafitifitil. 
MAT.4.3	Siyan ummoy Satan padpachason à siya, wi anana, “Nu tuttuway anà sian Apudyus, mamfarfalinom tinapoy na anchanayay fatu.”
MAT.4.4	Ngim sinongfatana anani, “Niyug-is ta ukud Apudyus wi, ‘Foon pu kà tinapoy afus na ifiyag na taku, ngim masapurcha kon losani ukud Apudyus à mafiyakanchà ing-ingkana.’”
MAT.4.5	Sachi ad inyoy Satan à Jesus ta tabfungan na Templo ta sachi naapudyusani ili wi Jerusalem. 
MAT.4.6	Ad ananan siya, “Nu tuttuway anà sian Apudyus, man-odchag-a, tan niyug-is ta ukud Apudyus wi,
MAT.4.6	‘Filinon Apudyus na aanghelesnà mangayyuwan an sia,
MAT.4.6	siyan sìpawonchà sia,
MAT.4.6	ta uray na chapannu, achi pu masukat ta fatu.’”
MAT.4.7	Ad anan ako Jesus an siya, “Ngim niyug-is ako ta ukud Apudyus wi, ‘Achim padpachason na Apum wi Apudyus.’”
MAT.4.8	Ad inyoy ako Satan à Jesus ta tànangani filig, ad impailanan mansabsafali wi maiturayan ta luta ya kinafarucha. 
MAT.4.9	Ad anana, “Paituray-u losan chachi an sia nu mampalintumong-a wi manayaw an saon.”
MAT.4.10	Ad summongfat à Jesus anani, “Lumayaw-a Satan! Tan na niyug-is wi ukud Apudyus, anana,
MAT.4.10	‘Maid uchum à chayawonyu
MAT.4.10	nu achi afus na Apuyu wi Apudyus,
MAT.4.10	ya afus akò siyà patkonyu!’”
MAT.4.11	Sachi ad lummayaw à Satan, ad ummoy na aangheles finadngan à Jesus.
MAT.4.12	Chingngor pun Jesus wi nifarud à Juan wi Mamfufunyag, nangulin ummoy ad Galilea. 
MAT.4.13	Ngim foon à iningkaw ad Nazaret ngim ummoy ad Capernaum wi achani ta sachi Fayfay wi Galilea wi sakupon Zabulon ya Neftali. 
MAT.4.14	Nàwan sachì tummuttuwaan na inukud Isaias wi profeta ta awi, wi anana,
MAT.4.15	“Mafadngan na takud Zabulon ya Neftali
MAT.4.15	wi chomang na sachi Chawwang wi Jordan
MAT.4.15	wi nan-apot ta Fayfay,
MAT.4.15	wi chichan foon pù Judio
MAT.4.15	wi ingkaw ta provinsiya wi Galilea!
MAT.4.16	Na amaschi wi taku,
MAT.4.16	isù iniingkawcha ta pangot kapu ta fasurcha,
MAT.4.16	ad sachin nisinaanchan Apudyus.
MAT.4.16	Ngim mamfaru ta sana
MAT.4.16	tan marawakan na somsomòcha
MAT.4.16	tan chummatong an chichan napigsay Silaw.”
MAT.4.17	Ad nanipud ta sachi, illukin Jesus wi mangiwarawag ta tudtuchuna anani, “Masapur mamfafawiayu ta lawingi oy-oyyoonyu tan chanchanin milukiyan na Manturayan Apudyus!”
MAT.4.18	Na nanadchadcharanan Jesus ta tarantag na sachi Fayfay wi Galilea, innilanan chuway mansunud wi cha Simon wi ananchay Pedro ya Andres wi manakufur. 
MAT.4.19	Ad anan Jesus an chicha, “Ichulinyunat ad mitun-ud-ayun saon ta sukatà na iwaaryu ta mamatiyonyun takun saon.” 
MAT.4.20	Ad nan-itaynanchan takufurcha ad nitun-udchan siya.
MAT.4.21	Naaaycha pù ait innilan ako Jesus na chuway mansunud wi cha Jaime an Juan ya amachay Zebedeo wi iningkaw ta fangkacha, wi amatonchan takufurcha. Ad inayakan ako Jesus chichay mansunud. 
MAT.4.22	Ad nan-itaynanchà amacha ta fangka ad nitun-udchan Jesus.
MAT.4.23	Ad ummoy à Jesus ta ailiilid Galilea nantudtudtuchu ta sinagogacha wi makimkimungan na Judio, ad inwarawarawagnan Mamfaruy Chamag mipangkop ta Manturayan Apudyus. Ad inaanna kon nan-ob-ofot wi sakit ya likat na taku. 
MAT.4.24	Ad nanchinamag na mipangkop an Jesus ta losani ilid Siria. Siyan inyoy na takun siyan losani nasakit à nan-ob-ofot wi sakit, wi isun na nakafarfaray, nakartoy ya chachi naayayong. Ad impaimfag Jesus chicha losan. 
MAT.4.25	Ad ad-adchuwan na takuy nitun-ud an siya wi narpu ta provinsiya wi Galilea ya Judea ya Decapolis ya Jerusalem ya chachi ili ta chomang na Chawwang wi Jordan.
MAT.5.1	Innilan pu Jesus na ad-adchuwani taku, summang-at ta takudtud ad ummachuy, ad naarus na disipulusnan siya. 
MAT.5.2	Ad tinudtuchuwana chicha anani, 
MAT.5.3	“Maragsak na takuy makaawat wi maid lobfongchay mangwa ta mamfaruwon Apudyus nu achina chicha fadngan, tan mitatappicha ta Manturayan Apudyus!
MAT.5.4	“Maragsak akon takuy manochomchom mipakapu ta lawingi màmàwa, tan paragsakon Apudyus chicha!
MAT.5.5	“Maragsak akon takuy mangipafafa ta long-agcha, tan adchon Apudyus chachi impustanan chicha!
MAT.5.6	“Maragsak akon takuy siya kay pionchay oyyoon na pàwan Apudyus, tan fadngan Apudyus chicha wi mangwa ta mapnokancha!
MAT.5.7	“Maragsak akon takuy manangngaasi ta asintatakuna, tan kaasiyan ako Apudyus chicha!
MAT.5.8	“Maragsak akon takuy siya oy-oyyoonchan pion Apudyus wi maid lawing à pangkopchay mangwa, tan ilanchà Apudyus à tapin na padcha!
MAT.5.9	“Maragsak akon takuy siya oy-oyyoonchan mampatarna ta taku, tan ifilang Apudyus chichà an-ananàna!
MAT.5.10	“Maragsak akon takuy maparpalikatan kapu ta mangwaancha ta pion Apudyus, tan mitapicha ta Manturayanad langit!
MAT.5.11	“Maragsak-ayuy main-insurtu ya maparpalikatan ya mifafain kapu ta manursurutanyun saon. 
MAT.5.12	Uray nu amaschin oyyoonchan chiayu, maragsak-ayu ko kay tan chakor na kunkunayud langit. Tan amaschi kon napaspasamak ta chachi profetas ta awi.”
MAT.5.13	Ad inturuy Jesus wi mantudtuchu, anana, “Isuayù asin ta losani taku ta lufung. Ngim nu maaan na tamtam na asin, maid in-inon wi mangiyulin ta kinaasinna. Mifallu ad chamchampiton na taku tan maid silfina.
MAT.5.14	“Ya isuayu kò silaw wi manlawag ta somsomò na losani takud asnay luta. Na aligna, isuayù ili ta osay takudtud wi mamàila wi achi pu mafalini masar-iwan. 
MAT.5.15	Ad maid pu ko takù paskichanan silaw ad tinab-unana, ngim ipatayna ta losan masilawan na charò na foroy. 
MAT.5.16	Ad amaschi kon linangyu, wi masapur mamàila ta taku. Tan na mangil-ancha ta mamfaruy oyyoonyu, siyan mangichayawanchan Apudyus wi Amayud langit.”
MAT.5.17	Ad inturuy Jesus anani, “Achiyu anani ummalì aanon na Lintog wi inyug-is Moses ya chachi tudtuchun na profetas, tan na ummaliyà, à tumuttuwaan na losani imfakan na niyug-is. 
MAT.5.18	Somsom-onyuna, achi pu mafarfaliwan na Lintog Apudyus. Tan uray nu chumatong na pagpag na annayay luta ya langit, achi pu maaan uray na akàitan ta Lintog ingkanà màwan losan. 
MAT.5.19	Siyan sinumani sumurngasing ta uray kafafaan ta lintogna, ad siya kon itudtuchuna ta uchum, mifilang à siyà kafafaan ta Manturayan Apudyus. Ngim nu sinun manungpar ta losani Lintog Apudyus ya siya kon itudtuchuna ta uchum, mifilang à siyà nangatu ta Manturayan Apudyus. 
MAT.5.20	Siyan na ifakà an chiayu, achiayu pu mitapi ta Manturayan Apudyus nu achiyu pu oyyoon na piona, wi isun chachi Fariseo ya mangitudtuchu ta Lintog. Siyan masapur mamfarun oyyoonyu nu oy-oyyooncha.
MAT.5.21	“Akammuyu wi nanipud ta awi siya nitudtuchun chitaun sachi lintog wi anana, ‘Achiayu pumatoy, tan na pumatoy, makuis ad machusa.’ 
MAT.5.22	Ngim na ifakà an chiayu ta sana, uray na umog-ot yakay ta furunna, makuis ako kay. Ad na takuy manginsurtu ta furunna, micharum ta chachi nangangatuy kukunsisar. Ad na takuy mangwanan ta furunnay, ‘Natingtingangan-a wi maid silfim!’ lobfongnay mifallu ta apuy wi infierno. 
MAT.5.23	Siyan nu awad ichatunyun Apudyus, ad simsimmòyu wi awad na lawingon na furunyun chiayu, 
MAT.5.24	taynanyun sachi ichatunyu ta sangwanan na altar ta ummoyyu kaukud na furunyuy pinachuruwanyu ta man-asipakawan-ayu achiyuwot ichatun na pionyuy adchon an Apudyus.
MAT.5.25	“Ad nu kaspangalikan awad mangicharum an chiayu, ing-ayu umuna makaukud an siya, ta nu mafalin achiyu iyoy ta kuis. Tan nu mipasanguayu ta kuis, sikurachuy ipaifarud chiayu ta pulis, 
MAT.5.26	ad tuttuway achiayu pu miparufus ta fafalluchan ingkanà finayachanyun losani murtayu.
MAT.5.27	“Akammuyu kon nitudtuchu wi anana, ‘Achiayu makachagchakas.’ 
MAT.5.28	Ngim na ifakà an chiayu ta sana, sinumani takuy mangila ta fufai ya simsimmònay makasuyop an siya, isù nakachagchakas ta amaschi somsomòna. 
MAT.5.29	Siyan nu makafasuranyun ilan na atayu, kulikuranyu ad imfalluyu! Tan un-unnoy na makurangan na long-ag nu wachawad na long-agyu ad nifalluayud infierno. 
MAT.5.30	Ad nu siya makafasuranyun oyyoon na imayu, lampokanyu ad imfalluyu! Tan un-unnoy na mapukuranyu nu wachawad losan na long-agyu ad nifalluayud infierno.
MAT.5.31	“Akammuyu kon nitudtuchu wi anana, ‘Nu ichangan na larain asawana, masapur mangwà kasuratan na man-ichangancha.’ 
MAT.5.32	Ngim na ifakà an chiayu ta sana, sinumani larai wi mangichang ta asawana, nakafasur, naragsig yakay nu nakararain asawana. Ad na nakafasurana, nakafasuronan asawanay inichangana nu asin mangasawa. Ad siyan na larai wi nangasawan siya, nakafasur ko.
MAT.5.33	“Akammuyu ko wi nanipud ta awi, intudtuchun chachi aappuyu wi, ‘Achiyu surngasingon na insapatayu, tan masapur oyyoonyun sinumani insapatayun Apudyus wi oyyoonyu.’ 
MAT.5.34	Ngim na ifakà an chiayu ta sana, achiayu umisapatà farangna nu awad ifakayu. Achiyu isapatan langit, tan langit na umaachuyan Apudyus. 
MAT.5.35	Ya isuna koy achiyu isapatan annay luta, tan siyan nipapattayan na ikina. Ad isuna koy achiyu isapatan ili wi Jerusalem tan siyan finumroyan na angatuwani Ali. 
MAT.5.36	Ad achiyu ko isapatan uruyu, tan foon à makàwaayù mamputilà winnu mangngitit à uray osà fuùyu. 
MAT.5.37	Na oyyoonyu kay, ifakayuy ‘Oo’ nu tuttuwa, winnu ‘Foon’ nu foon. Tan nu chog-anyu, Satan na mismuy narpuwan na ichokayu.
MAT.5.38	“Akammuyu kon nitudtuchun chitau wi anana, ‘Na manyam-an ta atan na asintatakuna, masapur mayam-an akon atana. Ad nu sinun manyam-an ta fafan na asintatakuna, masapur mayam-an akon fafana.’ 
MAT.5.39	Ngim na ifakà an chiayu ta sana, achiayu fumaros ta uray sinuy mangwà lawing an chiayu. Siyan nu awad manlipak ta apingyuy chiwawan, palipakyu kon chuwiki. 
MAT.5.40	Ad nu awad mangicharum an chiayu ta aranchan silupyu, adchonyu kon agwana. 
MAT.5.41	Ad nu awad takù pafuudnan ochonnan chiayù osay kilometro, uray fuuchonyù chuway kilometro. 
MAT.5.42	Adchanyun man-ochaw an chiayu, ya pafuruchanyun mamfurud an chiayu.
MAT.5.43	“Akammuyu kon tudtuchu wi anana, ‘Masapur ay-ayatonyun fufurunyu ngim kuraonyun mallawing an chiayu.’ 
MAT.5.44	Ngim na ifakà an chiayu ta sana, masapur ay-ayatonyun mallawing an chiayu, ya masapur iluwaruwanyu kon mamarpalikat an chiayu. 
MAT.5.45	Tan nu amaschin oyyoonyu, isuwonyun Amayud langit. Tan iparufusnan uminitan na init à fumaruwan na losani taku, wi uray lawing ya mamfaru. Isun akon uchan, adchona kò fumaruwan na losani taku, uray na mangwà lawing ya mangwà mamfaru. 
MAT.5.46	Tan kunkunaan Apudyus chiayu nu afus na takuy mangayat an chiayù ay-ayatonyu? Foon, tan uray chachi manchachakup à fukis wi manturtulli, amaschi kon oyyooncha. 
MAT.5.47	Ad nu afus na fufurunyun makaug-ugkuchanyu wi laksikonyun uchum, sinun silfina tan uray na achi pu mamati, amaschi kon oyyooncha! 
MAT.5.48	Masapur iyustuustuyun oyyoonyu, wi isun na kinaustun na Amayud langit.”
MAT.6.1	Ad inturuy Jesus wi mantudtuchu anani, “Man-annad-ayu ta achiyu ipàpaila na takun mangwaanyu ta mamfaru. Tan nu siya kay mangwaanyun pionyuy ichayaw na takù chiayu, foon pù kunkunaan chiayun Amataud langit.
MAT.6.2	“Siyan nu awad adchonyù fachang ta takuy makasapur, achiyu kuma ipàpaila ta losani taku wi isun na oy-oyyoon chachi akinpapati wi mamàpail-on wi umoy ta sinagoga ya arsa wi ipàpailachan mamfaruy oyyooncha ta machayawcha. Ngim tuttuwan ifakà an chiayu, wi narpas na losani kunkunacha. 
MAT.6.3	Ngim à chiayu, nu awad adchonyù fachangyu, ilanyu ta achiyu pu kuma ipaakammu ta uray na mismuy furunyu wi mangatod-ayu, 
MAT.6.4	ta iyagkaawyuy mangatod. Ad à Amatau wi mangiila ta losani achi pu maila, kunkunaan chiayu.
MAT.6.5	“Nu malluwaruayu, achiyu is-isuwwon na oyyoon na anchanay akinpapati wi mamàpail-on! Tan pionchay umoy umagsad malluwaru ta sinagoga ya ikid na arsà mangil-an na takun chicha. Tuttuwan ifakà an chiayu, wi narpas na losani kunkunacha. 
MAT.6.6	Ngim à chiayu, nu malluwaruayu, lumnòayu ta kuwartuyu ad nan-onob-ayu wi malluwaru an Amatau wi achi pu maila. Ad à Amatau wi losanna ilan na achi pu maila, kunkunaan chiayù tapin na padcha.
MAT.6.7	“Ad nu malluwaruayu ko, achiyu anchuanchuwon na luwaruyu wi isun na oyyoon na chachi maid pammaticha, wi anancha pun nu chongron Apudyus chicha kapu ta kinaanchun na luwarucha. 
MAT.6.8	Achiyu is-isuwwon na pinagruwarucha. Tan à Amatau, inaagkammunan masapuryu uray nu chaanyu pù ifaka. 
MAT.6.9	Siyan amasnaonyuy malluwaru:
MAT.6.9	‘Amanid langit,
MAT.6.9	machaychayaw kuman ngachannu.
MAT.6.10	Chumatong kuman manturayam ad asnay luta,
MAT.6.10	ya màwa kuman piom ad asnay lutà
MAT.6.10	isun na màwad langit.
MAT.6.11	Adchan chianì anonni ta finikat.
MAT.6.12	Pakawanon chiani ta lawingi iningwani,
MAT.6.12	à isun na mamakawananni ta chachi fumasur an chiani.
MAT.6.13	Ya ilisim chiani ta achiani pu maawis wi fumasur,
MAT.6.13	ya ilisim ako chiani ta sulisug Satan.’”
MAT.6.14	Ad inturuy ako Jesus anani, “Nu pakawanonyun mangwà lawing an chiayu, pakawanon chiayu kon Amayud langit. 
MAT.6.15	Ngim nu achiyu pu pakawanon chicha, foon pu kò pakawanon chiayun Apudyus.
MAT.6.16	“Nu mallangan-ayuy mangan kapu ta malluwaruwanyun Apudyus, achiyu is-isuwwon chachi akinpapati wi obsonchan itchurachà mangil-an na taku wi mallanganchay mangan. Tuttuwan ifakà an chiayu wi narpas na losani kunkunacha. 
MAT.6.17	Ngim chiayu, nu mallangan-ayuy mangan, manchar-up-ayu ya mansakaysay-ayu, 
MAT.6.18	ta foon pù makailasin na taku wi mallangan-ayuy mangan, ta afus à Amayù mangakammu. Tan à Amayu wi achi pu maila, iillanan losani nitataruy oyyoonyu, ad kunkunaanà chiayù tapin na padcha.
MAT.6.19	“Achiyu patpatkan na fumaknanganyud asnay luta ya manonsonanyu ta asinchuwan, tan machachail ako kay tan yam-anon na laoy ya lasti ya mafalin akoy maakaw. 
MAT.6.20	Ngim na oyyoonyu kuma, patpatkanyun pion Apudyus ta siyan manonson ta kinafaknangyud langit, tan ad aschi, maid pu makachachail ya maid pu ko makaakaw. 
MAT.6.21	Tan na katuttuwaan, sinumani patpatkanyu, kapilitani siya kon som-osom-onyu.”
MAT.6.22	Sachi ad nan-alig à Jesus wi anana, “Na ata, siyan silaw na long-ag. Siyan nu maid pu chufiktun na ata, isù losan nasilawan na long-ag. 
MAT.6.23	Ngim nu awad chufiktun na ata, isù awad na long-ag ta pangot. Siyan nu pangot na marpuwan na linang, isag pumangot.
MAT.6.24	“Maid pu takù chuwan mangituray an siya tan kapilitani ay-ayatonan osa ya lawingonan osa, ya kapilitani patkonan osa ad achina pun na osa. Isuna ko an Apudyus ya pilak, tan nu pilak na napatog an chiayu, sikurachuy achi pu mafalini patkam na pion Apudyus.
MAT.6.25	“Siyan na ifakà an chiayu, achiayu machanakan mipangkop ta masapuryu ta mafiyakanyu, isun na maan ya luput, tan napatpatog na fiyagyu nu maan, ya long-agyu nu luput. 
MAT.6.26	Ilanyun sissiwit, wi tumattattayapcha kay wi achicha pu mammura ya maid apitoncha, ya maid pu ko ichulinchà masapurcha. Ad tamako ta asififiyagcha nù? Oo, tan Amayud langit na mangayyuwan an chicha! Ad foon ayà napatpatog-ayu an Apudyus nu anchanay sissiwit? 
MAT.6.27	Ad na osa, maid pu iturung na chanag tan uray machanachanakan-ayu, maid itur-ayna ta fiyagyu!
MAT.6.28	“Ad taayuko ko machanakan mipangkop ta usaronyuy luput? Ilanyun fokaw, achicha pu man-iwaar winnu mallakà luputcha. 
MAT.6.29	Ngim ifakà an chiayu wi namagmagkit na sabsafungcha nu afaruwani silup Solomon wi siyan afaknangani Ali. 
