GEN.1.1	 Khangla Mühghaüei müh si kaodak yaükei. 
GEN.1.26	Hobaje Mühghaüei laukei, “Senei müt sen tegü, sen phatbüa kümbho; hoba yungnyua ngau thüka hoba mühkabü aushuong thüka hoba samkeisamuk thüka hoba kaodak pendou thüka hoba kaoa paibü pendou thüka haoen bunyu yingshi.” 
GEN.1.27	 Hibü Mühghaüei hao tegü müt yaükei; Mühghaü phatbüa haoei haosi yaükei. Haoei haoen bousu hoba yaksa yaükei. 
GEN.1.28	Hobaje Mühghaüei haosi haükukei; hoba Mühghaüei haosi to laukei, “Bukko haako hauashi, hoba juong haashi, hoba kaodak shentiashi hoba thepetashi. Hobaje yungnyu kabü ngau thüka hoba mühkabü aushuong thüka hoba kaodaka lang kibü ajanjan pendou thüka bunyu yingshi.” 
GEN.1.29	Hobaje Mühghaüei laukei, “Chühashi, kaodaka kibü lilabü hekbü langshangbü buhekdeihek pendou hoba bunyu pendou laoboua hek hekbü ki ngei kan la kuda, kan shanga kho shausiyung kilabü. 
GEN.1.30	Hobaje kaodaka meisiau pendou la hoba mühkabü au pendou la hoba kaoa shanbü pendou la buhekdeihek sangtüngbü shausiyung shanga kuda,” hoba kho tegü kikei. 
GEN.1.31	Hobaje Mühghaüei haoei kümbü pendou hapbei hoba ho aeibou maian kikei. Hobaje chasem si ngeyang kho chalou lakbounyet kikei.
GEN.2.1	Kho tegü müh si kao pendou yeikei. 
GEN.2.2	 Hobaje nyetbounyet Mühghaüei haoei kümbü pendou thonkei; hibü nyetbounyet haoei kümbü kümsilei pendou ka hao haksokei. 
GEN.2.3	Hobaje Mühghaüei chalou nyetbounyet kho haükuko saüenkei; aiei haoei yaübü kümsilei pendou khünei hao haksokei. 
GEN.2.4	Ho müh si kao kümbü meten.
GEN.2.4	Ladang 
GEN.2.5	Kaodaka bulong deilong ai akitei hoba kelang onglang mokhittei; aieilausi Mühghaüei kaodak to lang ayantiko kikei; hoba kao shapla khünei müt che ongkei akitei, 
GEN.2.6	lausikei kaonyu maang ka dei pakkei hoba deiei kaothe pendou to dei lakkei.
GEN.2.7	 Kheijinei 
GEN.2.8	Kheijinei 
GEN.2.9	 Hobaje 
GEN.2.10	Bamang kho nyakko Eden ka shumang che koukei hoba kho ka shumang lei la jankei. 
GEN.2.11	Shaangbou shumang nyen kho Pishon, hoei hon kibü Havila kaodak pendou jembo kouda, 
GEN.2.12	hoba kho kaodak kabü hon kho maibü; hoba khünei phülem hoba oniks laang kia. 
GEN.2.13	Nyiboubü shumang nyen kho Gihon; ho Kush kaijembo kouda. 
GEN.2.14	Hobaje semboubü shumang nyen kho Tigris, ho Assiria chaang aeto kouda. Hobaje leiboubü shumang kho Eufrates.
GEN.2.16	Hobaje 
GEN.2.17	 lausikei maibü si amaibü ngebü bunyu ka nyi teshau; aieilausi nyi laobou chalou ka shaulaje khünyet ka no maimaitham hailabü.”
GEN.2.19	Tou 
GEN.2.20	Hibü müt khoei samkeisamuk pendou hoba mühkabü au pendou hoba yamkabü meisiau pendou la nyen nyenkukei, lausikei Adam shanga thuiyobü müt mubü che ühüpou.
GEN.2.21	Hibü 
GEN.2.22	hoba hiplo laobou 
GEN.2.23	 Kheijinei müt khoei laukei,
GEN.2.23	“Ho tou ngeibü lo ka lo hoba
GEN.2.23	ngeibü phe ka phe;
GEN.2.23	Sao yaksa dogo nyenlabü,
GEN.2.23	Aieilausi sao bousu ka
GEN.2.23	sungenkei.”
GEN.2.24	 Khoei bousuei jembü nyu si bou apyoan jembü yak to maangshikko paplepbo kilabü, hoba ham kho phe chela yeilabü.
GEN.2.25	Bousubou si yaksanyu ham mütkong kikei, hoba haosi ihimouyoko kikei.
GEN.3.1	 Tou 
GEN.3.2	Yaksanyuei pinyu to jongaiko laukei, “Bamang kabü buhek pendou shaula thükkei, 
GEN.3.3	lausikei laobou bamang jenyua ki, kho buhek ka teshau hoba temeiti khei ayinglonga kan hailabü,” dogo Mühghaüei laukei.
GEN.3.4	Lausikei pinyuei yaksanyu to jongaiko laukei, “Maimaitham kan ühailabü. 
GEN.3.5	Aieilausi ladang kanei ho shaulaje kheijineitham kan nyek iplabü hoba kan Mühghaü tegü maibü amaibü ngeko yeilabü, dogo Mühghaüei ngekei.”
GEN.3.6	 Ladang yaksanyuei bunyu kabü buhek kho shaula maibü hoba nyekto loubü hoba songsihon hapla dühlabü che dogo hapbei, saoei kheian shaukei hoba saoei laolakei kukei hoba haoei shaukei. 
GEN.3.7	Kheijinei haosi ham nyek ipbei, hoba haosi mütkong dogo ngean apbei; hoba haosiei bhukyik shiyoan haosieibü mang küplepbei.
GEN.3.8	Kheijinei 
GEN.3.9	Lausikei 
GEN.3.10	Haoei jongaikei, “Ngei bamanga kaibü ngüh ditan ngo mütkong yingbüei hatko hukei.”
GEN.3.11	 Hobaje haoei laukei, “No mütkong dogo ka to aoei lenkei? Ngei ka to teshau dogo laubü buhek kho ka nyi shaukei sai?”
GEN.3.12	Kheijinei müt khoei laukei, “Laobou yaksa nyi kü yoa kila kukei, saoei kho buhek kü la kukei hoba ngei shaukei.”
GEN.3.13	 Kheijinei 
GEN.3.14	Kheijinei 
GEN.3.15	 Hobaje ngei no si yaksanyu kanglanga hoba kaibü lilabü si saoeibü lilabü kanglanga dangbou phokulabü; haoei kaibü khu naknyinkulabü hoba nyi haoeibü youdema püplabü.”
GEN.3.16	Haoei yaksanyu to laukei, “Ngei no na shia künbü onat aei yeitilabü; hoba no na hapbü onat aei yeitilabü; khei yingasikei no kaibü lao to dühbü kilabü, hoba haoei ka thüka songdaklabü.”
GEN.3.17	 Hobaje Adam to haoei laukei, “Ngei teshau laubü bunyu laobou ka nyi ka yakeibü ngüha leko shaukei ka hangshong kaonyua shedsikhau bauda. Kaibü salang sünga khünei hüanmangan shausiyung haplabü. 
GEN.3.18	ka la sang si jak angbü yemtikulabü, hoba nyi khübü yamkabü pikshik shaulabü. 
GEN.3.19	No kao la ayeingai shongko jembü thenyek ka lem longan ong shausiyung haplabü; aieilausi no kao ka sungenkei hoba no kao ki, hoba nyibou no kao la yeilabü.”
GEN.3.20	Adamei haoyak la Ev nyenkukei, aieilausi sao khunakshousi pendoueibü nyu ki. 
GEN.3.21	 Mühghaüei Adam si haoyak la phekhonei mangyuk shian yukkukei.
GEN.3.23	Hibü 
GEN.3.24	Kho tegü haoei müt kho shian sattikei; hoba langkeibü bunyu lomla Eden bamang chaangbou aenei kaakyembü kherabim hoba pendou ae sepeibü jajalalabü inlou che phokei.
GEN.4.1	Adamei haoyak Ev to jambei hoba sao mang akongko apbei, hoba saoei Kain bukkei, hoba laukei, “
GEN.4.2	Hobaje tokei saoei haona Abel bukkei. Hobaje Abel sanlombü kikei, lausikei Kain sekmoubü kikei. 
GEN.4.3	Hobaje jih sühbüa Kainei haoeibü langle ka 
GEN.4.4	 Hobaje Abeleikei sanshuong yoka shaang shatbou hoba khoeibü haabü sungbakei. Hobaje 
GEN.4.5	Lausikei Kain hoba haoeibü lembü asunglet; khoei Kain aeibou khauangkei, hoba hao the khümbei. 
GEN.4.6	Hobaje 
GEN.4.7	Nyi maibü kümalonga no asungletlep si? Hobaje nyi maibü akümlonga shabü kho koukhüna semattiko kia, hoba haoei ka to dühda, lausikei nyi kho thükenjan.”
GEN.4.8	 Hobaje Kainei haona Abel to laukei, “Seti yamto koukho.” Hobaje ladang haosi seka kikei, kheijinei Kainei haona Abel khulimbo meimeikei hoba hao haitikei.
GEN.4.10	Kheijinei 
GEN.4.11	Hobaje tou kaoei kanaeibü sii sungletla haakouan ki hoba kho kao ka ka to shedsikhau bauda. 
GEN.4.12	Nyi ladang kao moulaje kaoei ka la kesiong ayemtikulabü; kaonyudaka no sateibü hoba shoongaibü chela yeilabü.”
GEN.4.13	Kainei 
GEN.4.14	Tat nyi ngo kaothe ka shian sattida; hoba kathe ka ngo hulabü, hoba kaodaka ngo satbümaubü hoba shoongaibü che la yeilabü hoba aoei ngo haplaje haoei ngo haitilabü.”
GEN.4.15	Lausikei 
GEN.4.16	Hobaje Kain 
GEN.4.17	Kain haoyak to jambei hoba sao mang akongko apbei hoba bousushou che Enok bukkukei. Kheijinei Kainei sangnyu che kümbei hoba khola haoshou Enok nyen nyenkukei. 
GEN.4.18	Hobaje Enok la Irad bukkukei; hoba Irad kho Mehujaeleibü bou; hoba Mehujael kho Methushaeleibü bou hoba Methushael kho Lamekeibü bou kikei. 
GEN.4.19	Hobaje Lamekei yak nyi ngakei; cheeibü nyen Ada, hoba lubü cheeibü nyen Zila kikei. 
GEN.4.20	Hobaje Adaei Jebal bukkei; hao neichema kibü hoba samkeisamuk kibü shuongeibü bou kikei. 
GEN.4.21	Hobaje haoeibü na nyen Jubal kikei, hao kongkin si pithung jungeibü shuongeibü bou kikei. 
GEN.4.22	Hobaje Zilaei Tubal Kain bukkei, ao chinam hoba nameibü peisilei pendou jangbü müt kikei; hoba Tubal Kaineibü na yaksa Naama kikei.
GEN.4.23	Lamekei haoeibü yaksi shuong to laukei,
GEN.4.23	“Ada si Zila, kü ngüh ditashi:
GEN.4.23	Kan Lamekeibü yaksi shuong,
GEN.4.23	ngeibü ngüh ditashi:
GEN.4.23	Ngo leilutibü shanga ngei müt che,
GEN.4.23	hoba kü la aktibü shanga ngei heshou che haitia.
GEN.4.24	Kain haitisi langkei nyet lealonga,
GEN.4.24	Maimaitham ngo haitibou toje anjinlei to nyetnei phoklamlabü.”
GEN.4.25	Hobaje Adamei jembü yak to tokei jambei hoba bousushou che bukkei, hoba haoeibü nyen Seth nyenkukei. Saoei laukei, “Mühghaüei Abel jeiko kü la lilabü lubü che pienkukei; aieilausi Kainei hao haitikei.” 
GEN.4.26	Hobaje Seth lakei bousushou che bukkukei; hoba haoei hao nyen Enosh dogo nyenkukei. Kheijinei mütshuongei 
GEN.5.1	 Adam thensilen doan phobü. (Ladang Mühghaüei müt yaükei haoei hao Mühghaü phatbüa yaükei. 
GEN.5.2	Haoei haoen bousu hoba yaksa yaükei, hoba haoen haükukei. Hobaje ladang haoen yaükei haoei haoen to “Müt” dogo laukei.) 
GEN.5.3	Hobaje Adam po 130 onkei, hao tegü hao phatko bousushou che bukkei, hoba haoeibü nyen Seth nyenkukei. 
GEN.5.4	Seth bukan phaia Adam po 800 kikei, hoba hao ka bousushou si yaksashou kikei. 
GEN.5.5	Hobaje Adam langkei salang sünga po 930 kian hao haikei.
GEN.5.6	Seth po 105 onjinei hao ka Enosh pakkei; 
GEN.5.7	hoba Enosh bukan phaia Seth po 807 kikei hoba hao ka bousushou si yaksashou hapbei, 
GEN.5.8	hoba Seth langkei salang po 912 kian hao haikei.
GEN.5.9	Ladang Enosh po 90 kikei hao ka Kanan pakkei, 
GEN.5.10	hoba Kanan bukan phaia Enosh po 815 kikei, hoba lubü bousu si yaksa shou pakkei, 
GEN.5.11	hoba Enosh langkei salang po 905 kikei hoba hao haikei.
GEN.5.12	Ladang Kanan po 70 onkei, kheijinei haoei Mahalalel hapbei, 
GEN.5.13	hoba Mahalalel bukan phaia Kenan po 840 kikei hoba hao ka bousu si yaksa shousi pakkei, 
GEN.5.14	hoba Kanan langkei salang po 910 kikei hoba hao haikei.
GEN.5.15	Ladang Mahalalel po 65 kikei kho chaloua hao ka Jared pakkei; 
GEN.5.16	hoba Jared bukan Mahalalel po 830 kikei hoba hao ka bousu si yaksa shousi pakkei. 
GEN.5.17	Hobaje Mahalalel langkei salang sünga po 895 kikei hoba hao haikei.
GEN.5.18	Ladang Jared po 162 kikei hao ka Enok pakkei, 
GEN.5.19	hoba Enok bukan Jared po 800 kikei, hoba hao ka bousu si yaksa shousi pakkei, 
GEN.5.20	hoba Jared salang po 962 kikei hoba hao haikei.
GEN.5.21	Ladang Enok po 65 kikei haoei bousushou che Methusela kikei. 
GEN.5.22	Hobaje Methusela bukan phaia Enok Mühghaü yoa po 300 paikei, hoba bousu si yaksa shousi kikei. 
GEN.5.23	Hobaje Enok salang po 365 kikei. 
GEN.5.24	 Hobaje Enok Mühghaü yoa paikei; hoba hao akiko apbei, aieilausi Mühghaüei hao leilangkei.
GEN.5.25	Ladang Methusela po 187 kikei, kheijinei hao ka Lamek pakkei, 
GEN.5.26	hoba Lamek bukan phaia Methusela po 782 kikei, hoba bousu si yaksa shousi pakkei; 
GEN.5.27	Methusela langkei salang pendouei po 969 kikei, hoba kho phaia hao haikei.
GEN.5.28	Ladang Lamek po 182 kikei, haoei bousushou che kikei, 
GEN.5.29	hoba haoei hao la Noa nyenkukei hoba laukei, “Aieilausi 
GEN.5.30	Hobaje Noa bukan phaia Lamek po 595 kikei hoba haoei bousu si yaksa shousi shuong kikei, 
GEN.5.31	hoba Lamek langkei salang sünga po 777 kikei hoba hao haikei.
GEN.5.32	Hobaje Noa po 500 jai lean kikei; hoba haoei shousi müt sem - Shem, Ham hoba Jafet kikei.
GEN.6.1	Ladang kaonyudaka müt bukko haako haula khangkei, yaksa shousi bukkukei. 
GEN.6.2	Khuthükbü shousi shuongei mütshuongeibü nouyangshousi hesisao maian hapbei; hoba haoenei pienbü pendou haoeneibü yakla lekei. 
GEN.6.3	 Hobaje 
GEN.6.4	Khübü chaloua Süngbülopbü shuong kiteikei, hoba kho phaiakei, khuthükbü shousi shuong mütshuongeibü nouyang shousi shuong to jambo haoenei haoeneibü shousi shuong bukkukei; haoen kho shangieda thama hau kibü nyenshen mütshuong kikei.
GEN.6.5	Hobaje kaodaka khunakshousi shedbü shabü yaang dogo, hoba haoeneibü maangpona dambü ponpen amai dogo 
GEN.6.6	Hobaje khunakshousi aila kaodaka kümbei dogo 
GEN.6.7	Hobaje 
GEN.6.8	 Lausikei Noa 
GEN.6.9	 Ho Noa meten ngühli; Noa saopobü müt kikei, haoeibü meten shedbü akibü Noa Mühghaü yoa paikei. 
GEN.6.10	Hobaje Noaei shousi sem kikei - Shem, Ham hoba Jafet. 
GEN.6.11	Hobaje Mühghaü thedanga kaodak asaopoko kikei, hoba ik shatyobüei shenan kikei. 
GEN.6.12	Hobaje Mühghaüei kaodak to chühsi, kho asaopoko kikei; aieilausi mütshuong haangei amaiko kibüei amaiko yeikei.
GEN.6.13	Mühghaüei Noa to laukei, “Ngei khunakshousi pendou shemtilabü, aieilausi haoen ik shatyobüei kaodak shena. Ngei haoen kaonyu yoa mautilabü. 
GEN.6.14	Nyi ka shanga kofer buei longchem che dangashi hoba kho maanga shemjang shuong kümashi hoba tangae maangae ham bunaiei naanglepshi. 
GEN.6.15	Hobaje nyi hai kümashi, longchem kho tousüng phakphei 133, khaang phakphei 22 hoba suokbü phakphei 13. 
GEN.6.16	Nyi longchema koulom che jinashi, hoba kho thükaenei iknop che; hoba kho longchem koukhün khoeibü napheinei jinshi; kho nyi phangaenei shemjang nyiboubü hoba semboubü jinan kümshi. 
GEN.6.17	 Hobaje chühashi, ngei lang kibü pendou mühnyu phangka mautila kaodak to yungsen sungbada; hoba kaodaka kibü pendou hailabü. 
GEN.6.18	Lausikei ngei ka yoa thebülanbü pholabü; hoba no, kaibü shousi shuong, kaibü yak hoba kaibü shousi shuongeibü yaksi shuong longchem to atlabü. 
GEN.6.19	Hobaje lang kibü meisiau yangsikok pendou ka pi si paang nyibang haoen ka yoa lang kitilabü lele; 
GEN.6.20	au shuong phang weko ka, hoba samkeisamuk phang weko ka hoba kaodaka shanbü yangsikok phang weko ka nyibang kayoa longchem to leian atashi; 
GEN.6.21	ka shanga hoba haoen pendou shanga shausiyung phang penko lamlean phoashi. 
GEN.6.22	Noaei Múhghaüei sakkubü pendou kümbei.”
GEN.7.1	 Kheijinei 
GEN.7.2	Nyi saopobü meisiau weko ka pi si paang tang nyetbang hoba asaopobü meisiau weko ka pi si paang tang nyibang; 
GEN.7.3	mühkabü aushuong kaakei pi si paang tang nyetbang kaodak pendoua lilabü lang kitila shanga ka yoto leibashi. 
GEN.7.4	Aieilausi tat ka jaüan chalou nyet phaia ngei kaodak to lang chalou saonyi hoba langyang saonyi loutilabü; hoba ngei kümbü langkei kibü pendou ngei kaonyudak ka mautilabü.” 
GEN.7.5	Hobaje Noaei 
GEN.7.6	Kaodak to yungsen loujinei Noa po 600 jailean kikei. 
GEN.7.7	Yungsen ka satenla Noa longchem to atkei, hoba hao yoa haoeibü shousi shuong, hao yak hoba hao shousi shuongeibü yaksi shuong dogo atkei. 
GEN.7.8	Saopobü meisiau yo ka hoba asaopobü meisiau yo ka hoba au shuong yo ka hoba kaoa shanbü pendou ka, 
GEN.7.9	penyibang, pi si paang Mühghaüei Noa la sakkubü tegü longchem to atkei. 
GEN.7.10	Hobaje nyetbounyet kaodak to deinyu yungsen loukei.
GEN.7.11	Noa langkei salang saongao lakboubü, litnyu nyetboubü chalou anthük nyetbouatham yungnyu yaangbü deikük pendou paknyinkei hoba müh koukhün ipbei. 
GEN.7.12	Hobaje lang kho kaodaka chalou saonyi hoba langyang saonyi kikei. 
GEN.7.13	Hobaje khünyettham Noa hoba hao shousi shuong, Shem, Ham, Jafet hoba Noa yak hoba haoen yoa shousieibü yaksi sem kho longchem to atkei. 
GEN.7.14	Haoen hoba yamkabü meisiau pendou phang weko, hoba samkeisamuk pendou phang weko hoba kaoa shanbü pendou phang weko hoba au pendou phang weko, kaakyembü pendou phang weko, 
GEN.7.15	hoba langkei hakhinbü phe pendou ka haoen penyibang Noa yoa longchem to atkei. 
GEN.7.16	Hobaje Mühghaüei sakkubü tegü meisiau yangsikok pendou ka pi si paang Noa yoa atkei hoba 
GEN.7.17	Hobaje yungsen kho kaodaka chalou saonyinyet kikei; hoba dei kho aei aei yeisije longchem kho phongjung angkei, hoba kao ka tonenkei. 
GEN.7.18	Hobaje kaodaka yungsen kho aei haukiko yeisije longchem kho deitaka phongkei. 
GEN.7.19	Dei kho hau kiko yeisije müh phanga shongh suokbü pendou nyembei. 
GEN.7.20	Dei kho iknop anthükngao sühko angsije shongh shuong danglepbei. 
GEN.7.21	Kaonyudaka lang kibü pendou, topeibü yangsikok, meisiau, müt khunakshousi phang pendou shembei. 
GEN.7.22	Kao ulangbüa ai ong hakhinbü soushou langkei kikeije khübü pendou haikei. 
GEN.7.24	Dei kho kaodaka chalou saongao to anjinsem sühko dangyoan khüpbei.
GEN.8.1	Mühghaüei Noa hoba hao yoa longchema kibü lang kibü meisiau pendou hoba samkeisamuk pendou damenkei; hoba Mühghaüei kaodaka yei che dantikei hoba dei kho hapjung ngaikei. 
GEN.8.2	Yungnyu deikük hoba mühkou khinkei hoba müh ka lang loubü thakan apbei. 
GEN.8.3	Hobaje kho kaodak ka athakko hapjung ngaikei, hoba chalou saongao to anjinsem penan phaia dei kho shijung ngaikei. 
GEN.8.4	Hobaje lit nyetboubü, hoba chalou anthüknyetboubüa longchem kho Ararat shongha otkei. 
GEN.8.5	Hobaje lit anboubü sühko dei kho athakko hapjung ngaikei; lit anboubü chalou shaangbounyet shonghkhu shuong hapbei.
GEN.8.6	Hobaje chalou saonyi kian, Noaei haoei dangbü longchem kou ipbei, 
GEN.8.7	hoba haoei aukhomakmak che hautikei; hoba kaodak ka dei kho aushongko hau longei dogo seengeikei. 
GEN.8.8	Kheijinei kaodaka dei hapbeilaoje dogo ngela haoei hao jungka dukutuk che hautikei; 
GEN.8.9	lausikei dukutuk khoei pakshang ühüpsije hao jungto longchem to nyibou sepeijung longeikei; aieilausi kaodak pendoua dei kikei. Hobaje haoei jembü ik shingan leian sungan hao jungto longchemmaang to leiyetkei. 
GEN.8.10	Haoei tokei chalou nyet haiyeikei hoba nyibou haoei dukutuk kho longchem ka litikei; 
GEN.8.11	hoba dukutuk kho hao jungto chasem longeikei, hoba chühsi haoeibü sembunga oliv buyik sangtüngbü anan kikei; hibü Noaei kaodaka dei hapa dogo ngekei. 
GEN.8.12	Hobaje toukei haoei chalou nyetnyet haiteian dukutuk kho hautikei; lausikei kho hao jungto sepeijung aloungai.
GEN.8.13	Noa po 601 shaangbou lit khangnyet dei kho kaodaka ulangtham apbei. Kheijinei Noaei longchemdak yukbü kho sungan apan chühsi kaodak ulangtham kiteikei. 
GEN.8.14	Nyiboubü lit chalou saoto nyetboua kaodak kho lepde ulangtham apbei.
GEN.8.15	Kheijinei Mühghaüei Noa to laukei, 
GEN.8.16	“No hoba kayak, ka shousi shuong hoba haoeneibü yaksi shuong yoan longchem ka longashi. 
GEN.8.17	Phea nyenbü meisiau, ausiyuk, kaoa shanbü yangsikok pendou longchem ka sungenashi, khoei ong haoen bukko shatko sitko juong haakoyaangko haulabü.” 
GEN.8.18	Hibü Noa, hao shousi shuong, hao yak, hoba shousieibü yaksi shuong longchem ka longkei. 
GEN.8.19	Meisiau, ausiyuk, shanbü yangsikok phang penko longchemmaang ka longkei.
GEN.8.20	Kho jiha Noaei 
GEN.8.21	 Hobaje 
GEN.8.22	‘Kaonyu ki shongko
GEN.8.22	Langjinbü jih si youlatbü jih
GEN.8.22	Khamsilüh jih si sanglem jih
GEN.8.22	Sulang si poang
GEN.8.22	Chalou si nangnak
GEN.8.22	ladangkei ananglabü.’ ”
GEN.9.1	Hobaje Mühghaüei Noa hoba haoeibü shousi shuong haükuko laukei, “Lang hekko haashi hoba kaonyu shentiashi. 
GEN.9.2	Hobaje kaodak meisiau pendou hoba mühkabü au shuong pendou hoba kaoa paibü yangsikok pendou hoba yungnyua kibü ngau pendouei ka to hattilabü; khübü pendou ka ik to jinkuda. 
GEN.9.3	Ngei kan la pikshik shaula kubü tegü lang kibü topeibü meisiau shuong pendou shaula shanga kuda. 
GEN.9.4	Lausikei kanei kho yoa langkei thonbü sii ashaujan. 
GEN.9.5	Hobaje maimaitham kaneibü sii, kho kaneibü langkei sii, ngei hilabü; meisiau pendou ik ka hilabü; hoba jaisina ik ka ngei müteibü langkei hilabü. 
GEN.9.6	 Aoyouei ong müteibü sii angtilaje mütei haoeibü sii angtilabü; aieilausi Mühghaü phatbüa müt kümbei.
GEN.9.7	“Hobaje kan lang hekko juong haashi; kaonyudaka bukko juongko khonei juongnyu haashi.”
GEN.9.8	Kheijinei Mühghaüei Noa hoba haoeibü shousi shuong yoa hao to joyoko laukei, 
GEN.9.9	“Chühashi, ngei tou kan yoa hoba kan phainei kaneibü thensilen to ngeibü thebülanbü kaangkhühtham khangdayaüda, 
GEN.9.10	hoba kan yoa kibü langkeibü meisiau pendou yoa, au si samkeisamuk yoa hoba kaodak yangsikok pendou yoa longchem ka longbü meisiau pendou yoa ngei ho khanglabü. 
GEN.9.11	Hobaje ngei kan yoa ngeibü thebülanbü kaangkhühtham khangko, khei lang kibü pendou ladangkei yungsenei ashemtilabü; hoba kaodak maulabü lele ladangkei yungsen aikei akilabü.” 
GEN.9.12	Hobaje Mühghaüei laukei, “Ngo hoba kan yoa langkei kümbü pendou kanglanga loulabü meten sühko ngei thebülanbü tetsida ho kümda. 
GEN.9.13	Ngei sangmeia yepukshangjep phokuda, hoba ho ngo hoba kaodakbü kanglanga thebülanbü tetsida kilabü. 
GEN.9.14	Hobaje hai longlabü, ladang ngei kaonyu thüka sangmei nyengan yepukshangjep kho sangmeia haplaje, 
GEN.9.15	ngeibü theyolanyobü ngüh, laobou ngo hoba kan hoba phe thonan lang kibü meisiau pendou ham kanglanga kia, kho ngei damenlabü hoba deiei phe pendou mautilabü lele touje yungsen ladangkei aloulabü. 
GEN.9.16	Hobaje yepukshangjep kho sangmeia kilabü, hoba Mühghaü si kaodaka kibü phe yoka langkei kibü meisiau pendou ham kanglanga kibü thon akibü thesilan damenla shanga ngei hato chühlabü.” 
GEN.9.17	Hobaje Mühghaüei Noa to laukei, “Ho thebülanbü tetsida, laobou ngo hoba kaodaka kibü langkei pendou kanglanga ngei kaangkhühtham khangayaüa.”
GEN.9.18	Noaeibü shousi shuong aoyou longchem ka longkei khübü kho Shem, Ham, Jafet kikei; hoba Ham Kananeibü bou kikei. 
GEN.9.19	Haoen sem kho Noaeibü shousi kikei, hoba haoen ka kaonyu pendou shenko haakei.
GEN.9.20	Hobaje Noa sekmoubü la yeian semlühlaak lekei. 
GEN.9.21	Hobaje haoei ih yungan jaketkei hoba hao mütkong neichema kiteikei. 
GEN.9.22	Hobaje Kananeibü bou Hamei bou mütkong hapan haoeibü jaisina müt nyi to tangto angan lenkei. 
