GEN.1.1	Aino luai God kata asinong na mete kuku na kuli rina. 
GEN.1.29	Na God kala antok, “Nalapo alis vang imi ta ri sukal aongos i kuli rina vopo atogon katui kuvul ve ri ei aongos vopo uai ang. Kilapo kakami ani mi angan singiria. 
GEN.1.30	Na ani ri mani i nei pangau na ri manmanik aongos po to kuli vunep, riria kapa ki angan pan na uai i mamain ta ei na uriuri aongos.” Na kala asukang. 
GEN.1.31	God kala arai ani keve bil aongos i kana la asinong ang, na vola roron luai. Au, vong kala serei le na kala tenei vauk pok. Asukang na valimalesikei i taun kala pasal suai.
GEN.2.1	Au na God kala akamusai ani asisinong e metekuku na kuli rina tavirimok asip ke. 
GEN.2.2	Kata akamusai aongos ani kana keve avibisan i asisinong si valimalesikei i taun. Au na si valimalengua i taun kala ausai pelek kana abis. 
GEN.2.3	Kata poso atauia na taun ang na kala vil agogoai ania. Kata abis ia asukang using si taun ang akorong kata ausai pelek kana avibisan aongos i asisinong.
GEN.2.4	Kana na akuskus i sa kata serei si taun ang na God kata asinong na mete kuku na kuli rina. Si taun ang a God, nang nia na IAVE, kata asinong a kuli rina na mete kuku, 
GEN.2.5	katapo kovek i mangsikei a bil i suk polok le kuli vunep, using IAVE parik katapa alis langit lak kuli rina na katapo kovek lak i igenen si itoitonai ani nei roe. 
GEN.2.6	Sikei laman katapo uli uv alak le nei roe na kapo vil a vuluk a roe aongos ang pulakai. 
GEN.2.7	Na IAVE kala kap roe le kuli vunep na kala pitopito na igenen tatana. Le na kala kui alak kana malu i to ane si isuna i igenen ang na kala serei a igenen atogon to.
GEN.2.8	Aino le, IAVE katala sukal a mangsikei a matang e Eden, si palpal ang a makarap kapo sanglak singina. Na eiang vanang kala asinong a igenen i kana la pitopito ang. 
GEN.2.9	E nei matang ang IAVE kala asereai ani mamain ta ei anglok pulakai aongos. Na kipo keve ei talupus roron luai angkokoai si angan. E nei liuan ina i nei matang ang kala asereai ani pongua na ei. Ei i to, na ei i malangas ani rikek na roron. 
GEN.2.10	Katapo atogon a mangsikei a sung katapo saling le Eden na katapo alis laman ani matang ang. Si mang palpal i Eden, sung ang kanlapo tapagal ane si puat a ngakan i laman. 
GEN.2.11+GEN.2.12	Ainoai i sung, kana asan ta Pison. Laman ke kapo saling pulakai nei palpal Avila aongos. Na palpal rina ang kapo duk ta gol roron luai. Eiang kapa kapo atogon rul sain ro na iat roron lik ke onikis. 
GEN.2.13	Vapongua i sung, kana asan ta Gion, na kapo saling pulakai nei palpal Kus aongos. 
GEN.2.14	Na vapotol i sung kana asan ta Tigiris na kapo saling e ngising i palpal Asur, si palpal ipo sanglak ta makarap. Au na vapuat i sung kana asan ta Euperetes. 
GEN.2.15	Au, IAVE kanla asinong a igenen ang e nei matang e Eden ani kan itoitonai ania na ka aiveven ia. 
GEN.2.16	Na kala pini ia asukang ke, “Kupo kalakala luai si angan si uai i keve ei aongos i nei matang ke, 
GEN.2.17	sikei napo tubat ua ta ku ago ta angan si ei i malangas ani roron na rikek suke. Napo tubat luai anim, using man ku angan singina, matmat ka kinkos ua.”
GEN.2.18	Na God IAVE kala antok ta, “Pua, parik kapa ro ani tauan ke ka ago papalik. Kapo ro ani naka asinong ta mang anu val nia ani ka papakangai ania. 
GEN.2.19	Aino le, IAVE kata pitopito na mamain ta manmanik na ri mani ta roe. Na kala luk iria ane si igenen ang ani kame poso asan aniria. IAVE katapo ago na kapo longong ta saka asan an tauan ke katapo atuk a siksikei i keve manmanik na mani ang tataria, nang nia katalapo kari asan luai. 
GEN.2.20	Asukang vanang a tauan ke kata atuk a ri manmanik aongos ipo aiveven na i nei uten na ri mani aongos i nei pangau na kuli roe ta kari keve asan. Sikei katapo kovek i sikei ka ago kuvul ve nia asukang val ta kana papakangai. 
GEN.2.21	Asukang na IAVE kala arodot ia ani ka rot mat. Taun kalapo rot, IAVE kala luk suai ani sikei a vuk tuan i vagvag ina na kala pakut pok a makas ang ta sin. 
GEN.2.22	Au na ka luk a tuan ang na kala pitopito asereai ani aina tatana. Kala songo le na aina ang na kanla atatung ia si kana tauan. 
GEN.2.23	Si vuk taun ang kala arai ani kana aina na kala antok ta, “Pua, kana vang a mangsikei ig akorong! Tuan ina, le si tuan ig. Sin i pukunina, le si sin i pukunig. Io, naka atuk vang kana asan ta aina, using kata serei le si tauan.” 
GEN.2.24	Au si oring ke vanang, tauan ka papalek a tamana ve rinana na kan ago kuvul ve kana aina na kilong sikei palau. 
GEN.2.25	Si taun ang a ngono angkisnganan ke kilongtapo pukun varas aongos na parik katapa atogon bil si vil amamaila anirilong.
GEN.3.1	Nei liuan i keve manmanik aongos i nei uten ang IAVE katala asinong iria, kene katapo nas alava luai aniria. Mangsikei a taun, kene kata tapasuk na kamela antok a aina ang asukang ke, “Ai, iuang! Au si kapo tutuman nang ta God kata tubat akorong imilong asi ago ta angan si mamain ta ei aongos nei matang ke?” 
GEN.3.2+GEN.3.3	Aina ang kala antok ta, “Ai, parik nang. Namemlongpo kalakala si angan si ri ei aongos i nei matang ke. Sikei si ei ang e nei liuan i nei matang ke akorong, God vanang kata tubat imemlong asi ago ta angan an singina. Kata atatai imemlong ta man namemlong angan vo sigil si ei ang, nganlak namemlong mamat.” 
GEN.3.4	Na kene kala antok ta, “A pua! Kovek luai. Parik nang milongpa angkoai si mat. 
GEN.3.5	Kupo nas, God kata mengen asukang nang using kapo malangas ta man milongla angan si ei ang, milongla atogon a nas lava. Milong la serei asukang palau val nia, God akorong. Milongla nas vang a ro na rikek.” 
GEN.3.6	Au, aina ke kala longong na kala arai ta Uai ina i ei ke kapo ararai aro na kapo roron asi angan, na man nganing kala angan singina, kala atogon a malangas roron luai. Asukang na kanla ngumut a mang matan uai ina na kala angan iria. Kisngana kapa katapo tung eiang. Au na aina ang kala alis ia na kala kun angan kapa. 
GEN.3.7	Na kilongla lomlomon tapalas na kilongla arai kinle ta kilong tapo varas. Asukang na kilong la kikit pan i ei na kilongla susukai ania asi karilong pakut anirilong. 
GEN.3.8	Au kalapo livus aliu tenei ngelik na kilongla longong a God IAVE sipo pasal pulakai e nei matang ang. Na kilongla sip sian mumun ania nei liuan i ri ei i nei matang ang. 
GEN.3.9	Sikei IAVE kala songo na tauan ang ta, “Au, nei numai kana evoi?” 
GEN.3.10	Na tauan ang kala antok, “Nata longong ua sipo pasal pulakai na nala mumun anim. Natapo leng nang using nalapo varas.” 
GEN.3.11	“Iau? Au si kata antok ua ta kupo pukun varas? Sa nang, kutala angan si ei ang nata tubat imilong singina ingko?” 
GEN.3.12	Na tauan ang kala antok ta, “Nang a aina ke kuta atatung ia singig, ninia vanang kata luk le na mang matan uai si ei ang na kanla alis iau, na nala kun angan.” 
GEN.3.13	Au na God IAVE kala antok a aina ang ta, “Ku antok tapai anig. Sa akorong kupo abis ia asukang ke?” Na aina kala polpol ta, “Nang a kene ang, kata kun kapau anig na nala angan.” 
GEN.3.14	Asukang na God IAVE kala antok a kene ang ta, “Le si sa kutala abis ia, kam vilvil akui ka asukang ke: numai papalik, ri vap ki alele na ki mirik anim, nei liuan i mamain ta manmanik. Tutapongai le kana ku palis ta vingam na ku kon mutep i kuli roe ani keve taun aongos tung si ku mat. 
GEN.3.15	Na amatung a neikien nei liuan imilong ve aina suke na milong uli angmamaralai angpokpokai animilong. Keve matan tivum ki angmamaralai ve keve matan tivuna i aina suke. Taun kapo tulbonai anim ka komeng a patum, na numai ku kalat a pung i kakina.” 
GEN.3.16	Au IAVE kala mengen a aina asukang ke, “Kam vilvil akui ka sang asukang ke. Taun kupo sungsungukan na kalapo sinong kam taun asi ingus, ku nasai ani kui lava. Na ku atogon a vubuk ani kam tauan, na ninia ka uli sausaupai anim.” 
GEN.3.17	Na kala tutalang a tauan na kala posong ta, “Numai vanang, kutala longolongai ani kalingana i kam aina, na kula kun angan si ei i kag tubat ang anim, na kuta longogel iau. Asukang vanang na kuli roe ke kala rikek tukulai ina singim. Na ka uli asukang tung si ku mat. Ka meng ua na kui i abis si keve taun asi kam sabonai ani pok singina. 
GEN.3.18	Ka duk ta uriuri na ei ve angus rodotan, na ku sili pulakai nei uten lava si gule ta kam pok asi angan. 
GEN.3.19	Ku kun gese alava vang taun a nei roe asi apolokai ta kam pok akorong. Ku abis alava tung si kuan mat na ku papok ane nei roe. Lomon akit ia ta kuta serei nang le si roe, na numai nang kupo roe. Au na using kapo asukang, taun ku mat kuan papok ane si ring ang kuta serei le singina.” 
GEN.3.20	Na tauan ang kala atuk a kisngana ta Eva. Using ninia vanang nganlak ka rinaria i ri vap aongos. 
GEN.3.21	Na God IAVE kala luk a kulit i manmanik na kala kavat na ri Adam ve Eva tatana.
GEN.3.22	Na kala antok ta, “Igenen ke kalapo serei val tara. Kalapo nas vang a roron ve rikek. Asukang na ka ago ta angan an si ei i to ang vei nganing kala to asikei luai.” 
GEN.3.23	Asukang na God IAVE kala asok suai ania le nei matang ang ani kan abis matang akorong ania si roe ang nang kata serei singina. 
GEN.3.24	Au kala kirikai suai ani igenen ang na kala atung a Kerubim e mete takaman i Matang i Eden si palpal ipo sanglak ta makarap. Na kala atung kapa na mangsikei a samele lava ipo visvis. Samele ang katapo ripag na kapo timis angtaliungai val ureurek i kut na kapo tavulit angpok asi tubat ani selen alak ane si ei i to.
GEN.4.1	Au, Adam kala ago ve kisngana na kala sungsungukan. Kala ingus a sikei a nat na kala lomlomonai ta, “Si papakangai si IAVE natala asereai ani nat.” Si oring ang vanang na kala atuk a nat ang ta Kain. 
GEN.4.2	Au, emung kala anguan vinga pok an na kala ingus kana vapongua i nat na kala atuk ia ta Abel. Abel kala serei a igenen katakai i aiveven vongo na Kain kata serei a igenen katakai i suksukal. 
GEN.4.3	Au si mangsikei a taun Kain kamela serei ta mang keve uai i matang na kamela sula serei si IAVE tatana. 
GEN.4.4	Au, Abel kamela kun serei ve kana keve vuk sin vulvuluk i kana keve ainoai i natnat i sipsip, na kala sula serei si IAVE tatana. IAVE kala arai velai maramarak ani alilis ang si Abel sikei kala arai misagai ani anu ang si Kain. 
GEN.4.5	Asukang na Kain kala vinga manas luai na nona kala songag ta marala. 
GEN.4.6	Taun a IAVE kan arai ania sipo marala asukang ke le na kala sui ia ta, “Au si kupo marala asukang nang marai sa? Marai sa luai na nom kapo asukang? 
GEN.4.7	Sa, parik kupa nas ta man ku abis aro nala maramarak anim? Ku aiveven, using man ku abis a sa parik kapa roron, rikek nganlak kame sinong teremai anim e mete kam takaman asi kana kong akit anim. Ku atokngai alava asi kam dual suai ani kitmat ina i rikek ke. 
GEN.4.8	Au, mangsikei a taun Kain kala antok a tasina asukang ke, “Me na tarung an ulit tapai nei uten.” Taun kilong anlapo ago nei uten Kain ka tutalang palau na tasina na kala vis punuk ia. 
GEN.4.9	Na emung ina IAVE kala sui a Kain ta, “Au Kain, nei a tasim ta Abel evoi?” Na kala antok ta, “Parik napa nas nang. Au si, natame nat nang asi me uli aiveven tasig?” 
GEN.4.10	Na IAVE kala antok ta, “Marai sa kuta abis a lau rikek ke? Ku longong! Rangai i tasim kana kapo tang taun iau le kuli roe. 
GEN.4.11	Asukang vang na kana naka poso arikek ua na nala kirikai suai anim pelek a roe ke kana kata apanga na nguruna si inum ani rangai ina i tasim, nang kata puka si kungam. Kula siang nei mamaiten asukang ke: 
GEN.4.12	Taun ang ku abis a nei roe, ka kovek luai ta bil ka polok. Kula igenen asi pasal angpok palau ani kuli rina ke na ku kovek ta ring akorong si ago atuk.” 
GEN.4.13	Au, Kain kala antok a IAVE ta, “Loi, vilvil akui ang nang kupo alis iau tatana kapo tavirimok luai anig si paus. 
GEN.4.14	Pua napo mamakus using kana kulapo lu suai anig le si oring ke, na nala tav ago vang e ngerem. Io, kapo rikek luai using nala uli pa angpok pulakai na nala kovek ta ring asi kag ago atuk. Nala asukang luai vang ta igenen ago angvolai kovek i ring akorong si ago. Pua na man nganing a sikei kala tul bonai anig kala raung korong luai anig.” 
GEN.4.15	Na IAVE kala antok ia, “Parik. Parik kapa angkoai si ka asukang. Man ta sikei kala raung korong a Kain, nganlak a vilvil akui ang ninia ka paus ia ka amatan limalengua asoliu ani kakam ta vilvil akui.” Au na IAVE kala amatung a mangsikei a akanangai si Kain ani man a sikei kala angruduai pulakai ve nia ki tav angkoai si raung korong ania.
GEN.4.16	Asukang vanang na Kain kala papelek suai ani matana i God na kanla ago e palpal Nod si mang pulis i Eden si ring ipo sanglak ta makarap. 
GEN.4.17	Au Kain kala ago ve kana aina na kala atogon sungsungukan na kala ingus a sikei a nat. Na Kain kala atuk ia ta Enok. Si taun ang Kain katapo abis a mangsikei a rina na kala kun atuk ania using kana nat ta Enok. 
GEN.4.18	Enok kata asereai ani Irad. Na Irad kata asereai ani Meuiael. Na Meuiael kata asereai ani Metusael na Metusael kata asereai ani Lamek.
GEN.4.19	Au Lamek kala osongon kana pongua na aina. Kana ainoai i aina kana asan ta Ada, na vapongua kana asan ta Sila. 
GEN.4.20	Na Ada kala ingus a Iabel. Au Iabel vanang kapo tamaria i mamain ta vap ipo pasal angpok si keve rina pulakai sipo aiveven vongo. 
GEN.4.21	Na tasina i Iabel ta Iubal. Au Iubal vanang kapo tamaria i mamain ta vap ipo tiring na kuikui. 
GEN.4.22	Na kana nat a Sila ta Tubal-Kain. Ninia na katakai i abis ta keve aen anglok. Kata abis asereai ani mamain ta bil ipo tangai. Na tauna i Tubal-Kain ta Nama. 
GEN.4.23	Na Lamek kala antok a ngono kisngana ta, “Kag ngono aina, ri Ada ve Sila, milong longong aro kag mengen. Natala raung a mang igenen tanginang using katala vil akui iau. 
GEN.4.24	Man ta sikei kala raung korong a Kain io, limalengua na igenen nganlak ki kun mat. Sikei man ta mang anu kala vil akui iau, 77 na igenen ki kun mat using iau.”
GEN.4.25	Na Adam kala anguan ago an ve kana aina na kala ingus kana mang nat na kala lomlomonai ta, “Nat ke kapo sasakolai i Abel voiang a Kain kata raung ia.” Si vuk oring ang vanang na kala atuk a nat ang ta Set. 
GEN.4.26	Na Set kata atogon nat kapa na kala atuk ia ta Enos.
GEN.4.26	Si vuk pangau ke vang ri vap kila tutapong nanauai ani asan IAVE e ring malangas.
GEN.5.1	Kana na akuskus kita kalang ia i kana matan inatus na Adam. Si taun ang na God kata asinong na ri vap, kata pitopito iria usiusing kakana ta kankanuai akorong pok. 
GEN.5.2	Kata pitopito iria ani ki tauan na ki aina. Na nia si taun ang akorong kala poso atautauia iria na kala posong iria ta ri vap. 
GEN.5.3	Na Adam kala 130 na matas na kala asereai ani mang sikei a nat kana asan ta Set. Nat ke katapo asukang luai val tamana. 
GEN.5.4	Emung ina Adam kala to pok le na mang 800 na matas. Nei liuan i pangau ang kata atogon kapa na mang matan inatus nat kavulik. 
GEN.5.5	Aongos Adam kata to na 930 na matas le na kala mat. 
GEN.5.6	Na Set kala 105 na matas na kala atogon kakana ta kun nat kana asan ta Enos. 
GEN.5.7	Au le na kala to na mang 807 na matas. Nei liuan i pangau ang kata atogon kapa na mang matan inatus nat kavulik. 
GEN.5.8	Aongos Set kata to na 912 na matas le na kala mat. 
GEN.5.9	Na Enos kala 90 na matas na kala atogon kakana ta kun nat, Kenan. 
GEN.5.10	Emung ina Enos kala to pok le na mang 815 na matas. Nei liuan i pangau ang kata atogon kapa na mang matan inatus nat kavulik. 
GEN.5.11	Aongos Enos kata to na 905 na matas le na kala mat. 
GEN.5.12	Na Kenan kala 70 na matas na kala atogon kana kun nat, Malalel. 
GEN.5.13	Emung ina kala to pok le na mang 840 na matas. Nei liuan i pangau ang kata atogon kapa na mang matan inatus nat kavulik. 
GEN.5.14	Aongos Kenan kata to na 910 na matas le na kala mat. 
GEN.5.15	Na Malalel kala 65 na matas na kala asereai ani kakana ta kun nat Iared. 
GEN.5.16	Emung ina kala to pok le na mang 830 na matas. Nei liuan i pangau ang kata atogon kapa na mang matan inatus nat kavulik. 
GEN.5.17	Aongos Malalel kata to na 895 na matas le na kala mat. 
GEN.5.18	Na Iared kala 162 na matas na kala asereai ani Enok. 
GEN.5.19	Emung ina Iared kala to pok le na mang 800 na matas. Nei liuan i pangau ang kata atogon kapa na mang matan inatus nat kavulik. 
GEN.5.20	Aongos Iared kata to na 962 na matas le na kala mat. 
GEN.5.21	Na Enok kala 65 na matas na kala kun atogon kakana ta kun nat, Metusela. 
GEN.5.22	Na emung ina Enok kala to i pasal ve God ani mang 300 na matas pok le. Nei liuan i pangau ang kata atogon kapa na mang matan inatus nat kavulik. 
GEN.5.23	Aongos Enok kata to na 365 na matas. 
GEN.5.24	Au, na using Enok kata to aro i usiusing ani God, God kata songo suai ania na kala kovek palau. 
GEN.5.25	Na Metusela kala 187 na matas na kala asereai ani kakana ta kun nat, Lamek. 
GEN.5.26	Emung ina kala to pok le na mang 782 na matas. Nei liuan i pangau ang kata atogon kapa na mang matan inatus nat kavulik. 
GEN.5.27	Aongos Metusela kata to na 969 na matas le na kala mat. 
GEN.5.28	Au na Lamek kala 187 na matas na kala asereai ani kakana ta kun nat. 
GEN.5.29	Na kala atuk ia ta Noa kuli mengen ke kata posong ia singina ta, “Nat ke ka kopo aus ira pelek a kui lava ke tarapo duai ia si kara keve avibisan e kuli rina ke, nang a God kata poso arikek ia.” 
GEN.5.30	Emung i Noa, Lamek kala to pok le na mang 595 na matas. Nei liuan i pangau ang kata atogon kapa na mang matan inatus nat kavulik. 
GEN.5.31	Aongos Lamek kata to na 777 na matas le na kala mat. 
GEN.5.32	Au na Noa kala 500 na matas na kala asereai ani potol a nat ke, Sem, Am na Iapet.
GEN.6.1	Si pangau ke tataot na polpolokan i ri vap kalapo laba e kuli rina, na kilapo apitus asereai ani ri kavulik miang. 
GEN.6.2	Na kana inatus nat a God kila arai ta ri kavulik i ri vap kipo ararai miminaungan na kila osongon iria angkokoai si kakaria ta keve pipilak akorong. 
GEN.6.3	Na IAVE kala arai ani bil ke na kala mengen asukang ke, “Pato ig ka ago ta sinong asikei an si ri vap using kipo pukun palau na kipo angkoai si mat. Kari matas si to ka tung palau si 120 na matas. 
GEN.6.4	Matan vap ke ri Nepilim kitapo ago e kuli rina si taun ang na ane mung lik kapa ina. Kita polok serei si taun ang kana inatus nat a God kita ago kuvul ve ri kavulik i asereai ta ri vap i kuli rina na kila atogon inatus singiria. Matan inatus ke kita polok alak na kila atogon asan na akus lava si taun ang. Kitapo vap madot luai. 
GEN.6.5	IAVE kala arai ta ri vap si taun ke kita lapo dual luai ta using ani lau rikek. Lomlomonai iria kata lapo lomon papalik akorong na keve laulauan rikek ani keve taun aongos. 
GEN.6.6	Na IAVE kala mamakus luai ta katala asinong ri vap e kuli rina. Na kui kala rongos a pakangat ina. 
GEN.6.7	Asukang vang na kala antok ta, “Naka mus suai luai ani vap ke natala asinong iria pelek na kuli rina ke. Na saka keve manmanik an, na riria kapa kipo palis ta vingaria kuli vunep, aongos si raung suai. Ri mani i nei pangau kapa asi daung. Napo mamakus ta natala asinong na keve bil ke e kuli rina.” 
GEN.6.8	Sikei Noa papalik katapo auruk na IAVE.
GEN.6.9	Kana na akuskus i kana matan vap na Noa. Noa katapo mang sikei a igenen roron luai na katapo uli atutuman nei liuan i vap ang katapo ago ve ria si taun ang. Katapo uli auai ve God. 
GEN.6.10	Noa katapo atogon kana potol a nat tauan. Karitol volo asan ta ri Sem, Am na Iapet. 
GEN.6.11	Kuli rina aongos katapo duk ta lau rikek na katapo visuk luai e matana i God. 
GEN.6.12	God kala arai ani kuli rina na kala arai ta kapo visuk na vap ina kapa, kari to kata lapo asukang. 
GEN.6.13	Au na kala antok a Noa ta, “Nalapo lomlomonai kana ta na akamusai ani ri vap using kuli rina ke kalapo duk ta lau visuk le singiria. 
GEN.6.14	Ku tapasuk na ku abis a mangsikei a perengan anim. Abis ia ta ei ke, Saipres. Ku abis ta keve rum e neina na ku vulit ia ta kolta e neina na komo kapa. 
GEN.6.15	Kana vang na selen ku using ia si abis ani perengan ang. Vungavunga ina ka 150 na nganga, manamanang ina ka 25 na nganga na lakat ina ka 15 na nganga alak. 
GEN.6.16	E kuluna i lu ang ku abis ta vuk matakoto lik na ka inongos i sikei a nganga alak le si kuluna i lu ang. E ngising i perengan ang ku abis kapa ta mang matakoto. Nia si perengan ang ku abis ta keve ring asi pasal. Ta anu e pangkul luai, mang anu e liuan na mang anu e kevkev. 
GEN.6.17	Naka alis a mangsikei a nole lava nang e kuli rina ke na ka bungum aongos na ri mamain ta bil atogon to e neite kuku. Saka keve bil an kipo atogon na malu i to singiria, riria aongos asi bungum. Keve bil aongos e kuli rina ke ki mamat. 
GEN.6.18	Sikei nau nala abis na mang ainainakai ve numai. Numai na kisngam na kam volo nat na volo kisngaritol aongos asi palak nei perengan ke. 
GEN.6.19	Ane nei perengan ang kapa ku luk alak ta tataot pongua i keve manmanik aongos. Aina na tauan iria. Riria vanang ku aiveven ato iria ve numai. 
GEN.6.20	Ka atogon pongua i ri mamain ta mani, manmanik na riria kipo palis kuli roe. Ku ato aongos vanang iria. 
GEN.6.21	Na ku luk aiton kapa na ri mamain ta pok anim na ani keve manmanik ang. Asinong aro na pok ang asi aiveven.” 
GEN.6.22	Keve atatai aongos suke si God, Noa kata longong ia na ka using ia.
GEN.7.1	Au na IAVE kala antok a Noa asukang ke, “Nei liuan i vap ke kupo ago ve ria si taun ke, numai kupo korong luai. Asukang na numai ve kam inatus aongos mi palak e nei perengan ke. 
GEN.7.2	Ku songo ve numai na limalengua na angkisnganan i keve siksikei a manmanik daus aongos. Na i keve manmanik ipo tav angan ku songo palau a sikei a angkisnganan. 
GEN.7.3	Songo na limalengua na angkisnganan i keve mani aongos i nei pangau, aina na tauan iria. Si oring ke nganlak kila apitus atanginang pok na kuli rina ke e mung i nole lava ke. 
GEN.7.4	Emung i limalengua na taun, nala alis langit ani kuli rina ke. Na ka usen a 40 na mangias na 40 na tenei vong aongos. Keve bil aongos i kag la asinong ang e kuli rina nala vil punuk aongos iria.” 
GEN.7.5	Na Noa kala abis aongos na keve bil ang IAVE kata atatai ia tatana.
GEN.7.6	Noa kata lapo 600 na matas aongos si taun ang na nole lava ang kata serei singina. 
GEN.7.7	Ninia ve kisngana na karilong volo nat na volo kisngaritol kapa kila palak aongos e nei perengan ang asi sip ani nole ang. 
GEN.7.8	Keve angkisnganan i keve manmanik aongos ang, ri mani na ri manmanik palis e kuli vunep 
GEN.7.9	aongos kita serei si Noa. Au na kila kun palak alak e nei perengan ang si kuvkuvulan pongua i aina na tauan iria aongos. Kata asukang palau val atatai si God ani Noa. 
GEN.7.10	Na limalengua na taun palau emung, nole ang kala serei. 
GEN.7.11	Noa, kana vang kata lapo 600 na matas aongos. Na nole ang kata serei si va 17 i taun i va pongua i ulen i matas ang. Taun ang akorong keve laman i nei roe kita tavas na mete kuku ka vekai ani langit. 
GEN.7.12	Na kala usen na 40 na tenei ias na tenei vong aonogs. 
GEN.7.13	Nia si taun ang akorong Noa ve kisngana na karilong volo nat ri Sem, Am na Iapet, kuvul ve volo kisngaritol kita riuk lak aongos nei perengan ang. 
