MAT.1.1	Ri' ri jb'ijak yak jmam Kakaj Jesucristo ri rijajl David y Abraham. 
MAT.2.22	Pero cuando xta chi Herodes Arquelao xcan pire rey re Judea pi jq'uexwach Nab'e Herodes ri jkaj, José xtzaak jch'ol chi b'enam cla' y xijsaj re jwi'l Kakaj Dios laj richc' chi ta' tib'e cla'. Jwi'li'li ji' xe' Galilea. 
MAT.2.23	Xe' wa'x Nazaret ri jun tilmit re Galilea. Jilonli xtaw chiwch ri xijtak yak ajk'asaltak Jyolj Kakaj Dios ojrtaktzij jilonri:
MAT.2.23	Re tina b'ijsajna chirij chi aj Nazareti'n, xche'tak.
MAT.3.1	Y la' mak k'ij li xticar Juan Ajb'anal Ja'tiox chi jtijoj cristian re Jyolj Kakaj Dios ri titawtak riq'uil li jun luwar re Judea lamas ta' cristian. 
MAT.3.2	Re xij: Q'uex ano'jak chiwch Kakaj Dios jwi'l raquitzchak raj tijchol takon Kakaj Dios chib'ak cristian, xche'.
MAT.3.3	Chiriji' Juan Ajb'anal Ja'tiox ri xcan tz'ib'aj jwi'l Isaías ri ajk'asal Jyolj Kakaj Dios ri tijb'ij chi tina tasajna jun ri cow tich'ejej li jun luwar lamas ta' cristian, tijb'ij jilonri:
MAT.3.3	B'antak jwa'x jb'e Kakaj Jesús ri Kajawl, teb'a'tak jb'e suc'ul laj awanmak, tiche'.
MAT.3.4	Ritz'ik Juan Ajb'anal Ja'tiox ri tijcoj b'anal la' rusumal camello y jpas b'anal la' tz'um y sac' pach cab' re lak che' tijtij pire jwa. 
MAT.3.5	Wi' cristian xpetak Jerusalén, wi' xpetak lak juntir luwar re Judea y wi' xpetak lak luwar re chi' nimi ja' Jordán xtawtak chi jtaic jyolj Juan Ajb'anal Ja'tiox. 
MAT.3.6	Y yak ri xc'am jk'ab'al jmacak chiwch Kakaj Dios, xpe Juan Ajb'anal Ja'tiox xan ja'tiox rechak li nimi ja' Jordán.
MAT.3.7	Pero Juan Ajb'anal Ja'tiox, cuando xril chi sub'laj q'ui mak fariseo pach mak saduceo xtawtak riq'uil, ri' rajak tib'an ja'tiox rechak, xij rechak: Pur atak cumatz ri ticamsanc. Ta' nen xin chawechak chi atcolmajtaka' chiwch jk'atb'itzij Kakaj Dios ri tina ranna jwi'l retzal.
MAT.3.8	B'antak tzitaklaj no'j laj ac'aslemalak pire tic'utun chi kes tz'et xaq'uexa' ano'jak y xac'ama' jk'ab'al amacak chiwch Kakaj Dios. 
MAT.3.9	Ma chomorsaj laj awanmak chi atcolmajtaka' jwi'l ataka' rijajl Abraham. Jwi'l in tamb'ij chawechak chi Kakaj Dios ticwini' chi tiwux mak ab'aj ri pi rijajl Abraham. 
MAT.3.10	Man iquej wi'chak laj ra' mak che' pire tic'ursajtakb'ic. Juntir mak che' ri ta' tzi tiwichintak, tic'ursajtaka'n y tit'ojsajtaka' li k'ak'. 
MAT.3.11	In kes tz'et la' ja' tamb'an ja'tiox chawechak chi jc'utic chi xaq'uexa' ano'jak, pero petzal chiqui' jun chwij mas jcwinel chinwch in, ni ta' tic'ular pi we tanc'amb'i jxajb'. Re tina ranna ja'tiox chawechak la' Lok'laj Jsantil Kakaj Dios y la' k'ak'. 
MAT.3.12	Re c'amali'ch jun kelen jwi'l laj jk'ab' ri quiek la' tijpu'w jwich trig y tijtos mak rakan ri tiel chijxo'l. Tijc'ol man trig li c'uja, pero mak rakan ri tiel chijxo'l tijc'at li jun k'ak' ri ta' jchupic, xche' Juan Ajb'anal Ja'tiox.
MAT.3.13	Kakaj Jesús xelb'i Galilea xe' chi' nimi ja' Jordán riq'ui Juan Ajb'anal Ja'tiox pire tib'ansaj ja'tiox re. 
MAT.3.14	Juan Ajb'anal Ja'tiox ta' raj roj xan ja'tiox re, xij re: Ri' at rajwax atb'anow ja'tiox chwe chiwch in imb'anow ja'tiox chawe. ¿Nen chac atpe wiq'uil? xche' re.
MAT.3.15	Kakaj Jesús xij re: Canok pi jilonli, b'an ja'tiox chwe pire tikab'an juntir lawi' raj Kakaj Dios tikab'an, xche' re.
MAT.3.15	Ji'kelonli xansaj ja'tiox re jwi'l Juan Ajb'anal Ja'tiox. 
MAT.3.16	Cuando xantaj ja'tiox re Kakaj Jesús, xelch ralaj ja', xtormaj caj y xril kesalch Lok'laj Jsantil Kakaj Dios chib' chapca' rilic jun ra ut. 
MAT.3.17	Y xtasaj jun ch'a'wem xaanch lecj, xijch: Ri' ri lok'laj Inc'ajol ri sub'laj inqui'cot chirij, xche'ch.
MAT.4.1	Xpe Lok'laj Jsantil Kakaj Dios, xc'amb'i Kakaj Jesús li jun luwar lamas ta' cristian pire titakchi'j chi macun jwi'l man jb'ab'al etzl. 
MAT.4.2	Ca'winak (40) k'ij, ca'winak (40) ak'ab' xwa'x Kakaj Jesús cla', ta' nen xtij. Cuando xtz'akat ca'winak (40) k'ij y ca'winak (40) ak'ab', ajruc're' xric'aj wi'jal. 
MAT.4.3	Xpe man jb'ab'al etzl, xtaw riq'ui Kakaj Jesús chi jtakchi'j chi macunc, xij re: Wi kes tz'et ati' Jc'ajol Kakaj Dios, b'ij re mak ab'aj ri chi tiwuxtak pi cuxlanwa, xche' re Kakaj Jesús.
MAT.4.4	Pero Kakaj Jesús xij re:
MAT.4.4	Li wuj re Lok'laj Jyolj Kakaj Dios tz'ib'ali' jilonri:
MAT.4.4	Ma' jwi'l ta'ke cuxlanwa tiyo'rwi' jun cristian, jwi'li' juntir Jyolj Kakaj Dios, tiche', xche' re.
MAT.4.5	Ajruc're' man jb'ab'al etzl laj or xc'am chicb'i Kakaj Jesús li tilmit Jerusalén ri tosol pire Kakaj Dios, xe' jwab'a' li man luwar mas naj rak'aneb' re nimi richoch Kakaj Dios 
MAT.4.6	y xij re: Wi kes tz'et ati' Jc'ajol Kakaj Dios, t'ojb'i ayb' neri atb'e kej lak ulew, jwi'l li wuj re Lok'laj Jyolj Kakaj Dios tz'ib'ali' jilonri:
MAT.4.6	Kakaj Dios tijtaka'ch yak anjl chi achajajc y rechak atjc'ula'taka' la' jk'ab'ak pire ma' tib'e ach'i'ye' awakan la' jun ab'aj, tiche', xche' man jb'ab'al etzl re Kakaj Jesús.
MAT.4.7	Kakaj Jesús xij chic re: Pero li wuj re Lok'laj Jyolj Kakaj Dios tz'ib'ali' jilonri:
MAT.4.7	Ma tz'onaj re Akaj Dios ri Awajawl chi tran jun kelen pireke tawil wi kes tz'eti' tran ri tijb'ij, tiche', xche' re.
MAT.4.8	Xpe chic man jb'ab'al etzl, xc'am chicb'i Kakaj Jesús b'a jun witz sub'laj naj rak'aneb' y xc'utb'i chiwch juntir mak tilmit ri wi' wich ulew y juntir mak kustaklaj kelen ri wi' chiwch y xij re: 
MAT.4.9	In tanjacha' juntir li laj ak'b' wi atxucar chinwch y tacoj ink'ij, xche' re Kakaj Jesús.
MAT.4.10	Kakaj Jesús xij chic re man jb'ab'al etzl: Jat jb'ab'al etzl, elamb'i neri, jwi'l li wuj re Lok'laj Jyolj Kakaj Dios tz'ib'ali' jilonri:
MAT.4.10	Nimirsaj jk'ij Akaj Dios ri Awajawl y xike rajwax tab'an lawi' raj re tab'an, tiche', xche' Kakaj Jesús re man jb'ab'al etzl.
MAT.4.11	Y man jb'ab'al etzl xelb'ic, xcan jye' Kakaj Jesús y xtawtak nic'j anjl chi jt'o'ic Kakaj Jesús.
MAT.4.12	Kakaj Jesús cuando xta jtaquil chi Juan Ajb'anal Ja'tiox xcojsaji' li cars, xk'aj Galilea. 
MAT.4.13	Cuando xtaw cla', ta' xwa'x Nazaret, re ji' xe' wa'xok Capernaúm, jun tilmit ri wi' chi' nimlaj alagun, chijc'ulel jluwrak yak rijajl Zabulón pach yak rijajl Neftalí. 
MAT.4.14	Jilonli xtaw chiwch ri xcan jtz'ib'aj Isaías ri ajk'asal Jyolj Kakaj Dios ojr cuando xij jilonri:
MAT.4.15	Man jluwrak yak rijajl Zabulón pach man jluwrak yak rijajl Neftalí ri wi'tak ch'akap re nimi ja' Jordán chi' nimlaj alagun re Galilea ri lamas wi'tak yak ma' rijajl ta' Israel.
MAT.4.16	Mak cristian li ri wi'tak li uku'mal, xc'ula'taka' Jyolj Kakaj Dios chapca' xkopaj rib' jun nimlaj k'ak' chib'ak.
MAT.4.16	Jilonli jun k'ak' xkopaj rib' chib'ak mak ri wi'tak chapca' li uku'mal jwi'l jmacak, xche' Isaías.
MAT.4.17	Cuando xtaw Kakaj Jesús Capernaúm, xoc chi jtijoj cristian re Jyolj Kakaj Dios, xij rechak: Q'uex ano'jak chiwch Kakaj Dios jwi'l raquitzchak raj tijchol takon Kakaj Dios chib'ak cristian, xche' rechak.
MAT.4.18	Kakaj Jesús cuando tijin tiwo'cot chi' nimlaj alagun re Galilea, xril jwich Simón ri tib'ijsaj Pedro re pach Andrés ri jk'un. Rechak ajchapaltak cartaka'n, tijin tijt'oj jc'aatak re chapb'i car li ja'. 
MAT.4.19	Kakaj Jesús xij rechak: Jo'tak chwij y in atincoja'taka' chi jtoquic cristian pire tioctak laj jk'ab' Kakaj Dios chapca' jchapic car tab'antak, xche' rechak.
MAT.4.20	Rechak laj or xcan jye' jc'aatak re chapb'i car y xe'tak chirij Kakaj Jesús.
MAT.4.21	Kakaj Jesús xb'en chicb'i junquitz y xril chicb'i jwichak quib' winak ri jk'un ratz rib'ak, ri'taka' Santiago pach Juan yak jc'ajol Zebedeo. Rechak wi'tak li jun barc pach jkajak tijin tijc'ojaj jc'aatak re chapb'i car. Xpe Kakaj Jesús, xij rechak chi tib'etak chirij. 
MAT.4.22	Y laj or xcan jye'tak man barc pach jkajak y xe'tak chirij Kakaj Jesús.
MAT.4.23	Kakaj Jesús xwo'cot lak juntir luwar re Galilea. Xtijoj cristian lak sinagog. Re xij tzilaj jtaquil rechak cristian chirij jtakon Kakaj Dios chib'ak cristian y xtzib'saj juntir jwich yajel ri wi' rechak. 
MAT.4.24	Jtaquil chirij Kakaj Jesucristo xtawi' lak juntir luwar re Siria. Xpetak cristian xc'amtakch juntir ri yajtak re jaljojtak yajel, yak ri wi' c'axlaj yajel rechak, yak ri wi' etzl laj ranmak, yak ri wi' quiek'ek' rechak y yak ri siquirnak jtio'jlak. Juntir li xtzib'sajtaka' jwi'l Kakaj Jesús. 
MAT.4.25	Y sub'laj cristian ri xpetak Galilea, Decápolis, Jerusalén, Judea y ri xpetak lak luwar ri wi'tak ch'akap re nimi ja' Jordán xamb'ertak chirij Kakaj Jesús.
MAT.5.1	Xril Kakaj Jesús chi sub'laj cristian xmulb'a' rib'ak chirij, xjaw wich witz, cla' xcub'ar y yak ajtijol rib'ak chirij xjutuntak chijc'ulel. 
MAT.5.2	Y re xoc chi jtijojcak, xij rechak:
MAT.5.3	Tzi rechak yak cristian ri tijchomorsajtak chi tichoconi' Kakaj Dios jwi'lak, jwi'lke li rechak tina octakna laj jk'ab' Kakaj Dios pire titakon chib'ak.
MAT.5.4	Tzi rechak yak cristian ri tib'isontak jwi'l jmacak, jwi'l Kakaj Dios tina jye'na jcowil ranmak.
MAT.5.5	Tzi rechak yak cristian ri ta' tijchomorsaj laj ranmak chi nimi' jk'ijak, jwi'l tina ye'sajna man ulew rechak jwi'l Kakaj Dios ri b'il jwi'l.
MAT.5.6	Tzi rechak yak cristian ri xike b'esal ranmak chi jb'anic lawi' raj Kakaj Dios trantak chapca' jun cristian ri wi' wi'jal re y chekej chi' re, jwi'l tina tawna chiwch juntir ri b'esal ranmak chirij.
MAT.5.7	Tzi rechak yak cristian ri tiiliwtak c'ur jwichak cristian, jwi'l rechak tina ilsajna c'ur jwichak jwi'l Kakaj Dios.
MAT.5.8	Tzi rechak yak cristian ri suc'ul ranmak chiwch Kakaj Dios, jwi'l rechak tina riltakna jwich Kakaj Dios.
MAT.5.9	Tzi rechak yak cristian ri tijtoctak nen trantak pire tiwa'x utzil chijxo'lak riq'uilak cristian, jwi'l Kakaj Dios tina jb'ijna chirijak chi ralc'waltaka'n.
MAT.5.10	Tzi rechak yak ri tib'ansaj c'ax rechak jwi'l jb'anic lawi' raj Kakaj Dios trantak, jwi'l tina octakna laj jk'ab' Kakaj Dios pire titakon chib'ak.
MAT.5.11	Tzi awechak atak ri atyok'sajtak, tib'ansaj c'ax chawechak y tik'ab'aj tzij chawijak jwi'lak cristian inwi'lke in.
MAT.5.12	Wa'xok jun nimlaj qui'cotemal laj awanmak, jwi'l nimi' atojb'lak tac'ultak riq'ui Kakaj Dios lecj. Jilonli c'ax xansaj rechak yak ajk'asaltak Jyolj Kakaj Dios ri xyuktak nab'e chawchak, xche' Kakaj Jesús rechak.
MAT.5.13	Kakaj Jesús xij chic rechak: Atak, ataka' atz'am pi rechak juntir cristian wich ulew. Pero wi man atz'am tiel jqui'l, ta' chiqui' tijna' tran qui', ta' chiqui' nen tichacuj, tichak t'ojsajb'i lak b'e y tiyak'saj jwi'lak cristian. 
MAT.5.14	Atak, ataka' k'ak' pi rechak juntir cristian wich ulew. Jun tilmit ri wi' b'a jun witz ri naj rak'aneb' ta' tijna' tijmuk rib'. 
MAT.5.15	Ta' ni jono cristian tijtzij jun candil pire tijye' ralaj jun cax. Jun cristian tijtzij jun candil ji' tijcocb'a' lecj pire tijsakab'saj juntir la ja. 
MAT.5.16	Y ji'c'ulon atak b'antak chapca' tikopopon ak'ak'alak chiwchak cristian pire cuando yak cristian triltak utzil ri tab'antak, tijb'ixajtaka' jnimirsaj jk'ij Akajak Dios ri wi' lecj, xche' Kakaj Jesús rechak.
MAT.5.17	Kakaj Jesús xij chic rechak cristian: Ma chomorsajtak chi in ximpet pirechi' tansach jwich Jpixb' Kakaj Dios y ri xcan jtz'ib'ajtak yak ajk'asaltak Jyolj Kakaj Dios. In ta' ximpet chi jsachic jwichak, in ximpet pirechi' tiyuk imb'ane' juntir ri tijb'ij. 
MAT.5.18	Kes tz'etel tz'et tamb'ij chawechak, cuando ajwi'na caj pach ulew, ni junquitz tisaach re Jpixb' Kakaj Dios asta tina tawna chiwch juntir ri tijb'ij. 
MAT.5.19	Jwi'li'li nen ta' tijcoj jono Jpixb' Kakaj Dios ri ta' mas nim jk'ij y tijtijoj nic'j cristian chic pire ma' tijcojtak man pixab' li, ta' mas ticojsaj jk'ij lamas titakon Kakaj Dios. Pero nen tijcoj mak pixab' li y tijtijoj nic'j cristian chic pire tijcojtak mak pixab' li, re ticojsaji' mas jk'ij lamas titakon Kakaj Dios. 
MAT.5.20	In tamb'ij chawechak wi mita' tacojtak Jpixb' Kakaj Dios mas chiwch ri tijcojtak yak ajtijoltak cristian re Jpixb' Kakaj Dios pach mak fariseo, ta' atwa'xtak lamas titakon Kakaj Dios, xche' Kakaj Jesús rechak cristian.
MAT.5.21	Kakaj Jesús xij chic rechak cristian: Atak tali' awi'lak ri xijsaj rechak amam atit'ak jilonri:
MAT.5.21	Mat camsantak jwi'l nen ticamsan tib'ani' k'atb'itzij chib', tiche'.
MAT.5.22	Pero in tamb'ij chawechak chi nen jonok tipe retzal chirij jun cristian chic ri ta' jcholajl, tib'ani' k'atb'itzij chib'. Y nen jonok tiyok'ow re jun cristian chic, tib'ansaji' k'atb'itzij chib' jwi'lak mak comontak jb'ab'alak yak rijajl Israel. Y nen jono ri tijb'ij re jun cristian chic chi ta' nen tichacuj, tit'ojsaji' li jk'ak'al man luwar re tijb'i c'ax. 
MAT.5.23	Jwi'li'li cuando tijin taye' asipan b'a altar pire tasuj re Kakaj Dios y ticuxtaj awi'l chi wi' jun c'ax laj ranm jun cristian jwi'l ri xab'an re, 
MAT.5.24	can ye' asipan chiwch man altar y jat nab'e riq'uil. Y b'ijta re chi tijcuy amac pire atcantak pi utzil riq'uil, ajruc're' atk'aj chic chi jsujic asipan re Kakaj Dios. 
MAT.5.25	Wi wi' nen atsiq'uin li k'atb'itzij, chomorsaj ayb'ak laj or pi utzil riq'uil cuando b'esalcatak li b'e pire ta' chiqui' atb'e jache' laj jk'ab' man k'atb'itzij, jwi'l wi atjjach laj jk'ab' man k'atb'itzij, tipe man k'atb'itzij atjjach laj jk'ab' man mayor y man mayor atjcoj li cars. 
MAT.5.26	Kes tz'etel tz'et tamb'ij chawe chi wi xatkej li cars, ta' atel wi mita' tatoj man q'uisb'i centaw pire atesajb'ic, xche' Kakaj Jesús rechak cristian.
MAT.5.27	Kakaj Jesús xij chic rechak cristian: Atak tali' awi'lak ri b'ilch ojr jilonri:
MAT.5.27	Ma wechb'ej jun cristian chic wi ma' ac'ulajl ta'n, tiche'.
MAT.5.28	Pero in tamb'ij chawechak, nen jonok tril jwich jun anm y tijrayaj rechb'ej, chiwch Kakaj Dios niq'ui' riq'uil xrechb'eji' jwi'l jilon xrayaj laj ranm. 
MAT.5.29	Jwi'li'li in tamb'ij chawe chi wi ri' jpaach b'ak' awch tib'anow chawe atkej li mac, ri' mas tzi tawesajb'ic, tat'ojb'i chinaj chawe. Ri' mas tzi tisaach junquitzke re atio'jl chiwch juntir atio'jl tit'ojsajb'i li man luwar re tijb'i c'ax. 
MAT.5.30	Y wi ri' jpaach ak'b' tib'anow chawe atkej li mac, c'urb'ic, t'ojb'i chinaj chawe, ri' mas tzi tisaach jwich junquitzke re atio'jl chiwch juntir atio'jl tit'ojsajb'i li man luwar re tijb'i c'ax, xche' Kakaj Jesús rechak.
MAT.5.31	Kakaj Jesús xij chic rechak cristian: B'ili'ch ojr jilonri:
MAT.5.31	Nen jonok tican jache' rixokl, rajwaxi' tran jun jwuj rixokl ri tijb'ij chi xjacha' rib'ak, tiche'.
MAT.5.32	Pero in tamb'ij chawechak chi nen jonok tijjach rixokl wi ma' jwi'l ta' xechb'ej jwi'l jun jalan winak chic, ri' re tib'anow re rixokl chi nic' riq'uil xechb'ej jwi'l jun winak chic ri ma' jc'ulajl ta' wi tic'uli'y riq'ui jono winak chic. Y nen jonok tic'uli'y chic riq'ui man anm li, ri jachal, nic' riq'uil tike rechb'ej y ma' jc'ulajl ta'n, xche' Kakaj Jesús rechak cristian.
MAT.5.33	Kakaj Jesús xij chic rechak cristian: Y tali' awi'lak chi xijsaji' rechak amam atit'ak jilonri:
