GEN.1.1	Kjok ëre dämär, l̇l̇ëye l̇l̇ëm obishko ga Sbö kjok shäryono uunkong, kjopkwo, kl̈ung bakoe. 
GEN.1.22	Eshko ga tjl̈ẽ l̇l̇ëbo wena tjeng l̈i kong ga «Pjãy wapga shdärzong dl̈ung kjwang jĩkong, di uunkong roshko bakoe. Sënwa, pjãy wapga shdärzong kjok kjwang jĩkong bebi» l̈e. L̇l̇ëbo shäryara beno pjl̈ú ba kong l̈ok eni. 
GEN.1.23	Eshko ga öötong dbar shkëng (5).
GEN.1.24	Wẽshko ga tjl̈ẽ ga «Kl̈ung, pja kjing go äya kjl̈oshko so wenzong, öng wenzong bakoe» l̈e. L̈ara sorë ga shäryono beno eni. 
GEN.1.25	Eshko ga ĩya ga beno pjl̈úe.
GEN.1.26	Eshko ga tjl̈ẽ obi ga «No shäryëy shara, so shji kjoyoe. E ber tjwl̈õ ara, dbo ara, l̇l̇ëbo obl̈ë obl̈ë tjeng l̈i kjinmo, mã, sënwa, öng, äya kjl̈oshko so bakoe» l̈e.
GEN.1.27	Eni ga no, e shäryara Sbörë
GEN.1.27	so e om go kjoyoe.
GEN.1.27	Shäryara domer, wal̈ë.
GEN.1.28	Eshko ga tjl̈ẽno beno pjl̈ú ba kong. Tjl̈ẽ ga «Pjãy shdärzong ara, tira l̇l̇ëme. Kjok ëre dl̈imia. Pjãy iër ber l̈öng ba ĩga. Mã, sënwa, öng, äya kjl̈oshko so, pjãy iër ber l̈öng ba ĩga bakoe» l̈e.
GEN.1.29	E irgo ga tjl̈ẽ ga «Kjok ĩzĩa. Kjl̈o sho l̇l̇ërba pogo dwl̈ayo tjok wl̈eniyo, kjor botjyë wl̈eniyo, e twër ber bomi kong, uëmi wl̈o. E bomi dl̈i uunkong. 
GEN.1.30	Gueniyo ga öng, sënwa, äya kjl̈oshko so, e kong kjl̈o sho twër ber ba kong, ue wl̈o» l̈e. L̈ara sorë ga shäryono beno eni.
GEN.1.31	Eshko ga ĩya ga uunkong l̈i beno pjl̈ú, owa l̇l̇ëme. Eshko ga öötong dbar tjer (6).
GEN.2.1	Kjok uunkong, l̇l̇ëbo tjeng kës, e shäryara beno pjir eni.
GEN.2.2+GEN.2.3	Dbar kjäk (7) ga ba pak shäryara pjir l̈ishko ga woshtonoe. Ga woshtono eshko dbaryo kjĩshko ga l̇l̇ëbo shäryara dbar kjäk (7) l̈i kong pjl̈úe. E iara beno pjang dboye. 
GEN.2.4	Kjok shäryara Sbö Jehovárë uunkong eni.
GEN.2.4	Eshko ga 
GEN.2.5	kjor, kjl̈o sho, e wentë l̇l̇ëm obi. Shunyo ichayde Sbö Jehovárë shrë kl̈ung kjing go l̇l̇ëm obi. Ëye parkaga kl̈ung kjing go l̇l̇ëm bakoe. L̇l̇ëye wentë l̇l̇ëm obi e kjĩshko. 
GEN.2.6	Gueniyo eshko ga di tur tëm kl̈ung dirko, e sguin kl̈ung kjing go.
GEN.2.7	Eshko ga domer, e shäryara Sbörë kjl̈ara kl̈ung sho go. Ga pjl̈uk bakwara ba ne roy ber shäng së wl̈o, ga beno shäng së. 
GEN.2.8	Ga Sbö kjok poshäryono buk kjrina ko Edén, kjok, e buk dl̈o wen tëm shwo l̈ëkong. Ga domer shäryara l̈i iara beno shäng eshko. 
GEN.2.9	Eshko ga kjor shäryara obl̈ë obl̈ë kjl̈öböso, wol̈ësowa, bo uako wl̈eniyo. Ga kjok buk l̈i roworbëshko ga kjor iara beno l̈ok do pjök. Kjl̈ara, ba bo uoroy ga shji wol̈on l̇l̇ëme. Kjl̈ara obi, e l̇l̇ëbo pjl̈ú, l̇l̇ëbo owa, e miydokl̈o.
GEN.2.10	Edén kjokyo l̈ishko ga di wen pjang pjl̈ara. E jer pjang shdär kjor l̈i gl̈oroy. Ey ga shdöktong beno pjl̈ogl̈o pkëng (4). 
GEN.2.11	Di bäm go l̈i ko Pisón. E jer pjrĩya buk Javilá kjokyo worbo tjok. Kjok eshko, e dbur sho shõyl̈ṍr ara. 
GEN.2.12	Dbur sho shõyl̈ṍr kjok eshko so l̈i owa l̇l̇ëm, shõyl̈ṍr anmoyõ. Poshtikkl̈o l̈õ pjl̈ëbl̈ë ko 
GEN.2.13	Di pjl̈ara obi l̈i ko Guijón. E jer buk sjöng Cus kjokyo go. 
GEN.2.14	Di pjl̈ara obi l̈i ko Tigris. E jer buk Asiria kjokyo dl̈o wen tëm shwo l̈ëkong. Di pjl̈ara obi l̈i ko Éufrates.
GEN.2.15	Domer l̈i iara Sbörë beno shäng Edén kjokyo roshko, kjok l̈i ĩga, kjok l̈i daga bakoe. 
GEN.2.16	Eni ga tjl̈ẽ ba kong ga «Kjok ëreshko ga kjor bo twër ber bop kong uunkong, uëp wl̈o. 
GEN.2.17	Gueniyo ga l̇l̇ëbo pjl̈ú, l̇l̇ëbo owa, e miydokl̈o kjoryo bo, era uëy l̇l̇ëme. Uorop ga pja wol̈on jl̈õkoyo» l̈e.
GEN.2.18	Eshko ga tjl̈ẽ obi ga «Domer ber sök kjl̈araso ga pjl̈ú l̇l̇ëme. Kong ba yorkaga shäryër kjl̈ara, ba kjimtë wl̈o» l̈e. 
GEN.2.19	Eni ga öng, äya kjl̈oshko so, sënwa, e shäryak beno kl̈ung sho go, ga söra uunkong, pina domer l̈i kong, koie wl̈o. 
GEN.2.20	Ga koiara uunkong eni. Gueniyo e tjrëko l̇l̇ëye wl̈ẽna ber ba kjimtokl̈o wl̈o l̇l̇ëme.
GEN.2.21	E kjĩshko ga domer l̈i iara Sbörë beno buk pë ronge. Buk pë wopro ga shgl̈ing shira kjwangna, ga sho l̇l̇ira jek iröng obi. 
GEN.2.22	Ba shgl̈ing l̈i go ga wal̈ë shäryara kjl̈ara. E irgo ga söra, pina ba kong.
GEN.2.23	Ĩya domer l̈irë ga tjl̈ẽ ga
GEN.2.23	«¡Ĩzong! Ërera so tja kjoyoe.
GEN.2.23	Ba sho kjwe botoya dik.
GEN.2.23	Ba dbogl̈o kjwe botoya dik.
GEN.2.23	Koiër ber “wal̈ë”,
GEN.2.23	shira domer go dwayo kjĩshko» l̈e.
GEN.2.24	E kjĩshko ga domer ba data, ba mekë rayë, ga orkwosmok wal̈ë tjok, ga ber l̈öng kjl̈araso wl̈eni.
GEN.2.25	Eshko ga l̈öng kjwor, gueniyo l̇l̇ëye l̈ökyokjre l̈ok l̇l̇ëme.
GEN.3.1	Dgur, e obl̈ë jyãpgwë äe, äya kjl̈oshko so obl̈ë obl̈ë shäryara Sbö Jehovárë l̈i kjinmo. Pjl̈ara ga tjl̈ẽ wal̈ë l̈i kong ga «¿Jl̈õkoyo ga Sbö tjl̈ẽno bomi kong ga “Kjok ëreshko ga kjor bo uëy uunkong l̇l̇ëme” l̈ara eni jl̈õre?»
GEN.3.2	«Kjor bo uërwa uunkong ga pjl̈úe. 
GEN.3.3	Gueniyo ga kjor jong kjl̈ara kjok roworbëshko, era uërwa ga äe. Sbö tjl̈ẽno borwa kong ga “Kjwe uëy l̇l̇ëme. Porwëy l̇l̇ëm bakoe. L̇l̇ëm ga pjãy wol̈on” l̈ara eni» l̈e dgur kong.
GEN.3.4	Kuya ga tjl̈ẽ ba kong ga «E jyõ. Pjãy wol̈on l̇l̇ëme. 
GEN.3.5	Miyde Sbörë pjir ga kjor ëre bo uoromi ga pjãy bokkwo roshwing, ga pjãy ber l̈ong l̇l̇ëbo pjl̈ú, l̇l̇ëbo owa miydë. Eni ga pjãy ber l̈öng Sbö dik» l̈e.
GEN.3.6	Kuya ga ĩya ga kjor bo, e wol̈ësowae. Ga iara beno uayuae. E kjok miydokl̈o bakoe l̈e. Eni ga kjor bo l̈i kjrara, ga uarae. E irgo ga twara ba l̈anma kong, ga omuono bakoe. 
GEN.3.7	Jekdo eshko ga bokkwo roshwingö, ga opmiydono l̈ok ga l̈öng kjwor. Eni ga kjor ko 
GEN.3.8	Kjok sëng, pjl̈uk ri rishko ga Sbö jëk jek shäng kjor gl̈oroy l̈i kura l̈ok. Ga töktong l̈ok zron ĩ, ga opjneno kjor l̈i pjl̈or go, ĩya l̇l̇ëm wl̈o.
GEN.3.9	Eshko ga domer l̈i rokara Sbörë. Tjl̈ẽ ga «¿Pja shäng kjone?»
GEN.3.10	«Kuror ga pja jëk shäng kjor gl̈oroy ga pja bangkjroror ara, ga tja shäng kjwor kjĩshko ga tja opjnenoe» l̈e ba kong.
GEN.3.11	Kuya ga tjl̈ẽ ba kong ga «¿“Pja shäng kjwor” l̈aga ërë bop kong? ¿Eni l̈i kjor bo uëy l̇l̇ëme l̈oror bop kong l̈i uoropde?»
GEN.3.12	«Kjor bo l̈i twaga wal̈ë tworop bor kong l̈irë bor kong ga uorore» l̈e ba kong.
GEN.3.13	Eni ga kjakrokara wal̈ë l̈i kong ga «¿L̇l̇ëye shäryoropdo?»
GEN.3.13	«Tja jyãpgwaga dgurdë. E kjĩshko ga kjor bo l̈i uorore» l̈e ba kong.
GEN.3.14	Kuya ga tjl̈ẽ dgur l̈i kong ga «L̇l̇ëbo owa shäryorop. E kjĩshko ga pja shdun pja kjl̈araso, öng, äya kjl̈oshko so l̇l̇amo tjeng l̈ira l̇l̇ëme. Pja eröe. Eeri jek l̈ëkong ga pja iër ber buk dopshik ĩ kl̈ung kjing go, ga kl̈ung sho dwëp bakoe. 
GEN.3.15	Pja, wal̈ë, pjãy ber l̈öng ëng moskwo, bop tjëyo, ba tjëyo, e ber eni bakoe. Ba tjëyo, pja kä shguiya. Ga pjara omuë ba kjuktushko» l̈e.
GEN.3.16	Ga tjl̈ẽ wal̈ë l̈i kong ga «Pja chida buk döröshko ga iër ber bop kong bang ara, woyotjl̈ĩnor bäm go sorë l̈i kjinmo. Ga pja wo pjang bop l̈anma go. Ga e ber bop ichaga» l̈e.
GEN.3.17	Ga tjl̈ẽ domer l̈i kong ga «“Kjor bo kjwe uëy l̇l̇ëme” l̈oror bop kong, gueniyo tja kol̈orop l̇l̇ëm, bop boy wl̈era kol̈orop. E kjĩshko ga kl̈ung ëre äyoshtoror, ioror beno l̇l̇ëbo uëp wl̈o ga pakyo shäryëp kjang enido. 
GEN.3.18	Kl̈ung, e kjing go kjl̈o sho wen ara shkö tjok, kjil̇l̇gwo shkökyo tjok bakoe. Ga pja ber shäng kjl̈o sho kjl̈oshko so uako, e uopdë. 
GEN.3.19	Eshko ga pja parkë shorya go l̇l̇ëm ga pja ië l̇l̇ëme. Pja tek shäryak kl̈ung sho go, kl̈ung sho l̈i pja. Ga l̇l̇ono ga pja kworkwë jek ber kl̈ung sho iröng obishko ga pja parkë pjir äär ber eshko» l̈e.
GEN.3.20	E irgo ga wal̈ë l̈i koiara domer l̈irë Eva, e nopga uunkong mekë kjĩshko.
GEN.3.21	Shwong pjũya l̈ok wl̈o ga shwong shäryara Sbörë öng kwota go. 
GEN.3.22	Ga tjl̈ẽ ga «Era domer l̈i öötong l̇l̇ëbo pjl̈ú miydë, l̇l̇ëbo owa miydë, beno so shji kjoyoe. Kjor jong kjl̈ara, ba bo uoroy ga shji wol̈on l̇l̇ëme. Uara l̈ok ga ber l̈öng së ĩyado, e woydër l̇l̇ëme» l̈e. 
GEN.3.23	E kjĩshko ga domer l̈i shira Edén kjokyo dwayo ba boy tjok. Bäm goshko ga domer l̈i shäryara kl̈ung sho go. Shirashko ga beno shäng parkë kl̈ung sho l̈i kjing go shara. 
GEN.3.24	Shira pjir ga Edén kjokyo dl̈o wen tëm shwo l̈ëkong ga Sbö parkagaga kjok dogo so sjä̃gä tjok wl̈eniyo iara beno l̈öng kjl̈öbö eshko. Dröng iara pjang kjwangna l̇l̇etl̇l̇et iök wl̈eni, pjrĩya pjang l̇l̇aw ëre pogo, e beno pjang irbo l̈i dë, ëye jek äär kjor kjl̈ara, ba bo uoroy ga shji wol̈on l̇l̇ëm jong l̈ishko ga ä wl̈o.
GEN.4.1	E irgo ga Adán pono ba boy tjok, ga beno shäng kjl̈araso l̇l̇ëme. E irgo ga wa buk kjl̈ara domer. Ga Eva tjl̈ẽ ga «Tja wa buk kjl̈ara domer, e twaga Jehovárë bor kong» l̈e. E kjĩshko ga koiara Caín.
GEN.4.2	E irgo ga wa buk kjl̈ara domer obi ko Abel. E pak beno öng daga. Caínda pak beno dwl̈a dgaga.
GEN.4.3	Dbar kjwara ga Caín öör ba dwl̈a dgara l̈i bo kjrë, ga söra jek, twara Jehová kong ba sënggl̈o. 
GEN.4.4	Abelda, ba öng wl̈ẽp ushko so weno bäm ĩ wl̈eniyo l̈i zröra pjökde myare. Ga ba sho pjl̈ú l̈i söra jek, twara Jehová kong ba sënggl̈o bakoe. Eni ga Jehová beno wopjl̈ú Abel tjok, ba öng twara ba sënggl̈o l̈i tjok bakoe. 
GEN.4.5	Gueniyo beno wopjl̈ú Caín tjok l̇l̇ëm, ba dwl̈a bo twara ba sënggl̈o l̈i tjok l̇l̇ëm bakoe. E kjĩshko ga Caín iirkono träk l̇l̇ëm, bokkwo keyeng erä. 
GEN.4.6	Eni ga Jehová tjl̈ẽ ba kong ga «¿Pja iirkë ara ega? 
GEN.4.7	L̇l̇ëbo pjl̈ú shäryorop kjwe ga tja ber wopjl̈ú bop tjok. Gueniyo l̇l̇ëbo owa shäryëp ĩyado ga bong kjönma ga pja ber shäng l̇l̇ëbo owa l̈i shäryë l̇l̇ëm ga äe. Bek wl̈o ga l̇l̇ëbo pjl̈ú l̈i shäryëp, l̇l̇ëbo owa l̈i shäryëp ame wl̈o» l̈e.
GEN.4.8	Dbar jek ga Abel mana Caíndë jëk ba tjok. Öötong l̈öng pjola ga ba l̈ëng l̈i shakza pjä, ga zrörae.
GEN.4.9	E irgo ga Jehová tjl̈ẽ ba kong ga «¿Bop l̈ëng Abel kwonl̇l̇o?»
GEN.4.9	«Miydër l̇l̇ëme. ¿Eni l̈i tja iak shäng bor l̈ëng dagare?» l̈e ba kong.
GEN.4.10+GEN.4.11	Kuya ga tjl̈ẽ ba kong ga «¿L̇l̇ëye shäryoropdo? Bop l̈ëng zrörop. Ba srëng tjeng kl̈ung kjing l̈i ĩnor. E kjĩshko ga pja shdun. Bop l̈ëng srëng kwono kl̈ung kjing go kjĩshko ga pja parkë ber shäng kl̈ung kjing ame. 
GEN.4.12	Pja parkë ara kl̈ung kjing ëmdë ga l̇l̇ëye botjyë bop kong ame. Pja to shäng jëk kl̈ung kjing kjone pogo ëmdë ga pja shto woshtozl̈ong wl̈o drete» l̈e ba kong.
GEN.4.13	Kuya ga tjl̈ẽ ba kong ga «Bor shdunggl̈o ëre ber kjang anmoyõ. 
GEN.4.14	Tja kuzong. Tja parkë kl̈ung kjing ame kjĩshko ga tja to jongya shäng jëk kjok pjola, tja ber bop soshko ame. Tja to shäng tök wl̈eni. Ga tja wl̈ẽna ë pogorë ga tja zröya jekdo» l̈e.
GEN.4.15	Kuya ga tjl̈ẽ ba kong ga «Pja zröga ërë ga e shdun, pja shdunor l̈i kjinmo» l̈e. Eni ga pogl̈o jyã tara, wl̈ẽngga ërë ga zröya l̇l̇ëm wl̈o. 
GEN.4.16	Ga Caín opshino to l̈ano shäng l̈ishko dwayo ga jek öötong sök Nod kjokyo, e ber buk Edén kjokyo, dl̈o wen tëm shwo l̈ëkong.
GEN.4.17	Dbar jek ga Caín pono ba boy tjok, ga beno shäng kjl̈araso l̇l̇ëme. E irgo ga wa buk kjl̈ara domer ko Enoc. E dbaryoshko ga Caín shäng u ywë kjwöböso, kjëryo shäryak ak go pjribri kjókshko. Kjok l̈i kowara Enoc, ba wa l̈i ko. 
GEN.4.18	Enoc, e Irad data. Irad, e Mejuyael data. Mejuyael, e Metusael data. Metusael, e Lamec data.
GEN.4.19	Lamec, e boy do pjök, kjl̈ara ko Ada, kjl̈ara ko Zila. 
GEN.4.20+GEN.4.21	Ada, e wapga domerga do pjök, kjl̈ara ko Jabal, kjl̈ara ko Jubal. Nopga to l̈öng öng daga kjok shto obl̈ë obl̈ë, ba u shäryak öng kwota go l̈i, shäryaga shäng bäm go l̈i Jabal. Nopga dbonmo të, nopga kjorkwang shäryak jong kjiyo tjok tëy or go wl̈eniyo l̈i të, e shäryaga bäm go l̈i Jubal. 
GEN.4.22	Ga Zilara wa buk kjl̈ara domer ko Tubal Caín. Nopga parkokl̈o shäryë dröng shosho obl̈ë obl̈ë go l̈i, shäryaga shäng bäm go l̈i Tubal Caín. E dor shäng kjl̈ara ko Noamá.
GEN.4.23	Pjl̈ara ga Lamec tjl̈ẽ ba boyga kong ga
GEN.4.23	«L̇l̇ëye l̈ër bomi kong l̈i kuzĩ yõtso.
GEN.4.23	Domer zröror kjl̈ara, tja zara kjĩshko.
GEN.4.23	Dwl̈as zröror kjl̈ara bako, tja shpora kjĩshko.
GEN.4.24	Caín zröga ërë ga e shdũya Sbörë, Caín shduna l̈i kjinmo.
GEN.4.24	Tjara zröga ërë ga shdũya, Caín zröga l̈i kjinmo obi» l̈e.
GEN.4.25	Dbar jek ga Adán, Eva, e wa buk kjl̈ara domer obi, ga koiara Set. Eshko ga Eva tjl̈ẽ ga «Tja kjimtara Sbörë, tja kong wa twara kjl̈ara obi. E ber shäng Abel, zröra Caíndë l̈i ãska. E kjĩshko ga koiër Set»
GEN.4.26	E irgo ga Set, e wa buk kjl̈ara domer, ga koiara Enós. Enós dbaryo ga oba syõshtono Jehová kong kjwl̈ëe.
GEN.5.1+GEN.5.2	Nopga shäryara Sbörë so e om go kjoyoe. Shäryara domer, wal̈ë. E kjimtara, ga koiara «nopga». Ëre ba tjëyo tek beno ba irgo l̈i kjibokwoyo.
GEN.5.3	Adán, e öötong l̈u pjl̈ogl̈o sak dbäw kjingsho sak myashko (130) ga wa buk kjl̈ara domer so e om go kjoyo, ga koiara Set. 
GEN.5.4+GEN.5.5	E irgo ga wapga weno obi. Ga l̈u ĩno öötong sak dbäw pjl̈ogl̈o shkaw kjingsho sak myashko (930) ga wol̈onoe.
GEN.5.6	Set, e öötong l̈u pjl̈ogl̈o sak dbäw kjingsho shkëngshko (105) ga wa buk kjl̈ara ko Enós. 
GEN.5.7+GEN.5.8	E irgo ga wapga weno obi. Ga l̈u ĩno öötong sak dbäw pjl̈ogl̈o shkaw kjingsho sak kjwara kjingsho pjökshko (912) ga wol̈onoe.
GEN.5.9	Enós, e öötong l̈u pjl̈ogl̈o sak shkawshko (90) ga wa buk kjl̈ara ko Cainán. 
GEN.5.10+GEN.5.11	E irgo ga wapga weno obi. Ga l̈u ĩno öötong sak dbäw pjl̈ogl̈o shkaw kjingsho shkëngshko (905) ga wol̈onoe.
GEN.5.12	Cainán, e öötong l̈u pjl̈ogl̈o sak kjäkshko (70) ga wa buk kjl̈ara ko Malalel. 
GEN.5.13+GEN.5.14	E irgo ga wapga weno obi. Ga l̈u ĩno öötong sak dbäw pjl̈ogl̈o shkaw kjingsho sak kjwarashko (910) ga wol̈onoe.
GEN.5.15	Malalel, e öötong l̈u pjl̈ogl̈o sak tjer kjingsho shkëngshko (65) ga wa buk kjl̈ara ko Jared. 
GEN.5.16+GEN.5.17	E irgo ga wapga weno obi. Ga l̈u ĩno öötong sak dbäw pjl̈ogl̈o kjwong kjingsho sak shkaw kjingsho shkëngshko (895) ga wol̈onoe.
GEN.5.18	Jared, e öötong l̈u pjl̈ogl̈o sak dbäw kjingsho sak tjer kjingsho pjökshko (162) ga wa buk kjl̈ara ko Enoc. 
GEN.5.19+GEN.5.20	E irgo ga wapga weno obi. Ga l̈u ĩno öötong sak dbäw pjl̈ogl̈o shkaw kjingsho sak tjer kjingsho pjökshko (962) ga wol̈onoe.
GEN.5.21	Enoc, e öötong l̈u pjl̈ogl̈o sak tjer kjingsho shkëngshko (65) ga wa buk kjl̈ara ko Matusalén. 
GEN.5.22+GEN.5.23+GEN.5.24	E irgo ga wapga weno obi. Enoc, e Sbö woydë owa l̇l̇ëm, ga jëk shäng ba tjok ĩyado. Ga l̈u ĩno öötong sak dbäw pjl̈ogl̈o mya kjingsho sak tjer kjingsho shkëngshko (365) ga söra Sbörë to, ĩnaba ame.
GEN.5.25	Matusalén, e öötong l̈u pjl̈ogl̈o sak dbäw kjingsho sak kjwong kjingsho kjäkshko (187) ga wa buk kjl̈ara ko Lamec. 
GEN.5.26+GEN.5.27	E irgo ga wapga weno obi. Ga l̈u ĩno öötong sak dbäw pjl̈ogl̈o shkaw kjingsho sak tjer kjingsho shkawshko (969) ga wol̈onoe.
GEN.5.28	Lamec, e öötong l̈u pjl̈ogl̈o sak dbäw kjingsho sak kjwong kjingsho pjökshko (182) ga wa buk kjl̈ara domer. 
GEN.5.29	Ga tjl̈ẽ ga «Shji parkë ara kjok ëre kjing go, kjok l̈i äyoshtara Jehovárë kjĩshko. Gueniyo chida ërera shji ie ber l̈öng woshtë» l̈e. E kjĩshko ga ba wa l̈i kowara Noé.
GEN.5.30+GEN.5.31	E irgo ga wapga weno obi. Ga l̈u ĩno öötong sak dbäw pjl̈ogl̈o kjäk kjingsho sak kjäk kjingsho kjäkshko (777) ga wol̈onoe.
GEN.5.32	Noé, e öötong l̈u pjl̈ogl̈o sak dbäw pjl̈ogl̈o shkëngshko (500) ga wapga tjeng domerga dogl̈o mya, Sem, Jafet, Cam.
GEN.6.1+GEN.6.2	Nopga, e wapga shdöktong träk l̇l̇ëm kjok ëre kjing goshko. Ga wapga wal̈ëga kjong kjong wol̈ësowa. E kjĩshko ga Sbö wapga orkwosmono wal̈ëga woyde kjone dey l̈i tjok. 
GEN.6.3	Eni ga Jehová tjl̈ẽ ga «Nopga, e iër ber l̈öng së ĩyado l̇l̇ëm, e wol̈on wl̈o kjĩshko. Eni ga iër ber l̈öng së l̈u pjl̈ogl̈o sak dbäw kjingsho sak pjök (120) eröe» l̈e.
GEN.6.4	Sbö wapga orkwosmono wal̈ëga kjok ëre so tjokshko ga wapga weno sok këskës, obl̈ë kjinmo. Ga nopga tjwl̈õ ara tek dënashko so l̈i epga.
GEN.6.5	Ĩya Jehovárë ga nopga l̈öng l̇l̇ëbo owa shäryë ara anmoyõ, ga wotjl̈ĩk owa erä. 
GEN.6.6	Eni ga wotjl̈ĩk ga «Nopga shäryoror l̇l̇ëm kjwe dey, bangyo ara bor pjl̈úshko» l̈e. 
GEN.6.7	Ga tjl̈ẽ ga «Nopga shäryoror tjeng kl̈ung kjing ëre kjër jũshko dwayo. Shäryër öng, äya kjl̈oshko so, sënwa tjok eni bakoe. Woyotjl̈ĩn ga shäryoror l̇l̇ëm kjwe dey» l̈e.
GEN.6.8	Gueniyo ga domer shäng kjl̈ara ko Noé. Jehová wopjl̈ú ba tjok.
GEN.6.9	Ëre l̇l̇ëye shäryara Noérë dö l̈i kjibokwoyo. E domer pjl̈o bek, pogo l̇l̇ëye dret Sbö bokso. L̇l̇ëye woyde Sbörë l̈i shärye eni, ga jëk shäng ba tjok ĩyado. Nopga obl̈ë obl̈ë omshäryono eni l̇l̇ëm, Noé eröe. 
GEN.6.10	E wapga domerga dogl̈o mya, Sem, Jafet, Cam.
GEN.6.11+GEN.6.12	Ga ĩya Sbörë ga kl̈ung ëre kjing go l̇l̇ëbo owa ara, nopga ëngkjwë ara ëng tjok, l̇l̇gwega ërë l̇l̇ëme. Nopga l̈öng kës l̈i beno l̈öng l̇l̇ëbo owa shäryë eröe. 
GEN.6.13	E kjĩshko ga Sbö tjl̈ẽ Noé kong ga «Tja wotjl̈ĩk nopga pjik uunkong l̈ër. L̈öng ëngkjwë ara ëng tjok. L̈öng l̇l̇ëbo owa shäryë erä. E kjĩshko ga e pjir ber dret, l̇l̇ëbo tjeng kl̈ung ëre kjing go l̈i tjok.
GEN.6.14	»Eni ga kjorkwang wl̈ẽs pjl̈ú, owa l̇l̇ëm wl̈eniyo, ga kjyong
GEN.6.15	Shäryos jyãgl̈o eni: kur orkwo jyãgl̈o
GEN.6.16	Shäryos yongyo kjringgwo mya, kjëryo tjok tjok. U dbo kjing shäryos tuk, ba dirko shäryos ber oojong pjribri, kur orkwo jyãgl̈o kjwara. U bäng shäryos ber jong kjwara ba pogl̈o go, e opzrëkkl̈o.
GEN.6.17	»Di ichër kësbang, kjok ëre pir wl̈o. Eshko ga l̇l̇ëye l̈öng së kjok kjwang jĩkong kjing go ga e kjer drete. 
GEN.6.18	Gueniyo ga tjl̈õkwo twër bop kong, ber ĩyado wl̈o. Pja jem opzrëk kjyong l̈i roy, bop boy, bop wapga, bop pjl̈aydoga tjok, pjãy wol̈on l̇l̇ëm wl̈o.
