GEN.1.1	Kotiyamale sitali dla Godtapo ta꞉lamo mate pepele di mate mimita꞉piyo. 
GEN.1.15	“Epalati hela꞉dle hapilalo alisisi ewolotapo omapla di dla popa꞉mama ta꞉lamo hema hela꞉dle hapimha꞉ha꞉lepe,” diyo. Epalati koko eta mo-woyamaiyo. 
GEN.1.16	Epedeme Godtapo hela꞉dle alisisi patoto dapiyamte mimita꞉pmama sikemte itiyamale mate hela꞉dlalo alisisiye alila dla hela꞉demhallepo depame himiyo. Epame pase sikemte itiyamale mate hela꞉dlalo alisisiye utula꞉la dla hela꞉demhallepo depame himiyo. Ya꞉ ma epame tamili mimita꞉piyo. 
GEN.1.17	Godtapo alisisi hapuloma iye omapla di dla ipila꞉iyo, yia꞉tapo ta꞉lamoye hela꞉dle hapimha꞉ha꞉lepo depame. 
GEN.1.18	Epame yia꞉tapo alila mate epo utula꞉la mate omha꞉ha꞉mama amtuwale mate hela꞉dle mate duka glademha꞉ha꞉lepo depame. Epame Godta koko e natipame ka꞉pi diyo. 
GEN.1.19	Epame namba 4 alilata ma-tlati ma alila amko haleta ma-alaliyo.
GEN.1.20	Epalati Godta ma epo atlaiyo, “Yú dulu dla pasakalo siyamalalo alisisitapo pasatlepe. Epame teatapo di haliyamale hema hoholiyemsiyamelepe,” diyo. 
GEN.1.21	Epame Godtapo amalo hapuloma mate epo alinepi opi patoto yú dulu dla ha꞉ha꞉lalo hapuloma mate epo tea hapuloma mate mimita꞉piyo. Epame Godta koko e natipame ka꞉pi diyo. 
GEN.1.22	Epame yia꞉ watle epo atlaiyo, “Wua꞉ yú dulu dla yimlala usulumha꞉ha꞉mama kaula patoye pasatlepe. Epalati ta꞉lamo di hema teatapo yimlala usulumha꞉ha꞉mama teata pasatlepe,” diyo. 
GEN.1.23	Epame namba 5 alilata ma-tlati ma alila amko haleta ma-alaliyo.
GEN.1.24	Epame Godta ma epo atlaiyo, “Ta꞉lamo hema alinepi mila꞉pi meyelope meyelope dle halo mate epo yowo mateta pasatlepe. Epame ilama mape pasatlepe,” diyo. Epalati koko eta ma-halaiyo. 
GEN.1.25	Epame Godtapo alinepi hapuloma mimita꞉pame ma alinepi e tlapame ka꞉pi diyo.
GEN.1.26	Epame Godta ma epo atlaiyo, “Di matle oplami di mila꞉pi sepele mita꞉plowa, ya꞉tapo amalo hapuloma mate epo tea hapuloma mate epo alinepi hapuloma halo mate epo yowo mate omhallepo depame,” diyo. 
GEN.1.27	Epame Godtapo oplami ya꞉ mila꞉pi sepeleye mita꞉pmama oplami mate a꞉ya mate mimita꞉piyo. 
GEN.1.28	Godta yia꞉ watle epo atlaiyo, “Wua꞉ yimlala isukumama ta꞉lamoye pasatlepe. Epame wua꞉tapo ta꞉lamo omha꞉ha꞉mama amalo mate epo tea mate epo alinepi hapuloma mate omha꞉ha꞉lepe. 
GEN.1.29	Na꞉tapo wua꞉ta dlowe alisisi opi ta꞉la dulu dla milimalalo mate epo dali di dla dlomoko mila꞉pi meyelope meyelope dle mate ma-hapiwapo, wua꞉tapo demha꞉ha꞉lepo depame. 
GEN.1.30	Amasiyama alinepi hapuloma mate epo tea hapuloma mate dla na꞉tapo yia꞉ta dlowe alisisi osamokolo mate epo dali upa mate ma-hapiwapo,” diyo. Epalati koko eta me-elaiyo.
GEN.1.31	Godtapo ya꞉ta mimita꞉pele alisisi hapuloma i tlapame pta ka꞉pi diyo. Epame namba 6 alilata ma-tlati ma alila amko haleta ma-alaliyo.
GEN.2.1	Ta꞉lamo mate epo pepele di mate epo alisisi hapuloma dulu edla ha꞉ha꞉lalo mate mimita꞉mhalaleye medla puame gudiyo. 
GEN.2.2	Epame alila 7 umuluwedeme hallati Godtapo ya꞉ oko hapulomaye mo-pokadiyo. Epame namba 7 alila dla ya꞉tapo hedepo polaiyo. 
GEN.2.3	Ya꞉tapo hedepo polomama namba 7 alila eye aiyalma diyo. Adipalati, ya꞉tapo alisisi hapuloma mimita꞉mhalale okota gudlati alila hema hedepo polaiyo.
GEN.2.4+GEN.2.5	Epedeme ta꞉lamo pato mate epo pepele di mateye ipo mimita꞉piyo. Lod 
GEN.2.6	Amasiyama matale yútapo ta꞉la dulu tle matame ta꞉la dla delikiyele hamimdiyo. 
GEN.2.7	Epalati oloma edla Lod 
GEN.2.8	Epame Lod 
GEN.2.9	Epame ya꞉tapo dali ka꞉ka꞉dleta osalo edla matamama dlomoko dlalo milimilipe diyo. Amasiyama osalo duka edla pasakalo hamilalo dlomoko dali ma halaiyo. Epalati dlomoko dali haleye ka꞉dle malamale hamilalo mate epo batalimale malamale hamilalo mate ma me-halaiyo. 
GEN.2.10	Epalati alomata Iden mo dulu tle yemama osalo dulu dla emale alisisita woloma ka꞉pi matlepo depame ta꞉la dla delikiyele hamimdiyo. Epame aloma ita ma Iden mo tla꞉myemama ma aloma dapiyamte dapiyamte dle tatlamaiyo. 
GEN.2.11	Ka꞉yapa tladle aloma hiye Pisonpo. Aloma itapo mo pato hale Habila mo duka tle yapo. 
GEN.2.12	Mo edla gold ewala ka꞉dle mate epo ullu ka꞉dle dakopala mate epo ewala ka꞉ka꞉dle opi mate wokasepo elapo. 
GEN.2.13	Aloma hale tladle hiye Gihonpo. Gihon aloma itapo mo pato hale Kus duka tle yapo. 
GEN.2.14	Epame matle aloma hale tladle hiye Tigilispo. Aloma itapo Asul mo tle salita matlalo tiyama dla yapo. Epalati matle aloma hale tladleye Yupalatespo.
GEN.2.15	Epame Lod 
GEN.2.16	Epame ya꞉ watle epo atlaiyo, “Osalo dulu hema dlomoko dali hapulomaye me-demhallepe. 
GEN.2.17	Amasiyama wa꞉ ka꞉dle malamale mate batalimale malamale mate hapilalo dlomoko dali dla dlomoko hale podoahame dlowa. Adipalati, wa꞉ dlomoko e doahame delepiye, wa꞉ oloma medla polope,” diyo.
GEN.2.18	Epedeme Lod 
GEN.2.19	Epame ya꞉tapo ta꞉la polapame alinepi hapuloma mate epo tea hapuloma mate mo-mimita꞉piyo. Epame oplami hala dla elempuwaiyo, ya꞉tapo yia꞉ hi hapilipo depame. Epalati alinepi hapulomaye oplamita yia꞉ hiye halopiyo. 
GEN.2.20	Oplamitapo tea hapuloma mate epo alinepi hapuloma mate hi halopimtale oloma edla ya꞉ gadlowe ya꞉ mate ala꞉le ponatiyo. 
GEN.2.21	Epalati Lod 
GEN.2.22	Epame tiyape elo e mate a꞉ya mita꞉pame ma oplami hala dla sempuaiyo.
GEN.2.23	Epalati oplamita epo atlaiyo, “Wata ma-natima, ya꞉ye na꞉ mate ala꞉na. Ya꞉ye na꞉ elo tle epo na꞉ mo tle mita꞉pelepo. Epedeme ka꞉dena, ya꞉ hiye a꞉ya dlepe. Adipalati, ya꞉ye oplami moto tle holahapame mita꞉pelepo,” diyo.
GEN.2.24	Epapele tle oplamitapo ya꞉ a mate epo ya꞉ wai mate salepo tame ma ya꞉ a꞉ya mate hatlope depo hallepe. Epame yia꞉ta madipata ma moto hatlope depo ha꞉ha꞉lepe. 
GEN.2.25	Oplami mate a꞉ya mate madipatata tidali siyapo ha꞉ha꞉iyo. Amasiyama yia꞉ dla kapala sisillita pe-elaiyo.
GEN.3.1	Lod 
GEN.3.2	Epalati asiyama a꞉yata ya꞉ watle epo atlaiyo, “Godta di watle atlemama dlomoko hapuloma me-dlomha꞉ha꞉lepe duwa. 
GEN.3.3	Amasiyama hatlo osalo duka dla hala dlomoko dali tlo demiyo duwa. Adipalati, dita dlomoko e doahapo delepiye, dia꞉ye pallipe duwa.”
GEN.3.4	Amasiyama ilamata a꞉ya watle epo atlaiyo, “Yu eye pomikadepe. E isikimi atluwapo. Wua꞉ popalliwa. 
GEN.3.5	Godtapo epo atluwapo, adipalati, ya꞉malamana, wua꞉ta dlomoko e delepiye, wua꞉ ma God some ha꞉ha꞉lepe depame. Epame ka꞉ka꞉dle koko mate bobtalimale koko mate sikemte malastepo ha꞉ha꞉lepe depame,” diyo.
GEN.3.6	A꞉yatapo ilama yu dalepo medla tulupame ma dlomoko ka꞉dle natipo doahame dlowe sikemte solotamaiyo. Epame dlomoko e dele koko tle ka꞉dle malamale halowe ma solotamaiyo. A꞉yatapo epapele malamale tle dlomokoye dolalipo depame ma dlomoko haleye ya꞉wolali watle hamiyo. Epalati ya꞉wolali mape dlomoko eye hame deiyo. 
GEN.3.7	Yia꞉ta madipata dlomoko dele alotle yia꞉ edla yia꞉skamu malanatiyo, yia꞉ta tidali siyapo siyamale kokoye. Epalati yia꞉tapo pigi dali upa kolepame yia꞉skamu eyamsiyamaiyo.
GEN.3.8	Tamila꞉la oloma edla yia꞉tapo Lod 
GEN.3.9	Amasiyama Lod 
GEN.3.10	Epalati asiyama oplamita epo atlaiyo, “Na꞉ wa꞉ta osalo dulu dla sela꞉la dalepame wota꞉mama hemele hema puame haodepo poloma. Adipalati, na꞉ye tidali siyapo halema,” diyo.
GEN.3.11	Asiyama Godta epo atlaiyo, “Anta wa꞉ta tidali siyapo hala kokoye wa꞉ watle imo? Pona꞉malamana, wa꞉ na꞉ta dlomoko demiyo duwaye e doahame deyo,” diyo.
GEN.3.12	Epalati asiyama oplamita epo atlaiyo, “Wa꞉ta na꞉ watle a꞉ya hamiwatapo na꞉ watle dlomoko eye hamilati na꞉ ma eye de,” diyo.
GEN.3.13	Epalati asiyama Lod 
GEN.3.13	Epalati asiyama a꞉yata ma epo atlaiyo, “Ilamata na꞉ye elemala natilati na꞉ dlomoko eye doahame de,” diyo. 
GEN.3.14	Epalati asiyama Lod 
GEN.3.15	Epame wa꞉ mate epo a꞉ya mate dla elle kokota elemama duka gladleta ellepe. Epame elle koko hatlo meta ma wa꞉ mamadulo mate epo a꞉ya ya꞉ mamadulo mate dla ellepe. Epammama wa꞉tapo a꞉ya ya꞉ mamadulo hale hete maku dla yellati ma asiyama ya꞉tapo wa꞉ dokopalaye supulastelepe,” diyo. 
GEN.3.16	Epame Godta a꞉ya watle epo atlaiyo, “Wa꞉ta owayemala hammama wotiyalle haloweye na꞉ta ma pato dlowepo. Epalati wa꞉tapo wotiyalle mate owayimlala hohomhallepe. Amasiyama epapele tlope wa꞉ dla ala wa꞉wolali sikemte solotamale patota me-ellepe. Epalati ya꞉tapo wa꞉ omhallalo hallepe,” diyo.
GEN.3.17+GEN.3.18+GEN.3.19	Epame Godta matle A꞉dam
GEN.3.20	A꞉damtapo ya꞉llu hi semama Ib diyo. Adipalati, ya꞉ye opa hapuloma yia꞉ waipo.
GEN.3.21	Epame Lod 
GEN.3.22	Epame ya꞉ta ma epo atlaiyo, “Watapo oplamiye dia꞉ sepele some halemama ka꞉ka꞉dle koko mate batalimale koko mate malanatiloweye me-ya꞉malamana. Epapedeme di matle ya꞉ watle pasakalo hapimhallalo dlomoko dali tle dlomoko haleye podoahame dene dlowa, ya꞉tapo kokó pohallalo wekelepo depame,” diyo. 
GEN.3.23	Epedeme Lod 
GEN.3.24	Epame Godtapo banakaka soye Iden osalo dla tulalo api dla ipila꞉mama aipa꞉ya dlapa aloweli some tleka꞉mama sikemte usiyemale ma medla hitomeliyo, opata matle pasakalo hapimhallalo dlomoko dali tou dla tulala depame.
GEN.4.1	Alotle A꞉dam mate Ib mate ha꞉ha꞉le dulu dla Ibtapo mopapo polopame maseyemala hamaiyo, ya꞉ hiye Kein. Epame Ibta epo atlaiyo, “
GEN.4.2	Epame alotle ma maseyemala hale hamaiyo, ya꞉ hiye Eibol. Epame yia꞉ta madipata dulu dla Eiboltapo aliya halo omhalemdiyo, epalati ya꞉ bapa Keintapo alisisi emalalo halaiyo.
GEN.4.3	Alila haleta Keintapo ya꞉ osalo dla alisisi opi hauwalepame 
GEN.4.4	Epalati Eiboltapo ya꞉ aliya halota ka꞉yapa yemala usulliye yumpame mo ka꞉dle tlope 
GEN.4.5	Amasiyama Keinta namkale dle alisisi halopo pualeye natipame posiyeiyo. Epalati Keintapo sikemte siyaladiyo. 
GEN.4.6	Epalati 
GEN.4.7	Wa꞉ta woloma ka꞉dle koko tlo hamatiye, eta na꞉tapo wa꞉ta namkale dle alisisi hamili dla siyelemla. Amasiyama wa꞉ poka꞉dle koko hamhallepiye, wa꞉ batalimaletapo wa꞉ye dokopala depo hallowedeme ma-dinapopo wa꞉ye omhalapo. Amasiyama koko eta wa꞉ dla woyamalala depame, wa꞉ itiyamale mate halane,” diyo.
GEN.4.8	Alotle Keintapo ya꞉ ei Eibol watle epo atlaiyo, “Di moku dla isikimi hohola꞉mtlowa,” diyo. Yia꞉ epo ma-tame moku dla ha꞉ha꞉mama Keintapo ya꞉ ei Eibol hampame yumiyo. 
GEN.4.9	Epalati alotle 
GEN.4.10	Epalati 
GEN.4.11	Epedeme wa꞉ na꞉ta kasilamale dulu dla halemama matle ta꞉la muwalepo alisisi pe-emolowa. Adipalati, ta꞉la edla wa꞉tapo wa꞉ ei omaliye olostauwapo. 
GEN.4.12	Epapedeme wa꞉ matle alisisi emelepiye, wa꞉ alisisita woloma pomatlowa. Epame wa꞉ woloma mo hatlo dla pohallowa. Amasiyama wa꞉ ta꞉lamo pato hema isikimi koko pa꞉le asepe oplami some holomhallepe,” diyo.
GEN.4.13	Epalati asiyama Keinta 
GEN.4.14	Adipalati, wa꞉tapo na꞉ye mo itle epo wa꞉ mila꞉pi tle pateka꞉mu dla tane depo. Epapedeme na꞉tapo ta꞉lamo hema asepe oplami some mo pa꞉le isikimi duka dla holomhallepe. Epapele dulu dla oplami antapo na꞉ umulupiye, ya꞉tapo na꞉ye yumilipe,” diyo.
GEN.4.15	Amasiyama 
GEN.4.16	Epalati Keinta 
GEN.4.17	Kein edla tame hallati ya꞉lluta mopapo polopame maseyemala hamaiyo, ya꞉ hiye Enok. Oloma edla Keinye mo amko kestamhalaiyo. Epame mo amko e mape semama Enok diyo. 
GEN.4.18	Epapedeme Enok yamiye Ilad, epalati Ilad yamiye Mehuyael, epalati Mehuyael yamiye Metusael, epalati Metusael yamiye Lamek.
GEN.4.19	Epalati Lamektapo wola꞉ dapiyamte halomaiyo. A꞉ya hale hiye Ada, epo a꞉ya hale hiye Sila. 
GEN.4.20	Ya꞉ a꞉ya hale Adatapo maseyemala hamaiyo, ya꞉ hiye Yabal. Yabaltapo ya꞉ tatle ka꞉yapa kimtimsela꞉mama halo omhallowe kotiyamaiyo. 
GEN.4.21	Epalati Yabal ya꞉ ei hiye Yubal. Yubaltapo ya꞉ tatle ka꞉yapa woiyo mate epo pitikako mate sala dodolomalalo halaiyo. 
GEN.4.22	Epalati Lamek ya꞉llu hale Silatapo maseyemala hamaiyo, ya꞉ hiye Tubal Kein. Ya꞉tapo ka꞉yapa oli mate epo blons ewala mate aipa꞉yaye mimita꞉plowe kotiyamaiyo. Ya꞉ nanaye Namapo.
GEN.4.23	Alila haleta Lamektapo ya꞉ wola꞉ dapiyamte watle epo atlaiyo, “Wua꞉ na꞉ yu daliya. Kipiliyemala haletapo na꞉ heyulati na꞉ta asiyama ya꞉ye mo-yumi. 
GEN.4.24	Epele dulu dla oplami haleta di mama pato Kein yumili hallepiye, asiyama ya꞉ opa 7 ma potimelepe. Amasiyama oplami antapo na꞉ye yumilipiye, asiyama 77 soye potimelepe,” diyo. 
GEN.4.25	A꞉dam ya꞉llu Ibtapo matle maseyemala hale hamaiyo, ya꞉ hiye Set. Epalati Ibtapo epo atlaiyo, “Godtapo na꞉ watle maseyemala hale, Keinta yumili Eibol mo dla halloweye ma-hamame ilipo,” diyo. 
GEN.4.26	Epame Set yami Enosta halale oloma edla opatapo 
GEN.5.1+GEN.5.2	Godtapo oplami mita꞉mama ikadepe ya꞉ sepele mita꞉piyo. Epame ya꞉ sepele mimita꞉mama oplami mate a꞉ya mate mimita꞉piyo. Epame yia꞉ dla siyemama yia꞉ semama oplayemala diyo. Epalati A꞉dam ya꞉ mamadulo hiye ipo.
GEN.5.3	A꞉dam 130 sokomoko ma-halepo gudepame ya꞉lluta maseyemala hale, A꞉dam mila꞉pi himili hamaiyo, ya꞉ hiye Set. 
GEN.5.4	Set hamale alotle A꞉damtapo 800 sokomoko dulu dla halemama akimlala opi mate epo utukaka opi mate hatitimaiyo. 
GEN.5.5	Epedeme A꞉damtapo 930 sokomoko halepame powaiyo.
GEN.5.6	Epame Settapo 105 sokomoko halepame ya꞉lluta maseyemala hamaiyo, ya꞉ hiye Enos. 
GEN.5.7	Epame Enos hamale alotle Settapo 807 sokomoko dulu dla halemama akimlala opi mate epo utukaka opi mate hatitimaiyo. 
GEN.5.8	Epedeme Settapo 912 sokomoko halepo gudepame powaiyo.
GEN.5.9	Epame Enostapo 90 sokomoko halepo gudepame ya꞉lluta maseyemala hamaiyo, ya꞉ hiye Kenan. 
GEN.5.10	Epame Kenan hamale alotle Enostapo 815 sokomoko dulu dla halemama akimlala opi mate epo utukaka opi mate hatitimaiyo. 
GEN.5.11	Epapedeme Enostapo 905 sokomoko halepame powaiyo.
GEN.5.12	Epame Kenantapo 70 sokomoko halepo gudepame ya꞉llutapo maseyemala hamaiyo, ya꞉ hiye Mahalalel. 
GEN.5.13	Epame Mahalalel hamale alotle Kenantapo 840 sokomoko dulu dla halemama akimlala opi mate epo utukaka opi mate hatitimaiyo. 
GEN.5.14	Epapedeme Kenantapo 910 sokomoko halepame powaiyo.
GEN.5.15	Epame Mahalaleltapo 65 sokomoko halepame ya꞉lluta maseyemala hamaiyo, ya꞉ hiye Yaled. 
GEN.5.16	Epame Yaled hamale alotle Mahalaleltapo 830 sokomoko dulu dla halemama akimlala opi mate epo utukaka opi mate hatitimaiyo. 
GEN.5.17	Epedeme Mahalaleltapo 895 sokomoko halepo gudepame powaiyo.
GEN.5.18	Epame Yaledtapo 162 sokomoko halepame ya꞉lluta maseyemala hamaiyo, ya꞉ hiye Inok. 
GEN.5.19	Inok hamale alotle Yaledtapo 800 sokomoko dulu dla halemama akimlala opi mate epo utukaka opi mate hatitimaiyo. 
GEN.5.20	Epedeme Yaledtapo 962 sokomoko halepo gudepame powaiyo.
GEN.5.21	Epame Inokta 65 sokomoko halepame ya꞉lluta maseyemala hamaiyo, ya꞉ hiye Metusela. 
GEN.5.22+GEN.5.23+GEN.5.24	Metusela hamale alotle Inoktapo 300 sokomoko dulu dla halemama ma akimlala opi mate epo utukaka opi mate hatitimaiyo. Ya꞉ sikemte God malamalalo oplami halaiyo. Epalati Godtapo ya꞉ta 365 sokomoko umpo hallati ya꞉ye hamame hetaiyo. Epalati opata ma ya꞉ye ponatiyo.
GEN.5.25	Epalati Metuselatapo 187 sokomoko halepo gudepame ya꞉lluta maseyemala hamaiyo, ya꞉ hiye Lamek. 
GEN.5.26	Lamek hamale alotle Metuselata 782 sokomoko dulu dla halemama akimlala opi mate epo utukaka opi mate hatitimaiyo. 
GEN.5.27	Epedeme Metuselatapo 969 sokomoko halepo gudepame powaiyo.
GEN.5.28	Epame Lamekta 182 sokomoko halepo gudepame ya꞉lluta maseyemala hamaiyo. 
GEN.5.29	Epalati Lamektapo maseyemala e ya꞉ hiye Nowa
GEN.5.30	Nowa hamale alotle Lamektapo 595 sokomoko dulu dla halemama akimlala opi mate epo utukaka opi mate hatitimaiyo. 
GEN.5.31	Epedeme Lamektapo 777 sokomoko halepo gudepame powaiyo.
GEN.5.32	Epalati Nowata 500 sokomoko halepo gudepame ya꞉llutapo akimlala hatitimaiyo, yia꞉ hiye Sem, epo Ham, epo Yapet.
GEN.6.1+GEN.6.2	Ta꞉lamo pato dla opata sikemte pasatamtaiyo. Epalati oloma edla pepele di dla ha꞉ha꞉lalo so opa opitapo ta꞉la sota hatitimale utukaka ka꞉ka꞉dleta popa꞉la natipame malame halomyaiyo. 
GEN.6.3	Epalati 
GEN.6.4	Epedeme pepele di tle malale so opa iwolota wola꞉ ikadepe halopo hatitimale yimlalata sikemte itiyamale mate koko halomha꞉ha꞉mdiyo. Epapele tle opata yia꞉ kokoye powowelilalo kokó malaha꞉ha꞉mdiyo. Epame yia꞉ye semama Nepilim
GEN.6.6	Epalati 
GEN.6.7	Na꞉ watapo na꞉ta mimita꞉pele opa hapuloma mate epo alinepi hapuloma mate epo tea hapuloma mate potipa꞉mmellowepo. Adipalati, na꞉ta mimita꞉pele so hapuloma i natimama sikemte alima,” diyo. 
GEN.6.8	Amasiyama dulu edla oplami hatlo Nowatapo 
GEN.6.9	Epedeme opa hapuloma dulu dla hatlo Nowatapo God mila꞉pi tle ka꞉dle oplami halaiyo. 
GEN.6.10	Nowatapo ya꞉ akimlala dapahatlope elemhalaiyo, yia꞉ hiye Sem, epo Ham epo Yapet.
GEN.6.11+GEN.6.12+GEN.6.13	Godtapo ta꞉lamo so hapulomata batalimale pato dulu dla ha꞉ha꞉la natipame Nowa watle epo atlaiyo, “Ta꞉lamo hema ya꞉mkale yumuluwe koko mate epo ya꞉mkale pomalamalalo wekelowe koko mateta pta pato halapo. Epedeme na꞉ ta꞉lamo mate epo dulu edla ha꞉ha꞉lalo so opa hapuloma mate poyuluwepo. 
GEN.6.14	Epapedeme wa꞉ dali ka꞉ka꞉dle mate koa pato tine. Epame dulu edla hutiyelowe aya alupoli hatitipame dulu mate alikili mate dla tokeyamale alisisi mate hutupamelene, yúta dulu dla tulala depame. 
GEN.6.15	Epame koata selemalliye 150 mita hallepe, epo ya꞉ta popolalleye 25 mita hallepe, epame dopukota didleye 15 mita hallepe. 
GEN.6.16	Epedeme wa꞉ eme bodepo matle mosisi kokoloma tilimama eme isili tle mateka꞉pi medla tilimelepe. Epame kokoloma tlo koa seme dla tilipe. Epame koa dulu dla aya popoliyeleye dapahatlope hallepe. Haleta isili ikadepe dla, epalati haleta duka dla, epalati haleta di ikadepe dla hala dlepe.
GEN.6.17	Epalati na꞉tapo yú puale pato hamilowepo ta꞉lamo dla ha꞉ha꞉ so hapuloma poyulupo depame. Epedeme alisisi hapuloma ta꞉lamo hema ha꞉ha꞉tapo pallipe. 
GEN.6.18	Amasiyama wa꞉tapo, wa꞉ a꞉ya mate epo wa꞉ akimlala dapahatlope mate epo yia꞉ wola꞉ mate koa dulu dla tumullati na꞉tapo wua꞉ pasakalo gadlowepo. 
GEN.6.19+GEN.6.20	Wua꞉ta koa dulu dla tumama alinepi mila꞉pi meyelope meyelope dleye patetalo mate epo molalatalo mateta wa꞉ hala dla pumhallati hohopo tumullupe, yia꞉tapo popalilalo wekelepo depame. 
GEN.6.21	Epame wua꞉ta tumama wua꞉ta dlowe alisisi mate epo alinepita dlowe alisisi mate halopo tumullupe.”
GEN.6.22	Epalati Nowatapo Godta atlale koko hapuloma eye ma-haiyo. 
GEN.7.1	Epame 
GEN.7.2	Epame wua꞉ta tumama ullu watalo alinepi
GEN.7.3	Epame tea mape patetalo dla 7 hohoma epo molalatalo dla 7 hohoma demtapame elemtulupe. Epalati yia꞉tapo ma alotle yia꞉ mila꞉pi sepele usulumha꞉ha꞉mama pasatlepo depame. 
GEN.7.4	Wata oloma itle alila 7 pololepo gudlati na꞉tapo tiyo patoye ta꞉lamo dla tulune dlowama. Epalati 40 alila mate epo 40 utula꞉la mate tiyo patota hellepe. Epalati na꞉ta mimita꞉pele opa hapuloma mate epo alinepi hapuloma mateye poyuluwepo,” diyo. 
GEN.7.5	Epalati Nowatapo 
GEN.7.6	Nowaye 600 sokomoko hallati yútapo puaiyo. 
GEN.7.7	Epalati Nowata ya꞉ a꞉ya mate epo ya꞉ akimlala mate epo yia꞉ wola꞉ mate koa pato dulu dla tuwaiyo, yúta ta꞉lamo gola꞉dlati yia꞉tapo pasakalo hallowe halowedeme. 
GEN.7.8+GEN.7.9	Epalati Godta atlale yu e dolumama tea mila꞉pi meyelope meyelope dle mate epo alinepi hapuloma mila꞉pi meyelope meyelope dle matetapo Nowa hala dla puame koa dulu dla tumhalaiyo. Yia꞉tapo koa dulu dla tumhalemama patetalo mate molalatalo mate tua demhalaiyo. 
GEN.7.10	Epame alila 7 mogudlati yútapo ta꞉lamo patoye dokolomhetaiyo.
GEN.7.11	Nowata halemama 600 sokomoko umale oloma edla yú mataletapo ta꞉la dulu tle popokotimyaiyo. Epalati omapla di tle tiyo patota heliyo. Koko iye namba 2 mama dulu dla namba 17 alila umulati apiyo. 
GEN.7.12	Epalati tiyotapo 40 alila mate epo 40 utula꞉la mate dulu dla helemhalaiyo. 
GEN.7.13	Epalati Nowa mate ya꞉llu mate epo yia꞉ akimlala Sem mate epo Ham mate epo Yapet mate epo yia꞉ wola꞉ mate koa dulu dla tuwaiyo. 
GEN.7.14	Yia꞉ta tumama alinepi mila꞉pi meyelope meyelope dle dulu dla halo mate epo yowo mate epo tea mila꞉pi meyelope meyelope dle mate elemtuwaiyo. 
GEN.7.15+GEN.7.16	Godta atlale yu e dolumama alinepi hapulomatapo Nowa mate tumhalale dulu edla patetalo mate epo molalatalo mate tua demhalaiyo. Yia꞉ta hapulomatapo koa dulu dla mo-tupa꞉mele pokadlati 
GEN.7.17+GEN.7.18	Tiyota 40 alila dulu dla helemhallati yúta pumhetamama koata hollowe mo-kotiyamaiyo. 
GEN.7.19	Yútapo ta꞉lamo dokolomhetemama tamali patoto sikemte seselemalli popa꞉le aloweli diye mo-gola꞉gola꞉diyo. 
GEN.7.20	Epalati tamali patoto aloweli yúta gola꞉dleye 7 mita ga꞉tulli epapele halaiyo. 
