MAT.1.1	Este libro es el registro de Jesús el Mesías
MAT.3.2	“Arrepiéntanse, porque el reino de los cielos está cerca.” 
MAT.3.3	Él era de quien hablaba el profeta Isaías cuando dijo: “Se oye una voz que clama en el desierto: ‘preparen el camino del Señor. Enderecen la senda para él.’”
MAT.3.4	Juan tenía ropas hechas con pelo de camello, con un cinturón de cuero puesto en su cintura. Su alimento era langostas
MAT.3.5	La gente venía a él desde Jerusalén, de toda Judea y de toda la región del Jordán, 
MAT.3.6	y eran bautizados en el río Jordán, reconociendo públicamente sus pecados.
MAT.3.7	Pero cuando Juan vio que muchos de los Fariseos y Saduceos venían a ser bautizados, les dijo: “¡Camada de víboras! ¿Quién les advirtió que huyeran del juicio que vendrá
MAT.3.8	Muestren a través de sus actos que están verdaderamente arrepentidos
MAT.3.9	y no se jacten de decirse a ustedes mismos: ‘Abrahán es nuestro padre.’ Les digo que Dios podría convertir estas piedras en hijos de Abrahán. 
MAT.3.10	De hecho, el hacha está lista para derribar los árboles. Todo árbol que no produce buen fruto, será derribado y lanzado al fuego.
MAT.3.11	“Sí, yo los bautizo en agua para mostrar arrepentimiento, pero después de mi viene uno que es más grande que yo. Yo no soy siquiera digno de quitar sus sandalias. Él los bautizará con el Espíritu Santo y con fuego. 
MAT.3.12	Él tiene el aventador
MAT.3.13	Luego Jesús vino desde Galilea hasta el Río Jordán para ser bautizado por Juan. 
MAT.3.14	Pero Juan trató de hacerlo cambiar de opinión, diciendo, “Yo necesito ser bautizado por ti, ¿y tu vienes a mí para que yo te bautice?”
MAT.3.15	“Por favor, hazlo, porque es bueno que hagamos lo que Dios dice que es correcto,” le dijo Jesús. Entonces Juan estuvo de acuerdo en hacerlo.
MAT.3.16	Justo después de haber sido bautizado, Jesús salió del agua. Los cielos se abrieron y él vio al Espíritu de Dios como una paloma que descendía, posándose sobre él. 
MAT.3.17	Entonces una voz desde el cielo dijo: “este es mi hijo a quien amo, el cual me complace.”
MAT.4.1	Entonces Jesús fue guiado por el Espíritu hasta el desierto para ser tentado por el diablo. 
MAT.4.2	Después de haber ayunado por cuarenta días y cuarenta noches, tenía hambre. 
MAT.4.3	El tentador vino y le dijo: “Si realmente eres el hijo de Dios, ordena a estas piedras que se conviertan en pan.”
MAT.4.4	Jesús respondió: “Como dicen las Escrituras, ‘los seres humanos no viven solo de comer pan, sino de cada palabra que sale de la boca de Dios.”
MAT.4.5	Entonces el diablo lo llevó hasta la ciudad santa
MAT.4.6	“Si realmente eres el hijo de Dios, tírate,” le dijo a Jesús. “Tal como dicen las Escrituras: ‘Él mandará a sus ángeles para que te guarden del peligro. Te atraparán para que no caigas al tropezarte con una roca.’”
MAT.4.7	Jesús respondió: “Tal como dicen también las Escrituras, ‘No tentarás al Señor tu Dios.’”
MAT.4.8	Entonces el diablo llevó a Jesús a una montaña muy alta y le mostró todos los reinos del mundo en toda su gloria. 
MAT.4.9	Le dijo a Jesús: “Te daré todos estos reinos si te arrodillas y me adoras.”
MAT.4.10	“¡Vete de aquí Satanás!” dijo Jesús. “Tal como dicen las Escrituras: ‘Adorarás al Señor tu Dios y le servirás solo a Él.’” 
MAT.4.11	Entonces el diablo lo dejó, y los ángeles vinieron a cuidar de él.
MAT.4.12	Cuando Jesús escuchó que Juan había sido arrestado, regresó a Galilea. 
MAT.4.13	Después de salir de Nazaret, se quedó en Capernaúm, a orillas del mar, en las regiones de Zabulón y Neftalí. 
MAT.4.14	Esto cumplió lo que el profeta Isaías dijo: 
MAT.4.15	“En la tierra de Zabulón y en la tierra de Neftalí, camino al mar, más allá del Jordán, en Galilea, donde viven los gentiles: 
MAT.4.16	La gente que vive en la oscuridad vio una gran luz; la luz de la mañana ha brillado sobre aquellos que viven en la tierra de la oscuridad y la muerte.” 
MAT.4.17	Desde ese momento, Jesús comenzó a declarar su mensaje, diciendo: “Arrepiéntanse, porque el reino de los cielos está cerca.”
MAT.4.18	Mientras caminaba por el mar de Galilea, Jesús vio a dos hermanos: Simón, también llamado Pedro, y su hermano Andrés, que estaban lanzando una red en el mar. Ellos vivían de la pesca.
MAT.4.19	“Vengan y síganme, y yo les enseñaré cómo pescar personas,” les dijo. 
MAT.4.20	Ellos dejaron sus redes de inmediato y lo siguieron. 
MAT.4.21	De camino, vio nuevamente a otros dos hermanos: Santiago y Juan. Ellos estaban en un bote con su padre Zebedeo, reparando sus redes. Él los llamó para que lo siguieran
MAT.4.22	Ellos inmediatamente dejaron el bote y a su padre, y lo siguieron.
MAT.4.23	Jesús viajó por toda Galilea, enseñando en las sinagogas, contando las buena nueva del reino, y sanando todas las enfermedades que tenían las personas. 
MAT.4.24	Entonces comenzó a difundirse la noticia acerca de él por toda la provincia de Siria
MAT.4.25	Grandes multitudes le siguieron desde Galilea, Decápolis, Jerusalén, Judea y la región que estaba al otro lado del Jordán.
MAT.5.1	Cuando Jesús vio que las multitudes le seguían, subió a una montaña. Allí se sentó junto con sus discípulos. 
MAT.5.2	Y comenzó a enseñarles, diciendo:
MAT.5.3	“Benditos son los que reconocen que son pobres espiritualmente, porque de ellos es el reino de los cielos. 
MAT.5.4	Benditos son los que lloran, porque ellos serán consolados. 
MAT.5.5	Benditos son los que son amables
MAT.5.6	Benditos son aquellos cuyo mayor deseo
MAT.5.7	Benditos aquellos que son misericordiosos, porque a ellos se les mostrará misericordia. 
MAT.5.8	Benditos son; los corazón puro, porque ellos verán a Dios. 
MAT.5.9	Benditos aquellos que trabajan por traer la paz, porque ellos serán llamados hijos de Dios. 
MAT.5.10	Benditos aquellos que son perseguidos por lo que es justo, porque de ellos es el reino de los cielos. 
MAT.5.11	Benditos ustedes cuando las personas los insulten y los persigan, y los acusen de todo tipo de males por mi causa. 
MAT.5.12	Estén felices, muy felices, porque recibirán una gran recompensa en el cielo—pues ellos persiguieron de esa misma manera a los profetas que vinieron antes de ustedes.
MAT.5.13	“Ustedes son la sal de la tierra, pero si la sal pierde su sabor
MAT.5.14	Ustedes son la luz del mundo. Una ciudad que está construida sobre lo alto de una montaña no puede ocultarse. 
MAT.5.15	Nadie enciende una lámpara para luego ocultarla bajo una cesta. No, se le coloca sobre un candelero y así da luz a todos los que están en la casa. 
MAT.5.16	De la misma manera, ustedes deben dejar que su luz brille delante de todos a fin de que ellos puedan ver las cosas buenas que ustedes hacen y alaben a su Padre celestial.
MAT.5.17	“No piensen que vine a abolir la ley o los escritos de los profetas. No vine a abolirlos, sino a cumplirlos. 
MAT.5.18	Les aseguro que hasta que el cielo y la tierra lleguen a su fin, ni una sola letra, ni un solo punto que está en la ley quedarán descontinuados antes de que todo se haya cumplido. 
MAT.5.19	De manera que cualquiera que desprecia
MAT.5.20	Les digo que a menos que la justicia de ustedes no sea mayor que la justicia de los maestros religiosos y de los Fariseos, no podrán entrar nunca al reino de los cielos.
MAT.5.21	“Ustedes han escuchado que la ley dijo
MAT.5.22	Pero yo les digo: cualquiera que está enojado con su hermano será condenado como culpable. Cualquiera que llama a su hermano “idiota” tiene que dar cuenta ante el concilio
MAT.5.23	“Si estás delante del altar presentando una ofrenda, y recuerdas que tu hermano tiene algo contra ti, 
MAT.5.24	deja tu ofrenda sobre el altar y ve y haz las paces con él primero, y luego regresa y presenta tu ofrenda. 
MAT.5.25	Cuando vayas camino a la corte con tu adversario, asegúrate de arreglar las cosas rápidamente. De lo contrario, tu acusador podría entregarte ante el juez, y el juez te entregará a la corte oficial, y serás llevado a la cárcel. 
MAT.5.26	En verdad te digo: no saldrás de allí hasta que hayas pagado hasta el último centavo.
MAT.5.27	“Ustedes han escuchado que la ley dijo: ‘No cometerás adulterio.’ 
MAT.5.28	Pero yo les digo que todo el que mira con lujuria a una mujer ya ha cometido adulterio en su corazón. 
MAT.5.29	Si tu ojo derecho te lleva a pecar, entonces sácalo y bótalo, porque es mejor perder una parte de tu cuerpo y no que todo tu cuerpo sea lanzado en el fuego del juicio. 
MAT.5.30	Si tu mano derecha te lleva a pecar, entonces córtala y bótala, porque es mejor que pierdas uno de tus miembros y no que todo tu cuerpo vaya al fuego del juicio.
MAT.5.31	“La ley también dijo: ‘Si un hombre se divorcia de su esposa, debe darle un certificado de divorcio.’ 
MAT.5.32	Pero yo les digo que cualquier hombre que se divorcia de su esposa, a menos que sea por inmoralidad sexual, la hace cometer adulterio, y cualquiera que se case con una mujer divorciada, comete adulterio.
MAT.5.33	“Y una vez más, ustedes han escuchado que la ley dijo al pueblo de hace mucho tiempo: ‘No jurarás en falso. En lugar de ello, asegúrese de cumplir sus juramentos al Señor.’ 
MAT.5.34	Pero yo les digo: no juren nada. No juren por el cielo, porque ese es el trono de Dios. 
MAT.5.35	No juren por la tierra, porque es allí donde descansan sus pies. No juren por Jerusalén, por que es la ciudad del gran Rey. 
MAT.5.36	Ni siquiera juren por su cabeza, porque ustedes no tienen el poder de hacer que uno solo de sus cabellos sea blanco o negro. 
MAT.5.37	Solamente digan sí o no—cualquier cosa aparte de esto viene del Maligno.
MAT.5.38	“Ustedes han escuchado que la ley dijo: ‘Ojo por ojo, diente por diente.’ 
MAT.5.39	Pero yo les digo, no pongan resistencia a alguien que es malvado. Si alguien te da una bofetada, pon la otra mejilla también. 
MAT.5.40	Si alguien quiere demandarte en una corte y toma tu camisa, dale tu abrigo también
MAT.5.41	Si alguien te pide que le acompañes una milla, acompáñale dos millas
MAT.5.42	Da a quienes te pidan, y no rechaces a quienes vengan a pedirte algo prestado.
MAT.5.43	“Ustedes han escuchado que la ley dijo: ‘Ama a tu prójimo y odia a tu enemigo.’ 
MAT.5.44	Pero yo les digo: amen a sus enemigos y oren por los que los persiguen, 
MAT.5.45	a fin de que ustedes lleguen a ser hijos del Padre celestial. Porque su sol sale sobre buenos y malos; y él hace que la lluvia caiga sobre aquellos que hacen el bien y también sobre los que hacen el mal. 
MAT.5.46	Porque si ustedes solamente aman a quienes los aman, ¿qué recompensa tienen por eso? ¿No hacen eso incluso los recaudadores de impuestos? 
MAT.5.47	Si ustedes solo hablan de manera amable con su familia, ¿qué estarán haciendo que no hagan todos los demás? ¡Incluso los paganos
MAT.5.48	Crezcan y sean completamente fieles
MAT.6.1	“Asegúrense de que sus buenas obras no sean hechas delante de la gente, solo para que los vean. De lo contrario, no tendrán ninguna recompensa de su Padre que está en el cielo. 
MAT.6.2	Cuando den a los pobres, no sean como los hipócritas
MAT.6.3	Cuando den a los pobres, que su mano izquierda no sepa lo que está haciendo su mano derecha. 
MAT.6.4	De esta manera, lo que den será secreto, y su Padre que ve lo que ocurre en secreto, los recompensará.
MAT.6.5	“Cuando oren, no sean como los hipócritas, porque a ellos les encanta ponerse en pie y orar en las sinagogas y en las esquinas de las calles para que la gente los vea. Yo les prometo que ellos ya tienen su recompensa. 
MAT.6.6	Pero ustedes, cuando oren, entren a su casa y cierren la puerta, y oren a su Padre en privado, y su Padre que ve lo que ocurre en privado, los recompensará. 
MAT.6.7	Cuando oren, no usen palabrerías incoherentes como hacen los gentiles, que piensan que serán escuchados por todas las palabras que repiten. 
MAT.6.8	No sean como ellos, porque su Padre sabe lo que ustedes necesitan incluso antes de que ustedes se lo pidan. 
MAT.6.9	Así que oren de esta manera:
MAT.6.10	“Nuestro Padre celestial, que tu nombre sean honrado. Venga tu reino. Que tu voluntad sea hecha en la tierra como se hace en el cielo. 
MAT.6.11	Por favor, danos hoy el alimento que necesitamos. 
MAT.6.12	Perdona nuestros pecados, así como nosotros hemos perdonado a quienes han pecado contra nosotros. 
MAT.6.13	No dejes que seamos tentados a hacer el mal
MAT.6.14	“Porque si perdonan a quienes pecan contra ustedes, su Padre celestial también los perdonará. 
MAT.6.15	Pero si no perdonan a quienes pecan contra ustedes, entonces su Padre celestial no les perdonará sus pecados.
MAT.6.16	“Cuando ayunen, no sean como los hipócritas que ponen caras tristes y un semblante espantoso para que todos vean que están ayunando. 
MAT.6.17	En lugar de eso, cuando ayunen, laven sus rostros y luzcan elegantes, 
MAT.6.18	a fin de que las personas no vean que ustedes están ayunando, y su Padre que es invisible y que ve lo que ocurre en privado, los recompensará.
MAT.6.19	“No acumulen riquezas aquí en la tierra donde la polilla y el óxido las dañan, y donde los ladrones entran y las roban. 
MAT.6.20	En lugar de ello, ustedes deben acumular sus riquezas en el cielo, donde la polilla y el óxido no las dañan, y donde los ladrones no entran ni las roban. 
MAT.6.21	Porque donde acumulen su riqueza, allí es donde estará su corazón también.
MAT.6.22	“El ojo es como una lámpara que ilumina el cuerpo. De manera que si tu ojo es sano
MAT.6.23	Pero si tu ojo es perverso, entonces todo tu cuerpo estará en tinieblas. Si la luz dentro de ustedes está en tinieblas, ¡cuán oscuro es eso! 
MAT.6.24	Nadie puede servir a dos amos. Odiarán a uno y amarán al otro, o serán devotos a uno y despreciarán al otro. Ustedes no pueden servir a Dios y al dinero a la vez
MAT.6.25	“Por eso les digo que no se preocupen por sus vidas. No se preocupen por lo que van a comer, o por lo que van a beber, o por la ropa con la que van a vestir. ¿Acaso no es la vida más importante que la comida, y el cuerpo más que la ropa? 
MAT.6.26	Miren las aves
MAT.6.27	¿Quién de ustedes puede, por mucho que se afane, añadir un minuto a su vida? 
MAT.6.28	¿Y por qué se preocupan por la ropa? Miren las hermosas flores del campo. Miren cómo crecen: No trabajan ni hilan. 
MAT.6.29	Pero les digo que ni siquiera Salomón en todo su esplendor se vistió como una de esas flores. 
MAT.6.30	De modo que si Dios decora los campos así, la hierba que está hoy aquí y que mañana es lanzada al fuego, ¿no hará mucho más por ustedes que son personas que creen tan poco? 
MAT.6.31	Así que no se preocupen diciendo ‘¿Qué comeremos?’ o ‘¿Qué beberemos?’ o ‘¿Qué vestiremos?’ 
MAT.6.32	Todas estas son las cosas que los paganos persiguen, pero el Padre celestial sabe todo lo que ustedes necesitan. 
MAT.6.33	Busquen su reino en primer lugar, y su senda de justicia, y todo se les dará. 
MAT.6.34	Así que no se preocupen por el día de mañana, porque el mañana puede preocuparse por sí mismo. Hay ya suficiente mal en cada día.
MAT.7.1	“No juzguen a otros, para que ustedes no sean juzgados. 
MAT.7.2	Porque cualquiera que sea el criterio que usen para juzgar a otros, será usado para juzgarlos a ustedes, y cualquiera que sea la medida que ustedes usen para medir a otros, será usada para medirlos a ustedes. 
MAT.7.3	¿Por qué miras la astilla que está en el ojo de tu hermano? ¿No te das cuenta de la viga que está en tu propio ojo? 
MAT.7.4	¿Cómo puedes decirle a tu hermano: ‘Déjame sacarte esa astilla de tu ojo’ mientras tu tienes una viga en tu propio ojo? 
MAT.7.5	¡Estás siendo un hipócrita! Primero saca la viga que tienes en tu propio ojo. Entonces podrás ver con claridad y sacar la astilla del ojo de tu hermano.
MAT.7.6	“No den a los perros lo que es santo. No tiren sus perlas a los cerdos. Así los cerdos no las pisotearán, y los perros no vendrán a atacarlos a ustedes.
MAT.7.7	“Pidan y se les dará, busquen y encontrarán, toquen a la puerta y la puerta se abrirá para ustedes
MAT.7.8	Todo el que pide, recibe; todo el que busca, encuentra; a todo el que toca, se le abre la puerta. 
MAT.7.9	¿Acaso alguno de ustedes le daría una piedra a su hijo si este le pide un pan? 
MAT.7.10	¿O si le pidiera un pez, le daría una serpiente? 
MAT.7.11	De modo que si incluso ustedes que son malos saben dar cosas buenas a sus hijos, cuánto más el Padre celestial dará cosas buenas a quienes le piden.
MAT.7.12	“Traten a los demás como quieren que los traten a ustedes. Esto resume la ley y los profetas. 
MAT.7.13	Entren por la puerta estrecha. Porque es amplia la puerta y espacioso el camino que lleva a la destrucción, y muchos andan por él. 
MAT.7.14	Pero estrecha es la puerta y angosto el camino que llevan a la vida, y solo unos pocos lo encuentran.
MAT.7.15	“Tengan cuidado con los falsos profetas que vienen vestidos de ovejas, pero por dentro son lobos feroces. 
MAT.7.16	Pueden reconocerlos por sus frutos
MAT.7.17	De modo que todo árbol bueno produce frutos buenos, mientras que un árbol malo produce frutos malos. 
MAT.7.18	Un buen árbol no puede producir frutos malos, y un árbol malo no puede producir frutos buenos. 
MAT.7.19	Todo árbol que no produce frutos buenos, se corta y se lanza al fuego. 
MAT.7.20	Así que por sus frutos los conocerán.
MAT.7.21	“No todo el que me dice ‘Señor, Señor’ entrará al reino de los cielos—sino solo aquellos que hacen la voluntad de mi Padre que está en el cielo. 
MAT.7.22	Muchos me dirán el día del juicio: ‘Señor, Señor, ¿acaso no profetizamos, nos sacamos demonios e hicimos muchos milagros en tu nombre?’ 
MAT.7.23	Entonces yo les diré: ‘Yo nunca los conocí a ustedes. ¡Apártense de mi, practicantes de la maldad!’
MAT.7.24	Todo aquél que escucha las palabras que yo digo, y las sigue, es como el hombre sabio que construyó su casa sobre la roca sólida. 
MAT.7.25	La lluvia cayó, hubo inundación y los vientos soplaron fuertemente contra aquella casa, pero no se cayó porque su fundamento estaba sobre la roca sólida. 
MAT.7.26	Pero todo aquél que escucha las palabras que yo digo y no las sigue, es como el hombre necio que construyó su casa sobre la arena. 
MAT.7.27	La lluvia cayó, hubo inundación y los vientos soplaron fuertemente contra aquella casa, y se cayó. Colapsó por completo.”
MAT.7.28	Cuando Jesús terminó de explicar estas cosas, las multitudes se maravillaban de su enseñanza, 
MAT.7.29	porque él enseñaba como alguien que tenía autoridad, y no como sus maestros religiosos.
MAT.8.1	Grandes multitudes siguieron a Jesús cuando bajó de la montaña. 
MAT.8.2	Un leproso se acercó a él, y se arrodilló, adorándolo, y le dijo: “Señor, si quieres, por favor sáname.” 
MAT.8.3	Jesús se extendió hacia él y lo tocó con su mano. “Quiero,” le dijo. “Queda sano.” Inmediatamente este hombre fue sanado de su lepra.
MAT.8.4	“Asegúrate de no contárselo a nadie,” le dijo Jesús. “Ve y preséntate ante el sacerdote y da la ofrenda que Moisés ordenó, como evidencia pública
MAT.8.5	Cuando Jesús entró a Capernaúm, un centurión se le acercó, suplicándole su ayuda, 
MAT.8.6	“Señor, mi siervo está en casa, acostado y sin poder moverse. Está sufriendo una terrible agonía.”
MAT.8.7	“Iré y lo sanaré,” respondió Jesús.
MAT.8.8	El centurión respondió: “Señor, no merezco una visita a mi casa. Solo di la palabra y mi siervo quedará sano. 
MAT.8.9	Porque yo mismo estoy bajo la autoridad de mis superiores, y a la vez yo también tengo soldados bajo mi mando. Yo le ordeno a uno: ‘¡Ve!’ y él va. Mando a otro: ‘¡Ven!’ y él viene. Digo a mi siervo: ‘¡Haz esto!’ y él lo hace.”
MAT.8.10	Cuando Jesús escuchó lo que este hombre dijo, se quedó asombrado. Entonces le dijo a los que le seguían: “En verdad les digo que no he encontrado este tipo de confianza en ninguna parte de Israel. 
MAT.8.11	Les digo que muchos vendrán del este y del oeste, y se sentarán con Abraham e Isaac en el reino de los cielos. 
MAT.8.12	Pero los herederos
MAT.8.13	Entonces Jesús le dijo al centurión, “Ve a casa. Lo que pediste ya fue hecho, como creíste que pasaría.” Y el siervo fue sanado inmediatamente.
MAT.8.14	Cuando Jesús llegó a la casa de Pedro, vio que la suegra de Pedro estaba enferma en cama y tenía una fiebre muy alta. 
MAT.8.15	Entonces Jesús tocó su mano y se le quitó la fiebre. Ella se levantó y comenzó a prepararle comida a Jesús. 
MAT.8.16	Cuando llegó la noche, trajeron ante Jesús a un hombre endemoniado. Con solo una orden, Jesús hizo que los espíritus salieran de él, y sanó a todos los que estaban enfermos. 
MAT.8.17	Esto cumplió lo que el profeta Isaías dijo: “Él sanó nuestras enfermedades y nos libertó de nuestras dolencias.”
MAT.8.18	Cuando Jesús vio las multitudes que lo rodeaban, dio instrucciones de que debían
MAT.8.19	Entonces uno de los maestros religiosos se acercó a él y le dijo: “Maestro, te seguiré adonde vayas.”
MAT.8.20	“Los zorros tienen guaridas y las aves silvestres tienen nidos, pero el Hijo del hombre no tiene dónde recostarse y descansar
MAT.8.21	Otro discípulo le dijo a Jesús: “Señor, primero déjame ir y sepultar a mi padre.”
MAT.8.22	“Sígueme. Deja que los muertos sepulten a sus propios muertos,” le respondió Jesús.
MAT.8.23	Entonces Jesús subió a una barca y sus discípulos se fueron con él. 
MAT.8.24	De repente, sopló una fuerte tormenta, y las olas golpeaban fuertemente contra la barca, pero Jesús seguía durmiendo. 
MAT.8.25	Los discípulos se acercaron a él y lo despertaron gritándole: “¡Sálvanos, Señor! ¡Vamos a hundirnos!”
MAT.8.26	“¿Por qué tienen tanto miedo? ¿Por qué tienen tan poca confianza?” les preguntó Jesús. Entonces se levantó y ordenó a los vientos y las olas que se detuvieran. Y todo quedó completamente en calma. 
MAT.8.27	Los discípulos estaban asombrados y decían: “¿Quién es este? ¿Incluso los vientos y las olas le obedecen?”
MAT.8.28	Cuando llegaron al otro lado, a la región de los gadarenos, dos hombres endemoniados salieron del cementerio para encontrarse con Jesús. Estos hombres eran tan peligrosos que nadie se atrevía a pasar por ese camino. 
MAT.8.29	Y ellos gritaban: “¿Qué tienes que ver con nosotros, Hijo de Dios? ¿Has venido a torturarnos antes de tiempo?”
MAT.8.30	A lo lejos, había un gran hato de cerdos comiendo. 
MAT.8.31	Los demonios le suplicaron a Jesús: “Si vas a sacarnos de aquí, envíanos a ese hato de cerdos.”
MAT.8.32	“¡Vayan!” les dijo Jesús. Los demonios salieron de los dos hombres y huyeron hacia el hato de cerdos. Todo el hato de cerdos corrió, descendiendo por una pendiente, hasta que cayeron al mar y se ahogaron. 
MAT.8.33	Los que cuidaban el rebaño de cerdos, salieron corriendo. Entonces se fueron hacia la ciudad y le contaron a la gente que estaba allí todo lo que había sucedido y lo que había ocurrido con los dos hombres endemoniados. 
MAT.8.34	Y toda la ciudad salió para encontrarse con Jesús. Cuando lo encontraron, le suplicaron que abandonara su ciudad.
MAT.9.1	Entonces Jesús tomó una barca para cruzar nuevamente el lago hacia la ciudad donde él vivía. 
MAT.9.2	Allí le trajeron a un hombre paralítico acostado en una estera. Cuando Jesús vio cuánto confiaban en él, le dijo al paralítico: “¡Anímate, amigo mío
MAT.9.3	En respuesta a esto, algunos de los maestros religiosos decían para sí mismos: “¡Está blasfemando!”
