GEN.1.1	En el comienzo de todo, Dios creó
GEN.2.23	el cual, al verla, dijo:
GEN.2.23	«¡Esta sí que es de mi propia carne y de mis propios huesos! Se va a llamar “mujer”, porque Dios la sacó del hombre.»
GEN.2.24	Por eso el hombre deja a su padre y a su madre para unirse a su esposa, y los dos llegan a ser como una sola persona.
GEN.2.25	Tanto el hombre como su mujer estaban desnudos, pero ninguno de los dos sentía vergüenza de estar así.
GEN.3.1	La serpiente
GEN.3.1	—¿Así que Dios les ha dicho que no coman del fruto de ningún árbol del jardín?
GEN.3.2	Y la mujer le contestó:
GEN.3.2	—Podemos comer del fruto de cualquier árbol, 
GEN.3.3	menos del árbol que está en medio del jardín. Dios nos ha dicho que no debemos comer ni tocar el fruto de ese árbol, porque si lo hacemos, moriremos.
GEN.3.4	Pero la serpiente le dijo a la mujer:
GEN.3.4	—No es cierto. No morirán. 
GEN.3.5	Dios sabe muy bien que cuando ustedes coman del fruto de ese árbol podrán saber lo que es bueno y lo que es malo, y que entonces serán como Dios.
GEN.3.6	La mujer vio que el fruto del árbol era hermoso, y le dieron ganas de comerlo y de llegar a tener entendimiento. Así que cortó uno de los frutos y se lo comió. Luego le dio a su esposo, y él también comió.
GEN.3.7	En ese momento se les abrieron los ojos, y los dos se dieron cuenta de que estaban desnudos.
GEN.3.8	El hombre y su mujer escucharon que Dios el Señor andaba por el jardín a la hora en que sopla el viento de la tarde, y corrieron a esconderse de él entre los árboles del jardín. 
GEN.3.9	Pero Dios el Señor llamó al hombre y le preguntó:
GEN.3.9	—¿Dónde estás?
GEN.3.10	El hombre contestó:
GEN.3.10	—Escuché que andabas por el jardín y tuve miedo, porque estoy desnudo; por eso me escondí.
GEN.3.11	Entonces Dios le preguntó:
GEN.3.11	—¿Y quién te ha dicho que estás desnudo? ¿Acaso has comido del fruto del árbol del que te dije que no comieras?
GEN.3.12	El hombre contestó:
GEN.3.12	—La mujer que me diste por compañera me dio de ese fruto, y yo lo comí.
GEN.3.13	Entonces Dios el Señor le preguntó a la mujer:
GEN.3.13	—¿Por qué lo hiciste?
GEN.3.13	Y ella respondió:
GEN.3.13	—La serpiente me engañó,
GEN.3.14	Entonces Dios el Señor dijo a la serpiente:
GEN.3.14	—Por esto que has hecho, maldita serás entre todos los demás animales. De hoy en adelante caminarás arrastrándote y comerás tierra. 
GEN.3.15	Haré que tú y la mujer sean enemigas, lo mismo que tu descendencia y su descendencia. Su descendencia te aplastará la cabeza, y tú le morderás el talón.
GEN.3.16	A la mujer le dijo:
GEN.3.16	—Aumentaré tus dolores cuando tengas hijos, y con dolor los darás a luz. Pero tu deseo te llevará a tu marido, y él tendrá autoridad sobre ti.
GEN.3.17	Al hombre le dijo:
GEN.3.17	—Como le hiciste caso a tu mujer y comiste del fruto del árbol del que te dije que no comieras, ahora la tierra va a estar bajo maldición por tu culpa;
GEN.3.18	La tierra te dará espinos y cardos, y tendrás que comer plantas silvestres.
GEN.3.19	Te ganarás el pan con el sudor de tu frente, hasta que vuelvas a la misma tierra de la cual fuiste formado, pues tierra eres y en tierra te convertirás.
GEN.3.20	El hombre llamó Eva
GEN.3.21	Dios el Señor hizo ropa de pieles de animales para que el hombre y su mujer se vistieran,
GEN.3.22	y dijo: «Ahora el hombre se ha vuelto como uno de nosotros, pues sabe lo que es bueno y lo que es malo. No vaya a tomar también del fruto del árbol de la vida,
GEN.3.23	Por eso Dios el Señor sacó al hombre del jardín de Edén, y lo puso a trabajar la tierra de la cual había sido formado. 
GEN.3.24	Después de haber sacado al hombre, puso al oriente del jardín unos seres alados
GEN.4.1	El hombre se unió con su esposa Eva. Ella quedó embarazada y dio a luz a su hijo Caín, y dijo: «Ya tengo un hijo varón. El Señor me lo ha dado.»
GEN.4.2	Después dio a luz a Abel, hermano de Caín. Abel se dedicó a criar ovejas, y Caín se dedicó a cultivar la tierra.
GEN.4.3	Pasó el tiempo, y un día Caín llevó al Señor una ofrenda del producto de su cosecha. 
GEN.4.4	También Abel llevó al Señor las primeras y mejores crías de sus ovejas. El Señor miró con agrado a Abel y a su ofrenda, 
GEN.4.5	pero no miró así a Caín ni a su ofrenda, por lo que Caín se enojó muchísimo y puso muy mala cara.
GEN.4.6	Entonces el Señor le dijo: «¿Por qué te enojas y pones tan mala cara? 
GEN.4.7	Si hicieras lo bueno, podrías levantar la cara;
GEN.4.8	Un día, Caín invitó a su hermano Abel a dar un paseo,
GEN.4.9	Entonces el Señor le preguntó a Caín:
GEN.4.9	—¿Dónde está tu hermano Abel?
GEN.4.9	Y Caín contestó:
GEN.4.9	—No lo sé. ¿Acaso es mi obligación cuidar de él?
GEN.4.10	El Señor le dijo:
GEN.4.10	—¿Por qué has hecho esto?
GEN.4.11	Por eso, quedarás maldito y expulsado de la tierra que se ha bebido la sangre de tu hermano, a quien tú mataste. 
GEN.4.12	Aunque trabajes la tierra, no volverá a darte sus frutos. Andarás vagando por el mundo, sin poder descansar jamás.
GEN.4.13	Entonces Caín respondió al Señor:
GEN.4.13	—Yo no puedo soportar un castigo tan grande.
GEN.4.14	Hoy me has echado fuera de esta tierra, y tendré que vagar por el mundo lejos de tu presencia, sin poder descansar jamás. Y así, cualquiera que me encuentre me matará.
GEN.4.15	Pero el Señor le contestó:
GEN.4.15	—Pues si alguien te mata, será castigado siete veces.
GEN.4.15	Entonces el Señor le puso una señal a Caín, para que el que lo encontrara no lo matara.
GEN.4.16	Caín se fue del lugar donde había estado hablando con el Señor, y se quedó a vivir en la región de Nod,
GEN.4.17	Caín se unió con su mujer, y ella quedó embarazada y dio a luz a Henoc. Luego Caín fundó una ciudad,
GEN.4.18	Henoc fue el padre de Irad, Irad fue el padre de Mehujael, Mehujael fue el padre de Metusael, y Metusael fue el padre de Lámec.
GEN.4.19	Lámec tuvo dos esposas: una de ellas se llamaba Adá, y la otra se llamaba Silá. 
GEN.4.20	Adá dio a luz a Jabal, de quien descienden los que viven en tiendas de campaña y crían ganado. 
GEN.4.21	Jabal tuvo un hermano llamado Jubal, de quien descienden todos los que tocan el arpa y la flauta. 
GEN.4.22	Por su parte, Silá dio a luz a Tubal-caín, que fue herrero y hacía objetos de bronce y de hierro.
GEN.4.23	Un día, Lámec les dijo a sus esposas Adá y Silá:
GEN.4.23	«Escuchen bien lo que les digo:
GEN.4.23	he matado a un hombre por herirme,
GEN.4.23	a un muchacho por golpearme.
GEN.4.24	Si a Caín lo vengarán siete veces,
GEN.4.24	a mí tendrán que vengarme
GEN.4.24	setenta y siete veces.»
GEN.4.25	Adán
GEN.4.26	También Set tuvo un hijo, al que llamó Enós.
GEN.5.1	Esta es la lista de los descendientes de Adán. Cuando Dios creó al hombre, lo hizo semejante a él;
GEN.5.2	los creó varón y mujer,
GEN.5.3	Adán
GEN.5.4	Después de esto, Adán vivió ochocientos años más, y tuvo otros hijos e hijas; 
GEN.5.5	así que vivió novecientos treinta años
GEN.5.6	Set tenía ciento cinco años cuando nació su hijo Enós. 
GEN.5.7	Después de esto, Set vivió ochocientos siete años más, y tuvo otros hijos e hijas; 
GEN.5.8	así que vivió novecientos doce años en total. A esa edad murió.
GEN.5.9	Enós tenía noventa años cuando nació su hijo Cainán. 
GEN.5.10	Después de esto, Enós vivió ochocientos quince años más, y tuvo otros hijos e hijas; 
GEN.5.11	así que vivió novecientos cinco años en total. A esa edad murió.
GEN.5.12	Cainán tenía setenta años cuando nació su hijo Mahalalel. 
GEN.5.13	Después de esto, Cainán vivió ochocientos cuarenta años más, y tuvo otros hijos e hijas; 
GEN.5.14	así que vivió novecientos diez años en total. A esa edad murió.
GEN.5.15	Mahalalel tenía sesenta y cinco años cuando nació su hijo Jéred. 
GEN.5.16	Después de esto, Mahalalel vivió ochocientos treinta años más, y tuvo otros hijos e hijas; 
GEN.5.17	así que vivió ochocientos noventa y cinco años en total. A esa edad murió.
GEN.5.18	Jéred tenía ciento sesenta y dos años cuando nació su hijo Henoc. 
GEN.5.19	Después de esto, Jéred vivió ochocientos años más, y tuvo otros hijos e hijas; 
GEN.5.20	así que vivió novecientos sesenta y dos años en total. A esa edad murió.
GEN.5.21	Henoc
GEN.5.22	Henoc vivió de acuerdo con la voluntad de Dios.
GEN.5.23	así que vivió trescientos sesenta y cinco años en total.
GEN.5.24	Como Henoc vivió de acuerdo con la voluntad de Dios, un día desapareció porque Dios se lo llevó.
GEN.5.25	Matusalén tenía ciento ochenta y siete años cuando nació su hijo Lámec. 
GEN.5.26	Después de esto, Matusalén vivió setecientos ochenta y dos años más, y tuvo otros hijos e hijas; 
GEN.5.27	así que vivió novecientos sesenta y nueve años en total. A esa edad murió.
GEN.5.28	Lámec tenía ciento ochenta y dos años cuando nació un hijo suyo, 
GEN.5.29	al que llamó Noé, porque dijo: «El Señor maldijo la tierra, y tenemos que trabajar muy duro para cultivarla; pero este niño nos hará descansar.»
GEN.5.30	Después que Noé nació, Lámec vivió quinientos noventa y cinco años más, y tuvo otros hijos e hijas; 
GEN.5.31	así que vivió setecientos setenta y siete años en total. A esa edad murió.
GEN.5.32	Noé tenía ya quinientos años cuando nacieron sus hijos Sem, Cam y Jafet.
GEN.6.1	Cuando los hombres comenzaron a poblar la tierra y tuvieron hijas, 
GEN.6.2	los hijos de Dios
GEN.6.3	Pero el Señor dijo: «No voy a dejar que el hombre viva para siempre,
GEN.6.4	Los gigantes aparecieron en la tierra cuando los hijos de Dios se unieron con las hijas de los hombres para tener hijos con ellas, y también después. Ellos fueron los famosos héroes de los tiempos antiguos.
GEN.6.5	El Señor vio que era demasiada la maldad del hombre en la tierra y que este siempre estaba pensando en hacer lo malo, 
GEN.6.6	y le pesó haber hecho al hombre. Con mucho dolor 
GEN.6.7	dijo: «Voy a borrar de la tierra al hombre que he creado, y también a todos los animales domésticos, y a los que se arrastran, y a las aves. ¡Me pesa haberlos hecho!»
GEN.6.8	Sin embargo, el Señor miraba a Noé con buenos ojos.
GEN.6.9	Esta es la historia de Noé.
GEN.6.9	Noé era un hombre muy bueno, que siempre obedecía a Dios. Entre los hombres de su tiempo, solo él vivía de acuerdo con la voluntad de Dios.
GEN.6.10	Noé tuvo tres hijos, que fueron Sem, Cam y Jafet.
GEN.6.11	Para Dios, la tierra estaba llena de maldad y violencia, 
GEN.6.12	pues toda la gente se había pervertido. Al ver Dios que había tanta maldad en la tierra, 
GEN.6.13	le dijo a Noé: «He decidido terminar con toda la gente. Por su culpa hay mucha violencia en el mundo, así que voy a destruirlos a ellos y al mundo entero. 
GEN.6.14	Construye una barca
GEN.6.15	Haz la barca de estas medidas: ciento treinta y cinco metros de largo, veintidós metros y medio de ancho, y trece metros y medio de alto. 
GEN.6.16	Hazla de tres pisos, con una ventana como a medio metro del techo, y con una puerta en uno de los lados.
GEN.6.17	Yo voy a mandar un diluvio que inundará la tierra y destruirá todo lo que tiene vida en todas partes del mundo. Todo lo que hay en la tierra morirá. 
GEN.6.18	Pero contigo estableceré mi alianza,
GEN.6.19	También llevarás a la barca un macho y una hembra de todos los animales que hay en el mundo, para que queden con vida igual que tú. 
GEN.6.20	Contigo entrarán en la barca dos animales de cada clase: tanto de las aves y animales domésticos, como de los que se arrastran por el suelo, para que puedan seguir viviendo. 
GEN.6.21	Junta además toda clase de alimentos y guárdalos, para que tú y los animales tengan qué comer.»
GEN.6.22	Y Noé hizo todo tal como Dios se lo había ordenado.
GEN.7.1	Después el Señor le dijo a Noé: «Entre toda la gente de este tiempo, solo tú vives de acuerdo con mi voluntad. Por lo tanto, entra en la barca junto con tu familia. 
GEN.7.2	Toma siete machos y siete hembras de todo animal puro, pero solo un macho y una hembra de los impuros.
GEN.7.3	Toma también siete parejas de cada clase de aves, para que se conserve su especie en el mundo, 
GEN.7.4	porque dentro de siete días haré que llueva durante cuarenta días y cuarenta noches. ¡Voy a borrar de la tierra todo lo que vive, y que yo he creado!» 
GEN.7.5	Y Noé hizo todo tal como el Señor se lo había ordenado.
GEN.7.6	Cuando el diluvio inundó la tierra, Noé tenía seiscientos años. 
GEN.7.7	Y entró Noé en la barca
GEN.7.8	Los animales puros e impuros, los que vuelan y los que se arrastran, 
GEN.7.9	entraron con Noé en la barca, de dos en dos, macho y hembra, como Dios se lo había ordenado.
GEN.7.10	A los siete días, el diluvio comenzó a inundar la tierra. 
GEN.7.11	Era el día diecisiete del mes segundo. Noé tenía entonces seiscientos años. Precisamente en ese día, se reventaron las fuentes del gran mar abajo, y se abrieron las compuertas del cielo arriba.
GEN.7.12	Cuarenta días y cuarenta noches
GEN.7.13	En aquel mismo día entró Noé en la barca con sus hijos Sem, Cam y Jafet, y con su esposa y sus tres nueras. 
GEN.7.14	Con ellos entraron toda clase de animales salvajes y domésticos, y toda clase de animales que se arrastran y de aves. 
GEN.7.15	Todos los animales entraron con Noé en la barca, de dos en dos. 
GEN.7.16	Entraron un macho y una hembra de cada clase, tal como Dios se lo había ordenado a Noé, y después el Señor cerró la puerta de la barca.
GEN.7.17	El diluvio duró cuarenta días. Al subir el agua, la barca se levantó del suelo y comenzó a flotar. 
GEN.7.18	El agua seguía subiendo más y más, pero la barca seguía flotando. 
GEN.7.19	Tanto subió el agua, que llegó a cubrir las montañas más altas de la tierra; 
GEN.7.20	y después de haber cubierto las montañas, subió todavía como siete metros más. 
GEN.7.21	Así murió toda la gente que vivía en la tierra, lo mismo que las aves, los animales domésticos y salvajes, y los que se arrastran por el suelo. 
GEN.7.22	Todo lo que había en tierra firme, y que tenía vida y podía respirar, murió.
GEN.7.23	Solamente Noé y los que estaban en la barca quedaron vivos; los demás fueron destruidos: el hombre, los animales domésticos, las aves del cielo y los animales que se arrastran; 
GEN.7.24	pues la tierra quedó inundada durante ciento cincuenta días.
GEN.8.1	Entonces Dios se acordó 
GEN.8.2	se cerraron las fuentes del mar profundo y también las compuertas del cielo. 
GEN.8.3	y el agua comenzó a bajar poco a poco. Al cabo de ciento cincuenta días, el agua ya iba bajando, 
GEN.8.4	y el día diecisiete del mes séptimo la barca se detuvo sobre las montañas de Ararat. 
GEN.8.5	El agua siguió bajando, y el primer día del mes décimo ya se podían ver las partes más altas de los montes.
GEN.8.6	Después de cuarenta días, 
GEN.8.7	y soltó un cuervo; pero el cuervo volaba de un lado para otro, esperando que la tierra se secara. 
GEN.8.8	Después del cuervo, Noé soltó una paloma para ver si la tierra ya estaba seca; 
GEN.8.9	pero la paloma regresó a la barca porque no encontró ningún lugar donde descansar, pues la tierra todavía estaba cubierta de agua. Así que Noé sacó la mano, tomó la paloma y la hizo entrar en la barca.
GEN.8.10	Noé esperó otros siete días, 
GEN.8.11	Ya empezaba a anochecer cuando la paloma regresó, trayendo una ramita de olivo en el pico. Así Noé se dio cuenta de que la tierra se iba secando. 
GEN.8.12	Esperó siete días más, y volvió a enviar la paloma; pero la paloma ya no regresó. 
GEN.8.13	Cuando Noé tenía seiscientos un años, la tierra quedó seca. El primer día del mes primero, Noé quitó el techo de la barca y vio que la tierra estaba seca. 
GEN.8.14	Para el día veintisiete del mes segundo, la tierra estaba ya bien seca. 
GEN.8.15	Entonces Dios le dijo a Noé: 
GEN.8.16	«Sal de la barca, junto con tu esposa, tus hijos y tus nueras. 
GEN.8.17	Saca también a todos los animales que están contigo: las aves, los animales domésticos y los que se arrastran por el suelo, para que se vayan por toda la tierra y tengan muchas crías y llenen el mundo.»
GEN.8.18	Entonces Noé y su esposa, y sus hijos y nueras, salieron de la barca. 
GEN.8.19	También salieron todos los animales domésticos y salvajes, los que se arrastran y los que vuelan. 
GEN.8.20	Luego Noé construyó un altar en honor del Señor, tomó animales y aves puros, 
GEN.8.21	Cuando al Señor le llegó este olor tan agradable, 
GEN.8.22	»Mientras el mundo exista,
GEN.8.22	habrá siembra y cosecha;
GEN.8.22	hará calor y frío,
GEN.8.22	habrá invierno y verano
GEN.8.22	y días con sus noches.» 
GEN.9.1	Dios bendijo a Noé y a sus hijos, con estas palabras: «Tengan muchos hijos y llenen la tierra.
GEN.9.2	Todos los animales del mundo temblarán de miedo delante de ustedes. Todos los animales en el aire, en la tierra y en el mar, están bajo su poder. 
GEN.9.3	Pueden comer todos los animales y verduras que quieran. Yo se los doy. 
GEN.9.4	Pero hay una cosa que no deben comer: carne con sangre, porque en la sangre está la vida.
GEN.9.5	Yo pediré cuentas a cada hombre y a cada animal de la sangre de cada uno de ustedes. A cada hombre le pediré cuentas de la vida de su prójimo.
GEN.9.6	»Si alguien mata a un hombre,
GEN.9.6	otro hombre lo matará a él,
GEN.9.6	pues el hombre ha sido creado
GEN.9.6	a imagen de Dios.
GEN.9.7	Pero ustedes, ¡tengan muchos hijos
GEN.9.7	y llenen el mundo con ellos!»
GEN.9.8	Dios también les dijo a Noé y a sus hijos: 
GEN.9.9	«Miren, yo voy a establecer mi alianza con ustedes y con sus descendientes, 
GEN.9.10	y con todos los animales que están con ustedes y que salieron de la barca: aves y animales domésticos y salvajes, y con todos los animales del mundo. 
GEN.9.11	Mi alianza con ustedes no cambiará: no volveré a destruir a los hombres y animales con un diluvio. Ya no volverá a haber otro diluvio que destruya la tierra.
GEN.9.12	Esta es la señal de la alianza que para siempre hago con ustedes y con todos los animales: 
GEN.9.13	he puesto mi arco iris en las nubes, y servirá como señal de la alianza que hago con la tierra. 
GEN.9.14	Cuando yo haga venir nubes sobre la tierra, mi arco iris aparecerá entre ellas. 
GEN.9.15	Entonces me acordaré
GEN.9.16	Cuando el arco iris esté entre las nubes, yo lo veré y me acordaré de la alianza que he hecho para siempre con todo hombre y todo animal que hay en el mundo. 
GEN.9.17	Esta es la señal de la alianza que yo he establecido con todo hombre y animal aquí en la tierra.» Así habló Dios con Noé.
GEN.9.18	Los hijos de Noé que salieron de la barca fueron Sem, Cam, padre de Canaán, y Jafet.
GEN.9.19	Estos fueron los tres hijos de Noé, y con sus descendientes se volvió a poblar la tierra.
GEN.9.20	Noé comenzó a cultivar la tierra, y plantó una viña. 
GEN.9.21	Un día Noé bebió vino y se emborrachó, y se quedó tirado y desnudo en medio de su tienda de campaña. 
GEN.9.22	Cuando Cam, o sea el padre de Canaán, vio a su padre desnudo, salió a contárselo a sus dos hermanos. 
GEN.9.23	Entonces Sem y Jafet tomaron una capa, se la pusieron sobre sus propios hombros, y con ella cubrieron a su padre. Para no verlo desnudo, se fueron caminando hacia atrás y mirando a otro lado.
GEN.9.24	Cuando Noé despertó de su borrachera y supo lo que su hijo menor había hecho con él, 
GEN.9.25	dijo:
GEN.9.25	«¡Maldito sea Canaán!
GEN.9.25	¡Será el esclavo más bajo
GEN.9.25	de sus dos hermanos!»
GEN.9.26	Luego añadió:
GEN.9.26	«Bendito sea el Señor, Dios de Sem,
GEN.9.26	y que Canaán sea su esclavo.
GEN.9.27	Dios permita que Jafet pueda extenderse;
GEN.9.27	que viva en los campamentos de Sem,
GEN.9.27	y que Canaán sea su esclavo.»
GEN.9.28	Después del diluvio, Noé vivió todavía trescientos cincuenta años; 
GEN.9.29	así que murió cuando tenía novecientos cincuenta años.
GEN.10.1	Estos son los descendientes de Sem, Cam y Jafet,
GEN.10.2	Los hijos de Jafet
GEN.10.3	Los hijos de Gómer fueron Asquenaz, Rifat y Togarmá.
GEN.10.4	Los hijos de Javán fueron Elisá, Tarsis, Quitim y Rodanim.
GEN.10.5	Estos fueron los descendientes de Jafet
GEN.10.6	Los hijos de Cam
GEN.10.7	Los hijos de Cus fueron Sebá, Havilá, Sabtá, Raamá y Sabtecá. Los hijos de Raamá fueron Sebá y Dedán.
GEN.10.8	Cus fue el padre de Nimrod, el primer hombre poderoso de la tierra.
GEN.10.9	Nimrod, por la voluntad del Señor, fue un gran cazador. De ahí viene el dicho: «Igual a Nimrod, que por la voluntad del Señor fue un gran cazador.»
GEN.10.10	Las principales ciudades de su reino fueron Babel, Érec, Acad y Calné,
GEN.10.11	De esta región salió Asur,
GEN.10.12	y la gran ciudad de Resen, que está entre Nínive y Quélah.
GEN.10.13	De Misraim descienden los ludeos, los anameos, los lehabitas, los naftuhítas,
GEN.10.14	los patruseos, los casluhítas y los caftoritas, de quienes descienden los filisteos.
GEN.10.15	Canaán fue padre de Sidón, su primer hijo, y de Het.
GEN.10.16	De Canaán descienden los jebuseos, amorreos, gergeseos, 
GEN.10.17	heveos, araceos, sineos, 
GEN.10.18	arvadeos, semareos y hamateos. Después, todos los clanes cananeos se dispersaron.
GEN.10.19	El territorio de los cananeos llegó a extenderse en dirección a la región de Guerar, desde la ciudad de Sidón hasta el pueblo de Gaza, y en dirección de las ciudades de Sodoma, Gomorra, Admá y Seboím, hasta el pueblo de Lesa.
GEN.10.20	Estos fueron los descendientes de Cam, cada nación y clan en su propia tierra y con su propio idioma.
GEN.10.21	Sem, que fue el hermano mayor de Jafet, también tuvo hijos.
GEN.10.22	Los hijos de Sem fueron Elam, Asur, Arfaxad, Lud y Aram.
GEN.10.23	Los hijos de Aram fueron Us, Hul, Guéter y Mas.
GEN.10.24	Arfaxad fue el padre de Sélah, y Sélah fue el padre de Éber. 
GEN.10.25	Después Éber tuvo dos hijos: uno de ellos se llamaba Péleg, porque en su tiempo la gente de la tierra se dividió; y el hermano de Péleg se llamaba Joctán.
GEN.10.26	Joctán fue el padre de Almodad, Sélef, Hasar-mávet, Jérah, 
GEN.10.27	Hadoram, Uzal, Diclá, 
GEN.10.28	Obal, Abimael, Sebá, 
GEN.10.29	Ofir, Havilá y Jobab. Todos estos fueron hijos de Joctán, 
GEN.10.30	y vivieron en las tierras que se extienden desde la región de Mesá hasta la de Sefar, que es la región montañosa del oriente.
GEN.10.31	Estos fueron los descendientes de Sem, cada nación y clan en su propia tierra y con su propio idioma.
GEN.10.32	Estos son los clanes de los hijos de Noé, según sus diferentes líneas de descendientes y sus territorios. Después del diluvio, se esparcieron por todas partes y formaron las naciones del mundo.
GEN.11.1	En aquel tiempo todo el mundo hablaba el mismo idioma. 
GEN.11.2	Cuando salieron de la región oriental, encontraron una llanura en la región de Sinar
GEN.11.3	Un día se dijeron unos a otros: «Vamos a hacer ladrillos y a cocerlos en el fuego.» Así, usaron ladrillos en lugar de piedras y asfalto natural en lugar de mezcla.
GEN.11.4	Después dijeron: «Vengan, vamos a construir una ciudad y una torre
GEN.11.5	Pero el Señor bajó a ver la ciudad y la torre que los hombres estaban construyendo, 
GEN.11.6	y pensó: «Ellos son un solo pueblo y hablan un solo idioma; por eso han comenzado este trabajo, y ahora por nada del mundo van a dejar de hacerlo. 
GEN.11.7	Es mejor que bajemos a confundir su idioma, para que no se entiendan entre ellos.»
GEN.11.8	Así fue como el Señor los dispersó por toda la tierra, y ellos dejaron de construir la ciudad. 
