GEN.1.1	En 
GEN.1.30	Y à toda bestia de la tierra, y à todas las aues de los cielos, y à todo lo que ſe mueue ſobre la tierra, en que ay anima biuiente, toda verdura de yerua 
GEN.1.31	Y vido Dios todo loque auia hecho, y heaqui que 
GEN.2.1	Y Fueron acabados los cielos y la tierra, y todo ſu 
GEN.2.2	Y acabó Dios enel dia Septimo ſu obra que hizo, y 
GEN.2.3	Y bendixo Dios àl dia Septimo, y sanctificólo, por que enel reposó de toda ſu obra que auia criado Dios en 
GEN.2.4	Estos 
GEN.2.5	Y toda planta del cãpo antes que fueſſe en la tierra: y toda yerua del campo antes que nacieſſe: por que aun no auia hecho llouer Iehoua Dios ſobre la tierra: ni 
GEN.2.6	Y 
GEN.2.7	¶ Formó pues Iehoua Dios àl hombre poluo de la tierra, y 
GEN.2.8	Y auia plantado Iehoua Dios 
GEN.2.9	Auia tambien hecho produzir Iehoua Dios de la tierra todo arbol deſſeable à la vista, y bueno para comer, y el arbol de vida en medio del huerto, y el arbol de sciencia de bien, y de mal.
GEN.2.10	¶ Y ſalia 
GEN.2.11	El nõbre del vno 
GEN.2.12	Y el oro del aquella tierra 
GEN.2.13	El nombre del segundo rio 
GEN.2.14	Y el nombre del tercero rio 
GEN.2.15	Tomó pues Iehoua Dios àl hombre, y pusolo en el huerto de Heden,
GEN.2.16	¶ Y mãdó Iehoua Dios àl hombre diziendo, De todo arbol del huertó comerás: 
GEN.2.17	Mas del arbol de scíencia de bien y de mal, no comeras deel: por que el dia que de el comieres, morirás. 
GEN.2.18	Y dixo Iehoua Dios, No 
GEN.2.19	¶ Formó pues Iehoua Dios de la tierra toda bestia del campo, y toda aue de los cielos, y truxo las à Adam, para que vieſſe como les auia de llamar: y todo loque Adam llamó 
GEN.2.20	Y puso Adam nombres à toda bestia, y aue de los cielos, y a todo animal del campo: mas para Adã no halló ayuda, que 
GEN.2.21	¶ Y hizo caer Iehoua Dios ſueño ſobre el hombre, y adormeciose: y tomó 
GEN.2.22	Y edificó Iehoua Dios la costilla que tomódelhõbre, en muger, y truxola àl hõbre. 
GEN.2.23	Y dixò el hombre,
GEN.2.24	Por tanto el varon dexará à ſu padre y à ſu madre, y allegarseha 
GEN.2.25	Y eſtauan ambos desnudos, Adam y ſu muger, y no ſe auergonçauan.
GEN.3.1	Emperó 
GEN.3.2	Y la muger respondió à la ſerpiente, Del fruto de los arboles del huertó comemos, 
GEN.3.3	Mas del fruto del arbol que 
GEN.3.4	Entonces la ſerpiente dixo à la muger, 
GEN.3.5	Mas sabe Dios, que el dia que comierdes del, ſeran abiertos vuestros ojos, y sereys como dioses sabiendo el bien y el mal
GEN.3.6	¶ Y vido la muger que el arbol 
GEN.3.7	Y fueron abiertos los ojos de ellos ambos, y conocieron que 
GEN.3.8	¶ Y oyeron la boz de Iehoua Dios, que ſe paſſeaua enel huerto 
GEN.3.9	¶ Y llamó Iehoua Dios àl hõbre, y dixo le, Donde 
GEN.3.10	Y el respondió, Oy tuboz enel huerto, y vue miedo, porque eſtaua desnudo, y es condime. 
GEN.3.11	Y dixole, Quien te enseñó, que estauas desnudo? 
GEN.3.12	Y el hombre respondió, La muger 
GEN.3.13	Entõces Iehoua Dios dixo à la muger, Que eſto heziste? Y dixo la muger, La ferpiente me engañó, y comi. 
GEN.3.14	Y Iehoua Dios dixo à la ſerpiente, Por que heziste eſto, maldita serás mas que todas las beſtias, y que todos los animales del cãpo: ſobre tu pecho andarás, y poluo comerás todos los dias de tu vida. 
GEN.3.15	Y enemistad pondré entre ti y la muger, y entre tu ſimiente y ſu ſimiente, 
GEN.3.16	A la muger dixo, Multiplicando multiplicaré tus dolores, y tus preñezes: condolor parirás los hijos, y 
GEN.3.17	Y àl hõbre dixo, Porque obedeciste à la boz de tu muger, y comiste del arbol de que te mandé diziendo, No comerás del, Maldita 
GEN.3.18	Espinos y cardos te produzirá, y comerás yerua del campo. 
GEN.3.19	En el sudor de tu rostro comerás el pã, haſta que bueluas à la tierra, porque de ella fueste tomado. Porque 
GEN.3.20	Y llamó el hombre el nombre de ſu muger Heua, por quanto ella era madre de todos los biuientes.
GEN.3.21	¶ Y Iehoua Dios hizo àl hombre y à ſu muger tunicas de pieles, y vistiolos. 
GEN.3.22	Y dixo Iehoua Dios, He aqui el hombre es 
GEN.3.23	Y sacolo Iehoua del huerto de Heden, para que labraſſe la tierra, de que fue tomado,
GEN.3.24	¶ Y echó àl hõbre, y puso al Oriente del huerto de Heden cherubines y 
GEN.4.1	Y Conoció Adam à ſu muger Heua, la qual concibió y parió à Cain, y dixo, Ganado he varon por Iehoua. 
GEN.4.2	Y otra vez parió à ſu hermano Abel: y fue Abel pastor de ouejas, y Cain fue labrador de la tierra.
GEN.4.3	¶ Y acõteció 
GEN.4.4	Y Abel truxo tambien delos primogenitos de ſus ouejas, y 
GEN.4.5	Y à Cain y à ſu presente no miró. Y ensañose Cain en gran manera, y 
GEN.4.6	¶ Entonces Iehoua dixo à Cain, Porque te has ensañado? y por que ſe te han caydo tus fazes? 
GEN.4.7	Cierto que ſi bien hizieres,
GEN.4.8	Y habló Cain à ſu hermano Abel. Y acõteció, q estando ellos en el cãpo, Cain ſe leuantó cotra Abel ſu hermano, y matolo.
GEN.4.9	¶ 
GEN.4.10	Y elle dixo, Que has hecho? La boz de la sangre de tu hermano clama à mi desde la tierra. 
GEN.4.11	Aora pues maldito 
GEN.4.12	Quando labrâres la tierra, no te boluera à dar ſu fuerça: vagabundo y estrangero ferás en la tierra. 
GEN.4.13	Y dixo Cain à Iehoua, Grande 
GEN.4.14	He aqui me echas oy de la haz de la tierra, y de tu preſencia me esconderé: y seré vagabundo y estrangero en la tierra: y ſerá, que qual quiera que me hallare, me matará. 
GEN.4.15	Y respodiole Iehoua, Cierto qual quiera q matare à Cain, 
GEN.4.16	Y ſalio Cain de delante de Iehoua, y habitó en tierra de Nod al Oriẽte de Hedẽ. 
GEN.4.17	Y conoció Cain à ſu muger, la qual cõcibió y parió à Henoch: y edificó ciudad, y llamó el nombre de la ciudad del nombre de ſu hijo, Henoch. 
GEN.4.18	Y nació à Henoch Irad, y Irad engendró à Mauiael, y Mauiael engẽdró à Mathusael, y Mathusael engendró à Lamech.
GEN.4.19	¶ Y tomó para ſi Lamech dos mugeres, el nombre de la vna 
GEN.4.20	¶ Y parió Ada à Iabel, elqual fue padre de los que habitã en tiẽdas, y 
GEN.4.21	Y el nombre de ſu hermano 
GEN.4.22	Y Sella tambien parió à Tubal-Cain 
GEN.4.23	¶ Y dixo Lamech à ſus mugeres Ada y Sella, Oyd mi boz mugeres de Lamech, escuchad mi dicho: Que varon mataré por mi herida, y mancebo por mi golpe: 
GEN.4.24	Que ſiete vezes ſerá vengado Cain, mas Lamech setenta vezes ſiete.
GEN.4.25	¶ Y conoció Adam aun à ſu muger, y parió hijo, y llamó ſu nombre Seth, Porque 
GEN.4.26	Y à Seth tambien le nació 
GEN.5.1	Este 
GEN.5.2	Macho y hembra los crió, y bendixo los, y llamo el nombre de ellos 
GEN.5.3	Y biuió Adam ciento y treynta años, y engẽdró 
GEN.5.4	Y fueron los dias de Adam deſpues que engendró à Seth, ochocientos años: y engendró hijos y hijas. 
GEN.5.5	Y fueron todos los dias que biuió Adã nouecientos y treynta años, y murió. 
GEN.5.6	Y biuió Seth ciento y cinco años, y engendró à Enos. 
GEN.5.7	Y biuió Seth, deſpues que engendró à Enos, ochocientos y ſiete años, y engendró hijos y hijas. 
GEN.5.8	Y fueron todos los dias de Seth uouecientos y doze años, y murió. 
GEN.5.9	Y biuió Enos nouẽta años, y engẽdró à Cainan. 
GEN.5.10	Y biuió Enos deſpues que engendró à Cainan ochocientos y quinze años, y engendró hijos y hijas. 
GEN.5.11	Y fueron todos los dias de Enos nouecientos y cinco años, y murió. 
GEN.5.12	Y biuió Cainan setenta años, y engendró à Malaleel. 
GEN.5.13	Y biuió Cainan deſpues que engẽdró à Malaleel ochocientos y quarenta años: y engendró hijos y hijas. 
GEN.5.14	Y fuerõ todos los dias de Cainan nouecientos y diez años, y murió. 
GEN.5.15	Y biuió Malaleel sesenta y cinco años, y engendró à Iared. 
GEN.5.16	Y biuió Malaleel deſpues que engendró à Iared ochocientos y treynta años, y engendró hijos y hijas. 
GEN.5.17	Y fueron todos los dias de Malaleel ochocientos y nouenta y cinco años, y murió. 
GEN.5.18	Y biuió Iared ciento y sesenta y dos años, y engendró à Henoch. 
GEN.5.19	Y biuió Iared deſpues que engendró à Henoch ochociẽtos años: y engẽdró hijos y hijas. 
GEN.5.20	Y fueron todos los dias de Iared nouecientos y sesenta y dos años, y murió. 
GEN.5.21	Y biuió Henoch sesenta y cinco años, y engendró à Mathusalam. 
GEN.5.22	Y anduuo Henoch con Dios deſpues que engendró à Mathusalam trezientos años, y engendró hijos y hijas. 
GEN.5.23	Y fuerõ todos los dias de Henoch trezientos y sesenta y cinco años. 
GEN.5.24	Y anduuo Henoch con dios, 
GEN.5.25	Y biuió Mathusalam ciento y ochenta y ſiete años, y engendró à Lamech. 
GEN.5.26	Y biuió Mathusalã deſpues que engendró à Lamech setecientos y ochenta y dos años, y engendró hijos y hijas. 
GEN.5.27	Y fueron todos los dias de Mathusalã nouecientos y sesenta y nueue años, y murió. 
GEN.5.28	Y biuió Lamech ciento y ochenta y dos años, y engendró 
GEN.5.29	Y llamó ſu nombre Noe dizẽdo, Este 
GEN.5.30	Y biuió Lamech deſpues que engendró à Noe quinientos y nouenta y cinco años, y engendró hijos y hijas. 
GEN.5.31	Y fueron todos los dias de Lamech setecientos y setenta y ſiete años, y murió. 
GEN.5.32	Y 
GEN.6.1	Y Acaeſció 
GEN.6.2	Viendo 
GEN.6.3	Y dixo Iehoua, No contenderá mi espiritú cõ el hombre para siempre, porque ciertamente el 
GEN.6.4	Auia 
GEN.6.5	Y vido Iehoua que la malicia de los hombres 
GEN.6.6	Y arrepintiose Iehoua de auer hecho hombre enla tierra, y pesole 
GEN.6.7	Y dixo Iehoua, Raeré los hombres que he criado de ſobre la haz de la tierra, desde el hombre haſta la bestia, y haſta el reptil, y haſta el aue de los cielos: porque, me arrepiento de auerlos hecho.
GEN.6.8	¶ Empero Noe halló gracia en ojos de Iehoua. 
GEN.6.9	Estas 
GEN.6.10	Y engendró Noe tres hijos, à Sem, à Cham, y à Iapheth. 
GEN.6.11	Y corrõpióse la tierra delãte de Dios, y hinchióse la tietra de violencia. 
GEN.6.12	Y 
GEN.6.13	Y dixo Dios à Noe, La fin de toda carne ha venido 
GEN.6.14	Hazte vn' arca de madera de cedro: harás apartamiẽtos enel arca, y betumarla hás por de dẽtro y por de fuera cõ betume. 
GEN.6.15	Y deesta manera la harás: De trezientos cobdos la longura del arca, y de cincuẽta cobdos ſu anchura, y de treynta cobdos ſu altura. 
GEN.6.16	Vna vẽtana harás àl arca, y 
GEN.6.17	Y yo, he aqui que yo traygo diluuio de aguas ſobre la tierra, para destruyr toda carne, enque aya eſpiritu de vida debaxo del cielo: todo lo que 
GEN.6.18	Mas 
GEN.6.19	Y de todo loque biue, 
GEN.6.20	Delas aues ſegun ſu especie, y de las beſtias ſegun ſu especie, de todo reptil dela tierra ſegun ſu especie, dos de cada vno entrarán à ti, para que ayan vida. 
GEN.6.21	Y tu tomaté de toda vianda que ſe come, y junta tela, y ſerá para ti y para ellos por mantenimiento. 
GEN.6.22	Y hizo Noe conforme à todo loque le mando Dios: anſi 
GEN.7.1	Y 
GEN.7.2	De todo animal limpio te tomarás
GEN.7.3	Tambien delas aues de los cielos, ſiete pares, macho y hembra: para guardar en vida la ſimiente ſobre la haz de toda la tierra. 
GEN.7.4	Porque 
GEN.7.5	Y hizo Noe conforme à todo loque le mandó Iehoua. 
GEN.7.6	Y 
GEN.7.7	Y vino Noe, y ſus hijos, y ſu muger, y las mugeres de ſus hijos conel àl arca, por las aguas del diluuio. 
GEN.7.8	De los animales limpios, y delos animales que no 
GEN.7.9	De dos endos entrâron à Noe enel arca, macho y hembra, como mandó Dios à Noe.
GEN.7.10	¶ Y fue, que al septimo dia las aguas del diluuio fueron ſobre la rierra. 
GEN.7.11	El año de seys cientos de la vida de Noe, en el mes Segundo, à los diez y siéte dias del mes: á quel dia fueron rompidas todas las fuentes del grande abiſmo, y las ventanas de los cielos fueron abiertas. 
GEN.7.12	Y vuo lluuia ſobre la tierra quarenta dias, y quarenta noches. 
GEN.7.13	En eſte mismo dia entró Noe, y Sem, y Cham, y Iapheth, hijos de Noe, la muger de Noe, y las tres mugeres de ſus hijos cõ el en el arca. 
GEN.7.14	Ellos y todos los animales ſegun ſus especies, y todas las beſtias ſegun ſus especies, y todo reptil que anda arrastrãdo ſobre la tierrasegũ ſu especie, y toda aue ſegũ ſu especie, todo paxaro, toda coſa de alas. 
GEN.7.15	Y vinieron à Noe àl arca de dos endos, de toda carne, enque 
GEN.7.16	Y los que vinieron, macho y hembra de toda carne vinieron, como le auia mandado Dios: y cerró Iehoua ſobre el. 
GEN.7.17	Y fué el diluuio quarenta dias ſobre la tierra, y las aguas ſe multiplicâron, y alçaron el arca, y fue alçada de ſobre la tierra. 
GEN.7.18	Y preualecieron las aguas, y multiplicaron ſe en gran manera ſobre la tierra: y andaua el arca ſobre la haz de las aguas. 
GEN.7.19	Y las aguas preualecieron mucho en gran manera ſobre la tierra, y fueron cubiertos todos los mõtes altos, que 
GEN.7.20	Quinze cobdos encima preualeciêron las aguas, y fueron cubiertos los montes. 
GEN.7.21	Y murió toda carne que anda arraſtrando ſobre la tierra, en las aues, y en las beſtias, y en los animales, y en todo reptil que anda arraſtrando ſobre la tierra, y en todo hombre. 
GEN.7.22	Todo loque tenia aliento de eſpiritu de vida en ſus narizes, de todo lo que 
GEN.7.23	Ansi rayó toda la sustancia que 
GEN.7.24	Y preualecierõ las aguas ſobre la tierra ciento y cincuenta dias.
GEN.8.1	Y Acordoſe Dios de Noe, y de todos los animales, y de todas las beſtias que 
GEN.8.2	Y cerraronſe las fuentes del abiſmo, y las vẽtanas de los cielos, y la pluuia de los cielos fue detenida. 
GEN.8.3	Y 
GEN.8.4	Y reposó el arca enel mes Septimo à los diez y ſiete dias del mes ſobre los mõtes de Armenia. 
GEN.8.5	Y las aguas fueron descreciendo haſta el mes Decimo: en el Decimo, àl primero del mes ſe descubrieron las cabeças delos montes. 
GEN.8.6	Y fue, que àl cabo de quarenta dias Noe abrió la ventana del arca,
GEN.8.7	Y embió àl cueruo, el qual ſalió, ſaliendo y tornando, haſta que las aguas ſe secâron de ſobre la tierra. 
GEN.8.8	Y embió à la paloma 
GEN.8.9	Y no halló la paloma donde reposaſſe la plãta de ſu pie, y boluiose à el àl arca, por que las aguas 
GEN.8.10	Y eſperó aun otros ſiete dias, y boluió à embiar la paloma del arca. 
GEN.8.11	Y la paloma boluió à el à la hora de la tarde, y he aqui 
GEN.8.12	Y eſperó aun otros ſiete dias, y embió la paloma, la qual no tornó à boluer à el mas. 
GEN.8.13	Y fué, que en el año 
GEN.8.14	Y en el mes Segũdo à los veynte y ſiete dias del mes ſe secó la tierra.
GEN.8.15	¶ Y habló Dios à Noe diziendo, 
GEN.8.16	Sal del arca tu, y tu muger, y tus hijos, y las mugeres de tus hijos contigo. 
GEN.8.17	Todos los animales que 
GEN.8.18	Entonces ſaliõ Noe, y ſus hijos, y ſu muger, y las mugeres de ſus hijos con el. 
GEN.8.19	To dos los animales, y todo reptil, y toda aue, todo loqueſe mueue ſobre la tierra ſegun ſus especies, ſalieron del arca.
GEN.8.20	¶ Y edificó Noe altar à Iehoua, y tomó de todo animal limpio, y de toda aue limpia, y offreció holocausto en el altar. 
GEN.8.21	Y olió Iehoua olor de reposó: y dixo Iehoua 
GEN.8.22	Toda via 
GEN.9.1	Y Bendixo Dios à Noe y à ſus hijos, y dixoles,
GEN.9.2	Y 
GEN.9.3	Todo loque ſe mueue, que es biuo, tẽ dreys por mantenimiento: 
GEN.9.4	¶ 
GEN.9.5	Porque ciertamente vuestra sangre 
GEN.9.6	Elque derramâre sangre de hombre en el hombre, ſu sangre ſerá derramada: 
GEN.9.7	Mas vosotros frutificad y multiplicad, y andad en la tierra, y multiplicad en ella.
GEN.9.8	¶ Y habló Dios à Noe y à ſus hijos cõel, djziendo. 
GEN.9.9	Yo, heaqui que yo establezco mi Concierto con vosotros y con vuestra ſimiente deſpues de vosotros, 
GEN.9.10	Y con toda alma biuiente que 
GEN.9.11	Que 
GEN.9.12	Y dixo Dios, Esta 
GEN.9.13	Mi arco pondié en las nuues, elqual ſerá por señal de Concierto entremi y la tierra. 
GEN.9.14	Y ſerá, que quando 
GEN.9.15	Y acordarmehé de mi Concierto que 
GEN.9.16	Y estará el arco enlas nuues, y verlohé para acordarme del Cõcierto perpetuo entre Dios y toda alma biuiente, con toda carne que 
GEN.9.17	Dixo mas Dios à Noe, Esta 
GEN.9.18	Y fueron los hijos de Noe, que ſalisron del arca, Sem, Cham, y Iaphet: y Cham 
GEN.9.19	Estos tres 
GEN.9.20	¶ Y començó Noe 
GEN.9.21	Y beuió del vino, y embriagose, y descubriose en medio de ſu tienda, 
GEN.9.22	Y vido Cham el padre de Chanaan la desnudez desu padre, y dixo lo à ſus dos hermanos 
GEN.9.23	Entonces tomó Sem y Iapheth la ropa, y puſieron la ſobre ſus ombros de ambos, y andãdo hazia tras, cubrieron la desnudez de ſu padre, teniẽdo bueltos los rostros, que no vieron la desnudez de ſu padre.
GEN.9.24	¶ Y deſpertó Noe 
GEN.9.25	Y dixo, Maldito 
GEN.9.26	Dixo mas, Bendito Iehoua el Dios de Sem, y ſea le Chanaan sieruo. 
GEN.9.27	Ensanche Dios à Iaphet, y habite en las tiendas de Sem, y seale Chanaan sieruo. 
GEN.9.28	Y biuió Noe deſpues del diluuio, trezientos y cincuenta años. 
GEN.9.29	Y fueron todos los dias de Noe noue cientos y cincuenta años, y murió.
GEN.10.1	ESTAS 
GEN.10.2	Los hijos de Iapheth 
GEN.10.3	Y los hijos de Gomer, Ascenez, y Riphath, y Thogorma. 
GEN.10.4	Y los hijos de lauan, Elisa, y Tharsis, Cethim, y Dodanim. 
GEN.10.5	Por estos fueron partidas las Iſlas delas Gentes ensus tierras cada qual ſegun ſu lengua, conforme à ſus familias en ſus naciones.
GEN.10.6	¶ Los hijos de Chã 
GEN.10.7	Y los hijos de Chus, Saba, Heuila, y Sabatha, y Regina, y Sabathacha. Y los hijos de Regina, Saba, y Dadan. 
GEN.10.8	Y Chus engendró à Nemrod. eſte començó à ſer 
GEN.10.9	Este fue 
GEN.10.10	Y fué la cabecera de ſu reyno Babel, y Arach, y Achad, y Chalanne en la tierra de Sennaar. 
GEN.10.11	De aquesta tierra ſalió Aſſur, el qual edificó à Niniue, y à Rechoboth-ir, y à Chale. 
GEN.10.12	Y à Resen entre Niniue, y Chale, 
GEN.10.13	Y Misraim engendró à Ludim, y Anamim, y Laabim, y Nephthuim. 
GEN.10.14	Y à Phetrusim, y Chasluim, dedonde ſalieron los Philisteos, y à Caphtorim.
GEN.10.15	¶ Y Chanaan engendró à Sidon ſu primogenito, y à Heth. 
GEN.10.16	Y à Iebusi, y Amorrhi, y Gergasi, 
GEN.10.17	Y à Heui, y à Arci, y à Cini. 
GEN.10.18	Y à Aradi, Samari, y Hemathi, y
GEN.10.19	Y fue el terminó delos Chananeos desde Sidon viniendo à Gerar haſta Gaza, haſta entrar en Sodoma y Gomorrha, Adamam, y Seboim haſta Lasa. 
GEN.10.20	Estos 
GEN.10.21	¶ 
GEN.10.22	Y los hijos de Sem 
GEN.10.23	Y los hijos de Aram, Hus, y Hul, y Gether, y Mes. 
GEN.10.24	Y Arphaxad engendró à Salé, y Sale engendro à Heber. 
GEN.10.25	Y à Heber nacieron dos hijos, el nombre del vno 
GEN.10.26	Y Iectan engendró à Elmodad, y à Saleph, y à Asarmoth, y à Iaré. 
GEN.10.27	Y à Adoram, y à Vzal, y à Declá. 
GEN.10.28	Y à Hebal, y à Abimael, y à Saba. 
GEN.10.29	Y à Ophir, y à Heuila, y à Iobab. Todos estos 
GEN.10.30	Y fue ſu habitacion desde Meſſa viniendo de Sephar monte de Oriente. 
GEN.10.31	Estos 
GEN.10.32	Estas 
GEN.11.1	Era entonces toda la tierra vna lẽgua, y vnas 
GEN.11.2	Y acõteció, que como 
GEN.11.3	Y dixeron los vnos àlos otros, Dad àcà, hagamos ladrillo, y cozamos 
GEN.11.4	Y dixeron, Dad acà, Edifique mos nos ciudad, y torre, que tẽga la cabeça en el cielo: y hagamos nos nombrados: por ventura nos esparziremos ſobre la haz de toda la tierra.
GEN.11.5	¶ Y decendió Iehoua para ver la ciudad y la torre, que edificauan los hijos del hombre. 
GEN.11.6	Y dixo Iehoua, Heaqui el pueblo 
GEN.11.7	Aora pues, descendamos, y mezclemos ay ſus lenguas, que ninguno entiẽda la lengua desu compañero. 
GEN.11.8	Ansi los esparzió Iehoua de alli ſobre la haz de toda la tierra, y dexâron de edificar la ciudad. 
GEN.11.9	Por eſto fue llamado el nombre 
GEN.11.10	¶ 
GEN.11.11	Y biuió Sem, deſpues que engendró à Arphaxad, quinientos años, y engendró hijos y hijas. 
GEN.11.12	Y Arphaxad biuió treynta y cinco años, y engendró à Salé. 
GEN.11.13	Y biuió Arphaxad, deſpues que engẽdró à Sale, quatrocientos y tres años, y engendró hijos y hijas. 
GEN.11.14	Y biuió Salé treynta años, y engedró à Heber. 
GEN.11.15	Y biuió Salé, deſpues que engendró à Heber, quatrocientos y tres años, y engẽdró hijos y hijas. 
GEN.11.16	Y biuió Heber treynta y quatro años, y engendró à Phaleg. 
GEN.11.17	Y biuió Heber, deſpues que engendró à Phaleg, quatro cientos y treynta años, y engendró hijos y hijas. 
GEN.11.18	Y biuió Phaleg treynta años, y engẽdrô à Reu. 
GEN.11.19	Y biuió Phaleg, deſpues que engedró à Reu, dozientos y nueue años, y engẽdró hijos y hijas. 
GEN.11.20	Y Reu biuió treynta y dos años, y engẽdró à Sarug. 
GEN.11.21	Y biuió Reu, deſpues que engendró a Sarug, dozientos y ſiete años, y engendró hijos y hijas. 
GEN.11.22	Y biuió Sarug treynta años, y engẽdró à Nachor. 
GEN.11.23	Y biuió Sarug, deſpues que engendró à Nachor, dozientos años, y engendró hijos y hijas. 
GEN.11.24	Y biuió Nachor veynte y nueue años, y engendró à Thare. 
GEN.11.25	Y biuio Nachor, deſpues que engendro à Thare, ciento y diez y nueue años, y engendró hijos y hijas. 
GEN.11.26	Y biuió Tharé setẽta años, y engendro à Abram, à Nachor, y à Aran: 
GEN.11.27	Y estas 
GEN.11.28	Y murió Aran antes de ſu padre Thare enla tierra de ſu naturaleza, en Vr de los Chaldeos. 
GEN.11.29	Y tomarõ Abram y Nachor parasi mugeres: el nombre de la muger de Abram 
GEN.11.30	Y Sarai fue esteril, que no 
GEN.11.31	¶ Y tomó Thare à Abram ſu hijo, y à Lot hijo de Aran, hijo de ſu hijo, y a Sarai ſu nuera, muger de Abra ſu hijo: Y ſalió con ellos de Vr delos Chaldeos, 
GEN.11.32	Y fueron los dias de Thare dozientos y cinco años, y murió Tharé en Haran.
GEN.12.1	Empero 
GEN.12.2	Y hazerte he 
GEN.12.3	Y bendeziré à los que te bendixeren, y à los que te maldixeren maldeziré: 
GEN.12.4	Y fueſe Abram, como Iehoua le dixo, y fue con el Lot: y 
GEN.12.5	Y tomó Abra à Sarai ſu muger, y à Lot hijo desu hermano, y toda ſu hazienda que auian ganado, y 
GEN.12.6	Y paſſó Abram por aquella tierra haſta el lugar de Siche, 
GEN.12.7	¶ Y appareció Iehoua à Abram, y dixo le, 
GEN.12.8	Y paſſose de alli àl monte al Oriente de Bethel, y tendiò 
GEN.12.9	Y mouió Abrã 
GEN.12.10	¶ Y vuo hãbre en la tierra, y decẽdió Abram à Egypto para peregrinar allá: por que 
GEN.12.11	Y aconteció, que quãdo llegó para entrar en Egypto, dixo à Sarai ſu muger, He aqui aora, 
GEN.12.12	Y ſerá, que quando te verán los Egypcios, dirán, Su muger es, Y matarmehán: y à ti darán la uida. 
GEN.12.13	Aora pues di que eres mi hermana, para que yo aya bien por cauſa tuya, y biua mi alma por amor de ti. 
GEN.12.14	Y aconteció, que como entró Abram en Egypto, los Egypcios vieron la muger que era hermosa en gran manera. 
GEN.12.15	Y vieronla los principes de Pharaon, y alabaronla à Pharaon, y fue lleuada lamuger à caſa de Pharaon. 
GEN.12.16	Y à Abra 
GEN.12.17	¶ Mas Iehoua hirió à Pharaon y à ſu caſa de grandes plagas por cauſa de Sarai muger de Abram. 
GEN.12.18	Entonces Pharaon llamó à Abram, y dixole, Que 
GEN.12.19	Porque dixiste, Es mihermana? y 
GEN.12.20	Entonces Pharaon mãdó acerca deel à varones, que lo acompañaron, y à ſu muger, y à todo lo que tenia.
GEN.13.1	ANSI subió Abram de Egypto, hazia el Mediodia, el y ſu muger con todo loque tenia, y conel Lot. 
GEN.13.2	Y Abram 
GEN.13.3	Y boluió por ſus jornadas 
GEN.13.4	Al lugar del altar que auia hecho alli antes: y inuocó alli Abram el nobre de Iehoua.
GEN.13.5	¶ Y ansimismo Lot, que andaua cõ Abram, tenia ouejas y vacas, y 
GEN.13.6	De tal mancra que la tierra no los suffria para morar juntos:
