GEN.1.1	En el principio creó Dios los cielos y la tierra. 
GEN.8.3	Las aguas fueron bajando poco a poco. Después de ciento cincuenta días las aguas habían bajado bastante. 
GEN.8.4	Fue por eso que el día diecisiete del mes séptimo el barco se posó sobre las montañas de Ararat. 
GEN.8.5	El agua siguió bajando, de modo que el día primero del mes décimo pudieron verse las partes más altas de las montañas.
GEN.8.6	Después de cuarenta días, Noé abrió la ventana que le había hecho al barco 
GEN.8.7	y soltó un cuervo, el cual estuvo volando de un lado a otro esperando que la tierra se secara, pero no regresó. 
GEN.8.8	Luego Noé soltó una paloma, para ver si ya la tierra estaba seca. 
GEN.8.9	Pero la paloma regresó al barco, porque no encontró un lugar seco en el cual pudiera posarse. Entonces Noé extendió su mano, agarró a la paloma y la metió al barco. 
GEN.8.10	Esperó otros siete días más y volvió a soltar la paloma. 
GEN.8.11	Ya estaba oscureciendo cuando la paloma regresó, trayendo en su pico una ramita verde de olivo. Por eso, Noé se dio cuenta de que las aguas habían bajado mucho, de modo que ya se podía ver la tierra seca. 
GEN.8.12	Siete días después volvió a soltar la paloma, pero esta vez la paloma no regresó.
GEN.8.13	Cuando Noé tenía seiscientos un años de vida, las aguas desaparecieron. El primer día del mes primero de ese año, Noé retiró el techo del barco y vio que la tierra estaba casi seca. 
GEN.8.14	El día veintisiete del segundo mes, la tierra ya estaba completamente seca. 
GEN.8.15	Entonces Dios le dijo a Noé: 
GEN.8.16+GEN.8.17	«Ya pueden salir todos. Deja salir a todos los animales, aves y reptiles para que se reproduzcan abundantemente y llenen la tierra».
GEN.8.18	Así que Noé, sus hijos, su esposa y sus nueras salieron del barco. 
GEN.8.19	También salieron todos los animales, según su propia especie: los animales salvajes y los domésticos, las aves y los reptiles.
GEN.8.20	Después Noé construyó un altar para adorar al 
GEN.8.21	Al 
GEN.8.22	Mientras exista la tierra, habrá siembra y cosecha; siempre habrá frío y calor, verano e invierno, los días y las noches».
GEN.9.1	Dios dio esta bendición a Noé y a sus hijos: «Tengan muchos hijos y vuelvan a llenar la tierra. 
GEN.9.2	Todos los animales de la tierra temblarán de miedo delante de ustedes. Todas las bestias de la tierra, todas las aves, todos los reptiles y todos los peces se tendrán que someter a ustedes. 
GEN.9.3	Les doy todos los animales, lo mismo que las plantas y verduras para que los usen para su alimentación. 
GEN.9.4	Pero no deberán comer animales sin haberles sacado la sangre, porque la vida está en la sangre. 
GEN.9.5	Si un animal mata a un ser humano, yo lo castigaré. También castigaré a cualquier persona que mate a otro ser humano. Sí, yo pediré cuentas a cualquier animal o persona que mate a un ser humano. 
GEN.9.6	El que mate a una persona, otra persona lo matará a él; porque los seres humanos fueron creados a la imagen de Dios.
GEN.9.7	»Ustedes recuerden: “Tengan muchos hijos y vuelvan a poblar la tierra; ¡sí, multiplíquense y llenen la tierra!”».
GEN.9.8+GEN.9.9+GEN.9.10+GEN.9.11	Entonces Dios les dijo a Noé y a sus hijos: «Hoy mismo hago un pacto con ustedes, con todo hombre y mujer que nazca después de ustedes, y con todos los animales que están con ustedes y que salieron del barco, es decir, con los animales domésticos y salvajes, con las aves y con todos los demás animales que hay en la tierra. Por medio de este pacto les prometo que nunca más enviaré otro diluvio para destruir la tierra. ¡Nunca más mataré a ningún ser viviente por medio de un diluvio!».
GEN.9.12+GEN.9.13	Además, Dios dijo: «El arco iris servirá de señal para recordar este pacto que acabo de hacer con ustedes y con todos los animales. Sí, cada vez que aparezca el arco iris sobre las nubes les recordará la promesa que he hecho a toda la tierra. 
GEN.9.14+GEN.9.15+GEN.9.16	Cuando yo cubra de nubes la tierra, también haré que aparezca el arco iris. De ese modo me acordaré de la promesa que les he hecho a ustedes y a todos los demás seres vivos de la tierra. Así que nunca más los destruiré por medio de un diluvio. 
GEN.9.17	No lo olviden: Esta es la señal del pacto que acabo de hacer con ustedes y con todo ser viviente en la tierra».
GEN.9.18	Los tres hijos de Noé fueron: Sem, Cam y Jafet. (Cam es el padre de Canaán). 
GEN.9.19	De estos tres hijos de Noé proceden todas las naciones de la tierra.
GEN.9.20+GEN.9.21	Noé, que era agricultor, plantó una viña e hizo vino. Un día bebió tanto vino que se emborrachó y se quedó desnudo, tendido en el piso de su carpa. 
GEN.9.22	En esas, Cam, el padre de Canaán, entró a la carpa y vio a Noé desnudo. Al salir de la carpa le contó a sus hermanos que había visto a su padre desnudo. 
GEN.9.23	Entonces Sem y Jafet tomaron una túnica, se la echaron sobre los hombros y, para evitar ver la desnudez de su padre, entraron caminando hacia atrás y lo cubrieron. 
GEN.9.24+GEN.9.25	Cuando Noé despertó de su borrachera y supo lo que le había hecho su hijo menor, dijo:
GEN.9.24+GEN.9.25	«¡Maldito sea Canaán y sus descendientes!
GEN.9.24+GEN.9.25	¡Serán esclavos de los descendientes de Sem y Jafet!
GEN.9.24+GEN.9.25	¡Serán los esclavos de más bajo rango!».
GEN.9.26	Luego Noé dijo:
GEN.9.26	«¡Bendito sea el 
GEN.9.26	¡Que Canaán sea esclavo de Sem!
GEN.9.27	¡Que Dios prospere mucho a Jafet,
GEN.9.27	y que viva en los campamentos de Sem!
GEN.9.27	¡Que Canaán sea esclavo de Jafet!».
GEN.9.28	Noé vivió otros trescientos cincuenta años después del diluvio, 
GEN.9.29	y tenía novecientos cincuenta años cuando murió.
GEN.10.1	Después del diluvio, Sem, Cam y Jafet, los hijos de Noé, tuvieron sus propios hijos. Estos son sus descendientes:
GEN.10.2	Los hijos de Jafet fueron:
GEN.10.2	Gómer, Magog, Maday, Javán, Tubal, Mésec, Tirás.
GEN.10.3	Los hijos de Gómer fueron:
GEN.10.3	Asquenaz, Rifat y Togarma.
GEN.10.4	Los hijos de Javán fueron:
GEN.10.4	Elisá, Tarsis, Quitín y Rodanín.
GEN.10.5	Estos se fueron a vivir en las islas y costas, y fundaron naciones en diversos lugares, con sus propios idiomas.
GEN.10.6	Los hijos de Cam fueron:
GEN.10.6	Cus, Misrayin, Fut y Canaán.
GEN.10.7	Los hijos de Cus fueron:
GEN.10.7	Seba, Javilá, Sabtá, Ragama y Sabteca.
GEN.10.7	Los hijos de Ragama fueron:
GEN.10.7	Sabá y Dedán.
GEN.10.8	Cus fue el padre de Nimrod, que llegó a ser el primer guerrero muy famoso. 
GEN.10.9	Con la ayuda del 
GEN.10.10	Las ciudades más importantes de su reino fueron Babel, Érec, Acad y Calné. Todas estas ciudades estaban en la región de Sinar. 
GEN.10.11+GEN.10.12	De allí salió para Asur, donde edificó las ciudades de Nínive, Rejobot Ir, Cala y la importante ciudad de Resén, que estaba situada entre Nínive y Cala.
GEN.10.13+GEN.10.14	Misrayin fue el antepasado de los ludeos, los anameos, los leabitas, los naftuitas, los patruseos, los caslujitas y los caftoritas, que son los antepasados de los filisteos.
GEN.10.15	Canaán fue el padre de Sidón, su hijo mayor, y de Het.
GEN.10.16+GEN.10.17+GEN.10.18	Además, de Canaán descienden los jebuseos, los amorreos, los gergeseos, los heveos, los araceos, los sineos, los arvadeos, los zemareos y los jamatitas.
GEN.10.16+GEN.10.17+GEN.10.18	Después de algún tiempo todas estas familias de los cananeos se separaron y se dispersaron por la tierra. 
GEN.10.19	Su territorio abarcaba desde Sidón hasta Guerar y Gaza, y pasaba por Sodoma, Gomorra, Admá y Zeboyín, y llegaba hasta Lasa.
GEN.10.20	Estos fueron, pues, los descendientes de Cam. Se hallaban dispersos en muchas tierras y naciones y hablaban muchas lenguas.
GEN.10.21	Sem, el hermano mayor de Jafet, también tuvo hijos, y fue el antepasado de todos los descendientes de Éber. 
GEN.10.22	Los hijos de Sem fueron:
GEN.10.22	Elam, Asur, Arfaxad, Lud y Aram.
GEN.10.23	Los hijos de Aram fueron:
GEN.10.23	Uz, Hul, Guéter y Mas.
GEN.10.24	Arfaxad fue el padre de Selaj, y Selaj fue el padre de Éber.
GEN.10.25	Éber tuvo dos hijos:
GEN.10.25	El primero se llamó Péleg, porque fue durante su vida que la gente del mundo se dividió.
GEN.10.25	El otro hijo de Éber fue Joctán.
GEN.10.26+GEN.10.27+GEN.10.28+GEN.10.29+GEN.10.30	Joctán fue el padre de Almodad, Sélef, Jazar Mávet, Yeraj, Hadorán, Uzal, Diclá, Obal, Abimael, Sabá, Ofir, Javilá y Jobab.
GEN.10.26+GEN.10.27+GEN.10.28+GEN.10.29+GEN.10.30	Todos estos fueron los descendientes de Joctán, quienes ocuparon la región que va desde Mesá hasta Sefar, es decir, la región montañosa que queda al oriente.
