GEN.1.1	En el principio creó Dios los cielos y la tierra. 
GEN.5.25	Vivió Matusalén ciento ochenta y siete años, y engendró a Lamec. 
GEN.5.26	Y vivió Matusalén, después que engendró a Lamec, setecientos ochenta y dos años, y engendró hijos e hijas. 
GEN.5.27	Fueron, pues, todos los días de Matusalén novecientos sesenta y nueve años; y murió.
GEN.5.28	Vivió Lamec ciento ochenta y dos años, y engendró un hijo; 
GEN.5.29	y llamó su nombre Noé,
GEN.5.30	Y vivió Lamec, después que engendró a Noé, quinientos noventa y cinco años, y engendró hijos e hijas. 
GEN.5.31	Y fueron todos los días de Lamec setecientos setenta y siete años; y murió.
GEN.5.32	Y siendo Noé de quinientos años, engendró a Sem, a Cam y a Jafet.
GEN.6.1	Aconteció que cuando comenzaron los hombres a multiplicarse sobre la faz de la tierra, y les nacieron hijas, 
GEN.6.2	que viendo los hijos de Dios que las hijas de los hombres eran hermosas, tomaron para sí mujeres, escogiendo entre todas. 
GEN.6.3	Y dijo Jehová: No contenderá mi espíritu con el hombre para siempre, porque ciertamente él es carne; mas serán sus días ciento veinte años. 
GEN.6.4	Había gigantes en la tierra en aquellos días,
GEN.6.5	Y vio Jehová que la maldad de los hombres era mucha en la tierra, y que todo designio de los pensamientos del corazón de ellos era de continuo solamente el mal. 
GEN.6.6	Y se arrepintió Jehová de haber hecho hombre en la tierra, y le dolió en su corazón. 
GEN.6.7	Y dijo Jehová: Raeré de sobre la faz de la tierra a los hombres que he creado, desde el hombre hasta la bestia, y hasta el reptil y las aves del cielo; pues me arrepiento de haberlos hecho. 
GEN.6.8	Pero Noé halló gracia ante los ojos de Jehová.
GEN.6.9	Éstas son las generaciones de Noé: Noé, varón justo,
GEN.6.10	Y engendró Noé tres hijos: a Sem, a Cam y a Jafet. 
GEN.6.11	Y se corrompió la tierra delante de Dios, y estaba la tierra llena de violencia. 
GEN.6.12	Y miró Dios la tierra, y he aquí que estaba corrompida; porque toda carne había corrompido su camino sobre la tierra. 
GEN.6.13	Dijo, pues, Dios a Noé: He decidido el fin de todo ser, porque la tierra está llena de violencia a causa de ellos; y he aquí que yo los destruiré con la tierra. 
GEN.6.14	Hazte un arca de madera de gofer; harás aposentos en el arca, y la calafatearás con brea por dentro y por fuera. 
GEN.6.15	Y de esta manera la harás: de trescientos codos la longitud del arca, de cincuenta codos su anchura, y de treinta codos su altura. 
GEN.6.16	Una ventana harás al arca, y la acabarás a un codo de elevación por la parte de arriba; y pondrás la puerta del arca a su lado; y le harás piso bajo, segundo y tercero. 
GEN.6.17	Y he aquí que yo traigo un diluvio de aguas sobre la tierra, para destruir toda carne en que haya espíritu de vida debajo del cielo; todo lo que hay en la tierra morirá. 
GEN.6.18	Mas estableceré mi pacto contigo, y entrarás en el arca tú, tus hijos, tu mujer, y las mujeres de tus hijos contigo. 
GEN.6.19	Y de todo lo que vive, de toda carne, dos de cada especie meterás en el arca, para que tengan vida contigo; macho y hembra serán. 
GEN.6.20	De las aves según su especie, y de las bestias según su especie, de todo reptil de la tierra según su especie, dos de cada especie entrarán contigo, para que tengan vida. 
GEN.6.21	Y toma contigo de todo alimento que se come, y almacénalo, y servirá de sustento para ti y para ellos. 
GEN.6.22	Y lo hizo así Noé;
GEN.7.1	Dijo luego Jehová a Noé: Entra tú y toda tu casa en el arca; porque a ti he visto justo delante de mí en esta generación. 
GEN.7.2	De todo animal limpio tomarás siete parejas, macho y su hembra; mas de los animales que no son limpios, una pareja, el macho y su hembra. 
GEN.7.3	También de las aves de los cielos, siete parejas, macho y hembra, para conservar viva la especie sobre la faz de la tierra. 
GEN.7.4	Porque pasados aún siete días, yo haré llover sobre la tierra cuarenta días y cuarenta noches; y raeré de sobre la faz de la tierra a todo ser viviente que hice. 
GEN.7.5	E hizo Noé conforme a todo lo que le mandó Jehová.
GEN.7.6	Era Noé de seiscientos años cuando el diluvio de las aguas vino sobre la tierra. 
GEN.7.7	Y por causa de las aguas del diluvio entró Noé al arca,
GEN.7.8	De los animales limpios, y de los animales que no eran limpios, y de las aves, y de todo lo que se arrastra sobre la tierra, 
GEN.7.9	de dos en dos entraron con Noé en el arca; macho y hembra, como mandó Dios a Noé. 
GEN.7.10	Y sucedió que al séptimo día las aguas del diluvio vinieron sobre la tierra.
GEN.7.11	El año seiscientos de la vida de Noé, en el mes segundo, a los diecisiete días del mes, aquel día fueron rotas todas las fuentes del grande abismo, y las cataratas de los cielos fueron abiertas,
GEN.7.12	y hubo lluvia sobre la tierra cuarenta días y cuarenta noches. 
GEN.7.13	En este mismo día entraron Noé, y Sem, Cam y Jafet hijos de Noé, la mujer de Noé, y las tres mujeres de sus hijos, con él en el arca; 
GEN.7.14	ellos, y todos los animales silvestres según sus especies, y todos los animales domesticados según sus especies, y todo reptil que se arrastra sobre la tierra según su especie, y toda ave según su especie, y todo pájaro de toda especie. 
GEN.7.15	Vinieron, pues, con Noé al arca, de dos en dos de toda carne en que había espíritu de vida. 
GEN.7.16	Y los que vinieron, macho y hembra de toda carne vinieron, como le había mandado Dios; y Jehová le cerró la puerta.
GEN.7.17	Y fue el diluvio cuarenta días sobre la tierra; y las aguas crecieron, y alzaron el arca, y se elevó sobre la tierra. 
GEN.7.18	Y subieron las aguas y crecieron en gran manera sobre la tierra; y flotaba el arca sobre la superficie de las aguas. 
GEN.7.19	Y las aguas subieron mucho sobre la tierra; y todos los montes altos que había debajo de todos los cielos, fueron cubiertos. 
GEN.7.20	Quince codos más alto subieron las aguas, después que fueron cubiertos los montes. 
GEN.7.21	Y murió toda carne que se mueve sobre la tierra, así de aves como de ganado y de bestias, y de todo reptil que se arrastra sobre la tierra, y todo hombre. 
GEN.7.22	Todo lo que tenía aliento de espíritu de vida en sus narices, todo lo que había en la tierra, murió. 
GEN.7.23	Así fue destruido todo ser que vivía sobre la faz de la tierra, desde el hombre hasta la bestia, los reptiles, y las aves del cielo; y fueron raídos de la tierra, y quedó solamente Noé, y los que con él estaban en el arca. 
GEN.7.24	Y prevalecieron las aguas sobre la tierra ciento cincuenta días.
GEN.8.1	Y se acordó Dios de Noé, y de todos los animales, y de todas las bestias que estaban con él en el arca; e hizo pasar Dios un viento sobre la tierra, y disminuyeron las aguas. 
GEN.8.2	Y se cerraron las fuentes del abismo y las cataratas de los cielos; y la lluvia de los cielos fue detenida. 
GEN.8.3	Y las aguas decrecían gradualmente de sobre la tierra; y se retiraron las aguas al cabo de ciento cincuenta días. 
GEN.8.4	Y reposó el arca en el mes séptimo, a los diecisiete días del mes, sobre los montes de Ararat. 
GEN.8.5	Y las aguas fueron decreciendo hasta el mes décimo; en el décimo, al primero del mes, se descubrieron las cimas de los montes.
GEN.8.6	Sucedió que al cabo de cuarenta días abrió Noé la ventana del arca que había hecho, 
GEN.8.7	y envió un cuervo, el cual salió, y estuvo yendo y volviendo hasta que las aguas se secaron sobre la tierra. 
GEN.8.8	Envió también de sí una paloma, para ver si las aguas se habían retirado de sobre la faz de la tierra. 
GEN.8.9	Y no halló la paloma donde sentar la planta de su pie, y volvió a él al arca, porque las aguas estaban aún sobre la faz de toda la tierra. Entonces él extendió su mano, y tomándola, la hizo entrar consigo en el arca. 
GEN.8.10	Esperó aún otros siete días, y volvió a enviar la paloma fuera del arca. 
GEN.8.11	Y la paloma volvió a él a la hora de la tarde; y he aquí que traía una hoja de olivo en el pico; y entendió Noé que las aguas se habían retirado de sobre la tierra. 
GEN.8.12	Y esperó aún otros siete días, y envió la paloma, la cual no volvió ya más a él.
GEN.8.13	Y sucedió que en el año seiscientos uno de Noé, en el mes primero, el día primero del mes, las aguas se secaron sobre la tierra; y quitó Noé la cubierta del arca, y miró, y he aquí que la faz de la tierra estaba seca. 
GEN.8.14	Y en el mes segundo, a los veintisiete días del mes, se secó la tierra.
GEN.8.15	Entonces habló Dios a Noé, diciendo: 
GEN.8.16	Sal del arca tú, y tu mujer, y tus hijos, y las mujeres de tus hijos contigo. 
GEN.8.17	Todos los animales que están contigo de toda carne, de aves y de bestias y de todo reptil que se arrastra sobre la tierra, sacarás contigo; y vayan por la tierra, y fructifiquen y multiplíquense sobre la tierra. 
GEN.8.18	Entonces salió Noé, y sus hijos, su mujer, y las mujeres de sus hijos con él. 
GEN.8.19	Todos los animales, y todo reptil y toda ave, todo lo que se mueve sobre la tierra según sus especies, salieron del arca.
GEN.8.20	Y edificó Noé un altar a Jehová, y tomó de todo animal limpio y de toda ave limpia, y ofreció holocausto en el altar. 
GEN.8.21	Y percibió Jehová olor grato; y dijo Jehová en su corazón: No volveré más a maldecir la tierra por causa del hombre; porque el intento del corazón del hombre es malo desde su juventud; ni volveré más a destruir todo ser viviente, como he hecho. 
GEN.8.22	Mientras la tierra permanezca, no cesarán la sementera y la siega, el frío y el calor, el verano y el invierno, y el día y la noche.
GEN.9.1	Bendijo Dios a Noé y a sus hijos, y les dijo: Fructificad y multiplicaos, y llenad la tierra.
GEN.9.2	El temor y el miedo de vosotros estarán sobre todo animal de la tierra, y sobre toda ave de los cielos, en todo lo que se mueva sobre la tierra, y en todos los peces del mar; en vuestra mano son entregados. 
GEN.9.3	Todo lo que se mueve y vive, os será para mantenimiento: así como las legumbres y plantas verdes, os lo he dado todo. 
GEN.9.4	Pero carne con su vida, que es su sangre, no comeréis.
GEN.9.5	Porque ciertamente demandaré la sangre de vuestras vidas; de mano de todo animal la demandaré, y de mano del hombre; de mano del varón su hermano demandaré la vida del hombre. 
GEN.9.6	El que derramare sangre de hombre,
GEN.9.7	Mas vosotros fructificad y multiplicaos;
GEN.9.8	Y habló Dios a Noé y a sus hijos con él, diciendo: 
GEN.9.9	He aquí que yo establezco mi pacto con vosotros, y con vuestros descendientes después de vosotros; 
GEN.9.10	y con todo ser viviente que está con vosotros; aves, animales y toda bestia de la tierra que está con vosotros, desde todos los que salieron del arca hasta todo animal de la tierra. 
GEN.9.11	Estableceré mi pacto con vosotros, y no exterminaré ya más toda carne con aguas de diluvio, ni habrá más diluvio para destruir la tierra. 
GEN.9.12	Y dijo Dios: Ésta es la señal del pacto que yo establezco entre mí y vosotros y todo ser viviente que está con vosotros, por siglos perpetuos: 
GEN.9.13	Mi arco he puesto en las nubes, el cual será por señal del pacto entre mí y la tierra. 
GEN.9.14	Y sucederá que cuando haga venir nubes sobre la tierra, se dejará ver entonces mi arco en las nubes. 
GEN.9.15	Y me acordaré del pacto mío, que hay entre mí y vosotros y todo ser viviente de toda carne; y no habrá más diluvio de aguas para destruir toda carne. 
GEN.9.16	Estará el arco en las nubes, y lo veré, y me acordaré del pacto perpetuo entre Dios y todo ser viviente, con toda carne que hay sobre la tierra. 
GEN.9.17	Dijo, pues, Dios a Noé: Ésta es la señal del pacto que he establecido entre mí y toda carne que está sobre la tierra.
GEN.9.18	Y los hijos de Noé que salieron del arca fueron Sem, Cam y Jafet; y Cam es el padre de Canaán. 
GEN.9.19	Estos tres son los hijos de Noé, y de ellos fue llena toda la tierra. 
GEN.9.20	Después comenzó Noé a labrar la tierra, y plantó una viña; 
GEN.9.21	y bebió del vino, y se embriagó, y estaba descubierto en medio de su tienda. 
GEN.9.22	Y Cam, padre de Canaán, vio la desnudez de su padre, y lo dijo a sus dos hermanos que estaban afuera. 
GEN.9.23	Entonces Sem y Jafet tomaron la ropa, y la pusieron sobre sus propios hombros, y andando hacia atrás, cubrieron la desnudez de su padre, teniendo vueltos sus rostros, y así no vieron la desnudez de su padre. 
GEN.9.24	Y despertó Noé de su embriaguez, y supo lo que le había hecho su hijo más joven, 
GEN.9.25	y dijo:
GEN.9.25	Maldito sea Canaán;
GEN.9.25	Siervo de siervos será a sus hermanos.
GEN.9.26	Dijo más:
GEN.9.26	Bendito por Jehová mi Dios sea Sem,
GEN.9.26	Y sea Canaán su siervo.
GEN.9.27	Engrandezca Dios a Jafet,
GEN.9.27	Y habite en las tiendas de Sem,
GEN.9.27	Y sea Canaán su siervo.
GEN.9.28	Y vivió Noé después del diluvio trescientos cincuenta años. 
GEN.9.29	Y fueron todos los días de Noé novecientos cincuenta años; y murió.
GEN.10.1	Éstas son las generaciones de los hijos de Noé: Sem, Cam y Jafet, a quienes nacieron hijos después del diluvio. 
GEN.10.2	Los hijos de Jafet: Gomer, Magog, Madai, Javán, Tubal, Mesec y Tiras. 
GEN.10.3	Los hijos de Gomer: Askenaz, Rifat y Togarma. 
GEN.10.4	Los hijos de Javán: Elisa, Tarsis, Quitim y Dodanim. 
GEN.10.5	De éstos se poblaron las costas, cada cual según su lengua, conforme a sus familias en sus naciones.
GEN.10.6	Los hijos de Cam: Cus, Mizraim, Fut y Canaán. 
GEN.10.7	Y los hijos de Cus: Seba, Havila, Sabta, Raama y Sabteca. Y los hijos de Raama: Seba y Dedán. 
GEN.10.8	Y Cus engendró a Nimrod, quien llegó a ser el primer poderoso en la tierra. 
GEN.10.9	Éste fue vigoroso cazador delante de Jehová; por lo cual se dice: Así como Nimrod, vigoroso cazador delante de Jehová. 
GEN.10.10	Y fue el comienzo de su reino Babel, Erec, Acad y Calne, en la tierra de Sinar. 
GEN.10.11	De esta tierra salió para Asiria, y edificó Nínive, Rehobot, Cala, 
GEN.10.12	y Resén entre Nínive y Cala, la cual es ciudad grande. 
GEN.10.13	Mizraim engendró a Ludim, a Anamim, a Lehabim, a Naftuhim, 
GEN.10.14	a Patrusim, a Casluhim, de donde salieron los filisteos, y a Caftorim.
GEN.10.15	Y Canaán engendró a Sidón su primogénito, a Het, 
GEN.10.16	al jebuseo, al amorreo, al gergeseo, 
