GEN.1.1	Adikeh la Tsingrangbanü ninglih thricho. 
GEN.3.14	Achotsü 
GEN.3.15	 Ihnü khingkutpü nühjü arorüh kangsohnung; abi za ko nü za lede arorüh thsanung. Abi zanü nü thah jürüpnung ko nühnü arüh thsühza la mükyühnung.”
GEN.3.16	Ko Abinü khingkutpü te yocho, “Ihnü nüfü müdengde athsangthsi alaa ko azarü surode adhsa alaa kangsohnung. Hita nye nühnü nü nii alaa mükhyahnung ko nüh abi dikehrü thsanung.”
GEN.3.17	 Ko Abinü adhreba te yocho, “Nühnü nü nitpü yu nyi Ihnü tütsucho singsih tsü tsuko. Nü thsacholanü alih chokehcholare. Nü kang ayung kheseh nguchipü du atsunung ngunung. 
GEN.3.18	Hütsüla za ko zeng chinung ko nühnü rangmü lanü singvarova tsunung. 
GEN.3.19	Khüi alihnü nüh külüpcho nüh thali hütsü mükangde nü romih lanü shikih threh nguchipü du atsunung ngunung. Nüh alihnü külüpcho, nüh thali alih kangnung.”
GEN.3.20	Adamnü anitpü neng Eve dsicho, tunüo abükyü tsü amüi tsurü apüm atpa. 
GEN.3.21	Ko 
GEN.3.22	 Hütsüpü 
GEN.3.23	Hütsünü 
GEN.3.24	Hütsüpü Eden tbü nyüchüro lahpi akang singdong shündhün mürosoh nyahnung shulüm Cherubim ko apümlang ximülachehba ariri nohsheng khüdu yohpücho.
GEN.4.1	Hütsüpü Adamnü anitpü Eve te mükhongcho ko abükyü afü müdeng kangcho. Abükyünü azarü khüdu nümüsucho ko yocho, “
GEN.4.2	Akhanglang abükyünü adhrerü khüdu, Abel nümüsucho. Abel san nyahrü kangcho, ta Kain luthsarü kangcho. 
GEN.4.3	Azachah lipü, Kain-nü anguchicho lanü khürü hiro 
GEN.4.4	 Achotsü Abelnü abi san yola akhu mütrücho khüdu hiro müpsehcho, ko shuh atsauba tsü amübü jücho. 
GEN.4.5	ta Kain ko abi amübü mükhyüchocho. Hütsünü Kain rihlong chürocho ko aromih dhrüdhrücho. 
GEN.4.6	Achotsü 
GEN.4.7	Nühnü athsalang tsü nguchirelang nüh münyübae. Ta nühnü mütsa nguchichonü, amünyi tsü nü trahtri la jole. Abinü nüh kohnyüre, ta nühnü hütsü kohchehbae.”
GEN.4.8	 Hütsüde Kain-nü ani Abel te yocho, “Ihsanü luh lang wonung.” Ko khode anyüh luh chihcho, Kain-nü ani Abel nyüm shemüsu abi müpsehcho.
GEN.4.9	Abinü lalingcho, “Ihnü mümüdhe. Ih Ini nyahrü do?”
GEN.4.10	 Achotsü 
GEN.4.11	Nüh chokehcholako ko adelü nühnü luh müthsanung. Nühnü abi müpsehde alihnü abe kapü nüni shüh tsü müthsüko. 
GEN.4.12	Nühnü luthsa nye alihnü tusü müchührojünung; nüh limih la atsikehchah müliba atsichirü thsanung.”
GEN.4.13	Ko Kain-nü 
GEN.4.14	Nühnü alih lanü ko nü tenü Ih iipehre. Ih limih la atsikehchah müliba atsichirü, ko sünü Ih ngunang Ih müpsehnung.”
GEN.4.15	Ta 
GEN.4.16	Ko Kain-nü 
GEN.4.17	Kain ko anitpü nyüh azarü khüdu nümüsucho ko aneng Enok dsijücho. Hütsüpü Kain-nü yangdi khüdu thricho ko atsurü nengla hütsü “Enok” pü dsicho. 
GEN.4.18	Enok tsurü Erad ko abi Mehujal au, ko Mehujal tsurü Methushal ko abi Lamek au licho. 
GEN.4.19	Lamek anitpü anyüh licho, Ada ko Zilla. 
GEN.4.20	Adanü Jabal nümüsucho, abi tsü shükuh la li kanglungrü kangrü jümürü kangcho. 
GEN.4.21	Ani Jubal licho, abi tbenglah ko honglilah khithsarü jümürü kangcho. 
GEN.4.22	Zillanü Tubal Kain nümüsucho, abinü imüyeng ko idhsenü thsunohrü kengcho. Tubal Kain nitpü khingkurü Nama licho.
GEN.4.23	Lameknü anitpü nyüh te yocho,
GEN.4.23	“Ada ko Zilla, I yu nyieng:
GEN.4.23	I chah thsakehjüchonü Ihnü dhrezarü khüdu müpsehko.
GEN.4.24	 Kain müpsehcho ngang akang dhünyeh khang-khang,
GEN.4.24	Khürünü Ih müpsehkhang,
GEN.4.24	akang nyührepü dhünyeh khangnung.”
GEN.4.25	Adam e anitpü nyüh azarü apa khüdu nümüsucho. Abükyünü yocho, “Kain-nü müpsehba Abel mülihnung Tsingrangbanü I khyang azarü khüdu jüko.” Hütsünü abi neng Seth dsijücho. 
GEN.4.26	Seth chahnü atsurü khüdu Enosh licho. Hütsütinü nyitsarünü 
GEN.5.1	Adam chahnü trahchocho chung tsü hiroh-i licho. Tsingrangbanü nyitsarü thride apu kyocho la thricho. 
GEN.5.2	Abinü arüh khingkurü ko adhrerü külüpcho, arüh müwajücho ko arüh te “Amüi tsurü” pü dsicho. 
GEN.5.3	Adam kang 130 thsade, apu kyo azarü khüdu licho ko abinü aneng Seth dsicho. 
GEN.5.4	Hütsüpü Adam kang 800 alaa licho. 
GEN.5.5	Abi tsurü apasü licho ko abi kang 930 thsade sücho.
GEN.5.6	Seth kang 105 thsade, abi tsurü Enosh licho, 
GEN.5.7	hütsüpü kang 807 alaa licho. 
GEN.5.8	Abi tsurü apasü licho ko kang 912 thsade sücho.
GEN.5.9	Enosh kang 90 thsade, atsurü Kenan licho, 
GEN.5.10	hütsüpü kang 815 alaa licho. 
GEN.5.11	Abi atsurü apasü licho ko kang 905 thsade abi sücho.
GEN.5.12	Kenan kang 70 thsade, atsurü Mahalalel licho, 
GEN.5.13	hütsüpü kang 840 alaa licho. 
GEN.5.14	Abi atsurü apasü licho ko kang 910 thsade abi sücho.
GEN.5.15	Mahalalel kang 65 thsade, atsurü Jared licho, 
GEN.5.16	hütsüpü kang 830 alaa licho. 
GEN.5.17	Abi atsurü apasü licho ko kang 895 thsade abi sücho.
GEN.5.18	Jared kang 162 thsade, atsurü Enok licho, 
GEN.5.19	hütsüpü kang 800 alaa licho. 
GEN.5.20	Abi atsurü apasü licho ko kang 962 thsade abi sücho.
GEN.5.21	Enok kang 65 thsade, atsurü Methusela licho. 
GEN.5.22	Hütsüpü Enok Tsingrangba te kang 300 tsehpü atsurü apasü licho. 
GEN.5.23	Abi kang 365 licho. 
GEN.5.24	Abi Tsingrangba te tsehcho hütsüpü chahpehcho, tunüo Tsingrangbanü abi notsicho. 
GEN.5.25	Methusela kang 187 thsade, atsurü Lamek licho, 
GEN.5.26	hütsüpü kang 782 alaa licho. 
GEN.5.27	Abi atsurü apasü licho ko kang 969 thsade abi sücho.
GEN.5.28	Lamek kang 182 thsade, atsurü khüdu licho, 
GEN.5.29	ko yocho, “
GEN.5.30	Lamek kang 595 alaa licho. 
GEN.5.31	Abi atsurü apasü licho ko kang 777 thsade abi sücho.
GEN.5.32	Noa kang 500 thsapü khanglang atsurü asang Shem, Ham ko Jafet licho.
GEN.6.1	 Khode amüi tsurü lihküp jeng suhchehcho ko khingkurüzarü nümüsucho, 
GEN.6.2	ninglangrünü nyitsarü tsularüti tsü tsa ngucho, achotsü arühnü arüh müru khyücho. 
GEN.6.3	Hütsüde 
GEN.6.4	Hütsüri nyümong la ko akhanglang mii ninglangrü ko limih khingkurüti chahnü trahchocho akurongrü (Nifilim) licho. Papade arüh akurahrü ko anengkhong licho. 
GEN.6.6	abinü arüh külüp limih la yohpücho wah lümcho. 
GEN.6.7	Abinü dira wah lümchonü yocho, “Ihnü thricho nyitsarü hiri ko kanglungrü ko uzatisü, Ihnü wohpehnung, tunüo Ihnü arüh külüpcho dee wah lümre.” 
GEN.6.8	Ta Noa telü 
GEN.6.9	Noa yukheh tsü hiroh-i lile. Abi tsurü Shem, Ham ko Jafet arüh asang licho. 
GEN.6.10	Noa amüsarü thsacho ko abi chichah nyitsarü atsalü abi du licho. Noanü Tsingrangba te tsehcho, 
GEN.6.11	ta aparü atümung Tsingrangba jingte amünyi licho ko apümlang shühkhatohnü jeng licho. 
GEN.6.12	Tsingrangbanü alimih chah dhengcho ko amünyi du ngucho, tunüo nyitsarü apüm amünyi la akang licho.
GEN.6.13	Tsingrangbanü Noa te yocho, “Ihnü amüi tsurü apüm changsohnung dhrongchehko. Ihnü arüh riri changsohnung, tunüo limih tsü arüh shühkhatoh nguchinü jengko. 
GEN.6.14	Nühnü nüpu nengdang cypres singzinü Singkong khüdu külüpm; ayonglang achongnah yohng ko amilang ko ayonglang amünatisingnü münating. 
GEN.6.15	Hütsü ashenglang khehap 300, adilang khehap 50, ko athsenglang khehap khehap 30 külüpm. 
GEN.6.16	Singkong nengdang kuhmung külüpm ko kumunge züdi nyüh kahla tsü kuthrung 18 vieng. Achung asang külüpm ko nangolang trahtri vieng. 
GEN.6.17	Ihnü limih la akang liba lüpcho changsohnung kihmülüm müthehnung. 
GEN.6.18	Limih la lüpcho sünung, ta Ihnü nü telü azengtaba khüdu külüpnung. Singkong la tsü nüh, nü nitpü, nü tsurüti ko arüh nitpürü nüpü züdung. 
GEN.6.19+GEN.6.20	Arüh müchangsohnung nü yola singkong la tsü kanglungrü ahung apüm ko uza ahung apüm lanü, atrüh apung khüdu-khüdu nüng. 
GEN.6.21	Nührü ko kanglungrü shulüm tsuyongnung adhangpi kükyo hieng.” 
GEN.6.22	Noanü Tsingrangbanü mülacho lüpcho nguchicho. 
GEN.7.2	Amüsa kanglungrü apüm ahung müipi lanü dhrela dhünyühnyeh, ta amümüsa kanglungrü lü ahung müipi lanü dhrela khüdu-khüdu du nüyola nüng. 
GEN.7.3	Uzasü ahung papa lanü dhrela dhünyühnyeh nüng. Limih la thali kanglungrü ko uza ahung papa suhchehnung nengdang hita nguching. 
GEN.7.4	Nyümong dhünyeh khanglang Ihnü limih la nyümong yüre ko romang yüre tsing rosohnung ko Ihnü thricho akang liba lüpcho changsohnung.” 
GEN.7.5	Ko 
GEN.7.6	Limih la kihmülüm rode Noa kang thsih dhüroh azirü licho. 
GEN.7.7	 Abi ko anitpü, atsurüti ko arüh nitpürüti kihmülüm lanü tsiphunung singkong la tsü züducho. 
GEN.7.8	Kanglungrü ko uza amüsa nye amümüsa nye ahung apüm lanü atrüh khüdu ko apung khüdu, 
GEN.7.9	Tsingrangbanü mülacho roh-i Noa te singkong la tsü züducho. 
GEN.7.10	Nyümong dhünyeh lipü kihmülüm tsü rocho.
GEN.7.11	 Noa kang thsih dhüroh azirü thsade, choo anyüu la nyümong dhüre-dhünyeh nyümong, alih yonglang kihna kihsi apüm tsohphohcho, ninglang kihmülüm trahtri apüm khangthrucho, 
GEN.7.12	ko limih la nyümong yüre ko romang yüre tsing rocho. 
GEN.7.13	Hütsü nyümong tsü Noa ko anitpü nyüh, arüh tsurü asang Shem, Ham ko Jafet ko arüh nitpürü nüpü singkong la tsü züducho. 
GEN.7.14	Arüh yola kanglungrü ahung apüm, kuhla kangba ko rangmüla liba, azikyah ko amülah ko uza ahung apüm züducho. 
GEN.7.15	Ko Tsingrangbanü mülacho kyo, akang liba apüm lanü atrüh khüdu ko apung khüdu singkong la tsü züducho. 
GEN.7.16	Hütsüpü Noa khanglang 
GEN.7.17	Nyümong yüre mütozah kihmülüm tsü limih la rocho ko kih tsü tingchonü singkong tsü alih tenü dhimüsucho. 
GEN.7.18	Kih tsü alaa ting kürochonü singkong tsü kih michah mülingkeh kürocho. 
GEN.7.19	Azongti mii tingtinung thsa kih tsü ting kürocho; 
GEN.7.20	Alaa alaa ting küronü akhang tenü khehap15 alaa tingcho. 
GEN.7.21	Limih la akang apüm, uza, kanglungrü ko nyitsarü apüm sücho. 
GEN.7.22	Limih chah asah chichiba lüpcho sücho. 
GEN.7.23	nü limih la akang liba apüm, amüi tsurü, kanglungrü ko uza apüm changsohcho. Anyingrü tsü Noa ko singkong la abi yola lirüti du thsacho. 
GEN.7.24	Kihmülüm tsü nyümong thsihpü dhünyang yingcheh münyehcho.
GEN.8.1	Tsingrangbanü Noa ko singkong la abi te kanglungrü apüm münbüchücho; Abinü nyübong khüdu chüro füsohcho ko kih tsü nyehnung dikehcho. 
GEN.8.2	Alih yonglang kihnatung ko ning chah kihmülüm trahtri khangticho. 
GEN.8.3	Tsing zahcho ko nyümong thsih khüdu-pü dhünyang la kih tsü nyehcho. 
GEN.8.4	Choo dhünyeh la nyümong dhüre-dhünyeh-u nyümong singkong tsü Ararat zong chah nyehkehcho. 
GEN.8.5	Kih tsü mütozah nyehcho, ko choo dhüre la akhudiba nyümong akhang amüjohti ngucho.
GEN.8.6	Nyümong yüre khanglang Noanü nyübongkhi khüdu khangthrucho 
GEN.8.7	ko khüyahla khüdu müthehcho. Ta kih tsü mükung yingcheh, abinü müthalipü mongchi rachicho. 
GEN.8.8	Hütsüde Noanü kih tsü münyehnang müdhenung mümüdhrü khüdu müthehcho, 
GEN.8.9	ta alih tsü kihnü tingti lichonü mümüdhrü tsü amongkehnung müngucho. Abinü singkong lang thali mong wücho ko Noanü akheh tohchehchü nüyohcho. 
GEN.8.10	Adesü abinü nyümong dhünyeh lipü thali mümüdhrü tsü müthehcho. 
GEN.8.11	Anyüzehlang abinü aha la olive va axeng sho bipü thali rocho. Hütsü khu Noanü kih tsü kungko pü müdhecho. 
GEN.8.12	Adesü nyümong dhünyeh lipü mümüdhrü tsü thali müthehcho; ko adelü thali mürocho.
GEN.8.13	Noa kang 601 azirü thsade, akhudiba choo la akhudiba nyümong, kih tsü nyehcho. Noanü singkong lüpticho tsü khangthru dhengcho, ko alih kungpü ngucho. 
GEN.8.14	Choo anyüu la nyümong mükyüpü dhünyeh-u nyümong limih tsü kungchehpü licho.
GEN.8.15	Tsingrangbanü Noa te yocho, 
GEN.8.16	“Nüh, nü nitpü, nü tsurüti ko arüh nitpürüti singkong lanü chüdung. 
GEN.8.17	Ko limih jeng suhchehnung uza ko kanglungrü apüm müthehchüng.” 
GEN.8.18	Achotsü Noa, anitpü, atsurüti ko arüh nitpürüti nüpü singkong lanü chüducho. 
GEN.8.19	Kanglungrü ko uza apüm palu palu hung singkong la tsünü chürocho.
GEN.8.20	Noanü 
GEN.8.21	Kangmübü axümlichi tsünü 
GEN.8.22	Limih müchangkade khyümnung ko xanung, arüh ko adhsa, tsingkang ko müyü, anyümong ko aromang khodesü müchangkapü linung.”
GEN.9.1	 Tsingrangbanü Noa ko atsurüti müwajüpü arüh te yocho, “Suhchehng ko limih jeng lieng. 
GEN.9.2	Kanglungrü, uza ko ngu apümnü nührü dro linung. Arüh apüm nü tase pohki linung. 
GEN.9.3	Nührünü arüh tsunung kohle, ko singvarova sü tsung; Ihnü hiri apüm nührü khyang atsunung jüre. 
GEN.9.4	 Ta nührünü akang shuh shüh zeh tütsu; Ihnü hi yatire, tunüo akang tsü ashüh la zehle. 
GEN.9.5	Khürünü nyitsarü akang khyükhang, abi khingchinung. Kanglungrü khürünü nyitsarü akang khyükhang hütsü süsohnung. 
GEN.9.6	 Sünü nyitsarü müpsehnang nyitsarünü abi müpsehsohnung; tunüo nyitsarü tsü Tsingrangba kyocho la thricho.
GEN.9.7	 “Nührü adrong suhchehnung, ko nührü trahvati alimih jeng linung.”
GEN.9.8	Tsingrangbanü Noa ko atsurüti te yocho, 
GEN.9.9	“Ihnü ade nü te, nü chahnü trahchochoti te, 
GEN.9.10	ko akang apüm, kanglungrü apüm, uza apüm nü yola singkong lanü chürorü apüm te azengtaba hi külüpre. 
GEN.9.11	Nü te azengtaba yu hinü külüpre: Adelü khodesü akang liba apüm kihmülümnü müchangjünung; ko khodesü kihmülümnü limih müchangjünung Ihnü nyengchore. 
GEN.9.12	Nü te ko akang liba apüm te müchangkaba azengtaba külüpcho amüdhethsa hi linung, 
GEN.9.13	Ihnü nyükhi la I singthsalu yohpüre. Hiba hi limih te Ih azengtaba amüdhethsa linung. 
GEN.9.14	Khodederü ning tsü Ihnü nyükhinü shütisohnang, ko mürükengkeng chürosohnang, 
GEN.9.15	Ihnü nü te ko kanglungrü apüm te adelü khodesü kihmülümnü müchangsohnung nyengchocho Ihnü lümchehnung. 
GEN.9.16	Khode nyükhi la mürükengkeng chüronang, Ihnü hütsü ngunung ko Ih ko akang liba apüm te müchangkaba azengtaba lümchehnung. 
GEN.9.17	Akang liba apüm te nyengchoba amüdhethsa tsü hütsü linung.”
GEN.9.18	Singkong lanü chüroba Noa tsurüti tsü Shem, Ham ko Jafet. Ham tsü Kanan au thsacho. 
GEN.9.19	Noa tsurü arüh asang tsü limih chah nyitsarü apüm jümürü lile.
GEN.9.20	Noa tsü luthsarü licho ko akhudiba shükusiluh khyümba tsü abi thsacho. 
GEN.9.21	Abinü yongkha yongcho ko müchapü atbhüdeng abi shükuh la yüpjocho. 
GEN.9.22	Kanan au Hamnü au tbhüdeng liba tsü ngu wünü amunge ani nyüh te yocho. 
GEN.9.23	Achotsü Shem e Jafet nyünü shü khüdu khyo khang chah thakeh bipü, au tbhüdeng liba tsü müngunung nengdang khanglangnü wünü au chah phakehjücho. 
GEN.9.24	Khode Noa müdsacho ko atsurü achangbanü abi chah tu nguchicho hütsü müdhecho, 
GEN.9.25	abinü yocho,
GEN.9.25	“Kanan chah chokehchola küdung!
GEN.9.25	Abi ajünirüti yurü kangnung.
GEN.9.26	Kanan tsü Shem yurü kangnung.
GEN.9.27	Tsingrangbanü Jafet disohng!
GEN.9.27	Abi chahnü trahchochoti Shem nyitsarü yola lisohng!
GEN.9.27	Kanan tsü Jafet yurü kangnung.”
GEN.9.28	Kihmülüm khanglang Noa kang 350 alaa licho 
GEN.9.29	ko kang 950 thsade abi sücho.
GEN.10.1	Noa tsurüti Shem, Ham ko Jafet chahnü trahchochoti hiri licho. Kihmülüm khanglang hiri asang chahnü tsuzarü thsacho.
GEN.10.2	Jafet tsurüti: Gomer, Magog, Madai, Javan, Tubal, Meshek ko Tiras. 
GEN.10.3	Gomer tsurüti: Ashkenaz, Rifat ko Togarma. 
GEN.10.4	Javan tsurüti: Elisha, Spain, Cyprus ko Rhodes, 
GEN.10.5	arüh tsü kihjüp lirü ko mütro la lirüti jümürü thsacho. Jafet chahnü trahchochoti tsü limih yucho papa la palu palu yu chonü licho.
GEN.10.6	Ham tsurüti: Kush, Ijip, Libya ko Kanan. 
GEN.10.7	Kush tsurüti: Seba, Havila, Sabta, Rama ko Sabteka. Rama tsurüti tsü Sheba ko Dedan. 
GEN.10.8	Kush tsurü Nimrod licho, abi limih la akhudiba athrungrü kangcho. 
GEN.10.9	 arüku khu abi shu-iirü amülah kangcho, hütsünü nyitsarünü, “
GEN.10.10	Adikeh la abi yanglih tsü Babylon, Erek ko Akkad licho, hiri asangding Babylon la lile. 
GEN.10.11	Hütsü lih lanü abinü wü Assyria la Nineve ko Kala nyüh kahla, 
GEN.10.12	Nineve, Rehoboth Ir, Kala ko Resen yangditi thricho.
GEN.10.13	Ijip chahnü trahchochoti tsü Ledia, Anam, Lehab, Naftu, 
GEN.10.14	Pathrus, Kaslu ko Kaftorim sü chahnü Filistinrü trahchocho.
GEN.10.15	Kanan tsurüti: Sidon, aziba ko Heth. 
GEN.10.16	Kanan chahnü trahchochoti tsü Jebusrü, Amor-rü, Girgashrü, 
GEN.10.17	Hivrü, Arkrü, Sinrü, 
GEN.10.18	Arvadrü, Zemar-rü ko Hamathrü. Akhanglang Kananrü hung tsü shupishuzacho. 
