MAT.1.1	Yisu †Kilisi ndê apai si ŋadênaŋ dindec. Iŋ sa akêŋ Dawid ndê, ma Dawid sa akêŋ Abraham ndê.
MAT.2.9	Lau dinaŋ sêŋgô Herod ndê yom su, ma sêsa si. Ma tata naŋ sêlic su yêc ŋac si gameŋ ac pi-ŋga, naŋ wê ŋac gi e kalhac andu naŋ balêkoc yêc, naŋ ŋahô solop. 
MAT.2.10	Ŋac sêlic tata dau dec kôm ŋac atac ŋayham atu. 
MAT.2.11	Sêsôc andu dau si, ma sêlic balêkoc lu dinda Maria. Ma sêpôŋ haduc têŋ balêkoc dau ma sêtoc iŋ sa. Goc ŋac sêkac si talhi sa, ma sêkêŋ si awalauŋ naŋ ŋaôli atu-tu têŋ iŋ kaiŋ gitôm gol, ma a ŋakwi ŋamalu ti gêŋ ŋamalu ŋayham. 
MAT.2.12	Têŋ ndoc dinaŋ Anötö kêŋ puc ŋac ŋa mbê bu sêmbu sêtêŋ Herod sêndi dom. Bocdinaŋ sêlhö sêsa seŋ daŋ dau-ŋga daŋ, ma sêmbu sêtêŋ ŋac si gameŋ si.
MAT.2.13	Têŋ têm lau tigauc dinaŋ sêhu ŋac siŋ su, Pômdau ndê aŋela daŋ suŋ mbê têŋ Josep ma sôm, “Herod kêsalê balê dau bu ndic iŋ ndu. Bocdinaŋ tisa, ma kôc balê lu dinda sa ma asip Isip andi. Ambo dinaŋ e tôm aö wakêŋ puc mac.” 
MAT.2.14	Josep ŋgô aŋela ndê yom su, goc tisa têŋ ôbwêc dinaŋ ma kôc balê lu dinda sa, ma sêsip Isip si. 
MAT.2.15	Ma ŋac sêmbo gameŋ dinaŋ, e Herod mbac ndu su. Ma ŋalêŋ dau dinaŋ dec Pômdau ndê yom naŋ propet daŋ hoc asê muŋ su, naŋ ŋandô sa. Yom dau bocdec bu:
MAT.2.15	Aö kagalêm aneŋ atuŋgac sa akêŋ gameŋ Isip-ŋga meŋ. 
MAT.2.16	Têŋ ndoc Josep kôc Maria lu Yisu sa sêsip Isip si, naŋ Herod hôŋ lau tigauc bu sêkêŋ ŋawaê têŋ iŋ pi balê dau. Magoc ŋac sêmeŋ dom, dec iŋ kêyalê bu ŋac sêŋsau iŋ, ma iŋ tac ŋandê atu. Goc kêkiŋ iŋ ndê lau siŋ-ŋga sêtêŋ Betlehem si, ma sic balêkoc ŋgac dedec hoŋ ndu yêc malac Betlehem, ma yêc gameŋ ŋamakê-ŋga whiŋ. Iŋ tap ŋawaê sa su yêc lau tigauc, pi bêc naŋ tata hôc asê ŋac-ŋga, ma bocdinaŋ ŋac sic balêkoc ŋgac dedec e gi tap ŋac naŋ si yala tilu, naŋ hoŋ ndu. 
MAT.2.17	Ma tu dinaŋ-ŋga yom naŋ propet Jeremaya to, naŋ ŋandô sa. Iŋ to yom bocdec bu:
MAT.2.18	Lau sêtaŋ daŋgibo atu yêc malac Rama.
MAT.2.19	Tiŋambu Herod mbac ndu, ma yêc Isip, Pômdau ndê aŋela hoc dau asê têŋ Josep ŋa mbê, 
MAT.2.20	ma sôm têŋ iŋ, “Tisa ma kôc balê lu dinda sa, ma ambu atêŋ gameŋ Israel-ŋga andi. Lau naŋ sêkôm bu sêndic balê dau ndu, naŋ hoŋ sêmbac ndu su.” 
MAT.2.21	Goc Josep tisa, kôc balê lu dinda sa, ma ŋac sêmbu sêtêŋ Israel si. 
MAT.2.22	Tigeŋ Josep ŋgô bu Akelaus gêm gôliŋ gameŋ Judia-ŋga ô damba Herod su, dec töc dau bu mbu têŋ gameŋ Judia-ŋga ndi. Ma Pômdau kêŋ puc iŋ ŋa mbê bu têŋ gameŋ Galili-ŋga ndi. 
MAT.2.23	Goc ŋac sêtêŋ Galili si, ma sêndöc malac daŋ ŋaê Nasaret. Ma bocdinaŋ yom naŋ propet akwa-kwa sêto muŋ su, naŋ ŋandô sa pi Yisu. Ŋac sêto yom yêc bocdec bu, “Lau oc sêsam iŋ bu ŋgac Nasaret-ŋga.”
MAT.3.1	Tiŋambu Jon, Ŋgac Kêku Lau-ŋga hôc asê gameŋ Judia-ŋga, ma gêm mêtê mbo gameŋ sawa. 
MAT.3.2	Iŋ sôm têŋ lau, “Anötö ndê gôliŋ meŋ kêpiŋ su. Bocdinaŋ anem daôm kwi ma ahu mêtê sac siŋ.” 
MAT.3.3	Gêŋ dau kêkuc yom naŋ propet Aisaya hoc asê muŋ su bocdec bu:
MAT.3.3	Ŋamalac daŋ ta yom mbo gameŋ sawa, bocdec bu, ‘Amasaŋ Pômdau ndê seŋ tisolop. Amasaŋ nem ŋalôm bu akôc iŋ sa.’ 
MAT.3.4	Jon sôc ŋakwê naŋ sêmasaŋ ŋa kamel ŋamliclhu, ma kic piŋkap yêc iŋ ŋampêbalê. Ma iŋ gêŋ gêŋ bambaliŋ gitôm wakô ma lêp.
MAT.3.5	Lau daêsam sêsa sêtêŋ Jon si. Ŋac lau akêŋ malac atu Jerusalem ma malac hoŋ yêc gameŋ Judia-ŋga, ma lau naŋ sêndöc Bu Jordan ŋamakê. 
MAT.3.6	Ŋac sêhoc si sac asê têŋ Jon, ma iŋ kêku ŋac yêc Bu Jordan. 
MAT.3.7	Ma lau †Palêsai ti lau †Sadiusi daêsam sêsa sêtêŋ gameŋ naŋ Jon kêku lau mbo, naŋ si. Têŋ ndoc Jon gêlic ŋac iŋ sôm ŋac bocdec bu, “Mac mboc ŋatui mac! Tu sake-ŋga mac alhö ameŋ? Mac akôc gauc pi Anötö ndê tac ŋandê naŋ lau propet sêkêŋ puc yac bu oc meŋ sa, dec gauc gêm bu ameŋ ma aliŋ saŋgu ŋambwa, a? 
MAT.3.8	Aŋgô! Akôm mêtê ŋayham naŋ tôc asê bu mac am daôm kwi yomandô. 
MAT.3.9	Ma asôm têŋ daôm dom bu, ‘Abraham apai yac, ma tu dinaŋ-ŋga Anötö oc kôc yac sa.’ Aö wasôm têŋ mac bu Anötö gitôm bu nem hoc hoŋ dindec kwi sêti Abraham ndê atui sêô mac. 
MAT.3.10	A hoŋ naŋ sem ŋandô ŋayham dom, naŋ kwahic dec Anötö kêŋ ki ŋamata têŋ ŋawakac, ma iŋ oc lêŋ su ma tuc pi ya ndi.
MAT.3.11	“Aö wasôm têŋ mac hoŋ bu ŋgac daŋ oc meŋ êŋkuc aö, naŋ ndê ŋaclai hôc gêlêc aneŋ su. Aö ŋgac ŋambwa, gitôm dom bu wati iŋ ndê ŋgac akiŋ tu wakeŋ iŋ ndê atapa-ŋga. Aö dec kaku mac ŋa bu ŋambwa, naŋ tôc asê bu mac am daôm kwi su. Tigeŋ iŋ ŋgac dau oc êŋku mac ŋa Ŋalau Dabuŋ ti ya. 
MAT.3.12	Iŋ meŋ bu êŋsahê lau, gitôm ŋgac naŋ whê wit ŋandô ti ŋapa kôc, goc gic ŋandô sa sôc andu gêŋ ŋandô-ŋga gi, ma tuc ŋapa sip ya naŋ sa ŋapaŋ, naŋ gi.”
MAT.3.13	Têŋ dinaŋ Yisu meŋ akêŋ gameŋ Galili-ŋga ma hôc asê Jon yêc Bu Jordan. Iŋ tac whiŋ bu Jon êŋku iŋ. 
MAT.3.14	Magoc Jon gic yao dau têŋ iŋ ma sôm, “Am bu êmku aö, oc ŋayham. Bocke dec am sôm bu aö waŋku am?” 
MAT.3.15	Tigeŋ Yisu ô Jon ndê yom ma sôm, “Am tec dom. Kwahic dec am êmku aö, bu taŋkuc lêŋ solop naŋ Anötö kêmasaŋ gwanaŋ su.” Yisu sôm su ma Jon gôlôc bu êŋku iŋ. 
MAT.3.16	Yisu gêliŋ saŋgu su ma pi akêŋ bu meŋ. Ma undambê kac sa, ma iŋ gêlic Anötö ndê Ŋalau sip meŋ gitôm balusi ma sac iŋ ŋahô. 
MAT.3.17	Ma awha daŋ sa akêŋ undambê, naŋ sôm bu, “Aö Atuŋgac atac whiŋ-ŋga dau dindec. Aö gatisambuc iŋ ŋandô.”
MAT.4.1	Tiŋambu Ŋalau Dabuŋ wê Yisu sa gameŋ sawa gi, bu †Sadaŋ êntôm iŋ. 
MAT.4.2	Yisu gêŋ gêŋ daŋ dom tôm acsalô 40 ma ôbwêc 40, ma tiŋambu gêŋ yô iŋ ŋandô. 
MAT.4.3	Ma têŋ dinaŋ Sadaŋ hôc asê iŋ ma sôm têŋ iŋ, “Am Anötö ndê Atu, a? Bocdinaŋ sôm têŋ hoc dindec bu sênem dau kwi ti gêŋ daneŋ-ŋga.” 
MAT.4.4	Magoc Yisu ô yom ma sôm, “Mba! Sêto Anötö ndê yom yêc bocdec bu, ‘
MAT.4.5	Goc Sadaŋ kôc iŋ sa pi malac dabuŋ Jerusalem gi, ma kêŋ iŋ kalhac †lôm dabuŋ ŋapoc lôlôc. 
MAT.4.6	Ma sôm têŋ iŋ, “Am Anötö ndê Atu, a? Bocdinaŋ pwê sip ndi. Am oc tisac dom, bu sêto yom yêc bocdec bu, ‘
MAT.4.7	Magoc Yisu sôm têŋ iŋ, “Mba! Sêto yom daŋ tiyham yêc bocdec bu, ‘
MAT.4.8	Goc Sadaŋ kôc iŋ sa, ma lu sêpi lôc baliŋ daŋ si. Ma gameŋ hoŋ naŋ kiŋ nom-ŋga sem gôliŋ, ma kiŋ dau si awa ti gêŋ ŋayham-ŋayham hoŋ, naŋ Sadaŋ tôc têŋ Yisu. 
MAT.4.9	Ma sôm, “Am bu pôŋ hamduc têŋ aö ma nem akiŋ aö, goc wakêŋ gêŋ hoŋ dec sip am amam.” 
MAT.4.10	Magoc Yisu sôm têŋ iŋ, “Mba, Sadaŋ! Am kôc daôm sa ndi! Sêto yom yêc bocdec bu, ‘
MAT.4.11	Têŋ dinaŋ Sadaŋ hu iŋ siŋ, ma aŋela sêmeŋ ma sem akiŋ iŋ.
MAT.4.12	Tiŋambu †Herod kêkiŋ ndê lau siŋ-ŋga si ma sêkôc Jon dôŋ, ma sêkêŋ iŋ ndöc gapocwalô. Ma têŋ ndoc Yisu ŋgô ŋawaê, goc iŋ mbu têŋ gameŋ Galili-ŋga gi. 
MAT.4.13	Iŋ gi ndöc malac Nasaret dom, magoc iŋ gi ndöc Kapenaom, malac naŋ yêc kêpiŋ Bugictoŋ Galili-ŋga. Muŋ-ŋga andô †Jakob ndê atu lu, Sebulun lu Naptali sêwêkaiŋ nom yêc gameŋ dinaŋ. 
MAT.4.14	Ŋalêŋ dinaŋ yom naŋ propet Aisaya to muŋ su, naŋ ŋandô sa. Yom dau bocdec bu:
MAT.4.15+MAT.4.16	Ŋawê atu daŋ meŋ pô lau naŋ sêndöc Sebulun lu Naptali si gameŋ naŋ yêc kêpiŋ bugictoŋ, ma yêc Bu Jordan ŋamakê. Gameŋ Galili-ŋga dinaŋ sêsam bu lau apa si gameŋ, ma lau naŋ sêndöc dinaŋ, naŋ sêmbo tôm lau naŋ ŋasec atu kôm ŋac ahuc, ma tôm lau naŋ sêmpiŋ bu sêmbac ndu. Magoc kwahic dec sêlic ŋawê atu su. 
MAT.4.17	Têŋ ndoc dinaŋ Yisu gic hu ndê gweleŋ nem mêtê lau-ŋga, ma iŋ hoc yom asê têŋ lau bocdec bu, “Anötö ndê gôliŋ meŋ kêpiŋ su. Bocdinaŋ anem daôm kwi, ma ahu mêtê sac siŋ.”
MAT.4.18	Têŋ bêc daŋ Yisu kêsêlêŋ mbo Bugictoŋ Galili-ŋga ŋamakê. Ma iŋ gêlic Saimon naŋ ndê ŋaê daŋ Pita, lu asi Andru. Iŋlu sêkêŋ wasaŋ sêmbo, bu iŋlu ŋgac sêkôc i-ŋga lu. 
MAT.4.19	Goc Yisu sôm têŋ iŋlu, “Amlu ameŋ aŋkuc aö, ma aö wakêŋ amlu ahê ŋamalac sêmeŋ sêŋkuc aö, tôm naŋ kwahic dec amlu ahê i.” 
MAT.4.20	Ma ŋagahô iŋlu sêtec si wasaŋ yêc, ma sêŋkuc iŋ.
MAT.4.21	Sêŋsêlêŋ si, ma Yisu gêlic Sebedi ndê atu lu, naŋ Jems lu Jon. Sêndöc waŋ sêwhiŋ damba Sebedi, ma sêpô si wasaŋ kic sêmbo. Yisu mbwêc iŋlu bu sêmeŋ sêŋkuc iŋ, 
MAT.4.22	ma ŋagahô iŋlu sêhu damba ti waŋ siŋ, ma sêŋkuc Yisu.
MAT.4.23	Dinaŋ su, goc Yisu kêsêlêŋ golom-golom malac yêc gameŋ Galili-ŋga. Iŋ kêdôhôŋ lau mbo †lôm wê-ŋga, ma gêm mêtê ŋawaê ŋayham pi Anötö ndê gôliŋ. Ma iŋ kôm lau ti gêmbac tidau-tidau hoŋ ŋayham sa. 
MAT.4.24	Ŋawaê pi gêŋ dau gêm gameŋ Siria-ŋga hoŋ ahuc, ma tu dinaŋ-ŋga lau sêkôc ŋac si lau gêmbac hoŋ sêtêŋ Yisu si, ma iŋ kôm ŋac ŋayham sa. Lau naŋ sêhôc ŋandê atu, lau ti ŋalau sac, lau bôliŋ, ma lau deŋdeŋ ti mboloctê, lau ti ŋawapac hoŋ dinaŋ iŋ gêm ŋac sa. 
MAT.4.25	Ma lau daêsam sêsa si ma sêŋkuc iŋ. Ŋatô sêmeŋ akêŋ gameŋ Galili-ŋga, ma ŋatô akêŋ gameŋ Dekapolis-ŋga.
MAT.5.1	Têŋ bêc daŋ Yisu gêlic bu lau daêsam sêŋkuc iŋ, goc pi lôc daŋ gi. Iŋ ndöc sic, ma iŋ ndê †sêŋomi sêtigasuc iŋ. 
MAT.5.2	Ma iŋ gic hu kêdôhôŋ ŋac ma sôm,
MAT.5.3	“Anötö ndê mwasiŋ gic waê lau naŋ sêŋgwiniŋ dau yêc iŋ aŋgô-ŋga. Iŋ gêlic ŋayham bu kôc ŋac sa sêmbo iŋ ndê gôliŋ ŋapu.
MAT.5.4	Anötö ndê mwasiŋ gic waê lau naŋ sêndöc ti ŋalôm ŋawapac. Iŋ oc kôm ŋac si ŋalôm timalô.
MAT.5.5	Anötö ndê mwasiŋ gic waê lau ti lêŋ malô ma yom malô. Bu ŋac oc sêwêkaiŋ gameŋ nom-ŋga sambob.
MAT.5.6	Anötö ndê mwasiŋ gic waê lau naŋ atac whiŋ ndu andô bu sêsa lêŋ gitêŋ eŋ. Iŋ oc nem ŋac sa sêti lau gitêŋ ŋandô.
MAT.5.7	Anötö ndê mwasiŋ gic waê lau naŋ tawalô lau. Iŋ oc tawalô ŋac.
MAT.5.8	Anötö ndê mwasiŋ gic waê lau ti ŋalôm ŋawasi. Ŋac oc sêlic Anötö.
MAT.5.9	Anötö ndê mwasiŋ gic waê lau naŋ sêŋsalê lêŋ tu sêmbo ti yom malô-ŋga. Iŋ oc sam ŋac bu iŋ dau atui awhê ma ŋgac.
MAT.5.10	Anötö ndê mwasiŋ gic waê lau naŋ sêtap kisa sa tu sêsa Anötö ndê lêŋ gitêŋ-ŋga. Iŋ gêlic ŋayham bu kôc ŋac sa sêmbo iŋ ndê gôliŋ ŋapu.
MAT.5.11	“Têŋ ndoc lau sêkêŋ kisa mac ma sêpu mac ti sêŋgôliŋ yom sac daêsam pi mac tu mac aŋkuc aö-ŋga, naŋ ahêgo daôm dom. Bu Anötö oc êmwasiŋ mac. 
MAT.5.12	Atac ŋayham ma atisambuc, bu Anötö oc kêŋ ŋaôli ŋayham têŋ mac yêc undambê. Ma gauc nem bu ŋalêŋ tigeŋ, lau sêkêŋ kisa Anötö ndê lau propet naŋ sêmbo muŋ su.”
MAT.5.13	Ma Yisu sôm, “Dakêŋ gwêc so sip gêŋ daneŋ-ŋga bu dakôm gêŋ dau ŋayham. Ma mac ambo lau nom-ŋga ŋalôm atôm gwêc so. Tigeŋ gwêc so bu ŋamakic niŋga, oc dakôm ŋamakic sa tiyham ŋalêŋ nde? Iŋ tisac su, ma tambaliŋ siŋ niŋga, ma lau sêkwê dôŋ.
MAT.5.14	“Ma mac ambo nom atôm ŋawê bu pô gameŋ. Malac daŋ bu yêc lôc, oc tôm dom bu siŋ dau kwi. 
MAT.5.15	Ma têŋ ndoc datuŋ lam asê, oc taŋgatöc ŋa suc ahuc dom. Taŋkiŋ sa bu ŋawê pô gameŋ hoŋ. 
MAT.5.16	Bocdinaŋ, akôm mêtê ŋayham yêc lau hoŋ aŋgô-ŋga, naŋ gitôm mac nem ŋawê bu pô gameŋ. Ma lau oc sêlic mac nem mêtê ŋayham, ma sêmpiŋ Damam undambê-ŋga.”
MAT.5.17	“Gauc nem dom bu aö gameŋ tu waseŋ Anötö ndê yom naŋ Moses ti lau propet sêto yêc, naŋ su-ŋga. Aö gameŋ tu waseŋ su-ŋga dom, tigeŋ tu wakôm yom dau ŋandô sa-ŋga. 
MAT.5.18	Yomandô, aö wasôm têŋ mac bu undambê ti nom bu niŋga, magoc yom ŋalhô sauŋ daŋ oc niŋga yêc yomsu dom e aö dauŋ wandic dabiŋ gêŋ hoŋ. 
MAT.5.19	Asa naŋ kêgilì yomsu naŋ hêganôŋ gêŋ sauŋ andô daŋ, me kêdôhôŋ lau ŋatô bu sêkôm bocdinaŋ, naŋ ti ŋamalac waêmba yêc Anötö ndê gôliŋ ŋapu. Magoc asa naŋ daŋga wambu Anötö ndê yomsu, ma kêdôhôŋ lau ŋatô bu sêkôm bocdinaŋ, naŋ ti ŋamalac tiwaê yêc Anötö ndê gôliŋ ŋapu. 
MAT.5.20	Aŋgô! Lau Palêsai ti †kêdôhôŋ-waga yomsu-ŋga sêŋsahê ŋaŋga bu sêti lau gitêŋ, tigeŋ aö wasôm têŋ mac, bu mac bu ati lau gitêŋ ahôc gêlêc ŋac dom, dec oc tôm dom bu mac ambo Anötö ndê gôliŋ ŋapu.”
MAT.5.21	Ma Yisu sôm têŋ ŋac, “Mac aŋyalê yom naŋ Anötö kêŋ têŋ abaŋi bocdec bu, ‘
MAT.5.22	Tigeŋ kwahic dec aö wasôm têŋ mac, bu asa naŋ tac ŋandê têŋ ŋamalac daŋ, naŋ oc tap ŋagêyô sa gitôm iŋ naŋ gic ŋamalac ndu. Ma mac nem ŋagôliŋ daŋ sôm bu lau atu-tu sêmatôc ŋamalac naŋ sam ndê asidôwa bu ŋamalac gauc mbasi-ŋga. Magoc aö wasôm têŋ mac, bu asa naŋ sôm yom kaiŋ dinaŋ, naŋ gitôm bu tap ŋagêyô lambwam-ŋga sa.
MAT.5.23	“Bocdinaŋ têŋ ndoc am bu lic om ma bu kêŋ nem da têŋ Anötö, ma bu gauc nem yom daŋ yêc amlu ŋamalac daŋ ŋasawa, 
MAT.5.24	naŋ goc hu nem da siŋ yêc alta ŋamakê ma sa ndi tap ŋamalac dau sa. Gêŋ ŋamata-ŋga amlu amasaŋ yom naŋ yêc amlu ŋasawa, goc mbu ndi ma kêŋ nem da têŋ Anötö.
MAT.5.25	“Ma am nem tôp bu yêc ŋamalac daŋ, ma iŋ bu wê am têŋ ŋgac êmatôc yom-ŋga ndi, naŋ êmasaŋ yom têŋ iŋ ŋagahô, têŋ ndoc amlu aŋsêlêŋ ambo seŋ. Ma bocdinaŋ ŋgac dau oc kêŋ am têŋ ŋgac êmatôc yom-ŋga dom. Bu mba, mboe ŋgac êmatôc yom-ŋga oc kêŋ am têŋ ŋgac yob gapocwalô-ŋga, ma iŋ êmbaliŋ am sôc gapoc-walô ndi. 
MAT.5.26	Aö wasôm yom ŋandô têŋ am, am oc ndöc gapocwalô ŋapaŋ e am ndic nem tôp hoŋ pacndê.”
MAT.5.27	“Ma mac aŋyalê yom naŋ Moses to bocdec bu, ‘
MAT.5.28	Tigeŋ kwahic dec aö wasôm têŋ mac, ŋgac daŋ bu tahê awhê daŋ e ŋalôm ŋagalac, naŋ gitôm iŋ kôm mêtê mockaiŋ-ŋga têŋ iŋ su, yêc iŋ ndê ŋalôm.
MAT.5.29	“Am tanôm daŋga bu hê am têŋ sac, goc kip tanôm dinaŋ sa ma êmbaliŋ niŋga. Am tanôm daŋ bu niŋga, naŋ hôc gêlêc am tanôm lu yêc ma hê am bu kôm sac, ma tiŋambu Anötö kêŋ am sip ya lambwam-ŋga ti ŋamlic sambuc ndi. 
MAT.5.30	Ma amam daŋga bu tim am, goc tim kic ma êmbaliŋ niŋga. Amam daŋ bu niŋga, naŋ hôc gêlêc am mbo ti amam lu-lu ma kôm sac su, ma tiŋambu sip ya lambwam-ŋga ti ŋamlic sambuc ndi.”
MAT.5.31	“Ma Moses to yom daŋ bocdec bu, ‘
