MAT.1.1	Yə̀mē sē lə̀tafē yə̀ mə̀sān mə̄cici Yɛso Krisəti, ywâ 
MAT.2.9	Mkpān yə̄ mə̀cə̄cə̀r bə gwɔ rɛn yə̄ cūn krɛ, bə kan vūn nkɔ̀n də̀ ywe. Mkpān yə̄ bə sē nkɔ̀n, bə kan ngrɛ̄n ntsɛ̄ yə̀ bə ngrɛ̄n ə gbù bə ə̀ kùcī. Ntsɛ̄ yəmē kàn sə̀ bàn nkɔ̀n də̀ kūci bə, mâ tswē yə̄ yə nyə̄ tè krè ə kə̄ yə̄ vɛ̄n gu sē mān. 
MAT.2.10	Mkpān yə̄ mə̄nē bə mē ngrɛ̄n ntsɛ̄ yə nzɔ̆, bə kan te də̆r kə̄kla nggānme. 
MAT.2.11	Də̀ mkpān yə̄ bə nyə sū kə̄ yə̄ vɛ̄n gu sē mān, bə ngrɛ̄n gu bə̄ gyə̆r gu Məryamu, də̀ kan tekpm də̀ bɛ̄ gu. Mkpān yəmē, bə vu kī yə̄ bə lwe ə kpɔ də̀ bɛ̄ gu. Kī yə̄ bə lwe də̀ bɛ̄ gu sə̄ sē kī yə̄ te do nggān. Kī yəmē sə̄ sē zinare bə̄ mə̀nyɛ̀n yə̀ cumgbə̀ yə̀ re 
MAT.2.12	Ə gbù yəmē, Rì rɛ̀n bə̄ mə̀cə̄cə̀r bə ə nkɔ̄n yə̄ rā də̀ dan bə de nə̄ bə kādə mərtu glə kū bə̄ Hiridu yo. Tswēyəmē, bə kān dōglo də̀ glə kū nkɔ̀n gyə̀r nkan də̀ ywe ə gbù bə.
MAT.2.13	Bū yə̀ mbrɛ̄ yə̄ mə̀cə̄cə̀r bān ru ə nggà yə̀ nzān mərtu ywē ə gbù bə, mə̀lɛkā yə̀ Rì kàn rɛ̀n bə̄ Yusuwu ə nkɔ̄n yə̄ rā də̀ dan gu de, “Doglò də̀ man bàn vɛ̄n bə̄ gyə̀ywə̄ də̀ man lwè bə kulwe ywè ə mə̀mē yə̀ bān 
MAT.2.14	Anrɛ̀n rɛn yəmē, Yusuwu kàn dòglò də̀ gbō Məryamu bə̄ Yɛso ə bū yəmē də̀ bə ywe ə mə̀mē yə̀ Masar. 
MAT.2.15	Yusuwu bə̄ Məryamu sə̄ lwe Yɛso də̀ sɔ̄n ə mə̀mē yə̀ Masar mâ mkpān yə̄ Hiridu nyə̄ kyù. Kì yəmē sə̄ tè ənə̀mē ətù yə sə̄ sē kì yə̀ Rì sə̀ dan nē wān dɔ̀n rɛn mə̄gu də̀ gu sə̀ dan bān Sərela de, “Yə lə sē ə mə̀mē yə̀ Masar yə̀ nggə̄ lə gyɔ vɛ̄n nggə̄ gə̄ru mān.”
MAT.2.16	Mkpān yə̄ Hiridu nyə̄ tsə̄ de mə̀cə̄cə̀r bān ru ə nggà nzān sə̄ gyūr gu, də̀ la glə kū bə̄ gu yo; gu kàn bàn də̆r ngàr nggānme. Tswēyəmē, Hiridu kàn tè bān kpānnɛ̄n ndu ywè ə gbù yə̄ Bətəlami bə̄ gbūgbu kukwɔ̆ yə̄ sē hyuhyur mān, nə̄ bə nlywe nywɛn lə̄lɔn bān bə sə̄ lwe ə ngwɔ̀n ywe kə sū bə̄ bān sə̄ ma sɛ ywā. Kì yə sə̀ sē ənə̀mē anrɛ̀n mkpān mə̀cə̄cə̀r bān tsə kì yə̀ là te ətù ntsɛ̄ sə̄ dan Hiridu de bə ngrin Yɛso sə̄ ma sɛ ywā. 
MAT.2.17	Sē ə mkpān yə̄ kì yəmē tè də̀ rɛn yə̄ Rì sə̄ rɛ̀n bə̄ 
MAT.2.18	“Mə̄nē lə gwɔ kwàr nənè là gi bə̄ te də̆r cīnji nggānme ə gbù yə̀ Rama.
MAT.2.18	Sē 
MAT.2.18	Mə̄nē lə sə̀ kwār gu də̀ gu lə la gwɔ kwàr yo, anrɛ̀n nywɛnywə̄ tsu krɛ.”
MAT.2.19	Mkpān yə̄ Hiridu kyù, mə̀lɛkā yə̀ Rì rɛ̀n bə̄ Yusuwu ənywī rā də̀ dàn gu de nə̄ gu kà mə̀mē yə̀ Masar dɔ̀n də̀ dàn gu de, 
MAT.2.20	“Doglò də̀ man gbō Məryamu bə̄ zə̄ywə̄ də̀ man lwè bə ywè ə mə̀mē yə̀ bān Sərela. Hiridu bə̄ mə̄nē bān mə̄gu bān sə̄ fɔ̄ nkɔ̄n yə̄ bə lə ngun vɛ̄n gu tsu krɛ mbɛ̄.”
MAT.2.21	Yusuwu gwɔ rɛn yəmē də̀ kàn dòglò gbō Məryamu bə̄ vɛ̄n də̀ bə ywe ə mə̀mē yə̀ bān Sərela. 
MAT.2.22	Yusuwu sə̀ tè mpūr yə̄ gu lə ywē ə mə̀mē yə̀ Yahudeya anrɛ̀n gu gwɔ de sə̄ gyɔ̄ Kilayusu vɛ̄n Hiridu cūn. Mkpān yə̄ gu tèkə yəmē bə̄ ră rā kə yə̄ ywā yə̄ mə̀lɛkā yə̀ Rì nàn gu dan kì yə̀ gu lə nan, gu kàn bàn vɛ̄n gu də̀ bə kan ywe ə mə̀mē yə̀ Galili. 
MAT.2.23	Tswēyəmē, Yusuwu gbō Məryamu bə̄ zə̄ywə̄ də̀ bə ywe kə sɔ̀n ə gbù yə̀ re de Nazəreti ə mə̀mē yə̀ Galili. Rɛn yəmē sə̄ te də̀tswē kì yə̀ mə̄nē bān dɔ̀n rɛn Rì dan ətù Krisəti man shɛ̄ mān. Mə̄nē bə mē dan de, mə̄nē lə tsə̄ nàn de, “Gu sē wān ru ə gbù yə̀ Nazəreti.”
MAT.3.1	Mkpān nyə yə̄ və̄lɔn gyə̄r wān re 
MAT.3.2	Gu sə̀ dan bə de, “Kān gyə̄ kà rɛn məme mə̄gyə̀ dɔ̀n anrɛ̀n nkɔ̄n yə̄ Rì là lwe mə̄nē bān mə̄gu sē hyuhyur bə̄ gyə̄.” 
MAT.3.3	Shaya, nē wān dɔn rɛn sū mə̄nē car gyɔ ə lə̀tafē mə̄gu ətù Yɔhanan gu də̀ dan de,
MAT.3.3	“Kwār nənè gyə̄r là dɔn rɛn ə mgbə̀jī de,
MAT.3.3	‘Kān gyə̄ nàn nkɔ̀n kyūn gyɔ̄ jì Nggɔn tə̄,
MAT.3.3	də̀ man nə̀ yə̄ gyɔ̄ ncɔ̂n yə̀ gu lə glə.’ ”
MAT.3.4	Yɔhanan sə̄ kpm lə̀gā yə̀ mfù nàn hwān gyə̀r yə̀ bə là gyɔ yə de 
MAT.3.5	Də̀ mə̄nē sə̄ ru ə Wurisheliman ə mpə mə̀mē yə̀ Yahudeya bə̄ mə̄nē bān sē gi nē yə̀ Wurdu nə̀nàn də̀ sə̄ nyə bə̄ gu, 
MAT.3.6	də̀ sə̄ dan rɛn məme mə̄bə də̀ gu swē bə bə̀tesə̄màn ə nē yə̀ Wurdu.
MAT.3.7	Mkpān yə̄ Yɔhanan ngrɛ̄n mə̄nē bān 
MAT.3.8	Kān gyə̄ nàn kī yə̄ lə tsar de gyə̄ ka nkɔ̄n yə̄ sē məme dɔ̀n njìnjì. 
MAT.3.9	Də̀ nə̄ gyə̄ kàdə gyùr tu gyə̄ de gyə̄ lə jun sùr rɛn Rì yo màn gyə̄ də̀ là dan de, ‘Tə̄ sē mə̄ywa 
MAT.3.10	Rì sē kə̄de və̄lɔn gyə̄r wān là krè bə̄ nggə̀r ə ngwɔ̀n jì yə̄ gu lə sar mə̀tərkī yə̀ də̀gbà te klə̆ zəzè yo kànkə̀rɛ̄. Gu lə sar yə kànkə̀rɛ̄ də̀ cu glo tō yə wu.
MAT.3.11	“Mkpān yə̄ nggə̄ də̄ là swe gyə̄ bə̀tesə̄màn, yə là tsar de gyə̄ ka nkɔ̄n yə̄ nan məme mə̄gyə̀ dɔ̀n. Də̀ nənè gyə̄r shāmān wān lə nyə̄ ə nggà gɔ̄n nggə̄ wān mwɔn nggə̄ bə̄ nggɔn nggɔn, wān nggə̄ la ma wān nggə̄ lwe zəkpə mə̄gu ca gu mān yo. Sē gu wān lə swē gyə̄ bə̀tesə̄màn bə̄ Gbrīn Ntsər bə̄ glo nə̀nàn. 
MAT.3.12	Gu sē kə̄de nē wān krè bə̄ mūmù ə ngwɔ̀n yə̄ gu lə fù kpamfū ləkamān yə̄ gu kpm də̀ kyun be yə sū ə gùr də̀ lə kan kpamfū ywə̄ sū ə glo yə̄ là rɛn njì.”
MAT.3.13	Ə mkpān yəmē, Yɛso rù ə mpə mə̀mē yə̀ Galili də̀ ywè bə̄ Yɔhanan ə nē yə̀ Wurdu də̀tswē Yɔhanan man swē gu bə̀tesə̄màn. 
MAT.3.14	Də̀ Yɔhanan sə̀ fɔ̀ nkɔ̄n gu màn glā gu də̀ dàn gu de, “Nggə̄ de mān nyə nə̄ wə̄ swē nggə̄ bə̀tesə̄màn də̀ sē wə̄ wān gyɛ̂n nyə̄ bə̄ nggə̀?”
MAT.3.15	Yɛso kàn sà gu mān de, “Kān yə sē ənə̀mē nzɛ̂nmē anrɛ̀n yə tɔ̄ mwɔ̄n nə̄ tə̄ nan kī kūkwār yə̄ Rì là fɔ̀ de nə̄ tə̄ nan”.
MAT.3.15	Tswēyəmē, Yɔhanan kàn kpə̄nyɛ̀n.
MAT.3.16	Mān tsūtswēywə̄, mkpān yə̄ Yɔhanan swē Yɛso bə̀tesə̄màn krɛ̀, Yɛso kàn dɔrù dè mə̀sər. Mān tswēywə̄, mkparū kan bu də̀ gu ngrɛ̄n Gbrīn Rì yə̄ sē kə̄de və̆nggù ji nyə tè sa ə kpə̀ gu. 
MAT.3.17	Tswēyəmē, kwār Rì kan rɛn ə mkparū də̀ dan de, “Wān mē sē vɛ̄n nggə̄ wān nggə̄ là nyɛn də̀ də̆r là sù nggə̄ bə̄ gu nggānme.”
MAT.4.1	Ə tswēyəmē, Gbrīn Ntsər yə̄ Rì gbō Yɛso də̀ lwe gu ywe ə mgbə̀jī nə̄ 
MAT.4.2	Də̀ mkpān yə̄ gu 
MAT.4.3	Tswēywə̄, Shɛtan nyə̀ bə̄ gu də̀ dan gu de, “Wə̄ də̀ sē Vɛ̄n Rì nzɛn, nə̄ wə̄ kàn mgbantə mē tè kīrē.”
MAT.4.4	Yɛso kàn sà yə̄ mān de, “Bə car gyɔ̄ ənywī lə̀tafē yə̀ rɛn Rì de: ‘Shishɛ̄n mə̄nēnjì la sē ətù kīrē kyame yo; yə sē ətù kì yə̀ là ru ə nyū Rì.’ ”
MAT.4.5	Tswēyəmē, Shɛtan gbō gu lwè ywè nywī gbù yə̀ ntsər yə̀ re Wurisheliman, də̀ nə̄ gu ngun ywè tukpă tswē yə̄ tan mwɔ̄n kūkwār ə Kə̄ Nggɔn yə̄ Rì də̀ tan mwɔ̄n nkyɛn mə̀kə̀ kūkwār, 
MAT.4.6	də̀ dan gu de, “Wə̄ də̀ sē Vɛ̄n Rì nzɛn, gyɛ̆ncār kū ə mə̀mē anrɛ̀n bə car gyɔ̄ ə lə̀tafē yə̀ rɛn Rì de:
MAT.4.6	‘Rì lə nə̄ mə̀lɛ̀kū mə̀gu kyūn wə̄,
MAT.4.6	də̀ bə lə vūn wə̄ lwe ə ngwɔ̀n bə də̀tswē wə̄ man kàdə ngwùr zə ətù mgbantə yo.’ ”
MAT.4.7	Yɛso kàn sà yə̄ mān de, “Bə car gyɔ̄ ə tswē nə̄mān nkan nə̀nàn de: ‘Nə̄ nənè kàdə mā Rì wān sē Nggɔn tə̄ kyɛn yo.’ ”
MAT.4.8	Shɛtan la kàn gbō Yɛso ywè tu gbù gyə̄r yə̄ sə̄ tān nggānme də̀ tsàr gu sē yə̀ nggɔn nggɔn bə̄ tɔ̀nzɛ̄ yə̀ mə̄nē nkan nkān bān mgbəmgbrè mē sē bə̄ yə̄. 
MAT.4.9	Də̀ dan gu de, “Nggə̄ lə kan wə̄ te Cūn mə̀mē nkan nkān yə̀ wə̄ ngrɛn mē kūkwār màn wə̄ də̀ tèkpm də̀ nə̄ nggə̄ nggɔn nggɔn.”
MAT.4.10	Yɛso kàn dàn Shɛtan de, “Dè nggə̄ tswē, Shɛtan! Bə car gyɔ de: ‘Sē Rì wān sē Nggɔn wə̀ də̀ sē gu kyame wān wə̄ lə bɛ̀ gu də̀ nə̄ gu nggɔn nggɔn.’ ”
MAT.4.11	Tswēyəmē, Shɛtan kàn kà gu dɔ̀n də̀ mə̀lɛ̀kū yə̀ Rì nyə̀ də̀ sə̄ nan gu ndu mān.
MAT.4.12	Mkpān yə̄ Yɛso gwɔ de bə vūn Yɔhanan wān là swē mə̄nē bə̀tesə̄màn gyɔ̄ ə jàrō, gu dōglò ywè mə̀mē yə̀ Galili. 
MAT.4.13	Gu la tè krè ə Nazəreti yo də̀ gyɛ̂n ywè kə̄ tè sɔ̀n ə gbù gyə̀r yə̀ re Kapana, yə̀ sē ə kətɔ̄n nē nggɔ̀n yə̀ Galili, ə mpə mə̀mē yə̀ Zɛbulun bə̄ Natali. 
MAT.4.14	Gu nàn ənə̀mē də̀tswē kì yə̀ nē wān dɔ̀n rɛn sū mə̄nē wān re Shaya dan ə lə̀tafē mə̄gu man shɛ̄ mān de:
MAT.4.15	“Mə̀mē yə̀ mə̄nē bān Zɛbulun bə̄ yə̀ Natali yə̀ sē ə nkɔ̀n yə̀ ywe nē nggɔ̀n yə̀ Galili ə ngga nē yə̀ Wurdu tswē yə̄ mə̄nē bān la sē bān Yahuda yo sē mān.
MAT.4.16	Mə̄nē bān sɔn būbū lə ngrɛ̄n glo yə̄ là lan nggān.
MAT.4.16	Sē Rì wān lə nə̄ glo yəmē lan sū tswē yə̄ te bū, tswē yə̄ mə̄nē bān tsu là sɔn mān.”
MAT.4.17	Mkpān yə̄ Yɛso kūci bə̄ ndu mə̄gu yə̄ dan mə̄nē rɛn, gu dan de: “Kān gyə̄ kà rɛn məme mə̄gyə̀ dɔ̀n anrɛ̀n nkɔ̄n yə̄ Rì là lwe mə̄nē te hyuhyur bə̄ gyə̄.”
MAT.4.18	Mkpān yə̄ Yɛso sə̀ zər ə kətɔ̄n nē nggɔ̀n yə̀ Galili, gu ngrɛ̄n mə̄nē ywā bān ndu bə sē yə̄ vu mgbəryàn bān sē nywɛngyə̆r. Mə̀sān bə re Siman (wān sān gu gyə̄r re de Bitrusu) bə̄ Yanduru. Yɛso ngrɛ̄n bə tswē kan rūrū sū ə mə̀sər tswē bə zwe mgbəryàn. 
MAT.4.19	Gu kàn dàn bə de, “Gyə̄ zwē nggə̄ mān nə̄ nggə̄ man kan gyə̄ te bān lə fɔ̀ mə̄nē lwè cà nggə̄ mān kə̄de nkɔ̄n yə̄ gyə̄ là zwe mgbəryàn mē.” 
MAT.4.20	Mān tsūtswēywə̄, bə kan kā rūrū bə dɔn də̀ zwē gu mān.
MAT.4.21	Mkpān yə̄ bə cī ban cin tsɛ̂ nzɔ̆, Yɛso kàn ngrɛ̄n mə̄nē ywā bān sē nywɛngyə̆r bān mə̀sān bə re de Yakubu bə̄ 
MAT.4.22	Mān tsūtswēywə̄, bə kan kā gbm̄ bə̄ te bə dɔn də̀ zwē Yɛso mān.
MAT.4.23	Ə mkpān yəmē, Yɛso zər kàn mə̀mē yə̀ Galili cīn tswē tsar mə̄nē rɛn ənywī mə̀kə̀ yə̀ kyūntu yə̀ mə̄nē bān Yahuda, də̀ sə̀ dan bə rɛn zəze yə̄ tù nkɔ̄n yə̄ Rì là lwe mə̄nē. Gu kpə̄ mə̄nē nggānme bān sə̄ lə̄ lələ nkan nkān cūngwɔn. 
MAT.4.24	Də̀ rɛn yə̄ tù gu kan ngwur ngār tswē ə mə̀mē yə̀ Siriya. Mkpān yəmē, mə̄nē bān sə̄ lə̄ bə̄ bān kpə sə̄ ran bə, bə̄ bān gbə̄gbrìn məmè sē ə kpə̀ bə bə̄ bān mkpə̆mkpĭ sə̀ nàn bə bə̄ bān zə bə sə̄ ku nzu, bə lwe bə ca gu mān də̀ gu kpə̄ bə cūngwɔn ətù lələ mə̄bə yəmē kūkwār nə̀nàn. 
MAT.4.25	Nkyə̄nkyə̀r mə̄nē nggānme bān ru ə Galili, bə̄ Dikafɔli bə̄ gbù yə̀ Wurisheliman, bə̄ mə̀mē yə̀ Yahudeya bə̄ mpə mə̀mē yə̀ ngga nē yə̀ Wurdu sē zwē gu mān.
MAT.5.1	Mkpān yə̄ Yɛso ngrɛ̄n nkyə̄nkyə̀r mə̄nē bān sə̄ zwē gu mān, gu ngun ywè kə̄ tè sɔ̀n ətù gbù. Tswēywə̄, bān là zwe gu mān nyə kàn gu gyɔ̄ ə də̀ntswe 
MAT.5.2	də̀ gu kūci tswē tsar bə rɛn də̀ dan de,
MAT.5.3	“Mə̄nē bān là kre ngwɔn kukù ə nggà bēshi Rì nzɛ̂nmē,
MAT.5.3	Rì shāmān də̀ lə nə̄ bə te zə̀zè,
MAT.5.3	anrɛ̀n bə sē mə̄nē bān gu là lwe bə.
MAT.5.4	Mə̄nē bān là sɔn kyū nzɛ̂nmē,
MAT.5.4	Rì shāmān də̀ lə nə̄ bə te zə̀zè,
MAT.5.4	anrɛ̀n gu lə swɛ bə mə̀shi ə mgbò.
MAT.5.5	Mə̄nē bān sē tu ryôryô nzɛ̂nmē,
MAT.5.5	Rì shāmān də̀ lə nə̄ bə te zə̀zè,
MAT.5.5	anrɛ̀n gu lə nə̄ bə kī kūkwār yə̄ gu dan de gu lə nə̄ bə yə ə mgbəmgbrè mē.
MAT.5.6	Mə̄nē bān là nan zəze də̀ là nər de bə lə nan zəze kyame,
MAT.5.6	Rì shāmān də̀ lə nə̄ bə te zə̀zè,
MAT.5.6	anrɛ̀n gu lə nə̄ bə kī yə̄ bə là fɔ kūkwār nə̀nàn.
MAT.5.7	Mə̄nē bān là te mə̀tù mə̄nē nzɛ̂nmē,
MAT.5.7	Rì shāmān də̀ lə nə̄ bə te zə̀zè,
MAT.5.7	anrɛ̀n gu lə te mə̀tù bə nə̀nàn.
MAT.5.8	Mə̄nē bān dər bə sē nzərnzər ə nkɔ̄n bə là zwe Rì nzɛ̂nmē,
MAT.5.8	Rì gu shāmān də̀ lə nə̄ bə te zə̀zè,
MAT.5.8	anrɛ̀n bə lə ngrɛ̄n gu.
MAT.5.9	Mə̄nē bān là fɔ nə̄ mə̄nē kūkwār sɔ̄n sɔ̀n susù bə̄ nkəywə̀,
MAT.5.9	Rì shāmān də̀ lə nə̄ bə te zə̀zè
MAT.5.9	anrɛ̀n gu lə kan bə te nywɛnywə̄.
MAT.5.10	Mə̄nē bān là kpə mgbŭ anrɛ̀n bə sē mə̄nē bān Rì də̀ là nan kī yə̄ gu dan bə de nə̄ bə nan nzɛ̂nmē,
MAT.5.10	Rì shāmān də̀ lə nə̄ bə te zə̀zè,
MAT.5.10	anrɛ̀n bə sē mə̄nē bān gu là lwe bə.
MAT.5.11	“Rì lə nə̄ gyə̄ tè zə̀zè, màn mə̄nē də̀ là kan gyə̄ mə̀sān cazu də̀ là nə gyə̄ mgbŭ də̀ te mo nkan nkān ətù gyə̄, anrɛ̀n gyə̄ sē bān mə̄nggə̀ nzɛ̂nmē. 
MAT.5.12	Kān gyə̄ tè zə̀zè də̀ man tè də̆r kə̄kla anrɛ̀n ryă ngwɔn gyə̄ sē nggānme ə mkparū bə̄ Rì. Njìnjì ywə̄ sē nàn de, mə̄nē bān sə̄ kūci gyə̄ ə tswē dɔ̀n rɛn sū mə̄nē, mə̄nē sə̄ nə̄ bə mgbŭ yəmē nə̀nàn.
MAT.5.13	“Gyə̄ sē kə̄de mə̀mān bə̄ mə̄nēnjì bān mgbəmgbrè mē kūkwār də̀ mə̀mān yə də̀ kàn tè məmè, nkɔ̄n nə̄mān la shāmān yə̄ bə lə kan yə̄ te zəzè nzɔ̆ yo. Bə lə la nan nkinē bə̄ yə̄ yo, bə lə kan yə̄ kankərɛ̄ də̀ mə̄nē lə zər cān yə̄ də̀ yə̀mē lə sē krɛ ywə̄ mənān.
