MAT.1.1	Iesu Keriso ena rama kupu torina Aberahamo mai Davida bibirakiai emai.
MAT.1.17	Weiana Aberahamo ai eao Davida herenai hanona uru harau haea bani, Davida herenai eaomo teaoainakia Babulono raninai hanona uru harau haea bani, haeamona teaoainakia Babulono murinai eaomo Keriso herenai hanona uru harau haea bani.
MAT.1.18	Iesu Keriso aea erama aiho hauna pouna hanona neiana. Hinana Maria hanona te'abi'uai aina Iosefa keatawana. Ia a'i tebahamomo baha aonai e'iobina Auba Robe hiabunai miori ha ea'ina. 
MAT.1.19	Iosefa hanona aka bero hauna, a'i enuatae Maria kebahaumaeana to'u wairakiai buonai, enuatae 'abi'uai weiana bunianai kea'i ki'ana. 
MAT.1.20	Raona weiana niraonana aonai, Obiapaka ena Aneru nibiai herenai ewaira tina e'abi etibaha, “Iosefa Davida 'aba'abana e, Maria iatawana a'i kota'uaina, pokina Auba Robe hiabunai miori weiana ea'ina. 
MAT.1.21	Ia hanona miori ha kebaramana, atana katoaparina Iesu, pokina ia hanona ena maearima ekia ki'ai kebamaurinakia.”
MAT.1.22	Hoa neiana erama hanona Obiapaka ena mahabanai hauna herenai e'abi hauna nibatohana.
MAT.1.23	“Uaho rari ha kepuma miori ha
MAT.1.23	kebaramana,
MAT.1.23	atana kateaparina Emanuela.” 
MAT.1.23	Anina hanona ‘Tirama aika herekai’.
MAT.1.24	Iosefa eno'a murinai, Obiapaka ena Aneru e'abi ihobona ebabaina Maria eatawana. 
MAT.1.25	Ia terarua a'i tenoti oioi 'apua eaomo Maria miori ebaramana. Iosefa miori atana eaparina Iesu.
MAT.2.1	Heroda Obia 'arana Iuda eobia aina raninai, Iesu hanona Iuda aonai Betelehemai erama. Rani weianai aotipa haukia taetana taina hanopaka haeai ai temai Ierusalema teao, 
MAT.2.2	ba tebakai bakai tetibaha, “Iuda ekia Obia 'arana erama miorina hanona ae'eai? Ia ena bihiu taetana tainai taihana buonai tamai katakuti aina”. 
MAT.2.3	Heroda Obia 'arana 'abi weiana eona raninai nuana etae, mai Ierusalema ai maearima ikoinai abomo nuakia etae. 
MAT.2.4	Ia ehore Iuda ekia robe haukia apa'uakia mai rauhubu poki haukia ikoikiai eaparinakia ebakainakia etibaha, “Keriso hanona ae'eai kerama?” 
MAT.2.5	Ia ena 'abi tebamuena tetibaha, “Iuda Betelehema aonai. Mahabanai hauna ṉa erere aihona.
MAT.2.6	‘Oi Betelehema,
MAT.2.6	Iuda hanona aonai,
MAT.2.6	Iuda ṯeiha 'inina aiarakia
MAT.2.6	baiatakiai oi hanona
MAT.2.6	a'i oko'iko'i ki'a baha,
MAT.2.6	pokina oi heremuai
MAT.2.6	poki hauna ha kemai
MAT.2.6	ia hanona e'u Isaraela
MAT.2.6	maearimakia ke'uai ainakia
MAT.2.6	mamoe i'imana hauna 'abana.’” 
MAT.2.7	Ua buonai Heroda aotipa haukia eapari buninakia ebakainakia ke'iobi haraina rani tabana tohanai hanona bihiu weiana ewaira tina. 
MAT.2.8	Euhunakia kateao Betelehema e'abi etibaha, “Katoao miori 'oru'oruna weiana katotabu haraina. Katotabu ahina hanona katoba'iobina'u, ba au abomo kaeao ia kakuti aina.”
MAT.2.9	Aotipa haukia Heroda obia 'arana aiana teona murinai teka'a, taearai teao aonai bihiu weiana taetana tainai teihana hauna e'uai ainakia eaomo miori nemiaho 'ekanai hanona e'oro. 
MAT.2.10	Bihiu weiana teihana raninai aokia enamo banaina.
MAT.2.11	Itu weiana aonai tetoto hanona miori hinana Maria ohi teihanakia ba tekaipehu miori tekuti aina. Murinai obia 'abana iberuberu bena tabakia gold, muramura timina orimona, mai muramura taburana hauani katetarona hauna tetara 'aunakia teberuberu bena. 
MAT.2.12	Ba nibiai Tirama eharabunakia a'i katemue Heroda herena, weiana taeara haeai tekana temue teao ekia hanopaka.
MAT.2.13	Aotipa haukia teka'a murikiai Obiapaka ena aneru nibiai Iosefa herenai ewaira tina e'abi etibaha, “Momikiri miori hinana ohi moba ka'anakia mo'uru ainakia moao Aigupito. Weia katomiaho keaomo au kahina beni'o, pokina Heroda hanona aba miori ketabuna keahu 'arina.” 
MAT.2.14	Epua, Iosefa emikiri miori hinana ohi ebaka'anakia rabi weianai teka'a teao Aikupito, 
MAT.2.15	weia temiaho keaomo Heroda ke'ari. Weiana Obiapaka ena mahabanai hauna pinanai ehinana hauna ibatohana,
MAT.2.15	“Au Aikupito ai
MAT.2.15	Naha'u apari ahina.” 
MAT.2.16	Heroda e'iobina aotipa haukia a'i katemue herena, weiana aona eopuere ki'a, aotipa haukia ebakainakia ranina eraonana ihobonai 'abi ebaibeni ena huari haukia Betelehema mai aiara herenai haukia aokiai miori ikoinai ihaukia rua mai ba'ai haukia teahu'arinakia. 
MAT.2.17	Rani weianai mahabanai hauna Ieremia ehinana 'abina hanona etohana,
MAT.2.18	“Aia ha Rama ai teona
MAT.2.18	hai mai aoko'o rarina 'akina,
MAT.2.18	Rahela nahuna nihai ainakia,
MAT.2.18	ia aona katebakirona hanona
MAT.2.18	a'i nenuatae
MAT.2.18	pokina ikoinai aba te'ari ore.” 
MAT.2.19	Heroda e'ari murinai Aigupito ai Obiapaka ena aneru Iosefa herenai nibiai ewaira tina, 
MAT.2.20	e'abi etibaha, “Momikiri miori hinana ohi moba ka'anakia katomue Isaraela hanonai, weiakia miori kateahu 'arina haukia hanona aba te'ari”. 
MAT.2.21	Ba Iosefa emikiri miori hinana ohi ebaka'anakia teao Isaraela.
MAT.2.22	Ia Akelao hamana Heroda 'ekana ea'ina Iuda neiha 'inina 'uruna eona raninai, keao hanona eta'u. Ba nibiai ba'iobi ea'ina ekabanai eao Galilea. 
MAT.2.23	Ia teao aiara ha atana Nasareta wa'a temiaho, weiana hanona mahabanai haukia tehinana 'abina etohana, ‘Ia hanona kateaparina Nasareta hauna.’
MAT.3.1	Rani weianai Ioane Ba'uere robe
MAT.3.2	“Emi ki'ai tomoraona kabe, pokina Tirama ena obia aiarana hanona aba ekaibari.” 
MAT.3.3	Neiana hanona mahabanai hauna Isaia 'abina ehinana hauna etibaha,
MAT.3.3	“Hau ha hano'akunai eio etibaha,
MAT.3.3	‘Obiapaka ena taeara
MAT.3.3	tomoba'oruna,
MAT.3.3	Ena kaoao boana
MAT.3.3	tomobaberona.’” 
MAT.3.4	Ioane ena habuni hanona mahi atana Kamela buirana tanatananai ebabaina, mai huana 'apana hanona poromakau paruana ehaina, ena aniani hanona pekaupekau mai hoho beina. 
MAT.3.5	Ierusalema maearimakia mai Iuda aonai aiara maikoina, haeamona Ioridana ate herenai aiara ikoinai haukia temai herena aiana kateona. 
MAT.3.6	Ekia ki'a tehina pounakia, haeamona eba'uere robenakia Ioridana ate aonai.
MAT.3.7	Ioane Parisea haukia mai Sadukea haukia bo'okia temai herenai keba'uere robenakia eihanakia raninai ehinabenakia etibaha, “'Erau nahuna haumi e. Tai ehinabenimi puma weiana Tirama aba ketiuahina hauna herenai katobeau pare? 
MAT.3.8	Raonakabe buabuana tomobawaira tinana. 
MAT.3.9	Aomiai a'i kato'abi wai hanona Aberahamo 'aba'abana buonai puma weiana herenai katobeau pare. Au wai nahinabenimi Tirama hanona mai hiabuna pihara neiakiai Aberahamo 'aba'abana kebabainakia! 
MAT.3.10	Wapira hanona aba e'oru matiu pokinai, buabua namokia a'i tibaramanakia matiukia ikoinai hanona ke'uinakia iruba aonai kekapo totonakia.
MAT.3.11	Au hanona beiai mo naba'uere robenimi emi raona kabe hoana, ia weiana muri'uai nimai hauna hanona Auba Robeai mai irubai keba'uere robenimi. Ia hanona eapa'ua ki'a baha ba au, au a'i anamo ena tamaka kabuanakia. 
MAT.3.12	Ena ikomo matiuna imanai ea'ina, ikomo 'ekana ea'i a'i haraina uho weiakia ikoinai kekomonakia paruakia keba'ehonakia, uho namokia ikoinai kebararonakia paraboa aonai kero'anakia, ia hamarakia hanona weiana a'i ni'ao 'apua irubana aonai kehuhu orenakia.”
MAT.3.13	Rani weianai Iesu hanona Galilea ai emai Ioridana atena Ioane herenai keba'uere robena. 
MAT.3.14	Ia Ioane ebaoao etibaha, “Oi au poba'uere robena'u hanona penamo. Iamo omai au here'u.” 
MAT.3.15	Iesu Ioane ena 'abi ebamuena etibaha, “Bariu hanona neiana oi kobabaina. Aka neianai Tirama ena bero akakia ikoikiai kahabatohanakia.” Ba Ioane ehore Iesu eba'uere robena.
MAT.3.16	Iesu e'uere robe murinai, beronai beiai ekara'au aonai kupa ekaikau Tirama ena Auba eriri emai ahanai matoha rauria eriri 'abana eihana. 
MAT.3.17	Ba aia ha Kupai emai e'abi etibaha, “Neiana hanona au Naha'u tohana, E'u raona'au. Au hanona ia naonamo aina.”
MAT.4.1	Weiana Auba Robe ehore Iesu eaoaina hano'akunai tiaporo
MAT.4.2	Iesu wapu ikoinai bariabui erobe aniani ha a'i eani, murinai hanona mare'a e'ari ki'a. 
MAT.4.3	Aonai baihobo hauna emai herena e'abi etibaha, “Peoi Tirama nahuna raninai, pihara neiakia mohina benakia pohamai temeao.” 
MAT.4.4	Ia Iesu e'abi etibaha, “Puka robenai aba tererena,
MAT.4.4	‘Maearima hanona pohamai mo
MAT.4.4	a'i katemauri,
MAT.4.4	ia Tirama ena 'abi ehina haukia
MAT.4.4	ikoinai katea'inakia hanona
MAT.4.4	katemauri.’”
MAT.4.5	Weiana tiaporo ehore Iesu eaoaina Ierusalema aiara robena, Marea robe 'ubina 'akinai ebakori 'auna, 
MAT.4.6	ba ehinabena etibaha, “Peoi Tirama nahuna raninai, kipomu naia morobo ahi. Pokina Puka robenai aba tererena,
MAT.4.6	‘Tirama ena aneru kehina benakia
MAT.4.6	kate'imani'o imakiai
MAT.4.6	katea'i taeani'o,
MAT.4.6	weiana piharai aemu
MAT.4.6	a'i mokaina ta'una.’” 
MAT.4.7	Iesu ia ena 'abi ebamuena etibaha, “Puka robenai abomo ṉa terere aihona,
MAT.4.7	‘Obiapaka emu Tirama
MAT.4.7	baihobo 'ekanai a'i kohorotina.’”
MAT.4.8	Haeamona tiaporo ehore Iesu eaoaina 'ubi 'akina kobiona kaipanai ebaehe 'auna, ba hanopaka aiarakia maikoina nuabina ebaihana. 
MAT.4.9	Tiaporo e'abi etibaha, “Kokaipehu kokuti aina'u raninai, neiakia maikoinai oi kabeni'o.” 
MAT.4.10	Iesu haeamona e'abi etibaha, “Satani e, mokatu'a! Puka robenai ṉa terere aihona,
MAT.4.10	‘Obiapaka emu Tirama
MAT.4.10	iamo ikupaiana kokuti aina,
MAT.4.10	mai ta'arana koa'i.’”
MAT.4.11	Weiana tiaporo Iesu herenai ekaobo, ba aneru temai tebaraina.
MAT.4.12	Iesu Ioane aba wapura itunai tehorotina pouna eona raninai emue eao Galilea hanonai. 
MAT.4.13	Weia Nasareta aiaranai a'i emiaho, ia eao Sebulon mai Napatali hanokiai Galilea obu haianai aiara ha atana Kaperanauma ua'a emiaho. 
MAT.4.14	Neiana erama hanona Isaia mahabanai hauna e'abi hanona kebatohana etibaha,
MAT.4.15	“Sebulon hanonai
MAT.4.15	mai Napatali hanonai,
MAT.4.15	obu haianai, Ioridana ate
MAT.4.15	abihanai,
MAT.4.15	Galilea rama haeai haukia
MAT.4.15	ekia hano ai!
MAT.4.16	Maearima weiakia
MAT.4.16	wapurai ṯemiaho haukia
MAT.4.16	ea rarina 'akina kateihana.
MAT.4.16	Weiakia 'ari aiaiakia hanokiai
MAT.4.16	ṯemiaho haukia herekiai
MAT.4.16	ea kerara.” 
MAT.4.17	Rani weianai Iesu ena iroro ea'i ramana etibaha, “Emi ki'ai tomoraona kabe, pokina Tirama ena obia aiarana
MAT.4.18	Iesu Galilea 'obu poena haiana ekana eao aonai, a'a hati rua Simona, teaparina Petero, uaho 'abana Anderea ohi eihanakia ekia re'e 'obu aonai tehorenakia, pokina ia hanona ba'eha haukia. 
MAT.4.19	Iesu ehina benakia etibaha, “Muri'uai tomai. Au kahore maearima iba'eha benikia haumiai kabaonimi.” 
MAT.4.20	Beronai ekia re'e tehabonakia murinai teao.
MAT.4.21	Eka'a haha eao hanona a'a hati rua Iakobo mai Ioane hamakia Sebedeo kipokia ekia ahi ahanai ekia re'e tiahu abunakia eihanakia ba eaparinakia. 
MAT.4.22	Beronai ekia ahi mai hamakia tehabonakia Iesu murinai teao.
MAT.4.23	Iesu Galilea hanona maikoina aona ekana, Iuda haukia ekia marea aokiai eba'iobi, Tirama ena obia aiarana pouna namona eiroro aina, mai maearima ekia inawa haeai haeai mai hau haiara haeai haeai ikoinai ebanamonakia. 
MAT.4.24	Suria hanopakana maikoina aonai pouna erama otaraina, weiana maearima tehore inawa haeai haeai haukia temaiainakia Iesu herena, hau haiara haeai haeai haukia, aokiai auba ki'a obokia haukia, nawa ti'ari aina haukia, mai 'ome haukia. Ia ehore ikoinai ebanamonakia. 
MAT.4.25	To'u rarina 'akina Galileai mai weiakia Aiara Harauhaeai, Ierusalemai mai Iudai, Ioridana atena abiranai hanokia maearimakia Iesu murinai teka'a.
MAT.5.1	Iesu mako eihanakia raninai oeoai ekara'au weia emiati. I'abana haukia temai herena, 
MAT.5.2	weia ena ba'iobi ea'i ramana, ehina benakia etibaha,
MAT.5.3	“Aokia te'aiaunu haukia
MAT.5.3	hanona tenamo,
MAT.5.3	pokina Tirama ena obia aiarana
MAT.5.3	hanona ia 'eukia.
MAT.5.4	Tihai hai haukia
MAT.5.4	hanona tenamo,
MAT.5.4	pokina Tirama aokia
MAT.5.4	kebataburanakia.
MAT.5.5	Mamata haukia hanona tenamo,
MAT.5.5	pokina hano e'abi'uai aina hauna
MAT.5.5	katea'ina.
MAT.5.6	Aka berona timare'a aina
MAT.5.6	mai ti'ako 'ororo aina haukia
MAT.5.6	hanona tenamo,
MAT.5.6	pokina Tirama kehore ekia raona
MAT.5.6	kebabonunakia.
MAT.5.7	Maearima tiaoko'o ainakia haukia
MAT.5.7	hanona tenamo,
MAT.5.7	pokina ia abokiamo Tirama
MAT.5.7	keaoko'o ainakia.
MAT.5.8	Aokia timahamaha haukia
MAT.5.8	hanona tenamo,
MAT.5.8	pokina ia hanona
MAT.5.8	Tirama kateihana.
MAT.5.9	Baibua akana tibabaina haukia
MAT.5.9	hanona tenamo,
MAT.5.9	pokina Tirama kehore
MAT.5.9	nahunai kebaonakia.
MAT.5.10	Aka berona tibabaina paunai
MAT.5.10	ti'oatanakia haukia
MAT.5.10	hanona tenamo,
MAT.5.10	pokina Tirama ena obia aiarana
MAT.5.10	hanona ia 'eukia.
MAT.5.11	Au muri'uai tuka'a paunai
MAT.5.11	maearima kateaiahunimi
MAT.5.11	mai kate'oatanimi,
MAT.5.11	bai'oi 'abikia ki'a obokia
MAT.5.11	haeai haeai heremiai katehina
MAT.5.11	hanona tonamo.
MAT.5.12	Aomi kenamo mai katoaonamo,
MAT.5.12	pokina kupai hana 'arami rarina.
MAT.5.12	'Uainai mahabanai haukia temiaho
MAT.5.12	raninai ṉa te'oata aihonakia.
MAT.5.13	Wai hanona maearima ekia kikimaru. Ia kikimaru ena 'aku'aku ke'akauma raninai, aea keiba'aku'aku mue aiho? Taba baika herekiai ena aka aha'i buonai, kahane'e ahina maearima ahanai kate'ehe hai 'ehe haina.
MAT.5.14	Wai hanona maearima ekia ea. Aiara oeo 'ubinai tebabaina hauna hanona kebuni a'i ketaina. 
MAT.5.15	Hau ha ramepa keba'arana raninai uro ba'anai a'i kehorotina. Ia ihao'auna 'ekanai kehao'auna, ba maearima ikoinai itu aonai haukia ea kebenakia. 
MAT.5.16	Taeara neiana ihobonai, emi ea maearima wairakiai tomobawaira tinana, weiana aka namokia tubabai hanona temeiha Hamami kupai hauna temebanamona.
MAT.5.17	Ṉa a'i katoraona aiho au amai hanona Mose ena Rauhubu mai mahabanai haukia ekia ba'iobi ka'i parenakia paunai. Au amai hanona a'i ka'i parenakia, ia ekia ba'iobi kabatohanakia. 
MAT.5.18	'Abi tohana au wai nahinabenimi, hanopaka mai kupa katepua, ia rererere puapuana 'aki ha 'ao 'abi papana 'aki ha rauhubu aonai a'i ke'akauma keao mo taba ikoinai katerama ore. 
MAT.5.19	Weiana buonai hau ha rauhubu papana 'aki a'i nika'aina ba maearima baika ba'iobi weiana ihobona kebenakia hanona Tirama ena obia aiaranai ia hanona ke'aera 'aera 'aki. Ia tai rauhubu nika'ai haraina mai ba'iobi weiana ihobona nibenakia hanona Tirama ena obia aiaranai ia hanona keapa'ua. 
MAT.5.20	Au wai nahinabenimi, wai emi bero akakia katehore weiakia Parisea haukia mai rauhubu poki haukia ekia bero akakia a'i katetara haonakia raninai Tirama ena obia aiaranai a'i katokatoto 'apua.
MAT.5.21	'Uainai 'aba'abami herekiai tehinana 'abina aba tona. “A'i koahuahu, ia hau ha keahuahu hauna hanona bakai 'ekanai kehoroti.” 
MAT.5.22	Ia bariu au nahinabenimi. Hau ha uaho'abana niopuereaina hanona kateaoaina bakai 'ekana. Haeamona hau ha uaho'abana po'ona kehinana hanona kateaoaina bakai apa'uana ṯe'imana haukia herekia. Ia hau ha uaho'abana kehinabena ketibaha, “Ao 'abaea tohamu.” hanona kateaoaina 'eka ki'a obona iruba a'i ni'ao 'apua 'ekana.
MAT.5.23	Weiana paunai emu ibeni tabana itara robena ahanai nubaibeni aonai uaho'abamu herenai emu beho ha nemiaho hauna oraona tinana raninai, 
MAT.5.24	emu ibeni tabana weia itara robena wairanai kohabona. Koao 'uai uaho'abamu herenai torarua kato'abi oioi, ba komue emu ibeni tabana kobaibeni.
MAT.5.25	Hau ha oi beho 'ekanai ehorotini'o hauna bariu torarua bakai 'ekana tuao aonai moba'amena beho weiana tomobabero biaina, ba bakai wairanai kokoroti. Weiana a'i kobabaina raninai, oi ni'oatani'o hauna bakai ne'imana hauna imanai keutani'o, bakai ne'imana hauna habuni hauna imanai keutani'o, ba oi hanona wapura 'ekanai kate horotini'o. 
MAT.5.26	'Abi tohana au nahina beni'o, oi hanona a'i kokarahi 'apua keaomo emu beho 'arana pene orena kobaibeni.
MAT.5.27	Wai 'abi 'uruna aba tona ṉa e'abi aiho, ‘Oi hau ha atawana a'i konabau aina.’ 
MAT.5.28	Ia au wai nahina benimi hau ha babi'e neihana ba niraona ki'a hanona aonai aba nabau hoana ebabaina ia herenai.
MAT.5.29	Mahamu itipana ki'ai nihorotini'o raninai, ko'ipa ahina kone'ena. Hauanimu puana ke'akauma hanona enamo ba haumu maikoina iruba a'i ni'ao 'apua 'ekana aonai a'i mekapo totoni'o marikina. 
MAT.5.30	Mai imamu itipana ki'ai nihorotini'o raninai, kokabe hurina kone'ena. Haumu puana hamona ke'akauma hanona enamo ba haumu maikoina iruba a'i ni'ao 'apua 'ekana aonai a'i mekapo totoni'o marikina.
MAT.5.31	Abomo ṉa e'abi aiho, ‘Hau ha atawana nibakarahina raninai bakarahi marerena ha kererena kebena.’ 
MAT.5.32	Ia au wai nahinabenimi, hau ha atawana a'i nimaha porepore ia nibakarahi 'abaeana hanona ena behoai atawana nabau 'ekanai ehorotina, mai hau ha kehore tebakarahina babi'ena weiana keatawana hanona ia abomo nabau hoana ebabaina.
MAT.5.33	Haeamona 'uainai 'aba'abami herekiai tehinana 'abina aba tona, ‘Emi 'abi'uai hanona a'i katokabena. Ia emi 'abi'uai pahihina Obiapaka herenai hanona katobabaina.’ 
MAT.5.34	Ia au wai nahinabenimi. 'Abi'uai pahihina a'i katobabaina. Kupa ahanai 'abi'uai pahihina a'i katohinana, pokina ia hanona Tirama ena imia'au. 
MAT.5.35	'Ao hanopaka ahanai 'abi'uai pahihina a'i katohinana, pokina ia hanona Tirama 'apuna ihorotina 'ekana, 'ao Ierusalema ahanai 'abi'uai pahihina a'i katohinana, pokina ia hanona Obia 'arana apa'uana ena aiara. 
MAT.5.36	Mai oi 'aramu ahanai 'abi'uai pahihina a'i kohinana, pokina oi buimu ha hamona kobaporena 'ao koba'umuna hanona a'i o'iobina. 
MAT.5.37	Oi mo emu 'abi, 'E re'a 'E, 'ao Aha'i re'a Aha'i. Taba neiakia waira 'akinai nohinanakia hanona hau ki'a obona herenai timai.
MAT.5.38	Wai 'abi neiana aba tona e'abi etibaha, ‘Maha 'arana hanona maha, mai nihe 'arana hanona nihe.’ 
MAT.5.39	Ia au wai nahinabenimi, maearima ena ki'a 'arana hanona a'i kobamuena. Hau ha mekemu itipana kebo'ana raninai, koke'e banai awarimu abomo kobena. 
MAT.5.40	Hau ha nenuatae emu ibatoto kea'ina paunai bakai 'ekanai kehorotini'o raninai, emu iro'abu abomo kobena. 
MAT.5.41	Hau ha kebahi ahini'o maela hamona koka'aina raninai, torarua maela rua katoka'aina. 
MAT.5.42	Maearima tinoini'o tabana hanona kobenakia, mai heremuai taba ha nenuatae aina kea'i 'abaeana hanona a'i koubo aina.
MAT.5.43	Wai 'abi 'uruna aba tona ṉa e'abi aiho, ‘Heremiai haukia katoraona'au ainakia mai emi 'ou haukia katobaki'anakia.’ 
MAT.5.44	Ia au wai nahinabenimi, emi 'ou haukia katoraona'au ainakia mai weiakia ti'oatanimi haukia paukiai kato bahuba'ari. 
MAT.5.45	Weianai wai hanona Hamami kupai hauna nahunai katoao. Ia ena beraura ihobonai mo nibararana ki'a haukia mai namo haukia herekiai, mai abara ihobona mo nibatibona babai bero haukia mai babai ki'a haukia herekiai. 
MAT.5.46	Wai maearima weiakia tiraona'au ainimi haukia mo turaona'au ainakia raninai 'arami hanona taba katoa'ina? Moni bararo haukia abomo ua tibabai aiho. 
MAT.5.47	Wai uaho'abami mo tubaonakia raninai, emi namo hanona taba maearima baika herekiai? A'i tia'ikakauma haukia abomo ua tibabai aiho. 
MAT.5.48	Ua buonai wai katobero harai ihobona Hamami kupai nemiaho hauna ebero harai 'abana.”
MAT.6.1	“Kato'ima'ima harainimi, emi bero akakia maearima wairakiai a'i katobabai, a'i temeihanimi marikina. Ua katobabai aihona raninai wai hanona 'arami aha'i Hamami kupai hauna herenai.
MAT.6.2	Weiana buonai baraibarai tabana uraru hauna kobena raninai, maearima wairakiai a'i koapa, ihobona bahaorea haukia marea aokiai mai aiara ibuakiai tibabaina 'abana maearima banamo ia katebenakia paunai. 'Abi tohana au wai nahinabenimi, ia hanona 'arakia maikoina aba tea'ina. 
MAT.6.3	Ia wai uraru haukia tubarainakia raninai, imamu awarina hauna a'i ke'iobina imamu itipana hanona taba nibabaina. 
MAT.6.4	Weiana emu baibeni hanona aomuai kobunina. Ba Hamamu taba bunianai tirama neihanakia hauna oi 'aramu kebeni'o.
MAT.6.5	Wai katobahuba'ari raninai bahaorea haukia 'abakiai a'i katoao. Ia ekia nuatae apa'uana hanona marea aokiai mai aiara ibuakiai katekoroti katebahuba'ari maearima ia kateihanakia paunai. 'Abi tohana au wai nahinabenimi, 'arakia maikoina aba tea'ina. 
MAT.6.6	Ia kobahuba'ari raninai, emu ikaihuri aonai kokatoto ba emu pa'abi kokaiabuna kobahuba'ari Hamamu a'i noihana hauna herenai. Hamamu taba bunianai tirama neiha hauna 'aramu kebeni'o.
MAT.6.7	Tubahuba'ari aonai 'abi anikia ha'i haukia bo'ona a'i katohina matoha rama haeai haukia tibabaina 'abana. Tiraonana ekia bahuba'ari nihoma'a hanona Tirama aiakia aba niona. 
MAT.6.8	Ia 'abakiai a'i katoao. Wai Hamami a'i tunoi bahana aonai aba e'iobina wai taba tonuatae aina.
MAT.6.9	Wai hanona ṉa katobahuba'ari aiho.
MAT.6.9	‘Hamamai e, kupai nomiaho.
MAT.6.9	Oi atamu hanona katabarobena.
MAT.6.10	Emu obia aiarana kemai,
MAT.6.10	ikoimaiai emu nuatae
MAT.6.10	katababaina hanopakai,
MAT.6.10	ihobona kupai tibabaina 'abana.
MAT.6.11	Bariu rani neianai aniani
MAT.6.11	ṯanuatae aina hauna kobenamai.
MAT.6.12	Emai ki'a tababai haukia
MAT.6.12	mohina hao,
MAT.6.12	ihobona weiakia heremaiai
MAT.6.12	tebabai ki'a haukia ekia ki'a
MAT.6.12	tahina hao 'abana.
MAT.6.13	A'i koaoainamai baihobo 'ekakiai,
MAT.6.13	ia tiaporo herenai kobamaurinamai.
MAT.6.13	(Kupa aiarana oi 'eumu, Hiabu oi 'eumu, Nuabi oi 'eumu,
MAT.6.13	keaomo banai banai. Amen.)’
MAT.6.14	Maearima weiakia heremiai tebabai ki'a haukia ekia ki'a katohina haonakia raninai, Hamami kupai hauna emi ki'a abomo kehina haonakia. 
MAT.6.15	Ia wai maearima ekia ki'a a'i katohina haonakia raninai, Hamami kupai nemiaho hauna abomo emi ki'a a'i kehina haonakia.
MAT.6.16	Wai tuanirobe raninai wairami a'i katobabira biranakia matoha bahaorea haukia 'abakia. Ihakia tibamaea maeanakia maearima ikoinai kateihanakia kate'iobina ia hanona tianirobe. 'Abi tohana au wai nahina benimi, 'arakia maikoina aba tea'ina. 
MAT.6.17	Ia oi koanirobe raninai, wairamu koutu mai 'aramu tehoroai koutuna. 
MAT.6.18	Weiana maearima a'i kate'iobina oi hanona nuanirobe, iamo Hamaka a'i nahaihana hauna mo ke'iobina. Ba Hamamu taba bunianai tirama neihanakia hauna kehore 'aramu kebeni'o.
