GEN.1.1	Ndee jaxtnañuꞌu ja ni junkoo ñuyiu, ni saꞌa ia Dios andivi jin ñuyiu. 
GEN.1.14	Te jiñaꞌa Dios: “Ja na vi yeꞌe niꞌnu ndee andivi, nagua ja na saꞌa siin nduu jin jakuaa, nagua ja na vi kokuu in seña ja vi kondeka kuia vi yoo vi kiuu. 
GEN.1.15	Te na vi koyeꞌe niꞌnu ndee andivi, nagua ja na vi koxnuu nuu ñuyiu”.
GEN.1.15	Te saa ni kuu. 
GEN.1.16	Te ni saꞌa Dios uu ndatniuu naꞌnu ja vi koyeꞌe. Jakaꞌnu ka kuu ja koyeꞌe tnoꞌo nduu, te jalule ka kuu ja koyeꞌe tnoꞌo jakuaa, te suni saa ni ni saꞌa ya kimi. 
GEN.1.17	Te ni jani ya ndee andivi ja na vi koyeꞌe niꞌnu nuu ñuyiu, 
GEN.1.18	nagua ja na vi kondeka nduu jin jakuaa, te na kuu siin jayeꞌe jin janee. Te ni ndiaꞌa Dios ja ndiꞌi ja ni saꞌa ya oo guaꞌa. 
GEN.1.19	Te saa ni kuu ja mañini vi ndee neꞌe kiuu kuu kuun.
GEN.1.20	Te jiñaꞌa Dios: “Na taꞌu ndinuu nuu kiti ndute vi kiti na vi kondagua siki ñuꞌu ichi andivi”.
GEN.1.21	Te ni saꞌa Dios kiti naꞌnu ndevaꞌa ñuꞌu nuu mar vi ndinuu nuu kiti ndute suni ndinuu nuu kiti ndagua.
GEN.1.21	Te ni ndiaꞌa Dios ja ndiꞌi ja ni saꞌa ya oo guaꞌa. 
GEN.1.22	Te ni saꞌa vii saꞌa vaꞌa Dios ndiꞌi ti, te jiñaꞌa ya:
GEN.1.22	―Roon kiti ndute, vi taꞌu kuaꞌa ron, te vi kaya ron ndee na chitu nii nuu ndute mar, saa ni kiti ndagua, vi taꞌu kuaꞌa ron ndee na chitu ron nuu ñuꞌu.
GEN.1.23	Te saa ni kuu ja mañini vi ndee neꞌe kiuu kuu uꞌun.
GEN.1.24	Yun te jiñaꞌa Dios: “Na taꞌu ndinuu nuu kiti koo nuu ñuꞌu, kiti tata ja oo kuun ndaꞌa vi ndiꞌi kiti yuku vi kiti ñuu chii nuu ñuꞌu na koo ndinuu nuu ti”.
GEN.1.24	Te saa ni kuu. 
GEN.1.25	Te ni saꞌa Dios ndinuu nuu kiti yuku vi kiti tata vi ndinuu nuu kiti ñuu maa nuu ñuꞌu. Te ni ndiaꞌa Dios ja ndiꞌi ja ni saꞌa ya oo guaꞌa.
GEN.1.26	Yun te ni kaꞌan Dios: “Na vi saꞌo teyii vi nagua ka ndaa mao na kava de vi nagua ka oo ka ndaa mao, te na kotatnuni de nuu chiaka vi nuu ndiꞌi kiti ndagua ichi andivi vi kiti tata ja oo kuun ndaꞌa vi kiti yuku vi ndiꞌi kiti ñuu maa nuu ñuꞌu”.
GEN.1.27	Te ni saꞌa ia Dios teyii vi nagua kaa nagua oo maa ya, ni saꞌa ya teyii vi ñasiꞌi. 
GEN.1.28	Te ni saꞌa vii saꞌa vaꞌa ña Dios, te jiñaꞌa ya:
GEN.1.28	―Vi kaya kuakuaꞌa ndikin tata ron, te vi chitu ron ñuyiu, te vi kotatnuni ron nuu ñuyiu, vi kotatnuni ron nuu kiti ndute mar vi nuu kiti ndagua ichi andivi vi nuu ndiꞌi kiti yuku ja ka teku ti ñuyiu yaꞌa.
GEN.1.29	Te jiñaꞌa tuku Dios:
GEN.1.29	―Vitna te taa rin nuu ron ndiꞌi nuu yuku ja oo ndikin ja oo nii ñuyiu yaꞌa vi yutnu kuun ja vixin tnu ja suni oo ndikin ja vi kokaa ron. 
GEN.1.30	Te ndiꞌi kiti yuku vi ndiꞌi kiti ndagua ichi andivi vi ndiꞌi kiti ñuu maa nuu ñuꞌu ja ka teku ti kuñaꞌa rin ndiꞌi yuku kuii ja vi kokaa ti.
GEN.1.30	Te saa ni kuu. 
GEN.1.31	Te ni ndiaꞌa Dios ja ndiꞌi ja ni saꞌa ya oo guaꞌa ndevaꞌa. Te saa ni kuu ja mañini vi ndee neꞌe kiuu kuu iñu.
GEN.2.1	Yun te ni ndiꞌi ni saꞌa ya ñuyiu vi andivi vi ndiꞌi ja oo nui. 
GEN.2.2	Te ni xndiꞌi Dios tniuu ni saꞌa ya kiuu kuu iñu, guaa kiuu kuu uja ni ndatatu ya jin ndiꞌi ja ni saꞌa ya. 
GEN.2.3	Te ni saꞌa vii ni saꞌa vaꞌa Dios kiuu kuu uja, guaa ni kaꞌan ya ja kiuu ii kuu, chi kiuu yun ni ndatatu ya jin ndiꞌi ja ni saꞌa ya ja oo ñuyiu.
GEN.2.4	Yaꞌa kuu yoꞌo ñuyiu vi andivi nuu ni jinkoi, te kiuu yaꞌa ni saꞌa Jitoꞌo Dios ñuyiu jin andivi. 
GEN.2.5	Su chiaꞌan ka saꞌun na in yutnu nana ni ja tu na ndee jite ni in yuku, chi chiaꞌan ka ja skuun Jitoꞌo Dios sau nuu ñuꞌu, ni tu na in tee ni oo ja kutu nuu ñuꞌu. 
GEN.2.6	Chi suaꞌa ni ni onana yoko nuu ñuꞌu, te ni ojinkoo yuyu ja ni ojoso nii nii nuu ñuꞌu. 
GEN.2.7	Yun te ni kiꞌin Jitoꞌo Dios ñuyaka ñuꞌu, te ni saꞌa ya teyii. Ni tiutachi ya xtnii de, te ni niꞌi de ja ni kuu ndakuaan tachi de, te ni kuu de in teyii teku ñuyiu. 
GEN.2.8	Te ni skute Jitoꞌo Dios yutnu kuii nuu nani Edén ichi kana nikandii, te yun ni jinsiaꞌa ya teyii ni saꞌa ya. 
GEN.2.9	Te saꞌa Jitoꞌo Dios ja ni ka jite ndinuu nuu yutnu kuun javixin tnu, te luu ndevaꞌa ka naꞌa kiti vixin yun, te oo guaꞌa ti ja kaa de. Te suni maꞌñu sagua ni skute Dios in yutnu taa ja kotekuo vi yutnu ja skuni ña javaꞌa vi jakueꞌe.
GEN.2.10	Te Edén yun ni taꞌu in yute ja kuꞌñu ndiꞌi yutnu kuii yun, te yun teꞌnde tnaꞌa kuun nuu yute yun. 
GEN.2.11	Te in yute xtnañuꞌu nani Pisón ja ni jionduu nii ñuu nani Havila nuu oo oro. 
GEN.2.12	Te oro oo ñuu yun, chi ja guaꞌa ndevaꞌa kuu vi suni oo tatna xiko asin nani bedelio vi yuu vii ndevaꞌa nani ónice. 
GEN.2.13	Te yute kuu uu nani Gihón. Yute yaꞌa jionduu nii ñuu nani Cus. 
GEN.2.14	Te yute kuu uni nani Tigris. Te suu kuu ja yaꞌa ichi kana nikandii ñuu nani Asiria. Te yute kuu kuun nani Éufrates.
GEN.2.15	Te ni jinsiaꞌa ña Jitoꞌo Dios jin teyii nuu ni skute ya yutnu kuii nuu nani Edén ja na koxtaya de nduꞌu tnu vi na koto de tnu. 
GEN.2.16	Te tatnuni Jitoꞌo Dios nuu de, te jiñaꞌa ya:
GEN.2.16	―Ndiꞌi javixin kuun nuu yutnu kuii jian kuu kaa ron. 
GEN.2.17	Su javixin kuun yutnu skuni ña javaꞌa vi jakueꞌe ma kuu kaa ron, chi kiuu na kaa ron javixin tnu, te vi jandaa kaꞌan rin ja kuu ron ―jiñaꞌa ya.
GEN.2.18	Te ni kaꞌan tuku Jitoꞌo Dios:
GEN.2.18	―Masu guaꞌa kuu ja koo maintnoꞌo teyii, te na saꞌa rin in ja kuu kochituu tnaꞌa jin de.
GEN.2.19	Jitoꞌo Dios ni saꞌa nuu ñuꞌu yaꞌa ndiꞌi kiti yuku vi kiti ndagua andivi, te ni jinsiaꞌa ya ti nuu Adán nagua ja na kondiaꞌa de ti, te na nduku de nagua vi konani ti. Te ndiꞌi naxa ni xnani Adán ti, te vi saa ni kendoo ja ka nani ti. 
GEN.2.20	Te ni nduku Adán sivi ndiꞌi kiti yuku vi kiti ndagua andivi vi kiti tata. Su maa de, chi tu na in kuu chituu tnaꞌa inuu jin de. 
GEN.2.21	Yun te ni saꞌa Jitoꞌo Dios ja ni kixin naa ndevaꞌa Adán, te nini kixin de, te ni tau ya in yiki yika de, te ni ndakasi ya jin kuñu nuu ni tau ya yiki yun. 
GEN.2.22	Te vi jin yiki yika maa de yun ni tnii Jitoꞌo Dios, te ni saꞌa ya in ñasiꞌi, te ni jiñaꞌa ya nuu de ja vi kokuu nduu jin de. 
GEN.2.23	Te nuu ni jini ña Adán, te jiñaꞌa de:
GEN.2.23	―Vitna te maa ron kuu yiki rin jin kuñu rin, te ñasiꞌi konani ron, chi nuu yiki kuñu teyii ni tau ña ia Dios.
GEN.2.24	Te yun guaa xndoo teyii tata de vi nana de, te nitnaꞌa de jin ñasiꞌi de, te ndi nduu de jin ña ka kuu invaa ni ka ñayiu. 
GEN.2.25	Te nduu Adán jin ñasiꞌi de ni ka oo vichi, su tu ni ka okuu kanoo de.
GEN.3.1	Te koo kuu kiti ndichi ndevaꞌa ka ini saa nuu ndiꞌi kiti yuku ja ni saꞌa Jitoꞌo Dios. Ni jikan tnoꞌo ndichi ña ti jin ñasiꞌi yun, te jiñaꞌa ti:
GEN.3.1	―¿A ndija ja ni kaꞌan Dios ja ma kuu vi kaa ron kiti vixin kuun nuu ndiꞌi yutnu kuii yaꞌa?
GEN.3.2	Te jiñaꞌa ñasiꞌi yun nuu koo:
GEN.3.2	―Kuu vi kaa rin ndeni javixin kuun nuu yutnu kuii yaꞌa. 
GEN.3.3	Su javixin kuun yutnu nukuiin sagua yaꞌa guaa kachi Dios: “Ma vi kaa ron javixin tnu ni ma vi keꞌe ron, nagua ja ma vi kuu ron”, kachi ya ―jiñaꞌa ña.
GEN.3.4	Yun te jiñaꞌa koo yun nuu ñasiꞌi:
GEN.3.4	―Ma vi kuu ron, 
GEN.3.5	chi jini guaꞌa Dios ja kiuu na vi kaa ron kiti vixin yaꞌa, te vi nune nuu ron ja vi kuni ron ndeja kuu javaꞌa vi ndeja kuu jakueꞌe, te vi kuu inuu ron jin maa Dios ―jiñaꞌa ti.
GEN.3.6	Te ni jini ñasiꞌi yun ja guaꞌa kiti vixin kuun yutnu yun ja vi kaa ña ti, te ni ndakondiaꞌa ña ja luu ndevaꞌa ka ndaa kiti vixin yun, te guaꞌa ja vi kuu ndichi ña, te ni jaꞌnde ña in kiti vixin yun, te ni jaa ña ti, te suni ni jiñaꞌa ña ti ni jaa yii ña. 
GEN.3.7	Yun te vi nuu saa ni ka jini nduu de jakanoo ja siun ka ndaa vichi de. Te ni ka kiku de ndaꞌa tnu tichi iuu, te ni ka chisaꞌu de maa de jin ña.
GEN.3.8	Yun te ni ka jini soꞌo de kana Jitoꞌo Dios jiondita ya nuu yutnu kuii nuu ni jinkiꞌi tachi nuu mañini yun. Te ni ka tayuꞌu nuu de neꞌu yutnu kuii yun jin ñasiꞌi de. 
GEN.3.9	Te ni ndakana ña Jitoꞌo Dios jin teyii yun, te jiñaꞌa ya:
GEN.3.9	―¿Ndenu oo ron?
GEN.3.10	Te jiñaꞌa de:
GEN.3.10	―Ni jini soꞌo san ja kana ni jiondita ni neꞌu yutnu kuii yaꞌa, chia kaa vichi san, te yun guaa ni yuꞌu san, te ni tayuꞌu nuu san ―jiñaꞌa de.
GEN.3.11	Te jiñaꞌa Dios:
GEN.3.11	―¿Na in ni kaxtnoꞌo nuu ron ja oo vichi ron? ¿A masu ni jaa ron javixin yutnu ni tatnuni rin ja ma kuu kaa ron?
GEN.3.12	Te jiñaꞌa de:
GEN.3.12	―Ñasiꞌi ni taa ni ja kokuu nduu jin san ni taa ti, te ni jaa san ―jiñaꞌa de.
GEN.3.13	Yun te jiñaꞌa Jitoꞌo Dios nuu ñasiꞌi yun:
GEN.3.13	―¿Nagua kuu ja ni saꞌa ron?
GEN.3.13	Te jiñaꞌa ña:
GEN.3.13	―Koo ni xndaꞌu ña, guaa ni jaa san ti.
GEN.3.14	Yun te jiñaꞌa Jitoꞌo Dios nuu koo yun:
GEN.3.14	―Te ja siaꞌa ni saꞌa ron, te tau tniaꞌa ron nuu ndiꞌi kiti tata vi ndiꞌi kiti yuku, te koñuu ron chii ron kokaka ron, te ñuyaka ñuꞌu kokaa ron ndiꞌi ni kiuu ja koteku ron. 
GEN.3.15	Te saꞌa rin ja vi kuni uꞌu tnaꞌa ron jin ñasiꞌi yaꞌa, te vi suni saa ni ndikin tata ron jin ndikin tata ña vi konee uꞌu tnaꞌa, te kuain niꞌnui xini ron, te maa ron guaa kayiꞌi ron xujaꞌi.
GEN.3.16	Te jiñaꞌa ya nuu ñasiꞌi yun:
GEN.3.16	―Nuu ñuꞌu lulu ron te skaya kuaꞌa ndevaꞌa rin ja kojatu chii ron, te vi ndee jatu ja niꞌni ron te koskaku ron seꞌe ron, te visi ni saa, su kokaꞌan ron yii ron, te suu de guaa kotatnuni nuu ron.
GEN.3.17	Te nuu teyii yun jiñaꞌa ya:
GEN.3.17	―Te roon ja ni kandija ron tnoꞌo ni kaꞌan ñasiꞌi ron, te ni jaa ron javixin yutnu ni tatnuni rin ja ma kuu kaa ron, te ja kuechi ron kuu ja tau tniaꞌa ñuꞌu yaꞌa, te kuaꞌa tnundoꞌo kotnaꞌa ron, te koniꞌi ron ja kokaa ron nuu ñundeꞌi yaꞌa nikuii nikani ni ja koteku ron. 
GEN.3.18	Te konana kuaꞌa tnu iñu naꞌnu vi iñu kanchu nuu jitu ron, te kokaa ron yuku kuii ja nana nuu ñuꞌu ron. 
GEN.3.19	Te ndee tnaa ndee tatu ron, te saa koniꞌi ron ja vi kokaa ron guaa ndee nuu ndajiokuiin ron ja nduu ron ñuꞌu, chi ñuꞌu ni kuvaꞌa ron, te jin ñuyaka ñuꞌu kuu ron, te suni ñuyaka nduu ron ―jiñaꞌa Dios suaꞌa.
GEN.3.20	Te Eva
GEN.3.21	Te ni saꞌa Jitoꞌo Dios saꞌun ñii kiti, te ni skuiꞌnu ya teyii yun jin ñasiꞌi de.
GEN.3.22	Te jiñaꞌa Jitoꞌo Dios: “Vitna te ni jinkuꞌun kaji ini teyii na kuinio ndee in mao, chi ja jini de nagua kuu javaꞌa vi jakueꞌe, te kana saa skaa de ndaꞌa de, te kuneꞌe de kiti vixin yutnu taa ja teku, te kaa de ti, te koteku de nikuii nikani”.
GEN.3.23	Te ni keneꞌe ña Jitoꞌo nuu ka oo yutnu kuii Edén yun, te ni nusiaꞌa ña ya nuu oo ñuꞌu ja ni saꞌa ña ya ja na kokutu de. 
GEN.3.24	Te nuu ni keneꞌe ña ya jin de, te ni jani ya ia ka jinokuechi nuu ya ichi nuu kana nikandii jin in yuchi kani kai vi koko kuakuaꞌa jionduu ndiꞌi ichi kuaꞌan nuu oo yutnu taa jateku yun, ja vi kokoto ya ja tu na in kiꞌin.
GEN.4.1	Yun te ni ka nitnaꞌa Adán jin ñasiꞌi de Eva, te ni jinkuꞌun lulu ña, te ni skaku ña in seyii ña te jiñaꞌa ña:
GEN.4.1	―Saa kuini maa Jitoꞌo guaa ni taa ya in seyio.
GEN.4.1	Te ni xnani ña jin Caín. 
GEN.4.2	Te nuu kuee ka, te ni kaku Abel ñani Caín. Te Abel, chi ndikachi ni otaꞌui, te Caín chi ni ojitui nuu ñundeꞌi. 
GEN.4.3	Yun te ni oo in kiuu nee Caín nagua kee nuu ñundeꞌi jitui ja ni sokoi nuu Jitoꞌo. 
GEN.4.4	Te suni Abel, chi nei seꞌe xtnañuꞌu ndikachi kiti ndatnu ka ja ni sokoi nuu Jitoꞌo, te junkuaan ini ya Abel jin ja ni sokoi. 
GEN.4.5	Su tu ni junkuaan ini ya Caín jin ja ni sokoi. Yun guaa ni kiti ndevaꞌa ini Caín, te vi ni ndukuaꞌa ñuꞌi. 
GEN.4.6	Yun te jiñaꞌa Jitoꞌo nuu Caín:
GEN.4.6	―¿Nau ja vi ni ndukuaꞌa ñuꞌu ron ja kiti ini ron? 
GEN.4.7	Su nuu ja saꞌa vaꞌa ron, te kuantaꞌu ña rin. Su nuu ja saꞌa ron jakueꞌe, te vi ja oo yika kuechi ndee yuyeꞌe ron ja kuini ja kundee nuu ron. Su nuu ja na ndakani vaꞌa ini ron, te ma junkau ron nuu yika kuechi ―jiñaꞌa ya.
GEN.4.8	Te ni oo in kiuu jiñaꞌa Caín nuu ñani Abel:
GEN.4.8	―Kiꞌinkueio yuku.
GEN.4.8	Te nuu ni jinokuei yuku yun, te ni ndakoo Caín siki ñani, te ni jaꞌni ñai.
GEN.4.9	Yun te ni jikan tnoꞌo ña Jitoꞌo jin Caín, te jiñaꞌa ya:
GEN.4.9	―¿Ndenu oo ñani ron Abel?
GEN.4.9	Te jiñaꞌi:
GEN.4.9	―Tu jini san. ¿Xaan suchi yun jito san?
GEN.4.10	Te jiñaꞌa ya:
GEN.4.10	―¿Nau ja ni saꞌa ron siaꞌa? Te niñi ñani ron ja ni jati ron nuu ñuꞌu yaꞌa kaꞌan kuechi ndee nuu rin. 
GEN.4.11	Te vitna guaa vi tau tniaꞌa ron, te ma kuu koo ka ron nuu ñuꞌu yaꞌa ja ni june yuꞌu ni koko niñi ñani ron ja ni jati ron jin ndaꞌa ron. 
GEN.4.12	Te nuu jitu ron nuu ñundeꞌi ma kokuvaꞌa guaꞌa ka, te yaꞌa yun ni kokaka ndaꞌu ron ni ma niꞌi ron ndenu guaꞌa koo ron ―jiñaꞌa ya.
GEN.4.13	Te jiñaꞌa Caín nuu Jitoꞌo:
GEN.4.13	―Ma kundee ini san ndiꞌi tnundoꞌo yaꞌa ja tniuyaꞌu san yika kuechi san 
GEN.4.14	ja vi keneꞌe ña ni kiꞌin san vitna kokaka ndaꞌu san yaꞌa yun nuu ñuꞌu, te ma kuni saꞌun ka ña san. Su ja saa, chi nani kuu ñayiu ja jinkuntnaꞌa jin san te kaꞌni ñai ―jiñaꞌa de.
GEN.4.15	Yun te jiñaꞌa Jitoꞌo:
GEN.4.15	―Masu saa kokuu, chi kaꞌan ndaa rin ja nuu ja na in na kaꞌni ña jin Caín, te uja jichi guaa xtau tniaꞌa rin ―jiñaꞌa ya.
GEN.4.15	Yun te ni chitnuni Jitoꞌo jin Caín nagua ja ma vi kaꞌni ña na in junkuntnaꞌa jin.
GEN.4.16	Yun te ni kee Caín nuu ia Dios, te kuaꞌin ja ni jinkoi ñuu nani Nod ja oo jika jin Edén ichi nuu kana nikandii. 
GEN.4.17	Yun te ni ka nitnaꞌa Caín jin ñasiꞌi de, te ni jinkuꞌun lulu ña, te ni skaku ña in seyii ña ja ni xnani ña Enoc. Te ni saꞌa Caín in ñuu ja ni xnani de Enoc, nagua nani seyii de. 
GEN.4.18	Te seꞌe Enoc ni okuu Irad, te seꞌe Irad ni okuu Mehujael, te seꞌe Mehujael ni okuu Metusael, te seꞌe Metusael ni okuu Lamec. 
GEN.4.19	Te Lamec ni jaka tnaꞌa jin uu ñasiꞌi, in ña ni onani Ada, te inka ña ni onani Zila. 
GEN.4.20	Te Ada ni skaku in seyii ña ni onani Jabal, te seꞌe tee yaꞌa ni ka okuu ndiꞌi tee ni ka onevaꞌa kiti tata, te yaꞌa yun ni ni ka osaꞌa de veꞌe saꞌun ni ka oo de. 
GEN.4.21	Te ni oo in ñani Jabal ni onani Jubal, te seꞌe tee yaꞌa ni ka okuu ndiꞌi tee ni ka otee arpa vi ni ka otiuu tnuyoo. 
GEN.4.22	Te suni Zila ni skaku ña in seyii ña ni onani Tubal-caín, te tee yaꞌa guaa ni okani kaa ni osaꞌa ndinuu nuu tniuu jin bronce vi hierro. Te ni oo in kuaꞌa Tubal-caín yun ni onani Naama. 
GEN.4.23	Te jiñaꞌa Lamec nuu nduu ñasiꞌi de:
GEN.4.23	Ada vi Zila, ñasiꞌi Lamec,
GEN.4.23	vi konini guaꞌa na kaꞌan rin.
GEN.4.23	Ja ni jaꞌni rin in tee ni xtuji ña jin rin,
GEN.4.23	te suni in tee kuechi ja ni kani ña.
GEN.4.24	Su nuu ja uja jichi tau tniaꞌa na in na kaꞌni ña jin Caín,
GEN.4.24	te ndia Lamec, chi uni xiko uxi jichi ja uja tau tniaꞌa na in na kaꞌni ña.
GEN.4.24	Jiñaꞌa de.
GEN.4.25	Yun saa ni ka nitnaꞌa tuku Adán jin ñasiꞌi de, te ni junkuꞌun lulu ña, te ni skaku ña in seyii, te ni xnani ña jin Set, chi ni kaꞌan ña:
GEN.4.25	―Ia Dios ni ndataa inka seyio nuu tniuu Abel suchi ni jaꞌni Caín.
GEN.4.26	Te suni Set ni oo in seyii de, te ni xnani ña de Enós. Yun te saa ni ka jinkondee ñayiu ni ka ndakakuneꞌi sivi Jitoꞌo.
GEN.5.1	Yaꞌa kuu nuu ndakani tatatnoꞌo Adán. Te nuu ni saꞌa ia Dios teyii vi ni saꞌa ya nagua oo nagua kaa maa ya. 
GEN.5.2	Ni saꞌa ya teyii vi ñasiꞌi. Yun te ni saꞌa vii ni saꞌa vaꞌa ña ya, te ni xnani ya Adán kiuu ni saꞌa ña ya ja jinkuiꞌnu ini teyii. 
GEN.5.3	Te ja oo Adán ciento oko uxi kuia, te ni jinkoo in seyii de ja vi ni ndaku ndandaꞌa ñai vi nagua oo nagua kaa maa de. Te ni xnani de jin Set. 
GEN.5.4	Te nuu kuee ka ja ni jinkoo Set, te ni ka jinkoo ka seyii vi sesiꞌi de, te una ciento ka kuia ni oteku de ñuyiu. 
GEN.5.5	Te ndiꞌi kuia ja ni oteku Adán kuu iin ciento oko uxi kuia, te ni jiꞌi de.
GEN.5.6	Ja oo Set in ciento uꞌun kuia, te ni jinkoo seyii de Enós. 
GEN.5.7	Te nuu kuee ka ja ni jinkoo Enós, te ni ka jinkoo ka seyii vi sesiꞌi de, te una ciento uja ka kuia ni oteku de ñuyiu. 
GEN.5.8	Te ndiꞌi kuia ja ni oteku Set kuu iin ciento uxi uu kuia, te ni jiꞌi de.
GEN.5.9	Te ja oo Enós kuun xiko uxi kuia, te ni jinkoo seyii de Cainán. 
GEN.5.10	Te nuu kuee ka ja ni jinkoo Cainán, te ni ka jinkoo ka seyii vi sesiꞌi de, te una ciento xaꞌun ka kuia ni oteku de ñuyiu. 
GEN.5.11	Te ndiꞌi kuia ja ni oteku Enós kuu iin ciento uꞌun kuia, te ni jiꞌi de.
GEN.5.12	Te ja oo Cainán uni xiko uxi kuia, te ni jinkoo seyii de Mahalaleel. 
GEN.5.13	Te nuu kuee ka ja ni jinkoo Mahalaleel, te ni ka jinkoo ka seyii vi sesiꞌi de una ciento uu xiko ka kuia ni oteku de ñuyiu. 
GEN.5.14	Te ndiꞌi kuia ja ni oteku Cainán kuu iin ciento uxi kuia, te ni jiꞌi de.
GEN.5.15	Te ja oo Mahalaleel uni xiko uꞌun kuia, te ni jinkoo seyii de Jared. 
GEN.5.16	Te nuu kuee ka ja ni jinkoo Jared, te ni ka jinkoo ka seyii vi sesiꞌi de, te una ciento oko uxi ka kuia ni ka oteku de ñuyiu. 
GEN.5.17	Te ndiꞌi kuia ja ni oteku Mahalaleel kuu una ciento kuun xiko xaꞌun kuia, te ni jiꞌi de.
GEN.5.18	Te ja oo Jared in ciento uni xiko uu kuia, te ni jinkoo seyii de Enoc. 
GEN.5.19	Te nuu kuee ka ja ni jinkoo Enoc, te ni ka jinkoo ka seyii vi sesiꞌi de, te una ciento ka kuia ni oteku de ñuyiu. 
GEN.5.20	Te ndiꞌi kuia ja ni oteku Jared kuu iin ciento uni xiko uu kuia, te ni jiꞌi de.
GEN.5.21	Te ja oo Enoc uni xiko uꞌun kuia, te ni jinkoo seyii de Matusalén. 
GEN.5.22	Te ni okandija Enoc nuu ia Dios ni ojika de ichi ya. Te nuu kuee ka ja ni jinkoo Matusalén, te ni ka jinkoo ka seyii vi sesiꞌi de, te uni ciento ka kuia ni oteku de ñuyiu. 
GEN.5.23	Te ndiꞌi kuia ja ni oteku Enoc kuu uni ciento uni xiko uꞌun kuia. 
GEN.5.24	Te ja siun ni okandija Enoc nuu ia Dios ni ojika de jin ya, te vi sanaa ni, te tu ni ka jini ka ña ñayiu, chi ni ndikuaka ña maa ia Dios.
GEN.5.25	Te ja oo Matusalén in ciento kuun xiko uja kuia, te ni jinkoo seyii de Lamec. 
GEN.5.26	Te nuu kuee ka ja ni jinkoo Lamec, te ni ka jinkoo ka seyii vi sesiꞌi de, te uja ciento kuun xiko uu ka kuia ni oteku de ñuyiu. 
GEN.5.27	Te ndiꞌi kuia ja ni oteku Matusalén kuu iin ciento uni xiko iin ka kuia, te ni jiꞌi de.
GEN.5.28	Te ja oo Lamec in ciento kuun xiko uu kuia, te ni jinkoo in seyii de. 
GEN.5.29	Te ni xnani de jin Noé, chi ni kaꞌan de: “Suchi yaꞌa guaa chituu ña nuu ndiꞌi tniuu ja saꞌo, te niꞌo ja jao nuu kuitao, te ndasaꞌa sii ini ñai nuu ñuꞌu yaꞌa ja ni xtau tniaꞌa ia Dios”, kachi de.
GEN.5.30	Te nuu kuee ka ja ni jinkoo Noé, te ni ka jinkoo ka seyii vi sesiꞌi de, te uꞌun ciento kuun xiko xaꞌun ka kuia ni oteku de ñuyiu. 
GEN.5.31	Te ndiꞌi kuia ja ni oteku Lamec kuu uja ciento uni xiko xaꞌun uu kuia, te ni jiꞌi de.
GEN.5.32	Te ja oo Noé uꞌun ciento kuia, te ni ka jinkoo seyii de ka nani Sem vi Cam vi inkai nani Jafet.
GEN.6.1	Yun te nuu ni ka jinkondee ñayiu ja ni ka kayai ñuyiu, te ni ka jinkonevaꞌi sesiꞌi. 
