MAT.1.1	Ингье, Иса 
MAT.5.10	Бахтавар я Аллагьдиз кӀанзавайди кьилиз акъудзава лугьуз хурук кутунвайбур, Цаварин Пачагьлугъ гьабурунди жеда!
MAT.5.11	Зи терефдарар я лугьуз, инсанри куь намусдик хкӀурдайла, куьн хурук кутадайла, куьне жуьреба-жуьре чӀуру крар авуна лугьуз квек квачир тахсирар кутадайла, куьнни бахтавар жеда. 
MAT.5.12	Куьне чӀехи шадвилер ая, цаварал квез Аллагьди зурба савкьват гьазурнава. Квелай вилик хьайи 
MAT.5.13	Куьн чилин кьел я. Кьелен ери квахьайтӀа, ам гьикӀ уькӀуь хъийиз жеда? Мад ам са куьнизни герек хкведач, ам инсанрин кӀвачерик гадарда.
MAT.5.14	Куьн дуьньядин экв я. Дагъдин кукӀушдал эцигнавай шегьер чуьнуьхариз жедач. 
MAT.5.15	КуькӀуьрнавай шем къапунин кӀаник кутадач, кӀвале авайбуруз экв гун патал, ам шемерганда твада. 
MAT.5.16	Гьа саягъда куь экуьнини инсанриз экв гун лазим я. Абуруни, куьне ийизвай хъсан крар акваз, цавараллай куь 
MAT.5.17	Куьне Зун 
MAT.5.18	За квез рикӀивай лугьузва: цаварни чил амай кьван гагьда Къанунда кхьенвайбур кьилиз акъат тавунмаз, анай гьич са гъвечӀи гьарфни, гьич са цӀарни квахьдач. 
MAT.5.19	Гьа икӀ, ни и гъвечӀи тагькимрикай сад хьайитӀани чӀурайтӀа ва гьакӀ амай инсанриз абур чӀуриз чирайтӀа, Цаварин 
MAT.5.20	За квез лугьузва хьи, куьне Аллагьдиз кӀанзавайди 
MAT.5.21	Дегь чӀавара инсанриз лагьай гафар квез ван хьана: «Ягъна рекьимир»
MAT.5.22	Амма За квез лугьузва хьи, жуван стхадикай хъел къвезвайдан дуванни авуна кӀанда. Ни вичин стхадиз «Вун са затӀни туш» лагьайтӀа, адан дуван 
MAT.5.23+MAT.5.24	Гьа икӀ, вун 
MAT.5.25	Вахъ галаз гьуьжетарзавайда вун дувандиз тухузватӀа, аниз фидай рекье адахъ галаз туьхкӀуьз алахъ. ТахьайтӀа, ада вун дуванбегдин, дуванбегдини вун вичиз куьмекарзавайдан гъиле твада, адани вун къазаматда твада. 
MAT.5.26	За ваз рикӀивай лугьузва: вал алай бурж эхиримжи кепекдал къведалди вахгун тавунмаз вун къазаматдай акъатдач.
MAT.5.27	Инсанриз лагьай гафар квез ван хьана: «
MAT.5.28	Амма За квез лугьузва хьи, гьар вуж са папаз темягьдалди килигайтӀа, ада вичин рикӀе адахъ галаз зинавал авуна. 
MAT.5.29	ЭрчӀи вили вун 
MAT.5.30	ЭрчӀи гъили вун гунагь ийидай йикъаз гъизватӀа, вуна ам атӀана гадара, ви вири беден жегьеннемдин цӀуз аватдалди, бедендин са чка терг хьун ваз хъсан я.
MAT.5.31	Мадни лагьанва хьи, вуж вичин папахъ галаз чара жезватӀа, къуй ада чара хьунин гьакъиндай чар кхьирай, ахпа чара хьурай. 
MAT.5.32	Амма За квез лугьузва: вуж явавал ийизвачир вичин папахъ галаз чара жезватӀа, ада вичин папаз 
MAT.5.33	Дегь чӀавара инсанриз мад лагьай гафарни квез ван хьана: «Кьур кьин чӀурмир, Аллагьдин вилик жуван кьинер кьилиз акъуд»
MAT.5.34	Амма За квез лугьузва: гьич кьин кьамир: я цаварал кьамир – ам Аллагьдин тахт я; 
MAT.5.35	я чилел кьамир – ам Ада кӀвачер эцигдай куьсри я; я Ярусалимдал кьамир – ам чӀехи Пачагьдин шегьер я; 
MAT.5.36	я жуван кьилел кьинер кьамир – вавай ви са чӀарни я лацу, я чӀулав ийиз жедач. 
MAT.5.37	Амма куь гаф я «эхь», я «ваъ» хьурай. А гафарилай артух гафар хьайитӀа, абур шийирдивай я.
MAT.5.38	Инсанриз лагьай гафарикай квез хабар я: «Ви вил акъудайтӀа, вунани вил ахкъуд, свах акъудайтӀа – свах»
MAT.5.39	Амма За квез лугьузва: ваз шийир авурдалай кьисас къахчумир. Гьадалайни артух яз, ни ви эрчӀи хъвехъ ягъайтӀа, адахъ муькуь хъвехъни элкъуьра. 
MAT.5.40	Низ вун дувандиз вугана ви перем къакъудиз кӀан хьайитӀа, адав жуван абани гахце. 
MAT.5.41	Ни вун вичихъ галаз са милдин мензилдиз физ мажбурайтӀа, вун адахъ галаз кьве милдин мензилдиз алад. 
MAT.5.42	Вавай тӀалабдайдаз це. Вавай бурж къачуз кӀанзавайдахъ далу элкъуьрмир.
MAT.5.43	Инсанриз лагьай гафар квез ван хьана: «Жуван мукьув гвайди кӀан хьухь»
MAT.5.44	Амма За квез лугьузва хьи, жуван душманарни кӀан хьухь, куьн хурук кутазвайбурун гьакъиндай 
MAT.5.45	ИкӀ авуртӀа, куьн цавараллай куь 
MAT.5.46	Квез куьн кӀандайбур кӀандатӀа, идакай квез вуч суваб жеда? И кар харж 
MAT.5.47	Куьне салам анжах жуван дустариз гузватӀа, ина кьетӀен вуч кар ава кьван? 
MAT.5.48	Цавараллай куь Бубадик нукьсан квачирвал, куьнни нукьсан квачиз хьухь.
MAT.6.1	Килиг гьа, инсанар алай чкадал жува жув къалурун патал, хъсанвилер ийимир, тахьайтӀа цавараллай куь 
MAT.6.2	Гьа икӀ, садакьа инсанриз акурай лагьана гумир. ИкӀ, инсанрин арада чпин тӀвар-ван гьатрай лугьуз, 
MAT.6.3+MAT.6.4	Садакьа гудайла, вуна ийизвай хъсанвал акьван сир кваз хьурай хьи, гьатта ви эрчӀи гъили ийизвайди чапла гъилиз чир тахьурай. Вуна сир хвена ийизвай хъсанвал аквазвай Бубади ваз суваб гуда.
MAT.6.6	Дуьа ийидайла, жуван кӀвализ гьахьна, рак агална жуван таквазвай 
MAT.6.7	Дуьа ийидайла, 
MAT.6.8	Абуруз ухшар жемир, квехъ вуч игьтияж аватӀа, куьне ам тӀалаб ийидалди виликамаз Бубадиз адакай хабар ава. 
MAT.6.9	Дуьа икӀ ая:
MAT.6.14	Куьне квек тахсир кутазвайбурулай гъил къахчуз хьайитӀа, цавараллай куь Бубадини квелай гъил къахчуда. 
MAT.6.15	Куьне квез писвалзавай инсанрилай гъил къахчун тийиз хьайитӀа, куь Бубадини куь тахсиррилай гъил къахчудач.
MAT.6.16	Сив 
MAT.6.17	Вуна, сив хуьдайла, жуван кьиливай чӀем гуьцӀна, чин-гъил чуьхуьх. 
MAT.6.18	АкӀ авуртӀа, вуна сив хуьзвайди садазни чир жедач. Вуна сив хуьзвайди ваз таквазвай ви 
MAT.6.19	И дуьньяда девлет кӀватӀмир; и дуьньяда ам гъуьчӀрени муьрхъуь тергда, угърийри атана, ви девлет чуьнуьхда. 
MAT.6.20	Девлет жуваз цаварал кӀватӀа, ана ам я гъуьчӀре, я муьрхъуь тергдач, я угърийри атана чуьнуьхдач. 
MAT.6.21	Ви девлет гьина аватӀа, ви рикӀни гьана жеда.
MAT.6.22	Бедендин чирагъ вилер я, вилер михьи ятӀа, инсан экуьнай ацӀана жеда. 
MAT.6.23	Вилер чӀуру ятӀа, инсан мичӀивиле гьатда. Ви къене авай экв мичӀиди ятӀа, а мичӀивал виле эцягъай тӀуб акван тийидайди жеда.
MAT.6.24	Гьич садавайни кьве агъадиз къуллугъ ийиз жедач: абурукай сад кӀан хьайитӀа, муькуьди такӀан жеда; садаз вафавал хвейитӀа, муькуьдаз – жедач. Аллагьдизни пулуниз квевай сад хьиз къуллугъ ийиз жедач.
MAT.6.25	ГьакӀ хьайила За квез лугьузва: вуч недатӀа ва я вуч хъвадатӀа лугьуз, жуван чан патал ва вуч алукӀдатӀа лугьуз жуван беден патал къайгъуйрик жемир. Чан тӀуьнилайни, беден пекерилайни артух тушни? 
MAT.6.26	Къушариз килиг: абуру я цазвач, я гуьзвач, я бегьер хуьдай чкайра кӀватӀзавач, амма цавараллай 
MAT.6.27	Кат-галтуг авуналди квевай нивай жуван уьмуьр са сятдин хьайитӀани артухариз жеда? 
MAT.6.28	Пекерин къайгъудани куьн гьатмир. Бубуяр гьикӀ экъечӀзаватӀа килиг: абуру я зегьмет чӀугвазвач, я са затӀ хразвач. 
MAT.6.29	Амма За квез лугьузва хьи, гьихьтин иер пекер алай 
MAT.6.30	Къе никӀяй экъечӀна пака къулаз вегьидай векь Аллагьди гьикӀ чӀагурзаватӀа
MAT.6.31	Гьа икӀ, куьн вуч неда, я вуч хъвада, я тахьайтӀа вуч алукӀда лугьуз къайгъуйрик жемир. 
MAT.6.32	 тӀуьн-хъунихъ галтугзавайбур я, цавараллай куь Бубадиз ибур вири квез герек тирди чизва. 
MAT.6.33	Гьавиляй сифте куьне Аллагьдин 
MAT.6.34	Гьа икӀ, пакагьан йикъан къайгъу чӀугвамир, адан къайгъуда пака хьухь. Къенин юкъуз къенин къайгъуярни бес я.
MAT.7.1	Куьне масадан дуван аквамир, Аллагьди куь дуванни аквадач. 
MAT.7.2	Куьне гьихьтин дуван ийизватӀа, Аллагьди куь дуванни гьакӀ ийида. Куьне гьихьтин уьлчмедалди алцумайтӀа, квезни гьахьтин уьлчмедалди алцумда. 
MAT.7.3	Жуван виле авай чукьван такваз, вучиз ваз ви стхадин виле авай кьал аквада? 
MAT.7.4	Я тахьайтӀа, вавай, жуван виле авай чукьван такваз, ви стхадиз, къала за ви виле авай кьал акъудда лугьуз жедани? 
MAT.7.5	Кьве чин алайди! Сифте жуван виле авай чукьван акъуд, ахпа ваз жуван стхадин виле авай кьал акъуддайвал аквада. 
MAT.7.6	КицӀерин вилик 
MAT.7.7	ТӀалаба – квез гуда; къекъуьгъ – квез жагъида, рак гатут – квез ахъайда. 
MAT.7.8	Гьар ни тӀалабайтӀа, гьада къачуда, вуж къекъвейтӀа, гьадаз жагъида, ни рак гатайтӀа, гьадаз рак ахъайда. 
MAT.7.9	Хци фу це лагьайла, квекай гьич са бубадини фан чкадал адав къван вугудач. 
MAT.7.10	Хци гьуьлуьн гъед тӀалабайла, адан чкадал гъуьлягъ гудач. 
MAT.7.11	Куьн хьтин писбуру чпин аялриз хъсан савкьватар гуз хьайила, цавараллай 
MAT.7.12	Гьа икӀ, инсанри куьн патал вуч авуна кӀанзаватӀа, куьнени гьабуруз гьахьтин крар ая. 
MAT.7.13	Фидайла гуьтӀуь варарай алад, гьяркьуь варарини гегьенш рекьи 
MAT.7.14	ГуьтӀуь варарини четин рекьи уьмуьрдихъ тухуда, а рехъ тӀимилбуруз жагъида.
MAT.7.15	Куь патав хипер хьиз къвезвай тапан 
MAT.7.16	Квез абур майвайрилай чир жеда. Мегер къвакъвадин вала ципицӀ гъидани? Къалгъандилай инжил атӀуз женни? 
MAT.7.17	Хъсан тарци хъсан майваяр гъида, чӀуру тарци – чӀуру майваяр. 
MAT.7.18	Хъсан тарцивай чӀуру майваяр гъиз жедач, пис тарцивайни – хъсан майваяр. 
MAT.7.19	Хъсан майваяр тегъизвай гьар гьи тар хьайитӀани атӀана цӀуз гадарда. 
MAT.7.20	ГьакӀ хьайила квез абур чпин майвайрилай чир жеда.
MAT.7.21	Заз «Агъа, 
MAT.7.22	Къияматдин 
MAT.7.23	Ахпа За абуруз лугьуда: «Заз куьн гьич чидайбур туш. Алат Залай, куьне чӀуру крар гзаф авуна».
MAT.7.24	Зи Гафариз яб гуз, абур кьилиз акъудзавайди, акьул авай, кӀвал эцигдайла, кӀвалин бине къванцел эцигай инсандиз ухшар я. 
MAT.7.25	Марф къвана, вацӀар алахьна, гарар акъатна. Вири гьа кӀвалихъ элкъвена, амма, бинеда чархунин къван ава лугьуз кӀвал чкӀанач. 
MAT.7.26	Амма зи гафариз яб гуз, абур кьилиз акъуд тийизвайди кӀвал хандакӀ авачиз, къумадал эцигнавай ахмакьдиз ухшар я. 
MAT.7.27	Марф къвана, вацӀар алахьна, гарар акъатна гьа кӀвалел ацалтна. КӀвал ацахьна, зурбадаказ чкӀана.
MAT.7.28	Исади Вичин гафар лагьана куьтягьайла, Адан чирвилери вири мягьтеларнай, 
MAT.7.29	вучиз лагьайтӀа Исади Вичин чирвилер абурун 
MAT.8.1	Иса пелелай агъуз эвичӀдайла, Адан гуьгъуьна гзаф халкь гьатна. 
MAT.8.2	Адан патав 
MAT.8.2	– Я Агъа! – лагьана ада. – Ваз кӀан хьайитӀа, Вавай Зун сагъар хъийиз жеда!
MAT.8.3	Исади гъилер яргъи авуна, адак гъил кяна, лагьана:
MAT.8.3	– КӀанзава Заз, сагъ хъхьухь!
MAT.8.3	Гьа гафунилай кьулухъ, садлагьана, жузам хкатна, ам сагъ хъхьана.
MAT.8.4	– Килиг гьа, гьич садазни чуькьмир, амма, 
MAT.8.5+MAT.8.6	Иса Кефернагьум шегьердиз гьахьайла, Адан патав 
MAT.8.5+MAT.8.6	– Я Агъа! – минетдалди лагьана ада. – Зи вач-хъша фалужди яна кӀвале къатканва, адаз тади гузва.
MAT.8.7	– За атана ам сагъар хъийида, – лагьана Исади.
MAT.8.8	– Я Агъа! – лагьана аскеррин кьиле авайда. – Вун зи кӀвачел зи кӀвализ атуниз зун лайих туш. ЯтӀани, зи вач-хъша сагъ хъийидай са гаф лагь. 
MAT.8.9	Зун масадан гъилик квай инсан ятӀани, захъ жуваз табий аскерарни ава. Абурукай садаз за «Алад» лагьайтӀа, ам фида. Муькуьдаз «Инал ша» лагьайтӀа, ам къведа. Зи вач-хъшадиз «и кар ая» лагьайтӀа, ада ам гьасятда ийида.
MAT.8.10	И гафарин ван хьайи Иса мягьтел хьана, Ада Вичихъ галаз къвезвай инсанриз лагьана:
MAT.8.10	– За квез рикӀивай лугьузва: 
MAT.8.11	За квез лугьузва хьи, гзафбуру, рагъэкъечӀдай ва рагъакӀидай патарай атана, Цаварин 
MAT.8.12	Амма чеб гьа 
MAT.8.13	Исади аскеррин кьиле авайдаз лагьана:
MAT.8.13	– Алад, вуна Захъ икьван иман ийизватӀа, ви рикӀе авай гьар са кар За кьилиз акъудда.
MAT.8.13	Адан вач-хъша гьасятда сагъ хъхьана.
MAT.8.14	Петрудин кӀвализ атайла, Исадиз адан яран диде ифин алаз къатканваз акуна. 
MAT.8.15	Исади адак кянамазни, ифин алатна. Ам къарагъна абурун кьилел-кӀвачел элкъвез эгечӀна.
MAT.8.16	Няни хьайила, Исадин патав 
MAT.8.17	Гьа икӀ Яшай 
MAT.8.18	Исадиз Вичин патав гзаф халкь гваз акурла, Ада Вичин 
MAT.8.19	Гьа чӀавуз са 
MAT.8.19	– Муаллим! Вун гьиниз фейитӀани, зунни Ви гуьгъуьна аваз къведа.
MAT.8.20	– СикӀерихъ магъараяр жеда, цавун къушарихъни – мукар, амма Инсандин 
MAT.8.21	Ахпа масада, Адан тилмизрикай сада, Адаз лагьана:
MAT.8.21	– Я Агъа! Вуна заз фена эвел зи буба кучукдай ихтияр це.
MAT.8.22	Амма Исади лагьана:
MAT.8.22	– Вун Зи гуьгъуьна аваз ша, кьейибур къуй чан алай мейитри кучукрай.
MAT.8.23	Иса луьткведа акьахайла, Адан гуьгъуьна аваз Адан 
MAT.8.24	Вирел ахьтин тӀурфан акьалтна хьи, луьткве лепейрик акатиз хьана; амма Иса ксанвай. 
MAT.8.25	Гьа чӀавуз тилмизар Адан патав атана, Ам ахварай авудна, лагьана:
MAT.8.25	– Я Агъа! Чун цин кӀаниз язава, чун хилас ая.
MAT.8.26	– Квез вучиз икьван кичӀе я, 
MAT.8.26	Ам къарагъна, гарузни вириз «Кис хьухь» лагьана эмир гана, вирин кьуд пата лал кьена.
MAT.8.27	Тилмизар мягьтел хьана:
MAT.8.27	– И Вичиз гарарни вир муьтӀуьгъарзавайди вуж хьуй? – лагьана абуру.
MAT.8.28	Иса муькуь къерехда авай Гадарей уьлкведиз фейила, Адал 
MAT.8.29	Абуру гьарайна лагьана:
MAT.8.29	– Ваз чавай вуч кӀанзава, Аллагьдин 
MAT.8.30	Абурукай яргъал хьиз вакӀарин са чӀехи суьруьди векь незвай. 
MAT.8.31	Жинерри Исадиз минетиз хьана:
MAT.8.31	– Вуна чун и инсанрикай хкудиз хьайитӀа, чун Вуна атӀа вакӀарик кухтур.
MAT.8.32	– ХкечӀ, – лагьана Исади.
MAT.8.32	Абурни инсанрикай хкечӀна, фена а вакӀарик акахьна. ВакӀарни, гьасятда са чархалай хкадарна, вирин кӀаниз яна. 
MAT.8.33	ВакӀарбанарни чукурна шегьердиз хтана. Ана абуру жинерар квайбурун кьилел атайдакай ва вакӀариз хьайидакай ахъайна. 
MAT.8.34	Инлай шегьерда авай кьван вири инсанар Исадиз килигиз Адан вилик экъечӀна. Ам акурла, халкьди Адавай чпин чилерилай хъфин тӀалабнай.
MAT.9.1	Гьа чӀавуз Иса луьткведа аваз вирелай элячӀна Вичин шегьердиз хтана. 
MAT.9.2	Адан патав месел алаз фалужди янавайди гъана. Исади, абурун 
MAT.9.2	– ВикӀегь хьухь, чан хва! Ви 
MAT.9.3	Гьа и арада 
MAT.9.3	– Ада Аллагьдиз асивал ийизва.
MAT.9.4	– Куьне вучиз куь рикӀера чӀуру фикирар твазва? – абурун фикирар акурла, лагьана Исади. – 
