MAT.1.1	Leꞌa bexa ndee bexa ngok usan gox polta ten Jesucristo, dub xa ras David no xa ras Abraham.
MAT.2.10	Leꞌa gor na uniꞌí bexa wa mbeal nsob sa wa, leꞌa bexa uzhebpa mten ladna. 
MAT.2.11	Cha uyote bexa len niꞌi wa, cha uniꞌí bexa meꞌed nsea Marí xnaꞌa meꞌed. Cha msaxib bexa ngwankea bexa meꞌed wa. Cha mxaꞌal bexa be caj noꞌo bexa, cha uloꞌo bexa pla be taꞌa uzhebpa uyap: be ta oro, no dub ta uxeꞌe ta nyolꞌ, no mirra. Cha msaꞌa bexa be ta wa ukaꞌa meꞌed‑a. 
MAT.2.12	Tsoꞌo wa leꞌa Dios ndab ndoꞌ bexa wa gor ndeyats bexa lá yach bexa ndoꞌ Herodes. Ta weꞌe cha nseaꞌ bexa lazh bexa ndi stub nes xaꞌaga.
MAT.2.13	Leꞌa gor na nseaꞌla bexa ndák wa, leꞌa dub angel ten Dios mlundoꞌ ndoꞌ Kosé gor naxyats xa, ndab angel:
MAT.2.13	—Goste, cha biꞌi meꞌed baꞌ no xnaꞌa meꞌed. Bxoꞌon waꞌ nacion Egipto. Cha weꞌetsa uyoꞌo bega gast zha na gáp naꞌ yach bega, leꞌa Herodes ukwaꞌan meꞌed baꞌ gut xa meꞌed.
MAT.2.14	Bi leꞌa teꞌal wa leꞌa Kosé cha utoꞌo no meꞌed no xnaꞌa meꞌed, nchaꞌbe bexa Egipto. 
MAT.2.15	Cha kwen uyoꞌo bexa sa wa gast ngut Herodes. Leꞌa be ta wa li ngok lak nkeaniꞌi diꞌizh ten Dios ta ndab dub xa sakndoꞌ Dios: “Uteꞌezh naꞌ xiꞌín naꞌ itoꞌo xa Egipto.”
MAT.2.16	Leꞌa gor uniꞌí Herodes leꞌa bexa ndák wa yá lá yachtabe, cha uzhebpa ngokloo xa. Cha unibeꞌe xa ndoꞌ be soldad, ndab xa yaꞌyut bexa itea be meꞌed ncho top liꞌin, no gast be medoꞌo gezh Belén no be gezh nde gax sa wa. Li unibeꞌe xa geal leꞌa bexa ndák wa ndab mtopla liꞌin ulen mbeal wa. 
MAT.2.17	Li ngok ta wa lak mbidiꞌizh Jeremías sakndoꞌ Dios, ndab xa:
MAT.2.18	Mgen dub ruid siꞌil gezh Ramá,
MAT.2.18	Uzhebpa nbezhat bexa no ndoꞌon bexa.
MAT.2.18	Leꞌa Raquel ndoꞌonno be xin na.
MAT.2.18	Yá lá kaꞌabta xa itayoꞌon, geal leꞌa be xin xa ngutbe.
MAT.2.19	Ngol tsoꞌo wa leꞌa Herodes ngut. Weꞌe leꞌa dub angel ten Dios mlundoꞌ ndoꞌ Kosé nacion Egipto gor naxyats xa, 
MAT.2.20	cha ndab angel:
MAT.2.20	—Goste, cha byoꞌo meꞌed baꞌ no xnaꞌa meꞌed leꞌaka nacion Israel, leꞌa bexa na nlad gut meꞌed baꞌ wa ngutlabe.
MAT.2.21	Leꞌa Kosé cha ngwaste, cha myoꞌo xa meꞌed no xnaꞌa meꞌed leꞌaka Israel. 
MAT.2.22	Ná leꞌa gor na mbiꞌín Kosé leꞌa Arquelao xin Herodes myatsoꞌgal nibeꞌe Judea, cha mzheb xa yaꞌ xa sa wa. Leꞌa Dios cha uníꞌigal gor naxyats Kosé, ndab Dios lá yaꞌ xa Judea. Ta weꞌe cha nchaꞌa xa ndi distrit Galilea. 
MAT.2.23	Ngwaꞌ bexa yoo bexa gezh Nazaret, lak ndab bexa uyoꞌo polta sakndoꞌ Dios, ndab xa: “Leꞌa be men gab leꞌa xa dub xa Nazaret.”
MAT.3.1	Ngol tsoꞌo wa leꞌa Juan xa ulaleaꞌ be men ngwaꞌyoꞌo geꞌe sa bid sa uxee ncho men, dub sa ten Judea. Ndadiꞌizh xa ndoꞌ be men, 
MAT.3.2	ndab xa:
MAT.3.2	—Blaꞌa bego be ta ugap nak bega, leꞌa zha inibeꞌe Dios ladoꞌo be men yá gaxla nak.
MAT.3.3	Polta leꞌa Isaías mbidiꞌizh sakndoꞌ Dios cuent ten Juan, ndab Isaías:
MAT.3.3	Leꞌa xa wa ikeseyadiꞌizh geꞌe sa bid, ugeꞌ gab xa:
MAT.3.3	“Bin parej bega nes ilen Xa Nibeꞌe.
MAT.3.3	Bkeasoꞌ bega nes ten xa.”
MAT.3.4	Leꞌa xab Juan nakchaꞌaw gich las came, no dub sinch gid nde len xa. Leꞌa xa ndaw mbit, nsea mzhin ser ndo xa. 
MAT.3.5	Leꞌa kwaꞌad bexa Jerusalén no bexa idub distrit Judea no bexa ncho gax toꞌo yowbeꞌe Jordán utoꞌo, ndabeyoꞌón bexa xtaꞌan ndadiꞌizh Juan. 
MAT.3.6	Mgondoꞌ bexa be ke ten bexa, cha ulaleaꞌ Juan bexa len nits yowbeꞌe Jordán.
MAT.3.7	Ná leꞌa gor na uniꞌí Juan leꞌa kwaꞌad bexa fariseo nsea bexa saduceo nseabe italeaꞌ, cha ndab Juan ndoꞌ bexa wa:
MAT.3.7	—¡Bego bexa ugap cuent be mbeꞌal! ¿Ton ndab ndoꞌ bega italeaꞌtsa bega, cha naꞌanpa utsaksi Dios bega zha? 
MAT.3.8	Bin bega ta wen, ta uluu leꞌa bega mlaꞌaka ta ugap nak bega. 
MAT.3.9	No ni lá gunbeꞌe bega gab bega leꞌa bega xin Abraham, ta weꞌe leꞌa Dios naꞌanpa utsaksi bega. Leꞌa naꞌ gáp leꞌa Dios syoꞌo gan gunno be geꞌ ndee be xin Abraham. 
MAT.3.10	Leꞌa Dios listla nsoꞌ utsaksi xa bexa ndun ta ugap, cuent dub xa nsoꞌnsén dub gibya, kabtoꞌog xa itea be ya lá nsaꞌa ngus wen, cha utsaꞌab xa ta wa ndoꞌ giꞌ yolꞌ‑a.
MAT.3.11	’Leꞌa naꞌ ndee nits‑tsa ngoleaꞌ be men, ta nluu leꞌa bexa mlaꞌaka be ta ugap nak bexa. Parea tsoꞌo naꞌ ilen stub xa koleaꞌ be men no Espíritu ten Dios no giꞌ. Leꞌa xa wa mas nsak ndoꞌ naꞌ gast ni lá isaya naꞌ goo naꞌ ndab xa wa. 
MAT.3.12	Leꞌa xa wa listla nsoꞌ uti be men wen lat bexa ugap, cuent dub men nti bid ten trig lat be gix xab‑a. Cha kochaꞌaw xa trig wa len niꞌi, nsea utsoꞌol xa xab‑a wa ndoꞌ giꞌ nunk lá yuꞌu.
MAT.3.13	Leꞌa Jesús cha utoꞌo Galilea, nchaꞌa xa yowbeꞌe Jordán sa nsoꞌ Juan, ndontsa koleaꞌ Juan xa. 
MAT.3.14	Ná leꞌa Juan lá kaꞌab, ndab xa:
MAT.3.14	—Nkiꞌin naꞌ leꞌa go koleaꞌ naꞌ, ná nat leꞌa go ndi nsea koleaꞌ naꞌ go.
MAT.3.15	Leꞌa Jesús cha ukaꞌab ndab:
MAT.3.15	—Litsa gun una nat, leꞌa una nsabndoꞌ gun lak nlad Dios.
MAT.3.15	Leꞌa Juan cha ulaleaꞌ xa. 
MAT.3.16	Leꞌa tsoꞌo na utaleaꞌ Jesús leꞌa gor na utoꞌo Jesús len nits, leꞌa gibeꞌa baꞌ cha myaꞌal. No mnaꞌ Jesús Espíritu ten Dios cuent dub palom nchaꞌlaꞌ sa nsoꞌ Jesús. 
MAT.3.17	Cha ulen ti Dios gibeꞌa ndab:
MAT.3.17	—Ta ndee Xiꞌín naꞌ. Leꞌa naꞌ nkweaꞌ ladna xa, no ntenno lad naꞌ xa.
MAT.4.1	Leꞌa Espíritu ten Dios cha mbiꞌi Jesús geꞌe sa bid sa naꞌan men, sa gun maxuꞌu juers utsabgix Jesús. 
MAT.4.2	Leꞌa dub top gaꞌal wizh leꞌa Jesús lá ngaw, cha ngol gor leꞌa xa uzhebpa ndanna. 
MAT.4.3	Weꞌe leꞌa maxuꞌu cha ulen gun preb Jesús, ndab maxuꞌu ndoꞌ xa:
MAT.4.3	—Tal leꞌa lu nak Xin Dios, nat gud ndoꞌ be geꞌ baꞌ yak‑a pan.
MAT.4.4	Leꞌa Jesús cha ukaꞌab ndab:
MAT.4.4	—Leꞌa diꞌizh ten Dios nkeaniꞌi: “Naꞌanpa nabtsa ta ndaw men nban bexa. Mas nsak nxobgek men ndoꞌ diꞌizh ten Dios, leꞌa ta wa ndun nban xa.”
MAT.4.5	Leꞌa maxuꞌu cha mbiꞌigal Jesús gezh Jerusalén gek niꞌi ten Dios, sa ndon leꞌa gaꞌap. 
MAT.4.6	Cha ndab maxuꞌu:
MAT.4.6	—Tal leꞌa lu Xin Dios, nat btsaꞌab dub brink gast ndoꞌ yo baꞌ, leꞌa diꞌizh ten Dios nkeaniꞌi ndab‑a:
MAT.4.6	Leꞌa Dios utuꞌub be angel ten na ulaꞌach lu.
MAT.4.6	Leꞌa bexa wa goꞌo lu ndoꞌ yaꞌa na,
MAT.4.6	ndontsa ni lá ikateꞌeb lu ndoꞌ ni dub geꞌ.
MAT.4.7	Leꞌa Jesús cha ukaꞌab ndab:
MAT.4.7	—No ndab diꞌizh ten Dios: “Lá gun lu preb Dios Xa Nibeꞌe.”
MAT.4.8	Leꞌa maxuꞌu cha mbiꞌi Jesús gek dub geꞌe gaꞌappa, cha mluu maxuꞌu itea be gezh nde ndoꞌ gizhliyo no be ta nsak ncho be gezh wa. 
MAT.4.9	Cha ndab maxuꞌu:
MAT.4.9	—Itea be ta baꞌ usa naꞌ ikaꞌa lu tal leꞌa lu isaxib ndoꞌ naꞌ, yankea lu naꞌ.
MAT.4.10	Leꞌa Jesús cha ndab ndoꞌ maxuꞌu:
MAT.4.10	—Bxoꞌon wats naꞌ, maxuꞌu. Leꞌa diꞌizh ten Dios nkeaniꞌi ndab‑a: “Wankea Dios Xa Nibeꞌe, no bin ta nladtsa xa.”
MAT.4.11	Leꞌa maxuꞌu cha mlaꞌa Jesús, cha ulen be angel ten Dios mlaꞌach bexa Jesús.
MAT.4.12	Ngol dub wizh leꞌa Jesús mbiꞌín leꞌa Juan nkea litgiꞌib, cha nseaꞌ Jesús leꞌaka Galilea. 
MAT.4.13	Parea lá ngaꞌyoꞌo xa Nazaret, ndi ngwaꞌyoꞌo xa gezh Capernaum toꞌo lagun siꞌil, yo ten bexa ras ten Zabulón no ras ten Neftalí. 
MAT.4.14	Li ngok‑a lak nkeaniꞌi diꞌizh ten Dios, ta mas polta mkeꞌa Isaías sakndoꞌ Dios, ndab xa:
MAT.4.15	Bego ncho ndoꞌ yo ten Zabulón no yo ten Neftalí,
MAT.4.15	sa ntid nes toꞌo lagun,
MAT.4.15	lad ndaꞌas wizh sa nax yowbeꞌe Jordán;
MAT.4.15	Bego ncho Galilea,
MAT.4.15	sa ncho no bexa naꞌanpa xa judio:
MAT.4.16	Leꞌa bego nde sa ukaw,
MAT.4.16	parea leꞌa nat uniꞌí bega dub xeꞌa siꞌil.
MAT.4.16	Leꞌa bega nde sa wa cuent dub xa ngut,
MAT.4.16	parea nat mgondoꞌ bega xeꞌa ten Dios.
MAT.4.17	Leꞌa zha weꞌe cha usaxan Jesús ndadiꞌizh diꞌizh ten Dios ndoꞌ be men, ndab xa:
MAT.4.17	—Blaꞌa bego be ta ugap nak bega, leꞌa zha na inibeꞌe Dios ladoꞌo be men yá gaxla nak.
MAT.4.18	Leꞌa dub gor nchasea Jesús toꞌo lagun siꞌil nsaleaꞌ Galilea, cha uniꞌí xa top xabgiꞌi ndeutsaꞌab red ten na len nits, leꞌa bexa wa xa nsen mbeal. Leꞌa dub xa wa Simón, xa no nsaleaꞌga Pedr. Leꞌa stub xa wa Ndres wit Simón Pedr wa. 
MAT.4.19	Cha ndab Jesús ndoꞌ bexa:
MAT.4.19	—Usankea bega tsoꞌo naꞌ, leꞌa naꞌ uluu xteꞌe yunjunt bega be men ndoꞌ Dios.
MAT.4.20	Leꞌa bexa wa cha uxax mlaꞌa be red ten na, cha usankea bexa tsoꞌo Jesús.
MAT.4.21	Leꞌa gor usea bexa stub tuzh sa, cha uniꞌí Jesús stop xabgiꞌi, dub xa nsaleaꞌ Jacob nsea stub xa nsaleaꞌ Juan. Leꞌa bexa wa ndeno Zebedeo xus bexa ndoꞌ dub barco, ndego bexa ramient be red ten bexa. Leꞌa Jesús cha utezh itop wit bexa. 
MAT.4.22	Leꞌa itop bexa cha uxax mchansoꞌ xus na ndoꞌ barco wa, cha usankea bexa tsoꞌo Jesús.
MAT.4.23	Leꞌa Jesús cha nchasea idub distrit Galilea, nluu xa be men len be niꞌi sa nzhealbe bexa judio sa wa. Mbidiꞌizh xa diꞌizh wen ten Dios ná xteꞌe nibeꞌe Dios be men, no myunyakna xa be men nsén guniꞌi xá gealgizh ná, no bexa kweaꞌ nsak. 
MAT.4.24	Leꞌa ta li ndun Jesús wa mgen idub distrit Siria. Ta weꞌe leꞌa kwaꞌad be men ulenno bexa nsén isandoꞌ be gealgizh, no bexa gizh ncho mbi bxin len ladoꞌo na, no bexa nsak gizhkaw, no bexa lá yoo gan isea. Cha myunyakna Jesús bexa wa. 
MAT.4.25	Cha usankea kwaꞌad be men tsoꞌo Jesús: bexa distrit Galilea, no distrit Decápolis, no gezh Jerusalén, no idub distrit Judea, no bexa ncho stub toꞌo yowbeꞌe Jordán.
MAT.5.1	Leꞌa gor uniꞌí Jesús be men kwaꞌad wa, cha ukea xa dub bet, cha usob xa. Leꞌa be xmen xa cha ulayaꞌ wats xa. 
MAT.5.2	Cha usaxan nluu xa bexa wa, ndab xa:
MAT.5.3	—Uzheꞌeb wen yoo ladna bexa ngondoꞌ leꞌa bexa nkiꞌin Dios, leꞌa Dios nibeꞌe ladoꞌo bexa.
MAT.5.4	’No uzheꞌeb wen yoo ladna bexa ndoꞌon, leꞌa Dios gal gor gun iten ladna bexa wa.
MAT.5.5	’No uzheꞌeb wen yoo ladna bexa bchaꞌan nak, leꞌa Dios usaꞌa gizhliyo ikaꞌa bexa wa.
MAT.5.6	’No uzheꞌeb wen yoo ladna bexa nkwaꞌan gun lak nlad Dios, leꞌa Dios saꞌa ta nlad bexa wa.
MAT.5.7	’No uzheꞌeb wen yoo ladna bexa nlats ladna be men, leꞌa Dios ilats ladna bexa wa.
MAT.5.8	’No uzheꞌeb wen yoo ladna bexa umbiꞌi nak ladoꞌo na, leꞌa bexa wa igondoꞌ Dios.
MAT.5.9	’No uzheꞌeb wen yoo ladna bexa nkwaꞌan xteꞌe lá kuyo be men, leꞌa bexa wa isaleaꞌ xin Dios.
MAT.5.10	’No uzheꞌeb wen yoo ladna bexa ntid be gealkweaꞌ ta na ndun bexa ta nsak ladna Dios, leꞌa Dios nibeꞌe ladoꞌo bexa.
MAT.5.11	’No uzheꞌeb wen yoo ladna bego gor na ugap ndanno be men bega, ta na ndangea ladna bega naꞌ. Leꞌa bexa wa xela iníꞌi ndoꞌ bega, no ukwiꞌin bexa gab bexa leꞌa bega sian ta ugap ndun. 
MAT.5.12	Uzhebpa bten ladna bego be zha li wa, leꞌa Dios uzhebpa usaꞌa be ta wen ndoꞌ bega gibeꞌa. Leꞌa polta likaga ugap mbinno be men bexa mbidiꞌizh sakndoꞌ Dios.
MAT.5.13	’Leꞌa bega nak cuentta sed lat be men ndoꞌ gizhliyo ndee. Parea tal leꞌa sed itoꞌo ta utix ten na, ¿xteꞌema yak utix‑a stub biaj zha? Leꞌa‑yá naꞌanta xtiꞌin, ta weꞌe yabitsa‑yá tsoꞌo juer sa ulako be men‑a.
MAT.5.14	’Leꞌa bego nak cuent xeꞌa ndoꞌ be men gizhliyo ndee, cuent dub gezh nde gaꞌap gek dub geꞌe lá yoo gan xgaꞌach kwe. 
MAT.5.15	Leꞌa naꞌan ton usobgiꞌ dub xeꞌa, cha usob xa‑yá len dub caj. Ndi usob xa xeꞌa dub sa gaꞌap, ndontsa usu‑yá xeꞌa ndoꞌ itea bexa ncho len niꞌi wa. 
MAT.5.16	No liga usu bego xeꞌa ten bega ndoꞌ be men, ndontsa inaꞌ bexa be ta wen ndun bega, cha no gab bexa siꞌil nak Tad Dios nsob gibeꞌa.
MAT.5.17	’Lá gunbeꞌe bega leꞌa naꞌ ndal unitndoꞌ ley mkeꞌa Moisés no be ta mkeꞌa bexa sakndoꞌ Dios tiemp polta. Leꞌa naꞌ ndi ndal gun cumplir be ta wa. 
MAT.5.18	Leꞌa naꞌ gáp ndoꞌ bego leꞌa nat na bi nde gizhliyo no gibeꞌa leꞌa ni dub letr ten ley ten Dios naꞌanpa initndoꞌ, gast itea‑yá gak cumplir. 
MAT.5.19	Ta weꞌe tal ton lá uxobgek ndoꞌ dub taꞌa ndon leꞌa tuzh ndoꞌ ley wa, no liga nluu xa stubga men li gun, leꞌa xa wa ndon leꞌa lá nsak lat bexa nibeꞌe Dios. Ná leꞌa xa na nxobgekka ndoꞌ ta ndab ley ten Dios, no liga nluu xa be men, leꞌa xa wa nsakka lat bexa nibeꞌe Dios. 
MAT.5.20	Leꞌa naꞌ gáp ndoꞌ bega tal leꞌa bega naꞌanpa mas uxobgek ndoꞌ Dios ndoꞌ lak ndun bexa fariseo no be mech ten ley, leꞌa bega lá yoo gan gak bexa leꞌa Dios nibeꞌe.
MAT.5.21	’Leꞌa bego mbiꞌínla ta ndab Dios ndoꞌ be men polta, ndab xa: “Lá gut bega men, leꞌa tal ton gut men leꞌa be men utsaksi xa wa.” 
MAT.5.22	Parea leꞌa naꞌ ndi gáp leꞌa tal ton gakloo ndoꞌ stub men, leꞌa Dios utsaksi xa wa. No tal ton inisi stub men, leꞌa xa wa isoꞌ ndoꞌ bexa nibeꞌe. No tal ton gab “tont” ndoꞌ stub men, leꞌa xa wa yaꞌ ndoꞌ giꞌ infierno.
MAT.5.23	’No tal leꞌa bega nchaꞌlo med sa nsaꞌa men taꞌa ndoꞌ Dios, ná sa weꞌe utseꞌa ladna bega leꞌa stub ltsaꞌa bega ndakloo ndoꞌ bega, 
MAT.5.24	blaꞌa bega sa weꞌetsa ndiꞌib‑a. Cha waꞌ bega ndoꞌ ltsaꞌa bega wa, bin bega ta gun wen yaꞌan bega ndoꞌ xa. Cha weꞌe byach bega bsaꞌa bega ta wa ndoꞌ Dios.
MAT.5.25	’No tal ton nlad usake bega, waꞌyadiꞌizhno bega xa gor biseata isoꞌ xa ndoꞌ juez. Leꞌa tal xa usake bega ndoꞌ juez, leꞌa juez cha yun cuent bega ndoꞌ bexa nlaꞌach litgiꞌib, cha ukeꞌa xa bega litgiꞌib. 
MAT.5.26	Leꞌa naꞌ gáp leꞌa bego naꞌanpa itoꞌo sa wa gast kixka bega itea ta nsaꞌab bega wa.
MAT.5.27	’Leꞌa bego mbiꞌínla ta ndab diꞌizh ten Dios: “Lá ugal bega dub xagots naꞌanpa xagots ten bega.” 
MAT.5.28	Parea leꞌa naꞌ ndi gáp ndoꞌ bega leꞌa tal ton iwiꞌi ndoꞌ dub xagots ndanbeꞌe xa ugal xa xagots wa, leꞌa xa wa ndap ke ndoꞌ Dios cuent mgal‑la xa xagots wa.
MAT.5.29	’Ta weꞌe tal leꞌa bega ndun dub ta ugap ta naꞌ dub ngusndoꞌ bega, mas wen itoꞌo‑yá. Ndi mas wen naꞌan dub ngusndoꞌ bega nat, ni ka idub bega yaꞌ infierno. 
MAT.5.30	No liga tal leꞌa bega ndun dub ta ugap nsea yaꞌa bega, mas wen yabtoꞌog‑a. Ndi mas wen naꞌan dub yaꞌa bega nat, ni ka idub bega yaꞌ infierno.
MAT.5.31	’No ndab diꞌizh ten Dios: “Leꞌa tal ton dub xabgiꞌi nlad ulaꞌa xagots ten na, leꞌa xa syoꞌo gan usaꞌatsa dub git ndoꞌ xagots wa, gab git leꞌa xa mlaꞌa xagots.” 
MAT.5.32	Parea leꞌa naꞌ ndi gáp ndoꞌ bega leꞌa tal ton dub xabgiꞌi ulaꞌa xagots ten na, cha ikaꞌa xagots wa stubga xabgiꞌi, leꞌa xabgiꞌi ned wa ndun leꞌa xagots wa ndap ke ndoꞌ Dios. No liga leꞌa stub xabgiꞌi na ikaꞌaga xagots wa noga ndap ke ndoꞌ Dios. Ná tal ton dub xagots ugal stubga xabgiꞌi, leꞌa xabgiꞌi ten xa wa sak ulaꞌa xa.
MAT.5.33	’No mbiꞌínla bega stub taꞌa ndab Dios ndoꞌ bexa polta, ndab xa: “Tal leꞌa bega ndab Dios nsobwiꞌi sunka bega dub taꞌa, weꞌe leꞌa bega juerska li gun. Naꞌanpa ulaꞌa bega lá gun bega ta wa.” 
MAT.5.34	Parea leꞌa naꞌ ndi gáp ndoꞌ bega, leꞌa gor na ndab bega gun bega dub taꞌa, naꞌanpa useꞌat bega Dios, ndi gabtsa bega gun bega ta wa. No naꞌanpa useꞌat bega gibeꞌa, leꞌa gibeꞌa baꞌ sa nsob Dios. 
MAT.5.35	No ni naꞌanpa useꞌat bega gizhliyo, leꞌa gizhliyo ndee sa nibeꞌe Dios. No ni lá useꞌat bega Jerusalén, leꞌa Jerusalén gezh ten Dios xa ndon leꞌa nibeꞌe. 
MAT.5.36	No ni lá useꞌat bega gek bega, leꞌa bega lá yoo gan ucheꞌa ni dub gichgek bega xaꞌaga color. 
