GEN.1.1	Hapo mwanzo, Mungu aliumba mbingu na dunia.
GEN.3.14	umelaaniwa kuliko wanyama wote wa kufugwa,
GEN.3.14	na kuliko wanyama wote wa porini.
GEN.3.14	Kwa tumbo lako utatambaa,
GEN.3.14	na kula vumbi siku zote za maisha yako.
GEN.3.15	Nitaweka uadui kati yako na huyo mwanamke,
GEN.3.15	kati ya uzawa wako na uzawa wake;
GEN.3.15	yeye atakiponda kichwa chako,
GEN.3.15	nawe utamwuma kisigino chake.”
GEN.3.16	Kisha akamwambia mwanamke,
GEN.3.16	“Nitakuzidishia uchungu wa kuzaa,
GEN.3.16	kwa uchungu utazaa watoto.
GEN.3.16	Hata hivyo utakuwa na hamu na mumeo,
GEN.3.16	naye atakutawala.”
GEN.3.17	Kisha akamwambia huyo mwanamume,
GEN.3.17	“Kwa kuwa wewe umemsikiliza mkeo,
GEN.3.17	ukala matunda ya mti ambayo nilikuamuru usile;
GEN.3.17	kwa hiyo, kwa kosa lako ardhi imelaaniwa.
GEN.3.17	Kwa jasho utajipatia humo riziki yako,
GEN.3.17	siku zote za maisha yako.
GEN.3.18	Ardhi itakuzalia michongoma na magugu,
GEN.3.18	nawe itakubidi kula majani ya shambani.
GEN.3.19	Kwa jasho lako utajipatia chakula
GEN.3.19	mpaka utakaporudi udongoni ulimotwaliwa;
GEN.3.19	maana wewe ni mavumbi, na mavumbini utarudi.”
GEN.3.20	Adamu
GEN.3.21	Mwenyezi-Mungu akawatengenezea Adamu na mkewe mavazi ya ngozi, akawavika.
GEN.3.22	Kisha Mwenyezi-Mungu akasema, “Sasa, binadamu amekuwa kama mmoja wetu, anajua mema na mabaya. Lazima kumzuia kula lile tunda la mti wa uhai, kwani akilila ataishi milele!” 
GEN.3.23	Basi, Mwenyezi-Mungu akamfukuza Adamu nje ya bustani ya Edeni, ili akailime ardhi ambamo alitwaliwa. 
GEN.3.24	Alimfukuza nje, na kuweka mlinzi
GEN.4.1	Adamu akalala na Hawa mkewe, naye akapata mimba, akamzaa Kaini.
GEN.4.2	Halafu akamzaa Abeli nduguye. Abeli alikuwa mfugaji kondoo na Kaini alikuwa mkulima. 
GEN.4.3	Baada ya muda fulani, Kaini alimtolea Mwenyezi-Mungu sadaka kutokana na mazao ya shambani, 
GEN.4.4	naye Abeli akamtolea Mungu sadaka ya wazawa wa kwanza wa kondoo wake na nyama nono. Mwenyezi-Mungu akapendezwa na Abeli na tambiko yake, 
GEN.4.5	lakini hakupendezwa na Kaini wala na tambiko yake. Basi, Kaini akakasirika sana na uso wake ukakunjamana. 
GEN.4.6	Mwenyezi-Mungu akamwambia Kaini, “Kwa nini umekasirika, na kwa nini uso wako umekunjamana? 
GEN.4.7	Je, ukitenda vyema hutakubaliwa? Na usipotenda vyema, basi, dhambi inakuvizia mlangoni; inakutamani, lakini unapaswa kuishinda.”
GEN.4.8	Baadaye, Kaini akamwambia Abeli nduguye, “Twende nje shambani
GEN.4.9	Mwenyezi-Mungu akamwuliza Kaini, “Ndugu yako Abeli yuko wapi?” Kaini akamjibu, “Mimi sijui! Je, mimi ni mlinzi wa ndugu yangu?” 
GEN.4.10	Mwenyezi-Mungu akasema, “Umefanya nini? Damu ya ndugu yako yanililia kutoka udongoni. 
GEN.4.11	Sasa wewe umelaaniwa! Hutailima tena ardhi yenye rutuba ambayo kama kinywa imeipokea damu ya nduguyo uliyemuua. 
GEN.4.12	Ukiilima ardhi haitakupatia tena mazao yake. Utakuwa mtu wa kutangatanga, asiye na makao maalumu duniani.”
GEN.4.13	Kaini akamwambia Mwenyezi-Mungu, “Adhabu yangu ni kubwa mno; siwezi kuistahimili. 
GEN.4.14	Leo umenifukuza kutoka ardhi yenye rutuba na mbali nawe. Basi, nitakuwa mtu wa kutangatanga, asiye na makao maalumu duniani, na yeyote atakayeniona ataniua.” 
GEN.4.15	Lakini Mwenyezi-Mungu akamjibu, “Sivyo! Atakayekuua wewe Kaini atalipizwa mara saba.” Basi, Mwenyezi-Mungu akamtia Kaini alama ya tahadhari, ili yeyote atakayemwona asimuue. 
GEN.4.16	Kisha Kaini akaondoka mbele ya Mwenyezi-Mungu, akawa anaishi katika nchi ya Nodi,
GEN.4.17	Kaini akalala na mkewe, naye akapata mimba, akamzaa Henoki. Kaini akajenga mji akauita kwa jina la Henoki mwanawe. 
GEN.4.18	Henoki akamzaa Iradi, naye Iradi akamzaa Mehuyaeli; Mehuyaeli akamzaa Methushaeli, naye Methushaeli akamzaa Lameki. 
GEN.4.19	Lameki alioa wanawake wawili, mmoja aliitwa Ada na mwingine Sila. 
GEN.4.20	Ada alimzaa Yabali ambaye alikuwa baba yao wafugaji waishio mahemani. 
GEN.4.21	Ndugu yake alikuwa Yubali; huyo alikuwa baba yao wanamuziki wote wapigao zeze na filimbi. 
GEN.4.22	Sila naye alimzaa Tubal-kaini, ambaye alikuwa mhunzi wa vyombo vyote vya shaba na chuma. Dada yake Tubal-kaini alikuwa Naama.
GEN.4.23	Lameki akawaambia wake zake,
GEN.4.23	“Ada na Sila sikieni sauti yangu!
GEN.4.23	Sikilizeni nisemayo enyi wake za Lameki.
GEN.4.23	Mimi niliua mtu kwa kunijeruhi,
GEN.4.23	naam, nilimuua kijana kwa kuniumiza.
GEN.4.24	Ikiwa Kaini atalipizwa mara saba,
GEN.4.24	kweli Lameki atalipizwa mara sabini na saba.”
GEN.4.25	Adamu akalala tena na Hawa mkewe, naye akazaa mtoto wa kiume, akamwita Sethi akisema, “Mungu amenijalia mtoto mahali pa Abeli aliyeuawa na Kaini.”
GEN.4.26	Sethi naye alipata mtoto wa kiume, akamwita Enoshi. Hapo ndipo watu walipoanza kumwomba Mwenyezi-Mungu kwa jina lake.
GEN.5.1	Ifuatayo ni orodha ya wazawa wa Adamu. Wakati Mungu alipomuumba binadamu, alimuumba kwa mfano wake. 
GEN.5.2	Aliwaumba mwanamume na mwanamke, kisha akawabariki na kuwapa jina “Binadamu.”
GEN.5.3	Adamu alipokuwa na umri wa miaka 130, alipata mtoto aliyefanana naye, na mwenye sura kama yake; akamwita Sethi. 
GEN.5.4	Baada ya kumzaa Sethi, Adamu aliishi miaka 800, na kupata watoto wengine wa kiume na wa kike. 
GEN.5.5	Adamu alifariki akiwa na umri wa miaka 930.
GEN.5.6	Sethi alipokuwa na umri wa miaka 105, alimzaa Enoshi. 
GEN.5.7	Baada ya kumzaa Enoshi, Sethi aliishi miaka 807, na kupata watoto wengine wa kiume na wa kike. 
GEN.5.8	Sethi alifariki akiwa na umri wa miaka 912.
GEN.5.9	Enoshi alipokuwa na umri wa miaka 90, alimzaa Kenani. 
GEN.5.10	Baada ya kumzaa Kenani, Enoshi aliishi miaka 815 na kupata watoto wengine wa kiume na wa kike. 
GEN.5.11	Enoshi alifariki akiwa na umri wa miaka 905.
GEN.5.12	Kenani alipokuwa na umri wa miaka 70, alimzaa Mahalaleli. 
GEN.5.13	Baada ya kumzaa Mahalaleli, Kenani aliishi miaka 840 na kupata watoto wengine wa kiume na wa kike. 
GEN.5.14	Kenani alifariki akiwa na umri wa miaka 910.
GEN.5.15	Mahalaleli alipokuwa na umri wa miaka 65, alimzaa Yaredi. 
GEN.5.16	Baada ya kumzaa Yaredi, Mahalaleli aliishi miaka 830 na kupata watoto wengine wa kiume na wa kike. 
GEN.5.17	Mahalaleli alifariki akiwa na umri wa miaka 895.
GEN.5.18	Yaredi alipokuwa na umri wa miaka 162, alimzaa Henoki. 
GEN.5.19	Baada ya kumzaa Henoki, Yaredi aliishi miaka 800 na kupata watoto wengine wa kiume na wa kike. 
GEN.5.20	Yaredi alifariki akiwa na umri wa miaka 962.
GEN.5.21	Henoki alipokuwa na umri wa miaka 65, alimzaa Methusela. 
GEN.5.22	Henoki alikuwa mcha Mungu. Baada ya kumzaa Methusela, Henoki aliishi miaka 300 na kupata watoto wengine wa kiume na wa kike. 
GEN.5.23	Henoki aliishi miaka 365. 
GEN.5.24	Alikuwa mcha Mungu, akatoweka, kwa maana Mungu alimchukua.
GEN.5.25	Wakati Methusela alipokuwa na umri wa miaka 187, alimzaa Lameki. 
GEN.5.26	Baada ya kumzaa Lameki, Methusela aliishi miaka 782, na kupata watoto wengine wa kiume na wa kike. 
GEN.5.27	Methusela alifariki akiwa na umri wa miaka 969.
GEN.5.28	Wakati Lameki alipokuwa na umri wa miaka 182, alimzaa mtoto wa kiume. 
GEN.5.29	Alimwita mtoto huyo Noa, akisema, “Mtoto huyu ndiye atakayetufariji kutokana na kazi yetu ngumu tunayofanya kwa mikono yetu katika ardhi aliyoilaani Mwenyezi-Mungu.” 
GEN.5.30	Baada ya kumzaa Noa, Lameki aliishi miaka 595 na kupata watoto wengine wa kiume na wa kike. 
GEN.5.31	Lameki alifariki akiwa na umri wa miaka 777.
GEN.5.32	Noa alipokuwa na umri wa miaka 500, alimzaa Shemu na Hamu na Yafethi.
GEN.6.1	Binadamu walipozidi kuongezeka duniani na kuzaa wasichana, 
GEN.6.2	watoto wa kiume wa Mungu
GEN.6.3	Hapo Mwenyezi-Mungu akasema, “Roho yangu haitakaa ndani ya binadamu milele, maana yeye ni wa kufa tu. Basi, hataishi zaidi ya miaka 120.” 
GEN.6.4	Nyakati hizo na hata baadaye, kulikuwa na majitu duniani ambao walikuwa wazawa wa watoto wa kiume wa Mungu na wasichana wa watu. Hao ndio watu waliokuwa mashujaa na wenye sifa enzi hizo, nao waliitwa Wanefili.
GEN.6.5	Mwenyezi-Mungu alipoona wingi wa uovu wa binadamu duniani, na kwamba kila analokusudia binadamu moyoni mwake ni ovu daima, 
GEN.6.6	Mwenyezi-Mungu alisikitika sana kwa kumuumba binadamu duniani. Mwenyezi-Mungu alihuzunika sana moyoni mwake, 
GEN.6.7	hivyo akasema, “Nitamfuta kabisa duniani binadamu niliyemuumba; nitafutilia mbali pia wanyama wa porini, viumbe vitambaavyo na ndege wa angani. Ninasikitika kwamba niliwaumba duniani.” 
GEN.6.8	Lakini Noa alipata fadhili mbele ya Mwenyezi-Mungu.
GEN.6.9	Ifuatayo ni habari juu ya Noa ambaye alikuwa ndiye mwadilifu pekee na ambaye hakuwa na lawama nyakati zake. Alikuwa mcha Mungu. 
GEN.6.10	Noa alikuwa na watoto watatu wa kiume: Shemu, Hamu na Yafethi. 
GEN.6.11	Mungu aliiona dunia kuwa imeharibika na kujaa ukatili. 
GEN.6.12	Naam, Mungu aliiangalia dunia, akaona kuwa imeharibika kabisa, kwa maana kila mtu alifuata njia yake mbovu.
GEN.6.13	Mungu akamwambia Noa, “Nimeamua kuwaangamiza binadamu wote kwa sababu wameijaza dunia ukatili. Naam, nitawaangamiza kabisa pamoja na dunia! 
GEN.6.14	Kwa hiyo, jitengenezee safina kwa mbao za mpingo. Gawa vyumba ndani yake na ipake lami ndani na nje. 
GEN.6.15	Utaitengeneza hivi: Urefu wake mita 139, upana wake mita 25 na kimo chake mita 15. 
GEN.6.16	Safina hiyo iwe ya ghorofa tatu na yenye mlango pembeni. Itengenezee paa
GEN.6.17	Nitaleta gharika ili kuangamiza viumbe vyote hai duniani. Kila kiumbe hai duniani kitakufa. 
GEN.6.18	Lakini nitafanya agano nawe. Utaingia katika safina, wewe pamoja na mkeo, wanao na wake zao. 
GEN.6.19	Nawe utaingiza katika safina jozi ya kila aina ya viumbe, wa kiume na wa kike, ili kuwahifadhi hai pamoja nawe.
GEN.6.20	“Utaingiza kila aina ya ndege wa angani, kila aina ya mnyama, kila aina ya kiumbe kitambaacho, wawiliwawili, ili kuwahifadhi hai. 
GEN.6.21	Pia chukua aina zote za vyakula vinavyolika, uvihifadhi kwa ajili ya chakula chenu na viumbe hao.” 
GEN.6.22	Noa akafanya yote kama Mungu alivyomwamuru.
GEN.7.1	Mwenyezi-Mungu akamwambia Noa, “Ingia ndani ya safina wewe pamoja na jamaa yako yote, kwa maana, kati ya watu wote wanaoishi nyakati hizi zako, nimekuona wewe peke yako kuwa mwadilifu mbele yangu. 
GEN.7.2	Chukua pamoja nawe wanyama wote walio safi, dume na jike, saba saba; lakini wanyama walio najisi, chukua dume na jike, wawiliwawili. 
GEN.7.3	Vilevile chukua ndege wa angani dume na jike, saba saba, ili kuzihifadhi hai aina zao duniani. 
GEN.7.4	Baada ya siku saba, nitanyesha mvua nchini siku arubaini mchana na usiku, na kila kiumbe hai nilichokiumba duniani nitakiangamiza.” 
GEN.7.5	Noa akafanya yote kama Mwenyezi-Mungu alivyomwamuru.
GEN.7.6	Noa alikuwa na umri wa miaka 600 wakati gharika ilipotokea nchini. 
GEN.7.7	Noa, mkewe, wanawe na wake zao wakaingia ndani ya safina ili kuiepa gharika. 
GEN.7.8	Wanyama walio safi, wanyama walio najisi, ndege na viumbe vyote vitambaavyo, 
GEN.7.9	wawiliwawili, dume na jike, wakaingia ndani ya safina pamoja na Noa kama Mungu alivyomwamuru. 
GEN.7.10	Baada ya siku saba, maji ya gharika yakaanza kuifunika nchi.
GEN.7.11	Noa alipokuwa na umri wa miaka 600, mnamo siku ya kumi na saba ya mwezi wa pili, siku hiyo chemchemi zote za vilindi vya nchi zikabubujika maji, na madirisha ya mbinguni yakafunguka. 
GEN.7.12	Mvua ikanyesha nchini siku arubaini mchana na usiku. 
GEN.7.13	Siku hiyohiyo mvua ilipoanza kunyesha, Noa, mkewe na wanawe, Shemu, Hamu na Yafethi, pamoja na wake zao, waliingia ndani ya safina. 
GEN.7.14	Waliingia wao wenyewe pamoja na aina zote za wanyama wa porini, wanyama wafugwao, wanyama watambaao na ndege wa kila aina. 
GEN.7.15	Waliingia ndani ya safina pamoja na Noa wiliwawili wa kila aina ya viumbe hai. 
GEN.7.16	Kila aina yao waliingia, dume na jike, kama Mungu alivyomwamuru Noa. Kisha, Mwenyezi-Mungu akaufunga mlango wa safina nyuma yake Noa.
GEN.7.17	Gharika ilidumu nchini kwa muda wa siku arubaini. Maji yakaongezeka na kuiinua safina, ikaelea juu ya ardhi. 
GEN.7.18	Maji yakaendelea kuongezeka zaidi nchini na safina ikaelea juu yake. 
GEN.7.19	Maji hayo yakawa mengi sana juu ya nchi, yakaifunika milima yote mirefu katika nchi. 
GEN.7.20	Yaliongezeka hata kuifunika milima kiasi cha mita saba na nusu. 
GEN.7.21	Viumbe wote hai katika nchi wakafa. Ndege, wanyama wa kufugwa, wanyama wa porini, makundi ya viumbe wote katika nchi kavu na wanadamu wote; 
GEN.7.22	naam, kila kiumbe hai katika nchi kavu kilikufa. 
GEN.7.23	Mungu akaangamiza kila kiumbe kilichokuwa hai duniani: Binadamu, wanyama, viumbe vitambaavyo na ndege wa angani. Vyote viliangamizwa duniani. Noa tu ndiye aliyesalimika na wale waliokuwa pamoja naye ndani ya safina. 
GEN.7.24	Maji hayo yalidumu katika nchi siku 150.
GEN.8.1	Kisha Mungu akamkumbuka Noa na wanyama wote wa porini na wa kufugwa waliokuwa pamoja naye ndani ya safina. Basi, Mungu akavumisha upepo juu ya nchi, maji yakaanza kupungua. 
GEN.8.2	Chemchemi za maji ya vilindi na madirisha ya mbinguni yakafungwa. Mvua ikazuiwa, 
GEN.8.3	maji yakaendelea kupungua polepole katika nchi. Baada ya siku 150, maji yakawa yamepungua sana. 
GEN.8.4	Mnamo siku ya kumi na saba ya mwezi wa saba, safina ikatua juu ya milima ya Ararati. 
GEN.8.5	Maji yakaendelea kupungua polepole, na siku ya kwanza ya mwezi wa kumi, vilele vya milima vikaonekana.
GEN.8.6	Baada ya siku arubaini, Noa alifungua dirisha alilokuwa ametengeneza katika hiyo safina, 
GEN.8.7	akamtoa kunguru nje, naye hakurudi bali aliruka huko na huko mpaka maji yalipokauka nchini. 
GEN.8.8	Kisha Noa akamtoa njiwa apate kuona kama maji yalikuwa yamepungua juu ya nchi. 
GEN.8.9	Lakini, kwa vile maji yalikuwa bado yameifunika nchi yote, huyo njiwa hakupata mahali pa kutua, akamrudia Noa katika safina. Noa akanyosha mkono, akamtwaa na kumrudisha ndani ya safina. 
GEN.8.10	Noa akangoja siku nyingine saba, kisha akamtoa tena huyo njiwa. 
GEN.8.11	Njiwa huyo akamrudia Noa saa za jioni akiwa na tawi bichi la mzeituni mdomoni mwake. Kwa hiyo Noa akajua kwamba maji yalikuwa yamepungua katika nchi. 
GEN.8.12	Kisha akangoja siku nyingine saba, akamtoa tena yule njiwa; safari hii njiwa hakurudi kabisa.
GEN.8.13	Noa alipokuwa na umri wa miaka 601, siku ya kwanza ya mwezi wa kwanza, maji yalikuwa yamekauka katika nchi. Noa akafunua kifuniko cha safina na alipotazama, akaona kwamba nchi ilikuwa imekauka. 
GEN.8.14	Siku ya 27 ya mwezi wa pili, nchi ilikuwa imekauka kabisa.
GEN.8.15	Hapo, Mungu akamwambia Noa, 
GEN.8.16	“Toka katika safina, wewe pamoja na mkeo, wanao na wake zao. 
GEN.8.17	Toa pia viumbe wote hai wa kila aina waliokuwa pamoja nawe, ndege na wanyama na kila kiumbe kitambaacho, wapate kuzaa kwa wingi duniani, waongezeke na kuenea kila mahali duniani.” 
GEN.8.18	Basi, Noa akatoka katika safina pamoja na wanawe na mkewe pamoja na wake za wanawe. 
GEN.8.19	Wakatoka kufuatana na jamii zao, wanyama wote wa porini, viumbe wote watambaao, ndege wote na wanyama wote hai duniani.
GEN.8.20	Noa akamjengea Mwenyezi-Mungu madhabahu, akatwaa mmoja katika kila aina ya wanyama walio safi na ndege walio safi, akamtolea Mungu sadaka za kuteketezwa. 
GEN.8.21	Harufu nzuri ya tambiko hiyo ikampendeza Mwenyezi-Mungu, naye akasema moyoni mwake, “Kamwe sitailaani tena nchi kwa sababu ya binadamu; najua kwamba mawazo yake ni maovu tangu utoto wake. Wala sitaangamiza tena viumbe wote kama nilivyofanya. 
GEN.8.22	Kadiri itakavyodumu nchi majira ya kupanda na kuvuna, ya baridi na joto, ya masika na kiangazi, usiku na mchana, hayatakoma.”
GEN.9.1	Mungu akambariki Noa na wanawe, akiwaambia, “Zaeni, muongezeke, mkaijaze nchi. 
