MAT.1.1	Hembu omukanda womana owoiheombwale ya
MAT.3.8	Iya undapen̯i ovipuka mbimavi yulike okutya mwe liteyulula. 
MAT.3.9	Hámu soko okutya mamu ulu okulipopila mu tyee: ‘Tu na tate Abraham.’ Iya me mu heele okutya Kalunga ma ulu okutjitukitha omawe henga, he e ningi oluyumuko lwaAbraham.
MAT.3.10	Onkava ya tuwa ae pethina lyomuti. Omuti auhe mbuhau ma ovinyango oviwa, mau kewa po, hau yumbwa momulilo.
MAT.3.11	Ame me mu tjatja nomeva himwe liteyulula, iya ngume ya kon̯ima yandje omunene kwaame, ame híme tji ulu nangahi tji li oku mu tjindila odhongaku dhe, ye me ke mu tjatja nOmbepo Ondhilikwa nomulilo. 
MAT.3.12	Ye u na otjiyeletho mokuwoko kwe, ma kombo otjiwaa tje, ovilya vye me vi ungula motjindhi, iya olungu me lu hike po nomulilo mbuhau dhimi.” 
MAT.3.13	Iya 
MAT.3.14	Iya Johannes we mu anya ha tyaa: “Aame me hepwa okutjatjwa kwoove, ove nkee mo ya kwaame?”
MAT.3.15	Jesus we mu yaka ha tyaa: “Iya napano ndjitavela ndje, ouvyuuki auhe u hwithilwe po.” Tjau, he mu itavele.
MAT.3.16	Jesus hiaa tjatjwa, wa dha mo dhiva momeva, eulu lye liyapuka, iya taa tuutuu, wa mono Ombepo yaKalunga amai lauka ngonguti, hai mu wilile. 
MAT.3.17	Iya ondaka ya dha meulu hai tyaa: “Nguka Omunwandje omuhivilikwa, ngumba hopa.”
MAT.4.1	Iya 
MAT.4.2	Iya Jesus hiee litjaela ovikulya ovitenya omilongo vine novit̯iku omilongo vine, héya lya tja, wa li aa t̯i ondjala. 
MAT.4.3	Omutyolethi we ya kuye, he mu heele ha tyaa: “Andaa oove OmunwaKalunga, heela omawe henga, a tjituke omingome.”
MAT.4.4	Iya Jesus we mu yaka ha tyaa: “Kwa sonekwa amaku tiwaa: ‘Hakomungome awiika omuntu ma ulu okukala nomwenyo, iya okondaka aihe ndjimai dhi motjinyo tjaKalunga.’ ”
MAT.4.5	Okudha mpoka omudiapoli wa twala Jesus k
MAT.4.6	ha tyaa: “Andaa oove OmunwaKalunga, lombokela pohi, mena lyokutya kwa sonekwa okutyaa:
MAT.4.6	‘Ye ma heele ovaengeli ve,
MAT.4.6	ve ku tjinde momawoko awo,
MAT.4.6	opo hó putala mewe.’ ”
MAT.4.7	Jesus we mu yaka ha tyaa: “Kwa sonekwa wo okutyaa: ‘Hó lolo 
MAT.4.8	Omudiapoli wa twala uke Jesus kondundu onde unene, he mu yulikile ovilongo avihe vyomouye netumbalo lyavyo, 
MAT.4.9	he mu heele ha tyaa: “Avihe hembi me ku pa vyo, andaa mo ntwikile odhongolo, ho ntumbaleke.”
MAT.4.10	Jesus we mu heela ha tyaa: “Satana, dha po, mena lyokutya kwa sonekwa okutyaa: ‘Muhona Kalunga koye u tha oku mu tumbaleka, oye vala aika wa thele okuundapela.’ ”
MAT.4.11	Iya omudiapoli we mu yetha, tjau, ovaengeli have ya kuJesus, have mu popile.
MAT.4.12	Iya 
MAT.4.13	Jesus wa dhiluka moNasaret, ha ka kala koKapernaum, hitji li pontyo yelunga, povilongo vyaSebulon novyaNaftali,
MAT.4.14	odhondaka ndhaa popiwa k
MAT.4.15	“Otjilongo tjaSebulon notjaNaftali, put̯a pelunga,
MAT.4.15	tjikoohehinya tjaJordan moGalilea y
MAT.4.16	otjiwan̯a hitja kala met̯iku,
MAT.4.16	tja mona otjiten̯i otjinene,
MAT.4.16	nahembenya mbava li ava kala motjilongo nomomudhile wet̯o,
MAT.4.16	otjiten̯i tje ve tungatele.”
MAT.4.17	Iya mpoka Jesus opo a utila okuteetha ha tyaa: “Liteyululen̯i, mena lyokutya otjilongo tjeulu tje ya popedhi.”
MAT.4.19	Jesus we ve heela ha tyaa: “Ndandula ndjen̯i, ame me mu ningi ovahwee wovantu.” 
MAT.4.20	Dhivadhiva va thiaa po omawaanda, have mu landula.
MAT.4.21	Hiaa hweene komeho, wa mona ovalilanduli vavali ovakwawo, Jakob nomunitje Johannes, oomunkwaSebedeus. Wo va li mowato pamo naihe Sebedeus, amava pampa omawaanda awo. Iya Jesus nawo we ve ithana. 
MAT.4.22	Iya dhivadhiva va thiaa po ihe nowato, have mu landula.
MAT.4.24	Etumbuko lye lya handjana motjilongo tjaSiria atjihe. Ovantu ve mu etela ovavedhi avehe mbava li nomauvela ngae lili nangae lili noviihamo, nahemba mbava li n
MAT.4.25	Owingi wovantu owomoGalilea nowomo
MAT.5.2	Jesus wa uta okupopya, he ve longo ha tyaa:
MAT.5.3	“Ovanalao ombave li ovathona mombepo,
MAT.5.3	mena lyokutya otjilongo tjeulu otjawo.
MAT.5.4	Ovanalao ombava etetha onkenda,
MAT.5.4	mena lyokutya mava ka ingwaingwa.
MAT.5.5	Ovanalao ovalinunupiki,
MAT.5.5	mena lyokutya mava ka pingana otjilongo.
MAT.5.6	Ovanalao ombava t̯a ondjala nonyota youvyuuki,
MAT.5.6	mena lyokutya mava ka kutithwa.
MAT.5.7	Ovanalao ovanankenda,
MAT.5.7	mena lyokutya mava ka t̯ilwa onkenda.
MAT.5.8	Ovanalao ombave na omitima mbyaa kohoka,
MAT.5.8	mena lyokutya mava ka mona Kalunga.
MAT.5.9	Ovanalao ombava kondjela ouwa,
MAT.5.9	mena lyokutya mava ka ithanwa ovanwaKalunga.
MAT.5.10	Ovanalao ombava tatethelwa ouvyuuki,
MAT.5.10	mena lyokutya otjilongo tjeulu otjawo.
MAT.5.11	“N̯e muvanalao, andaa ovantu mave mu lalula, have mu tatetha, have mu popile mouvi auhe nokukemba, mena lyokutya muvalongwa vandje.
MAT.5.12	Linyandaelen̯i, mu hulukwe, mena lyokutya ondjambi yen̯i onene meulu, iya otjo va tatethele 
MAT.5.13	“On̯e omungwa wouye, iya andaa omungwa wa hahuka, mau tovalethwa natji? Kau na uke otjilinga, mau yekelwahi, hau lyatwa kovantu.
MAT.5.14	“On̯e 
MAT.5.15	Olamba kai ten̯wa, yo hai tuwa kohi yotjihayo, iya i tulikwa kotjituliko, yo hai tungatele ovantu avehe mbave li monganda.
MAT.5.16	Iya otjiten̯i tjen̯i ngatji tungatele movipathi vyovantu, opo va mone ovilinga vyen̯i oviwa, wo va hivilike Iho owomeulu.
MAT.5.17	“Hámu soko okutya ame mbe ya okwiitha po 
MAT.5.18	Iya me mu heele otjatjili okutya tainkolo eulu nohi háviya hula, moveta kaamu keka ondanda noimo ne okankwanyu, tainkolo avihe háviya hwithilwa po.
MAT.5.19	Iya andaa pe na nguma itha mo tjimo tjomovitumino hembi ovinunu, atjaa ha longo hinyahi ovantu, ma ka ithanwa omununu kovakwawo motjilongo tjeulu. Iya ngume vi takametha, ha longo ovakwawo nyahi, ma ka ithanwa omunene motjilongo tjeulu. 
MAT.5.20	Iya ame me mu heele okutya ouvyuuki wen̯i andaa kau pon̯ene ow
MAT.5.21	“N̯e mwe tji tyaa hitja heelwa ovakulu okutyaa: ‘Hó dhipaa,’ haku tiwa uke: ‘Nguma dhipaa, we litaendhele oku ka koywa.’
MAT.5.22	Iya ame me mu heele okutya omuntu auhe nguma yumaneke omukwawo, we liundapele okukoywa. Nanguma heele omukwawo ha tyaa: ‘Tjintu ove,’ we liundapele oluyuma lw
MAT.5.23	Iya andaa mo yandja otjali kotjiyambelo, atjaa hako u thipalukila omukwen̯i okutya u na hiee ku ningi, 
MAT.5.24	thiaa ko otjali tjoye kotjiyambelo, u tji ye olutenga, mu lipe ouwa nomukwen̯i, ove u tjune, u ka yandje otjali tjoye.
MAT.5.25	“Itavela dhiva, mu lipe ouwa nangume ku kondjetha, tainkolo amu li naye mondjila, ngume ku kondjetha, ahame ku yandja komukoyi, omukoyi e ku yandje komuyungi, ove u yedhililwe mokaliwoso. 
MAT.5.26	Ame me mu heele otjatjili okutya ove koo dhi mo, tainkolo hóya thuta okapeni kathiinina.
MAT.5.27	“N̯e mwe tji tyaa hikwa tiwaa: ‘Hó yono olukupo.’
MAT.5.28	Iya ame me mu heele okutya nguma tala omukadhintu notjihulo, we mu lesa ae momutima we. 
MAT.5.29	Eho lyoye lyokokulyo andaa mali ku tyoletha, li dhoola mo, ove u li yekelehi, mena lyokutya okukeketha otjin̯ipo tjoye tjimo hahe okupon̯a olutu lwoye aluhe okuyumbwa moheli.
MAT.5.30	Okuwoko kwoye kwokokulyo andaa maku ku tyoletha, ku teta ko, ove u ku yekelehi, mena lyokutya okukeketha otjin̯ipo tjoye tjimo hahe okupon̯a olutu lwoye aluhe okuyumbwa moheli.
MAT.5.31	“Iya kwa popiwa wo okutyaa: ‘Nguma yala omukadhintu we, nge mu pe omukanda wokuliyala.’
MAT.5.32	Iya ame me mu heele okutya omuntu auhe nguma yala omukadhintu mena lyotjipuka tjimo hihatji thi ovihulo, me mu hulithitha. Nguma kupu ngwaa yalwa, ma i movihulo.
MAT.5.33	“Otjikwawo uke, mwe tji tyaa hitja heelwa ovakulu okutyaa: ‘Hó ana ovithithi, iya eano lyoye li hwithila po 
MAT.5.34	Iya ame me mu heele okutya hámu ana nokanunu, hámu ana eulu, mena lyokutya lyo otjipundi tjaKalunga,
MAT.5.35	hámu ana pohi, mena lyokutya ohi otjilyatelo tjodhompadhi dhe, hámu ana Jerusalem, mena lyokutya tjo 
MAT.5.36	Hó ana omutwe woye, mena lyokutya koo ulu okutjitukitha ondjutji imo i ninge ompembadhi ne ondholodhi. 
MAT.5.37	Odhondaka dhen̯i ngadhi tyee: ‘Iinga, iinga’ ne ‘Aai, aai.’ Ndhimadhi wedhwa ko, odhombi.
MAT.5.38	“N̯e mwe tji tyaa hitja popiwa okutyaa: ‘Eho okeho, eyoo okeyoo.’
MAT.5.39	Iya ame me mu heele okutya hámu tjun̯ine omuntu ouvi ngume mu ningile ouvi. Iya ngume ku tono koluyewo lwokokulyo, mu pa olukwawo. 
MAT.5.40	Nguma hala oku ku twala kovikoya, e ku nyeke otjikutu tjoye tjokohi, nekapote lyatjo mu pa lyo wo. 
MAT.5.41	Ngume ku n̯in̯ikidha, u mu thindikile popedhi, mu thindikila kokule. 
MAT.5.42	Ngume ku kumbu, mu pa. Hó lwaapele ngume ku li ongele.
MAT.5.43	“N̯e mwe tji tyaa hitja popiwa okutyaa: ‘Kala au hole omukwen̯i, kala au yele ondjedhi yoye.’
MAT.5.44	Iya ame me mu heele okutya kalen̯i amu hole odhondjedhi dhen̯i, kumbilen̯i mbave mu tatetha, 
MAT.5.45	opo mu ninge odhondele dhaIho owomeulu. Iya etango lye u li tumbithila ovawa novavi, nombula u i lokethela ovavyuuki nambahave thi ovavyuuki. 
MAT.5.46	Iya andaa mu hole mboka mbave mu hole, mamu pewa ondjambi yatji? Novathendelethi wo otjo va ninga. 
MAT.5.47	Iya andaa mu popitha omapanga en̯i vala, mamu tya pamo mu ninga otjipuka otjinene? 
MAT.5.48	Iya hwilen̯i po ngaIho owomeulu hiaa hwila po.
MAT.6.1	“Lungamen̯i okutaletha ouvyuuki wen̯i nokulimoneketha movipathi vyovantu, mpe kaamu pewa ondjambi kwiIho owomeulu.
MAT.6.2	Iya amo yandja otjali kovathona, hó iyaula ngahi tji ninga ovalinomi m
MAT.6.3	Iya amo yandja otjali kovathona, okuwoko kwoye kokumbinda háku iwa okulyo himaku ningi, 
MAT.6.4	otjali tjoye opo tji kala meholamo, naIho nguu mona meholamo, me ku pa ondjambi.
MAT.6.5	“Iya amamu kumbu, hámu ngala ovalinomi, mena lyokutya amava kumbu, ve hole okukulama m
MAT.6.6	Iya ove amo kumbu, hita mondjuwo yoye, yedhila po omuvelo woye, u kumbe Iho ngoka nguu li meholamo, me ku pa ondjambi.
MAT.6.7	“Iya amamu kumbu, hámu yayauka ng
MAT.6.8	N̯e hámu ngala wo, mena lyokutya Iho u tji i himamu hepwa, tainkolo hámuya kumba. 
MAT.6.9	N̯e mwa thele okukumba hinyahi:
MAT.6.9	‘Tate yetu nguu li meulu.
MAT.6.9	Ena lyoye ngali dhilikwe.
MAT.6.10	Otjilongo tjoye ngatji ye.
MAT.6.10	Ehalo lyoye ngali hulithwe
MAT.6.10	kombanda yohi ngomeulu.
MAT.6.11	Tu pa wo ndino otjithima tjetu tjetango alihe.
MAT.6.12	Tu ithila po odhonkali dhetu,
MAT.6.12	ngahi matu ithile po mbava lundha kunt̯e.
MAT.6.13	Hó tu twala momatyoletho,
MAT.6.13	iya tu hupitha mouvi.
MAT.6.13	[Mena lyokutya otjilongo otjoye,
MAT.6.13	nodhonkono odhoye
MAT.6.13	netumbalo olyoye apehe katee apehe. 
MAT.6.14	“Iya andaa mamu ithile po ovantu odhonkali dhawo, Iho owomeulu me mu ithile po wo odhonkali dhen̯i.
MAT.6.15	Iya andaa kaamu ithile po ovantu, naIho kaa itha po odhonkali dhen̯i.
MAT.6.16	“Iya amamu litjaele ovikulya, hámu tungu omukoto ngahi tji ninga ovalinomi, mena lyokutya wo va tinda movipala, ovantu opo va mone okutya wo ve litjaele ovikulya. Otjatjili me mu heele okutya wo va pewa ondjambi yawo. 
MAT.6.17	Iya ove amo litjaele ovikulya, likoha motjipala, ove u livaveke momutwe, 
MAT.6.18	opo hó moneka kovantu okutya we litjaele ovikulya, iya u moneke vala kwiIho nguu li meholamo, naIho nguu mona meholamo, me ku thutu.
MAT.6.19	“Hámu liongedhele omamona okombanda yohi, hwaa yonwa komulelu nokotundu, hoka ovimpulu huvi teya, vyo havi vaka.
MAT.6.20	Iya liongedhelen̯i omamona meulu, muhaa yonwa komulelu ne kotundu, novimpulu muhavi teya, vyo muhavi vaka. 
MAT.6.21	Iya hoka huku na emona lyoye, oko ku na omutima woye.
MAT.6.22	“Eho olyo li li olamba yolutu. Iya eho lyoye andaa li li nawa, olutu lwoye aluhe lu na otjiten̯i. 
MAT.6.23	Iya eho lyoye andaa kali li nawa, olutu lwoye aluhe lu li met̯iku. Iya otjiten̯i hitji li mwoove, andaa nan̯i et̯iku, et̯iku li lithike pi!
MAT.6.24	“Kaku na nguma ulu okuundapela ovahona vavali, iya ma kala ae yele umo, ye ha kala ae hole omukwawo, ne ma hopo umo, ha tombo omukwawo. Kaamu ulu okuundapela Kalunga amamu undapele emona.
MAT.6.25	“Iya me mu heele okutya hámu t̯ile omienyo vyen̯i otjiho okutya mamu li tji ne mamu nu tji, nomalutu en̯i okutya mamu dhala tji. Omwenyo kau pon̯ene ovikulya, nolutu kalu pon̯ene omidhalo? 
MAT.6.26	Talen̯i ovidhila vyokeulu: Kavi kunu, kavi teya, vyo kavi ungula movindhi, iya Iho owomeulu u vi tekula. Han̯e mwa valela unene oku vi pon̯a? 
MAT.6.27	Aan̯i mun̯e, nanda kala notjiho, nguma ulu okuwedha ko koule womatango e, nandaku tiwa okantimbu kamo?
MAT.6.28	“Iya omena lyatji mu na otjiho tjomidhalo? Talen̯i odhontemo dhomokuti hidhi kula, kadhi undapa, dho kadhi pampa. 
MAT.6.29	Iya ame me mu heele okutya naSalomo metumbalo lye alihe ka dhalele a ngale imo modhontemo ndhoka.
MAT.6.30	Iya Kalunga andaa ma dhaleke ehodhi lyomokuti ndii kala po vala ndino, komuhuka hali yumbwa momulilo, kee mu ningile tjo unene, n̯e owokaitavelo okanunu?
MAT.6.31	“Iya hámu kala notjiho mu tyee: ‘Matu li tji?’ ne ‘Matu nu tji?’ ne ‘Matu dhala tji?’ 
MAT.6.32	Iya 
MAT.6.33	Olutenga taendhen̯i 
MAT.6.34	Hámu t̯ile etango lyamuhuka otjiho, mena lyokutya etango lyamuhuka mali lit̯ile otjiho olyene. Iya etango alihe li na oudheu walyo.
MAT.7.1	“Hámu koyo, nan̯e opo hámu koywa, 
MAT.7.2	mena lyokutya ekoyo ndimamu koyo, nan̯e olyo mamu ka koywa, himamu yeleke natjo, nan̯e otjo mamu ka yelekwa natjo.
MAT.7.3	Iya omena lyatji mo mono okatodhi hake li meho lyomukwen̯i, ove aho lwete omundangala mbuu li meho lyoye omwene? 
MAT.7.4	Ne omukwen̯i mo mu heele vi okutyaa: ‘Opomeya ndji ku toole okatodhi meho lyoye,’ iya nan̯i ove au na omundangala meho lyoye omwene. 
MAT.7.5	Mulinomi, litoola olutenga omundangala meho lyoye omwene, opo u tjiiwe nawa okumona okatodhi hake li meho lyomukwen̯i, u mu toole.
MAT.7.6	“Otjidhilikwa hámu tji yandja kodhombwa, madhi piluluka hadhi mu lumata. Omakwalali en̯i ouwe wokalu hámu e yumbile ovingulu, mavi e lyata nomakoti avyo.
MAT.7.7	“Kumben̯i, mamu pewa; taendhen̯i, mamu mono; popithen̯i, mamu itavelwa. 
MAT.7.8	Iya omuntu auhe nguma kumbu, ma pewa; nguma taendha, ma mono; nanguma popitha, ma itavelwa. 
MAT.7.9	Ne mu na omuntu mun̯e, andaa omuna me mu kumbu omungome, u mu pa ewe? 
MAT.7.10	Ne andaa me mu kumbu ohi, u mu pa onyoka? 
MAT.7.11	Iya n̯e mbamu li ovavi, andaa mu tji i okuyandja ovipuka oviwa kovanwen̯i, unene tuu Iho owomeulu ma yandja ouwa kovantu mbamave mu kumbu.
MAT.7.12	“Iya atjihe himamu hala ovantu ve mu ningile, nan̯e wo ngatjo mu ve ningila, mena lyokutya hehi otjo tji li 
MAT.7.13	“Enden̯i mo, mu pitile potjivelo hitja thin̯a, mena lyokutya otjivelo otjinene, nondjila ndjaa handjuka mai twala mekeko, mbamava ende mo ovengi. 
MAT.7.14	Iya otjivelo otjinunu nondjila ndjaa thin̯a mai twala momwenyo, ovanunu vala mbamave i mono.
MAT.7.15	“Lungamenen̯i 
MAT.7.16	Iya mamu ve tangan̯ekele kovilinga vyawo. Odhombe dhi nyangwa komulodhi ne omakuyu a nyangwa komunkondo? 
MAT.7.17	Iya omuti omuwa auhe u ma ovinyango oviwa, iya omuti omuvi u ma ovinyango ovivi. 
MAT.7.18	Omuti omuwa kaau ulu okuma ovinyango ovivi, wo omuti omuvi kaau ulu okuma ovinyango oviwa. 
MAT.7.19	Omuti auhe mbuhamau ma ovinyango oviwa, mau tetwa po, hau yumbwa momulilo.
MAT.7.20	Iya ovaprofeti mamu ve tangan̯ekele kovilinga vyawo.
MAT.7.21	“Hamuntu auhe nguma ntyaa: ‘
MAT.7.22	Metango ndyoka ovengi mava ka ntjeela amava tyaa: ‘Muhona, Muhona, hant̯e twa teethele mena lyoye, twa ta mo 
MAT.7.23	Iya ame me ke ve heela he tyaa: ‘Ame hí mu i nokanunu, dhen̯i po pwaame, mwa pengetha oveta yaKalunga!’
MAT.7.24	“Iya omuntu auhe nguma tee odhondaka dhandje hendhi, ye he dhi hwithile po, ma yelekwa nomulumentu omunadhondunge, ngwaa tungila ondjuwo ye yekuma koluwaa. 
MAT.7.25	Iya ombula ya loka, ethundja hali ya, nombepo hai pepe, hai litono mondjuwo ndjoka, iya ahamai kumauka po, mena lyokutya ya tungilwa koluwaa.
MAT.7.26	“Iya omuntu auhe nguma tee odhondaka dhandje hendhi, ye ahame dhi hwithile po, ma yelekwa nomulumentu omuhima, ngwaa tungila ondjuwo ye yekuma moluheke. 
MAT.7.27	Iya ombula ya loka, ethundja hali ya, nombepo hai pepe, hai litono mondjuwo ndjoka, hai kumauka po, nekumaukopo lyatjo lya li enene.”
MAT.7.28	Iya 
MAT.7.29	mena lyokutya we ve longa nganguu na odhonkono, hatjo ng
MAT.8.1	Iya 
MAT.8.2	Iya omulumentu w
MAT.8.3	Jesus wa yela okuwoko kwe, he mu t̯in̯i ha tyaa: “Ame me hala, veluka.” Iya dhivadhiva ouvela we wotjilundu wa veluka. 
MAT.8.4	Iya Jesus we mu heela ha tyaa: “Taa tuutuu, hó tji heele omuntu noumo. Iya enda, u ke liyulikithe k
MAT.8.5	Iya 
MAT.8.6	ha tyaa: “
MAT.8.7	Jesus we mu heela ha tyaa: “Me ya, ndji ke mu velule.”
MAT.8.8	Omunene wovakwavita we mu yaka ha tyaa: “Muhona, ame hí thevelwe, u ye mondjuwo yandje, popya vala nondaka, omuntu wandje ma veluka. 
MAT.8.9	Iya ame naame wo ndjimuntu omutuminwa, ndji na ovakwavita mbave li kohi yandje. Ndji heela omuntu he tyaa: ‘Enda,’ ye ha i, nomukwawo he tyaa: ‘Indjo,’ ye he ya, nomupika wandje ndji mu heela he tyaa: ‘Undapa otjontumba,’ he tji undapa.”
MAT.8.10	Jesus hiee tji tee, we kumwa, ha heele mbave mu landula ha tyaa: “Me mu heele otjatjili, moIsrael híya mona mo noumo nguu na eitavelo enene ndii lithike hempa. 
MAT.8.11	Iya ame me mu heele okutya ovantu ovengi mave ke ya okudha koutjilo nokoutokelo, hava ka lya pamo naAbraham naIsak naJakob motjilongo tjeulu.
MAT.8.12	Iya ovana wotjilongo tjeulu mava ka yundulilwa pondje met̯iku, moka mumamu ka kala otjililo nelikweyo lyomayoo.”
MAT.8.13	Jesus wa heela omunene wovakwavita ha tyaa: “Enda, ngahi wa itavele, ngatjo u ningilwa.”
MAT.8.13	Omuntu we wa veluka powola yatjo vala ndjoka.
MAT.8.15	Jesus we mu yaka mokuwoko, elema hali dhi mo. Ye wa kulama, ha twiile po Jesus ovikulya.
MAT.8.16	Iya okawiiwii hika wile pohi, ovantu ovengi mbava li n
MAT.8.17	opo dhi hwithilwe po ndhoka ndhaa popiwa k
