MAT.1.1	Liáni áabai lista nashínaa náa'a Jesucristo wérrinaimica, rey David cúuleemi ya Abrahám.
MAT.1.14	Azor Sadoc sálijinaa,
MAT.1.14	Sadoc Aquín sálijinaa
MAT.1.14	ya Aquín Eliud sálijinaa.
MAT.1.15	Eliud Eleazar sálijinaa,
MAT.1.15	Eleazar Matán sálijinaa
MAT.1.15	ya Matán Jacob sálijinaa.
MAT.1.16	Jacob José sálijinaa, liá'a Joséca rúnirrimi ruá'a Maríaca,
MAT.1.16	ya ruyá litúwa liá'a Jesúsca, liá'a wáni jí'inaa Mesíasca.
MAT.1.17	Néenee wacába catorce generaciones Abrahám néenee, cáashia líinu David néerra; David néenee áabata catorce generaciones, natée'inaami israelítabini preso Babiloniala, ya áabata catorce néenee presoquictami náa'a israelítabinica cáashia lijiácoo liá'a Mesíasca.
MAT.1.18	Quéechanacu'inaa Jesucristo jiácoo cháji'i: Ruá'a María litúwaca comprométechoo rucásacoo liájcha liá'a Joséca. Libéecha'inaa nayá náajcha wáacoo, náa léenaa quéenibi ruyá Espíritu Santo dánaniyu. 
MAT.1.19	Litáaniaca'ee ruájcha, liá'a José washiálicuerri sáicaica, jócai liwówa chóniwenai yáa léenaa ruíiwanaa, jáiwa'ee liwówai limáaca ruyái cabáyainta. 
MAT.1.20	Néenee nácula lipénsaa linácu liáni, báqueerri ángel Dios shínaa íyadau lirrú dajuíshi rícueji, limá lirrú: “José, rey David táqueerrimi, ucáarru jitée María újni jíinucaa, léecaa liárra yéerri ruáwi rícu ruwáaliani Espíritu Santoyu. 
MAT.1.21	María rucúulicuminaa rucúuleujoo, jiáminaa lijí'inaa Jesúsjoo, liyáca wásedeerri'inaa lishínaa chóniwenai najíconaa yúchau.” 
MAT.1.22	Quinínama liáni bésuneerriu quéewique'e licúmpliacoo, liá'a Wawácali máyu'umica linúma licuéji liá'a íiwadedeerri Dios chuáni báinacumi, limá'inaa:
MAT.1.23	“Báquetoo miyácau jócau cúnusia máachu,
MAT.1.23	quéenibiminaa rumáacacoo ya ruwáalia báqueerri rucúuleu,
MAT.1.23	náani'inaa jí'inaa Emanuel”
MAT.1.23	(liwówau'u limáca: “Dios wáajcha”).
MAT.1.24	Néenee licáwia'inau liá'a Joséca, liméda léjta Dios shínaa ángel máyu'u lirrú, lirríshibia María líinuyu. 
MAT.1.25	Ne jócau limáa yáajcha, cáashia rucúlicu liá'a rucúuleecoo quéechanacu sáica, liá'a José yáni jí'inaa JESÚS.
MAT.2.1	Jesús jiá'inau lirrícu liá'a Belénca, yéerri áabai cáinabi íta'aa jí'ineerri Judea, liyáali éerri Herodes máanuica jái reycai. Néenee náiinu Jerusalén néerra áabi chóniwenai cawíteeni mawí, íinuenai cáiwia jiáctejcoo, nashínaa tráawajo éewidenaiu sáalii nácu 
MAT.2.2	Nasáta'ee néemiu: “¿Tanácucha liyá léji liá'a jiéirricoo judíobinica shínaa rey'inaaca? Níwata wacábacaala sáalii jiácoo, wayá éebidenai wacába lijiácalawai, tánda wáiinu wáa lirrú sáicai.” 
MAT.2.3	Liá'a rey Herodes éemi'inaa liáni, néenee urrúni liwówa léemicani, chacábacanaa nabésunacoo quinínama náa'a chóniwenaica yéenai Jerusalén rícu. 
MAT.2.4	Néenee rey wána namáida nayá quinínama náa'a sacerdote wácanaica, ya náa'a éewidenaica ley shínaaca, ya lisáta léemiu nayá táshia nácucha'inaa lijiáu jiliá'a Mesíasca. 
MAT.2.5	Néenee namá lirrú: “Liyá jiéirri'inau Belénca rícu, Judea cáinaberra íta'aa, chácate litánaca liá'a íiwadedeerri Dios chuáni báinacumi limá'inaa:
MAT.2.6	Ne jiyá chacáalee Belén, liá'a cáinabi Judea shínaa, áawita píituirri jiyá,
MAT.2.6	máanuiminaa jíiwana médacojoo náiibicha náa'a chacáalee máanui namánica líta'aa liáni cáinabica;
MAT.2.6	jiníwata jíibichaminaa lijiáu báqueerri wánacaleerri bánuerri'inaa nanácu náa'a nushínaa chóniwenai náa'a israelítabinica.”
MAT.2.7	Néenee Herodes máida nayá cabáyainta náa'a cawíteeni mawí déecucha sána, jáiwa liá léenaa narrícueji liá'a éerri sáica nacába'inaami rujiáctamicoo ruá'a sáalii. 
MAT.2.8	Néenee libánua nayá Belénra ya limá nalí:
MAT.2.8	“Yáau néerra isátada éemiu sáica linácu liárra samálitaca; jáicta íinu linácujoo, íiwa nulíjoni, quéewique'e nuáacoo nuá lirrú sáicai lécchoojoo.”
MAT.2.9+MAT.2.10	Néenee nanísa'inaa néemi limáyu'u liá'a reyca, jáiwa náawai Belénra. Quéecha'inaami néejoocoo nacába ruá'a sáaliica, sáicta wéerri nawówa, níwata rujínacalau ruácoo nabéecha, cáashia líinu quirrácua yáctalaca, jáiwa rubárruawai liwícau. 
MAT.2.11	Néenee nawárruawai cuíta lícula, jáiwa nacába liá'a quirrácuaca María yáajcha, ruá'a litúwaca; néenee natúyau lirrúi náaque'e lirrú sáicai. Jáiwa naméecu nashínaa cajón natéeni náacoo, jáiwa náa lirrúi oro, ya áabai sáictai juménibee jí'ineerri incienso, ya áabata juménibee jí'ineerri mirra. 
MAT.2.12	Liáwinaami Dios íiwa nalí dajuíshi rícueji jócubeecha néejoo Herodes néenee, níwata Dios yáirri léenaa Herodes wówai líinua liá'a quirrácuaca; néenee néejoowai nashínaa cáinabi ítalau áabai iníjbaa rícu.
MAT.2.13	Quéecha'inaa náacuwai náa'a yáine léenaa, néenee José cába báqueerri ángel Dios shínaa dajuíshi rícueji, ángel ma lirrú: “Jibárroo jiwína liárra samálitaca litúwa yáajchau, jicánacau Egipto shínaa cáinabi ítala, jimáacau néerrajoo cáashia nuíiwa jirrúni, níwata Herodes wówairri libánua namúrru liárra samálitaca náiinuaque'ini.” 
MAT.2.14	Néenee licáwiacuwai libárruawai liá'a Joséca, liwína liá'a samálitaca litúwa yáajchau táayee lijiáu Egipto néerra, 
MAT.2.15	Namáacau néerrai cáashia máanali liá'a Heródesca. Cháwa lijiácuwai léjta limáyumi liá'a wawácalica linúma licuéji liá'a íiwadedeerri Dios chuáni báinacumi, limá'inaa: “Numáidaminaajoo nucúuleu Egiptoeji.”
MAT.2.16	Ne Herodes yá'inaa léenaa nachálujueda liyá náa'a yáine léenaa, néenee íiwirri wérri liwówa, liwána náiinua quinínama náa'a sáamanai máachuca wáalienai chámai camuí cáinacula yéenai Belén rícu, ya quinínama narrícu náa'a chacáaleeca yéenai Belén téeji. Liwána náiinua nayá léjta éerrimi náiiwa'inaa lirrúni náa'a yáine léenaa
MAT.2.17	Cha licúmpliacuwai liá'a limánimica liá'a íiwadedeerri Dios chuáni báinacumi jí'ineerri Jeremías, limá'inaa:
MAT.2.18	Néemi'e áabau wítama líta'aa liá'a Ramá
MAT.2.18	íchenai wérri cáiwinaa,
MAT.2.18	ruyáwoo Raquelbinica íchanenai nanácueji náa'a natáqueenai'inaaca,
MAT.2.18	jócau índa sáicta naméda ruwówa,
MAT.2.18	níwatajani máanalicai.
MAT.2.19	Liáwinaami máanali'inaami Herodes, néenee báqueerri ángel Dios shínaa, íyadau Josérru dajuíshi rícueji chalé'e Egiptola. 
MAT.2.20	Limá lirrú: “Jibárroo, jiwína liárra samálitaca litúwa yáajchau, jéejoo jiácoo Israel shínaa cáinabi ítala, máanalica náa'a wówainaimi náiinua liárra samálitaca.” 
MAT.2.21	Néenee libárruawai liá'a Joséca, liwína liá'a samálitaca litúwa yáajchau, léejoo Israel shínaa cáinabi ítala. 
MAT.2.22	Ne liá'inaa léenaa Arquelao wánacaala Judea néeni, liáarrumirra liá'a Heródesca lisálijinaa, néenee cáarru liácoo néerrai liá'a Joséca. Quéecha'inaa Dios íiwa lirrú dajuíshi rícueji, néenee liáu lirrícula liá'a cáinabica jí'ineerri Galilea. 
MAT.2.23	Ne líinu'inaa néerrai, néenee liáu liyá áabai chacáalee rícu jí'ineerri Nazaret. Cha licúmpliacuwai liá'a namánimica náa'a íiwadedeenai Dios chuáni báinacumi, namá'inaa náaque'e lijí'inaa Nazaret néeni sái.
MAT.3.1	Íchaba camuí liáwinaami líyadau liá'a Juan Bautístaca á'a cáinabi Judea shínaa wáunamactalaca; néerra chóniwenai yáau néemi lirrú. 
MAT.3.2	Lichuáni rícuejiu limá'ee: “¡Éejoo Diosru, jiníwata liá'a Dios wánacaalactalaca urrúniyii!” 
MAT.3.3	Léewa Juanja liérra Dios máni jinácucha lirrú liá'a íiwadedeerri Dios chuáni báinacu jí'ineerri Isaíasca:
MAT.3.3	“Báqueerri chóniwerri máidada á'a wáunamactalaca:
MAT.3.3	‘Ichúni iyáu libéecha quéewique'e irríshibia wawácali jáicta líinui’,”
MAT.3.3	Léjta nachúni iníjbaa libéecha liá'a chóniwerri cawéni íinuerri'inaaca. 
MAT.3.4	Juan íibala yáairri caméeyu íchunayu, libájini líwali rícu áabai íimanaayu; ya líiya langosta, újni irríchu máanuica ya máaba yáamitu. 
MAT.3.5	Náa'a chóniwenai Jerusalén néeni sánaca, ya íchaba wérri náa'a yéenai Judea téeji, ya náa'a yáanai urrúni méeda jí'ineerri Jordán najiáu néemicani. 
MAT.3.6	Náiiwanaa najíconau chóniwenai náneewa Diosru ya Juan báutiseerri nayá á'a méeda jí'ineerri Jordán.
MAT.3.7	Ne Juan cába'inaa íchaba náa'a fariséobinica ya saduceobinica, náiinu liyáctala quéewique'e Juan báutisa nayá, limá nalí: “¡Áai cawálai táqueenaimi! ¿Tána ma irrúi iwásedacaala'inau liúcha liá'a carrúnatabeeca máanui wérrica urrúniyaca? 
MAT.3.8	Imédau sáica, chacábacanaa quéewique'e nacábacani icúcani éejuacoo Diosru, 
MAT.3.9	ya jócu imá irrúwoo iyá jájiu: ‘Jócu cáarru wacába liá'a Dios shínaa carrúnatabeeca, níwata wayá Abrahám táqueenaimi’; Dios éewerri liá irrú carrúnatabee, liyácta rúnaa Abrahám táqueenaimi, liyá éewerri liquénuda nayá matuínaami íibicha áawita íiba íibicha. 
MAT.3.10	Léjta báqueerri washiálicuerri liwínacta lishínaa chúushiu, liwíchuaque'e áabai áicuba yáirri lítau, ya liúca chichái rículani jócta liá lítau sáica, chacábacanaa Dios yáairri urrúni quéewique'e liá lirrú carrúnatabee liá'a jócai chúni liwíteu. 
MAT.3.11	Nuyá, yáawaiyi, nubáutisa shiátaiyu quéewique'e numáida iyá éejuacoo Diosru; ne liá'a íinuerri'inaa nuíshiirricu, yáirri'inaaminaa irrú Espíritu Santo, quéewique'e icámbia iwítee yáayu'u yáminaa liá'a nalí carrúnatabee náa'a jócani éebida infierno shínaa chicháiyu. Liyá mawí cadánani núcha, jiní báawita nutéeyu'inaa lishínaa cotiza. 
MAT.3.12	Liá'a wawácalica léjta washiálicuerri cáabanacai téerri licáaji ricúu lipálaniu, quéewique'e lisárraa lishínaa trigo, ya licháquidaque'e máashiibee yúcha. Liwáaliaminaa lishínaa trigoca liáarrui rículau, ne léemaminaa liá'a máashiibee chichái ricúla jócai chácacajiu. Chacábacanaa Dios shírri náa'a chóniwenai machácanini wítee ya táminaa léema'inaa náa'a chóniwenai jócani éebida áabai chichái ricúla jócai chácacajiu.”
MAT.3.13	Jesús yáau Galilea néenee méedala jí'ineerri Jordán, Juan yáctalaca, quéewique'e Juan báutisacani. 
MAT.3.14	Quéechanacu Juan jócai wówai libáutisacani, limá lirrú:
MAT.3.14	—Nuyá jócai sáicanata báutisa jiyá, jiyáwata arrúnai'inaata báutisa nuyá.
MAT.3.15	Jesús éeba'ee:
MAT.3.15	—Jimáaca cha nírra íchaitaa, ne jiníwata arrúnaa wacúmplia quinínama liá'a sáicaica Dios náneewa.
MAT.3.15	Néenee Juan áabenama liyá. 
MAT.3.16	Ne liyáalimi Jesús báutisa'inau, lijiáu shiátai yáacucha, jáiwa éerri méecu lirrúi, licába'ee liá'a Espíritu Dios shínaaca, yúrrucoo linácula jicá'a áabai paloma. 
MAT.3.17	Néenee léemi'e áabai chuánshi áacaiji, máirri'e: “Léwa nucúulee caníinai nucábaca, sáicta nuwówa liájcha.”
MAT.4.1	Liáwinaami libáutisa'inaa liá'a Jesúsca, Espíritu Santo litée liyá wáunamactala jiníctala yáairri, quéewique'e Wawásimi énedacani. 
MAT.4.2	Cuarenta éerri Jesús jócai íya, ya cuarenta táayebee, liáwinaami sáamu liwówai. 
MAT.4.3	Wawásimi rúniu lirrú lénedaque'e liyá, limá lirrú:
MAT.4.3	—Yáawaicta Dios Cúulee jiyá, jiwánate nanáawacoo náani íibaca íyacaishiyu.
MAT.4.4	Néenee Jesús éeba'ee:
MAT.4.4	—Jóca'inaa numéda. Liá'a tánerricoo máirri: ‘Jócai bácai íyacaishiyu cáwi liá'a washiálicuerri, cáwica liyá lécchoo liyú liá'a Dios chuáni jiéirricoo linúma licuéji.’
MAT.4.5	Liáwinaami, Wawásimi tée liájcha Jesús lirrícula liá'a chacáalee majíconaa jí'ineerri Jerusalén, libárruedani templo máanui númacua íta'aa. 
MAT.4.6	Limá'ee lirrú:
MAT.4.6	—Yáawaicta Dios Cúulee jiyá, jicáteu cáinacula, jái tánacuwai,
MAT.4.6	‘Dios bánuaminaa lishínaa ángelbini jinácu'inaa,
MAT.4.6	nawínaque'e jiyá nacáaji rícuu,
MAT.4.6	jócubeecha jíinua jíibau íiba nácula.’
MAT.4.7	Néenee Jesús ma lirrú:
MAT.4.7	—Jócai'inaa numéda. Jái tánacuwai lécchu, ‘Ujiméda carrúnatai quéewique'e jéneda wawácali litúyaque'e jiyá.’
MAT.4.8	Néenee Wawásimi tée liyá báaniwai áabai dúuli áacai wérri ítala, líyada lirrú quinínama chacáalee cáinabi íta sána, sáictani wérri cawéninamani. 
MAT.4.9	Limá lirrú:
MAT.4.9	—Nuá jirrú quinínama léju liéni, jitúyactau jitájeda jinániu nulí jiá nulí sáicai jiwówa yáajchau.
MAT.4.10	Néenee Jesús éeba'ee lirrú:
MAT.4.10	—Jócai'inaa numéda. Jidánau núcha, Wawásimi, jái tánacuwai: ‘Jiméda lirrú sáicai jiwówa yáajchau liá'a jiwácali Diosca, jishírrueda lirrú bácai.’
MAT.4.11	Néenee Wawásimi shírriu Jesús yúcha, jáiwa ángelbini íinuenai nashírrueda lirrú.
MAT.4.12	Néenee Jesús éemi'inaa naníqui Juan cuíta manúmai rícula, léejoo Galilea cáinaberra ítala. 
MAT.4.13	Ne jócu limáacau Nazaret á'a liyáctamica, jócta liáu liyáca Capernaúm chacáalee rícula, litácoowa liá'a manuá jí'ineerri Galilea, nayácta náa'a tribu Zabulón shínaa ya Neftalí. 
MAT.4.14	Liáni bésuneerriu quéewique'e licúmpliacoo liá'a litánani liá'a íiwadedeerri Dios chuáni báinacu, jí'ineerri Isaíasca:
MAT.4.15	“Cáinabi lishínaa liá'a Zabulón ya Neftalí,
MAT.4.15	bajiála Jordán, manuá tácoowa:
MAT.4.15	Galilea nayácta náa'a jócani éebida.”
MAT.4.16	Náa'a chóniwenai jínanenai'inaacoo catáwacabee jirrícu,
MAT.4.16	nacábaminaa áabai jucámarrabee
MAT.4.16	áabai jucámarrabee úcuni nalí náa'a yáainaimi catáwacabee jirrícu máanalinimica.
MAT.4.17	Néenee liyáali Jesús lichánau líiwadeda nalí: “Éejoo Diosru, jiníwata Dios wánacaalactalaca jái urrúnicai.”
MAT.4.18	Jesús jínaneerriu litácoowa liá'a manuá jí'ineerri Galilea, jáiwa licábai chámata washiálicuenai néenajinai wáacoo: báqueerri liá'a Simónca, Jesús yáni'inaa jí'inaa Pé'eru, ya liá'a báqueerrica Andrés. Náani catésucani, yúquenai nayá nashínaa máayau manuá yácula. 
MAT.4.19	Jesús má'ee nalí:
MAT.4.19	—Yáau nuájcha, numédaminaa iyá cáindacani'inaa chóniwenai Diosru.
MAT.4.20	Liyáalimi namáaca nashínau máayamiu, jáiwa náau liájchai.
MAT.4.21	Mawí nabéechala, Jesús cába áabibi chámata washiálicuenai néenajinai wáacoo: Santiago ya Juan, léenibi liá'a Zebedeoca, yéenai nasálijinaa yáajchau áabai bónco rícu, chúneenai nayá namáayaniu. Jáiwa Jesús máida nalí. 
MAT.4.22	Liyáalimi namáaca nashínaa bónco ya nasálijinaami, jáiwa náau liájchai liá'a Jesúsca.
MAT.4.23	Jesús lijínaniu quinínama Galilea shínaa cáinabi, léewida limácoo narrícu náa'a sinagogaca. Líiwadeda linácu liá'a sáicai chuánshica linácu liá'a Dios wánacaalactalaca, ya lichúni chóniwenai quinínama bálinacaalashi ya cáiwibee. 
MAT.4.24	Natáania Jesús nácu quinínama náa'a yéenai Siria shínaa cáinabi íta'aa, naínda lirrú quinínama náa'a bálinenaicoo méenaami bálinacaalashi ya cáiwibee, ya náa'a wáalenai espíritu máashii, ya náa'a cúcunenaicoo, ya náa'a macáwanica. Yá'ee Jesús chúni nayá, 
MAT.4.25	íchaba chóniwenai yáau Jesús yáctalaca, náa'a Galilea sánaca, ya náa'a chacáalee Decápolis sánaca, náa'a Jerusalén néenee sánaca, náa'a Judea néenee sánaca, ya náa'a yáine Jordán cáinaberra ítacha cáiwia jiáctejcoo, najínani'eewoo Jesús íshiirricu.
MAT.5.1	Licába'inaa íchaba wérri chóniwenai, Jesús íirrau liwáacoo dúuli lítala quéewique'e léewidaca. Náa'a éewidenaicoo liájcha náiinu liyáctalaca, 
MAT.5.2	jáiwa lichánau léewida nayái, limá'ee:
MAT.5.3	“Sáicta wérri nawówa náa'a yáine léenaa narrúnijinaa cáwicaishi Dios shínaa,
MAT.5.3	jiníwata nashínaa'inaa liá'a sáicaica Dios wánacaalactalaca.
MAT.5.4	Sáicta wérri nawówa náa'a máashiini wówa,
MAT.5.4	jiníwata Dios yáirri'inaa nalí sáictaque'e nawówa.
MAT.5.5	Sáicta wérri nawówa náa'a imíyanica,
MAT.5.5	jiníwata Dios yáirri'inaa nalí liá'a cáinabi limánimi líshiirrini'inaa nalí.
MAT.5.6	Sáicta wérri nawówa náa'a wáalianai ínaaishi ya náa'a iméeni wówa namédaque'e léjta Dios wánacaalau'u,
MAT.5.6	jiníwata liyáminaa liwána licúmpliacoo léjta nawówau'i.
MAT.5.7	Sáicta wérri nawówa náa'a carrúni jináatani cába áabi,
MAT.5.7	jiníwata Dios carrúni jináataminaa licába nayá.
MAT.5.8	Sáicta wérri nawówa náa'a masáculani wówa,
MAT.5.8	jiníwata áabai éerri nayáminaa Dios yáctalaca ya nacábaminaa liyá.
MAT.5.9	Sáicta wérri nawówa náa'a múrruenai sáictaque'e nawówa,
MAT.5.9	jiníwata Dios yáa nají'inaa nayá léenibiyu.
MAT.5.10	Sáicta wérri nawówa náa'a nacánaquedanica namédacala liá'a Dios bánua namédaca,
MAT.5.10	jiníwata nashínaa'inaa liá'a Dios wánacaalactaca.
MAT.5.11	“Sáicta wérri iwówa, jáicta chóniwenai báulidacta iyá ya nacáitadeda iyá, ya nunácue jíni nawína iyá quinínama númashi yúwicayu. 
MAT.5.12	Jáicta libésunau léju liáni, sáicta iwówa, cachúnica iwówa, jiníwata irríshibiacaala'inaa áabai iwéniu máanui áacairra; chái lécchoo nacánacaida náa'a íiwadedenai Dios chuáni báinacu yáainaimi ibéecha.
MAT.5.13	“Iyáwa chánii cábacanaa jicá'a iwíduma cáinabi shínaa. Ne ya limáacacta lijúwacau, ¿chítashia léewa liwína lijúwacau jíni? Jái jócu sírbia mawiá, náucaminaani bináawala ya chóniwenai báawedani. 
MAT.5.14	Iyáwa chánii cábacanaa jicá'a jucámarrabee cáinabi shínaa. Léjta jucámarrabee chacáalee shínaa yáairrictani dúuli íta'aa, jócai éewa libáyacoo, chacábacanaa náa'a chóniwenai néewa nacába quinínama iyá imédanica. 
MAT.5.15	Jócu watúculia áabai lámpara waníquique'e áabai cajón rícuni; mawí sáicaca, wamáacacani áacai íta'aa liquénaque'e quinínama yáanai cuíta rícu. 
MAT.5.16	Chacábacanaa, imédau machácani, quéewique'e quinínama náa'a chóniwenai néewa nacába liá'a sáicai imédani iyá, ya quinínama náa sáicai lirrú liá'a isálijinaaca yéeirri áacairra.
MAT.5.17	“Iyá u'éebida nuíinucala numárda liá'a leyca o liá'a néewidani náa'a cáiiwadedacani Dios chuáni báinacu; nuyá jócai íinu nuá linúmami, nuyá íinuerri nuá lirrú yáawaiyi licábacanaaca. 
MAT.5.18	Ne yáawaiyi numá irrú, nácula liyája liá'a éerrica ya cáinabi, jiníminaa nuédani liúcha liá'a leyca, báawita áabai púnto'inaa báawita áabai letra, cáashia libésunacoo quinínama liá'a arrúnaa libésunacoo. 
MAT.5.19	Tándawa, liá'a jócai éewida néenaa náa'a ley shínaaca, báawita píituicani, jiní léewidacala náa'a chóniwenaica éewidacani, nacábadedacani'inaa jiní wéni liúcha liá'a wánacaleerri Dios shínaa. Ne liá'a éewiderrica ya léewida lécchoo áabi méda léjta liyá, mawí'inaa cawéni wérri chaléeni Dios liwánacaalactalaca. 
MAT.5.20	Tánda numá irrú, iyá jócta iméda mawí sáica Dios náneewa, náucha náa'a quéewidacani ley shínaaca ya náa'a fariséobinica, jiní wérri wárroo áacairra Dios yáctalaca.
MAT.5.21	“Iyá jái éemicai namá nalí náa'a wawérrinaimica: ‘Ujíinua, ne liá'a íinuerrica yúquerri'inau carrúnatai rícula.’ 
MAT.5.22	Ne nuyá ma irrú, tánashia íiwirri wówa léenajirri yáajchau, yúquerri'inau. Tánashia cáitadedeerri léenajirriu, nacábadedani yáawacta cajíconaajani náa'a nawácanaica; tánashia cáiteerri cáiwinaa wérri léenajirriu, arrúnai'inaa chichái infierno shínaaca.
MAT.5.23	“Chái jitécta jishínaa ofrendau Dios íibana rícula, jédacanictau áicta jéenajirri wáaliani jiájchau jináculaja, 
MAT.5.24	jimáaca jishínaa ofrendau néenijaa, arrúni lirrú liá'a néemacta ofrenda, ya jiáu jéenajirri néerrau jichúni jishínaa wíteshiu quéecha. Ta jéewa jéejocoo jitée jishínaa ofrendau Diosru, néemactala'inaacani.
MAT.5.25	“Ya áicta yáirri jijíconaaja ya liwówai jiyá máashictala néerra, jénedau jimédacoo áabenaa liájcha nácula jócu libésunajau, jócubeecha léejueda jiyá juezru; táda jóctacala, liá'a juez yúquerri'inaa jiyá ya léentregaa jiyá nalí náa'a catúyacanica ya naníqui jiyá cuíta manúmai rícula. 
MAT.5.26	Numá jirrú yáawaa, jócala jijiáu chéni jóctacala jipáida quinínamani liá'a jimówinianica.
MAT.5.27	“Iyá éemini quéecha namáyu'u: ‘Ujiméda jirrúwoo liá'a máashii jíinayu.’ 
MAT.5.28	Ne nuyá ma irrú, tánashia liá'a cáberri báquetoo íinetoo liméda rúnainaa, jáiyi méda máashii ruájchai liwówa licuéjiwai.
MAT.5.29	“Chacábacanaa, jituícta sáicaquictejica liwána jicáacoo jíconaashi rícula, ujiméda máashii, jicábau újnii jijédacchu jituíu ya jiúca jiúchau déecuchalani; mawí sáicaca jipérdia áabai jitánai sái, ne jócaita quinínama jináananaica liúcacoo infierno rícula. 
MAT.5.30	Jicáaji sáicaquictejica wánacta jicáacoo jíconaashi rícula, ujiméda máashii, jicába újni jiwíchuacchu jicáajiu ya jiúca jiúchau déecuchalani; mawí sáicaca jipérdia áabai jitánai sái, ne jócaicta quinínama jináananaica liúcacoo infierno rícula.
MAT.5.31	“Cha lécchoo Moisés litána quéechanacumi: ‘Tánashia máaquerri líinuu, arrúnaa liá rulí áabai cáashta limáctaca shírrida yáaqueneu.’ 
MAT.5.32	Ne nuyá ma irrú, báqueerri washiálicuerri máacacta líinuu, ne jócta ruméda ruíinayu máashii, limáacani carrúnata ruméda máashii ruíinayu, ya liá'a cásairricoo ruájcha ruá'a namáacanimi, liméda máashii líinaayu lécchoo.
MAT.5.33	“Iyá éemenai lécchoo liá'a Moisés tánani nalí náa'a iwérrinaibimica: ‘U'imíya máecha iméda liá'a imánimi iméda iwácalirru juraméntoyu.’ 
MAT.5.34	Ne nuyá ma irrú: ‘U'ijúrau mawiá. U'ijúra linácu liá'a éerri áacairra sáica, jiníwata liyáwa Dios yáctalaca.’ 
MAT.5.35	Jiní liá'a cáinabica, níwata Dios wánacaalacta líta'aa lécchoo; báawita Jerusalén nácu, níwata liá'a chacáaleeca lishínaa liá'a Dios máanui wérri reyca. 
MAT.5.36	Jiní ijúracalau inácu iyá jájiu, jiníwata jócta éewa iméda cabálai ya cachájulai báawita bácua iwíta báinau. 
MAT.5.37	Imácta iyá ‘jajá’, jajá'inaa; imácta iyá ‘jócai’, jócai'inaa, ne liá'a shírrerriu liúcha liáni, máashiiyii.
MAT.5.38	“Iyá éemini namáyu'u quéecha: ‘tuíshiyu'inaa ya éeshiyu'inaa.’ 
MAT.5.39	Ne nuyá ma irrú: Ujiméda lirrú máashii liá'a méderri máashii; mawí sáictaca, jáicta báseerri jináni sáicaquicteji já'a, jináawida lirrú béema. 
MAT.5.40	Ya áicta yáirri jijíconaaja ya wówerri léda jicámisani já'a, jínda litée lécchoo liá'a jishínaa cápaca. 
MAT.5.41	Ne báqueerri wánacaleerri liwánacta jitée jiánairrau áabai déecuchala, jitée chámaichu lidécuchaca. 
MAT.5.42	Jáicta báqueerri sáteerri áabai rúni jináshi já'a, yáa lirrúni; ya áicta báqueerri sátani préstau jiúchaja, jiprésta lirrúni.
MAT.5.43	“Iyá éemenai lécchoo namá irrú: ‘Caníinaa icába náa'a ijúninaica ya cadéni icába náa'a ijínaica.’ 
MAT.5.44	Ne nuyá ma irrú: Arrúnaa caníinaa icába ijínaiu lécchoo, ya i'óra nanácu náa'a cánaquedeenai iyá. 
MAT.5.45	Iméda liáni, cháminaa léenibi iyá liá'a Dios isálijinaa yéerri áacairra; ya liyá wáneerri cáiwia jiácoo nanácu náa'a sáicanica ya máashiinica, libánua únia sáicani nácu ya máashiini nácu. 
