MAT.1.1	Ḿfa nâ ane ndə́p-i-njû Jisos Krayis nnyo eyábhé-mmon í Debhit. Debhit a ri eyábhé-mmon Abraham.
MAT.1.19	kən Jusep á ka məŋé. Ka obhô mbí, Jusep a kére yê a sə́ré Meri kəma-kəma se á kâ kô atem. Jusep a fonê ekpin ka nnyen-i-mbá, á ka wóm a soné Meri ka amə̂t atem-ane.
MAT.1.20	Nji Jusep á foná íkíkéré mfí, énjel Ńtâ Obhasi a fâp yê ka ndem a sə́re yê se, “Jusep, mmon i Debhit, efup é kâ yîm wâ! Kó Meri ka ebháé, ka oya mbi ó gyée yê áno é dʉ̂ ka ikom Obhasi Ebhare Ntʉgantʉ. 
MAT.1.21	Tîk a jî mmon i ndûm. Mbiŋ eye a kí kam se Jisos. Echî aŋ? Mmon nnyó nâ a kí yim ane Obhasi á sém ka obhí mbi ábho á yími.”
MAT.1.22	Achot mmá fép á fábhe, á tóŋé sê nchot nnyi Ńtâ Obhasi a chorê na nkara-otîp owe a ri ka echî. 
MAT.1.23	Obhasi a chorê se, “Mmon i nsop nnyo á ka məŋé nne-ndûm tîk a kô oya a jî mmon i ndûm nnyo tîk á bhîŋ yê sê Emanuwel. Nâ se Obhasi a ri na êt.”
MAT.1.24	Nji Jusep a nyəmê ka eyô, a yîm fə́ne ekpak nji énjel a sə́re yê, a kô ebháé na Meri. 
MAT.1.25	Kən kpe noŋ á rô nuŋí nná na atem, Meri a jî mmon i ndûm, a káre mbiŋ se Jisos.
MAT.2.1	Á jíi Jisos ka eték nji é káma sê Betrehem, ebhat í nsi Judiya. Ka ebhú njí, Erot nâ a ri ntûfâm ebhat áji. Nji á jíi yê, ane-arûm etat mba á mə́ŋe achot í ńdʉnândʉ ósô, á mághe eték ábho mbá nda ka ebhat nji njúí á fabha, á bhak nnyi Jerusarem. 
MAT.2.2	Nji á bháe, a bhâ jóe á bhəbha ane sê “Mmon i mfê nnyo á jíi mfá, nnyo ntûfâm ane Jus, a ri fan? E yéne írʉnândʉ ósô mfi í tóŋe eriŋ ojî obhê ka ebhat ejə́ré, é bha áno sê é bhá kúp yê.”
MAT.2.3	Nji Ntûfâm Erot a yúghi nchot nnyí, ḿbə́ŋé a bhîp ka etím. Kpe nnyón nne ka Jerusarem eróŋ, a fôn efup. 
MAT.2.4	Erot a chə́me fép ane-echî akará-agore Obhasi na atóŋá-ebhín a bhə̂p ábho se á sə́re yê eji á tóe sê tîk á jî Krayis, nne nnyo Obhasi a kí tum se a yim ngun á sém. 
MAT.2.5	Ane mbá á táme fə́ne yê sê a ri ka eték í Betrehem ka ebhat í Judiya. Á sə́re yê sê nkara-otîp Obhasi a sêŋ ka nwet, se Obhasi a toê se,
MAT.2.6	“Eték í Betrehem ka nsi Juda,
MAT.2.6	ó ka tí ên otí, kən ó ka joé ên fə́ne njəm-ńjə̂m
MAT.2.6	ka ngyím otúi nnyi nsi Juda.
MAT.2.6	Echî aŋ? Ntûfâm tîk a fâp ka eték ejə́né
MAT.2.6	nnyo a kí toŋe ane Isrel abhámé mbá noŋ mbábha-obhúi.”
MAT.2.7	Á kpó to á sə́ré Erot nchot nnyí, a bhîŋ ajéné mbá a fôn ekubhi kəma-kəma na ábho. A bhə̂p se á sə́re yê mfoné-mfoné ebhú nji á yéne írʉnândʉ áfi ebhat ábho. 
MAT.2.8	A bhâ tûm mân ábho se, “Choŋ ên nnyi Betrehem. Ebhú ó si ên ágo, tʉrî oməŋé mmon nnyó. Ó chəbhé ên njəm, o sə́re ên ə̂m ń jí kúp yê eróŋ.”
MAT.2.9	Á kpó to á yúk nchot nnyí, ajéné mbá á yə̂p mân á jak. Á kpó to á sí mbá, á yên írʉnândʉ mfí fə́t mfi í fábhe nná ebhat eték ábho. Ḿfə́ne í jak mbá-ochî, ábho á tobha. Nji á síi Betrehem, írʉnândʉ áfi í bhâ gyími rúmí-rúmí na efá-echî ka njû nnyi mmon nnyó a ri. 
MAT.2.10	Á kpó to á yén írʉnândʉ í gyimi, ḿbə́ŋé a gyébhe ábho kpe-eji. 
MAT.2.11	Á gyê fə́ne njû ányi, á jî yên mmon nnyó na nnyen owe Meri. Á tə̂m fə́ne arúŋ á káre mmon nnyó ekûp na ejík. Á rə́bhe otâk ábho á yíghi bikəp mbi á bháe na ḿbə́ne, á kô á káre. Á bháe na mkpak iyîm ésá: esené ntí nji é káma sê gûl, na mkpak iyîm etat ébháe nnyi a kpóe ntí, á bhiŋá sê frákinsen na máya.
MAT.2.12	Nji ajéné mbá á káe á kí kʉri, Obhasi a fâp ábho ka ndem a tʉ̂ ábho obhô ka otûŋ se á kâ chə́bhe njəm mbâ Erot. Á kô fə́ne mbá nnyi tat, á kʉra nnyi eték ábho.
MAT.2.13	Nji á kpó chəbhé njəm, Jusep a yên ndem. Énjel a bhâ chôt na yê se, “Duî ngyím, kô mmon nnyó na nnyen owe, bê ên choŋ nnyi eték í Ijip. Kə̂t ên ágo kpát ta n sə́re wâ bəre ó chə́bhe njəm, ka Erot a kə́ bha mmon nnyó owóm se a yúí.” 
MAT.2.14	Na atʉ́ áma, Jusep a tə̂m fə́ne a rúi ngyím a kô mmon nnyó na nnyen, á jak nnyi Ijip. 
MAT.2.15	Á kə́re ka Ijip sê tata Erot á kpo, kən á chə́bhe njəm. É fap fə́ne ka ekpak nji Obhasi a tíbhi na nkara-otîp owe se,
MAT.2.15	“N yíghi mmon omé a mághe ebhat Ijip.”
MAT.2.16	Nji Erot a kpô chik ajéné mbá á ká bha, a bhâ mə́ŋe se á yop yê, é yâm yê é kpô. A káre ikom mbâ ane-enok abhê se á yúí chénchén abhon-arûm ka eték í Betrehem na nték nnyi a kpíri Betrehem. A sə́re ábho se á róghé eyúúm abhon mba á síi nyâ ébháe á bhə̂t obhət. A kóe mfan i nyâ nnyí noŋ ekpak nji ajéné mbá á sə́re yê. 
MAT.2.17	É fap fə́ne ka ekpak nji nkara-otîp Obhasi nnyo á kamá se Jeremaya a chorê ka ebhú éməné se,
MAT.2.18	“Á yûk eyum í nne ka eték í Rama,
MAT.2.18	a kí ri ekpatə́m ekʉ̂.
MAT.2.18	Rahel a kí ri abhon abhê,
MAT.2.18	á bhó kam a yúk otaŋa-ekʉ̂,
MAT.2.18	ka abhon á kpo fép.”
MAT.2.19	Nji Erot a kpóe, énjel a fâp Jusep ka ndem ka ebhat Ijip. 
MAT.2.20	A sə́re yê se, “Jusep, duî ngyím, kó mmon nnyó na nnyen chəbhê njəm nnyi Isrel, ka ane mba ebhú áji á wóma sê á yúí yê á kpo.” 
MAT.2.21	Jusep a rúi fə́ne ngyím, a kô mmon nnyó na nnyen a jak nnyi Isrel.
MAT.2.22	Mmon Erot yót nnyo á kamá se Akerus a bhâ kô eji otúi ńsé ka Judiya. Ebhú Jusep a yúghi nchot nnyí, a fôn efup kpe-eji. Kən énjel a kpô sə́ré yê ka ndem se a kâ kúmi ebhat í Judiya. Jusep a mághe mân a jak ebhat í Gariri. 
MAT.2.23	A jî kúmi ka eték nji é káma sê Nasaret. Nâ ekpak fə́ne nji akará-otîp Obhasi á chóre éməné sê,
MAT.2.23	“Tîk á tô sê yê a ri nne Nasaret.”
MAT.3.1	Ka ebhú áji, Jon nnyo á fugha ane ayép a fâp a kúmi ebhat etə́m í Judiya, a kí səre ane se,
MAT.3.2	“Yóŋe ên ḿbə́ŋé, maghê ên obhí obhə́né, ka otúi Obhasi ó bha.”
MAT.3.3	Jon nâ nne nnyo nkara-otîp Obhasi nnyo á kamá se Asaya a chorê se,
MAT.3.3	“Nne yót a ri ka etə́m, a bhíná a sə́rá ane se,
MAT.3.3	Tʉrî ên mbá ntûfâm, ka yê a kə́ bha,
MAT.3.3	yim ên ebhə̂k é jóe tə́níní nji yê a kí chiŋ.”
MAT.3.4	Á kóe anyot í nnyam nnyi á bhíŋa sê kámel, á jə̂m nkʉ̂ nnyi Jon á kaghá. A bhóbhá ekandá ngu nnyam ka ebhûn. A dík ogurobhí na akʉ́ okon.
MAT.3.5	Ane etî-etî á bhak mbâ Jon. Etʉ̂ á dʉ̂ Jerusarem, na nték etat ebhat í Judiya ndə́m na chénchén nnyi akpe aya Jodan. 
MAT.3.6	Á râk obhí ábho, Jon a fûk ábho ayép ka aya Jodan.
MAT.3.7	Jon a kpo to a yén etî-etî ane echəme Farasi na echəme Sadusi á kə́ bha sê yê a fúk ábho ayép, a fáme ábho se, “O ri ên ńgô, ekpin noŋ efomnté! Énê a sə́re ên se kə́n o bê ên oyámá-ḿbə́ŋé Obhasi mbi ó kə́ bha?
MAT.3.8	Ájoé ó səre ên sê ó yoŋe ên ḿbə́ŋé, ó maghe ên obhí obhə́né, nâ yim ên ekpin nji nne a kí yen a kâm se ó yoŋe ên ka etʉri. 
MAT.3.9	O kâ ríri ên biji sê, ‘Ńsé owəré Abraham a ri ágo, nchot cháŋ.’ N kí səre ên bəre Obhasi kə́n a kô atáé mmá a yîm á chə́bhe biyábhé-abhon Abraham.
MAT.3.10	Kpe mfá-mfá, efúk é rî ka obhô nji á kí gbut átí na arʉk-arʉk, á túp ka nsi. Kpe njə́n étí mân nji é ká kap nnyen i nkap, á kí gbut á túp ka erəmta-ngûn.
MAT.3.11	“Mme n kí fuk ên a ri ayép ka etóŋóm sê ó yóŋe ên ḿbə́ŋé ó maghe ên obhí obhə́né. Kən nne nnyo a kə́ bha ə̂m mbá-njəm a fâŋ a chíŋi ə̂m. Nne nnyó a kí su ên ḿbə́ŋé na Obhasi Ebhare Ntʉgantʉ na erəmta-ngûn. Ń ka bhik nnyo n kí kən kpe iyîm-akát ibhê. 
MAT.3.12	A fî nchekere nnyi tîk a châk átép a yíghi ka nkap eye. Á chak, a kí ko mfoné nkap a kî ka ókpáré, a ríghi átép ka ngûn mmi etánám, ḿ bó tan.”
MAT.3.13	Ka ebhú áji, Jisos a mághe ebhat í Gariri, a jak ka Jodan se Jon a fúk yê ayép. 
MAT.3.14	Kən Jon á ka kam. A nôk yê a yóŋé ḿbə́ŋé Jisos. A chôt na Jisos se, “We nâ kə́n o kí fuk ə̂m ayép. É yími nan nji ó bha a ri mbâ amé se ḿ fúk wâ ayép?”
MAT.3.15	Kən Jisos a táme se, “Deê é jóe ekpak njí, ka mfá-mfá deê é yîm chénchén nji Obhasi a wóme.” Jon a kâm mân.
MAT.3.16	Ka nkúbhi ebhú nji á fúghi Jisos ayép, a gyʉ̂t ka mkpe aya, ósô ó rə́bhe. A yên Ntʉgantʉ Obhasi, a kí bhət a bhák yê ka biji noŋ ibhʉ́í. 
MAT.3.17	Eyum é fâp nnyi ósô sê, “Ḿfa a ri Mmon okot omé nnyo ḿ foná ekpatə́m ogyebhá-ḿbə́ŋé.”
MAT.4.1	Obhasi Ebhare Ntʉgantʉ a kô mân Jisos a jak ka etə́m, Satan a gaé yê.
MAT.4.2	Jisos a kâ nsam i mfín ébháe, atʉ́ na efín, édî á ka dí, njaé a róghe yê eyámám. 
MAT.4.3	Satan a bhâ sə́re yê se, “Ájoé we a ri Mmon Obhasi, yim atáé mmá á kpíghí édî ó kó, ó dí.”
MAT.4.4	Kən Jisos a táme se, “Á séŋe sê,
MAT.4.4	‘Édî asík átíŋ nâ é kára nne ekpin,
MAT.4.4	kən ekpin í nne é kí dʉ fə́ne ka nchot Obhasi.’ ”
MAT.4.5	Satan a kô mân Jisos a jak ka Eték Achot Obhasi. Á gyʉ̂t á gyími ta ka ńchí ókʉ́rí achot Obhasi. 
MAT.4.6	A sə́re Jisos se, “Ájoé we a ri Mmon Obhasi, nyə̂p gbo ka nsi, ka á séŋe sê,
MAT.4.6	‘Tîk Obhasi a káre wâ ka obhô baénjel abhê,
MAT.4.6	á kí fi wâ ka abhô ka abhô,
MAT.4.6	ó bhó sum kpe ekát ejâ ka ntáé yə́t.’ ”
MAT.4.7	Jisos a táme se, “Á séŋe fə́ne sê,
MAT.4.7	‘Deê o kâ gáe Ńtâ Obhasi nnyo a fonê wâ.’ ”
MAT.4.8	Satan a kpô kó yê á jak ka ósô ekpatə́m egúí etat, a jî tóŋe yê nték i ngun chénchén na ono ábho. 
MAT.4.9	A sə́re yê se, “Ó təm arúŋ ka nsi o jíghi ə̂m, tîk n káre wâ iyîm mbí chénchén.”
MAT.4.10	Kən Jisos a nyân yê se, “Satan, duî ə̂m ka ochî. Á séŋe sê,
MAT.4.10	‘Jíghi Ńtâ Obhasi nnyo a fonê wâ.
MAT.4.10	Tʉ̂k yê átíŋ.’ ”
MAT.4.11	Satan a bhâ mághe mân Jisos, baénjel á bhâ jíghi yê.
MAT.4.12	Ebhú Jisos a yúghi se á kak Jon ka ókúmí, a mághe a jak ebhat í Gariri.
MAT.4.13	Á ka kumí Nasaret, kən a jak ka Kapanom. Kapanom a ri ka mkpe aya Gariri ka ebhat í Seburun na Natari.
MAT.4.14	Ńji é fábhe, é yîm nchot nnyi nkara-otîp Obhasi éməné nnyo á kamá se Asaya, a joé ka echî. Asaya a chorê se,
MAT.4.15	“Nsi Seburun na Natari,
MAT.4.15	nték nnyi o kí ji mbâ aya, njəm aya Jodan,
MAT.4.15	ebhat i Gariri, nték ane mba á ká məŋé Obhasi!
MAT.4.16	Ane mba mbôp nnyí á rî ka ejírim,
MAT.4.16	á yen ekpatə́m ebhát.
MAT.4.16	Ebhát é gbo mbâ ane mba ekʉ̂ é ko ábho osʉ́ŋ.”
MAT.4.17	É róghé ka ebhú áji, Jisos a jená a sə́rá ane se á yóŋé ḿbə́ŋé, á mághe obhí, ka otúi Obhasi ó bha.
MAT.4.18	Nji Jisos a kí jen ka mkpe aya Gariri, a yên ayúá-osí ábháe, a ri abhon-í-nnyen atem. Yót á kamá se Simun nnyo á bhíŋa fə́ne sê Pita. Mmon-i-nnyen owe á kamá se Andru. Ábho mbá ábháe á rî á yúa osí ka aya na ntûfúk. 
MAT.4.19	Jisos a sə́re ábho se, “Tôp ên ə̂m. Tîk m kpî ên noŋ o kí yim ên ane á tóp ə̂m.” 
MAT.4.20	Ka ngyím ányi, á mághe ntûfúk ábho á tôp Jisos.
MAT.4.21	Jisos a kpô ji ochî, a jî yên abhon-í-nnyen mba tat ábháe, Jems na Jon, abhon í Sebedi. Á rî na ńsé ábho ka okpi á tʉrá atû-ofúk ábho. Jisos a bhîŋ ábho. 
MAT.4.22	Ka ngyím ányi, á mághe ńsé ábho ka okpi, á tôp Jisos.
MAT.4.23	Jisos a jená a fará nték i Gariri, a kpík ane ka óchâm Obhasi, a sə́rá otîp ogyebhá-ḿbə́ŋé otúi Obhasi, a yimá ane-emaŋé ka mkpak ka mkpak á soná.
MAT.4.24	Esə́re ejê é jábhe ebhát í Siriya ndə́m. Ka obhô mbí, ane á kəna ane-emaŋé ábho á bhak se a yim ábho á sôn. Ane mba ojê ó kára oseŋe, mba á gbôk ichʉk, abhə́né, mba á fóne bimaŋé ka mkpak ka mkpak, Jisos a yîm ábho á sôn. 
MAT.4.25	Ane ka nkam ka nkam, á tôp yê. Ane mbá á dʉ̂ nnyi Gariri, mba tat ebhat í Ntek Ofo, mba tat eték í Jerusarem, mba tat ebhat í Judiya na ebhat í njəm aya, ngûm i Jodan.
MAT.5.1	Jisos a yên ane á kə́ bha ka nkam ka nkam. A gyʉ̂t a kúmi ka egúí etat, atóbhá abhê á fáre yê á kâk. 
MAT.5.2	A róghe ábho ekpíím se
MAT.5.3	“Deê ogyebhá-ḿbə́ŋé ó jóe na ane
MAT.5.3	mba á məŋe sê á rî noŋ akpák ka achot Obhasi,
MAT.5.3	otúi Obhasi a ri mbi ábho.
MAT.5.4	Deê ogyebhá-ḿbə́ŋé ó jóe na ane
MAT.5.4	mba á rî ka ekʉ̂,
MAT.5.4	Obhasi tîk a fôn ábho obhə́bhe.
MAT.5.5	Deê ogyebhá-ḿbə́ŋé ó jóe na ane
MAT.5.5	mba á ká kep biji ábho sê á chiŋi ochíŋ,
MAT.5.5	tîk ngun nnyí a jóe nnyi ábho.
MAT.5.6	Deê ogyebhá-ḿbə́ŋé ó jóe na ane
MAT.5.6	mba ndûm íkíkéré ḿbə́ŋé ábho a ri sê
MAT.5.6	á yîm iyîm mbi í rî ka nnyen-i-mbá,
MAT.5.6	Obhasi tîk a káre ábho nji á wóme.
MAT.5.7	Deê ogyebhá-ḿbə́ŋé ó jóe na ane
MAT.5.7	mba á kí ri nsôn na atem-ane,
MAT.5.7	Obhasi tîk a rî ábho nsôn.
MAT.5.8	Deê ogyebhá-ḿbə́ŋé ó jóe na ane
MAT.5.8	mba á fóne ḿbə́ŋé ábho jáé,
MAT.5.8	tîk á yên Obhasi.
MAT.5.9	Deê ogyebhá-ḿbə́ŋé ó jóe na ane
MAT.5.9	mba á nógha sê ekone é jóe ka ngun,
MAT.5.9	Obhasi tîk a bhîŋ ábho se abhon abhê.
MAT.5.10	Deê ogyebhá-ḿbə́ŋé ó jóe na ane
MAT.5.10	mba ngun á kí karé ábho onyʉk
MAT.5.10	ka á kí yim ejûm nji Obhasi a wóme,
MAT.5.10	otúi Obhasi a ri mbi ábho.
MAT.5.11	Deê ogyebhá-ḿbə́ŋé ó jóe na ên
MAT.5.11	nji ane á tu ên, á bhibha ên,
MAT.5.11	á nyerá ên mkpak achot áfúbhí ka ó tobha ên ə̂m.
MAT.5.12	Gyebhê ên ḿbə́ŋé kpe-eji, ka Obhasi a kî ên ekpatə́m ekəp ka ósô. Nâ noŋ á yími fə́ne na akará-otîp Obhasi ebhú áji.”
MAT.5.13	“O ri ên noŋ akâŋ mbâ ane ngun chénchén. Kən ájoé ogyep akâŋ ó man, ekpak nji á kí yim ḿmáne á kpó gyebhé cháŋ. Eji á kí kpo ko ḿmáne á yîm kpe ejûm cháŋ. Á kí bhum ḿmáne ane á chemá.
MAT.5.14	“O ri ên noŋ ebhát í ngun. Eték nji á gbée ka ńchí egúí, é ká joé ka ebhə̂t.
MAT.5.15	Nne á bhó nyoé ńtʉ́ríkáŋ, a kô ejûm a bhúi. Á kik nná ka echî ébhúní se ane chénchén ka njû á yén ebhát.
MAT.5.16	Ka ekpak njí mân, deê erû ejə́né é jóe noŋ ebhát mbâ ane chénchén. Ane á yen, á káre nkat mbâ Obhasi Ńsé owəné nnyo a ri ka ósô.”
MAT.5.17	“Nne a kâ kére se m báe áno ḿ bá bhíbhí ebhín nji Mosis a karê ên na kpe ḿ bá bhíbhí fə́ne okpígha-ejûm akará-otîp Obhasi. Ń ka bhá áji. Kən m báe bəre ḿ bá yîm iyîm mbi á séŋe í jóe ka etʉri. 
MAT.5.18	Deê ń sə́ré ên bəre ta ósô na nsi í chîŋ, kpe mmon ikóé ebhín yót nnyo á kí yighí cháŋ, ta chénchén é jên ka ekpak ebhín í nchane é fíi.
MAT.5.19	Kpe énê mân nnyo á ka kí ebhín, kpe é rî mkpât, a kpík fə́ne ane etat se á tóp erû ejê, tîk a jóe ńgô mkpât ka otúi Obhasi. Kən nne nnyo a kí ki ebhín Obhasi, a kpík fə́ne ane etat se á tóp erû ejê, tîk a jóe nne nyúp ka otúi Obhasi. 
MAT.5.20	N kí səre ên mân bəre kən nne a yén otúi Obhasi, ekpin ejê é rî é jóe ka nnyen-i-mbá é chíŋí ekpak nji atóŋá-ebhín na ane echəme Farasi á yíma.”
MAT.5.21	“Ó yuk ên sê ka éməné á sə́re sê, nne a kâ yúi nne. Ó yui, á kí kak wâ ka esup.
MAT.5.22	Kən mme n kí səre ên mfá-mfá bəre kpe énê nnyo á fon oyámá-ḿbə́ŋé na ntem, á kí kak yê ka esup. Kpe énê nnyo á sə́re ntem se, we nâ énê, a kí gyimi a támé bibhə̂p ka ochî echəme Atáŋá-eték. Nne fə́ne nnyo á tu ntem se o ri énə́mé nne, nne ányo á ro məŋé, a kí gye ka erəmta-ngûn.
MAT.5.23	“Ájoé mân ó ko ekəp ó jí káre mbâ Obhasi kən o sî eji á túbha ekəp njí, o tît se ó yim ntem owa ejûm ebhí, 
MAT.5.24	kî ekəp ejâ áfo, o chə́bhe njəm o jî mân achot. Ó fôn ên ekone kən o bhâ kə̂n ekəp ejâ mân o káre mbâ Obhasi.
MAT.5.25	“Ájoé ó fon nchot na nne, deê ó wóm ekpak nji nchot ányi a kí man, a kâ kô wâ a ji esup. Man ńnyə́ne ka mbá kən ó sí ên esup, ka ó kam a sî na we, a kí karé wâ mbâ ntáŋa-esup. Ó ro məŋé, ntáŋa-esup tîk a káre wâ ka obhô anyaghá-orə́p, á kâk wâ ka ókúmí. 
MAT.5.26	Deê ń sə́ré wâ bəre o kí kət ka ókúmí mbí ta o káre ngom eya a mân fép.”
MAT.5.27	“Ó yuk ên noŋ á sə́re éməné sê, nne a kâ gbô ekun.
MAT.5.28	Kən mme, n kí səre ên bəre nne nnyo á kep nne-nkáé kpe nnyón-nnyón a fôn íkíkéré enuŋ na yê, a gbô ekun. 
MAT.5.29	Ájoé eyə̂t obhô-orûm ejâ é kí kak wâ ka obhí, kpaghê ńjə́ne bhum. É nop sê ó bhíbhí eyô-biji ejâ jə́t, na nji o kí joé biji ibhâ ndə́m, o gyê ka erəmta-ngûn.
MAT.5.30	Ájoé obhô-orûm obhâ ó kí kak wâ ka obhí, gbût bhum. É nop sê ó bhíbhí eyô-biji ejâ jə́t na nji ó kə́n biji ndə́m ó kâk ka erəmta-ngûn.”
MAT.5.31	“Ó yûk ên noŋ á sə́re éməné sê nne nnyo á timí a bhím nkáé ka ebháé, deê a séŋ nwet ebháé emanám a káre nne-nkáé ányo.
MAT.5.32	Kən mme, n kí sə́re ên bəre nne-ndûm nnyo á bhim nkáé owe nji nkáé á ka nuŋí nne-ndûm etat, nâ a chóe nkáé owe a gbô ekun nji nkáé á ko ndûm etat. Kpe nne-ndûm nnyón fə́ne nnyo a kóe nkáé nnyó, a gbô ekun.”
MAT.5.33	“Ó yuk ên fə́ne á to ta ka éməné sê, nne á chimí ejûm ka ochî Obhasi, deê a yim ńjə́ne a kâ yóŋe eyum.
MAT.5.34	Kən mme, n kí səre ên bəre nne a kâ chími kpe echimím. O kâ chími ebhú tat se, ‘Ta ósô,’ ka ósô a ri ekumi otúi Obhasi.
MAT.5.35	Ka chími se, ‘Ta nsi,’ ka nâ eji Obhasi á kuná akát. Ka chími ebhú tat se, ‘Jerusarem ee!’ ka nâ eték ekpatə́m í ntûfâm nnyo a chíŋi ochíŋí.
MAT.5.36	Kpe se ó chími se, ‘Ta echî ejámé,’ o kâ chími, ka kpe ekát í nnyʉ̂ jə́t ó ka yim se é chə́bhe ényaghê, kpe ébháré. 
MAT.5.37	Kpe é fóghe wâ nan, nji o fonê ka eyimím a ri ekamám se, ‘Nn̂,’ na etáŋám se, ‘Ée.’ Nji ó kpo chot é chíŋi njí, é dʉ̂ mbâ Satan.”
MAT.5.38	“Ó yuk ên noŋ á tóe sê, ó tane eyə̂t í ntem, á táne ejâ eróŋ. Ó mək eyîŋ í ntem, á yíghi fə́ne ejâ.
MAT.5.39	Kən mme, n kí səre ên bəre, nne á yim wâ ejûm, deê o kâ yîm yê ó fé. Nne á sum wâ nsâp ka okîk obhô-orûm, kpíghi, tóŋé yê fə́ne okîk obhô-okáé, yê a súm. 
MAT.5.40	Sê ebhú tat a kâk wâ ka esup, ńga a kə̂n nkʉ̂ eya nnyi ó kaghá, kpére kə̂n kût eya fə́ne karê yê. 
MAT.5.41	Ájoé nne a fî wâ ka ikom se ó kə́n echóé ejê ó jên ntáé yə́t, kə́n ńjə́ne jen ntáé ébháe. 
MAT.5.42	Ájoé nne á bhəp wâ ejûm nji ó fon, karê yê. Nne a bháe obhô mbâ eya, ájoé ó fon, bho yê.”
MAT.5.43	“Ó yuk ên fə́ne á səre éməné sê deê nne a tóŋé okot na nne nnyo a korê yê, a bhan fə́ne nne nnyo a yíri yê.
MAT.5.44	Kən mme, n kí səre ên bəre ó kôt ên ane ebhan abhə́né. Gorê ên Obhasi sê a ri nsôn na ane mba á kára ên oseŋe. 
MAT.5.45	Ó yim ên ka ekpak njí, tîk o jóe ên abhon í Ńsé owəné Obhasi nnyo a ri ka ósô. Echî aŋ? Yê a kí yim njúí a gbok ane chénchén, kpe ane abhí, kpe ane ano. A kí yim mbúta a nak a bherá ane chénchén, kpe á yíma iyîm ka nnyen-i-mbá, kpe á rôk oyim. 
MAT.5.46	Ájoé ó kot ên a ri ane mba á kóre ên, o kí yim ên nan ó fôn ekəp Obhasi, ka kpe ane abhí noŋ abhə́bhá-ntí-echî á kóra a ri ane mba á kóra ábho. 
MAT.5.47	Ájoé o kí joé ka ekone a ri na atem abhâ, ó kere se ó yim ejûm eno etat egyê a? Ó ka yim, ka kpe ane mba á ká məŋé Obhasi, á kóra fə́ne a ri atem ábho. 
MAT.5.48	Nâ deê mân erû ejə́né é jóe ka nnyen-i-mbá noŋ nji Ńsé owəné ka ósô.”
