MAT.1.1	Mapalivaisije Jesucristo pijasalinaivimi pelivaisi. Jesucristo rabaja Davidpijinë pemomoxiyajuvënënë. Davidpijinë pijinia Abrahampijinë pemomoxiyajuvënënë. 
MAT.1.20	—José, xamë raja Davidpijinë pemomomë. Pëtsa cujunavame nepitsijava María nijavanexa. Tsipaji raja panacueto María yacotaponapona, Espíritu Santo saya pejamatabëcueneta nacoxita. 
MAT.1.21	Bajarapova exanaena penacuetonëyo. Vënërubianame bajarapanacuetonëyo Jesús. Tsipaji raja bajaraponë capanepaena daxita pijajivi pibisiacuene pexanaeneconimivecua. 
MAT.1.22	Bajarapacuenia María penacuetonëyo exanaena pecopiapatsinexa pacuenia baja cajena bajayata Diosojumepaebinëmi profetanëmi Dioso pejamatabëcueneta tajëvelia vajunupaeba. Profetanëmi bajayata tajëvelia bajarapanacuetonëyo yabara jumaitsi mapacueniaje:
MAT.1.23	Petiriva apo naperabëquenatsinejeva pebijavabelia, nacoxitsiana. Exanaena penacuetonëyo. Vënërubianatsi Emanuel. “Emanuel,” pejaijume: “Dioso nacayajava,” pejaijume,
MAT.1.23	jai bajayata tajëvelia profetanëmi Dioso pejamatabëcueneta, jai ángel majitsinaebota Joséjavabelia.
MAT.1.24	Nexata José piamajitsinaecujinae naëcota. José jumecovënëta pacuenia itorobatsi ángel. Nexata baja José pijaboyaberena María barëpata pijavanexa. 
MAT.1.25	Itsiata abaxë José apo imoxoyobi pijava penamataxainaenacuetonëyo pevecuanaexanaevajënaeyatsi. Bajarapanacuetonëyo jane baja José vënëruba JESUS.
MAT.2.1	Jesús naexana Belén tomarata, Judea nacuata peecaetomarata. Bajarapamatacabi nacuaevetsinë Herodes Judeanacua eveta. Nexata Jesús penaexanaecujinae, pebijivi, tulupu perubenaejava pecanaëcobivi, pata tajënacuajavavetsina. Pata Jerusalén tomarajavabetsina. 
MAT.2.2	Tulupu perubenaejava pecanaëcobivi yanijobapona jivijavabelia:
MAT.2.2	—¿Detsa jota barëecatsi panacuetonëyo naexana judíovi pepo pevetsinënexa? Payapëtaniji bajaraponëyo penaexanaejava. Tsipaji baja cajena pataniji bajaraponëyo penaexanaejavata penaitajëtsituluputo. Bajarapatuluputo pataniji patajanacuatareca. Bajaraxuata paponainajë mabetsinaje patataenexa bajaraponëyo, bajaraponëyo pitabarata yaiyataeya patamatabacabëta patatonubenaenexa, jai tsaponae jivijavabelia tulupu perubenaejava pecanaëcobivi.
MAT.2.3	Nexata Herodes, Judeanacua pevetsinë, vënëlivaisitane tulupu perubenaejava pecanaëcobivi bajarapacuenia pejumaitsaponaejava jivijavabelia Jesúsnëyo yabara. Nexata Herodes bitso najamatabëxaina. Daxita Jerusalén tomarata pejinavanapaevi ata bitso najamatabëxaina. 
MAT.2.4	Nexata Herodes junata daxita sacerdotevi penamatacaitorobivi, judíovi pecujarubivi yajava, penacaetuatsinexa Herodes pijabota. Nexata Herodes jumaitsi penacaetuatsivijavabelia:
MAT.2.4	—Bajayata profetanë tajëvelia itsa vajunupaeba Cristo penaexanaejavanexa, ¿detsa jota yabara: “Bajarajota Cristo naexanaena,” jai? jai Herodes.
MAT.2.5	Nexata penacaetuatsivi jumaitsi Herodesjavabelia:
MAT.2.5	—Belén tomarata raja naexanaeyapaeba, Judea nacuata peecaetomarata. Bajayata baja cajena Diosojumepaebinëmi profetanëmi tajëvelia vajunupaeba bajaraponë penaexanaejavanexa Belén tomarata. Bajayata Diosojumepaebinëmi profetanëmi peyaquinaelivaisita bajaraponë penaexanaejavanexa yabara tajëvelia jumaitsi mapacueniaje:
MAT.2.6	Belén tomarata naexanaena jivi pepo pevetsinënexa. Bajaraponë jane baja evetsiana Dioso pijajivi, Israel nacuapijivi. Bajaraxuata Judea nacuata penaetomaraxi, daxita tomaraxivecua, Be léntomara cajena bitso peyaiyataetomaratsi tsane,
MAT.2.6	jai baja cajena mapacueniaje bajayata tajëvelia Diosojumepaebinëmi profetanëmi peyaquinaelivaisita, jai penacaetuatsivi Herodesjavabelia.
MAT.2.7	Bajaraxuacujinae Herodes muetsia junata tajënacuavetsina pepatsivi, tulupu perubenaejava pecanaëcobivi. Nexata Herodes jumaitsi tulupu perubenaejava pecanaëcobivijavabelia:
MAT.2.7	—¿Detsa baja pajuametobeje xaina bajarapatuluputo penaitajëtsicujinae? jai.
MAT.2.8	Nexata petsipaebicujinaetsi Herodes itorobalia bajarapamonae Belén tomarabelia. Herodes jumaitsi tulupu perubenaejava pecanaëcobivijavabelia:
MAT.2.8	—Paponaremelia Belén tomarabelia. Xaniavaetsia pajaitsianame bajaraponëyo. Itsa pacaxitajarabianame, panevajunucaponaeremena. Nexata xanë ata nalianë tsane. Yaiyataeya tamatabacabëta tonanucaejitsianë bajaraponëyo pitabarata, jai Herodes tulupu perubenaejava pecanaëcobivijavabelia.
MAT.2.9	Nexata jane baja tulupu perubenaejava pecanaëcobivi ponalia Belén tomarabelia. Nexata bajarapamonae namutualia penajetarubenaejavata, jemata icatsia napebeta tuluputo, patuluputo bajarapamonae tane pijanacuatareca. Nexata bajarapatuluputo bajarapamonae matacanajetarucatsi. Matapania itsajota Jesúsnëyo pena barëecatsi pematatsënëatsia, bajarapatuluputo rucojopa.
MAT.2.10	Tulupu perubenaejava pecanaëcobivi itsa tane bajarapatuluputo, bitso barëya. 
MAT.2.11	Nexata bajarapamonae boyalia itsa joneya, tane Jesúsnëyo, pena yajava. Nexata tulupu perubenaejava pecanaëcobivi yaiyataeya pematabacabëta tonubenajunua Jesúsnëyo pitabarata. Bajaraxuacujinae pecapatsicajonixi matapana, penamatamotsijavanë pejebicajonixi. Nexata Jesúsnëyo rajuta orojavanë. Rajutanua petuxujuvijavabeje. Itsajava inciensovënëjava. Itsajava mirravënëjava. 
MAT.2.12	Bajaraxuacujinae tulupu perubenaejava pecanaëcobivi meravi majitsinaebota Dioso itavetatsi penaviabiyaniva nacuaevetsinë Herodesjavabelia. Nexata tulupu perubenaejava pecanaëcobivi saicaya namutua baja naviaba pijanacuayabereca.
MAT.2.13	Tulupu perubenaejava pecanaëcobivi penaviabicujinae, Dioso pijaángel meravi José majitsinaebota tsitanaitajëtatsi. Nexata ángel jumaitsi Joséjavabelia:
MAT.2.13	—José, nonotapunare baja. Barëponare baja penacuetonëyo, pena yajava. Barënajetabajiravare Egipto nacuayabelia. Bajarajotalia barëponaponaename. Matapania icatsia itsa catsipaebianatsi, barënaviatsiaremena. Tsipaji raja nacuaevetsinë Herodes tsiquirinëyo tsimaxërenajitsiatsi pebeyaxuabinexatsi, jai ángel Joséjavabelia.
MAT.2.14	Nexata José nonotapuna. Piamajitsinaemeravi baja José barëpona Jesúsnëyo, pena yajava. Barënajetabajirava Egipto nacuayabelia. 
MAT.2.15	Bajarajotalia José barëponapona bajayajebi. Matapania baja Herodes itsa tëpa, José barëpatsijitsiarena Israel nacuayaberena. Bajarapacuenia tocopiapatatsi tsipaji baja cajena bajayata Diosojumepaebinëmi profetanëmi Dioso pejamatabëcueneta tajëvelia jumaitsi Jesús yabara mapacueniaje: “Taxënato icatsia junatsiarenajë penaviatsinexa Egipto nacuaverena,” jai ra Dioso, jai baja cajena bajayata tajëvelia profetanëmi Jesús yabara.
MAT.2.16	Nacuaevetsinë Herodes picani jumaitsi tulupu perubenaejava pecanaëcobivijavabelia: “Itsa pacaxitajarabianame bajarapanacuetonëyo, panevajunucaponaeremena,” jai picani Herodes Jesúsnëyo yabara. Itsiata tulupu perubenaejava pecanaëcobivi caxitajarabi ata Jesúsnëyo, apo vajunucaponae Herodesjavabelia. Nexata Herodes itsa yapëtane tulupu perubenaejava pecanaëcobivi apo pevajunucaponaejavatsirena, caxitajarabi ata Jesúsnëyo, Herodes bitso anaepana. Nexata Herodes pijajivi itoroba. Jumaitsi:
MAT.2.16	—Pabeponaename daxita pebinacuetoxi Belén tomarata, Belén tomarajumavelia penaebonëjava ata. Daxita papebinacuetoxi abaxë apo xainae acueyabi pavaibeje, pabeponaename. Pejananaexanaenacuetoxi ata pabeponaenane, jai Herodes pijajivijavabelia.
MAT.2.16	Bajarapacuenia Herodes pijajivi itoroba pebinacuetoxi pebeponaenexa, Jesúsnëyo picani peyajavabeyaxuabinexatsi. Tsipaji tulupu perubenaejava pecanaëcobivi Herodesjavabelia tsipaeba paepatota taxuxuaba petaejava tuluputo. 
MAT.2.17	Itsa bajarapacuenia pebinacuetoxi beponatsi Belén tomarata, copiapata jane baja pacuenia baja cajena Diosojumepaebinëmi profeta Jeramíaspijinë bajayata tajëvelia yaquina pebinacuetoxi pebejavanexatsi yabara. Bajayata baja cajena profeta Jeramíaspijinë peyaquinaelivaisita tajëvelia jumaitsi mapacueniaje:
MAT.2.18	Belén tomarajumaverena, Ramá tomarata, ayaicuenia matanueyabiana. Raquelpijiva pemomoxi pexi matanueyabiana. Itavetsi atatsi tsane, itsiata apo copatsi tsane bitso penajamatabëxainaejava. Tsipaji pexi totëpaenatsi,
MAT.2.18	jai bajayata tajëvelia profeta Jeramíaspijinë peyaquinaelivaisita pecoxibeponaejavanexatsi yabara bajarapatomarata.
MAT.2.19	Nacuaevetsinë baja Herodes pepuatëpae, Dioso icatsia pijaángel itoroba Joséjavabelia. Nexata ángel meravi majitsinaebota José tsitanaitajëtatsi Egipto nacuata. 
MAT.2.20	Nexata ángel jumaitsi Joséjavabelia:
MAT.2.20	—José, nonotapunare. Barëponaename baja tsiquirinëyo, pena yajava. Barënaviaremelia baja icatsia Israel nacuayabelia. Tëpa rabaja ponë picani jamatabëbeyaxuabatsi tsiquirinëyo, jai ángel majitsinaebota Joséjavabelia.
MAT.2.21	Nexata baja José nonotapuna. Barëpona tsiquirinëyo, pena yajava. José icatsia barënaviata Israel nacuayabelia. 
MAT.2.22	Nacuaevetsinëmi Herodespijinë pexënato pevënë Arquelao. Nexata Arquelao eveta Judeanacua paxa pevënamuto. Nexata José itsa vënëlivaisitane nacuaevetsinëmi Herodespijinë pexënato pevetsijava Judeanacua, José cujunava Jesúsnëyo pebarëponaejava Judea nacuayabelia. Majitsinaebota José Dioso itavetatsi Jesúsnëyo pebarëponaeyaniva Judea nacuayabelia. Nexata José barëpona Jesúsnëyo Galilea nacuayabelia. 
MAT.2.23	José itsa barëpata Jesúsnëyo Galilea nacuayabelia, Nazaret tomarata barëpatajopa pebarëecaenexa Nazaret tomarata. Bajarapacuenia José Nazaret tomarata itsa barëeca Jesúsnëyo, copiapata jane baja pacuenia baja cajena bajayata Diosojumepaebivimi profetavi tajëvelia jumaitsi. Diosojumepaebivimi profetavi bajayata baja cajena tajëvelia jumaitsi Jesús yabara mapacueniaje: “Ponë Dioso itorobijitsiatsica jivi pecapanepaenexa, bajaraponë yabara jivi jumai tsane: ‘Mara ponëje Nazaret tomarapijinëje,’ jai tsane,” jai baja cajena bajayata tajëvelia profetavimi Jesús yabara.
MAT.3.1	Jesús itsa baja xaina bejamatabëcuene treinta pavaibeje, Juan jivibautisabinë najetaruca Judea nacuatusatojava. 
MAT.3.2	Juan jivibautisabinë Dioso pitorobilivaisi jivi tsipaebanajetaruca. Jumai tsanajetarucae mapacueniaje:
MAT.3.2	—Dioso rabaja pijajivi pevetsimatacabinexa, imoxoyo baja pevajënae pecopiapatsinexa. Nexata baja pacopabare pibisiacuene paneexanabiabijava. Panajamatabëcuenepënëyorore Diosojavabelia, jai tsanajetarucae Juan jivijavabelia.
MAT.3.3	Bajarapacuenia Juan Dioso pitorobilivaisi jivi itsa tsipaebanajetaruca, copiapata jane baja pacuenia Diosojumepaebinëmi profeta, Isaíaspijinë, bajayata tajëvelia yaquina Juan pelivaisi. Juan jivibautisabinë Dioso pitorobilivaisi jivi petsipaebanajetarucaejavanexa yabara, yaquina. Profeta Isaíaspijinë peyaquinaelivaisita tajëvelia jumaitsi mapacueniaje:
MAT.3.3	Tanejumelivaisipaebinë vavajai tsane petusato nacuata. Jumaitsi tsane jivijavabelia: “Jivi baxaneba panamutoverena najetarucaejitsia petuxanenë. Batoroviaexananua namuto. Bajara pijinia pacuenia paxamë ata panajamatabëcuenexaniavaere pepo petuxanenë pepatsivajënaeyarena,” jai tsane tanejumelivaisipaebinë,
MAT.3.3	jai profeta Isaíaspijinë bajayata peyaquinaelivaisita Dioso pitorobilivaisi Juan jivi petsipaebanajetarucaejavanexa yabara.
MAT.3.4	Juan naxatata camellonata pexanaejava. Naepacëta cuerobocoto. Pexaejava ëbosese, jabëra yajava. 
MAT.3.5	Juan petsipaebilivaisi pejumetaenexatsi, muxunapatabiabatsi Jerusalén tomarapijivi, Judea nacuapijivi ata, Jordánmene imoxoyopijivi ata. 
MAT.3.6	Nexata bajarapamonae pibisiacuene pexanaejavami, rovialia Diosojavabelia navecuapaebapona. Nexata bajarapamonae Juan bautisabapona Jordán meneta.
MAT.3.7	Jivibitsaëtoxaneto pata Juanjavaberena pebautisabinexa picani Juan. Bajarapamonae apo jumecovënëtsi ata Dioso pitorobilivaisi, jamatabëcuenenavëxaniabiaya jamatabëjumaitsi:
MAT.3.7	—Juan itsa nacabautisabiana, Dioso nacacapanepaena, jamatabëjai.
MAT.3.7	Nexata Juan itsa tane ayaibitsaëtoxaneto fariseovi, saduceovi ata, pepatsijavarena Juan picani pebautisabinexa, nexata Juan jumaitsi bajarapamonaejavabelia:
MAT.3.7	—¡Panejamatabëcuenenavëxaniabivi! Pacuenia jomo rëcëpa itsa tane isoto petajuenajetarucaejava, bajara saya paitsimë. Dioso rabaja papecananeconitsia exanaematacabinexa, pacaimoxoyotapona. Itsiata acuenebi tsane panevecuapanepaenexa Dioso papecananeconitsia exanaematacabinexa. 
MAT.3.8	Itsa pajitsipame Dioso papecacapanepaejava, pacopabare pibisiacuene paneexanabiabijava. Dioso pajumecovënëtavanapare. Nexata daxitajivi pacayapëtaena pepacuene baja panecopabijava pibisiacuene paneexanabiabijavami. Pacayapëtaenanua panenajamatabëcuene pënëyorotsijava Diosojavabelia. 
MAT.3.9	Jamatabëcuenenavëxaniabiaya pëtsa panajumaitsimë: “Vaxaitsi cajena Abrahampijinë pemomoxitsi. Nexata Dioso nacacapanepaena,” panajamë pëtsa. Abrahampijinë picani papemomoxi atamë, itsiata pibisiacuene itsa paexanavanapame, nexata bajarapacuene apo pacatonamatamotsi tsipae Diosojavabelia papecacapanepaenexa. Dioso baja cajena caëjëpatsi jivi pexanaenexa mapaibotonëmi ataje, Abrahampijinë bepemomoxi Dioso petaenexa. Nexata bajarapamonae ata Dioso itsa apo jumecovënëtsi, Dioso apo capanepae tsipae. Nexata pacopabare pibisiacuene paneexanabiabijava papecacapanepaenexa Dioso. 
MAT.3.10	Peubinaenë pexainaenë itsa apo tonacuaitsitsi pexaniacuai, nicata sipalita daxita ponaenë apo tonacuaitsitsi pexaniacuai. Nexata baja penicatsicujinae itsa niona bajaraponaenë, caetuata. Xuaba isotojavabelia. Nexata bajaraponaenëmi tajuatsi. Bajara pijinia pacuenia paxamë ata Dioso pacaxuabiana infiernojavabelia papecatajuenexa, Dioso apo panejumecovënëtsivi. 
MAT.3.11	Xanë raja saya jivi bautisabaponajë merata. Tsipaji baja bajarapamonae copaba pibisiacuene pexanabiabijava. Najamatabëcuenepënëyorotanua Diosojavabelia. Itsiata baitsi jane ponë tacovëverena najetarucaena, tabautisabivi Espíritu Santo tsijamatabëjoneyaexanaenatsi, pitarunutsicotia yajava. Xanë raja saya beveliajamatabëcuenenënë bajaraponëvecua. Nexata bajaraponë vecuaauranë pijazapato ata tatocaponaenexa bepijajivitonëcuenianë. 
MAT.3.12	Arrozxainaenë baja itsa vereta arroz pesiricaejava, jëaba arroz pejëabijavata pepitsinexa ëpexu. Nexata pijaarroz pejëabijavata, saicaya tsatapona ëpexu pesivecua. Nexata ëpexu xaniavaeteta peetsibojavabelia. Pesi pijinia penetapona vayafuabelia petajuitsinexa. Bajara pijinia pacuenia paxamë ata Dioso pejumecovënëtsivivecua Dioso pacatsatsiana papecaxuabinexa infiernojavabelia panenaxuabinexa baja daxitamatacabijavabelianexa. Pamonae pijinia Dioso pejumecovënëtsivi, Dioso capanepaenatsi pijanacuayabetsia. Pamonae pijinia Dioso apo jumecovënëtsi, Dioso naneconitsiaexanaenatsi daxitamatacabijavabelianexa apo pevereverecaeisotojavabelia, jai Juan daxita bajarapamonaejavabelia.
MAT.3.13	Jesús naropota Galilea nacuajavaverena. Nexata pata Jordán menejavaberena. Jordán menejavata Juan ponapona. Nexata Jesús pata Juanjavaberena pebautisabinexatsi Juan. 
MAT.3.14	Juan picani apo jitsipae pebautisabijava Jesús. Juan nexata jumaitsi Jesúsjavabelia:
MAT.3.14	—¿Detsa xuajitsia patame tacabautisabinexa? Xamë rajane biji xanë benebautisabame, jai Juan Jesúsjavabelia.
MAT.3.15	Itsiata Jesús jumaitsi Juanjavabelia:
MAT.3.15	—Aeconoxae itsiata pacuenia baja cavajëtatsi, netoexanaename. Xanepana vajaexanaenexa daxita Dioso vajanacaitorobicuenia, jai Jesús Juanjavabelia.
MAT.3.15	Nexata baja Juan jejai pebautisabinexa Jesús. 
MAT.3.16	Nexata jane baja Juan bautisaba Jesús. Jesús pebautisabicujinaetsi nonotajuna menevetsina. Bajarapaepatota Jesús tane athëbëtatsia itaboxo penapatsijava. Nexata Jesús tane Espíritu Santo perunaejavatsica beucucuto. Tsimatarunaicatsi. 
MAT.3.17	Nexata Juan jumetane athëbëvetsica Dioso pejumaitsijava: “Mara ponë taxënato tasivanëje. Sivajamatabëcuenebarëyanë bitso,” pejaijava.
MAT.4.1	Jesús pebautisabicujinaetsi, Espíritu Santo ponaeyaexanatsi petusato nacuayabelia. Bajarabelia ponaeyaexanatsi pejamatabëcueneëjëbinexatsi dovathi.
MAT.4.2	Nexata petusato nacuata Jesús ponapona cuarenta pamatacabibeje, cuarenta pameravibeje yajava. Bajara pijinia pamatacabibeje Jesús apo xae pexaejava. Nexata Jesús bitso piajani. 
MAT.4.3	Nexata dovathi Jesús imoxoyotatsi pejamatabëcueneëjëbinexatsi Jesús picani pibisiacuene pexanaenexa. Dovathi jumaitsi Jesúsjavabelia:
MAT.4.3	—Itsa pepacuene Dioso pexënatomë, itorobare mapaibotonëje penaexanaenexa pan, jai dovathi.
MAT.4.4	Jesús nexata jumaitsi dovathijavabelia:
MAT.4.4	—Jume raja. Dioso raja pejumelivaisibaxutota jumaitsi mapacueniaje: “Jivi raja apo namatavenonae ëpexaejava pexaenexa. Jivi raja namatavenona daxita Dioso pejumelivaisi ata pejumecovënëtsinexa pexainaenexa matacabi apo pevereverecaejava,” jai raja Dioso pejumelivaisibaxutota, jai Jesús dovathijavabelia.
MAT.4.5	Bajaraxuacujinae icatsia Jesús barëliatsi dovathi Jerusalén tomarabelia. Barëjunayatsi templobo matatuyabetsia. 
MAT.4.6	Nexata templobo matatutatsia dovathi icatsia jumaitsi Jesúsjavabelia:
MAT.4.6	—Itsa pepacuene Dioso pexënatomë, jirevaremeca irabereca. Bajarapacuenia jirevaremeca irabereca tsipaji xamë nitsacueneyaniva pecaevetsinexa Dioso pejumelivaisibaxutota jumaitsi mapacueniaje:
MAT.4.6	Dioso itorobianica pijaángelevi pecaevetsinexa. Nexata ángelevi pecobeta cayotsiana pecataxutsaquitsiyaniva ibotonëjavabelia,
MAT.4.6	jai Dioso pejumelivaisibaxutota xamë pecaevetsinexa ángelevi, jai dovathi Jesúsjavabelia.
MAT.4.7	Jesús nexata icatsia jumaitsi dovathijavabelia:
MAT.4.7	—Jume raja. Dioso raja pijinia pejumelivaisibaxutota jumaitsi mapacueniaje: “Itsajivi ata jamatabëcuenenavëxaniabiaya pijacuata apo bejamatabëjumaitsi: ‘Xanë Dioso jamatabëcueneëjëtsianajë. Nexata exanaenajë pacuene bitso netsiayai tatëpaenexa. Itsiata Dioso neyavenonaena tavecuapanepaenexa bajaraxua. Nexata bajarapacuenia yapëtaenajë Dioso taneyavenonaejava,’ apo bejamatabëjai,” jai Dioso pejumelivaisibaxutota, jai Jesús dovathijavabelia.
MAT.4.8	Jesús icatsia barëliatsi dovathi pinijitsutoxanetojavabelia. Barëjunayatsi bajarapatsutojumabetsia. Nexata bajarapatsutojumavetsica dovathi Jesús tsitajëtatsi daxitanacuanë. Daxita bajarapanacuanëta daxitacuene pexainaejava yajavatsitajëtatsi. 
MAT.4.9	Nexata icatsia dovathi jumaitsi Jesúsjavabelia:
MAT.4.9	—Ayaijamatabëcuenenënë netaeya taitabarata nematabacabëta itsa netonucajunuame, nexata daxita mapanacuanëtaje, daxitacuene xua xaina, cayajavarajutsianatsi, jai dovathi Jesúsjavabelia.
MAT.4.10	Nexata Jesús jumaitsi dovathijavabelia:
MAT.4.10	—Dovathi, nevecuanatixire. Dioso raja pejumelivaisibaxutota jumaitsi mapacueniaje: “Daxitajivi vajëcae pematabacabëta caenë pepo petuxanenë Diosojavabelia. Tonacuenebinua bajaraëponënexa,” jai raja Dioso pejumelivaisibaxutota, jai Jesús dovathijavabelia.
MAT.4.11	Nexata baja dovathi Jesús vecuaponatsi. Bajaraxuacujinae ángelevi patsica Jesús peyavenonaenexatsi.
MAT.4.12	Jesús vënëlivaisitane Juan peetsijavatsi penaneconitsivi pejebabiabibota. Nexata Jesús pona Galilea nacuayabelia. 
MAT.4.13	Itsiata Jesús apo ponaponae Nazaret tomarata. Ponapona Capernaum tomarata. Capernaum tomara eca Zabulónvënë nacuabeje Neftalivënë nacuabejejavata. Capernaumtomara eca pucaxanetoitapata. 
MAT.4.14	Bajarapacuenia Jesús itsa patajopa Capernaum tomarata Dioso pitorobilivaisi jivi petsipaebinexa, copiapata jane baja pacuenia bajayata Diosojumepaebinë profeta, Isaíaspijinë, tajëvelia yaquina Jesús pelivaisi. Dioso pitorobilivaisi Jesús Capernaum tomarata jivi petsipaebijavanexa yabara, Isaíaspijinë peyaquinaelivaisita tajëvelia jumaitsi mapacueniaje:
MAT.4.15+MAT.4.16	Zabulón nacuapijivi, Neftali nacuapijivi ata, Jordánmene itsapanaverenapijivi ata, bitso apo yapëtae Dioso pitorobilivaisi. Galilea nacuata pejinavanapaevi ata, itsaxuayo jinavanapa ayaibitsaëtoxanetonë apo judíovi, bitso apo yapëtae Dioso pitorobilivaisi. Daxita bajarapanacuanëpijivi pexaniajailivaisi, Dioso pitorobilivaisi, apo peyapëtaexae, bepitaquirinacuanëjava jinavanapa. Nexata pacuenia pinijicotiaxaneto itayotsipatsi petaenexa xaniavaetsia, bajara pijinia pacuenia bajarapamonae jamatabëcueneitayotsianatsi itsa tsipaebianatsi Diosojavabelia pecapanepaelivaisinexatsi,
MAT.4.15+MAT.4.16	jai tajëvelia Isaíaspijinë peyaquinaelivaisita Dioso pitorobilivaisi Jesús petsipaebijavanexa yabara bajarapanacuanëpijivijavabelia.
