MAT.1.1	A Yesu Kɩrɩsɩto sãakpãmɩne nɩ nyã, wʊ yin a Nãa David nɩ Abraham bal pɔ, 
MAT.1.17	An yi Abraham tɩ ta a Nãa David, a Yesu sãakpãmɩne ɩ naa pie nɩ anaar, an yi Nãa David tɩ tãn a sɔ̃ɔ 'lɔ a ba dɔ̃dɔ̃mɔ̃sɩ na nyɔɔr ba chiin a Babilon wɛr pɔ ba mɩ ɩ naa pie nɩ anaar, an lɛ yi a ba gbãgbaar ɩfʊ a Babilon wɛr pɔ tɩ tãn a Nɩ-iraa a ba mɩ ɩ pie nɩ anaar.
MAT.1.18	Nɩtɔ̃ lɛ a Yesu Kɩrɩsɩto dɔɔfʊ yele tu. A wʊ ma Mɛɛr ŋmaan na Josefʊ baraa tɩchɛ baa kul taa sɛrɛ ɛ, ka Nãaŋmɩn Sɩɛ vɛ̃ ka wʊ tara pʊɔ. 
MAT.1.19	A wʊ baraa Josefʊ na ɩ nɩtor jũu, ba bʊɔrɔ ɩka wʊ su wʊ vĩ nɩyɔɔ pɔ ɛ, ka wʊ tɩɛr ɩka wʊ sɔɔl bar wʊ jaa jomm.
MAT.1.20	Wʊn wa tɩɛr a yele nyã maalfʊ, ka a Nãaŋmɩn malaka wa a wʊ sɛ̃ jãn pɔ wa 'yɛr, “Josefʊ, David bie, ta joro dãbãɛ ɩka fʊ de a Mɛɛr ka wʊ ɩ a fʊ pɔɔ ɛ, a bie na be a wʊ pʊɔm yin a Nãaŋmɩn Sɩɛ kpɛ̃ɔ pɔ. 
MAT.1.21	Wʊn dɔɔn dabile ka fʊ na bʊɔlɔ a wʊ yuor Yesu, 'lɔ lɛ na faa a wʊ nɩbɛ yin a ba yeldɛbɛ pɔ.”
MAT.1.22	Anyã a jaa ɩ naa ka a wiil a sɩ Soro 'yɛrbie wʊn dɔ̃ɔ 'yɛr tu a wʊ 'yɛ'yɛrɛ pɔ ɩ yelmãɛ, 
MAT.1.23	“Nyɛ a pɔɔsarbile na tara na pʊɔ dɔɔ dabile, ban 'yɔ̃ɔn a wʊ yuor Emanuwɛl,” 
MAT.1.24	Josefʊ na wa jɛɔ a gʊ̃ɔ pɔ, wʊ ɩn a lɛ jaa a Nãaŋmɩn malaka na 'yɛr ɩka wʊ ɩ. Ka wʊ de a Mɛɛr ka wʊ ɩ a wʊ pɔɔ, 
MAT.1.25	tɩchɛ baa lɔɔ sɔ̃ɔ ɛ, tɩ tãn a sɔ̃ɔ 'lɔ wʊn dɔɔ a dabile, na wʊ 'yɔ̃ɔ a wʊ yuor Yesu.
MAT.2.1	Yesu ban wa dɔɔ Bɛtɩlɛhɛm tẽe a Judiya paal pɔ a Nãa Hɛrɔd sɔ̃ɔ, yɛ̃ dẽme yin be a Jerusalɛm sapar wa, 
MAT.2.2	na ba wa sʊrɔ, “Nyɩnɛ lɛ a bie be ban dɔɔ ka wʊ ɩ a Juu nɩbɛ nãa? Sɩ nyɛ naa a wʊ ŋmɛrbir a sapar ɩka sɩ wa puor wʊ.” 
MAT.2.3	A Nãa Hɛrɔd na wa wõ a lɛ wʊ pʊɔ sɔ̃ɔ naa, ka Jerusalɛm nɩyɔɔ pʊʊr mɩ sɔ̃ɔ, 
MAT.2.4	be lɛ wʊ bʊɔl a Juu nɩbɛ bɔɔrlo nɩbɛrɛ nɩ a nɛɛ wiwiilbe sʊʊr bʊɔrɔ ɩka wʊ bɔ̃ɔ a jie 'lɔ ban na dɔɔ a Nɩ-iraa. 
MAT.2.5	Ka ba 'yɛr kʊ wʊ, “Bɛtɩlɛhɛm na be Judiya, lɛ lɛ a Nãaŋmɩn 'yɛ'yɛrɛ dɔ̃ɔ sɛb bin, 
MAT.2.6	‘Fʊ̃ʊ Bɛtɩlɛhɛm na be a Judiya paal pɔ, fʊ̃ʊ lɛ ɩ jaa pʊʊrbile a Juda kpãɛn dẽme pɔ, fʊ pɔ lɛ a kpɛ̃ɔ sʊɔ na yi kaara a n nɩbɛ Isɩral.’ ” 
MAT.2.7	Be lɛ ka Hɛrɔd sɔɔl bʊɔl a yɛ̃ dẽme bala sʊʊr ba a sɔ̃ɔ 'lɔ a ŋmɛrbir na pur wa. 
MAT.2.8	Be lɛ wʊ tara ba chiin Bɛtɩlɛhɛm tɩ 'yɛr, “Yɩ chen tɩ yɔbɔ a bie kaa nɛ nɛ, yin wa nyɛ wʊ yɩ lɩɛb wa 'yɛr kʊ ma ka n mɩ chen tɩ puor wʊ.”
MAT.2.9	Ban wa chɛl a nãa 'yɛr baar, ba yin lo a sɔr chiine, a ŋmɛrbir 'lɔ ban nyɛ a sapar de ban nie tɩ ara a jie 'lɔ a bie na be. 
MAT.2.10	Ban wa nyɛ ka a ŋmɛrbir ara nʊ̃ɔ kpɛ ban yɔɔ jaa. 
MAT.2.11	Ban kpɛ a yir pɔ, ba nyɛn a bie nɩ a wʊ ma Mɛɛr, na ba gbur dumo puor wʊ. Be lɛ ba tũ a ba wʊʊr pɔ ir kʊfʊsɩ na ɩ sɛlma, nyɩnyɩbɩ kãa nyũu nʊ̃ɔ nɩ kãnyũu ala ban bʊɔlɔ sɩmura kʊ wʊ. 
MAT.2.12	Tɩchɛ Nãaŋmɩn dɔ̃ɔ kpãa ba a jãn pɔ, ɩka ba ta lɛ lɩɛb chen a Nãa Hɛrɔd sɛ̃ ɛ, ka ba tu jiyuo kul a ba tẽe.
MAT.2.13	A yɛ̃ bɔ̃ɔnbɔ na wa chen baar, a Nãaŋmɩn malaka wan Josefʊ sɛ̃ jãn pɔ wa 'yɛr kʊ wʊ, “Vaa ir 'mɔɔ a bie nɩ a wʊ ma, na fʊ jo chiin be Ijipitɩ wɛr pɔ, na fʊ tɩ be a be wa tɩ tãn a sɔ̃ɔ 'lɔ ɩn na 'yɛr kʊ fʊ, bojũu a Hɛrɔd nɩ a wʊ nɩbɛ bʊɔrɔ na a bie kʊfʊ.”
MAT.2.14	Ka a Josefʊ ir 'mɔɔ a bie nɩ a wʊ ma a tãsɔɔ bãɩn jo chiin be a Ijipitɩ. 
MAT.2.15	Be lɛ wʊ tɩ jãnɛ tɩ tãn a sɔ̃ɔ 'lɔ a Nãa Hɛrɔd na wa kpi. A yelsɩ anyã ɩ naa lɛ ka a na ɩ yelmãɛ ɩka a lɛ a sɩ Soro 'yɛ'yɛrɛ na dɔ̃ɔ 'yɛr ɩka, “Ijipitɩ pɔ lɛ ɩn bʊɔl a n bie yin.” 
MAT.2.16	A Nãa Hɛrɔd na wa bɔ̃ɔn ɩka a yɛ̃ dẽme banyã na yɩ a sapar bɛl wʊ naa a suur kpɛ wʊ a wʊ 'yɛr kʊ a wʊ sojasɩ ɩka ba chen tɩ kʊ dabile jaa na be a Bɛtɩlɛhɛm na ta yuom ayi bɩɩ na ba ta sɛrɛ ɛ, yi a sɔ̃ɔ 'lɔ jaa wʊn sʊʊr bɔ̃ɔn yi a yɛ̃ bɔ̃ɔnbɔ sɛ̃. 
MAT.2.17	A lɛ jaa a Nãaŋmɩn 'yɛ'yɛrɛ Jeremiya na dɔ̃ɔ 'yɛr ɩ yelmãɛ, 
MAT.2.18	“Ba wõn kɔkɔr be a Wurama tẽe pɔ, kõyiel nɩ wuur kpãɛn, Wurachɛl lɛ kõnõ a wʊ bibiir 'yɔ̃ɔ. Ba kpi na, waa lɛ bʊɔrɔ 'maalfʊ ɛ bojũu baa lɛ chɛnɛ go ɛ.” 
MAT.2.19	Hɛrɔd na wa kpi, Nãaŋmɩn malaka wan Josefʊ sɛ̃ be a Ijipitɩ jãn pɔ wa 'yɛr, 
MAT.2.20	“Vaa ir 'mɔɔ a bie nɩ a wʊ ma na fʊ chiin a Isɩral wɛr pɔ, a bala na dɔ̃ɔ bʊɔrɔ a bie kʊfʊ kpi naa.”
MAT.2.21	Josefʊ vaan ir 'mɔɔ a bie nɩ a wʊ ma chiin a Isɩral wɛr pɔ. 
MAT.2.22	Tɩchɛ wʊn wa wõ ɩka Archelaus lɛ di a nãa a Judiya a wʊ sãa kũu puor, wʊ joro na dãbãɛ ɩka wʊ lɛ chen a be. Ka a Nãaŋmɩn wa kpãa wʊ a jãn pɔ ɩka wʊ chen be Galilee paal pɔ. 
MAT.2.23	Be lɛ wʊ chen Najaretɩ tɩ kpɩɛrɛ a be, ka a lɛ Nãaŋmɩn 'yɛ'yɛrɛ na dɔ̃ɔ 'yɛr ɩ yelmãɛ, “Ban bʊɔl wʊ naa Najaretɩ nɩrɛ.”
MAT.3.1	Sɔ̃ɔ kɔ̃ɔ lɛ a Jɔɔn kɔ̃suor mʊɔlɔ a Judiya mɔgɔ̃ɔ pɔ 
MAT.3.2	'yɛrɛ, “Yɩ lɩɛb a yɩ befʊ, a Nãaŋmɩn nãalʊ̃ʊ ta na.” 
MAT.3.3	Jɔɔn nyã 'yɛr lɛ a Nãaŋmɩn 'yɛ'yɛrɛ Isaiya dɔ̃ɔ 'yɛr a wʊ 'yɛr, “Kɔkɔr kɔ̃ɔ lɛ gɔ̃nɔ̃ 'yɛrɛ be a mɔgɔ̃ɔ pɔ, chɔɔr a sɩ Soro sɔr, maal a wʊ sɔbie ka a tor.” 
MAT.3.4	Nyɔɔma kɔɔlʊ fuu lɛ Jɔɔn ma su tɩ de gãn a lũn a sɩɛ. Soor nɩ sɩkãa lɛ ɩ a wʊ bʊ̃diir. 
MAT.3.5	Nɩyɔɔ yin a Jerusalɛm nɩ Judiya chiine a wʊ sɛ̃ nɩ a bala na yi a Jordan man koor. 
MAT.3.6	Ba woro naa a ba yeldɛbɛ tɩ wʊ suoro ba a Nãaŋmɩn kʊ̃ɔ be a Jordan man pɔ.
MAT.3.7	Jɔɔn na wa nyɛ a Faraseemɩne nɩ a Saduseemɩne na waara a Nãaŋmɩn kʊ̃ɔ sofʊ jie, ka wʊ 'yɛr kʊ ba, “Yɩn waa bibiir, an n 'yɛr kʊ yɩ ɩka yɩ jo yi a Nãaŋmɩn suur na waara mɔ̃? 
MAT.3.8	Yɩ vɛ̃ ka a yɩ lɛ befʊ wiil ɩka yɩ lɩɛb a yɩ tɩɛr. 
MAT.3.9	Yɩ ta chɛnɛ ŋmara jir 'yɔ̃ɔn yɩ mãɛ ɩka, ‘Abraham lɛ ɩ a sɩ sãa ɛ.’ N 'yɛrɛ na kʊrɔ yɩ ɩka Nãaŋmɩn na tʊ̃ɔn maal a kʊsɩbɛ anyãna ka a lɩɛb ɩ a Abraham bibiir. 
MAT.3.10	A 'lar dɔɔl a tɩɛ pĩlem gu a ŋmaafʊ, tɩɛ jaa ba wa wɔ̃nɔ̃ wɔ̃ sʊ̃n ɛ ban ŋmaa wʊn lɔb 'yɔ̃ɔ bũu pɔ.
MAT.3.11	“Maa 'lɔ suoro yɩn nɩ kʊ̃ɔ ka yɩ na lɩɛb a yɩ befʊ, tɩchɛ nɩrɛ ãsʊɔ na tara kpɛ̃ɔ gar ma ben a n puor waara, a wʊ nafɔɔr gba ba sɛɛ ɩka n tuo ɛ. 'Lɔ lɛ na de a Nãaŋmɩn Sɩɛ nɩ bũu son yɩ. 
MAT.3.12	A ŋmayɩɛlaa ben a wʊ nũu pɔ, ka wʊ na yɩɛl a mʊ̃ɩ a vafʊ jie na wʊ kpaar a bie 'yɔ̃ɔ a boor pɔ tɩ chʊm a sɔ̃sɔɔr nɩ bũu 'lɔ na ba tara kpĩinfʊ bar.”
MAT.3.13	Yesu yin a be a Galilee chen a Jordan man pɔ, ka a Jɔɔn na tɩ so wʊ a kʊ̃ɔ. 
MAT.3.14	Jɔɔn ba ta bʊɔrɔ ɩka wʊ so wʊ ɛ, na wʊ 'yɛr fʊ̃ʊ lɛ sɛɛ ɩka fʊ so ma tɩchɛ ka fʊ lɛ wa a n sɛ̃ go?
MAT.3.15	Tɩchɛ ka Yesu 'yɛr kʊ wʊ, “Vɛ̃ ka a ɩ a lɛ a pʊ̃pãanyã, a vɩɛl na ɩka sɩ ɩ a lɛ jaa Nãaŋmɩn na bʊɔrɔ.” Ka Jɔɔn sɔɔ lɛ a Yesu na 'yɛr.
MAT.3.16	A lɛ wʊn wa so a Yesu a kʊ̃ɔ baar, a wʊ yi a kʊ̃ɔ pɔ, a sɔ̃ɔ 'lɔ̃nɔ̃ lɛ wʊ nyɛ a saaju na yuo a wʊ nyɛ a Nãaŋmɩn Sɩɛ na kaara ŋmam kaar suu wa mar a Yesu ju. 
MAT.3.17	Tɩ a kɔkɔr yɩ a Nãaŋmɩn sɛ̃ a saaju 'yɛrɛ, “A anyãna lɛ ɩ a n binʊ̃nãa ka a n 'yɔ̃ɔ ma 'maa nɩ wʊ.”
MAT.4.1	A Nãaŋmɩn Sɩɛ tara na Yesu kpɛ̃n a mɔgɔ̃ɔ pɔ, ka a tɩɩ tɩ bɛɛr wʊ kaa. 
MAT.4.2	Waa di bon jaa ber lɩjaayi nɩ tãsɔɔ gbulo lɩjaayi ɛ, ka kɔ̃ kpɛ wʊ. 
MAT.4.3	A 'yɛr kʊ wʊ, “Ala ɩ fʊ̃ʊ lɛ a Nãaŋmɩn Bie, 'yɛr kʊ a kʊsɩbɛ a nyãna ka a lɩɛb bʊ̃diir.”
MAT.4.4	Tɩchɛ ka Yesu 'yɛr kʊ wʊ, “A sɛb a Nãaŋmɩn gãn pɔ ɩka, bʊ̃diir tɛɛ kʊ̃ tʊ̃ɔ kʊ nɩrɛ nyɛvʊr ɛ, tɩchɛ 'yɛrbir jaa na yi Nãaŋmɩn nɛɛ pɔ.” 
MAT.4.5	A bɛɛr kaa sʊɔ lɛ tara wʊn don a Jerusalɛm, tɩ wiil wʊ a puorfʊ jie na do gar a jaa, 
MAT.4.6	tɩ 'yɛr kʊ wʊ, “Ala ɩ fʊ̃ʊ lɛ a Nãaŋmɩn Bie, ɔɔ lo a tẽe. A sɛb ɩka, wʊn vɛ̃n ka a wʊ malakasɩ gu fʊ na ba nyɔɔ fʊ nɩ a ba nuur ka fu gbɛr kʊ ŋme kʊsɩr ɛ.” 
MAT.4.7	Ka a Yesu mɩ 'yɛr kʊ wʊ, “A mɩ sɛb a Nãaŋmɩn gãn pɔ ɩka, ta bɛɛr a yɩ Nãaŋmɩn kaa ɛ.” 
MAT.4.8	A tɩɩ lɛ tara wʊn don tɔ̃ɔ ju tɩ wiil wʊ a nãa di jiir a jaa na be ka a wɛr pɔ, na a bʊ̃vɩɛlsɩ lɛ an be. 
MAT.4.9	Ka wʊ 'yɛr kʊ wʊ, “Ɩn kʊ fʊ naa anyãna a jaa, ala ɩ fʊ gbur dumo puor ma.”
MAT.4.10	Yesu 'yɛr kʊ wʊ, “Fʊ̃ʊ Satan nyã tɔɔ yi be. A sɛb a Nãaŋmɩn gãn pɔ ɩka, a sɩ Soro Nãaŋmɩn tɛɛ lɛ a sɛɛ ɩka yɩ puoro na yɩ tʊ̃nɔ̃ kʊrɔ a 'lɔ tɛɛ.” 
MAT.4.11	A tɩɩ bar wʊn tɩ chen, tɩchɛ ka a Nãaŋmɩn malakasɩ wa sʊ̃ʊ wʊ.
MAT.4.12	Yesu na wa wõ ɩka ba nyɔɔn Jɔɔn na ba pɔɔ, wʊ chen Galilee. 
MAT.4.13	Wʊ yin Najaretɩ na wʊ tɩ kpɩɛrɛ be a Kapenahum a man nɛɛ be Jebulun nɩ Naftalɩ wɛr pɔ. 
MAT.4.14	Ka a lɛ jaa a Nãaŋmɩn 'yɛ'yɛrɛ Isaiya na dɔ̃ɔ 'yɛr ɩ yelmãɛ, 
MAT.4.15	“Jebulun wɛr, Naftalɩ wɛr, a man sɔr a Jordan man gɔ̃ɔn. Galilee be a nɩyor na kpɩɛrɛ. 
MAT.4.16	A nɩbɛ na dɔ̃ɔ be libe pɔ nyɛn chãa, nɩbɛ bala na ba dɔ̃ɔ tara nyɛvʊr Nãaŋmɩn pɔ ɛ, nyɛn Nãaŋmɩn chãa kpɛ̃ɛ.” 
MAT.4.17	A sɔ̃ɔ 'lɔ̃nɔ̃ Yesu piel na wʊ mʊɔlɔ 'yɛrɛ, “Yɩ lɩɛb a yɩ befʊ a saaju nãalʊ̃ʊ ta na.”
MAT.4.18	Yesu na wa de a Galilee man gogoro lana, wʊ nyɛn yɛɛr ayi Simon ban bʊɔlɔ Pita nɩ a wʊ yɛbɛ Andiru na lɔɔrɔ lɔyaar 'yɔ̃ɔnɔ̃ a kʊ̃ɔ pɔ. Ba dɔ̃ɔ ɩ jãnyɔɔrbɔ. 
MAT.4.19	Ka wʊ 'yɛr kʊ ba, “Yɩ turo ma, n vɛ̃ naa ka yɩ nyɔɔrɔ nɩbɛ 'yɔ̃ɔnɔ̃ a Nãaŋmɩn nãalʊ̃ʊ pɔ.” 
MAT.4.20	Ka ba tɔ̃ɔ tãɛ a lɔyaarsɩ bar tɩ na ba turo wʊ.
MAT.4.21	Wʊn lɛ yɩ a be chiine, wʊ lɛ nyɛn yɛɛr ayi, Jemesɩ na ɩ Jebedee bidaba naa a wʊ yɛbɛ Jɔɔn ka ba be a gboro pɔ nɩ a ba sãa Jebedee, maala a ba lɔyaarsɩ ka wʊ bʊɔl ba. 
MAT.4.22	A ba tɔ̃ɔ tɩɛ a gboro bar nɩ a ba sãa tɩ turo wʊ.
MAT.4.23	Yesu yɔn a Galilee wile ba a lɔ̃ɔfʊ jiir tɩ mʊɔlɔ a Nãaŋmɩn nãalʊ̃ʊ 'yɛr nʊ̃ɔ tɩ sãana nɩrɛ jaa baal. 
MAT.4.24	Ka a wʊ yele yaar a Siriya ka ba tara a baalsɩ ba jaa waan a wʊ sɛ̃, bala a baalsɩ nɩ ãgãn ɔbɔ na nyɔɔ, bala na tara a sɩdɛbɛ, banyã baal tãanaa na nyɔɔ nɩ gbɛrfʊ jaa bʊrɔ, ka wʊ sãa a ba baalsɩ. 
MAT.4.25	Nɩyɔɔ yin Galilee, nɩ Dekapolisɩ, nɩ Jerusalɛm, nɩ Judiya nɩ a Jordan man gɔ̃ɔn wa turo wʊ.
MAT.5.1	Yesu na wa nyɛ a nɩyɔɔ, wʊ don tɔ̃ɔ ju, wʊn wa tɩ jɛ̃ baar ka a wʊ poturbo wa a wʊ sɛ̃. 
MAT.5.2	A wʊ piel wile ba 'yɛrɛ, 
MAT.5.3	“Pʊpɛl lɛ kʊ a yɩn banyãna na ba tara bon jaa ɛ, tɩ bʊɔrɔ lɛ a Nãaŋmɩn na bʊɔrɔ. Yɩn lɛ so a saaju nãalʊ̃ʊ. 
MAT.5.4	Pʊpɛl lɛ kʊ a yɩn na kõnõ, Nãaŋmɩn na 'maan a yɩ nyãa. 
MAT.5.5	Pʊpɛl lɛ kʊ a yɩn na siir a yɩ mãɛ. Nãaŋmɩn na kʊ ban bon jaa na be a wɛr pɔ. 
MAT.5.6	Pʊpɛl lɛ kʊ banyã kɔ̃ nɩ kɔ̃nyũur na kpɛ yeltorsɩ jũu, ban tɩɩ naa. 
MAT.5.7	Pʊpɛl lɛ kʊ yɩn banyã na kaara nɩrɛ nɩbaal, Nãaŋmɩn mɩ na kãan a yɩ nɩbaal. 
MAT.5.8	Pʊpɛl lɛ kʊ banyã na nʊ̃ Nãaŋmɩn sɩrɛ, nɩ a ba nyãa wʊ jaa, bala lɛ na nyɛ Nãaŋmɩn. 
MAT.5.9	Pʊpɛl lɛ kʊ banyã na bʊɔrɔ nyã'maar, ban bʊɔlɔ ban Nãaŋmɩn bibiir. 
MAT.5.10	Pʊpɛl lɛ kʊ yɩn bala nɩbɛ na ge yeltorsɩ jũu, yɩn lɛ so a saaju nãalʊ̃ʊ.
MAT.5.11	“Pʊpɛl lɛ kʊ yɩn a sɔ̃ɔ 'lɔ nɩbɛ na tʊrɔ yɩ, na ba gere yɩ, tɩ ŋmara jirsɩ 'yɛrɛ 'yɛr dɛbɛ 'yɔ̃ɔnɔ̃ yɩ, a maa jũu. 
MAT.5.12	Yɩ tara pʊpɛl, a yɩ sãyar bɛrma naa a saaju, lɛ nɩ wʊ ju lɛ ba dɔ̃ɔ ge a Nãaŋmɩn 'yɛ'yɛrbɛ na dɔ̃ɔ be be.
MAT.5.13	“Yɩ kaara fɩka nyaar a wɛr pɔ, tɩchɛ a nyaar nʊ̃ɔ wa baar, ŋmɩnɛ ban lɛ ɩ wʊ ka wʊ lɛ nʊ̃mɔ̃ go? A maa lɛ tara tɔ̃nɔ̃ kʊ bon jaa ɛ, ba ma kpaar bar ka nɩbɛ nɛɛrɛ nɩ gbɛɛ.
MAT.5.14	“Yɩ kaara fɩka chãa a wɛr pɔ. Yir ban mɛ tɔ̃ɔ ju kʊ̃ tʊ̃ɔ sɔɔl ɛ. 
MAT.5.15	Nɩrɛ maa chʊm fãtɩn de pɩɛ pɔɔ ɛ tɩchɛ wʊ ma bin a kuorgbe ju kʊ chaar yɔ̃ɔ nɩrɛ jaa a yir pɔ. 
MAT.5.16	Lɛ nɩ wʊ ju mɩ lɛ, yɩn lɛ ɩ chãa a yɩ taaba sɛ̃, ka ba na nyɛ a yɩ tʊ̃vɩɛlsɩ na ba pɛɛ a yɩ Sãa Nãaŋmɩn na be a saaju.
MAT.5.17	“Yɩ ta tɩɛr ɩka n wan ɩka n wa sɔ̃ɔ a nɛbinãa bɩɩ, a Nãaŋmɩn 'yɛ'yɛrbɛ wiilfʊ bar ɛ, n ba wa ɩka n wa sɔ̃ɔ yaa bar ɛ, n wan ɩka n vɛ̃ ka a ɩ yelmãɛ. 
MAT.5.18	Yelmãɛ lɛ n 'yɛrɛ kʊrɔ yɩ, ɩka a saaju nɩ a wɛr ba wa baar ɛ, a sɛbir bile bʊ̃'yen gba kʊ̃ ir a nɛbinãa pɔ ɛ, tɩ ta a lɛ yele jaa na ɩ yelmãɛ. 
MAT.5.19	A lɛ jũu, nɩrɛ jaa wa sɔ̃ɔ a nɛbinsɩ anyãna ãsʊɔ jaa tɩ wiil a wʊ taaba ka ba mɩ maala a lɛ, na ɩn a bile a saaju nãalʊ̃ʊ pɔ, tɩchɛ nyã jaa na maala tɩ wile bamɩne ka ba mɩ maala a lɛ, na ɩn kpɛ̃ɛ a saaju nãalʊ̃ʊ pɔ. 
MAT.5.20	N 'yɛrɛ na kʊrɔ yɩ, a yɩ yeltorsɩ ba wa tɩ gar a nɛɛ wiwiilbe nɩ a Faraseemɩne ɛ, yɩn ba be na wa kpɛ a saaju nãalʊ̃ʊ pɔ ɛ.
MAT.5.21	“Yɩ wõn ban dɔ̃ɔ 'yɛr kʊ a sɩ sãakpãmɩne, ‘Ta kʊ nɩrɛ ɛ,’ 
MAT.5.22	Tɩchɛ n 'yɛrɛ na kʊrɔ yɩ, ala ɩ fʊ nyɛn na yɛbɛ suur, wʊn nyɛn 'yɛr tɔɔrfʊ, ala ɩ fʊ tʊ̃n yɛbɛ na nyɛn 'yɛr tɔɔrfʊ a nɩbɛrɛ niem, fʊ̃ʊ wa 'yɛr nɩrɛ ɩka, jɔl nyã, na kpɛ̃n a bũu dagel 'lɔ pɔ.
MAT.5.23	“Ala wa ɩ fʊ waara nɩ naa a fʊ kʊfʊ, a Nãaŋmɩn bɔɔr lofʊ jie na fʊ wa tɩɛr tɔ ɩka fʊ̃ʊ nɩ a yɛbɛ tara na 'yɛr, 
MAT.5.24	bar a fʊ bon a Nãaŋmɩn bɔɔr lofʊ jie tɩ lɩɛb chen tɩ 'maal a fʊ yɛbɛ tɩ pãa wa de a fʊ bon kʊ a Nãaŋmɩn.
MAT.5.25	“An ɩ yɩn nɩ a yɩ sãn sʊɔ lɛ chiine a 'yɛr tɔɔrfʊ jie, yɩ mʊlɔ wʊ a sɔr pɔ, ka lɛ ba lɛ ɛ, wʊn de yɩn 'yɔ̃ɔ a 'yɛr tɔɔrɔ nũu pɔ, ka wʊ de yɩ kʊ a nɩpɔɔraa ka wʊ mɩ pɔɔ yɩ bar. 
MAT.5.26	Ala be a lɛ, faa be na wa yi ka fʊ̃ʊ ba wa yab a sãn baar ɛ.
MAT.5.27	“Yɩ dɔ̃ɔ wõ ban 'yɛr ɩka ta gãn nɩrɛ pɔɔ bɩɩ sɩrɛ ɛ. 
MAT.5.28	Tɩchɛ n 'yɛrɛ na kʊrɔ yɩ, nɩrɛ nyã jaa na wa kaa pɔɔ jaa tãɩɩ tɩ bʊɔrɔ na gãn wʊ, a nɩrɛ 'lɔ gãn wʊ naa a wʊ tɩɛr pɔ. 
MAT.5.29	Ala ɩ a fʊ nũsʊ̃ɔ nɩbir vɛ̃ naa ka fʊ ɩ yelbier, 'loo wʊ bar, a fʊ ãgãn lõboor ãsʊɔ na ba be be ɛ, sa naa a fʊ ãgãn wʊ jaa na kpɛ bũu pɔ. 
MAT.5.30	Ala ɩ a fʊ nũsʊ̃ɔ nũu mɩ lɛ vɛ̃ ka fʊ ɩ yelbier ɛ, ŋmaa wʊ 'lɔ bar, a fʊ ãgãn lõboor ãsʊɔ na ba be be ɛ, sa naa a fʊ ãgãn wʊ jaa na kpɛ bũu pɔ.
