GEN.1.1	I cakirok Were ocweyo polo gi piny. 
GEN.1.21	Ameno Were ocweyo rec madongo i nam kodi kisi cwec makwo ma bedo i pi, kodi kisi nger winyo. Aka Were oneno nike oyido ber. 
GEN.1.22	Were omiyo jo silwany aka owaco ri kisi cwec ma bedo i pi nike wonywol wopoŋ i nam; to waco ri winyin nike jowomedere i welo. 
GEN.1.23	Piny oyutho to piny yawere, meno obedo ndelo mar'abic.
GEN.1.24	Were owaco ni, “Weyi piny wonywol kisi nger ogwaŋ manitie gi kwo: Ma bedo peco, madudi, madongo kodi mathindho.” Aka obedo ameno. 
GEN.1.25	Were ocweyo joje, aka oneno nike oyido ber.
GEN.1.27	Ameno Were ocweyo ji i cal pere; ocweyo jo ma cwo kodi ma mon. 
GEN.1.28	Aka Were omiyo jo silwany to waco ni, “Nywol win nyithindho kweth, ŋey nyikway win jowobedi i piny gibe to jodhumo. Dhum win rec ma nam, winyin ma malo kodi kisi cwec makwo ma wotho i piny. 
GEN.1.29	Amiyo win dudi manywolo nyinge kodi manywolo olemo paka cemo. 
GEN.1.30	To ri ogwaŋe kodi winyin, amiyo lum kodi boke dudi paka cemo.” Aka obedo ameno. 
GEN.1.31	Were oneno kisi gima go oyido ocweyo, aka neni, oyido ber swa. Piny oyutho to piny yawere. Meno obedo ndelo mar'aucel.
GEN.2.1	Ameno polo gi piny gi kisi cwec je orumo. 
GEN.2.2	Aka i ndelo mar'abirio Were oyido otieko tic pere ma go otimo to ywomere. 
GEN.2.3	Ameno Were omiyo ndelo mar'abirio silwany to ketho ndelo no gicen paka ndelo manyakare; rupiri i ndelo no Were oywomere kwoŋ tic ma go oyido timo i cweyo piny. 
GEN.2.4	Aka ameno apaka polo gi piny ocwey.
GEN.2.4	Munyo Rwoth Were ocweyo polo gi piny, 
GEN.2.5	dudi gi kodhi oyido fodi ongoye, rupiri Were oyido fodi k'odhiro koth; aka oyido ongoye ŋat'ofur lowo. 
GEN.2.6	To pi oyido nyule wok i pendi lowo to dhieko piny.
GEN.2.8	Aka Were opidho ndelo i Eden, yuwok ceŋ; aka kenyo go oketho nyatoro ma go oyido ocweyo. 
GEN.2.9	Aka omiyo kisi nger yath twi maber anena aka ma cemo; yath ma kwo bende i dier ndelo kodi yath ma ŋeyo gimaber gi gimarac.
GEN.2.10	Malawa oyido mol i Eden aka dhieko ndelo aka otiakere ka diŋwen. 
GEN.2.11	Marapena oyido ilwoŋo ni Pison; mol thoko piny Havila. 
GEN.2.12	(Zahabu mangil nwaŋere kenyo kodi mo manitie gi kur kodi telin ma pilin.) 
GEN.2.13	Mar'ario ilwoŋo ni, Gihon; aka mol thoko piny Ethopiya. 
GEN.2.14	Mar'adek ilwoŋo ni Tigris; mol yuwok ceŋ ma Asiria, aka mar'aŋwen ilwoŋo ni Yufrete.
GEN.2.15	Rwoth Were otero jacwo to ketho go i ndelo ma Eden furo gi kuro. 
GEN.2.16	Aka Were omiyo jacwo cik ni, “Inyalo camo yath moro je i ndelo, 
GEN.2.17	t'ikir'icam yath ma ŋeyo gimaber gi gimarac, rupiri i ndelo m'inocam'iye ilatho.”
GEN.2.18	Kenyo Were owaco ni, “Kiber ni jacwo wobedi kende; abino cweyo rigo jakony ma ripo gi go.” 
GEN.2.19	Ameno okwanyo lowo wok piny to cweyo ogwaŋe je gi winyin je, aka okelo ri jacwo neno gima go nyalo timo gi jo; aka kisi gima jacwo ocwoko kisi cwec manitie gi kwo, meno obedo nyinge. 
GEN.2.20	Ameno jacwo ocwoko nyingi ogwaŋe gi winyin je; to ngoye kwoŋ jo m'oyido ripo gi konyo go.
GEN.2.21	Ameno Were omiyo jacwo nindo mapek, aka munyo go nindo, okwanyo kediŋete acel to umo kenyo gi riŋo. 
GEN.2.22	Aka ocweyo dhako wok kwoŋ kedi ŋeti jacwo to kelo rigo. 
GEN.2.23	Kenyo jacwo owaco ni,
GEN.2.23	“Tingili me onyo coko ma cokin paran
GEN.2.23	aka del paran won;
GEN.2.23	ilalwoŋo go ni dhako
GEN.2.23	rupiri okwany go wok kwoŋ jacwo.”
GEN.2.25	Jacwo gi dhako je oyido jonitie kinyoro, to oyido jongoye gi wickwot.
GEN.3.2	Aka dhako odwoko ni, “Wanyalo camo olemo ma yath moro je i ndelo, 
GEN.3.3	kwanyo woko yath manitie i dier ndelo. Were owaco ni wakiri wacam olemo ma yath no kosa kada geyo; ka wanotim, wabino tho.”
GEN.3.4	To thwol waco ri dhako ni, “Wi k'otho. 
GEN.3.5	Kole Were oŋeyo ni ka winocam waŋ win bino yawere, aka wibino cale Were, ma wiŋeyo bero gi raco.”
GEN.3.6	Ameno dhako oneno nger ma yath no oyido ber'iye, kodi nger mar'olemo mere oyido ber acama; aka oparo nger ma ber'iye lokirok mariek. Kenyo go okwanyo olemo to camo, aka omiyo cwore bende ni wocam.
GEN.3.7	Tekin jotieko camo ama, waŋ gin oyawere aka joniaŋ ni oyido jonitie kinyoro; aka jokwoyo boke makuyu kanyacel to joumere gine.
GEN.3.8	Othieno no jowinjo mayindo pa Rwoth Were wotho i ndelo, aka jopondo kwoŋ yen. 
GEN.3.9	To Rwoth Were lwoŋo jacwo, “Initie kune?”
GEN.3.10	Go odwoko ni, “Awinjo mayindo perin i ndelo, aka lworo omakan rupiri anitie kinyoro t'apondo.”
GEN.3.11	Were openjo go ni, “Ŋa m'owaco rin nike initie kinyoro? Icamo yath m'amiyin cik ni ikir'icam?”
GEN.3.12	Jacwo odwoko ni, “Dhako m'imiyan me am'omiyan t'acamo.”
GEN.3.13	Dhako odwoko ni, “Thwol am'owondan t'acamo.”
GEN.3.14	Kenyo Rwoth Were owaco ri thwol ni,
GEN.3.14	“Rupiri itimo gime,
GEN.3.14	Akwoŋin kwoŋ ogwaŋe je;
GEN.3.14	aka kwoŋ ogwaŋe madudi je
GEN.3.14	wok pama ibino mol gi iyin,
GEN.3.14	aka ilacamo fukefuke
GEN.3.14	i kwo perin je.
GEN.3.15	aka i dier nyithindhin gi nyithindho pere.
GEN.3.15	Nyithindho pa dhako jobino ŋinyo wiyin,
GEN.3.15	aka ibino toŋo fundi jo.”
GEN.3.16	Aka ri dhako owaco ni,
GEN.3.16	“Abino medo litho perin i ŋedi,
GEN.3.16	aka i litho ibino nywolo nyithindho.
GEN.3.16	Aka kucel ibino bedo g'awanya ri cworin,
GEN.3.16	aka go bino dhumin.”
GEN.3.17	“Rupiri iwinjo dwondi dhako perin,
GEN.3.17	t'icamo olemo ma yath
GEN.3.17	m'amiyin cik
GEN.3.17	ni ikir'icam kwoŋe,
GEN.3.17	akwoŋo lowo ro in.
GEN.3.17	I kwok perin ibino cemo i kwo perin je.
GEN.3.18	Lowo bino nywolo kudhin gi doy,
GEN.3.18	aka ibino camo ranyak madudi.
GEN.3.19	I kwok perin
GEN.3.19	ibino camo mugat cuka inogiki i lowo; rupiri ocweyin wok i lowo, aka doko ibino lokere lowo.”
GEN.3.20	Adam ocwoko nyingi dhako pere ni Eva rupiri go obedo yok ji je. 
GEN.3.21	Aka Rwoth Were okwoyo ri Adam gi cege nangin wok kwoŋ pien ogwaŋ to ruko jo.
GEN.3.23	Riameno Rwoth Were oriemo go wok i ndelo Eden to miyo go furo lowo m'ocwey gine go. 
GEN.3.24	Were oriemo woko jacwo, aka yuwok ceŋ ma ndelo oketho cwec ma jobwombi gin m'ilwoŋo ni kerubim, kodi abor maliel mac m'oŋiyo kisi thenge. Me ma geŋo nyatoro moro je kwoŋ corok cegin gi yath ma miyo kwo.
GEN.4.1	Onyo Adam obedo gi cege Eva aka ogamo iye to nywolo Kayin ka waco ama: “Gi kony pa Rwoth alimo wodan.” 
GEN.4.2	Eva doko onywolo wode man, Abel. Abel oyido obedo jakwath rombo, aka Kayin obedo jafur. 
GEN.4.3	Rumacen ma hongo moro Kayin okelo olemo pere paka mic ri Rwoth, 
GEN.4.4	aka Abel okelo nyathi rombo makayo, acel kwoŋ rombo pere to thumo, aka omiyo adec mabeyo paka mic. Rwoth ojolo mic pa Abel, 
GEN.4.5	aka okwero mic pa Kayin. Ameno Kayin nge omako swa, to coko nyime. 
GEN.4.6	Rwoth owaco ri Kayin ni, “Raŋo nge omakin? Raŋo icoko nyimin? 
GEN.4.7	Kabedi oyido itimo gim'otire, dinyo ibwonjo. To rupiri itimo gimarac, reco gwaro thigo perin mito dhumin; t'iripo dhumo.”
GEN.4.9	Kenyo Rwoth openjo Kayin ni, “Nikune Abel omin in?”
GEN.4.9	Kayin odwoko ni, “An akuya; abedo jakur p'omin an?”
GEN.4.11	Aka onyo akwoŋo rin lowo m'oyawo dhoke to madho remo p'omin in wok i cingin. 
GEN.4.12	K'inotem furo cemo, lowo kilanyak gimoro je; aka ilangoye gi peco aka ilabedo jawoth kicar.”
GEN.4.13	Kayin owaco ri Rwoth ni, “Gir'acula paran pek swa ran ciro. 
GEN.4.14	Neni, konon me irieman woko i lowo kodi wok ruwaŋin. Abino bedo jawoth kicar i piny aka kisi nyatoro m'orom kodan je bino nekan.”
GEN.4.15	Kenyo Rwoth owaco rigo ni, “K'ameno! Ka nyatoro moro je onekin, abino culo kwoŋe kwor dibirio.” Aka Rwoth oketho ranyuth kwoŋ Kayin ma gwoko kisi ŋat'oromo gi go wokiri woneki go. 
GEN.4.16	Aka Kayin oeye woko ruwaŋ Rwoth to bedo i lowo m'ilwoŋo ni Nod yuwok ceŋ ma Eden.
GEN.4.17	Kayin obedo gi cege, aka ogamo iye to nywolo wode to cwoko nyinge ni Enoka; aka Kayin ogeto tindi madwoŋ to cwoko gi nyingi wode Enoka. 
GEN.4.18	Enoka olimo wode m'ilwoŋo ni Irad; m'oyido ba Mehuyael. Mehuyael obedo ba Methusael, aka Methusael oyido ba Lamek. 
GEN.4.19	Lamek oyido nitie gi mon ario, Ada kodi Zila. 
GEN.4.20	Ada onywolo Yabal m'obedo kwari ji ma jokwayo dhok aka jobedo i wema. 
GEN.4.21	Nyingi omin Yabal oyido Yabul m'obedo kwari jower ma jogoyo tongol gi madundo. 
GEN.4.22	Zila onywolo Tubal Kayin m'ocwogo gigipiny wok kwoŋ cumin. Nyamin Tubal Kayin oyido ilwoŋo ni Nama.
GEN.4.23	Lamek owaco ri mon pere ni
GEN.4.23	“Ada gi Zila, winjan win: Atieko neko jayac rupiri ogoyan.
GEN.4.24	K'inen kwo abirio ama culo kwor ri nyatoro m'oneki Kayin,
GEN.4.24	Kwo piero abirio g'abirio ama bino culo kwor ka nyatoro onekan.”
GEN.4.25	Adam obedo gi cege kendo, to Eva nywolo wode to waco ni, “Were omiyan wodan ma culo waŋ Abel ma Kayin oneko.” Ameno ocwoko nyinge ni Seth.
GEN.4.26	Seth bende olimo wode to cwoko nyinge ni Enos. I hongo no ama ji jocako lwoŋo nyingi Rwoth maleŋ i lamo.
GEN.5.2	Ocweyo jo ma cwo gi mon aka ocwoko jo ni ji). 
GEN.5.3	Munyo Adam jaoro 130 onywol rigo wode ma cale go, aka ocwoko nyinge ni Seth. 
GEN.5.4	Rumacen Adam okwo doko ma oro 800. Olimo nyithindho man 
GEN.5.5	aka otho munyo jaoro 930.
GEN.5.6	Munyo Seth jaoro 105 onywol rigo wode Enos. 
GEN.5.7	Seth okwo doko ma oro 807. Olimo nyithindho man 
GEN.5.8	aka otho munyo jaoro 912.
GEN.5.9	Munyo Enos jaoro piero abuŋwen, onywol rigo wode Kenan. 
GEN.5.10	Enos okwo doko ma oro 815. Olimo nyithindho man 
GEN.5.11	aka otho munyo jaoro 905.
GEN.5.12	Munyo Enos jaoro piero abirio, onywol rigo wode Mahalalel. 
GEN.5.13	Kenan okwo doko ma oro 840. Olimo nyithindho man, 
GEN.5.14	aka otho munyo jaoro 910.
GEN.5.15	Munyo Mahalalel jaoro piero aucel g'abic, onywol rigo wode Yared. 
GEN.5.16	Mahalalel doko okwo ma oro 830. Olimo nyithindho man 
GEN.5.17	aka otho munyo jaoro 895.
GEN.5.18	Munyo Yared jaoro 162 onywol rigo wode Enoka. 
GEN.5.19	Yared doko okwo ma oro 800. Olimo nyithindho man 
GEN.5.20	aka otho munyo jaoro 962.
GEN.5.21	Munyo Enoka jaoro piero aucel g'abic, onywol rigo wode Methusela. 
GEN.5.22	Enoka obedo iy'acel gi Were ma oro 300 aka olimo nyithindho man 
GEN.5.23	Go otundo oro 365 
GEN.5.24	aka owotho gi Were to rwenyo, rupiri Were otero go.
GEN.5.25	Munyo Methusela jaoro 187 onywol rigo wode Lamek. 
GEN.5.26	Methusela okwo doko ma oro 782. Olimo nyithindho man 
GEN.5.27	aka otho munyo jaoro 969.
GEN.5.28	Munyo Lamek jaoro 182 onywol rigo wode 
GEN.5.29	aka owaco ni, “Wok i lowo ma Rwoth okwoŋo, nyathi me bino kelo riwan gonyirok wok kwoŋ tic mawan matek.” Ameno ocwoko nyinge ni Nowa.
GEN.5.30	Lamek okwo doko ma oro 595. Olimo nyithindho man 
GEN.5.31	aka otho munyo jaoro 777.
GEN.5.32	Rumacen munyo Nowa jaoro 500 onywol rigo wote adek, Semu, Ham kodi Yafeth.
GEN.6.2	aka cwec moro ma polo joneno ni nyir pa ji oyido joŋon, ameno jonywomo paka joyero. 
GEN.6.3	Kenyo Rwoth owaco ni, “Akibino yeyo ji kwo cil gi cil, rupiri jobedo del, to wok pama jokilakwo ma kalo oro miya acel gi piero ario.” 
GEN.6.4	I ndir no, kodi kiri rumacen, oyido nitie ji m'ogaŋere i piny m'oyido jobedo nyithindho ma cwec ma i polo jonywolo gi nyir pa ji. Oyido jomeni, aka joŋeyere.
GEN.6.6	Aka Rwoth owinjo gi rem ni oyido ocweyo ji to ketho jo i piny, aka oramo cunye. 
GEN.6.7	Ameno Rwoth owaco ni, “Abino reyo woko ji m'acweyo wok i piny, kodi ogwaŋe gi winyin, rupiri arem ni acweyo jo.” 
GEN.6.8	To Rwoth oyido winjo maber gi Nowa.
GEN.6.10	Go oyido nitie gi wote adek; Semu, Ham kodi Yafeth. 
GEN.6.11	To ji m'odoŋ je oyido joreco ruwaŋ Were, aka akaka oyido nitie kisi kamoro. 
GEN.6.12	Were oneno piny, aka neni, oyido opoŋ reco rupiri ji je oyido jonigi kwo mareco.
GEN.6.13	Aka Were owaco ri Nowa ni, “Atieko miyere reyo woko gima kwo je. Abino reyo woko jo kicutho rupiri piny opoŋ tim pajo mar'akaka. 
GEN.6.14	Geti ye perin wok kwoŋ mbawo maber; keth'iye kisikin to ifuy'iye gi woko gi odok. 
GEN.6.15	Boro mere wobedi mita 133 laco mere mita piero ario g'ario, aka ŋawirok mere wobedi mita apar g'adek. 
GEN.6.16	Geti wi ye aka iwey hongo ma romo adec mita i dier wi ye gi kisi thenge; aka geti dier ot adek t'iketho dhiot i iye gi thenge. 
GEN.6.17	Akidho dhiro mikula ma pi i piny to reyo woko kisi gima kwo. Kisi gimoro i piny bino tho, 
GEN.6.18	t'abino timo cikirok kodin. Donji i ye gi dhako perin, wotin kodi mon pajo. 
GEN.6.19	Rwaki kisi gima kwo jario i ye ŋey jowokwo; jowobedi ma jacwo gi madhako. 
GEN.6.20	Kisi nger winyo, kisi nger ogwaŋe, kisi nger gima mol i lowo, jario jodonji kodin ŋey ikuri jo makwo. 
GEN.6.21	Bende ter kisi nger cemo riwin kodi jo.” 
GEN.6.22	Nowa otimo paka Were omiyo go or.
GEN.7.1	Kenyo Rwoth owaco ri Nowa ni, “Donji i ye gi peco perin je. Atieko nwaŋo ni in kende am'otire i luse me. 
GEN.7.2	Kwany kisi nger ogwaŋe m'olony ma cwo abirio gi ma mon abirio, to makoc, nyaka jario; ma jacwo gi madhako. 
GEN.7.3	Kwany kisi nger winyo ma cwo abirio gi ma mon abirio. Tim ameno ŋey kisi nger ogwaŋ gi winyo wobedi makwo to doko jonywol i piny. 
GEN.7.4	Rupiri i ndelo abirio wok pama akidho dhiro koth ma lacwe ma odieceŋ piero aŋwen gi wor; ŋey worey woko kisi gima kwo m'acweyo.” 
GEN.7.5	Aka Nowa otimo kisi gima Rwoth omiyo go or ni wotim.
GEN.7.6	Nowa oyido jaoro 600 munyo pi mikula obino i piny. 
GEN.7.7	Aka go gi cege, gi wote kodi mon pajo jodonjo i ye both pi mikula. 
GEN.7.8	Kisi nger ogwaŋe m'olony gi makoc, ma jacwo gi madhako 
GEN.7.9	odonjo i ye gi Nowa paka Were oyido omiyo Nowa or. 
GEN.7.10	Aka rumacen ma ndelo abirio pi mikula obino i piny.
GEN.7.11	Munyo Nowa jaoro 600 k'apar g'abirio i dwe mar'ario, i ndelo no waŋ pi je ma piny omwomere, aka waŋ pi ma pondeponde je oyaw. 
GEN.7.12	Koth ocwe i piny ma odieceŋ piero aŋwen gi wor. 
GEN.7.13	I ndelo no won Nowa gi cege kodi wote adek, Semu, Ham, kodi Yafeth gi mon pajo jodonjo i ye. 
GEN.7.14	Gi jo okadho kisi nger ogwaŋe ma peco gi madudi, mathindho gi madongo, kodi kisi nger winyo. 
GEN.7.15	Ma jacwo gi madhako ma kisi nger gima kwo i ye gi Nowa 
GEN.7.16	paka Were oyido omiyo go or. Kenyo Rwoth ocego thigo yuŋey Nowa.
GEN.7.17	Mikula pi omedere i piny ma ndelo piero aŋwen, aka pi olokere maluth ma romo ye mol. 
GEN.7.18	Pi olokere maluth aka ye omol i wiye. 
GEN.7.19	Olokere maluth swa to umo kiri gote maboyo loyo; 
GEN.7.20	omedere ay cuka otundo mita abirio kalo wi gote. 
GEN.7.21	Kisi gima nitie gi kwo i piny otho; kisi winyo, kisi ogwaŋe, gi kisi nyatoro. 
GEN.7.22	Kisi gima ywe i piny otho 
GEN.7.23	Rwoth oreyo woko kisi gima kwo i piny; ji, ogwaŋe, kodi winyin. Nyaka ma jodoŋ obedo Nowa kodi jom'oyido nitie gi go i ye. 
GEN.7.24	Aka pi obedo i piny ma ndelo 150.
GEN.8.1	To Were poyo Nowa kodi ogwaŋe m'oyido nitie gi go i ye. Aka Were omiyo koyo to kudho i piny to pi cwiyo 
GEN.8.2	Waŋ pi ma piny gi pondeponde ocegi, aka koth ocoki 
GEN.8.3	to pi cwiyo moth ma ndelo 150. 
GEN.8.4	I ndelo mar'abirio ma dwe mar'abirio ye ocungo wi got Ararat. 
GEN.8.5	Pi omedere cwiyo tundo i dwe mar'apar. I ndelo marapena ma dwe mar'apar kisul gote oneno.
GEN.8.6	Rumacen ma ndelo piero aŋwen Nowa oyawo dirisa 
GEN.8.7	aka odhiro agak woko. Agak k'ogiki, to omedere kiwaya thoko cuka pi othwo wok i piny. 
GEN.8.8	Kenyo Nowa odhiro akuru neno ka pi ocwiyo, 
GEN.8.9	to paka akuru k'onwaŋo kapie, ogik bonge i ye rupiri oyido fodi pi k'ocwiyo. Ameno Nowa otelo cinge to rwako go i ye. 
GEN.8.10	Nowa okuro ma ndelo abirio to kendo dhiro akuru. 
GEN.8.11	Akuru ogik bonge othieno gi boke yath manumu ma yath m'ilwoŋo ni oliv. Ameno Nowa oŋeyo ni pi oyido ocwiyo piny.
GEN.8.12	Kenyo Nowa doko okuro ndelo abirio to doko dhiro akuru; akuru rume k'odwoko.
GEN.8.13	Munyo Nowa jaoro 601 i ndelo marapena ma dwe marapena pi oyido othwo woko. Nowa ohalo woko gim'oumo ye to ŋiyo, aka neni wi lowo oyido othwo. 
GEN.8.14	Ka ndelo piero ario g'abirio ma dwe mar'ario piny oyido othwo.
GEN.8.15	Kenyo Were owaco ri Nowa ni, 
GEN.8.16	“Wok woko i ye gi dhako perin, wotin kodi mon pajo. 
GEN.8.17	Wok gi winyin kodi ogwaŋe ŋey jowonywol joywore i piny.” 
GEN.8.18	Ameno Nowa owok i ye gi cege kodi wote kodi mon pajo. 
GEN.8.19	Ogwaŋe je kodi winyin jowok i ye i kitipin ma nger pajo.
GEN.8.20	Kenyo Nowa ogeto ri Rwoth migam aka okwanyo acel kwoŋ kisi ogwaŋ gi winyo m'olony to waŋo je paka cowirok i wi migam. 
GEN.8.21	Kur ma cowirok osangala Rwoth to waco i cunye ni, “Doko akibino kwoŋo piny kwoŋbedo ji, rupiri wok i thino pajo paro pajo reco. Doko akibino reyo kisi cwec makwo paka atimo. 
GEN.8.22	Paka piny nitie, bino bedo ndir ma cwoyo gi ndir ma keco, ndir ma ŋico gi lietho, ndir ma ceŋ gi koth, odieceŋ gi wor.”
GEN.9.2	Ogwaŋe je gi winyin kodi rec jowobedi gi lworo riwin. Aketho joje i cingi win. 
GEN.9.3	Kisi gima wotho makwo bino bedo cemo riwin, kodi yen manyaboke pendi. Amiyo win joje paka cemo. 
GEN.9.4	Kwanyowoko, gimoro acel ma wikiripi timo, acamo riŋo manitie remo; akwero rupiri kwo nitie i remo. 
GEN.9.5	Ka nyatoro okwanyo kwo, ibino miyo go gir'acula. Abino miyo gir'acula ma tho ri ogwaŋ ma kwanyo kwo pa nyatoro. 
GEN.9.6	Ji ocwey jo i cal pa Were, riameno ŋata neko acel kwoŋ jo bende ŋatiman bino neko go.”
GEN.9.8	Kenyo Were owaco ri Nowa kodi wote ni, 
GEN.9.9	“Neni, atimo cikirok gi win kodi nyikway win, 
GEN.9.10	kodi kisi gima kwo; winyin je kodi ogwaŋe, kodi kisi gim'owoki i ye gi win. 
GEN.9.11	Atimo cikirok paran gi win ni doko akibino reyo gigipiny makwo gi mikula, aka doko mikula kilareyo piny. 
GEN.9.12	Paka ranyuth ma cikirok ma cil gi cil ma timo gi win me, kodi gima kwo je; 
GEN.9.13	Aketho lifudo i pondeponde. Meno bino bedo ranyuth ma cikirok paran gi piny gibe. 
GEN.9.14	Kisi k'akelo pondeponde i wi piny to lifudo neno i pondeponde, 
GEN.9.15	Abino poyo cikirok paran manitie i dier an gi win kodi kisi gima kwo je nike mikula doko kilareyo woko kisi gima nitie gi kwo. 
GEN.9.16	Ka lifudo oneno i pondeponde, Abino ŋiyo t'apoyo cikirok paran ma cil gi cil i dier an gi kisi gima kwo je i piny. 
GEN.9.17	Me ranyuth ma cikirok m'atimo i dier an kodi gima kwo je manitie i piny.”
GEN.9.18	Wot Nowa ma jowok i ye jobedo Semu, Ham, kodi Yafeth. (Ham oyido obedo ba Kanan). 
GEN.9.19	Wot Nowa me ama jobedo kwari ji je ma piny.
GEN.9.20	Nowa am'obedo jafur marapena. Go opidho ndelo vini 
GEN.9.21	aka omadho vini to mer, aka oriere i wema pere kinyoro. 
GEN.9.22	Munyo Ham ba Kanan oneno kinyoro pa bamere, okidho to waco ri wutmin go ario. 
GEN.9.23	Kenyo Semu kodi Yafeth jokidho jokwanyo nanga, joketho i goki jo aka jowotho aŋey to joumo kinyoro pa bajo. Oyido jowiro waŋ gin aka jok'oneno kinyoro pa bajo. 
GEN.9.24	Munyo Nowa ocew ma milengela to ŋeyo gima wode mathin otimo rigo, 
GEN.9.25	owaco ni,
GEN.9.25	“Akwoŋo Kanan!
GEN.9.25	Go bino bedo ŋeca pa wutmin go.
GEN.9.26	Abino miyo Semu silwany gi Rwoth, Were paran!
GEN.9.26	Kanan bino bedo ŋeca pa Semu.
GEN.9.27	Weyi Were womiy Yafeth nyay!
GEN.9.27	Weyi nyikwaye jowobedi gi ji pa Semu!
GEN.9.27	Aka Kanan bino bedo ŋeca pa Yafeth.”
GEN.9.28	Rumacen ma mikula, Nowa okwo ma oro 350 
GEN.9.29	aka otho munyo jaoro 950.
GEN.10.1	Me nyikway wot Nowa. Jadek jolimo wot jo rumacen ma pi mikula.
GEN.10.2	Wot Yafeth oyido; Goma, Magog, Maday, Yavan, Tubal, Mesek, kodi Tiras. 
GEN.10.3	Wot Goma oyido; Asikenaz, Rifath kodi Togarma. 
GEN.10.4	Wot Yavan oyido; Elisa, Tarsis, Kitim, kodi Dodanim. 
GEN.10.5	Jo jobedo kwari ji ma jobedo i thengi pi kodi i kigoda. Me nyikway Yafeth, jobedo ji ma nono pajo opokere gi piny pajo, aka joluwo dhodhok m'opokere.
GEN.10.6	Wot Ham oyido; Ethopiya, Misir, Libia, kodi Kanan. 
GEN.10.7	Wot Ethopiya oyido; Seba, Havila, Sabita, Rama, kodi Sabiteka. Wot Rama oyido; Seba kodi Dedan. 
GEN.10.8	Ethopiya oyido ba Nimrod m'obedo jadwar matek marapena i piny. 
GEN.10.9	Gi kony pa Rwoth go oyido obedo jadwar madwoŋ, aka am'omiyo ji jowaco ni, “Weyi Rwoth wolokin jadwar madwoŋ paka Nimrod!” 
GEN.10.10	Cakirok ma ker pere oyido obedo Babel, Erek, kodi Akad, joje i lowo ma Sinar (Babilon). 
GEN.10.11	Wok i lowo no okidho Asiria aka ogeto tindi madongo Ninivi, Rehoboth Ir, Kala, 
GEN.10.12	kodi Resen manitie i dier Ninivi kodi tindi madwoŋ swa Kala.
GEN.10.13	Misir obedo ba Ludim, Anamim, Lehab, Nafituhim, 
GEN.10.14	Pathirusim, Kasluhim ma Jofilistia jowok, kodi Kafitorim.
GEN.10.15	Wot Kanan oyido; Sidon okayo pere kodi Heth, 
GEN.10.16	Joyebus, Joamor, jo Girigac, 
GEN.10.17	Johivi, Joarikit, Josinit, 
GEN.10.18	Joarivad, Jozerama, kodi Johamath. Rumacen nonin ma Kanan m'opokere joywere woko 
GEN.10.19	cuka adec pajo otundo wok Sidon yupiny Gerar cegin gi Gaza, kodi yuwok ceŋ kidho Sodom, Gomora, Adama, kodi Zeboyim cegin gi Lasa. 
GEN.10.20	Me wot Ham gi pecin pajo, dhodhok pajo, lowo pajo, kodi piny pajo.
GEN.10.21	Semu omin Yafeth makayo ma bende ba nyithindho pa Eber, onywol rigo nyithindho man. 
GEN.10.22	Wot Semu oyido; Elam, Asur, Aripakisadi, Lud, kodi Aram. 
GEN.10.23	Wot Aram oyido; Uz, Hul, Gether, kodi Masi. 
