MAT.1.1	In se tocayomej de itajhuehuentzitzihuan Jesucristo yejhuan teicniu itech David niman Abraham. 
MAT.2.14	Yejhua ica José onoquetzteu sa no ipan on tlayohua, niman oquejcuanij on conetzintli ihuan inanaj, niman ocajsiquej on ojtli para oyajquej ne Egipto. 
MAT.2.15	Ompa onenquej hasta ijcuac omic Herodes. Yejhua in onochiu para otenquis on tlen oquijtojca on toTeco itechcopa on tiotlajtojquetl. Yejhua oquijtoj: “Onicnotz noconeu para ma quisa ne Egipto.”
MAT.2.16	Ijcuac Herodes oquimat ica on magos yej oquelcahuijquej, sanoyej ocualan, niman oquinnahuatij isoldados para ma quinmictican nochi on oquichcoconej de ome xipan para tlatzintlan yejhuan chantiyaj ne Belén niman iyehualican. Yejhua san ipan nohuicaya on tonajli yejhuan on magos oquijlijquej. 
MAT.2.17	Ijcuac nochi on coconej yomiquej, onochiu on tlen onijtoj itechcopa on tiotlajtojquetl Jeremías ijcuac oquijcuiloj:
MAT.2.18	Ocaquistic se ajmancatzajtzilistli ne ipan on pueblo itoca Ramá. Oncatca choquistli niman hueyi nejeltilistli, pampa Raquel chocaya impampa iconehuan. Yejhua xoquinec onoyoltlalij, pampa nochi iconehuan omiquej.
MAT.2.19	Pero más saquin
MAT.2.20	―Xmoquetztehua, niman xmocuepa ihuan on conetzintli niman inan ne ipan on mopaís Israel, pampa on yejhuan quinequiya quimictis on conetzintli aman yomic.
MAT.2.21	Quemaj José onoquetzteu niman ocuicac on conetzintli ihuan inan ne Israel. 
MAT.2.22	Pero ijcuac José oquimat ica Arquelao tequihuajtiticaj ne Judea campa tequihuaj catca Herodes on itaj, onomojtij ompa chantis. Quemaj Dios oquinahuatij ipan se temictli ma huiya ne Galilea, niman yejhua ompa oyaj. 
MAT.2.23	Ijcuac ompa oajsiquej, ochantitoj ne ipan on pueblo itoca Nazaret. Yejhua in onochiu san para otenquis on tlen oquijtojca on tiotlajtojquetl ijcuac oquijcuiloj ica Jesús quitocayotisquej nazareno.
MAT.3.1	Ipan on tonaltin, Juan on yejhuan tlacuatequijquetl ohuajlaj ipan itlapatlaco Judea, niman oquinmachtij on tlacamej yejhuan itech ohualajquej. 
MAT.3.2	Quijtohuaya:
MAT.3.2	―Xcajcahuacan ica nenquichihuaj on tlen xcuajli, pampa ye huajlau on tonaltin ijcuac Dios tlamandaros nican quen tlamandarohua ne ilhuicac.
MAT.3.3	On tiotlajtojquetl Isaías otlajcuiloj itech ica Juan ijcuac ijquin oquijcuiloj:
MAT.3.3	Yacaj nemi ne campa tlapatlaco niman ijqui tzajtzi: Xyectlalican nemoyojlo pampa ye huajlau toTeco. Xmejmelahuacan nemonemilis ijcon quen on tlacamej cueltlaliaj niman quimejmelahuaj se ojtli ijcuac huajlau se tlacatl yejhuan hueyixticaj.
MAT.3.4	Juan notlaquentiaya ican tlaquentli yejhuan tlachijchiutli ican itojmiyo on camello, niman quitlaliaya ilpicatl tlachijchiutli ican cuetlaxtli. Yejhua quincuaya on yolcatzitzintin yejhuan quen chapolimej, niman no coniya on cojnecutli. 
MAT.3.5	Huajlayaj cuajcaquiyaj nochimej on chanejquej ipan on hueyican itoca Jerusalén, niman on yejhuan nochihuiyan chantiyaj ne Judea, niman ne nisiu itech on atentli itoca Jordán. 
MAT.3.6	Yejhuamej noyolcuitijtiayaj ican intlajtlacolhuan, niman Juan quincuatequiaya ipan on atentli itoca Jordán.
MAT.3.7	Pero ijcuac Juan oquitac ica miyequej fariseos niman saduceos huajlayaj para nocuatequisquej, oquimijlij:
MAT.3.7	―Nemejhuamej yejhuan nenquichihuaj on xcuajli quen nencohuamej, ¿aquinon omechmachiltij para xmomanahuican itech on temojtij castigo yejhuan huajlau? 
MAT.3.8	Cuajli xmohuicacan para cuajli nenquiteititisquej ica melahuac yonencajcaquej nenquichihuaj on tlen xcuajli. 
MAT.3.9	Niman ma ca xnemilican tla xitlaj
MAT.3.10	Nemejhuamej nemijcomej quen on cojtin
MAT.3.11	Melahuac nejhua nemechcuatequiya ican atl para noteititia ica yonencajcaquej nenquichihuaj on tlen xcuajli, pero yejhua on yejhuan nechajtoca quipia más poder xquen nejhua, niman nejhua xnechmelahua
MAT.3.12	Dios ye nemi listo para nochimej quintlaxtlahuilis. Yejhua ye ipan ima quipia on iaventador para yejhua ica cajcahuis on trigo niman quixelos itech on itlajsojlo. Quejehuas on trigo ipan on cuescontli, pero on itlajsojlo quitlatis ipan on tlitl yejhuan xqueman sehuis.
MAT.3.13	Ipan on tonaltin Jesús oquis ne Galilea niman ohuajlaj itech on atentli Jordán para Juan ocuatequij. 
MAT.3.14	Pero Juan xquinequiya cuatequis Jesús, niman oquijlij:
MAT.3.14	―Nejhua nechtocarohua tinechcuatequis, ¿niman yej tejhua notech tihuajlau para ma nimitzcuatequi?
MAT.3.15	Pero Jesús oquijlij:
MAT.3.15	―Xcahua para aman ma ijqui nochihua, pampa ijqui nonequi ticchihuasquej nochi tlen Dios tlanahuatia.
MAT.3.15	Ijcuacon Juan ijqui oquichiu. 
MAT.3.16	Quemaj ijcuac Jesús yonocuatequij, oquis itech on atl. Niman nimantzin on ilhuicac otlapou, niman yejhua oquitac iEspíritu Dios huajtemohuaya quen itlaj paloma ipan. 
MAT.3.17	Quemaj ocaquistic se tlajtojli ne ilhuicac yejhuan oquijtoj:
MAT.3.17	―Yejhua in yejhua notlajsojcaConetzin yejhuan itech nipacticaj.
MAT.4.1	Quemaj on Espíritu Santo ocuicac Jesús campa tlapatlaco, para on diablo ompa ma quitlatlata Jesús. 
MAT.4.2	Yejhua xotlacuaj ompoajli
MAT.4.3	Quemaj on diablo oquinisihuij Jesús, niman oquijlij:
MAT.4.3	―Tla tejhua tiiConeu Dios, xquinnahuati in temej ma nochihuacan tlaxcaltin.
MAT.4.4	Pero Jesús oquijlij:
MAT.4.4	―In Yectlajcuilojli quijtohua: “Xsan ican tlaxcajli huelis nemis on tlacatl, yej no ican nochi tlajtojli yejhuan Dios quijtohua.”
MAT.4.5	Quemaj on diablo ocuicac ipan on yejyejticaj hueyican Jerusalén, niman oquitlejcoltij ne campa más tlacpac ipan on hueyi tiopan, 
MAT.4.6	niman oquijlij:
MAT.4.6	―Tla melahuac tejhua tiiConeu Dios, xonmotlajcali ne tlatzintlan, pampa ipan on Yectlajcuilojli quijtohua:
MAT.4.6	Dios quinnahuatis on iilhuicactequitcahuan
MAT.4.7	Jesús oquijlij:
MAT.4.7	―No quijtohua on Yectlajcuilojli: “Ma ca xtlatlata moTeco Dios.”
MAT.4.8	Quemaj on diablo ocuicac ipan se tepetl yejhuan sanoyej hueyi. Ompa oquititij nochi países yejhuan oncaj ipan in tlalticpactli niman on hueyilistli yejhuan impan oncaj. 
MAT.4.9	Quemaj on diablo oquijlij:
MAT.4.9	―Nochi yejhua in nimitzmacas tla tejhua timotlacuenquetzas niman tinechmahuistilis.
MAT.4.10	Ijcuacon Jesús oquijlij:
MAT.4.10	―Xhuiya, Satanás, pampa ipan on Yectlajcuilojli quijtohua: “Xmahuistili moTeco Dios, niman san yejhua xtequipano.”
MAT.4.11	Quemaj on diablo oquitlalcahuij Jesús. Niman on ilhuicactequitquej ohualajquej itech Jesús niman oquipalehuijquej.
MAT.4.12	Ijcuac Jesús ocac ica Juan tzacuticaj, oyaj ne Galilea. 
MAT.4.13	Pero yejhua xonocau ne Nazaret, yej ochantito ne Capernaum. Capernaum yejhua se pueblo yejhuan oncatca ne itenco on mar itoca Galilea niman ipan inyehualican Zabulón niman Neftalí. 
MAT.4.14	Yejhua in onochiu para otenquis on tlen on tiotlajtojquetl Isaías oquijcuiloj. 
MAT.4.15+MAT.4.16	Yejhua oquijcuiloj:
MAT.4.15+MAT.4.16	On tlacamej nemiyaj ipan tlayehuajlotl ne Zabulón niman Neftalí, niman nisiu on ojtli itech on mar itoca Galilea, niman ne campaca iquisayan tonajli on atentli Jordán, niman se parte de Galilea campa chantij on yejhuan xhebreos. Pero aman yejhuamej quitasquej se hueyi tlahuijli. Yejhuamej ye miquisquia inalma, pero on tlahuijli oquinmacac tlanexyotl.
MAT.4.17	Desde ijcuac onocuep para Galilea Jesús opeu tenojnotza, niman quiteijliaya:
MAT.4.17	―Xcajcahuacan ica nenquichihuaj on tlen xcuajli, pampa ye huajlau ijcuac Dios tlamandaros nican quen tlamandarohua ne ilhuicac.
MAT.4.18	Se tonajli ijcuac nejnentiaya ne itenco on mar de Galilea, oquintac omemej icniutin. Se itoca catca Simón, yejhuan no itoca Pedro, niman on ocse Andrés. Yejhuamej conchapaniayaj inmatl ne ipan on atl pampa michajsiquej catcaj. 
MAT.4.19	Niman Jesús oquimijlij:
MAT.4.19	―Nemejhuamej nenquintejtemohuaj michimej. Pero aman xhuajhuiyan nohuan niman nenquintejtemosquej tlacamej para nenquinhuicasquej itech Dios.
MAT.4.20	Yejhuamej nimantzin ocajquej inmatl niman ihuan oyajquej.
MAT.4.21	Achijtzin más tlayecapan Jesús oquintac ocse omemej icniutin intoca catcaj Jacobo niman Juan. Yejhuamej iconehuan Zebedeo. Yejhuamej quitlamanilijticatcaj inmatl ipan se barco ihuan intaj. Jesús oquinnotz, 
MAT.4.22	niman yejhuamej nimantzin oquitlalcahuijquej on barco niman intaj, niman ihuan oyajquej.
MAT.4.23	Jesús quipaxalohuilijtiaya nochi Galilea, niman temachtijtiaya ipan on tiopantin. Yejhua quiteijlijtiaya on cuajli tlajtojli ica Dios nemi listo para quinmandaros nochi on yejhuan quinequisquej. Yejhua no quipajtijtiaya nochi tlajtlamach
MAT.4.24	Omachiyato itequiu ne imanyan Siria. Yejhua ica oquinhuajhuiquilijquej nochimej on yejhuan quijyohuijticatcaj nochi sesetlamantic cualolistin niman cocolistin, niman on yejhuan quipiayaj on xcuajcualtin espíritus, niman on yejhuan san sojsotlahuiyaj niman on yejhuan sepohuiyaj. Niman Jesús oquimpajtij. 
MAT.4.25	Niman quemaj oyaj ihuan miyec tlacatl yejhuan quisa ne Galilia, niman on yejhuan quisa ne Decápolis. Niman no oyaj ihuan miyec tlacatl yejhuan quisa ipan on hueyican itoca Jerusalén niman on yejhuan quisa imanyan Judea niman on yejhuan chantiyaj iquisayan tonajli de on atentli Jordán.
MAT.5.1	Ijcuac Jesús oquintac nochimej on tlacamej, otlejcoc ipan se tepetl niman ompa onotlalij. Quemaj on inomachtijcahuan ompa iyehualican onosentlalijquej, 
MAT.5.2	niman Jesús opeu ijquin quinmachtia:
MAT.5.3	―Dios quintiochihua on yejhuan quimatij ica quimpolohua cuajlilistli tlen hualehua itech Dios. Quintiochihua pampa nemisquej ne campa Dios yejhuan ilhuicac chanej tlamandarohua.
MAT.5.4	’Dios quintiochihua on yejhuan najmanaj pampa Dios yejhua quinyoltlalis.
MAT.5.5	’Dios quintiochihua on yejhuan yolyemanquej
MAT.5.6	’Dios quintiochihua on yejhuan ican nochi inyojlo capismiquij niman camiquij para quichihuasquej on tlen cuajli pampa Dios quimpalehuis para quichihuasquej.
MAT.5.7	’Dios quintiochihua on yejhuan quimpalehuiyaj ocsequimej ican teicnelilistli
MAT.5.8	’Dios quintiochihua on yejhuan yolchipajquej pampa yejhuamej quitasquej Dios.
MAT.5.9	’Dios quintiochihua on yejhuan quichihuaj canica para ma ca onyas tlahuejli ipan on tlacamej pampa Dios quintocayotis iconehuan.
MAT.5.10	’Dios quintiochihua on yejhuan quijyohuiyaj ijcuac quintlahuelitaj san pampa quichihuaj on tlen cuajli. Quintiochihua pampa nemisquej ne campa Dios yejhuan ilhuicac chanej tlamandarohua.
MAT.5.11	’Dios mechtiochihuas nemejhuamej ijcuac on tlacamej mechhuijhuicaltiaj, niman mechcojcocosquej, niman mechtenehuilisquej tlajtlamach
MAT.5.12	Ijcuac ijcon mechchihuilisquej, xpaquican niman xnemican ican pactli, pampa ne ilhuicac nenquiselisquej se hueyi tetlayocolijli. On tlacamej no ijqui oquintlahuelitaquej niman tlajtlamach ica oquintlajyohuiltijquej
MAT.5.13	’Nemejhuamej quen on istatl yejhuan on tlacamej ica quipoyeliaj on nacatl para ma ca ijtlacahuis. Dios quimpoyelia on tlalticpactlacamej nemotechcopa para ma ca ijtlacahuisquej ican tlajtlacojli. Niman nemejhuamej no nenquimatij ica tla on istatl quipolos on ipoyecyo, xhuelis ocsejpa quitequitiltisquej. On xoc itlaj ica tepalehuij, yej san para quixiniaj ne ipan ojtli niman nochi tlacatl ipan cholohua.
MAT.5.14	’Ipan in tlalticpactli on tlacamej mechitaj quen ijqui nemohuicaj. Yejhua ica nemejhuamej nennemij quen itlaj on tlahuijli yejhuan quintlahuilhuiya. Nochimej huelij quitaj se hueyican yejhuan oncaj icuapan se tepetl. 
MAT.5.15	Niman xacaj quitlicuiltia se lámpara niman quitlalia itzintlan se chiquiutli, yej quitlalia campa tlacpac para hueli quitlahuilhuiya nochi tlacatl yejhuan nemi calijtic. 
MAT.5.16	Nemejhuamej, tej, quen nenlámparas. Yejhua ica xchihuacan para nemotlahuil ma tlahuilo imixpan on tlacamej para ijqui quitasquej on tlen cuajli nenquichihuasquej, niman yejhua ica cueyilisquej nemoTajtzin yejhuan nemi ne ilhuicac.
MAT.5.17	’Ma ca xnemilican tla nejhua onihuajlaj para onicpopoloco on itlanahuatil Moisés niman itemachtilhuan on tiotlajtojquej. Nejhua onihuajlaj xpara onicpopoloco, yej para onictlacamatico niman para onicteititico nochi tlen quijtosnequi on tlanahuatijli. 
MAT.5.18	Ica tlen melahuac nemechijlia ica xnoquixtilis se letra nion se punto itlanahuatil Dios chica onyas on cielo
MAT.5.19	Yejhua ica, on yejhuan xquitlacamatis san catlejhua tlanahuatijli, masqui on tlanahuatijli yejhuan xmás hueyi quijtosnequi, niman quinmachtis ocsequimej para no ijqui ma quichihuacan, yejhua pitentzin yes ne campa Dios yejhuan ilhuicac chanej tlamandarohua. Pero on yejhuan quitlacamatis nochi on tlanahuatijli, niman quinmachtis ocsequimej para no ijqui ma quichihuacan, yejhua hueyi yes ne campa Dios tlamandarohua. 
MAT.5.20	Yejhua ica nemechijlia ica xnenhuelisquej nencalaquisquej ne campa Dios yejhuan ilhuicac chanej tlamandarohua tla xnenmohuicasquej más cuajli xquen on temachtijquej ican on tlanahuatijli niman on fariseos nohuicaj.
MAT.5.21	’Nemejhuamej onencaquej ica ye huejcahui Moisés otemachtij: “Ma ca titemictis. San aquinon yejhuan temictis ica oncaj onotelquetzas ixpan on tequihuaj, niman quitlajtlacolmacas.” 
MAT.5.22	Pero nejhua nemechijlia ica san aquinon yejhuan cualanis ihuan ocse, ica oncaj onotelquetzas ixpan on tequihuaj, niman quitlajtlacolmacas. Niman san aquinon yejhuan cuijhuicaltis ocse, ica oncaj onotelquetzas imixpan on tetlacanonotzquej. Niman san aquinon yejhuan quijlis ocse ica semi tonto, huelis yas ipan on tlitl yejhuan oncaj ne mictlan campa tetlajyohuiltiloyan.
MAT.5.23	’Ijcon, tej, tla ijcuac tictemaca mohuen ne tlaixpan
MAT.5.24	xcahua mohuen ne ipan on tlaixpan niman xhuiya itech on tlacatl. Achtopa ihuan xmoyoltlaliti, niman quemaj ocsejpa xhuiya ne itech on tlaixpan niman xtemaca mohuen.
MAT.5.25	’Tla yacaj mitzhuica ne juzgado para mitzteixpanhuis, nimantzin ihuan cuajli xmocahua ne ipan ojtli para ma ca mitztemacas ne itech on tequihuaj. Ijquin xchihua pampa tla mitztemacas itech on tequihuaj, on tequihuaj mitztemacas itech on policía niman mitzajsisquej. 
MAT.5.26	Ica tlen melahuac nimitzijlia ica ompa xtiquisas hasta tictlaxtlahuas on sa ica nochi motomin yejhuan mitzquixtilisquej.
MAT.5.27	’Nemejhuamej onencaquej ica onijtoj: “Ma ca xsihuapajpatlacan nion xtlacapajpatlacan.” 
MAT.5.28	Pero nejhua nemechijlia ica san aquinon yejhuan quitas se sihuatl ican xcuajli elehuilistli
MAT.5.29	’Aman, tej, tla yejhua on mixtololoj yejhuan ticpia moyecmacopa mitzchihuilia para titlajtlacohua, xquixti niman xtlajcali. Más cuajli ticpolos se parte de on motlalnacayo niman ma ca nochi motlalnacayo contlajcalisquej ne mictlan campa tetlajyohuiltiloyan. 
MAT.5.30	Niman tla yej moyecma mitzchihuilia para titlajtlacohua, xmotequili niman xtlajcali. Más cuajli ticpolos se parte de on motlalnacayo niman ma ca nochi motlalnacayo contlajcalisquej ne mictlan campa tetlajyohuiltiloyan.
MAT.5.31	’Nemejhuamej no nenquimatztoquej ica onijtoj: “San aquinon yejhuan noxotonis ihuan isihuau ica oncaj quimacas se amatlajcuilojli campa quijtos ica melahuac yocau.” 
MAT.5.32	Pero nejhua nemechijlia ica tla se tlacatl noxotonia ihuan isihuau, niman xpampa tla on sihuatl oquichiu on tlen xcuajli ihuan ocse tlacatl, sa no yejhua quichihua para on sihuatl ma tlacapajpatla tla nonamictia ocsejpa. Niman on yejhuan ihuan nonamictia on sihuatl, yejhuan tehuan yonoxotonij, no sihuapajpatla.
MAT.5.33	’Nemejhuamej no onencaquej ica ye huejcahui Moisés otemachtij: “Ma ca ijqui ticahuas on tlen ticprometerohua, yej xchihua on tlen ican tlajtolpalehuilistli ticprometerohua itech toTeco.” 
MAT.5.34	Pero nejhua nemechijlia: Ma ca itlaj ica xmotlajtolpalehuican. Ma ca xmotlajtolpalehuican ica on ilhuicac, pampa ompa nosehuijticaj Dios ican nochi tequihuajyotl. 
MAT.5.35	Nion ma ca xmotlajtolpalehuican ican in tlalticpactli, pampa Dios yejhua quimandarohua in tlalticpactli. Nion ma ca xmotlajtolpalehuican ican Jerusalén, pampa on yejhua ihueyican on tohueyi Rey. 
MAT.5.36	Nion ma ca xmotlajtolpalehuican ican nemotzontecon, pampa nion se nemotzon xhueli nencuepaj istac noso capotztic
MAT.5.37	Pero san xtlananquilican “quemaj” noso “ca”, pampa nochi tlen ocsequi nenquijtosquej hualehuas itech on diablo.
MAT.5.38	’Nemejhuamej onencacquej ica onijtoj: “Aquin quixtepatzahua se tlacatl, yejhua no quixtepatzahuasquej. Aquin quitlajcalilia itlan se tlacatl, yejhua no quitlajcalilisquej itlan.” 
MAT.5.39	Pero nejhua nemechijlia: Ma ca xcuepiltican on xcuajli tlacatl tlen yejhua mechchihuilia. Yej tla mitzmailia se lado ipan moxayac, no xmaca on ocse lado moxayac. 
MAT.5.40	Niman tla yacaj mitzteixpanhuiya niman quinequi mitzcuilis motlaquen, xcahuili no ma quitqui mogában. 
MAT.5.41	Tla yacaj mitzchihualtia tiquitquis se tlamamajli ipan se kilómetro, xquitqui ipan ome kilómetro. 
MAT.5.42	On yejhuan itlaj mitztlajtlanilis, xmaca. Niman on yejhuan itlaj mitztlanehuilisnequi, xtlanejti.
MAT.5.43	’No ijqui onencacquej ica onijtoj: “Xtlajsojtla
MAT.5.44	Pero nejhua nemechijlia: Xquintlajsojtlacan on nemotlahuelicnihuan. Xchihuacan on tlen cuajli intech on yejhuan mechtenehuiliaj on tlen xcuajli, niman xchihuacan on tlen cuajli intech on yejhuan mechtlahuelitaj. Xchihuacan oración para on yejhuan mechchihuiliaj on tlen xcuajli niman yejhuan mechtlahuelitaj miman tlajtlamach ica mechtlajyohuiltiaj. 
MAT.5.45	Ijcon xchihuacan para nesis ica nenteconehuan itech on nemoTajtzin ilhuicac chanej. Yejhua, tej, quichihua para on tonaltzintli ma quisa impan on yejhuan xcuajcualtin tlacamej niman yejhuan cuajcualtin. Niman no quichihua para quiahui impan on yolchipajquej niman yejhuan xyolchipajquej. 
MAT.5.46	Niman tla nemejhuamej nenquintlajsojtlaj san on yejhuan mechtlajsojtlaj, ¿tlin tetlayocolijli itech Dios nenquiselisquej yejhua ica on? Hasta on yejhuan tlacobrarojquej ipan impuestos ijqui quichihuaj. 
MAT.5.47	Niman tla nenquintlajpalohuaj san on yejhuan nemocnihuan, ¿tlinon más cuajli nenquichihuaj xquen on ocsequimej quichihuaj? Tej, hasta on yejhuan xquixmatij Dios ijqui quichihuaj. 
MAT.5.48	Nemejhuamej, tej, xmochihuacan cuajcualtin ican nochi tlajtlamach para nennemisquej quen nemoTajtzin ilhuicac chanej.
