MAT.1.1	Abraham Fapa, David Fapa, Jesuh Krih hringtu hna ṭialnâk cauk: 
MAT.4.8	Khuachia nih a sâng ngaimi tlângcung ah a kalpi ṭhân i hi vulei pennâk le a sunparnâk vialte kha a hmuhsak. 
MAT.4.9	Cun a sinah, “Bawk in naka biak ahcun, hi vialte hi kan pêk lai,” tiah a ti. 
MAT.4.10	Jesuh nih, “Satan, lo ko in tli! ‘Zeitintiah 
MAT.4.11	Cuhnuah khuachia nih Amah cu a kaltâk i zohhmanh, vancungmi kha ra in an zohkhenh. 
MAT.4.12	Johan kha thongah thlâk a si ti kha Jesuh nih a theih tikah, Galili ah a kal. 
MAT.4.13	Nazaret kha chuahtâk in Zebulun Naphtali peng rili kamah a ummi Kapernaum ah a phân i khua a sa. 
MAT.4.14	Cucu Profet Isaiah nih a rak chim chungmi, 
MAT.4.15	“Zebulun le Naphtali ram, rihli panhnâk lam, Jordan va ral i a ummi Galili Gentel hna; 
MAT.4.16	Muihnâk chung i a ummi hna nih a liannganmi ceunâk an hmuh i thihnâk thladem tang i a ummi hna sinah ceunâk a chuak cang” timi a tlin nâkhnga caah a si. 
MAT.4.17	Cu cân thawkin Jesuh nih, “I ngaihchih u, vanbawi pennâk cu a nai cang” tiah chim hram a thawk. 
MAT.4.18	Jesuh cu Galili rili pawng i â chawh lio ah, unau pahnih Simon Peter timi le a nau Andria sur an vorh lio kha a hmuh hna; annih cu ngatlaitu an si. 
MAT.4.19	Cuticun an sinah, “Ka zul u law ngatlaitu in minung tlaitu ah kan ser hna lai,” tiah a ti. 
MAT.4.20	An sur kha kaltak in an zulh cawlh. 
MAT.4.21	Cuka cun a kal i unau dang pahnih, Zededi fapa Jeim le Johan anpa Zebedi he tilawng chung i sur an thlawp lio kha a hmuh hna i annih zong a kawh hna, 
MAT.4.22	an tilawng le anpa kha hmakhat teah kaltâk in an zulh. 
MAT.4.23	Jesuh nih an sinagog ah cawnpiak in pennâk thawngṭha kha chim in, zawtnâk le fahnâk phunkip chungin mizapi kha damter in Galili ram vialte kha a ṭol. 
MAT.4.24	Cuticun a thawngpang cu Siria ram vialte ah a thang; zawtnâk le fahnâk phunkip a tuarmi kha an ratpi hna, cheukhat cu khuachia tuahmi, mitlu le mizeng an si i arak damter dih hna. 
MAT.4.25	Galili ram, Dekapoli, Jerusalem, Judia ram le Jordan tiva ral tiangin mibu tampi an ra i Amah kha an zulh.
MAT.5.1	Mibu kha a hmuh tikah tlâng cungah a kai i a ṭhut hnu ah zultu kha a sinah an ra. 
MAT.5.2	Akâ pau in hitihin a cawnpiak hna: 
MAT.5.3	“Thlarau in sifakmi cu mithluachuak an si, zeitintiah vanbawi pennâk cu anmah ta a si. 
MAT.5.4	Ngaihchiami cu mithluachuak an si, zeitintiah hnangam tein an um te lai. 
MAT.5.5	Lungnêmmi cu mithluachuak an si, zeitintiah vulei ro an co te lai. 
MAT.5.6	Dinnâk i rawlṭâm tihalmi cu mithluachuak an si, zeitintiah khim tein an um te lai. 
MAT.5.7	Zângfahnâk a ngeimi cu mithluachuak an si, zeitintiah zângfah an si ve te lai. 
MAT.5.8	Lungthin a thiangmi cu mithluachuak an si, zeitintiah Pathian an hmuh te lai. 
MAT.5.9	Daihnâk sertu cu mithluachuak an si, zeitintiah Pathian fa tiah kawh an si te lai. 
MAT.5.10	Dinnâk ruang i serhsatmi cu mithluachuak an si, zeitintiah vanbawi pennâk cu anmah ta a si. 
MAT.5.11	Keimah ruang i lih le thilṭha lo phunkip an in puh hna i serhsat le sikvelh nan tuar tikah mithluachuak nan si te lai. 
MAT.5.12	I lawm u law, i nuam tak tak ko u, zeitintiah vanah a nganmi nan ṭuanman a um, zeitintiah nanmah hlan i profet hna zong cubantukin an rak serhsat cang hna. 
MAT.5.13	“Vulei cite nan si; asinain cite hi a alnâk a loh ahcun, zeitindah alter a si khawh ti lai? Hlawnh i lamh ding sawhsawh dah tilo san a tlai ti lo. 
MAT.5.14	“Vawlei ceunâk nan si. Tlângcung tlakmi khua cu thuhkhawh a si lo. 
MAT.5.15	Minih mei-in vângin kho in an khuh bal lo, innchung i a ummi vialte a ceuh hna nâkhnga a chiahnâk ah an chiah tawn. 
MAT.5.16	Cubangin nan ceunâk cu mi hmaiah ceu seh law nan tuahmi ṭhatnâk kha an hmuh lai i van i a ummi nan Pa kha an thangṭhat lai. 
MAT.5.17	“Nawlbia siseh, profet bia siseh hrawh awkah ara tiah ka ruat hlah u. Hrawh awkah si loin tlinter awkah ka ra. 
MAT.5.18	Zeitintiah biataktein kan chimh hna, lei le van an rawh hlan pauh cu Nawlbia chung i a deh hmete le a rin hmete zong an rawk lai lo. A dihlak i a tlinhlan pauh cu an rawk lai lo. 
MAT.5.19	Cucaah hi Nawlpêkmi lak i a hmebik hmanh a buar i midang zong a buartertu pauh cu vanbawi pennâk ah mi hme bik an ti lai; asinain mizei pauh zulin, midang a cawnpiaktu cu vanbawi pennâk ah mingan an ti lai. 
MAT.5.20	Zeitintiah nan dinnâk nih nawlbiacawnpiaktu hna le Farasih hna dinnâk a lonh lo ahcun vanbawi pennâk ah nan lut hrimhrim lai lo, tiah kan chimh hna. 
MAT.5.21	“Hlan liomi hna sinah, ‘lai nawng hlah, lai nawngmi cu biaceihtu hmaiah chuahpi a si lai,’ tiah an rak chimmi nan theih. 
MAT.5.22	Asinain a chan um lo i a unau cungah a thin a hungmi pauh cu ṭih a nungmi biaceihnâk ah chuahpi an si lai. A unau sinah, ‘mimolhpa’ a timi pauh cu biaceihnâk sângah chuahpi an si lai, ‘mihrutpa’ a timi pauh zong ṭih a nungmi hell mei ah a kal lai, kan ti hna. 
MAT.5.23	Cucaah biakṭheng cung i raithawinâk thil na ratpi lio ah, na unau nih na cungah lungsilonâk a ngei ti kha na hngalh ahcun, 
MAT.5.24	biakṭheng hmaiah na pêkmi thil kha chia ta law, kir ṭhân, na unau sinah remnâk vatuah, cun ra ṭhân law na pêk hngami thil kha va pe. 
MAT.5.25	Na ralpa cu lam i nan kal lio ah remnâk tuah, culoahcun na ral nih biaceihtu hmaiah an chuahpi lai, biaceihtu nih uktu sinah an in chanh lai i thongah an in thlak lai. 
MAT.5.26	Biataktein kan chimh, fangkhat te tiang na cham lo ahcun cuka hmun cun na chuak ti lai lo. 
MAT.5.27	Ṭângdang kai hlah, tiah hlanlio mi hna sin i chimmi nan theih cang. 
MAT.5.28	Asinain kei nih cun, sualpi duhnâk mit in nu a zohtu pauh cu a lungthin in ṭângdang a kai cang, kan ti hna. 
MAT.5.29	Na orhlei mit nih an tlukter ahcun khoih law hlawnh, na pumpuluk, hremhmun i hlawnhnâk cha cun, na pum nge pakhat hloh cu na caah a ṭha deuh. 
MAT.5.30	Na orhlei kut nih an tlukter ahcun tan law hlawnh ko. Na pumpuluk, hremhmun i hlawnhnâk cha cun, pum nge pakhat hloh cu na caah a ṭha deuh. 
MAT.5.31	Nupi ma mi nih mâknâk ca kha pe ta seh tiah, ti a rak si. 
MAT.5.32	Asinain keinih cun ṭângdang a kai ruangah si loin thildang ruang i nupi a ma mi cu a nupi ṭângdang a kai tertu a si. Mâkmi nu a ngeitu zong ṭangdang kai a si. 
MAT.5.33	Hlan lio mi hna sinah, lih in chiat i serh hlah, 
MAT.5.34	Asinain kei nih cun, chiatserh in bia i kam hrimhrim hlah u. Van chalh in chiat i serh hlah u, zeitintiah cucu Pathian bawiṭhutdanh umnâk a si. 
MAT.5.35	Vulei chalh in chiat i serh hlah u, zeitintiah cucu a ke chiahnâk a si, Jerusalem chalh in chiat i serhhlah u, zeitintiah cucu a liannganmi Siangpahrang khualipi a si. 
MAT.5.36	Na lu chalh in chiat i serh hlah, zeicatiah na samfa pakhat te hmanh na rânter in na nahter kho lo. 
MAT.5.37	Na chimmi bia cu a simi kha ‘asi’ ti law, a silomi kha ‘a silo’ ti ko. Cupin lei pauhpauh cu Misual pa sinin a rami a si. 
MAT.5.38	‘Mit caah mit, ha caah ha, an ti nan rak theih bal cang’. 
MAT.5.39	Asinain kei nih cun misual ralchanh lo dingin kan chimh hna. Na orh lei biang an bengtu sinah khatte lei biang zong i chit rih. 
MAT.5.40	Na angki lâk duh ah taza an in cuai ahcun, na puan zong va pêk chih. 
MAT.5.41	Meng khat an in kalter ahcun, meng hnih va kal. 
MAT.5.42	An haltu sinah pe law, an cawitu sinah cawih ko. 
MAT.5.43	Na innpa daw law, na ral va hua, an timi nan theih cang. 
MAT.5.44	Asinain kei nih cun, nan ral va daw hna u law, chiat an serhtu kha thluachuah va pe hna u, an huatu hna caah ṭhatnâk tuah u law, an diriamtu hna le serhsattu hna caah thlacam u, 
MAT.5.45	cucu van i a ummi nan Pa fale nan si khawh nâkhnga caah a si. Anih nih cun misual le miṭha cungah ni a tlanter i miding le miding lo cungah ruah a surter. 
MAT.5.46	Zeitintiah an dawtu hna lawng nan dawt ah hin, zeidah a man nan hmuh? Ngunkhuai khawltu hmanh nih cucu an tuah ve lo maw? 
MAT.5.47	Cun nan unau sin lawngah biaṭha nan chim ah hin, zeidah a man nan hmuh? Ngunkhuai khawltu hmanh nih cucu an tuah ve lo maw? 
MAT.5.48	Cucaah van i nan Pa a tlin bantukin nannih zong nan tlin ve awk a si.
MAT.6.1	Thil nan ṭhenhmi kha minung mithmuh lawngah ṭhen lo dingin i ralring u; culoahcun van i nan Pa sinin ṭuanman nan hmu lai lo. 
MAT.6.2	Cucaah thil nan ṭhenh tikah, mi depde hna bangin sinagog le zatlâng lamah mi theih awkah thanh len hlah u. Biataktein kan chimh hna annih nih an ṭuanman kha an hmuh cang. 
MAT.6.3	Nang nih cun thil na ṭhenh tikah, na orhlei kut nih a ṭhenhmi kha na kehlei kut theihter hlah. 
MAT.6.4	Na pêkmi thil kha a thli tein pêkmi a si khawh nâkhnga; cuticun a thli tein an hmutu na Pa nih langhngan in ṭuanman an pêk te lai. 
MAT.6.5	Thla nan cam tikah mi depde hna bangin nan cam lai lo. Annih nih mi nih ka hmu hna seh tiah sinagog le zatlâng lamah dir buin thlacam an hmang. Biataktein kan chimh hna, an ṭuanman cu an hmuh cang. 
MAT.6.6	Nang tu cu, thla na cam tikah, na innkhân chungah lut, na innkâ khar law, a thli tein an hmutu na Pa sinah thla va cam. Cuticun a thli tein an hmutu na Pa nih langhngan in ṭuanman an pêk lai. 
MAT.6.7	Cun thla nan cam tikah milem a biami hna bangin nan chim ciami nawlh lengmang hlah u. An chimmi bia a tam ruangah a kan theihpiak lai tiah an ruah. 
MAT.6.8	“Cucaah anmah bantuk si hlah u. Zeicatiah nan hal hlan in nan herhmi kha nan Pa nih a hngalh cang. 
MAT.6.9	Cucaah nannih cu hitihin thla cam u; Vancung khua i a ummi kan Pa, na min thianghlim seh. 
MAT.6.10	Na pennâk phân ko seh, van i na duhnâk an tuah bangin vulei zongah tuah si ve seh. 
MAT.6.11	Nifatin kan rawl cu nihin zongah kan pe. 
MAT.6.12	Lei a kan battu kan ngaihthiam hna bangin, kan leiba kha kan ngaithiam ve ko. 
MAT.6.13	Tukforhnâk chungah kan hruai hlah, sihmanhsehlaw mi ṭhalopa chungin kan khamh. Zeitintiah pennâk le, ṭhawnnâk le sunparnâk kha zungzal in nata an si. Amen. 
MAT.6.14	“Mi sualnâk kha nan ngaihthiam hna ahcun vanlei nan Pa zong nih an ngaihthiam ve hna lai. 
MAT.6.15	Asinain mi sualnâk kha nan ngaihthiam hna lo ahcun nan Pa zong nih nan sualnâk an ngaithiam ve hna lai lo. 
MAT.6.16	“Cuhleiah, rawl nan ulh tikah, mi depde hna bantukin hmaichia in um hlah u. Zeitintiah annih nih rawl an ulh kha mi nih kan hngal hna seh tiah hmai chia ṭiamṭuam in an um tawn. Biataktein kan chimh hna, an ṭuanman an hmuh cang. 
MAT.6.17	Nang tu cu, rawl na ulh tikah, sathau i thuh law na hmai i phiah, 
MAT.6.18	a thli tein an hmutu na Pa mit dah tilo minung hna hmuh awkah rawl na ulhmi langhter hlah; cun a thli tein an hmutu na Pa nih langhngan in ṭuanman an pêk te lai. 
MAT.6.19	“Lei i rungrul le cirik nih an ei khawh i mifir nih an bauh i an fir khawhnâk ah hin nan ro va khong hlah u; 
MAT.6.20	asinain rungrul le cirik nih an hrawh khawh lonâk le, mifir nih an bauh i an fir khawh lonâk van ah nan ro kha va khong deuh u. 
MAT.6.21	Zeitintiah nan ro a umnâk pauh ah, nan lungthin zong a um ve lai. 
MAT.6.22	“Taksa meiin cu mit hi a si. Cucaah na mit a fian ahcun na pumpuluk in a ceu dih lai. 
MAT.6.23	Asinain na mit a ṭhat lo ahcun, na taksa pumpulukin a mui dih lai. Cuticun na chung i ceunâk kha a muih sual ahcun zeitlukin a nganmi muihnâk dah a si lai! 
MAT.6.24	“Ahohmanh nih hotu pahnih rian an kemh kho lai lo; pakhat a huat lai i pakhat a dawt lai, asilo le pakhat a conglomh lai i pakhat a zomhtaih lai. Pathian le phaisa rian cu nan kemh kho lai lo. 
MAT.6.25	“Cucaah nan nunnâk ca i nan ei nan dinmi kongah siseh, nan pum nih â hrukmi hnipuan kongah siseh lungrethei in um hlah u. Rawl nâkin nunnâk a biapi deuh lo maw? Hnipuan nâkin pum zong a biapi deuh lo maw?. 
MAT.6.26	Van i a zuangmi vate khi zoh hna hmanh u, thlaici an tuh lo i an zûn bal lo, rawlrûk chungah an khumh bal lo. Asinain van i nan Pa nih a cawm ko hna. Cu hna nâkin nannih cu nan sunglawi deuh lo maw? 
MAT.6.27	Nan lakah lungretheih ruangah dong khat tal â santer khomi nan um maw? 
MAT.6.28	“Zeiruangahdah hnipuan kongah nan lungre a theih. Ramlak lili par khi zoh hna hmanh u. Rian an ṭuan lo i puan zong an tak bal lo; 
MAT.6.29	Kan chimh hna, Solomon hmanh kha a sunparnâk vialte in â thomh hmanhah, hi pangpar pakhat hi a tluk lo. 
MAT.6.30	Cuticun nihin ah a nung i a rauh hlan i mei i tih awk a simi ramkung hmanh Pathian nih cu tlukin a thomh ahcun, nannih zumhnâk a tlawmmi hna, tam chin chinin an thuam hna hnga lo maw? 
MAT.6.31	“Cucaah zeidah ka ei lai i zeidah ka din lai, asiloah, zeibantuk hnipuan in dah kâ thuamh lai tiah, lungretheiin um hlah u. 
MAT.6.32	Zeitintiah cu thil vialte cu Gentel mi nih an kawl tawn. Asinain cuvialte cu nan herh dih ti kha vanlei nan Pa nih a hngalh dih ko. 
MAT.6.33	Cucaah Pathian pennâk le a dinnâk kha kawl hmasa u law, cu thil vialte cu chapchih nan si ko lai. 
MAT.6.34	Cucaah thaizing caah lungretheiin ruat hlah u, zeitintiah thaizing nih amah kong cu tuaktan te ko seh. Nikhat ca i nikhat lungretheih hi a za ko.
MAT.7.1	“Sawi na si nâkhnga lo, mi va sawi hlah. 
MAT.7.2	Zeitintiah mi na sawi hna bantukin, mi nih an in sawi ve lai; na tahnâk hmangin tah na si ve lai. 
MAT.7.3	Zeiruangahdah nangmah mit i thingpel hmanh ruat loin na unau mit i hmunthûr fa te na hmuh khawh? 
MAT.7.4	Zeitindah na unau sinah, na mit chung i hmunthûr fa te kha ka lakter tuah na ti khawh lai;’ zohhmanh, nangmah mit ah thingpel a um a si lo maw? 
MAT.7.5	Mi depde pa! Na mit chung i thingpel kha chuah hmaisa, cuticun na unau mit i hmunthûr fate kha chuah awkah fiang tein na hmuh khawh lai. 
MAT.7.6	A thiangmi thil cu uico vape hlah; vok hmaikâ zongah lungvar va chia hlah; an lamh chih lai i nangmah tiangin an in thlehbauh sual lai. 
MAT.7.7	Hal law, pêk na si lai; kawl law, na hmuh lai; king law, on piak na si lai. 
MAT.7.8	Zeitintiah a haltu kha an pêk i a kawltu nih a hmuh i a kingtu kha onpiak a si tawn. 
MAT.7.9	A fapa nih changreu a hal lio ah lungtum a petu ahotal an um hnga maw? 
MAT.7.10	Ngasa an in hal lio ah, rul a petu nan um hnga maw? 
MAT.7.11	Nanmah misual hmanh nih nan fale thilṭha pêk nan hngalh ahcun; van i nan Pa nih cun a haltu sinah thilṭha cu a pe chinchin hnga lo maw? 
MAT.7.12	Cucaah minih ka cungah tuah hna seh ti na duhmi kha, mi cung zongah va tuah ve, zeitintiah hihi nawlbia le Profet hna bia cu a si. 
MAT.7.13	Kutka bi ah lut u; zeitintiah rawhralnâk a phâkpitu kutka le lam cu a kau i cu lam i a kalmi cu mi tampi an si. 
MAT.7.14	Asinain nunnâk i luhnâk kutka cu a bi, a lam zong a har i a zulmi zong tlawmte an si. 
MAT.7.15	Profet deu kha i ralring u; tuu phaw aih in nan sinah an ra lai na in an chunglei tu cu a hrangmi cenghngia an si. 
MAT.7.16	An theitlai in nan hngalh hna lai. Hlingbur ah misur thei an lo bal lo, saihmurhling kungah theipi a tlai bal lo. 
MAT.7.17	Cubantukin thingṭha cu a thei a ṭha, thingchia cu a thei zong a chia. 
MAT.7.18	Thingṭha in thei chia a tlai ballo i thingchia in thei ṭha a tlai bal lo. 
MAT.7.19	Theiṭha a tlai lomi thing cu an hau i mei ah an khangh tawn. 
MAT.7.20	Cucaah annih cu an theitlai in nan hngalh khawh hna lai. 
MAT.7.21	Bawipa, Bawipa, aka timi pauh nih, vanbawi pennâk ah a lut lai lo; van i ka Pa duhnâk a tuahtu lawnglawng an lut lai. 
MAT.7.22	Cuniah cun mi tampi nih, Bawipa, Bawipa, na min in phung kan chim, na min in khuachia kan ṭhawl hna; na min in khuaruahhar thil tampi kan tuah a si lo mei,’ an ti te lai. 
MAT.7.23	Khi tikah, ‘Nannih nawlbuartu hna, kan hngal bal hna lo; ka sinin i ṭhen u!’ tiah ka ti te hna lai. 
MAT.7.24	Cucaah, hi ka bia a thei i a zulmi cu mifim, lungpi cungah inn a satu he tahchunh a si; 
MAT.7.25	ruah a sur i tilet a tho, thlitu hrangin cu inn cu a nam len nain lungpi cungah sakmi a si caah a rawk kho lo. 
