GEN.1.1	Haa fuɗɗam Allah tagi asamanji e lesdi. 
GEN.1.25	Allah waɗi dabbaaji ladde fodde asli maaji e dabbaaji saare fodde asli maaji e ladooji fodde asli maaji. O laari ɗum wooɗi.
GEN.1.26	Allah wi'i: “En mbaɗa neɗɗo
GEN.1.27	Allah tagi neɗɗo dow jaati muuɗum, o tagi mo dow nanndal maako, o tagi gorko e debbo
GEN.1.28	Allah barkiɗini ɓe, wi'i ɓe: “Ndanye, ɗuuɗe, kebbine lesdi, laamane ndi! Laamane liɗɗi nder mbeela e colli e dabbaaji ngaancotooɗi dow lesdi fuu
GEN.1.29	Allah wi'i: “Ndaa, mi hokki on fuɗŋgooji dimooji dow lesdi fuu, non boo leɗɗe marɗe ɓiɓɓe bee aawdi nder muuɗum'en, ɗum laatoto nyaamdu mooɗon. 
GEN.1.30	Dabbaaji lesdi e colli e ko waancata dow lesdi fuu, waato ko mari yoŋki fuu, mi hokki ɗum haako hecco ngam nyaamugo.” Non ɗum laatori. 
GEN.1.31	Allah yi'i ko o waɗi fuu, ɗum booɗɗum masin. Hiiri, weeti, ɗum nyalaade joweego'oore.
GEN.2.1	Bana nii tageeki asamanji e lesdi e ko woni nder maaji fuu timmidiri. 
GEN.2.2	Haa nyalaade joweeɗiɗawre waɗa, Allah timmini kuugal muuɗum, o siwti nyalaade joweeɗiɗawre man
GEN.2.3	O barkiɗini nde, o seni nde. Ngam nder maare o siwti e tagugo kuuje fuu
GEN.2.4	Kanjum woni habaru tageeki asamanji e lesdi.
GEN.2.4	Saa'i Jawmiraawo Allah tagi lesdi e asamanji, 
GEN.2.5	walaa guuɓe dow lesdi tawon, haakooji gese boo puɗaay, ngam Allah Jawmiraawo toɓnaayno iyeende dow lesdi, saa'i maajum walaa neɗɗo tawon haa rema ndi. 
GEN.2.6	Ammaa ndiyam ɗonno wurto diga lesdi, ɗonno yarna ndi. 
GEN.2.7	Bee mbulwuldi lesdi Jawmiraawo Allah tafri neɗɗo. O fuufi poofɗe ngeendam nder kine maako, nden o laati neɗɗo geeto
GEN.2.8	Allah Jawmiraawo jubi jarne haa Adnin, heedi fuunaaŋge. O jo'ini neɗɗo mo o tagno ɗum haa ton. 
GEN.2.9	Nden o fuɗni leɗɗe feere feereeje booɗɗe dow lesdi, belɗe boo haa nyaamugo. Haa caka cak jarne boo, o waɗi lekki ngeendam e lekki dokkanki faamu anndugo booɗɗum e kalluɗum
GEN.2.10	Maayel wurti diga Adnin ngam yarnugo jarne go. Diga ton ngel sennditi, ngel laati maaje nayi. 
GEN.2.11	Innde maayel aranel, Pison, kaŋgel taari lesdi Hawila fuu, haa ton kaŋŋeeri tawete. 
GEN.2.12	Kaŋŋeeri lesdi maajum woodi saman ɗuuɗɗo. Ɗaccere uurnde ɗon tawe ton boo, non boo hayre onikis
GEN.2.13	Innde maayel ɗiɗaɓel, Gihon, kaŋgel taari lesdi Kus fuu. 
GEN.2.14	Innde maayel tataɓel, Hiddekel, ngel ɗon ilda fuunaaŋge Assuura. Maayel nayaɓel woni Efratis.
GEN.2.15	Jawmiraawo Allah hoo'i neɗɗo go, jo'ini ɗum nder jarne Adnin haa o rema ɗe, o ayna ɗe. 
GEN.2.16	Jawmiraawo Allah umri mo: “A waawan nyaamugo ɓiɓɓe leɗɗe koo ɗeye fuu nder jarne, 
GEN.2.17	ammaa taa nyaam ɓiɓɓe lekki dokkanki faamu e anndugo booɗɗum e kalluɗum. Ngam nyalaade nde nyaamata, a maayan fakat.”
GEN.2.18	Nden Jawmiraawo Allah wi'i: “Ɗum wooɗaay haa neɗɗo wona feere mum. Mi waɗanan mo balloowo, pottananɗo mo.” 
GEN.2.19	Jawmiraawo Allah tagi dabbaaji ladde e colli fuu bee mbulwuldi lesdi. O waddi ɗi haa neɗɗo ngam o nana no neɗɗo inndinirta ɗi ngam haa ko mari yoŋki fuu mara innde nde neɗɗo inndini ɗum. 
GEN.2.20	Neɗɗo inndi dabbaaji e colli e kuuje ladde fuu. Ammaa o heɓaay balloowo, pottananɗo mo.
GEN.2.21	Nden Jawmiraawo Allah neldi ɗoyŋgol tedduŋgol dow maako. O hoo'i beccal neɗɗo gootal, o maɓɓi nokkuure maajum bee kusel. 
GEN.2.22	Bee beccal nga'al Allah Jawmiraawo waɗi debbo, yahri mo haa neɗɗo. 
GEN.2.23	Nde neɗɗo yi'i mo, o wi'i: “Jonta kam ndaa i'al diga i'e am e kusel diga kusel am. O ewneteeɗo debbo, ngam o hoo'aama diga gorko
GEN.2.24	Ngam maajum gorko accan baaba muuɗum e daada
GEN.2.25	Gorko e debbo muuɗum fuu ɓe temmbuɓe, ammaa koo moy maɓɓe semtaay yeeso tanum.
GEN.3.1	Dabbaaji ladde ɗi Jawmiraawo Allah tagi fuu, mboodi ɓuri ɗi ƴoyre. Ndi ƴami debbo: “Gooŋga Allah wi'i taa on nyaama ɓiɓɓe leɗɗe jarne fuu na
GEN.3.2	Debbo jaabi mboodi: “Min mbaawan nyaamugo ɓiɓɓe leɗɗe jarne. 
GEN.3.3	Ammaa ko laarani ɓiɓɓe lekki gonki caka jarne kam, Allah wi'i: Taa nyaame ɗe, taa meeme ɗe boo, ngam taa maayon
GEN.3.4	Mboodi wi'i debbo: “Woodaa! On maayataa! 
GEN.3.5	Ammaa Allah anndi, nyalaade nde on nyaami ɗe, gite mooɗon maɓɓititto, on laatoto bana Allah, on anndan ko woni booɗɗum e kalluɗum.” 
GEN.3.6	Debbo yi'i ɓiɓɓe lekki man welani nyaamugo, ɗe pottani gite, ɗe mbooɗi masin haa hokkugo hakkiilo. O hoo'i haa ɓiɓɓe maaki, o nyaami, nden o hokki goriiko mo ɗonno kommbi maako, gorko boo nyaami. 
GEN.3.7	Law gite maɓɓe maɓɓiti, ɓe annditi ɓe temmbuɓe. Ngam maajum ɓe mbami haakooji ibbi, ɓe mbaɗi ɗum bana gude.
GEN.3.8	Nde hiiri, ɓe nani sonyo, Allah Jawmiraawo ɗon waanca nder jarne. Gorko e debbo muuɗum nyukki yeeso Allah Jawmiraawo caka leɗɗe jarne. 
GEN.3.9	Jawmiraawo Allah ewni neɗɗo, ƴami mo: “Toy ngonɗaa?” 
GEN.3.10	Neɗɗo jaabi: “Mi nani sonyo maaɗa nder jarne. Mi hultori, ngam mi temmbo. Ngam maajum nyukkiimi.” 
GEN.3.11	Allah Jawmiraawo ƴami: “Moy anndin ma a temmbo? Malla a nyaami ɓiɓɓe lekki ki kaɗnomaami nyaamugo go?” 
GEN.3.12	Neɗɗo jaabi: “Debbo gonduɗo bee am, mo ndokkuɗaami, hokki yam ɓiɓɓe lekki, mi nyaami.” 
GEN.3.13	Allah Jawmiraawo wi'i debbo: “Ngam ɗume mbaɗɗaa ɗum?” Debbo jaabi: “Mboodi esti yam, mi nyaami
GEN.3.14	Nden Allah Jawmiraawo wi'i mboodi: “Nde a waɗi ɗum, a naalaaɗo caka dabbaaji e kuuje ladde fuu. A dasoto dow reedu maaɗa, a nyaaman mbulwuldi balɗe ngeendam maaɗa fuu. 
GEN.3.15	Mi waɗan konnaagu hakkunde maaɗa e debbo, hakkunde danygol maaɗa e danygol maako. Goɗɗo danygol maako namete hoore, an boo a ŋatan mo teppere
GEN.3.16	Nden o wi'i debbo: “Mi ɗuɗɗinan luuwe danyki maaɗa. A danyan bee bone. A yenwan gondal bee gorko maaɗa, ammaa o laamoto dow maaɗa.” 
GEN.3.17	Nden o wi'i neɗɗo: “A jaɓani debbo maaɗa, a nyaami ɓiɓɓe lekki ki kaɗnomaami nyaamugo. Ngam daliila maaɗa mi naali lesdi. Bee bone keɓata ko nyaama haa maari balɗe maaɗa fuu. 
GEN.3.18	Ndi fuɗnante gi'e e giŋngille, a nyaaman haakooji gese
GEN.3.19	Bee wulweende yeeso maaɗa nyaamrata nyaamdu ma, haa to a lortake haa mbulwuldi, ngam haa maari a hoo'a. An a mbulwuldi, haa mbulwuldi boo lorotoɗa!”
GEN.3.20	Neɗɗo inndi debbo muuɗum: Hawwa,
GEN.3.21	Jawmiraawo Allah waɗani Aadamu e debbo maako kolte lare, o ɓorni ɓe. 
GEN.3.22	O wi'i: “Ndaa, nde neɗɗo laatake bana gooto meeɗen, o anndi ko woni booɗɗum e kalluɗum. Jonta kam taa o forta juŋngo maako, o hoo'a boo ɓiɓɓe lekki ngeendam. To o nyaami, o yeeɗan haa foroy
GEN.3.23	Nden Jawmiraawo Allah wurtini mo jarne Adnin, ngam o remoya lesdi ndi o hoo'ano e muuɗum. 
GEN.3.24	Ɓaawo nde o riiwi mo, o darni keruba'en
GEN.4.1	Aadamu hawti bee Hawwa, debbo muuɗum. O reedi. O danyi Kayinu, o wi'i: “Ngam barka Jawmiraawo, mi heɓi ɓiɗɗo gorko.” 
GEN.4.2	Kadiboo o danyi Habila,
GEN.4.3	Nyalaade feere, Kayinu waddani Jawmiraawo dokkal haa ƴaamle ngesa muuɗum. 
GEN.4.4	Habila boo waddi dokkal haa afi dammooji muuɗum. O lii'ani mo ta'e ɓurɗe wooɗugo. Jawmiraawo yerdi Habila e dokkal mum
GEN.4.5	Ammaa o yerdaaki Kayinu e dokkal muuɗum. Kayinu tikki masin, yeeso mum nyiɓɓi daliila mettamɓeram. 
GEN.4.6	Jawmiraawo ƴami mo: “Koni tikkuɗaa? Koni nyiɓɓinɗaa yeeso ma? 
GEN.4.7	To a waɗi booɗɗum, a ɓaŋgtan hoore, to naa non hakkewol ɗon ɗappini haa dammugal maaɗa, yiɗi laamaago dow maaɗa, ammaa sey njaaloɗa ngol.”
GEN.4.8	Nden Kayinu wi'i deerɗiraawo mum Habila: “En ngurto yaasi!” Nde ɓe njotti ngesa, Kayinu ummani mo, mbari mo
GEN.4.9	Jawmiraawo ƴami Kayinu: “Toy deerɗiraawo maaɗa Habila?” Kayinu jaabi: “Mi anndaa. Mi aynoowo deerɗiraawo am na?” 
GEN.4.10	Jawmiraawo wi'i: “Ɗume mbaɗɗaa? Nan, ƴiiƴam deerɗiraawo maaɗa ɗon wookanammi diga lesdi
GEN.4.11	Jonta kam, a naalaaɗo diga lesdi ndi'i, ndi maɓɓiti hunnduko muuɗum ngam jaɓugo ƴiiƴam deerɗiraawo maaɗa diga juŋngo ma. 
GEN.4.12	To a remi ngesa, ka waɗantaa ma nafuuda maaka. A laatoto giiloowo dow lesdi, a heɓataa siwtaare.” 
GEN.4.13	Kayinu wi'i Jawmiraawo: “Kiita am ka'a teddi, mi waawataa eftugo ka. 
GEN.4.14	Ndaa, a riiwi yam hannde diga lesdi. Mi nyukkoto daayiiɗum yeeso maaɗa, mi laatoto giiloowo, walaa siwtaare haa lesdi. Tawɗo yam fuu, mbaratam.” 
GEN.4.15	Jawmiraawo wi'i mo: “Woodaa! To goɗɗo mbari ma, sey yimɓe joweeɗiɗo mbare ngam waataago ma.” Jawmiraawo waɗi maandorde haa Kayinu, ngam taa goɗɗo mbara mo, to tawi mo. 
GEN.4.16	Kayinu dilli, daaytiri bee Jawmiraawo, jooɗi nder lesdi Noodi, haa fuunaaŋge Adnin.
GEN.4.17	Kayinu hawti bee debbo muuɗum. O reedi, o danyi Hanok. Kayinu nyiɓi berniwol, inni ngol Hanok bana innde ɓiyiiko. 
GEN.4.18	Hanok danyi Irad. Irad danyi Mehuyayel. Mehuyayel danyi Metusayel. Metusayel danyi Lamek. 
GEN.4.19	Lamek te'i rewɓe ɗiɗo, innde arano Ada, innde ɗiɗaɓo boo Cilla. 
GEN.4.20	Ada danyi Yabal, kaŋko woni baaba jooɗotooɓe nder cuuɗi laymaaji e marɓe tokke. 
GEN.4.21	Innde deerɗiiko, Yubal, kaŋko woni baaba fiyooɓe moolooji e fuufooɓe algaytaaji fuu. 
GEN.4.22	Cilla boo danyi Tubal-Kayinu, tappoowo kuuwruɗe njamndi mboɗeeri e ɓaleeri. Deerɗiraawo Tubal-Kayinu debbo, woni Naama.
GEN.4.23	Lamek wi'i rewɓe muuɗum: “Ada e Cilla, naneeɗam! Onon rewɓe Lamek, keɗite wolde am. To ɓe piyi yam, mi mbaran goɗɗo! To ɓe naawni yam, mi mbaran ɓiŋngel! 
GEN.4.24	To nii ɓe mbaran worɓe njoweeɗiɗo ngam waataago Kayinu, ɓe mbaran cappanɗe njoweeɗiɗo e njoweeɗiɗo ngam waataago yam!”
GEN.4.25	Aadamu hawti bee debbo muuɗum fahin. O danyi ɓiɗɗo gorko, o inndi mo Setu, o wi'i: “Ngam Allah hokki yam danygol goɗŋgol haa pellel Habila mo Kayinu mbari.” 
GEN.4.26	Setu boo danyi ɓiɗɗo gorko, o inndi mo Enos. Wakkati maajum ɓe puɗɗi ewnaago innde Jawmiraawo nder do'a.
GEN.5.1	Ndaa deftere danygol Aadamu: Saa'i Allah tagi neɗɗo dow jaati muuɗum,
GEN.5.2	O tagi gorko e debbo,
GEN.5.3	Nde Aadamu waɗi duuɓi teemerre e cappanɗe tati (130), o danyi ɓiɗɗo gorko nannduɗo bee maako, fodde jaati maako, o inndi mo Setu. 
GEN.5.4	Duuɓi Aadamu ɓaawo o danyi Setu, teemeɗɗe joweetati (800). O danyi ɓiɓɓe worɓe e rewɓe. 
GEN.5.5	Duuɓi Aadamu ngaɗi fuu teemeɗɗe joweenayi e cappanɗe tati (930), nden o maayi.
GEN.5.6	Nde Setu waɗi duuɓi teemerre e jowi (105), o danyi Enos. 
GEN.5.7	Duuɓi Setu ɓaawo o danyi Enos, teemeɗɗe joweetati e joweeɗiɗi (807). O danyi ɓiɓɓe worɓe e rewɓe. 
GEN.5.8	Duuɓi Setu ngaɗi fuu, teemeɗɗe joweenayi e sappo e ɗiɗi (912), nden o maayi.
GEN.5.9	Nde Enos waɗi duuɓi cappanɗe joweenayi (90), o danyi Kaynam. 
GEN.5.10	Duuɓi Enos ɓaawo o danyi Kaynam, teemeɗɗe joweetati e sappo e jowi (815). O danyi ɓiɓɓe worɓe e rewɓe. 
GEN.5.11	Duuɓi Enos ngaɗi fuu, teemeɗɗe joweenayi e jowi (905), nden o maayi.
GEN.5.12	Nde Kaynam waɗi duuɓi cappanɗe joweeɗiɗi (70), o danyi Mahalaleel. 
GEN.5.13	Duuɓi Kaynam ɓaawo o danyi Mahalaleel, teemeɗɗe joweetati e cappanɗe nayi (840). O danyi ɓiɓɓe worɓe e rewɓe. 
GEN.5.14	Duuɓi Kaynam ngaɗi fuu, teemeɗɗe joweenayi e sappo (910), nden o maayi.
GEN.5.15	Nde Mahalaleel waɗi duuɓi cappanɗe joweego e jowi (65), o danyi Yarat. 
GEN.5.16	Duuɓi Mahalaleel ɓaawo o danyi Yarat, teemeɗɗe joweetati e cappanɗe tati (830). O danyi ɓiɓɓe worɓe e rewɓe. 
GEN.5.17	Duuɓi Mahalaleel ngaɗi fuu, teemeɗɗe joweetati e cappanɗe joweenayi e jowi (895), nden o maayi.
GEN.5.18	Nde Yarat waɗi duuɓi teemerre e cappanɗe joweego e ɗiɗi (162), o danyi Anuhu. 
GEN.5.19	Duuɓi Yarat ɓaawo o danyi Anuhu, teemeɗɗe joweetati (800). O danyi ɓiɓɓe worɓe e rewɓe. 
GEN.5.20	Duuɓi Yarat ngaɗi fuu, teemeɗɗe joweenayi e cappanɗe joweego e ɗiɗi (962), nden o maayi.
GEN.5.21	Nde Anuhu waɗi duuɓi cappanɗe joweego e jowi (65), o danyi Matusala. 
GEN.5.22	Anuhu yahdi bee Allah duuɓi teemeɗɗe tati (300), ɓaawo o danyi Matusala. O danyi ɓiɓɓe worɓe e rewɓe. 
GEN.5.23	Duuɓi Anuhu ngaɗi fuu, teemeɗɗe tati e cappanɗe joweego e jowi (365). 
GEN.5.24	Anuhu tokki laawol Allah, o majjiti, ngam Allah eeŋgini mo
GEN.5.25	Nde Matusala waɗi duuɓi teemerre e cappanɗe joweetati e joweeɗiɗi (187), o danyi Lamek. 
GEN.5.26	Duuɓi Matusala ɓaawo o danyi Lamek, teemeɗɗe joweeɗiɗi e cappanɗe joweetati e ɗiɗi (782). O danyi ɓiɓɓe worɓe e rewɓe. 
GEN.5.27	Duuɓi Matusala ngaɗi fuu, teemeɗɗe joweenayi e cappanɗe joweego e joweenayi (969), nden o maayi.
GEN.5.28	Nde Lamek waɗi duuɓi teemerre e cappanɗe joweetati e ɗiɗi (182), o danyi ɓiɗɗo gorko. 
GEN.5.29	O inndi mo Nuuhu, o wi'i: “Kaŋko de'itinta en dow kuugal meeɗen e torra juuɗe meeɗen ngam lesdi ndi Jawmiraawo naali ɗum.” 
GEN.5.30	Duuɓi Lamek ɓaawo o danyi Nuuhu, teemeɗɗe jowi e cappanɗe joweenayi e jowi (595). O danyi ɓiɓɓe worɓe e rewɓe. 
GEN.5.31	Duuɓi Lamek ngaɗi fuu, teemeɗɗe joweeɗiɗi e cappanɗe joweeɗiɗi e joweeɗiɗi (777), nden o maayi.
GEN.5.32	Nde Nuuhu waɗi duuɓi teemeɗɗe jowi (500), o danyi Sem e Haamu e Yafet.
GEN.6.1	Nde yimɓe puɗɗi ɗuuɗugo dow lesdi, ɓe danyi ɓiɓɓe rewɓe. 
GEN.6.2	Ɓiɓɓe Allah
GEN.6.3	Nden Jawmiraawo wi'i: “Ruuhu am wonataa nder neɗɗo foroy, ngam o maayoowo, balɗe ngeendam maako ɓurataa duuɓi teemerre e noogas (120).” 
GEN.6.4	Saa'i maajum, maapinndi'en
GEN.6.5	Jawmiraawo yi'i no halleende yimɓe ɗuuɗiri dow lesdi. Nyalaade fuu anniyaaji e numooji ɓerɗe maɓɓe kuucitani halleende. 
GEN.6.6	Numooji Jawmiraawo ngayliti ɓaawo nde o tagi yimɓe dow lesdi. Ɓernde maako naawi. 
GEN.6.7	O wi'i: “Mi nattinan yimɓe ɓe tagmi dow lesdi haa yotto dabbaaji e ladooji e colli. Mi tagataano ɗum.” 
GEN.6.8	Ammaa Nuuhu heɓi yerduye Jawmiraawo
GEN.6.9	Ndaa habaru danygol Nuuhu: Nuuhu o adiliijo e timmuɗo caka yimɓe nder zamanuuru muuɗum. O tokki laawol Allah
GEN.6.10	O danyi ɓiɓɓe worɓe tato: Sem e Haamu e Yafet.
GEN.6.11	Lesdi wonni haa yeeso Allah, ndi heewi toonyaare. 
GEN.6.12	Allah laari lesdi, ndaa ndi wonnake, ngam marɗum yoŋki fuu wonni yahdu muuɗum dow lesdi. 
GEN.6.13	Allah wi'i Nuuhu: “Mi annini timmingo tagle fuu. Lesdi heewi toonyaare ngam daliila yimɓe. Mi nattinan ɓe hawtaade bee lesdi fuu. 
GEN.6.14	Waɗanan hoore maaɗa koommbowal
GEN.6.15	Ndaa nii mbaɗirta ngal: Njuutirka maagal mara meetir teemerre e cappanɗe jowi (150), njaajirka maagal meetir noogas e jowi (25) e towirka maagal boo meetir sappo e jowi (15). 
GEN.6.16	Sey a hippa ngal, a waɗa wurdere haa koommbowal, nde reeta meetir gootel, haa les mbippu maagal. Waɗ dammugal koommbowal haa caka wuttudu maagal. Senndu towirka maagal haa waɗa cuuɗi tati, wooru dow wooru. 
GEN.6.17	Mi waddan ilam dow lesdi, ngam halkugo ko yeeɗata les asama, marndum poofɗe ngeendam. Ko woni dow lesdi fuu nattan. 
GEN.6.18	Ammaa mi haɓɓan alkawal bee maaɗa. A nastan koommbowal, an e ɓiɓɓe maaɗa e debbo maaɗa e rewɓe ɓiɓɓe maaɗa. 
GEN.6.19	Haa geetum, marɗum ɓanndu fuu, hoo'u ɗiɗi ɗiɗi nder koommbowal, gorɗum e debbum, ɗum hisa hawtaade bee maaɗa. 
GEN.6.20	Haa colli fodde asli maaji e dabbaaji fodde asli maaji e ladooji lesdi fodde asli maaji. Gorɗum e debbum maaji fuu ngaran gal maaɗa, ngam hisnugo yoŋkiiji maaji. 
GEN.6.21	An boo, hoo'u diga ko nyaamete fuu, sigu ɗum haa maaɗa, ɗum laato nyaamdu maaɗa e nyaamdu maaji.” 
GEN.6.22	Nuuhu waɗi bana non, o waɗi ko Allah umri mo fuu
GEN.7.1	Jawmiraawo wi'i Nuuhu: “Nastu koommbowal
GEN.7.2	Haa dabbaaji dagiiɗi fuu hoo'u gorɗi joweeɗiɗi e debbi joweeɗiɗi. Diga dabbaaji ɗi dagaaki boo, hoo'u ɗiɗi ɗiɗi, gorɗum e debbum. 
GEN.7.3	Diga colli boo, hoo'u gorɗi joweeɗiɗi e debbi joweeɗiɗi, ngam haa asli maaji lutta dow lesdi. 
GEN.7.4	Ngam lutti nyalɗe joweeɗiɗi, mi toɓnan iyeende dow lesdi, nyalawmaaje e jemmaaje cappanɗe nayi. Mi nattinan tagle am fuu dow lesdi.” 
GEN.7.5	Nuuhu waɗi ko Jawmiraawo umruno mo fuu.
GEN.7.6	Haa ilam tuufaana waɗa dow lesdi, Nuuhu marino duuɓi teemeɗɗe joweego (600). 
GEN.7.7	Nuuhu nasti koommbowal bee ɓiyum'en e debbo muuɗum e rewɓe ɓiyum'en, ngam hisugo ndiyamji tuufaana
GEN.7.8	Diga dabbaaji dagiiɗi e ɗi ndagaaki, diga colli e ko wuurata dow lesdi fuu, 
GEN.7.9	gorɗum e debbum, ɗiɗi ɗiɗi, ngari haa Nuuhu nder koommbowal bana Allah umruno mo.
GEN.7.10	Nde nyalɗe joweeɗiɗi mbaɗi, ndiyam tuufaana moɗi lesdi. 
GEN.7.11	Nder nduuɓu Nuuhu teemeɗɗe joweego'oowu (600), lewru ɗiɗaɓru, nyalaade sappo e joweeɗiɗawre maaru, ɓulduɗe ndiyamji lugguɗi les lesdi fuu cukkiti, burɗe asama boo maɓɓiti
GEN.7.12	Iyeende toɓi dow lesdi nyalawmaaje cappanɗe nayi e jemmaaje cappanɗe nayi. 
GEN.7.13	Nyalaade maajum nden Nuuhu e ɓiyum'en: Sem e Haamu e Yafet, non boo debbo maako e rewɓe ɓiɓɓe maako nasti koommbowal, 
GEN.7.14	bee dabbaaji ladde fodde asli maaji e dabbaaji saare fodde asli maaji fuu e ladooji duɓanɗi dow lesdi fodde asli maaji e colli fodde asli maaji bee fiiroojum koo ɗume marɗum bileeji fuu. 
GEN.7.15	Ɗi ngari haa Nuuhu nder koommbowal, gorɗum e debbum fuu, ɗiɗi ɗiɗi diga ko mari poofɗe ngeendam fuu. 
GEN.7.16	Gorɗum e debbum nder tagle fuu nasti, bana Allah umruno mo. Nden Jawmiraawo maɓɓi dammugal.
GEN.7.17	Ilam tuufaana waɗi dow lesdi nyalɗe cappanɗe nayi. Ndiyamji ɓesdi, efti koommbowal, ngal ɓaŋgti dow. 
GEN.7.18	Ndiyamji ɓurti ɓesdaago masin dow lesdi, koommbowal weeyi dow ndiyam. 
GEN.7.19	Ndiyamji tokki ɗuuɗugo masin. Ɗi moɗi kooseeje towɗe les asama fuu, 
GEN.7.20	ɗi towti dow maaje waɗi meetir joweeɗiɗi (7). 
GEN.7.21	Marɗum ɓanndu ko waancata dow lesdi fuu waati: Colli e dabbaaji e ko duɓata dow lesdi mbaatidi, non boo yimɓe fuu maaydi. 
GEN.7.22	Ko mari poofɗe ngeendam nder kine fuu, ko woni dow lesdi njoorndi fuu, waati. 
GEN.7.23	Bana nii Allah nattiniri ko wonno dow lesdi fuu: Yimɓe e dabbaaji e ladooji e colli. Sey Nuuhu luttidi bee ko wondi bee maako nder koommbowal. 
GEN.7.24	Ndiyamji ɓesdi nyalɗe teemerre e cappanɗe jowi (150).
GEN.8.1	Allah numi dow Nuuhu e dabbaaji ladde fuu e dabbaaji saare fuu ngonduɗi bee maako nder koommbowal
GEN.8.2	Ɓulduɗe ndiyamji lugguɗi les lesdi e burɗe asama maɓɓi. Iyeende helti. 
GEN.8.3	Ɓaawo nyalɗe teemerre e cappanɗe jowi (150), ndiyamji puɗɗi ustugo seɗɗa seɗɗa dow lesdi. 
GEN.8.4	Nder lewru joweeɗiɗaɓru, nyalaade sappo e joweeɗiɗawre maaru, koommbowal jooɗi dow hooseere Araraada. 
GEN.8.5	Ndiyamji tokkiti ustugo haa wargo lewru sappooru. Nyalaade aranndeere nder lewru maajum, geereeje kooseeje mbaŋgi.
GEN.8.6	Nde nyalɗe cappanɗe nayi mbaɗi (40), Nuuhu maɓɓiti wurdere koommbowal nde o waɗno go. 
GEN.8.7	O yoofi leekuwal gootal. Ngal fiiri. Ngal yehi e ngal lori nde ɗuuɗɗum, haa nde ndiyam ɓeeɓi e lesdi. 
GEN.8.8	Nden o yoofi poola, haa o laara to ndiyam ustake dow lesdi. 
