MAT.1.1	Yàrɨ́ nɨ́ Yěsù 
MAT.1.17	Nɨ́ kɔ́rɔ́ ɨ rʉ̀gànda-bvʉ nɨ́ɨ’ɨ̀ yà dhu bhěyi: rɔ̀pɛ̀ ndɨ̀ Àbràhamʉ̀ rɔ̌ rɔ̀, ràrà àhʉ Dàwudì rɔ̌, nɨ’ɨ̀ atdí kumì dɔ̀ná ɨ̀fɔ nà rʉ̀gànda. Rɔ̀pɛ̀ ndɨ̀ Dàwudì rɔ̌ rɔ̀, ràrà àhʉ Pbàìsràyélí nʉ́mba ka kɨ́ kowù nà ɨnɔ tɨ́ Bàbelì tɔ́ pbìrì ɔ̀ dhu ɔ̀, nɨ’ɨ̀ atdí kumì dɔ̀ná ɨ̀fɔ nà rʉ̀gànda. Ndɨrɔ̀ rɔ̀pɛ̀ ndɨ̀ Pbàìsràyélí ka kʉ́mbà kowù nà ɨnɔ tɨ́ Bàbelì tɔ́ pbìrì ɔ̀ dhu rɔ̌ rɔ̀, ràrà àhʉ Yěsù Krɨ́stɔ̀ nʉ́gʉ ka kɨ́ dhu ɔ̀, nɨ’ɨ̀ atdí kumì dɔ̀ná ɨ̀fɔ nà rʉ̀gànda.
MAT.1.18	Yěsù Krɨ́stɔ̀ nʉ́gʉ ka kɨ́ dhu nɨ́ɨ’ɨ̀ yà dhu bhěyi: kà-tsánà, Màrɨyà, nɨ́ɨ’ɨ̀ ɨwà Yɔ̀zɛfʉ̀ órì rɔ́. Pbɛ́tʉ̀, ɨnzá ɨ̀ àpɛ̀ ’ʉ̀mbǎ rɔ́rɔ̀, Màrɨyà náatù ndɨ̀ ɔ̀na nà Ɨ̀lɨ̌lǎ-Alafí bhà ɔbɨ nɨ̌. 
MAT.1.19	Yɔ̀zɛfʉ̀, yà kà mà rɨ̌ ’ʉ̀mbǎ nà alɛ, nɨ’ɨ̀ obhónángatálɛ. Pbɛ́tʉ̀, kǎzè nzá kà-nyɨ̀ nɨ́wʉ̌ ndɨ̀ ndɨ́ ibí alɛ nzínzì ɔ̌ dhu. Nɨ́ kǎzè ndɔ̀dhɔ̀ ka ɨnzá ìndrǔ nʉ́nɨ rɔ́rɔ̀.
MAT.1.20	Wɔ̀ dhu nɨ́rɛ̀ kà rɨ̌ rɔ́rɔ̀ nɨ́ ndɨ, Kàgàwà bhà màlàyikà náavì ndɨ̀ ɔnyʉ-bvʉ̀ kà tɔ̀ ndàtɨ: «Yɔ̀zɛfʉ̀, Dàwudì-dhú bvʉ̌ alɛ́, ɨ̀nzɨ̌ ɔnzɨ Màrɨyà nídyì nyɨ nyɨ́ pbʉ̀kʉ̀ tsìbhálɛ tɨ́ dhu-ɔdɔ̀. Obhó tɨ́, kà rɨ̌’ɨ̀ nà ari nɨ́ Ɨ̀lɨ̌lǎ-Alafí bhà ɔbɨ nɨ̌ kǒdyì. 
MAT.1.21	Kʉ̌gʉya kpatsìbhíngba, nyadʉ̀ ɔvɔ̀na nɔ́vɔ̀ Yěsù tɨ́, ka nɨ́ ndɨ pbɨ̀ndà alɛ nɨgʉ́ya fɨ̌yɔ́ nzɛ́rɛnga ɔ̌ rɔ̀ nɨ́dhunɨ̌.»
MAT.1.22	Kɔ́rɔ́ wɔ̀ dhu náanzɨ̀ ndɨ̀, ndɨ́nɨ̌ angyí Kàgàwà nʉ́ʉnɔ pbɨ̀ndà 
MAT.1.23	«Kànɨ̌ ɨnzá àpɛ̀ kpatsìbhálɛ nʉ́nɨ̌ tsìbhíngba nɨ́ɨ’ɨya ɔ̀na nà.
MAT.1.23	Ndɨrɔ̀ kʉ̌gʉya kpatsìbhá ngbángba,
MAT.1.23	kadʉ̀ ɔvɔ̀na nɔ́vɔ̀ Mànolì tɨ́
MAT.1.23	Kà-tɨ̀ nɨ́: «Kàgàwà rɨ̌’ɨ̀ atdíkpá àlɛ̌ mànà.»
MAT.1.24	Ɨdhɔ ɔ̀ rɔ̀ ndɨ̀ ndɨ̀và ndɨ̀ rɔ̀, Yɔ̀zɛfʉ̀ náanzɨ̀ yà Ádrʉ̀ngbǎlɛ Kàgàwà bhà màlàyikà nʉ́nɔ̀nà fɨ̌ndà dhu. Nɨ́ kǎdʉ̀ Màrɨyà nídyì pbɨ̀ndà tsìbhálɛ tɨ́. 
MAT.1.25	Pbɛ́tʉ̀ kʉ̌pbá nzá kà-ngbɔ̀, ràrà àhʉ kà rɨ̌ kpatsìbhá ngbángba nʉ́gʉ dhu ɔ̀. Nɨ́ Yɔ̀zɛfʉ̀ náadʉ̀ ndɨ ngbángba-ɔvɔ̀ nɔ́vɔ̀ Yěsù tɨ́.
MAT.2.1	Yěsù ka kʉgʉ Yùdɛyà tɔ́ pbìrì ɔ̌ kɨgɔ̀, Bɛ̀tɛ̀lɛ̀hɛmʉ̀ tɨ́ kátɨna ɔ̀, ádrʉ̀ngbǎ kamà 
MAT.2.2	Nɨ́ abádhí níivú dhu ìndrǔ-tsʉ̌ ’àtɨ: «Yà ka kʉ̀gʉ̀ Pbàyàhúdí tɔ́ ádrʉ̀ngbǎ kamà rɨ̌’ɨ̀ ɨ̀ngbɔrɔ́? Mǎ màla kàbhà alalɨ ɔ̀rʉ̀-akpà-nyɨ̀ rɔ̌ adyifɔ̀ arɨ́ ndɨ̀tɔ ɨnǎ rɔ̀. Nɨ́ mǎ mìwǔ ka nɨ́fʉ.»
MAT.2.3	Wɔ̀ dhu ɨ̀ ɨ̀rɨ̀ rɔ̀, ádrʉ̀ngbǎ kamà Hɛ̀rɔdɛ̀ mà kɔ́rɔ́ Yèrùsàlɛmà tɔ́ kɨgɔ̀ ɔ̌ bhà mànà nɨ́ɨrɛ̀ nga abhɔ nyʉ́, dɔ̀ya ràdʉ̀ ndɨ̀nza atdídɔ̌. 
MAT.2.4	Nɨ́ kǔndu 
MAT.2.5	Nɨ́ abádhí náadù ɔtɛ kà tɔ̀ ’àtɨ: «Bɛ̀tɛ̀lɛ̀hɛmʉ̀, Yùdɛyà tɔ́ pbìrì ɔ̀. Obhó tɨ́, Kàgàwà bhà 
MAT.2.6	‹Ndɨrɔ̀ ɨnyɨ Bɛ̀tɛ̀lɛ̀hɛmʉ̌, Yudhà bhà pbìrì ɔ̌ nyɨ nyɨ́’ɨ̀ rɔ̀,
MAT.2.6	nyɨ nɨ́ nzɨ̌ pɔ́tsɔ̀ kɨgɔ̀ Yùdɛyà ɔ̌ kɨgɔ̀ nzínzì ɔ̌.
MAT.2.6	Obhó tɨ́, ʉ̀nʉ́ rɔ̀ nɨ́ ndɨ atdí kamà rǎhʉ.
MAT.2.6	Ndɨ kamà nɨ́ ndɨ Pbàìsràyélí, pbàkà alɛ nʉndaya
MAT.2.7	Wɔ̀ dhu-dzidɔ̌, kamà Hɛ̀rɔdɛ̀ náanzi kɔ̌kɔ̀ ɨnga nʉ́nɨ alɛ-akpá ɨnzá ngʉ̌kpà alɛ nʉ́nɨ rɔ́rɔ̀, ndìvǔ alalɨ abádhí ala dòtsí ɔ̀ná ɨdhɔ tsʉ̀yá. 
MAT.2.8	Nɨ́ kǎdʉ̀ abádhí nóvì Bɛ̀tɛ̀lɛ̀hɛmʉ̀ tɔ́ kɨgɔ̀ ɔ̀, ndàdʉ̀ àtɨ̀nà abádhí nɨ̌: «Nyòwu nyɔ̀mɛ pɛ́ awáwʉ̀ wɔ̀ ngbángba dɔ̌. Ndɨrɔ̀ ka nyɨ̌ nyòtù rɔ̀, nɨ́ nyàdʉ̀ nyìbho màkʉ̌rʉ̀ idù, ndɨ́nɨ̌ ma madʉ̀ tɨ́ àrà kɨ̀fʉ átɔ̀.»
MAT.2.9	Ádrʉ̀ngbǎ kamà Hɛ̀rɔdɛ̀ bhà ɔtɛ ɨ̀ ɨ̀rɨ̀ dhu-dzidɔ̌, abádhí náadɨ̀ dɔ̀ya ’òwù. Nɨ́rɔ̀ nɨ́ ndɨ yà abádhí álaná adyifɔ̀ arɨ́ ndɨ̀tɔ ɨnǎ rɔ̀ alalɨ náadɨ̀ angyi abádhí tɔ̀, ndàmbɛ àrà dɔ̌, ndàrà ìde yà ngbángba rɨ̌’ɨ̀ ɔ̀ná ngari-dɔ̀tsírɔ́. 
MAT.2.10	Abádhí níitdègu wɔ̀ alalɨ nálǎ, nɨ́ abádhí-dhɛ̀ nɨ́ɨka ndɨ̀ atdídɔ̌ nyʉ́. 
MAT.2.11	Nɨ́ abádhí náatsù ányɨ̀-dza, ’àdʉ̀ ngbángba mà nála ɨ́yànà Màrɨyà mànà. Nɨ́ abádhí nʉ́ʉkɔ ɨ̀ ɔtdyʉ̀ya dɔ̌, ɨ̀ rɨ̀fʉ ndɨ ngbángba. Wɔ̀ dhu-dzidɔ̌, abádhí nʉ́ʉnga fɨ̀yɔ́ bhɔlɔ-tsʉ̀, ’àdʉ̀ pɛrɛ̀ núbho, ’ɔ̀dhɛ̀ ka nɨ̌. Ɨ pɛrɛ̀ nɨ’ɨ̀: ɔrɔ̀ mà, mběyi arɔ́ngʉ kàzʉ ɔ̀ ka kɔ̀bɨ̀ ndɨ̀ rɔ̀ 
MAT.2.12	Wɔ̀ dhu-dzidɔ̌, Kàgàwà nʉ́ʉnɔ dhu ɔnyʉ-bvʉ̀ abádhí tɔ̀, ɨ̀nzɨ̌ ɨ̀ nadù tɨ́ Hɛ̀rɔdɛ̀ bhà nanǎ. Nɨ́ abádhí adʉ̀ ’àdu fɨ̀yɔ́ pbìrì ɔ̀ ngǎtsi otu ɔ̌.
MAT.2.13	Kɔ̌kɔ̀ abhɔ ɨnga nʉ́nɨ ɔ̀rʉ̀-akpà-nyɨ̀ rɔ̌ arɨ́ ’ɔ̀nzɨ dhu dɔ̌ alɛ-akpá nádu ɨ̀ dhu-dzidɔ̌, Ádrʉ̀ngbǎlɛ Kàgàwà bhà màlàyikà náavì ndɨ̀ Yɔ̀zɛfʉ̀ tɔ̀ ɔnyʉ-bvʉ̀, ndàdʉ̀ àtɨ̀nà kànɨ̌: «Ɨ́và nyɨ, nyidyì ngbángba mà ɨ́yànà mànà, nyadʉ̀ ɔ̀kʉ nà Mísrì tɔ́ pbìrì ɔ̀. Ndɨrɔ̀, nyàdʉ̀ nyòko ányɨ̀ ràrà àhʉ ma mɨ́ nyǎvǐ nyǎdu nyɨ̌ ányɨ̀ rɔ̀ dhu ɔ̀. Obhó tɨ́, Hɛ̀rɔdɛ̀ rɨ̌ ngbángba nábhʉ̌ kambɛ ɔ̀nɛ̀nà dɔ̌, ndɨ́nɨ̌ ka koho tɨ́.» 
MAT.2.14	Nɨ́ ndɨ iku ɔ̌ tɨ́, Yɔ̀zɛfʉ̀ nɨ́ɨvà ndɨ̀ ɨdhɔ ɔ̀ rɔ̀, ndìdyì ngbángba mà ɨ́yànà mànà, ndɔ̀kʉ̀ nà Mísrì tɔ̀ pbìrì ɔ̀. 
MAT.2.15	Abádhí adʉ̀ òko ányɨ̀, ràrà àhʉ Hɛ̀rɔdɛ̀ rɔ̌vɛ̀ dhu ɔ̀. Wɔ̀rɨ́ dhu náanzɨ̀ ndɨ̀ ndɨ́nɨ̌ Ádrʉ̀ngbǎlɛ Kàgàwà nʉ́ʉnɔ pbɨ̀ndà nabì-otù ɔ̌ dhu náaká tɨ́. Kǎtɨ: «Ma mánzì idhùdu ràhʉ Mísrì rɔ̀
MAT.2.16	Hɛ̀rɔdɛ̀ níitdègu dhu nɔ́sʉ̀ ʉ̀trǎ tɨ́ abhɔ ɨnga nʉ́nɨ ɔ̀rʉ̀-akpà-nyɨ̀ rɔ̌ arɨ́ ’ɔ̀nzɨ dhu dɔ̌ alɛ-akpá rʉ̀trǎ ndɨ̀, nɨ́ kà-afí-ɔ̌nga nɨ́ɨwa ndɨ̀ atdídɔ̌. Nɨ́, kǎvì pbɨ̀ndà pbànówí rɔ̀kyɛ̀ ɔ́yɔ̌ atɔ nà kpabhá nzónzo mà, ɨnzá àpɛ̀ ɔ́yɔ̌ atɔ nísě kpabhá nzónzo mànà kɔ́rɔ́, Bɛ̀tɛ̀lɛ̀hɛmʉ̀ tɔ́ kɨgɔ̀ mà, tɨná arɨ́’ɨ̀ kɔ́rɔ́ pbanga mànà ɔ̌ rɔ̀. Kǎnzɨ̀ wɔ̀ dhu àdhàdhɨ̀ yà ɨ abhɔ ɨnga nʉ́nɨ alɛ-akpá nábhʉ fɨ̌ndà alalɨ ɨ̀ ala ɔ̀ná kàsʉmɨ̀ dɔ̌ awáwʉ̀ rɔ̌. 
MAT.2.17	Nɨ́rɔ̀ nɨ́ ndɨ yà nabì Yɛ̀rɛ̀mɨyà nʉ́ʉnɔ kpangba dhu náaká. Kǎtɨ:
MAT.2.18	«Alɛ-tù ɨ̀rɨ̀ ndɨ̀ Ramà tɔ́ kɨgɔ̀ ɔ̀.
MAT.2.18	Ìndrǔ rɔ̌dzɨ, ndàdʉ̀ àmbɛ ndʉ̀hʉ dɔ̌ atdídɔ̌.
MAT.2.18	Ràkelì nɨ́ ndɨ rɨ́ pbɨ̀ndà inzo nɔ́dzɨ.
MAT.2.18	Kòzè nzá kopè afína mà,
MAT.2.18	ɨwà ɨ inzo nʉ́vɛ nɨ́dhunɨ̌
MAT.2.19	Hɛ̀rɔdɛ̀ nɔ́vɛ̀ dhu-dzidɔ̌, Ádrʉ̀ngbǎlɛ Kàgàwà bhà màlàyikà náavì ndɨ̀ ɔnyʉ-bvʉ̀ Yɔ̀zɛfʉ̀ tɔ̀ Mísrì tɔ́ pbìrì ɔ̀. 
MAT.2.20	Ndɨ màlàyikà náatɨ Yɔ̀zɛfʉ̀ nɨ̌: «Ɨ́và nyɨ, nyidyì ngbángba mà ɨ́yànà mànà, nyadʉ̀ nyadu abádhí nà Ìsràyelì tɔ́ pbìrì ɔ̀. Obhó tɨ́, yà ndɨ ngbángba nazè ’òhò alɛ nʉ́vɛ wà.» 
MAT.2.21	Nɨ́, Yɔ̀zɛfʉ̀ nɨ́ɨvà ndɨ̀, ndìdyì ngbángba mà ɨ́yànà mànà, ndàdu ndɨ̀ nà Ìsràyelì tɔ́ pbìrì ɔ̀. 
MAT.2.22	Pbɛ́tʉ̀, kǐtdègu dhu nɨ́rɨ Àrkɛ̀lawʉ̀ ràrɨ̌ ndɨ àbanà Hɛ̀rɔdɛ̀ dzidɔ̌ idzi nɔ́nyʉ̀ Yùdɛyà tɔ́ pbìrì ɔ̌ ádrʉ̀ngbǎ kamà tɨ́, nɨ́ kǎdʉ̀ ndɨ pbìrì ɔ̀ ndɨ̀ ndárà àdɨ dhu-ɔdɔ̀ nɔ́nzɨ̀. Kàgàwà ɔ̀vɔ̀ dhu fɨ̌ndà ɔnyʉ-bvʉ̀ dhu-dzidɔ̌, Yɔ̀zɛfʉ̀ náadʉ̀ àrà Gàlìlayà tɔ́ pbìrì ɔ̀. 
MAT.2.23	Kǎdʉ̀ àrà àdɨ Nàzàretì tɨ́ kátɨna atdí kɨgɔ̀ ɔ̀. Ndɨ dhu náanzɨ̀ ndɨ̀ wɔ̀ dhu bhěyi, ndɨ́nɨ̌ Kàgàwà nʉ́ʉnɔ pbɨ̀ndà pbànábí-otù ɔ̌ dhu náaká tɨ́. Kǎtɨ: «Ka kanziya ka Nàzàretì ɔ̌ alɛ tɨ́
MAT.3.1	Wɔ̀ ndɨ kàsʉmɨ̀ ɔ̌, bàtizò nubhónà Yùwanɨ̀ nɨ́ɨtɔ ndɨ̀ Yùdɛyà tɔ́ rʉ̀ngʉ̀ ɔ̀. Kǎmbɛ́nà Kàgàwà bhà Ídzì Màkʉ̌rʉ̀ nʉ́nɔ̀ dɔ̌ ìndrǔ tɔ̀, ndàrà àtɨ̀nà rɔ̌: 
MAT.3.2	«Nyʉ̀gɛ̀rɛ̀ nyɨ̌ nyʉ̌bhà fʉ̀kʉ́ nzɛ́rɛnga. Obhó tɨ́, ɔ̀rʉ̀-akpà ɔ̌ Ádrʉ̀ngbǎ kamà bhà idzi-tsʉ̀ níndù wà ndɨ̀.»
MAT.3.3	Yùwanɨ̀ nɨ́ ndɨ, yà 
MAT.3.3	«Kànɨ̌ atdí alɛ-tù rɨ̌ ndɨ̀rɨ rʉ̀ngʉ̀ ɔ̀:
MAT.3.3	‹Nyɔ̀bhɔlɔ Ádrʉ̀ngbǎlɛ Kàgàwà bhà ngʉdhà,
MAT.3.3	nyùtǒ kàbhà otu
MAT.3.4	Ndɨ Yùwanɨ̀ rɔ̌ mʉ̀dzarʉ̀ nɨ’ɨ̀ 
MAT.3.5	Nɨ́ ìndrǔ nóongónà ìwu kà-tɨ’ɔ̀ Yèrùsàlɛmà tɔ́ kɨgɔ̀ ɔ̀ rɔ̀, Yùdɛyà tɔ́ pbìrì ɔ̀ rɔ̀ kɔ́rɔ́, ndɨrɔ̀ Yɔ̀rɔ̀danɨ̀ tɔ́ ɨdha-akpà-bɨdɔ̌ arɨ́’ɨ̀ kɔ́rɔ́ mʉ̀lɛngʉ̀ ɔ̀ rɔ̀ màtɨ́. 
MAT.3.6	Abádhí nʉ́ʉnɔ́nà fɨ̀yɔ́ nzɛ́rɛnga kpangba kɔ́rɔ́ alɛ-ɔ̀nzɨ̌, Yùwanɨ̀ ràdʉ̀ bàtizò núbho fɨ̌yɔ̀ Yɔ̀rɔ̀danɨ̀ tɔ́ ɨdha-akpà ɔ̀.
MAT.3.7	Bàtizò nubhónà Yùwanɨ̀ náala ábhɔ̌ 
MAT.3.8	Nyɔ̀nzɨ ɨwà nyɨ̌ nyʉ́gɛ̀rɛ̀ nyɨ̌, nyʉ̌bhà fʉ̀kʉ́ nzɛ́rɛnga dhu návǐ rɨ́ dhu. 
MAT.3.9	Ndɨrɔ̀, àpɛ́ nyɨ̀rɛ̀ nga afíkʉ ɔ̀, nyǎtɨ: ‹Àbràhamʉ̀ nɨ́ abhukà!› Ma mɨ́ dhu nʉ́nɔ kpangba fʉ̌kʉ̀, Kàgàwà rǎdʉ̀ kǎkàrɨ́ odu mà nʉ́gɛ̀rɛ̀ ròngò Àbràhamʉ̀ t’ídhúna tɨ́. 
MAT.3.10	Àlɔ̌ ka kɨ̀lɨ wà itsu-pfɔ̀ rɔ̌, ndɨ́nɨ̌ ka kɨ’à tɨ́ ɨ itsu-vɛ́ nɨ̌. Nɨ́ kɔ́rɔ́ itsu yà ɨ̀nzɨ̌ arɨ́ ídzì itsu-kpɔ̌ nɨ́’ɔ̌, nʉ́kɛ̀rɛ̌ ka kɨ́, kadʉ̀ àwànà kàzʉ ɔ̀. 
MAT.3.11	Ɨma, ma mɨ́ bàtizò núbhǒ fʉ̌kʉ̀ ɨdha nɨ̌, ndɨ́nɨ̌ ɨwà nyɨ̌ nyʉ̀gɛ̀rɛ̀ nyɨ̌ nyʉ̌bhà fʉ̀kʉ́ nzɛ́rɛnga dhu navì tɨ́. Pbɛ́tʉ̀, dzidu dɔ̌ rɨ́rà alɛ náaraya bàtizò núbho rɔ̌ fʉ̌kʉ̀ Kàgàwà bhà Ɨ̀lɨ̌lǎ-Alafí nɨ̌, ndɨrɔ̀ kàzʉ nɨ̌. Ndɨ alɛ rɨ̌’ɨ̀ ɔbɨ nà atdídɔ̌ ròsè dùdu nǎ. Ma màkǎ nzá mʉwà kà-pfɔ̀ rɔ̌ kàyìtò mà. 
MAT.3.12	Kàlʉ̌ ɔ̀nyʉ̀-ɔ̌nga t’ɨ́lɛ̀ta tɔ́ kanyà-tɨdɔ̀ fɔná. Ndɨrɔ̀ kà rɨ̌ pbɨ̀ndà odhó-dɔ̌nga nátsu, ndàdʉ̀ nganʉ̀-kpɔ̌ nípfo kɛ́lɛ́na ɔ̀ rɔ̀. Kà rɨ̌ pbɨ̀ndà nganʉ̀-kpɔ̌-tsʉ̀ núndǔ ɔ́ngɔ̀lɨ̌ ɔ̀, ndàdʉ̀ dzɛ́ngɛ́lɛ́na nʉ́bɨ̀ ɨ̀nzɨ̌ arávɛ ádrʉ̀ngbǎ kàzʉ ɔ̀.»
MAT.3.13	Atdíku, Yěsù nɨ́ɨra Gàlìlayà tɔ́ pbìrì ɔ̀ rɔ̀, ndɨ̀rà àhʉ Yùwanɨ̀-tɨ’ɔ̀, Yɔ̀rɔ̀danɨ̀ tɔ́ ɨdha-akpà-tsʉ̀, ndɨ́nɨ̌ kǎbhʉ̀ tɨ́ bàtizò fɨ̌ndà. 
MAT.3.14	Nɨ́ Yùwanɨ̀ núuvó ndɨ̀ kà-rɔ̌, ndàdʉ̀ àtɨ̀nà kà nɨ̌: «Ɨma nɨ́ ndɨ, ma màmbɛ̀nà bàtizò nálʉ̌ fʉnʉ́, nɨ́ ádhu nyɨ nyádʉ̀ ɨ̀rà kònzì fudú nɨ̌?» 
MAT.3.15	Pbɛ́tʉ̀, Yěsù náadʉ̀ ɔtɛ àdu kà tɔ̀, ndàtɨ: «Ɨ̀nzɨ̌ úvǒ nyɨ! Ítsè kà rɨ’ɨ ndɨ dhu bhěyi. Obhó tɨ́, kòmbí dhu àkǎ àlɛ̌ rɔ̀nzɨ̀ kɔ́rɔ́ dhu Kàgàwà nózè ka dhu bhěyi.» Nɨ́rɔ̀ nɨ́ ndɨ Yùwanɨ̀ náadʉ̀ Yěsù nʉ́nɔ̀ dhu ná’ù, ndàdʉ̀ bàtizò nábhʉ kà tɔ̀.
MAT.3.16	Bàtizò ndɨ̀ ndàlʉ̌ rɔ́rɔ̀ tɨ́, Yěsù rǎhʉ ɨdha ɔ̀ rɔ̀ rɔ̀, ɔ̀rʉ̀-akpà-tsʉ̀ náangbɛ ndɨ̀ kà tɔ̀. Nɨ́ kǎla Kàgàwà bhà Ɨ̀lɨ̌lǎ-Alafí ɔrʉ̀ rɔ̀ rífo àmbò tɔ́ ɔ́fɔ̀ ɔ̌ rɔ́, ndɨ àmbò ràdʉ̀ àdɨ dɔ̀ná.
MAT.3.17	Ndɨrɔ̀ Kàgàwà-tù náadʉ̀ ndɨ̀rɨ̀ ɔ̀rʉ̀-akpà ɔ̀ rɔ̀, ndàtɨ: «Yàrɨ́ nɨ́ Idhùdu, atdídɔ̌ ma mózè, nyɨ̀kpɔ́du nɔ̀fɔ̀ dhu ɔ̀nzɨ arɨ́ alɛ.»
MAT.4.1	Wɔ̀ dhu-dzidɔ̌, Kàgàwà bhà Ɨ̀lɨ̌lǎ-Alafí náabhʉ̀ Yěsù ràrà rʉ̀ngʉ̀ ɔ̀, ndɨ́nɨ̌ Pfɔ̀mvɔ núumvú tɨ́ afína. 
MAT.4.2	Nɨ́ Yěsù nʉ́ʉtsɨ ɔ̀nyʉ̀ t’ɔ́nyʉta-tsʉ̀ ɨ̀fɔ kumì ɨdhɔ tɨ́, ɨ̀nzɨ̌ ndàrà ɔ̀nyʉ̀ nɔ́nyʉ̀ rɔ̌ adyíbhengá màtɨ́ ndɨrɔ̀ kùbhingá màtɨ́. Nɨ́ àwù náadʉ̀ kàlʉ atdídɔ̌. 
MAT.4.3	Nɨ́rɔ̀ nɨ́ ndɨ pfɔ̀mvɔ nɨ́ɨra àhʉ kà-tɨ́, ndàdʉ̀ àtɨ̀nà kà nɨ̌: «Nyɨ nyapɛ́ ɨ̀’ɨ̀ Kàgàwà t’Ídhùnà nyʉ́ tɨ́, nɨ́ ávǐ kàrɨ́ odu rʉ̀gɛ̀rɛ̀ ɨ̀, ’òngò mʉ̀gatì tɨ́.» 
MAT.4.4	Nɨ́, Yěsù adʉ̀ dhu àdu kà tɔ̀ ndàtɨ: «Kàgàwà bhà Andítá ɔ̀ ka kándǐ dhu katɨ:
MAT.4.4	‹Ɨ̀nzɨ̌ nɨ́ mʉ̀gatì kɛ̀lɛ̌ ndɨ ìndrǔ tɔ̀ rǎdʉ̀ ípìrɔ̌nga nábhʉ,
MAT.4.4	pbɛ́tʉ̀ Kàgàwà-li’ɔ̀ rɔ̀ àhʉ kɔ́rɔ́ ɔtɛ nɨ́ ndɨ rǎdʉ̀ ípìrɔ̌nga nábhʉ ìndrǔ tɔ̀
