MAT.1.1	Ali ni lishauma lyamaimyo lyavanakuluvake Yesu Klistu ndukulugwe Daudi na jojo ndukulugwe Abulaamu.
MAT.2.6	mwaa kwako wako andaumililila nanangalaledi
MAT.2.6	álota kuvashunga venentete vangu vanaishilaeli.’ ”
MAT.2.7	Napanelo Elode andívashema kwashipii avalá vakumanya-dinondo kuvaudyangidya wakati wavagwanalele inondo 
MAT.2.8	kutwala kuvaulila vauke ku Beteleemu avalaililila kushidoni, “Mwenu wena mukamanyange shana ing'ano ya nunu ajo, mukankodya ida mungumanyiye pakulota nanangu nguke ndikalipudye.”
MAT.2.9	Vanavo vakaigwe malaililo amwe umu, vandyúmananga kuka. Mwe! Ailá inondo yavagwéne nkono wakwalyalakela liduva indívalangalalela mpaka ndaimila lyutu lyavéle nunu. 
MAT.2.10	Nadoni vanavo pavagwene inondo yo ìmidile, vandímamodya kupuwanga. 
MAT.2.11	Pavainjilenge nng'ande vandímwona nunu jo pamo na jujumunu Maliya, vanavo kunguguvalila kulipudya kutwala kuutukulanga vituvi vyave kumupa dinudyo adi: shaabu, ubani na mila. 
MAT.2.12	Napanelo pavalinguligwe mwindoti pakulota havanaujile kumwe Elode, vanavo vandyúka kwave vapitila indila inji.
MAT.2.13	Vakumanya-dinondo avalá vakauke, andímuumililila Yoshe mwindoti njelo wake 
MAT.2.14	Yoshe kutakatuka kuntwala nunu jo pamo na anyoke kuma shilo shosho kuka ku Mishili. 
MAT.2.15	Koko ko, nae andíikala mpaka papadile Elode. Vinu avi vinditandeka pakulota liwikile popo lilove lyatangwéle 
MAT.2.15	“Ku Mishili, ninshema mwanangu.”
MAT.2.16	Napanelo Elode pamanyite doni vakumanya-dinondo vaninduwanga, nae andíshimwa namene akalamulila vavabyange vana valume uti va pa Beteleemu pamo na vammakaja anyenjemwake, vana avo vavyaka vivili kwida mwina kwodana na wakati wapatilile dyabali na vakumanya-dinondo. 
MAT.2.17	Nadoni vindíwikila popo avilá vyatangwéle nkúlava Yelemiya aashidoni,
MAT.2.18	“Ku Lamaa lindiigwinika lidi,
MAT.2.18	shililo na kutangadikanga kukumene.
MAT.2.18	Ajo ni Lakeli ávalilila vanavake,
MAT.2.18	nae ankwita kupambadyangigwa,
MAT.2.18	mwaa uti vandibyaigwa.”
MAT.2.19	Napanelo ling'oto lyakupela Elode, andímuumililila Yoshe ku Mishili mwindoti njelo wake 
MAT.2.20	ndamwaulila doni, “Takatuka, ntwale mwana jo pamo na anyoke uke kushilambo sha ku Ishilaeli mwaa avalá váshilota kwovya shingumi shamwana, vandipalanga.” 
MAT.2.21	Bai nae andítakatuka kuntwala mwana pamo na anyoke kuka kushilambo sha ku Ishilaeli. 
MAT.2.22	Yoshe napane paigwite doni Alikalau ankulangalalela ku Yudeya adiva lyutu lyatatamunu Elode, nae andíjopa kuka kwanavo. Palinguligwe mwindoti andyúka kwisemu ya ku Galileya 
MAT.2.23	ndaikala panjini umo wavashema Nashaleti pakulota liwikile popo lilove litangaléke kwaindila yavakulava doni, “Vananshema kuva Nnashaleti.”
MAT.3.1	Napanelo mumaduva alo andyúmilila Nshuwau Wakubatisha kushimbweshe sha ku Yudeya alaililila 
MAT.3.2	aashidoni, “Lijugulange mwaa utawala wakuwa undivandika.” 
MAT.3.3	Aju ni jo wammalangénge nkúlava Ishaiya doni,
MAT.3.3	“Lidi linkwigwinika kushimbweshe,
MAT.3.3	‘Kandyanga indila yake 
MAT.3.3	aalowa mwalota kupita.’ ”
MAT.3.4	Jo Nshuwau aju ashigwala dinguvo dyavakandyénge na magwimbu angamila, kulyunga nkanda waligwogwe na shakulya shake kuva madalombwe na ushi wakunundu. 
MAT.3.5	Napanelo koko ko, vashindamuukila vayelusalemu, vammakaja uti a ku Yudeya na vamudisemu uti dyananyenje mwake lundi lwa Yudani. 
MAT.3.6	Vanavo vashindabatishigwa namu nae mulundi lwa Yudani akuno valivalanganga madambi ave.
MAT.3.7	Napanelo pavagwene mapalishayo na mashadukayo voe vaida ndapata ubatisho kwake, nae kushidoni, “Mmana mmadinyoka dyaishumu mwe! Anyinyitidilé nyani kutila shaushanga shake Nnungu shída? 
MAT.3.8	Lodya vyepo vilódya kulijugulanga. 
MAT.3.9	Hamunakumbukile kutangola vila muntima, ‘Tatagwetu wetu Abulaamu.’ Ninkumwaulila doni, lo majanga ala Nnungu ankuulula kundyuwidya Abulaamu vana. 
MAT.3.10	Imbedo vandilumika palindi lwannandi tayali. Kula nnandi úkapa vyepo vyambone, vandálumula kujela pamoto.
MAT.3.11	“Nangu mwenu apa, ninkumbatisha na medi kulodya kulijugulanga. Napane ling'oto lyangu nangu ankwida munu wadimongo kungupunda nangu wandikavaidile nangu kumuulanga vilatu vyake. Nae mwenu po, anambatisha na Imumu Wanashwe na moto. 
MAT.3.12	Ankuvanavo shombo shakupatangila vyakulya mmakono mwake; andakandyanga palugwa pake kuntwala ngano jo kuntaa mushidimbi kanji makadakada lo, andataa moto úkadimika.”
MAT.3.13	Napanelo Yesu ankuma pa Galileya kuka ku Yudani akapate ubatisho kumwe Nshuwau. 
MAT.3.14	Nshuwau napane ankulingangila kunneya, “Nangu ni ngúvaikidile wako ungubatishe. Napanelo uma dashi wako kungwidila nangu?” 
MAT.3.15	Yesu kutwala kunjang'ula kushidoni, “Kwaambi apa leka ive yadavo mwaa indituvaikila tuwishe popo ishaliya uti.” Nshuwau kwitikila. 
MAT.3.16	Nadoni po papatile ubatisho, Yesu andyúma mmedi mo kutwala muwakati wowo, mwe! Pamevo pake kuwa kushimuka, nae kumwona Imumu wake Nnungu wakuva mwang'unda ashuluka kwida ndamwikala. 
MAT.3.17	Bai lidi lyakwalakela kuwa kushidoni, “Aju ni mwanangu wakunagwaleka, kwamwaa wake nae ninkupuwanga namene.”
MAT.4.1	Napanelo Imumu aníntwala Yesu kumuukanavo kushimbweshe pakulota atubigwe namu Ndamoni. 
MAT.4.2	Nae akaunga maduva alubaini shilo na mui na ikankola indala. 
MAT.4.3	Bai nkútubya andímwidila ndamwaulila, “Wako ukava umwanagwe Nnungu, lamulila majanga ala ajalukange ave magung'u!”
MAT.4.4	Yesu napane kushidoni, “Um! Indyandikigwa doni, ‘Munu hananama ligung'u gweka kanji andánama kwakula lilove lyúma nkanywa mwa Nnungu.’ ”
MAT.4.5	Ndamoni kuntwala Yesu kumuukanavo mpaka kunjini wakwilimyanga nammika panantutuvilo waing'ande ya Nnungu 
MAT.4.6	kutwala kumwaulila doni, “Wako ukava umwanagwe Nnungu, daloka apa ukagwilile pai mwaa indyandikgwa doni,
MAT.4.6	“ ‘Nnungu andavalamulila vanjelo vake,
MAT.4.6	kwamwaa wako wako.
MAT.4.6	Vanavo vandakudong'a,
MAT.4.6	pakulota haunalijajede palijanga.’ ”
MAT.4.7	Yesu napane kushidoni, “Namomo indyandikigwa doni, ‘Haunanninge ntima 
MAT.4.8	Ndamoni kuntwala kavili Yesu kumuukanavo pashanya lishinga lyakulepa nannodya utawala uti wamushilambo shapai na kunnodya lishangelo lyake 
MAT.4.9	kumwaulila doni, “Ukanguguguvalila na kulipudya kwangu nangu, uti avi ndakupa.” 
MAT.4.10	Yesu napane kushidoni, “Kuka apa Shatwani! Mwaa indyandikigwa doni, ‘Lipudye kumwe 
MAT.4.11	Bai Ndamoni anínneka. Mwe! Vanjelo kwida nantumika.
MAT.4.12	Napanelo Yesu paigwite doni Nshuwau andyungwa, nae andyúja kuka ku Galileya. 
MAT.4.13	Akanyema pa Nashaleti kuka ndaikala ku Kapalanaumu njini uvéle nanyenje litanda kwisemu ya ku Shebuluni namu Naputali 
MAT.4.14	pakulota liwikile popo lilove litangaléke kwaindila yankúlava Ishaiya kushidoni,
MAT.4.15	“Shilambo sha Shebuluni na shilambo sha Naputali,
MAT.4.15	kulodya nkono wakulitanda,
MAT.4.15	mwangu unji walundi lwa Yudani,
MAT.4.15	Galileya shilambo shavamidi,
MAT.4.16	Venentete váshinama mushii,
MAT.4.16	vandyona lilangadyo likumene vila ali,
MAT.4.16	vanu váshinama mushilambo shashimbedi
MAT.4.16	shiídanavo kupela,
MAT.4.16	lindivamulikila lilangadyo.”
MAT.4.17	Napanelo kutunduvangila muwakati wowo wo, Yesu andítunduvanga kulaililila aashidoni, “Lijugulange mwaa utawala wakuwa undivandika.”
MAT.4.18	Napanelo Yesu apita awena nanyenje litanda lya Galileya, andívona vanung'unumunu vavili, Simoni wavanshema Patulu pamo na nkulumunu
MAT.4.19	Nae kuvaulila kushidoni, “Ngwoda! Nangu nantenda muve mmanu mmakuvaka vanu.” 
MAT.4.20	Vanavo kulakenneu dingau dyave, kumwoda. 
MAT.4.21	Paukile mushu padyoko kuvona vanung'unumunu vanji vavili, Tiyagu na nung'unumunu
MAT.4.22	Vanavo kunnakenneu tatagwave na ingalava yo, kumwoda.
MAT.4.23	Napanelo Yesu ashindatanela makaja a ku Galileya apita apundisha muvitala vyave vyakulipudidya avalanganga ntenga wambone wautawala, aponia vilwele na mauvilo uti kwavenentete. 
MAT.4.24	Nadoni shimbili shake shindyúmanikanga mushilambo uti sha Shiliya, venentete vashindavaidanavo kwake nae vanu vavénavo mauvilo akuvilingananga na malwele, vamajini, vashalala na vakulamala kutwala nae kuvaponia. 
MAT.4.25	Nae dishindamwoda dimbumba dyoe dya ku Galileya, dya ku Dekapolishi, dya ku Yelusalemu, dya ku Yudeya na dyakumwangu unji wa Yudani.
MAT.5.1	Napanelo Yesu akone dimbumba adilá, andíkwela palishinga kwikala. Vakwoda vake pavammandike, 
MAT.5.2	andítunduvanga kuvapundisha aashidoni,
MAT.5.3	“Vandyalaligwa avalá vamashikini mwimumu,
MAT.5.3	mwaa vanavo utawala wakuwa wàve.
MAT.5.4	Vandyalaligwa avalá valíla,
MAT.5.4	mwaa vanavo vandapambadyangigwa.
MAT.5.5	Vandyalaligwa avalá valishapéya,
MAT.5.5	mwaa vanavo vandapata shilambo kuva shave.
MAT.5.6	Vandyalaligwa avalá vavénavo indala na inyota yaishaliya,
MAT.5.6	mwaa vanavo vandaikuta.
MAT.5.7	Vandyalaligwa avalá vavénavo shididi,
MAT.5.7	mwaa vanavo vandaanangiligwa shididi.
MAT.5.8	Vandyalaligwa avalá vavénavo mitima víkave ushapu,
MAT.5.8	mwaa Nnungu, vanavo vandamwona.
MAT.5.9	Vandyalaligwa avalá vatandédya amani,
MAT.5.9	mwaa vanavo vandashamegwa vana vake Nnungu.
MAT.5.10	Vandyalaligwa avalá vapapatígwa
MAT.5.10	kwamwaa waishaliya,
MAT.5.10	mwaa vanavo utawala wakuwa wàve.
MAT.5.11	“Mundyalaligwa mwenu pavantukananga, pavampapata, pavantangalela vinu uti vyakunyata, vanambilila kwamwaa wangu nangu. 
MAT.5.12	Litamange na puwangila mwaa inudyo yenu kuwa ko ing'umene. Amo nimomo mwavavatandalele vakulava mwenu mukanava.
MAT.5.13	“Mwenu ni munyu wamushilambo, napane munyu ukadalala ulota kunogwa dashi kavili? Wanavo haunavanavo kavili madengo ila pavanajaa vanu ni kuluvatanga tu. 
MAT.5.14	Mwenu ni lilangadyo lyamushilambo na njini uvéle pashanya lishinga, haunapiika. 
MAT.5.15	Namomo hapali ánakaledya itaa kuvika nshilongo ila vavika pashinu pakwaneka pakulota ivamulikile vanu uti vapagwíte nng'ande amo. 
MAT.5.16	Nadoni inimmaikila lilangadyo lyenu limulike pakati pavanu pakulota vone matendo enu ashalowa na vamupe lishangelo Tatagwenu ávele kuwa.
MAT.5.17	“Hamunakumbukile kenga ngwidilé ndamalidya Lilamulo na Vakulava. Hangwidile ndamalidya, ngwidilé ndatadya viwikile popo vinu avyo. 
MAT.5.18	Ninkumwaulila mwiu doni, shilambo shakuwa na shapai vikanava kupita, hashipali shilóta kwapuka nkati mu Lilamulo ata palukavéle lutembo kwali lukweu ludikidiki vela, vindapagwa mpaka uti vitandeke. 
MAT.5.19	Woewoe álota kwiludyanga lilamulo lidikidiki pakati pamalamulo ala kutwala kuvapundisha vanu vanji vatandele momo, ajo kuutawala wakuwa, vananshema kuva ndyoko. Napane aijá álota kutandedya malamulo ala na kuvapundisha vanu vanji kutandela momo, kuutwala wakuwa ko, nae vananshema kuva nang'olo. 
MAT.5.20	Napavedoni ninkumwaulila mwiu, ishaliya yenu ikanapunda yavamwalimu vadishaliya na mapalishayo, mwiko muutawala wakuwa hamwinjila.
MAT.5.21	“Mwenu mundigwa ashilá shavavaulidile vanyakala doni, ‘Haunammyae munu na woewoe álota kubyaa, vandamuukanavo paukumu.’ 
MAT.5.22	Napane nangu jo ninkumwaulila doni, kula munu álota kunshunalila nung'unumunu vandamuukanavo paukumu. Namomo álota kuntukana nung'unumunu, vandamuukanavo kwikamati, nakavili, ámwaulila nung'unumunu do, ‘Hauvé ding'ano!’ vandamuukanavo kumoto wakushena. 
MAT.5.23	Napane ukauka ndaumya shadaka ku alutali, popo ukumbukila doni, apali nung'unumunu ávenavo mwaa namu wako, 
MAT.5.24	bai shinantandi leka yakumya yo uke ukaigwanenavo nung'unumunu jo, ling'oto uje wide umye shadaka shako. 
MAT.5.25	Igwania shipajelo namu waukashenienavo akuno muka kulibengi pakulota hanakupalakedye kumwe nkúukumu, nkúukumu nanae jo kukupalakedya kumwe nkúshunga kutwala nae kukujela nkalaboshi. 
MAT.5.26	Ninkukwaulila mwiu doni, kushinu ako wako hauma shinu ukanava kulipanga mpaka ishingo yamwisho.
MAT.5.27	“Mwenu mundigwa ashilá shavavaulidile vanyakala doni, ‘Hamunalavalave.’
MAT.5.28	Napane nangu jo ninkumwaulila doni, kula munu álota kunnola nkongwe ang'unuka, muntima mwake mo, andilavalava tayali kwankongwe ajo. 
MAT.5.29	Ikava kenga liu lyako lyakunkanakono linkukutadya utege, usha ujae kushu ko. Kudyanga ikwove imbandi imo yamili wako kuliko mili wako uti wakulinganana kujela kushena. 
MAT.5.30	Ikava kenga nkanakono wako ukakutadya kutega, lumula ujae kushu ko. Kudyanga ikwove imbandi imo yamili wako kuliko mili wako uti wakulinganana kujela kushena.
MAT.5.31	“Namomo vanditangola doni, woewoe ánneka ndyagwe inimmaikila amupe italaka.
MAT.5.32	Napane nangu jo, ninkumwaulila doni, kula munu ánneka ndyagwe paukavele mwaa waugoni, ajo ankuntadya nkongwe jo alavalave. Namomo woewoe álota kunnomba nkongwe wavannakile, ankulavalava.
MAT.5.33	“Namomo mwenu mundigwa ashilá shavavaulidile vanyakala doni, ‘Haunatimbange vyaulilapidile
MAT.5.34	Napane nangu jo ninkumwaulila doni, hamunalilapile mwiko, mulilapila kuwa mwaa kwanavo ko ni shiteng'u shake Nnungu, 
MAT.5.35	ata hamunalilapile shilambo shapai mwaa pai apa ni lyutu lyakupumudya madodo ake, na ata hamunalilapile ku Yelusalemu mwaa wanavo ni njini umwe 
MAT.5.36	Namomo haunalilapile muti wako mwaa wako hauulula kujalulanga yuli yako kuva yakudimba na ugwimbu wakudimba kuva yuli. 
MAT.5.37	Mwenu mukashidoni, ‘Elo’ ive mwiu elo, mukashidoni ‘Mene’ ive mwiu mene. Shinji shakupunda apo, shinkwalakela kumwe aijá nkalau.
MAT.5.38	“Mwenu mundigwa ashilá shavatangwele doni, ‘Átumbula liu nanae vantumbule. Átema lino nanae vanteme.’
MAT.5.39	Napane nangu jo ninkumwaulila doni, hamunammikile makukulu nkalau. Woewoe ákukoma lilatuma kunkanakono, nshiliulile kunshanda. 
MAT.5.40	Ákukashali alota akupoke ikanju yako, likoti yadavo nnakele atwale. 
MAT.5.41	Woewoe ákukanyilidya muwene shuuluta shimo, wako wenanavo vyuluta vivili. 
MAT.5.42	Ákujugwa shinu, mupe na aijá álota akukope, haunamwime.
MAT.5.43	“Mwenu mundigwa ashilá shavatangwele doni, ‘Nnagwaledye nkwenu na mmangedye mmongo wako.’
MAT.5.44	Napane nangu jo ninkumwaulila doni, vanagwaledye vamongo venu na vashwalidye avalá vampapáta 
MAT.5.45	pakulota muve mmana mmatatagwenu ávele kuwa. Mwaa nae vanu vakalau na vambone, liduva lyake ankuvavalila na vo vanu vaishaliya na vaungave-ishaliya vo, imbula ankuvatanyela. 
MAT.5.46	Da mwenu mukavanagwaledya gweka avalá vannagwalédya mulota kupata inudyo shani? Da ata avalá vakukatisha-ukodi havanatandela momo? 
MAT.5.47	Namomo mukavaudyanga vanung'unumunu gweka, munkutenda shinu shani shikumene shipundíle apo? Da i mo mwavatandela vamidi? 
MAT.5.48	Napavedoni mwenu inimmaikila muve mmanu mmashalowa-uti kenga Tatagwenu wakuwa, nae washalowa-uti.
MAT.6.1	“Lishunge pakulota hamunatende vitendo vyenu vyaishaliya pamevo pavanu kwambangidya vyoneke. Mukatenda davo po, Tatagwenu ávele kuwa hamupa shinu inudyo. 
MAT.6.2	Napavedoni paumya lipwashalelo haunaambele lipalapanda kenga mwavatandela vanu vamalambi muvitala vyakulipudidya na mudibalabala valota vapate lishangelo kwavanu. Ninkumwaulila mwiu doni vanavo tayali vandipata inudyo yave. 
MAT.6.3	Wako paumya lipwashalelo, shitandéka kunkanakono kwako, nkono nshanda wo haunamanye 
MAT.6.4	pakulota lipwashalelo lyako live lyashipii. Nadoni Tatamunu áona kwashipii, andakupa inudyo.
MAT.6.5	“Napanelo pamushwali hamunave kenga avalá vanu vamalambi. Vanavo kuvanagwela kushwali vaimidile muvitala vyakulipudidya na nanyenje dibalabala pakulota vaaneke kwavanu. Ninkumwaulila mwiu doni, vovo vo tayali vandipata inudyo yave. 
MAT.6.6	Wako ukalota kushwali injila kushumba shako ushime nnango wo utwale ushwali unjugwe Tatako ávele mushipii. Nadoni Tatako áona kwashipii andakupa inudyo. 
MAT.6.7	Pamushwali hamunaujidyeujidye malove kenga mwavatandela vamidi. Vanavo vandákumbukila doni pavaujidyaujidya kutangola, vyavajugwa avilá vindaigwinika. 
MAT.6.8	Mwenu hamunave kenga vanavo! Tatagwenu, ata mukanava kunjugwa, nae andimanya kaladavo ashilá shamulóta. 
MAT.6.9	Napenelo amu ni mwakushwalidya mwenu,
MAT.6.9	“ ‘Atata wetu úvele kuwa,
MAT.6.9	lina lyako liilimyangike,
MAT.6.10	utawala wako wide,
MAT.6.10	malotelo ako atandeke,
MAT.6.10	mushilambo shapai kenga kuwa.
MAT.6.11	Ligung'u lyetu lyakula liduva, tupa nelo.
MAT.6.12	Makosha etu, tulivaliva
MAT.6.12	kenga mo mwatuvalivalivila wetu vatutagela.
MAT.6.13	Haunatuukenavo kukutubigwa
MAT.6.13	kanji tuposha kumakono kumwe nkalau.’
MAT.6.14	“Mwaa mukavalivaliva vanu kupujungula kwave, nanae Tatagwenu ávele kuwa anannivaliva mwenu. 
MAT.6.15	Napane mukanavalivaliva vanu, nanae Tatagwenu hannivaliva kupujungula kwenu.
MAT.6.16	“Napanelo pamunga hamunalilodye kuva mushipalodi kenga mwavatandela vanu vamalambi. Vanavo vandányadyanyadyanga kumevo valilodye kwavanu kenga vandyunga. Ninkumwaulila mwiu doni, vovo vo tayali vandipata inudyo yave. 
MAT.6.17	Napane wako paunga, navanga medi kumevo mmuti mo, pakala mauta 
MAT.6.18	pakulota vanu havanakumanye kenga undyunga. Akumanye gweka Tatamunu ávele mushipii na jo Tatamunu áona kwashipii, andakupa inudyo.
MAT.6.19	“Napanelo hamunalikandyedye mali mushilambo shapai mwavananganga vinu ushwa na umandi, mwavatutumula vakwiva kutwala kwiva. 
MAT.6.20	Kondya mali enu kuwa, kwanavo ushwa na umandi havanaulula shinu kwanonga na kwavakatutumula vakwiva. 
MAT.6.21	Po palota kupagwa mali ako ntima wako undapagwa popo.
MAT.6.22	“Liu ni shenje shamili. Liu lyako likava lingumi, mili uti lindaumbala lilangadyo. 
MAT.6.23	Kanji liu lyako likava lilwele, mili wako uti shindaumbala shii. Napanelo lilangadyo mumili mwako likava shii, shii asho mwaa shani shilota kwilimyanga namene!
MAT.6.24	“Hapali munu wakuulula kuvatumikila vanang'olo vavili. Jumo anammangedya, junji jo kunnagwaledya; jumo kumwigwilila, junji jo kumwiludyanga. Mwenu hamuulula kuntumikila Nnungu akuno mutumikila mali.
MAT.6.25	“Napavedoni nangu ninkumwaulila hamunaangaikangile shingumi shenu kwa ashilá shamulota kulya kwali shamulota kukumbila na ata mili vyenu kwa ashilá shakulota kugwadya. Da shingumi i shinu shikumene kupunda shakulya na mili i shinu shamana kupunda dinguvo? 
MAT.6.26	Lola vyuni vyulukánga kuniania. Vyanavo havinapanda, havinanang'ena na havivenavo vidimbi. Ata ivele davo Tatagwenu ávele kuwa ankulisha. Kushi mwenu po hamuvenavo mana namene kupunda vyuni? 
MAT.6.27	Wakwashi pakati penu na kwangaikanga kwake ankuulula kwanjadyedya isaa imo vela yashingumi shake?
MAT.6.28	“Napanelo mwaa shani dinguvo dyo, munkwangaikila? Lola maukutu adinduva mumwitu mo mwakulumukila. Anavo madengo hanakola na hanalikandyangidya dinguvo. 
MAT.6.29	Nangu ninkumwaulila kushidoni, ata jo Shalomoni jo na lishangelo lyake uti, hagwalidile kulinganana na anavo. 
MAT.6.30	Napane ikava kenga maukutu amumwitu anáma jo nelo lunduno kujela pamoto Nnungu ankunnemya, kushi mwenu mmanu mmalikulupililo lidikidiki hannemya kupunda apo?
MAT.6.31	“Bai mwenu hamunaangaikange muushidoni, ‘Tulota kulya nyamani?’, ‘Tulota kukumbila nyamani?’, ‘Tulota kugwala nyamani?’ 
MAT.6.32	Doni, vinu avyo uti vamidi ni vaangaikangíla. Tatagwenu wakuwa ankumanya kenga uti avyo mwenu munkulota. 
MAT.6.33	Mwenu kanji shitandi angaikangila utawala
MAT.6.34	Nadoni hamunangaikangile liduva lyalunduno mwaa vyalunduno, vyalunduno. Migagolo vyaliduva limo vinkutosha kwaliduva lyolyo.
MAT.7.1	“Hamunavaukumu vanu kwambangidya namwenu hamunaukumigwe na Nnungu. 
MAT.7.2	Mwaa mo mwamulota kuvaukumila vavenu, namwenu Nnungu anamukumila momo. Shipimo shosho shamulota kuvapimila vavenu, namwenu Nnungu anampimila shosho. 
MAT.7.3	Mwaa shani unkwona shikoko muliu lyanung'unumunu kutwala kwiludyanga likangolo livéle muliu mwako? 
MAT.7.4	Umwaulila dashi nung'unumunu doni, ‘Leka ndikushe shikoko muliu mo,’ akuno muliu mwako lishingeme likangolo likumene? 
MAT.7.5	Umunu washinankulaba davo gwe! Shitandi likangolo lishingéme muliu mwako mo, usha. Apo undalola shana kutwala kusha shikoko asho muliu lyanung'unumunu.
