MAT.1.1	Kou Iesu Keliso buluve deiadaike ko. Iesuu Ebalahamuta Deividita valadamo lohonu.
MAT.5.46	Isito oleuoleu laheho isivilahai la hoesegeveale kebia unahaho lana isivilahaliege oleve kateai la ibina malei. Takesi malemale atae toela keau katelahai mole hoesegevema. 
MAT.5.47	Isi mesoho lainaho evieviholimale kebia nahate vai la haokuvu unaha hoesegevelive. Isito ata bahata kebia hoesegeveve. 
MAT.5.48	La Mamau otogoe vaveve dua unaha vamale ke nahate lata vaveve dua unaha vageve.”
MAT.6.1	Iesuu tota au esemu namigevei avoe, “La vaveve hoesegeveve. Lana atae nimo vaveve dua vai isiviale abu la vaveve ke elehai la tabagevei loui kosea, ‘Keau atae duaea.’ La kateige la Mamau bae otogoe ibinabe laovelivebene.
MAT.6.2	“Katealemo la isiviai kunaiholimale kebia tedaeveho valiege lainaho kibi uvuge ataeau evisi lohoi la elegevelive. Loboe ata unahae abuna dubue mesoho oe vaveve kateale vagei. Kosealemo keau isiviale katelahage ataeau kebia elegeveime hoesegevei. Iale di louge evive. Ata keau ataemo abu ibina malelu. Isito abu bae Dilavamo ibina malelivebene. 
MAT.6.3	Katealemo la kunaivesite kebia tedaeveho valiege lainaho ata namigevege abu hilokalive. Isito tobekai tedaeveve. 
MAT.6.4	Ige atabeu bae la vale ke hilokalivebene. Ige la Mamau la kebia tedaeveale kemo auna la elegevei ibina laovei.”
MAT.6.5	“Di tota hoto mole louge evive. La guligulilahaliege lainaho loboe ata kebia nahate valive. Keau isiviale dubue mesoho ologoe lavisi guligulilahage ata bahataeau elegevei. Isito ko huhulahave. Keau vata kove abu ibina bahata malelu. 
MAT.6.6	Iale la guligulilahaliege talive oe uvue lilikate udaha bamui la Mama imihave. Ige la Mamana la lilikate guliguliale ke elehai ibina laovei.
MAT.6.7	“La guligulilahaliege lainaho la noinoi ke loui dekubegelive. Evieviholimale keau katelahama. Abu huhulahai avoe, ‘No guliguli katelahage Dilavana no hoto evisi.’ 
MAT.6.8	Iale lainaho vaveveabe ke nahate vagelive. La onole loui la Mama namihaveve ke au subuta hilokanu. 
MAT.6.9	Iale la guliguliho valiege noinoi koseale vave.
MAT.6.9	“No Mama, otogoe umale no isiviale ataeau a ivie tumu hoesehavogei.
MAT.6.10	No isiviale a matamae dogau lohoale kela abu otogoe a isivi vale ke nahate ata bahata vata komo a isivi vai.
MAT.6.11	Isi nova no isivie lovi ke noevenela.
MAT.6.12	Isi ata degomoleau noemo vaveve toela vage no ke huhuoholisito momahavoale ke nahate no vaveve toela abuemo vale ke ulihanela.
MAT.6.13	Ainaho no halevesege no Setene lobomo dobuluvilive.
MAT.6.13	Isito vaveve toela vamale kemo no malevei halio.
MAT.6.13	Kosealemo ataeabuna a adae vuvunemo vani bahata a atagamo ui tigei.”
MAT.6.14	Noinoi kateale vave. Isi lana ata degomoleau vaveve toela laemo vale ke huhuoholisito momagevege la Mamau otogoe umale kena la vaveve toela ulihaime momahavoi. 
MAT.6.15	Isito mesoho ata degomoleau vaveve toela vai la aiogevege la ke huhulahai momageveholige la Mamau otogoe umale keu bae la vaveve toela vale ke ulihai momahavolivebene.”
MAT.6.16	“La Dilava hoesehavoho lovi ioholiliege lainaho vae ni valive. Loboe ata keabuna katelahai vae vaveve vage niabeu toelage ataeabuna kebia elegevei abuho uvulahai. Isito di la namigevei. Keau vata kove ibina malealemo abu bae otogoe ibina malelivebene. 
MAT.6.17	Isito lainaho katelahalive. La Dilava hoesehavoho lovi ioholiliege la ni totolahai la kina bive. 
MAT.6.18	Katealemo ataeau bae la vaelahale ke hilokalivebene. Isito la Mama igaena la lilikate vale ke elehai ibina laovei.”
MAT.6.19	“Lainaho vata komo kunai moaga bevuai otovegelive. Lana katelahasege segele abuna bohisi. O mesoho abuna vogolahai toelai. O mesoho vavolo ataeabuna la o vusahai kunai malei. 
MAT.6.20	Lainaho katelahalive. Isito la uvu malei otogoe vavevemo mavoge segeleau bae bohilivebene. Isi vogolahai toelalivebene. Ige ataeau vavoloalivebene. 
MAT.6.21	Vaveve keu koseanu. Vani bahata la kunaiu umale keve la uvuna ugei.”
