MAT.1.1	Je² libro xi³ cho⁴ta⁴jchi¹nca³-le⁴ Jesucristo, ˀnti¹-le⁴ David, cˀoa⁴ ˀnti¹-le⁴ Abraham.
MAT.1.13	Zorobabel nˀai³-le⁴ Abiud, cˀoa⁴ Abiud nˀai³-le⁴ Eliaquim, cˀoa⁴ Eliaquim nˀai³-le⁴ Azor. 
MAT.1.14	Azor nˀai³-le⁴ Sadoc, cˀoa⁴ Sadoc nˀai³-le⁴ Aquim, cˀoa⁴ Aquim nˀai³-le⁴ Eliud. 
MAT.1.15	Eliud nˀai³-le⁴ Eleazar, cˀoa⁴ Eleazar nˀai³-le⁴ Matán, cˀoa⁴ Matán nˀai³-le⁴ Jacob. 
MAT.1.16	Jacob nˀai³-le⁴ José, xˀin⁴-le⁴ María xi³ qui³tsin³-le⁴ Jesús xi³ Cristo tsa³cˀin². 
MAT.1.17	Cˀoa⁴-sˀin² nca³tsˀi³ cho⁴ta⁴jchi¹nca³-le⁴ sa³ˀnta³ Abraham sa³ˀnta³ David, te³ño³ jco⁴ ma³-ni³, cˀoa⁴ sa³ˀnta³ David sa³ˀnta³ nca³ qui³cha³ni² ya⁴ Babilonia, te³ño³ jco⁴ ma³-ni³, cˀoa⁴ cˀia⁴ nca³ qui³cha³ni² ya⁴ Babilonia sa³ˀnta³ Cristo, te³ño³ jco⁴ ma³-ni³.
MAT.1.18	Cˀia⁴ nca³ qui³tsin³ Jesucristo cˀoi⁴ coan³: María xi³ na⁴-le⁴ tji¹nˀion¹-le⁴ cjoa⁴chi³con³ cao⁴ José. Cˀia⁴ nca³ cje³ va³tio²cao⁴-jin² xi¹ncjin¹, María coan³sjai³-le⁴ nca³ yˀa³ ˀnti¹ xi³ tsˀe⁴ Espíritu Santo. 
MAT.1.19	Cˀoa⁴ nca³ cho⁴ta⁴cjoa⁴qui²xi⁴ José xˀin⁴-le⁴, li²coi³ coan³me³-le⁴ nca³ tsjoa¹-le⁴ cjoa⁴soa³ María. Coan³me³con³ nca³ to⁴ˀma³ qui³tsjion³. 
MAT.1.20	Cˀoa⁴ nca³ ti¹si¹cja³ˀai³tsjen³ je² cjoa⁴-vi⁴, coe⁴-ni³ a²ncje⁴-le⁴ Nai³-na¹ coan³tsen³-ni³le⁴ ya³ ni³jña¹-le⁴. Qui³tso²: José ˀnti¹-le⁴ David, li² jcon³-jin² nca³ chjoai¹³ María, chjon⁴²-li⁴, nca⁴ je² xi³ cˀoa⁴-sˀin² yˀa³ tsˀe⁴ Espíritu Santo ni¹. 
MAT.1.21	Cˀoa⁴ jnco³ ˀnti¹ cˀoe⁴² xi³ Jesús cˀoin¹-lai⁴ jan³ˀain¹-le⁴, nca⁴ je² cˀoa⁴sje³ntjai² na⁴xi⁴na³nta¹-le⁴ xi³ tˀa³tsˀe⁴ je¹-le⁴. 
MAT.1.22	Nca³yi³je³ je²-vi⁴ cˀoa⁴coan³ jme¹-ni³ nca³ cˀoa⁴-sˀin² coi⁴tjo³son²-si¹ni³ xi³ qui³tso² Nai³-na¹ xi³ to⁴tˀa³tsˀe⁴ cho⁴ta⁴ xi³ qui³nchja⁴ya³ xi³ tˀa³tsˀe⁴. Cˀoi⁴ qui³tso²: 
MAT.1.23	Coe⁴-ni³ je² chjon⁴²tsje³-vi⁴ cˀoa⁴ ˀnti¹, cˀoa⁴ cˀia⁴ cˀoe⁴², cˀoa⁴ Emanuel coi⁴tso⁴-le⁴ jan³ˀain¹-le⁴, je² jan³ˀain¹ xi³ tso²-ni³: Ni³na¹ ti¹jna³cao⁴-na¹. 
MAT.1.24	Cˀia⁴ nca³ ja³ˀa³-le⁴ José, cˀoa⁴qui³sˀin³ jo³-sˀin² tsa³cˀe¹ne²-le⁴ a²ncje⁴-le⁴ Nai³-na¹, cˀoa⁴ qui³scoe¹-ni³ chjon⁴²-le⁴. 
MAT.1.25	Li²jme³ xi³ to⁴nqui³-ni³ qui³sˀin³ sa³ˀnta³ nca³ tsa³cˀe¹ ˀnti¹tjon²-le⁴. Cˀoa⁴ Jesús qui³tso²-le⁴ jan³ˀain¹-le⁴.
MAT.2.1	Cˀia⁴ nca³ qui³tsin³ Jesús ya⁴ Belén tsˀe⁴ Judea, cˀia⁴ ni⁴čhjin³-le⁴ cho⁴ta⁴ti¹tjon² Herodes, coe⁴-ni³ ja³ˀai³ ya⁴ Jerusalén cho⁴ta⁴chji⁴ne⁴, xi³ ji³nčhoa³-ni³ jña³ tjo³-ni³ tsˀoi¹. 
MAT.2.2	Qui³tso²: Jña¹ ti¹jna³ je² cho⁴ta⁴ti¹tjon²-le⁴ cho⁴ta⁴ judíos xi³ qui³tsin³. Nca⁴ je² ni³ño³-le⁴ je³ca²ˀyai³⁴-jin⁴ jña³ nca³ tjo³-ni³ tsˀoi¹, cˀoa⁴ cjoa²ˀai⁴ ˀya³xcon¹-ni¹⁴jin⁴ nca³ je². 
MAT.2.3	Cˀia⁴ nca³ qui³nčhˀoe¹ je²-vi⁴ je² cho⁴ta⁴ti¹tjon² Herodes qui³tsa³cjon¹, cˀoa⁴-ti⁴ nca³yi³je³ cho⁴ta⁴ Jerusalén. 
MAT.2.4	Cˀoa⁴ qui³nchja⁴ma³ña³-le⁴ nca³tsˀi³ na⁴ˀmi³ti¹tjon² cao⁴ scribano xi³ tsˀe⁴ na⁴xi⁴na³nta¹, qui³tsi²na³nqui³-le⁴ jña¹-ni³ qui³tsin³-ni³ je² Cristo. 
MAT.2.5	Cˀoa⁴ je² qui³tso²-le⁴: Ya⁴ Belén tsˀe⁴ Judea, nca⁴ cˀoa⁴-sˀin² tji¹tˀa³ xon⁴ xi³ to⁴tˀa³tsˀe⁴ je² xi³ qui³nchja⁴ ya³ tˀa³tsˀe⁴ Ni³na¹. 
MAT.2.6	Ji³ Belén, na³nqui³-le⁴ Judá, a³li² to⁴jo³ ˀnti¹-jin² ja⁴jin³-le⁴ cho⁴ta⁴ti¹tjon² xi³ tsˀe⁴ Judá. Ya⁴ coi⁴tjo³jin³-ni³li² jnco³ xi³ coa⁴te²xo³ma³ na⁴xi⁴na³nta¹-na⁴ Israel. 
MAT.2.7	Cˀia⁴ Herodes qui³nchja⁴ˀma³-le⁴ je² cho⁴ta⁴chji⁴ne⁴-ve⁴. Nˀion¹ qui³tsi²na³nqui³-le⁴ jme¹ ni⁴čhjin³ coan³tsen³ je² ni³ño³. 
MAT.2.8	Cˀoa⁴ qui³si³ca³sen¹ cho⁴ta⁴-ve⁴ ya⁴ Belén, qui³tso²: Ta⁴nquin¹ qui⁴tso⁴mao⁴³ ya⁴jan¹, cˀoa⁴ nˀion¹-la² cho⁴na³nquio³ xi³ tˀa³tsˀe⁴ ˀnti¹-ve⁴. Cˀia⁴ nca³ coan⁴sjai³-no³, ti⁴cji³nčhˀoe¹-nao¹³, jme¹-ni³ nca³ cˀoa⁴-ti⁴ cjoi¹-si¹nia³ an³ nca³ scoe³xcoan¹³. 
MAT.2.9	Cˀia⁴ nca³ je³qui³nčhˀoe¹-le⁴ cho⁴ta⁴ti¹tjon²-ve⁴, qui³. Coe⁴-ni³ je² ni³ño³ xi³ tsa³ve³ ya⁴ jña³ nca³ tjo³-ni³ tsˀoi¹, cˀoa⁴-sˀin² qui³ti¹tjon²-le⁴ nca³ je² jo³ sa³ˀnta³ nca³ ji³cho² ya⁴ jña³ ti¹jna³ ˀnti¹-ve⁴, ya⁴ tsa³ca³sen²son². 
MAT.2.10	Cˀoa⁴ nca³ tsa³ve³ je² ni³ño³-ve⁴, a³li² to⁴cˀoa⁴ cji³ tsjoa³ coan³-le⁴. 
MAT.2.11	Ja³ˀa³sˀen³ ya⁴ ntˀia³, tsa³ve³ je² ˀnti¹-ve⁴ cao⁴ María je² na⁴-le⁴, cˀoa⁴ tsa³qui³ncha³xco¹nchˀin³tˀa³-le⁴ tsa³ve³xcon¹. Qui³sco³ˀai²nqui³ tso³jmi²-le⁴ xi³ chji¹, qui³tsjoa³cjoa⁴tjao²-le⁴ oro cao⁴ xo³nco¹sja³ cao⁴ xi³cha³xi³ xi³ na⁴sca¹ njen⁴. 
MAT.2.12	Ya³ ni³jña¹-le⁴ cˀoa⁴tsa³cˀin²ya³-le⁴ xcon¹ tsa² ti⁴ya⁴ coai⁴con³-ni³le⁴ Herodes. Xin² ntia⁴² ja³ˀa³ nca³ qui³-ni³ na³nqui³-le⁴.
MAT.2.13	Cˀia⁴ nca³ je³qui³-ni³ nca³ je², coe⁴-ni³ je² a²ncje⁴-le⁴ Nai³-na¹ coan³tsen³-ni³le⁴ ya³ ni³jña¹-le⁴ José, qui³tso²: Ti²so⁴tjain⁴, chjoai¹³ je² ˀnti¹-ve⁴ cao⁴ na⁴-le⁴, cˀoa⁴ ti⁴yoi¹³ ya⁴ Egipto. Ti⁴jnai³ ya⁴-ve⁴ sa³ˀnta³ cˀia⁴ nca³ an³ xi³ cˀoa⁴xin¹-le²³, nca³ cˀoi⁴²coan⁴ nca³ Herodes coa⁴²sjai³ je² ˀnti¹-ve⁴ tsa² si⁴²cˀen³. 
MAT.2.14	Cˀoa⁴ José ja³ˀa³-le⁴, qui³scoe¹ ˀnti¹-ve⁴ cao⁴ na⁴-le⁴ nca³ ni⁴tjen⁴, qui³ ya⁴ Egipto. 
MAT.2.15	Ya⁴ tsa³cˀe²jna³ sa³ˀnta³ nca³ cˀen³ Herodes, jme¹-ni³ nca³ coi⁴tjo³son²-si¹ni³ je² xi³ qui³tso² je² Nai³-na¹ xi³ to⁴tˀa³tsˀe⁴ cho⁴ta⁴ xi³ qui³nchja⁴ya³ xi³ tˀa³tsˀe⁴, qui³tso²: Na³nqui³ Egipto qui³nchja²³-le⁴ ˀnti¹-na⁴. 
MAT.2.16	Cˀia⁴ nca³ Herodes tsa³ve³ nca³ tsa³ve³chi⁴con¹ je² cho⁴ta⁴chji⁴ne⁴-ve⁴, a³li² cˀoa⁴cji³ jti³ coan³-le⁴. Tsa³cˀe¹ne² nca³ qui³ni²cˀen³ nca³tsˀi³ ˀnti¹xˀin⁴ xi³ jao² no¹ tjin¹-le⁴, cˀoa⁴ xi³ nqui²sa⁴ ˀnti-sa³ xi³ qui³sˀe³ ya⁴ Belén cao⁴ nca³tsˀi³ xi³ qui³sˀe³ ntai³-le⁴ na⁴xi⁴na³nta¹-ve⁴, jo³ cjoan³ tjin¹ ni⁴čhjin³ xi³ cˀoa⁴-sˀin² qui³tso²ya³-le⁴ je² cho⁴ta⁴chji⁴ne⁴-ve⁴. 
MAT.2.17	Cˀia⁴ cˀoa⁴-sˀin² ji³tjo³son² je² xi³ cˀoa⁴qui³tso² xi³ to⁴tˀa³tsˀe⁴ Jeremías, xi³ qui³nchja⁴ya³ tˀa³tsˀe⁴ Ni³na¹: 
MAT.2.18	Nˀion¹ tse³ cjoa⁴fao¹ qui³no²ˀya²-le⁴ ya⁴ ˀnte³ Ramá, qui³squi³ˀntia¹ ja³ˀa¹tse³-le⁴ Raquel xi³ squi³ˀnta¹tˀain³ xti³-le⁴. Li²coi³ coan³me³-le⁴ nca³ qui³ni²je³con³, nca⁴ isi² ti⁴tjio¹-ni³. 
MAT.2.19	Cˀia⁴ nca³ je³cˀen³ Herodes, coe⁴-ni³ je² a²ncje⁴-le⁴ Nai³-na¹ coan³tsen³-ni³le⁴ ya³ ni³jña¹-le⁴ José ya⁴ ˀnte³ Egipto. 
MAT.2.20	Qui³tso²: Ti²so⁴tjain⁴, chjoai¹³ je² ˀnti¹-ve⁴ cao⁴ na⁴-le⁴, cˀoa⁴ tˀin³ na³nqui³ Israel. Je³cˀen³ je² xi³ cˀoa⁴-sˀin² me³-le⁴ nca³ si⁴²cˀen³ ˀnti¹-vi⁴. 
MAT.2.21	Cˀia⁴ tsa³qui³so¹tjen⁴. Qui³scoe¹ je² ˀnti¹ cao⁴ na⁴-le⁴, cˀoa⁴ ja³ˀai³ ya⁴ na³nqui³ Israel. 
MAT.2.22	Qui³nčhˀoe¹ nca³ Arquelao ti¹va³te¹xo³ma³ ya⁴ Judea nca³jao³-le⁴ Herodes xi³ nˀai³-le⁴, José qui³tsa³cjon¹-le⁴ nca³ ya⁴ coai⁴. To⁴nca³ cˀia⁴ nca³ cˀoa⁴-sˀin² tsa³cˀin²ya³-le⁴ ya³ ni³jña¹-le⁴, qui³ ya⁴ na³nqui³ Galilea. 
MAT.2.23	Cˀoa⁴ ja³ˀai³, ya⁴ tsa³cˀe²jna³ ya⁴ ciudad xi³ Nazaret ˀmi², jme¹-ni³ nca³ coi⁴tjo³son²-si¹ni³ jo³ qui³tso² je² xi³ qui³nchja⁴ya³ tˀa³tsˀe⁴ Ni³na¹, nca³ cˀoa⁴-sˀin² cˀoin¹-ni³le⁴ cho⁴ta⁴ nazareno.
MAT.3.1	Je² coi³ ni⁴čhjin³-ve⁴ ja³ˀai³ Juan Bautista, xi³ qui³nchja⁴ya³ ya⁴ ˀnte³tˀa³xin²tˀa³ xi³ tsˀe⁴ Judea.
MAT.3.2	Cˀoi⁴qui³tso²: Ti⁴cˀa³ntjai³yao³ cjoa⁴fa³ˀai³tsjen³-no³, nca⁴ je³nčhoa¹ ma³čhian³ cjoa⁴te¹xo³ma³-le⁴ ncˀa³jmi³. 
MAT.3.3	Je²-vi⁴ jña³-le⁴ xi³ qui³tso²-ni³ Isaías xi³ qui³nchja⁴ya³ tˀa³tsˀe⁴ Ni³na¹: Je²-vi⁴ jta⁴-le⁴ xi³ nˀion¹ nchja⁴ ya⁴ ˀnte³tˀa³xin²tˀa³: Tja³ntao³ ntia⁴²-le⁴ Nai³-na¹, tja³qui²xio⁴³ ntia⁴²ˀnti¹-le⁴. 
MAT.3.4	Cˀoa⁴ Juan tsa³cˀa³cja¹ na³jño³ntsja⁴-le⁴ camello, cˀoa⁴ jnco³ čhjoa⁴xin¹ tji¹cja¹ntia³. Cˀoa⁴ tsa³cjen² xi³ tjin¹ nqui³jña¹, chjo⁴va⁴ cao⁴ ntsjen¹-le⁴ cho⁴ntsjen¹ya¹. 
MAT.3.5	Cˀia⁴ ji³tjo³ cho⁴ta⁴ Jerusalén, cao⁴ nca³tsˀi³ cho⁴ta⁴ Judea, cao⁴ nca³tsˀi³ xi³ tjio¹ntai³ ya⁴ nta¹je⁴ Jordán. Qui³con³-le⁴ Juan. 
MAT.3.6	Cˀoa⁴ tsa³ca³te¹nta¹ cho⁴ta⁴-ve⁴ Juan ya⁴ nta¹je⁴ Jordán. Cˀoa⁴ tsa³cja³ˀa¹con³ je¹-le⁴ cho⁴ta⁴. 
MAT.3.7	Juan tsa³ve³ cho⁴ta⁴ fariseos cao⁴ cho⁴ta⁴ saduceos xi³ ncjin² ma³-ni³, xi³ ja³ˀai³ sa³te¹nta¹, qui³tso²-le⁴: Cho⁴ta⁴ xi³ ye⁴ cjoaon³, ˀya¹ xi³ tsa³qui³ncha¹xcon¹-no³ nca³ coi⁴ncha³xin²-lao⁴³ je² cjoa⁴ñˀain³ xi³ nčhoa¹-vi⁴. 
MAT.3.8	Cˀoa⁴tˀiaon⁴³ tso²cˀoa⁴ cjoa⁴ xi³ nta³ tjin¹, xi³ va³quin²-no³ tsa² je³qui³ni²cˀa³ntjai²yao³ cjoa⁴fa³ˀai³tsjen³-no³. 
MAT.3.9	A³li² vi³xon¹-jion²³ ja⁴jin³ ni⁴ma⁴-no³: Tjin¹-na¹ Abraham je² nˀai³jcha¹cjin³-na¹. An³ cˀoa⁴xin³-no³ nca³ Ni³na¹ coan⁴-le⁴ nta³ tsa² cao⁴ je² la⁴jao⁴-vi⁴, sco¹mi³tjen⁴ ˀnti¹ xi³ tˀa³tsˀe⁴ Abraham. 
MAT.3.10	Cˀoa⁴-ti⁴ je² hacha je³qui³jna³tˀa³-le⁴ ja⁴ma⁴-le⁴ ya¹. Nca³yi³je³ ya¹ xi³ tsi² coi³ va³-le⁴ to³ xi³ nta³, jti¹ sˀe³tsao³jin³ lˀi¹. 
MAT.3.11	An³-vi⁴ xi³ cjoa⁴qui²xi⁴ va³te³nta¹³-ni³no³ cao⁴ na³nta¹, nca³ qui³ni²cˀa³ntjai²yao³ cjoa⁴fa³ˀai³tsjen³-no³, to⁴nca³ je² xi³ nčhoa¹tjen⁴nqui³-na³, nqui²sa⁴ tse³ nca³nˀion¹ tjin¹-le⁴ cao⁴-ni³ tsa² an³. Je² jte¹-le⁴ an³ li²coi³ va³quin²-na³ nca³ cˀoa³. Je² xi³ coa⁴te²nta¹-ni³no³ cao⁴ Espíritu Santo cˀoa⁴ cao⁴ lˀi¹. 
MAT.3.12	Je² xi³ vˀe¹ntjao⁴-ni³le⁴ cjia³ ntsja³, cˀoa⁴ si⁴²tsje³ tˀa³na³nqui³, cˀoa⁴ coi⁴ncha³xco¹ trigo ja⁴ya³ ni³ncˀa³-le⁴, cˀoa⁴ tje¹-le⁴ coi⁴ti⁴jin³ lˀi¹ xi³ ni⁴cˀia³-jin² cjoi⁴tsˀao³.
MAT.3.13	Cˀia⁴ ja³ˀai³-ni³ Galilea Jesús. Ja³ˀai³con³-le⁴ Juan ya⁴ nta¹je⁴ Jordán, jme¹-ni³ nca³ Juan coa⁴te²nta¹-si¹ni³ nca³ je². 
MAT.3.14	To⁴nca³ Juan nˀion¹ tsa³cˀe²jna³ta²ja³, qui³tso²: An³ xi³ ma³chjen¹ nca³ coa⁴te²nta¹-nai¹³ ji³, cˀoa⁴ ji³ a³ cjoa²ˀai⁴chon⁴-nai¹³. 
MAT.3.15	To⁴nca³ Jesús qui³tso²-le⁴: Ca²ta³vˀe² ntˀai⁴-vi⁴, nca³ cˀoa⁴²-sˀin² sque¹ntia³-na¹ nca³ si⁴qui³tjo³soan² nca³yi³je³ cjoa⁴te¹xo³ma³ xi³ cjoa⁴qui²xi⁴. Cˀia⁴ qui³si³jyo³-le⁴. 
MAT.3.16	Cˀoa⁴ Jesús, coan³scan³-ni³ nca³ je³qui³sa³te²nta¹, ji³nčhoa³mi³ jin³nti⁴ton⁴-ni³ na³nta¹. Coe⁴-ni³ je² ncˀa³jmi³ qui³tjo³ˀai²-le⁴, cˀoa⁴ tsa³ve³ je³ Espíritu-le⁴ Ni³na¹ xi³ ji³nčhoa³jen³-ni³ jo³-ni³ ni⁴se³ paloma, ja³ˀai³jen³ne²-le⁴ Jesús. 
MAT.3.17	Coe⁴-ni³ jnco³ jta⁴ qui³no²ˀya²-ni³le⁴ ncˀa³jmi³ xi³ cˀoa⁴tso²: Je²-vi⁴ ˀnti¹-na⁴ xi³ tsjoa³que⁴, jo³ nta³ sˀe³coan³ xi³ tˀa³tsˀe⁴.
MAT.4.1	Cˀia⁴ je² Espíritu Santo qui³cao⁴ Jesús ya⁴ ˀnte³tˀa³xin²tˀa³, nca³ je² nai⁴² coan³me³-le⁴ nca³ chˀao³ si⁴²cao⁴.
MAT.4.2	Cˀoa⁴ ña³chan³ ni⁴čhjin³, ña³chan³ ni⁴tjen⁴, nca³ tsi² tsa³cjen². Coan³scan³-ni³ coan³vao³-le⁴. 
MAT.4.3	Cˀoa⁴ ji³cho²con³-le⁴ Jesús je² xi³ chˀao³ si⁴²cao⁴, qui³tso²: Tsa² ˀnti¹-le⁴ Ni³na¹ ni¹³ ji³, cˀoa⁴tˀin²-lai⁴ je² la⁴jao⁴-vi⁴ nca³ nio⁴xti²la⁴ ca²ta³ma³. 
MAT.4.4	To⁴nca³ qui³nchja⁴-nca¹ni³ Jesús: Tji¹tˀa³: A³li² to⁴cao⁴ nio⁴xti²la⁴ cˀoe¹jna³con³-ni³ cho⁴ta⁴, to⁴nca³ cao⁴ nca³yi³je³ en¹ xi³ nchja⁴-ni³ tsˀoa³ Ni³na¹. 
MAT.4.5	Cˀia⁴ je² nai⁴² qui³cao⁴ Jesús ya⁴ na⁴xi⁴na³nta¹tsje³, cˀia⁴ qui³si³cˀe¹jna³son² ya⁴ son²ncˀa³-le⁴ yo⁴nco⁴. 
MAT.4.6	Qui³tso²-le⁴: Tsa² ˀnti¹-le⁴ Ni³na¹ ni¹³ ji³, chji¹jen³nqui³-lai⁴ i⁴-vi⁴, nca³ tji¹tˀa³: Ni³na¹ cˀoe⁴²xa¹-le⁴ a²ncje⁴-le⁴ nca³ si⁴²coi²nta⁴-li², cˀoa⁴ je² ntsja⁴ sco¹mi³tjen⁴-ni³li², jme¹-ni³ nca³ je² la⁴jao⁴ li²coi³ sa⁴te¹nqui³-si¹ni³ ntso⁴coi³. 
MAT.4.7	Jesús qui³tso²-le⁴: Cˀoa⁴²-ti⁴ tji¹tˀa³: A³li² chˀao³ cho²tˀa³-jin²³ je² Nai³-li⁴ Ni³na¹-li⁴. 
MAT.4.8	Nqui²jnco³cˀa² je² nai⁴² qui³cao⁴ jnco³ ni³nto³ xi³ nˀion¹ ncˀa³, cˀoa⁴ tsa³ca³co¹-le⁴ nca³yi³je³ cjoa⁴te¹xo³ma³-le⁴ son³ˀnte³, cao⁴ cjoa⁴je³ya³-le⁴. 
MAT.4.9	Qui³tso²-le⁴: Nca³yi³je³ je²-vi⁴ tsjoa³-le²³ ji³-vi⁴, tsa² coi⁴sen⁴xco¹nchˀin³tˀa³-nai¹³, cˀoa⁴ tsa² jcha⁴xcon¹-nai¹³. 
MAT.4.10	Cˀia⁴ Jesús tso²-le⁴: Tˀin³, Satanás, nca⁴ tji¹tˀa³: To⁴je² Nai³-li⁴ Ni³na¹-li⁴ xi³ jcha⁴xcoin¹³, cˀoa⁴ to⁴je² to⁴jnco³ xi³ si⁴xa¹-lai⁴. 
MAT.4.11	Cˀia⁴ je² nai⁴² qui³xin²-le⁴. Coe⁴-ni³ je² a²ncje⁴ xi³ ji³cho², cˀoa⁴ qui³si³sin³-le⁴.
MAT.4.12	Cˀia⁴ nca³ qui³nčhˀoe¹ Jesús nca³ Juan qui³ni²cˀe¹jna³nˀion¹, qui³ ya⁴ Galilea. 
MAT.4.13	Qui³si³cˀe¹jna³ Nazaret, ji³nčhoa³ cˀoa⁴ ya⁴ tsa³cˀe²jna³ Capernaum, je² na⁴xi⁴na³nta¹ xi³ ti¹jna³ntai³ nta¹chi³con³, xi³ nchja⁴-ni³ Zabulón cao⁴ Neftalí, 
MAT.4.14	jme¹-ni³ nca³ coan⁴jnco³-si¹ni³ je² xi³ qui³tso² Isaías xi³ qui³nchja⁴ya³ tˀa³tsˀe⁴ Ni³na¹, xi³ cˀoi⁴qui³tso²: 
MAT.4.15	Je² na³nqui³ Zabulón cao⁴ je² na³nqui³ Neftalí, xi³ ntia⁴² ya⁴ ja⁴tˀa³-le⁴ nta¹chi³con³, cˀoa⁴ xi³ xi³ncoa³tˀa³ Jordán, cˀoa⁴ ya⁴ Galilea xi³ tsˀe⁴ cho⁴ta⁴ xi³ li² judío-jin². 
MAT.4.16	Je² na⁴xi⁴na³nta¹ xi³ tjio¹jin³ njion², jnco³ lˀi¹tse³ tsa³ve³, cˀoa⁴ je² xi³ tjio¹ ya⁴ ˀnte³-le⁴ cjoa⁴vi³ya³, xi³ tjio¹nqui³-le⁴ cjoa⁴vi³ya³, lˀi¹ qui³si³ˀi³sen³-le⁴. 
MAT.4.17	Sa³ˀnta³ cˀia⁴ Jesús tsa³cˀe¹tsˀia⁴ nca³ qui³nchja⁴ya³, cˀoa⁴ qui³tso²: Ti⁴cˀa³ntjai²yao³ cjoa⁴fa³ˀai³tsjen³-no³, nca⁴ je³nčhoa¹ ma³čhian³ cjoa⁴te¹xo³ma³-le⁴ ncˀa³jmi³. 
MAT.4.18	Cˀia⁴ nca³ ja³ˀa³ Jesús ntai³ nta¹chi³con³ ya⁴ Galilea, tsa³ve³ jao² ntsˀe⁴, Simón xi³ Pedro ˀmi²-ni³, cao⁴ Andrés xi³ ti⁴ntsˀe⁴-ni³. Tjio¹si¹cˀa³tjen⁴jin³ na⁴ˀya³-le⁴ nta¹chi³con³, nca⁴ jti⁴ ma³-le⁴ si¹cˀen³. 
MAT.4.19	Jesús qui³tso²-le⁴: Nčhoa¹tjen⁴nqui³-nao¹³, cˀoa⁴ an³ tsjoa³-no³ xa¹ nca³ cˀoe¹xco¹³ cho⁴ta⁴. 
MAT.4.20	Nti⁴ton⁴ qui³si³ca³tio² na⁴ˀya³-le⁴, qui³tjen⁴nqui³-le⁴. 
MAT.4.21	Cˀoa⁴ qui³-sa³ ya⁴-ve⁴, nqui²jao² ntsˀe⁴ tsa³ve³, je² Jacobo xi³ ˀnti¹-le⁴ Zebedeo, cao⁴ Juan xi³ ti⁴ntsˀe⁴-ni³ ja⁴ya³ chi³tso³ cao⁴ Zebedeo xi³ nˀai³-le⁴, tjio¹vˀe¹jčho³ na⁴ˀya³-le⁴. Cˀoa⁴ qui³nchja⁴-le⁴. 
MAT.4.22	Cˀoa⁴ je² nti⁴ton⁴ qui³si³cˀe¹jna³ chi³tso³-ve⁴ cao⁴ nˀai³-le⁴, qui³tjen⁴nqui³-le⁴. 
