GEN.1.1	Tana vuivuni mai dania God te gonia na kokou mana pari. 
GEN.2.23	“Itaeni, gaia na pilena na puku ni huligu mana vinahigu.
GEN.2.23	Mu ku vatua nia na vaivine, na pukuna God te lavi horua mai tana mane.
GEN.2.24	Aeni te tughunitatea ge na mane ke sania tamana ma tinana, me ke sonikolu ta tauna, ma rogaira toro sakai vamua tana matana God. 
GEN.2.25	Sakai vamua na mane ma tauna toro sopa soesole, moro mua mamahaaghi.
GEN.3.1	Mana poli te gueguelo au vulera na lei vata ni maumanu soko Yahweh God te gonira. Na poli te huatia na vaivine, “?E bosa utunia sughua God, ko bei ghania gea siki vuavua tana leghai eni?”
GEN.3.2	Na vaivine te bosa tughu vania, “Taho! Koro tangomana so na ghaniani na vavanga tana siki ghai tana leghai, 
GEN.3.3	hauva ma gaia vamua na vavangana na ghai ghobuna na leghai, God te mua lubatighai na ghaniana po koro tabea. Ke vagha koro gonia te vagha ke, koro mate!”
GEN.3.4	Na poli te bosa, “Koro mua mate! 
GEN.3.5	God te ghilala ke vagha koro ghania, na matamiu ke davora mo koro manaha. Vaho ge koro vagha God, mo koro ghilalai na lei totobo soko, tara uto mana dika.” 
GEN.3.6	Mi tana bona na vaivine te righia na reireina na vavanga te ghaugharugha, me manilu ge ke ghania ke, ma gaia te nia gharu ge ke manaha, kakeri tea ge ghanighi balu na vavanga. Me vahea na balu vavanga a tauna te kabukolua, ma gaia ghua te vanga. 
GEN.3.7	Me mina vaso, na matadira te davora, ge ro ghilala toro soesole, moro maa. Keri ge rogaira toro tura kolui na raurauna na ghai tara holoa nia na fig moro nighi sagova, ge koro sarora nia.
GEN.3.8	Te dutu tua na nulavi, rogaira toro rongovia Yahweh God te sakusakutua tana leghai. Ma rogaira toro polo i ghobuni na lei ghai. 
GEN.3.9	Ma Yahweh God te holoa na mane, me ghaghua, “?Ivei ighoe?”
GEN.3.10	Mete bosa tughu, “Inau tu rongovigho, mu polo na pukuna tu soesole.”
GEN.3.11	Ma Yahweh God te huatia, “?Ahei te bosaa vanigho to soesole? ?Vaghi so o ghania na vuavua tu hovegho nia na ghaniana?”
GEN.3.12	Na mane te bosa tughu, “Na vaivine eni to vaheu ge ke kabukoluu, te hola mai vaniu na vuavua, ge u ghania.”
GEN.3.13	Keri ke, Yahweh God te huatia na vaivine, “?Na hava to ghua ge o nea te vagha eni?”
GEN.3.13	Na vaivine te bosa vania, “Na poli te pegou, mana pukuna keri ge u ghania.”
GEN.3.14	Keri ge Yahweh God te bosa vania na poli, “Na pukuna to nea te vagha eni, inau ku torogho. Ighoe itadira na lei maumanu kukuti mana maumanu asi tana maramana udolu ku varangagho. Tana lei bongi ni volamu, ko nia tagu na kutumu tana pari. 
GEN.3.15	Te vuivuni taeni, inau ku neghau, ighoe mana vaivine, koro kanahaghi. Mana vaivarimu ighoe mana vaivarina gaia ghua kara kanahaghi. Na vaivarina gaia ke turi horua na ulumu, mi ghoe ko ghalatia na guruvatuna na tuana.
GEN.3.16	Ma God te ghaghua vania na vaivine, “Ighoe ko vahaghitaili ngangata tana bona ko vahuhu gari. Hauva ko ghanaghana mava na taumu, ma gaia ke vunaghi pungisigho.”
GEN.3.17	Vaho ge God te bosa vania na mane, “Na pukuna to rongovi taonia na taumu, ge o ghania na vuavua ni ghai tu bosa vanigho ko bei ghania, inau ku torogho mu ku talua na vavaranga vanigho tana pari. Tana lei bongi ni volamu udolu, ighoe ko lutu papara mo ko vahaghitaili ge ko sodoa iga na kaukabumu. 
GEN.3.18	Ke totolo dato mai iga na kaukaru mana ghaulahi liva ke pungisigho. Hauva, ko ghanighi na vavanga te totolo dato tana pari. 
GEN.3.19	Tana volamu udolu ighoe ko vivikino ge ko loghoa na vanga, polo ke sara na dani ni mateamu. Mi ghoe ko ghoi oli tana pari to vuha mai gaa. Ighoe to vuha mai tana pughu ni pari, mi tana pughu ni pari ko ghoi oli gaa.”
GEN.3.20	Ma Adam na mane, te vatua nia Eve
GEN.3.21	Ma Yahweh God te pupulura Adam maia tauna nia lei vata ghuighuli ni maumanu.
GEN.3.22	Ma Yahweh God te bosa, “Itaeni, na tinoni raini tara vaghaghita, mara ghilalai na lei totobo te uto mete dika. Ighita ka mua lubatira ge koro ghania na vuavuana na ghai ni vola, ge koro vola kasila!” 
GEN.3.23	Keri ge Yahweh God te tivakehara Adam mana tauna tana leghai Eden, ge koro lutu tana pari, te vuha mai gaa Adam. 
GEN.3.24	Murina te tivakehara tana leghai, ma Yahweh God te talura na lei angel tara holora nia cherubim ilevu uluna Eden, mana isi te ruruhu me ririu kolili, te vatoghaa na halautuna na ghai ni vola.
GEN.4.1	Ma Adam te maturu kolua tauna Eve, me logho gari. Mete sara tua na bona, gaia te vahua na garimane me ghaghua, “A Yahweh te hangau, inau tu loghoa na garimane.” Keri ke gaia te vatua nia Cain.
GEN.4.2	Mi murina mai, gaia te vahua ruani na dalena, na ahana Abel. Tana bona toro sule dato, Abel te righitaoni sheep, ma Cain te lutu tana leghai. 
GEN.4.3	Tana sakai na bongi, Cain te lavia vania mai Yahweh nina lavi ni vogha ta nina leghai. 
GEN.4.4	Ma Abel te lavira mai vania Yahweh na balu kamanagho dale sheep marabu te vilighi ta nina ovu ni sheep tara korukoru, me nighi sukaghi. Ma Yahweh te holopangotia Abel ma nina sukaghi. 
GEN.4.5	Hauva ma gaia te mua holopangotia Cain ma nina heveilee. Na pukuna keri, Cain te rutu ngangata me loghoa na lio dika. 
GEN.4.6	Ma Yahweh te huatia, “?Na hava te ghua ge o rutu, me ghua ge o loghoa na lio dika? 
GEN.4.7	Ke vagha ko gehegehe maemane ke, geva ku lavipangotigho. Me ke vagha ko hove na gehegehe maemane ke, ko righitaonigho na pukuna na palu te gonidila ge ke taghalaghinigho me ke durakegho, hauva mo ko tughuru pungisia.
GEN.4.8	Mi geva Cain te padapada vania tahina Abel, “Roghita koro rughuhoru va tana nanagu.” Mi tana bona koro ghahara iga, Cain te soghavia me matea na tahina.
GEN.4.9	Mi murina keri, Yahweh te huatia Cain, “?Ivei gaia Abel, na tahimu?”
GEN.4.9	Ma Cain te bosa tughu, “U mua ghilala inau! ?To ghanaghana inau ge ku righitaonia na tahigu?”
GEN.4.10	Ma Yahweh te bosa tughu, “?Na hava na pukuna ge o gonia na totobo dika eni? Ko rongovia, na ghabuna tahimu te ngangaraha dato vaniu mai tana pari. 
GEN.4.11	Na pukuna to matea na tahimu mo nea na ghabuna te tave tana pari ke, inau ku tivakehagho tana pari mu ku varangagho ge ke mua totolo dato siki vuavua ko subaa. 
GEN.4.12	Sakai vamua ko lutu laga, ke mua tangomana na hali vanigho na vanga. Te vuivuni taeni ke taho na komumu, mo ko ole kolili vamua tana maramana.”
GEN.4.13	Ma Cain te bosa tughu vania Yahweh, “Nigua na totoro te sule vuleu na vadangitailiana. 
GEN.4.14	Itaeni, ighoe to tivakehau tana bonagu, maia tana matamu. To neu mu ghogho kolili tana maramana, ma siki sakai ke righi sodou ke labumateu.”
GEN.4.15	Ma Yahweh te bosatughu, “Taho! Bei mataghu, na pukuna ke vagha siki sakai ke mategho ke, inau ku vahea e vitu na totoro ahei ke nea.” Ma Yahweh te talua na vaughilala itatana Cain, ge ke siki sakai te righi sodoa, ge ke bei matea. 
GEN.4.16	Vaho ge tona keha Cain tana matana Yahweh. Me vaa kabu tana butonikomu Nod
GEN.4.17	Balu bongi te murina, Cain te maturu kolua tauna. Ma tauna te logho gari, me vahua na garimane, mara vatua nia na ahana Enoch. Tana bona Cain te kisua na komu sule, me holoa nia Enoch na mavuna na dalena. 
GEN.4.18	Enoch na tamana Irad. Irad na tamana Mehujael. Mehujael na tamana Methushael. Methushael tamana Lamech. 
GEN.4.19	Ma Lamech te taudira rua na vaivine, Adah ma Zillah. 
GEN.4.20	Adah te vahua na garimane na ahana Jabal. Gaia na vuivuni tinoni te righi taonighi na volivoli ni maumanu, mete ghahaa tana vale tapole. 
GEN.4.21	Na ahana tahina, Jabal, na vuivuni tinoni kage linge te gonighi na kolove mana uvete. 
GEN.4.22	Me ruani na tauna Lamech, Zillah te vahua na garimane, na ahana Tubal-Cain. Agaia na vuivuni tinoni te gonighi na lei totobo nia na halo mana kava. Tubal-Cain na vaivinena tara vatua nia Naamah.
GEN.4.23	Ma sakai na dani, Lamech te bosa vanira erua na tauna,
GEN.4.23	“Adah ma Zillah, roghau taugu,
GEN.4.23	Koro rongoviu mai!
GEN.4.23	Inau tu matea na tinoni te labuu,
GEN.4.23	Eo, inau tu matea na garimane te niu ge u bubutou.
GEN.4.24	Siki sakai ke labumatea Cain ke, gaia ke lavia ra vitu na tughuru ni lavitughu.
GEN.4.24	Keri ke, siki sakai ke niu lavitughu inau ke, gaia ke lavia ra vitu hangavulu vitu na tughuru ni lavitughu.”
GEN.4.25	Ma Adam te ghoi maturu kolua tauna, me vahua sakai dalena mane. Gaia te bosa, “God te vaheu toluni na gari te tughua nia Abel, na pukuna Cain te matea.” Keri ke, me vatua nia Seth.
GEN.4.26	Ma Seth te sule dato, me loghoa na dalena me vatua nia Enosh. Mi tana lei bongi ni volana rana vure tara vuivuni ni holohabaana Yahweh.
GEN.5.1	Aeni na vavatana mana vinavahuhuna Adam.
GEN.5.1	Tana bona God te gonia na tinoni, gaia te goni taonira tana marena. 
GEN.5.2	Gaia te gonira na mane mana vaivine, me vautora me holora nia na “Tinoni”.
GEN.5.3	Tana bona Adam te sakai hangalatu tolu hangavulu (130) na niuluna me vahua na dalena Seth. Ma Seth te vagha lolotoa tua na reireina tamana. 
GEN.5.4	Mi murina te vahua tua Seth, Adam te saravia tua alu hangalatu (800) na niuluna, me ghoi loghora na balu dalena, na mane mana vaivine. 
GEN.5.5	Me poso tua tana hiua hangalatu tolu hangavulu (930) na niuluna gaia te mate.
GEN.5.6	Tana bona Seth te sakai hangalatu lima (105) na niuluna, me vahua na dalena na mane, a Enosh. 
GEN.5.7	Mi murina na vahuana Enosh, Seth te poso tua tana alu hangalatu vitu (807) na niulu, me ghoi loghora balu dalena, na mane mana vaivine. 
GEN.5.8	Mana niuluna te saravia ra hiua hangalatu hangavulu erua (912) gaia te mate.
GEN.5.9	Tana bona Enosh te hiua hangavulu (90) na niuluna, me vahua na dalena na mane, a Kenan. 
GEN.5.10	Mi murina tua te vahua Kenan, Enosh te poso tua tana alu hangalatu hangavulu lima (815) na niuluna me ghoi vahura na lei dalena, na mane mana vaivine. 
GEN.5.11	Mana niuluna te saravia hiua hangalatu lima (905) na niulu, gaia te mate.
GEN.5.12	Tana bona Kenan te vitu hangavulu (70) na niuluna, me vahua na dalena na mane, a Mahalalel. 
GEN.5.13	Murina na vahuana Mahalalel, Kenan te saravia ra alu hangalatu vati hangavulu (840) na niuluna, me ghoi vahura na lei dalena, na mane mana vaivine. 
GEN.5.14	Mana niuluna te saravia ra hiua hangalatu sakai hangavulu (910), gaia te mate.
GEN.5.15	Tana bona Mahalalel ta sara tua ono hangavulu lima (65) na niuluna, me vahua na dalena na mane, a Jared. 
GEN.5.16	Mi murina na vahuana Jared, Mahalalel te saravia ra alu hangalatu tolu hangavulu (830) na niuluna. Me ghoi vahura na lei dalena, na mane mana vaivine. 
GEN.5.17	Mana niuluna te saravia alu hangalatu hiua hangavulu lima (895), gaia te mate.
GEN.5.18	Tana bona Jared te saravia sakai hangalatu ono hangavulu rua (162) na niuluna me vahua na dalena na mane, a Enoch. 
GEN.5.19	Mi murina tua na vahuana Enoch, Jared te saravia alu hangalatu (800) na niuluna, me vahura na lei dalena, na mane mana vaivine. 
GEN.5.20	Mana niuluna te saravia hiua hangalatu ono hangavulu rua (962) gaia te mate.
GEN.5.21	Tana bona Enoch te ono hangavulu lima (65) na niuluna, me vahua na dalena na mane, a Methuselah. 
GEN.5.22	Mi murina na vahuana Methuselah, Enoch te saravia so tolu hangalatu (300) na niuluna, me nia sakaisonikolu God. Me ghoi vahura na lei dalena, na mane mana vaivine. 
GEN.5.23	Ma Enoch te ghaha tolu hangalatu ono hangavulu lima (365) na niulu. 
GEN.5.24	Mi tana lei bongi ni volana, God te nia togotogo te sakaisonikolu itatana. Ma sakai na bongi, Enoch te tovongo taghaa, na pukuna God te lavi kehaa ge ke kabu kolua.
GEN.5.25	Tana bona Methuselah te saravia tua sakai hangalatu alu hangavulu vitu (187) na niulu, me sivuragha na dalena na mane, a Lamech. 
GEN.5.26	Mi murina tara vahua tua Lamech, Methuselah te ghaha 782 na niulu, me sivuraghara na lei dalena na mane mana vaivine. 
GEN.5.27	Mana na niuluna te saravia hiua hangalatu ono hangavulu hiua (969), gaia te mate.
GEN.5.28	Tana bona Lamech te sakai hangalatu alu hangavulu rua (182) na niuluna, me sivuragha na dalena na mane. 
GEN.5.29	Ma Lamech te ghaghua, “Na dalegu eni ke vaheghita na malumu ta dida na lutu papara, tana pari a Yahweh te varangaa.” Keri ge gaia te vatua nia na dalena, a Noah.
GEN.5.30	Mi murina tua tara vahua Noah, Lamech te ghaha lima hangalatu hiua hangavulu lima (595) na niuluna, me ghoi vahura na lei dalena, na mane mana vaivine. 
GEN.5.31	Mana niuluna te saravia vitu hangalatu vitu hangavulu vitu (777), gaia te mate.
GEN.5.32	Mi murina Noah te saravia lima hangalatu (500) na niulu, me sivuraghara ra tolu dalena na mane - Shem, Ham, ma Japheth.
GEN.6.1	Mi tana bona na lei tinoni tara mina mara totolo, mara sepalaghi tana maramana, mara suvuraghara mara subo na lei vaivine, 
GEN.6.2	na lei dalena na mane God
GEN.6.3	Keri ge Yahweh te bosa, “Tu mua lubatia na tarungagu, te vahera na vola, ke kabu kolura na lei tinoni ke va me vaa, na pukuna gaira na tinoni vamua. Te vuivuni taeni, gaira kara ghahara ke mua vulea sakai hangalatu rua hangavulu (120) na niuludira.”
GEN.6.4	Tana lei bongi kiri, mi murina ghua, na lei mumutabu, tara holora nira “Nephilim,” kara ghahara tana maramana. Raini na vaivaridira rana lei dalena God tara taudira na lei tinoni vaivine. Gaira na lei malaghai laga ta rongovira tana lei tutugu haulaghi.
GEN.6.5	Ma Yahweh te righia didira na tangohahi na lei tinoni, mana ghanaghanadira te tangohahi talau. 
GEN.6.6	Ma Yahweh te dikalio sule me rusu na tobana, na pukuna gaia te gonira rana vure tana maramana. 
GEN.6.7	Keri ke, Yahweh te bosa, “Inau ku taghalaghi ni sokora na lei tinoni tu gonira. Eo, mi nau ku taghalaghinira na lei maumanu mana lei manu ghua. Mi nau tu dikalio sule ngangata na pukuna tu gonira.” 
GEN.6.8	Hauva, Yahweh te righi togotogoa Noah.
GEN.6.9	Aeni na vuivuni ni tutuguna Noah ma nina binaboli. Noah na tinoni maemane mete uto ngangata. Taho siki sakai te vola tana bongina ke bosaa siki huruhuru vania, na pukuna Noah te taonia God, me sakai sonikolu itatana. 
GEN.6.10	Noah te loghora ra tolu na dalena - Shem, Ham ma Japheth.
GEN.6.11	Hauva, na lei tinoni keha tana maramana tara liliu ni dika tana matana God. Gaira te vonughira na liodika mana veilaulabui. 
GEN.6.12	Ma God te dikalio ngangata tana bona te vatogha na maramana, na pukuna rana vure tara gonighi na lei totobo dika haia. 
GEN.6.13	Keri ge God te bosa vania Noah, “Inau tu liona na taghalaghiniana na lei totobo vola tana maramana, na pukuna na maramana te saopoa tua na dika nia raini. Eo, ku durake sokora tana maramana. 
GEN.6.14	Saria na vaka
GEN.6.15	Mo ko gonia ke vagha na darona vitu hangavulu lima (75) na ghoto, mana volapana ke, hangavulu rua mana levu (12.5) ni ghoto, mana datona ke, vitu mana levu (7.5) ni ghoto.
GEN.6.16	Ko gonighi na vouvotuna na vaka, mo ko nea sakai na louloghu ni lima na datona ighobu.
GEN.6.17	[Mo ko rongo uto mai!] Inau ku saopoa nia na lualua na maramana udolu, me ke taghalaghinighi na lei totobo vola soko. Eo, na lei totobo vola soko tana maramana kara mate. 
GEN.6.18	Hauva, mi nau ku gonia nigua na baubahu itamua, ighoe mana taumu, mana lei dalemu mana taudira, kau haghe tana vaka, ge kau vola. 
GEN.6.19	Mo ko lavira mai ghua tana vaka sopa rua na lei vata ni totobo vola, mane mana vaivine, ge kara kabu ma kara vola kolugho. 
GEN.6.20	Eo, erua na lei vata ni manu, mana lei maumanu sule mana pile kara mai tamua, ge kara vola. 
GEN.6.21	Mo ko lavighi na lei vata ni vanga tana vaka vanigho ighoe ma nimua na binaboli mana lei maumanu mana lei manu.
GEN.6.22	Ma Noah te goni soko na lei totobo God te vetena nia.
GEN.7.1	Keri ke a Yahweh te bosa vania Noah, “Ko vaa haghe tana vaka, ighoe ma nimua na binaboli udolu, na pukuna itadira na lei vure soko tana maramana, ighoe heghemu vamua to maemane tana matagu. 
GEN.7.2	Ko lavira sopa ruarua tana vitu na ovu na lei maumanu tu talamaghinia na ghaniani mana nighi sukaghi, mo ko lavia sakai tadira tara keha, na mane mana vaivine. 
GEN.7.3	Mo ko vilira ghua sopa ruarua tana vitu na ovu na lei vata ni manu. Eo, na mane mana vaivine tadira na lei vata ni maumanu mana lei manu soko, ge kara vola tana lualua. 
GEN.7.4	E vitu vamua na dani itaeni, mi nau ku vuivunia na horulaghiniana na uha lokani e vati hangavulu na dani me vati hangavulu na bongi. Mu ku taghalaghinira na lei totobo vola soko tu gonira tana maramana.”
GEN.7.5	Ma Noah te goni taonia na hava Yahweh te vetena nia. 
GEN.7.6	Noah te saravia ono hangalatu (600) na niuluna tana bona te sara mai na lualua. 
GEN.7.7	Agaia ma tauna, ma dalena na mane mana lei taudira tara haghe tana vaka ge kara vola tana lualua. 
GEN.7.8	Gaira udolu kolura na lei vata ni maumanu, God te taladira na ghaniadira mana nira sukaghi, ma gaira kara mua nira sukaghi ghua itadira, kolura na lei manu. 
GEN.7.9	Ma gaira tara mai tana vaka rua me rua, na mane mana vaivine, te vagha God te vetenaa nia tua Noah. 
GEN.7.10	Murina e vitu na dani na lualua te sara mai, me vuivuni na saopoana na maramana udolu.
GEN.7.11	Tana bona Noah te ono hangalatu (600) na niuluna, tana hangavulu vituni na dani tana ruani na vula, na beti sarana na pari te vuravura dato mai tana maramana, mana uha te horu binoru mai tana parako. 
GEN.7.12	Mana uha te tona haliu so lokani vati hangavulu na dani me vati hangavulu na bongi. 
GEN.7.13	Na dani vaghana keri, Noah te vaa haghe tana vaka kolura tauna ma daledira, Shem, Ham, ma Japheth maira na lei taudira. 
GEN.7.14	Gaira kolura tana vaka sopa vatavata ni maumanu vola, dolo mana asi, sule mana pile, kolura ghua na lei manu. 
GEN.7.15	Ma gaira tara haghe tana vaka rua me rua, 
GEN.7.16	na mane mana vaivine taonia nina vevetena God. Ma Yahweh te vongotia na matauluadira.
GEN.7.17	Mi tana vati hangavuluni na bongi na lualua te sule, me saopoa na pari udolu, me ghate datoa na vaka me leleboa. 
GEN.7.18	Mi tana bona na beti te vonu dato me vulea na pari, na vaka te lelebo uto tana vuvunga ni beti. 
GEN.7.19	Mi tana sosoko, na beti te saopoi na lei ghotu datogha tana maramana. 
GEN.7.20	Me dato vulei na ghotu datogha te kaekage vati na ghoto.
GEN.7.21	Keri ke, na lei totobo soko tana maramana tara mate, na lei manu, na lei maumanu dolo maia tara asi, mana lei vatavata ni tautagu, mana lei tinoni ghua. 
GEN.7.22	Mana lei totobo vola tara loghoa na aheahe tara ghahara tana pari mamaha tara mate ghua. 
GEN.7.23	Eo, na lei totobo vola tana maramana, God te taghalaghinira gaira udolu, na lei tinoni, mana lei maumanu sule mana pile, mana lei manu. Ma gaia Noah vamua te ghaha olia te vola, kolura gaira tara haghe kolua tana vaka. 
GEN.7.24	Mana beti te saopo udolua na maramana ilokana sakai hangalatu lima hangavulu (150) na bongi udolu.
GEN.8.1	Ma God te ghanaghana olia Noah mana maumanu ilokana na vaka. God te nia vetena na ghuri ge ke ghurihia na beti, mana lualua te vuivuni na kabulaghi horu. 
GEN.8.2	Na beti boroni pari te beto na vuravura me sosopi pulohi tana malana, mana uha sule te beto tesakai tua. 
GEN.8.3	Mana lualua te kabulaghi horu me sosopi. Mi murina sakai hangalatu limi hangavulu (150) na bongi, 
GEN.8.4	tana hangavulu vituni na dani tana vituni na vula, mana vaka te mai sopou tua tana ghotu tana bubulo i Ararat. 
GEN.8.5	Me te tona haliu so na sosopi horu na beti, mi tana vuivuni ni bongi tana hangavuluni na vula, mana kouni na ghotu sule te vuivuni ni tate.
GEN.8.6	Mi murina vati hangavulu na bongi, Noah te hangavia na matakenena na vaka te gonia, 
