MRK.1.1	Ne Adaghsaweaghtsera ne Gospel Jesus Christ ne Niyoh Royè‐ah.
MRK.1.23	Neoni et‐ho tsiyakotkeanissouh ne Synagogue rayàdare Ròngwe Kanigoughraksea rotyeànih, neoni raouhha wat‐haghseant‐hoh.
MRK.1.24	Wahheàrouh, toghsa eghnadakwàyer okthiyongwerohatyeh, oghnahhòtea takwatsderisdàghkwa, ìse Jesus ne Nazarethàga? waghsewe nene aaghsgwaghdónde Roeyendèri ìse wahhi Sayadadogeaghty Niyoh.
MRK.1.25	Neoni Jesus wahhòrisde, wahheàrouh, da‐as Dòdek, neoni kayàgean raonhatseràgouh.
MRK.1.26	Neoni ne onea ne Kanigoughraks‐heah eghdàge wahoyadòndy wahovadadiheàdóewe, neoni wat‐hagh‐seànt‐ho roweàndeght, tahayàgeane raouhatseràgouh.
MRK.1.27	Neoni agwègouh wakoneghràgo dayondòneke, Wat‐hondaderighwanondonnyòese Radiotyoghgwagouh, wahonnìrouh, oghnà karihhòtea nekea‐eah àse tsinakarihhòtea? Ikea okthìhakowànea thihaes‐hatsde newaghreahhaghse nee’nè yodakshea Kanigòera, neoni wahot‐hòndatse.
MRK.1.28	Neoni agwagh oksaok waharihhowànha wadewaderighwarènyh yatyohhetsde agwègouh Tsiyenackeronnyouh okt‐hadeyoghgwadasèdouh Galilee.
MRK.1.29	Neoni yokondattye, ne onea tondahadiyàgeane ne Synagogue‐tseràgouh, et‐ho yahondaweyade Tsirodinoughsode Simon neoni Andrew, rònene James, neoni John.
MRK.1.30	Ok Simon Ròne Onisteahhah kayatyòenyh yonoughwakdany Yodoughgwarrhoghse, neoni karòkde wahoewaghròry tsiniyoyàdaweaghse.
MRK.1.31	Neoni waràwe neoni dahhanòunts‐ha aouhha neoni wahhakètsko; neoni agwagh oksaok oughtkawe N’yodoughkwarrhoghsgwe, neoni watyakóghsniyéne ronouhha.
MRK.1.32	Neoni Yokaraghsekah ne ònea ne Karaghkwa shiyadoyotsot‐houh, waondatyàthéhhou raóuhàgeh agwègouh n’yakanhràse, nok ne yakotyeànyh n’Oneghshoughrònouh.
MRK.1.33	Neoni Kanadagwègouh nà‐ah waontkeanissa oghseròeni et‐ho Tsikanhokàronde.
MRK.1.34	Neoni raouhha saghshakòtsyénde yawetowànea ne Teyakokoheandonnyoughs niyadekanhràge yako‐eànrare, nok sahayadinnegeawe yawetowànea Oneghshoughrònouh, wahannhèse ne Oneghshoughronouh n’akondàdyh, ne karihhòeni ne ronwayendèry raouhha.
MRK.1.35	Neoni Orhoenkeghtsy wahhatketskoh wahòenise niya‐orheàne, wahhaghdeàndyh neoni eghwàreghde ok keanòewe t’hìhhaouhà‐ah tsinòewe, neoni wahadereànayeh.
MRK.1.36	Neoni Simon, nok ne ronouhha ne rònése, wahhoewaghnonderattyeghde raouhha.
MRK.1.37	Neoni ne ònea yahoewayadats‐heàryh, wahoeweahhaghse, agwègouh n’Ongwe yesayadìsaks.
MRK.1.38	Neoni waghshakaweahhaghse ronouhha dewaghdeàndyhet‐honongàh tsin’òya t’Kanadayèndouh nene eakaderighwaghdouh kàdy oneanen’èt‐hoh Ikea nèsè wakarihhòni dakaghdeàndyh.
MRK.1.39	Neoni wahaderighwaghnòdouh et‐ho Ràodityoghgwagouh Synagogues ya‐atrohhets agwègouh ne Galilee, neoni sahayadinnegeàghseroh n’Oneghshoghrònouh.
MRK.1.40	Neoni et‐ho wàrawe ne Rongwe roerhàrase (ne leper) raouhàge, wahonnydeaghtea raouhha, neoni wat‐hodontshòt‐haghse, neoni wahheàrouh tòga a‐aghsere s‐hitsyend, oesaghsketsyènde.
MRK.1.41	Neoni Jesus wahonikoughrarége wahhòdeáre, Yahhonisnoughsa‐ragèany, yahhoyèrea, neoni wahhaweahhaghse, yodòeh‐oh kì: sakòntsyende.
MRK.1.42	Neoni oksa tsìok ne ok yahhaweaneàndáne, agwagh oksaok ne (leprosy) sonderàgewe ne raouhàgeh, neoni t’hiyoyaneregh‐tsìhouh.
MRK.1.43	Neoni raouhha agwagh oksaok yorighwaghnìrouh tsinahoyèrase raouhha, neoni tsidòesaghyadekhaghsy.
MRK.1.44	Neoni wahaweahhaghse, tsyàgea toghsa ot‐hènouh tsìrouh oughka n’Ongwe: Ok kea deaghnòeh n’yahàseh, tsit’heànderouh ne Ratsihuhsdatsy, eghtshenadòehaghs neoni yahhàghtshouh tsinahhòtea ne Moses rorighwissouh n’eaghni Kanhrodeaghsayòndo, ne Wadenyendeaghsdou ne Orighwìyoh eahhonàdòese.
MRK.1.45	Ok raouhha wahhaghdeàndyh, neoni tahhadaghsawea wahharihhòweanaghde agwagh èso, wat‐harighwarennyade tsina‐awea tsisah‐hàdouh, ne tsinikarìwa ne non‐kea yagh‐deyodòe‐ouh ne Jesus ne shègouh kaneahérhea t‐hahhadaweyade Kanadagouh, ok et‐hòne ok Karhàgouh t’hìrése; neoni ronouhha et‐ho wahhònewe raouhàge okt’hiwagwègouh t’hondahhonneghserouh.
MRK.2.1	Neoni ok‐hare raouha et‐ho sahhadaweyade ne Capernaum toghkarra Nònda oghnageànkeh; neoni wakarihhowànha ne et‐ho reànderouh Kanoughsakouh.
MRK.2.2	Neoni agwagh oksaok yawetowànea waontkeanissa oghseròenih, ne nonkeah wat‐honeàrea Tsikanoughsode ok oni ne Kanhohakta ok ageahake, yaghdeatsy on’ne‐è: neoni wahharighwaghnòdon ne Niyoh Oweana ronouhàgeh.
MRK.2.3	Neoni raouhhàge waoehhouh, ronwayadeahàwe thiyaweahèyouh ne Rayerònke Palsy, kayèri nihàdy ronwayadeahhàwy.
MRK.2.4	Oni ne onea wahhodinòroese n’et‐ho hahhaonenoghdouh tsit‐heànderouh, Ikea ne tsinadeyenetst‐hare, wahhadirhorocksy ne Kanoughsàge tsinòe niheanderouh: ne ònea wahhadedìtst‐hare, et‐ho yaòeseghte ne Kanakda tsirayatyòeny ne ròeh‐rare ne Palsy.
MRK.2.5	Ne onea Jesus wahatkaght‐ho tsit’honeghtagh?-?kouh, wahaweahhaghse ne ronoughwakdane, Koeyè‐ah, sayesarighwiyoughstyh ne Sarighwaneràksera n’ìse.
MRK.2.6	Ok hèt‐ho otogeà‐ouh radiyàdare ne Ront‐harhha (ne Scribes) radìderouh èt‐ho, neoni wahhonderyendayèndoewe ne Raoneriyàneh.
MRK.2.7	Oghnà nen’nè nìgea tsinahàyére tsiroghthare ok‐thah‐hayèrouh (Blasphemies) oughka nekèa akagwèny onsayondaderighwiyoughstea n’Akorighwaneràksera ok Ranìyoh‐sé raouhhà‐ah.
MRK.2.8	Neoni agwagh oksaok, ne ònea ne Jesus yahhàhhéwe ne Raodinigòeragouh ne tsi‐eghnìyought wahhonderiyendayèndoewe ronouhatseràgouh, washakaweahhaghse ronouhha, Oghnà nennè‐eh eghnìyought wesewaderyendayèndoewe ne Seweriaghsagouh.
MRK.2.9	Ka nikàyea yaghde‐kanòrouh ne ahonweahhaghse ne Ronoughwàkdane ne Palsy, Sarighwaneràkshera sayesarighwiyoughstea ìse; kea‐teas‐kàyea ne ayaìrouh, satketskoh, oni dèsegh’k ne Sanàkda, oesaghdeàndyh?
MRK.2.10	Ok ne n’a‐esewaderyendaràne I‐ih ne Ongwe wàktyadondaghkou ne Wagè‐eshatsdeaghseràyea n’Oghwentsyàge nèsé k’herungwaghse ne Karighwanerea (wahhaweahhaghse ne ronoughwakdany ne palsy,)
MRK.2.11	Wahheàrouh wakoeyeahhaghse ìse, satketskoh, neoni dèsegh’k ne Sanàkda, neoni wà‐as sasaghdeàndy Tsidesanoughsode.
MRK.2.12	Neoni agwagh oksaok tahhatketskoh, wà adraghkwe ne Raonàkda, neoni wahhaghdeàndyh tehonwakaghneronnyouh; nenonkea agwègouh okt‐hiyeyakonikoughrinegeà‐ouh, neoni wahhoeyowèsaghde wahhoewaneàndouh Niyoh, wàighronnyouh, yaghnoweàndouh teyongwat‐kaght‐houh eghnayàweane.
MRK.2.13	Neoni raouhha àre wàreghde Kaniyadarákda; neoni akwègouh ne Keantyoghkwa waonderòroke raouhhàge, neoni waghs‐hakorihhonniyèny.
MRK.2.14	Neoni akda wahhadohhetíde, neoni wahhotkaght‐ho Levi ne Alpheus Royè‐ah egh’reanderouh tsiyeh‐heghsniròroks, ne onea wahhaweahhaghse Jesus, daknonderatyeght. Neoni wàd‐hàdane wahhoghnonderat’yeghde.
MRK.2.15	Neoni n’eashiyaont‐hewe ne tsiyeheànderou Jesus de‐hats‐kà‐hoe et‐ho Raonoughsakouh, yawetowànea ne Publicans neoni Rodirighwaneràkskoh, et‐hony wahhont’yea oghseròni ne Jesus neoni ne Raotyoughkwa: Ikea Rodityoughkowàneáse, neoni ronwaghnonderatye ne raouhha.
MRK.2.16	Neoni ne ònea ne Rought‐harrha (Scribes) ne oni ne Pharisees wahonwatkaght‐ho tekhòndonts ne Publicans neoni Rodirighwanerakskouh, waghs‐haoneahi haghse wahhonìrouh et‐ho ronouhhàge ne Raotyoughkwa, Oghna‐àwea wat‐hòndónde wathontskà‐houh (oni wahadighnegìra) ne Publicans neoni Rodirighwanerakskouh?
MRK.2.17	Ne onea Jesus wahhàronke, wahheàrouh akaouhha, ne yaghtekòerhare yaght‐ha deyakodoughwentsyòny ne Hats‐hinaghkeànda, ok keadeagh‐nòegàyea ne n’yakonoughwakdany: yagh n’I dek‐henniyènde n’yàkheroughyehhare N’yakoderighwagwarighsyouh, ok deaghnòuh nene Yakorighwaneràckskouh n’onsayondatrèwaghde.
MRK.2.18	Neoni ne Raotyoughkwa ne John neoni ne Pharisees ront‐ha nene roneadontyeght‐ha, neoni egh‐wahhònewe, wahoenweahhaghse, oghneanè‐eh ne Ra otyoghkwa John ne oni ne Pharisees roneadontyeght‐ha, ok ne Seantyoghkwa yaghde honeadontyeghtha?
MRK.2.19	Neoni Jesus waghshakaweahhaghse, aòndouh Keahyodadeànyode et‐hòne ayakaweadontyeghde tsinahhe eghyèderouh n’Yakodeanìyonde oghserònih? Tsinahhe n’Yakodeànyode oghseròny eahadideròndake yaghdeyàwegh ayakaweadóntyeghde.
MRK.2.20	Ok onwa yeawadeghniserihh‐hewe, ne ònea N’yakodeànyode èreah eatsyondatyadeahhàwighde tsiradìderouh ne Ronweananyòdaghkwe, neoni ethòne deaghnòh eahhonadontyeghde e‐thòne eawighniseradenìonke.
MRK.2.21	Yaghonghka n’Ongwe oni t’hayenìkhóghkwe àse akeàhake Adyadawètserakàyoen n’egh‐yayeraneàndadek: ase kea, ne‐eh n’àse neawatkonnyeaghsde eawaghtouh n’akàyoe, neoni suhha kahedkea eawàdouh tsideyoghrìyouh.
MRK.2.22	Neoni yaghoughka n’Ongwe t’hayedda àse Wine Kats‐hedakayòghneh, à‐se ne daonderanègare ne Kats‐he ne ase Wine, neoni eakàrine ne Wine, eakarighweàndane ne Katshekeaha: Ok àse ne Wine agwaghok Katshedasège eayedda.
MRK.2.23	Neoni et‐ho na‐àwea ne et‐ho niyahàre Tsikahhèghdaye n’Oneaghstde Yaweandadogeaghdònkeh: neoni ne Raotyoughkwa tahhondaghsawea ok ne tsiròne, wahadinaghsaròenko n’Oneaghste.
MRK.2.24	Neoni ne Pharisees wahoeweahhaghse satkaght‐hoh oghna nenne eghnahhadìyére Yaweandadogeaghdònke ne wahhi yaghde t’karighwayèri.
MRK.2.25	Neoni waghshagaweahhaghse, yaghde‐sewaweanaghnòdoughs tsinahòtea nihhoyèrea David ne onea tsiwat‐hatkàri, neoni wahhadoughkarriake neoni tsinihàdih ne rònene raouhha.
MRK.2.26	Wahhi egh wàreghde yahhadaweyade et‐ho Tsironoughsode Niyoh Shiweghniseradennyoughkwe Abiathar Shihatsihuhsdatsigòwah, ethòne ròekouh deweanakeraghdouh Kanàdaroh’k, ne wahhi yaghdé t’karighwayèri n’àyeke ne ok ne Raditsihuhsdatsy neoni waghshakà‐ouh one‐nètsinihàdy neròneh raouhha?
MRK.2.27	Neoni waghshakaweahhaghse, ne Yaweandadogeaghtouh yondatshea èny n’Ongwe, yagh Yaweandadogeaghtouh tekoewaghsea‐èny n’Ongwe.
MRK.2.28	Ne gàdy wahhòni ne Ongwe Ronwayè‐ah Royàner sè oni Tsiyaweandadogeaghtouh.
MRK.3.1	Neoni et‐hò àre yahhadaweyade tsiyakotkeanissoh ne Synagogue (Onoghsadogeaghdìgeh); neoni et‐ho rayàdare ne Rongwe Ronunts‐haksheà‐ouh, ronunts‐hàdat‐heah.
MRK.3.2	Neoni wahhoéwadeanikòerarea raouhha, ne tas‐hikeaghsotsyend ne Yaweandadogeaghdònke, ne gady nahoewariwaghstea ahonondànháke.
MRK.3.3	Neoni wahhaweaghse ne Rasnughsakseahha, desdàn.
MRK.3.4	Neoni waghshakaweahhaghse ronouhha, t’karighwayèri kea n’yoyannere tsinàyontyere n’Yaweandadogeghdònkeh, kea deas gàyea yodaks‐hea tsinayontyere? ok et‐ho yaghothènou des‐hòneah.
MRK.3.5	Neoni ne onea tsiwat‐hat‐kaght‐honnyoewe okt‐hiwagwègouh tsiradìderouh ronakh’weà ne waaweryendàksheaghse tsiniyoghnìrou ne Raoneriàne wahhaweahhaghse ne Rongwe ne Ranuntshaksea, stakwarighsyh ne Senuntshàge. Neoni Wahadenuntshagwarighsy: neoni ne Ranuntshàge sakagwekhene anìyugh tsinìyought ne skàdy.
MRK.3.6	Neoni ne Pharisees wahhaditsihhayea yehhadigwègouh ne Herodian aouhàge nonkàdih, ne tsinahadìyere n’ahoewarryoh.
MRK.3.7	Ok Jesus wahadhaghdàrrhoh raouhha yehhadigwègouh ne Raotyoughkwa et‐ho Kanyadaràge: neoni Keantyoghkowàneah Galilee n’ondàyea wahhoewaghnonderatyeghde, neoni Judèa n’ondàyea,
MRK.3.8	Neoni Jerusalem nongàdih, neoni Idumea nongàdih, neoni Jordan isinongàdih, ne oni ronouhha okt‐hiwagwègouh Tyre neoni Sidon, Kantyoghkowàneah, ne ònea wa‐òeronke ni tsinikarihhoweàneaghse tsini‐hatyerannyouh, et‐ho wa‐oewe raouhhàge.
MRK.3.9	Neoni waghsakorihhont‐haghse ne Raodiyoughkwa nene Keanikahhoewaghska ahoewahhoewatsearriyése n’ahhaditta, ne karihhòeni tsinikeandyoughkwa àgare tahoewayatòrarake.
MRK.3.10	Ikea yawetowànea saghshakotsyende, ne nonkea wat‐honwanetst‐hàraghde ne oghstouha ok honi t‐hiyayòro‐oghde Rayerònke, tsiniyàgouh ne Yakotsìyoghse.
MRK.3.11	Neoni ne Kanigoughrakshea yakotyeàny ne onea wahoewatkaght‐ho eghdàgeh watyadòndyh raohheandouh, neoni watyoughsheant‐hah, Ise wahhy ne Niyoh Royèa‐ah.
MRK.3.12	Neoni agwagh oksaok waghshakòrisde, ne toghsa ènehaòny.
MRK.3.13	Neoni wahhaghdeàndyh wàreghde Onontohharàge, neoni yaghshakoroughyeahhare ne wàreghre ne keahhak: neoni raouhhàge wahhònewe.
MRK.3.14	Neoni waghshakoyadògeaghsde tekeniyaweàre, nene raouhha ahadigwègouh, neoni ne ya‐aghshakônháouh ahoughdeàndy ahonderighwaghnòdouh.
MRK.3.15	Neoni ne ahadis‐hàtsdeáne ne oesaghsakodittsyende, n’Yakonoughwakdanyòny, neoni ne oesahadiyadinekeághserouh ne Oneghshoughrònoòkouh.
MRK.3.16	Neoni Simon tehhaghsenàsere Peter.
MRK.3.17	Neoni James ne Royèa‐ah Zebedee; oni John ne Yadadegà‐ah James (neoni raouha wadeghsakoghseanàsere ronouhha Boanerges, ne nà‐ah Shakoyè‐ah ne Káweraghs.)
MRK.3.18	Neoni Andrew, neoni Philip, neoni Bartholomew, neoni Matthew, neoni Thomas, neoni James ne Rovè‐a Alpheus, neoni Thaddeus, neoni Simon ne Canaan‐haga,
MRK.3.19	Neoni Judas Iscariot oni ne raouhha na‐ah ne tehonikoughràsere ne raouhha: neoni wahhòneghde Kanoughsode yahhondaweyade.
MRK.3.20	Neoni ne Keantyoghkowáneah wa‐onwe àre oghserònih, ne nonkea‐wahhoni àre oni ne ok ahodigwennyoh n’ahadinàdarake.
MRK.3.21	Neoni ne onea Rondàddenoughkwe wahhòeronke, egh‐wahhòneghde nene ahonwayèna: Ikea wahhonìrouh, yaghsè t’hiyes‐hanikoughrayèrih.
MRK.3.22	Neoni ne Rought‐harrha nene Jerusalem t’honaghdeantyouh, wahhonìrouh, raouhha sagat ne Beelzebub, neoni ne T’kayadagwenìyoh ne Oneghshoughrònouh, ne rayadinnegeaht‐ha ne Oneghshoughrono‐òkouh.
MRK.3.23	Neoni yaghs‐hakònonke raouhhàgeh, waghshakaweahhaghse wat‐hadeanagèraghde tsidahhadàdyh, oghna‐nayàwea ne Satan oesayoyadìnnegeawe Satan?
MRK.3.24	Neoni toga nonkeà Skayanertsera okt’hadaondek‐haghsy oya‐t’hadagyàdouh, yaghde yàwight oesonderighwaghdeàndy Tsinikayanertsera.
MRK.3.25	Neoni toga Kanoughsa ok aouhha daondenoughsak‐haghsy yaghde yàwegh Akanoughsòdake.
MRK.3.26	Neoni toga Satan dondahhàdane ok raouhha ahadatkareaghràgo, tahatyadakhaghsy yaghde yàwigh shègoh dahàdake, et‐ho aondòkdea.
MRK.3.27	Yaghoughka n’Ongwe t’hayegwèny yayondaweyade Raes‐hatsde Ronoughsode, ayedaks‐hadeàne Raoweagh‐soe‐ah, niyàre kì ondontyèreaghde ahònereanke ne Raes‐hatsde, neadeaghnòeh ahadaksàde Tsironoughsode.
MRK.3.28	Agwagh wa‐agweahhaghse, agwègouh ne Karighwaneràkshera entsyondaderighwiyoghstea n’Ongwe Ondatyèa‐ogò‐ah, neoni Tsiniyakorighwakshadannyouh ka ok nòewe ageàhake eayerighwakshade.
MRK.3.29	Ok raonhhà n’ea‐harighwaksàde ne Ronigoghriyoughstoughne, yaghnoeweàndouht ’honsayondaderighwiyoughstea, ok Waghderònonke ne tsiniyeheàwe Eavondetsìraghde:
MRK.3.30	Ase keah wahoeweahhaghse, rotyeànyh sè ne Kanigougharks‐heah.
MRK.3.31	Et‐ho egh‐wahhònewe ne Rondadegea‐ah ne oni Ronisdeahhah, neoni t’hihadikeannyadegòwah, yahhondeanhàne vaoeweànonke ne raouhha.
MRK.3.32	Neoni ne Keantyoghkowànea et‐ho yeyadaràyea t’hadesonwaghkwadasèdouh neoni wahoeweahhaghse raouhha, satkaght‐hoh, Sanisdeahhah neoni Sewadadegeà‐ah yesayadìsaks nìse.
MRK.3.33	Neoni daghsakodattyáse ronouhha, waheàrouh, oughka nà n’Isdeà‐ah, Akwadadegeà‐ah deas heàweah?
MRK.3.34	Neoni watkatkaght‐honnyoewe okthiwagwègouh tsiradidaràyea tsireànderoh neoni wahhearouh, satkat‐hoh n’Isdea‐ah, Akwadadegea‐ogòewah.
MRK.3.35	Ikea oughkakìok et‐honayèyere tsinihanoewese ne Niyoh, ne shadèyought Akyadadegèa‐ah, neoni Akyadeanosseahha, neoni Isdeàh.
MRK.4.1	Nèoni raouhha tahadaghsawea à‐re ne waghshakorihhonnyeh ne Kanyadaràkda: neoni et‐ho na‐ah waontkeanissa ra‐ouhhàge Keantyoughkowànea, ne nonkea wahhòeni Kahhòewakouh wahhaditta, neoni wahhattyea Kanyadaràkda: neoni ne Keantyoghgwagwègouh et‐hone Kanyadaràkda Eghdiyòge.
MRK.4.2	Neoni raouhha waghsakoderihhonnyea ronouhha èso Yorìwake ne Wat‐hadeanageraghdaghgwannyouh (Parables) neoni tsinahheàrouh ne ronouhhàge ne Tsihorihhòdea.
MRK.4.3	Tsyadahoughsadat: Sat‐kaght‐ho, wa‐eghde Niyént‐hoghs wa‐eyènt‐hoghse.
MRK.4.4	Neoni tsinearoyent‐hohhatye, oddyàke Ohhahàkda wakayèndane, neoni ne Tsideaongòewah wagonéwe onsakòndighgwe.
MRK.4.5	Neoni oddyàke eghyakayènd‐ne tsiá ty’oneayàge n’Oughwhentsyàge, tsinònwe yaghèso Teyaoughwhèntsyare; neoni yokondattye Wakeanìoh ne karihhòeni ne yaght‐ha deyosereà‐ouh n’Oughwhentsyàge.
MRK.4.6	Ok tsi‐ònea Onderaghgwagàrade, et‐ho sondakeàhhéye; neoni ne karihhòni ne yaghde‐Yoghdèronde sakeahhéye.
MRK.4.7	Neoni oddyàke Oghnioewaràgouh yakayèndane neoni ne Oghnioeware hondeghyàrouh neoni waodoeròkdaghkwe yaghde yoneahondàouh.
MRK.4.8	Neoni t’hikàde ne eghkayèndane tsi-Tyoughwhentsìyouh, neoni ondòeny wakeanahhòndea nene Wakeanìo, neoni ont‐kàdáde, neoni yakahhewe oddyàke aghsea niwaghs‐hea, neoni oddyàke yayàkniwaghs‐hea, neoni oddyàke Teweannyàwe.
MRK.4.9	Neoni raouhha waghs‐hakaweahhaghse ronouhha, Nenennè ne Teháhhoughde raghrònk‐ha, ràronk nissa.
MRK.4.10	Neoni ne onea raouhà‐ah, ronouhha ne raouhhà radigwègouh, ne tekeniyaweàre, wahhoewarighwanondoughse ne Teyorighwageawaghdannyouh (Parable.)
MRK.4.11	Neoni waghs‐akáweahhaghse ronouhha, isège yetsiyàwy n’ìse n’easewaderyendarake Tsiniyoderighwaseghton Royànertsera Niyoh: Ok ne ronouhha ne t’hihadìdea, agwègouh nenè keakàyea Tsiniyorìwake ne ok ne Terighwageawadòntea watyèrade.
MRK.4.12	Nene yèkea agaouhha ayontkaght‐ho, neoni yaght‐ha deyekarayèndane, neoni youghrònkha ne ayakot‐hondeke, neoni yaght‐ha yòenronke: asekea àkare ka ok nòewe ne n’Onsayondonhakanòny, neoni n’Akorighwanneràksera onsayondaderunkwaghse.
MRK.4.13	Neoni raouha waghs‐hakaweahhaghse yaghkea desewaderièndare negea‐eah Tekarighwageawàghdouh? neoni ogh kadi neayàweakeahha n’agwègouh easewaderiendaràne ne Tekarighwageawaghdannyouh? (Parables)
MRK.4.14	Ne Rayenthoghs wahhayènt‐ho ne Oweàna.
MRK.4.15	Neoni ne keagàyea nen’eahhohahakda‐nònwe, n’Oweàna nikayent‐houh, ok hònea tsiyakaghrònkea ne Satan dàre yokondat’yea, neoni donsàkaghkwe yoesakàhháwe n’Oweàna, nene kayent‐hòuh n’Akaweriaghsagouh.
MRK.4.16	Neoni ne keagàyea ne‐enè, egh‐onenìyoght nene Oneayàge n’Oghwentsyàge kayent‐houh, akaouhha ne oneà yakot‐hònde ne Oweàna yokondattye wa‐eyèna waontsheanòeny.
MRK.4.17	Neoni yagh‐deyoghdèronde ne akaonhhatsràgouh, neoni ne kàdi wahòeni keanontkatsdade: oghnakeanke, ne ònea Wa‐eroughyàgea neteas ne Waondaderighwaghròdsdea onderighwakètskok I kea ne n’Oweàna eayakoghsdonde, et‐ho yokondattyea ok t’hoesayakogeaghràdea.
MRK.4.18	Neoni ne keagàyea ne akaouhha neanè egh nè Oghnionwaràgouh kayent‐hòne: tsiyakot‐hònde ne Oweàna.
