MAT.1.1	Huā'mā' lista ū'tza' ī'xū'nāpap Jesucristo ē xla' ī'xū'nātā'nat David ē nā Abraham.
MAT.1.25	Jā xa'malh hasta a'cxni' xla' tahuī'lh ī'ska'ta' ixlīmaksāsti'. Hui'līni'lh ixtacuhuīni' Jesús.
MAT.2.1	A'cxni' Herodes rey ixuanī't nac ti'ya't jā huanican Judea a'cxni' Jesús lacatuncuhuī'lh a'ntza'. Lacatuncuhuī'lh nac cā'lacchicni' jā huanican Belén. Tachā'lh magos nac cā'lacchicni' jā huanican Jerusalén ē xlaca'n makat tamincha' na ixtankēn 
MAT.2.2	ē takelhasqui'nīlh:
MAT.2.2	―¿Jāchu huī'lh ixpuxcu'ca'n israelitas tī tahuī'lhtza'? Quina'n iclaktzī'nī'tauj a'ktin sta'cu na ixtankēn. Ū'tza' quincāmāsu'yuni'n palh tahuī'lhtza'. Ū'tza' iclīmiujtza' huā'tzā' na'iclaktaquilhpūtayāuj.
MAT.2.3	A'cxni' kexmatli huā'mā' tachihuīn, rey Herodes ixlī'a'ktuyumā'lh ē nā chuntza' ixlīpō'ktuca'n xalanī'n nac Jerusalén nā ixtalī'a'ktuyumā'nalh. 
MAT.2.4	Rey cāmāta'satīnīni'lh ē cāmākēstokli ixlīpō'ktuca'n xanapuxcu'nu' pālejni' israelitas ē tī ixtamāsu'yu līmāpa'ksīn. Cākelhasqui'nīca jāchu natahui'la Cristo 
MAT.2.5	ē takelhtīni'lh:
MAT.2.5	―Natahui'la nac Belén xala' nac estado Judea. Chuntza' tzo'kli a'kchihuīna':
MAT.2.6	Belén xala' nac ti'ya't jā huanican Judá, masqui xamacsti'na'j na ixpu'nanca'n municipios nac huā'tzā' ti'ya't, ā'chulā' ixlacasqui'nca.
MAT.2.6	Nalacatuncuhuī'yācha' a'ntza' chā'tin māpa'ksīni'.
MAT.2.6	Xla' nacāmaktaka'lha quintachi'xcuhuī't tī cāhuanican israelitas.
MAT.2.7	Herodes lakatzē'k cāmāta'satīnīni'lh magos ē cākelhasqui'nīlh jā'cxni' tasu'yulh sta'cu ē tūyā quilhtamacuj ē tūyā mālhcuyu'. 
MAT.2.8	Cāmacā'lh nac Belén ē cāhuanilh:
MAT.2.8	―Capinchipitit ē naputzayā'tit palh ixlīcāna' lacatuncuhuī'lh ska'ta'. A'cxni' namacla'yā'tit, naquilāmāca'tzīnīyāuj. Nā quit tzē na'ica'n na'iclaktaquilhpūta ―chuntza' cāhuanilh.
MAT.2.9	A'cxni' cātā'chihuīna'nkō'lh, magos ta'a'lh. Sta'cu tū ixtalaktzī'nī't ixtankēn, ū'tza' cāpūlani'lh ē cāmāsu'yuni'lh tej hasta tāyalh tālhmā'n jā ixuī'lh ska'ta'.
MAT.2.10	A'cxni' magos talaktzī'lh chī tāyalh sta'cu, tapāxuhualh xlaca'n. 
MAT.2.11	A'cxni' tatanūlh nac chic, talaktzī'lh ska'ta' ē María tī ixtzī'. Tatatzokostani'lh ē talaktaquilhpūtalh ē tamakapāxuīlh ska'ta'. Tamakxcutli tū ixtalē'ni' ē tamaxquī'lh oro ē siyentzu ē perfume tū huanican mirra. 
MAT.2.12	Ā'līstān tataspi'tli lacatin nac tej. Ixtalakahuāna'nī't ē chuntza' cālīmāca'tzīnīca jā catatētaxtulh a'ntza' na ixchic Herodes.
MAT.2.13	A'cxni' ixta'a'nī'ttza' magos, José lakahuāna'lh ē tasu'yuni'lh chā'tin ángel tī macamilh Māpa'ksīni' Dios. Ángel huanilh:
MAT.2.13	―Catāqui'. Cacālī'pi ska'ta' ē ixtzī' ē catzā'la'tit nac país jā huanican Egipto. A'ntza' natachokoyā'tit hasta a'cxni' na'icmāca'tzīnīyān. Herodes naputza ska'ta' ē namaknīcu'tun.
MAT.2.14	José tāquī'lh a'cxni' tzi'sajcus ixuanī't ē a'lh. Cālē'lh ska'ta' ē ixtzī'. Ta'a'lh nac ti'ya't jā huanican Egipto. 
MAT.2.15	A'ntza' tatachokolh hasta a'cxni' nīlh Herodes. Chuntza' a'kspulalh namākentaxtū tū Māpa'ksīni' Dios ixuanī't ixa'kchihuīna'. Chuntza' huanli: “Ixuī'lh nac Egipto quiSka'ta' ē a'ntza' icta'sani'lh.”
MAT.2.16	A'cxni' Herodes ca'tzīlh ixta'a'kskāhuī'nī't magos, xla' sītzī'lh. Māpa'ksīni'lh cacāmaknīca lacstīn tī ka'hua'cha. Cāmāmaknīnīni'nkō'lh ixlīpō'ktuca'n lacstīn tī xaka'hua'cha xalanī'n nac Belén ē ixlacatzuna'j cā'lacchicni'. Cāmāmaknīnīni'lh ixlīpō'ktuca'n tī jāna'j ixtaka'lhī a'ktu' cā'ta. Chuntza' māpa'ksīlh ixpālacata ixtlahuanī'ttza' hua'chi a'ktu' cā'ta a'cxni' ixlacatuncuhuī'nī't ska'ta' chī tahuanli magos. 
MAT.2.17	Chuntza' mākentaxtūlh tū tzo'kli a'kchihuīna' tī ixuanican Jeremías. Chuntza' tzo'kli:
MAT.2.18	Kexmatcan chī calhuancan nac cā'lacchicni' jā huanican Ramá ē ta'sacan.
MAT.2.18	Raquel ū'tza' tī cālakcalhuamā'lh ixlacstīn.
MAT.2.18	Jāla ixmāko'xamixīcan ixpālacata ixtanīnī'ttza'.
MAT.2.18	Chuntza' tzo'kli.
MAT.2.19	A'cxni' ixnīnī'ttza' Herodes, José lakahuāna'mpālh a'ntza' jā ixuī'lh nac Egipto. Tasu'yuni'lh chā'tin ángel tī macamilh Māpa'ksīni' Dios ē huanilh:
MAT.2.20	―Catāqui' ē calī'pi ska'ta' ē ixtzī'. Cataspi'ttit nac ti'ya't jā huanican Israel. Tanīlhtza' xlaca'n tī ixtamaknīcu'tun ska'ta' ―huanli ángel.
MAT.2.21	José tāquī'lh ē a'lh ē lē'lh ska'ta' ē ixtzī' hasta nac Israel. 
MAT.2.22	Arquelao ixlakxoko ixtāta' Herodes ixuanī't ē ixmāpa'ksīni'mā'lh jā huanican Judea. A'cxni' José ca'tzīlh huā'mā', ixjicua'n ē jā ixa'ncu'tun a'ntza'. Lakahuāna'mpālh ē ū'tza' talī'a'lh nac ti'ya't jā huanican Galilea. 
MAT.2.23	A'cxni' tachā'lh a'ntza' nac Galilea, ta'a'lh nac cā'lacchicni' jā huanican Nazaret ē a'ntza' tatahuī'lh. Chuntza' a'kspulalh namākentaxtū tū tahuanli a'kchihuīna'nī'n. Tahuanli: “Jesús namāpācuhuīcan nazareno.”
MAT.3.1	Huā'mā' quilhtamacuj milh nac cā'tzaya'nca ti'ya't nac Judea Juan tī ixmā'kpaxīni'n. Ixa'kchihuīna'mā'lh 
MAT.3.2	ē ixcāhuani tachi'xcuhuī't:
MAT.3.2	―Calakpalī'tit mintalacapāstacni'ca'n ē camakxtektit tū jā tze ixpālacata talacatzuna'jīmā'lh a'cxni' Dios namāpa'ksīni'nkō'.
MAT.3.3	A'kchihuīna' Isaías tzo'kli chī tachi'xcuhuī't natalakpalī ixtalacapāstacni'ca'n ē nata'a'ka'ī'. Tzo'kli ixpālacata huā'mā' Juan jā huan chuntza':
MAT.3.3	A'ntza' jā cā'tzaya'nca ti'ya't, nakexmatcan catīhuālh tī palha' nachihuīna'n ē nahuan:
MAT.3.3	“Cacāxtlahua'tit tej ixpālacata mimā'lh Māpa'ksīni'.
MAT.3.3	Camālakstu'nctit tej.”
MAT.3.4	Ixlu'xu' huā'mā' Juan līcāxtlahualh ixchi'xit camello ē ixlīchī'can ko'xka' ixuanī't. Xla' ixua' xtu'qui' ē xaxcān ta'xcāt xala' nac cā'qui'huī'n. 
MAT.3.5	Tachi'xcuhuī't xalanī'n nac cā'lacchicni' Jerusalén tamilh takexmata. Nā lhūhua' tachi'xcuhuī't xalanī'n calhāxcuhuālh nac estado Judea ē xalanī'n lacatzuna'j xaka'tla' nac xcān Jordán nā tamilh takexmata. 
MAT.3.6	A'cxni' takelhtasu'yuni'lh Dios ixcuentaca'n, Juan cāmā'kpaxīlh chā'tunu' nac ka'tla' xcān Jordán.
MAT.3.7	Lhūhua' fariseos ē ixpālejni' israelitas tamilh ta'a'kpaxa. A'cxni' Juan cālaktzī'lh, cālacaquilhnīlh ē cāhuanilh:
MAT.3.7	―¡Hui'xina'n tlahua'pā'na'ntit a'ktu' milacanca'n! ¿Tīchu cāhuanin natzā'la'ni'yā'tit ixtasītzi' Dios tū mimā'lh? 
MAT.3.8	Catlahua'tit tū tze ē ū'tza' nalītasu'yu ixlīcāna' lakpalīnī'ta'ntittza' mintalacapāstacni'ca'n. 
MAT.3.9	Jā catihuantit mē'cstuca'n: “Quina'n ī'xū'nātā'natna' Abraham. Ū'tza' iclīpāhuanāuj ē jā icjicua'ni'yāuj ixtasītzi' Dios.” Jā chuntza' ixua'ntit. Quit iccāhuaniyān Dios tzē nacālakpalī huā'mā' chihuixni' ē natala ī'xū'nātā'natna' Abraham. 
MAT.3.10	Hua'chi xacacanī'ttza' ā'chaj ē natzucucan natancā'can qui'hui'. Catūhuālh qui'hui' tū jā māstā' ixtahua'ca't xatze, ū'tza' natancā'can ē nalhcuyucan. Tachi'xcuhuī't tī jā tatasu'yu palh ta'a'ka'ī', xlaca'n hua'chi qui'hui' tū jā tahua'ca'. 
MAT.3.11	Ixlīcāna' quit iccālīmā'kpaxīyān xcān. Ū'tza' nalītasu'yu chī līlīpuhuanā'tit tū jā tze tū tlahuanī'ta'ntit. Tī namin ā'līstān, xla' makapitzīn hui'xina'n nacātalīmā'kpaxīyān Espíritu Santo ē ā'makapitzīn huampala nacātalīmā'kpaxīyān macscut. Xla' ā'chulā' xaka'tla' ē jā quit. Quit jāla icmālakchā'nī chī xla'. Quit jā minī'ni' nūn na'icxcutni' ixlīkechī'can ixcaclhi'. 
MAT.3.12	Xla' hua'chi chā'tin chi'xcu' tī chi'panī'ttza' ixlīmālakosūn ē nalacsu'nu trigo tū tlahuacan harina. Xalīcha'nat trigo namānū jā māquī'can ē xapa'lhma' nalhcuyu nac macscut tū jāla catimāmixīlh ―cāhuanilh.
MAT.3.13	Ā'līstān Jesús taxtulh nac estado Galilea ē lakchā'lh Juan jā ixmā'kpaxīni'mā'lh na ixquilhtūn ka'tla' xcān jā huanican Jordán. Jesús milh a'kpaxa. 
MAT.3.14	Ē Juan jā ixmā'kpaxīcu'tun Jesús ē huanilh:
MAT.3.14	―Hui'x minī'ni' naquimā'kpaxī'ya' ē jā ixlacasqui'nca quit na'icmā'kpaxīyān.
MAT.3.15	Jesús kelhtīlh:
MAT.3.15	―Chuhua'j calalh chuntza' chī icsqui'ni'yān. Chuntza' quincāminī'ni'yān ē ū'tza' nalītlahuakō'yāuj tū Dios māpa'ksīlh.
MAT.3.15	Juan kexmatni'lh ē tlahualh tū huanilh.
MAT.3.16	Jesús, a'cxni' mā'kpaxīca, tacutli nac xcān. Xamaktin talaquī'lh nac a'kapūn ē Jesús laktzī'lh Espíritu Santo. Ixtasu'yu hua'chi tantzasnān. Yujchi na ixlaclhtza' Jesús. 
MAT.3.17	Kexmatca a'ktin tachihuīn nac a'kapūn ē huanli:
MAT.3.17	―Ū'tza' huā'mā' quiSka'ta' tī laktza' icpāxquī' ē xla' quimakapāxuī.
MAT.4.1	Palaj tunca Espíritu Santo lē'lh Jesús nac cā'tzaya'nca ti'ya't. Skāhuī'ni' tī huanican Satanás ixlīlaktzī'ncu'tun palh tzē na'a'kskāhuī' Jesús.
MAT.4.2	A'ntza' tu'pu'xam quilhtamacuj Jesús jā huā'yalh pō'ktu quilhtamacuj ē pō'ktu tzī'sa ē ixtzi'ncsa. 
MAT.4.3	Skāhuī'ni' laktalacatzuna'jīlh Jesús ē huanilh:
MAT.4.3	―Palh hui'x ī'Ska'ta' Dios, cacāmāpa'ksi' tzamā' chihuixni' pāntzīn catahuanli.
MAT.4.4	Jesús kelhtīlh:
MAT.4.4	―Tatzo'kni' na ixtachihuīn Dios: “Jā xmān pāntzīn catilīlatamā'lh chā'tin chi'xcu' nac cā'quilhtamacuj. Nā ixlacasqui'nca cuenta natlahuacan ixtachihuīn Dios.”
MAT.4.5	Palaj tunca skāhuī'ni' lē'lh Jesús nac Jerusalén jā nā māpācuhuīcan cā'lacchicni' xatasicua'lanātlahua. Māhua'ca'lh na ixa'kspūn xaka'tla' templo 
MAT.4.6	ē huanica:
MAT.4.6	―Palh hui'x ī'Ska'ta' Dios, cayujti nac ti'ya't. Tatzo'kni' na ixtachihuīn Dios:
MAT.4.6	Dios nacāmāpa'ksī ixángeles natamaktaka'lhān.
MAT.4.6	Natamā'kaquī'yān ē chuntza' nūn kentin mintujan catitakāhui' nac chihuix.
MAT.4.7	Jesús kelhtīlh:
MAT.4.7	―Nā chuntza' tatzo'kni' na ixtachihuīn Dios: “Jā tilīlaktzī'na' miMāpa'ksīni' Dios.”
MAT.4.8	Skāhuī'ni' lē'mpālh a'ktin nac sipej tālhmā'n. A'ntza' māsu'yuni'kō'lh ixlīka'tla' cā'quilhtamacuj ē chī tzēhuanī't ixuanī't. 
MAT.4.9	Skāhuī'ni' huanilh:
MAT.4.9	―Pō'ktu huā'mā' na'icmaxquī'yān xmān naquintatzokostani'ya' ē naquilaktaquilhpūtaya' ―huanica Jesús.
MAT.4.10	Jesús kelhtīni'lh:
MAT.4.10	―¡Caquintapānu'ni', Skāhuī'ni'! Tatzo'kni' na ixtachihuīn Dios: “Natatzokostani'ya' ē nalaktaquilhpūtaya' miMāpa'ksīni' Dios ē natlahua'ya' xmān tū xla' lacasqui'n.”
MAT.4.11	Palaj tunca skāhuī'ni' a'kxtekui'līlh. Ē makapitzīn ángeles tamilh ē tamaktaka'lhli Jesús.
MAT.4.12	Jesús a'cxni' māca'tzīnīca chī ixchī'canī't Juan, palaj tunca a'lh nac estado Galilea 
MAT.4.13	ē jā tachokolh nac Nazaret. A'lh tahui'la nac cā'lacchicni' Capernaum ixlacatzuna'j na ixquilhtūn xcān. Nā huā'mā' ti'ya't ixmāpācuhuīcan ixti'ya'tca'n Zabulón ē Neftalí. 
MAT.4.14	Huā'mā' tū a'kspulalh mākentaxtūlh tū tzo'kli a'kchihuīna' Isaías na ixtachihuīn Dios. Chuntza' tzo'kli:
MAT.4.15	Ti'ya't jā māpācuhuīcan Zabulón ē jā māpācuhuīcan Neftalí, a'ntza' tētaxtu tej tū mā'lh hasta nac mar.
MAT.4.15	Nā a'ntza' ixtuntacut nac xcān Jordán nac estado Galilea ē ū'tza' jā tahui'lāna'lh tī jā israelitas.
MAT.4.16	Tachi'xcuhuī't hua'chi ixtahui'lāna'lh jā cā'pucsua' ē chuhua'j talaktzī'lh a'ktin xaka'tla' taxkaket.
MAT.4.16	Xlaca'n hua'chi ixtanīmā'nalh ē cā'skē'k ixtahui'lāna'lh.
MAT.4.16	Chuhua'j talaktzī'lh chī xkaka.
MAT.4.16	Chuntza' tzo'kli Isaías.
MAT.4.17	Palaj tunca Jesús tzuculh a'kchihuīna'ntā'kchoko ē huanli:
MAT.4.17	―Calīlīpuhuantit tū jā tze tlahuanī'ta'ntit ē calakpalī'tit mintalacapāstacni'ca'n. Talacatzuna'jīmā'lhtza' a'cxni' Dios namāpa'ksīni'nkō'.
MAT.4.18	A'cxni' Jesús ixlatlā'huan na ixquilhtūn xaka'tla' xcān tū huanican lago Galilea, cālaktzī'lh chā'tu' chi'xcuhuī'n tī lītā'timīn ixtahuanī't. Chā'tin Simón ixuanican ē ixlī'a'ktu' ixtacuhuīni' Pedro. Ā'chā'tin Andrés ixuanican. Xlaca'n chi'pāna'nī'n squī'ti' ixtahuanī't ē ixtamojōmā'nalh nac xcān ixpūtayanca'n tū pūchi'pacan squī'ti'. 
MAT.4.19	Palaj tunca Jesús cāhuanilh:
MAT.4.19	―Caquilātā'a'uj ē na'iccāmāsu'yuni'yān chī nacālīmā'a'ka'ī'nī'yā'tit tachi'xcuhuī't ixtachihuīn Dios.
MAT.4.20	Palaj tunca tamakxtekli ixpūtayanca'n ē tatā'a'lh Jesús.
MAT.4.21	A'cxni' a'lh ā'lacatin, cālaktzī'lh ā'chā'tu' huampala lītā'timīn. Xlaca'n ixcamana' Zebedeo ixtahuanī't ē ixtacuhuīni' chā'tin Jacobo ē ā'chā'tin Juan. Ixtatā'hui'lāna'lh ixtāta'ca'n nac barco ē ixtalacachī'mā'nalh tū pūchi'pacan squī'ti'. Jesús cāmāta'satīnīni'lh. 
MAT.4.22	Xamaktin xlaca'n tatacutli nac barco ē ta'a'kxtekui'līlh ixtāta'ca'n ē ta'a'lh tastālani'lh Jesús.
MAT.4.23	Jesús ixtlā'huamā'lh calhāxcuhuālh nac estado Galilea ē ixcāmāsu'yuni'mā'lh tachi'xcuhuī't na ixtemploca'n israelitas nac a'katunu' cā'lacchicni'. Ixcāmāsu'yuni'mā'lh chī nala jā Dios māpa'ksīni'nkō' ē ixcāmātzeyīmā'lh ixlīpō'ktuca'n kempālhūhua' ta'jatat tū ixcāpasanī't tachi'xcuhuī't. 
MAT.4.24	Calhāxcuhuālh nac ti'ya't jā huanican Siria cāmāca'tzīnīca ixpālacata Jesús. Cālīmini'ca ixlīpō'ktuca'n ta'jatatlanī'n. Cālīmini'ca tī ixtapātīmā'nalh catūxcuhuālh ta'jatat ē catūxcuhuālh taca'tzanajuāt. Cālīmini'ca tī ixtaka'lhī jā tzeya ū'nī'n ē tī ixpaxnīni'n ē tī ixtalū'ntū'nunī't. Jesús cāmātzeyīkō'lh. 
MAT.4.25	Līlhūhua' xalanī'n nac estado Galilea tastālani'lh ē nā xalanī'n nac Decápolis ē Jerusalén. Nā tastālani'lh xalanī'n nac estado Judea ē xalanī'n nac ti'ya't ixtuntacut nac xcān Jordán.
MAT.5.1	A'cxni' Jesús cālaktzī'lh tamilh lhūhua' tachi'xcuhuī't, xla' tā'cxtulh na ixlacapūn sipej ē a'ntza' tahuī'lh. Ī'scujnu'nī'n palaj tunca talītamacsti'li'lh. 
MAT.5.2	Jesús tzuculh cāmāsu'yuni'.
MAT.5.2	Chuntza' Jesús cāhuanilh:
MAT.5.3	―Masqui pūhua'nā'tit xmān tzē nalīmakapāxuī'yā'tit Dios palh xla' nacāmaktāyayān, ka'lhī'yā'tit tū nalīpāxuhua'yā'tit. Dios cālakalhu'manān masqui jā tze hui'xina'n. Nalīpāxuhua'yā'tit ixpālacata Dios cāmāpa'ksīmā'n.
MAT.5.4	’Masqui līlīpuhuanā'tit mincuentaca'n ē tū jā tze nac cā'quilhtamacuj, ka'lhī'yā'tit tū nalīpāxuhua'yā'tit. Dios nacāmāko'xamāka'tlī'yān.
MAT.5.5	’Ka'lhī'yā'tit tū nalīpāxuhua'yā'tit hui'xina'n tī jā ka'tla' līmakca'tzīyā'tit. Ixlīpō'ktu ti'ya't milaca'n nahuan.
MAT.5.6	’Ka'lhī'yā'tit tū nalīpāxuhua'yā'tit hui'xina'n tī lactze huancu'tunā'tit na ixlacatīn Dios ē chuntza' makca'tzīyā'tit hua'chi tī tzi'ncsa putza ixtahua'. Dios nacāmaktāyayān ē chuntza' lactze nalītaxtuyā'tit.
MAT.5.7	’Ka'lhī'yā'tit tū nalīpāxuhua'yā'tit hui'xina'n tī cālakalhu'manā'tit ā'makapitzīn. Nā Dios nacālakalhu'manān.
MAT.5.8	’Ka'lhī'yā'tit tū nalīpāxuhua'yā'tit hui'xina'n tī xmān a'ktin mintalacapāstacni'ca'n ē ū'tza' chī tzē nalīmakapāxuī'yā'tit Dios. Nalīpāxuhua'yā'tit ixpālacata nac a'kapūn nalaktzī'nā'tit Dios calacan.
MAT.5.9	’Ka'lhī'yā'tit tū nalīpāxuhua'yā'tit hui'xina'n tī cāmāko'xamixī'yā'tit tachi'xcuhuī't tī talāsītzī'ni'. Nalīpāxuhua'yā'tit ixpālacata nacātamāpācuhuī'yān ixlacstīn Dios.
MAT.5.10	’Ka'lhī'yā'tit tū nalīpāxuhua'yā'tit hui'xina'n masqui pātīni'mpā'na'ntit xmān ixpālacata tlahua'pā'na'ntit ixtalacasqui'nīn Dios. Dios cāmāpa'ksīmā'n ē ū'tza' nalīpāxuhua'yā'tit.
MAT.5.11	’Ka'lhī'yā'tit tū nalīpāxuhua'yā'tit hui'xina'n a'cxni' tachi'xcuhuī't cātalakapalayān ē cātamātakāhuī'yān ē cātalīmālacsu'yuyān kempālhūhua' tū jā ixlīcāna'. Capāxuhua'tit a'cxni' cātatlahuani'yān chuntza' xmān ixpālacata quilāstālani'uj. 
MAT.5.12	Capāxuhua'tit. Nac a'kapūn māquī'canī't tū milaca'n nahuan ē ū'tza' tū lhūhua' ixtapalh. Nā lacxtim cāmakapātīnīnca ixa'kchihuīna'nī'n Dios xalanī'n makāstza'.
MAT.5.13	Jesús cāhuanipālh:
MAT.5.13	―Hui'xina'n hui'lā'na'ntit nac cā'quilhtamacuj nacāmāsu'yuni'yā'tit tachi'xcuhuī't chī tze natalīhuan. Ū'tza' hua'chi matzat tū lītlahuacan quinī't ē ū'tza' tze nalīhuan ē jā napu'csan. Palh matzat jātza' sko'kō'xni'n, ¿chī tzē nalīmāsko'kō'nuncan? Jātza' tze catihuanli. Xmān namaka'ncan ē nalacchi'ntacan.
MAT.5.14	’Nā hui'xina'n hui'lā'na'ntit nac cā'quilhtamacuj nacāmāsu'yuni'yā'tit tachi'xcuhuī't chī natalīlatā'kchoko. Hui'xina'n hua'chi pūcās tū māxkakēni' ixlīpō'ktu nac cā'quilhtamacuj. A'ktin cā'lacchicni' tālhmā'n nac sipej jā catimātzē'kca. 
MAT.5.15	Ē nūn catimāpasīca pūcās ē palaj tunca nalīmā'kchahuacan catūhuālh. Ā'chulā' tze māhua'ca'can tālhmā'n ē chuntza' tzē nacāmāxkakē ixlīpō'ktuca'n tī tatanūmā'nalh nac chic. 
MAT.5.16	Chuntza' hui'xina'n tzej nalatā'kchokoyā'tit na ixlacatīnca'n tachi'xcuhuī't ē chuntza' xlaca'n natamakapāxuī quinTāta'ca'n nac a'kapūn ixpālacata xatze tū tlahua'pā'na'ntit.
MAT.5.17	Jesús cāhuanipālh:
MAT.5.17	―Jā capuhua'ntit icminī't na'icmālaksputū līmāpa'ksīn tū maxquī'ca Moisés ē tū tatzo'kli a'kchihuīna'nī'n. Jā ū'tza' iclīminī't. Quit icminī't namākentaxtū. 
MAT.5.18	Ixlīcāna' tū iccāhuaniyān. Līhuan tahui'lāna'lhcus a'kapūn ē ti'ya't, jā catixapaca nūn macsti'na'j tzamā' līmāpa'ksīn. Jā tū catixapaca a'cxni' jāna'j namākentaxtūkō'can ixlīpō'ktu tū nala. 
MAT.5.19	Chuntza' palh catīhuālh namākēnū macsti'na'j tū māpa'ksī līmāpa'ksīn ixpālacata lacpuhuan jā ixlacasqui'nca ē palh chuntza' nacāmāsu'yuni' ā'makapitzīn, xla' xastancu nalītaxtu jā Dios māpa'ksīni'nkō'. Palh catīhuālh nakexmatni' līmāpa'ksīn ē nā nacāmāsu'yuni' ā'makapitzīn chī xlaca'n natakexmatni', xla' ixlacasqui'nca jā Dios māpa'ksīni'nkō'. 
