GEN.1.1	Mwanzo Mwenyezimungu komba bingu na duniya. 
GEN.2.21	Sambi Mwenyezimungu Mola wetu akimperekera Adamu usingizi mwingi sana akilala. Akinlavya mbavu mmoja, mahala pare akiziwa na nyama. 
GEN.2.22	Na kwa mbavu yaanlavire Adamu noire, Mwenyezimungu Mola wetu kamumba mwanamuka akinfikisa ka Adamu. 
GEN.2.23	Basi Adamu akisema akamba: “We! Eyu ndi kongolo ra makongolo angu, na ndi nyama ya mwiri wangu omi mwanyewe. Iye akwitiwa Mwanamuka
GEN.2.24	Ndi ntamana mwananlume áwasa mamaye na wawaye, kuka kulungana pamoja na nkawake, na wo-wawiri wakuwa mwiri mmoja. 
GEN.2.25	Nowo Adamu na nkawake wákiwa diki, wala awawere na haya.
GEN.3.1	Basi nyoka ákiwa njanja koliko manyama piya wa nnundu wawombire Mwenyezimungu Mola wetu. Suku moja nyoka kandairi mwanamuka: “Ngati Nlungu kakwambirani kaamba musirye visumo vya piya miti iri mbushtani-yi?” 
GEN.3.2	Mwanamuka ire akinjibu nyoka: “La! Ofwe tíjuzi tirye visumo vya miti iri nkati mbushtani-mu, 
GEN.3.3	fala Mwenyezimungu katikataza kaamba: ‘Musirye kisumo ca muti uri kati-kati ya mbushtani-mu, wala musikumbure! Mukikumbula, mukufwa.’ ” 
GEN.3.4	Nyoka akimwambira mwanamuka ire tena: “Kweli-kwelini umwe amufwa! 
GEN.3.5	Citenzire Mwenyezimungu kwamba javyo, konta suku ya kurya noco kisumo-co múfungula maso, mukuwa kamba Nlungu, mukwijiwa meema na mabaya.” 
GEN.3.6	Noparepare mwanamuka, paawonire kuwa kisumo ca ure muti ure cifãi kuriwa na akirya munu awona, na cifãi pakulu sana na cikumpa munu werevu, basi mwanamuka ire akisuma kisumo cire, akirya, akimpa nlumake, neye novyo akirya. 
GEN.3.7	Mara akiwafunguka maso ngwee, wakiriwona kuwa wankwenenda diki. Wakisona masamba a nkungu
GEN.3.8	Na mepo ya ruremba ire, wakisikira shindo ya Mwenyezimungu Mola wetu akenenda mbushtani mure. Sambi Adamu na nkawake wakirifisa na miti ya kati-kati ya bushtani ire, Mwenyezimungu Mola wetu asiwawone. 
GEN.3.9	Fala Mwenyezimungu Mola wetu akimwita Adamu akindairi javi: “Kuwa ndepi?” 
GEN.3.10	Akijibu: “Nijiwa kuwa kwankwenenda mbushtani-mu, fala omi kwa kuriwona kuwa diki, nopa ntamana nikirifisa.” 
GEN.3.11	Akindairi: “Nani akwambire kamba kuwa diki? Mwaja, kurya kisumo ca muti wanukukataze kurya cire?” 
GEN.3.12	Adamu akijibu: “Mwanamuka waunipere kuinshi naye-yu, ndi anipere kisumo ca nowo muti-wo, nomi nikirya.” 
GEN.3.13	Mwenyezimungu Mola wetu akindairi mwanamuka ire javi: “Cautendire-ci ndi kinani? Namunani?” Iye akijibu akamba: “Nyoka ndi anitesire, nikirya.”
GEN.3.14	Basi Mwenyezimungu Mola wetu akimwambira nyoka ire javi: “Kuwa uwe ndi utendire kinu kamba eco javyo, nukuhukumu. Núkulani uwe-po, niwasa manyama piya wakufuwiwa na wa nnundu. Újuzi urikwete pansi na cakurya cako ndi vunvu, mainsha ako piya. 
GEN.3.15	Nítula uwaduwi kati ya uwe na mwanamuka, kati ya rikolo rako na rake. Iye ásoma kiswa cako na uwe úluma kinyung'unyu cake.” 
GEN.3.16	Na mwanamuka ire akimwambira javi: “Nukutabisha wakati wa uwa na mimba na úpongola na malwazo, ukuwa na hamu na nlume wako, fala iye ákutawala.” 
GEN.3.17	Na Adamu akimwambira javi: “Kwa kuwa kunsikiriza nkawako na kurya kisumo ca muti wanukukataze-wo, ílanika duniya kwa sababu zako na kwa luvuju úpata kati ya ardhi luziki rako suku piya za mainsha ako. 
GEN.3.18	Ardhi íwotesa mbiriwiri na miti ya miwa na uwe cakurya cako ndi minyani ya mmasamba. 
GEN.3.19	Kwa luvuju rako úpata luziki rako, mpaka uludira tena kuwa utope, konta kumbiwa na utope. Uludira tena kuwa nsanga, konta nsanga nowo ndi waumbiriwe.”
GEN.3.20	Adamu akimpa zina nkawake Hawa (mana ake “uhai”), kwa kuwa ndi mama wa wanadamu piya. 
GEN.3.21	Mwenyezimungu Mola wetu kawatengézera Adamu na nkawake mavazi a sambala, akiwavaza.
GEN.3.22	Mwenyezimungu Mola wetu kasema kaamba: “Onani! Epa mwanadamu kalandana na mmojawapo-fwe, konta akwijiwa cema na kibaya. Kwa javyo, asije kolosa nkono kusuma kisumo ca muti wa uhai arye ainshi daima milele!” 
GEN.3.23	Kwa javyo, Mwenyezimungu Mola wetu akintuwisa mpeponi ya Edeni. Basi ikiwa ndi mwanzo munu kurima ardhi noire yaalawire mwanyewe. 
GEN.3.24	Iye, nakisa ya kuwalavya wanadamu, upande wa malawira-juwa ya peponi kawatula malaika na upanga mmoja wa moto ukizungunuka kuno na kuno. Katenda javyo kunkataza munu asifike karibu ya Muti wa uhai.
GEN.4.1	Adamu na nkawake Hawa wakiwonana, na Hawa akipata mimba akimpongola Kaini
GEN.4.2	Ikisa tena, akimpongola mwana mwengine Abeli, nduye Kaini. Abeli ákiwa nsunga wa makondoo na Kaini ákiwa nrimi. 
GEN.4.3	Bandi yakupita wakati mmojawapo, vyakurya vyaaruwerye Kaini vire akisona aba akitendera kafara yakunshukuru Mola wetu. 
GEN.4.4	Abeli na iye novyo akiwalavya makondoo wake watanzi kupongoriwa wawenye wakunenepa sana-sana akitenda kafara. Basi Mola wetu akiwa radi na Abeli kwa kafara yake ire, 
GEN.4.5	fala aawere radi naye Kaini wala kafara yake. Ntamana Kaini akikimiwa pakulu futi, na uso wake akifunga wajii kumaso. 
GEN.4.6	Mola wetu akindairi Kaini javi: “Mbena kukimiwa kufunga wajii kumaso? 
GEN.4.7	Inawa kutenda vyema, nanga kuseka, falakini kutenda vibaya ntamana dambi ikwikarira panryango-po kusakula ikukidiri. Fala uwe újuzi usase dambi kukukidiri.”
GEN.4.8	Ikisa Kaini akimwambira nduye Abeli: “Tuke masamba.” Basi masamba nokurekure Kaini akimwirukira nduye Abeli ire, akimulaya. 
GEN.4.9	Sambi Mola wetu akindairi Kaini: “Nduyo Abeli kawa ndepi?” Iye akijibu: “Sijiwa! Nduyangu-yo omi ndi nikala naye?” 
GEN.4.10	Mola wetu akisema javi: “Cautendire-ci kinani? Sikiriza-po! Damu ya nduyo yautawanye pansi-yo yankunilalamikira. 
GEN.4.11	Basi epa, ardhi ikulani, kwa kuwa ifunguka kamba kanywa ikipokerera damu ya nduyo waumulaye kwa makono ako. 
GEN.4.12	Anta urime pakulu vyaurima vyonse, auruwerya kinu. Ukuwa munu wa kupayapaya, sauna rumburo maalumu ra mekazi nduniya.” 
GEN.4.13	Basi Kaini akimwambira Mola wetu: “Ha! Eyi hukumu-yi ulu pakulu kwangu omi, sikidiri kuvumirira. 
GEN.4.14	Epa rero kunituwisa eci kirima-ci, niwe baidi nawe. Basi nikuwa munu wa kupayapaya bila kuwa na rumburo maalumu duniya-yi, na asaka kuniwona onse anulaya.” 
GEN.4.15	Fala Mola wetu akinjibu: “Sivyo-javyo, munu mmojawapo akukuulaya, jamaa zake wakulaiwa saba, alama ya kunshupa.” Basi Mola wetu akintaya alama yakuwa asaka kusimanana naye onse, asimúlaye. 
GEN.4.16	Basi, Kaini akilawa mbere ya Mola wetu, akuka akiínshi inti ya Nodi, inti iri upande wa malawira-juwa ya Edeni.
GEN.4.17	Kaini na nkawake wakiwonana, na nkawake ire akimita mimba akimpongola Henoki. Kaini ire akijenga kaya, akita zina ra mwanawe Henoki. 
GEN.4.18	Henoki akimpongola Iradi, Iradi akimpongola Mehuyaeli, Mehuyaeli akimpongola Metusela, na Metusela akimpongola Lameki. 
GEN.4.19	Lameki kâpalakanya waka wawiri, mmoja ákitiwa Ada na mwengine Sila. 
GEN.4.20	Ada kâmpongola Yabali, iye ndi âwere ntanzi wawo ware wenye kuinshi mmaema, wari na ng'ombe. 
GEN.4.21	Nduye Yabali ákitiwa Yubali, iye ndi âwere ntanzi wa webii wa zeze pamoja na mitoriro. 
GEN.4.22	Sila neye akimpongola Tubali-Kaini, iye ndi âwere nfuri wa vyombo piya vya kila namuna, vya shaba na vya cuma. Tubali-Kaini, ákiwa na nlumbuwe wakwitiwa Naama.
GEN.4.23	Suku moja, Lameki akiwambira waka wake ware javi: “Ada na Sila, sikirani usowezi wangu! Waka wa Lameki, tengemanani munisikirize nlume wenu canamba: Nimuúlaya munu kwa sababu ya kunilumiza, nulaya kwa kuwa nnemba-yo kaninyanda. 
GEN.4.24	Ikiwa Kaini, munu mmojawapo akinuulaya, jamaa zake waulaiwa saba, kweli-kwelini, munu mmojawapo aniuulaya, jamaa zake wakulaiwa sabini mara saba!”
GEN.4.25	Sambi Adamu ire na nkawake, wakiwonana tena. Nkawake akimpongola mwana akimwita Seti, akisema: “Konta Mwenyezimungu kanijánliya, nimpata mwana nlume kanlámusa Abeli olaiwe na Kaini.” 
GEN.4.26	Na Seti neye akimpata mwana akimwita Enoshi. Noparepare, ndi pawanzire kulebela duwa kwa zina ra Mola.
GEN.5.1	Eyi ndi waraka ya rikolo ra Adamu. Kwa ire suku ire wakati Mwenyezimungu wamumbire mwanadamu, kamumba kwa kulandana kwake iye Mwenyezimungu. 
GEN.5.2	Wanadamu wombiwe wawenye ndi nlume na muka. Pawombire, Mwenyezimungu kawajanliya na kawapa zina ra “Binadamu”. 
GEN.5.3	Adamu pawere na umuri wa myaka miya na talatini, akimpongola mwana wa kulandana naye, kwa wajii yake, akimwita Seti. 
GEN.5.4	Bandi yakumpongola Seti, Adamu kainshi myaka miya nane, kâwapongola wana wengine waka na walume. 
GEN.5.5	Adamu kafwa na humuri wa myaka miya kenda na talatini.
GEN.5.6	Wakati Seti wawere na humuri wa myaka miya na mitanu, akimpongola Enoshi. 
GEN.5.7	Bandi yakumpongola Enoshi, Seti kainshi myaka miya nane na saba, kâwapongola wana wengine waka na walume. 
GEN.5.8	Seti kafwa na humuri wa myaka miya kenda na kumi na miwiri.
GEN.5.9	Wakati Enoshi wawere na umuri wa myaka tuswini, akimpongola Kenani. 
GEN.5.10	Bandi ya kumpongola Kenani, Enoshi kainshi myaka miya nane na mitanu, kâwapongola wana wengine waka na walume. 
GEN.5.11	Enoshi kafwa na humuri wa myaka miya kenda na mitanu.
GEN.5.12	Wakati Kenani wawere na humuri wa myaka sabini, akimpongola Mahalaleli. 
GEN.5.13	Bandi yakumpongola Mahalaleli, Kenani kainshi myaka miya nane na arubaini, na kâwapongola wana wengine waka na walume. 
GEN.5.14	Kenani kafwa na umuri wa myaka miya kenda na kumi.
GEN.5.15	Wakati Mahalaleli wawere na humuri wa myaka sitini na mitanu, akimpongola Yaredi. 
GEN.5.16	Bandi yakumpongola Yaredi, Mahalaleli kainshi myaka miya nane na talatini, na kâwapongola wana wengine waka na walume. 
GEN.5.17	Mahalaleli kafwa na humuri wa myaka miya nane na tuswini na mitanu.
GEN.5.18	Wakati Yaredi wawere na humuri wa myaka miya na sitini na miwiri, akimpongola Henoki. 
GEN.5.19	Bandi yakumpongola Henoki, Yaredi kainshi myaka miya nane, kâwapongola wana wengine waka na walume. 
GEN.5.20	Yaredi kafwa na humuri wa myaka miya kenda na sitini na miwiri.
GEN.5.21	Wakati Henoki wawere na humuri wa myaka sitini na mitanu, akimpongola Metusela. 
GEN.5.22	Henoki ákipatana na Mwenyezimungu. Bandi ya kumpongola Metusela, Henoki kainshi myaka miya natu, kâwapongola wana wengine waka na walume. 
GEN.5.23	Henoki kainshi myaka miya natu na sitini na mitanu. 
GEN.5.24	Henoki ákipatana na Mwenyezimungu, nakisa akibanziwa awoneke tena, konta katwariwa na Mwenyezimungu mwanyewe.
GEN.5.25	Wakati Metusela wawere na humuri wa myaka miya na tamanini na saba, akimpongola Lameki. 
GEN.5.26	Bandi ya kumpongola Lameki, Metusela kainshi myaka miya saba na tamanini na miwiri, kâwapongola wana wengine waka na walume. 
GEN.5.27	Metusela kafwa na humuri wa myaka miya kenda na sitini na kenda.
GEN.5.28	Wakati Lameki wawere na humuri wa myaka miya na tamanini na miwiri, akimpongola mwana nlume. 
GEN.5.29	Mwana ire akimwita Nnu, akamba: “Eyu mwana-yu, ndi asaka kutauni kazi zetu za nguvu zatiri kukola na makono etu nkati ya eyi duniya yaalanire Mola wetu-yi.” 
GEN.5.30	Bandi ya kupongoriwa Nnu, Lameki kainshi tena myaka miya ntanu na tuswini na mitanu, kâwapongola wana wengine waka na walume. 
GEN.5.31	Lameki kafwa na humuri wa myaka miya saba na sabini na saba.
GEN.5.32	Nnu wakati watimize humuri wa myaka miya ntanu, kawapóngola Shemu, Hamu na Yafeti.
GEN.6.1	Wakati wanu pawakizidi kongezeka duniya na wákiwapongola wanawaka, 
GEN.6.2	basi majini
GEN.6.3	Mola wetu akisema javi: “Roho yangu aikala na mwanadamu daima milele, konta iye ndi mwiri mwepepe tu, basi aainshi zaida ya myaka miya na shirini.” 
GEN.6.4	Kwa nowo wakati-wo na ikisa tena, eyi duniya-yi wákiwapo mitimwi au majini
GEN.6.5	Mola wetu duniya paawawónire wanu kuzidi ubaya pakulu na myoyo yawo kwijala mawazo a mipango ya ubaya ntupu, 
GEN.6.6	akisikitika sana kwa kumumba binadamu duniya-yi akirishuku pakulu futi. 
GEN.6.7	Basi Mola wetu akamuru akisema javi: “Níwapoteza wanadamu piya waniwómbire níwalainisa duniya: wanadamu, manyama, nyuni na wadudu piya wa kurikweta pansi. Nisikitika konta nijiwa niwómbire futi duniya-yi.” 
GEN.6.8	Falakini Mola wetu ákinnang'aniza sana Nnu.
GEN.6.9	Eyi ndi hadisi ya mainsha a nabii Nnu. Nnu ákiwa mwananlume wakweli, na ákiwa yeka basi saakosire wakati wa mainsha ake. Iye ákipatana na Mwenyezimungu. 
GEN.6.10	Nnu ákiwa nawo wana watatu wakwitiwa Shemu, Hamu, na Yafeti.
GEN.6.11	Sambi, ulumwengu dainfu mbere ya Mwenyezimungu, ukijala ukakatima. 
GEN.6.12	Mwenyezimungu akinang'aniza ulumwengu, katajabu kawona udainfu kamana wanadamu piya wenenda namuna ya udainfu mulumwengu. 
GEN.6.13	Ikisa Mwenyezimungu kamwambira Nnu akamba: “Omi nílamula javi: Niwaribu wanu piya, konta wejaza dhuluma
GEN.6.14	Lunda safina na mbawo za ntumbati, ujenge nyumba nkati, wawanye visusi, udeni balaki panja na nkati. 
GEN.6.15	Vyaujuzi kutenda ndi javi: pima 133 za urefu, pima 22 za upana, na pima 13 za ujunda. 
GEN.6.16	Uvike pajulu ya safina na wase ando mmoja kiyasi ca palumu mbiri na nusu kulawa julu yaufinike kuja nkipama. Upande utende nryango na gorofa ziwe natu, ya kwanza, ya piri, na ya tatu. 
GEN.6.17	Ardhi piya nímpereka mwanalukaya wa kuzidi, awáribu wanu mulumwengu piya wari sini ya binguni, kila kiyumbe mwenye kupumuzika. Piya wenye mainsha mulumwengu wakufwa. 
GEN.6.18	Falakini nísaka kutula miyadi ya kupatana nowe. Újuzi wingire nsafina uwe, nkawako, wanawo na wakwezo. 
GEN.6.19	Wakija manyama, uwase wengire nkati ya safina wainshi nawe pamoja, kila namuna ya nyama na nyuni, awepo muka na nlume. 
GEN.6.20	Kila namuna ya nyuni, kila namuna ya ndudu wa maulu mane na wengine tena wa kurikweta pansi, wákufika wawiri-wawiri kusakula uwape mainsha wainshi. 
GEN.6.21	Ukusanye cakuriwa conse cingi uture, ca kukutosha uwe na wadudu.” 
GEN.6.22	Nnu katenda piya sawa-sawa kamba Mwenyezimungu vyaantumire kutenda.
GEN.7.1	Sambi Mola kamwámbira Nnu: “Uwe újuzi wingire nsafina pamoja na nkawako, wanawo, na wakwezo. Omi nísaka nukuvusheni, konta ninang'ániza nukuwonérera uwe kuwa na kweli, hapana mwengine tena tarehe-yi. 
GEN.7.2	Piya manyama wari swafi uwatware walume saba na waka saba na piya manyama sawari swafi uwatware wawiri-wawiri muka na nlume. 
GEN.7.3	Tena utware nyuni saba nlume na saba nyika, újuzi kutenda javyo kuwavusha wapate mainsha wadudu wa kila namuna wa piya inti. 
GEN.7.4	Muda wa suku saba nínyesa nvula nduniya, suku arubaini usiku na nsana, na piya ciri hai conse canumbire omi nílayinisa.” 
GEN.7.5	Nnu katenda piya sawa-sawa kamba Mola wetu vyaantumire kutenda.
GEN.7.6	Ákiwa nawo humuri wa myaka miya sita wakati waajire mwanalukaya wa kuzidi kwijaza maji piya duniya. 
GEN.7.7	Nnu na wanawe na nkawake na wakweze wengira nsafina kuwa wanusurike na mwanalukaya wa kuzidi. 
GEN.7.8	Wadudu wakuwa swafi na sawari swafi, nyuni na wadudu wakurikweta pansi, 
GEN.7.9	waja wawiri-wawiri muka na nlume ka Nnu nkati ya safina, kamba Mwenyezimungu vyaamwambire Nnu. 
GEN.7.10	Upita muda wa suku saba mwanalukaya akanza kwijaza fó maji duniya piya.
GEN.7.11	Suku ya kumi na saba ya mwezi wa piri wa mwaka waatimize Nnu myaka miya sita ya humuri wake, kweli-kwelini akanza maji kububuka pansi ka nguvu na miryango piya ya binguni ikifunguka. 
GEN.7.12	Ikinya nvula duniya piya suku arubaini usiku na nsana. 
GEN.7.13	Suku noire, Nnu na wanawe, Shemu, Hamu na Yafeti, na nkawake na wakweze watatu wengira wonse nsafina. 
GEN.7.14	Wengira emo pamoja na kila namuna ya manyama, wadudu wa nnundu, wadudu wakufuwiwa, kila namuna ya wadudu wakurikweta pansi, na kila namuna ya nyuni. 
GEN.7.15	Kila mwenye mainsha wakupumuzika, wawiri-wawiri, muka na nlume, waja ka Nnu wengira na Nnu nsafina. 
GEN.7.16	Wengira nlume na muka, kweli-kwelini, kamba Mwenyezimungu mwanyewe vyaantumire Nnu. Nakisa Mola wetu akinfungira nryango Nnu kipanjapanja.
GEN.7.17	Kwijala ka maji kukizidi kuka mbere, suku arubaini maji ákengezeka kila wakati na safina ikanza kwerera. 
GEN.7.18	Maji engezeka tena ka nguvu pakulu akifinika piya ardhi na ire safina ikerera julu ya maji are. 
GEN.7.19	Azidi kwengezeka pakulu, myango mirefu-mirefu piya ikizama. 
GEN.7.20	Maji are azidi kwengezeka tena ka nguvu mpaka myango piya ikizama, na akipunda myango ire kiyasi ca pima saba! 
GEN.7.21	Wákiinshi nduniya piya wakifwa. Manyama, nyuni, wadudu wakurikweta pansi, pamoja na wanadamu piya wakifwa. 
GEN.7.22	Piya viyumbe wákiinshi na mumu yakupumuzika wakifwa. 
GEN.7.23	Basi mwanalukaya nkulu kapoteza viyumbe piya nyuni, manyama, wadudu wa kurikweta pansi, na wanadamu piya wakilainika. Akibaki Nnu basi na ware waákiwa nawo nsafina. 
GEN.7.24	Maji are êjala fó ardhi piya, mpaka muda wa suku miya na amusini.
GEN.8.1	Fala sambi, Mwenyezimungu aanriware Nnu wala piya wadudu wa nnundu na wa kufuwiwa wákiwa pamoja naye nsafina, Mwenyezimungu akipereka mepo ikanza kuvuma, maji akanza kupunguka. 
GEN.8.2	Wakati-wo, mure múkibubuka maji mure iri mufungiwe, miryango ya binguni ifungiwe, na nvula ikinya ire yaamúke. 
GEN.8.3	Maji are apunguka-pungukanga aba-aba. Mpaka pazipitire suku miya na amusini, maji akizidi kupunguka nfululu, 
GEN.8.4	novirevire, suku ya mwezi kumi na saba, mwezi wa saba, safina ire ikuka ikipwerera pajulu ya myango ya kwitiwa Ararati. 
GEN.8.5	Maji akizidi kupunguka tena. Mwezi wa kumi, iri mwezi mosi, iwoneka myango ikanza kulawira panja.
GEN.8.6	Zipita tena suku arubaini, Nnu akifungula janela yaatendire nsafina, 
GEN.8.7	na akintwala baruku mmoja nsafina akimwirusa. Baruku ire aaludire tena nsafina, akiruka akuka kuno na kuno, mpaka maji akikakama nfululu na ardhi piya ikumiliya. 
GEN.8.8	Basi sambi, Nnu akinlavya pomba mmoja oke akanang'anize kuwa kweli-kwelini maji apunguka pansi pare. 
