MAT.1.1	Kĩtabũ kya wĩleli wa kĩYesu Kilisito, umuana wa kĩDaudi, umuana wa kĩIbũlahimu. 
MAT.2.22	Pĩna nũigia kĩna uAlikelao watemile mu Uyahũdi palioma Iya kishee uHelode, noopoka kwienda kuasio; nusugulua mundooti, nuenda kũGalilaya. 
MAT.2.23	Nuenda nũkyala mukaa nyukuĩtaguaa Nazaleti; itĩ lutimĩĩligue naalĩ lutambulue nĩanakĩdagu, “Ukiĩĩtua Munazaleti.”
MAT.3.1	Pantondo zaasio nũgyelela uYohana Mubadĩĩzia nwitanantia mumbuga ya Uyahũdi, nuũga, 
MAT.3.2	“Pelĩ, kunsooko uutemi wa kwigyulu wasũgamĩlaa.” 
MAT.3.3	Uyu wayu alimutambulue numunakĩdagu Yesaya, nuũga,
MAT.3.3	“Luli lwa muntu lukĩtunta mumbuga,
MAT.3.3	mĩzĩpĩĩliĩ ĩnzĩla ya kĩShekulu,
MAT.3.3	Gololĩ pijĩla piakue.”
MAT.3.4	Nduyo uYohana alutĩĩte ntiila za maũli ma ngamĩa
MAT.3.5	Paapo naĩ kumuagana iYelusalemũ nu Uyahũdi wensi, nĩmatumbĩ miYolidani mensi, 
MAT.3.6	Naabadĩĩzigua mumongo wiYolidani ninduyo, kunu naikũmuula ĩmĩlandu yaao. 
MAT.3.7	Pĩna nuaona ĩApalisayo nĩAsadukayo iingĩ auuzĩlĩĩĩle ubadĩĩzo, nuaĩĩla, “Inie wĩleli wa nzoka, waani umusuguĩle muutalame uutaki naukiiiza? 
MAT.3.8	Pĩĩ gua ĩnkali nizĩjĩpĩĩle uupeli! 
MAT.3.9	Mulekishĩĩga nukwitambula munkolo zaani, ‘Kutĩĩte utata wĩĩtu, uIbũlahimu;’ luulo gua, namuĩĩla kĩna uNzua usũũmile mumagũe aya kukumũgyelelia uIbũlahimu ĩaana. 
MAT.3.10	ĩMpoopo yaĩĩkaguaa pamatina mamakota. Luulo gua, ikyota liensi nasika Iyukupĩaa inkali nanziiza Iyukudumulaguaa nukwitaagua mumooto.”
MAT.3.11	“Ĩne nukumubadĩĩzagiaa kumaazĩ kunsooko ya upeli; ĩpa uzo nũjile kunũma yaane, utĩĩte uusũũmi kwinkĩla ĩne, sika nijĩpĩĩle sunga kwikenka iilaatu yaakue; uzo ukakumubadĩĩzia kuMuau Muelu nukumooto. 
MAT.3.12	ĩKĩpeetelo kiakue kiĩlĩ mumukono waakue; ukakukĩpiagula sue ĩkĩuga kiakue; ukiĩĩka uupemba waakue mũshagĩ, ĩpa ĩmapuulĩlo ukakumasonsa mumooto nasika ukudibaa.” 
MAT.3.13	Paapo ũYesu nupũna kũGalilaya, nuuza kũYolodani kwa kĩYohana, wabadĩĩzigue nduyo. 
MAT.3.14	Nuĩ kumugilia, nuũga, “Ĩne injĩpĩĩle mbadĩĩzigue nunduue, nunduue wanzagaana ĩne.” 
MAT.3.15	ũYesu numushookeelia, numuĩĩla. Ĩpaino naitũle iio! Kuitĩ yukũjĩpĩĩle kwitimĩĩlia ĩkulukuuluu tũlũ. 
MAT.3.16	Pĩna ũYesu nubadĩĩzigua, Ĩkamuĩ nupũna mumaazĩ; laaa, igyulu nalĩkũnukuka, numuona uMuau wa kĩNzua witima zĩ nkunda mumuakue; 
MAT.3.17	Luli kwipũna kwigyulu naluũga, “Uyu wayu Muana waane muloogua, nanumuloeeligue ninduyo.”
MAT.4.1	Paapo ũYesu nutualua nuMuau kumbuga, wagemue nũShetani. 
MAT.4.2	Nulaalĩla intondo makumi manĩĩ, munsĩ nuutiku, pembele nukolua ĩnzala. 
MAT.4.3	uMugemani numuagaana numuĩla, “Kanga ue ĩwĩMuana wa kĩNzua, umaĩĩle ĩmagũe aya matũle mapũli ma ugalĩ.” 
MAT.4.4	Nushookeelia, nuũga; “Yandĩkue, uMuntu sika witũla muumĩ kuugalĩ udũũ, ĩpa kulukaani luensi nalukupũnaa mumulomo wa kĩNzua.” 
MAT.4.5	Paapo ũShetani numutuala kukaa nanzelu, numuĩmĩkia kunsonge ya numba ya kĩNzua, 
MAT.4.6	Numuĩĩla; “Kanga ue ĩwĩMuana wa kĩNzua, ĩgume pansĩ; kuitĩ yandĩkue;
MAT.4.6	‘Ukakukulagĩlĩlia ĩamalaĩka aakue,’
MAT.4.6	kangĩ,
MAT.4.6	Ĩkakukukenka mumĩkono yaao,
MAT.4.6	uleke kĩkũmpia umugulu waako mwigyũe.”
MAT.4.7	ũYesu numuĩĩla; “Yandĩkue kangĩ uleke kumugema ũShekulu Nzua waako.” 
MAT.4.8	ũShetani numutuala kangĩ kunkonko nandĩĩpũ zigizigi, numulagĩĩla uutemi tũlũ wensi wa unkũmbigyulu nuukulu waakue, 
MAT.4.9	numuĩĩla; “Aya tũlũ mensi nĩkakukupeela, kanga utũngame untekele.” 
MAT.4.10	Paapo ũYesu numuĩĩla; “Lenda uko Shetani! Kuitĩ yandĩkue; Umutekele ũShekulu Nzua waako, ninduyo wing'ene dũũ umutumĩle.” 
MAT.4.11	Paapo ũShetani numuleka; ityungo liilo ĩamalaĩka naaaza naakumutumĩla.
MAT.4.12	ũYesu pĩna nũigia kĩna uYohana watũngaguaa, nuenda kũGalilaya. 
MAT.4.13	Nulega kuNazaleti nuenda nwikyala muKapelinaũmũ pananza, munsĩĩ ya Zabũloni nuNaptali, 
MAT.4.14	itĩ lutimĩĩligue naalĩ lutambulue numunakĩdagu Yesaya, nuũga,
MAT.4.15	“Nsĩĩ ya Zabũloni nĩnsĩĩ ya Naptali,
MAT.4.15	Nzĩla ya nanza, tyunbĩ liYolidani,
MAT.4.15	Galĩlaya ya ndugu nazĩngĩ.
MAT.4.16	ĩAntu naalĩ ikyalile mukiti.
MAT.4.16	Aonaa weelu ukulu,
MAT.4.16	Ndĩo naalĩ ikyalile munsĩĩ numumulũle wa ukiu
MAT.4.16	Weelu waamĩlĩkĩlaa.”
MAT.4.17	Kwipũna paapo ũYesu nuandia kwitanantia nukwiũga; “Pelĩ, kuitĩ uutemi wa kwigyulu wasũgamĩĩlaa.”
MAT.4.18	Pĩna nũiumbaumba pananza ya Galĩlaya, nuaona antu abĩlĩ ĩkĩnũna, Simoni nukuĩtaguaa Petelo, nuAndelea mununũna waakue, igumĩla ijũĩlo munanza; kunsooko alĩ azũa-nsiĩ. 
MAT.4.19	Nuaĩĩla; “Ntiatĩ, nineene nĩkakumutenda muĩ azũa-antu.” 
MAT.4.20	Ĩkamuĩ naamaleka ĩmazũĩlo maao, naamutiata. 
MAT.4.21	Pĩna nulega paasio, nuaona nĩĩĩa abĩlĩ ĩkĩnuna, uYakobo ũsha Zebedayo nuYohana umunũna waakue, naalĩ ĩĩlĩ mũpyango palumuĩ nuZebedayo utata waao, naakumazĩpĩĩlia ĩmazũĩlo maao; nuĩĩta. 
MAT.4.22	Ĩkamuĩ naamuleka ũshee nipyango naamutiata.
MAT.4.23	Nduyo alukupilimaa muGalĩlaya yensi, nwimania mumasũnagogi maao nukwitanantia iMpola naNziiza za utemi, nukwikamia uuluĩle wensi nĩmaulemua mensi muantu. 
MAT.4.24	Nulukũmo luakue nalukũmuuka mũSilia yensi, naamuleetela tũlũ naalĩ alemekigue nuuluĩle ninjago ningĩ, ĩanalĩsĩĩmuĩ, ĩaguankolo niakiigyandi, nuakamia. 
MAT.4.25	Namamutiata maũmbĩ makulu ma kũGalilaya, nĩma kuDekapoli, nĩma kũYelusalemũ nĩma kuUyahũdi, nukwityumbĩ liYolidani.
MAT.5.1	Pĩna numaona ĩmaũmbĩ, nunankĩla munkonko; nwikyalansa, ĩamaningua aakue naamuagaana. 
MAT.5.2	Numũmuula umulomo waakue, nuamania, nuũga;
MAT.5.3	“akembetue ĩatũka a nkolo; kuitĩ uutemi wa kwigyulu ingĩ waao.
MAT.5.4	Akembetue naakola usungu; kuitĩ ĩaasio ikipumbuligua.
MAT.5.5	Akembetue naapolo; kuitĩ ĩaasio ĩkakumĩsaala ĩnsĩĩ.
MAT.5.6	Akembetue naakola nzala nĩnoota kukulukuulu; kuitĩ ĩaasio ĩkakikyuta.
MAT.5.7	Akembetue naakola kĩnishungu; kuitĩ ĩaasio ikionelua kĩnishungu.
MAT.5.8	Akembetue naeelu munkolo; kuitĩ ĩaasio ĩkakumuona uNzua.
MAT.5.9	Akembetue naakuleetaa ĩmatiliga; kuitĩ ĩaasio ikiĩĩtua aana a kĩNzua.
MAT.5.10	Akembetue naakuagagiguaa kunsooko ya kulukuuluu; kuitĩ uutemi wa kwigyulu ingĩ waao.”
MAT.5.11	Muakembetue pĩna ĩkakumutukĩla nukukumuagia nukukumutambula uubĩ wensi kuulongo, kunsooko yaane. 
MAT.5.12	Lumbĩ nukwilumbĩĩlia; kuitĩ ĩkĩpeegua kiani ĩngĩ kĩkulu kwigyulu; kuitĩ iio aliaaagilie ĩanakĩdagu naalĩ amutongelĩĩle.
MAT.5.13	“Inie mwĩmulenge wa muna nsĩĩ; kanga umulenge usuuke ukilungĩlua yaani? Sika wijĩpĩĩle kakĩntu, isiititũla kwiiitũa kunzi nukũtilangĩlua nĩantu. 
MAT.5.14	Inie mwĩweelu wa unkũmbigyulu. Kaa niĩĩlĩ munkonko sika ĩsũũmile kwipisigua. 
MAT.5.15	ĩAntu sika akusonsagiaa ĩntala nukwiĩĩkĩla munsĩ ityooto, ĩpa pauĩĩko wa ntala; yukuamĩlĩkĩlaa tũlũ ensi naakoolĩ munumba. 
MAT.5.16	Iio-iioo uweelu waani weelie ntongela ya antu, aone uutendi waani nauuza, amukulie uTata waani nwa kwigyulu.”
MAT.5.17	“Mulekishĩĩga kĩna alĩ nijile kukuwoonoona uUlagĩĩlio ninkaani za Anakĩdagu; Sika alĩ nijile kwioonoona, ĩpa kwikamĩnkĩĩlia. 
MAT.5.18	Tai namuĩĩla; ‘Sunga igyulu nĩnsĩĩ pĩna zijililega, koolua kamuĩ katia kalutonua kamuĩ sika kikileegigua muUlagĩĩlio sunga tũlũ zensi zikondeeligue. 
MAT.5.19	Wensi gua, kanga wakoonoone kalagĩĩlio kamuĩ muipi napiniino, nukukuamania ĩantu iio, ukiĩĩtua muniino kwikĩla tũlũ muutemi wa kwigyulu; ĩpa wensi nukupitenda nukukupimania, nuasio ukiĩĩtua mukulu muutemi wa kwigyulu. 
MAT.5.20	Namuĩĩla; Kanga ĩkulukuuluu yaani ĩlekikĩlĩkĩĩla ĩkulukuuluu ya alangi nĩApalisayo, sika mukiingĩla kainiino muutemi wa kwigyulu.’”
MAT.5.21	“Mũigilie ĩanakalĩ naalĩ aĩĩlue; ‘Ulekiulaga; wensi nukiulaga, yumũjipĩĩle ulamulua.’ 
MAT.5.22	Ĩne gua, namuĩĩla. Wensi nukumutakĩĩlaa umunũna waakue yumũjĩpĩĩle ulamulua. Nukumushoonelagia umunũna waakwe yumũjĩpĩĩle watualue kwilindi; numuntu wensi kanga wamumele, yumũjĩpĩĩle ĩGehena,
MAT.5.23	Iio gua, kanga ĩwipũnia imasongelio maako paupolelio, nukunu wijuke kĩna umunũna waako, utĩĩte gyũndo kumuako, 
MAT.5.24	leka paapo imasongelio maako pawitekelo, lenda ukamantane tangua numunũna waako, paapo ushooke upũnie imasongelio maako. 
MAT.5.25	Kamantananga numulugu waako pĩna mwĩensi munzĩla, umulugu waleke kukuĩĩka mumĩkono ya mulamuli, numulamuli wakuĩĩke mumĩkono ya mulindĩĩla-kĩtũngo ugumĩlue mukĩtũngo. 
MAT.5.26	Tai nakuĩĩla, Sikukipũna muasio sunga ukalĩpe ĩkasenti ĩka mumalĩĩlio.”
MAT.5.27	“Mũigilie kĩna alĩ itambulue; ‘Mulekigololia.’ 
MAT.5.28	Ĩne gua, namuĩĩla. Wensi nukumulaaa umukĩĩma kuuawa, paapo wagololagia ninduyo munkolo yaakue. 
MAT.5.29	Kanga ĩliiso liako Iya kĩgoosia lĩkutimulie, ulĩkuule, ulĩtaage kulĩ ninduue; iiza nangũlũ ulimĩĩlie ĩkatũmpĩ kaako kamuĩ, kwikĩla umuĩlĩ waako wensi utaague muGehena. 
MAT.5.30	Kanga umukono waako wa kĩgoosia ukutimulie uudumule, uutaage kulĩ ninduue; iiza nangũlũ ulimĩĩlie ĩkatũmpĩ kaako kamuĩ, kwikĩla umuĩlĩ waako wensi utaague muGehena. 
MAT.5.31	Kangĩ alĩ itambulue. Nukakumuleka umusungu waakue, wamupeele ĩkieti kya wĩleki. 
MAT.5.32	Ĩne gua, namuĩĩla. Wensi kanga wamuleke umusungu waakue, isiititũla kunsooko ya usambo, ukumutendaa mugololia; numuntu wensi kanga wamutoole umusungu namulekue, wagololagiaa.”
MAT.5.33	“Kangĩ mũigilie kĩna ĩanakalĩ alĩ aĩĩlue. Ulekilapa kuulongo, ĩpa upikĩĩlie kwa kĩShekulu uulapi waako. 
MAT.5.34	Ĩne gua, namuĩĩla. Ulekiiila ityunu kainiino; sunga kwilapĩla igyulu, kuitĩ lĩĩlo tyengu lya kĩtemi lya kĩNzua; 
MAT.5.35	katia kwilapĩla ĩnsĩĩ, kuitĩ muumo uĩĩko wa mĩgulu yaakue; katia kũYelusalemũ, kuitĩ ĩĩo kaa ya mutemi namukulu. 
MAT.5.36	Katia ulekiiilĩla ityunu ityũe liako, kuitĩ sikusũũmile kwitenda tyũmbĩ lĩmuĩ lĩtũle lielu katia liilu. 
MAT.5.37	Utambuli waani utũle eeze yĩĩ eeze, zũi yĩĩ zũi; nazĩkĩongeela kuizi zukupũnaa kumubĩĩ.”
MAT.5.38	“Mũigilie kĩna alĩ itambulue. Liiso kuliiso, liino kuliino
MAT.5.39	Ĩne gua, namuĩĩla. Muleke kĩkunguma numuntu namubĩĩ; ĩpa nuasio kanga wakukue lupĩĩ kuluakasa lwa kĩgoosia, umupĩlulĩlie nuluua. 
MAT.5.40	Nusiiile kukukusokia nukwishola ĩntiila yaako, umulekele numunkũmbĩ. 
MAT.5.41	Nuasio nukakukukankanĩka wende maili ĩmuĩ, lenda ninduyo zibĩlĩ. 
MAT.5.42	Nukukulompa umupeele. nusiiile kwilĩa mpaa kumuako, uleke kumũima.”
MAT.5.43	“Mũigilie kĩna alĩ itambulue, ‘Ukakuumuloogua umunakaa waako, nukukumusuukĩlua umulugu waako.’ 
MAT.5.44	Ĩne gua, namuĩĩla; Alooguĩ ĩalugu aani, alompeelĩ naakumuagagiaa, 
MAT.5.45	koona mutũle aana a kĩTata waani nwa kwigyulu; kuitĩ ukuatuĩlagiaa ĩmpasu yaakue ĩabĩĩ nĩnaaaza, nukukuakuĩlia ĩmbũla ĩanakulukuuluu nĩnasika akulukuuluu. 
MAT.5.46	Kanga ĩmualogilue naamuloogilue, mutĩĩte kĩpeegua kĩ? Sunga ĩasangulia-koodi sika iio akutendaane? 
MAT.5.47	Kanga ĩmukuaũgia ĩanũna aani udũũ, mutendile yaani namuakĩlĩkĩlĩĩle? Sunga ĩandugu nazĩngĩ sika iio akutendaane? 
MAT.5.48	Iio gua muĩ akamĩnkĩĩlũ niniinie zĩ uTata waani nwa kwigyulu namukamĩnkĩĩlũ.”
MAT.6.1	“Ĩkendegeelĩ, mulekitenda uuza waani ntongela ya antu, koona muonue ndĩo; kanga yĩĩ yoi, muagila kakĩpeegua kwa kĩTata waani nwa kwigyulu. 
MAT.6.2	Luulo gua, pĩna wipũnia ĩshongelio, ulekikua idyede ntongela yaako, kĩna ĩanamampĩlu akutenda mumasũnagogi numunzĩla koona akũmuukigue nĩantu. Tai namuĩĩla. aligilie ĩkĩpeegua kiao. 
MAT.6.3	“Ue gua, pĩna wipũnia ĩshongelio, umukono waako wa kĩkĩĩma ulekimana umukono waako wa kĩgoosia kĩna witenda; 
MAT.6.4	ĩshongelio lyako kukĩmpisĩ-mpisĩ, nuTata waako nukuonaa kukĩmpisĩ-mpisĩ ukakukushokeelia.”
MAT.6.5	“Pĩna mwilompa, mulekitũla zĩ anamampĩlu; kunsooko aloe kwilompa nukwiĩĩmĩka mumasũnagogi numumĩsambĩ ya nzĩla, koona aonue nĩantu. Tai namuĩĩla. Aligilie ĩkĩpeegua kiao. 
MAT.6.6	Ue gua, pĩna wilompa, ingĩla, kĩla kumbele; pĩna wigyalĩla uluĩgĩ, ulompe kwa kĩTata waako nwa mukĩmpisĩ-mpisĩ, nuTata waako nukuonaa mukĩmpisĩ-mpisĩ ukakukushookeelia. 
MAT.6.7	Pĩna mwilompa, muleke kĩtalitantĩla kĩna ĩa ndugu nazĩngĩ; kuitĩ akusĩĩgaa ikiiigigua kunsooko ya nkaani zaao naningĩ. 
MAT.6.8	Muleke kĩpiana nĩndĩo, kuitĩ uTata waani umanile namuasilĩlue kanga ĩmwikaalĩ mumulompe.”
MAT.6.9	Luulo gua, inie lompĩ itĩ;
MAT.6.9	“Tata wĩĩtu nukoolĩ kwigyulu,
MAT.6.9	ĩLiina liako lieligue.
MAT.6.10	uUtemi waako uuze,
MAT.6.10	uUlooa waako utendue muna nsĩĩ kĩna kwigyulu.
MAT.6.11	Ukupeele india zĩĩtu za nantende;
MAT.6.12	Ukuleegelie ĩmĩlandu yĩĩtu, kĩna ndiishie kualeegelia naakutimulĩĩle,
MAT.6.13	Uleke kukutuala muugemua,
MAT.6.13	ĩpa ukugũne kumubĩĩ,
MAT.6.13	Kunsooko uutemi ningũlũ nuukulu ingĩ waako sunga ĩkalĩ nakalĩ. Amini.
MAT.6.14	“Kunsooko kanga mualekele ĩantu uutimu waao, uTata waani nwa kwigyulu ukakumuleegelia inie uutimu. 
MAT.6.15	Ĩpa kanga musiite kualekela ĩantu uutimu waao, sunga uTata waani sikukakumulekela iinie uutimu waani.”
MAT.6.16	“Pĩna mulaalĩĩle gua, mulekishuununala zĩ anamampĩlu, kuitĩ akoonoonaa uusiu waao itĩ igyelele kuantu kĩna alaalĩĩle. Tai namuĩĩla. Aligilie ĩkĩpeegua kiao. 
MAT.6.17	Ĩpa ue pĩna ulaalĩĩle, wĩpake makũta kwityũe, woogie nuusiu; 
MAT.6.18	itĩ uleke kigyelela ntongela ya antu kĩna ulaalĩĩle, ĩpa ntongela ya kĩTata waako nwa mukĩmpisĩ-mpisĩ; nuTata waako nukuonaa mukĩmpisĩ-mpisĩ, ukakukushookelia.”
MAT.6.19	“Muleke kĩĩĩkĩlia ĩkĩuto muna nsĩĩ, impekũni nuũũluĩ pĩna yukoonoonaa, nĩiii akutiaa nukwiiia. 
MAT.6.20	Ĩpa ĩĩĩkĩliĩ ĩkĩuto kwigyulu, kuasio impekũnĩ nuũũlũĩ sika ukoonoonaa, nĩiii sika akutiaa nukwiiia. 
MAT.6.21	Kuitĩ pĩna ĩkĩuto kiako kiĩlĩ, nĩnkolo yaako ikitũla yĩpaapo.”
MAT.6.22	“ĩNtala ya muĩlĩ ingĩ liiso. Kanga ĩliiso liako liĩ lielu, umuĩlĩ waako wensi ukitũla nuweelu. 
MAT.6.23	Ĩpa ĩliiso liako kanga liĩ lyema, umuĩlĩ waako wensi ukitũla nuwiilu. Luulo gua, uweelu nawĩĩlĩ munsĩ yaako kanga wĩĩ wiilu, ukitũla wiilu ukulu!”
MAT.6.24	“Kutilĩ nusũũmile kukuatumĩla ishekulu abĩlĩ. Kuitĩ ukakumusuukĩlua uyu nukukumuloogua uyu, katia ukikamantana nĩnduuyu nukukumumela uyu. Sika musũũmile kukumutumĩla uNzua nĩmamona.
MAT.6.25	“Luulo gua, namuĩĩla. Lekĩ kuukunkunalĩla uumĩ waani, mulĩe yaani katia mukope yaani; Sunga umuĩlĩ waani, mwĩtũnge yaani. Uumĩ sika ukĩlĩkĩlĩĩlene india; numuĩlĩ sika ukĩlĩkĩlĩĩlene uwĩtũngi? 
MAT.6.26	Zilaaĩ inoni za mukyania; Sika zukupandĩlaa katia kwiogola, katia kwiuta mũshagĩ, nuTata waani nwa kwigyulu ukuzilĩĩsagiaa izo. Inie gua, sika mwĩaazane kwikĩla izo? 
MAT.6.27	Waani kumiani nukĩkunkunalia nusũũmile kukĩongelelia uulĩĩpũ waakue sunga umukono naumuĩ? 
