MAT.1.1	Yesu Kristo a ofi ɔhene Dawid ne Abraham abusua mu no mpanyimfo din na edidi so yi: 
MAT.2.6	“ ‘O, kurow Betlehem, wo a wonyɛ ketewaa Yudaman mu, wo mu na meyi nea obedi me man Israel anim afi.’ ”
MAT.2.7	Ɔhene Herode frɛɛ anyansafo no kokoam bisaa wɔn bere pɔtee a wohuu nsoromma no. Ɔtoaa so ka kyerɛɛ wɔn se, 
MAT.2.8	“Monkɔ Betlehem nkɔhwehwɛ abofra no. Sɛ muhu no a, mommɛka nkyerɛ me, na me nso menkɔsom no bi.”
MAT.2.9	Anyansafo no tiee ɔhene no asɛm no wiei no, wɔkɔe. Wɔrekɔ no, nsoromma a wohuu wɔ apuei no san yii ne ho adi bio kyerɛɛ wɔn. Edii wɔn anim kosii faako a wɔawo abofra no wɔ Betlehem hɔ. 
MAT.2.10	Bere a wohuu nsoromma no no, wɔn ani gyee mmoroso.
MAT.2.11	Woduu ofi a abofra no ne ne na Maria wɔ no, wɔkotow, som no. Wɔde wɔn akyɛde a ɛyɛ sikakɔkɔɔ, aduhuam ne kurobow yɛɛ no ayɛ.
MAT.2.12	Onyankopɔn soo wɔn dae bɔɔ wɔn kɔkɔ sɛ wɔnnsan nnkɔ Herode nkyɛn bio wɔ Yerusalem. Enti wɔfaa ɔkwan foforo so kɔɔ wɔn kurom.
MAT.2.13	Anyansafo no kɔe akyi no, Awurade bɔfo soo Yosef dae se, “Sɔre fa abofra no ne ne na, na monkɔ Misraim nkɔtena hɔ nkosi sɛ mɛkyerɛ mo bere a mobɛsan aba. Efisɛ, ɔhene Herode rehwehwɛ abofra no akum no.” 
MAT.2.14	Anadwo no ara, Yosef faa abofra no ne Maria siim kɔɔ Misraim, 
MAT.2.15	na wɔtenaa hɔ kosii sɛ ɔhene Herode wui. Eyi na ɛmaa nea odiyifo no kae se, “Mafrɛ me ba afi Misraim” no baa mu.
MAT.2.16	Herode hui sɛ anyansafo no adaadaa no no, ne bo fuwii mmoroso. Ɔsomaa nʼasraafo sɛ wɔnkɔ Betlehem ne nkurow a atwa ho ahyia no nyinaa mu nkokunkum mmarimaa a wonnii mfe abien kosi wɔn a wɔadi mfe abien so, sɛnea anyansafo no bere a wɔkae se wɔwoo abofra no wɔ mu no kyerɛ no. 
MAT.2.17	Herode atirimmɔdensɛm yi maa nea odiyifo Yeremia kae se, 
MAT.2.18	“Wɔte nne bi wɔ Rama. Ɛyɛ osu ne agyaadwo; Rahel resu ne mma; ɔmpɛ awerɛkyekye bi, efisɛ, wɔnte ase bio” no baa mu.
MAT.2.19	Herode wu akyi no, Awurade bɔfo yii ne ho adi kyerɛɛ Yosef wɔ dae mu wɔ Misraim ka kyerɛɛ no se, 
MAT.2.20	“Sɔre na fa abofra no ne ne na kɔ Israel asase so, efisɛ, wɔn a wɔpɛe sɛ wokum abofra no no awuwu.”
MAT.2.21	Yosef faa abofra no ne ne na san kɔɔ Israel asase so bio. 
MAT.2.22	Yosef tee sɛ Arkelao a ɔyɛ Herode ba na odi hene wɔ Yudea saa bere no mu no, osuroe sɛ ɔbɛkɔ hɔ. Awurade san soo no dae foforo bio se ɔnnkɔ Yudea na mmom, ɔnkɔ Galilea. 
MAT.2.23	Enti wɔkɔtenaa kurow Nasaret mu. Eyi nso maa nea odiyifo no kae se, “Wɔbɔfrɛ no Nasaretni no baa mu.”
MAT.3.1	Bere a Yesu ne nʼawofo wɔ Nasaret no, Yohane Osuboni bɛkaa asɛm wɔ Yudea sare so se, 
MAT.3.2	“Monsakra mo su; momfa mo ho mma Onyankopɔn, na ɔsoro ahenni no abɛn.” 
MAT.3.3	Yohane ne nea odiyifo Yesaia kaa ne ho asɛm se, “Obi nne reteɛm se, ‘Mommɔ kwan mma Awurade; momma nʼatempɔn nteɛ!’ ”
MAT.3.4	Saa bere no, na Yohane fura yoma ho nhwi ntama, bɔ aboa nhoma abɔso. Na nʼaduan yɛ mmoadabi ne ɛwo. 
MAT.3.5	Yerusalemfo ne Yudeafo ne nnipa a wɔte Asubɔnten Yordan ho no nyinaa kɔɔ ne nkyɛn wɔ sare no so hɔ kotiee asɛm no bi. 
MAT.3.6	Wɔkaa wɔn bɔne ma ɔbɔɔ wɔn asu wɔ Asubɔnten Yordan mu.
MAT.3.7	Yohane hui sɛ Farisifo ne Sadukifo pii reba ne nkyɛn ma wɔabɔ wɔn asu no, ɔka kyerɛɛ wɔn se,
MAT.3.7	“Awɔ mma! Hena na ɔka kyerɛɛ mo se munguan mfi Onyankopɔn abufuw a ɛreba no ano? 
MAT.3.8	Ansa na wɔbɛbɔ mo asu no, ɛsɛ sɛ mosakra mo su na mubu ɔbra pa. 
MAT.3.9	Munsusuw sɛ moyɛ Abraham asefo nti, mubetumi aguan afi asotwe a ɛbɛba mo so no ho. Merema mo ate ase sɛ Onyankopɔn betumi ama abo a ɛwɔ ha yi adan Abraham asefo.
MAT.3.10	“Onyankopɔn de nʼabonnua ato dua biara a ɛnsow aba pa ntini ho sɛ ɔde betwa, na ɔde agu gya mu ahyew no.
MAT.3.11	“Me de, mede nsu na ɛrebɔ wɔn a wɔasakra wɔn su no asu. Nanso nea odi mʼakyi reba no de, ɔso sen me, a ne mpaboa mpo, mensɛ sɛ mikita. Ɔno de, sɛ ɔba a, ɔde Honhom Kronkron ne ogya na ɛbɛbɔ mo asu. 
MAT.3.12	Obehuhuw aburow no so ayiyi mu aba pa no afi ntɛtɛ no mu, na ɔde aba pa no akosie, na ɔde ogya a ennum da ahyew ntɛtɛ no pasaa.”
MAT.3.13	Yesu tee Yohane Osuboni nka no, ofi Galilea baa Asubɔnten Yordan ho sɛ Yohane mmɔ no asu. 
MAT.3.14	Yohane hui sɛ ɔmfata sɛ ɔbɔ Yesu asu. Eyi nti, ɔkae se, “Wo na ɛsɛ sɛ wobɔ me asu, na ɛnyɛ me.”
MAT.3.15	Ɛnna Yesu nso ka kyerɛɛ no se, “Etwa ara na etwa sɛ wobɔ me asu sɛnea ɛbɛyɛ a nea Onyankopɔn ahyɛ ato hɔ no bɛba mu.” Yesu asɛm a ɔkae no nti, Yohane bɔɔ no asu.
MAT.3.16	Yohane asubɔ no akyi a ofi nsu no mu baa koko so pɛ, ɔsoro bue maa no. Ohuu Onyankopɔn Honhom sɛ ɛresian ba no so sɛ aborɔnoma. 
MAT.3.17	Ɛhɔ ara, nne bi fi soro kae se, “Oyi ne me dɔ Ba a ɔsɔ mʼani.”
MAT.4.1	Eyi akyi no, Honhom Kronkron faa Yesu kɔɔ sare so sɛ ɔbonsam nkɔsɔ no nhwɛ. 
MAT.4.2	Saa bere no, Yesu dii mmuada adaduanan, awia ne anadwo. Eyi maa ɔkɔm dee no. 
MAT.4.3	Ɔbonsam baa Yesu nkyɛn bɛka kyerɛɛ no se, “Sɛ wone Onyankopɔn Ba no a, ka na saa abo yi nnan aduan.”
MAT.4.4	Yesu buaa no se, “Wɔakyerɛw sɛ, ‘Ɛnyɛ aduan nko ara na ɛho hia onipa wɔ nʼasetena mu, na mmom nea ehia titiriw ne sɛ, obedi Onyankopɔn asɛm so.’ ”
MAT.4.5	Afei ɔbonsam de Yesu kɔɔ Yerusalem de no kogyinaa asɔredan a ɛwɔ hɔ no atifi pɛɛ, 
MAT.4.6	na ɔka kyerɛɛ no se, “Sɛ wone Onyankopɔn ba no ampa ara a, huruw fi nea wugyinae hɔ si fam, efisɛ, wɔakyerɛw sɛ, ‘Onyankopɔn bɛsoma nʼabɔfo abɛsɔw wo na woammɛhwe abotan so.’ ”
MAT.4.7	Yesu buae bio se, “Wɔakyerɛw bio sɛ, ‘Nsɔ Awurade wo Nyankopɔn nhwɛ.’ ”
MAT.4.8	Eyi akyi no, ɔbonsam de Yesu kɔɔ bepɔw tenten bi mpampam. Ɔde nʼani kari kyerɛɛ no wiase ahenni ahorow ne emu anuonyam nyinaa. 
MAT.4.9	Afei ɔka kyerɛ Yesu se, “Sɛ wobɛkotow asom me a, mede nea wuhu yi nyinaa bɛma wo.”
MAT.4.10	Ɛhɔ ara na Yesu buae se, “Fi me so, Satan! Wɔakyerɛw sɛ, ‘Kotow som Awurade wo Nyankopɔn, na ɔno nko ara na som no.’ ”
MAT.4.11	Yesu ano sii no, ɔbonsam gyaw no hɔ kɔe. Ɛno akyi, abɔfo baa Yesu nkyɛn bɛsom no.
MAT.4.12	Yesu tee sɛ wɔakyere Yohane no, ɔkɔɔ Galilea. 
MAT.4.13	Oduu Galilea no, wantena Nasaret, na mmom, otwaam wɔ Nasaret hɔ kɔtenaa Kapernaum a ɛwɔ Galilea mpoano no, Sebulon ne Naftali ahye so. 
MAT.4.14	Eyi maa nea odiyifo Elia kae se, 
MAT.4.15	“Sebulon asase ne Naftali asase, ɔkwan a ɛkɔ po mu, Yordan agya, amanaman Galilea, 
MAT.4.16	nnipa a wɔtenaa sum mu no, Hann kɛse bi apue ama wɔn. Wɔtenaa owu asase so maa Hann no pue maa wɔn wɔ hɔ” no baa mu. 
MAT.4.17	Efi saa bere no, Yesu fii nʼasɛnka ase se, “Monsakra mo su, momfa mo ho mma Onyankopɔn, na ɔsoro ahenni no abɛn.”
MAT.4.18	Da bi a Yesu nam Galilea mpoano no, ohuu anuanom baanu bi a wɔn nyinaa yɛ apofofo sɛ wɔregu asau wɔ po no mu. Saa anuanom yi mu baako din de Simon, a ne din foforo nso de Petro. Ɔbaako no nso din de Andrea.
MAT.4.19	Yesu ka kyerɛɛ wɔn se, “Mummedi mʼakyi, na mɛkyerɛ mo ɔkwan a wɔfa so yi nnipa kra.” 
MAT.4.20	Ɛhɔ ara, wogyaw wɔn asau no guu hɔ bedii nʼakyi ne no kɔe.
MAT.4.21	Ɔkɔɔ nʼanim kakra no, ohuu Sebedeo mma baanu a wɔfrɛ ɔbaako Yohane, ɛnna ɔbaako nso din de Yakobo, sɛ wɔne wɔn agya te ɔkorow mu retuatua wɔn asau mu. Yesu frɛɛ wɔn nso sɛ wommedi nʼakyi. 
MAT.4.22	Ntɛm ara, wogyaw wɔn agya ne ɔkorow no hɔ, bedii nʼakyi.
MAT.4.23	Yesu kyinkyinii Galileaman mu nyinaa kaa ahenni no ho asɛmpa wɔ Yudafo hyiadan mu. Ɔsaa nyarewa ahorow a wɔde baa nʼanim nyinaa nso. 
MAT.4.24	Yesu anwonwade a ɔyɛe yi trɛw koduu Siriaman mu nyinaa. Eyi ma wɔde wɔn a ahonhommɔne wɔ wɔn so, wɔn a wotwa, wɔn a wɔyare mmubui, ne wɔn a nyarewa ahorow haw wɔn no nyinaa fi Siriaman mu brɛɛ no ma ɔsaa wɔn nyinaa yare. 
MAT.4.25	Anwonwade a Yesu yɛe yi, maa nnipakuw a wofi Galilea ne Nkurow Du “Dekapoli” no mu ne Yerusalem ne Yordan agya tu dii nʼakyi.
MAT.5.1	Yesu huu nnipakuw no saa no, ɔkɔɔ bepɔw bi so. Ɔtenaa ase no, nʼasuafo no kɔɔ ne nkyɛn. 
MAT.5.2	Ofitii ase kyerɛkyerɛɛ wɔn se,
MAT.5.3	“Nhyira ne wɔn a wonim sɛ wɔyɛ ahiafo wɔ honhom mu, na wɔn na ɔsoro ahenni yɛ wɔn dea. 
MAT.5.4	Nhyira ne wɔn a wɔn werɛ ahow, na wɔn na Onyankopɔn bɛkyekye wɔn werɛ. 
MAT.5.5	Nhyira ne ahobrɛasefo, na wɔn na Onyankopɔn bɛma wɔadi asase so.
MAT.5.6	“Nhyira ne wɔn a wɔn pɛ ne sɛ wɔbɛyɛ Onyankopɔn apɛde, na wɔn na Onyankopɔn bɛma wɔn nea ehia wɔn. 
MAT.5.7	Nhyira ne wɔn a wohu mmɔbɔ, na wɔn na Onyankopɔn behu wɔn mmɔbɔ. 
MAT.5.8	Nhyira ne wɔn a wɔn koma mu tew, na wɔn na wɔbehu Onyankopɔn. 
MAT.5.9	Nhyira ne apatafo, na wɔn na Onyankopɔn bɛfrɛ wɔn ne mma. 
MAT.5.10	Nhyira ne wɔn a esiane sɛ wɔyɛ Onyankopɔn apɛde nti wɔtaa wɔn, na wɔn na ɔsoro ahenni no yɛ wɔn dea.
MAT.5.11	“Nhyira ne mo a me din mu nti, wɔyaw mo, taa mo, twa atoro, ka asɛmmɔne to mo so. 
MAT.5.12	Momma mo ani nnye na monsɛpɛw mo ho efisɛ, mowɔ akatua a ɛso wɔ ɔsoro. Munhu sɛ saa ara na wɔtaa adiyifo a wɔdii mo kan no.
MAT.5.13	“Mone asase yi so nkyene. Sɛ nkyene dɛ yera a, ɔkwan bɛn so na wɔbɛfa ama ayɛ nkyene bio? Enye mma hwee bio, gye sɛ wohwie gu na nnipa tiatia so. 
MAT.5.14	Mone wiase kanea. Kurow a ɛda bepɔw so no ntumi nhintaw. 
MAT.5.15	Wɔnsɔ kanea mfa nsie, na mmom, wɔde si petee mu na ahyerɛn ama wɔn a wɔwɔ ofi no mu no nyinaa. 
MAT.5.16	Saa ara na momma mo nneyɛe pa nna adi mma nnipa nhu na wɔnam so ahyɛ mo Agya a ɔwɔ soro no anuonyam.
MAT.5.17	“Munnsusuw sɛ maba sɛ merebɛsɛe Mose mmara no ne adiyifo no nkyerɛkyerɛ no. Na mmom, maba sɛ, merebɛhyɛ no ma, sɛnea ne nyinaa bɛba mu pɛpɛɛpɛ. 
MAT.5.18	Munhu sɛ, ɔsoro ne asase da so wɔ hɔ yi, mmara no mu biribiara rensakra da kosi sɛ ne nyinaa bɛba mu. 
MAT.5.19	Eyi nti, obiara a obebu mmara no mu fa bi so, na ɔbɛkyerɛkyerɛ afoforo ama wɔn nso abu mmara no mu fa bi so no, bɛyɛ akumaa ɔsoro ahenni mu. Na obiara a obedi mmara no so na ɔbɛkyerɛkyerɛ afoforo ama wɔn nso adi mmara no so no, bɛyɛ kɛse ɔsoro ahenni mu.
MAT.5.20	“Enti merebɔ mo kɔkɔ sɛ, sɛ mopɛ sɛ mokɔ ɔsoro ahenni mu de a, gye sɛ moyɛ Onyankopɔn apɛde sen nea mmara no akyerɛkyerɛfo ne Farisifo no yɛ no.
MAT.5.21	“Mose mmara no ka se, ‘Nea odi awu no, ɔno nso ɛsɛ sɛ wokum no bi.’ 
MAT.5.22	Na me de, nea mereka ne sɛ, obiara a ne bo befuw ne nua no, wobebu no atɛn. Bio, obiara a ɔbɛyaw ne nua no, wɔbɛfrɛ no mpanyin anim. Afei obiara a ɔbɛka akyerɛ ne nua se ‘Ogyimifo’ no, ɔbɛkɔ amanehunu gya mu.
MAT.5.23	“Enti sɛ ɛba sɛ worekɔbɔ afɔre, na wokae sɛ wo ne wo nua wɔ asɛm a, 
MAT.5.24	gyae afɔre no bɔ na kɔ, na wo ne wo nua no nkɔbom ansa na woakɔbɔ afɔre no. 
MAT.5.25	Sɛ wo ne obi nya asɛm a, wo ne no mmɔ mu ntɛm na wamfa wo ankɔ asennii ankɔma ɔtemmufo na ɔtemmufo no amfa wo anhyɛ afiasehwɛfo nsa, na afiasehwɛfo no amfa wo ankɔto afiase. 
MAT.5.26	Sɛ ɔde wo kɔ ɔtemmufo anim a, kae sɛ, ansa na wubefi asennii hɔ no, gye sɛ woatua sika biara a wɔregye afi wo hɔ no.
MAT.5.27	“Mose mmara no ka se, ‘Nsɛe aware.’ 
MAT.5.28	Na me de, nea mereka ne sɛ: Obiara a ohu ɔbea na ne kɔn dɔ no ne koma mu no, abɔ aguaman. 
MAT.5.29	Sɛ wʼani baako a eye to wo hintidua a, eye sɛ wubetu atow akyene. Efisɛ, eye sɛ wobɛhwere wʼakwaa fa bi sen sɛ wɔbɛtow wo nipadua no nyinaa akyene amanehunu gya mu. 
MAT.5.30	Saa ara nso na sɛ wo nsa a eye to wo hintidua a, eye sɛ wubetwa atow akyene, efisɛ, eye sɛ wobɛhwere wʼakwaa fa bi sen sɛ wɔbɛtow wo nipadua nyinaa akyene amanehunu gya mu.
MAT.5.31	“Mose mmara no ka se, ‘Obiara a obegyaa ne yere no mma no awaregyae krataa.’ 
MAT.5.32	Na me de, nea mereka ne sɛ, sɛ ɔbarima bi gyaa ne yere a, ɛnyɛ sɛ ɔbea no abɔ aguaman, na ɔbea no san kɔware bio a, na ɔbarima a ogyaa no no ama ɔbea no asɛe aware. Ɔbarima foforo a ɔbɛware ɔbea no nso asɛe aware saa ara.
MAT.5.33	“Bio, Mose mmara no ka se, ‘Mmu bɔ a woahyɛ Onyankopɔn no so, na mmom di bɔ a woahyɛ no no so.’ 
MAT.5.34	Na me de, nea mereka ne sɛ: Monnka ntam mmfa nnhyɛ bɔ. Monnnɔ soro, efisɛ, ɛyɛ Onyankopɔn ahengua. 
MAT.5.35	Monnnɔ fam, efisɛ, ɛyɛ Onyankopɔn nan ase agua. Monnnɔ Yerusalem, efisɛ, ɛyɛ ahenkurow. 
MAT.5.36	Mfa wo ti nka ntam, efisɛ, worentumi nnan tinhwi baako mpo mma ɛnyɛ fitaa anaa tuntum. 
MAT.5.37	Momma mo nsɛm nyɛ ‘Yiw’ anaa ‘Dabi’. Asɛm biara a wobɛka a ɛnyɛ ‘Yiw’ anaa ‘Dabi’ no fi ɔbonsam.
MAT.5.38	“Mose mmara no ka se, ‘Sɛ obi tu wʼaniwa a, tu ne de bi. Sɛ obi tu wo se nso a, tu ne de bi.’ 
MAT.5.39	Na me de, nea mereka ne sɛ: Mommfa bɔne nntua bɔne so ka! Sɛ obi bɔ wʼaso nifa mu a, dan benkum no nso ma no na ɔmmɔ mu. 
MAT.5.40	Sɛ obi ne wo di asɛm gye wo ntama a, worɔw wo mpaboa ka ho ma no. 
MAT.5.41	Sɛ obi hyɛ wo se wo ne no nnantew kwansin baako a, wo ne no nkɔ akwansin abien. 
MAT.5.42	Sɛ obi srɛ wo biribi a, fa ma no; obi pɛ sɛ ɔfɛm wo hɔ biribi a, fa fɛm no.
MAT.5.43	“Moate sɛ wɔka se, ‘Dɔ wo yɔnko na tan wo tamfo.’ 
MAT.5.44	Na me de, nea mereka ne sɛ: Mommɔ mpae mma wɔn a wɔhaw mo. 
MAT.5.45	Eyi bɛma mo ayɛ mo Agya a ɔwɔ soro no mma, efisɛ, ɔma ne wia pue, ma ne su tɔ ma nnipa bɔne ne nnipa pa nyinaa pɛ. 
MAT.5.46	Sɛ modɔ wɔn a wɔdɔ mo no nko ara a, mfaso bɛn na mubenya afi Onyankopɔn nkyɛn? Ɛnyɛ saa ara na nnebɔneyɛfo nso yɛ? 
MAT.5.47	Sɛ mukyia wɔn a munim wɔn nko ara a, nsonoe bɛn na ɛda mo ne afoforo ntam? Ɛnyɛ saa ara na nnebɔneyɛfo nso yɛ? 
MAT.5.48	Enti monyɛ pɛ sɛnea mo Agya a ɔwɔ soro no yɛ pɛ no.
MAT.6.1	“Monhwɛ yiye na moanyɛ papa ankyerɛ nnipa amfa ampɛ anuonyam. Sɛ moyɛ saa a, morenya mfaso biara mfi mo Agya a ɔwɔ soro no nkyɛn. 
MAT.6.2	Sɛ woyɛ papa a, mmɔ no dawuru sɛnea wɔn a wɔyɛ huuhuu yɛ wɔ asɔredan mu ne mmɔnten so no. Merema mo ate ase sɛ, saa nnipa no anya wɔn akatua dedaw. 
MAT.6.3	Sɛ woyɛ papa a, mma obiara nnhu. Mpo sɛ wode wo nsa nifa yɛ papa a, mma wo nsa benkum nnhu, 
MAT.6.4	na wʼagya a onim kokoam nsɛm nyinaa no betua wo ka.
MAT.6.5	“Ɛfa mpaebɔ ho nso, sɛ morebɔ mpae a, mommmɔ mpae sɛnea wɔn a wɔyɛ huuhuu gyina asɔredan mu ne mmɔnten so bɔ mpae de pɛ nnipa anim anuonyam no. Merema mo ate ase sɛ, saa nnipa no anya wɔn akatua dedaw. 
MAT.6.6	Sɛ wopɛ sɛ wobɔ mpae a, kowura wo dan mu, na to wo pon mu, na bɔ wʼagya a ɔwɔ kokoam no mpae, na wʼagya a onim kokoam nsɛm no, betua wo ka.
MAT.6.7	“Sɛ mobɔ mpae a, monnkasakasa bebree, ntitititi nsɛm mu, nnsusuw sɛ, sɛ moyɛ saa a na Onyankopɔn betie mo. 
MAT.6.8	Mo agya Nyankopɔn nim nea ehia mo nyinaa ansa na mubisa no.
MAT.6.9	“Enti saa ɔkwan yi so na momfa mmɔ mpae: ‘Yɛn Agya a wowɔ soro, wo din ho ntew. 
MAT.6.10	Wʼahenni mmra. Nea wopɛ nyɛ asase so, sɛnea ɛyɛ ɔsoro. 
MAT.6.11	Ma yɛn, yɛn daa aduan nnɛ, 
MAT.6.12	na fa yɛn aka firi yɛn, sɛnea yɛde firi wɔn a wɔde yɛn aka. 
MAT.6.13	Mfa yɛn nkɔ sɔhwɛ mu. Na yi yɛn fi ɔbɔnefo no nsam. Amen.’ 
MAT.6.14	Sɛ mode wɔn a wɔfom mo mfomso firi wɔn a, mo nso mo soro agya de mo mfomso befiri mo. 
MAT.6.15	Nanso, sɛ moamfa wɔn a wɔfom mo mfomso amfiri wɔn a, mo soro agya no nso remfa mo mfomso mfiri mo.
MAT.6.16	“Sɛ mudi mmuada a, monnyɛ mo anim mmɔbɔmmɔbɔ, sɛnea nyaatwomfo di mmuada a wɔyɛ de pɛ nnipa anim anuonyam no. Merema mo ate ase sɛ, saa nnipa no anya wɔn akatua dedaw. 
MAT.6.17	Sɛ wudi mmuada a, srɛn wo ti, na hohoro wʼanim, na ma wʼanim nyɛ frɔmm, 
MAT.6.18	na mma nnipa nnhu sɛ woredi mmuada, gye wʼagya a ohu nea wɔyɛ wɔ kokoam nyinaa no; na wʼagya a ohu nea wɔyɛ wɔ kokoam nyinaa no betua wo ka.
MAT.6.19	“Monnhyehyɛ mo agyapade wɔ asase yi so nea ntɛferɛw betumi awe, na ebetumi agye nkanare asɛe, na akorɔmfo betumi awia. 
MAT.6.20	Mmom, monhyehyɛ mo agyapade wɔ soro, nea ntɛferɛw ntumi nwe, na entumi nnye nkanare nsɛe, na akorɔmfo ntumi nwia. 
MAT.6.21	Na nea wʼademude wɔ no, ɛhɔ na wo koma nso wɔ.
MAT.6.22	“Aniwa yɛ onipa kanea. Ɛno nti sɛ wʼaniwa ye a, na wo nipadua nyinaa yɛ hann. 
MAT.6.23	Nanso, sɛ wʼaniwa nye a, ɛma wo nipadua no nyinaa dan sum tumm. Enti sɛ hann a ɛwɔ wo mu no yɛ sum de a, na wo nipadua no yɛ sum kabii.
MAT.6.24	“Obiara ntumi nsom awuranom baanu; sɛ ɔyɛ saa a, ɔbɛtan ɔbaako na wadɔ ɔbaako; anaasɛ ɔde ne ho bɛfam ɔbaako na wabu ɔbaako animtia. Morentumi nsom Onyankopɔn ne ahode.
MAT.6.25	“Eyi nti na mitu mo fo sɛ, munnnwinnwen nea mubedi, anaa nea mobɛnom, anaa nea mubefura ho. Mowɔ ɔkra ne nipadua a ɛsom bo sen nea mubedi, nea mobɛnom, ne nea mubefura. 
MAT.6.26	Monhwɛ wim nnomaa, wonnua aba, ɛnna wontwa aba mmoaboa ano mfa nsie, nanso mo agya a ɔwɔ soro no ma wɔn aduan di. Monsom bo nsen wɔn anaa? 
MAT.6.27	Mo mu hena na adwene a odwen no betumi ato ne nkwanna so simma baako?
MAT.6.28	“Adɛn nti na mudwinnwen ntama ho? Monhwɛ afifide bi sɛ wuram nhwiren. Wonnwen ntama ho. 
