MAT.1.1	Авраампа Давид йӑхӗнчен ҫуралнӑ Иисус Христосӑн йӑх-несӗл тымарӗ. 
MAT.3.11	Эпӗ сире ӳкӗнтерсе шывпа тӗне кӗртетӗп. Анчах та ман хыҫҫӑн Килекенни манран хӑватлӑрах, эпӗ Унӑн пушмакне хывма та тивӗҫлӗ мар. Вӑл сире Святой Сывлӑшпа тата вутпа тӗне кӗртӗ. 
MAT.3.12	Кӗреҫи те Унӑн Хӑйӗн аллинчех. Вӑл йӗтемӗнчи туллине сӑвӑрса тасатӗ те ӑна Хӑйӗн кӗлетне пухса хурӗ, арпи-улӑмне вара сӳнми вутра ҫунтарса ярӗ».
MAT.3.13	Ҫавӑн чухне, Хӑйне Иоанн шыва кӗрттӗр тесе, Иисус Галилейӑран Иордан хӗррине пынӑ. 
MAT.3.14	«Санӑн мана шыва кӗртмелле, Эсӗ вара Ху ман патӑма килтӗн-и?» – тесе хирӗҫленӗ малтанах Иоанн. 
MAT.3.15	Анчах та Иисус ӑна хуравласа каланӑ: «Ҫапла пулмалла та, Турӑ хушнине йӑлтах пирӗн ҫапла пурнӑҫламалла». Иоанн вара шыва кӗртме килӗшнӗ. 
MAT.3.16	Иоанн шыва кӗртнӗ хыҫҫӑнах Иисус ҫырана тухнӑ. Акӑ ӗнтӗ Ун тӗлӗнче тӳпе уҫӑлса кайнӑ та, Иоанн Турӑ Сывлӑшӗ Иисус ҫине кӑвакарчӑн пек курӑнса аннине асӑрханӑ
MAT.3.17	Акӑ, тӳперен ҫапла сасӑ илтӗнсе кайнӑ: «Ҫакӑ Манӑн савнӑ Ывӑлӑм, Манӑн ырӑ кӑмӑлӑм Унра».
MAT.4.1	Ҫавӑн хыҫҫӑн Сывлӑш Иисуса шуйттан илӗртӗвӗпе тӗрӗслеме пуш хире ертсе кайнӑ. 
MAT.4.2	Унта Иисус хӗрӗх кун та хӗрӗх каҫ типӗ тытнӑ, юлашкинчен Унӑн ҫиесси килнӗ. 
MAT.4.3	Хайхи шуйттан, илӗртсе тӗрӗслекен, Ун патне пынӑ та ҫапла каланӑ: «Эсӗ Турӑ Ывӑлӗ пулсан ҫак чулсене ҫӑкӑр пулма хуш». 
MAT.4.4	«Ҫырнинче ҫапла каланӑ, – тавӑрнӑ ӑна Иисус, – ҫын ҫӑкӑрпа кӑна пурӑнмасть, Турӑ ҫӑварӗнчен тухакан кашни сӑмахпах пурӑнать». 
MAT.4.5	Унтан шуйттан Ӑна Иерусалима илсе кайнӑ та Турӑ Ҫурчӗ тӑррине тӑратса 
MAT.4.6	ҫапла каланӑ: «Эсӗ Турӑ Ывӑлӗ пулсан ҫакӑнтан сик. Ҫырнинче каланӑ вӗт-ха: „Турӑ Хӑйӗн ангелӗсене Сана упрама хушӗ, урупа чултан такӑнасран вӗсем Сана алӑ ҫинче ҫӗклесе ҫӳрӗҫ“». 
MAT.4.7	Иисус ӑна ҫапла тавӑрнӑ: «„Хӑвӑн Хуҫа Турруна илӗртсе ан тӗрӗсле“, – тесе те ҫырнӑ вӗт». 
MAT.4.8	Унтан шуйттан Иисуса питӗ ҫӳллӗ ту ҫине илсе кайнӑ та Ӑна тӗнчери мӗн пур патшалӑхсене, вӗсен чапне-илемне кӑтартнӑ. 
MAT.4.9	«Эсӗ мана чӗркуҫленсе пуҫҫапсан ҫаксене йӑлтах Сана паратӑп», – тенӗ Ӑна шуйттан. 
MAT.4.10	Вара Иисус ӑна ҫапла хуравланӑ: «Кай Ман патӑмран, шуйттан! Ҫырнинче: „Хуҫа Турруна кӑна пуҫҫап, пӗр Уншӑн анчах ӗҫлесе тӑр“, – тенӗ вӗт». 
MAT.4.11	Вара шуйттан Иисус патӗнчен кайнӑ, ҫавӑнтах ангелсем пынӑ та Уншӑн ӗҫлесе тӑма тытӑннӑ.
MAT.4.12	Иоана тытса хупнине илтсен Иисус Галилея ҫӗрне кайнӑ. 
MAT.4.13	Вӑл Завулонпа Неффалим тӑрӑхне, тинӗс хӗрринчи Капернаум хулине, Назаретран пурӑнма куҫнӑ. 
MAT.4.14	Ҫак ӗҫ Исаия пророк сӑмахӗсем пурнӑҫланма пулса иртнӗ. Вӑл ҫапла каланӑ пулнӑ: 
MAT.4.15	«Тинӗс еннелле выртакан ҫул ҫинчи, Иордан леш енчи Завулонпа Неффалим ҫӗрӗ, чӑн Турра пӗлмен Галилея! 
MAT.4.16	Ҫавӑнта тӗттӗмре пурӑннӑ халӑх хӑватлӑ ҫутӑ курчӗ! Вилӗм ҫӗрӗнче, вилӗм тӗттӗмлӗхӗнче пурӑнакансемшӗн ҫутӑ килчӗ». 
MAT.4.17	Ҫавӑнтан вара Иисус ӳкӗтлесе вӗрентме пуҫланӑ. «Ҫӳлти Патшалӑх ҫывхарчӗ ӗнтӗ, ҫавӑнпа та ӳкӗнӗр!» – тесе вӗрентнӗ Вӑл.
MAT.4.18	Пӗррехинче Иисус Галилея тинӗсӗ хӗррипе иртсе пынӑ. Ҫавӑн чухне Вӑл тинӗсе сӗреке-тетел пӑрахакан икӗ пӗртӑвана – Петр текен Симонпа унӑн шӑллӗне Андрея – курнӑ. Вӗсем пулӑҫӑсем пулнӑ. 
MAT.4.19	Иисус вӗсене ҫапла каланӑ: «Ман хыҫҫӑн пыракансем пулӑр, Эпӗ сире этем чунӗсене тытакансем тӑвӑп». 
MAT.4.20	Вӗсем вара ҫав самантрах сӗреке-тетелӗсене хӑварса Ун хыҫҫӑн кайнӑ. 
MAT.4.21	Пырсан-пырсан Вӑл тата икӗ пӗртӑвана – Иаковпа унӑн шӑллӗне Иоана – курнӑ. Вӗсем Зеведей ывӑлӗсем пулнӑ, ашшӗпе пӗрле кимӗ ҫинче сӗреке-тетелӗсене юсаса тӑнӑ, Иисус вӗсене те Хӑйпе пӗрле чӗннӗ. 
MAT.4.22	Вӗсем вара ҫав самантрах киммине хӑварнӑ та, ашшӗнчен уйӑрӑлса, Иисус хыҫҫӑн кайнӑ.
MAT.4.23	Иисус пӗтӗм Галилея ҫӗрӗ тӑрӑх ҫӳренӗ. Вӑл унти синагогӑсенче вӗрентнӗ, Ҫӳлти Патшалӑх ҫинчен Ырӑ Хыпар пӗлтернӗ, халӑха тӗрлӗ чир-чӗртен, халсӑрлӑхран сыватнӑ. 
MAT.4.24	Ҫавӑнпа пӗтӗм Сири ҫӗрӗнче Ун ҫинчен хыпар сарӑлнӑ. Ун патне мӗн пур халсӑр пулнисене, чир-чӗрлисене, тытамаклисене, усал ернисене, уйӑх ҫапнисене тата паралич ҫапнисене иле-иле пынӑ. Иисус вӗсене сыватнӑ. 
MAT.4.25	Унӑн хыҫӗнчен Галилейӑран, Вунхула ҫӗрӗнчен, Иерусалимран, Иудейӑран, Иордан леш енчи ҫӗрсенчен килнӗ темӗн чухлӗ халӑх ҫӳренӗ.
MAT.5.1	Иисус, халӑх йышлӑн пухӑннине курсан, ту ҫине улӑхнӑ. Вӑл ларсан, вӗренекенӗсем Ун патне пуҫтарӑннӑ. 
MAT.5.2	Иисус вӗсене ҫапла каласа вӗрентме пуҫланӑ: 
MAT.5.3	«Чун-чӗм кӗлмӗҫисем телейлӗ, вӗсене Ҫӳлти Патшалӑх пулӗ. 
MAT.5.4	Йӗрекенсем телейлӗ, вӗсем лӑпланӗҫ. 
MAT.5.5	Йӑваш кӑмӑллисем телейлӗ, вӗсене ҫӗр тивӗ. 
MAT.5.6	Тӳрӗлӗхе выҫӑхса ҫитнӗ пек, ӑш хыпса ҫитнӗ пек шыракансем телейлӗ: вӗсем тӑранӗҫ. 
MAT.5.7	Хӗрхенме пӗлекенсем телейлӗ, вӗсене те хӗрхенӗҫ. 
MAT.5.8	Таса чунлисем телейлӗ, вӗсем Турра курӗҫ. 
MAT.5.9	Килӗшӳ кӳрекенсем телейлӗ, вӗсене Турӑ ывӑлӗсем тейӗҫ. 
MAT.5.10	Тӳрӗлӗхшӗн хӗсӗрленине тӳсекенсем телейлӗ, вӗсене Ҫӳлти Патшалӑх пулӗ. 
MAT.5.11	Сире Ман пирки хурласан, хӗсӗрлесен, сӑлтавсӑрах тӗрлӗ сӑлтав тупса усал сӑмахпа хӑртсан, эсир телейлӗ. 
MAT.5.12	Ӗлӗк пурӑннӑ пророксене те ҫавнашкалах хӗсӗрленӗ. Ҫавӑнпа та савӑнса хӗпӗртӗр: тӳпере сире пысӑк сӑвап пулӗ».
MAT.5.13	«Эсир – тӗнче тӑварӗ. Тӑвар хӑй хӑватне ҫухатсан, епле ӑна тӑварлӑ тӑвӑн? Вӑл ӗнтӗ ниме юрӑхсӑр, ӑна ҫын ури айӗнче таптанма кӑна кӑларса тӑкмалла. 
MAT.5.14	Эсир – тӗнче ҫути. Ту ҫинче ларакан хула курӑнмасӑр юлмӗ. 
MAT.5.15	Ҫутаткӑҫа та ҫутсан чӳлмекпе хупламаҫҫӗ; пӳртрисене пурне те ҫутӑ пултӑр тесе ӑна ҫутаткӑҫ лартмалли ҫине вырнаҫтараҫҫӗ. 
MAT.5.16	Ҫапла сирӗн ҫуттӑр та ҫынсем хушшинче ҫутаттӑр, вӗсем, сирӗн ырӑ ӗҫӗрсене курса, Ҫӳлти Аҫӑра мухтаччӑр».
MAT.5.17	«Эпӗ пророксен сӑмахӗсене е Моисей саккунне пӑсма килнӗ тесе ан шухӑшлӑр. Эпӗ пӑсма килмен, туса ҫитерме килнӗ. 
MAT.5.18	Чӑн калатӑп сире: ҫӗрпе пӗлӗт пӗтиччен, ҫырнинче калани пӗтӗмпех пурнӑҫланиччен саккунри пӗр сас палли те, пӗр йӗр те пӗтмӗ. 
MAT.5.19	Кам ҫак ансат пил-хушусенчен пӗрне те пулин пӑсать, ҫынсене те ҫаплах тума вӗрентет, ҫавна Ҫӳлти Патшалӑхра кӗҫӗнни тейӗҫ. Кам пил-хушусене пурнӑҫлать, ҫынсене те ҫаплах тума вӗрентет, ҫавна Ҫӳлти Патшалӑхра асли тейӗҫ. 
MAT.5.20	Калатӑп сире: сирӗн тӳрӗлӗхӗр фарисейсемпе саккун вӗрентӳҫисен тӳрӗлӗхӗнчен тӗрӗсрех пулмасан, эсир Ҫӳлти Патшалӑха кӗреймӗр».
MAT.5.21	«„Ан вӗлер, ҫынна вӗлерекен суда тивӗҫлӗ“, – тесе авалах каланине эсир илтнӗ. 
MAT.5.22	Эпӗ вара сире калатӑп: хӑй тӑванне сӑлтавсӑр ҫилленекен кашни ҫынах суда тивӗҫлӗ. Кам хӑй тӑванне „ухмах“ тет, ҫав синедрион судне тивӗҫлӗ. Кам хӑй тӑванне „ирсӗр“ тет, ҫав тамӑк вутне тивӗҫлӗ. 
MAT.5.23	Ҫапла вара, эсӗ Турра парне кӳмелли вырӑна пырсан, тӑвану сана кӳреннине аса илсен, 
MAT.5.24	парнӳне унтах, парне вырӑнӗ умӗнчех, хурса хӑвар та тӑванупа кайса ҫураҫ. Вара тин тавӑрӑнса парнӳне кӳр. 
MAT.5.25	Хупа судлашас текенпе ҫул ҫинчех ҫураҫ. Ахальлӗн вӑл сана судья аллине парӗ, судья сана тӗрмене хуптарма хуралҫӑ аллине парӗ. 
MAT.5.26	Чӑн калатӑп сана: юлашки пусна парса хӑвармасӑр та унтан тухаймӑн».
MAT.5.27	«„Мӑшӑрна ан ултала“, – тесе авалах каланине эсир илтнӗ ӗнтӗ. 
MAT.5.28	Эпӗ вара сире калатӑп: хӗрарӑм ҫине аскӑннӑн пӑхакан кашни ҫын хӑйӗн чунӗнче мӑшӑрне улталать. 
MAT.5.29	Сана сылтӑм куҫу ҫылӑх тума илӗртет пулсан, ӑна чавса кӑлар та ывӑтса яр. Мӗншӗн тесен ӳт-пӗвӗн пӗр пайне пӗтерни саншӑн пӗтӗм ӳт-пӗве тамӑка пӑрахнинчен лайӑхрах. 
MAT.5.30	Сана сылтӑм аллу ҫылӑх тума илӗртет пулсан, ӑна кас та ывӑтса яр. Мӗншӗн тесен ӳт-пӗвӗн пӗр пайне пӗтерни саншӑн пӗтӗм ӳт-пӗве тамӑка пӑрахнинчен лайӑхрах.
MAT.5.31	„Кам хӑй арӑмне уйӑрса ярать, ҫавӑн арӑмне уйӑрӑлу хучӗ памалла“, – тенӗ тата авалах. 
MAT.5.32	Эпӗ вара сире калатӑп: кам хӑй арӑмне аскӑн ӗҫпе айӑпа кӗмен ҫӗртех уйӑрса ярать, ҫав ӑна мӑшӑра улталас ҫул ҫине тӑратать. Уйӑрӑлнӑ хӗрарӑма качча илни те мӑшӑра улталаниех пулать».
MAT.5.33	«Тата эсир авалах каланӑ ҫак сӑмахсене те илтнӗ ӗнтӗ: „Тупа тунинчен ан ирт, Хуҫа Турӑ умӗнче тупа тунине пурнӑҫла“. 
MAT.5.34	Эпӗ вара сире калатӑп: нимӗн ячӗпе те тупа ан ту. Пӗлӗтпе те тупа ан ту, вӑл Туррӑн престолӗ. 
MAT.5.35	Ҫӗрпе те тупа ан ту, вӑл Турӑ ури айӗн кантармалӑхӗ. Иерусалимпа та тупа ан ту, вӑл аслӑ Патша хули. 
MAT.5.36	Пуҫупа та тупа ан ту, эсӗ пӗр ҫӳҫ пӗрчин тӗсне те улӑштарма пултараймастӑн. 
MAT.5.37	Сирӗн мӗн калани те ҫакӑ ҫеҫ пултӑр: „ҫапла, ҫапла“; „ҫук, ҫук“. Ҫак сӑмахсенчен ытлашшине вара шуйттан калаттарать».
MAT.5.38	«„Куҫшӑн – куҫ, шӑлшӑн – шӑл“, – тенине эсир илтнӗ ӗнтӗ. 
MAT.5.39	Эпӗ вара сире калатӑп: усала усалпа ан тавӑр. Хӑвна сылтӑм енчен ҫупса яракана тепӗр енне ҫавӑрса пар. 
MAT.5.40	Кам санпа судлашса кӗпӳне туртса илесшӗн, ӑна ҫиелти тумтирне те пар. 
MAT.5.41	Кам сана хӑйпе пӗрле пӗр ҫухрӑм уттарать, унпа пӗрле иккӗ кай. 
MAT.5.42	Хӑвӑнтан ыйтакана пар, кивҫен илес текенрен ан пӑрӑн».
MAT.5.43	«„Хӑвна ҫывӑх ҫыннуна юрат, тӑшманна кураймасӑр тӑр“, – тенине эсир илтнӗ ӗнтӗ. 
MAT.5.44	Эпӗ вара сире калатӑп: тӑшманӑрсене юратӑр, хӑвӑра ылханакансене ырӑ сунӑр, хӑвӑра курайман ҫынсене ырӑ тӑвӑр
MAT.5.45	Вара эсир Ҫӳлти Аҫӑрӑн ачисем пулӑр. Вӑл Хӑйӗн хӗвелне усаллисем ҫине те, ыррисем ҫине те пӑхтарать; ҫумӑрне тӳрӗ пурӑнакансем ҫине те, тӳрӗ мар пурӑнакансем ҫине те ҫутарать. 
MAT.5.46	Хӑвӑра савакансене кӑна юрататӑр пулсан, эсир сӑвапа тивӗҫлӗ-и-ха? Налук пухакансем те ҫаплах тумаҫҫӗ-им? 
MAT.5.47	Хӑвӑр тӑванӑрсене анчах саламлатӑр пулсан, эсир кирлинчен ытла мӗнех тӑватӑр? Урӑх халӑх ҫыннисем те ҫаплах тумаҫҫӗ-им? 
MAT.5.48	Ҫапла вара, Ҫӳлти Аҫӑр епле паха, эсир те ҫапла паха пулӑр».
MAT.6.1	«Асӑрханӑр, чухӑнсене пулӑшас ӗҫе ҫынна кӑтартасшӑн ан тӑвӑр, унсӑрӑн сире Ҫӳлти Аҫӑртан сӑвап пулмӗ. 
MAT.6.2	Хӑйсене ҫынсем мухтаччӑр тесе, икӗ питлисем синагогӑсемпе урамсенче шӑв-шав кӑларса чухӑнсене пулӑшанҫи тӑваҫҫӗ. Ӗнтӗ эсӗ вӗсем пек ан пул. Чӑн калатӑп сире: илнӗ мухтавӗ вӗсен кунти пурӑнӑҫра кӑна. 
MAT.6.3+MAT.6.4	Эсӗ вара чухӑнсене пулӑшнине ан палӑрт: сылтӑм аллу мӗн тунине сулахаййи ан пӗлтӗр. Вара вӑрттӑн тунине те куракан Аҫу сана уҫҫӑнах тавӑрса парӗ».
MAT.6.5	«Турра кӗлтунӑ чухне те икӗ питлӗ ҫынсем пек ан пул. Пурте курччӑр тесе, вӗсем синагогӑсенче, урам тӑваткалӗсенче тӑрса кӗлтума юратаҫҫӗ. Чӑн калатӑп сире: илнӗ мухтавӗ вӗсен кунти пурӑнӑҫра кӑна. 
MAT.6.6	Эсӗ вара кӗлтунӑ чухне шалти пӳлӗме кӗр те, алӑкна хупса, курӑнми Аҫуна кӗлту. Вара вӑрттӑн тунине те куракан Аҫу сана уҫҫӑнах тавӑрса парӗ. 
