MAT.1.1	Iya na itu kapangkatan si Isa Almasi, panubu' si Daud iya panubu' si Ibrahim.
MAT.1.23	Si Emmanuil iya pangōn ma iya.”
MAT.1.23	(Iya hati na “Emmanuil” itu, Tuhan pabōtang ma kitabi.)
MAT.1.24	Pagbati' si Yusup min upihan na bine' uk na panohoan malaikat, bo' hinda na si Mariyam. 
MAT.1.25	Suga' 'nsa' sigam maghulid sataggōl 'nsa' le' mag-anak si Mariyam. Mag-anak peen anak lalla, iyōnan iya si Isa uk si Yusup.
MAT.2.1	Si Isa bayi iyanakan ma kalumaan Betlehem ma lahat Yahudiya, ma masa kapagsultan si Herod. 'Nsa' taggōl, niya' manga aa bayi min sōbangan takka pahi' ni Awrusalam. Manga aa itu asal ngadjian pasal manga bituun. 
MAT.2.2	Pagtakka sigam ni Awrusalam magtuwi sigam tiyaw. Uk sigam, “Maingga na onde' bahu bayi iyanakan, iya giyanta' magsultan ma bangsa Yahudi? Tanda' kami bituun iya pandōga na paluwas min sōbangan, bo' tiya' kami paitu mudji iya.”
MAT.2.3	Pagtake itu uk Sultan Herod, magtuwi landu' sasaw pikilan na. Sampay manga aa kamemon ma diyōm daira ian magkasasawan du isab. 
MAT.2.4	Magpanohoan si Herod subay magtipun manga nakura' kaimaman maka manga guru sara' agama. Uk na ma sigam, “Maingga kono' panganakan Almasi?”
MAT.2.5	Uk manga aa ian, “Ma kalumaan Betlehem, ma lahat Yahudiya, sabab salaitu iya bayi tasulat uk nabi ma diyōm Kitab. Uk na,
MAT.2.6	‘Iya kalumaan Betlehem itu,
MAT.2.6	Mehe gaōsan na min kalumaan kasehean, iya bantug ma lahat Yahudiya,
MAT.2.6	Sabab niya' du palahil minnihi' dakayo' aa magnakura',
MAT.2.6	Bo' pignakuraan uk na manga aa ku bangsa Israil!’ ”
MAT.2.7	Puwas hi' manga lalla min sōbangan hi' bayi siyohoan uk Sultan Herod subay magbissala maka iya ma 'nsa' niya' makatau. Tiyaw sigam uk na bang umay waktu bayi paluwas bituun hi'. Makaba'-ba' peen manga aa ian, 
MAT.2.8	manjari sigam siyoho' pahi' ni Betlehem. Salaitu iya panohoan Sultan ma sigam, uk na, “Pahi' kaam. Pehahun bi tōōd onde'-onde' ian. Bang iya tapeha bi na, pahatihun bi aku supaya aku me' mudji ni iya.”
MAT.2.9+MAT.2.10	Ubus peen sigam bissalahan uk sultan, palanjal na sigam tudju ni Betlehem. Ma labayan peen, tanda' uk sigam bituun iya bayi tanda' uk sigam ma lahat sōbangan ian. Pag'nda' sigam, sakali landu' sigam kiyōgan. In bituun ian, hi' parahu min sigam sampay taabut tōngōd pabōtangan onde'. Ian na patōngōd min diyata' na. 
MAT.2.11	Jari pasōd sigam ni diyōm luma' ian bo' iyampa tanda' uk sigam onde' maka ina' na si Mariyam. Pasujud sigam mudji ni onde' ian. Piluwas uk sigam iya bayi biyo pangahulmat ni onde'. Niya' bulawan, niya' kamanyan, maka niya' pahamut iyōnan mira.
MAT.2.12	Puwas hi' biyandaan sigam uk Tuhan ma diyōm upihan sigam, 'nsa' siyoho' pabayik ni si Herod. Manjari mowe' na sigam ni lahat sigam palabay min daddōk saddi.
MAT.2.13	Pagmowe' manga aa hi', niya' malaikat min Tuhan palahil ni si Yusup ma diyōm upihan na. Uk na, “Punduk kau. Bohun onde' maka ina' na iyu bo' kaam lahi ni lahat Misil. Mahi' le' kaam sataggōl kaam 'nsa' pakallo' ku minnihi'. Iyu na si Herod meha onde' iyu piyatay.”
MAT.2.14	Magtuwi papunduk na si Yusup. Killo' uk na onde' maka ina' na hi' bo' sigam lahi minnihi' tudju ni lahat Misil ma waktu sangōm. 
MAT.2.15	Mahi' sigam pabōtang sampay matay na si Herod. Jari niya' du katawwaan ma bayi bissala Tuhan, iya tasulat ma diyōm kitab uk si Nabi Hoseya. Uk na, “Bayi soho' ku anak ku paluwas paitu min lahat Misil.”
MAT.2.16	Pagtau peen itu uk si Herod in iya bayi iyakkalan uk manga aa min sōbangan ian, pasu' tōōd atay na. Magtuwi iya magpanohoan piyatay manga onde'-onde' lalla kamemon ma Betlehem sampay ma kalumaan ma katilibut na, sasuku ngumul duwan tahun sampay pareyo' le' minnihi'. Bista uk si Herod waktu na min bayi pamatau iya uk manga aa min sōbangan pasal waktu bayi kalahil bituun.
MAT.2.17	Minnihi' niya' katawwaan ma bayi tasulat uk si Nabi Irimiya, iya uk na,
MAT.2.18	“Niya' lingōg take ma lahat Rama,
MAT.2.18	Lingōg aa magkarukkaan maka magtangisan.
MAT.2.18	Si Rakel nangisan manga anak na.
MAT.2.18	'Nsa' taparōhōng pagtangis na,
MAT.2.18	Sabab hi' piyatay anak na kamemon.”
MAT.2.19	Ubus peen bayi matay si Herod, niya' isab malaikat min Tuhan bayi paluwas ni diyōm upi si Yusup mahi' ni lahat Misil. 
MAT.2.20	Uk malaikat, “Punduk kau. Bohun onde' iyu maka ina' na pabayik ni lahat Israil, sabab hi' na bayi matay iya bayi baya' mapatay onde' iyu.” 
MAT.2.21	Sakali papunduk si Yusup. Biyo uk na onde' maka ina' na pabayik ni lahat Israil.
MAT.2.22	Pagtau peen uk si Yusup in si Arkilas iya paganti' min 'mma' na si Herod magsultan ma lahat Yahudiya, tiyāw iya palahat. Siyoho' iya pabayik ma diyōm upihan na, iya hangkan sigam pahi' tudju ni lahat Jalil, 
MAT.2.23	bo' pabōtang sigam ma kalumaan iyōnan Nasaret. Jari niya' du katawwaan ma bayi pigpalatun uk manga kanabihan pasal si Almasi. Uk sigam, “Iyōnan du iya aa Nasaret.”
MAT.3.1	Manjari ma waktu hi', takka si Yahiya Magpapandi pahi' ni lahat Yahudiya magnasihat, pahi' ni jadjahan lahat iya 'nsa' agōn kalluman ayi-ayi. 
MAT.3.2	Uk nasihat na ni manga aa bayi patipun pay'an, “Pataikut kaam min dusa bi sabab sikōt na waktu kapagparinta Tuhan ma kitabi.” 
MAT.3.3	Si Yahiya itu bayi pigbissala ma awwal le' uk si Isaya. Uk na,
MAT.3.3	“Niya' aa ngalingan ma lahat 'nsa' agōn kalluman ayi-ayi.
MAT.3.3	Salaitu pangalingan na, uk na, ‘Song na takka Panghu'.
MAT.3.3	Lanuin bi daddōk palabayan na.
MAT.3.3	Pabōntōlun bi palangnganan na.’ ”
MAT.3.3	Salaihi' bayi pagbissala uk si Isaya hi'.
MAT.3.4	Iya pasammek si Yahiya ian bu hayōp unta' bayi tinnun, maka dakayo' sabitan kuwit sapi' pakambot ma hawakan na. Iya kiyakan na manga ampan maka gula' buwani. 
MAT.3.5	Sakali pahi' ni si Yahiya manga aa min daira Awrusalam maka aa min kalohahan lahat Yahudiya, maka aa isab min manga kalumaan ma katahaan sapa' Jordan. 
MAT.3.6	Magpasabannal sigam pasal bayi dusa sigam, bo' piyandi sigam uk si Yahiya ma diyōm sapa' Jordan hi'.
MAT.3.7	Suga' pag'nda' si Yahiya ma baanan aa Parisi maka aa Saddusi pay'an ni iya mikipandi, uk na ni sigam, “Kaam iyu, addat bi sali' sapantun so pangangakkal. Sayi baha' bayi ma'-ma' ma kaam in kaam subay papuwas min mulka' Tuhan iya song patakka? 
MAT.3.8	Bang kaam sabannal-bannal pataikut na min dusa bi, hinangun bi hinang hap, palsaksian in addat bi pinda na. 
MAT.3.9	Daa kaam magpikil in kaam 'nsa' miyulkaan ma sawukat kaam panubu' si Ibrahim. Baan ta kaam, minsan min manga batu itu tahinang du panubu' si Ibrahim uk Tuhan! 
MAT.3.10	Kaam iyu sali' hantang manga kayu song tibbōng maka kapa, tōbtōb min poon na. Sabab kayu kamemon 'nsa' hap buwa' na tibbōng du, liyarukan ni diyōm api tiyutung. 
MAT.3.11	Maka aku itu,” uk si Yahiya, “bohe' sadja iya pamandi ku ma kaam, tanda' saksi' in kaam pataikut na min dusa bi. Suga' niya' paitu damuwi min aku labi le' kawasa min aku. 'Nsa' aku tiyōp minsan sadja menten tawumpa' na. Saddi bohan pamandi na ma kaam, hati na in iya mahōp Nyawa Sutsi ni diyōm baran bi. Manga aa kasehean isab piyandi uk na maka api. 
MAT.3.12	Pikandi du uk na aa hap maka aa laat, sali' sapantun aa nahapan payi. Iya payi na tiyawu' uk na ma diyōm pagtawuan na, bo' hapa na iya tiyutung uk na ma api 'nsa' kapaddahan.”
MAT.3.13	Jari itu, ma waktu hi', takka si Isa bayi min lahat Jalil pay'an ni sapa' Jordan ian, bo' mikipandi ma si Yahiya. 
MAT.3.14	Suga' 'nsa' baya' si Yahiya. Uk na ni si Isa, “Angay kau mikipandi ma aku? Aku itu subay pandi nu!”
MAT.3.15	Suga' nambung si Isa, uk na, “Hinangun na buttihi', sabab patut du bang be' ta panohoan Tuhan kamemon.” Jari siyulut uk si Yahiya si Isa.
MAT.3.16	Ubus peen si Isa bayi piyandi, pariyata' na iya min diyōm bohe'. Sakali paukab langit, bo' tanda' na Nyawa Tuhan sali' dagbōs assang, pareyo' minnihi' patapu' ma iya. 
MAT.3.17	Niya' isab suwara halling min diyōm sulga'. Uk na hi', “Iya na itu anak ku kalasahan ku, landu' makasulut atay ku.”
MAT.4.1	Manjari si Isa ian biyo uk Nyawa Tuhan ni lahat 'nsa' agōn kalluman ayi-ayi, bo' siyasat iya uk nakura' sayitan may'an, kalu tabo magdusa. 
MAT.4.2	'Nsa' si Isa bayi makakakan ayi-ayi ma diyōm 'mpatpu' bahangi. Puwas hi' landu' iya giyōtas. 
MAT.4.3	Jari pahi' ni iya nakura' sayitan. Uk na, “Bang kau sabannal-bannal Anak Tuhan, sohoun manga batu itu papinda ni tinapay.”
MAT.4.4	Suga' nambung si Isa, uk na, “Tasulat asal ma diyōm kitab, iya uk na hi', ‘'Nsa' kiyakan baran sadja iya makakaallum ma manusiya', sampay lapal kamemon iya bissala uk Tuhan.’ ”
MAT.4.5	Puwas hi' biyo si Isa uk nakura' sayitan ni daira Awrusalam, iya iyōnan Daira Mahasutsi, bo' pitōngōd iya ma puntuk langgal mehe mahi'. 
MAT.4.6	Uk sayitan hi', “Bang kau iya bannal Anak Tuhan pakuppa kau minniyu, sabab tasulat asal ma diyōm kitab, iya uk na, ‘Siyoho' uk Tuhan manga malaikat na nganjagahan kau. Tiyayak kau uk sigam bo' 'nsa' makahantak nayi' nu ni batu.’ ”
MAT.4.7	Halling si Isa, “Bayi na isab tasulat salaitu, ‘Daa sulayin bi kawasa Tuhan iya Panghu' bi.’ ”
MAT.4.8	Puwas hi' biyo si Isa uk nakura' sayitan ni diyata' bud langkaw tōōd, bo' iyampa pindaan lahat kamemon ma kalohahan dunya, maka kawasa manga aa iya mangantan kalahat-lahatan ian. 
MAT.4.9	Uk nakura' sayitan ni si Isa, “Bang kau pasujud ma aku mudji, pamuwan ku ian kamemon ma kau.”
MAT.4.10	Iya sambung si Isa ni iya, “Pakallo' kau, sayitan! Sabab asal tasulat ma diyōm kitab, uk na, ‘Panghu' bi Tuhan sadja iya subay pudji bi. Tunggal iya paghinangan bi!’ ”
MAT.4.11	Puwas hi' pakallo' nakura' sayitan min si Isa, bo' niya' manga malaikat paluwas pay'an ni si Isa hi' ngadjalan iya.
MAT.4.12	Manjari pagtake uk si Isa in si Yahiya Magpapandi bayi na tajil, pahi' iya ni lahat Jalil. 
MAT.4.13	'Nsa' iya bayi pahanti' ma kalumaan Nasaret, suga' palanjal iya pahi' ni daira Kapirnaum, iya ma bihing danaw Jalil, bo' pabōtang iya may'an. Ian asal Kapirnaum ma jadjahan lahat Sibulun maka Naptali. 
MAT.4.14	Jari niya' katawwaan ma bayi tasulat uk si Isaya, iya uk na,
MAT.4.15	“Lahat Sibulun maka lahat Naptali,
MAT.4.15	Iya ma ōtan sapa' Jordan maka tahik saddōpan,
MAT.4.15	Lahat iyōnan lahat Jalil, lahat kalamuran manga bangsa 'nsa' Yahudi.
MAT.4.16	In manga aa na bayi hantang pabōtang ma diyōm kalindōman, makanda' du kasawahan landu' sahaya.
MAT.4.16	Manga aa bayi kalōkōban uk kamatay,
MAT.4.16	Tawwa' du karantaan.”
MAT.4.17	Puwas minnihi' nagna' si Isa magnasihat lapal na. Uk na, “Tayikutin bi na dusa bi sabab sikōt na waktu kapagparinta Tuhan ma kaam.”
MAT.4.18	Na, sabu si Isa mangngan ma bihing danaw Jalil, niya' tanda' na duwangan magdanakan. Dakayo' ian si Simun, iya iyōnan isab si Petros. Dakayo' ian si Andariyas. Ian sigam ngahug pōkōt ma danaw, sabab magdaraying asal sigam. 
MAT.4.19	Jari halling si Isa ni sigam. Uk na, “Paitu kaam me' ma aku. Bayi kaam asal magkallo' daying, suga' panduan ta kaam magkallo' pagkahi bi manusiya' me' ma aku.” 
MAT.4.20	Take peen halling si Isa uk duwangan hi', magtuwi sigam bayi ngambanan pōkōt sigam bo' iyampa me' ma si Isa.
MAT.4.21	Makalanjal peen si Isa minnihi', niya' isab tanda' na duwangan magdanakan, si Ya'kub maka si Yahiya, anak si Sibidi. Ian sigam ma diyata' bayanan sigam magbe' maka 'mma' sigam magpaayad pōkōt. Linganan uk si Isa duwangan itu, siyoho' me' ma iya. 
MAT.4.22	Magtuwi 'mbanan uk sigam 'mma' sigam maka bayanan hi', bo' iyampa me' ma si Isa.
MAT.4.23	Na, liyatag uk si Isa kalohahan lahat Jalil ian. Mandu' na peen iya ma diyōm kalanggalan. Magnasihat iya lapal hap pasal kapagparinta Tuhan ma manusiya'. Kaulian uk na manga aa saki maka manga aa lamma min ginisan saki sigam. 
MAT.4.24	Jari pasaplag kabantugan na ni kalohahan lahat Siriya ian. Hangkan manga aa ian bayi mo sehe' sigam ni si Isa, sayi-sayi tawwa' saki kaginis-ginisan atawa paddi', manga aa siyōd uk sayitan, aa biyaboy-baboy, maka aa matay ugat sigam. Bo' kaulian sigam kamemon uk si Isa. 
MAT.4.25	Jari landu' heka manga aa bayi paturul ma iya, aa min lahat Jalil maka aa min Sangpu' Daira ian. Niya' isab manga aa min daira Awrusalam, min kalohahan lahat Yahudiya, sampay min dambiya' sapa' Jordan.
MAT.5.1	Manjari pag'nda' peen si Isa ma manusiya' katipunan ian, nukad iya ni pigi' bud ningko' may'an. Pay'an ni iya manga mulid na, patipun ma katilibut na, 
MAT.5.2	bo' nagna' iya mandu' ma sigam.
MAT.5.2	Halling na ma sigam,
MAT.5.3	“Mehe du kahapan sasuku katauhan na in kagunahan na tōōd iya tabang min Tuhan.
MAT.5.3	Sabab tantu du niya' palsukuan na ma diyōm pagparintahan Tuhan.
MAT.5.4	Mehe du kahapan sasuku magkarukkaan pasal kalaatan na,
MAT.5.4	Sabab biyuwanan iya kasannangan uk Tuhan ma atay na.
MAT.5.5	Mehe du kahapan sasuku deyo' pangatayan na
MAT.5.5	Sabab makatayima' du iya bayi panganjanji' Tuhan.
MAT.5.6	Mehe du kahapan sasuku baya' tōōd pagmaatayan na kaadilan,
MAT.5.6	Sabab diyulan du iya uk Tuhan.
MAT.5.7	Mehe du kahapan sasuku maase' ma kasehean na,
MAT.5.7	Sabab kiasean du iya uk Tuhan.
MAT.5.8	Mehe du kahapan sasuku pote' atay na tudju ni Tuhan,
MAT.5.8	Sabab makapag'nda' du iya maka Tuhan.
MAT.5.9	Mehe du isab kahapan sasuku mapagsulut ma manga pagkahi na,
MAT.5.9	Sabab iyōnan du iya anak Tuhan.
MAT.5.10	Mehe isab kahapan sasuku liyaat ma sabab iya me' ma kabayaan Tuhan,
MAT.5.10	Sabab niya' palsukuan na ma diyōm pagparintahan Tuhan.
MAT.5.11	Mehe isab kahapan bi bang kaam ganta' iyudju' maka pidjala', maka bang kaam limut 'nsa' bannal ma sabab kaam me' ma aku. 
MAT.5.12	Subay kaam kiyōgan tōōd bang salaihi', sabab tantu du mehe tungbas bi ma diyōm sulga'. Salaihi' isab bayi pamidjala' ma manga nabi iya bayi ma dunya itu ma masa awwal hi'.”
MAT.5.13	Halling le' si Isa, “Kaam bean ku sali' dalil asin para ma manusiya' kamemon. Suga' bang asin itu bayi killoan kaasin na, 'nsa' niya' makapabing asin na. 'Nsa' niya' kagunahan na, timanan sadja ma pag-iddōkan uk aa.
MAT.5.14	“Kaam iyu bean ku sali' dalil ilaw iya muwan kasawahan ma manusiya' kamemon. Sali' sapantun kalumaan pabōtang ma diyata' bud, tanda' uk aa kamemon, 'nsa' talimbungan. 
MAT.5.15	'Nsa' niya' ngandōkōtan palitaan bo' lōkōban na maka undam, suga' biyōtang du uk na ma diyata' pabōtangan na bo' muwan sawa ma sasuku ma diyōm luma' ian. 
MAT.5.16	Salaihi' du isab ma kaam, subay kaam muwan sawa ma pagkahi bi manusiya'. Hati na subay tanda' kahinangan bi hap uk aa kasehean, bo' sigam tabo nanglitan 'Mma' bi ma diyōm sulga'.”
MAT.5.17	“Daa kaam magpikil manga aku paitu ngalloan sara' iya bayi pilatun uk si Musa, maka manga pandu' bayi min kanabi-nabihan hi'. In maksud ku paitu mahatihan pasal sara' hi' bang ayi kamaksuran na tōōd. 
MAT.5.18	Baan ta kaam tōōd: sataggōl masi langit maka dunya itu, 'nsa' du niya' kiyulangan min sara' itu minsan laa hal dambatang sulat na maka balis na. Subay sampulna' kamemon bo' iyampa tumanan kamaksuran na. 
MAT.5.19	Hangkan sayi-sayi ngalanggal sara' itu minsan laa dakayo' sara' 'nsa' mehe maka piyanduan uk na sehe' na me'-me' ma iya maghinang salaihi', in aa ian deyo' tōōd ma diyōm pagparintahan Tuhan. Bo' sayi-sayi me' ma sara' sampay manduan sehe' na subay me', langkaw du iya ma diyōm pagparintahan Tuhan. 
MAT.5.20	Suga' baan ta kaam, 'nsa' du kaam makasōd ni diyōm pagparintahan Tuhan bang 'nsa' paliyu kaadilan bi min kaadilan manga Parisi maka manga guru ma sara' agama.”
MAT.5.21	“Bayi na take bi bayi panohoan ma manga aa ma masa awwal hi', iya uk na, ‘Wajib kaam daa mapatay pagkahi bi manusiya'. Sayi-sayi mapatay pagkahi na pibōtangan du iya hukuman.’ 
MAT.5.22	Suga' salaitu na pamandu' ku ma kaam sayi-sayi ngandugal ma pagkahi na subay hiyukum. Maka sayi-sayi ngōn ‘dupang’ ma sehe' na subay biyo ni sara' mehe paghukuman na. Sayi-sayi isab mahallingan pagkahi na, uk na, ‘E! Babbal kau! 'Nsa' niya' kapusan nu!’ Piligdu aa ian binsana' ma diyōm api nalka'. 
MAT.5.23	Hangkan na, bang kau ganta' ma diyōm langgal song ngungsud ayi-ayi ni Tuhan, bo' taintōm nu in kau bayi makabuwan dusa ni pagkahi nu manusiya', 
MAT.5.24	'mbanin le' pangungsud nu bo' kau pasaut ni pagkahi nu ian ngamu' ampun ni iya dahu bo' iyampa kau pabing nukbalan pangungsud nu ni Tuhan.
MAT.5.25	“Bang kau tiyuntutan uk aa bo' kau biyo ni sara', bohun iya magsulut ma 'nsa' le' takkahan ni sara'. Sabab bang kau 'nsa' magsulut dahu, takkahan du kau ni huwis, bo' kau siyongan uk huwis ni manga pulis bo' iyampa kau jinil. 
MAT.5.26	Jari taggōlan du kau ma diyōm jil hi'. Subay puwasan nu bayi kataksilan nu kamemon bo' iyampa kau makaluwas minnihi'.”
MAT.5.27	“Bayi na take bi panohoan itu, iya uk na, ‘Wajib kaam daa magjina.’ 
MAT.5.28	Suga' salaitu na pamandu' ku ma kaam: sayi-sayi nganda' ni danda maka uk na napsuhan iya, in aa ian magjina marimay pikilan na. 
MAT.5.29	Hangkan na bang mata nu ni katau ganta' mo kau magdusa, subay larutun. Gam na peen larutin mata nu iyu bo' timanan. Hap le' buta mata nu dambiya', bang peen 'nsa' kau liyarukan katibuukan nu ni diyōm nalka' ma jukup mata nu karuwambiya'. 
MAT.5.30	Damikkiyan na isab bang tangan nu ni katau ganta' mo kau magdusa, hopoin. Hap le' tittōpan dambiya' tangan nu bo' timanan nu. Hap le' pukul dambiya' tangan nu, bang peen 'nsa' kau liyarukan katibuukan nu ni diyōm nalka' ma jukup tangan nu karuwambiya'.”
MAT.5.31	“Niya' isab bayi panohoan sara', iya uk na, ‘sayi-sayi nimanan handa na subay iya muwan pagpasahan na.’ 
MAT.5.32	Suga' salaitu na pamandu' ku ma kaam: sayi-sayi nimanan handa na ma 'nsa' niya' sababan na, ma 'nsa' du iya bayi maglalla, tahinang na iya sali' bayi magjina. Maka bang niya' lalla maghanda ma danda bayi timanan, dusahan isab iya; taitung du isab iya magjina.”
MAT.5.33	“Bayi na take bi isab bayi pamandu' ma manga aa ma masa awwal hi', iya uk na, ‘Wajib kaam daa magbaluba min sapa bi. Wajib isab hinangun bi iya bayi najal bi ni Tuhan.’ 
MAT.5.34	Suga' salaitu na pamandu' ku ma kaam: daa na kaam magsapa. Daa sapahun bi sulga' pagsapahan bi sabab paningkoan Tuhan ko' ian. 
MAT.5.35	Daa sapahun bi dunya sabab pabōtangan nayi' na ko'. Sampay daira Awrusalam, daa sapahun bi isab sabab suku' Tuhan, iya Sultan Mahatinggi. 
MAT.5.36	Minsan kok bi, subay 'nsa' sapa bi pagsapahan bi sabab 'nsa' kaam iya bayi mapanjari. Minsan dalamba buun bi 'nsa' kapindahan bi walna' na ni itōm atawa ni pote'. 
MAT.5.37	Bang kaam nganjanji' subay kaam halling ‘aho'’ sadja, atawa ‘'nsa'’ sadja. Ayi-ayi pamasugpat bi ma bissala bi saddi minnihi', luwas min sayitan ko' iyu.”
MAT.5.38	“Bayi na take bi pamandu' itu, iya uk na, ‘Bang niya' makaat dambiya' mata pagkahi na subay du isab piyulihan pikaat dambiya' mata na. Damikkiyan na bang niya' ngalempongan baggaang pagkahi na subay du isab piyulihan lempongan baggaang na.’ 
MAT.5.39	Suga' iya na itu pamandu' ku ma kaam: daa kaam muli bang niya' ganta' ngahinang laat ma kaam. Bang niya' ganta' aa nampak bayihu' nu dambiya', patampalun isab dambiya' panampakan aa hi'. 
MAT.5.40	Bang niya' ganta' nuntutan kau bo' kau miyultahan badju' nu, pamuwanun ma iya sampay juba nu. 
MAT.5.41	Bang niya' sundalu Roma ngalōgōs ma kau mo kapanyapan na lawak dabatu na, bohun le' ma iya ni duwa batu. 
MAT.5.42	Bang niya' aa ngamu' ayi-ayi ma kau, buwanin. Bang niya' baya' mōs ayi-ayi ma kau subay pibōsan.”
MAT.5.43	“Bayi na take bi isab pamandu' dakayo' itu, iya uk na, ‘Kalasahan bi bagay bi, suga' kabansihan bi bang banta bi.’ 
MAT.5.44	Suga' iya na itu pamandu' ku ma kaam: kalasahan bi banta bi. Amu'-amuin bi kahapan min Tuhan sasuku ngahinang laat ma kaam, 
MAT.5.45	bo' supaya kaam ningōd addat Tuhan, iya 'Mma' bi ma diyōm sulga'. Sabab Tuhan iya muwan kasawahan 'llaw ma aa kamemon hap maka laat sali'-sali'. Muwanan isab iya ulan ma manga aa kamemon iya maghinang kabōntōlan sampay isab ma aa maghinang kalaatan. 
MAT.5.46	Daa kaam magpikil bang kaam ngalasa sadja ma asal bagay bi, niya' tahōwat bi tungbas min Tuhan, sabab minsan aa dusahan, iya manga aa ngallo' sukay parinta, ngalasa sigam ma aa ngalasahan sigam. 
MAT.5.47	Bang manga kabagayan sadja iya sagina bi pahap, sali' du kaam maka manga aa 'nsa' me' ma panohoan Tuhan sabab iya du sigam nagina ma aa asal kabagayan sigam. 
MAT.5.48	Kaam iyu subay jukup ma kawul-piil bi tudju ni aa kamemon, sali' du 'Mma' bi ma diyōm sulga'.”
MAT.6.1	“Kamaya'-maya' kaam. Bang niya' hinang bi hap pagtaat ni Tuhan, daa hinangun bi ma mata mayiran bo' supaya tanda' aa kamemon. Sabab bang hinang bi ian supaya kaam tanda' uk aa, 'nsa' du niya' tungbas bi min Tuhan, iya 'Mma' bi ma diyōm sulga'. 
MAT.6.2	Hangkan na, bang niya' pamuwan bi ma aa kulang-kabus, daa pagbantugun bi.
