MAT.1.1	Jisu Krista ni phagararao ni greng: bo David ni basa, ar David, Abraham ni basa.
MAT.2.17	Odehe, bo bubli ha gorasali Jeremia grao thiyaba gibi japhai kha:
MAT.2.18	“Rama nolei ha jirikkhao hi grayaba
MAT.2.18	khurang khna ha du,
MAT.2.18	Thihyaba khe wainso hi jiu khlai hi gra lai du,
MAT.2.18	Rakhil jar ni basathu giri kha bani gra du
MAT.2.18	Ar, bo malai jang waimu phoron ma nangjaoya”.
MAT.2.19	Herod thih bani yaohon ha, Gabra ni degla Egypt ha Josef niha saomi jang nujao phai hi thi ba, 
MAT.2.20	Baija hi nana jang boni buma khe lang hi Israel raji ha thang lah; nana sthaima baoyarao bonsi thih kha. 
MAT.2.21	Odehe, baija hi nana jang boni buma khe lang hi Israel raji ha phaiphin kha.
MAT.2.22	Thikhabo, Herod ni basa Arkelaus, boni bupha ni baslai ha raja jahi dong thi hi khna dada oraha thang raoya kha. Ode, saomi ha thijaoba ni Galili gede thang la kha. 
MAT.2.23	Gorasali ni khuh jang thilang ba, Bo de Nazareth ni subung thijao ma thiyaba grao gibi japhaima ne khlai hi nogor masi Nazareth thiyaba ha bonsi dong hi ba.
MAT.3.1	Bo bubli ha Baptisma riyaba Johan phai hi Juda raji ni hajengling ha graojma sainthi ba. 
MAT.3.2	Bo thi ba, Khah phin lah, sorgo raji sampha kha, 
MAT.3.3	Gorasali Isai thidayaba subung Johan ning ja kha,
MAT.3.3	“Hajengling ha subung saosi ni khurang khna nang
MAT.3.3	Gabra ni lama khe slam lah
MAT.3.3	Boni lama buthu khe beleng ri lah”.
MAT.3.4	Johan mihhajeng ni bikhim khe rih phin hi, boni jengkhong ha migur ni jengsdu kha ba, ode boni jimu-lingmu de hagra ni guyung jang beredih se. 
MAT.3.5	Boha Jerusalem ni subung, Juda raji ni subung, ode Jordan haphai ni khrip subungbo baigo hi boni ha phai ba. 
MAT.3.6	Jar jar ni phap gajai khe phla hi, Jordan dihbu ha, boni ha phai hi khrip baptisma la ba.
MAT.3.7	Thikhabo, jekhali Johan Pharisai jang Saddukairao baptisma lama ne gabang phaiba khe nu hi bo bonsi khe thi ba, Nisi jbu ni jadirao, thamsi phaiginyaba ni phrang golang mane sere nisi khe sainthi ba? 
MAT.3.8	Odebani, khah phin bani bumu khe lahi bathai thai lah. 
MAT.3.9	Jing de Abraham ni sarik-surik se, thi hi nisi da bao lah. Madai de ebo longthai buthu khebo Abraham ni sarik-surik ne khlai hi song ri phu du thi hi ang nisi khe thi du. 
MAT.3.10	Duha ni phrang khrip bongphang ni khitha ha rowa deng kha; odebani, khrip bongphang hamsi bathai thaiya khade bokhali wai ha dangsing ma se. 
MAT.3.11	Ang nisi khe khah slaima ne dih jang baptisma ri du. Thikhabo, ani yaohon ha phaiginyaba de anthane dedao. Ang boni yaphadap ni wadu khe khru manebo gathaya. Bo nisi khe Bese Gathar jang ar wai jang baptisma ri nang. 
MAT.3.12	Boni sangkhon boni yao ha ning dong; ar bo jar ning maijibu khe ragao sisi khlai hi sipkhao nang. Odehe, jar ni mai khe maikhoh ha bojom khlai nang, maijibu mudi khe thaoglao ni waikhor ha saokhrip nang.
MAT.3.13	Bo bubli ha Jisu boni ha baptisma lama ne khlai hi Galili raji ni phrang Jordan dihbu ha phai ba. 
MAT.3.14	Thikhabo, Johan thi ba, Ning se angkhe baptisma ri ma nang ma mu, ning se ani ha phai ba na? thi hi bo magna ma bao ba.
MAT.3.15	Thikhabo, Jisu boni ha thi ba, Duha mani lah, elei dormo khusi khe phura khlai bade jinthane hamba se, thi hi bo thiphin ba. Odehe bo mani kha.
MAT.3.16	Odehe, Jisu baptisma la ha hi, dih ni phrang baigo ba jang nai lah, bonthane khlai hi sorgo khru ba, ode, Madai ni bese daothu lai akhai bu hi boni phakhrong ha baphai ba khe nu ba. 
MAT.3.17	Odehe, sorgo ni phrang khurang si, Ebo de ani basa hamdaothao ar ang khaja daothaoyaba se, thi hi khna ba.
MAT.4.1	Boni yaohon ha Jisu khe Soithan ni naigrik ha hajengling ha bese langjao hi dong ba. 
MAT.4.2	Odehe, basain jang bisagin bohor jang bisagin jiya-lingya bani yaohon ha bo hukhri jao kha. 
MAT.4.3	Boha Soithan boni ha phai hi thi ba, Ning Madai ni basa ning thikhade, ebo longthai buthu khe hon jamane hukhum ri lah.
MAT.4.4	Thikhabo, Jisu thiphin ba, Subung de hon jang mang mang de thangya, Madai ni khuh ha khrip grao baigoyaba jang se thang ba, thi hi reb du.
MAT.4.5	Boni yaohon ha bokhe nolei gathar ha lang hi Madaikhoh ni nohkhu ha song rihi, boni ha thi ba, 
MAT.4.6	Ning Madai ni basa ning thikhade, ora ni phrang galai lah.
MAT.4.6	Nini balam ha deglarao khe bo hukhum ri nang
MAT.4.6	Ode bonsi ni yao jang ning khe bamkhu nang,
MAT.4.6	Ode niyakha de, nini igah bumai nang ma se, thi hi Madai ni laisi ha reb du.
MAT.4.7	Jisu bokhe thiphin ba, Gabra, nini Madai khe da nainai, thi hi bo reb du.
MAT.4.8	Odehe, Soithan hading judao thaoyaba ha bokhe langphin hi, habsao ni khrip muima khe phnu hahi thi ba, 
MAT.4.9	Ning yasgu thu hi ang khe khlim khade ebo khrip khe ninthane ang rithar nang.
MAT.4.10	Boha Jisu thiphin ba, Soithan, thang lah, Gabra, nini Madai khe khlim hi bokhe se ning mani lah.
MAT.4.11	Odehe, Soithan haiger lang kha, ar deglarao phai hi bokhe naiso-nuso kha.
MAT.4.12	Odehe, Johan remjao kha thi hi Jisu khna ba jang Galili raji ha bo thangla ba. 
MAT.4.13	Odehe, Nazareth khe dangkhlai hi Kapernaum dihkharnai dergong ha Zebulun jang Napthali haphai ha bo donghi ba. 
MAT.4.14	Gorasali Isai grao thiyaba phura gibi jathar mani khlai hi olei japhai ba,
MAT.4.15	Zebulun ar Napthali ni raji,
MAT.4.15	Dihkharnai ni lama ha, Jordan dikhong nar,
MAT.4.15	Jentailrao ni Galili!
MAT.4.16	Andar ha kham hi dongyarao
MAT.4.16	Gabang jnama khe nu nang.
MAT.4.17	Bo bubli ni phrang se Jisu grao baipha langhi thi ba, Khah phin lah, sorgo raji sampha kha, thi hi bo grao thijen ba.
MAT.4.18	Galili dihkharnai dergong ha bo daopha lang baha, boha Simon (Peter thiyaba) ode boni buphlung Andri, bonsi khaphlung gini khe jeh saiba nu ba; bonsi nah remyaba ning. 
MAT.4.19	Jisu bonsi niha thi ba, Ani yaohon ha phai lah, ang nisi khe subung remyaba slam nang. 
MAT.4.20	Boha ning bonsi jeh dangkhlai langhi boni yaohon rikpha langla kha.
MAT.4.21	Oraha ni phrang thangba ha gibin daphlung gini Zebedai-ni basa Jakob jang boni buphlung Johan khe bonsi ni bupha Zebedai ni rung ha bonsi ni jeh buthu khe slamba nuhi bonsi khe Jisu long ba. 
MAT.4.22	Boha ning, bupha jang rung khe dangkhlai langhi bonsi boni yaohon rikpha langla kha.
MAT.4.23	Odehe, Jisu bikhoh ni noh buthu ha sling rihi, Raji ni graojma hamba khe sainthi ba, ode subung buthu ni bising ha jadi jadi jathai ar jadi jadi raoyayaba khrip khe ham ri hi, Galili raji ni khrip ha bo thangpha lang ba. 
MAT.4.24	Odehe, Suria raji khrip ha boni graojma gublung thar ba. Odebani, khrip subung limyaba ar jadi jadi sathai sayarao, sgainjik gajaoyarao, murkhi jayarao, adur jayarao khe boni ha labu ba, ode, bonsi khe bo ham rithar ba. 
MAT.4.25	Galili raji ni phrang, Dekapoli nogor ni phrang, Jerusalem ni phrang, Judai raji ni phrang, ode Jordan nar ni phrang subung buthu gabang yaohon rikpha ba.
MAT.5.1	Jisu subung gabang nuhi, hadingkhro ha thang ba, ode, bo khamyaba ha boni rikphayarao boni sersi giding longthim ba, 
MAT.5.2	Odehe, grao thi hi bonsi khe sling ri ba.
MAT.5.3	Sere bese ha jar khe dukhisa thi hi mithi layarao de bonsi ni khophal hambi,
MAT.5.3	sorgo raji de bonsi ni se.
MAT.5.4	Khah baiyarao de bonsi ni khophal hambi,
MAT.5.4	Bonsi shanti jang dong ma se.
MAT.5.5	Maigru gruyarao de bonsi ni khophal hambi
MAT.5.5	Phirthi ni don khe bonsi mai ma se.
MAT.5.6	Dormo ha hukhri hi dih gangjaoyarao de khophal hambi,
MAT.5.6	Bonsi ni khah gablai ma se.
MAT.5.7	Malai ni basao ha maya-doya khlaiyarao de khophal hambi,
MAT.5.7	Bonsi maya-doya khlaijao ma se.
MAT.5.8	Khah gatharrao de khophal hambi,
MAT.5.8	Bonsi Madai khe nu ma se.
MAT.5.9	Milima slamyarao de khophal hambi,
MAT.5.9	Bonsi Madai ni basarao thijao ma se.
MAT.5.10	Dormo ni khlai hi dukhu rijaoyarao de bonsi ni khophal hambi,
MAT.5.10	Sorgo raji de bonsi ni se.
MAT.5.11	Ani khlai hi malai jang nisi khe jojao nang, ode, dukhu rijao nang, ode, niya niya mosol jang nisi khe gajai ri khade, nisi ni khophal hamba se. 
MAT.5.12	Khaja hi bai lah, sorgo ha nisi ni khlai hi yaosandi bang bi. Bede thikhade, olei jasosi ning nisi ni sagang ha gorasali dongyaraobo dukhu rijao ba se.
MAT.5.13	Nisi phirthi ni sem se; thikhabo, sem brabya kha la bede brab riphin ma? Dangkhlai hi subung buthu jang gasep jaoba khe gar hide musibo khusi habo nangya kha.
MAT.5.14	Nisi habsao ni jnama se. Hadingkhro ha nolei dongyaba khe hui hi deng phuya. 
MAT.5.15	Subung thaophari sao hi khamphlu jang phungkhlip hi dengya, boni dengthan ha se deng re; odese noh bising ni khrip subung jnama khe nu ba. 
MAT.5.16	Olei jasosi ning nisi ni jnama subung ni muh ha jna thing; odese, nisi hamba khusi dangyaba buthu khe bonsi nu ma, ode, nisi ni bupha, sorgo ha dongyaba khe bakhan khlai phu ma.
MAT.5.17	Dara ni grao ja thing, gorasalirao ni grao ja thing, sjam mane ang phaiba thi hi da bao. Sjam mane ang phaiya, phura khlai mane se ang phai ba. 
MAT.5.18	Gibi jang ang nisi khe thi du, phirthi nokhasao jamya side dara ni rebyaba ha gijisa ganthi ja thing, gijisa rul sikyaba ja thing, masi jahi bo jam nang niya. 
MAT.5.19	Odebani, sere ebo graothai riyaba ni bising ha asaba nangyaba grao khe slai re, ode gibin nebo olei ning slingriyaba de sorgo ha khasi daothao thijao ma se; thikhabo, sere mani hi sling ri du, sorgo ha subung dedaothao thijao ma se. 
MAT.5.20	Nisi ni dormo jang Dara slingriyarao ode Pharisairao ni dormo khe phungya khade nisi sorgo raji ha hap phu nang niya thi hi ang nisi khe thi du.
MAT.5.21	Ning da sthai bai thiyaba ar sere sthai du, boni basao ha bisar ja ma se thi hi thiyaba grao khe nisi khna kha. 
MAT.5.22	Thikhabo, angde thi du, sere jar ni daphlung ni basao ha thamsi baigo du, bo bisar khlaijao ma se; ode, sere jar ni daphlung khe khusi ha nangjaoyayaba thi du, bo bisar khlaijao ma se; sere gibir thi du, bo norok ni wai ha dangsing jao ma se. 
MAT.5.23	Odebani, khapra ha ning jinis riyaba khe yaophaba ha, nini daphlung nini basao ha khah ha hamjaoya jahi dong thihi ning wainso phin khade, 
MAT.5.24	Khapra rogong ha ning jinis riyaba khe dangkhlai langhi thang phin lah, ode, nini daphlung jang mili da lah; boni yaohon ha se nini jinis riyaba khe yaopha lah.
MAT.5.25	Nini sotru jang nisi lama hempha laiba ha srap mili lah; niyakhade nini sotru ning khe bisardar niha rao ri hi bisar khlai hi subung remyaba hoja niha ning khe nepha ma se, ode, ning khe phatho ha jeb ma se. 
MAT.5.26	Gibi jang nisi khe thi du, lagai phura riphinya side nisi ora ni phrang baigo phu nang niya.
MAT.5.27	Ning gaori da ja bai thi hi thiyaba grao khe nisi khna kha; 
MAT.5.28	Thikhabo, ang de thi du, sere masainjik khe hamjaoma jang nai du, boni khah ha gaori jahi ning dong. 
MAT.5.29	Odehe, nini yaoda ni muthai jang ning khe khuda hi galai ri khade khaikho hi dangkhlai lah. Nini saomang norok ha dangsing jao hi dong ba thane, nini saomang ni masi jamba se nini khlai hi hamdao. 
MAT.5.30	Nini yaoda jang ning khe doda ri du thikhade, bo khe dainso hi dangkhlai lah. Nini saomang khrip norok ha dangsing jaoba thane nini yao gongsi giriba se nini khlai hi hamdao.
MAT.5.31	Sere jar ni bihih jang gaolei du, gaoleiyaba ni laisi ri la thing oleibo thi du. 
MAT.5.32	Thikhabo, ang de thi du, sere bihih gaori jaya hi, jar ni bihih jang gaolei khade, bo gaori jaba se. Sere bihih jang gaolei hi noh japhin du, bo gaori-gaora jaba se.
MAT.5.33	Ning mosol grao jang smai da dang, thikhabo Madai niha smai khe phura khlai lah thihi grao thiyaba khe nisi khna kha. 
MAT.5.34	Thikhabo, ang de nisi khe thi du, asaba khalibo smai da dang; sorgo ni bumu lahi smai da dang, bode Madai ni khamthan se; phirthi ni bumu khe lahi bo smai da dang, bode boni igah dengthan se. 
MAT.5.35	Jerusalem ni bumu lahi smai da dang, bode Raja ni dedaothaoyaba nogor se. 
MAT.5.36	Jar ni bokhro khe rem hibo smai da dang, ning khanairim dingsi bo phuri la phuya ar sim ri la phuya. 
MAT.5.37	Jakha nisi thi khade jakha ja thing, jaya nisi thikha de jaya ja la thing. Bang bang side hamya se baigo ma.
MAT.5.38	Muthai ni baslai ha muthai, hathai ni baslai ha hathai thiyaba grao khe nisi khna kha. 
MAT.5.39	Thikhabo, ang de nisi khe thi du, subung hamyayaba khe da badai. Nini yaoda gede ning khe bakhao lai ri khade, yaosi gede bo ajao lah. 
MAT.5.40	Sereba nini ha grao hamya slam hi nini sola khe la la ma bao khade, nini rih khebo ri ha lah. 
MAT.5.41	Sereba ning khe bol jang melsi thangma sani khade saniyaba niha melgin thang lah. 
MAT.5.42	Sere nini ha sain du bo ne ri lah, sere nini ha jao jima phai du, boni ha mukhang jaya da ja.
MAT.5.43	Nini noharirao khe khasao lah, nini sotru khe jajaoya ja lah thiyaba grao khe nisi khna kha. 
MAT.5.44	Thikhabo, ang de nisi khe thi du, nisi ni sotrurao khe khasao lah; nisi khe dukhu riyarao ne Madai bi ri lah. 
MAT.5.45	Nisi ni bupha sorgo ha dongyaba ni basathu japhu mane khlai hi; bode subung hamba ar hamyayarao ni basao habo sain baigo ri du, ode dormo ni subung ar dormo niyayaba ni basao habo hadi ha ri du. 
MAT.5.46	Jar hamjaoyaba khe se ning nisi khasao kha la, snadi khe nisi yaosandi mai ma? Khajna khrangyaraobo olei ning dangya na somo? 
MAT.5.47	Odehe, nisi ni daphlungrao khe se ning nisi khlim kha la, snadi khe nisi hamba khusi dang dao ba? Jentailraobo olei la dang du da? 
MAT.5.48	Odebani, nisi ni bupha, sorgo ha dongyaba ham ba lai nisi ham ma nang ma.
MAT.6.1	Nisi hamba khusi dangyaba buthu khe, subung ni sagang ha bonsi nu mane dangya mane khlai hi girik lah; ode niya khade, nisi ni bupha sorgo ha dongyaba niha yaosandi mai nang niya.
MAT.6.2	Odebani, ning malai ne yaosandi riba ha, subung giriklaiyarao jang bakhan rijao mane bojom jayaba hathan buthu ha ode, daoglap buthu ha bonsi riba lai, nini sagang ha bibul da dam ri. 
MAT.6.3	Ang gibi jang nisi khe thidu, bonsi ni yaosandi khe bonsi mai blai kha. Thikhabo, ning de malai ne yaosandi riyaba khe malai tharmaiya mane khlai hi nini yaoda ni yao jang yaosandi riyaba khe yaosi ni yao jang thar da maijao thing. 
MAT.6.4	Odese, nini bupha phirik phirik ning khe naiyaba hamthai ri ma.
MAT.6.5	Odehe, nisi biba ha subung giriklaiyarao lai nisi da bih, bonsi de malai nu mane khlai hi bojom jayaba hathan buthu ha derga kholei ni gejer ha song hi bima nangjao re. Ang nisi khe thi du, bonsi ni yaosandi khe bonsi mai blai kha. 
MAT.6.6	Thikhabo, ning de biba ha nini noh bising ha hap dada, nini derga khe phung hi, nini bupha niha phirik phirik bi lah. Odese, nini bupha phirik phirik naiyaba ning khe hamthai ri ma.
MAT.6.7	Nisi biba ha Jentailrao lai haglai-biglai da bi, bede thikhade bonsi budu glao bi khase bonsi ni bithai khe khna ma thihi lon du. 
MAT.6.8	Odebani, bonsi lai da ja; bode nisi sain mani sagang ha ning nisi ni bupha de snadi khe nang du, bo tharmai du.
MAT.6.9	Odebani, nisi ede bi lah:
MAT.6.9	Sorgo ni jini Bupha
MAT.6.9	Nini bumu gathar man ja thing
MAT.6.10	Nini raji sophai thing
MAT.6.10	Nini nangjaoma sorgo ha dangba lai ning
MAT.6.10	Phirthi ni subungbo dang thing.
MAT.6.11	Dini jine nalai ni jimu ri
MAT.6.12	Malai ni gajai khe jing map khlaiba lai ning
MAT.6.12	Jini gajai khebo ning map khlai.
MAT.6.13	Phap ni naigrik ha jing khe da langpha
MAT.6.13	Hamya ni phrang jing khe sogo lah. (Sereba rebyaba ha elei dong: Bede thikhala, raji, raothai ar muima, thaoglao sosi nini ning. Amen).
MAT.6.14	Subung ni gajai buthu khe nisi map khlai kha se, nisi ni bupha sorgo ha dongyaba nisi khe map khlai ma. 
MAT.6.15	Thikhabo, subung ni gajai buthu khe nisi map khlaiya thikhade, nisi ni buphabo nisi ni gajai buthu khe map khlai nang niya.
MAT.6.16	Nisi jiya hi hoh khongja dong khabo, subung giriklaiyarao lai mukhang mao hi da phnu. Bonsi de subung ni muh ha hoh khongja nujao mane bonsi ni mukhang khe bonsi sim ri re. Gibi jang ang nisi khe thi du, bonsi ni yaosandi khe bonsi mai thar kha. 
MAT.6.17	Nisi hoh khongja dong khade, mukhang suhi, nisi ni khro ha thao do lah; 
MAT.6.18	Odese, nini bupha phirik phirik naiyaba ni muh khe gar hide subung ni muh ha hoh khongja dongba thihi nujao nang niya. Odese, nini bupha phirik phirik naiyaba ninthane hamthai ri ma.
MAT.6.19	Phirthi ha yung ji phuyaba ar haro remyaba, makhaorao gabla phu hi khao phuyaba hathan ha don buthu khe nisi jar ne khlai hi bojom da khlai. 
MAT.6.20	Thikhabo, sorgo ha, yung jiphuyayaba ar haro rem phuyayaba ar makhaorao gabla phuhi khao phuyayaba ha nisi jar ne khlai hi don buthu khe bojom khlai lah; 
MAT.6.21	Bede thikhade nini don dongyaba ha ning nisi ni khah bo dong ma se.
MAT.6.22	Saomang ni jnama de muthai se. Nini muthai jna khade nini saomang khrip jna ma se. 
MAT.6.23	Thikhabo, nini muthai hamya khade khrip nini saomang andar ja ma se; odebani, nini saomang bising ha jnama andar jakha la, hamsi ning andar ja nang.
MAT.6.24	Saosi bo hoja gini ni khusi dangpha lai phuya; bede thikhala saosi hamjao khade saosi hamjaoya ja ma se; niya khala, saosi hamjao khade, saosi naisle ma se; Madai jang rang masi khusi dangpha laiba jaya. 
MAT.6.25	Odebani, ang nisi khe thi du, snadi khe ang jima-lingma thihi nisi ni hayu ni grao ha, ar, snadi khe ang gainma-phinma thi hi saomang ni grao ha nisi khah waimu da nang. Jiba thane hayu se muilo jadaoya? Gainsari thane saomang bo muilo jadaoya? 
MAT.6.26	Nokhasao ni dao buthu khe naiha lah, mai gaijiya, rababo rajiya; bonsi maikho habo bojom khlaiya, thikhabo, nisi ni bupha sorgo ha dongyaba bonsi khe khrang du. Nisi la bonsi thane gabang muilo jadaoya? 
MAT.6.27	Ode, nisi ni bising ha khah waimu nang hi jar jar juba ni gede musi lai judao ri laphu du?
MAT.6.28	Odehe, gainsari ni basao ha snadi jabani nisi khah waimu nang ba? Phorong midi khim baryaba ni dethai khe hamsisi naihi bao lah. Bonsi khusi dangya ar khun bo phreya, 
MAT.6.29	thikhabo, ang nisi khe thi du, Raja Solomonbo boni majangma khrip ha sajai khali, ebo phorong midi khim bar barsi laibo soya. 
MAT.6.30	Odebani, hah ni sam, dini thang du, dakhna thih lang laginyaba khe ning Madai olei sosi bo sajai kha la, O nisi lonma bangyayarao, nisine bo gainsari ri nang niya?
MAT.6.31	Odebani, snadi khe jing jima? Snadi khe jing lingma? Snadi khe jing phin hi dong ma? thihi waimu da nang. Jentailrao khrip oleiyaba khe smai re. 
MAT.6.32	Ebo buthu khrip khe nisi nang du thi hi nisi ni bupha sorgo ha dongyaba tharmai du. 
MAT.6.33	Odebani, sagangthao ha Madai ni raji jang boni dormo khe smaida lah, odese bo buthu khrip jinis khe nisi ne ri ma. 
MAT.6.34	Odebani, dakhna ni khlai hi waimu da nang, bede thikhade dakhna ni basain ha jar ni waimu jar ning khlai la nang. Sainsi ni khlai hi sainsi dukhu khlai kha ning ja kha.
MAT.7.1	Ning malai khe gajai ha da ri, ning khebo gajai rima se. 
MAT.7.2	Bede thikhade ning bede malai khe gajai riba, olei ning ningbo gajai ri jaoma se, ar ning snadi jang suba, bo suyaba jang ning ningbo sujao ma se. 
MAT.7.3	Snadi jabani jar ni muthai ha muphin gedeba dongyaba khe nuya hi malai ni muthai ha muphin basasa dongyaba khe ning nu ba? 
MAT.7.4	Ning jar ni muthai ha ning muphin gedeba dongyaba khe nuya hi nini daphlung ni muthai ha muphin dongyaba khe ‘a ne khaikho ri lah’ thi hi ning bede thiphu ba? 
MAT.7.5	O griklaiyaba, sagang ha nini muthai ni muphin khe khaikho da lah, odese nini daphlung ni muthai ni phrang muphin khaikho phu ma.
MAT.7.6	Gathar jinis khe sisa ne da ri, hono ni sagang habo guibi longthai khe da ri; boni igah bakhla ha gasep hi meser moso waikhli hi hamya khlai ma se.
MAT.7.7	Sain lah, odese ninthane ri ma, smai lah, odese nisi mai ma; 
