MAT.1.1	Lhibro de l’ourige de Jasus Cristo, filho de Dabide, filho de Abraan.
MAT.3.5	Benie a tener cun el giente de Jarusalen, de toda la Judeia i de toda la region alredror l Jordan. 
MAT.3.6	Cunfessában ls sous pecados i éran batizados por el ne l riu Jordan.
MAT.3.7	Al ber que muito fariseu i saduceu se benien a batizar, dixo-le: «Raça de bíboras, quien bos ansinou a scapar de la rábia que stá para benir? 
MAT.3.8	Fazei mas ye obras de berdadeiro arrependimiento 
MAT.3.9	i nun bos póngades a dezir uns pa ls outros: “Tenemos a Abraan cumo nuosso pai.” Puis you digo-bos que Dius puode fazer salir destas piedras a filhos d’Abraan. 
MAT.3.10	La machada yá stá puosta a la raiç de las arbles. Toda la arble que nun dir fruito buono será cortada i botada al lhume. 
MAT.3.11	You batizo-bos an auga para que bos arrepéndades, mas l que ha de benir apuis de mi ye más fuorte do que you i nien sequiera mereço lhebar ls çapatos del. El mesmo bos batizará ne l Sprito Santo i an fuogo. 
MAT.3.12	El tenerá na sue mano ũa pala de lhimpar i lhimpará las sues eiras i arrecadará l sou trigo ne l celeiro, mas queimará la palha nun fuogo que naide ye capaç de apagar.»
MAT.3.13	Anton, Jasus abaixou de la Galileia pa l riu Jordan i bieno a tener cun Juan, para ser batizado por el. 
MAT.3.14	Juan nun querie i dezie-le: «You ye que tengo de ser batizado por ti i sós tu que benes a tener cumigo?» 
MAT.3.15	Mas Jasus respundiu-le: «Por anquanto, deixa las cousas cumo stan, puis tenemos de fazer toda la justícia.» Anton, Juan cuncordou.
MAT.3.16	Mal apenas fui batizado, Jasus saliu de l’auga. Ende, l cielo abriu-se i el biu l Sprito de Dius a abaixar cumo ũa palomba i a pousar anriba del. 
MAT.3.17	Anton, ũa boç de l cielo dixo: «Este ye l miu mui amado Filho i tengo muita proua cun el.»
MAT.4.1	Anton, l Sprito lhebou a Jasus pa l zerto para que ende fura atentado pul demonho. 
MAT.4.2	Apuis de haber ayunado quarenta dies i quarenta nuites, dou-le la fame. 
MAT.4.3	Ende, l atentador achegou-se al pie de Jasus i dixo-Le: «Se sós l filho de Dius diç-le a estas piedras que se fágan an pan.» 
MAT.4.4	Jasus respundiu-le: «Stá screbido: 
MAT.4.5	Anton l diabro lhebou-lo a la cidade santa, puso-lo anriba la parte más alta de l templo 
MAT.4.6	i dixo-Le: «Se sós l filho de Dius bota-te deiqui abaixo, puis stá screbido: 
MAT.4.7	Jasus dixo-le: «Tamien stá screbido: 
MAT.4.8	L demonho lhebou-lo outra beç para un monte mui alto i amostrou-le todos ls reinos que habie pul mundo i las sues riquezas 
MAT.4.9	i dixo-Le: «Darei-te todas estas cousas se te botares por tierra i me adorares.» 
MAT.4.10	Ende, Jasus dixo-le: «Bai-te ambora Satanás, puis stá screbido: 
MAT.4.11	Anton, l diabro deixou-lo. Lhougo a seguir, benírun ls anjos de l Cielo i serbírun-lo.
MAT.4.12	Quando oubiu dezir que Juan fura preso, Jasus tornou pa la Galileia. 
MAT.4.13	Apuis, deixou la cidade de Nazaré i fui-se a morar para Cafarnaún, an pie l lhago, an tierra de Zabulon i Neftali, 
MAT.4.14	pa que se cumprira l que fui dezido pul porfeta Eisaías:
MAT.4.17	Dende an delantre, Jasus ampeçou a pregar, dezindo: «Arrependei-bos, puis ben ende l reino de ls cielos.»
MAT.4.18	Ũa beç, andaba Jasus an pie l lhago de la Galileia, biu dous armanos, Simon, que le chamában Pedro i Andrés, armano del, que andában a botar la rede al lhago, puis éran pescadores. 
MAT.4.19	I dixo-le: «Beni cumigo i fazerei de bós pescadores de homes.» 
MAT.4.20	Eilhes lhougo deixórun las redes i fúrun-se cun el. 
MAT.4.21	Fui andando i un cachico más alantre, biu outros dous armanos: Tiago, filho de Zebedeu, i l armano Juan, que stában na barca cul pai, Zebedeu, a cumponer las redes. Jasus chamou-los 
MAT.4.22	i eilhes lhougo deixórun la barca i l pai i fúrun-se atrás del.
MAT.4.23	Jasus andaba por to la Galileia, a ansinar nas sinagogas deilhes, pregando l Eibangeilho de l Reino i sanando todos ls achaques i males de l pobo. 
MAT.4.24	La fama del spalhou-se por toda la Síria i tráien-le todos ls que sufrien de malinas, ls que padecien de achaques i termientos, ls que tenien l demonho cun eilhes, ls lhunáticos i ls coixos, i sanou-los. 
MAT.4.25	I muita soma de giente fui atrás del, de la Galileia, de la Decápole, de Jarusalen i daquel lhado de l Jordan.
MAT.5.1	Al ber ls juntouros de giente, chubiu al monte. Mal apenas se sentou, ls sous deciplos achegórun-se para an pie del. 
MAT.5.2	Anton, abrindo la boca, ampeçou-le a ansinar, dezindo:
MAT.5.3	«Felizes ls probes an sprito,
MAT.5.3	porque deilhes ye l Reino de ls Cielos;
MAT.5.4	felizes ls que chóran,
MAT.5.4	porque eilhes seran cunselados;
MAT.5.5	felizes ls mansos,
MAT.5.5	porque eilhes han de recebir la tierra;
MAT.5.6	felizes ls que ténen fame i sede de justícia,
MAT.5.6	porque eilhes seran fartados;
MAT.5.7	felizes ls mezericordiosos,
MAT.5.7	porque alcaçaran mezericórdia;
MAT.5.8	felizes ls que ténen l coraçon puro,
MAT.5.8	porque eilhes beran a Dius;
MAT.5.9	felizes ls que son pessonas de paç,
MAT.5.9	porque le chamaran filhos de Dius;
MAT.5.10	felizes ls que súfren perseguiçon por bias de la justícia,
MAT.5.10	porque deilhes ye l Reino de ls Cielos;
MAT.5.11	felizes sereis quando faláren mal de bós i bos perseguíren i, ambentando mintiras, bos chamáren todos ls denomes possibles,
MAT.5.11	por bias de mi.
MAT.5.12	Cuntentai-bos porque la buossa paga ne l cielo será mui grande. Tamien assi fúrun perseguidos ls porfetas que bíbirun antes de bós.»
MAT.5.13	«Bós sodes l sal de la tierra. Mas se l sal perdir la sue fuorça, cun quei se bai a salgar? Yá nun sirbe para más nada senó para se botar pa la rue i ser pisado pulas pessonas.
MAT.5.14	Bós sodes la lhuç de l mundo. Nun se puode scunder ũa cidade custruída a la punta de riba dun cabeço 
MAT.5.15	i naide acende ũa candela pa la poner ambaixo dun alqueire, mas pa la çpindurar ne l belador para que alhumbre todos ls que stan an casa. 
MAT.5.16	Assi debe de alhumbrar la buossa lhuç delantre to la giente, para que béian las buossas buonas obras i lhóuben al buosso Pai que stá ne l cielo.»
MAT.5.17	«Nun cúidedes que you bin a acabar cula Lei ou culs Porfetas. You nun bin a acabar, mas para que cúmpran. 
MAT.5.18	Quedai bien ciertos de l que bos digo: Até que passe l cielo i la tierra, nien ũa sola lhetrica ou un solo puntico será apagado de la Lei, até que todas las cousas se cúmpran. 
MAT.5.19	Assi, quien nun respeitar nien que seia un de ls mandamentos mais pequeinhos i ansinar las pessonas a nun los respeitar, será l mais pequeinho de todos ne l Reino de ls Cielos. Mas quien oubrar i los ansinar, esse será chamado grande ne l Reino de ls Cielos. 
MAT.5.20	Mirai bien l que bos digo: A nun ser que la buossa justícia subirta porriba la de ls scribas i de ls fariseus, nun antrareis ne l Reino de ls Cielos.»
MAT.5.21	«Oubistes l que le fui dezido als antigos: 
MAT.5.22	Mas you digo-bos: Quien renhir cul armano del, será réu an tribunal; quien le chamar a sou armano “stúpido”, será réu ne l cunceilho; quien le chamar a sou armano “boubo”, será réu nas perfundas de ls einfiernos. 
MAT.5.23	Se stubires a fazer la tue oufierta an pie l altar i ende te lhembrares que tou armano ten algo contra ti, 
MAT.5.24	deixa la tue oufierta delantre l altar i bai purmeiro a fazer las pazes cun tou armano. Apuis ben i fai la tue oufierta. 
MAT.5.25	Pon-te d’a bien cun l que stá contra ti anquanto bás pul camino cun el, nun baia el a antregá-te al juiç i l juiç a antregá-te al guarda i seias metido na cadena. 
MAT.5.26	Queda bien cierto de l que te digo: Nun has de salir dalhá anquanto nun pagares l redadeiro céntimo.»
MAT.5.27	«Oubistes l que fui dezido: 
MAT.5.28	Mas you digo-bos: Quien mirar para ũa mulhier cul sentido de la querer par’el, yá cometiu adultério cun eilha ne l sou coraçon. 
MAT.5.29	Porque se l tou uolho de la dreita ye pra ti un tropieço, arrinca-lo i atira cun el para bien loinge; puis ye melhor para ti que se perda ũa parte de l tou cuorpo, do que l tou cuorpo seia atirado, junto i anteiro, pa l einfierno. 
MAT.5.30	I se la tue mano dreita te fai tropeçar, corta-la i atira cun eilha para bien loinge; puis ye melhor para ti que se perda ũa parte de l tou cuorpo, do que l tou cuorpo seia atirado, junto i anteiro, pa l einfierno.»
MAT.5.31	«Tamien fui dezido: 
MAT.5.32	Mas you digo-bos a bós: Todo aquel que se zbroçar de la sue mulhier, a nun ser que eilha lo tenga anganhado cun outro, deia-le carta de deborço; i quien se casar cun ũa mulhier zbroçada, comete adultério.»
MAT.5.33	«Tamien oubistes que le fui dezido als antigos: 
MAT.5.34	Mas you digo-bos: Nunca fágades juras, nien pul Cielo, porque ye l trono de Dius, 
MAT.5.35	nien pula tierra, porque ye l scanho de ls pies del, nien por Jarusalen, porque ye la cidade de l grande Rei; 
MAT.5.36	nien jurarás pula tue cabeça, porque nun ten l poder de tornar, nien que seia un pelo, branco ou negro. 
MAT.5.37	Que la buossa fala seia: “Si, si”, “nó, nó”; porque todo l que passar dende, ben de l diabro.»
MAT.5.38	«Oubistes l que fui dezido: 
MAT.5.39	Mas you digo-bos: Nun rejístades a quien ye malo; mas se alguien te dir na cara de l lhado dreito, ouferece-le tamien la outra; 
MAT.5.40	i a aquel que quier ir cuntigo a tribunal para te tirar la túnica, antrega-le tamien la capa; 
MAT.5.41	i a quien te oubrigar a dar mil passos, bai cun el dous mil. 
MAT.5.42	A quien te pedir, dá-le i a quien te pedir amprestado, nun le buolbas las cuostas.»
MAT.5.43	«Oubistes l que fui dezido: 
MAT.5.44	Mas you digo-bos: Amai ls buossos einemigos i rezai por aqueilhes que bos persíguen, 
MAT.5.45	para que séiades filhos de buosso Pai que stá ne ls cielos, porque el fai nacer l sou sol porriba ls malos i ls buonos i fai chober porriba ls justos i ls anjustos.
MAT.5.46	Porque se amardes ls que bos áman a bós, que bantaige tenereis? Nun son tamien essas las cousas que fáien ls arrecolhedores de la décima? 
MAT.5.47	I se dirdes ls buonos dies solo als buossos armanos, fazeis algo de mais? Nun ye tamien l mesmo que fáien ls gentius? 
MAT.5.48	Anton, sede purfeitos, tal i qual cumo ye purfeito l buosso Pai celhestre.»
MAT.6.1	«Mirai bien, que nun fágades la buossa justícia delantre las pessonas para que séiades bistos por eilhas; senó nun tenereis niũa paga de l buosso Pai que stá ne ls cielos.
MAT.6.2	Quando dires smola, nun deixes tocar la corneta delantre de ti, cumo fázen ls falsos nas sinagogas i nas rues, para tenéren l galardon de las pessonas. Quedai bien ciertos de l que bos digo: Yá recebírun la sue paga. 
MAT.6.3	Mas quando dires smola, que la tue mano squierda nun saba l que fai la tue mano dreita, 
MAT.6.4	pa que la tue smola quede an segredo i tou Pai, que bei an sítios scundidos, te dará la paga.»
MAT.6.5	«Quando rezardes, nun séiades cumo ls falsos, que gústan de rezar de pies nas sinagogas i nas squinas de las praças, pa que séian bistos pulas pessonas. Quedai bien ciertos de l que bos digo: Yá recebírun la sue paga. 
MAT.6.6	Mas tu, quando rezares, entra an tou quarto i, apuis de cerrar la puorta, reza-le a tou Pai, que stá nun sítio scundido; i tou Pai, que bei an sítios scundidos, te dará la paga.
MAT.6.7	Quando rezardes, nun quérgades falar muito cumo fázen ls gentius, puis cúidan que por muito faláren seran oubidos. 
MAT.6.8	Nun bos quérgades acumparar a eilhes, porque l buosso Pai sabe l que bós teneis percison antes de se lo pedirdes. 
MAT.6.9	Bós rezareis assi:
MAT.6.9	Pai nuosso, que stais ne l cielo,
MAT.6.9	santeficado seia l buosso nome,
MAT.6.10	benga l buosso reino,
MAT.6.10	faga-se la buossa buntade,
MAT.6.10	tanto ne l cielo cumo na tierra.
MAT.6.11	Dai-mos hoije l pan pa l nuosso sustento
MAT.6.12	i perdonai-mos las nuossas díbedas,
MAT.6.12	assi cumo nós tamien le perdonamos als nuossos debedores;
MAT.6.13	i nun mos déixedes lhebar pula tentacion,
MAT.6.13	mas lhibrai-mos de l Mal.
MAT.6.14	Se le perdonardes a las pessonas las oufénsias deilhas, tamien l buosso Pai celhestre bos perdonará a bós; 
MAT.6.15	mas se nun le perdonardes a las pessonas, tamien l buosso Pai nun bos perdonará las buossas oufénsias.»
MAT.6.16	«Quando ayunais, nun bos quérgades poner tristes cumo ls falsos, puis zafigúran l rostro para le amostráren a las pessonas que stan a ayunar. Quedai bien ciertos de l que bos digo: Yá recebírun la sue paga. 
MAT.6.17	Mas tu, quando ayunas, aperfuma la tue cabeça i lhaba la tue cara, 
MAT.6.18	pa que nun le amostres a las pessonas que stás a ayunar, mas a tou Pai que stá an sítio scundido; i tou Pai, que bei an sítios scundidos, te dará la paga.»
MAT.6.19	«Nun quérgades amuntonar para bós tesouros na tierra, adonde la ferruge i ls brugos dan cabo deilhes i adonde ls lhadrones ls zantérran i róuban. 
MAT.6.20	Amuntonai tesouros ne l cielo, adonde nien la ferruge nien ls brugos dan cuonta deilhes; 
MAT.6.21	porque adonde stá l tou tesouro, ende stará tamien l tou coraçon.
MAT.6.22	La linterna de l cuorpo ye l uolho. Assi, se l tou uolho fur hounesto, todo l tou cuorpo tenerá lhuç; 
MAT.6.23	mas se l tou uolho fur malo, todo l tou cuorpo stará a las scuras. Se la lhuç que stá an ti fur scuridon, anton bien grande scuridon ha de haber!
MAT.6.24	Naide puode serbir a dous amos: ou le ha de tener rábia a un i gustar de l outro ou ha de afeiçonar-se a un i çpreziar l outro; nun podeis serbir a Dius i al denheiro.
MAT.6.25	Digo-bos, anton: Nun stéiades acupados cula buossa alma subre l que heis de quemer, nien cul buosso cuorpo subre l quei bestir. Nun ye berdade que l’alma bal mais do que l quemido i l cuorpo mais do que l bestido? 
MAT.6.26	Mirai ls paixaricos de l cielo, que nun sémbran nien ségan nien ínchen las tulhas, mas l buosso Pai celhestre sustenta-los. Nun ye berdade que bós sodes muito mais do que eilhes? 
MAT.6.27	Quien hai antre bós que seia capaç, cul pensamiento, de aquercentar, nien que seia un cobdo, a la sue bida?
MAT.6.28	I cula bestimienta, porque andais cun cobradeiros de cabeça? Mirai cumo crécen ls lírios de l monte: nun trabálhan nien fílan. 
MAT.6.29	Digo-bos you que nien Salomon an toda la sue glória nun se bestiu tan bien cumo un deilhes. 
MAT.6.30	Se anté a ũa yerba de l monte, que hoije eisiste i manhana ye botada a la fornalha, Dius la biste dessa maneira, aquantas mais a bós, giente de pouca fé?
MAT.6.31	Nun ándedes cun cobradeiros de cabeça dezindo: “L quei hemos de quemer?” ou “l quei hemos de buer?” ou “l quei hemos de bestir?” 
MAT.6.32	Son ls gentius que pássan l tiempo a saber destas cousas todas; mas l buosso Pai celhestre sabe que teneis percison dessas cousas todas. 
MAT.6.33	Buscai purmeiro l reino de Dius i la sue justícia, i todas essas cousas bos seran aquercentadas. 
MAT.6.34	Nun quérgades andar acupados cul die de manhana, porque l die de manhana tamien tenerá ls sous porblemas. Bonda-le a cada die l sou trabalho.»
MAT.7.1	«Nun júlguedes, para que nun séiades julgados; 
MAT.7.2	porque cul juízo cun que julgardes, sereis julgados i pula medida cun que medirdes, bos será medido. 
MAT.7.3	Porque bés un cisco ne l uolho de tou armano i nun bés un cantiado ne l tou uolho? 
MAT.7.4	Ou cumo tenes coraige de le dezir a tou armano: “Deixa-me tirar l cisco de l tou uolho”, tu que tenes un cantiado ne l tou uolho? 
MAT.7.5	Falso, tira purmeiro l cantiado de l tou uolho i apuis berás para tirar l cisco de l uolho de tou armano.»
MAT.7.6	«Nun le quérgades dar l que ye santo als perros, nien le bótedes las buossas perlas als cochinos, nun se deia l causo de las pisáren culs pies i se buolban a bós i déian cabo de bós.»
MAT.7.7	«Pedi i daran-bos; buscai i achareis; batei i abriran-bos la puorta. 
MAT.7.8	Porque todo l que pide, recibe, l que busca, acha i al que bate le abriran la puorta. 
MAT.7.9	Hai algun home antre bós que, se l filho del le pedir pan, le deia ũa piedra? 
MAT.7.10	Ou se le pedir un peixe, le deia ũa queluobra? 
MAT.7.11	Assi, se bós, anque séiades malos, sabeis dar cousas buonas als buossos filhos, aquantas mais l buosso Pai, que stá ne ls cielos, bos dará las cousas buonas que le pedirdes.»
MAT.7.12	«Todo l que quérgades que las outras pessonas bos fágan, tamien bós se lo debeis fazer a eilhas, porque esta ye la Lei i ls Porfetas.»
MAT.7.13	«Antrai pula puorta streita, porque ye grande la puorta i ancho l camino que lhieban a la perdiçon i son muitos ls que éntran por alhá. 
MAT.7.14	Ye streita la puorta i apertado l camino que lhieba a la bida i son poucos ls que dan cun eilha.»
MAT.7.15	«Lhibrai-bos de ls falsos porfetas, que bénen a tener cun bós bestidos de canhona, mas andrento son lhobos malos. 
MAT.7.16	Puls fruitos deilhes los coincereis: acauso se dan ubas ne ls spineiros ou figos ne ls abrolhos? 
MAT.7.17	Toda la arble buona dá fruitos buonos, mas l’arble braba dá fruitos malos: 
MAT.7.18	l’arble buona nun puode dar fruitos malos, nien la arble braba dar fruitos buonos. 
MAT.7.19	Toda l’arble que nun dá fruitos buonos, corta-se i bota-se al lhume. 
MAT.7.20	Ye puls fruitos deilhes que los coincereis.
MAT.7.21	Nien todo l que me diç “Senhor, Senhor”, antrará ne l reino de ls cielos, mas l que fai la buntade de miu pai que stá ne l cielo, esse si antrará ne l reino de ls cielos. 
MAT.7.22	Muitos deziran-me naquel die, “Senhor, Senhor, nun fui an tou nome que porfetizemos, an tou nome que botemos ls demonhos para fuora i an tou nome que fazimos muito milagre?” 
MAT.7.23	Ende, you dezirei-le: “Nunca soube quien érades; sali d’an pie de mi, bós que solo sabeis fazer mal.”»
MAT.7.24	«Quien oube las mies palabras i las pon an prática ye aparecido al home sabido, que fizo la sue casa anriba de peinha: 
MAT.7.25	caiu auga, benírun mundiadas, alhebantórun-se airaçadas i atirórun-se acontra aqueilha casa, mas eilha nun se caiu pus tenie ls aliçaces anriba de peinha. 
MAT.7.26	Mas l que oube las mies palabras i nun las pon an prática ye aparecido a aquel home sien miolho que fizo la sue casa anriba d’arena: 
MAT.7.27	caiu auga, benírun mundiadas, alhebantórun-se airaçadas i atirórun-se acontra aqueilha casa i eilha caiu-se quedando feita nun sbarrulho.»
MAT.7.28	Quando Jasus acabou de dezir estas palabras todo mundo quedou mui admirado culas cousas que el ansinaba, 
MAT.7.29	puis ansinaba-los cumo quien ten outoridade i nó cumo ls scribas deilhes.
MAT.8.1	Quando abaixaba de l monte, muita soma de giente bieno atrás del. 
MAT.8.2	Bieno un lheproso achegou-se an pie del i atirou-se por tierra, dezindo-le: «Senhor, se tu quejires, puodes lhimpar-me.» 
MAT.8.3	I sticando la mano topou nel, dezindo: «Quiero, queda lhimpo.» I nun sfergante quedou lhimpo de la lhepra del. 
MAT.8.4	Dixo-le, apuis, Jasus: «Mira, nun se lo digas a naide, mas bai-te i amostra-te als saçardotes i fai l’oufierta que Moisés mandou, para que sirba de teçtemunho para eilhes.»
MAT.8.5	Mal apenas habie antrado an Cafarnaún, bieno a tener cun el un centurion que le pediu, 
MAT.8.6	dezindo: «Senhor, l miu criado stá coixo an casa i cun delores que nun ye capaç de aguantar.» 
MAT.8.7	I dixo-le: «You bou alhá a saná-lo.» 
MAT.8.8	Respundendo-le l centurion, dixo: «Senhor, nun sou merecedor de que entres ambaixo l miu telhado, mas diç ũa sola palabra i l miu criado quedará sano. 
MAT.8.9	Porque tamien you sou un home que tengo poderes arriba de mi i tengo suldados a las mies ordes i digo-le a un: “Bai”, i el bai; i a outro: “Ben”, i el ben; i al miu criado: “Fai”, i el fai.» 
MAT.8.10	Al oubir estas cousas, Jasus quedou mui admirado i dixo-le a las pessonas que benien atrás del: «Quedai bien ciertos de l que bos digo: An mais naide achei tanta fé an Eisrael. 
MAT.8.11	Digo-bos you que han de benir muitos de l ouriente i de l oucidente para se sentar a la mesa cun Abraan, Eisaac i Jacó ne l Reino de ls Cielos; 
MAT.8.12	anquanto ls filhos de l reino seran atirados para fuora, pa la scuridon. Ende haberá choro i terrincar de dientes.» 
MAT.8.13	I Jasus dixo-le al centurion: «Bai pa tue casa; que seia todo cumo acraditeste.» I naqueilha mesma hora l criado quedou sano.
MAT.8.14	Indo, apuis, Jasus a la casa de Pedro, biu la suogra del deitada i cun un febre mui fuorte. 
MAT.8.15	Topou-le na mano i l febre lhougo la deixou. Eilha alhebantou-se i puso-se a serbi-lo.
MAT.8.16	A la nuitica apersentórun-se-le muitas pessonas que tenien l demonho andrento deilhas; i cula sue palabra botaba ls spritos para fuora i sanou todos ls que tenien algun mal, 
MAT.8.17	para que se cumprira l que fui dezido pul porfeta Eisaías: 
MAT.8.18	Anton, bendo Jasus tan grandes juntouros de pessonas alredror del, mandou-los ir pa l lhado d’alhá. 
MAT.8.19	Achegando-se un scriba, dixo-le: «Senhor, hei-de ir atrás de ti para dondequiera que baias.» 
MAT.8.20	I Jasus dixo-le: «Las raposas ténen madrigueiras i las abes de l cielo nius, mas l Filho de l Home nun ten adonde ancostar la cabeça.»
MAT.8.21	Apuis, outro que era deciplo del dixo-le: «Senhor, deixa-me ir purmeiro a anterrar a miu pai.» 
MAT.8.22	Mas Jasus dixo-le: «Sigue-me i deixa que ls muortos antérren ls muortos deilhes.»
MAT.8.23	Chubindo-se el pa la barca, ls deciplos fúrun-se atrás del. 
MAT.8.24	Lhougo a seguir armou-se ne l mar ũa termienta tan fuorte que la barquita era cubierta pulas óndias; nesse antretiempo, el staba a drumir. 
