GEN.1.1	Im Anfang schuf Gott die Himmel 
GEN.3.23	Und Jehova Gott schickte ihn aus dem Garten Eden hinaus, um den Erdboden zu bebauen, davon er genommen war; 
GEN.3.24	und er trieb den Menschen aus und ließ lagern gegen Osten vom Garten Eden die Cherubim und die Flamme des kreisenden Schwertes, um den Weg zum Baume des Lebens zu bewahren.
GEN.4.1	Und der Mensch erkannte Eva, sein Weib, und sie ward schwanger und gebar Kain; 
GEN.4.2	Und sie gebar ferner seinen Bruder, den Abel. 
GEN.4.3	Und es geschah nach Verlauf einer Zeit, da brachte Kain dem Jehova eine Opfergabe von der Frucht des Erdbodens; 
GEN.4.4	und Abel, auch er brachte von den Erstlingen seiner Herde 
GEN.4.5	aber auf Kain und auf seine Opfergabe blickte er nicht. Und Kain ergrimmte sehr, und sein Antlitz senkte sich.
GEN.4.6	Und Jehova sprach zu Kain: Warum bist du ergrimmt, und warum hat sich dein Antlitz gesenkt? 
GEN.4.7	Ist es nicht so, daß es sich erhebt, wenn du wohl tust? 
GEN.4.8	Und Kain sprach zu seinem Bruder Abel; und es geschah, als sie auf dem Felde waren, da erhob sich Kain wider seinen Bruder Abel und erschlug ihn.
GEN.4.9	Und Jehova sprach zu Kain: Wo ist dein Bruder Abel? Und er sprach: Ich weiß nicht; bin ich meines Bruders Hüter? 
GEN.4.10	Und er sprach: Was hast du getan! Horch! Das Blut deines Bruders schreit zu mir 
GEN.4.11	Und nun, verflucht seiest du von dem Erdboden hinweg, der seinen Mund aufgetan hat, das Blut deines Bruders von deiner Hand zu empfangen! 
GEN.4.12	Wenn du den Erdboden bebaust, soll er dir hinfort seine Kraft nicht geben; unstet und flüchtig sollst du sein auf der Erde.
GEN.4.13	Und Kain sprach zu Jehova: Zu groß ist meine Strafe, um sie zu tragen. 
GEN.4.14	Siehe, du hast mich heute von der Fläche des Erdbodens vertrieben, und ich werde verborgen sein vor deinem Angesicht und werde unstet und flüchtig sein auf der Erde; und es wird geschehen: wer irgend mich findet, wird mich erschlagen. 
GEN.4.15	Und Jehova sprach zu ihm: Darum, jeder, der Kain erschlägt siebenfältig soll es gerächt werden. Und Jehova machte an Kain ein Zeichen, auf daß ihn nicht erschlüge, wer irgend ihn fände.
GEN.4.16	Und Kain ging weg von dem Angesicht Jehovas und wohnte im Lande Nod, 
GEN.4.17	Und Kain erkannte sein Weib, und sie ward schwanger und gebar Hanoch. Und er baute eine Stadt und benannte die Stadt 
GEN.4.18	Und dem Hanoch wurde Irad geboren; und Irad zeugte Mehujael, und Mehujael zeugte Methusael, und Methusael zeugte Lamech.
GEN.4.19	Und Lamech nahm sich zwei Weiber; der Name der einen war Ada, und der Name der anderen Zilla. 
GEN.4.20	Und Ada gebar Jabal; dieser war der Vater der Zeltbewohner und Herdenbesitzer. 
GEN.4.21	Und der Name seines Bruders war Jubal; dieser war der Vater aller derer, welche mit der Laute 
GEN.4.22	Und Zilla, auch sie gebar Tubalkain, einen Hämmerer von allerlei Schneidewerkzeug aus Erz und Eisen. Und die Schwester Tubalkains war Naama.
GEN.4.23	Und Lamech sprach zu seinen Weibern: Ada und Zilla, höret meine Stimme; Weiber Lamechs, horchet auf meine Rede! Einen Mann 
GEN.4.24	Wenn Kain siebenfältig gerächt wird, so Lamech siebenundsiebzigfältig.
GEN.4.25	Und Adam erkannte abermals sein Weib, und sie gebar einen Sohn und gab ihm den Namen Seth; 
GEN.4.26	Und dem Seth, auch ihm wurde ein Sohn geboren, und er gab ihm den Namen Enos. 
GEN.5.1	Dies ist das Buch von Adams Geschlechtern. An dem Tage, da Gott Adam schuf, machte er ihn im Gleichnis Gottes. 
GEN.5.2	Mann und Weib 
GEN.5.3	Und Adam lebte 130 Jahre und zeugte einen Sohn in seinem Gleichnis, nach seinem Bilde, und gab ihm den Namen Seth. 
GEN.5.4	Und die Tage Adams, nachdem er Seth gezeugt hatte, waren 800 Jahre, und er zeugte Söhne und Töchter. 
GEN.5.5	Und alle Tage Adams, die er lebte, waren 930 Jahre, und er starb. -
GEN.5.6	Und Seth lebte 105 Jahre und zeugte Enos. 
GEN.5.7	Und Seth lebte, nachdem er Enos gezeugt hatte, 807 Jahre und zeugte Söhne und Töchter. 
GEN.5.8	Und alle Tage Seths waren 912 Jahre, und er starb. - 
GEN.5.9	Und Enos lebte 90 Jahre und zeugte Kenan. 
GEN.5.10	Und Enos lebte, nachdem er Kenan gezeugt hatte, 815 Jahre und zeugte Söhne und Töchter. 
GEN.5.11	Und alle Tage Enos waren 905 Jahre, und er starb. - 
GEN.5.12	Und Kenan lebte 70 Jahre und zeugte Mahalalel. 
GEN.5.13	Und Kenan lebte, nachdem er Mahalalel gezeugt hatte, 840 Jahre und zeugte Söhne und Töchter. 
GEN.5.14	Und alle Tage Kenans waren 910 Jahre, und er starb. - 
GEN.5.15	Und Mahalalel lebte 65 Jahre und zeugte Jered. 
GEN.5.16	Und Mahalalel lebte, nachdem er Jered gezeugt hatte, 830 Jahre und zeugte Söhne und Töchter. 
GEN.5.17	Und alle Tage Mahalalels waren 895 Jahre, und er starb. - 
GEN.5.18	Und Jered lebte 162 Jahre und zeugte Henoch. 
GEN.5.19	Und Jered lebte, nachdem er Henoch gezeugt hatte, 800 Jahre und zeugte Söhne und Töchter. 
GEN.5.20	Und alle Tage Jereds waren 962 Jahre, und er starb. -
GEN.5.21	Und Henoch lebte 65 Jahre und zeugte Methusalah. 
GEN.5.22	Und Henoch wandelte mit Gott, nachdem er Methusalah gezeugt hatte, 300 Jahre und zeugte Söhne und Töchter. 
GEN.5.23	Und alle Tage Henochs waren 365 Jahre. 
GEN.5.24	Und Henoch wandelte mit Gott; und er war nicht mehr, denn Gott nahm ihn hinweg. -
GEN.5.25	Und Methusalah lebte 187 Jahre und zeugte Lamech. 
GEN.5.26	Und Methusalah lebte, nachdem er Lamech gezeugt hatte, 782 Jahre und zeugte Söhne und Töchter. 
GEN.5.27	Und alle Tage Methusalahs waren 969 Jahre, und er starb. -
GEN.5.28	Und Lamech lebte 182 Jahre und zeugte einen Sohn. 
GEN.5.29	Und er gab ihm den Namen Noah, 
GEN.5.30	Und Lamech lebte, nachdem er Noah gezeugt hatte, 595 Jahre und zeugte Söhne und Töchter. 
GEN.5.31	Und alle Tage Lamechs waren 777 Jahre, und er starb. - 
GEN.5.32	Und Noah war 500 Jahre alt; und Noah zeugte Sem, 
GEN.6.1	Und es geschah, als die Menschen begannen sich zu mehren auf der Fläche des Erdbodens, und ihnen Töchter geboren wurden, 
GEN.6.2	da sahen die Söhne Gottes, daß die Töchter der Menschen schön waren, und sie nahmen sich zu Weibern, welche sie irgend erwählten.
GEN.6.3	Und Jehova sprach: Mein Geist soll nicht ewiglich mit dem Menschen rechten, da er ja Fleisch ist; und seine Tage seien 120 Jahre.
GEN.6.4	In jenen Tagen waren die Riesen auf der Erde, und auch nachher, als 
GEN.6.5	Und Jehova sah, daß des Menschen Bosheit groß war auf Erden und alles Gebilde der Gedanken seines Herzens nur böse den ganzen Tag.
GEN.6.6	Und es reute Jehova, daß er den Menschen gemacht hatte auf der Erde, und es schmerzte ihn in sein Herz hinein. 
GEN.6.7	Und Jehova sprach: Ich will den Menschen, den ich geschaffen habe, von der Fläche des Erdbodens vertilgen, vom Menschen bis zum Vieh, bis zum Gewürm und bis zum Gevögel des Himmels; denn es reut mich, daß ich sie gemacht habe.
GEN.6.8	Noah aber fand Gnade in den Augen Jehovas. 
GEN.6.9	Dies ist die Geschichte Noahs: Noah war ein gerechter, vollkommener 
GEN.6.10	Und Noah zeugte drei Söhne: Sem, Ham und Japhet.
GEN.6.11	Und die Erde war verderbt vor Gott, und die Erde war voll Gewalttat. 
GEN.6.12	Und Gott sah die Erde, und siehe, sie war verderbt; denn alles Fleisch hatte seinen Weg verderbt auf Erden.
GEN.6.13	Und Gott sprach zu Noah: Das Ende alles Fleisches ist vor mich gekommen; denn die Erde ist voll Gewalttat durch sie; und siehe, ich will sie verderben mit der Erde. 
GEN.6.14	Mache dir eine Arche von Gopherholz; mit Kammern sollst du die Arche machen und sie von innen und von außen mit Harz verpichen. 
GEN.6.15	Und also sollst du sie machen: Dreihundert Ellen sei die Länge der Arche, fünfzig Ellen ihre Breite und dreißig Ellen ihre Höhe. 
GEN.6.16	Eine Lichtöffnung 
GEN.6.17	Denn ich, siehe, ich bringe die Wasserflut über die Erde, um alles Fleisch unter dem Himmel zu verderben, in welchem ein Hauch des Lebens ist; alles, was auf der Erde ist, soll verscheiden. 
GEN.6.18	Aber mit dir will ich meinen Bund errichten, und du sollst in die Arche gehen, du und deine Söhne und dein Weib und die Weiber deiner Söhne mit dir. 
GEN.6.19	Und von allem Lebendigen, von allem Fleische, zwei von jeglichem sollst du in die Arche bringen, um sie mit dir am Leben zu erhalten; ein Männliches und ein Weibliches sollen sie sein. 
GEN.6.20	Von dem Gevögel nach seiner Art und von dem Vieh nach seiner Art, von allem Gewürm des Erdbodens nach seiner Art: zwei von jeglichem sollen zu dir hineingehen, um sie am Leben zu erhalten. 
GEN.6.21	Und du, nimm dir von aller Speise, die gegessen wird und sammle sie bei dir auf, daß sie dir und ihnen zur Nahrung sei.
GEN.6.22	Und Noah tat es; nach allem, was Gott ihm geboten hatte, also tat er.
GEN.7.1	Und Jehova sprach zu Noah: Gehe in die Arche, du und dein ganzes Haus; denn dich habe ich gerecht vor mir erfunden in diesem Geschlecht. 
GEN.7.2	Von allem reinen Vieh sollst du sieben und sieben zu dir nehmen, ein Männchen und sein Weibchen; und von dem Vieh, das nicht rein ist, zwei, ein Männchen und sein Weibchen; 
GEN.7.3	auch von dem Gevögel des Himmels sieben und sieben, ein Männliches und ein Weibliches: um Samen am Leben zu erhalten auf der Fläche der ganzen Erde. 
GEN.7.4	Denn in noch sieben Tagen, so lasse ich auf die Erde regnen vierzig Tage und vierzig Nächte und werde vertilgen von der Fläche des Erdbodens alles Bestehende, das ich gemacht habe. -
GEN.7.5	Und Noah tat nach allem, was Jehova ihm geboten hatte. 
GEN.7.6	Und Noah war 600 Jahre alt, als die Flut kam, Wasser über die Erde. 
GEN.7.7	Und Noah und seine Söhne und sein Weib und die Weiber seiner Söhne mit ihm gingen in die Arche vor den Wassern der Flut. 
GEN.7.8	Von dem reinen Vieh und von dem Vieh, das nicht rein ist, und von dem Gevögel und von allem, was sich auf dem Erdboden regt, 
GEN.7.9	kamen zwei und zwei 
GEN.7.10	Und es geschah nach sieben Tagen, da kamen die Wasser der Flut über die Erde.
GEN.7.11	Im 600. Jahre des Lebens Noahs, im zweiten Monat, am siebzehnten Tage des Monats, an diesem Tage brachen auf alle Quellen der großen Tiefe, und die Fenster des Himmels taten sich auf. 
GEN.7.12	Und der Regen fiel auf die Erde vierzig Tage und vierzig Nächte.
GEN.7.13	An ebendemselben Tage gingen Noah und Sem und Ham und Japhet, die Söhne Noahs, und das Weib Noahs und die drei Weiber seiner Söhne mit ihnen in die Arche: 
GEN.7.14	sie und alles Getier nach seiner Art und alles Vieh nach seiner Art und alles Gewürm, das sich auf der Erde regt, nach seiner Art und alles Gevögel nach seiner Art, jeder Vogel von allerlei Gefieder. 
GEN.7.15	Und sie gingen zu Noah in die Arche, je zwei und zwei von allem Fleische, in welchem ein Hauch des Lebens war. 
GEN.7.16	Und die hineingingen, waren 
GEN.7.17	Und die Flut kam vierzig Tage lang über die Erde. Und die Wasser mehrten sich und hoben die Arche empor; und sie erhob sich über die Erde. 
GEN.7.18	Und die Wasser nahmen überhand und mehrten sich sehr auf der Erde; und die Arche fuhr auf der Fläche der Wasser. 
GEN.7.19	Und die Wasser nahmen gar sehr überhand auf der Erde, und es wurden bedeckt alle hohen Berge, die unter dem ganzen Himmel sind. 
GEN.7.20	Fünfzehn Ellen darüber nahmen die Wasser überhand, und die Berge wurden bedeckt.
GEN.7.21	Da verschied alles Fleisch, das sich auf der Erde regte, an Gevögel und an Vieh und an Getier und an allem Gewimmel, das auf der Erde wimmelte, und alle Menschen; 
GEN.7.22	alles starb, in dessen Nase ein Odem des Lebenshauches war, von allem, was auf dem Trockenen war. 
GEN.7.23	Und vertilgt wurde 
GEN.7.24	Und die Wasser hatten überhand auf der Erde 150 Tage.
GEN.8.1	Und Gott gedachte des Noah und alles Getieres und alles Viehes, das mit ihm in der Arche war; und Gott ließ einen Wind über die Erde fahren, und die Wasser sanken. 
GEN.8.2	Und es wurden verschlossen die Quellen der Tiefe und die Fenster des Himmels, und dem Regen vom Himmel ward gewehrt. 
GEN.8.3	Und die Wasser wichen von der Erde, fort und fort weichend; und die Wasser nahmen ab nach Verlauf von 150 Tagen.
GEN.8.4	Und im siebten Monat, am siebzehnten Tage des Monats, ruhte die Arche auf dem Gebirge Ararat. 
GEN.8.5	Und die Wasser nahmen fort und fort ab bis zum zehnten Monat; im zehnten Monat, am Ersten des Monats, wurden die Spitzen der Berge sichtbar.
GEN.8.6	Und es geschah nach Verlauf von vierzig Tagen, da öffnete Noah das Fenster der Arche, das er gemacht hatte, und ließ den Raben aus; 
GEN.8.7	und der flog hin und wieder, bis die Wasser von der Erde vertrocknet waren. 
GEN.8.8	Und er ließ die Taube von sich aus, um zu sehen, ob die Wasser sich verlaufen hätten von der Fläche des Erdbodens; 
GEN.8.9	aber die Taube fand keinen Ruheplatz für ihren Fuß 
GEN.8.10	Und er wartete noch sieben andere Tage und ließ die Taube abermals aus der Arche; 
GEN.8.11	und die Taube kam zu ihm um die Abendzeit, und siehe, ein abgerissenes Olivenblatt war in ihrem Schnabel. Und Noah erkannte, daß die Wasser sich verlaufen hatten von der Erde. 
GEN.8.12	Und er wartete noch sieben andere Tage und ließ die Taube aus; und sie kehrte hinfort nicht wieder zu ihm zurück.
GEN.8.13	Und es geschah im 601. Jahre, im ersten Monat, am Ersten des Monats, da waren die Wasser von der Erde vertrocknet. Und Noah tat die Decke von der Arche und sah: und siehe, die Fläche des Erdbodens war getrocknet. 
GEN.8.14	Und im zweiten Monat, am 27. Tage des Monats, war die Erde trocken.
GEN.8.15	Und Gott redete zu Noah und sprach: 
GEN.8.16	Gehe aus der Arche, du und dein Weib und deine Söhne und die Weiber deiner Söhne mit dir. 
GEN.8.17	Alles Getier, das bei dir ist, von allem Fleische, an Gevögel und an Vieh und an allem Gewürm, das sich auf der Erde regt, laß mit dir hinausgehen, daß sie wimmeln auf Erden und fruchtbar seien und sich mehren auf Erden. 
GEN.8.18	Und Noah ging hinaus und seine Söhne und sein Weib und die Weiber seiner Söhne mit ihm. 
GEN.8.19	Alles Getier, alles Gewürm und alles Gevögel, alles was sich auf der Erde regt, nach ihren Arten, gingen aus der Arche.
GEN.8.20	Und Noah baute Jehova einen Altar; und er nahm von allem reinen Vieh und von allem reinen Gevögel und opferte Brandopfer auf dem Altar. 
GEN.8.21	Und Jehova roch den lieblichen Geruch, 
GEN.8.22	Forthin, alle Tage der Erde, sollen nicht aufhören Saat und Ernte, und Frost und Hitze, und Sommer und Winter, und Tag und Nacht.
GEN.9.1	Und Gott segnete Noah und seine Söhne und sprach zu ihnen: Seid fruchtbar und mehret euch und füllet die Erde; 
GEN.9.2	und die Furcht und der Schrecken vor euch sei auf allem Getier der Erde und auf allem Gevögel des Himmels! Alles, was sich auf dem Erdboden regt, und alle Fische des Meeres, in eure Hände sind sie gegeben: 
GEN.9.3	alles, was sich regt, was da lebt, soll euch zur Speise sein; wie das grüne Kraut gebe ich es euch alles. 
GEN.9.4	Nur das Fleisch mit seiner Seele, seinem Blute, sollt ihr nicht essen; 
GEN.9.5	und wahrlich, euer Blut, nach euren Seelen, werde ich fordern; 
GEN.9.6	Wer Menschenblut vergießt, durch den Menschen soll sein Blut vergossen werden; denn im Bilde Gottes hat er den Menschen gemacht. 
GEN.9.7	Ihr nun, seid fruchtbar und mehret euch, wimmelt auf der Erde und mehret euch auf ihr!
GEN.9.8	Und Gott sprach zu Noah und zu seinen Söhnen mit ihm und sagte: 
GEN.9.9	Und ich, siehe, ich errichte meinen Bund mit euch und mit eurem Samen nach euch; 
GEN.9.10	und mit jedem lebendigen Wesen, das bei euch ist, an Gevögel, an Vieh und an allem Getier der Erde bei euch, was irgend von allem Getier der Erde aus der Arche gegangen ist. 
GEN.9.11	Und ich errichte meinen Bund mit euch; und nicht mehr soll alles Fleisch ausgerottet werden durch die Wasser der Flut, und keine Flut soll mehr sein, die Erde zu verderben.
GEN.9.12	Und Gott sprach: Dies ist das Zeichen des Bundes, den ich stifte zwischen mir und euch und jeder lebendigen Seele, die bei euch ist, auf ewige Geschlechter hin: 
GEN.9.13	Meinen Bogen setze ich in die Wolken, und er soll das Zeichen des Bundes sein zwischen mir und der Erde. 
GEN.9.14	Und es wird geschehen, wenn ich Wolken über die Erde führe, so soll der Bogen in den Wolken erscheinen, 
GEN.9.15	und ich werde meines Bundes gedenken, der zwischen mir und euch ist und jedem lebendigen Wesen, von allem Fleische; und nicht mehr sollen die Wasser zu einer Flut werden, alles Fleisch zu verderben. 
GEN.9.16	Und der Bogen wird in den Wolken sein; und ich werde ihn ansehen, um zu gedenken des ewigen Bundes zwischen Gott und jedem lebendigen Wesen von allem Fleische, das auf Erden ist. 
GEN.9.17	Und Gott sprach zu Noah: Das ist das Zeichen des Bundes, den ich errichtet habe zwischen mir und allem Fleische, das auf Erden ist.
GEN.9.18	Und die Söhne Noahs, die aus der Arche gingen, waren Sem und Ham und Japhet; und Ham ist der Vater Kanaans. 
GEN.9.19	Diese drei sind die Söhne Noahs und von diesen aus ist die ganze Erde bevölkert worden. 
GEN.9.20	Und Noah fing an ein Ackermann zu werden 
GEN.9.21	Und er trank von dem Weine und ward trunken, und er entblößte sich in seinem Zelte. 
GEN.9.22	Und Ham, der Vater Kanaans, sah die Blöße seines Vaters und berichtete es seinen beiden Brüdern draußen. 
