MAT.1.1	Awa ndiwo makholo a dzindza ya Yezu Kirixtu, Mwana wa Dhavidhi, Mwana wa Abharaamu.
MAT.1.19	Zuze, mankhadzi wace Mariya, na thangwi ya kukhala munthu wakulungama, pontho toera akhonde kun'nyadzisa, anyerezera kun'khonda n'cibiso-biso. 
MAT.1.20	Mbwenye n'dzidzi unowu ukhanyerezera iye kun'khonda, Mulungu atuma anju wace, mbabwera mu ndoto mbampanga kuti: “Zuze, mwana wa Dhavidhi, leka kugopa kutambira Mariya kuti akhale nkazi wako, thangwi ipi pina iye pyacitika na mphambvu za Nzimu Wakucena. 
MAT.1.21	Iye anadza kabala mwana-mamuna, iwe unadza kan'thula dzina ya Yezu
MAT.1.22	Pyonsene ipi pyacitika toera pisimbisiswe pire pikhadapangwa mporofeta kale ene na Mulungu kuti: 
MAT.1.23	“Lang'anani, mwali m'bodzi anadza kakhala na pathupi mbabala mwana-mamuna, dzina yace inadza kakhala Emanuweli
MAT.1.24	Zuze, mudadza iye kadzizimuka n'citulo, acita ninga mukhadampangira anju wa Mulungu, mbakwata nkazi wace. 
MAT.1.25	Mbwenye akhonda kudziwana na iye, mpaka kufikira kubaliwa kwa mwana. Buluka penepo, Zuze an'thula mwana dzina ya “Yezu.”
MAT.2.1	Yezu abaliwa ku cisa ca Bheleya, ku dziko ya Djudeya, pa midzidzi ikhatonga mambo Herodhi. Pakupita ntsiku zingasi Yezu mbadabalwa kale, abwera ku Djerusalema anthu anyakudziwisa pya nyenyezi, a kumabulukira dzuwa. Pidafika iwo, 
MAT.2.2	abvundzisa tenepa: “Ali kupi mambo wa madjuda adabaliwa cincino? Thangwi ife taiona nyenyezi yace kumabulukira dzuwa. Na tenepo, tabwera kamulambira.”
MAT.2.3	Mambo Herodhi, na kupibva pinthu penepi, atutumuka napyo pikulu iye na anthu anango onsene a mu nzinda unowu wa Djerusalema. 
MAT.2.4	Na thangwi eneyo, mambo Herodhi acemeresa akulu onsene aanyantsembe na anyakudziwisa a Mwambo a mbumba, mbaabvundza kuti: “Kodi ndipangeni, ndi kupi kunafuna baliwa Kirixtu?”
MAT.2.5	Iwo antawira tenepa: “Anabaliwa ku Bheleya, mu dziko ya Djudeya.” Thangwi Mulungu alonga na mporofeta Mikeya kuti:
MAT.2.6	“ ‘
MAT.2.6	cisa ca dziko ya Djudeya,
MAT.2.6	leka kunyerezera kuti iwe ndiwe cinzinda cing'ono-ng'ono kakamwe
MAT.2.6	pakati pa mizinda inango mikulu
MAT.2.6	mu Djudeya.
MAT.2.6	Thangwi n'dziko mwako, ndimo munafuna buluka
MAT.2.6	N'tsogoleri anafuna
MAT.2.6	kumbiza mbumba yanga
MAT.2.6	ya Izarayeli.’ ”
MAT.2.7	Buluka penepo, mambo Herodhi acemeresa pa khundu ale anyakudziwisa pya nyenyezi a kumabulukira dzuwa, mbaabvundzisa na kuaphemba kuti ampange mwadidi n'dzidzi udatoma iwo kuona nyenyezi. 
MAT.2.8	Pakumala penepi, aatuma kuti aende ku dziko ya Bheleya, mbaapanga tenepa: “Ndokoni mukhabvundzise mwadidi mwene, mungan'gumana, bwererani na kuno mundidziwisembo toera ine ndiyendembo kamulambire.”
MAT.2.9	Pakumala kubva pyonsene pikhalonga mambo, anyakudziwisa nyenyezi abuluka mbaenda ulendo wawo. Penepo, iwo aona kuti nyenyezi ire ikhaatsogolera pakubuluka kwawo kumabulukira dzuwa, yaabulukira pontho kutsogolo kwawo mbikhaatsogolera mpaka kufikira kulimira cidzulu-dzulu pa nyumba ikhagumanika mwana. 
MAT.2.10	Na tenepo, iwo, na kuiona pontho nyenyezi, akomerwa pikulu kakamwe. 
MAT.2.11	Pidafika iwo penepo, apita n'nyumba, agumana mwana na Mariya, mai wace. Iwo atoma kugodamira mwana na kumulambira. Pidamala iwo, abulusa mbapereka miyoni yawo ya ntengo ukulu kakamwe, inacemerwa oro, insensu
MAT.2.12	Buluka penepo, Mulungu aacenjeza mu ndoto kuti aleke kwenda kaonana pontho na mambo Herodhi. Na tenepo, iwo abwerera na njira inango kwenda ku dziko kwawo.
MAT.2.13	Pikhabwerera iwo kwenda ku dziko kwawo, anju m'bodzi wa Mulungu abwera kuna Zuze, mu ndoto, mbampanga tenepa: “Lamuka, kwata mwana na mai wace uthawire ku Idjipitu. Khala kweneko mpaka kufikira ntsiku inalonga ine pontho kuti ubwerere, thangwi Herodhi anadza kasaka mwana toera amuphe.”
MAT.2.14	Zuze alamuka, akwata mwana na mai wace, mbaenda na iwo ku Idjipitu na masiku, 
MAT.2.15	mbakhala kweneko mpaka kufa kwa mambo Herodhi. Na tenepo, pyacitika pire pikhadalonga Mulungu kale ene na mulomo wa mporofeta kuti: “Ndacemera mwana wanga kuti abuluke ku Idjipitu.”
MAT.2.16	Mambo Herodhi mudapyona iye kuti anyengezwa na anthu anyakudziwisa pya nyenyezi a kumabulukira dzuwa, akhala wakuipirwa. Mbatoma kubulusa mwambo wace wa kuphesa ana onsene akhagumanika na pyaka piwiri kwenda pantsi mu dziko ya Bheleya na m'pisa pinango pya n'khundu-n'khundu, ninga mukhadapangirwa iye na amuna a kumabulukira dzuwa, pa thangwi ya n'dzidzi udatoma kuonekera nyenyezi. 
MAT.2.17	Na tenepo, pyasimbiswa pire pikhadalonga mporofeta Jeremiya kuti:
MAT.2.18	“
MAT.2.18	Cikhali ciriro na kubva kupha pikulu kwa mai Rakeli,
MAT.2.18	na thangwi ya kuferwa na anace.
MAT.2.18	Na tenepo, iye asakhonda kumatamizwa
MAT.2.18	thangwi anace onsene amala kufa.”
MAT.2.19	Pa kufa kwa Herodhi, anju m'bodzi wa Mulungu aonekera kuna Zuze mu ndoto ku Idjipitu, 
MAT.2.20	mbampanga tenepa: “Lamuka, kwata mwana na mai wace uyende na iwo ku dziko ya Izarayeli, thangwi afa ale akhafuna kupha mwana.” 
MAT.2.21	Zuze alamuka, akwata mwana na mai wace, mbabwerera kwenda na iwo ku dziko ya Izarayeli.
MAT.2.22	Mbwenye Zuze, na kubva kuti pa kufa kwa mambo Herodhi adapita pa mpando pace ndi mwana wace anacemerwa Arikilau, agopa kubwerera ku dziko eneyo. Na thangwi eneyo, Mulungu amulotesa pontho. Iye alamuka mbaenda ku dziko ya Galileya, 
MAT.2.23	mbaenda kakhala mu nzinda wa Nazareti. Tenepa, pyasimbiswa pire pikhadalongwa na maporofeta kuti: “Iye anadza kacemerwa wa ku Nazareti.”
MAT.3.1	Pa midzidzi eneyo, abulukira Juwau Bhatixta mbakhamwaza mphangwa n'thando mu dziko ya Djudeya, mbakhalonga tenepa: 
MAT.3.2	“Chunyukani kudawa kwanu, thangwi Umambo wa kudzulu uli dhuzi.” 
MAT.3.3	Uyu ndiye akhalongwa na mporofeta Izaya kuti:
MAT.3.3	“Fala iri kukhuwa n'thando mbilonga kuti:
MAT.3.3	Sasanyirani njira
MAT.3.3	ya Mbuya
MAT.3.3	mbamundendemeza
MAT.3.3	mipsalu yace.”
MAT.3.4	Juwau akhabvala nguwo zakucitwa na uweya wa pinyama pinacemerwa kamelo, mbakhamanga bhande ya nthembe n'cunu mwace, mbakhadya nthete na uci wa n'tsanga. 
MAT.3.5	Na tenepo, anthu onsene a ku Djerusalema na anthu onsene akhagumanika m'pisa mwa dziko ya Djudeya, na anango anthu akhagumanika n'khundu-n'khundu mwa nyandza ya Djorodani, onsene akhaenda kuna iye. 
MAT.3.6	Akhadambula kudawa kwawo, Juwau mbakhaatambirisa batixmu mu nyandza ya Djorodani.
MAT.3.7	Akhalipo madjuda anango anacemerwa afarisi na asadhusi, akhadza katambirambo batixmu. Pikhadza iwo, Juwau aapanga tenepa: “Dzindza ya m'bobo! Mbani akupangani kuthawa nyatwa zinafuna kudza? 
MAT.3.8	Citani pinthu pinapangisa kuti imwe mwachunyukadi. 
MAT.3.9	Lekani kunyerezera mwekha ene mbamulonga tenepa: ‘Tina baba wathu Abharaamu,’ thangwi ine ndisakupangani kuti Mulungu ana mphambvu za kusanduza myala iyi, mbikhalambo dzindza ya Abharaamu. 
MAT.3.10	Pontho ndisakupangani kuti mbadzo yamala kusasanyirwa toera kugwanda miti na michici ene. Na tenepo, miti yonsene inakhonda kubala misapu yadidi, inatemiwa mbiponyiwa pa moto. 
MAT.3.11	Ine ndisakutambirisani batixmu na madzi kuti muchunyuke kudawa kwanu. Mbwenye munthu unango anadza n'nduli mwanga, unowu ndiye ana mphambvu za kupiringana ine. Pontho ine sine cinthu pamaso pace kuti ndinakwanisa kukwata ntsapato zace. Unowu ndiye anadza kakutambirisani batixmu na Nzimu Wakucena na moto. 
MAT.3.12	Iye ana foxolo m'manja mwace toera kucenesa mbuwa yace. Pontho anakoya mapira n'cikwa, mbakwata dzungu yace mbaipisa pa moto wakukhonda kuthima.”
MAT.3.13	Ntsiku ibodzi, Yezu abuluka ku dziko ya Galileya, mbaenda ku nyandza ya Djorodani, toera atambiriswembo batixmu na Juwau Bhatixta. 
MAT.3.14	Mbwenye Juwau akhafuna kun'khondera mbalonga tenepa: “Ine ndine anafuna kutambiriswa batixmu na imwe. Mphapo lero imwe ndimwe munadza kuna ine?”
MAT.3.15	Mbwenye Yezu antawira tenepa: “Pa n'dzidzi uno siya tenepo. Thangwi mphyadidi ticite tenepa, toera pisimbiswe pinafuna Mulungu.” Mphapo Juwau na kubva tenepo, am'bvera mbantambirisa batixmu.
MAT.3.16	Yezu pakumala kwace kutambira batixmu, abuluka m'madzi. Pa n'dzidzi unowu thambo yafunguka. Iye aona Nzimu wa Mulungu mbuchita ninga nkhangaiwa, mbum'phamira. 
MAT.3.17	Penepo yabveka fala kubulukira kudzulu mbilonga tenepa: “Uyu ndi mwana wanga wakufunika kakamwe, ananditsandzaisa.”
MAT.4.1	Buluka penepo, Yezu akwatiwa na Nzimu Wakucena mbaenda n'thando, kuti aende kanyengererwe na Dyabu. 
MAT.4.2	Pidamala iye kupimana cakudya ntsiku makumanai, masiku na masikati, Yezu abva njala. 
MAT.4.3	Penepo, Dyabu nyakunyengerera, afendedzera Yezu dhuzi mbampanga tenepa: “Ngakhala iwe ndiwedi Mwana wa Mulungu sanduza myala iyi idze mikate.”
MAT.4.5	Buluka penepo, Dyabu ankwata mbaenda na iye ku nzinda wakucena, ankwiza padzulu kakamwe pa Nyumba ya Mulungu, 
MAT.4.6	mbampanga tenepa: “Ngakhala iwe ndiwe Mwana wa Mulungu, numpha padzulu pano ugwe pantsi, thangwi pyalembwa kuti:
MAT.4.6	“ ‘
MAT.4.6	pontho iwo anakugampha na manja awo,
MAT.4.6	toera ukhonde kuphekeka
MAT.4.6	na myala.’ ”
MAT.4.8	Penepo Dyabu akwata Yezu mbaenda na iye pa phiri yakulapha kakamwe, mbampangisa umambo onsene wa pantsi pano na mbiri zawo, 
MAT.4.9	mbampanga kuti: “Pyonsene ipi ndinakupasa, male ungandigodamira mbundilambira.”
MAT.4.11	Penepo Dyabu ansiya, mbabwera maanju kudza kaphatira basa Yezu.
MAT.4.12	Yezu na kupibva kuti Juwau Bhatixta afungirwa n'kaidi, abwerera mbaenda ku Galileya. 
MAT.4.13	Yezu abuluka ku Nazareti kukhakhala iye, mbaenda kakhala ku nzinda wa Kafaranaumi, ukhagumanika n'khundu-n'khundu mwa nyandza ya Galileya, ku dziko ya Zebhuloni na ya ku Nafitali, 
MAT.4.14	toera pisimbiswe pikhadalongwa na mporofeta Izaya kuti:
MAT.4.15	na ya Nafitali,
MAT.4.15	dziko inagumanika mu mbale mwa nyandza ya Galileya
MAT.4.15	na ntunda unango wa nyandza ya Djorodani,
MAT.4.15	iwe Galileya ya anthu adakhonda kukhala madjuda!
MAT.4.16	Mbumba ikhakhala n'cidima,
MAT.4.16	yaona cieza cikulu.
MAT.4.16	Pontho kuna ale akhakhala
MAT.4.16	mu mbuto ya cidima ca kufa,
MAT.4.16	amwanikirwa na cieza.
MAT.4.17	Kutomera n'dzidzi unowu kwenda kutsogolo, Yezu atoma kupfundzisa Mphangwa Zadidi mbakhalonga tenepa: “Chunyukani kudawa kwanu, thangwi Umambo wa kudzulu uli dhuzi.”
MAT.4.18	Yezu pikhafamba iye dhuzi na nyandza ya Galileya, aona anyakokota awiri muubale mwawo, mbakhagwisira makokota awo n'nyandza. M'bodzi ndi Simau, anadziwika pontho na dzina ya Pedhru. Unango ndi Andereya. 
MAT.4.19	Yezu aapanga kuti: “Nditowereni, Ine ndinakucitani anyakokota a anthu.” 
MAT.4.20	Na tenepo, iwo pa n'dzidzi ubodzi-bodzi, asiya makokota awo mbantowera.
MAT.4.21	Yezu pakufamba pang'ono kutsogolo, aona pontho anthu awiri muubale mwawo. Akhali Tiyago na Juwau, ana a Zebhedheu. Iwo akhali pabodzi na baba wawo m'bote mbakhasona makokota awo, Yezu mbaacemera. 
MAT.4.22	Penepo pene, iwo asiyiratu bote na baba wawo ene, mbaenda na Yezu.
MAT.4.23	Na tenepo, Yezu akhafamba dziko yonsene ya Galileya, mbakhapfundzisa n'kati mwa nyumba za kuphemberera, mbakhalonga Mphangwa Zadidi za Umambo wa kudzulu, pontho mbakhawangisa nthenda zonsene na ale akhaduwala pakati pa mbumba. 
MAT.4.24	Mbiri yace yamwazika dziko yonsene ya Sirya. Na tenepo, anthu onsene akhaenda kuna Yezu na atenda awo akhathabuka na nthenda zakusiyana-siyana, ninga za mizimu yakuipa, za njiri, na za mpfutete. Zonsene izi Yezu akhaziwangisa. 
MAT.4.25	Na tenepo, mwinji ukulu wa anthu ukhantowera, kubulukira ku dziko ya Galileya, na ya Dhekapoli, na anthu a ku nzinda wa Djerusalema, na a ku Djudeya, pontho na anthu a ntunda unango wa nyandza ya Djorodani.
MAT.5.1	Yezu na kuona mwinji wa anthu, akwira pa phiri mbakhala pantsi. Penepo, anyakupfundza ace anfendedzera.
MAT.5.2	Yezu atoma kuapfundzisa mbalonga tenepa:
MAT.5.3	“Mbatsandzaye
MAT.5.3	ale anyakucherenga mu nzimu,
MAT.5.3	thangwi Umambo wa kudzulu ndi wawo.
MAT.5.4	Mbatsandzaye
MAT.5.4	ale analira,
MAT.5.4	thangwi anadza kamatamizwa na Mulungu.
MAT.5.5	Mbatsandzaye ale anyakupicepesa,
MAT.5.5	thangwi anadza kapasiwa unthaka wa dziko ya pantsi na Mulungu.
MAT.5.6	Mbatsandzaye ale ana njala na nyota ya kucita kufuna kwa Mulungu,
MAT.5.6	thangwi anadza kapasiwa pyonsene na Mulungu.
MAT.5.7	Mbatsandzaye
MAT.5.7	anabvera andzawo ntsisi,
MAT.5.7	thangwi iwo anadza kabverwambo ntsisi na Mulungu.
MAT.5.8	Mbatsandzaye
MAT.5.8	anyakucena ntima,
MAT.5.8	thangwi iwo anadza kaona Mulungu.
MAT.5.9	Mbatsandzaye
MAT.5.9	ale anasaka ntendere pakati pa anthu,
MAT.5.9	thangwi iwo anadza kacemerwa
MAT.5.9	ana a Mulungu.
MAT.5.10	Mbatsandzaye
MAT.5.10	ale anazondiwa
MAT.5.10	na thangwi ya kucita kufuna kwa Mulungu,
MAT.5.10	thangwi Umambo wa kudzulu ndi wawo.
MAT.5.11	“Tsandzayani mungatikanwa, mungazondiwa, na kulongerwa uthambi wa kusiyana-siyana na thangwi ya kukhala anyakupfundza anga. 
MAT.5.12	Komerwani mbamudzala na kutsandzaya, thangwi muwoni wanu unakudikhirani kudzulu ndi ukulu. Thangwi maporofeta akale azondiwambo sawa-sawa ninga imwe.”
MAT.5.13	“Imwe ndimwe munyu wa padziko. Lang'anani, munyu ungasuluka, unadza kadzipa tani pontho? Na tenepo, unamalisira taiwa, thangwi nkhabe cinango cakucita na iwo, mbumalisira kupwandiwa na anthu.
MAT.5.14	“Imwe ndimwe cieza ca padziko. Nzinda udamangwa pa phiri nkhabe kubisalika. 
MAT.5.15	Pontho nkhabe munthu anagasa nyale yace mbaigudumira na citundu. Mbwenye anasaka mbuto ya padzulu toera kumwanikira mwadidi anthu onsene n'kati mwa nyumba. 
MAT.5.16	Sawa-sawa ninga imwembo, citani kuti cieza canu cimwanikire anthu onsene, toera aone mabasa anu adidi anacita imwe. Na tenepo, iwo anapasa mbiri Baba wanu ali kudzulu.”
MAT.5.17	“Lekani kunyerezera kuti ndadza kamalisa mwambo wa Mozesi peno cipfundzo ca maporofeta akale. Sidadza kamalisa penepyo tayu, mbwenye ndadza kasimbisisa. 
MAT.5.18	Pontho dziwani kuti n'dzidzi uno unagumanika thambo na mataka, nkhabe cinthu cibodzi cing'ono n'kati mwa malemba, peno cidzindikiro cinango ca malemba cinafuna kubuluswa pa Mwambo wa Mozesi, pyonsene mbapidzati kucitika. 
MAT.5.19	Na thangwi eneyo, ule anakhonda kubvera mwambo, peno mbudakhala pyawo ung'ono tani, mbapfundzisambo andzace kucita pibodzi-bodzi, munthu unowu anaoniwa wang'ono mu Umambo wa kudzulu. Mbwenye ule anabvera mwambo na kupfundzisa andzace kucita pibodzi-bodzi, anakhala nkulu mu Umambo wa kudzulu. 
MAT.5.20	Pontho ndisakupangani kuti, imwe mungakhonda kucita mbamutoweza kufuna kwa Mulungu kupiringana anyakudziwisa a Mwambo wa Mozesi na afarisi, nkhabe m'bodzi anafuna kudza kapita mu Umambo wa kudzulu.”
MAT.5.21	“
MAT.5.22	Mbwenye Ine ndisakupangani kuti munthu onsene anaipirwa na ndzace,
MAT.5.23	“Na tenepo, ngakhala iwe uli pa guwa ya ntsembe toera kupereka muwoni wako kuna Mulungu, penepo ungakumbuka kuti ndzako m'bodzi ana thangwi na iwe, 
MAT.5.24	siya muwoni wako pa guwa ya ntsembe, ndoko pakutoma ukhasekesane na iye. Ungamala, bwerera ukhapereke muwoni wako kuna Mulungu.
MAT.5.25	“Pontho pa n'dzidzi unaenda iwe katongwa pabodzi na ndzako, saka kusekesana na mwansanga na nyamalwa wako, toera iye akhonde kukupereka m'manja mwa nkulu wa nyakutonga, iye mbakuperekambo m'manja mwa nsupai wace, mbufungirwa n'kaidi. 
MAT.5.26	Ndimo mwene ndisakupanga kuti iwe nkhabe kudza kabuluka mwenemu mbudzati kumalisa kulipa mangawa ako onsene.”
MAT.5.27	“
MAT.5.28	Mbwenye Ine ndisakupangani kuti: Munthu onsene analang'ana nkazi mbansirira, n'dzidzi unowu ali kucita upombo na iye muntima mwace. 
MAT.5.29	Mphapo, ngakhala diso yako ya khundu ya madyo iri kukugwisa mwa kudawa, ibuluse mbuitaya kutali na iwe. Thangwi mphyadidi kuluza phindi ibodzi ya manungo ako, mbukhonda kuponyiwa manungo onsene mu infernu. 
MAT.5.30	Sawa-sawa, ngakhala manja ako a khundu ya madyo asakugwisa mwa kudawa, agwande mbuataya kutali na iwe. Thangwi mphyadidi kuluza phindi ibodzi ya manungo ako, mbukhonda kuponyiwa manungo onsene mu infernu.”
MAT.5.31	“
MAT.5.32	Mbwenye Ine ndisakupangani kuti: Mamuna onsene anamwalana na nkazi wace, thangwi yace mbikhonda kukhala ya lukwali, ali kum'pfundzisa upombo. Mphapo mamuna onsene anacita banja na nkazi wa kumwaliwa, ali kucitambo upombo na iye.”
MAT.5.33	“
MAT.5.34	Mbwenye Ine ndisakupangani pontho kuti: Siyani kudumbira konsene. Lekani kudumbira na dzina ya kudzulu, thangwi ndi mpando wa Umambo wa Mulungu. 
MAT.5.35	Peno na dzina ya pantsi, thangwi ndipo panaikha iye myendo yace. Peno na dzina ya Djerusalema, thangwi ndi nzinda wa Mambo wa nkulu. 
MAT.5.36	Pontho leka kudumbira na dzina ya nsolo wako, thangwi unacimwana kusanduza tsisi ibodzi mbidza yakuswipa, peno mbidza yakucena. 
MAT.5.37	Mbwenye mphyadidi kulonga tenepa: ‘Ande’, ‘ande’. ‘Nkhabe’, ‘nkhabe’. Pyonsene pinango kupiringana penepi, mphya Nyamalwa.”
MAT.5.38	“
MAT.5.39	Mbwenye Ine ndisakupangani kuti: lekani kubwerezera uipi kuli ale anakucitani uipi. Munthu angakumenya ku phutu ya khundu ya madyo, mpase akumenyembo khundu inango. 
MAT.5.40	Munthu angafuna kukusumira kwa atongi toera akupokosere kamiza, mpase pontho kazako yako. 
MAT.5.41	Munthu angakukakamiza kufamba na ntolo nsindzo ubodzi, famba na iye pontho misindzo miwiri. 
MAT.5.42	Munthu anakuphemba cinthu, mpase. Munthu anafuna kukubwereka cinthu, leka kumpasa nkhodolo.”
MAT.5.43	“
MAT.5.44	Mbwenye Ine ndisakupangani kuti: Funani anyamalwa anu, phembererani ale anakuzondani. 
MAT.5.45	Na tenepo, munakhaladi ana a Baba wanu wa kudzulu. Thangwi iye asagasira dzuwa yace anyakuipa na adidi, pontho asabvumbira anyakulungama na anyakukhonda kulungama. 
MAT.5.46	Thangwi mungafuna ale anakufunani basi, munapaswa m'bairo wanji na Mulungu? Anyakukumbusa misonkho asacitambo pibodzi-bodzi. 
MAT.5.47	Pontho, mungamwanyika abale anu basi, ndi ninji pinacita imwe kupiringana anango? Penepyo ndi pinacitambo ale anakhonda kutawira Mulungu. 
MAT.5.48	Na tenepo, imwe khalani akukwana, ninga Baba wanu wa kudzulu ndi wakukwana.”
MAT.6.1	“Mungacita udidi, lekani kucita toera kusimbwa na anthu. Thangwi mungacita tenepo, nkhabe kudza kapaswabve m'bairo na Baba wanu wa kudzulu.
MAT.6.2	“Na tenepo, ungapasa cinthu nyakucherenga leka kuimba kaluta, ninga pinacita anthu anyauthambi n'kati mwa nyumba za kuphemberera peno m'miseu, toera asimbwe na anthu. Ndimo mwene, Ine ndisakupangani kuti anthu enewa amala kale kutambira m'bairo wawo. 
MAT.6.3	Mbwenye iwe, ungapasa cinthu nyakucherenga, cita kuti manja ako a nkono wa bzere akhonde kudziwa pinacita nkono wa madyo, 
MAT.6.4	toera pinthu pidabulusa iwe pikhonde dziwika na anthu. Thangwi Baba wako asadziwa pyakubisala. Na tenepo, Iye anakupasa m'bairo.”
MAT.6.5	“Mungaphembera lekani kucita ninga pinacita anthu a uthambi, anaphembera mbadalimira n'kati mwa nyumba za kuphemberera, na m'mphambano mwa miseu, toera aoniwe na anthu onsene. Ndimo mwene, Ine ndisakupangani kuti anthu enewa amala kale kutambira m'bairo wawo. 
MAT.6.6	Mbwenye iwe ungafuna kuphembera, pita n'nyumba mwako, funga citseko cako, mbuphembera kuna Baba wako anakhonda kuoneka. Na tenepo, Baba wako anaona pinacita iwe n'cibiso-biso, anakupasa m'bairo wako. 
MAT.6.7	Mungaphembera, lekani kumala midzidzi mizinji na kulonga mafala mabodzi ene, ninga pinacita anthu anakhonda kutawira Mulungu, thangwi iwo asanyerezera kuti na kulonga mafala mazinji, Mulungu anaabvera. 
MAT.6.8	Lekani kucita ninga iwo! Thangwi Mulungu, Baba wanu, asadziwa pinafuna imwe mbamudzati kum'phemba. 
MAT.6.9	Na tenepo, musatongwa kuphembera tenepa:
MAT.6.9	“Baba wathu, muli kudzulu,
MAT.6.9	dzina yanu mbikhale na mbiri.
MAT.6.10	Umambo wanu mbudze kuna ife.
MAT.6.10	Pinafuna imwe mbapicitwe,
MAT.6.10	pantsi pano ninga kudzulu.
MAT.6.11	Tipaseni cakudya cathu ntsiku na ntsiku.
MAT.6.12	Tilekerereni madawi athu
MAT.6.12	ninga ifembo tinalekerera
MAT.6.12	andzathu madawi awo.
MAT.6.13	Lekani kutisiya mbatigwa n'kudawa,
MAT.6.13	mbwenye tipulumuseni mwa kuipa,
MAT.6.13	[thangwi Umambo ndi wanu, na mphambvu, na mbiri yakukhaliratu. Ameni.
MAT.6.14	Thangwi mungalekerera andzanu madawi awo, Baba wanu wa kudzulu anakulekereranimbo. 
MAT.6.15	Mbwenye mungakhonda kulekerera andzanu, Baba wanu wa kudzulu nkhabe kudza kakulekereranimbo madawi anu.”
MAT.6.16	“Mungapimana cakudya toera kuphembera, lekani kupangisa nkhope ya kutsukwala ninga anthu a uthambi, anaphinduza nkhope zawo toera kupangisa kuli anthu onsene, kuti asapimana cakudya. Ndimo mwene ndisakupangani kuti, anthu enewa, atambira kale m'bairo wawo. 
MAT.6.17	Mbwenye iwe, ungapimana cakudya toera kuphembera, samba nkhope, mbusapula pyadidi tsisi yako, 
MAT.6.18	toera ukhonde kupangisa kuna anthu kuti usapimana cakudya, mbwenye kuna Baba wako anakhonda kuoneka. Na tenepo, Baba wako anaona pyonsene pyakubisala, anakupasa m'bairo.”
MAT.6.19	“Lekani kukoya mpfuma zanu pa dziko ino panagumanika maberethi na furuju mbazifudza, pontho na panagumanika mambava mbaziba. 
MAT.6.20	Mbwenye koyani mpfuma zanu kudzulu kunakhonda kugumanika ucenje na furuju mbazifudza, peno mambava mbaswa mbaziba. 
MAT.6.21	Thangwi panagumanika mpfuma yanu, penepo ndipo panagumanikambo ntima wanu.”
