MAT.1.1	Huā'mā' lista ū'tza' ixnapapna' Jesucristo lā' xla' ixtā'nat David lā' nā Abraham.
MAT.3.5	Lā' huan tachi'xcuhuī't xalanī'n nac xcānsipej Jerusalén tamilh takaxmata. Lā' nā lhūhua' tachi'xcuhuī't xalanī'n chu xalhā huan nac estado de Judea lā' xalanī'n pajtzu huan pūxka Jordán nā tamilh takaxmata. 
MAT.3.6	Lā' a'xni'ca' tatako'xaspi'tni'lh Dios ixtalaclē'i'ca'n, Juan cāmā'kpaxīlh kalhatunu' huan nac pūxka Jordán.
MAT.3.7	Lā' lhūhua' fariseosnu' lā' ixsacerdotes israelitas tamilh ta'a'kpaxa. Lā' a'xni'ca' Juan cālaktzī'lh, xla' cāhuanilh:
MAT.3.7	―¡Ca'tzanca'tzīyā'tit hui'xina'n! ¿Tichū cāmāca'tzīnīni' hui'xina'n que ixtzā'la'ni'tit huan ixtā'kcha Dios a'ntū mimā'? 
MAT.3.8	Catlahua'tit a'ntūn tzey para que natasu'yu palh stu'ncua' xtāpalīnī'ta'ntittza' mintapāstacna'ca'n. 
MAT.3.9	Lā' tū' cahuantit mē'cstuca'n: “Quina'n ī'xū'yātā'natna' Abraham. U'tza' iclīpāhuanāuj lā' tū' icjicua'ni'yāuj ixtā'kcha Dios”. Hui'xina'n tū' chuntza' ixua'ntit. Quit iccāhuaniyāni' que Dios tzē nacāxtāpalī huā'mā' chihuixni' lā' natala ī'xū'yātā'natna' Abraham. 
MAT.3.10	Hua'chilh xacacanī'ttza' huan ā'chaj lā' natzucucan natancā'can huan qui'hui'. Lā' chuxatūya qui'hui' a'ntūn tū' māstā' ixtō'ca't xatzey, ū'tza' natancā'can lā' nalhcuyucan. Huan tachi'xcuhuī't a'ntīn tū' tatasu'yu palh takalhlaka'ī', xlaca'n hua'chi huan qui'hui' a'ntūn tū' tō'ca'. 
MAT.3.11	Lā' stu'ncua' quit iccālīmā'kpaxīyāni' con xcān. Lā' ū'tza' nalītasu'yu a'nchī līlakaputzayā'tit ixpālacata huan talaclē'i' a'ntūn tlahuanī'ta'ntit. Huan a'ntī namin ā'calīstān, xla' makapitzīn de hui'xina'n nacātalīmā'kpaxīyāni' huan Espíritu Santo lā' ā'makapitzīn huampala con macscut. Xla' ā'līhua'ca' māpa'ksīni'n que quit. Quit tūla icmālacastuca xla'. Ixtasācua' a'ntī naxcuta ixuarachi līhua'ca' tasqui'nī que quit. 
MAT.3.12	Xla' hua'chi kalhatin chi'xcu' a'ntī chi'panī'ttza' ixpūmālakosūn lā' nalacsu'nu huan trigo a'ntū lītlahuacan harina. Huan xati'ni' trigo namānū a'nlhā māquī'can, pero huan xapa'lhma' nalhcuyu huan nac macscut a'ntūn tūla catimāmixīlh ―cāhuanilh Juan.
MAT.3.13	Lā' ā'calīstān Jesús taxtulh de huan estado de Galilea lā' lakchā'lh Juan a'nlhā ixmā'kpaxīni'mā' na ixquilhtūn huan pūxka Jordán. Jesús milh a'kpaxa. 
MAT.3.14	Pū'la Juan tū' ixmā'kpaxīcu'tun Jesús lā' huanilh:
MAT.3.14	―Quit icmaclacasqui'n que hui'x ixquimā'kpaxi'. Hui'x tū' maclacasqui'na' quit na'icmā'kpaxīyāni'.
MAT.3.15	Pero Jesús kalhtīlh:
MAT.3.15	―Chuhua'j calalh chu a'nchī icsqui'ni'yāni' porque quincāminīni'yāni' lā' chuntza' natlahuakō'yāuj a'ntū Dios māpa'ksīlh.
MAT.3.15	Lā' Juan a'kahuāna'ni'lh.
MAT.3.16	Lā' Jesús, a'xni'ca' mā'kpaxīca, tacutli huan nac xcān. Lā' chu līmaktin talaquī'lh huan a'kapūn lā' Jesús laktzī'lh huan Espíritu Santo. Lā' ixtasu'yu hua'chi tantzasnān. Lā' yujchi ixlakstu'nc a'nlhā ixyā Jesús. 
MAT.3.17	Lā' kaxmatca lakatin tachihuīn nac a'kapūn lā' hualh:
MAT.3.17	―U'tza' huā'mā' qui'O'kxa'. Lej icpāxquī' lā' lej quimakapāxuhua.
MAT.4.1	Lā' tuncan huan Espíritu Santo lē'lh Jesús huan nac cā'lhpi'mpi'li' ti'ya't para que huan ko'ti'ti' nalīlaktzī'n a ver palh tzē ixtlajalh Jesús.
MAT.4.2	Lā' a'ntza' tu'pu'xam chi'chini' Jesús tū' huā'yalh tintacuj lā' tintascac. Lā' lejtza' ixtzi'ncsa. 
MAT.4.3	Lā' huan ko'ti'ti' laktapajtzūlh Jesús lā' huanilh:
MAT.4.3	―Palh hui'x ixO'kxa' Dios, cacāmāpa'ksi' huā' tamā'na chihuixni' catalalh pāntzi.
MAT.4.4	Lā' Jesús kalhtīlh:
MAT.4.4	―Tatzo'kni' na ixtachihuīn Dios: “Tū' xmān pāntzi catipūlatā'kchokoca nac huā'mā' cā'quilhtamacuj. Ixlīhuāk a'ntū Dios huan, ū'tza' a'ntū quincālīmaxquī'yāni' quinquilhtamacujca'n”.
MAT.4.5	Tuncan huan ko'ti'ti' lē'lh Jesús huan nac Jerusalén a'nlhā nā māpācuhuīcan huan xcānsipej santo. Lā' hui'līca tālhmā'n na ixa'kstīn huan xaka'tla' lītokpān 
MAT.4.6	lā' huanica:
MAT.4.6	―Palh hui'x ixO'kxa' Dios, cata'nchi como tatzo'kni' na ixtachihuīn Dios:
MAT.4.6	Dios nacāmāpa'ksī ixángeles que natamaktaka'lhāni'.
MAT.4.6	Natamā'kaquī'yāni' para que tū' natakāhuī'ya' nīn kantin mintojon nac chihuix.
MAT.4.7	Lā' Jesús kalhtīlh:
MAT.4.7	―Nā chuntza' tatzo'kni' na ixtachihuīn Dios: “Tū' tilīlaktzī'na' huan Māpa'ksīni' Dios”.
MAT.4.8	Lā' huan ko'ti'ti' lē'mpā nac lakatin kēstīn a'nlhā lej tālhmā'n. Lā' a'ntza' māsu'ni'kō'lh chu xalhā a'nlhā cāmāpa'ksīcan xalanī'n huā'mā' cā'quilhtamacuj lā' a'nchī lej tzēhuanī't ixuanī't. 
MAT.4.9	Lā' huan ko'ti'ti' huanilh:
MAT.4.9	―Huāk huā'mā' na'icmaxquī'yāni' xmān naquintatzokostani'ya' lā' naquimācā'tanī'ya' ―huanica Jesús.
MAT.4.10	Lā' Jesús kalhtīni'lh:
MAT.4.10	―Catapānu', ko'ti'ti', porque tatzo'kni' na ixtachihuīn Dios: “Natatzokostani'ya' lā' namācā'tanī'ya' miMāpa'ksīni' Dios lā' natlahua'ya' xmān a'ntū xla' lacasqui'n”.
MAT.4.11	Lā' tuncan huan ko'ti'ti' a'kxtekui'līlh. Lā' makapitzīn ángeles tamilh lā' tamaktaka'lhli Jesús.
MAT.4.12	Lā' Jesús a'xni'ca' māca'tzīnīca a'nchī ixchī'canī't Juan, tuncan a'lh nac estado de Galilea 
MAT.4.13	lā' tū' tachokolh nac Nazaret. A'lh tahui'la huan nac cā'lacchicni' Capernaum pajtzu na ixquilhtūn huan xcān. Lā' nā huā'mā' ti'ya't ixmāpācuhuīcan ixti'ya'tca'n Zabulón lā' Neftalí. 
MAT.4.14	Huā'mā' pātle'kelh para natlōkentaxtū a'ntū tzo'kli huan profeta Isaías na ixtachihuīn Dios. Chuntza' tzo'kli:
MAT.4.15	Huan ti'ya't a'nlhā māpācuhuīcan Zabulón lā' a'nlhā māpācuhuīcan Neftalí, a'ntza' tētaxtu huan tej a'ntū a'n hasta nac mar.
MAT.4.15	Lā' nā a'ntza' tintacut huan pūxka Jordán nac estado de Galilea a'nlhā tahui'lāna' huan a'ntīn tū' israelitas.
MAT.4.16	Huan tachi'xcuhuī't hua'chilh ixtahui'lāna' a'nlhā cā'pucsua' lā' chuhua'j talaktzī'lh huan ka'tla' pūmaksko.
MAT.4.16	Lā' xlaca'n a'ntī hua'chilh ixtanīmā'na lā' huāk lej cā'skē'k ixtahuanī't.
MAT.4.16	Lā' chuhua'j talaktzī'lh a'nchī lej xkaka.
MAT.4.16	Chuntza' tzo'kli Isaías.
MAT.4.17	Lā' tuncan Jesús tzuculh a'cta'sana'ntā'kchoko lā' hualh:
MAT.4.17	―Calīlakaputza'tit ixpālacata huan talaclē'i' a'ntūn tlahuanī'ta'ntit lā' caxtāpalī'tit mintapāstacna'ca'n porque tapajtzūmā'tza' a'xni'ca' Dios nacāmāpa'ksīkō' huan tachi'xcuhuī't.
MAT.4.18	Lā' a'xni'ca' Jesús ixlatlā'huan na ixquilhtūn xaka'tla' xcān a'ntū huanican Lago de Galilea, cālaktzī'lh kalhatu' chi'xcuhuī'n a'ntī lītā'timīn ixtahuanī't. Kalhatin Simón ixuanican lā' ixlītāpātu' ixtacuīni' Pedro. Huan ā'kalhatin Andrés ixuanican. Xlaca'n squī'tī'ni'nī'n ixtahuanī't lā' ixtamojōmā'na ixpūxuākna'ca'n nac xcān. 
MAT.4.19	Tuncan Jesús cāhuanilh:
MAT.4.19	―Caquilāstālani'uj lā' na'iccāmāsu'ni'yāni' a'nchī nacālīmākalhlaka'ī'nī'yā'tit tachi'xcuhuī't ixtachihuīn Dios.
MAT.4.20	Chu tuncan tamakxtekli ixpūxuākna'ca'n lā' tatā'a'lh Jesús.
MAT.4.21	Lā' a'xni'ca' a'lh ā'lacatin, cālaktzī'lh ā'kalhatu' huampala lītā'timīn. Xlaca'n ixo'kxa'n Zebedeo ixtahuanī't lā' ixtacuīni' kalhatin Jacobo lā' ā'kalhatin Juan. Ixtatā'hui'lāna' ixtāta'ca'n huan nac barco lā' ixtalacachī'mā'na ixpūxuākna'ca'n. Lā' Jesús cāmāta'sīlh. 
MAT.4.22	Lā' chu līmaktin xlaca'n tatacutli huan nac barco lā' ta'a'kxtekui'līlh ixtāta'ca'n lā' ta'a'lh tastālani'lh Jesús.
MAT.4.23	Lā' Jesús ixtlā'huantēlha chu xalhā nac estado de Galilea lā' ixcāmāsu'ni'mā' tachi'xcuhuī't na ixlītokpānca'n israelitas nac lakatunu' cā'lacchicni'. Ixcāmāsu'ni'mā' a'nchī nala a'nlhā Dios māpa'ksīni'n lā' ixcāmātzeyīmā' ixlīhuākca'n huan tāpālhūhua' ta'jatat a'ntū ixcāpasanī't tachi'xcuhuī't. 
MAT.4.24	Chuxalhā nac huan ti'ya't a'nlhā huanican Siria cāmāca'tzīnīca ixpālacata Jesús. Lā' cālīmini'ca ixlīhuākca'n huan ī'tzaca'nī'n. Cālīmini'ca a'ntī ixtapātīmā'na chuxatūya ta'jatat lā' chuxatūya taca'tzāt. Lā' cālīmini'ca a'ntī ixtaka'lhī huan tlajana'nī'n lā' huan a'ntī ixtaxtacnānī lā' huan a'ntī ixtalū'ntū'lanī't. Lā' Jesús cāmātzeyīkō'lh. 
MAT.4.25	Lā' līlhūhua' xalanī'n nac estado de Galilea tastālani'lh lā' nā xalanī'n nac huan cā'lacchicni' Decápolis lā' Jerusalén. Lā' nā tastālani'lh xalanī'n nac estado de Judea lā' xalanī'n nac huan ti'ya't tintacut huan pūxka Jordán.
MAT.5.1	Lā' a'xni'ca' Jesús cālaktzī'lh a'nchī tamilh lhūhua' tachi'xcuhuī't, xla' tā'cxtulh huan nac ti'na'j kēstīn lā' a'ntza' tahui'lalh. Lā' ī'sca'txtunu'nī'n tuncan talītamacxti'li'lh. 
MAT.5.2	Lā' Jesús tzuculh cāmāsu'ni'.
MAT.5.2	Lā' chuntza' Jesús cāhuanilh:
MAT.5.3	―Ka'lhī'yā'tit a'ntū nalīpāxuhua'yā'tit hui'xina'n palh u'cxca'tzīyā'tit que tū' tzey hui'xina'n lā' lej tzey a'nchī Dios cālakalhu'manāni' a'yuj tū' tzey hui'xina'n. Nalīpāxuhua'yā'tit porque Dios cāmāpa'ksīmā'ni'.
MAT.5.4	’Ka'lhī'yā'tit a'ntū nalīpāxuhua'yā'tit hui'xina'n palh lakaputza'yā'tit ixpālacata huan mintalaclē'i'ca'n o ixpālacata chuxatū catūhuā porque Dios nacāmāko'xamāka'tlī'yāni'.
MAT.5.5	’Ka'lhī'yā'tit a'ntū nalīpāxuhua'yā'tit hui'xina'n a'ntīn tū' līka'tla'jca'tzīyā'tit nīn tuntū' porque ixlīhuāk huan ti'ya't milaca'n nahuan.
MAT.5.6	’Ka'lhī'yā'tit a'ntū nalīpāxuhua'yā'tit hui'xina'n a'ntī lej lacuan lacu'tunā'tit na ixlacapūn Dios hua'chi huan a'ntī tzi'ncsa putza ixtahua'. Dios nacāmaktāyayāni' lā' chuntza' lej lacuan nala'yā'tit.
MAT.5.7	’Ka'lhī'yā'tit a'ntū nalīpāxuhua'yā'tit hui'xina'n a'ntī cālakalhu'manā'tit ā'makapitzīn porque nā Dios nacālakalhu'manāni'.
MAT.5.8	’Ka'lhī'yā'tit a'ntū nalīpāxuhua'yā'tit hui'xina'n a'ntī xmān lakatin mintapāstacna'ca'n lā' ū'tza' a'nchī nalīmakapāxuhua'yā'tit Dios. Nalīpāxuhua'yā'tit porque nac a'kapūn nalaktzī'nā'tit Dios calacan.
MAT.5.9	’Ka'lhī'yā'tit a'ntū nalīpāxuhua'yā'tit hui'xina'n a'ntī cāmāko'xamixī'yā'tit tachi'xcuhuī't a'ntīn talā'a'kchā'ni'. Nalīpāxuhua'yā'tit porque nacātamā'pācuhuī'yāni' ixcamana' Dios.
MAT.5.10	’Ka'lhī'yā'tit a'ntū nalīpāxuhua'yā'tit hui'xina'n a'yuj pātīni'mpā'na'ntit xmān porque tlahua'pā'na'ntit ixtapuhuān Dios. Nalīpāxuhua'yā'tit porque Dios cāmāpa'ksīmā'ni'.
MAT.5.11	’Ka'lhī'yā'tit a'ntū nalīpāxuhua'yā'tit hui'xina'n a'xni'ca' tachi'xcuhuī't cātalakapalayāni' lā' cātamātakāhuī'yāni' lā' lej cātalē'ksa'nīni'nāni' tāpālhūhua' a'ntūn tū' stu'ncua'. Capāxuhua'tit a'xni'ca' cātatlahuani'yāni' chuntza' xmān porque quilāstālani'uj. 
MAT.5.12	Lej capāxuhua'tit como nac a'kapūn māquī'canī't a'ntū mila'ca'n nala lā' ū'tza' lej lhūhua' ixtapalh. Nā chu a'cxtim cāmāpātīnīca huan ixa'cta'sana'nī'n Dios xalanī'n makāntza'.
MAT.5.13	Lā' Jesús cāhuanipā:
