LUK.1.1	Гьал ппараттар алучӀуная ахъакьас че мисаъ хьуна, ккеттушу курарихъас. 
LUK.2.16	ТегӀди кей учӀуная хӀуьппехъенар рекъуьъ. Адегуна, джикӀиная гебури Юсуфна Майрам. ТӀунаъ икӀуна бицӀи шиникквра ахьуная. 
LUK.2.17	Шиниккв агуф, хӀуьппехъенари ахъакьуная чиппис малайикди Ге Шиникквдихъас петтар. 
LUK.2.18	Джалла юркӀв алийинаттар муьхӀтал хьуна гъузуная, хӀуьппехъенари файдина хабарил. 
LUK.2.19	Майрама кӀилди ге курар учин юркӀураъ икӀуна атуная. 
LUK.2.20	ХӀуьппехъенар адиная хаб алдаркуна, шукур аркьай Аллагьдисра, кӀилди чиппис агуттарисра унихьуттарисра. Малайикди гебурис пунагъилди хьуная.
LUK.2.21	Муйе ягъалас суннат аркьа вахтт хьегуна, алихьуная шиникквдил ттур Ӏиса. Фуниъ хьастти алийина ттур хьуная ге малайикди.
LUK.2.22	Шиниккв хуна хумбеф мертт вере вахтт алттархьегуна, Юсуфана Майрама, Мусайин 
LUK.2.23	Аллагьдин закуниъ ликӀинагъилди: «Гьертти учин садпе кӀиркӀ бахш акьуна кканефе Аллагьдис», 
LUK.2.24	садакьара акьас, Аллагьдин закуниъ пунагъилди: «Ӏу гӀуд я луфуран Ӏу чарккв».
LUK.2.25	Ахьуная те вахттуни Ерусалимдиъ Симеон агъа са инсан. Ге хьуная Аллагьдин юлайиъ ай дуз юркӀуран инсан, гъузунаф Аллагьдин Кумакихъ Ӏизраилдис. Гил алхьуная Аллагьдин РуьхӀ. 
LUK.2.26	Симеонас Аллагьдин РуьхӀди пуна ахьуная:
LUK.2.26	– Вун кӀесттава Месигь дагуна.
LUK.2.27	Аллагьдин РуьхӀди ях агъаф суман, адиная ге Аллагьдин хулади. Гьеге ягъа Юсуфана Майрама файдиная гич бицӀи Ӏиса, закуниъ агъилди акьас пуна. 
LUK.2.28	Гебур ачадегуна, Симеона училди гъушуна Шиниккв, шукур акьуна Аллагьдис, пуная:
LUK.2.29	– Гьал Вун фартая юркӀв сакинди Ве лукӀ, Аллагь ТегӀела. Аларкьуне Вун пуна гаф:
LUK.2.30	Зе уларис агуне инсанар УхӀаф,
LUK.2.31	Вун джалла халкьарис гьикунаф.
LUK.2.32	Ӏекв, кӀилди халкьарин улар дархъаф,
LUK.2.32	ТегӀрифе, Ве Ӏизраилдин халкьдин.
LUK.2.33	Дадна баб муьхӀтал хьуная Симеона Шиникквдихъас петтарил. 
LUK.2.34	Симеона гебурис хайир дуьгӀера акьуна, Майрамас, Гин бабас, пуная:
LUK.2.34	– Ме Шиниккв багьана хьуна, ппара инсанар Ӏизраилдиъ ахтт хьасе, ацӀунттар Гин кумак фай гъайшасе. Михъас ппара хӀуьджатар, гъургъубар хьасе, 
LUK.2.35	ве юркӀураас ханджал аттирхӀу суман хьасе вас джуьреттарин юркӀураъ ая джинабан хиялар ягӀархьегуна.
LUK.2.36	Гисаъ ахьуная пайгъамбар Аннара, Фануилан руш, Асиран тухумдиас. ХӀа яшарин Ӏуьссе хьир хьуная ге, шувас ушуна ери исалас джигьилди ами ашкӀин хьунаеф. 
LUK.2.37	Аме Ӏуьмур фатуная ги ашкӀинди. МайцӀурна якьу ис хьуная гин. Сивара ухӀай, дуьгӀебура аркьай, гьемишан Аллагьдин хулаъ ахьуная Анна. 
LUK.2.38	Те арайи Аннара гьучушуна гебуригьди шукур акьуная Аллагьдис. Ерусалимдис Кумакихъ гъузунадегьен инсанарис ахъакьуная Аннайи ге шиникквдихъас.
LUK.2.39	Аллагьдин закуниъ пунадегьенттара акьуна, адиная Майрамна Юсуф Галилея дерейиди, чиппин Назарет агъа хӀуриди. 
LUK.2.40	Шиниккв хӀа вей батӀар джанра акьуная, фагьумра ппара хьуная, Аллагьдин дуьгӀебурин иджвел алхьуная Гил.
LUK.2.41	Гьер иса Ӏисайин дадар бабар вей хьуная Ерусалимдиди Пасхайин хӀа ягъас. 
LUK.2.42	Ӏисайин цӀеӀу ис хьегуна, адиная гебур, гьемишан чаб верегъилди суман, хӀа ягъарис Ерусалимдиди. 
LUK.2.43	ХӀа ягъар кӀиркӀухаб, дадна баб ушуная хулади, Ӏиса экьуная Ерусалимдиъ. Дадар бабарис ягӀай хуна адава, Ге тисаъ амеф. 
LUK.2.44	Гебурин фикир хьуная джуьре инсанаригӀай рекъуьъ ай Ме пуна. Гиштти ушуная мебур кӀилин ягъди. Хабди, руцуная Майрамна Юсуф Гихъас багунттаригӀ, ягӀаттаригӀ. 
LUK.2.45	ДаджикӀина, хаб адиная мебур Ерусалимдиди Гихъас руцас. 
LUK.2.46	Хьибу ягъалас джикӀиная мебурис Ге Аллагьдин хулаъ. Ге гӀахьуная мегӀелимаригӀ, гебурил юркӀв алийина, гебурис суалар ирцӀанди. 
LUK.2.47	Джалла Гил юркӀв алихьунаттар муьхӀтал вей хьуная Гин фикирарил, Гин гъургъубарил. 
LUK.2.48	Дадна баб ппара муьхӀтал хьуная Ге агуф. Баба пуная Гис:
LUK.2.48	– Е зе кӀиркӀ, Вун фас миштти акьуфе час? Ве дадра зунна гъамар аркьай руцай уйи Вахъас.
LUK.2.49	Ӏисайи гебурис пуная:
LUK.2.49	– Фас руцаттар э чун Захъас? Чвас ягӀай адавуйив Зун Зе Дадан хулаъ ахьуна кканеф?
LUK.2.50	Гебур гъавурдиъ архьуна адава Ӏисайи чиппис петтин.
LUK.2.51	Ӏиса адиная гебурихъай Назаретиди, гебурин юлайиъ ахьуная Ге. Джалла хьунаттар Ӏисайин баба учин юркӀураъ икӀуна атуная. 
LUK.2.52	Ӏиса хӀа вей, Ӏисайин фагьумра ппара хьуная, батӀар джанна акьуная. Ӏиса кканхьуная Аллагьдисра, инсанарисра.
LUK.3.1	Тиберия агъа паччагь Римдин паччагьвелди ай цӀегӀифудпе ис хьегуна, Ягьудея дерейин хӀавелдиъ ахьуная Понтий Пилат агъаф. Ирод хьуная Галилея дерейин хӀаф, гин чу Филип – Итурея дерейинна Трахания дерейин хӀаф. Лисаний хьуная Абилена дерейин хӀаф. 
LUK.3.2	Кайяфана Ханан агъаттар хьуная хӀа маллабур. Гьете иса, къумариъ ая Захарияйин кӀиркӀас, ЯхӀъяйис, Аллагьди гьикуная хабар. 
LUK.3.3	ЯхӀъя ушуная Иордан агъа нецӀун къирагъарихъ хъая джиларилди. Ги инсанарис агъай хьуная хьеттигӀ гӀучӀуна гӀайчӀва гӀедат акье агъай, чве гунагьар чве гардандиъ гъушен агъай, чве гунагьарилас гъил гъушанас. 
LUK.3.4	Пайгъамбар Ишаяйин китабиъ ликӀина суман:
LUK.3.4	«Къумариъ унихьая сес:
LUK.3.4	ХӀезур акье Аллагьдис рекъ, майдан акье Ги лек иша мукьар
LUK.3.5	АчӀар гьава хьурай
LUK.3.5	гунтӀарна сувар хьеба хьурай,
LUK.3.5	рекъер майдан хьурай
LUK.3.5	уркӀар шергве хьурай;
LUK.3.6	Хуппай джалла инсанарис агвасе, Аллагьди чаб ухӀаяф».
LUK.3.7	ЯхӀъяйилди вей хьуная ппара инсанар хьеттигӀ гӀучӀуна гӀайчӀва гӀедат акьас. ЯхӀъяйи гебурис агъай хьуная:
LUK.3.7	– Иланарис хуруттар! Гьина э чвас пеф чвафас Аллагьдин дивандиккес ккейчӀвас хьасе пуна? 
LUK.3.8	Иджвелин курарилди агваракье чве гунагьар чун чве гардандиъ гъушунаеф! Чун имикӀа юркӀураъ: Че дад – Ибригьим э пуна! Зун чвас агъая, Аллагьдифас гьеме гъванарикес акьас хьасе Ибригьимас шиникквар. 
LUK.3.9	ЯкӀв хъихьуная кӀурарин мерӀерихъ, идже емиш алгъадеве кӀур, атӀуна гӀихьая цӀигӀ.
LUK.3.10	– Айчин, фикьуна кканде чин? – пуна хабар гъуланди ахьуная гифас халкьди.
LUK.3.11	ЯхӀъяйи пуная:
LUK.3.11	– Ӏу берхӀем хъаятти, са берхӀем йирай садра хъадаваттис, Ӏелеф аяттира гьегиштти акьурай.
LUK.3.12	Налукар завал аркьаттара адиная хьеттигӀ гӀучӀуна гӀайчӀва гӀедат акьас. Гебури хабар гъушуная:
LUK.3.12	– Е мегӀелим, фикьуна кканде чин?
LUK.3.13	ЯхӀъяйи гебурис пуная:
LUK.3.13	– Фаша магъа инсанарис алттухъинф, чвас дарукьаф.
LUK.3.14	Хаб са Ӏу аскерари хабар гъушуная гифас:
LUK.3.14	– Чин фикьуна кканде?
LUK.3.14	ЯхӀъяйи гебурис пуная:
LUK.3.14	– Фаттмадива инсанарифас гуджунилдина гучӀар гьихьай пулар. Сайикра дава тахсир кимикӀа. Рази ухь чве ваджибил.
LUK.3.15	Халкь ппара Ӏайи гъузуна ахьуная Месигьахъ. Джаллабури фикир аркьай хьуная Месигь эгьан ЯхӀъя, агъай. 
LUK.3.16	ЯхӀъяйи гебурис пуная:
LUK.3.16	– Зун мертт аркьая чун хьеттилди, амма адесе Те, заалас кьудрат хъаяф. Зун Гин лекаригӀ гӀайа ччеӀер гӀатасра кехӀей хӀисаби ккея инсан дава. Ги чун мертт аркьай ахьасе Аллагьдин РуьхӀуьлдина цӀилди. 
LUK.3.17	Гин кьур мертт аркьа кӀетӀа, сумар гӀадархъай, Гин гъилив фая. Кьур Ги завал акьасе тахаъ, сумар угасе кеттдеве цигӀ. 
LUK.3.18	Гьегишттира хъара джуьре гафарилдира ягӀар аркьай, ЯхӀъяйи гъай хьуная халкьдис идже хабар.
LUK.3.19	Тегуна хӀавелдиъ ая Ирода ацӀуна дава курар акьуна ахьуная. Ги хьирди акьуна ахьуная Ирадиада агъа учин ччуччун хьир, ппара Ӏайвелара акьуна ахьуная инсанарис. ЯхӀъяйи агъай хьуная ги акьунадегьен дава курарихъас. 
LUK.3.20	Гьегихъас Ирода ачикуная ЯхӀъя дусттагъиъ, хъучихьуна джалла учин Ӏайвеларихъди сад сара.
LUK.3.21	КӀилди халкьдис хьеттигӀ гӀучӀуна гӀайчӀва гӀедат аркьагуна, Ӏисара адиная Учис гьеге гӀедат акьас ЯхӀъяйилди. ХьеттигӀас гӀайчӀуна Ӏисайи дуьгӀе аркьагуна, дахъуная завар. 
LUK.3.22	Гилди аладиная луфуран ухшарар кея Аллагьдин РуьхӀ. Завариас унихьуная сес:
LUK.3.22	– Вун Зе ппара ккане КӀиркӀ. Вун Зе мурадар бегьем аркьаф э!
LUK.3.23	Инсанаригьди Аллагьдин гаф фай айчӀугуна, Ӏисайин вей хьуная хьибцӀур ис.
LUK.3.24	Инсанари фикир аркьа суман, Ӏиса хьуная Юсуфан кӀиркӀ. Юсуф – Ӏелин кӀиркӀ. Джуьре Гин дадар хьуная:
LUK.3.24	Матат, Леви, Малки, Янай, Юсуф,
LUK.3.25	Матитай, АмуцӀ, Наум, Хесли, Нагъай,
LUK.3.26	Махат, Матитай, Шими, Ясих, Яуда,
LUK.3.27	Юханан, Риса, Зарубавил, Салафиэл, Нери,
LUK.3.28	Малки, Ади, Хъусам, Элмадам, Эр,
LUK.3.29	Яшуа, Ӏелизар, Ярим, Матат, Леви,
LUK.3.30	Симеон, Юда, Юсуф, Янам, Элаким,
LUK.3.31	Мали, Мина, Матата, Натан, Давуд,
LUK.3.32	Ишай, Авид, Буаз, Сала, Нахшун,
LUK.3.33	Аминадав, Админ, Арни, Гьесрум, Перец, Яуда,
LUK.3.34	Якьуб, ИсхӀекь, Ибригьим, Терах, Нахур,
LUK.3.35	Серух, Реу, Фалек, Эвер, Шалах,
LUK.3.36	Каинан, Арпахшад, Сим, НухӀ, Ламех,
LUK.3.37	Мафусал, Энух, Иред, Магьалай, Каинан,
LUK.3.38	Энус, Сиф, Адам – Аллагь.
LUK.4.1	Аллагьдин РуьхӀ архьуна, ушуная Ӏиса Иордандин къирагъарихъас. РуьхӀди файдиная Ге къумариди. 
LUK.4.2	Къумариъ, ягъцӀур ягъди Ӏисайихъ Иблис хъуруцай хьуная, Ге тӀулаас адихьас кканди. Гьеге ягъцӀур ягъди фера ӀуьтӀунара адава Ӏисайи. ЯгъцӀур ягъ ккеттушугуна, гаш хьуная Гис.
LUK.4.3	Иблиса пуная Ӏисайис:
LUK.4.3	– Вун – Аллагьдин КӀиркӀ идехаб, гьеме гъвандикес гуни верегъилди акье.
LUK.4.4	Ӏисайи джуваб йиная гис:
LUK.4.4	– 
LUK.4.5	Хаб, Иблиса файшуна Ӏиса гьава мукьуйилди, агвар акьуная Гис гьеге сеӀетти кӀилди дуьнйайин паччагьвелар. 
LUK.4.6	Иблиса пуная Ӏисайис:
LUK.4.6	– КӀилди ге паччагьвелар, гебурин кьудратара, девлетара хъай Вас есе зун. Гебур зас йинаттаре, дехӀела зафас гьинас кканчира ес вея гебур. 
LUK.4.7	Магьа, Вун зе удигь кьвакьварилди гъузуна, Вун зе юлайиъ архьухаб, джалла гебур Веттар хьасе.
LUK.4.8	Ӏисайи джуваб йина пуная:
LUK.4.8	– ЛикӀиная: «Са Аллагь ТегӀелайин удигь дала кьвакьварилди магъурзана, са Лин юлайиъ ухь».
LUK.4.9	Хаб Иблиса файдина Ӏиса Ерусалимдиди, алихьуная Ге Аллагьдин хулан ке гьава кӀукӀал. Иблиса пуная Гис:
LUK.4.9	– Вун Аллагьдин КӀиркӀ идехаб, алайш гьемисалас ахтт. 
LUK.4.10	ЛикӀина аду:
LUK.4.10	«Аллагьди Учин малайикарис буюрмиш акьасе Вас гъил гьучихьас,
LUK.4.11	гебури Вун гъиларил алгъикӀуна гъасе, Ве лек гъвандигь гьучидирхӀас».
LUK.4.12	Ӏисайи джуваб йина, пуная гис:
LUK.4.12	– ЛикӀиная: «Азмурар маркьа Аллагь ТегӀелайикес».
LUK.4.13	Сара фи пуна тӀулаас адихьайчира дагӀай, са вахттунисттегьен сакинди атуная Иблиса Ӏиса.
LUK.4.14	РуьхӀдин кьуват ай адиная Ӏиса Галилея дерейиди. КӀилди ге дерейин багулив фая мукьариъ ад архьуная Ӏисайихъас. 
LUK.4.15	Гисаъ 
LUK.4.16	Ӏиса адиная Назаретиди, Уч хӀа хье хӀуриди. Гьемишан суман, адиная Ге киш ягъа дуьгӀебур хура хулади. Ӏиса гъайшиная гирами китабариъ ликӀинаттар хурас. 
LUK.4.17	Гилди йиная пайгъамбар Ишаяйин китаб. Дахъуна китаб, джикӀиная Ӏисайи ме гафар ликӀина мукь:
LUK.4.18	«Аллагьдин РуьхӀ алдея Заал,
LUK.4.18	Зун Аллагьди гӀаттивунаф идехӀела гӀеджизарис идже хабар акьас.
LUK.4.18	Ли гьикунафе Зун, фацунаттарис азадвел хьасе пас, сукъурарис Ӏекв агвасе пас.
LUK.4.18	Ли гьикунафе Зун, азиятикк ккеяттар фатас,
LUK.4.19	Аллагьдин иджвелин вахтт хъучадиная пас».
LUK.4.20	Алакьуна китабра, йина гисаъ кар аркьаттилди, Ӏиса экьуная. ДуьгӀебур хура хулаъ адегьенттарин улар гил алхьуная. 
LUK.4.21	Ӏисайи пуная:
