MAT.1.1	Yomba i Yesus Krais
MAT.2.6	God yegl dungwa,
MAT.2.6	“‘Betlehem kamun ene,
MAT.2.6	Juda makanomugl, sugl
MAT.2.6	meglkwa yomba kamuno
MAT.2.6	yongwa ye mina ene atne
MAT.2.6	kaima ta moglkitnga.
MAT.2.6	Ene mina king ta morambuka
MAT.2.6	ye na yombanma Israel sugl morambuka.’”
MAT.2.7	Yegl digo Herot pirtre ana ye ande umara iro pirpogl singwa yomba wingwa ikra uglmange ere di-indre kugl-kuri wu nongugl ongwa engemo i kirendi dipera ere prukwa. 
MAT.2.8	Ana yegl ertre Betlehem kamun enaglme dungwa,
MAT.2.9	Ana king kamo pirtre okuwo ye ende eingwa, ye pi konbo ande umara iro kugl-kuri kanigwa ikra aglke wu nongugl pi okuna yeite pipi gak giglte moglmara yungu igle mitna kogl gidi pangwa. 
MAT.2.10	Ye kugl-kuri pango kandre gun kandekinde kaima yeingwa. 
MAT.2.11	Ye ende yungugl pi gak giglte mam Maria bogl miurko kandre ana mangidi goglkuno bondugl dembiye karaugl ereteingwa. Yegl ere pandigl ana gagl bona yauro gol ya, kungo ya te paura demine orkwa i munduwo argan pre teingwa. 
MAT.2.12	Ana God uglkumbu mina ye ende ikine Herot moglmara pikriyo ditongo, ana ye konbo pereta ende ikine yungunomugl eingwa.
MAT.2.13	Pirpogl singwa yomba ikra endpi endeingo, ana Josep ugl pamara Yaglkande angelomo wu uglkumbu mina yegl dungwa, “Ene andigl gak kembra mam bogl auro imin teke ende Isip makan piyo. Igle pi mogl paimbi na ka aglketa ene ditenaglka, sraglpre Herot ye gak kembra doko kan indre sigoragle dungwa.”
MAT.2.14	Yegl ditongo, Josep ye enduwer andigl gak kembra mam bogl auro yungo, teke ende Isip eingwa. 
MAT.2.15	Ye Isip mogl paingo Herot goglkwa. Ana propet ye Yaglkande kamo ta dungwa i paiyungwa. Ye yegl dungwa, “Na wana Isip makan moglko aglendi menda endiga.”
MAT.2.16	Enge igle King Herot yegl prukwa, ande umara yomba ye kakimbi ditendre ende eingwa ipre ye dem pond kumbrukwa. Yeglpre yomba diendungo Betlehem kamun kande ya kembra winambodi yagl gak kembra buglayungu suwo mogl ende atne wingwa i sigogl kondingwa. Sraglpre, Herot eremogl yagl gak buglayungu suwo neingwa sigolo dungwa i okuna kana nomano pai pogl sungwa yomba ye kugl-kuri koglkwa engemo i ditengo ye prukwa pre yegl orkwa. 
MAT.2.17	Yegl erikwa i propet Jeremaia ka ta dungwa pangwa i paiyungwa:
MAT.2.18	“Rama dumo kande suna
MAT.2.18	kai kaglkane kande ere
MAT.2.18	tembrumba yei meglkwa.
MAT.2.18	Resel ye nangiglma wagle
MAT.2.18	kaino orkwa, ye dem
MAT.2.18	munduwo siyau dinamune
MAT.2.18	dingwa ba ye manedi prukwa,
MAT.2.18	sraglpre, ye nangiglma prapra gogl kondingwa.”
MAT.2.19	Herot goglko ana Yaglkande angelomo ye Isip makan iro Josep uglkumbu mina wu nongugl pi tongwa. 
MAT.2.20	Angelo yegl di Josep tongwa, “Ene andigl gak kembra mam bogl auro imin ende ikine Israel makan enaglmiwo. Yomba gak kembra sigoramune dingwa yombamo ikra gogl kondingwa.”
MAT.2.21	Yegl dungo, Josep andigl gak kembra mam bogl auro yungo ye ende ikine Israel makan eingwa. 
MAT.2.22	Ba Josep yegl di prukwa. Arkeleas ye nem Herot wu suglosi Judia kingno moglkwa yeglpre Josep igle enambuka kundugl goglkwa. Ba God uglkumbu mina ye ka ditongwa pre ende Galili makan taun eingwa.
MAT.2.23	Ye endpi taun ta kangiye Nasaret we dimara igle meglkwa. I propet ka dingwa pangwa i paiyungwa, “Ye Nasaret nem we dinaglkwa.”
MAT.3.1	Enge igle Jon Baptais eremogl, ye Judia dumo kande makan waule, yomba moglkrimara wu, plau dindre ana yaglambu kamambuno di pene ende tongwa. 
MAT.3.2	Ye yegl dungwa, “Ene nomano yake teiyo. Heven kingdom
MAT.3.3	Jon pre God propetmo Aisaia dra mina dite yegl dungwa:
MAT.3.3	“Makan waule suna yomba
MAT.3.3	ta wiyau endungwa,
MAT.3.3	‘Yaglkande pre konbaunamo
MAT.3.3	akekun eriyo. Ye unambuka
MAT.3.3	pre konbo si-ake du endiyo.’”
MAT.3.4	Jon bugla-kamel yungo mina gaglsuna erikwa i ende-ende orkwa. Te bugla-kau nangiye kumagl ta dane mina suna dongwa. Te kaiya moknamo i mongondo ya te brume are nuglo ne-ne orkwa.
MAT.3.5	Enge igle Jerusalem ya Judia kamun mundu te Jodan Nigle mangigl dumo tau yongwa i yomba prapra Jon moglmara wingwa. 
MAT.3.6	Ana ye yene tandaglmeno dipeglko, ana ye Jodan Nigle yomba baptais eretongwa.
MAT.3.7	Jon ye kango Parisi ya Sadyusi wagle merkinde baptais eramnedi wingo ana ye yegl ditongwa, “Ene toki kinde wagle, God dem kumbrukwa ene mina una orkwa. Ira ene dite teke enaglkwa kuno orme dume? 
MAT.3.8	Ene nomano yake tembi, ana embriyeno diporambuka, ene i-yake tengwa pangwa. 
MAT.3.9	Ene Abraham pre no kowano awano moglmedi nomano yegl pirkriyo. Na ene yegl diteinga, God pra we dinan ana kombuglo i Abraham gawamo plau dinaglkwa. 
MAT.3.10	Dimaima endi prapra mambuno mina yeikondungwa. Endi prapra ta mongo wakai koglkraglkwa okuwo boro-gundi atne ende ana piyasi donga mina endinaglkwa.
MAT.3.11	“Ene nomano yake tenaglkwa pre, na nigl mina ene baptais ereteinga. Ba okuwo yomba ta unambuka i yombuglomo pai mitna ende na yombura i engrukwa. Na yomba wakai moglmbo kade ye kagle towo poko yendenaglka kuno erekrukwa. Ye eremogl ene Holi Spirit ya te donga mina ene baptais ere tenambuka. 
MAT.3.12	Ye ikanmo sawol ake indre ungwa. Ye wit sundina prapra siplendi menda ende ana wit mongo gande i yene kaiya moknamo yungu yungugl endinambuka. Ana sundina mongo paikrambuka ye donga gongokre aimande depamara gagltenge erambuka.”
MAT.3.13	Enge igle Yesus Galili kamun kondo Jon baptais ere narambedi pre ende Jodan Nigle ongwa. 
MAT.3.14	Ba Jon manedi yegl dungwa, “Ene na baptais ere natn kuno erambuka. Sraglpre ene na moglmara une?”
MAT.3.15	Ana Yesus ka yegl di ikine ende tongwa, “Yegl manga, erme na dimere yeglmere ero. Embriye du-yene yegl mina nono pra God munduwo pamere yegl ouglo kade kuno erambuka.” Ana Jon eremogl Yesus dumere orkwa.
MAT.3.16	Yesus baptais erekondo oglandi, nigle ende egli undre ende menda ungo. Ana enge i keunde kamun mitna audungo, ye kango God Spiritmo kua yumugl mereyegl ende atne undre ye moglmara egli moglkwa. 
MAT.3.17	Ana heven imbo ka ta yegl dungwa, “I na Wana, na ye wakai kandre nomana wakai teinga.”
MAT.4.1	Okuwo Holi Spirit eremogl Yesus auro yendpi dumo waule yomara ongwa, i Satan di nusinambuka pre auro yongwa. 
MAT.4.2	Igle Yesus ermine 40 ya te enduwer 40 kaiya mawagl ere nekre mogl kindan goglkwa. 
MAT.4.3	Ana bagl nusinambuka yaglmo ye moglmara undre yegl ditongwa, “Ene God Wam kaima motnga panan kombuglo moglkwa imer dimin wu bret yeingwa no.”
MAT.4.4	Ba embi Yesus yegl di ikine endungwa, “Kamambuno pepa mina muno beglkwa pangwa, ‘Yomba bret keunde ta nendre kor aimande moglkraglkwa. God dra mina ka prapra ungwa i engenge pir sikasi moglpai eraglkwa.’”
MAT.4.5	Satan aglke Yesus yendpi Jerusalem siti holi pindre ana God holi yungumo mina bolamugl punduno kaima endungwa andigl moglko. 
MAT.4.6	Yegl ditongwa, “Ene God Wam kaima motnga panan ene puglodi ende atne po. Kamambuno pepa mina muno yegl beglkwa pangwa:
MAT.4.6	“‘God angelomo ene pre
MAT.4.6	diendinan ye wu onguno
MAT.4.6	mina ene boglo ere mitna
MAT.4.6	endimbi, ene yange
MAT.4.6	kombuglo suwarata katn boglkrambuka.’”
MAT.4.7	Ana Yesus yegl di ikine endungwa, “Ka ta ombugl yegl muno beglko pangwa, ‘Yaglkande ene Godnen ye ta eran kanagledi bakagl tekro.’ 
MAT.4.8	Ba Satan aglke kordagl Yesus yendpi kamun muglo oltokuri kaima ta yomara endungwa moglko ana makan koglkoglo taragl prapra ya dumo kande koglkoglo yombuglomo ya bumbuno orkwa i prapra ombuno dite, 
MAT.4.9	yegl dungwa, “Taragl prapra kanga i na ene mundu tekondinaglka. Erme ene goglkun bondugl na dembina karaugl ere naro.”
MAT.4.10	Dungo Yesus yegl di ikine endungwa, “Satan, ene ende eglke po. Kamambuno pepa yegl muno beglko pangwa, ‘Yaglkande ene Godnen suwara dembiye karaugl ere tendre ana ye suwara kongunmo eratnga.’”
MAT.4.11	Yegl dungo Satan eremogl Yesus kindekondo endongo ana angelo wu Yesus akeple dingwa.
MAT.4.12	Yesus prukwa Jon kane sime digo ana ye ende ikine Galili ongwa. 
MAT.4.13	Ye Nasaret kamun kindekondo endpi Kaperneam kamun Galili niglmong bina moglpai orkwa, iwe Sebulun ya te Naptali yomba makanomugl.
MAT.4.14	Sragl yegl orkwa i propet Aisaia ka dungwa pamara i kaima paiyungwa:
MAT.4.15	“Sebulun makan ya te
MAT.4.15	Naptali makan, konbo endpi
MAT.4.15	mundi nigl kande ongwa,
MAT.4.15	Jodan Nigle bina Galili
MAT.4.15	kamun igle Yomba Bina meglmara.
MAT.4.16	Igle yomba mim mina
MAT.4.16	meglkwa, erme ambuglange
MAT.4.16	kande sungwa kanigwa,
MAT.4.16	ye geglkwa mambuno pamara
MAT.4.16	wanmeglko, ambuglangesi
MAT.4.16	i-pene ende tongwa.”
MAT.4.17	Enge igle Yesus mambuno bogl God kamo di pene endungwa, “Ene nomano yake teiyo. Sraglpre God kingdomo ene mina mangigl ungwa.”
MAT.4.18	Galili Nigle bina igle Yesus wan pi kango angigle angigle suwo miurka. Saimon kangiye ta Pita we dingwa, te angigle Andru, ye fis ere simbrika yomba, yeglpre ye fis ere singwa gagl ende nigle ende miurka. 
MAT.4.19	Yesus yegl ditongwa, “Ene na mokonamugl wiro, na beke teimbo ene yomba ere-inambrika.” 
MAT.4.20	Ana tambre kana fis ere simbrika gatno kindekondo ana omara embrika.
MAT.4.21	Ye kurita ende inde pindre kango, Sebedi wam suwo Jems ya te angigle Jon neno Sebedi bogl fis gagl bot mina ake kuno ere meglko ana Yesus yagl suwo agle dungwa. 
MAT.4.22	Ana tambre kana ye suwo neno ya te bot kindekondo ana Yesus omara mokomugl embrika.
MAT.4.23	Yesus Galili kamun prapra wu ikine ikine pi, makai yungu merkinde yomara pi God kingdomo ka wakai dipene endindre ana kinde imbo kanekane ere ende, te kinde singwa ere ikor ende tongwa. 
MAT.4.24	Ye taragl orkwa i yomba diwai digo Siria makan prapra pirkondingwa. Ana yomba kinde kanekane sungwa i-wingwa. Nangino giugl singwa ya te spirit kinde bogl meglkwa ya te kuakiku singwa ya te mau singwa i prapra i-wingo, ana ye erewakai ere tongwa. 
MAT.4.25	Ana Galili yomba merkinde kaima wingwa, te Dikapolis yomba ya te Jerusalem yomba ya te Judia dumo kande bina yei ende wu Jodan Nigle yomara koglo imbo i prapra Yesus omara mokomugl eingwa.
MAT.5.1	Yomba merkinde wingo Yesus kandre ye endpi kamun muglo ta amedungwa.
MAT.5.2	Ye mambuno bogl ka beke tongwa:
MAT.5.3	“Yomba yene spiritno
MAT.5.3	pre kundugl gogltre ana
MAT.5.3	nomano ake atne ende
MAT.5.3	waningwa, God eran ye gun
MAT.5.3	yenaglkwa, heven kingdom inaglkwa.
MAT.5.4	Yomba kai kaglkane ere
MAT.5.4	meglkwa, God eran ye gun
MAT.5.4	yenaglkwa, God deno
MAT.5.4	munduno akebiyei tenambuka.
MAT.5.5	Yomba ye yene pre pirko
MAT.5.5	atne orkwa i God eran ye gun
MAT.5.5	yenaglkwa, God makanmo i prapra ye tenambuka.
MAT.5.6	Yomba mambuno du-yene
MAT.5.6	pre sikasi, kaiya ya nigl
MAT.5.6	mere yegl kindan gogl
MAT.5.6	moraglkwa, God eran ye
MAT.5.6	gun yenaglkwa. God te kuno erambuka.
MAT.5.7	Yomba ta eremogl yomba
MAT.5.7	tau pre mitno gogl waningwa
MAT.5.7	yomba, God eran ye gun
MAT.5.7	yenaglkwa. God ye mitno gogl tenambuka.
MAT.5.8	Nomano suna pesungwa
MAT.5.8	yomba God eran ye gun
MAT.5.8	yenaglkwa, ye God kanaglkwa.
MAT.5.9	Yomba deno munduno
MAT.5.9	bipokndi yenambedi konbo
MAT.5.9	singwa yomba God eran
MAT.5.9	ye gun yenaglkwa, God
MAT.5.9	na nangrima meglme dinambuka.
MAT.5.10	Yomba mambuno du-yene
MAT.5.10	erikwa ipre ye ere singwa,
MAT.5.10	God eran ye gun yenaglkwa,
MAT.5.10	heven kingdom ye inaglkwa.
MAT.5.11	“Yomba kanimbi ene na yombanma meglmbi, ana ye eremogl ene ka kinde dite, ere sindre te, kakimbi kanekane ditembi, ana God eran ene gun yenaglkwa. 
MAT.5.12	Ene gunyei argan eriyo, sraglpre ene topono kande heven suna ene pre yei-pangwa, okuna ye ama yegl propet wagle ere singwa mere ene ere sinaglkwa.
MAT.5.13	“Ene manginagle mundi mere meglkwa. Ana mundi i druwomo ta paikran, nono sragl oun kade druwomo aglke wu panambe? Mundi yeglmere kongunmo ta paikrukwa. Yomba toindi ende engre kuwagl paglkwa.
MAT.5.14	“Ene makandle ken ambuglange meglkwa. Siti ta kamun muglo yenambuka, ye taragl ta si yokokrambuka. 
MAT.5.15	Te yomba ken-lam ta gagl ipi baket mina atnekra ta yeikraglkwa. Tamanga. Ye ipi boglmo mina bolamugl yeingo ana ambuglangesi yomba yungugl meglkwa i prapra tongwa. 
MAT.5.16	Kuno yeglmere, ene ambuglangeno i yomba ongumutno-mugl ambuglange sinan yomba ene mambunono wakai eraglkwa i kandre ana ene Neno heven suna moglkwa imbo ye dembiyesi tenaglkwa.
MAT.5.17	“Na winga i lo ya propet kanno mambuno i ta i-eglke endinagledi pre umedi pirkriyo. Na ka i kaima erekuno era pre winga. 
MAT.5.18	Na ka kaima di ene teinga, kamun kua ya makan wau borambrika enge igle, lo muno kembra beglkwa pangwa i suwara yene ta, wu taya pikrambuka. Tamanga. Lo kamo beglkwa i prapra paimogl enan taragl i pra plaudi kondinambuka. 
MAT.5.19	Yeglpre yomba ta God lomo i suwarata piran taragl yoko mereyegl eran sende pandigl, ana pi yomba ta bekete mambuno yegl ero dinan, ana ye heven kingdom imbo kangiye wu atne enambuka, ba ye na lona i sika sindre ana yomba ta bekete kuno yeglmere eriyo dinan, ye kangiye kande heven kingdom suna panambuka. 
MAT.5.20	Yeglpre na ene diteinga, “God mambunomo du-yene i ya te pirngi dingwa i ta yombuglo ere lo beke teingwa yomba ya te Parisi wagle engre atne ende pi kawa tekrimbi, ene heven kingdom suna ta pikraglkwa.”
MAT.5.21	Yesus ka tau yegl dungwa, “Kowano awano ka di wingwa i ene pirkondingwa, ‘Ene yomba sigoglkriyo, yomba ta eremogl yomba ta sigoran, ye kot erambuka.’ 
MAT.5.22	Ba na ka yegl di ene teinga, yomba ta eremogl angigle ta dem kumbro tenan ye kot wagle enambuka. Aglke yomba ta eremogl, angigle ta ka kinde ditenan, ye iyu kot kande wagle enaglkwa. Ba yomba ta eremogl yomba ta yegl ditenambuka. Ene yagl tom du we ta dinan, yombamo i guglo kamun pi donga denambuka.
MAT.5.23	“Yeglpre, ene ofan iyu kamambuno yungu alta mina undre noman suna pitn ana angitn taragl tandaglme ta ere tongwa pai dinan, 
MAT.5.24	ana ene ofan i alta wagle mangigl yei pandigl, ene aglke ende ikine pi angitn moglmara emin ana ka i di akedu endinambrika, yegl erekondo pandigl okuwo ofan ipi God tenatnga.
MAT.5.25	“Yomba ta ene ipi kot ere tenagledi eran, ene oglandi akedu endiro. Ene konbo bange enambrara i ka di akedu endiro, tamanan ye ene ipi ka tange teingwa yomba ongo wagle yenambuka. Ana ka tange teingwa yomba ene ipi kimbirnem kande ongo mina yenan, ana ye ene ipi kane yungu endinambuka. 
MAT.5.26	Na ka kaima diteinga, ene ende menda ukre kane paimogltre ana kot dumere mere topo prapra te kondinatnga.”
MAT.5.27	Yesus ka ta yegl dungwa, “‘Yaglambu wino embino meglkwa kunogl gundokrikwa,’ 
MAT.5.28	Ba na ene diteinga, yagl ta ye ambu kandre bumbuno kaima yene goran, ana yagl i dem munduwo wagle ime ye ambu kunogl gundo kondungwa. 
MAT.5.29	Yeglpre ongumutn wokra tandaglme eratnedi eran, i pogl endekondo. I wakai yene, ene ta pogl endekitn, ongun nangin mundu ipi guglo kamun endinatnga. 
MAT.5.30	Te ongun wo i tandaglme ta eratnedi eran, goglumdi kinde kondo. I wakai yene, nangin kembra ta ere i-suagle sinan nangin mundu ipi guglo kamun ende dinambiwo.”
MAT.5.31	Yesus ka ta yegl dungwa, “Okuna ka yegl dingwa, ‘Yagl ta embiye sendinagle dinan, ana ye yaglambu simbiglki dingwa pepa i muno bogltre pandigl, ana ye embiye sendinambuka.’ 
MAT.5.32	Ana na ene diteimbo piryo: Yagl ta embiye kinde kondinan, ana ambu i konbo gua wanambedi pre yegl orkwa. Te yagl ta ambumo kinde kondungwa ikra inan ye ama kunogl gundungwa.”
MAT.5.33	Yesus ka ta ama yegl dungwa, “Kowano awano okuna yegl dingwa i ene pirkondingwa, ‘Ene kakimbi di i ka kaima endekro. Yaglkande ongumuglo wagle kamo dinga i akegidi moglo.’ 
MAT.5.34	Ba na erme ene diteinga, ene ka di gidi heven imbo we dikraglkwa, heven i God boglmo yongwa; 
MAT.5.35	te manginagle God kagle yei prukwa dumo yongwa, te Jerusalem, King Kande sitimo yongwa, 
MAT.5.36	ana ene bitn mina ka digi dikratnga. Sraglpre, ene bitn yungo suwarata ere kama ende kruwo ende erekratnga. 
MAT.5.37	Ene ka mongo bogl dinatnga. Owo din pra iwe, te tamane dimin manga iwe. Ana ka tau pitnara dinatnga ikra Satan mina ungwa.”
MAT.5.38	Yesus ka ta yegl dungwa, “Okuna ka digo ene pirkondingwa, ‘Yomba ta eremogl yomba ta ongumuglo si doksinan, ana mongo kuno yegl ereto. Te yomba ta eremogl singiye si uglo sinan, ene ama kuno yegl ere tenatnga.’ 
MAT.5.39	Ba na ene etne yegl ditenaglka, yomba ta ene erekinde ere tembi, ene ere-ikine ende tekriyo. Te yomba ta paunan wokra atndang sinan, ama koglo kondakra temin sinano. 
MAT.5.40	Te yomba ta ene ipi kot ere tenagledi yombuglo ere gatn suna atne gugl inan, ama gagl tembe akiye gugl to. 
MAT.5.41	Te yomba ta yombuglo ere ene gaglmo bona konbauna sungunagle kine ipo dinan, ene konbauna olto kine ipo. 
MAT.5.42	Ana yomba ta taragl ta naro dinan, ene to, te ta taragl kur i-wanagle dinan ama to.”
MAT.5.43	Yesus ka tau ama yegl dungwa, “Okuna ka yegl digo ene pirkondingwa,
MAT.5.44	Ba na etne ene yegl ditenaglka, ene kundano ikine kanwakai yei, te ene eresingwa yomba ye pre God kamange eretenaglkwa. 
MAT.5.45	Yegl erimbi Neno Kande heven moglkwa imbo kaima nangiglma moraglkwa. Yeglpre, ye orko ande si yomba kinde ya te du-yene wagle akiye tongwa, te ye dungo kamun si yomba kinde ya te du-yene wagle akiye tongwa. 
MAT.5.46	Ana yomba ene wakai kanaglkwa i ene ye ama wakai kanimbi ana ene God mina sragl topo inaglme? Takis ingwa yomba mambuno kuno yegl ama erekrimo? 
MAT.5.47	Ana ene yeinenga keunde ka wakai dite motn, sragl ere yomba pere kanwakai yenatne? Kamambuno pirpogl sikrikwa yomba ama yegl erekrimo? 
MAT.5.48	Yeglpre ene Neno heven imbo du-yene moglmere yegl ene ama du-yene molo.”
MAT.6.1	Yesus aglke yegl dungwa, “Ene kan kuno eriyo! Ene mambuno du yene eraglkwa i yomba no kanaglmedi erekriyo. Ene yegl ta erimbi, Neno heven suna moglmara topono ta ikraglkwa.
MAT.6.2	“Yeglpre yomba mirte ta moran ene taragl ta tenagledi pirmin, bu dingwa mereyegl erekratnga. Kamambuno kakimbi yomba ye makai yungu yungugl ya te konbo bange yomba no kandre dembino sinaglmedi yegl ere-ere erikwa. Na ka kaima ene diteinga, ye topono mundu i-kondingwa. 
MAT.6.3	Ba yomba taragl ta inagledi doko moran ene tenatnga, i ongun wokra taragl ta erambuka i ongun kondakra pirkan erekrambuka. 
MAT.6.4	Yeglpre ene yomba taragl eretenga i teke panambuka. Ana okuwo ene Nen taragl teke pangwa kangwa nem, ye ene topo te ikine endinambuka.
MAT.6.5	“Ene kamange eraglkwa enge, i kamambuno kimbi yomba erimere yeglmere ene erekraglkwa. Ye makai yungu yungugl kra ya te konbo bange andigl mogl, yomba no kanaglmedi kamange ere waningwa. Na ka kaima ene diteinga, ye topono boglkango igo kondungwa. 
MAT.6.6	Ba ene kamange eragledi piratnga enge, ene ende kiule panara pi yungu dra yongugl pandigl ana Neno teke moglkwa ye kamange ere tenatnga. Ana ene Neno taragl teke pangwa pirkan orkwa nem, ye pra ene topo te ikine endinambuka. 
MAT.6.7	Ana ene kamange eraglkwa enge, ene kayoko kanekane dindre kakimbi yomba erimere yegl erekraglkwa, sraglpre, ye kamange olto ouno kade God ye kamangeno pir norambedi yegl ere-ere erikwa. 
MAT.6.8	Ene ye erimere yegl erekraglkwa. Ene taragl dokingwa i Neno kan kondungo ene okuwo krapogl teingwa:
MAT.6.9	“Ipre ene kamange yegl eraglkwa:
MAT.6.9	“‘No Neno ene heven suna
MAT.6.9	motnga, ene kangin holi panambiwo.
MAT.6.10	Ene kingdomnen unano.
MAT.6.10	No ene pitnere mere
MAT.6.10	makandle yegl keunde
MAT.6.10	eramniwo, i heven suna erimere yegl.
MAT.6.11	No kaiya mokna enge
MAT.6.11	yomere yomere ninamga i noratniwo.
MAT.6.12	No tandaglmeno kinde
MAT.6.12	kondo noro, no yomba
MAT.6.12	tau ye kinde ere norikwa
MAT.6.12	i kindekondo tenamga.
MAT.6.13	Ene no auro i baglnu
MAT.6.13	mina pikro. Taragl kinde
MAT.6.13	mina ene no i-eglke endo.’ 
MAT.6.14	Pirmo! Ene yomba tau tandaglme ere tenaglkwa i kindekondo tembi kade, ene Neno heven moglkwa imbo yeglmere ene kindekondo tenambuka. 
MAT.6.15	Ba ene yomba tau tandaglme ere tembi, ene kindekondo tekrimbi, ana ene Neno heven moglkwa imbo ene tandaglmeno ama ere ende tekrambuka.
MAT.6.16	“Ene kaiya mokna mawagl eraglkwa enge, gumano drano kinde ere, kakimbi dingwa yomba erimere yeglmere erekraglkwa. Ye gumano drano kinde erikwa i yomba ye kaiya mokna mawagl erikwa pamiwodi kanaglmedi pre yegl erikwa. Na kaima ene diteinga, ye topono mundu makandle i-kondingwa. 
MAT.6.17	Ba ene kaiya mokna mawagl ta eratnga enge ana kungo bitn mina ere, te guman dran nigl koratnga. 
