GEN.1.1	Deusũ nai inũ mai dami wakĩ eska wakĩ taewanikiaki. 
GEN.1.21	hene merã hiweaburi ewapabu bestibu damiwakĩ baka betsa betsapa bestibu damiwakĩ peiyabu betsa betsapa bestibu damiwakĩ haska washũ uiã pekẽ 
GEN.1.22	pepawakĩ Deusũ hatu yunukĩ:
GEN.1.22	“Bake wakĩ hau pa wapakeshanũbũwẽ. Hene tibi merã hau matashanũbũwẽ. Mai hirabi anu peiyabu betsa betsapari hau papakeshanũbũwẽ”, hatu watã 
GEN.1.23	5 dia shaba damiwai dayanikiaki, Deusrã.
GEN.1.24	Haska wabaishĩshũ Deusũ mai yunukĩ:
GEN.1.24	“Hamapai betsa betsapa bestibu maĩ hau habu damiwayunũwẽ, piti yuinaka inũ, pitibuma yuinaka inũ, ina wati yuinaka inũ, ina watima yuinaka inũ, taeyabu inũ, tae hayabumarã”, 
GEN.1.25	haska piti yuinaka inũ pitibuma yuinaka Deusũ damiwashũ dasibi uiã pekẽ 
GEN.1.26	Deusũ ana yuikĩ: “Yurabu damiwanãwẽ, nuku itsarã, nukũ yushĩ keska wakinã, mai hirabi anu baka inũ, piti yuinaka inũ, pitibuma yuinaka hau hatũ ibu washanũbunã”, ishũ 
GEN.1.27	ha itsa huni inũ aĩbu hatu damiwashũ 
GEN.1.28	hatu duawakĩ yunukĩ yuikĩ: “Matũ bakebu bawakĩ hatu pa wapakeshãkãwẽ. Hiweakeakebaũkĩ mai hirabi anu matuna wakĩ ibu wai shanẽ ibupakeshãkãwẽ, hene anu baka inũ, manaũria peiyabu inũ, yuinaka dasibi maĩ sharaibu dikabi ibu wakinã”, iwanã, 
GEN.1.29	“Uiã, yunu hesheya inũ hi bimi hesheya mai hirabi anu ẽ matu inaiĩ, matũ pitirã. 
GEN.1.30	Hamẽ yuinaka dasibi hiweaibu pubẽ inũ pubẽbumarã, peiyabu inũ maĩ sharaibu dasibi ni mashu inũ ni bimi ẽ hatu inaiĩ, dasibi yuinakapã pitirã”, haska washũ 
GEN.1.31	dasibi ma damiwa uiã pehairakẽ 6 dia shaba dayanikiaki, Deusrã.
GEN.2.1+GEN.2.2+GEN.2.3	Haska dayakĩ nai inũ, mai inũ, hiweabu dasibi damiwakĩ keyutã hawẽ dami daya menetã ana damiwama 7 dia shaba keyutã Deus huĩrukunikiaki. Haskawẽ taeshũ Deusũ hawẽ henea 7 dia shaba hawena wakĩ meribi wanikiaki, huĩrukũti wakinã.
GEN.2.4+GEN.2.5	Nai inũ mai hirabi Deus, hawẽ kena kayabi Senhor Deusuũ, hatũ damiwakẽ eskakubainibukiaki. Habũ bai uruti huni hayariamakẽ mai anu Deusũ ui imariamawẽ taea piti yunubu beneriamakẽ 
GEN.2.6	hanũkaĩ basnũ mai anua kaĩkĩ mai bemetxa waya 
GEN.2.7	Senhor Deusũ mai mishpu bitã damiwakĩ ha keska wakĩ huni hiwemanũ ishũ hawẽ dekĩ anu shũ aka huni haskai hiwei taenikiaki.
GEN.2.8+GEN.2.9	Hariria bari huaikiri estekiria Éden anu Senhor Deusũ bai banakĩ mai anua hi hawẽruabu inũ hi piti bimiyabu benemashũ, bai nekia mibã hi bimiya ha pia hiwepakemati pepa inũ txakabu unãti hi benemariashũ ma huni damiwa iyushũ hari hiwemanikiaki. 
GEN.2.10	Bai metxa wai Éden anua hene tashni habai taei hene tibi tesheshai 4 hene habai taenikiaki, heneirã. 
GEN.2.11+GEN.2.12	Hene ha dukũ hawẽ kenarã, Pisom inikiaki. Hanua Havilá hirabi datãbauna hanu ouro mane tashipa pepahaira inũ, bdélio mane inũ, sardônica hayanibukiaki. 
GEN.2.13	Hene shesha betsa hawẽ kenarã, Giomki Cuxe hirabi datãbauna inikiaki. 
GEN.2.14	Hene ha dabe inũ besti hawẽ kenarã, Hidéquel inikiaki. Hanua bari huaikiria Assíria datãbaina inikiaki. Hanua hawẽ henei hene dabe inũ dabe Eufrates inikiaki.
GEN.2.15+GEN.2.16+GEN.2.17	Éden bai anu Senhor Deusũ huni iyushũ bai ibu wamakĩ mekemakĩ yuikĩ: “Na bai anu hi betsa betsapa bimi mĩ pitiki. Hakia pepa inũ txakabu unãti hi bimi betsa mepakeyamashãwẽ. Hamẽ mĩ kemukĩ piarã, mĩ mawashanaii”, iwanã, yuitã 
GEN.2.18	ana shinãkĩ: “Huni ha mesti hiwearã, pemaki”, ishũ “Hau hatũ merabewapakeshanũ, ẽ damiwashuaiĩ, ha itsarã”, ishũ 
GEN.2.19	hanua mai anua yuinaka daniyabu inũ peiyabu damiwashĩshũ: “Hau hunĩ harakirira hatu kenanũ”, ishũ Senhor Deusũ uĩmakĩ iwea hamapai yuinaka sharabu bestibu ha hunĩ hatu kenakĩ keyua hariri hatũ kena inibukiaki, ikibi ikirã. 
GEN.2.20	Haska inabu yuinaka inũ peiyabu inũ inabuma yuinaka hunĩ kenakĩ keyutã hakia ha keska hatũ merabewapakeshanai hayamakẽ 
GEN.2.21	Senhor Deusũ hawẽ kushipawẽ huni ushã ushahairakẽ hawẽ pishi bestitxai tsekashũ namiwẽ shui buatã 
GEN.2.22	ha pishi aĩbu wakĩ damiwashũ huni ushanu iyua huni bestẽtã 
GEN.2.23	yuikĩ: “Narã, hawẽ nami ẽ namiki. Hawẽ shau ẽ shauriki”, iwanã, “Huni anua tsekawẽ taeshũ kenakĩ: ‘Aĩbuki’ ”, anikiaki. 
GEN.2.24	Haskawẽ taea hunĩ hawẽ ibubu dapashkabaĩ aĩyainã, hawẽ aĩbe hiwei yura bestitxai keskati waniki. 
GEN.2.25	Hanua huni inũ hawẽ aĩ tariuma dakeama hiwei taenibukiaki.
GEN.3.1	Senhor Deusũ yuinaka betsa betsapabu damiwanirã, dunũ hawenabu binumai unanepahairakĩ aĩbu parãkĩ yukakĩ:
GEN.3.1	—Uiã. “Bai hi bimi betsa betsapa tibi piyamashãkãwẽ”, akĩ Deusũ matu nemashinamẽ?— aka 
GEN.3.2+GEN.3.3	aĩbũ yuikĩ:
GEN.3.2+GEN.3.3	—Bai hi bimi nũ pitiruki. Hakia Deusũ nuku nemakĩ: “Bai nekia hi bimi betsa kemukĩ piyamashãkãwẽ. Meyamakãwẽ. Piarã, mã mawashanaii”, nuku ashiãki— aka 
GEN.3.4+GEN.3.5	dunũ ana yuikĩ:
GEN.3.4+GEN.3.5	—Haskamaki. Mã mawama ishanaii. Deusunã, txanima unã keyuikiki. Mã ha keska iyamanũ ha hi bimi pepa inũ txakabu unãti mã piyamanũ matu nemashinaki, mã ha keska itirukẽnã— aka 
GEN.3.6	aĩbũ shinãkĩ:
GEN.3.6	—Ha hi bimi piti sharabuki. Hawẽruaki. Hawẽ unãtikiaki— ishũ tsekashũ pishũ hawẽ beneri ma hua inã hatũri pitã 
GEN.3.7	shabakabi unãkĩ tariuma unãtã yuinamei:
GEN.3.7	—Nũ hawawẽ huneamaki, nukũ yurarã— ishũ dakekĩ ni figueira pei keshea hawẽ txiabukutã 
GEN.3.8	bari matsiaya mapuabũ Senhor Deus bai neki huai hawẽ bana nĩkatã bai txaka merã huneabũ 
GEN.3.9	Senhor Deusũ huni kenakĩ:
GEN.3.9	—Mĩ hanimẽ?— aka
GEN.3.10	tashnibirã kemakĩ:
GEN.3.10	—Bai nekia mĩ huai nĩkatã tariuma datehairai ẽ huneshuki— aka
GEN.3.11	—Mĩ tariumarã, tsuã mia yuishumẽ?— atã —Hi bimirã, “Piyamawe”, ẽ mia ashiã mĩ pishumẽ?— aka 
GEN.3.12	hunĩ yuikĩ:
GEN.3.12	—Hatũ ea merabewati aĩbu mĩ ea inãshinatũ hi bimi ea inã ẽ pishuki— aka 
GEN.3.13	Senhor Deusũ aĩbu yukakĩ:
GEN.3.13	—Mĩ haskakĩ haska washumẽ?— aka aĩbũ yuikĩ
GEN.3.13	—Dunũ ea parã ẽ pishuki— aka 
GEN.3.14+GEN.3.15	Senhor Deusũ dunu yuikĩ:
GEN.3.14+GEN.3.15	—Mĩ hatu parãshũwẽ taeshũ yuinaka dasibi meranua ẽ mia txakabuwaii. Na habiatiã bari tibi hiwei nutawẽ kakĩ mĩ mai putu pipakeshanaii— atã —Mia inũ aĩbu, mĩ bababu inũ hawẽ bababu ẽ sinatanamemapakeshanaii— hatu watã Satanás dunu merã hiwea yuikĩ:
GEN.3.14+GEN.3.15	—Mĩ hawẽ tae txitxuku keyukĩ isĩ wãbia maemakĩ aĩbũ babã binukĩ mĩ bushka butxushkĩ shepa wanũ barikiki— atã 
GEN.3.16	aĩburi Deusũ yuikĩ:
GEN.3.16	—Mĩ bake kaiaĩ tibi isĩhairawakĩ ana ẽ mia tenemapakeshanaii. Hakia: “Isĩhairaki”, mĩ ibiakĩ mĩ bene betxipai mĩ habe txutanamepakeshanaii, mĩ benẽ mia mekekĩ ibu warã— iwanã, 
GEN.3.17+GEN.3.18+GEN.3.19	huniri yuikĩ:
GEN.3.17+GEN.3.18+GEN.3.19	—“Hi bimirã, piyamashãwẽ”, ẽ mia wabiashina mĩ ainẽ hãtxa nĩkatã mĩ pishuki. Haskawẽ taeshũ mai itxakanika ẽ mia washuaiĩ. Bari tibi hiwea mĩ piti mai anua bishũ pi mĩ dayahairapakeshanaii. Mĩ yunu banabia musha inũ txaka maĩ mia benemashũpakeshanikiki. Mĩ mai puturiama mĩ piti pi dayahairai mĩ niskãpakeshanaii. Mai ẽ mia damiwa mĩ mawarã, mĩ ana hawẽri maishanaii— akaya
GEN.3.20	—Hanushũ na yurabu dasibi hau hawẽ hiweshanũbũ, iwanã, shinãkĩ hunĩ hawẽ aĩ kenakĩ: “Evaki”— anikiaki, nukũ hãtxarã: “Dasibi hiweshanaibũ hatũ ewa wakinã.” 
GEN.3.21	Senhor Deusũ huni inũ hawẽ aĩ bitxi tari washũtã hatu sawematã 
GEN.3.22	hanua Deus hamebi yuinamekĩ:
GEN.3.22	—Uiã, hunirã, nuku keskatanã, pepa inũ txakabu unãtã hiwepakemati hi bimi bishũ pitiruki. Haskai huni inũ hawẽ aĩ hiwepakeshãkanikiki, mawamarã— itã 
GEN.3.23	Éden bai ewapa anua hatu kaĩmatã hanushũ ha hanua mai huni dami waima anua tashnimakĩ nitxĩkĩ hamebi hau bai wanũ nãta yununikiaki. 
GEN.3.24	Deusũ huni kaĩmatã hanua hiwepakemati hi bimi hanu kati bai anu hau hari ana tsua kayamanũ mekemakĩ yunukĩ bari huaikiria Éden bai hikiti shui anu hawẽ nai tsuma pũyã peiyabu nitxĩtã hawẽ meketi nupe txaipa txi hereya dabekekaũkĩ txashakaũkĩ hau mekenũbũ hawẽ nemakĩ Senhor Deusũ hatu mekemanikiaki.
GEN.4.1	Éden bai anua hatu kaĩma kashũ hunĩ Adão hawẽ aĩ Eva txutakĩ bakewa hawẽ bake tue bena kaiã ha dukũ bake nanea huni bake kaĩshũ kenakĩ: —Caimki— iwanã shinãkĩ: —Deusũ ea merabewaiwẽ taeshũ huni bake ẽ kaĩshuki— inikiaki. 
GEN.4.2+GEN.4.3	Hanua txipu ana hawẽ benẽ bake betsa wa huni bakeri kaiã kenakĩ: “Abelki”, anikiaki. Ha dabe yumewabu ewatã Abel txashuwã yumewanika ikaya Caim bai wanika inikiaki. Hanua betsatiã hanu Senhor Deus kẽwaĩbutiã inãkuĩkatsi ikĩ Caimnẽ hawẽ bai anua yunu beshũ inãyã 
GEN.4.4+GEN.4.5	habiaskari wakĩ inãkuĩkatsi ikĩ Abelĩ txashuwã bake shua pehaira beshũ Deus inã Deusũ Abel inũ hawẽ inãkuĩ hatuna besti betxipaihairakĩ hakia Caimnena danãyã Caim benimama amua sinatahairaya
GEN.4.6	hanushũ Senhor Deusũ Caim yukakĩ:
GEN.4.6	—Mĩ haskai sinatai amuamẽ?— iwanã, 
GEN.4.7	yuikĩ:
GEN.4.7	—Ẽ mia yusiã nĩkai mĩ benimashanaii— atã ana yuikĩ:
GEN.4.7	—Ẽ yusiã danaĩ mĩ pepamakẽ txakabu miki hikia sinata paẽ mia atxitã kanemakatsis ikikiki, inu pubeĩ keskairã. Hakia mĩ txakabũ mia maemapaya mĩ txakaburã, nemashãwẽ— aka
GEN.4.8	ha nĩkabiashina txipu shaba betsatiã Caimnẽ hawẽ betsa Abel yuikĩ:
GEN.4.8	—Unu kayunuwe— abaina habe ka bai anu hikishũ Caimnẽ hawẽ betsa kushakĩ tenãkẽ 
GEN.4.9	Senhor Deusũ unãtã txipu Caim yukakĩ:
GEN.4.9	—Mĩ betsarã, hania?— aka
GEN.4.9	—Earã, ẽ hawẽ mekenikamẽ? Ẽ unãmaki.— aka 
GEN.4.10	Senhor Deusũ yuikĩ:
GEN.4.10	—Mĩ haska washinamẽ?— iwanã —Mĩ betsã himi mai anu habai sai ikĩ hau ẽ mia kupinũ ea yuikiki. Mĩ betsarã, mĩ tenãshinaki— iwanã 
GEN.4.11+GEN.4.12	—Maiwẽ ẽ mia yupuaii. Mĩ betsã himi maiki habai metxashinawẽ taeshũ ẽ mia txakabuwaya mĩ yunu banabia mĩ mibã ana hukuãma ipakeshanikiki. Haskakẽ mai hirabi anu datei mĩ hiweakeakeshanaii— aka 
GEN.4.13+GEN.4.14	Caimnẽ yuikĩ:
GEN.4.13+GEN.4.14	—Mia anua ea nitxĩkĩ ẽ mae anuari mĩ ma ea kaĩmariashuki— iwanã, ana yuikĩ: —Mai hirabi anu ẽ hawauma kakũkaini kauanaya mĩ ea datepaketi washuki. Enabu tibi eki nukua ẽ dateaya ea debu washãkanikiki. Mĩ ea kupia bikahairarã, haska tenei ẽ hiwetirumaki— aka
GEN.4.15	—Haskamaki— iwanã, Senhor Deusũ yura dasibi unãmakĩ yuikĩ:
GEN.4.15	—Tsuãra Caim tenãyanã ẽ kupihairashanaii— atã, hau ha uĩtã hau deteyamanũbũ Senhor Deusũ unãti wakĩ Caimnẽ betũkuki kene netanikiaki.
GEN.4.16	Senhor Deus anua Caim tashnia Éden anua bari huaikiri ka Node mai pakea betsa anu hiweshũ 
GEN.4.17	Caimnẽ aĩbu bitã habe hiweshũ txutanamekĩ bakewaima huni bake kaiã kenakĩ: “Enoqueki” atã hanua hawenabu pai mae ewapahairaibũ kenakĩ hawẽ bakẽ kenakiri kenakĩ: “Enoqueki”, arianikiaki.
GEN.4.18	Enoque bake betsarã, Irade inikiaki. Iradẽ bake betsarã, Meujael inikiaki. Meujaelĩ bake betsarã, Metusael inikiaki. Metusaelĩ bake betsarã, Lameque inikiaki. 
GEN.4.19	Ha Lamequẽ aĩbu dabe aĩwã hatũ kena Ada inũ Zilá inikiaki. 
GEN.4.20	Adaki bake wa huni bake kaiã kenakĩ: “Jabalki”, anibukiaki. Jabal bababũ bitxi hiwe watã hawẽ hiwebaũkĩ ina awa yumewapaunibukiaki. 
GEN.4.21	Ada ha katxu bake bia huni bake kaiã kenakĩ: “Jubalki”, anibukiaki. Jubalĩ bababũ harpa mimawati dispiya inũ teperewe mawanika ipaunibukiaki. 
GEN.4.22	Zilá dikabitũ bake bia huni bake kaiã kenakĩ: “Tubalcaimki”, anibukiaki. Tubalcaimnẽ bababũ mane bronze inũ ferro mabu betsa betsapa txasha beshmas wamisbu ipaunibuki. Tubalcaimnẽ pui kaiã kenakĩ: “Naamáki”, anibukiaki.
GEN.4.23+GEN.4.24	Shaba betsatiã Lamequẽ hawẽ aĩ dabe hatu yuikĩ: “Adaã, Ziláã, mã ẽ aĩ dabeki. Ẽ hãtxa nĩkakãwẽ. Huni berunãtũ ea kushakĩ ea tenãpanã eã ẽ tenãshuki. Huni betsã Caim deteaya 7ki kupitirubuki. Hamẽ, earã, huni betsã ea detearã, 77ki kupishãkanikiki”, hatu anikiaki.
GEN.4.25	Ana Adão hawẽ aĩ Eva txutakĩ bakewaima ana huni bake kaiãyã kenakĩ: “Seteki”, iwanã, shinãkĩ yuikĩ: “Caimnẽ Abel debu waimawẽ taeshũ Deusũ huni bake betsa ea inãshuki”, inikiaki. 
GEN.4.26	Sete ewai aĩyãtã bake bawaima huni bake kaĩshuna kenakĩ: “Enoski”, akimashũ habiatiãri nukũ mekenika Senhor Deus ea akĩ kẽwãkĩ taewakubainibukiaki.
GEN.5.1+GEN.5.2	Ha dukũ huni Adão inũ hawenabu hiwei taei eskakubainibukiaki. Deusũ yurabu damiwakĩ hawẽ yushĩ itsa ha keska huni inũ aĩbu hatu damiwanikiaki. Haska washũ hatu kenakĩ yuikĩ: “Yurabuki, huni inũ aĩburã”, akimashũ hatu merabewakubainikiaki, duawakinã. 
GEN.5.3	Ha dukũ huni Adão hiwekũkaini 130 bariyatũ huni bake betsa bawa hawẽ yura keska ha itsa kaiã kenakĩ: “Seteki”, anishũ 
GEN.5.4	ana 800 bari Adão hiwekũkaĩkĩ huni bakebu inũ aĩbu bakebu bawakubaini 
GEN.5.5	930 bariya mawanikiaki.
GEN.5.6	Sete 105 bariyatũ huni bake bawaima kaiã kenakĩ: “Enoski”, anishũ 
GEN.5.7	ana 807 bari hiwekũkaĩkĩ huni bakebu inũ aĩbu bakebu bawakubaini 
GEN.5.8	912 bariya mawanikiaki.
GEN.5.9	Enos 90 bariyatũ huni bake bawaima kaiã kenakĩ: “Cainãki”, anishũ 
GEN.5.10	ana 815 bari hiwekũkaini huni bakebu inũ aĩbu bakebu bawakubaini 
GEN.5.11	905 bariya mawanikiaki.
GEN.5.12	Cainã 70 bariyatũ huni bake bawaima kaiã kenakĩ: “Maalalelki”, anishũ 
GEN.5.13	ana 840 bari hiwekũkaĩkĩ huni bakebu inũ aĩbu bakebu bawakubaini 
GEN.5.14	910 bariya mawanikiaki.
GEN.5.15	Maalalel 65 bariyatũ huni bake bawaima kaiã kenakĩ: “Jaredeki”, anishũ 
GEN.5.16	ana 830 bari hiwekũkaĩkĩ huni bakebu inũ aĩbu bakebu bawakubaini 
GEN.5.17	895 bariya mawanikiaki.
GEN.5.18	Jarede 162 bariyatũ huni bake bawaima kaiã kenakĩ: “Enoqueki”, anishũ 
GEN.5.19	ana 800 bari Jarede hiwekũkaĩkĩ huni bakebu inũ aĩbu bakebu bawakubaini 
GEN.5.20	962 bariya mawanikiaki.
GEN.5.21	Enoque 65 bariyatũ huni bake bawaima kaiã kenakĩ: “Metusalémki”, anishũ 
GEN.5.22	ana Enoque 300 bari hiwei Deusũ yunua ashuĩ habe haibunamekũkaĩkĩ huni bakebu inũ aĩbu bakebu bawakubaini 
GEN.5.23+GEN.5.24	Deusbe haibui habe nia 365 bariya mawama hau habe hiwei kanũ nai anu Deusũ iyukẽ hawenabũ benabu mai anu yamanikiaki.
GEN.5.25	Metusalém 187 bariyatũ huni bake bawaima kaiã kenakĩ: “Lamequeki”, anishũ 
GEN.5.26	ana 782 bari hiwekũkaĩkĩ huni bakebu inũ aĩbu bakebu bawakubaini 
GEN.5.27	969 bariya mawanikiaki.
GEN.5.28	Lameque 182 bariyatũ huni bake bawaima kaiã 
GEN.5.29	kenakĩ: “Noéki”, iwanã, “Ha dukũ huni damiwa nĩkamakẽ Deusũ mai yupumaniwẽ taea nukũ daya bikahairakẽ nuku hatũ daya meputakamakĩ huĩrukũmakĩ nuku merabewashanikiki”, ani 
GEN.5.30	ana 595 bari hiwekũkaĩkĩ huni bakebu inũ aĩbu bakebu bawakubaini 
GEN.5.31	Lameque 777 bariya mawanikiaki.
GEN.5.32	Noé ma 500 bariya hawẽ bakebu hawa aĩbu bakebu bikĩ husiama huni bake dabe inũ besti hayanikiaki, hatũ kenarã, Sem inũ Cam inũ Jaférã.
GEN.6.1	Yurabu hiwei pai mai anu nati iki taekĩ aĩbuaibu yumei ewaibu 
GEN.6.2	Deus kẽwaĩbũ Deus kẽwãbumã aĩbu bake uĩkĩ shinãkĩ: “Aĩbuaibu hawẽruabuki”, ikĩ betsa betsapa sharabu katushũ aĩwanibukiaki.
GEN.6.3	Hanushũ Senhor Deusũ hatukiri shinãkĩ: “Ẽ yushinẽ hatu merabewapaibia yurabũ ea shinãma txakabukubaĩkĩ hatũ yura besti shinaĩ hiwekanikiki. Haskaibuwẽ taea ana hatishuĩra hunibu hiwetirubumaki. Haskakubainaibu ana 120 bari besti yurabu hiwetã debushãkanikiki”, inikiaki.
GEN.6.4	Habiatiãri yurabu keyatapa kushipa ewapahaira hiwerianibukiaki. Habunã, Deus kẽwanikabũ aĩbuaibu habũ Deus kẽwãbuma hatu aĩwãtã txutanameakeakekĩ hatu bake wa bake itxapa kaiã ewatã hanua habu dukũ shenipabui bebũkirihaira shanẽ ibu kushipabu unanepa hirabibũ unãkĩ hatu kẽwaĩbu hiwepaunibukiaki.
GEN.6.5	Senhor Deusũ hatu uĩkĩ: “Mai anu yurabu txakabuhairakĩ hatũ shinã txakabu hawa heneabumahairaki. 
GEN.6.6	Mai anu yurabu ẽ hatu damiwabiani hatũ txakabuwẽ taea ẽ huĩtinĩ ẽ bika tenehairaii”, ishũ ana shinã txãkãma 
GEN.6.7	yuikĩ: “Yurabu ẽ hatu damiwabiani ea sinatamakanikiki. Yurabu hatu tenãkĩ yamawakĩ habiaskari yuinaka betsa betsapa inũ, maĩ sharaibu inũ, peiyaburi mai anu ẽ hatu damiwani dasibi ẽ habube tenã keyuriashanaii. Ẽ hatu damiwabiani hatukiri ẽ ma shinã betsa hayaki”, inikiaki.
GEN.6.8+GEN.6.9	Hakia Noé pepa hiwekĩ Deus benimawakubaini eskai hiwekũkainikiaki. Hawenabube hiwea ha besti pepakĩ Noé bestitũ Deus haibuwakĩ hawẽ hãtxa txibaĩ hiwekũkaĩkĩ 
GEN.6.10	huni bake dabe inũ besti bawashũ hatu kenakĩ: “Sem inũ Cam inũ Jaféki”, anikiaki.
GEN.6.11+GEN.6.12+GEN.6.13	Mai anu hiweabu txakabui detenamei itxakanikai hatũ mae txakabuwapaunibukiaki. Hatũ txakabu uĩkĩ Deusũ Noé yuikĩ: “Yurabũ shinã txakakĩ akaibu uĩtã eska hatukiri ẽ shinãshinaki. Mai anu ibubis txakabuwaibuwẽ taeshũ yurabu dasibi inũ mai anuabu dasibi ẽ hatu tenãkĩ keyushanaii, yamawakinã”, iwanã, 
GEN.6.14	“Shashu bau keska nunuti ewapa hene hikitiruma wawe, bau itsa dĩtuya wakinã. Hawẽ beshpa tibi buiwẽ buyakĩ pushakĩ keyuwe, petxiuri inũ nashpaurirã”, atã 
GEN.6.15	ana yuikĩ: “Hatishũ washãwẽ, 135 metro hawẽ txaipa wakĩ inũ, 20 metro hawẽ hashpa wakĩ inũ, 13 metro hawẽ kesha keyatapa wakinã”, iwanã, 
GEN.6.16	“Hanushũ hawẽ mabe buiwẽ pushakĩ keyutã hawẽ mabeshãwẽ. Haska watã uke merã tapu dabe wakĩ nabe dabeya washãwẽ. Hanushũ hawẽ uĩti shui pishta manaũri meio metro washãwẽ, hanushũ hanu hikiti shui namakis beputiya wakinã. 
GEN.6.17	Mĩ ma haska wakĩ keyukẽ ẽ hene tueaya yurabu dasibi mai hirabi hiwebaunabu atxi keyua henẽ hasai debui keyushãkanikiki. 
GEN.6.18	Hakia ẽ mia yubaii. Hawẽ nunuti mĩ shashu merã mĩ aĩ inũ, mĩ bakebu inũ, mĩ babawãbube nunuti merã mĩ hikia mã benuyamanũ ẽ matu mekekubaĩshanaii”, akĩ 
GEN.6.19	yuitã yuinakaburi hiwemakatsi ikĩ yuikĩ: “Hiwemakĩ bestibu dabe nunuti merã mibe bitxishãwẽ, yushã inũ benerã, mia keskai hau haburi hiwepakeshanũbunã”, atã 
GEN.6.20	“Piti inũ pitibuma yuinaka betsa betsapa bestibu yushã inũ bene mianu ibubis beaibu ẽ mia hatu mekemashanaii. 
GEN.6.21	Piti betsa betsapa bikĩ mirimahaira itxawatã arushãwẽ, minabu inũ yuinakabubetã mĩ hatubetã pishanairã”, aka 
GEN.6.22	haska Deusũ yunua Noẽ dasibi nĩkashĩshũ txibãkĩ akĩ keyunikiaki.
GEN.7.1	Hanushũ Deusũ Noé yuikĩ:
GEN.7.1	“Yura dasibibube mĩ hiwebia mia besti mĩ pepaki, ẽ hãtxa nĩkai hiwekũkainirã. Haskawẽ taea nunuti merã minabuyas hikiriwe” atã 
GEN.7.2+GEN.7.3	ana yuikĩ: “Pitibu yuinaka betsa betsapa tibi, 7 yushã inũ 7 bene nanekĩ hatu bitxishãwẽ. Ha dikabi peiyabu bene 7 inũ yushã 7 nanekĩ hatu bitxiriashãwẽ. Pitibuma yuinaka betsa betsapa tibi yushã bestitxai inũ bene bestitxai nanekĩ bitxiriashãwẽ, habu mawama mekei hau mai anu mibe ana hiweshanũbunã. 
