MAT.1.1	ibrāhīmaḥ santānō dāyūd tasya santānō yīśukhrīṣṭastasya pūrvvapuruṣavaṁśaśrēṇī|
MAT.2.2	yō yihūdīyānāṁ rājā jātavān, sa kutrāstē? vayaṁ pūrvvasyāṁ diśi tiṣṭhantastadīyāṁ tārakām apaśyāma tasmāt taṁ praṇantum aाgamāma|
MAT.2.3	tadā hērōd rājā kathāmētāṁ niśamya yirūśālamnagarasthitaiḥ sarvvamānavaiḥ sārddham udvijya
MAT.2.4	sarvvān pradhānayājakān adhyāpakāṁśca samāhūyānīya papraccha, khrīṣṭaḥ kutra janiṣyatē?
MAT.2.5	tadā tē kathayāmāsuḥ, yihūdīyadēśasya baitlēhami nagarē, yatō bhaviṣyadvādinā itthaṁ likhitamāstē,
MAT.2.6	sarvvābhyō rājadhānībhyō yihūdīyasya nīvr̥taḥ| hē yīhūdīyadēśasyē baitlēham tvaṁ na cāvarā|isrāyēlīyalōkān mē yatō yaḥ pālayiṣyati| tādr̥gēkō mahārājastvanmadhya udbhaviṣyatī||
MAT.2.7	tadānīṁ hērōd rājā tān jyōtirvvidō gōpanam āhūya sā tārakā kadā dr̥ṣṭābhavat , tad viniścayāmāsa|
MAT.2.8	aparaṁ tān baitlēhamaṁ prahītya gaditavān, yūyaṁ yāta, yatnāt taṁ śiśum anviṣya taduddēśē prāptē mahyaṁ vārttāṁ dāsyatha, tatō mayāpi gatvā sa praṇaṁsyatē|
MAT.2.9	tadānīṁ rājña ētādr̥śīm ājñāṁ prāpya tē pratasthirē, tataḥ pūrvvarsyāṁ diśi sthitaistai ryā tārakā dr̥ṣṭā sā tārakā tēṣāmagrē gatvā yatra sthānē śiśūrāstē, tasya sthānasyōpari sthagitā tasyau|
MAT.2.10	tad dr̥ṣṭvā tē mahānanditā babhūvuḥ,
MAT.2.11	tatō gēhamadhya praviśya tasya mātrā mariyamā sāddhaṁ taṁ śiśuṁ nirīkṣaya daṇḍavad bhūtvā praṇēmuḥ, aparaṁ svēṣāṁ ghanasampattiṁ mōcayitvā suvarṇaṁ kunduruṁ gandharamañca tasmai darśanīyaṁ dattavantaḥ|
MAT.2.12	paścād hērōd rājasya samīpaṁ punarapi gantuṁ svapna īśvarēṇa niṣiddhāḥ santō 'nyēna pathā tē nijadēśaṁ prati pratasthirē|
MAT.2.13	anantaraṁ tēṣu gatavatmu paramēśvarasya dūtō yūṣaphē svapnē darśanaṁ datvā jagāda, tvam utthāya śiśuṁ tanmātarañca gr̥hītvā misardēśaṁ palāyasva, aparaṁ yāvadahaṁ tubhyaṁ vārttāṁ na kathayiṣyāmi, tāvat tatraiva nivasa, yatō rājā hērōd śiśuṁ nāśayituṁ mr̥gayiṣyatē|
MAT.2.14	tadānīṁ yūṣaph utthāya rajanyāṁ śiśuṁ tanmātarañca gr̥hītvā misardēśaṁ prati pratasthē,
MAT.2.15	gatvā ca hērōdō nr̥patē rmaraṇaparyyantaṁ tatra dēśē nyuvāsa, tēna misardēśādahaṁ putraṁ svakīyaṁ samupāhūyam| yadētadvacanam īśvarēṇa bhaviṣyadvādinā kathitaṁ tat saphalamabhūt|
MAT.2.16	anantaraṁ hērōd jyōtirvidbhirātmānaṁ pravañcitaṁ vijñāya bhr̥śaṁ cukōpa; aparaṁ jyōtirvvidbhyastēna viniścitaṁ yad dinaṁ taddinād gaṇayitvā dvitīyavatsaraṁ praviṣṭā yāvantō bālakā asmin baitlēhamnagarē tatsīmamadhyē cāsan, lōkān prahitya tān sarvvān ghātayāmāsa|
MAT.2.17	ataḥ anēkasya vilāpasya nināda: krandanasya ca| śōkēna kr̥taśabdaśca rāmāyāṁ saṁniśamyatē| svabālagaṇahētōrvai rāhēl nārī tu rōdinī| na manyatē prabōdhantu yatastē naiva manti hi||
MAT.2.18	yadētad vacanaṁ yirīmiyanāmakabhaviṣyadvādinā kathitaṁ tat tadānīṁ saphalam abhūt|
MAT.2.19	tadanantaraṁ hērēdi rājani mr̥tē paramēśvarasya dūtō misardēśē svapnē darśanaṁ dattvā yūṣaphē kathitavān
MAT.2.20	tvam utthāya śiśuṁ tanmātarañca gr̥hītvā punarapīsrāyēlō dēśaṁ yāhī, yē janāḥ śiśuṁ nāśayitum amr̥gayanta, tē mr̥tavantaḥ|
MAT.2.21	tadānīṁ sa utthāya śiśuṁ tanmātarañca gr̥hlan isrāyēldēśam ājagāma|
MAT.2.22	kintu yihūdīyadēśē arkhilāyanāma rājakumārō nijapitu rhērōdaḥ padaṁ prāpya rājatvaṁ karōtīti niśamya tat sthānaṁ yātuṁ śaṅkitavān, paścāt svapna īśvarāt prabōdhaṁ prāpya gālīldēśasya pradēśaikaṁ prasthāya nāsarannāma nagaraṁ gatvā tatra nyuṣitavān,
MAT.2.23	tēna taṁ nāsaratīyaṁ kathayiṣyanti, yadētadvākyaṁ bhaviṣyadvādibhirukttaṁ tat saphalamabhavat|
MAT.3.1	tadānōṁ yōhnnāmā majjayitā yihūdīyadēśasya prāntaram upasthāya pracārayan kathayāmāsa,
MAT.3.2	manāṁsi parāvarttayata, svargīyarājatvaṁ samīpamāgatam|
MAT.3.3	paramēśasya panthānaṁ pariṣkuruta sarvvataḥ| tasya rājapathāṁścaiva samīkuruta sarvvathā| ityētat prāntarē vākyaṁ vadataḥ kasyacid ravaḥ||
MAT.3.4	ētadvacanaṁ yiśayiyabhaviṣyadvādinā yōhanamuddiśya bhāṣitam| yōhanō vasanaṁ mahāṅgarōmajaṁ tasya kaṭau carmmakaṭibandhanaṁ; sa ca śūkakīṭān madhu ca bhuktavān|
MAT.3.5	tadānīṁ yirūśālamnagaranivāsinaḥ sarvvē yihūdidēśīyā yarddantaṭinyā ubhayataṭasthāśca mānavā bahirāgatya tasya samīpē
MAT.3.6	svīyaṁ svīyaṁ duritam aṅgīkr̥tya tasyāṁ yarddani tēna majjitā babhūvuḥ|
MAT.3.7	aparaṁ bahūn phirūśinaḥ sidūkinaśca manujān maṁktuṁ svasamīpam āgacchtō vilōkya sa tān abhidadhau, rē rē bhujagavaṁśā āgāmīnaḥ kōpāt palāyituṁ yuṣmān kaścētitavān?
MAT.3.8	manaḥparāvarttanasya samucitaṁ phalaṁ phalata|
MAT.3.9	kintvasmākaṁ tāta ibrāhīm astīti svēṣu manaḥsu cīntayantō mā vyāharata| yatō yuṣmān ahaṁ vadāmi, īśvara ētēbhyaḥ pāṣāṇēbhya ibrāhīmaḥ santānān utpādayituṁ śaknōti|
MAT.3.10	aparaṁ pādapānāṁ mūlē kuṭhāra idānīmapi lagan āstē, tasmād yasmin pādapē uttamaṁ phalaṁ na bhavati, sa kr̥ttō madhyē'gniṁ nikṣēpsyatē|
MAT.3.11	aparam ahaṁ manaḥparāvarttanasūcakēna majjanēna yuṣmān majjayāmīti satyaṁ, kintu mama paścād ya āgacchati, sa mattōpi mahān, ahaṁ tadīyōpānahau vōḍhumapi nahi yōgyōsmi, sa yuṣmān vahnirūpē pavitra ātmani saṁmajjayiṣyati|
MAT.3.12	tasya kārē sūrpa āstē, sa svīyaśasyāni samyak prasphōṭya nijān sakalagōdhūmān saṁgr̥hya bhāṇḍāgārē sthāpayiṣyati, kiṁntu sarvvāṇi vuṣāṇyanirvvāṇavahninā dāhayiṣyati|
MAT.3.13	anantaraṁ yīśu ryōhanā majjitō bhavituṁ gālīlpradēśād yarddani tasya samīpam ājagāma|
MAT.3.14	kintu yōhan taṁ niṣidhya babhāṣē, tvaṁ kiṁ mama samīpam āgacchasi? varaṁ tvayā majjanaṁ mama prayōjanam āstē|
MAT.3.15	tadānīṁ yīśuḥ pratyavōcat; īdānīm anumanyasva, yata itthaṁ sarvvadharmmasādhanam asmākaṁ karttavyaṁ, tataḥ sō'nvamanyata|
MAT.3.16	anantaraṁ yīśurammasi majjituḥ san tatkṣaṇāt tōyamadhyād utthāya jagāma, tadā jīmūtadvārē muktē jātē, sa īśvarasyātmānaṁ kapōtavad avaruhya svōparyyāgacchantaṁ vīkṣāñcakrē|
MAT.3.17	aparam ēṣa mama priyaḥ putra ētasminnēva mama mahāsantōṣa ētādr̥śī vyōmajā vāg babhūva|
MAT.4.1	tataḥ paraṁ yīśuḥ pratārakēṇa parīkṣitō bhavitum ātmanā prāntaram ākr̥ṣṭaḥ
MAT.4.2	san catvāriṁśadahōrātrān anāhārastiṣṭhan kṣudhitō babhūva|
MAT.4.3	tadānīṁ parīkṣitā tatsamīpam āgatya vyāhr̥tavān, yadi tvamīśvarātmajō bhavēstarhyājñayā pāṣāṇānētān pūpān vidhēhi|
MAT.4.4	tataḥ sa pratyabravīt, itthaṁ likhitamāstē, "manujaḥ kēvalapūpēna na jīviṣyati, kintvīśvarasya vadanād yāni yāni vacāṁsi niḥsaranti tairēva jīviṣyati|"
MAT.4.5	tadā pratārakastaṁ puṇyanagaraṁ nītvā mandirasya cūḍōpari nidhāya gaditavān,
MAT.4.6	tvaṁ yadiśvarasya tanayō bhavēstarhītō'dhaḥ pata, yata itthaṁ likhitamāstē, ādēkṣyati nijān dūtān rakṣituṁ tvāṁ paramēśvaraḥ| yathā sarvvēṣu mārgēṣu tvadīyacaraṇadvayē| na lagēt prastarāghātastvāṁ ghariṣyanti tē karaiḥ||
MAT.4.7	tadānīṁ yīśustasmai kathitavān ētadapi likhitamāstē, "tvaṁ nijaprabhuṁ paramēśvaraṁ mā parīkṣasva|"
MAT.4.8	anantaraṁ pratārakaḥ punarapi tam atyuñcadharādharōpari nītvā jagataḥ sakalarājyāni tadaiśvaryyāṇi ca darśayāścakāra kathayāñcakāra ca,
MAT.4.9	yadi tvaṁ daṇḍavad bhavan māṁ praṇamēstarhyaham ētāni tubhyaṁ pradāsyāmi|
MAT.4.10	tadānīṁ yīśustamavōcat, dūrībhava pratāraka, likhitamidam āstē, "tvayā nijaḥ prabhuḥ paramēśvaraḥ praṇamyaḥ kēvalaḥ sa sēvyaśca|"
MAT.4.11	tataḥ pratārakēṇa sa paryyatyāji, tadā svargīyadūtairāgatya sa siṣēvē|
MAT.4.12	tadanantaraṁ yōhan kārāyāṁ babandhē, tadvārttāṁ niśamya yīśunā gālīl prāsthīyata|
MAT.4.13	tataḥ paraṁ sa nāsarannagaraṁ vihāya jalaghēstaṭē sibūlūnnaptālī ētayōruvabhayōḥ pradēśayōḥ sīmnōrmadhyavarttī ya: kapharnāhūm tannagaram itvā nyavasat|
MAT.4.14	tasmāt, anyādēśīyagālīli yarddanpārē'bdhirōdhasi| naptālisibūlūndēśau yatra sthānē sthitau purā|
MAT.4.15	tatratyā manujā yē yē paryyabhrāmyan tamisrakē| tairjanairbr̥hadālōkaḥ paridarśiṣyatē tadā| avasan yē janā dēśē mr̥tyucchāyāsvarūpakē| tēṣāmupari lōkānāmālōkaḥ saṁprakāśitaḥ||
MAT.4.16	yadētadvacanaṁ yiśayiyabhaviṣyadvādinā prōktaṁ, tat tadā saphalam abhūt|
MAT.4.17	anantaraṁ yīśuḥ susaṁvādaṁ pracārayan ētāṁ kathāṁ kathayitum ārēbhē, manāṁsi parāvarttayata, svargīyarājatvaṁ savidhamabhavat|
MAT.4.18	tataḥ paraṁ yīśu rgālīlō jaladhēstaṭēna gacchan gacchan āndriyastasya bhrātā śimōn arthatō yaṁ pitaraṁ vadanti ētāvubhau jalaghau jālaṁ kṣipantau dadarśa, yatastau mīnadhāriṇāvāstām|
MAT.4.19	tadā sa tāvāhūya vyājahāra, yuvāṁ mama paścād āgacchataṁ, yuvāmahaṁ manujadhāriṇau kariṣyāmi|
MAT.4.20	tēnaiva tau jālaṁ vihāya tasya paścāt āgacchatām|
MAT.4.21	anantaraṁ tasmāt sthānāt vrajan vrajan sivadiyasya sutau yākūb yōhannāmānau dvau sahajau tātēna sārddhaṁ naukōpari jālasya jīrṇōddhāraṁ kurvvantau vīkṣya tāvāhūtavān|
MAT.4.22	tatkṣaṇāt tau nāvaṁ svatātañca vihāya tasya paścādgāminau babhūvatuḥ|
MAT.4.23	anantaraṁ bhajanabhavanē samupadiśan rājyasya susaṁvādaṁ pracārayan manujānāṁ sarvvaprakārān rōgān sarvvaprakārapīḍāśca śamayan yīśuḥ kr̥tsnaṁ gālīldēśaṁ bhramitum ārabhata|
MAT.4.24	tēna kr̥tsnasuriyādēśasya madhyaṁ tasya yaśō vyāpnōt, aparaṁ bhūtagrastā apasmārargīṇaḥ pakṣādhātiprabhr̥tayaśca yāvantō manujā nānāvidhavyādhibhiḥ kliṣṭā āsan, tēṣu sarvvēṣu tasya samīpam ānītēṣu sa tān svasthān cakāra|
MAT.4.25	ētēna gālīl-dikāpani-yirūśālam-yihūdīyadēśēbhyō yarddanaḥ pārāñca bahavō manujāstasya paścād āgacchan|
MAT.5.1	anantaraṁ sa jananivahaṁ nirīkṣya bhūdharōpari vrajitvā samupavivēśa|
MAT.5.2	tadānīṁ śiṣyēṣu tasya samīpamāgatēṣu tēna tēbhya ēṣā kathā kathyāñcakrē|
MAT.5.3	abhimānahīnā janā dhanyāḥ, yatastē svargīyarājyam adhikariṣyanti|
MAT.5.4	khidyamānā manujā dhanyāḥ, yasmāt tē sāntvanāṁ prāpsanti|
MAT.5.5	namrā mānavāśca dhanyāḥ, yasmāt tē mēdinīm adhikariṣyanti|
MAT.5.6	dharmmāya bubhukṣitāḥ tr̥ṣārttāśca manujā dhanyāḥ, yasmāt tē paritarpsyanti|
MAT.5.7	kr̥pālavō mānavā dhanyāḥ, yasmāt tē kr̥pāṁ prāpsyanti|
MAT.5.8	nirmmalahr̥dayā manujāśca dhanyāḥ, yasmāt ta īścaraṁ drakṣyanti|
MAT.5.9	mēlayitārō mānavā dhanyāḥ, yasmāt ta īścarasya santānatvēna vikhyāsyanti|
MAT.5.10	dharmmakāraṇāt tāḍitā manujā dhanyā, yasmāt svargīyarājyē tēṣāmadhikarō vidyatē|
MAT.5.11	yadā manujā mama nāmakr̥tē yuṣmān nindanti tāḍayanti mr̥ṣā nānādurvvākyāni vadanti ca, tadā yuyaṁ dhanyāḥ|
MAT.5.12	tadā ānandata, tathā bhr̥śaṁ hlādadhvañca, yataḥ svargē bhūyāṁsi phalāni lapsyadhvē; tē yuṣmākaṁ purātanān bhaviṣyadvādinō'pi tādr̥g atāḍayan|
MAT.5.13	yuyaṁ mēdinyāṁ lavaṇarūpāḥ, kintu yadi lavaṇasya lavaṇatvam apayāti, tarhi tat kēna prakārēṇa svāduyuktaṁ bhaviṣyati? tat kasyāpi kāryyasyāyōgyatvāt kēvalaṁ bahiḥ prakṣēptuṁ narāṇāṁ padatalēna dalayituñca yōgyaṁ bhavati|
MAT.5.14	yūyaṁ jagati dīptirūpāḥ, bhūdharōpari sthitaṁ nagaraṁ guptaṁ bhavituṁ nahi śakṣyati|
MAT.5.15	aparaṁ manujāḥ pradīpān prajvālya drōṇādhō na sthāpayanti, kintu dīpādhārōparyyēva sthāpayanti, tēna tē dīpā gēhasthitān sakalān prakāśayanti|
MAT.5.16	yēna mānavā yuṣmākaṁ satkarmmāṇi vilōkya yuṣmākaṁ svargasthaṁ pitaraṁ dhanyaṁ vadanti, tēṣāṁ samakṣaṁ yuṣmākaṁ dīptistādr̥k prakāśatām|
MAT.5.17	ahaṁ vyavasthāṁ bhaviṣyadvākyañca lōptum āgatavān, itthaṁ mānubhavata, tē dvē lōptuṁ nāgatavān, kintu saphalē karttum āgatōsmi|
MAT.5.18	aparaṁ yuṣmān ahaṁ tathyaṁ vadāmi yāvat vyōmamēdinyō rdhvaṁsō na bhaviṣyati, tāvat sarvvasmin saphalē na jātē vyavasthāyā ēkā mātrā bindurēkōpi vā na lōpsyatē|
MAT.5.19	tasmāt yō jana ētāsām ājñānām atikṣudrām ēkājñāmapī laṁghatē manujāṁñca tathaiva śikṣayati, sa svargīyarājyē sarvvēbhyaḥ kṣudratvēna vikhyāsyatē, kintu yō janastāṁ pālayati, tathaiva śikṣayati ca, sa svargīyarājyē pradhānatvēna vikhyāsyatē|
MAT.5.20	aparaṁ yuṣmān ahaṁ vadāmi, adhyāpakaphirūśimānavānāṁ dharmmānuṣṭhānāt yuṣmākaṁ dharmmānuṣṭhānē nōttamē jātē yūyam īśvarīyarājyaṁ pravēṣṭuṁ na śakṣyatha|
MAT.5.21	aparañca tvaṁ naraṁ mā vadhīḥ, yasmāt yō naraṁ hanti, sa vicārasabhāyāṁ daṇḍārhō bhaviṣyati, pūrvvakālīnajanēbhya iti kathitamāsīt, yuṣmābhiraśrāvi|
MAT.5.22	kintvahaṁ yuṣmān vadāmi, yaḥ kaścit kāraṇaṁ vinā nijabhrātrē kupyati, sa vicārasabhāyāṁ daṇḍārhō bhaviṣyati; yaḥ kaścicca svīyasahajaṁ nirbbōdhaṁ vadati, sa mahāsabhāyāṁ daṇḍārhō bhaviṣyati; punaśca tvaṁ mūḍha iti vākyaṁ yadi kaścit svīyabhrātaraṁ vakti, tarhi narakāgnau sa daṇḍārhō bhaviṣyati|
MAT.5.23	atō vēdyāḥ samīpaṁ nijanaivēdyē samānītē'pi nijabhrātaraṁ prati kasmāccit kāraṇāt tvaṁ yadi dōṣī vidyasē, tadānīṁ tava tasya smr̥ti rjāyatē ca,
MAT.5.24	tarhi tasyā vēdyāḥ samīpē nijanaivaidyaṁ nidhāya tadaiva gatvā pūrvvaṁ tēna sārddhaṁ mila, paścāt āgatya nijanaivēdyaṁ nivēdaya|
MAT.5.25	anyañca yāvat vivādinā sārddhaṁ vartmani tiṣṭhasi, tāvat tēna sārddhaṁ mēlanaṁ kuru; nō cēt vivādī vicārayituḥ samīpē tvāṁ samarpayati vicārayitā ca rakṣiṇaḥ sannidhau samarpayati tadā tvaṁ kārāyāṁ badhyēthāḥ|
MAT.5.26	tarhi tvāmahaṁ taththaṁ bravīmi, śēṣakapardakē'pi na pariśōdhitē tasmāt sthānāt kadāpi bahirāgantuṁ na śakṣyasi|
MAT.5.27	aparaṁ tvaṁ mā vyabhicara, yadētad vacanaṁ pūrvvakālīnalōkēbhyaḥ kathitamāsīt, tad yūyaṁ śrutavantaḥ;
MAT.5.28	kintvahaṁ yuṣmān vadāmi, yadi kaścit kāmataḥ kāñcana yōṣitaṁ paśyati, tarhi sa manasā tadaiva vyabhicaritavān|
MAT.5.29	tasmāt tava dakṣiṇaṁ nētraṁ yadi tvāṁ bādhatē, tarhi tannētram utpāṭya dūrē nikṣipa, yasmāt tava sarvvavapuṣō narakē nikṣēpāt tavaikāṅgasya nāśō varaṁ|
MAT.5.30	yadvā tava dakṣiṇaḥ karō yadi tvāṁ bādhatē, tarhi taṁ karaṁ chittvā dūrē nikṣipa, yataḥ sarvvavapuṣō narakē nikṣēpāt ēkāṅgasya nāśō varaṁ|
MAT.5.31	uktamāstē, yadi kaścin nijajāyāṁ parityakttum icchati, tarhi sa tasyai tyāgapatraṁ dadātu|
MAT.5.32	kintvahaṁ yuṣmān vyāharāmi, vyabhicāradōṣē na jātē yadi kaścin nijajāyāṁ parityajati, tarhi sa tāṁ vyabhicārayati; yaśca tāṁ tyaktāṁ striyaṁ vivahati, sōpi vyabhicarati|
MAT.5.33	punaśca tvaṁ mr̥ṣā śapatham na kurvvan īścarāya nijaśapathaṁ pālaya, pūrvvakālīnalōkēbhyō yaiṣā kathā kathitā, tāmapi yūyaṁ śrutavantaḥ|
MAT.5.34	kintvahaṁ yuṣmān vadāmi, kamapi śapathaṁ mā kārṣṭa, arthataḥ svarganāmnā na, yataḥ sa īśvarasya siṁhāsanaṁ;
MAT.5.35	pr̥thivyā nāmnāpi na, yataḥ sā tasya pādapīṭhaṁ; yirūśālamō nāmnāpi na, yataḥ sā mahārājasya purī;
MAT.5.36	nijaśirōnāmnāpi na, yasmāt tasyaikaṁ kacamapi sitam asitaṁ vā karttuṁ tvayā na śakyatē|
MAT.5.37	aparaṁ yūyaṁ saṁlāpasamayē kēvalaṁ bhavatīti na bhavatīti ca vadata yata itō'dhikaṁ yat tat pāpātmanō jāyatē|
MAT.5.38	aparaṁ lōcanasya vinimayēna lōcanaṁ dantasya vinimayēna dantaḥ pūrvvaktamidaṁ vacanañca yuṣmābhiraśrūyata|
MAT.5.39	kintvahaṁ yuṣmān vadāmi yūyaṁ hiṁsakaṁ naraṁ mā vyāghātayata| kintu kēnacit tava dakṣiṇakapōlē capēṭāghātē kr̥tē taṁ prati vāmaṁ kapōlañca vyāghōṭaya|
MAT.5.40	aparaṁ kēnacit tvayā sārdhdaṁ vivādaṁ kr̥tvā tava paridhēyavasanē jighr̥titē tasmāyuttarīyavasanamapi dēhi|
MAT.5.41	yadi kaścit tvāṁ krōśamēkaṁ nayanārthaṁ anyāyatō dharati, tadā tēna sārdhdaṁ krōśadvayaṁ yāhi|
MAT.5.42	yaśca mānavastvāṁ yācatē, tasmai dēhi, yadi kaścit tubhyaṁ dhārayitum icchati, tarhi taṁ prati parāṁmukhō mā bhūḥ|
MAT.5.43	nijasamīpavasini prēma kuru, kintu śatruṁ prati dvēṣaṁ kuru, yadētat purōktaṁ vacanaṁ ētadapi yūyaṁ śrutavantaḥ|
MAT.5.44	kintvahaṁ yuṣmān vadāmi, yūyaṁ ripuvvapi prēma kuruta, yē ca yuṣmān śapantē, tāna, āśiṣaṁ vadata, yē ca yuṣmān r̥ृtīyantē, tēṣāṁ maṅgalaṁ kuruta, yē ca yuṣmān nindanti, tāḍayanti ca, tēṣāṁ kr̥tē prārthayadhvaṁ|
MAT.5.45	tatra yaḥ satāmasatāñcōpari prabhākaram udāyayati, tathā dhārmmikānāmadhārmmikānāñcōpari nīraṁ varṣayati tādr̥śō yō yuṣmākaṁ svargasthaḥ pitā, yūyaṁ tasyaiva santānā bhaviṣyatha|
MAT.5.46	yē yuṣmāsu prēma kurvvanti, yūyaṁ yadi kēvalaṁ tēvvēva prēma kurutha, tarhi yuṣmākaṁ kiṁ phalaṁ bhaviṣyati? caṇḍālā api tādr̥śaṁ kiṁ na kurvvanti?
MAT.5.47	aparaṁ yūyaṁ yadi kēvalaṁ svīyabhrātr̥tvēna namata, tarhi kiṁ mahat karmma kurutha? caṇḍālā api tādr̥śaṁ kiṁ na kurvvanti?
MAT.5.48	tasmāt yuṣmākaṁ svargasthaḥ pitā yathā pūrṇō bhavati, yūyamapi tādr̥śā bhavata|
MAT.6.1	sāvadhānā bhavata, manujān darśayituṁ tēṣāṁ gōcarē dharmmakarmma mā kuruta, tathā kr̥tē yuṣmākaṁ svargasthapituḥ sakāśāt kiñcana phalaṁ na prāpsyatha|
MAT.6.2	tvaṁ yadā dadāsi tadā kapaṭinō janā yathā manujēbhyaḥ praśaṁsāṁ prāptuṁ bhajanabhavanē rājamārgē ca tūrīṁ vādayanti, tathā mā kuriु, ahaṁ tubhyaṁ yathārthaṁ kathayāmi, tē svakāyaṁ phalam alabhanta|
MAT.6.3	kintu tvaṁ yadā dadāsi, tadā nijadakṣiṇakarō yat karōti, tad vāmakaraṁ mā jñāpaya|
MAT.6.4	tēna tava dānaṁ guptaṁ bhaviṣyati yastu tava pitā guptadarśī, sa prakāśya tubhyaṁ phalaṁ dāsyati|
MAT.6.5	aparaṁ yadā prārthayasē, tadā kapaṭina̮iva mā kuru, yasmāt tē bhajanabhavanē rājamārgasya kōṇē tiṣṭhantō lōkān darśayantaḥ prārthayituṁ prīyantē; ahaṁ yuṣmān tathyaṁ vadāmi, tē svakīyaphalaṁ prāpnuvan|
MAT.6.6	tasmāt prārthanākālē antarāgāraṁ praviśya dvāraṁ rudvvā guptaṁ paśyatastava pituḥ samīpē prārthayasva; tēna tava yaḥ pitā guptadarśī, sa prakāśya tubhyaṁ phalaṁ dāsyatil
MAT.6.7	aparaṁ prārthanākālē dēvapūjakāiva mudhā punaruktiṁ mā kuru, yasmāt tē bōdhantē, bahuvāraṁ kathāyāṁ kathitāyāṁ tēṣāṁ prārthanā grāhiṣyatē|
