MAT.1.1	ibrAhImaH santAno dAyUd tasya santAno yIzukhrISTastasya pUrvvapuruSavaMzazreNI|
MAT.2.15	gatvA ca herodo nRpate rmaraNaparyyantaM tatra deze nyuvAsa, tena misardezAdahaM putraM svakIyaM samupAhUyam| yadetadvacanam IzvareNa bhaviSyadvAdinA kathitaM tat saphalamabhUt|
MAT.2.16	anantaraM herod jyotirvidbhirAtmAnaM pravaJcitaM vijJAya bhRzaM cukopa; aparaM jyotirvvidbhyastena vinizcitaM yad dinaM taddinAd gaNayitvA dvitIyavatsaraM praviSTA yAvanto bAlakA asmin baitlehamnagare tatsImamadhye cAsan, lokAn prahitya tAn sarvvAn ghAtayAmAsa|
MAT.2.17	ataH anekasya vilApasya ninAda: krandanasya ca| zokena kRtazabdazca rAmAyAM saMnizamyate| svabAlagaNahetorvai rAhel nArI tu rodinI| na manyate prabodhantu yataste naiva manti hi||
MAT.2.18	yadetad vacanaM yirImiyanAmakabhaviSyadvAdinA kathitaM tat tadAnIM saphalam abhUt|
MAT.2.19	tadanantaraM heredi rAjani mRte paramezvarasya dUto misardeze svapne darzanaM dattvA yUSaphe kathitavAn
MAT.2.20	tvam utthAya zizuM tanmAtaraJca gRhItvA punarapIsrAyelo dezaM yAhI, ye janAH zizuM nAzayitum amRgayanta, te mRtavantaH|
MAT.2.21	tadAnIM sa utthAya zizuM tanmAtaraJca gRhlan isrAyeldezam AjagAma|
MAT.2.22	kintu yihUdIyadeze arkhilAyanAma rAjakumAro nijapitu rherodaH padaM prApya rAjatvaM karotIti nizamya tat sthAnaM yAtuM zaGkitavAn, pazcAt svapna IzvarAt prabodhaM prApya gAlIldezasya pradezaikaM prasthAya nAsarannAma nagaraM gatvA tatra nyuSitavAn,
MAT.2.23	tena taM nAsaratIyaM kathayiSyanti, yadetadvAkyaM bhaviSyadvAdibhirukttaM tat saphalamabhavat|
MAT.3.1	tadAnoM yohnnAmA majjayitA yihUdIyadezasya prAntaram upasthAya pracArayan kathayAmAsa,
MAT.3.2	manAMsi parAvarttayata, svargIyarAjatvaM samIpamAgatam|
MAT.3.3	paramezasya panthAnaM pariSkuruta sarvvataH| tasya rAjapathAMzcaiva samIkuruta sarvvathA| ityetat prAntare vAkyaM vadataH kasyacid ravaH||
MAT.3.4	etadvacanaM yizayiyabhaviSyadvAdinA yohanamuddizya bhASitam| yohano vasanaM mahAGgaromajaM tasya kaTau carmmakaTibandhanaM; sa ca zUkakITAn madhu ca bhuktavAn|
MAT.3.5	tadAnIM yirUzAlamnagaranivAsinaH sarvve yihUdidezIyA yarddantaTinyA ubhayataTasthAzca mAnavA bahirAgatya tasya samIpe
MAT.3.6	svIyaM svIyaM duritam aGgIkRtya tasyAM yarddani tena majjitA babhUvuH|
MAT.3.7	aparaM bahUn phirUzinaH sidUkinazca manujAn maMktuM svasamIpam Agacchto vilokya sa tAn abhidadhau, re re bhujagavaMzA AgAmInaH kopAt palAyituM yuSmAn kazcetitavAn?
MAT.3.8	manaHparAvarttanasya samucitaM phalaM phalata|
MAT.3.9	kintvasmAkaM tAta ibrAhIm astIti sveSu manaHsu cIntayanto mA vyAharata| yato yuSmAn ahaM vadAmi, Izvara etebhyaH pASANebhya ibrAhImaH santAnAn utpAdayituM zaknoti|
MAT.3.10	aparaM pAdapAnAM mUle kuThAra idAnImapi lagan Aste, tasmAd yasmin pAdape uttamaM phalaM na bhavati, sa kRtto madhye'gniM nikSepsyate|
MAT.3.11	aparam ahaM manaHparAvarttanasUcakena majjanena yuSmAn majjayAmIti satyaM, kintu mama pazcAd ya Agacchati, sa mattopi mahAn, ahaM tadIyopAnahau voDhumapi nahi yogyosmi, sa yuSmAn vahnirUpe pavitra Atmani saMmajjayiSyati|
MAT.3.12	tasya kAre sUrpa Aste, sa svIyazasyAni samyak prasphoTya nijAn sakalagodhUmAn saMgRhya bhANDAgAre sthApayiSyati, kiMntu sarvvANi vuSANyanirvvANavahninA dAhayiSyati|
MAT.3.13	anantaraM yIzu ryohanA majjito bhavituM gAlIlpradezAd yarddani tasya samIpam AjagAma|
MAT.3.14	kintu yohan taM niSidhya babhASe, tvaM kiM mama samIpam Agacchasi? varaM tvayA majjanaM mama prayojanam Aste|
MAT.3.15	tadAnIM yIzuH pratyavocat; IdAnIm anumanyasva, yata itthaM sarvvadharmmasAdhanam asmAkaM karttavyaM, tataH so'nvamanyata|
MAT.3.16	anantaraM yIzurammasi majjituH san tatkSaNAt toyamadhyAd utthAya jagAma, tadA jImUtadvAre mukte jAte, sa IzvarasyAtmAnaM kapotavad avaruhya svoparyyAgacchantaM vIkSAJcakre|
MAT.3.17	aparam eSa mama priyaH putra etasminneva mama mahAsantoSa etAdRzI vyomajA vAg babhUva|
MAT.4.1	tataH paraM yIzuH pratArakeNa parIkSito bhavitum AtmanA prAntaram AkRSTaH
MAT.4.2	san catvAriMzadahorAtrAn anAhArastiSThan kSudhito babhUva|
MAT.4.3	tadAnIM parIkSitA tatsamIpam Agatya vyAhRtavAn, yadi tvamIzvarAtmajo bhavestarhyAjJayA pASANAnetAn pUpAn vidhehi|
MAT.4.4	tataH sa pratyabravIt, itthaM likhitamAste, "manujaH kevalapUpena na jIviSyati, kintvIzvarasya vadanAd yAni yAni vacAMsi niHsaranti taireva jIviSyati|"
MAT.4.5	tadA pratArakastaM puNyanagaraM nItvA mandirasya cUDopari nidhAya gaditavAn,
MAT.4.6	tvaM yadizvarasya tanayo bhavestarhIto'dhaH pata, yata itthaM likhitamAste, AdekSyati nijAn dUtAn rakSituM tvAM paramezvaraH| yathA sarvveSu mArgeSu tvadIyacaraNadvaye| na laget prastarAghAtastvAM ghariSyanti te karaiH||
MAT.4.7	tadAnIM yIzustasmai kathitavAn etadapi likhitamAste, "tvaM nijaprabhuM paramezvaraM mA parIkSasva|"
MAT.4.8	anantaraM pratArakaH punarapi tam atyuJcadharAdharopari nItvA jagataH sakalarAjyAni tadaizvaryyANi ca darzayAzcakAra kathayAJcakAra ca,
MAT.4.9	yadi tvaM daNDavad bhavan mAM praNamestarhyaham etAni tubhyaM pradAsyAmi|
MAT.4.10	tadAnIM yIzustamavocat, dUrIbhava pratAraka, likhitamidam Aste, "tvayA nijaH prabhuH paramezvaraH praNamyaH kevalaH sa sevyazca|"
MAT.4.11	tataH pratArakeNa sa paryyatyAji, tadA svargIyadUtairAgatya sa siSeve|
MAT.4.12	tadanantaraM yohan kArAyAM babandhe, tadvArttAM nizamya yIzunA gAlIl prAsthIyata|
MAT.4.13	tataH paraM sa nAsarannagaraM vihAya jalaghestaTe sibUlUnnaptAlI etayoruvabhayoH pradezayoH sImnormadhyavarttI ya: kapharnAhUm tannagaram itvA nyavasat|
MAT.4.14	tasmAt, anyAdezIyagAlIli yarddanpAre'bdhirodhasi| naptAlisibUlUndezau yatra sthAne sthitau purA|
MAT.4.15	tatratyA manujA ye ye paryyabhrAmyan tamisrake| tairjanairbRhadAlokaH paridarziSyate tadA| avasan ye janA deze mRtyucchAyAsvarUpake| teSAmupari lokAnAmAlokaH saMprakAzitaH||
MAT.4.16	yadetadvacanaM yizayiyabhaviSyadvAdinA proktaM, tat tadA saphalam abhUt|
MAT.4.17	anantaraM yIzuH susaMvAdaM pracArayan etAM kathAM kathayitum Arebhe, manAMsi parAvarttayata, svargIyarAjatvaM savidhamabhavat|
MAT.4.18	tataH paraM yIzu rgAlIlo jaladhestaTena gacchan gacchan Andriyastasya bhrAtA zimon arthato yaM pitaraM vadanti etAvubhau jalaghau jAlaM kSipantau dadarza, yatastau mInadhAriNAvAstAm|
MAT.4.19	tadA sa tAvAhUya vyAjahAra, yuvAM mama pazcAd AgacchataM, yuvAmahaM manujadhAriNau kariSyAmi|
MAT.4.20	tenaiva tau jAlaM vihAya tasya pazcAt AgacchatAm|
MAT.4.21	anantaraM tasmAt sthAnAt vrajan vrajan sivadiyasya sutau yAkUb yohannAmAnau dvau sahajau tAtena sArddhaM naukopari jAlasya jIrNoddhAraM kurvvantau vIkSya tAvAhUtavAn|
MAT.4.22	tatkSaNAt tau nAvaM svatAtaJca vihAya tasya pazcAdgAminau babhUvatuH|
MAT.4.23	anantaraM bhajanabhavane samupadizan rAjyasya susaMvAdaM pracArayan manujAnAM sarvvaprakArAn rogAn sarvvaprakArapIDAzca zamayan yIzuH kRtsnaM gAlIldezaM bhramitum Arabhata|
MAT.4.24	tena kRtsnasuriyAdezasya madhyaM tasya yazo vyApnot, aparaM bhUtagrastA apasmArargINaH pakSAdhAtiprabhRtayazca yAvanto manujA nAnAvidhavyAdhibhiH kliSTA Asan, teSu sarvveSu tasya samIpam AnIteSu sa tAn svasthAn cakAra|
MAT.4.25	etena gAlIl-dikApani-yirUzAlam-yihUdIyadezebhyo yarddanaH pArAJca bahavo manujAstasya pazcAd Agacchan|
MAT.5.1	anantaraM sa jananivahaM nirIkSya bhUdharopari vrajitvA samupaviveza|
MAT.5.2	tadAnIM ziSyeSu tasya samIpamAgateSu tena tebhya eSA kathA kathyAJcakre|
MAT.5.3	abhimAnahInA janA dhanyAH, yataste svargIyarAjyam adhikariSyanti|
MAT.5.4	khidyamAnA manujA dhanyAH, yasmAt te sAntvanAM prApsanti|
MAT.5.5	namrA mAnavAzca dhanyAH, yasmAt te medinIm adhikariSyanti|
MAT.5.6	dharmmAya bubhukSitAH tRSArttAzca manujA dhanyAH, yasmAt te paritarpsyanti|
MAT.5.7	kRpAlavo mAnavA dhanyAH, yasmAt te kRpAM prApsyanti|
MAT.5.8	nirmmalahRdayA manujAzca dhanyAH, yasmAt ta IzcaraM drakSyanti|
MAT.5.9	melayitAro mAnavA dhanyAH, yasmAt ta Izcarasya santAnatvena vikhyAsyanti|
MAT.5.10	dharmmakAraNAt tADitA manujA dhanyA, yasmAt svargIyarAjye teSAmadhikaro vidyate|
MAT.5.11	yadA manujA mama nAmakRte yuSmAn nindanti tADayanti mRSA nAnAdurvvAkyAni vadanti ca, tadA yuyaM dhanyAH|
MAT.5.12	tadA Anandata, tathA bhRzaM hlAdadhvaJca, yataH svarge bhUyAMsi phalAni lapsyadhve; te yuSmAkaM purAtanAn bhaviSyadvAdino'pi tAdRg atADayan|
MAT.5.13	yuyaM medinyAM lavaNarUpAH, kintu yadi lavaNasya lavaNatvam apayAti, tarhi tat kena prakAreNa svAduyuktaM bhaviSyati? tat kasyApi kAryyasyAyogyatvAt kevalaM bahiH prakSeptuM narANAM padatalena dalayituJca yogyaM bhavati|
MAT.5.14	yUyaM jagati dIptirUpAH, bhUdharopari sthitaM nagaraM guptaM bhavituM nahi zakSyati|
MAT.5.15	aparaM manujAH pradIpAn prajvAlya droNAdho na sthApayanti, kintu dIpAdhAroparyyeva sthApayanti, tena te dIpA gehasthitAn sakalAn prakAzayanti|
MAT.5.16	yena mAnavA yuSmAkaM satkarmmANi vilokya yuSmAkaM svargasthaM pitaraM dhanyaM vadanti, teSAM samakSaM yuSmAkaM dIptistAdRk prakAzatAm|
MAT.5.17	ahaM vyavasthAM bhaviSyadvAkyaJca loptum AgatavAn, itthaM mAnubhavata, te dve loptuM nAgatavAn, kintu saphale karttum Agatosmi|
MAT.5.18	aparaM yuSmAn ahaM tathyaM vadAmi yAvat vyomamedinyo rdhvaMso na bhaviSyati, tAvat sarvvasmin saphale na jAte vyavasthAyA ekA mAtrA bindurekopi vA na lopsyate|
MAT.5.19	tasmAt yo jana etAsAm AjJAnAm atikSudrAm ekAjJAmapI laMghate manujAMJca tathaiva zikSayati, sa svargIyarAjye sarvvebhyaH kSudratvena vikhyAsyate, kintu yo janastAM pAlayati, tathaiva zikSayati ca, sa svargIyarAjye pradhAnatvena vikhyAsyate|
MAT.5.20	aparaM yuSmAn ahaM vadAmi, adhyApakaphirUzimAnavAnAM dharmmAnuSThAnAt yuSmAkaM dharmmAnuSThAne nottame jAte yUyam IzvarIyarAjyaM praveSTuM na zakSyatha|
MAT.5.21	aparaJca tvaM naraM mA vadhIH, yasmAt yo naraM hanti, sa vicArasabhAyAM daNDArho bhaviSyati, pUrvvakAlInajanebhya iti kathitamAsIt, yuSmAbhirazrAvi|
MAT.5.22	kintvahaM yuSmAn vadAmi, yaH kazcit kAraNaM vinA nijabhrAtre kupyati, sa vicArasabhAyAM daNDArho bhaviSyati; yaH kazcicca svIyasahajaM nirbbodhaM vadati, sa mahAsabhAyAM daNDArho bhaviSyati; punazca tvaM mUDha iti vAkyaM yadi kazcit svIyabhrAtaraM vakti, tarhi narakAgnau sa daNDArho bhaviSyati|
MAT.5.23	ato vedyAH samIpaM nijanaivedye samAnIte'pi nijabhrAtaraM prati kasmAccit kAraNAt tvaM yadi doSI vidyase, tadAnIM tava tasya smRti rjAyate ca,
MAT.5.24	tarhi tasyA vedyAH samIpe nijanaivaidyaM nidhAya tadaiva gatvA pUrvvaM tena sArddhaM mila, pazcAt Agatya nijanaivedyaM nivedaya|
MAT.5.25	anyaJca yAvat vivAdinA sArddhaM vartmani tiSThasi, tAvat tena sArddhaM melanaM kuru; no cet vivAdI vicArayituH samIpe tvAM samarpayati vicArayitA ca rakSiNaH sannidhau samarpayati tadA tvaM kArAyAM badhyethAH|
MAT.5.26	tarhi tvAmahaM taththaM bravImi, zeSakapardake'pi na parizodhite tasmAt sthAnAt kadApi bahirAgantuM na zakSyasi|
MAT.5.27	aparaM tvaM mA vyabhicara, yadetad vacanaM pUrvvakAlInalokebhyaH kathitamAsIt, tad yUyaM zrutavantaH;
MAT.5.28	kintvahaM yuSmAn vadAmi, yadi kazcit kAmataH kAJcana yoSitaM pazyati, tarhi sa manasA tadaiva vyabhicaritavAn|
MAT.5.29	tasmAt tava dakSiNaM netraM yadi tvAM bAdhate, tarhi tannetram utpATya dUre nikSipa, yasmAt tava sarvvavapuSo narake nikSepAt tavaikAGgasya nAzo varaM|
MAT.5.30	yadvA tava dakSiNaH karo yadi tvAM bAdhate, tarhi taM karaM chittvA dUre nikSipa, yataH sarvvavapuSo narake nikSepAt ekAGgasya nAzo varaM|
MAT.5.31	uktamAste, yadi kazcin nijajAyAM parityakttum icchati, tarhi sa tasyai tyAgapatraM dadAtu|
MAT.5.32	kintvahaM yuSmAn vyAharAmi, vyabhicAradoSe na jAte yadi kazcin nijajAyAM parityajati, tarhi sa tAM vyabhicArayati; yazca tAM tyaktAM striyaM vivahati, sopi vyabhicarati|
MAT.5.33	punazca tvaM mRSA zapatham na kurvvan IzcarAya nijazapathaM pAlaya, pUrvvakAlInalokebhyo yaiSA kathA kathitA, tAmapi yUyaM zrutavantaH|
MAT.5.34	kintvahaM yuSmAn vadAmi, kamapi zapathaM mA kArSTa, arthataH svarganAmnA na, yataH sa Izvarasya siMhAsanaM;
MAT.5.35	pRthivyA nAmnApi na, yataH sA tasya pAdapIThaM; yirUzAlamo nAmnApi na, yataH sA mahArAjasya purI;
MAT.5.36	nijazironAmnApi na, yasmAt tasyaikaM kacamapi sitam asitaM vA karttuM tvayA na zakyate|
MAT.5.37	aparaM yUyaM saMlApasamaye kevalaM bhavatIti na bhavatIti ca vadata yata ito'dhikaM yat tat pApAtmano jAyate|
MAT.5.38	aparaM locanasya vinimayena locanaM dantasya vinimayena dantaH pUrvvaktamidaM vacanaJca yuSmAbhirazrUyata|
MAT.5.39	kintvahaM yuSmAn vadAmi yUyaM hiMsakaM naraM mA vyAghAtayata| kintu kenacit tava dakSiNakapole capeTAghAte kRte taM prati vAmaM kapolaJca vyAghoTaya|
MAT.5.40	aparaM kenacit tvayA sArdhdaM vivAdaM kRtvA tava paridheyavasane jighRtite tasmAyuttarIyavasanamapi dehi|
MAT.5.41	yadi kazcit tvAM krozamekaM nayanArthaM anyAyato dharati, tadA tena sArdhdaM krozadvayaM yAhi|
MAT.5.42	yazca mAnavastvAM yAcate, tasmai dehi, yadi kazcit tubhyaM dhArayitum icchati, tarhi taM prati parAMmukho mA bhUH|
MAT.5.43	nijasamIpavasini prema kuru, kintu zatruM prati dveSaM kuru, yadetat puroktaM vacanaM etadapi yUyaM zrutavantaH|
MAT.5.44	kintvahaM yuSmAn vadAmi, yUyaM ripuvvapi prema kuruta, ye ca yuSmAn zapante, tAna, AziSaM vadata, ye ca yuSmAn RृtIyante, teSAM maGgalaM kuruta, ye ca yuSmAn nindanti, tADayanti ca, teSAM kRte prArthayadhvaM|
MAT.5.45	tatra yaH satAmasatAJcopari prabhAkaram udAyayati, tathA dhArmmikAnAmadhArmmikAnAJcopari nIraM varSayati tAdRzo yo yuSmAkaM svargasthaH pitA, yUyaM tasyaiva santAnA bhaviSyatha|
MAT.5.46	ye yuSmAsu prema kurvvanti, yUyaM yadi kevalaM tevveva prema kurutha, tarhi yuSmAkaM kiM phalaM bhaviSyati? caNDAlA api tAdRzaM kiM na kurvvanti?
MAT.5.47	aparaM yUyaM yadi kevalaM svIyabhrAtRtvena namata, tarhi kiM mahat karmma kurutha? caNDAlA api tAdRzaM kiM na kurvvanti?
MAT.5.48	tasmAt yuSmAkaM svargasthaH pitA yathA pUrNo bhavati, yUyamapi tAdRzA bhavata|
MAT.6.1	sAvadhAnA bhavata, manujAn darzayituM teSAM gocare dharmmakarmma mA kuruta, tathA kRte yuSmAkaM svargasthapituH sakAzAt kiJcana phalaM na prApsyatha|
MAT.6.2	tvaM yadA dadAsi tadA kapaTino janA yathA manujebhyaH prazaMsAM prAptuM bhajanabhavane rAjamArge ca tUrIM vAdayanti, tathA mA kuriु, ahaM tubhyaM yathArthaM kathayAmi, te svakAyaM phalam alabhanta|
MAT.6.3	kintu tvaM yadA dadAsi, tadA nijadakSiNakaro yat karoti, tad vAmakaraM mA jJApaya|
MAT.6.4	tena tava dAnaM guptaM bhaviSyati yastu tava pitA guptadarzI, sa prakAzya tubhyaM phalaM dAsyati|
MAT.6.5	aparaM yadA prArthayase, tadA kapaTina_iva mA kuru, yasmAt te bhajanabhavane rAjamArgasya koNe tiSThanto lokAn darzayantaH prArthayituM prIyante; ahaM yuSmAn tathyaM vadAmi, te svakIyaphalaM prApnuvan|
MAT.6.6	tasmAt prArthanAkAle antarAgAraM pravizya dvAraM rudvvA guptaM pazyatastava pituH samIpe prArthayasva; tena tava yaH pitA guptadarzI, sa prakAzya tubhyaM phalaM dAsyatil
MAT.6.7	aparaM prArthanAkAle devapUjakAiva mudhA punaruktiM mA kuru, yasmAt te bodhante, bahuvAraM kathAyAM kathitAyAM teSAM prArthanA grAhiSyate|
MAT.6.8	yUyaM teSAmiva mA kuruta, yasmAt yuSmAkaM yad yat prayojanaM yAcanAtaH prAgeva yuSmAkaM pitA tat jAnAti|
MAT.6.9	ataeva yUyama IdRk prArthayadhvaM, he asmAkaM svargasthapitaH, tava nAma pUjyaM bhavatu|
MAT.6.10	tava rAjatvaM bhavatu; tavecchA svarge yathA tathaiva medinyAmapi saphalA bhavatu|
MAT.6.11	asmAkaM prayojanIyam AhAram adya dehi|
MAT.6.12	vayaM yathA nijAparAdhinaH kSamAmahe, tathaivAsmAkam aparAdhAn kSamasva|
MAT.6.13	asmAn parIkSAM mAnaya, kintu pApAtmano rakSa; rAjatvaM gauravaM parAkramaH ete sarvve sarvvadA tava; tathAstu|
MAT.6.14	yadi yUyam anyeSAm aparAdhAn kSamadhve tarhi yuSmAkaM svargasthapitApi yuSmAn kSamiSyate;
MAT.6.15	kintu yadi yUyam anyeSAm aparAdhAn na kSamadhve, tarhi yuSmAkaM janakopi yuSmAkam aparAdhAn na kSamiSyate|
MAT.6.16	aparam upavAsakAle kapaTino janA mAnuSAn upavAsaM jJApayituM sveSAM vadanAni mlAnAni kurvvanti, yUyaM ta_iva viSaNavadanA mA bhavata; ahaM yuSmAn tathyaM vadAmi te svakIyaphalam alabhanta|
MAT.6.17	yadA tvam upavasasi, tadA yathA lokaistvaM upavAsIva na dRzyase, kintu tava yo'gocaraH pitA tenaiva dRzyase, tatkRte nijazirasi tailaM marddaya vadanaJca prakSAlaya;
MAT.6.18	tena tava yaH pitA guptadarzI sa prakAzya tubhyaM phalaM dAsyati|
MAT.6.19	aparaM yatra sthAne kITAH kalaGkAzca kSayaM nayanti, caurAzca sandhiM karttayitvA corayituM zaknuvanti, tAdRzyAM medinyAM svArthaM dhanaM mA saMcinuta|
MAT.6.20	kintu yatra sthAne kITAH kalaGkAzca kSayaM na nayanti, caurAzca sandhiM karttayitvA corayituM na zaknuvanti, tAdRze svarge dhanaM saJcinuta|
MAT.6.21	yasmAt yatra sthAne yuSmAMka dhanaM tatraiva khAne yuSmAkaM manAMsi|
MAT.6.22	locanaM dehasya pradIpakaM, tasmAt yadi tava locanaM prasannaM bhavati, tarhi tava kRtsnaM vapu rdIptiyuktaM bhaviSyati|
MAT.6.23	kintu locane'prasanne tava kRtsnaM vapuH tamisrayuktaM bhaviSyati| ataeva yA dIptistvayi vidyate, sA yadi tamisrayuktA bhavati, tarhi tat tamisraM kiyan mahat|
MAT.6.24	kopi manujo dvau prabhU sevituM na zaknoti, yasmAd ekaM saMmanya tadanyaM na sammanyate, yadvA ekatra mano nidhAya tadanyam avamanyate; tathA yUyamapIzvaraM lakSmIJcetyubhe sevituM na zaknutha|
MAT.6.25	aparam ahaM yuSmabhyaM tathyaM kathayAmi, kiM bhakSiSyAmaH? kiM pAsyAmaH? iti prANadhAraNAya mA cintayata; kiM paridhAsyAmaH? iti kAyarakSaNAya na cintayata; bhakSyAt prANA vasanAJca vapUMSi kiM zreSThANi na hi?
MAT.6.26	vihAyaso vihaGgamAn vilokayata; tai rnopyate na kRtyate bhANDAgAre na saJcIyate'pi; tathApi yuSmAkaM svargasthaH pitA tebhya AhAraM vitarati|
MAT.6.27	yUyaM tebhyaH kiM zreSThA na bhavatha? yuSmAkaM kazcit manujaH cintayan nijAyuSaH kSaNamapi varddhayituM zaknoti?
MAT.6.28	aparaM vasanAya kutazcintayata? kSetrotpannAni puSpANi kathaM varddhante tadAlocayata| tAni tantUn notpAdayanti kimapi kAryyaM na kurvvanti;
