GEN.1.1	In den beginne schiep God de hemel en de aarde. 
GEN.1.30	Maar aan al het gedierte der aarde en al het gevogelte des hemels en al wat op de aarde kruipt, waarin leven is, (geef Ik) al het groene kruid tot spijze; en het was alzo. 
GEN.1.31	En God zag alles wat Hij gemaakt had, en zie, het was zeer goed. Toen was het avond geweest en het was morgen geweest: de zesde dag.
GEN.2.1	Alzo werden voltooid de hemel en de aarde en al hun heer. 
GEN.2.2	Toen God op de zevende dag het werk voltooid had, dat Hij gemaakt had, rustte Hij op de zevende dag van al het werk, dat Hij gemaakt had. 
GEN.2.3	En God zegende de zevende dag en heiligde die, omdat Hij daarop gerust heeft van al het werk, dat God scheppende tot stand had gebracht. 
GEN.2.4	Dit is de geschiedenis van de hemel en de aarde, toen zij geschapen werden. Ten tijde, dat de 
GEN.2.5	– er was nog geen enkel veldgewas op de aarde, en er was nog geen enkel kruid des velds uitgesproten, want de 
GEN.2.6	maar een damp steeg op uit de aarde en bevochtigde de gehele aardbodem – 
GEN.2.7	toen formeerde de 
GEN.2.8	Voorts plantte de 
GEN.2.9	Ook deed de 
GEN.2.10	Er ontsprong in Eden een rivier om de hof te bevochtigen, en daar splitste zij zich in vier stromen. 
GEN.2.11	De naam van de eerste is Pison; deze stroomt om het gehele land Chawila, waar het goud is; 
GEN.2.12	en het goud van dat land is goed; daar is de balsemhars en de steen chrysopraas. 
GEN.2.13	De naam van de tweede rivier is Gichon; deze stroomt om het gehele land Ethiopië. 
GEN.2.14	De naam van de derde rivier is Tigris; deze stroomt ten oosten van Assur. En de vierde rivier is de Eufraat.
GEN.2.15	En de 
GEN.2.16	En de 
GEN.2.17	maar van de boom der kennis van goed en kwaad, daarvan zult gij niet eten, want ten dage, dat gij daarvan eet, zult gij voorzeker sterven.
GEN.2.18	En de 
GEN.2.19	En de 
GEN.2.20	En de mens gaf namen aan al het vee, aan het gevogelte des hemels en aan al het gedierte des velds, maar voor zichzelf vond hij geen hulp, die bij hem paste. 
GEN.2.21	Toen deed de 
GEN.2.22	En de 
GEN.2.23	Toen zeide de mens: Dit is nu eindelijk been van mijn gebeente en vlees van mijn vlees; deze zal „mannin” heten, omdat zij uit de man genomen is. 
GEN.2.24	Daarom zal een man zijn vader en zijn moeder verlaten en zijn vrouw aanhangen, en zij zullen tot één vlees zijn. 
GEN.2.25	En zij beiden waren naakt, de mens en zijn vrouw, maar zij schaamden zich voor elkander niet.
GEN.3.1	De slang nu was het listigste van alle dieren des velds, die de 
GEN.3.2	Toen zeide de vrouw tot de slang: Van de vrucht van het geboomte in de hof mogen wij eten, 
GEN.3.3	maar van de vrucht van de boom, die in het midden van de hof staat, heeft God gezegd: Gij zult daarvan niet eten noch die aanraken; anders zult gij sterven. 
GEN.3.4	De slang echter zeide tot de vrouw: Gij zult geenszins sterven, 
GEN.3.5	maar God weet, dat ten dage, dat gij daarvan eet, uw ogen geopend zullen worden, en gij als God zult zijn, kennende goed en kwaad. 
GEN.3.6	En de vrouw zag, dat de boom goed was om van te eten, en dat hij een lust was voor de ogen, ja, dat de boom begeerlijk was om daardoor verstandig te worden, en zij nam van zijn vrucht en at, en zij gaf ook haar man, die bij haar was, en hij at. 
GEN.3.7	Toen werden hun beider ogen geopend, en zij bemerkten, dat zij naakt waren; zij hechtten vijgebladeren aaneen en maakten zich schorten.
GEN.3.8	Toen zij het geluid van de 
GEN.3.9	En de 
GEN.3.10	En hij zeide: Toen ik uw geluid in de hof hoorde, werd ik bevreesd, want ik ben naakt; daarom verborg ik mij. 
GEN.3.11	En Hij zeide: Wie heeft u te kennen gegeven, dat gij naakt zijt? Hebt gij van de boom gegeten, waarvan Ik u verboden had te eten? 
GEN.3.12	Toen zeide de mens: De vrouw, die Gij aan mijn zijde gesteld hebt, die heeft mij van de boom gegeven en toen heb ik gegeten. 
GEN.3.13	Daarop zeide de 
GEN.3.14	Daarop zeide de 
GEN.3.15	En Ik zal vijandschap zetten tussen u en de vrouw, en tussen uw zaad en haar zaad; dit zal u de kop vermorzelen en gij zult het de hiel vermorzelen. 
GEN.3.16	Tot de vrouw zeide Hij: Ik zal zeer vermeerderen de moeite uwer zwangerschap; met smart zult gij kinderen baren en naar uw man zal uw begeerte uitgaan, en hij zal over u heersen. 
GEN.3.17	En tot de mens zeide Hij: Omdat gij naar uw vrouw hebt geluisterd en van de boom gegeten, waarvan Ik u geboden had: Gij zult daarvan niet eten, is de aardbodem om uwentwil vervloekt; al zwoegende zult gij daarvan eten zolang gij leeft, 
GEN.3.18	en doornen en distelen zal hij u voortbrengen, en gij zult het gewas des velds eten; 
GEN.3.19	in het zweet uws aanschijns zult gij brood eten, totdat gij tot de aardbodem wederkeert, omdat gij daaruit genomen zijt; want stof zijt gij en tot stof zult gij wederkeren.
GEN.3.20	En de mens noemde zijn vrouw Eva, omdat zij de moeder van alle levenden is geworden. 
GEN.3.21	En de 
GEN.3.22	En de 
GEN.3.23	Toen zond de 
GEN.3.24	En Hij verdreef de mens en Hij stelde ten oosten van de hof van Eden de cherubs met een flikkerend zwaard, dat zich heen en weer wendde, om de weg tot de boom des levens te bewaken.
GEN.4.1	De mens nu had gemeenschap met Eva, zijn vrouw, en zij werd zwanger en baarde Kaïn; en zij zeide: Ik heb met des 
GEN.4.2	Voorts baarde zij zijn broeder Abel; en Abel werd schaapherder, Kaïn landbouwer. 
GEN.4.3	Na verloop van tijd nu bracht Kaïn van de vruchten der aarde aan de 
GEN.4.4	ook Abel bracht er een van de eerstelingen zijner schapen, van hun vet; en de 
GEN.4.5	maar op Kaïn en zijn offer sloeg Hij geen acht. Toen werd Kaïn zeer toornig en zijn gelaat betrok. 
GEN.4.6	En de 
GEN.4.7	Moogt gij het niet opheffen, indien gij goed handelt? Doch indien gij niet goed handelt, ligt de zonde als een belager aan de deur, wiens begeerte naar u uitgaat, doch over wie gij moet heersen. 
GEN.4.8	Maar Kaïn zeide tot zijn broeder Abel: (Laten wij het veld ingaan). Toen zij nu in het veld waren, stond Kaïn tegen zijn broeder Abel op en doodde hem. 
GEN.4.9	Toen zeide de 
GEN.4.10	En Hij zeide: Wat hebt gij gedaan? Hoor, het bloed van uw broeder roept tot Mij van de aardbodem. 
GEN.4.11	En nu, vervloekt zijt gij, ver van de bodem, die zijn mond heeft opengesperd om het bloed van uw broeder van uw hand te ontvangen. 
GEN.4.12	Wanneer gij de aardbodem bewerken zult, zal hij u zijn volle opbrengst niet meer geven; een zwerver en een vluchteling zult gij op de aarde zijn. 
GEN.4.13	Toen zeide Kaïn tot de 
GEN.4.14	Zie, Gij verdrijft mij heden uit het land en ik zal voor uw aangezicht verborgen zijn, een zwerver en een vluchteling op de aarde; ieder, die mij aantreft, zal mij doden. 
GEN.4.15	Toen zeide de 
GEN.4.16	Toen ging Kaïn weg van het aangezicht des 
GEN.4.17	En Kaïn had gemeenschap met zijn vrouw en zij werd zwanger en baarde Henoch; daarna werd hij de stichter van een stad en hij noemde deze stad naar zijn zoon Henoch. 
GEN.4.18	En aan Henoch werd Irad geboren en Irad verwekte Mechujaël, en Mechujaël verwekte Metusaël, en Metusaël verwekte Lamech. 
GEN.4.19	En Lamech nam zich twee vrouwen; de ene heette Ada, en de andere Silla. 
GEN.4.20	En Ada baarde Jabal; hij is de vader geworden van hen, die in tenten en bij de kudde wonen. 
GEN.4.21	En de naam van zijn broeder was Jubal; hij is de vader geworden van allen, die citer en fluit bespelen. 
GEN.4.22	En Silla baarde eveneens, namelijk Tubal-Kaïn, (de vader van) de smeden, allen, die koper en ijzer bewerken. En de zuster van Tubal-Kaïn was Naäma.
GEN.4.23	En Lamech zeide tot zijn vrouwen: Ada en Silla, hoort naar mijn stem; vrouwen van Lamech, neigt uw oor tot mijn rede. Ik sloeg een man dood om mijn wonde, een knaap om mijn striem; 
GEN.4.24	want Kaïn wordt zevenvoudig gewroken, maar Lamech zevenenzeventig maal!
GEN.4.25	En Adam had weer gemeenschap met zijn vrouw en zij baarde een zoon en gaf hem de naam Set, want (zeide zij) God heeft mij een andere zoon gegeven in plaats van Abel; hem immers heeft Kaïn gedood. 
GEN.4.26	En ook aan Set werd een zoon geboren, en hij noemde hem Enos. Toen begon men de naam des 
GEN.5.1	Dit is het geslachtsregister van Adam. Ten dage, dat God Adam schiep, maakte Hij hem naar de gelijkenis Gods; 
GEN.5.2	man en vrouw schiep Hij hen, en Hij zegende hen en noemde hen „mens” ten dage, dat zij geschapen werden. 
GEN.5.3	Toen Adam honderd dertig jaar geleefd had, verwekte hij (een zoon) naar zijn gelijkenis, als zijn beeld, en noemde hem Set. 
GEN.5.4	En de dagen van Adam, nadat hij Set verwekt had, waren achthonderd jaar, en hij verwekte zonen en dochteren. 
GEN.5.5	Zo waren al de dagen van Adam, die hij geleefd heeft, negenhonderd dertig jaar; en hij stierf.
GEN.5.6	Toen Set honderd vijf jaar geleefd had, verwekte hij Enos. 
GEN.5.7	En Set leefde, nadat hij Enos verwekt had, achthonderd zeven jaar, en hij verwekte zonen en dochteren. 
GEN.5.8	Zo waren al de dagen van Set negenhonderd twaalf jaar; en hij stierf.
GEN.5.9	Toen Enos negentig jaar geleefd had, verwekte hij Kenan. 
GEN.5.10	En Enos leefde, nadat hij Kenan verwekt had, achthonderd vijftien jaar, en hij verwekte zonen en dochteren. 
GEN.5.11	Zo waren al de dagen van Enos negenhonderd vijf jaar; en hij stierf.
GEN.5.12	Toen Kenan zeventig jaar geleefd had, verwekte hij Mahalalel. 
GEN.5.13	En Kenan leefde, nadat hij Mahalalel verwekt had, achthonderd veertig jaar, en hij verwekte zonen en dochteren. 
GEN.5.14	Zo waren al de dagen van Kenan negenhonderd tien jaar; en hij stierf.
GEN.5.15	Toen Mahalalel vijfenzestig jaar geleefd had, verwekte hij Jered. 
GEN.5.16	En Mahalalel leefde, nadat hij Jered verwekt had, achthonderd dertig jaar, en hij verwekte zonen en dochteren. 
GEN.5.17	Zo waren al de dagen van Mahalalel achthonderd vijfennegentig jaar; en hij stierf.
GEN.5.18	Toen Jered honderd tweeënzestig jaar geleefd had, verwekte hij Henoch. 
GEN.5.19	En Jered leefde, nadat hij Henoch verwekt had, achthonderd jaar, en hij verwekte zonen en dochteren. 
GEN.5.20	Zo waren al de dagen van Jered negenhonderd tweeënzestig jaar; en hij stierf.
GEN.5.21	Toen Henoch vijfenzestig jaar geleefd had, verwekte hij Metuselach. 
GEN.5.22	En Henoch wandelde met God, nadat hij Metuselach verwekt had, driehonderd jaar, en hij verwekte zonen en dochteren. 
GEN.5.23	Zo waren al de dagen van Henoch driehonderd vijfenzestig jaar. 
GEN.5.24	En Henoch wandelde met God, en hij was niet meer, want God had hem opgenomen.
GEN.5.25	Toen Metuselach honderd zevenentachtig jaar geleefd had, verwekte hij Lamech. 
GEN.5.26	En Metuselach leefde, nadat hij Lamech verwekt had, zevenhonderd tweeëntachtig jaar, en hij verwekte zonen en dochteren. 
GEN.5.27	Zo waren al de dagen van Metuselach negenhonderd negenenzestig jaar; en hij stierf.
GEN.5.28	Toen Lamech honderd tweeëntachtig jaar geleefd had, verwekte hij een zoon, 
GEN.5.29	en gaf hem de naam Noach, zeggende: Deze zal ons troosten over de moeitevolle arbeid onzer handen op deze aardbodem, die de 
GEN.5.30	En Lamech leefde, nadat hij Noach verwekt had, vijfhonderd vijfennegentig jaar, en hij verwekte zonen en dochteren. 
GEN.5.31	Zo waren al de dagen van Lamech zevenhonderd zevenenzeventig jaar; en hij stierf.
GEN.5.32	Toen Noach vijfhonderd jaar oud geworden was, verwekte Noach Sem, Cham en Jafet.
GEN.6.1	Toen de mensen zich op de aarde begonnen te vermenigvuldigen en hun dochters geboren werden, 
GEN.6.2	zagen de zonen Gods, dat de dochters der mensen schoon waren, en zij namen zich daaruit vrouwen, wie zij maar verkozen. 
GEN.6.3	En de 
GEN.6.4	De reuzen waren in die dagen op de aarde, en ook daarna, toen de zonen Gods tot de dochters der mensen kwamen, en zij hun (kinderen) baarden; dit zijn de geweldigen uit de voortijd, mannen van naam.
GEN.6.5	Toen de 
GEN.6.6	berouwde het de 
GEN.6.7	En de 
GEN.6.8	Maar Noach vond genade in de ogen des 
GEN.6.9	Dit is de geschiedenis van Noach. Noach was onder zijn tijdgenoten een rechtvaardig en onberispelijk man; Noach wandelde met God. 
GEN.6.10	En Noach verwekte drie zonen: Sem, Cham en Jafet. 
GEN.6.11	De aarde nu was verdorven voor Gods aangezicht, en de aarde was vol geweldenarij. 
GEN.6.12	En God zag de aarde aan, en zie, zij was verdorven, want al wat leeft had zijn weg op de aarde verdorven.
GEN.6.13	Toen zeide God tot Noach: Het einde van al wat leeft is door Mij besloten, want door hun schuld is de aarde vol geweldenarij, en zie, Ik ga hen met de aarde verdelgen. 
GEN.6.14	Maak u een ark van goferhout; met vakken zult gij de ark maken en haar van binnen en van buiten met pek bestrijken. 
GEN.6.15	En zó zult gij haar maken: driehonderd el zal de lengte der ark zijn, vijftig el haar breedte en dertig el haar hoogte. 
GEN.6.16	Gij zult aan de ark een lichtopening maken, en een el van boven af zult gij die afwerken, en de ingang der ark zult gij in haar zijkant aanbrengen; met een onderste, een tweede en een derde verdieping zult gij haar maken. 
GEN.6.17	Want zie, Ik ga een watervloed over de aarde brengen om al wat leeft, waarin een levensgeest is, van onder de hemel te verdelgen; alles wat op de aarde is, zal omkomen. 
GEN.6.18	Maar met u zal Ik mijn verbond oprichten, en gij zult in de ark gaan, gij en uw zonen en uw vrouw en de vrouwen uwer zonen met u. 
GEN.6.19	En van al wat leeft, van alle vlees, van alles zult gij één paar in de ark brengen om het met u in het leven te behouden; mannetje en wijfje zullen zij zijn. 
GEN.6.20	Van het gevogelte naar zijn aard en van het vee naar zijn aard, van al het kruipend gedierte van de aardbodem naar zijn aard, van alles zal één paar tot u komen om het in het leven te behouden. 
GEN.6.21	En gij, neem u van alle voedsel, dat gegeten wordt, en verzamel het bij u, opdat het voor u en voor hen tot spijze zij. 
GEN.6.22	En Noach deed het; geheel zoals God het hem geboden had, deed hij.
GEN.7.1	En de 
GEN.7.2	Van alle reine dieren zult gij zeven paar nemen, het mannetje en zijn wijfje, maar van de dieren, die niet rein zijn, één paar, het mannetje en zijn wijfje; 
GEN.7.3	ook van het gevogelte des hemels zeven paar, mannetjes en wijfjes, om het geslacht in het leven te behouden op de gehele aarde. 
GEN.7.4	Want over nog zeven dagen zal Ik het op de aarde veertig dagen en veertig nachten doen regenen, en Ik zal alles wat bestaat, hetgeen Ik gemaakt heb, van de aardbodem verdelgen. 
GEN.7.5	En Noach deed naar alles wat de 
GEN.7.6	En Noach was zeshonderd jaar oud, toen de watervloed over de aarde kwam. 
GEN.7.7	En Noach ging met zijn zonen en zijn vrouw en de vrouwen zijner zonen met hem, in de ark vanwege de wateren van de vloed. 
GEN.7.8	Van de reine dieren en van de dieren, die niet rein waren, van het gevogelte en (van) alles wat op de aarde kruipt, 
GEN.7.9	kwamen er twee aan twee tot Noach in de ark, mannetje en wijfje, zoals God Noach geboden had.
GEN.7.10	Na zeven dagen kwamen de wateren van de vloed over de aarde. 
GEN.7.11	In Noachs zeshonderdste levensjaar, in de tweede maand, op de zeventiende dag der maand, op die dag braken alle kolken der grote waterdiepten open en werden de sluizen des hemels geopend. 
GEN.7.12	En de slagregen was veertig dagen en veertig nachten over de aarde. 
GEN.7.13	Op diezelfde dag gingen Noach en Sem, Cham en Jafet, Noachs zonen, en de vrouw van Noach en de drie vrouwen zijner zonen met hem in de ark, 
GEN.7.14	zij en al het wild gedierte naar zijn aard en al het vee naar zijn aard en al het kruipend gedierte, dat op de aarde kruipt, naar zijn aard en al het gevogelte naar zijn aard, alle vogels van allerlei gevederte; 
GEN.7.15	zij kwamen dan tot Noach in de ark twee aan twee, van al wat leeft, waarin een levensgeest is. 
GEN.7.16	En die kwamen, kwamen als mannetjes en wijfjes van al wat leeft, zoals God hem geboden had; en de 
GEN.7.17	En de vloed was veertig dagen over de aarde en de wateren wiesen en hieven de ark op, zodat zij oprees boven de aarde. 
GEN.7.18	Toen de wateren zeer toenamen en sterk wiesen boven de aarde, dreef de ark op de wateren. 
GEN.7.19	En de wateren namen geweldig sterk toe over de aarde, en alle hoge bergen onder de ganse hemel werden overdekt. 
GEN.7.20	Vijftien el daarboven stegen de wateren, en de bergen werden overdekt. 
GEN.7.21	En al wat leeft, dat zich op de aarde roert, het gevogelte, het vee en het wild gedierte en alle wemelend gedierte, dat op de aarde wemelt, benevens alle mensen, kwamen om. 
GEN.7.22	Alles, in welks neus de adem van de levensgeest was, alles wat op het droge was, stierf. 
GEN.7.23	Zo verdelgde Hij alles wat bestond, wat op de aardbodem was, mensen zowel als vee en kruipend gedierte en het gevogelte des hemels, zodat zij verdelgd werden van de aarde; Noach alleen bleef over en wat met hem in de ark was. 
GEN.7.24	En de wateren hadden de overhand over de aarde, honderd vijftig dagen lang.
GEN.8.1	Toen gedacht God Noach en al het wild gedierte en al het vee, dat met hem in de ark was, en God deed een wind over de aarde strijken, zodat de wateren daalden. 
GEN.8.2	De kolken der waterdiepte en de sluizen des hemels werden toegesloten en de regen uit de hemel hield op, 
GEN.8.3	en de wateren vloeiden gestadig van de aarde weg. Aldus namen de wateren na verloop van honderd vijftig dagen af. 
GEN.8.4	En in de zevende maand, op de zeventiende dag der maand, bleef de ark vastzitten op het gebergte van Ararat. 
GEN.8.5	En de wateren namen tot de tiende maand gestadig af; in de tiende maand, op de eerste der maand, werden de toppen der bergen zichtbaar.
GEN.8.6	Na verloop van veertig dagen opende Noach het venster, dat hij in de ark gemaakt had, 
GEN.8.7	en hij liet een raaf uit, en deze vloog heen en weer, totdat de wateren van de aarde waren opgedroogd. 
GEN.8.8	Daarna liet hij een duif uit om te zien, of de wateren afgenomen waren van de aardbodem. 
GEN.8.9	Doch de duif vond geen rustplaats voor het hol van haar voet en keerde tot hem in de ark terug, omdat op de gehele aarde water was, en hij stak zijn hand uit, greep haar en bracht haar tot zich in de ark. 
GEN.8.10	Toen wachtte hij nog zeven dagen en hij liet de duif weer uit de ark; 
GEN.8.11	tegen de avond kwam de duif bij hem, en zie, een vers olijfblad was in haar snavel. Hieraan bemerkte Noach, dat de wateren afgenomen waren van de aarde. 
GEN.8.12	Voorts wachtte hij nog zeven dagen en hij liet de duif uit, en zij keerde niet weer tot hem terug. 
GEN.8.13	In het zeshonderd en eerste jaar, in de eerste (maand), op de eerste der maand, waren de wateren opgedroogd van de aarde; daarop verwijderde Noach het luik van de ark, en hij zag uit, en zie, de aardbodem droogde op. 
GEN.8.14	In de tweede maand, op de zevenentwintigste dag der maand, was de aarde droog.
GEN.8.15	En God sprak tot Noach: 
GEN.8.16	Ga uit de ark, gij en uw vrouw en uw zonen en de vrouwen uwer zonen met u; 
GEN.8.17	doe al het gedierte dat met u is, van al wat leeft: het gevogelte, het vee en al het kruipend gedierte, dat op de aarde kruipt, met u uitgaan, opdat zij wemelen op de aarde, en vruchtbaar zijn en talrijk worden op de aarde. 
GEN.8.18	Toen ging Noach uit, en zijn zonen en zijn vrouw en de vrouwen zijner zonen met hem. 
GEN.8.19	Al het wild gedierte, al het kruipend gedierte en al het gevogelte, alles wat zich op de aarde roert, naar hun geslachten, ging uit de ark. 
GEN.8.20	En Noach bouwde een altaar voor de 
GEN.8.21	Toen de 
GEN.8.22	Voortaan zullen, zolang de aarde bestaat, zaaiing en oogst, koude en hitte, zomer en winter, dag en nacht, niet ophouden.
GEN.9.1	En God zegende Noach en zijn zonen en zeide tot hen: Weest vruchtbaar, wordt talrijk en vervult de aarde. 
GEN.9.2	En de vrees en de schrik voor u zij over al het gedierte der aarde en over al het gevogelte des hemels, al wat zich op de aardbodem roert en alle vissen der zee; in uw hand zijn zij gegeven. 
GEN.9.3	Alles wat zich roert, wat leeft, zal u tot spijze zijn; Ik heb het u alles gegeven evenals het groene kruid. 
GEN.9.4	Alleen vlees met zijn ziel, zijn bloed, zult gij niet eten. 
GEN.9.5	En waarlijk, Ik zal uw eigen bloed eisen; van al het gedierte zal Ik het eisen en van de mensen onderling zal Ik het leven des mensen eisen. 
GEN.9.6	Wie des mensen bloed vergiet, diens bloed zal door de mens vergoten worden, want naar het beeld Gods heeft Hij de mens gemaakt. 
GEN.9.7	En gij, weest vruchtbaar en wordt talrijk, wemelt op de aarde, ja, wordt talrijk daarop.
GEN.9.8	En God zeide tot Noach en tot zijn zonen met hem: 
GEN.9.9	Zie, Ik richt mijn verbond op met u en met uw nageslacht, 
GEN.9.10	en met alle levende wezens die bij u zijn: het gevogelte, het vee en het wild gedierte der aarde bij u, allen, die uit de ark gegaan zijn, alle gedierte der aarde. 
GEN.9.11	Ik dan richt mijn verbond met u op, dat voortaan niets dat leeft, meer door de wateren van de zondvloed zal worden uitgeroeid, en dat er geen zondvloed meer wezen zal, om de aarde te verderven. 
GEN.9.12	En God zeide: Dit is het teken van het verbond, dat Ik geef tussen Mij en u en alle levende wezens, die bij u zijn, voor alle volgende geslachten: 
GEN.9.13	mijn boog stel Ik in de wolken, opdat die tot een teken zij van het verbond tussen Mij en de aarde. 
GEN.9.14	Wanneer Ik dan wolken over de aarde breng en de boog in de wolken verschijnt, 
GEN.9.15	zal Ik mijn verbond gedenken, dat tussen Mij en u en alle levende wezens van alle vlees bestaat, zodat de wateren niet weer tot een vloed zullen worden om al wat leeft te verderven. 
GEN.9.16	Als de boog in de wolken is, dan zal Ik hem zien, zodat Ik mijn eeuwig verbond gedenk tussen God en alle levende wezens van alle vlees, dat op aarde is. 
GEN.9.17	En God zeide tot Noach: Dit is het teken van het verbond, dat Ik heb opgericht tussen Mij en al wat op de aarde leeft.
GEN.9.18	De zonen van Noach, die uit de ark gegaan waren, waren Sem, Cham en Jafet; Cham was de vader van Kanaän. 
GEN.9.19	Deze drie waren de zonen van Noach, en uit dezen is de gehele aarde bevolkt.
GEN.9.20	En Noach werd een landman en plantte een wijngaard. 
GEN.9.21	Toen hij van de wijn gedronken had, werd hij dronken en hij ontblootte zich in zijn tent. 
GEN.9.22	Toen zag Cham, de vader van Kanaän, zijns vaders naaktheid en hij vertelde het aan zijn beide broeders buiten. 
GEN.9.23	Daarop namen Sem en Jafet een mantel, legden die op hun beider schouders, liepen achterwaarts en bedekten huns vaders naaktheid, terwijl hun aangezicht afgewend was, zodat zij huns vaders naaktheid niet zagen. 
GEN.9.24	Toen Noach uit zijn roes ontwaakte en vernam, wat zijn jongste zoon hem aangedaan had, 
GEN.9.25	zeide hij: Vervloekt zij Kanaän, een knecht der knechten zij hij voor zijn broeders. 
GEN.9.26	Voorts zeide hij: Geprezen zij de 
GEN.9.27	God breide Jafet uit, en hij wone in de tenten van Sem, en Kanaän zij hem tot knecht.
GEN.9.28	En Noach leefde na de vloed driehonderd vijftig jaar; 
GEN.9.29	zo waren al de dagen van Noach negenhonderd vijftig jaar; en hij stierf.
GEN.10.1	Dit zijn de nakomelingen der zonen van Noach: Sem, Cham en Jafet; hun werden namelijk zonen geboren na de vloed.
GEN.10.2	De zonen van Jafet waren Gomer, Magog, Madai, Jawan, Tubal, Mesek en Tiras. 
GEN.10.3	En de zonen van Gomer waren Askenaz, Rifat en Togarma. 
GEN.10.4	En de zonen van Jawan waren Elisa, Tarsis, de Kittiërs en de Dodanieten. 
GEN.10.5	Naar dezen zijn de kustlanden der volken in hun landen verdeeld, elk naar zijn taal, naar hun geslachten, onder hun volken.
GEN.10.6	En de zonen van Cham waren Kus, Misraïm, Put en Kanaän. 
GEN.10.7	En de zonen van Kus: Seba, Chawila, Sabta, Rama en Sabteka; en de zonen van Rama waren Seba en Dedan. 
GEN.10.8	En Kus verwekte Nimrod; deze was de eerste machthebber op de aarde; 
GEN.10.9	hij was een geweldig jager voor het aangezicht des 
GEN.10.10	En het begin van zijn koninkrijk was Babel, Erek, Akkad en Kalne, in het land Sinear. 
GEN.10.11	Uit dat land trok hij naar Assur en hij bouwde Nineve, Rechobot-Ir, Kalach 
GEN.10.12	en Resen tussen Nineve en Kalach; dat is de grote stad. 
GEN.10.13	En Misraïm verwekte de Ludieten, de Anamieten, de Lehabieten, de Naftuchieten, 
