MAT.1.1	Si Abraham gëlok nennë, Dabid gë oli, Jisu Kristo gë hürum ë. 
MAT.3.12	Amo buppü ëm yabbin naanë, opoh ë bük alak lo, amo yabbin nam ëm bü bük naasu lo gëchü rë, “Rülachin amya amro gaddëm yaddü lochin ngikmanë mëdü lo romrë.”
MAT.3.13	Okkë kookü bë Jisu Galili lokkë Jordon bë Jon gëlok Baptis kolëpë ëmla aato. 
MAT.3.14	Rülachin Jon mentum la mento, “Ngo den nokë lokë Baptis silapë mëëto, okkë no yo bë ngok lo aaya doonala.”
MAT.3.15	Rüla kudachin Jisu bü ëm menrük sila mento, “Ijja gëm sëkë bë rücho lajuka, yo lëga sëmbë Yürnë gë mëënam bë buppü ëm rüken yaadu,”
MAT.3.16	Jisu bü Ishi lo Baptis la bübabë nenro bë, ogo pak taayo ërap ë chükkok jito, ogo Yürnë bü Doü ëm taakü taado garü gobë loubë uala bük aü lo dëëlük doobë kaasito. 
MAT.3.17	 Ogo taayo tolokë agom go sëmbë mento, “Si ngok aya yaaru nam Oroh ë ngo bük taayolo mëëyum lükdu.”
MAT.4.2	Okkë loorü appi gola yuprü appi go doma tüma bë duurom ro bë këno ë rütoku. 
MAT.4.3	Ëmbë rüdak ëm rürik menrik në bük lo aala mento, “No Yürnë gë Oroh ë rubolo sim ülü gadë sim ütü bë rümo toka.”
MAT.4.5	Okë kookü bë Ui ë bü ëm Dëën taon Jerusalem bë ingë doola Kumko namë mülo taayo yaaru lo dagmo paala mento, 
MAT.4.6	 “No Yürnë gë Oroh ë boolo, no aü ë poknük sika to, yo lëga sëmbë ektu Yürnë bü bük lampoh ëm nokë gëbë menlük rë, ogo bulu aü gë alak lokë nom gaktu rë, ëmbë nokë alë ëmchin ülü lo yo jaa gochin otë orë moma rë.” 
MAT.4.7	 Jisu bü ëgum menrük sila mento kuda, “Sigi sëmbë ektu kuda, No noükë Yürnë Rutum ne bëdar kaama bëka.”
MAT.4.8	Lëken gokuda, Ui ë bü ëm odoom runë moodi golo ingë tokuda okkë tani mooko sokë rëtu duubë takam ëm okkë buluk hürga nam ëm kaatom tokuda. 
MAT.4.9	Okkë bü bü ëm mentokuda, “No ngom durgala ajji gochin kumbolo, ngo sim buppü kaanam sim jirë.”
MAT.4.11	Ogo Ui ë bü ëm ëpakla innyo toku, okkë kaaku nammë, Yürnë gë lampoh ë aado kula bü ëm rügur toku.
MAT.4.13	 Okkë Najarath ne ëpak yaatola Jebulun okkë Napthali mooko gë ishi Shinë rui Kaparnaum lo, duulük to. 
MAT.4.14	Ëgë nyijük Isaiah gë sëmbë mennam agom ëm jijja molëpë ëmla rüto. 
MAT.4.15	“Jebulun okkë Napthali diirü gë nyibo diirü Galili bë sordak në Jordon shibu rui gë bëda, 
MAT.4.16	 Kanë kolokë duunë nyi gaddë kai runë lou ëm kaapa sika, okkë sinam doonyum gë nyumpo nam gë diirü lo duunë ëm komchi lou ë uupaka.”
MAT.4.18	Jisu gë Galili paata robë lo ingë du ëm achë abür sinyi go Simon nela okkë bük achë Andriu ne kaapala, binyi paata lo ësap kuula rëto, lëga bulu ësap kuudum në nyi bë rüto. 
MAT.4.19	Jisu binyi ëm mento, “Ngom inmin gëlak, Ngo nonyi ëm ësap lokë nyi ëm kuutenla laanë bë morë.” 
MAT.4.20	Lëken gobë buluk ësap ëm ëpak tola, okkë bük inko lo inmin gëdato,
MAT.4.21	Okkë da indodala, achë abür sinyi Jebedi gë oroh Jems nela bük abür Jon binyi ëm bü kaato, binyik abo Jebedi gëla binyi lëken gobë ulu aralo ësap motenla duudo bë, Jisu bü binyi ëm gogto. 
MAT.4.22	Ogo lëken gobë abo nela ulu ëm ëpak tola binyi Jisu gë inkolo inmin gëdato.
MAT.4.24	Bük mengë rügë nam agom ë Siria mooko takam lo, inchik to, ogo büklo nyi buppü ë angu angu bë chinë ramnë, nüknam bë chinë, urom mugëla munë, simek në, okkë senla kumnë chamnë buppü ëm aagë jito, ëgum buppü ëm bü mopoh jingam toku. 
MAT.4.25	Ëmbëi yaaka na nyi ë, Galili, Dekapolis taon ürü, Jerusalem, Judia, okkë Jordon baayür lokkë büklo mamin gëla into.
MAT.5.1	Nyi nyitü ë inmin gënam ëm kaala, Jisu moodi putu golo chaala duuto, ëmbë duudu ogo bük dardëk la rëgë nam gaddë bük duukolo aato. 
MAT.5.2	Bük rëgë nam gaddë duugo doobë bü dooyü ëm menrëp to.
MAT.5.3	Doü ë nyima du ëmla yë bulu chensi duudü buluklo mëëken ë; okkë Yürnë gë rëgë koë buluk bë rüdo!
MAT.5.7	Nyiikë lëga bë ai amar bë mëënë gaddë mëëken rë, lëga bullëm Yürnë aya rë!
MAT.5.9	Jurup lëga bë agër gërnë ë mëëken rë, lëga Yürnë bük aaji oloh ë ëmrë!
MAT.5.12	 Mëëken moken laka, lëga kai yaaru në amen ëm Yürnë gë rëgë kolo nonu ëpë achü jitu; Sigi nonnuëm rëcho yaanë jügnë koknë gaddëm morik chikek nammë dada.
MAT.5.13	Nonu tani mooko sokë aloh, rülachin yadü lo aloh gë tiinam ë ngerë dü, ëgum tiido bë mokur lakumabë arë kaamabë ërpak la nyi ë alë sampër nyum bë rürë.
MAT.5.15	 Nyi ë mërruëm runo gëlla ochë aru lo amarë, rügë doola mëruh tügë taayolo adona, okkë mum namë buppü ëm lou upa dookuna. 
MAT.5.16	 Ëmbëi, nonuk lou ëm nyi gaddëk penkolo uken laka, ogo alë bë rünam agër ëm kaala, nonuk taayo Abbo ë koik rë.
MAT.5.17	Nonu ngom Ayon ëm maarëm Yürnë gë nyijük gaddëk niitin ëm ngemo jirëpë ëmla mëëma bëka, ngo sim inpak molëpë ëmla aama, rüdak kom bullëm rüpü jilëpë ëmla mum aaduna. 
MAT.5.18	 Ngo nonnuëm jijja rubë mendu, sichü mëdo ë ngema tëttë lobë okkë buppü ë rüpü pülü ma lobë Ayon lokë aken akor ajëk gochin, ëgë maakom anni gochin rüdek momarë. 
MAT.5.19	Yë dü, sim niitom gadësim ajji godak kom bëkrë dü aken nëmchin bëkdobë menyür rëdü bü ëm Yürnë gë rëgë ko mooko lo ajji nago bë kürë. Rüdak kom yëdü sim niitom gadësim rügë mengë rëdü bullëm taayo mooko lo attë nago bë kürë. 
MAT.5.20	Sokë lëga ëm ngo nonnuëm bërok bë menjidu, nonuk dërëk ëla mëëkë, Pharisi gaddëmla ukil gaddëm dinchi yaama rëm, nonu bërok rubë taayo mooko chaala maarë.
MAT.5.22	Rüdak kom ngo nonuëm mendu, Yë aü bürroëm marmin sirë dü bü këba menkorë. Yë aü gë bürroëm yo pinma garma nago ëmrë dü bü ëm baanë këba gë ajë menko lobë rërë. Rüdakkom Yë “No pacha yao ë” ëmrë dü ëgum Ui mooko gë ëmë guyar la dooko lo ajë ëm aagë rë. 
MAT.5.23	Okë lëga bë, no kumko namë lo nokë amen ëm jidak ëm nokë anü büro ë nokë taayolo aglü buulü nam go kaadu ëmla mëëpa sidu boolo, 
MAT.5.24	Nokë amen ëm kumtë ko ogo acho toka, okkë incho dookula nokë anü bürroëm alë sicho toka, okë kookü bë nokë Yürnë bë amen jissëm jitokuka.
MAT.5.25	Nom nyirë bë rüla guunyü lükla këba menpom lo ingë tannëm no büba bë alë sibë agom ëm jabjup sigor toka, ëmbë maabolo, bü nom këba lërü lo leelük rë, ëgë këba lërü ëgë lëpa lüknë nyigom lo jilükla patëk lükla amorë. 
MAT.5.26	Ngo jijja ëm mendu, no nokë guunyü ajë ëm dorma tëttë lobë lëpa lükla ako rë okkë nenla kumarë.
MAT.5.28	Ëgum pakya bë ngo nonuëm mendu, yë dü nyiikë nyimë ba nyilo ëm kaaboh anyik bë kaadu në bü bük aapuk lo gülum süyë rüka. 
MAT.5.29	 Ëkë lëga bë nokë nyükbëk anyik ë kaaboh kaamur gëdo boolo ëgum ëppak sigeka, yo lëga ë nokë aü buppü ëm Ui mooko lo ërlük kossëm, amür lokë ajëk go ërpak nammë alë yaarë. 
MAT.5.30	 Okkë nokë lakbëk alak ë rümur rümo duubo lo, ëgum tëkpak sila ërpak toka. Yo lëga nokë amür buppü ë ui moora bë ngelük mossëm nokë amür lokë atu gonnëm ngepak molachin alë yaadu.
MAT.5.32	 Rüdakkom ngo nonuëm mendu, Yë aü gë nyimë ëm rümur rüma dabë tugü pagge duudü ëgë mü ëm rümur ëm rümodu, okkë yë dü ëpak nam nyimë ëm nyimë bë duugë në ëgë büchin rümur mingë du.
MAT.5.34	 Rülachin ngo nonuëm mendu kuda, chüjë doojë amin lokëchin bërok bë chesi yooka, lëga ë si Yürnë gë duutëm ë. 
MAT.5.35	 Ëgë maalachin, tërü sichü amin lokëchin chesi yooka, lëga ë tërü sigi Yürnë bük alë tugë ë. Ëgë maakom Jerusalem gë amin lokëchin chesi yooka, lëga sigichin korum gë tëbo gaddëk hülen la duubë ko taon ë. 
MAT.5.36	Okkë noükë dumpo ëmchin mamgë sidola chesi yooka, yo lëga ëmrëm, no noükë dumpo lokë adum aso gochin dumpu doobë ëgë maarëm kom dumkë doobë mola sima. 
MAT.5.37	Ëgum pënammë nokë agom ë, “Ëke” ba “Ma” ëmru toka. Ëgum menbo boolo ëgë Ui dërëk maanë doü lokë aanë.
MAT.5.39	Rülachin ngo nonuëm mendu, nom rünek nëm no dora raada yooka, okkë aken gonnë nom lakbëk mooroh lokë chiirëm no lakchi mooroh ëmchin chëmji toka. 
MAT.5.40	Okkë nyi aken gonnë nom nokë laklük lükjür ëm laarek leela këba lo ingë rëm no bü ëm nokë lükbor ëmchin jita geka. 
MAT.5.41	Okkë aken gonnë nom bük yëra ëm saggo go gëji laka ëmrëm no bü ëm saggo anyi go gëlük jitoka. 
MAT.5.42	Aken gonnë kuda aü gë kaama në yëku yëra go kaarëmchin jita toka okkë aken gonnë yëku yëra go narcho laka ëmrëm ëgumchin narrük toka.
MAT.5.44	Rülachin ngo nonnuëm mendu, nokë nyiroh yaaru ëm pakmin silaka okkë nonuëm motu chire nam lëga bë kumsi laka. 
MAT.5.45	Ëmbëmin rübolo nonu nonuk Yürnë Abo gë oroh rubë rürënë. Lëga, bü alë në ba alë maanë nyi gaddëm lëyü bë doonyi ëm nyimo jidu okkë alë bë alë maabë rünë ëmchin lëyü gobë nyido bë omo jido 
MAT.5.46	Nonu nonnuëm paknë riinë nyum ëm pakmin sibolo okë yo amen go paarë? dodin urnë gaddë kom ëmbë rüma doore? 
MAT.5.47	Okkë nonu aü gë achë abür nyum lo mëëken moen agom ëm menji sibolo, këbë nyi ëm yo go pakya bë agër go rüji duuna? ëgum Yürnë ne chenma në gaddëchin ëmbë rüma doore! 
MAT.5.48	 Ëkë lëga bë, nokë Yürnë Abbo ë yo ëmbë jijja duudü ëmbëi dada nonuchin jijja mingë laka!
MAT.6.2	Ëkë lëga bë no yadü lo open aatur gaddëm jinyo bë rügur jirëdü ogo jijja maanë nyi gaddë gë kumko namë lo okkë bëda lo, nyi ë koik doobë ëmla rünam garü bë, aü ë kaatom siyoka, Ngo nonnuëm jijja ëm mendu, bulu aü aü gë paapë nam ëm paaroka. 
MAT.6.3	Rüdak kom nonu yadü lo open ëpë jinyo jirë dü nokë lakchi gë agër ëm lakbëk ëmchin chenchi simo yooka. 
MAT.6.4	Ëgë mum nokë jirup bë jinyo jinamë, ogo kaarup la kaanë nonuk Abo bü nonnuëm jinyo bë jinam gë amen ëm jirë në.
MAT.6.6	Yadü lo nonu kumrë dü, nonu namë aralo aado la ërap ëm chüktum paala ogo nonuk kaapa maanam Abo ne kumlaka. Ogo mum nonnuë kasila agër rünam ëm kaapanë Abo bü nonnuëm amen ëm jirënë.
MAT.6.7	Okkë nonu yadü lo kumrëdü, Yürnë ne chenman gaddëk garü bë arë kaama në agom lokë yaaka go kumyoka, yo lëga bulu yaaka go kumnam lokë Yürnë tajidu mëëdu. 
MAT.6.8	Buluk garü bë rüma bëka, yo lëga, nonuk Abo nonuk mëëma dabë nonu yoyo go mëëdu dü okkë mëëbe dü ëgum chencho du.
MAT.6.9	Nonu sëmbë den kumtoka,
MAT.6.9	“Ngonuk taayo tolokë duunë Abo:
MAT.6.9	Nokë amin ë duuyar kaalaka,
MAT.6.10	Nokë mooko bë rümo laka;
MAT.6.10	Taayo mooko yo bë rüdu dü,
MAT.6.10	Ëmbëi tani mooko simkom nokë mëënam bë rümolaka.
MAT.6.11	Ngonuk loodak bë dossëm silo jilaka.
MAT.6.12	Ngonnuëm alë maanëm rüka moyoka.
MAT.6.12	Ngonuk ajë gënnëm,
MAT.6.12	Ngonu yo bë ëpak duudü.
MAT.6.12	Ëmbë dada ngonuk ajë ëm kom ëpak jilaka,
MAT.6.13	Okkë dërëk maanë yaloh lokkëm gaktu laka,
MAT.6.13	Yo rüla nokë mooko ë okkë dërëk nëla tornamë
MAT.6.13	korum lokkë duuyar runë.”
MAT.6.14	Lëga ë nyi rümëm ëm no noü ëpak jibolo, nonuk taayo Abo kom nonuk rümëm ëm ëpak jirënë. 
MAT.6.15	 Rüdak kom nonu nyi rümëm ëm paknyo bë pakma boolo, nonuk Yürnë Abo bü kom paknyo bë pakma rë.
MAT.6.16	Okkë yadü lo nonu doma tüma bë duurë dü ogo jijja maanë nyi gadëk garü bë nyukmo ëm mëëdük mou nëbë rüla duuyoka. Yo lëga buluk duurom nam ëm nyi ë kaaru rëlëpë ëmla buluk nyukmo ëm moode mooyak modu. Ngo jijja ëm nonnuëm mendu bulu aü aü gë paasëm paaroka. 
MAT.6.17	Rüdak kom yadü lo nonu doma tüma bë rürë dü ogo nonuk dumpo ëm tuglap sila okkë nyukmo ëm alë bë sukak laka. 
MAT.6.18	Ogo mum nyi ë nonu doma tümadu ëmla kaachen lama rë, rüdola nonuk kaapa maanam Abo nyum chenrë, okkë nonuk doma tüma bë duurup nam ëm kaanë Abo bü nonnuëm amen ëm jisi rë.
MAT.6.20	Ëgum pënamë ekam takek gë domako ë, okkë dotcho kasi në aala choola maako Yürnë gë mooko lo nokë aü gë yëku yëra ëm kachü toka. 
MAT.6.21	Yo lëga yo lo nonuk yëku yëra ë doodu dü ogo nonuk asin aapuk ë duurë.
MAT.6.22	Anyik si amür sokë mërru ë, nonuk anyik ë alë boolo, nonuk amür buppü ë lou bë rürë. 
MAT.6.23	Rüdak kom nokë anyik ë alë maabolo, nonuk amür buppü ë kanë yora bë rürë, nonuk amür lokë lou ë kanë duubolo, yadü go ëgë kanë ëgë kai nammë!
MAT.6.24	Yëchin rutum anyi gë aralo agër rülama, bü aken gonnëm anek gërë okkë aken gonnëm pakya la rürurë, ëmbë maalachin aken nëm mëëgap rë okkë aken nëm ëpak yaala rürë, nonu Yürnë nela ain murko ne kumpë sila maarë.
MAT.6.25	Okë lëga bë nonnuëm ngo mendu, nonnu ë turla rënam lëga bë dokor tükor ëm mëëdür yooka, okkë aü lokë ejë ëbë lëga ëm, yo lëga turnam ë donam ëm pënamë kai yaama lare? Okkë amür si gënam bënam ëm pënamë arë kaaya maado lare? 
MAT.6.26	Pëta jarla rënë gaddëm kaasi toka, bulu liilük nam kaama, Naasu naaka lo gëchü la ayanam kaama; ëmbë rülachin nonuk Yürnë Abo bullëm oodui. Nonu pëta gaddëm pënamë arë kaama yaanë lare? 
MAT.6.27	Nonu mëëdür sikolokë yë la hüben yaado bë mola sido në?
MAT.6.28	Okkë ejë ëbë lëga bë yo bë mëëdür duuna? Nyomra gë apu ana puusi në gaddëm kaatola, bulu agër rüla ba ejë ëbë gëkor molük sima. 
MAT.6.29	 Ëmbë rünamë ngo nonnuëm mendu, Solomonchin majja bë nyitë bë rülachin sokë apu ana gadë sokë garü bë kaaken në ejë ëbë gëla maato. 
MAT.6.30	Ë, ajji bë mëëkë sinë gadë, rükü gë siruk moosen mogë doola rompak sa nësük nëmü gë rünyük ëm bukji në Yürnë bü nonnuëm ejë ëbë ëm buumü yaama deedo lare!
MAT.6.31	Ëkë lëga bë, ngok dosë tüsë okkë ejë ëbë gëssë yo lokë aarë dü? ëmla mëëdür sirëp yooka. 
MAT.6.32	(Si mëëdür sinam si Yürnë ne chenma në gaddëk loodak tëm mëëdür la mëëdum nam agër ë). Nonnuëm Yürnë Abo nonuk pümanam buppü ëm chendu. 
MAT.6.33	Rüdak kom, buppü yëku yëra ëm pënamë, Yürnë gë mooko ëmla okkë bü nokë lokë yo go mëëdu dü ëgum dinchi bë maka chootoka, ogo Yürnë bü nokë mëënam buppü ëm rüji rë. 
MAT.6.34	Ëkë lëga bë allo gë lëga bë mëëdür yooka, allo gë mëësë allo ne aasirë, loodak tokë mëëdür moso ëm lükta maabë loodak tokë ëgë gëssëm gësitoka.
MAT.7.1	Nyi ëm hüka darka yooka, Yürnëchin nom ëmbë make mae maarë. 
MAT.7.2	 Nyi këbbëm no yo ëmbë hüka darka doodü ëmbë dada nomchin Yürnë hüka darka rë, okkë no noü ëm yo ëmbë kügë doodü ëmbëi dada nonnuëmchin bü küka rë. 
MAT.7.3	Nonu aü gë anyik lokë nyügrüh ëm kaapak sima gëlla yo ëmbë nokë achë abür gë anyik lokë nyügrüh dagnëm kaapak tadu naala? 
MAT.7.4	No noük aü gë anyik lo, nyügrüh ë dagru doola, yo ëmbë nokë achë abür gë anyik gë nyügrüh ëm laapak kolaka ëmla duuna? 
MAT.7.5	Rukü nyopak në gadë nonu, nonuk aü gë anyik lokë nyügrüh gaddëm laapak sicho toka, okkë ogo no nokë achë abür gë anyik lokë nyügrüh dagnëm laapak lado bë kaapa rënna.
MAT.7.6	Iki ëpë dërëk në yëku yëra ëm ërji yooka, okkë süpi süpop ëm ërëk ëpë tulük yooka, bulu allë samru samnyo la mora sirë okkë nom gamtë bë aakur sira yaarë.
MAT.7.7	Kolaka ogo nonnuëm jirë, malaka ogo nonnuë mapa rë, okkë chiiden aatoka ogo nonnuëm ërap ëm chükkok jirë na. 
MAT.7.8	Yo lëga ëmrëm, yë dü korë në ëgë paarë, okkë yë dü madu në ëgë mapa rë, okkë yë dü ërap ëm chiiden aadu në ëgum chükkok jirë. 
MAT.7.9	Nonu yë Abo rem noükë oroh ëm ütü go koko paala ülü go jira sidonë? 
MAT.7.10	Ëmbë maalachin ngoi go koko paala tabüh go jira sidonë? 
MAT.7.11	Yadü go alë maanë abo bë rülachin no noük aaji oloh gaddëm yadü go alë në amen ëm jidu, okkë ëkë garü bë nokë taayo Abo bü ëm konnëm yadü go alë në amen ëm jirë!
