GEN.1.1	Abatelipuna elana Yabowaine labulabum ge panayawi i ginolil. 
GEN.1.22	Yaka Yabowaine i ba muloluagil i ba, “Moti, nuku talaabab ge nuku gewi, yaka nuku debalala hoga nuku pakalaopop. Bwasumu bolo ku youyou, nuku gewi yaka nuku debalala panayawi pwatanaa.” 
GEN.1.23	He bulin i mowasi ge lan i mowasi, lan nimala panunana to.
GEN.1.24	Yaka Yabowaine i ba, “Bwasumu yawaliliya gaganil ali awa tomaha ge tomaha nihi masal datuwa: bolo totounuwal, bolo hi yawayawal bilibili pwatanaa, ge bolo bekikil, ali awa tomaha ge tomaha.” Inoke i gan i ola to. 
GEN.1.25	Yabowaine bwasumu bekikil ali awa tomaha ge tomaha, bwasumu totounuwal ali awa tomaha ge tomaha, ge bugul bolo hi yawayawal bilibili pwatanaa ali awa tomaha ge tomaha i ginolil. Inoke Yabowaine i kite i waisi.
GEN.1.28	Yaka Yabowaine i ba muloluagil i ba, “Nuku talaabab ge nuku gewi, yaka nuku debalala panayawi nuku pakalaopop ge ni minaa wami logugui gabulanaa. Moti hogaa, bwasumu hawawala ge bugul gegewel yawaliliya gaganil bolo hi nawanawa bilibili pwatanaa nuku logugui-agil.”
GEN.1.29	Yaka Yabowaine i baek elal i ba, “Mwawin gegewel panayawi pwatanaa bolo enowaliya pwatum ge ebwakil gegewel bolo enowaliya pwatumwina gaganina ya pewa. He nuku ahel aanan kaiwena. 
GEN.1.30	Ge bwasumu gegewel panayawiya, bwasumu gegewel hawawala, ge bwasumu gegewel bolo hi nawanawa bilibili pwatanaa—he bugul gegewel yawaliliya gaganil—mwawin ge ebwakil lamwaliya gegewel ya pek eliyalil aanan kaiwena.” Inoke i gan i ola to. 
GEN.1.31	Inoke Yabowaine bugul gegewel i ginolil i kitel hi waisi hot. He bulin i mowasi ge lan i mowasi, lan sikis-ina to.
GEN.2.1	Inoke Yabowaine labulabum ge panayawi ginebi ge buguliliyau gegewel i ginolil habal. 
GEN.2.3	Inoke lan seben-ina i ba muloluan ge i teli i bwabwalena, kaiwena lan o elana i veyahoem wana tuwalali gegewena elal bolo iyaka i ginolil.
GEN.2.4	Yehoba labulabum ge panayawi i ginolil i mowasi, yaka liwanina i ola hiwe.
GEN.2.4	Sauga Yehoba Yabowaine labulabum ge panayawi i ginolil, inoke gamagal al i ginol. 
GEN.2.5	Houwan ga nige ebwakil etega o ebo mwawin etega i sisiun bilibiliya, ebo uleya, ebo eyowaa, kaiwena Yehoba Yabowaine nigeya ga kehe i papatuna bilibili i papahun, ge nige gamagal i gagan tage bilibili ni eyowa-an. 
GEN.2.6	He gogau i heem bilibiliya yaka tutulina bilibili pwatana gegewena i pahunhun. 
GEN.2.7	 Yehoba Yabowaine bilibili i ahe gamagal i ginoliya, yaka yawal yawalina gaganina i yana papanetan buhunaa, inoke gamagal yawalina i gan.
GEN.2.8	He Yehoba Yabowaine eyowa
GEN.2.9	 Yehoba Yabowaine ebwakil tomaha ge tomaha ali awa waiwaisal ge enowaliya waiwaisana aanan kaiwena i pasiuniliya to. Eyowa nuwanaa ebwakil labui hi siuna, yawal ana ebwakil ge aatena gegewena waiwaisana ge nanakina ana ebwakil.
GEN.2.10	Wewel etega i sani solaa labena Ideni gamwanaa eyowa i pahunhun. Yaka abwe i wali lalana esopali hi tabwa wewel unuliya. 
GEN.2.11	Wewel houwan alana Pison, iya i sani solaa labi Havila gamwanaa. (He labi o elana gold i minaa, 
GEN.2.12	goldina i waisi hot. I ola al ebwakil etega suina hi aahe bugul bwalena waiwaisana hi ginoliya ge pat ali awa waiwaisal hi gan al to.) 
GEN.2.13	Wewel eluwana alana Gihon, iya i sani solaa labi Kus gamwanaa. 
GEN.2.14	Wewel etonina alana Taigilis, iya i sani olak panuwa Asul labena balimana, ge wewel esopalena alana Yupeleitis.
GEN.2.15	Yehoba Yabowaine tau i ahe i teliya Ideni eyowana elana, inoke ni tuwalali-an ge ni matahikan. 
GEN.2.16	Yaka Yehoba Yabowaine i baek tau elana i ba, “I bosowaina te ebwakil gegewel eyowa gamwanaa enowaliya nu anan ya; 
GEN.2.17	yaa aatena gegewena waiwaisana ge nanakina ana ebwakil enowana bahi nu aan, kaiwena sauga toto ebo nu an, he nasi nu aliga.”
GEN.2.18	Inoke Yehoba Yabowaine i ba, “Nige i wawaisi te tau maisena ya ni mimwaumwau. Ana tolaba etega na ginol iya alona.”
GEN.2.19+GEN.2.20	He Yehoba Yabowaine iyaka bilibili i ahe bwasumu gegewel i ginoliliya, bolo hi nawanawa bilibili pwatanaa ge bolo hi youyou hawawala. Inoke i enil pwatanik tau elana ge ni kite tau alaliya ga ni tun ola. Inoke tau bwasumu bolo totounuwal, bolo hi youyou hawawala ge bolo bekikil gegewel alaliya i tun. Bugul gegewel alaliya ga i tun ola, he alaliya i ola to. Yaa Adama
GEN.2.21	Inoke Yehoba Yabowaine tau i pakenu mati. Sauga i kenukenu, inoke luluna tutuwana etega i ahe, yaka tuwana i kaus pasikal. 
GEN.2.22	Yehoba Yabowaine tau luluna tutuwana i ahe yova i ginoliya, yaka i pwatanik tau elana.
GEN.2.23	Sauga tau yova i kite, yaka i ba, “He abwe o hulhula hot. Tutuwana i neem tutuwau elana ge bunumwina i neem bunumwiu elana. Inoke alana na tun ‘yova’
GEN.2.24	 Heiya te kaiwena tau tamana ge hinana ni miluwagil ni na alona ge lagona nihi mipamaisena, inoke ali toto labui nihi ola tuwan maisena.
GEN.2.25	He Adama ge lagona hi bokaboka, yaa nige hi pupuluwawi.
GEN.3.2	Inoke yova mwata anana i lahe i ba, “Bosowaina ya ebwakil gegewel eyowa gamwanaa enowaliya naha anan ya, 
GEN.3.3	iyai ya te ebwakil toto i siuna eyowa nuwanaa enowana nige naha aan. Yabowaine i ba, ‘Ebwakil o enowana bahi nuku aan o ebo nuku pipihikan, eba nuku aliga.’”
GEN.3.4	Yaka mwata i baek yova elana i ba, “Nigeya! Nige nuku aaliga. 
GEN.3.5	Yabowaine i ba ola o kaiwena i atena te sauga ebo nuku an, he abwe matamiu ni mwapwela yaka bugul gegewena waiwaisana ge nanakina nuku atena ge nuku ola iya Yabowaine.”
GEN.3.6	Yova ebwakil i kite ana awa i waisi ge enowana i waisi aanan kaiwena. I ola al i nuwatu i ba, “I waisi te na an inoke na siba.” Inoke enuna i ahe i an. I ola al enuna i pek lagona i an. 
GEN.3.7	Yaka mataliya i mwapwela ge hi kitel age hi bokaboka, inoke poga lamwana hi bugulan ge hi helil tuwaliya ana ekaukaus.
GEN.3.8	Kokoyaviya vetutulina elana Yehoba Yabowaine i nawanawa eyowa gamwanaa, yaka butuna tau ge lagona hi hago, inoke hi na hi bunsumi ebwakil gamwaliyaa. 
GEN.3.9	Yaka Yehoba Yabowaine i yoga tau elana i ba, “Owa ga?”
GEN.3.10	Anana tau i lahe i ba, “Butum ya hago u nawanawa eyowa gamwanaa, inoke ya lovakun ge ya bunsumi, kaiwena ya bokaboka.”
GEN.3.11	Inoke Yehoba Yabowaine i ba, “Ga i ola ge u atena te u bokaboka? Henala ge wam wasa i pewa? Bi ola ebwakil toto ya lopwali enowana u an?”
GEN.3.12	Yaka tau i ba, “Yova toto u pem alou, iya te ebwakil o enowana enuna i pem ya an.”
GEN.3.13	Yaka yova i ba, “Mwata i kakaweyau inoke ya ahe ya an.”
GEN.3.14	Yaka Yehoba Yabowaine i baek mwata elana i ba, “Kaiwena ginol ya u ginol, inoke sauga ya na ba nuwamut-agiwa ge am lahi na baunan. Am pulowan bwasumu gegewel totounuwal ge bekikil ali pulowan ni bwata lake. Yawalim ana minamina gegewena elana, tinem nu uluwan ge bilibili pwapwalanana kokowam ni papakove. 
GEN.3.15	 Na ba owa alom ge yova nuku pepihigelgel-agimiu, i ola al tubutubunim ge iya tubutubunina nihi pepihigelgel-agil. Tubutubunina etega kokowam abwe ni puligebal ge owa aena gunina nu tal.”
GEN.3.16	Yaka i baek yova elana i ba, “Na ba owa wam liyan elana pulowan ni gewi nu pwawa, ge wam ab elana lomwan bwabwatana nu pwawa. Lagom ana nuwan ni gasisi eliyam ge iya ni logugui-agiwa.”
GEN.3.18	Pepesala ge mwawin nanakina nihi siunem bilibiliya kaiwem, yaa aanan nu eyowa-an ga mulaa abwe nu anan. 
GEN.3.19	Nu tuwalali gagasisi lamwam ni alutan mulaa abwe nu anan, ana siga nu sikal bilibili elana, toto ya ahe ya ginoliwa. Kaiwena owa bilibili, yaka nu sikal nu tabwa bilibili.”
GEN.3.20	Adama lagona alana i tun Ive,
GEN.3.21	Inoke Yehoba Yabowaine bwasumu kunisina i ahe Adama ge lagona ali kaliko i ginoliya yaka i pagaloil. 
GEN.3.22	 Yaka Yehoba Yabowaine i ba, “Gamagal iyaka bugul gegewena waiwaisana ge nanakina i atena ge i ola kila. Nige bosowaina ge ta talamwan yawal ana ebwakil enowana al ni ahe ni an, eba yawalina ni mihot.” 
GEN.3.23	Inoke Yehoba Yabowaine tau ge yova i patuna owaowa-agil hi tagil Ideni eyowana elana, yaka tau bilibili ni eyowa-an, toto Yabowaine i ahe ge i ginoliya. 
GEN.3.24	Tau ge yova i patuna owaowa-agil i mowasi, yaka bwasumu opeliya gaganina
GEN.4.1	Adama alona ge lagona Ive hi kenukenu, yaka i liyan, inoke natuna melutauina i ab. Yaka i ba, “Yehoba wana labe eliyana wawaya melutauina ya pwawa.” Inoke alana i tun Keni.
GEN.4.2	Yaka abwe al talina Eibol i liyanan ge i ab.
GEN.4.2	Sauga wawayau hi lobwata, inoke Eibol i tabwa sipi ali tomatahikan ge Keni iya toeyowa. 
GEN.4.3	Abwe Keni wana eyowa enowana enuna i ahe ge i pek Yehoba ana powon. 
GEN.4.4	 Eibol wana sipi bolo ab houwan enuna i lolil, yaka gabomwiliya waiwaisal i ahel ge i pek Yehoba ana powon. Yaka Yehoba Eibol ge wana powon i yaliyaya-an, 
GEN.4.5	yaa Keni ge wana powon nige i yayaliyaya-an. Inoke Keni i huga nabi ge maninina i lala.
GEN.4.6	Inoke Yehoba i baek Keni elana i ba, “Hauna kaiwena u huga ge maninim i lala? 
GEN.4.7	Binimala ebo wam ginol ni sapu, he nasi na yaliyaya-agiwa. Yaa ebo wam ginol ni nak, he gegi iyoho i matamatan ni apanakiwa. Nuwana ni ahewa, yaa owa nu gasisi lake.”
GEN.4.9	Yaka Yehoba i baek Keni elana i ba, “Talim Eibol iya ga?”
GEN.4.9	Anana Keni i lahe i ba, “Nige ya aatena. Age nau taliu ana tomatahikan?”
GEN.4.11	Talim u tagapaaliga ge saliyana bilibili u paim, inoke am ba nuwamut na baunan na ba bilibili ni nak nige al bosowaim nu tuwalali-an. 
GEN.4.12	Sauga ebo bilibili nu eyowa-an, he nige wam tuwalali enowana ni pepewa. Nige abam hot ni gagan, yaa nu nononawanawa ya panayawiya.”
GEN.4.13	Yaka Keni i baek Yehoba elana i ba, “Lahi ya i bwata hot ge nige bosowaiu na mikalivai! 
GEN.4.14	He iyaka u patuna owaowa-agau nige al bosowaina bilibili na tuwalali-an ge o bwaga ni yapu maninimwa. Nige abau hot ni gagan, yaa na nononawanawa ya panayawiya. Ge ebo gamagalau nihi nopwawau, nasi nihi tagapaaligau.”
GEN.4.15	Yaka Yehoba i baek Keni elana i ba, “Nigeya! Ebo gamagal etega ni tagapaaligawa, wana ginol o lahena na ginol elana ni bwata hot.” Inoke Yehoba etotohi etega i teli Keni tuwanaa i lopwali ebo gamagalau Keni nihi nopwawa bahi nihi tatagapaaliga. 
GEN.4.16	Yaka Keni i egon ana bwaga i yapu Yehoba manininaa, i na i minaa panuwa alana Nodi,
GEN.4.17	Keni alona ge lagona hi kenukenu, yaka i liyan ge i ab, inoke wawaya alana hi tun Inok. (He Keni panuwa bwabwatana i sepa ge i tal, yaka natuna Inok alana i tun pwatanek panuwa o elana.) 
GEN.4.18	Abwe Inok natuna i gan alana Ilad. Yaka Ilad natuna alana Mehuyael, Mehuyael natuna alana Metusael, ge Metusael natuna alana Lemeki.
GEN.4.19	Lemeki yowau labui i alolonagil, etegana alana Eda ge etegana alana Silaa. 
GEN.4.20	Eda i ab natuna alana Yabal, iya houwan hot i minaa 
GEN.4.21	Talina alana Yubal, iya hapi ge igo i galavenu-an pamasal. 
GEN.4.22	Silaa i ab natuna alana Tubal-Keni, iya etuwalali tomaha ge tomaha kopa ge aiyan elana i ginoliya. He nuna alana Nama.
GEN.4.23	Lemeki i ba haha, i baek lagonau elalil i ba,
GEN.4.23	“Eda ge Silaa, nuku laegan eliyau,
GEN.4.23	nau Lemeki lagowau komiu, no baaba nuku hago.
GEN.4.23	Tau etega i lolau yaka ya tagapaaliga,
GEN.4.23	he ya tagapaaliga kaiwena i palomwanagau.
GEN.4.24	yaa gamagal toto nau Lemeki ni lolau, wana ginol lahena nau na ginol eliyana ni bwata nabiyan hot.”
GEN.4.25	Adama alona ge lagona hi kenukenu, yaka i liyan al ge i ab natuna melutau. Yaka i ba, “Yabowaine natu etega al i pem Eibol lahena, kaiwena Keni Eibol i tagapaaliga.” Inoke natuna alana i tun Seti.
GEN.4.26	Abwe Seti natuna i gan alana i tun Inosi. He sauga o elana gamagalau hi telipuna hi tapwatapwalolo Yehoba elana.
GEN.5.1	Sauga Yabowaine gamagal i ginolil, he iya totona kanukanununa elana i ginolil. 
GEN.5.2	 I ginolil tau ge yova, inoke i ba muloluagil, ge alaliya i tun, “gamagal.”
GEN.5.3	Adama wana baliman 130 yaka natuna tau etega al i gan. Wawaya ya Adama kanukanununa, i ola ya te iya. Inoke alana i tun Seti. 
GEN.5.4	Seti hi ab enaa, Adama i minamina al baliman 800 yaka natunau bolau ge yowau enuna al hi gan. 
GEN.5.5	He Adama wana baliman gegewena 930 i pwawa, yaka abwe i aliga.
GEN.5.6	Seti wana baliman 105 yaka natuna i gan alana Inosi. 
GEN.5.7	Inosi hi ab enaa, Seti i minamina al baliman 807 yaka natunau bolau ge yowau enuna al hi gan. 
GEN.5.8	He Seti wana baliman gegewena 912 i pwawa, yaka abwe i aliga.
GEN.5.9	Inosi wana baliman 90 yaka natuna i gan alana Keinan. 
GEN.5.10	Keinan hi ab enaa, Inosi i minamina al baliman 815 yaka natunau bolau ge yowau enuna al hi gan. 
GEN.5.11	He Inosi wana baliman gegewena 905 i pwawa, yaka abwe i aliga.
GEN.5.12	Keinan wana baliman 70 yaka natuna i gan alana Mahalalil. 
GEN.5.13	Mahalalil hi ab enaa, Keinan i minamina al baliman 840 yaka natunau bolau ge yowau enuna al hi gan. 
GEN.5.14	He Keinan wana baliman gegewena 910 i pwawa, yaka abwe i aliga.
GEN.5.15	Mahalalil wana baliman 65 yaka natuna i gan alana Yaledi. 
GEN.5.16	Yaledi hi ab enaa, Mahalalil i minamina al baliman 830 yaka natunau bolau ge yowau enuna al hi gan. 
GEN.5.17	He Mahalalil wana baliman gegewena 895 i pwawa, yaka abwe i aliga.
GEN.5.18	Yaledi wana baliman 162 yaka natuna i gan alana Inok. 
GEN.5.19	Inok hi ab enaa, Yaledi i minamina al baliman 800 yaka natunau bolau ge yowau enuna al hi gan. 
GEN.5.20	He Yaledi wana baliman gegewena 962 i pwawa, yaka abwe i aliga.
GEN.5.21	Inok wana baliman 65 yaka natuna i gan alana Metuisela. 
GEN.5.22	Metuisela hi ab enaa, Inok i mipalalek hot Yabowaine elana baliman 300 al, yaka natunau bolau ge yowau enuna al hi gan. 
GEN.5.23	He Inok wana baliman gegewena 365 i pwawa. 
GEN.5.24	 Inok i mipalalek hot Yabowaine elana, yaka lan etegana Yabowaine Inok i ahe egonan ge nige al hi kikite.
GEN.5.25	Metuisela wana baliman 187 yaka natuna i gan alana Lemeki. 
GEN.5.26	Lemeki hi ab enaa, Metuisela i minamina al baliman ana gewi 782 yaka natunau bolau ge yowau enuna al hi gan. 
GEN.5.27	He Metuisela wana baliman gegewena 969 i pwawa, yaka abwe i aliga.
GEN.5.28	Lemeki wana baliman 182 yaka natuna tau i gan. 
GEN.5.29	Inoke i ba, “Valila Yehoba i ba bilibili ni nak inoke ta tuwalali gagasisi ge ta lomwan, yaa wala lomwan o eliyana wawaya ya ni payaliyaya-agila.” Inoke natuna alana i tun Nowa.
GEN.5.30	Nowa hi ab enaa, Lemeki i minamina al baliman ana gewi 595 yaka natunau bolau ge yowau enuna al hi gan. 
GEN.5.31	He Lemeki wana baliman gegewena 777 i pwawa, yaka abwe i aliga.
GEN.5.32	Nowa wana baliman 500 inoke natunau hi gan alaliya Semi, Hami ge Yapeta.
GEN.6.2	he Yabowaine natunau melutauil
GEN.6.3	Inoke Yehoba i ba, “Yawal toto ya pek gamagalau eliyalil nige ni mimihot. He heliya gamagalau ya, yawaliliya abwe ni mowasi. Inoke yawaliliya ana yapu besena te baliman 120.” 
GEN.6.4	 He sauga Yabowaine natunau melutauil avaliyau panayawi gamagaliliyau natuliyau yowau hi kenu toyawa, yaka hi ab natuliyau hi hul kantutubwai. Inoke saugena o ge sauga o enaa al, gamagalau ololal o hi gan, heliya toasiyala bolo houhouwel, alaliya bwabwatana.
GEN.6.6	Yaka nuwana i nak ge i ba, “Hauna kaiwena gamagalau ya ginolil ya telel panayawi ge hi gegi?” Inoke atena i palomwan nabiyan. 
GEN.6.7	Yaka i ba, “Gamagalau bolo ya ginolil, avaliyau bwasumu bolo hi nawanawa, bolo hi yawayawal ge bolo hi youyou, gegewel na pwamowasel. Nuwau i nak te ibwe ge ya ginolil.” 
GEN.6.8	Yaa Yehoba Nowa i awa wawaisian ge i yaliyaya-an.
GEN.6.9	Nowa wana pagan i sapu ge iya maisena ya sauga o gamagaliliyau gamwaliyaa nige wana ginol nanakina i gagan, yaa i mipalalek hot Yabowaine elana. 
GEN.6.10	He Nowa natunau bolau eton alaliya te Semi, Hami ge Yapeta.
GEN.6.11	Yabowaine matanaa gamagalau panayawi wali ginol i nak nabi ge lohalohaveyan i gasisi labena gegewena elal. 
GEN.6.12	Yabowaine i kite panayawi iyaka i nak hot gamagalau gegewel wali pagan nanakina kaiwena. 
GEN.6.13	Inoke i baek Nowa elana i ba, “Ya nuwatu gamagalau gegewel ge panayawi na apanakil nihi mowasi, kaiwena wali lohalohaveyan i gasisi labena gegewena elal. 
GEN.6.14	Inoke kewadi waiwaisal nu ahel nu talil wam waga etega nu ginol. Baba tomwa ona nu ginolil gamwanaa, yaka kolta
GEN.6.15	He nu ginol ni ola hiwe: ana yapu 140 mita, ana magaga 23 mita ge ana miha 13.5 mita. 
GEN.6.16	Pwatana nu kaus ge hawawal ana bwata ni ola 50 sentamita ni gan ana vavan ge ana helhel ali hawawala. Ana nog nu ginol bebenaa, ge gamwana eton nu ginolil, etegana paiya, etegana nuwanuwanaa, ge etegana natiya. 
GEN.6.17	He nau abwe kehe na patuna panuwa ni tub ge nub ni ha, yaka bugul gegewel bolo hi yanayana yoho ni apanakil. Inoke bugul gegewel panayawi pwatanaa nihi aliga. 
GEN.6.18	Yaa owa elam no bateli na ginol na pwamwalimiu. He alomwau lagom, natumwau ge lagoliyau, nuku na nuku ulutuk wagaa. 
GEN.6.19	Bwasumu gegewel yawaliliya gaganina, eluwa eluwa, tau ge yova, nu ahel, inoke bahi nihi aaliga. 
GEN.6.20	Bwasumu bolo hi youyou gegewel, bolo hi nawanawa gegewel ge bolo hi yawayawal gegewel, eluwa eluwa alomwau nuku tuk wagaa, inoke bahi nihi aaliga. 
GEN.6.21	I ola al aanan tomaha tomaha ona nu ahel ge nu bugul tukagil alomiyau ge bwasumu amiu.” 
GEN.6.22	 Inoke Nowa bugul gegewena i ginol i ola Yabowaine wana baaba. 
GEN.7.1	Yaka lan etega Yehoba i baek al Nowa elana i ba, “Heyan sauga ya gamwaliyaa, ya kitewa owa maisem wam pagan i sapu. Inoke alomwau am heniheni ku na ku ulutuk wagaa. 
GEN.7.2	Bwasumu gegewel bolo bosowaina powon, ali gewi seben, aloliyau ge lagoliyau, nu ahel. Bwasumu gegewel bolo nige bosowaina powon, eluwa eluwa, aloliyau ge lagoliyau, nu ahel. 
GEN.7.3	Ge bwasumu gegewel bolo hi youyou, ali gewi seben, aloliyau ge lagoliyau, nu ahel. He nu ahel alomwau nuku ulutuk wagaa, inoke bwasumu tomaha ona bahi etega ni momowasi panayawiya. 
GEN.7.4	Lan seben ya ni mowasi, yaka na ba lan poti ge bulin poti kehe ni laulau. Inoke bugul gegewel yawaliliya gaganina bolo ya ginolil, na pwamowasel panayawiya.” 
GEN.7.5	Inoke Nowa bugul gegewena i ginol i ola Yehoba wana baaba.
GEN.7.6	He Nowa wana baliman 600 te nub i ha. 
GEN.7.7	 Yaka alonau lagona, natunau ge lagoliyau, hi ulutuk wagaa nub hi lou luwan. 
GEN.7.8	He avaliyau bwasumu bolo hi nawanawa, bolo hi youyou ge bolo hi yawayawal—bolo bosowaina powon ge bolo nige bosowaina powon. 
GEN.7.9	Bwasumu gegewel o, eluwa eluwa, tau ge yova, avaliyau hi ulutuk wagaa i ola Yabowaine wana baaba. 
GEN.7.10	Lan seben i mowasi, yaka panuwa i tub ge nub i ha.
GEN.7.12	Yaka lan poti ge bulin poti kehe i mimi laulau. 
GEN.7.13	Lan toto o elana Nowa alonau lagona, natunau Semi, Hami ge Yapeta, aloliyau lagoliyau hi ulutuk wagaa. 
GEN.7.14	He avaliyau bwasumu sosokal tomaha ge tomaha, bwasumu totounuwal tomaha ge tomaha, bwasumu bolo hi yawayawal tomaha ge tomaha, ge bwasumu bolo hi youyou tomaha ge tomaha. 
GEN.7.15	Bugul gegewel bolo hi yanayana yoho, eluwa eluwa, tau ge yova, avaliya Nowa hi ulutuk wagaa, 
GEN.7.16	i ola Yabowaine wana baaba. He sauga Nowa i ulutuk, inoke Yehoba waga ana nog i kaus.
GEN.7.17	Lan poti ge bulin poti nub i haha ya. Wewel iyaka i bwata nabi, inoke waga i ota hin. 
GEN.7.18	Wewel iyoho i bwabwata heheya, yaka waga i otaota wewel pwatanaa. 
GEN.7.19	Wewel iyoho i bwabwata heheya, yaka oya i yabomwil, 
GEN.7.20	oya i heluwan ana miha i ola 7 mita. 
GEN.7.21	Bugul gegewel panayawi pwatanaa hi aliga—bwasumu bolo hi youyou, bolo totounuwal, bolo bekikil ge bolo kekeisi ona, ginebi ge gamagal. 
GEN.7.22	Bugul gegewel bolo hi yanayana yoho ge hi miminaa bilibili pwatanaa hi mowasi. 
GEN.7.23	Yehoba bugul gegewel yawaliliya gaganina, gamagal, bwasumu bolo hi nawanawa, bolo hi yawayawal ge bolo hi youyou, i pwamowasel. Nowa alonau ge alonau bolo wagaa ya te hi mwal.
GEN.7.24	Lan ali gewi 150 wewel iyoho i bwata panayawi i yabom.
GEN.8.1	Yaa Nowa alonau ge bwasumu totounuwal ge bekikil wagaa, Yabowaine nige i nunuluwagil. Inoke i ba mana i towa panayawiya, yaka wewel i taltal lau. 
GEN.8.2	He iyaka wewel bwabwatana nige al i sasani heem bilibili gamwanaa ge kehe nige al i mamaligin laulau. 
GEN.8.3	Inoke wewel iyoho i taltal lau. Lan ali gewi 150 i mowasi wewel iyaka i lau, 
GEN.8.4	inoke weikena seben-ina ana lan sebentin-ina elana, waga i buntal labi Alalat oyana etega elana. 
GEN.8.5	Wewel iyoho i taltal lau, yaka weikena elulutega ana lan houwan elana oya pwataliya hi hopit.
GEN.8.6	Lan poti al i mowasi, Nowa waga ana windo toto iyaka i ginol i pwela 
GEN.8.7	ge okok i patuna i you tagil. Nige i sisikal wagaa, he i youyou pwatpwat ya ana siga wewel i mowasi ge bilibili i kevakeva. 
GEN.8.8	Yaka bunibuni al i patuna i tagil ge ni atena ebo wewel iyaka i tal lau ge bilibili i dato. 
GEN.8.9	Yaa wewel iyoho ya i bwayabwaya bilibili i yayabom, inoke bunibuni nige wana abayoutal i pwapwawa. Yaka i you sikal i na wagaa, inoke Nowa nimana i paelu tagilan yaka bwasumu i youtala ge i teli tukan. 
GEN.8.10	Nowa i matamatan al lan seben i mowasi, yaka bunibuni i patuna al i tagil. 
GEN.8.11	Kokoyaviya bunibuni i you sikal Nowa elana, he 
GEN.8.12	Inoke i matamatan al lan seben i mowasi, yaka abwe bunibuni i patuna al i tagil. Yaa sauga toto o nige i yoyou sikal Nowa elana.
GEN.8.13	Nowa wana baliman 601, weikena houwan ana lan houwan elana, wewel iyaka i tal lau ge bilibili i dato. Yaka Nowa waga pwatana i pwela yoho, inoke matana i nok i kite bilibili pwatana iyaka i dato. 
GEN.8.14	He weikena eluwana ana lan tuwenti seben-ina (27-ina) elana bilibili iyaka i kevakeva hot.
GEN.8.15	Yaka Yabowaine i baek Nowa elana i ba, 
GEN.8.16	“Alomwau lagom, natumwau ge lagoliyau waga ku loluwai ku tagil noleleya. 
GEN.8.17	Bwasumu bolo hi youyou, bolo hi nawanawa ge bolo hi yawayawal, gegewel nu ahel alomwau nuku tagil tola. Inoke heliya abwe nihi talaabab ge nihi gewi, yaka nihi debalala panayawiya.”
GEN.8.18	Yaka Nowa alonau lagona, natunau ge lagoliyau, waga hi loluwai hi tagil noleleya. 
