MAT.1.1	Yesu Kristo, Owíe 
MAT.1.19	Mʋ kulu Yosef a, mʋ asʋ́n da ɔkpa, támɛ omekle ánɩ́ ɔbɔ́wa mʋ pɛ́lɩtɔ. Mʋ́ sʋ ɔlɔbwɛ agywɩɩn ánɩ́ obékiná mʋ ŋáintɔ. 
MAT.1.20	Támɛ brɛ́á ɔdɛ mʋ́ agywɩɩn bwɛ á, kɩ, 
MAT.1.21	Ɔbɔ́kwɩɩ́ obiyímbi, bɛ́dɩnká mʋ dá Yesu. (Mʋ́ asɩ gyí, ‘Ɔlɛpʋ́.’) Tsúfɛ́ mʋ ɔbɛ́lɛ mʋ ahá tsú amʋ́ lakpantɔ nɩ́.”
MAT.1.22	Ɩ́nɩ lɛ́ha Bulu asʋ́n ámʋ́ʋ́ ɔlɛblɩ́ tsʋn mʋ ɔnɔ́sʋ́ ɔtɔɩ́pʋ́sʋ ámʋ ɩlɛba mʋ́tɔ́. 
MAT.1.23	Ɔbɛ́ɛ, “Kɩ, obitebí ánɩ́ ɔmɔkʋ́yɔ́ oyin wá kɩ obénya ɔmɛ́. Ɔbɔ́kwɩɩ́ obiyímbi, bɛ́dɩnká mʋ dá Imanuel.” (Mʋ́ asɩ gyí, “Bulu bʋ anɩ wá.”)
MAT.1.24	Brɛ́á Yosef létsinkí á, olegyi asʋ́n ámʋ́ʋ́ Bulu-ɔbɔpʋ amʋ lɛ́bláa mʋ amʋsʋ. Oletsiá Maria, kpáɩ́n mʋ. 
MAT.1.25	Támɛ ɔmɔpʋ ɩbɩ da Maria, kpɛ́fʋn brɛ́á ɔlɔkwɩɩ́ mʋ bi yínhɛ́ gyankpapʋ, ɔlɛdɩnká mʋ dá Yesu.
MAT.2.1	Brɛ́á Owíe 
MAT.2.2	Bɛfɩtɛ́ bɛɛ, “Nkʋ́nʋ́ bakwɩ́ɩ́ 
MAT.2.3	Owíe Herode lónu asʋ́n ánfɩ á, opúni letsií mʋa Yerusalemfɔ fɛ́ɛ́. 
MAT.2.4	Mʋ́ sʋ ɔlɛtɩ Yudafɔ Bulu 
MAT.2.5	Bɛbláa mʋ bɛɛ “Betlehem wúluá ɩbʋ Yudea ɔmátɔ́. Alɩ́ Bulu 
MAT.2.6	Ɔbɛ́ɛ,
MAT.2.6	‘Fʋ́ Betlehem, Yudea wúlu,
MAT.2.6	fʋmegyí wúlu túkúrííbi ɔkpagyíɔkpasʋ Yudea awúlu yilé ámʋtɔ.
MAT.2.6	Tsúfɛ́ ɔmásʋ́ ogyípʋ́ ɔkʋ ɔbɛ́dalɩ tsu fʋ́tɔ́á,
MAT.2.6	ɔbɛ́kpa Bulu ahá Israelfɔ.’ ”
MAT.2.7	Mʋ́ sʋ Owíe Herode lɛ́tɩ anyansapʋ amʋ nkʋlɛ, fɩ́tɛ́ amʋ́ brɛ́á bowun osúna ɔtsrakpabi amʋ, bɛbláa mʋ. 
MAT.2.8	Mʋ́ʋ́ ɔlɔwa amʋ́ Betlehem ɔbɛ́ɛ, bʋyódunká kebi ámʋ wankláán. Nɩ́ bowun mʋ a, bʋyínki bɛbláa mʋ, mɛ́nɩ mʋ ɛ́ móyósum mʋ.
MAT.2.9	Olenya bláa amʋ́ tá alɩ bɛnatɩ́. Ɔtsrakpabi amʋ́ʋ́ bowun owí ɔdalɩkpa amʋ, lɛ́kpa amʋ́ alɩɩ yɛ́lɩɩ́ ɔtɩ́nɛ́á kebi ámʋ bʋ. 
MAT.2.10	Brɛ́á bowun ɔtsrakpabi amʋ a, ansɩ́ lɛhɩɛ gyi amʋ́. 
MAT.2.11	Bowie wóyítɔ́ ɩnʋ á, bowun kebi ámʋ mʋa mʋ yin 
MAT.2.12	Mʋ́ ɔma a, Bulu lɔ́wa mbla há amʋ́ okudetɔ ɔbɛ́ɛ, bʋmáyinkí yɔ́tsʋn Herode wá. Mʋ́ sʋ bɔtsʋn ɔkpa bámbásʋ́ yɔ́ amʋ́ wúlutɔ.
MAT.2.13	Brɛ́á anyansapʋ amʋ bɛnatɩ́ á, 
MAT.2.14	Mʋ́ sʋ Yosef lɔ́kʋsʋ́ onyé-onyé ámʋ, kpá Maria mʋa kebi ámʋ srɩ́ ya Egyipte ɔmátɔ́. 
MAT.2.15	Betsiá ɩnʋ yɔ́fʋn brɛ́á Herode lówu. Ɩ́nɩ lɛ́ha Bulu asʋ́n ánɩ́ ɔlɛblɩ́ tsʋn mʋ ɔnɔ́sʋ́ ɔtɔɩ́pʋ́ ɔkʋsʋ lɛba mʋ́tɔ́. Ɔbɛ́ɛ, “Nɛtɩ mɩ́ bí ámʋ tsú Egyipte ɔmátɔ́.”
MAT.2.16	Brɛ́á Owíe 
MAT.2.17	Ɩ́nɩ lɛ́ha Bulu asʋ́n ánɩ́ ɔlɛblɩ́ tsʋn mʋ ɔnɔ́sʋ́ ɔtɔɩ́pʋ́ 
MAT.2.18	Ɔbɛ́ɛ,
MAT.2.18	“Bonu isú mʋ́a olú kʋá ɩmɛká tin Rama wúlutɔ.
MAT.2.18	Rahel dɛ́ mʋ abí sú. Omotsulá ánɩ́ bʋkpáta mʋ,
MAT.2.18	tsúfɛ́ bʋtráa bʋma ɩnʋ.”
MAT.2.19	Owíe Herode lowu ɔma a, Bulu-ɔbɔpʋ lɛ́lɛ ɩwɩ ɔwan súná Yosef okudetɔ Egyipte ɩnʋ, bláa mʋ ɔbɛ́ɛ, 
MAT.2.20	“Kʋsʋ, afʋkpa kebi ámʋ mʋa mʋ yin, amlɩyinki yɔ 
MAT.2.21	Mʋ́ sʋ Yosef lɔ́kʋsʋ́ kpá kebi ámʋ mʋa mʋ yin, beyinkí yɔ́ Israel ɔmátɔ́.
MAT.2.22	Támɛ brɛ́á bowie ɩnʋ á, olonu ánɩ́ Arkelao latsíá mʋ sɩ 
MAT.2.23	Mʋ́ sʋ bɔyɔ yétsiá Nasaret wúlutɔ. Ɩ́nɩ lɛ́ha Bulu asʋ́n ámʋ́ʋ́ ɔlɛblɩ́ tsʋn mʋ ɔnɔ́sʋ́ atɔɩ́pʋ́sʋ ɔbɛ́ɛ, “Bɛ́tɩ mʋ Nasaretyin” amʋ ɩlɛba mʋ́tɔ́ nɩ́.
MAT.3.1	Brɛ́ kʋtɔ á, Asú Ɔbɔpʋ́ Yohane lɛ́ba ɔdɛ Bulu asʋ́n ɔkan da Yudea 
MAT.3.2	Ɔbɛ́ɛ, “Mlɩdamli klʋntɔ, amlɩsi lakpan bwɛ, tsúfɛ́ 
MAT.3.3	Yohane ɩwɩ asʋ́n 
MAT.3.3	“Ɔkʋ dɛ́kplʋn dimbísʋ́ ɔbɛ́ɛ,
MAT.3.3	‘Mlɩla anɩ Wíe ɔkpa.
MAT.3.3	Mlɩtswii ɩkpa ha mʋ’ ” amʋ nɩ.
MAT.3.4	Yohane lɔ́wa 
MAT.3.5	Ahá botsu Yerusalem wúlutɔ, Yudea ɔmátɔ́ pʋ́ Yordan bʋnkpa ɔnɔ́ awúlu fɛ́ɛ́sʋ́ ba bonu mʋ asʋn blɩ́hɛ́. 
MAT.3.6	Bɛlɛ amʋ́ lakpan blɩ́, ɔlɔbɔ amʋ́ 
MAT.3.7	Támɛ brɛ́á 
MAT.3.8	Mʋ́mʋ́ mlɩswie abíá ibósuná ánɩ́ lɛ́lɛ́ mlɩladámlí klʋntɔ. 
MAT.3.9	Mlɩmákɩ mlɩaa, mlɩ náin gyí 
MAT.3.10	Séi á, Bulu lapʋ́ ɛfɛ́ yi nyí-atsitsitɔ. Oyígyíoyí ánɩ́ imoswie abi wankláán á, bókun mʋ́ dá, wá mʋ́ fɛ́ɛ́ ogyá. 
MAT.3.11	Mɩ́ mʋ́ á, ntsu ndɛpʋbɔ́ mlɩ asú pʋ́súná ánɩ́ mlɩladámlí klʋntɔ. Támɛ ɔkʋá ɔdʋn mɩ bʋ ɔma ɔbá. Mmɔfʋn ánɩ́ nɔ́sʋrá mʋ ntʋkʋta kʋ́ráá. Mʋ ɔbɔ́pʋ 
MAT.3.12	Ɔdɛ mʋ ɩlɩ́n, ɔbɔ́pʋfúní ntɛ́tɛ lɛ́ ayó ámʋtɔ. Ɔbɛ́kpa ayó ámʋ wá mʋ odudutɔ. Támɛ ɔbɛ́fɛɩ́ ofuníkpá ɩnʋ wankláán, kpá ntɛ́tɛ amʋ wá ogyá ánɩ́ ɩtamaduntɔ.”
MAT.3.13	Yesu lótsu Galilea ɔmátɔ́ ba Yordan ntsu ɔnɔ́ Yohane wá ɔbɛ́ɛ, ɔbɔ́ mʋ asú. 
MAT.3.14	Tɛkɩ Yohane mótsulá ánɩ́ ɔbɔ́bɔ mʋ asú. Ɩ́nɩ sʋ ɔlɛbláa Yesu ɔbɛ́ɛ, “Mɩ́ ilehián ánɩ́ fɔ́bɔ asú. Nkálɩ ígyi sʋ́ faba fɛɛ mɩ́ ɔbɔ́ɔ fʋ́ asú?”
MAT.3.15	Yesu lɛ́bláa mʋ ɔbɛ́ɛ, “Séi á, ha atsu mʋ́ alɩ asa, tsúfɛ́ ilehián ánɩ́ abɔ́bwɛ tógyítɔ́á ɩda ɔkpa Bulu ansɩ́tɔ́.”
MAT.3.15	Mʋ́ sʋ Yohane lótsulá. 
MAT.3.16	Brɛ́á ɔlɔbɔ Yesu asú tá, Yesu lɛ́dalɩ ntsu ámʋtɔ alɩ nwʋlʋ́táa lefinkí, olowun Bulu Ɔŋɛ́ dɛkplɩ́ fɛ́ abrɔ́dʋma, ilobogyonká mʋsʋ. 
MAT.3.17	Ɩnʋ ɔmɛ kʋ lotsu ɔsʋ́sʋ́ ɔbɛ́ɛ, “Ɔ́nɩ gyí mɩ́ Bíá ntɔdwɛ́ mʋ, mɩ ansɩ́ tɛhɩ́ɛ́ gyi mʋ ɩwɩ nɩ́.”
MAT.4.1	Ɩnʋnʋ 
MAT.4.2	Oletsiá ɩnʋ 
MAT.4.3	Ɩnʋ Ɔbʋnsám lɔ́sɔ mʋ kɩ, bláa mʋ ɔbɛ́ɛ, “Nɩ́ Bulu mʋ Bi fʋ́gyi á, mʋ́mʋ́ ha abwi ánfɩ ɩdamli bwɛ bodobodo.”
MAT.4.4	Yesu lɛ́lɛ mʋ́ ɔnɔ́ ɔbɛ́ɛ, “Bɔwanlɩ́n wá Bulu asʋ́n ámʋtɔ bɛɛ, ‘Megyí atogyihɛ wʋlɛ nyankpʋsa obégyi tsiá nkpa, támɛ ɔpʋ́ʋ Bulu asʋn blɩ́hɛ́ ɛ́ tsia nkpa.’ ”
MAT.4.5	Ɔbʋnsám lɛ́kpa mʋ ya Yerusalem, wúlu wankɩ́hɛ́ amʋtɔ, ɔlɔpʋ mʋ yɛ́lɩɩ́ 
MAT.4.6	Ɩnʋ ɔlɛbláa Yesu ɔbɛ́ɛ, “Nɩ́ Bulu mʋ Bi fʋ́gyi lɛ́lɛ́ á, tu kpayi. Tsúfɛ́ bɔwanlɩ́n wá Bulu asʋ́n ámʋtɔ bɛɛ,
MAT.4.6	‘Bulu ɔbɛ́ha mʋ abɔpʋ bɛ́kpatá fʋ́ ɩbɩtɔ,
MAT.4.6	mɛ́nɩ fʋ́ yabi mɛ́ɛda ibwi kʋkʋsʋ.’ ”
MAT.4.7	Yesu lɛ́lɛ mʋ́ ɔnɔ́ ɔbɛ́ɛ, “Bɛtrá wanlɩ́n bɛɛ, ‘Mákapʋ́ fʋ́ Wíe Bulu kɩ.’ ”
MAT.4.8	Mʋ́ ɔma a, Ɔbʋnsám lɔ́pʋ mʋ ya ɩbʋ fʋ́áhɛ́ kʋsʋ, olosuná mʋ ɔyɩ́tɔ́ iwíe ogyíkpá fɛ́ɛ́, pʋ́ mʋ́ numnyam. 
MAT.4.9	Mʋ́ʋ́ ɔlɛbláa mʋ ɔbɛ́ɛ, “Nɩ́ fɛ́da akpawunu súm mɩ́ á, nɔ́pʋ ɩ́nɩ fɛ́ɛ́ há fʋ́.”
MAT.4.10	Yesu lɛ́bláa mʋ ɔbɛ́ɛ, “Ɔbʋnsám, natɩ tɛɩ mɩ́sʋ́! Tsúfɛ́ bɔwanlɩ́n wá Bulu asʋ́n ámʋtɔ bɛɛ, ‘Da akpawunu ha fʋ́ Wíe Bulu. Mʋ nkʋlɛ fʋ súm.’ ”
MAT.4.11	Ɩnʋ Ɔbʋnsám lɛ́natɩ́ mʋ wá, 
MAT.4.12	Mʋ́ ɔma a, Yesu lónu ánɩ́ bakɩ́tá Yohane tswɩ obu, oleyinkí ba Galilea ɔsʋlʋ́sʋ. 
MAT.4.13	Olotu tsú Nasaret wúlutɔ yɔ́ Kapernaum, wúluá ɩbʋ mantáa Galilea ɔpʋ ɔnɔ́, Sebulon mʋ́a Naftali ɔsʋlʋ́sʋ. 
MAT.4.14	Mʋ ɩnʋ yɔ lɛ́ha asʋ́n ámʋ́ʋ́ Bulu 
MAT.4.15	“Sebulon pʋ́ Naftali
MAT.4.15	ɔsʋlʋ́ʋá ɩda Yordan bʋnkpa ɔnɔ́, mantáa Galilea ɔpʋ.
MAT.4.15	Galilea ɔmátɔ́ ɔmá bámbásʋ́fɔ bʋtsie.
MAT.4.16	Ahá ánfɩ́ bʋtsie oklúntɔ ánfɩ
MAT.4.16	bawun wankɩ kpɔnkpɔɔnkpɔntɩ kʋ.
MAT.4.16	Bʋtsie ɔsʋlʋ́ʋá lowu dɛ́ iwíe gyí mʋ́sʋ́.
MAT.4.16	Wankɩ kʋ lawánkɩ́ wʋ́lɩ́ amʋ́sʋ́.”
MAT.4.17	Tsú ɩnʋ Yesu léfi asɩ ɔdɛ Bulu asʋ́n ɔkan da, blɩ́ ɔbɛ́ɛ, “Mlɩdamli klʋntɔ, 
MAT.4.18	Ɛkɛ ɔkʋá Yesu ná Galilea ɔpʋ ɔnɔ́ á, olowun apíó abanyɔ́ akʋ. Simon ánɩ́ bʋtɛtɩ́ mʋ Petro mʋa mʋ gyama Andrea, bʋdɛ asawu tswɩ́ɩ, tsúfɛ́ aye alɛpʋ́ bʋgyi. 
MAT.4.19	Mʋ́ʋ́ ɔlɛbláa amʋ́ ɔbɛ́ɛ, “Mlɩba bobuo mɩ. Nɔ́bwɛ mlɩ anyánkpʋ́sa alɛpʋ́.” 
MAT.4.20	Ɩnʋnʋ besi amʋ́ asawu aná tswɩ, kplá buo mʋ.
MAT.4.21	Ɔlɛnatɩ́ yɔ́ nkpá kpalobí, olowun apíó abanyɔ́ akʋ ɛ́, Yakobo mʋa mʋ gyama Yohane. Amʋ́a amʋ́ sɩ́ Sebedeo bʋbʋ ɔklʋntɔ, bʋdɛ amʋ́ asawu bɩ́ɩn, Yesu lɛ́tɩ amʋ́. 
MAT.4.22	Ɩnʋnʋ amʋ́ ɛ́ bɛnatɩ́ sí amʋ́ sɩ́ mʋa ɔklʋn amʋ bobuo mʋ.
MAT.4.23	Yesu léki Galilea ɔmátɔ́ fɛ́ɛ́, súná atɔ́ Yudafɔ 
MAT.4.24	Ɩ́nɩ sʋ mʋ ɩwɩ asʋ́n lɛklɛɩ́ yɔ́ Siria ɔmátɔ́ fɛ́ɛ́. Bɔpʋ alɔpʋ tsúa ntɩ́nɛ́-ntɩ́nɛ́ ba mʋ. Ɔlɛtsa ɩlɔ kugyíkʋ, ahá ánɩ́ bʋdɛ ɩwɩɔsɩn wúun, amʋ́á 
MAT.4.25	Mʋ́ sʋ ɔdɔm kpɔnkpɔɔnkpɔntɩ bobuo mʋ. Ahá ánɩ́ botsú Galilea ɔmátɔ́ pʋ́ Dekapoli
MAT.5.1	Brɛ́á Yesu lówun ɔdɔm amʋ a, ɔlɔdʋ yɔ́ ɩbʋ kʋsʋ yétsiá asɩ, mʋ 
MAT.5.2	Ɩnʋ olosuná amʋ́ atɔ́ ɔbɛ́ɛ,
MAT.5.3	“Bulu layúlá ahá ánɩ́ amʋ́ ansɩ́ mɛdɩ́n tɔtɔsʋ dʋn mʋ Bulu,
MAT.5.3	tsúfɛ́ amʋ́bʋ́ mʋ 
MAT.5.4	Bulu layúlá awɩrɛhɔ agyípʋ́,
MAT.5.4	tsúfɛ́ obólwií amʋ́ klʋn.
MAT.5.5	Bulu layúlá ɩwɩasɩ abápʋ,
MAT.5.5	tsúfɛ́ amʋ́ obégyi ɔsʋlʋ́ʋ amʋ nɩ.
MAT.5.6	Bulu layúlá ahá ánɩ́ mʋ apɛ́bwɛ akʋ́n mʋ́a ɔmɛwʋ́lɩ dɛ amʋ́,
MAT.5.6	tsúfɛ́ ɔbɛ́ha amʋ́ bɔ́mwɛ.
MAT.5.7	Bulu layúlá nwɛ awúnpʋ,
MAT.5.7	tsúfɛ́ obówun amʋ́ nwɛ.
MAT.5.8	Bulu layúlá ahá ánɩ́ amʋ́ klʋntɔ lɔwankɩ́,
MAT.5.8	tsúfɛ́ amʋ́ obówun mʋ nɩ.
MAT.5.9	Bulu layúlá ahá nsɩnɛ́ alapʋ́,
MAT.5.9	tsúfɛ́ ɔbɛ́tɩ amʋ́ ɔbɛ́ɛ mʋ abí.
MAT.5.10	Bulu layúlá ahá ánɩ́ bʋdɩn amʋ́sʋ́ mʋ apɛ́bwɛ sʋ,
MAT.5.10	tsúfɛ́ amʋ́bʋ́ mʋ 
MAT.5.11	“Bulu layúlá mlɩ, nɩ́ bʋdɛ mlɩ sia, bʋdɩn mlɩsʋ, bʋdɛ afunu wa dɩ́nká mlɩsʋ. 
MAT.5.12	Ansɩ́ igyí mlɩ, ɩwɩ ɩsankɩ mlɩ, tsúfɛ́ mlɩ ɩkɔká tsɔ ɔsʋ́sʋ́. Alɩ́ bɔbwɛ Bulu ɔnɔ́sʋ́ atɔɩ́pʋ́ agyankpapʋ amʋ nɩ.
MAT.5.13	“Mlɩgyí ɔyɩ́tɔ́ nfɔ́lɩ nɩ. Nɩ́ nfɔ́lɩ ɩtá ɔdwɛ á, ntɔ bɛ́lapʋ́wá mʋ́ ɔdwɛ? Ɩtráa ma alɛ há tɔtɔɔtɔ bwɛ. Tsɛɩ́ bʋtɛtsɛ́ɩ́ mʋ́ tsítsá, ahá bʋtɛtsátsa mʋ́sʋ́ tsʋn.
MAT.5.14	“Mlɩgyí ɔyɩ́tɔ́ wankɩ ɛ́ nɩ́. Wúluá ɩdɩn bʋsʋ tamaŋáín. 
MAT.5.15	Bʋtamanywɛ́ ɔkandɩ́ɛ, pʋ́ ɔlɔ́ bun mʋ́sʋ́. Ɔfʋákpá bʋtɔpʋ́bían, mɛ́nɩ ɩbɔ́wankɩ́ há ahá ánɩ́ bʋtsie wóyí ámʋtɔ fɛ́ɛ́. 
MAT.5.16	Mʋ́ sʋ mlɩha mlɩ bwɛhɛ́ ɩwankɩ alɩ, mɛ́nɩ ahá bówun mlɩ bwɛhɛ́ wankláán ámʋ, fówun bɛ́kanfʋ́ mlɩ Sɩ́ ámʋ́ʋ́ ɔbʋ ɔsʋ́sʋ́ ámʋ.
MAT.5.17	“Mlɩmákɩ mlɩaa, nɛba Mose Mbla ntɛ́ɛ Bulu ɔnɔ́sʋ́ atɔɩ́pʋ́ amʋ atosunáhɛ́tɔ ɔkakpá. Mmɛba mʋ́tɔ́ ɔkakpá, mboún nɛbá bɔbwɛ mʋ́ ɩfʋn. 
MAT.5.18	Ɔnɔkwalɩ ndɛ mlɩ bláa, ɔsʋ́ mʋ́a asɩ bɔ́mɔ ɔnɔ́, támɛ itoduáhɛ́ ntɛ́ɛ asʋ́nbi kʋlɛ kʋ́ráá ɩmɛ́ɛdalɩ Mbla ámʋtɔ, yɔ́fʋn brɛ́á mʋ́tɔ́ asʋ́n fɛ́ɛ́ laba mʋ́tɔ́. 
MAT.5.19	Ɔhagyíɔha ánɩ́ omobu mbla ámʋtɔ túkúrííbi kʋ, olosuná mʋ aba ɛ́ ɔbɛ́ɛ bʋmábu mʋ́ á, bɛ́tɩ mʋ kebi túkúrííbi ɔsʋ́sʋ́ iwíe ogyíkpá ɩnʋ. Támɛ ɔhá ánɩ́ olegyi mbla ámʋ fɛ́ɛ́sʋ́, súná mʋ aba ánɩ́ bʋgyíi mʋ́sʋ́ á, bɛ́tɩ mʋ ɔha yilé ɔsʋ́sʋ́ iwíe ogyíkpá ɩnʋ. 
MAT.5.20	Mʋ́ sʋ ndɛ mlɩ bláa mbɛ́ɛ, nɩ́ mlɩmɔ́bwɛ Bulu apɛ́ dʋn Mose 
MAT.5.21	“Mlɩlanú ánɩ́ bɛbláa mlɩ anáin atɩtɩfɔ ámʋ bɛɛ, ‘Mámɔ ɔha. Ɔhagyíɔha ánɩ́ ɔmɔ́ ɔha a, Bulu obégyi mʋ asʋ́n, há mʋ ɩpɔ́n.’ 
MAT.5.22	Támɛ mɩ́ mʋ́ ndɛ mlɩ bláa mbɛ́ɛ, ɔhagyíɔha ánɩ́ olenya ɔblɔ́ wa mʋ ba á, Bulu obégyi mʋ asʋ́n. Ɔhá ánɩ́ olesia mʋ ba ɔbɛ́ɛ, ‘Ɔhakpan!’ á, obégyi ɩpɔ́n 
MAT.5.23	Ɩ́nɩ sʋ nɩ́ fotsu atɔ hahɛ́ fɔyɔ́ afɔdɩɛ ɔbɔkpá, fɛkaɩ́n ánɩ́ fapʋ́ asʋn laláhɛ kʋ gyi fʋ́ bá á, 
MAT.5.24	si fʋ́ atɔ́ amʋ́ yaɩ 
MAT.5.25	“Nɩ́ ɔkʋ ɔsáma fʋ á, wa ɔsa ha abʋyobwií ɩpa ha mʋ asa asʋ́n ámʋ ogyíkɛ́ ɩfʋn, mɛ́nɩ fʋ́ onyabá ámʋ ɔmɛ́ɛha asʋ́n agyípʋ́ bʋmɔ́ɔpʋ fʋ́ ha obu adɩpʋ́sʋ́ ɔkɩ́pʋ, ɔwa fʋ́ obu. 
MAT.5.26	Mbláa fʋ ɔnɔkwalɩ, nkɛ́tɩ faká ɩkɔ ámʋ fɛ́ɛ́ tá asa fɛ́dalɩ ɩnʋ.
MAT.5.27	“Mlɩlanú ánɩ́ bɛbláa mlɩ bɛɛ, ‘Mákle ɔkʋ tsiába.’ 
MAT.5.28	Támɛ mɩ́ mʋ́ ndɛ mlɩ bláa mbɛ́ɛ, oyingyíoyin ánɩ́ olowun ɔtsɩ, ɔlɔbwɛ mʋ klé ɩwɩ agywɩɩn á, alatɔ́ mbʋa dodo mʋ klʋntɔ. 
MAT.5.29	Mʋ́ sʋ nɩ́ fʋ́ gyɔpɩ nsíbi tɛhá fʋ́tɔbwɛ́ lakpan á, loti mʋ́ lɛ, tswɩ tsalɩfwɩ. Ɩbʋ alɛ́á fʋ́ ɩwɩ ɔtɩnɛkʋ má ɩnʋ, dʋn ánɩ́ bɔ́tswɩ fʋ́ nyankpʋsa-oyí ámʋ fɛ́ɛ́ wá ɩsʋbɩtɩ́ ogyá ánɩ́ ɩtamaduntɔ. 
MAT.5.30	Mʋ́ sʋ nɩ́ fʋ́ gyɔpɩ ɩbɩ tɛhá fʋ́tɔbwɛ́ lakpan á, ka mʋ́ tswɩ tsalɩfwɩ. Ɩbʋ alɛ́á fʋma ɩbɩ kʋlɛ, dʋn ánɩ́ bɔ́tswɩ fʋ́ nyankpʋsa-oyí ámʋ fɛ́ɛ́ wá ɩsʋbɩtɩ́ ogyá ánɩ́ ɩtamaduntɔ.
MAT.5.31	“Bɛtrá bláa mlɩ bɛɛ, ‘Ɔhagyíɔha ánɩ́ obékiná ɔká á, ɔwánlɩn ɔkákiná ɔwʋlʋ́ ha mʋ asa.’ 
MAT.5.32	Támɛ mɩ́ mʋ́ ndɛ mlɩ bláa mbɛ́ɛ, nɩ́ oyin okíná mʋ ka ánɩ́ ɔmɔkʋ́dálɩ mʋ ɔma a, mʋláhá sʋ ɔtsɩ ámʋ ɔbɛ́dalɩ mʋ ɔma. Oyingyíoyin ánɩ́ otsía ɔtsɩ ánfɩ mʋ kulu lakíná mʋ anfɩ ɛ́ latɔ́ mbʋa.
MAT.5.33	“Mlɩlɛ́trá nu ánɩ́ bɛbláa mlɩ anáin atɩtɩfɔ ámʋ bɛɛ, ‘Máka ntam kpaalɩ. Mboún bwɛ dɩnka ntam amʋ́ʋ́ fɛka há Bulu ámʋsʋ.’ 
MAT.5.34	Támɛ mɩ́ mʋ́ ndɛ mlɩ bláa mbɛ́ɛ, máka tɔtɔɔtɔ kʋ́ráá. Mápʋ ɔsʋ́sʋ́ ká ntam, tsúfɛ́ Bulu owíe obíá igyi. 
MAT.5.35	Mápʋ ɔsʋlʋ́ʋ ká ntam. Bulu ayabi oyíkpa igyi. Mápʋ Yerusalem wúlu ká ntam. Awíetɔ Owíe wúlu kpɔnkpɔntɩ nɩ́. 
