GEN.1.1	A fɔlɔfɔlɛ la, Ala ka saŋɛ nun duge da.
GEN.1.14	Ala mɛn ka a fɔ, a ko: «Malanfeŋɛnu ni to saŋɛ tɔ, tele nun sue fatan koe la. Wagate bɛ ni lɔn malanfeŋɛnu sabu la. Telenu anun saŋɛnu ni lɔn malanfeŋɛnu sabu la. 
GEN.1.15	Malanfeŋɛnu ni to saŋɛ tɔ duge lakɛnɛ koe la.» A mata ɲɔgɔnna le. 
GEN.1.16	Ala ka malanfen belebele fila da: min kolo, wo ni tele tɔ yamɔre ma, min dɔgɔ, wo ni sue yamɔre ma. A ka lolenu tugun da. 
GEN.1.17	Ala ka malanfeŋɛnu to saŋɛ tɔ, alako anu ni duge lakɛnɛ. 
GEN.1.18	Anu ni tele nun sue yamɔre ma, anu ni dibe nun kɛnɛ lafatan. Ala ka a yen a kaɲin. 
GEN.1.19	Sue donta, ɲɔ kɛnɛta, lɔgɔ naaniɲɔgɛ le mu wo la.
GEN.1.20	Ala mɛn ka a fɔ, a ko: «Fondo nilamanu ni madɛn je tɔ, anu ni siya koola. Kondeŋɛnu ni yilɛ kantɔ, saŋɛ nun duge tɛma.» 
GEN.1.21	Ala ka ji tɔ fen banbanu da, anun nilamanu minnu bɛ be je kɔtɔ, anu ni siya a bɛ nun a bɔnsɔ. A ka kondeŋɛnu tugun da, a bɛ nun a bɔnsɔ. Ala ka a yen a kaɲin. 
GEN.1.22	Ala ka barikɛ sa anu la ko tɔ, a ko: «Wo ni deŋɛnu sɔtɔ wo ni siya, ba je dula bɛ tɔ. Kondeŋɛnu tugun ni siya duge kunma.» 
GEN.1.23	Sue donta, ɲɔ kɛnɛta, lɔgɔ looluɲɔgɛ le mu wo la.
GEN.1.24	Ala mɛn ka a fɔ, a ko: «Nilamanu ni to duge tɔ, a bɛ nun a bɔnsɔ: kolofeŋɛnu, bubufeŋɛnu, burun butɔ subenu, a bɛ ni to a nun a bɔnsɔ.» A mata ɲɔgɔnna le. 
GEN.1.25	Ala ka burun butɔ subenu da, a bɛ nun a bɔnsɔ. A ka kolofeŋɛnu da, a bɛ nun a bɔnsɔ. A ka bubufeŋɛnu tugun da, a bɛ nun a bɔnsɔ. Ala ka a yen a kaɲin.
GEN.1.26	A tɔɛ la, Ala ka a fɔ, a ko: «Mɔ ni Adama da mɔ yɛtɛ misale la, min mulunta mɔ la. A ni fisamanteya sɔtɔ yɛgɛnu kunma ba tɔ, kondeŋɛnu kunma kantɔ, anun kolofeŋɛnu kunma duge bɛ tɔ, anun bubufeŋɛnu bɛ minnu be buubula duge kunma.»
GEN.1.27	Ala ka Adama da a misale la:
GEN.1.27	a ka a da a yɛtɛ misale le la,
GEN.1.27	a ka anu da le kayi nun musu.
GEN.1.28	Ala ka barikɛ sa anu la ko tɔ, a ko anu ma: «Wo ni jiidi wo ni siya, alako duge ni lafa. Wo ni sɛnbɛ sɔtɔ duge kunma, wo ni fisamanteya sɔtɔ duge kunma, yɛgɛnu kunma ba tɔ, kondeŋɛnu kunma kantɔ, anun bubufeŋɛ min bɛ be duge kunma.» 
GEN.1.29	Ala mɛn ko: «N bata kifeŋɛ anun a kole bɛ dii wo ma, min bɛ be duge kunma, anun lɔgɔ wolonɛŋɛnu minnu wole kole be a tɔ, anu ni ma wo ye dɔmɛ la. 
GEN.1.30	N bata ɲagama kutaŋɛ bɛ dii subenu ma minnu be duge kunma, anun kondeŋɛ bɛ minnu be kantɔ, anun bubufeŋɛ bɛ ma. Ɲagama bata ma nilama bɛ la dɔmɛ la.» A mata ɲɔgɔnna le. 
GEN.1.31	Wo butɔ, Ala ka a yen, a ka min bɛ da, a ka a fɛlɛ a bɛ kaɲin han a tanbita a tɔ. Sue donta, ɲɔ kɛnɛta, lɔgɔ wɔrɔɲɔgɛ le mu wo la.
GEN.2.1	Ala ka saŋɛ nun duge daɲa lakamali kaa le, anun a butɔ feŋɛ bɛ la. 
GEN.2.2	A to ka a la wale lakamali, tele wɔrɔwila luŋɛ a ka a sulen a la wale la. 
GEN.2.3	Ala ka barikɛ sa wo tele wɔrɔwila luŋɛ la ko tɔ, a ka wolo kɛrɛkɛrɛ a fan ye, bayi a la wale lakamalireŋɛ, a ka a sulen wo lun de.
GEN.2.4	Dunuya da tarigu le mu kɛ la.
GEN.2.4	Marigi Alatala ka duge nun saŋɛ da tɛmuɛ min tɔ, 
GEN.2.5	bapɛ yo bele duge tɔ nun, kifen yo bele bularen nun duge kunma bayi Marigi Alatala ma sange laboe duge tɔ. Mɔgɔ yo bele daren nun min si duge lawali. 
GEN.2.6	Fɔ tenge min be yɛlɛla duge tɔ, a je ni sa duge kunma bɛ ma. 
GEN.2.7	Wo kɔma Marigi Alatala ka Adama da bangue la. A ka fɔɲɔ balunɛŋɛ ladon a sun foronta la. Adamadeŋɛ mata fofinɛŋɛ la ɲɔgɔnna le. 
GEN.2.8	Wo kɔma, Marigi Alatala ka laakɔɛ labɔɔ Edɛn jamanɛ tɔ, tele yɛlɛ mafanna. A ka Adama min da a ka a to wo laakɔɛ butɔ. 
GEN.2.9	Marigi Alatala ka lɔgɛ mɔla bɛ lafɛtɛn ɲɔ, lɔgɛ min majabuta, lɔgɛ min wole si dɔmɔ a ɲinma la. Wo laakɔɛ tɛma, lɔgɔ fila be ɲɔ: dɔndɛ tɔgɔ malakisi lɔgɛ, doe tɔgɔ ko ɲinma anun ko koroŋɛ lɔn lɔgɛ.
GEN.2.10	Kɔɛɛ do bɔɔta Edɛn jamanɛ tɔ, ka na don wo laakɔɛ butɔ ka je dii kifeŋɛnu ma, a bɔɔ tɛmuɛ laakɔɛ butɔ, a fatanta bolin naani la. 
GEN.2.11	Wo bolin fɔlɛ tɔgɔ Pisɔn. Wolo be woyila ka Hawila jamanɛ lamilin, sanuɛ be ka min na. 
GEN.2.12	Wo sanuɛ kaɲin han. Tulu kuɲɛ diyama tugun be ɲɔ, min tɔgɔ Bedeleyumi, anun kuru ɲinma min bɛnta, ale kure tɔgɔ Oniki. 
GEN.2.13	Wo kɔɔ filaɲɔgɛ tɔgɔ Giyɔn. Wolo be woyila a ni Kusi jamanɛ bɛ lamilin. 
GEN.2.14	Wo kɔɔ sabaɲɔgɛ tɔgɔ Tigiri. Wo be woyila a ni tanbi Asuri saa tele yɛlɛ mafanna. Wo kɔɔ naaniɲɔgɛ tɔgɔ Efirati.
GEN.2.15	Marigi Alatala to ka Adama jigan a ka a to Edɛn laakɔɛ tɔ, a ni a lawali, a ni a dankun, 
GEN.2.16	A ka yamɔre don Adama bolo, a ko: «Lɔgɔ wole min bɛ be kɛ Edɛn laakɔɛ butɔ, i si nɔ a bɛ dɔmɔla. 
GEN.2.17	Fɔ ko ɲinma nun ko koroŋɛ lɔn lɔgɛ wole, i kana wo dɔmɔ. Ka i ka wo dɔmɔ lun go lun, i si naa faga.»
GEN.2.18	Marigi Alatala ko: «A ma bɛn Adama ni to yan a dɔrɔn. N si naa a dɛmanna dali a ye, a nun min si bɛn ɲɔgɔn ma.» 
GEN.2.19	Marigi Alatala ka burun butɔ subenu bɛ da bangue la, anun kondeŋɛnu minnu be kantɔ. A ka anu doni Adama bata, a ni a lɔn a be anu kelela ki min na. Adama ka tɔgɛ min sa anu kunma dɔndɔ dɔndɔ, wo mata anu tɔgɛ la. 
GEN.2.20	A ka kolofeŋɛnu bɛ tɔgɔ sa, anun kondeŋɛnu minnu bɛ be kantɔ, anun burun butɔ subenu bɛ. Kɔnɔ wo ka a taran, Adama ma a dɛmanna sɔtɔ, anun min si bɛn ɲɔgɔn ma. 
GEN.2.21	Wo butɔ, Marigi Alatala ka kinnɔgɛ latanbi Adama ma, min sɛnbɛ kolo, a kinnɔgɔta. A ka a bɛsɛ kolo dɔndɔ bɔɔ, a mɛn ka ɲɔ tatagun. 
GEN.2.22	Marigi Alatala ka wo bɛsɛ kole jigan a ka a ɲiɲa muse la, a ka a dii Adama ma. 
GEN.2.23	Adama to ka muse yen, a ko:
GEN.2.23	«Ha, kɔtɛ n ɲɔgɔn de mu kɛ la,
GEN.2.23	a kole bɔɔren n kolenu le tɔ,
GEN.2.23	a bale bɔɔren n bale le ma.
GEN.2.23	A tɔgɔ be sala le ‹Muse›
GEN.2.23	bayi a be bɔɔren kaye le tɔ.»
GEN.2.24	Wolo mu kaye si bɔɔ a baaba nun a nɛɛnɛ kunma, anun a la muse ni to ɲɔgɔn na, anu ni ma mɔgɔ dɔndɔ la.
GEN.2.25	Adama nun a la muse bali makoloŋɛ le mu nun, kɔnɔ wo ma anu malu ɲɔgɔnna.
GEN.3.1	Alatala ka burun butɔ feŋɛnu min bɛ dali, kaa le keu. A ka muse maɲininka, a ko: «Kɔnɔ tɔɲa le Ala ka a fɔ le wo ye, lɔgɔ wole minnu bɛ be laakɔɛ butɔ aa wo kana fenfen dɔmɔ?» 
GEN.3.2	Muse ka kaa jaabi, a ko: «Ade, mɔ si laakɔɛ butɔ lɔgɔ wole bɛ dɔmɔ le. 
GEN.3.3	Kɔnɔ, lɔgɛ min be sɔren laakɔɛ tɛma, Ala ko aa mɔ te a wole dɔmɔ, mɔ te maga a la, ka wo ma mɔ si naa faga.» 
GEN.3.4	Kaa mɛn ka a fɔ muse ye: «Ade, wo te faga feu! 
GEN.3.5	Kɔnɔ Ala ka a lɔn, ka wo ka a dɔmɔ lun min na wo si hakkile sɔtɔ le, wo ni to iko Ala min ka ko ɲinma nun ko koroŋɛ lɔn.»
GEN.3.6	Muse to ka lɔgɔ wole yen, a majabuta, a kaɲin dɔmɔnɛŋɛ la, a kaɲin hakkile sɔtɔfeŋɛ la, a ka a jigan, a ka a dɔmɔ. A ka do jigan, a ka a don a la kaye bolo anun min be ɲɔgɔn na, wo tugun ka a dɔmɔ. 
GEN.3.7	Anu fila bɛ ɲa lakata kisanna, anu ka lɔn sɔtɔ a ma, anu be anu bali makoloŋɛ le la. Anu ka figiye
GEN.3.8	Wo kɔma, wura la fɔɲɛ to be bɔɔla, anu ka Marigi Alatala na kulɛ mɔɛ, a be a matagamanna laakɔɛ tɔ. Anu borita Marigi Alatala la anu tagata dogon laakɔ lɔgɛnu tɛma. 
GEN.3.9	Marigi Alatala ka a kulɛ labɔɔ Adama ma, a ka a kele, a ko: «I be mina?» 
GEN.3.10	Adama ka a labita, a ko: «N ka i na kulɛ le mɔɛ laakɔɛ tɔ. N kilanta, bayi n bali makoloŋɛ le mu. Wolo mu n dogonta.» 
GEN.3.11	Marigi Alatala ko: «Ɲɔmɔ ka a fɔ i ye ko i bali makoloŋɛ le mu? N ka tɔŋɛ sigi lɔgɛ min na, i bata a wole dɔmɔ ba?» 
GEN.3.12	Adama ko: «I ka muse min dii n ma, wolo ka wo lɔgɔ wole dii n ma, n ka a dɔmɔ.»
GEN.3.13	Marigi Alatala ka a fɔ muse ye: «I ka wo ma fenna?» Muse ka a jaabi, a ko: «Kaa le ka n natantan han n ka kɛ lɔgɔ wole dɔmɔ.»
GEN.3.14	Marigi Alatala ka a fɔ kaa ye, a ko:
GEN.3.14	«Ile to bata wo ma,
GEN.3.14	kɔtɛ dalifeŋɛ bɛ tɛma, ile bata danka.
GEN.3.14	I si buubu i bue ma,
GEN.3.14	i ni buguta dɔmɔ
GEN.3.14	i la simaya bɛ butɔ.
GEN.3.15	N si jaguya to i nun muse tɛma,
GEN.3.15	n si jaguya to i bɔnsɛ nun a bɔnsɛ tɛma.
GEN.3.15	A bɔnsɛ si i kuŋɛ te,
GEN.3.15	ile tugun si a tingiliŋɛ kin.»
GEN.3.16	Ala ka a fɔ muse tugun ye, a ko:
GEN.3.16	«N si a banba sa i la bu dumɛ kunma;
GEN.3.16	i si tiŋɛ doni le han, jɔnɔn i ni deŋɛ sɔtɔ.
GEN.3.16	I la mira si to i la kaye ma tɛmu bɛ,
GEN.3.16	ale si i yamɔri.»
GEN.3.17	Ala ka a fɔ Adama tugun ye, a ko: «I to bata i la muse kulɛ bita han i ka lɔgɔ wole dɔmɔ, n ka tɔŋɛ sigi min na n ko i kana a dɔmɔ,
GEN.3.17	wo butɔ, duge si ladanka le ile la ko la.
GEN.3.18	Duge si ŋaniŋɛ nun baage lafɛtɛn i ye,
GEN.3.18	i be i balue sɔtɔla sɛnɛ tɔ le.
GEN.3.19	I si wale ma,
GEN.3.19	i ni woosi i balue sɔtɔ koe la.
GEN.3.19	I si to wo tɔ han i be saagila tɛmuɛ min tɔ duge tɔ,
GEN.3.19	bayi i bɔɔta duge le tɔ.
GEN.3.19	I mu bangue le la,
GEN.3.19	i mɛn be saagila wo bangue le tɔ.»
GEN.3.20	Adama ka a la muse tɔgɔ sa Hawa, bayi ale le mata Adamadeŋɛ bɛ nɛɛnɛ la. 
GEN.3.21	Marigi Alatala ka bole donu tabɛn a ka a ma doroki banbanu la, a ka wo lajigi Adama nun a la muse ma.
GEN.3.22	Marigi Alatala ko: «Kɔtɛ, mɔgɛ bata to iko mɔle, a ka ko ɲinma nun ko koroŋɛ lɔn. Kɔtɛ, mɔ kana sɔn a ni a bole lafonti a ni malakise lɔgɛ wole do bɔɔ, a ni a dɔmɔ. Ka a ka wo dɔmɔ a la simaya si to dan bele a la.» 
GEN.3.23	Wo butɔ, Marigi Alatala ka a labɔɔ Edɛn laakɔ ɲinma butɔ. A ko anu ni taga duge lawali, Ala ka anu bɔɔ duge min tɔ.
GEN.3.24	Awa, Ala ka Adama bee ɲɔgɔnna le. A ka malekanu sɔ Edɛn laakɔɛ tele yɛlɛ mafanna anu ni a kanta. Ta be bɔɔla anu bole tɔ iko faŋɛ. Tɛmuɛ bɛ wo ta be linlanna. A ka anu sɔ le ɲɔ alako mɔgɔ yo kana tanbi a ni taga ke malakisi lɔgɛ ma.
GEN.4.1	Adama nun a la musu Hawa kafuta. Hawa ka bue jigan ka Kabila sɔtɔ. Hawa ko: «N bata den kayireŋɛ sɔtɔ Alatala sabu la.» 
GEN.4.2	Wo kɔma, a mɛn ka bue talabɛn a ka Kabila dɔgɔ Habila sɔtɔ. Habila mata kolofen kantala la. Kabila mata sɛnɛ sala la. 
GEN.4.3	Tɛmuɛ do latanbireŋɛ kɔma, Kabila ka min sɔtɔ a la sɛnɛ wale tɔ, a ka wonu donu jigan a ka a dii sarika la Alatala ye. 
GEN.4.4	Habila tugun ka a la kolofeŋɛnu den fɔlɛnu donu faga a ka anu bɔɔ sarika la Ala ye anun anu tule. Alatala ka Habila nun a la sarika jigan, 
GEN.4.5	kɔnɔ a ma Kabila nun a la sarika jigan. Kabila mɔnɛta wo tɔ, han a ɲakɔtɔ masarata. 
GEN.4.6	Alatala ka a fɔ Kabila ye, a ko: «I be mɔnɛren fenna han i ɲakɔtɔ bata masara? 
GEN.4.7	Ka i ka ko ɲinma ma, i si kunnawule sɔtɔ le, kɔnɔ ka i ma ko ɲinma ma, ko koroŋɛ be i kɔnɔnna le, a ni giripɛ i ma. A be katala a ni nɔ sɔtɔ i ma, kɔnɔ ile tugun ka kata i ni nɔ sɔtɔ ale kunma.»
GEN.4.8	Awa, Kabila kumata a dɔgɔ kayima ye. Anu to tagata ɲagama butɔ, Kabila boeta a dɔgɛ Habila ma, a ka a faga. 
GEN.4.9	Wo kɔma, Alatala ka a fɔ Kabila ye, a ko: «I dɔgɛ Habila be mina?» Kabila ko: «N ma a dula lɔn, ka nde le be a kantala?» 
GEN.4.10	Wo kɔma, Ala ka a fɔ a ye, a ko: «I ka fen de ma ka? Base min bɔɔta i dɔgɛ ma a sata duge tɔ, wo base kulɛ be bɔɔla duge tɔ a ni ke n ma ka a fɔla n ni a tɛŋɛ yɔgɔ. 
GEN.4.11	Kɔtɛ i bata danka, bayi i bata i dɔgɛ faga. I dɔgɛ base be duge min tɔ, i si a lawali, kɔnɔ i te a tɔnɛ sɔtɔ. 
GEN.4.12	Ka i ka duge sɛnɛ, a te harige kunma sa i ye. I si to i dɔrɔn, ka to tagaman tagamanna duge kunma.»
GEN.4.13	Kabila ko Alatala ma: «I bata jihade min sa n kunma, a kolo n ko, n te a nɔ. 
GEN.4.14	I bata n bee n ni bɔɔ sɛnɛ wale tɔ bi, fɔ n ni taga dogon n ni yanfaya i la. N si to n dɔrɔn, n ni ma tagaman tagamanna la duge kunma. Min tini n masɔtɔ a ni n faga.» 
GEN.4.15	Alatala ka a fɔ a ye: «Ade, ka mɔgɔ min yo ka i faga, n si mɔgɔ wɔrɔwila faga i tɛŋɛ yɔgɛ la.» Wo kɔma, Alatala ka manditɛ sa Kabila ma, alako ka mɔgɔ min ka Kabila yen, a kana a faga. 
GEN.4.16	Awa, Kabila bɔɔta Alatala ɲala, a tagata sigi Nodi jamanɛ tɔ, Edɛn tele yɛlɛ tɔ.
GEN.4.17	Kabila nun a la muse kafuta. A la muse ka bue jigan, a ka den kayireŋɛ sɔtɔ, a ka a tɔgɔ sa Henoki. Wo la sɔtɔreŋɛ kɔma, Kabila ka saa do labɔɔ, a ka a la den kayireŋɛ Henoki tɔgɛ sa wo saa kunma. 
GEN.4.18	Henoki ka Iradi sɔtɔ. Iradi ka Mehuyayilu sɔtɔ. Mehuyayilu ka Metusayelu sɔtɔ. Metusayelu ka Lameki sɔtɔ.
GEN.4.19	Lameki ka musu fila jigan. A fɔlɛ tɔgɔ Ada. A filaɲɔgɛ tɔgɔ Silasi. 
GEN.4.20	Ada ka den kayireŋɛ sɔtɔ, a ka a tɔgɔ sa Yabali. Mɔgɛnu minnu be sigila tanta kɔtɔ, anu ni anu la kolofeŋɛnu kanta, Yabali le mata wonu benba la. 
GEN.4.21	Yabali dɔgɛ tɔgɔ Yubali. Ale mata kɔndin botegelanu anun serede felanu benba la. 
GEN.4.22	Silasi tugun ka den kayireŋɛ sɔtɔ, a ka a tɔgɔ sa Tubali Kabila. Wo mata numɛ le la. Ale tota sila anun nɛgɛ fiŋɛ dadiyamanu le dala. Tubali Kabila dɔgɔ musuma tɔgɔ Naama. 
GEN.4.23	Lameki ka a fɔ a la musenu ye, a ko:
GEN.4.23	«Ada nun Silasi, wo ni hakkɛ to n ɲɛ!
GEN.4.23	N na musenu, wo ni wo tolomasɔ n na kuma la!
GEN.4.23	Ka kaye min ka n botege, n si a faga n tɛŋɛ yɔgɛ la.
GEN.4.23	Ka kamareŋɛ min tugun ka n maba, n si a faga n tɛŋɛ yɔgɛ la.
GEN.4.24	A fɔla ka mɔgɔ min ka Kabila faga,
GEN.4.24	a tɛŋɛ si yɔgɔ wo tigi la kunɲama wɔrɔwila,
GEN.4.24	awa, ka mɔgɔ min ka Lameki kan faga,
GEN.4.24	wo tɛŋɛ si yɔgɔ kunɲama bi wɔrɔwila sigidula wɔrɔwila.»
GEN.4.25	Adama nun a la muse mɛn kafuta. A la muse ka bue jigan, a ka den kayireŋɛ sɔtɔ, a ka a tɔgɔ sa Sɛti, a ko: «Ala to bata den kayireŋɛ do dii n ma Habila faliŋɛ la, Kabila ka min faga.» 
GEN.4.26	Sɛti tugun ka den kayireŋɛ sɔtɔ, a ka a tɔgɔ sa Enosi. Bɔɔla wo wagate le, mɔgɛnu fɔlɔta Ala batula Alatala tɔgɛ la.
GEN.5.1	Adama bɔnsɛ la tarigu sɛbɛreŋɛ le mu kɛ la. Ala ka mɔgɛ da lun min na, a ka a da a yɛtɛ misale le la. 
GEN.5.2	A ka anu da kayi nun musu. A la bandeŋɛ anu dala, a ka barikɛ sa anu la ko tɔ, a ka anu tɔgɛ sa: ‹Mɔgɛ›.
GEN.5.3	Adama la simaya ka san kɛmɛ san bisaba bɔɔ tɛmuɛ min tɔ, a ka den kayireŋɛ sɔtɔ, min be misaliren iko ale, min mulunta a la. A ka a tɔgɔ sa Sɛti. 
GEN.5.4	Sɛti la sɔtɔreŋɛ kɔma, Adama ka san kɛmɛ sagin ma, a ka den kayireŋɛnu anun den musereŋɛnu sɔtɔ. 
GEN.5.5	A la simaya bɛ tabɛnta san kɛmɛ kɔnɔntɔ anun san bisaba le ma. Wo kɔma, a fagata.
GEN.5.6	Sɛti la simaya ka san kɛmɛ san loolu bɔɔ tɛmuɛ min tɔ, a ka den kayireŋɛ sɔtɔ, a ka a tɔgɔ sa Enosi. 
GEN.5.7	Enosi la sɔtɔreŋɛ kɔma, Sɛti ka san kɛmɛ sagin anun san wɔrɔwila ma, a ka den kayireŋɛnu nun den musereŋɛnu sɔtɔ. 
GEN.5.8	Sɛti la simaya bɛ tabɛnta san kɛmɛ kɔnɔntɔ san tan anun fila le ma. Wo kɔma, a fagata.
GEN.5.9	Enosi la simaya ka san bi kɔnɔntɔ bɔɔ tɛmuɛ min tɔ, a ka den kayireŋɛ sɔtɔ, a ka a tɔgɔ sa Kenani. 
GEN.5.10	Kenani la sɔtɔreŋɛ kɔma, Enosi ka san kɛmɛ sagin san tan anun loolu ma, a ka den kayireŋɛnu nun den musereŋɛnu sɔtɔ. 
GEN.5.11	Enosi la simaya bɛ tabɛnta san kɛmɛ kɔnɔntɔ anun san loolu le ma. Wo kɔma, a fagata.
GEN.5.12	Kenani la simaya ka san bi wɔrɔwila bɔɔ tɛmuɛ min tɔ, a ka den kayireŋɛ sɔtɔ, a ka a tɔgɔ sa Mahalali. 
GEN.5.13	Mahalali la sɔtɔreŋɛ kɔma, Kenani ka san kɛmɛ sagin anun san binaani ma, a ka den kayireŋɛnu anun den musereŋɛnu sɔtɔ. 
GEN.5.14	Kenani la simaya bɛ tabɛnta san kɛmɛ kɔnɔntɔ anun san tan de ma. Wo kɔma, a fagata.
GEN.5.15	Mahalali la simaya ka san bi wɔɔrɔ anun loolu bɔɔ tɛmuɛ min tɔ, a ka den kayireŋɛ sɔtɔ, a ka a tɔgɔ sa Yeradi. 
GEN.5.16	Yeradi la sɔtɔreŋɛ kɔma, Mahalali ka san kɛmɛ sagin anun san bisaba ma, a ka den kayireŋɛnu anun den musereŋɛnu sɔtɔ. 
GEN.5.17	Mahalali la simaya bɛ tabɛnta san kɛmɛ sagin san bi kɔnɔntɔ anun loolu le ma. Wo kɔma, a fagata.
GEN.5.18	Yeradi la simaya ka san kɛmɛ san bi wɔɔrɔ anun fila bɔɔ tɛmuɛ min tɔ, a ka den kayireŋɛ sɔtɔ, a ka a tɔgɔ sa Enoki. 
GEN.5.19	Enoki la sɔtɔreŋɛ kɔma, Yeradi ka san kɛmɛ sagin ma, a ka den kayireŋɛnu anun den musereŋɛnu sɔtɔ. 
GEN.5.20	Yeradi la simaya bɛ tabɛnta san kɛmɛ kɔnɔntɔ san bi wɔɔrɔ anun fila le ma. Wo kɔma, a fagata.
GEN.5.21	Enoki la simaya ka san bi wɔɔrɔ nun loolu bɔɔ tɛmuɛ min tɔ, a ka den kayireŋɛ sɔtɔ, a ka a tɔgɔ sa Matisalɛmu. 
GEN.5.22	Matisalɛmu la sɔtɔreŋɛ kɔma, Enoki ka san kɛmɛ saba ma, a be sɔren Ala la kila kɔma, a ka den kayireŋɛnu nun den musereŋɛnu sɔtɔ. 
GEN.5.23	Enoki la simaya bɛ tabɛnta san kɛmɛ saba san bi wɔɔrɔ anun loolu le ma. 
GEN.5.24	Wo bɛ, Enoki be sɔren Ala la kila kɔma. Wo kɔma, Ala ka a jigan, a ka a doni a kɛnna. Enoki ma yen bitugun.
GEN.5.25	Matisalɛmu la simaya ka san kɛmɛ san bisagin anun wɔrɔwila bɔɔ tɛmuɛ min tɔ, a ka den kayireŋɛ sɔtɔ, a ka a tɔgɔ sa Lameki. 
GEN.5.26	Lameki la sɔtɔreŋɛ kɔma, Matisalɛmu ka san kɛmɛ wɔrɔwila san bisagin anun fila ma, a ka den kayireŋɛnu anun den musereŋɛnu sɔtɔ. 
GEN.5.27	Matisalɛmu la simaya bɛ tabɛnta san kɛmɛ kɔnɔntɔ san bi wɔɔrɔ anun kɔnɔntɔ le ma. Wo kɔma a fagata.
GEN.5.28	Lameki la simaya ka san kɛmɛ san bisagin nun fila bɔɔ tɛmuɛ min tɔ, a ka den kayireŋɛ sɔtɔ. 
GEN.5.29	A ka a tɔgɔ sa Nuha, a ko: «Alatala ka duge barikɛ bɔɔ, a ka mɔ sɔ wali bɛlɛŋɛ la anun tɔɔrɛ. Kɔnɔ kɛ deŋe le be mala mɔ juse makimala la wo wali bɛlɛŋɛ tɔ.» 
GEN.5.30	Nuha la sɔtɔreŋɛ kɔma, Lameki ka san kɛmɛ loolu san bi kɔnɔntɔ anun loolu ma, a ka den kayireŋɛnu nun den musereŋɛnu sɔtɔ. 
GEN.5.31	Lameki la simaya bɛ tabɛnta san kɛmɛ wɔrɔwila san bi wɔrɔwila nun wɔrɔwila le ma. Wo kɔma, a fagata.
GEN.5.32	Nuha ka san kɛmɛ loolu sɔtɔ tɛmuɛ min tɔ, a ka Sɛmi, Hima anun Jafasa sɔtɔ.
GEN.6.1	Mɔgɛnu to fɔlɔta siyala duge kunma, anu be den musereŋɛnu sɔtɔla, 
GEN.6.2	Ala la maleka koroŋɛnu ka anu ɲa sɔ wo den musereŋɛnu la, anu ka a yen wonu bɛnta han. Minnu diyata anu ye, anu ka wonu jigan anu ka anu ma anu la musenu la. 
GEN.6.3	Wo kɔma, Alatala ka a fɔ: «N ka n na fɔɲɔ balunɛŋɛ ladon mɔgɛnu tɔ, kɔnɔ n te sɔn a ni mɛ anu tɔ bitugun, bayi fenfen ma mɔgɛ la, fɔ bannɛŋɛ. A la simaya bɛ labɛndeŋɛ mu san kɛmɛ san mugan de la.» 
