GEN.1.1	Sa kapinonan, kan lalangon nin Dios an kalangitan asin an daga, 
GEN.3.4	Alagad nagsimbag an halas, “Bakong totoo iyan; dai kamo magagadan. 
GEN.3.5	Itinaram iyan nin Dios huli ta aram niya na sa oras na kumakan kamo kaiyan, makakaarog kamo sa Dios asin maaaraman na nindo an marahay asin an maraot.”
GEN.3.6	Nahiling kan babae na magayon an kahoy asin garo masiram pagkakanon an bunga kaini patin naisip niya na an kahoy makakatao nin kadonongan. Kaya kuminua siya kan bunga dangan kuminakan. Dangan tinawan man niya an saiyang agom asin kuminakan man ini. 
GEN.3.7	Pakatapos nindang magkakan, nagkaigwa sinda nin pakasabot, asin naaraman ninda na sinda huba; kaya nagtahi sinda nin mga dahon kan higera dangan ginibo ninda ining pantahob sa saindang hawak.
GEN.3.8	Kan hapon na idto nadangog nindang naglalakaw sa tatamnan an 
GEN.3.9	Alagad inapod nin 
GEN.3.10	Nagsimbag siya, “Nadangog taka sa tatamnan; natakot ako kaya nagtago ako huli ta huba ako.”
GEN.3.11	“Siisay an nagsabi saimo na huba ka?” an hapot nin Dios. “Nagkakan ka kan bunga kan kahoy na ipinapangalad ko?”
GEN.3.12	Nagsimbag an lalaki, “An babaeng itinao mo tanganing magin kaibahan ko iyo an nagtao sako kan bunga, kaya nagkakan ako.”
GEN.3.13	Hinapot nin 
GEN.3.13	Nagsimbag an babae, “Dinaya ako kan halas kaya nagkakan ako.”
GEN.3.14	Dangan tinaraman nin 
GEN.3.15	Papag-iwalon ko kamo asin an babae; an saimong banhi asin an saiyang banhi: roronoton kaini an saimong payo, asin hahampakon mo an saiyang bool.”
GEN.3.16	Dangan tinaraman niya an babae, “Dadagdagan ko an kulog na titioson mo sa saimong pagbados asin pag-aki. Alagad, dai mawawara an saimong pagmawot para sa saimong agom asin siya an saimong pagkukuyogon.”
GEN.3.17	Pakatapos, tinaraman niya si Adan, “Huli ta dinangog mo an saimong agom asin nagkakan ka kan bunga na dai ko saimo ipinapakakan, isinusumpa ko an daga huli saimo. Kaipuhan na maglapigot ka sa pagtrabaho sa bilog mong buhay tanganing magkaigwa ka nin pagkakan. 
GEN.3.18	Matalubo sa daga an mga doot saka mga tonok, asin mapipiritan kang magkakan nin mga tinanom sa kadlagan. 
GEN.3.19	Magpapatagdo ka nin ganot tanganing mapabunga nin anoman an daga, sagkod na ika magadan. Ginibo ka sa kabokabo nin daga kaya sa kabokabo ka mabalik.”
GEN.3.20	Eva
GEN.3.21	An 
GEN.3.22	Dangan nagtaram an 
GEN.3.23	Kaya pinaluwas siya nin 
GEN.3.24	Dangan nagbugtak an 
GEN.4.1	Dinorogan ni Adan si Eva na saiyang agom asin nagbados ini dangan nangaki nin lalaki. Nagsabi an babae, “Huli sa tabang nin 
GEN.4.2	Dai nahaloy nangaki pa siya nin saro pang lalaki, si Abel. Siya nagin sarong pastor nin mga karnero alagad si Cain sarong paraoma. 
GEN.4.3	Uminabot an panahon na nagdara si Cain kan kabtang kan saiyang ani tanganing idolot sa 
GEN.4.4	Nagdara man si Abel kan enot na ogbon kan saiyang mga karnero, binuno ini, dangan idinolot an mga pinakamarahay na kabtang. Nawilihan nin 
GEN.4.5	alagad dai niya inako si Cain saka an dolot kaini. Kaya naanggot nin marahay si Cain asin nagmorosdot siya. 
GEN.4.6	Hinapot nin 
GEN.4.7	Kun tama an ginibo mo, inako ko kuta an dolot mo alagad nin huli ta maraot an ginibo mo, an kasalan naghihipa sa saimong pintoan. Gusto kang paghadean kaiyan, alagad kaipuhan daogon mo.”
GEN.4.8	Dangan sinabihan ni Cain si Abel, “Magduman kita sa kaomahan.” Kan yaon na sinda duman, ginadan ni Cain an saiyang tugang na si Abel.
GEN.4.9	Hinapot nin 
GEN.4.9	Nagsimbag siya, “Dai ko aram. Ano ako, paraataman kan sakong tugang?”
GEN.4.10	Dangan nagtaram an 
GEN.4.11	Ngunyan mapapasaimo an sumpa kan daga na nag-ako kan dugo kan saimong tugang na ginadan mo. 
GEN.4.12	Kun magtanom ka, mayo kang aanihon; ika magigin sarong paradulag asin sarong lagalag sa kinaban.”
GEN.4.13	Nagsimbag si Cain sa 
GEN.4.14	Pinapahale mo na ako sa dagang ini asin sa atubang mo. Magigin paradulag pa ako asin lagalag sa kinaban; gagadanon ako kan siisay man na makanumpong sako.”
GEN.4.15	Alagad nagsimbag an 
GEN.4.16	Dangan naghale si Cain sa atubang nin 
GEN.4.17	Si Cain asin an saiyang agom nangaki dangan nginaranan ninda siyang Enoc. Nagpatindog si Cain nin sarong syudad asin inapod man na Enoc sosog sa ngaran kan saiyang aki. 
GEN.4.18	Si Enoc an ama ni Irad na ama ni Mehujael. Si Mehujael an ama ni Metusael na nagin ama ni Lamec. 
GEN.4.19	Duwa an nagin agom ni Lamec—si Ada asin si Zilla. 
GEN.4.20	Inaki ni Ada si Jabal na ginikanan kan mga paraataman nin mga hayop asin kan mga nag-eerok sa tolda. 
GEN.4.21	An tugang niyang si Jubal iyo an ginikanan kan mga paratugtog nin arpa asin nin plawta. 
GEN.4.22	Inaki ni Zilla si Tubal-cain, na paragibo kan manlaen-laen na kasangkapan na bronse asin lansang. An tugang na babae ni Tubal-cain iyo si Naama.
GEN.4.23	Sinabihan ni Lamec an saiyang mga agom
GEN.4.23	“Pagdangog kamo, Ada asin Zilla:
GEN.4.23	Guminadan ako nin sarong hoben huli ta kinulogan niya ako.
GEN.4.24	Kun pitong buhay an kabayadan kan buhay ni Cain,
GEN.4.24	Setenta y syeteng buhay an katimbang kan buhay ko.”
GEN.4.25	Nagkaigwa pa nin aki si Adan asin an saiyang agom. Nagsabi si Eva, “Tinawan ako nin Dios nin aki na kasalihid ni Abel na ginadan ni Cain.” Kaya an aki nginaranan niyang Set.
GEN.4.26	Nagkaigwa nin aking lalaki si Set na nginaranan niyang Enos. Sa panahon na iyan, an mga tawo nagpoon nang mag-apod sa ngaran nin 
GEN.5.1	Iyo ini an mga kapagarakian ni Adan. (Kan lalangon nin Dios an katawohan, ginibo niya sindang arog sa saiya. 
GEN.5.2	Linalang niya sindang lalaki asin babae, benendisyonan, dangan nginaranan, “Katawohan.”) 
GEN.5.3	Kan syento treynta na an edad ni Adan, nagkaigwa siya nin aking lalaki na arog saiya. Nginaranan niya ining Set. 
GEN.5.4	Dangan nabuhay pa si Adan sa laog nin otso syentos na taon asin nagkaigwa pa nin ibang aking lalaki saka babae 
GEN.5.5	bago siya nagadan sa edad na nwebe syentos treyntang taon.
GEN.5.6	Kan syento singko na an edad ni Set, nagkaigwa siya nin aking lalaki na iyo si Enos. 
GEN.5.7	Dangan nabuhay pa si Set sa laog nin otso syentos syeteng taon asin nagkaigwa pa nin ibang mga aki 
GEN.5.8	bago siya nagadan sa edad na nwebe syentos doseng taon.
GEN.5.9	Kan nubentang taon na an edad ni Enos, nagkaigwa siya nin aking lalaki na iyo si Kenan. 
GEN.5.10	Dangan nabuhay pa siya sa laog nin otso syentos kinseng taon asin nagkaigwa pa nin ibang mga aki 
GEN.5.11	bago siya nagadan sa edad na nwebe syentos singkong taon.
GEN.5.12	Kan setenta na an edad ni Kenan, nagkaigwa siya nin aking lalaki na iyo si Mahalalel. 
GEN.5.13	Dangan nabuhay pa siya sa laog nin otso syentos kwarentang taon asin nagkaigwa pa nin ibang mga aki 
GEN.5.14	bago siya nagadan sa edad na nwebe syentos dyes na taon.
GEN.5.15	Kan sesenta y singko na an edad ni Mahalalel, nagkaigwa siya nin aking lalaki na iyo si Jared. 
GEN.5.16	Dangan nabuhay pa siya nin otso syentos treyntang taon asin nagkaigwa pa nin ibang mga aki 
GEN.5.17	bago nagadan sa edad na otso syentos nubenta y singkong taon.
GEN.5.18	Kan syento sesenta y dos na an edad ni Jared, nagkaigwa siya nin aking lalaki na iyo si Enoc. 
GEN.5.19	Dangan nabuhay pa siya sa laog nin otso syentos na taon asin nagkaigwa pa nin ibang mga aki 
GEN.5.20	bago nagadan sa edad na nwebe syentos sesenta y dos na taon.
GEN.5.21	Kan sesenta y singko na an edad ni Enoc, nagkaigwa siya nin aking lalaki na iyo si Metusela. 
GEN.5.22	Dangan nabuhay pa siya nin tres syentos na taon sa kaibahan nin Dios asin nagkaigwa pa nin ibang mga aki. 
GEN.5.23	Nabuhay siya sagkod sa edad na tres syentos sesenta y singkong taon. 
GEN.5.24	Naglakaw si Enoc sa kaibahan nin Dios dangan nawara siya, huli ta kinua siya nin Dios.
GEN.5.25	Kan syento otsenta y syeteng taon na an edad ni Metusela, nagkaigwa siya nin aking lalaki na iyo si Lamec. 
GEN.5.26	Dangan nabuhay pa siya nin syete syentos otsenta y dos na taon asin nagkaigwa pa nin ibang mga aki 
GEN.5.27	bago nagadan sa edad na nwebe syentos sesenta y nwebeng taon.
GEN.5.28	Kan syento otsenta y dos na an edad ni Lamec, nagkaigwa siya nin sarong aking lalaki. 
GEN.5.29	Nagsabi siya, “Hale sa dagang isinumpa nin 
GEN.5.30	Nabuhay pa si Lamec sa laog nin kinyentos nubenta y singkong taon asin nagkaigwa pa nin ibang aki. 
GEN.5.31	Nagadan siya sa edad na syete syentos setenta y syeteng taon.
GEN.5.32	Kinyentos na an edad ni Noe kan siya nagkaigwa nin tolong aking lalaki, si Sem, si Ham asin si Jafet.
GEN.6.1	Kan magpoon nang magdakul an katawohan sa bilog na kinaban, asin kan nag-araki na sinda nin mga babae, 
GEN.6.2	nahiling kan mga aki nin Dios na magagayon an mga aking babae kan mga tawo, kaya inagom ninda an saindang nagustohan. 
GEN.6.3	Dangan nagtaram an 
GEN.6.4	Sa mga aldaw na idto asin sa mga nagsunod pang panahon, nagkaigwa nin mga higante sa kinaban. An mga ini an nagin aki kan mga aking babae kan mga tawo asin kan mga aki nin Dios; sinda an mga bantog saka makokosog na mga tawo kan enot na panahon.
GEN.6.5	Kan nahiling nin 
GEN.6.6	nagmondo siya saka nagbasol kun tadaw ta ginibo pa niya an mga tawo dangan ibinugtak sa daga. 
GEN.6.7	Kaya nagtaram siya, “Paparaon ko ining mga tawo na sakong linalang asin an mga hayop patin an mga gamgam, huli ta nagbabasol ako kun tadaw ta ginibo ko pa sinda.” 
GEN.6.8	Alagad nawilihan nin 
GEN.6.9+GEN.6.10	Iyo ini an istorya ni Noe. Nagkaigwa siya nin tolong aking lalaki: si Sem, si Ham asin si Jafet. Si Noe iyo sana an matanos na tawo kan panahon niya. Naglakaw siya sa kaibahan nin Dios; 
GEN.6.11	alagad an ibang tawo maraot sa atubang nin Dios asin an daga napano kan saindang kadahasan. 
GEN.6.12	Nahiling nin Dios na an daga pano nin karatan huli sa maraot na pamumuhay kan mga tawo.
GEN.6.13	Nagtaram an Dios ki Noe, “Nagdesider na akong paraon an katawohan huli ta an daga pano na nin kadahasan huli sainda. 
GEN.6.14+GEN.6.15	Gumibo ka nin arka sa kahoy na goper na igwa nin sukol na syento treynta y tres metros an laba, beynte y dos metros an lakbang asin trese metros an langkaw. Gibohan mo nin mga kwarto saka lahidan mo nin aspalto an laog asin an luwas kan arka. 
GEN.6.16	Bugtakan mo nin atop
GEN.6.17	Papadarahan ko nin baha an bilog na kinaban tanganing gadanon an gabos na may buhay. Magagadan an gabos na yaon sa daga, 
GEN.6.18	alagad makikipagtipan ako saimo. Lumaog ka sa arka kaiba an saimong agom, an mga aki mong lalaki asin an saindang mga agom. 
GEN.6.19+GEN.6.20	Ilaog mo diyan an gabos na igwa nin buhay, sarong lalaki asin sarong babae kan lambang klase nin hayop asin gamgam tanganing magkaburuhay sinda. 
GEN.6.21	Magdara ka nin manlaen-laen na kakanon para saindo asin para sa mga hayop.” 
GEN.6.22	Ginibo ni Noe an gabos na ipinagboot saiya nin Dios.
GEN.7.1	Tinaraman nin 
GEN.7.2	Magdara ka nin pitong pades, sarong lalaki asin sarong babae, kan lambang klase nin malinig na hayop alagad saro sanang pades kan maating hayop. 
GEN.7.3	Magdara ka man nin pitong pades kan lambang klase nin gamgam. Giboha ini tanganing mabuhay asin magdakul giraray sa daga an gabos na klase nin hayop asin gamgam. 
GEN.7.4	Huli ta pitong aldaw poon ngunyan, papauranon ko sa laog nin kwarentang aldaw asin banggi tanganing mawara an gabos na nabubuhay na ginibo ko.” 
GEN.7.5	Sinunod ni Noe an gabos na ipinagboot saiya nin 
GEN.7.6	Kan magbaha sa kinaban, seis syentos na taon na an edad ni Noe. 
GEN.7.7	Luminaog siya sa arka, kaiba an saiyang agom, an saiyang mga aki asin mga manugang, sa pagdulag sa baha. 
GEN.7.8+GEN.7.9	Kaiba man ni Noe sa arka an sarong lalaki asin sarong babae kan lambang klase nin hayop asin gamgam, malinig man o maati, siring sa pagboot nin 
GEN.7.10	Dangan pakalihis nin pitong aldaw, uminabot an baha.
GEN.7.11	Kan ikadyes y syeteng aldaw kan ikaduwang bulan, kan an edad ni Noe seis syentos na taon na, nagpurutok an gabos na burabod nin tubig sa irarom kan daga, asin nagkaburuksan an mga bintana kan kalangitan, 
GEN.7.12	kaya nag-uran sa kinaban sa laog nin kwarentang aldaw asin banggi. 
GEN.7.13	Kan aldaw na iyan luminaog sa arka si Noe asin an saiyang agom kaiba an saindang mga aki na si Sem, si Ham asin si Jafet sagkod an saindang mga agom. 
GEN.7.14	Kaiba man ninda an gabos na klase nin hayop, manso asin lalaw, dakula asin sadit, saka an gabos na klase nin gamgam. 
GEN.7.15	Sarong lalaki asin sarong babae kan lambang klase nin linalang na may buhay an naglaog sa arka kaiba ni Noe 
GEN.7.16	siring sa ipinagboot nin Dios. Dangan sinerahan nin 
GEN.7.17	Nagpadagos an pagbaha sa laog nin kwarentang aldaw dangan naghararom an tubig sagkod na luminataw an arka. 
GEN.7.18	Padagos an pagrarom kan tubig alagad naglataw-lataw sana an arka sa ibabaw kan katubigan. 
GEN.7.19	Naghararom pa an tubig sagkod na matahoban an pinakahalangkaw na bukid; 
GEN.7.20	nagpadagos pa sa pagrarom an tubig sagkod na malabawan kaini nin pitong metros an alitoktok kan mga bukid. 
GEN.7.21	Daing natadang may buhay sa kinaban—nagkagaradan an lambang gamgam, hayop asin tawo. 
GEN.7.22	An gabos sa kinaban na naghahangos nagkagaradan. 
GEN.7.23	Tinunaw nin 
GEN.7.24	An tubig nagdanay sa ibabaw nin daga sa laog nin syento singkwentang aldaw.
GEN.8.1	Dai nalingawan nin Dios si Noe asin an gabos na hayop na kaibahan niya sa arka; pinahoyop niya an doros asin nagpoon magkulpa an tubig. 
GEN.8.2	Naserahan na an mga burabod nin tubig sa irarom kan daga asin an mga bintana sa kalangitan. Nag-ontok an pag-uran, 
GEN.8.3	dangan dikit-dikit na nag-ina an tubig sa laog nin syento singkwentang aldaw. 
GEN.8.4	Sa ikadyes y syeteng aldaw kan ikapitong bulan, an arka suminadsad sa ibabaw kan kabukidan kan Ararat. 
GEN.8.5	Nagpadagos sa pag-ibaba an tubig kaya sa enot na aldaw kan ikasampolong bulan, nahiling na an mga alitoktok kan kabukidan.
GEN.8.6	Pakalihis nin kwarentang aldaw, binukasan ni Noe an bintana kan arka 
GEN.8.7	dangan pinalayog an sarong uwak. Dai ini nagbalik kundi palibot-libot na naglayog sagkod na naghubas an tubig. 
GEN.8.8	Sunod na pinalayog ni Noe an sarong salampati tanganing aramon kun kulpa na an tubig; 
GEN.8.9	alagad nin huli ta natatahoban pa nin tubig an bilog na daga, mayo ini nin nakuang matogdonan. Nagbalik sa arka an salampati dangan dinakop ni Noe asin ilinaog giraray. 
GEN.8.10	Pinalihis ni Noe an pito pang aldaw dangan pinalayog niya giraray an salampati. 
GEN.8.11	Pagkabanggi, nagbalik saiya an salampati na may darang bagong dahon nin oliba sa saiyang tuka. Kaya naaraman ni Noe na kulpa na an tubig. 
GEN.8.12	Pinalihis ni Noe an pito pang aldaw dangan pinalayog niya giraray an salampati. Dai na ini nagbalik.
GEN.8.13	Kan seis syentos unong taon na an edad ni Noe, sa enot na aldaw kan primerong bulan, hubas na an tubig. Hinale ni Noe an tahob kan arka dangan tuminanaw sa palibot, asin nahiling niya na nagpoon nang magmara an daga. 
GEN.8.14	Kaya sa ikabeynte y syeteng aldaw kan ikaduwang bulan, mamara na an bilog na daga.
GEN.8.15	Tinaraman nin Dios si Noe, 
GEN.8.16	“Magluwas na kamo sa arka; ika, an saimong agom, an saimong mga aking lalaki asin an saindang mga agom. 
GEN.8.17	Iluwas man nindo an mga gamgam asin mga hayop tanganing magdakul dangan maglakop sinda sa bilog na daga.” 
GEN.8.18	Kaya nagluwas sa arka si Noe kaiba an saiyang agom, an saindang mga aking lalaki patin an mga agom kaini. 
GEN.8.19	Dangan grupo-grupong nagruluwas man sa arka an gabos na hayop asin gamgam sosog sa manlaen-laen na klase ninda.
GEN.8.20	Guminibo si Noe nin altar para sa 
GEN.8.21	Nawilihan nin 
GEN.8.22	Sagkod na yaon pa an kinaban, magkakaigwa nin panahon nin pagtanom asin pag-ani, nin lipot asin init, nin tig-init asin tig-uran, nin aldaw asin banggi.”
GEN.9.1	Benendisyonan nin Dios si Noe asin an saiyang mga aking lalaki dangan tinaraman, “Magkaigwa kamo nin dakul na mga aki tanganing an saindong kapagarakian makalakop sa bilog na daga. 
GEN.9.2	An gabos na hayop, gamgam asin sira mabubuhay na igwa nin pagkatakot saindo. Gabos sinda mapapasairarom kan saindong kapangyarihan. 
GEN.9.3	Itatao ko saindo bilang kakanon an lambang linalang na may buhay kaiba an mga berdeng tinanom. Itinatao ko saindo an gabos. 
GEN.9.4	Alagad dai nanggad kamo magkakan nin karne na igwa pang dugo; ipinapangalad ko iyan huli ta an buhay yaon sa dugo. 
GEN.9.5	Papadusahan ko an siisay man na maggadan nin tawo. Kagadanan an padusa sa hayop man o tawo na makagadan nin tawo. 
GEN.9.6	An tawo ginibo sa ladawan nin Dios, kaya an siisay man na gumadan sa kapwa niya tawo, gagadanon man kan saiyang kapwa.
GEN.9.7	“Kaipuhan na magkaigwa kamo nin dakul na aki tanganing an saindang kapagarakian makalakop sa bilog na daga.”
GEN.9.8	Dangan nagtaram an Dios ki Noe asin sa mga aking lalaki kaini, 
GEN.9.9	“Makikipagtipan ako ngunyan saindo, sa saindong kapagarakian, 
GEN.9.10	asin sa gabos na may buhay—sa gabos na gamgam asin hayop—sa gabos na kaibahan nindo na nagruluwas sa arka. 
GEN.9.11	Sa mga tataramon na ini, nakikipagtipan ako sa saindo: nanunuga ako na dai na nanggad mapapara an gabos na may buhay sa paagi nin baha; dai na nanggad mararaot an kinaban huli sa baha. 
GEN.9.12	Bilang tanda kaining daing kataposan na tipan na sakong ginigibo saindo asin sa gabos na may buhay, 
GEN.9.13	ibinubugtak ko an bulalangaw sa mga panganoron. Iyan an magigin tanda kan pakikipagtipan ko sa kinaban. 
GEN.9.14	Kun tahoban ko nin panganoron an kalangitan dangan malataw an bulalangaw, 
GEN.9.15	magigiromdoman ko an sakong panuga saindo asin sa gabos na hayop; asin dai ko na nanggad raraoton an gabos na may buhay sa paagi nin sarong baha. 
GEN.9.16	Paglataw kan bulalangaw sa mga panganoron, mahihiling ko iyan asin magigiromdoman ko an daing kataposan na tipan ko sa gabos na may buhay sa kinaban. 
GEN.9.17	Iyo iyan an tanda kan sakong pakikipagtipan sa gabos na may buhay.”
GEN.9.18	Si Sem, si Ham asin si Jafet iyo an mga aking lalaki ni Noe na kaiba niyang nagluwas sa arka. (Si Ham iyo an ama ni Canaan.) 
GEN.9.19	Sindang tolo an ginikanan kan gabos na tawo sa kinaban. 
GEN.9.20	Si Noe na sarong paraoma, iyo an kaenot-enoteng tawo na nagtanom nin ubas. 
GEN.9.21	Nag-inom siya kan arak kaya naburat siya. Hinukas niya an saiyang gubing dangan nagtorog na huba sa saiyang tolda. 
GEN.9.22	Nahiling ni Ham, an ama ni Canaan, na huba an saiyang ama asin binaretaan an duwa niyang tugang na nasa luwas. 
GEN.9.23	Nagkua nin alikboy si Sem asin si Jafet, isinablay sa saindang abaga dangan patalikod na luminaog sa tolda tanganing dai ninda mahiling an pagkanihuba kan saindang ama asin tinahoban an huba nindang ama. 
GEN.9.24	Kan mahale an pagkaburat ni Noe asin naaraman an ginibo saiya kan ngohod niyang aki, 
GEN.9.25	nagsabi siya,
GEN.9.25	“Sumpaon si Canaan!
GEN.9.25	Siya an magigin oripon kan saiyang mga tugang.
GEN.9.26	Pag-omawon an 
GEN.9.26	Si Canaan magigin oripon ni Sem.
GEN.9.27	Padakulaon logod nin Dios si Jafet!
GEN.9.27	An saiyang kapagarakian mag-erok logod sa kaibahan kan banwaan ni Sem!
GEN.9.27	Si Canaan magigin oripon ni Jafet!”
