MAT.1.1	Yesu Kristo gɔ nɖe Igara David ɔwa tɛtɛ, fiɛ David ɔ̃ wũ ɔɖe Abraham ɔwa ɔɣekparɛ i ngbe ne.
MAT.1.25	Ɣɛɛ ne, Yosef iirɛgu wũ gbɔgbɔɔgbɔ Maria ɔɣe ɔ̃ ɔbi ɖeakatɔ̃ gɔ nɖe ɔbi birɛrɛĩ, fiɛ Yosef ɔtã wũ iyere sɔ Yesu.
MAT.2.1	Maɣe Yesu i Betlehem ɔmagɛ̃ ame i Yudea ku ɔwi gɔ ame i Herodes to ɔɖe sigara. Ɔwi gɔmɔ ame ne, manɔgbadze ma nɣe ara i awãmi iso ɔbɔrɛ i kuɣɛ̃kabɔrɛkɔ̃ maba Yerusalem Ɔmagɛ̃ ame. 
MAT.2.2	Gɔ maba ne, makarɛ sɔ, “Lɛ maɣe ɔbi gɔ loaɖe ma Yudase igara? Bonya ɔ̃ iwãmi i kuɣɛ̃kabɔrɛkɔ̃ ɔso boba sɔ si boba boasumu wũ.” 
MAT.2.3	Gɔ Igara Herodes ɔnɔ itɔ̃me nɛgbe ne, itidza ɔ̃ gu mma ɔɖuɖu mpia i Yerusalem gbaã. 
MAT.2.4	Ne ɔso ɔkpere masɔrɛdze makpakpa ɔɖuɖu gu mmara matedze ɔsirakanya ɔkarɛ ma sɔ, “Lɛ maaɣe Kristo?” 
MAT.2.5	Ne maɣere wũ sɔ, “Maɣɛ sɔ maaɣe wũ i Betlehem ɔmagɛ̃ ame i Yudea ala Ɣaa kanyaɖidze ɔwɛ̃ ɔtsɛrɛ ɔsɛ sɔ,
MAT.2.6	‘Fɔ Betlehem ne, maturi sɛ maɣɛ sɔ
MAT.2.6	ɔmagɛ̃ kosoi aɖe i Yudea karɔ̃ iso.
MAT.2.6	Ɣɛɛ iiɖe ngbɔ iɖe!
MAT.2.6	Alasɔ fɔ ame i tɔ̃ɖedze siare
MAT.2.6	gɔ loakɔ wũ kaɖe Israel aabɔrɛ.’ ”
MAT.2.7	Ne kama ne, Herodes ɔkpere mafɔ ma lobɔrɛ i kuɣɛ̃kabɔrɛkɔ̃ ɔnɔwɛ̃ ɔkɛlɛgu kawɛrɛkɔ̃ sɔ si ɔtsue ɔwi gɔ tutuutu manya iwãmi nɛmɔ. 
MAT.2.8	Ɔɖi ma ɔri sɔ makɛlɛ Betlehem ku atɔ̃me wagbe sɔ, “Misɛ mianyɔnyɔ ɔbi gɔgbe kukaakɔ, si minya wũ ne, mikpese miba miaɣere me sɔ mme wũ loasɛ loasumu wũ.”
MAT.2.9+MAT.2.10	Ne ɔso mafɔ magbe ɔrui maɣo ɔri. I ɔri ne, iwãmi nɛ manya i kuɣɛ̃kabɔrɛkɔ̃ mmɔ ɔledza ibɔrɛ. Gɔ manya ne ne, mana isoɣɔ gbaã. Iɖe ma katɔ̃ gbɔgbɔɔgbɔ isɛ iatui i ngbegɔ i ɔbi ɣɛtɛ rɛ. 
MAT.2.11	Gɔ mabo i iyo ame fiɛ manya ɔbi gu ɔ̃ ɔnyi Maria ne, mapɛ agɛgɛ̃ masumu wũ. Gɔ mabusi ma akpo ne, maɖi karatã sɛɛ ga nɖe sikãrɛtɛa, korobo gu ɔlufui matã wũ.
MAT.2.12	Ne kama gɔ makpese ne, Ɣaa ɔsɛ̃ ɔtã ma i kurɛ ame sɔ madaasɛ maaki i Herodes kɔrɛ. Ne ɔso maki ɔri mama marui makɛlɛ ma aɖe.
MAT.2.13	Gɔ mafɔ mamɔ ɔɔrui kama ne, Ɣaa kpabo ɔwɛ̃ ɔɖi so ɔte Yosef i kurɛ ame ɔɣere wũ sɔ, “Herodes to ɔ̃abie ɔri gɔ iso ɔ̃aki ɔ̃aɖoe ɔbi, ne ɔso ta si akɔ wũ gu ɔ̃ ɔnyi si ateregu ma akɛlɛgu Egipte. Miwe i mmɔ gbɔgbɔɔgbɔ loaɣere mi sɔ mikpese miba.”
MAT.2.14	Kasɛ̃ gamɔ ame ame ne, Yosef ɔta ɔkɔ ɔbi gu ɔnyi marui matere makɛlɛ Egipte. 
MAT.2.15	Mawe i mmɔ gbɔgbɔɔgbɔ Herodes ɔkpi. Iba ngbɔ sɔ si nnɛ i Ɣaa kanyaɖidze ɔwɛ̃ ɔtsɛrɛ ɔsɛ aaba i ne ame sɔ, “Ta Egipte lokpere wũ Ɔbi lobɔrɛgu.”
MAT.2.16	Gɔ Herodes ɔnya sɔ manɔgbadze ma lobɔrɛ i kuɣɛ̃kabɔrɛkɔ̃ mmɔ ɔsɔsɔla wũ ne, sikpã ɔmɔɛ̃ wũ gbaã. Ɔpia makpakpɛ̃dze sɔ maɖoe mabi birɛrɛĩ ɔɖuɖu ma i Betlehem gu simagɛ̃ dzɛ loki silɔ ame. Mma ɔɖuɖu loɔfɔ ita i akɔ anyɔ iba karɔ̃ si ikategu ɔwi gɔ i mmamɔ ɔɣɛ sɔ manya iwãmi kanya. 
MAT.2.17	Mabi iɖoe nɛgbe ɔba sɔ si nnɛ i Ɣaa kanyaɖidze Yeremia ɔɣɛ ɔsɛ aaba i ne ame sɔ,
MAT.2.18	“Kulu kuwɛ̃ to i Rama.
MAT.2.18	Kaku gu isoma kulu kuɖe!
MAT.2.18	Rahel nto ɔbiɛ ɔ̃ mabi,
MAT.2.18	fiɛ ɔ̃ito ɔbie sɔ malora wũ,
MAT.2.18	ala sɔ ɔ̃ mabi ɔkpi.”
MAT.2.19	Gɔ Herodes ɔkpi ne, Ɣaa kpabo ɔwɛ̃ ɔɖi so ɔte Yosef i kurɛ ame i Egipte. 
MAT.2.20	Ɔɣere wũ sɔ, “Ta si akɔ ɔbi gu ɔnyi si mikɛlɛ Israel karɔ̃ iso alasɔ mma lobie sɔ maaɖoe ɔbi ɔɔkpi.”
MAT.2.21	Ne ɔso Yosef ɔta ɔkɔ ɔbi gu ɔnyi marui makɛlɛ Israel karɔ̃ iso. 
MAT.2.22	Ɣɛɛ gɔ Yosef ɔnɔ sɔ Arkelao masɛra sigara i ɔ̃ ɔse kanya i Yudea ne, ɔnigã mmɔ ikɛlɛ, ne ɔso i kurɛ ame ne, Ɣaa ɔɣere wũ sɔ ɔkɛlɛ Galilea karɔ̃ iso. 
MAT.2.23	Ɔsɛ ɔ̃awe i ɔmagɛ̃ gɔ marɔ sɔ Nasaret ame sɔ itɔ̃me nɛ i Ɣaa kanyaɖidze ɔwɛ̃ ɔɣɛ ɔsɛ aba i ne ame sɔ, “Maakpere wũ sɔ ɔ Nasaretse,” aaba i ne ame.
MAT.3.1	Ɔwi gɔmɔ ame ne, Ndupiedze Yohanes ɔba Yudea fafuĩ ame ɔba ɔ̃atsɛ Ɣaa itɔ̃me iɣɛ 
MAT.3.2	sɔ, “Mifiniki i mi situ ame ala Ɣaa sigara ɔɖewi ɔɔɣo.” 
MAT.3.3	Yohanes gɔgbe nɖe ngɔ iso i Ɣaa Kanyaɖidze Yesaya ɔɣɛ ɔsɛ sɔ,
MAT.3.3	“Ɔwɛ̃ to ɔla kulu teteree i fafuĩ ame sɔ,
MAT.3.3	‘Miledza ɔri mitã Bosate iba.
MAT.3.3	Mibara ɔ̃ ɔri gɔ iso ɔ̃asɛ tɔrɔrɔ.’ ”
MAT.3.4	Awu wa i Yohanes ɔpia ne, kapuipɔngɔ siwɛrɛ̃ masu mawe ala, fiɛ ɔsu bɔi ɔko kafiami ɔtɔ so ɔsɔ. Maɣendu gu kugbadzedzei loɖe ɔ̃ aɖera. 
MAT.3.5	Maturi ɔbɔrɛ i Yerusalem gu Yudea ɔɖuɖu gu Yordan ɔwore kama abuiti ɔɖuɖu ame maba ɔ̃ kɔrɛ. 
MAT.3.6	Gɔ maɖi ma akpi maɣɛ ne, Yohanes ɔpie ma Ɣaa ndu i Yordan ɔwore ame.
MAT.3.7	Gɔ Yohanes ɔnya ma Farisise gu ma Zadukise gbodzoo ma loba sɔ ɔpie ma Ɣaa ndu ne, ɔɣere ma sɔ, “Mi ma lonyanyarĩ lɛ maɣɛ! Midaasɔsɔla so iki i Ɣaa itupie ifɔ ame sɔ miawo ɔtere i Ɣaa sikpã dzɛ nto siba i kayiiso kanya! 
MAT.3.8	Mite i mi nsɛgbai ame sɔ miɔfiniki mibɔrɛ i mi akpi ame. 
MAT.3.9	Midaabu sɔ gɔ Abraham mawa miɖe ɔso ne, Ɣaa iibakpadzɛ̃ mi kutsue. Nto loɣere mi sɔ Ɣaa to ɔ̃awo mawa ɔbara ɔɖi i ata wa nfere i ngbe ame ɔtã Abraham.
MAT.3.10	“Minyɔ! Maɔkarã kaɣɛ i adziri iso koko sɔ maatu wã ta siɖu ame. Kudziri biara gɔ loisɛ kuɣɔ̃ abi sɛɛ ne, maaɖaɛ kɔ̃ mapɛyu matsuedza.”
MAT.3.11	“Mme ne, ndu losu nto lopie mi si ite sɔ miɔfiniki mibɔrɛ i mi akpi ame. Ɣɛɛ ngɔ nsiai me i kama ɔto ɔba ne, Ɣaa Siwarã gu ɔtɔ ɔ̃asu ɔpie mi ndu. Ɔmɔ ɔɖo me sɔ loikote sɔ loaɖe ɔ̃ ɔɖabo kɔra. 
MAT.3.12	Ɔto ɔ̃ ifɛra nɛ ɔ̃afɛ ala simɔɣo ɔɖi i kamɔ ame. Ɔ̃asu aɖera ɔfere i kawu ame, ɣɛɛ simɔɣo ne, ɔ̃atsuedza sɛ̃ ku ɔtɔ gɔ loisɛ ɔnyi!”
MAT.3.13	Ɔwi gɔmɔ ame ne, Yesu ɔbɔrɛ i Galilea ɔba Yohanes kɔrɛ i Yordan ɔkpokpo sɔ Yohanes si ɔpie wũ Ɣaa ndu. 
MAT.3.14	Ɣɛɛ gɔ Yohanes to ɔbie sɔ ɔfinikira ɔ̃ adzuni ɔso ne, ɔɣere wũ sɔ, “Mme ikote sɔ loaba fɔ kɔrɛ apie me Ɣaa ndu ne iiɖe fɔ loaba wũ kɔrɛ!”
MAT.3.15	Ɣɛɛ Yesu ɔtã wũ mmuai sɔ, “Tã ise ngbɔ si boawo ira biara nɛ i Ɣaa ɔbie sɔ bobara ɔbara.” Ne Yohanes ɔnɔ karɔ̃ ne.
MAT.3.16	Gɔ ɔpie Yesu ndu ɔro fiɛ ɔto ɔbɔrɛ i ɔwore ame ne, kuɖokpo ɔbusi kutã wũ. Ɔnya Ɣaa Siwarã ɔso lɛ ilɔpɔ siba siasia wũ iso. 
MAT.3.17	Ne manɔ silɔ ɔbɔrɛ i kato siɣɛ sɔ, “Wũ Ɔbi gɔ loisɛ lopia kuɣɛ i ngbe ne, ɔbo me anɔ gbaã.”
MAT.4.1	Siwarã Bielea ɔkɔ Yesu sikɛlɛgu fafuĩ ame sɔ Tsirise si ɔsɛ ɔ̃ala wũ ɔnyɔ. 
MAT.4.2	Gɔ ɔnyi kanya akpɛnɛ sina kasɛ̃ sina ne, kukã ɔkpɛ̃ wũ. 
MAT.4.3	Mmɔ i Tsirise ɔba ɔ̃ kɔrɛ ɔɣere wũ sɔ, “Si fɔ nɖe Ɣaa Ɔbi ne, ɣere ata wagbe sɔ akpese aɖera.”
MAT.4.4	Ne Yesu ɔɣere wũ sɔ, “Matsɛrɛ mapia i Ɔko Sekelea ame sɔ, ‘Iiɖe aɖera ɔnɔwɛ̃ iso i ɔturi aasɛ ngbã, ɣɛɛ Ɣaa itɔ̃me atsue ikã ɔso bowũ.’ ”
MAT.4.5	Tsirise ɔkɔ Yesu ɔkɛlɛgu Yerusalem, Ɔmagɛ̃ Sekelea ame, ma Yudase kasɔrɛkɔ̃ kakɔlɛkɔ̃ pelepele. 
MAT.4.6	Ne ɔɣere wũ sɔ, “Si Ɣaa Ɔbi aɖe ne, nyua so sɛ aawuĩ i karɔ̃. Alasɔ Ɔko Sekelea ɔɣɛ sɔ,
MAT.4.6	‘Ɣaa ɔɣɛ sɔ ɔ̃apia ɔ̃ makpabo
MAT.4.6	mamɔɛ̃-ɔ i nrɔɔ̃ ame
MAT.4.6	sɔ aibasu fɔ kukpa awuĩ i ita kuiwɛ̃ iso.’ ”
MAT.4.7	Yesu ɔtã wũ mmuai sɔ, “Ɔko Sekelea ɔɣɛ ana sɔ, ‘Daala Bosate Ɣaa anyɔ.’ ”
MAT.4.8	Tsirise ɔledza Yesu ikɔ ikɛlɛgu kube kɔlɛa kuwɛ̃ itititɛ̃. Ɔte wũ kayiiso sigarakuɖekɔ̃ ɔɖuɖu ku kɔ̃ sile. 
MAT.4.9	Ne ɔɣere Yesu sɔ, “Si aapɛ agɛgɛ̃ atã me asɔrɛ me ne, loasu ara wagbe ɔɖuɖu lotã-ɔ.”
MAT.4.10	Ne Yesu ɔtã wũ mmuai sɔ, “Satana, rui me i kɔrɛ! Ɔko Sekelea ɔɣɛ sɔ, ‘Bosate Ɣaa ɔnɔwɛ̃ nɖe ngɔ lokote sɔ maapɛ agɛgɛ̃ matã masɔrɛ.’ ”
MAT.4.11	Ne Tsirise ɔrui i Yesu kɔrɛ, fiɛ Ɣaa makpabo ɔba maabuai wũ ne.
MAT.4.12	Gɔ Yesu ɔnɔ sɔ maɔmɔɛ̃ Yohanes mapia i iyo ne, ɔrui ɔkɛlɛ Galilea. 
MAT.4.13	Ɔ̃iwe i Nasaret, ɣɛɛ ɔkɛlɛ Kapernaum, ɔmagɛ̃ gɔ nse i Galilea itubu kanya i Zebulon gu Naftali karɔ̃ iso. 
MAT.4.14	Ɔsɛ ɔ̃awe i mmɔ, ne ɔso nnɛ i Ɣaa Kanyaɖidze Yesaya ɔɣɛ ɔba i ne ame sɔ,
MAT.4.15+MAT.4.16	“Zebulon gu Naftali maturi
MAT.4.15+MAT.4.16	ma nsi i idududu ame
MAT.4.15+MAT.4.16	i itubu ɔri iso i Yordan ɔkpokpo
MAT.4.15+MAT.4.16	i Galilea ngbegɔ i maturi
MAT.4.15+MAT.4.16	ma loiɖe ma Yudase si ne,
MAT.4.15+MAT.4.16	maanya ikpawaĩ siare.
MAT.4.15+MAT.4.16	Fiɛ mma nsi i karɔ̃ ga iso i kukpi to kuɖe sigara ne,
MAT.4.15+MAT.4.16	ikpawaĩ aafiɛ ifere ma.”
MAT.4.17	Ita i ɔwi gɔgbe ame ne, Yesu ɔtsɛ imomo ipɛ iɣɛ sɔ, “Mifiniki i mi situ ame ala Ɣaa sigara ɔɖewi ɔɔbore ɔbo.”
MAT.4.18	Gɔ Yesu to ɔkila i Galilea ibu kɔrɛ ne, ɔnya manyiibi inyɔ, Simon gɔ marɔ Petro gu ɔ̃ ɔnyiibi Andrea to mapia asabu ala makpɛɖidze maɖe. 
MAT.4.19	Yesu ɔɣere ma sɔ, “Miba miasiai me si loakpesera mi maturi maɖidze mitã Ɣaa.” 
MAT.4.20	Ɔluwɛ̃ ne, manyua ma asabu masɛ marui masiai wũ.
MAT.4.21	Gɔ ɔrui i mmɔ ɔsɛ kɛkɛĩ ne, ɔnya manyiibi inyɔ mama, Yakobo gu Yohanes. Ma gu ma ɔse Zebedeo si i ɔkolo ame mato maledza ma asabu fiɛ Yesu ɔkpere ma. 
MAT.4.22	Ɔluwɛ̃ marui manyua ɔkolo gu ma ɔse masɛ masiai wũ.
MAT.4.23	Yesu ɔwe ɔki i Galilea abuiti ɔɖuɖu ame ɔto ɔte Ɣaa itɔ̃me i ma Yudase kusarɛkɔ̃, ɔɣɛ Sigarakaɖekɔ̃ iso Itɔ̃me Bielea, ɔsa mma ɔɖuɖu nto manyɛ sinyɛ agbãagbã. 
MAT.4.24	Ɔ̃ iso itɔ̃me ɔki ikã i Siria karɔ̃ ɔɖuɖu iso, ne ɔso maturi ɔsore mma ɔɖuɖu nto manyɛ sinyɛ agbãagbã, mma i so to sibo, mma i siwarã lalaa to siɖaa, mma nto manyɛ kakpebubu gu mma lofɛfɛ̃ marɛ ɔɖuɖu ne, Yesu ɔsa ma ɔɖuɖu. 
MAT.4.25	Maturi gbodzoo ɔsiai wũ. Ma mawɛ̃ ɔbɔrɛ i Galilea gu Simagɛ̃ Iweo gu Yerusalem gu Yudea gu nrɔ̃ mɛ mpia i Yordan ɔwore kama isɛ ame.
MAT.5.1	Gɔ Yesu ɔnya maturi gbodzoo ma nsiai wũ ne, ɔya ɔsɛ ɔ̃asɛ i kabemi iso fiɛ ɔ̃ marasuãdze ɔba maasɛ wũ i kɔrɛ. 
MAT.5.2	Ne ɔte ma ara ɔɣɛ sɔ,
MAT.5.3	“So si siɣɔ mma nɣe sɔ mawɛrɛba maɖe i Ɣaa itsue ame.
MAT.5.3	Alasɔ ma ɔkpɛ nɖe Ɣaa sigarakaɖekɔ̃.
MAT.5.4	So si siɣɔ mma nto mamararã so
MAT.5.4	ala ma i Ɣaa aatui kɔrɔ̃ i kagbegbe ne.
MAT.5.5	So si siɣɔ mma lobɔ so karɔ̃,
MAT.5.5	alasɔ ma loaɖe kayiiso ara ne.
MAT.5.6	So si siɣɔ mma anɔ lorɛtɛ i Ɣaa kuɖɔɛ ibara iso,
MAT.5.6	ala Ɣaa to ɔ̃abara ma kuɖɔɛ ɔtã ma.
MAT.5.7	So si siɣɔ mma nsɛ manyɔ maturi nnya,
MAT.5.7	ala ma i Ɣaa aanyɔ nnya ne.
MAT.5.8	So si siɣɔ mma situ ame lokpa,
MAT.5.8	ala ma loanya Ɣaa ne.
MAT.5.9	So si siɣɔ mma nsɛ maledza manyii ndɛ̃,
MAT.5.9	ala ma i Ɣaa aakpere sɔ ɔ̃ mabi ne.
MAT.5.10	So si siɣɔ mma kama i maturi sɛ mati ala Ɣaa kuɖɔɛ ibara ɔso,
MAT.5.10	ala ma ɔkpɛ nɖe Ɣaa sigarakaɖekɔ̃ ne.
MAT.5.11	“So si siɣɔ mi si maturi to matia mi, mati mi kama maɣɛ ara nyanyarĩa wa nɖe mila i mi iso alasɔ miɖe wũ masiaidze ɔso. 
MAT.5.12	So si siɣɔ mi, mina isoɣɔ alasɔ Ɣaa to ɔ̃atã mi kuso siare i kato. Ngbɔ makpɛ̃gu Ɣaa kanyamaɖidze ma loɖe mi katɔ̃ ne.
MAT.5.13	“Mi nse lɛ mma mitã maturi ɔɖuɖu, ɣɛɛ si mma ɔyu me ɔmɛrɛ̃ ne, maisibawo ɔri kuwɛ̃ iso ɔki ɔpia me ɔmɛrɛ̃. Misiina kusia kukuwɛ̃ iɖo sɔ maasu me mawiri maturi ɔsɛ me iso.
MAT.5.14	“Mi nɖe ikpawaĩ mitã kayiiso ɔɖuɖu. Ɔmagɛ̃ gɔ matsue masia i kube iso ne, ɔ̃ibawo ɔwɛrɛ. 
MAT.5.15	Kuwɛ̃ iisɛ ɔtsue ɔkaniɛ ɔsu kapoi ɔfu iso, ɣɛɛ ɔ̃atara ɔsia i kakɔlɛkɔ̃ sɔ ɔ̃asa ɔtã ɔbiara. 
MAT.5.16	Ngbɔ ame i mi sikaniɛ si sisa sitã maturi sɔ maanya mi kurabarara sɛɛ fiɛ maale mi Ɔse gɔ i kato ne.
MAT.5.17	“Loiba lotindza Mose mmara gu Ɣaa kanyamaɖidze ara ite ɖuɖuuɖu, ɣɛɛ loba sɔ si wã ibiara aba i ne ame. 
MAT.5.18	Gbagbaã nto loɣere mi sɔ ayi kumɛgɔ i kato gu karɔ̃ se ne, mmara katotoi ɣee kakpoi kukawɛ̃ iibakpase kabɔrɛ gbɔgbɔɔgbɔ ibiara ɔba i ne ame. 
MAT.5.19	Ne ɔso ɔbiara gɔ loatu mmara kosoi tsɔra fiɛ ɔ̃ate mamama sɔ mabara ngbɔ ne, maakpere wũ ɔtsɔra i Ɣaa sigarakaɖekɔ̃. Ngbɔ ame i ɔbiara gɔ loabara i mmara mɛgbe iso fiɛ ɔ̃ate maturi mama sɔ mabara i me iso ne, maakpere wũ sɔ ɔsiare i Ɣaa sigarakaɖekɔ̃. 
MAT.5.20	Ne ɔso nto loɣere mi sɔ miibawo Ɣaa sigarakaɖekɔ̃ ame ɔbo si mi Ɣaa kuɖɔɛ iso ibara iikɔlɛ iɖo mmara matedze gu ma Farisise ɔkpɛ.
MAT.5.21	“Ɔwiɔ ne, minɔ maɣɛ sɔ, ‘Daaɖoe ɔturi.’ Ngɔ loɖoe ɔturi ne, ɔkote ɔtã atɔ̃me iɣɛgu. 
MAT.5.22	Ɣɛɛ nto loɣere mi sɔ ngɔ lonagu ɔ̃ ɔnyii sikpã ne, ɔkote ɔtã atɔ̃me iɣɛgu. Ngɔ loaɣere ɔ̃ ɔnyiibi sɔ, ‘Ailɛ atã kuira’ ne, makpakpa aaɣɛgu wũ atɔ̃me. Fiɛ ngɔ loakpere ɔ̃ ɔnyiibi sɔ, ‘Bɔi aɖe’ ne, ɔkote ɔtã Ɣaa kutsue ikpadzɛ̃ itɔkpe ame ikɛlɛ. 
MAT.5.23	Ne ɔso si asu karatã ato abɔ Ɣaa isɔrɛkasege iso fiɛ anyigi i mmɔ sɔ irere pia i fɔ ɔnyii ɔtu ame i fɔ iso ne, 
MAT.5.24	nyua fɔ karatã sɛ i isɔrɛkasegetɔ̃ si akpese akɛlɛ mi gu fɔ ɔnyii si misɛ miafere kanya ndu fiɛ aaba aasu fɔ karatã atã Ɣaa.
MAT.5.25	“Si atsue sɔ fɔ ɔnyii to ɔbie sɔ ɔ̃abara-ɔ itɔ̃me ne, nyɔ sɔ miaɣɛ mirara so fiɛ miabo atɔ̃mekaɣɛkɔ̃. Si iiɖe ngbɔ ne, fɔ gu ngɔ lona itɔ̃me to ɔ̃aɖi-ɔ ɔtã atɔ̃meɣɛdze fiɛ atɔ̃meɣɛdze ana aasu-ɔ ɔtã madzuɛ̃se mapia-ɔ i iyo. 
MAT.5.26	Gbaã nto loɣere-ɔ sɔ ato aawe i iyo karɛkɔ̃ gbɔgbɔɔgbɔ ɔwi gɔ atã kuso gɔ ato kapɛrɛ tsɔra aro.
MAT.5.27	“Misɛ minɔ maɣɛ sɔ, ‘Marã gu mare si madaaɖe asɔrɔ̃.’ 
MAT.5.28	Ɣɛɛ nto loɣere mi sɔ si anyɔ ɔrɔ̃go fiɛ ɔkpɛ̃-ɔ ɔkã sɔ aasiai wũ ne, ɔɔsiai wũ koko i fɔ ɔtu ame. 
MAT.5.29	Ne ɔso si fɔ kuɖearɔ̃ inɔmi sɛ itã abara ikpi ne, were ne ɖi pɛyu. Alasɔ si fɔ sosina kakɔi kawɛ̃ ɔkpɛti ne, ilɛ iɖo sɔ Ɣaa asu fɔ kuturidziri ɔɖuɖu ɔpia i itɔkpe nɛ loisɛ inyi ame. 
MAT.5.30	Fiɛ si fɔ kuɖearɔ̃ nsɛ kutã abara ikpi ne, tu kɔ̃ pɛyu. Ilɛ iɖo sɔ fɔ iso kakɔi kawɛ̃ aakpɛti iɖo sɔ Ɣaa asu fɔ kuturidziri ɔɖuɖu ɔfuĩdza ɔpia i itɔkpe nɛ loisɛ inyi ame.
MAT.5.31	“Masɛ maɣɛ sɔ, ‘Ɔrɛrɛ̃ gɔ losɛ̃ ɔ̃ ɔre si ɔtã wũ ɔko gɔ loate sɔ ɔ̃ɔsɛ̃ ɔ̃ ɔre.’ 
