MAT.1.1	Arepa Abraham Chha, ngale Devit Chha, Jisu Krista te awa heh nginkong.
MAT.2.16	Sankat wah hokkte hehma nganâng lâdiapchhah thang ngama Hirot ma thonghun lahma, ate nyahrãng rinkhah wah. Phumma atema Bathlehem ngale kêanâ hah hehwah pânii pumma leta chentô delachha heh ritphe rãng chienwah - Arepa atema merit hông nginpa sankatwah hûtah mihnyan hehwah chohtattah sanpoatma weih lahma ritphewah.
MAT.2.17	Ephumma Mõng Jirimia ma jabtah nginpa toangtang dângwah: 
MAT.2.18	“Rama hahnâng tin alîn tat ekang,
MAT.2.18	nyahrãng chhihsep lahma tat ekang.
MAT.2.18	Rachel ate chha hehrãngma sep eka;
MAT.2.18	atea mihma jekdiap komin jekmah,
MAT.2.18	chenrãngma ngako ate chha heh riiwak eka.”
MAT.2.19	Hirot ritdiko Teso ngintatte ma Josep nâng Igip diaknâng sôngthuko metmãngnâng ngatwah 
MAT.2.20	“Sat o, naa le ate nyongnii sietlohma, Isrial diaknâng ngakwãngen, chenrãngma ngako naachha ritphe rãng phungtepa riitah.” 
MAT.2.21	Ephumma Josep toansat lahma naa le ate nyongnii sietlahma Isrial diaknâng ngakwâng wah.
MAT.2.22	Chenthu Josep ma Achitas pa atewa litko Lowang danglahma Judia diak pa pên eka, ngama tatphumma Josep enâng wângrãng chei rewah. Rohkomin ate metmãngnâng thôkoh phumma, Galilijaa nâng wângwah. 
MAT.2.23	Ngale ate Nazarat hahko sôngwângwah. Ngale mõng hehma jabtah pa toangtang dângwah: “Atenâng Nazaren ngama roomin.”
MAT.3.1	Ere sanpoatko Jon Baptisma Judia wah sehah nâng hûlahma Joban ngin bengphoangthô wah. 
MAT.3.2	Atema ngatwah, “Nepap hehwah hungngaklit en,” “chenrãngma ngako, rangkhethung Hahsông pa lânam hûtha!” 
MAT.3.3	Jon pa Isaia Mõng ma thôtah mihnyan pa dângwah
MAT.3.3	“Sehahkho nâng wathe mihnyan rakeka,
MAT.3.3	‘Teso rãngma lem hôankoh en;
MAT.3.3	Ate khôamrãng lemtin hôankoh en!’ ”
MAT.3.4	Jon khetpa Ut banwah hôanwah; ate roam tumlitko ngemkhoan roamdit pa dit rewah, ngale ate phhekchhah pa kupchhang ngale wunnyahti heh dângwah. 
MAT.3.5	Jeroselem wah, Judia diak chentôwah, ngale Jordan jokêm nâng sôngte chentô mihnyan heh Jon tânâng hokwah. 
MAT.3.6	Mihnyan hehma thinma chentô pap motah heh loatthô rewah, ngale Jon ma thinnâng Jodan joko baptijem kohwah.
MAT.3.7	Jon baptisma ate tânâng Farasi le Saduki heh jahmõang baptijem keprãng hok khelahma, thinnâng ngatwah, “Pû heh - Joban ma chêmchei hokthukrãng ngaeka kowah etape en ngama henma thôkoh ehèn a? 
MAT.3.8	Nea papwah hung lâlittet ngama khesokli moatlem mo en. 
MAT.3.9	Abraham pa nite niwa dângwah ngama ngatko Joban rinkhah thunwah tape e ngama nekthonghun en. Ngama nenâng thôkoh eka, Joban ma are long hehwahmin Abraham chhuchha rãng tahôan a! 
MAT.3.10	Wâka pa bãngrin khohko thien lahma tonga, penri leribãng chentôpa bãngrin thongma runjoat lahma wennâng thhekmin. 
MAT.3.11	Ngama joma hunglit rãng baptijem koheka, rohkomin ngadiko nganoma bâmbâm adong wathe ekara; nga a ate dapheng sêmkoh rãngjô punmek. Atema Asâthôanju ngale Wenma baptijem ekohhèn. 
MAT.3.12	Ate chhah chaaprãng ate dekko wenkhoang sem eka, chhahsek sekpa pumko ekhôanthien a, ngale chhahphathoak heh chenthujô lemut wenko erokthhek a.”
MAT.3.13	Ere sanpoatko Jisu Jordan joko Jon wah baptijem keprãng hokwah. 
MAT.3.14	Rohkomin Jon ma aroh ngalahma lenyok dângwah, “Nganângjô nangma baptijem kohmin dângwah,” “phumma nanga ngawah baptijem keprãng kaeroa!”
MAT.3.15	Phumma Jisu ma Atenâng dânthâng wah, “Athângheh rãngma arohjô chendanga, Joban ma huneka moatlem pa nãngma arohjôba moatmin.” Erediko Jon ma Jisu nâng baptijem kohwah.
MAT.3.16	Jisu baptijem kepdiko jokowah loatkhôam wângwah. Erediko rangkhethung pa Atenâng laangkohwah, ngale atema Joban Jupa wochha rãngrãng kalahma ate khoko tôngkat khewah. 
MAT.3.17	Ngale rangkhethung wah jabkhab hongjab katwah, “Arepa ngachha, ngama Atenâng nyahrãng hun ekang, Ate demnâng nga nyahrãng rinme ekang.”
MAT.4.1	Erediko Juma Jisu lindong lakdong nâng juchhihma hungtôanrãng sietchhoan wah. 
MAT.4.2	Ngih roakbelii pen roakbelii lephhek lechhah thangma tôngdiko Jisu rêmritwah. 
MAT.4.3	Ephumma Jisu tânâng juchhih pa hûlahma ngatwah, “Nanga Joban Chha medang oko, are longheh nâng phhekchhah rãng litjârãng chien o.”
MAT.4.4	Phumma Jisu ma dânthâng wah, “Joban nyapraangma aroh ngaeka, ‘Mihnyan pa phhekchhah junma lolo hîn dangmah, Joban thunwah chentô loatjab eka jabkhab heh junmaba hineki.’ ”
MAT.4.5	Erediko juchhihma Jisu Asâthôan Hahdaang, Jeroselem hahko sietkat lahma, Rangsoamhum khokowah achoang thôanko sietwênwah, 
MAT.4.6	ngale Atenâng ngatwah, “Nanga Joban Chha medang oko, nangdede arekowah jârii katan, chenrãngma ngako Joban nyapraangma ngaeka,
MAT.4.6	‘Joban ma ate ngintatte hehnâng nangrãngma echien a;
MAT.4.6	thindekma nang etãnglo wak ho,
MAT.4.6	Ephumma nangda min longko lebuhrii thangma edango.’ ”
MAT.4.7	Jisu ma dânthâng wah, “Rohkomin Joban nyapraangma arohmin ngaeka, ‘Teso nang Joban nâng hung nektoan.’ ”
MAT.4.8	Erediko juchhihma Jisu nyahrãng hahkongchoang khonâng sietwên lahma hahtokkhoh wah hahsông hahdaang asen chentôpa Atenâng khesokwah. 
MAT.4.9	Juchhih ma ngatwah, “Nangma nganâng dakuhtho lohma rangmesoam hangko,” “are chentôpa ngama nangnâng koh e.”
MAT.4.10	Eko Jisu ma dânthâng wah, “joak, chhoan o!, Joban nyapraangma ngaeka, ‘Nang Joban Teso nâng soam o, ngale atelolo soangraango!’ ”
MAT.4.11	Ephumma juchhih ma Jisu thînphêwah; ngale Joban ngintatte kalahma Jisu nâng chohsok katwah.
MAT.4.12	Chenthu Jisu ma Jon phâtek nâng loatsekpa tatphumma, ate Galili nâng katwah. 
MAT.4.13	Ate Nazarat nâng letong thangma, Jubulon ngale Napthali jaawah Galili josi kahwah Kaparnam hahnâng sôngkatwah. 
MAT.4.14	Arepa Mõng Isaia ma jabtah nginpa toangtang dângkat rãngma hôanwah:
MAT.4.15	“Jubulon ngale Napthali jaa,
MAT.4.15	josi nâng katlem kêmko, jordanjo ranka nâng,
MAT.4.15	Galili, Jews ledangte heh hah!
MAT.4.16	Rangnyek khennâng sôngte mihnyan hehma nyahrãng wenphiak dong echohkhe wak a.
MAT.4.16	Arit amahthin rangnyek hahnâng sôngte mihnyan heh khohnâng wenma ephiakkat a.”
MAT.4.17	Ere sanpoat pumma Jisu ma Joban nginkong bengphoang thôwah: “Ne papwah hunglit en, chenrãngma ngako rangkhethung Hahsông pa lânam hûtha!”
MAT.4.18	Jisu Galili josikem jêngjêngma khoampoatko, Atema ngahloatte pho anaa wanii khewah, Simon piter ngale ate naa Andru, josiko chaakma ngahhat dângwah. 
MAT.4.19	Jisu ma thinnâng ngatwah, “Ngadijun ha, ngama mihnyan loatrãng hethôa.” 
MAT.4.20	Lemlienma thinchaak pa thinphe lahma Jisu dijun wakwah.
MAT.4.21	Noangthe wângko pho anaa wanii, Jems ngale Jon, Jibidi chha wîenkhe wah. Thin a khôankhoko thinwa demko chaak senphin lahma dângwah. Eko Jisu ma thinnâng roowah, 
MAT.4.22	Lemlienma khôankho ngale thinwa phethien lahma Jisu dijun wakwah.
MAT.4.23	Jisu ma Galili jaatang nâng phoangkhoam lahma Sanagog hehnâng hethô, Joban Hahsông Nginkongsen pa phoangthôkoh, ngale jatrup khoanchet, khun atamte heh mesiet rewah. 
MAT.4.24	Ate nginpa Siria diak phangtangma chohtat wah, ephumma mihnyan hehma jatrup khoanchette, khunte: juchhih lupte mihnyan heh, wobuh, kôasôte heh - ate tânâng siethû kolahma atema mesietwah. 
MAT.4.25	Jahmõang mihnyan heh atediko Galili ngale Dekapoli, Jeroselem, Judia, ngale jordanjo rankawah jahmõang mihnyan hehma ate dijun wah.
MAT.5.1	Jisu ma mihnyan heh jahmõang khelahma atea hahhokho nâng wângwah, ngale ereko tôngwângwah. Eko ate dijunte heh ate tumlit khôanhok wah, 
MAT.5.2	Ngale atema thinnâng hethô wah:
MAT.5.3	“Ju rãngma numrii lahma sekmah patritte mihnyan heh rangkepte dângmin;
MAT.5.3	Rangkhethung Hahsông pa thinthiak!
MAT.5.4	Athângheh seblahma tôngte mihnyan heh rangkepte dângmin;
MAT.5.4	Joban ma thinhung esenthuk a!
MAT.5.5	Numnene dângte mihnyan heh rangkepte dângmin;
MAT.5.5	Joban ma toamsem tahpa thinma echoh a!
MAT.5.6	Joban ma chenni huneka ere moatlem pa henma ajahthôan moatrãng huneka ere mihnyan pa rangkepte dângmin;
MAT.5.6	Joban ma thinhung nyahrãng esenthuk a!
MAT.5.7	Mihnâng mînchente heh rangkepte dângmin;
MAT.5.7	Joban ma thinnâng emînchen a!
MAT.5.8	Hungsâ rinsâte mihnyan heh rangkepte dângmin;
MAT.5.8	Thinma Joban echohkhea!
MAT.5.9	Mêmo dângrãngma moatlem moatte heh rangkepte dângmin;
MAT.5.9	Thinnâng Joban Chha ngatmin!
MAT.5.10	Joban ma chenni huneka ere moatlem moatjunko mihnyan hehma chêmthuk eka heh rangkepte dângmin;
MAT.5.10	Rangkhethung Hahsông pa thinrãng!
MAT.5.11	“Chenthu mihnyan ma jôjêm, chêmthuk, ngale ne khohnâng khoanglep methôako, nea rangkepte dângmin, chenrãngma ngako nea ngadijunte. 
MAT.5.12	Khuhah nâhah dangen, chenrãngma ngako rangkhethung nâng nerãngma nyahrãng hînhô dong thienko lahma tonga. Erohjôba nemawah Mõng dangtah hehmin chêmthuk wah.
MAT.5.13	“Nea mihnyan nyuchha rãngma sum rãngrãng. Phumma sumko wah sumtupa mesejâ tahko, erepa ngaktû sietrãng lihân lemkhô ahotu. Erepa mahto lâdangtah, petphe lahma mihnyan dakhen nângba ewoatnek tûa.
MAT.5.14	“Nea hahtokkhoh rãngma wenphiak rãngrãng. Hahho kowah hahsôngpa chenthumin leta bintãngmin. 
MAT.5.15	Henmejô wentitpa toaklahma khokkhenko sekmah; humkhen kowah sôngte chentô nâng khêmphiakrãng, wentit toakthinko etoak a. 
MAT.5.16	Ererãngrãng newen pumma mihnyan heh mathahko phiak en, erohkoba nema moatlemsen moeken pa khelahma rangkhethung wah newa Joban nâng erôwak a.
MAT.5.17	“Ngama Mosa Niemarang ngale Mõng hehma hethôthen heh chhihsiet rãng kaera ngama nekthonghun en. Ngama ereheh chhihsiet rãng kat dangmek, thinma hethôthen heh toangtang dângthukrãng kaerâng. 
MAT.5.18	Thonghun en rangle hah chentô lektong eka, eretôko Niemarang nyapraang kowah phathemin ngale phatû chhamin lemahmin - chentôpa toangtang madang dangkako lemahmin. 
MAT.5.19	Erohwah, henhenma Niemarang kowah moatrãng chieneka arinthôan moatlem pa lemo thangma mihnângmin eroh lemorãng hethôeka, erepa rangkhethung nângmin arinthôanrãng hôanmin. Ngale henhenma Niemarang kowah chieneka moatlem pa phangtang molahma mihnângmin eroh moatrãng hethôeka, erepa rangkhethung nângmin adong thôanrãng hôanmin. 
MAT.5.20	Erohwah, ngama thôkoh eka, Niemarang hethôte le Farasi heh noma toangtang dangletma Joban ma huneka moatlem pa memo enkoba nemin rangkhethung nâng tâwâng min.
MAT.5.21	“Khemako mihnyan hehnâng aroh thôkohpa nema tattet, ‘mih leritphe min; henhenma mihritphe eka erepa metloat thinnâng athe ngama loatmin.’ 
MAT.5.22	Phumma athângheh ngama nenâng thôkoh eka: Henma komin ate pho anaa demnâng rin mekhah ako ate nângmin athe loatmin, ngale henhenma ate pho anaa nâng, ‘nanga chenrãngjô senmoh!’ ngaeka atemin ngoang awang heh tânâng metloatrãng siethokmin, ngale henhenma ate pho anaa nâng nanga aba mahto ngaeka, atemin papwen nâng khâmrit katmin. 
MAT.5.23	Erohwah nang hînhô pa rangsoamhum wah joapsoapthin chaamko thienko lohma Joban nâng rangsoam rãng ngatko nangpho anaa demwah nang kietnoat pa mechhem hun oko, 
MAT.5.24	Nang hînhô pa joapsoapthin chaamko phethien o, ngale lemlienma ngakka lohma nangpho anaa demnâng ngaksen mînka mêngo, erediko ngakwãng lohma nang ngewah hînhô pa Joban nâng kohwãngo.
MAT.5.25	“Henma komin nangnâng athe lolahma metloat thinnâng mesiethû hoko, metloat thinthe hokmako lemko nginpa phenthômîn o. Metloatthin theko mehûsiet thoko, metloatte heh deknâng ekohho, ngale atema sipâhi deknâng kohlahma phâtek nâng esekho. 
MAT.5.26	Ngama thôkoh eka, nema chêngpa phangtang mata tathum eretheko etongen.
MAT.5.27	“Nema aroh ngatah pa chohtattet, ‘Mihdihiak dela kaamchhih nekmo en.’ 
MAT.5.28	Rohkomin athângheh ngama thôkoh eka: Henma komin dihiaknyu nâng phetwan jebjeb sûeka, ate hungnâng ere dihiaknyu demko kaamchhih lâmotah. 
MAT.5.29	Erohwah ne dekchahnge mitma pap medangthuk hènko, ne mitpa loatletma petphe en! chenrãngma ngako nephoang phangtang pap wendônâng khâmritkat noma, nephoang wah chupthe chhihjâ peba ajahthem asen edanga. 
MAT.5.30	Nedek dekchah pumma pap medangthuk hènko, thahdoak letma petphe en! chenrãngma ngako, nephoang phangtang papwendô nâng khâmritkat noma, dekka aho peba ajahthem asen edanga.
MAT.5.31	“Khema nâng arohmin ngatwah, ‘henhenma ate tangnyu chiakphe eka, atema chiakphe nyapraang pa chenraangkoh a’. 
MAT.5.32	Rohkomin athângheh ngama thôkoh eka: Delama ate tangnyu pa mihdela demnâng kaamchhih moatjun wah ledang chiakphe lahma dihiak pa dela hânnâng mengakwãng ako, atema dihiakpa mihdemnâng kaamchhih lâmo thuktah, ngale ere dihiak kepte pummemin kaamchhih lâmotah.
MAT.5.33	“Khema nâng mihnyan hehma aroh thôkoh pa nememin chohtattet, ‘Nema toamsem eken pa nekse en, Teso demnâng chenni moatrãng toamhoantet a erepa mo en.’ 
MAT.5.34	Rohkomin athângheh ngama thôkoh eka: chenthumin toamsem letma kah nekkhetmîn en. Rangkhethung mîn chhehlet memin neksem en, chenrãngma ngako erepa Joban tôngthin; 
MAT.5.35	Hahtokkhoh mîn chhehlet memin neksem en; chenrãngma ngako erepa Joban danekthin; Jeroselem mîn chhehlet memin neksem en, chenrãngma nga erepemin Lowangdong heh sôngthin hah. 
MAT.5.36	Nedede khophang mîn chhehlet memin neksem en, chenrãngma ngako, nema nedede khochoo lathemin taposietmet ngale tanyeksietmet. 
MAT.5.37	Erohwah, ‘danga’ ba ‘dangmah’ ngama lolo nga en, nema erenoma jabkhab bâm mejab enko erepa juchhih ngewah jabeken.
MAT.5.38	“Nema aroh ngat pemin chohtattet, ‘Mit phuhpa mitma litmin, ngale pâ phuhpa pâma litmin.’ 
MAT.5.39	Rohkomin athângheh ngama thôkoh eka: henma komin nerãngma kaamchhih memokoh hènko, thinrãng nekngak chhihmokoh en. Henma komin ne thhenchah ko mewat hènko, thhenhit komin watthuk en. 
MAT.5.40	Ngale henma komin ne chhemchong nyenkep hunma metloat thinnâng mesietchhoan hènko, ne kut pemin koh en. 
MAT.5.41	Erediko henma komin nenâng meethe laang hênhên choanrãng mekhetlo hènko, meenii laang hènchhoankoh en. 
MAT.5.42	Henma komin newah sêmmak metha hènko, ate nângkoh en; ngale henma komin newah sêmmak menêm hènko nêmthuk en.
MAT.5.43	“Nema aroh ngat pemin chohtattet, ‘Ne lemruchha ko hun en, ngale neranko mitchek en.’ 
MAT.5.44	Rohkomin athângheh ngama thôkoh eka; neranko hun en, ngale nechêmsiette rãngma rangsoam koh en, 
MAT.5.45	Eroh koba rangkhethung wah tôngte ne Wa Joban Chharãng eta dangen. Chenrãngma ngako, Atema sanpa mihnyan chhih mihnyansen chentô nâng khoakthe sahthukrãng hôaneka, ngale rangpat pa kaamchhih moatte le kaamsen moatte waniinii rãng hôaneka. 
MAT.5.46	Joban ma chenni rãngma rang ekohhèn a, nenâng hunte mihnyan kololo nema mengak hun enko? eroh pete thãkho thâte mihnyan hehmemin moeka! 
MAT.5.47	Ngale ne lemruchha nânglolo merânjab enko, mihhan noma chenpa bâmsen moeken a? Ererãngrãng pete Joban lejette mihnyan hehmemin moeka. 
MAT.5.48	Rangkhethung wah ne Wa Joban pa asen dangeka rãngrãng nemin asen dangen!
MAT.6.1	“Nema mihnâng chohsok moatlem memo enko mihhehma chenkhehi ngama thonghun letma nok atang chhangko nekmo en. Nema ere moatlempa mihmathah ko memo enko, nema rangkhethung wah newa Joban wah chenjô lechohmin.
MAT.6.2	“Erohwah chenthu nema tangchhih hehnâng chenni komin mechohsû enko, ahuhkhoanglep hehma rangsoamhum ngale noknyu lemdong hehnâng phoang khesok lahma moat rãngrãng rângthôrii letma nekmo en. Thinma arepa mihhehma rângthô chenrehi ngama moeka. Ngama linlin thôkoh eka, thinma chohthinpa phangtang râchohtah. 
MAT.6.3	Rohkomin nema tangchhih hehnâng mechohsû enko, ne lemruchha asenthôan pummemin lejetli mo en. 
MAT.6.4	Nema chohsû eken pa henmejô lejetli mo en. Eroh koba nema ahuh chhama, moeken pa ne Wama, khelahma erethã nenâng rang ekohhèn.
MAT.6.5	“Chenthu ne rangsoamko, ahuhkhoanglep heh rãngrãng neksoam en! thinma anga ngama chenkhêm khehi ngama, rangsoamhum nâng toanchep lahma soamhun eka, ngale noknyu lemdong hehnâng soamhun eka. Ngama linlin thôkoh eka thinma chohthinpa phangtang râchohtah. 
MAT.6.6	Chenthu nema rangsoamko, humkhen nâng wãngletma kâsek sekletma mitma lekhe ne Wa Joban nâng soam en, ngale ne Wa Joban ma ahuh chhama moatpa khelahma nenâng rang ekohhèn.
MAT.6.7	“Chenthu nema rangsoamko, Joban lejette heh rãngrãng, sekhota jabkhab heh nekmenjab en, thinma ranglo soamdi Joban ma echohtat hi ngama thonghun eka. 
MAT.6.8	Thin rãngrãng nekdangen. Ne Wa Joban wah nema thâmama nema chennilem eken a ereheh atema râjettah. 
MAT.6.9	Nema, rangsoampa, aroh soamen:
MAT.6.9	‘Rangkhethung wah nikhu Wa:
MAT.6.9	Nangmîn pa Asâthôan;
MAT.6.10	Nang Hahsông karo;
MAT.6.10	Rangkhethung wah rãngrãng hahkho komin
MAT.6.10	Nanghung junko chendanga.
MAT.6.11	Thejâ nima lem eki phhekchhah pa chohkohhi. 
MAT.6.12	Nirãngma kaamchhih moatte hehnâng nima mapkoh eki rãngrãng,
MAT.6.12	Nipap heh map kohhi.
MAT.6.13	Achhih nâng hung nektoanthuk hi,
MAT.6.13	Juchhih wah pânghi.’ 
MAT.6.14	“Nerãngma kaamchhih moatte hehnâng, nema map mekoh enko, rangkhethung wah ne Wa Joban memin nenâng map ekohhèn. 
MAT.6.15	Nema mihnâng map lekoh kenko, rangkhethung wah ne Wa Joban memin nepap heh map lekohmin.
MAT.6.16	“Chenthu nema lejok lechhah thangma rangsoamko, ahuhkhoanglep heh rãngrãng thhen khukhu nekdangen. Mihnyan hehma lejok lechhah thangma rangsoam pa chenkhehi ngama thinma thhenphãng litsiet wakeka. Ngama nginlinlin thôkoh eka, thinma chohthin pa phangtang râchohtah. 
MAT.6.17	Chenthu ne lejok lechhah thangma rangsoamko, thhenmut ngale khopa khit re en, 
MAT.6.18	Eroh koba nema lejok lechhah thangma rangsoam pa mihma lejetmin - mitma lekhe, ne Wa Joban, meloloba ejet a. Ngale nema ahuh chhama moeken pa ne Wa Joban ma khelahma, nenâng rang ekohhèn.
MAT.6.19	“Hahtokkhoh ko techhu dângrãng nekkhôanjôan en, dõng ngale chhinma ethôan chhihphhek a, ngale ahuhte ma chhihsiet lahma ehuh a. 
MAT.6.20	Ere noma rangkhethung nâng techhu dângrãng khôanjôan en, enâng dõng ngale chhin memin tachhihsiet mah, ngale ahuhte memin chhihsiet lahma tahuhmah. 
MAT.6.21	Erohwah chenko ne ngun akem heh thien eken a, ereko nehung nerin min edanga.
MAT.6.22	“Mitpa phoang rãngma wentit rãngrãng. Ne mitpa asen medang ako, ne phoang phangtang aphiak dângmin; 
MAT.6.23	Rohkomin nemit pa achhih medang ako, ne phoangmin rangnyek dângmin. Phumma newah phiak pa aho medang ako, arepa chentô cheili nyek dângmin a!
MAT.6.24	“Henjô tângte wanii haa tadang mah; atema watheko chhihchoh erea, ngale watheko sênchoh erea; wathe nginpa senthemthem ekep a, ngale wathe nginpa lekep edanga. Nema Joban ngale ngun akem wanniinii taroam khoakhem met.
MAT.6.25	“Erohwah ngama thôkoh eka, chenni jokphhek chhah lihma hîn ajômin a ngama neksekmah en, erediko ne phoangko poh athok khet akhurãng memin neksekmah en. Jokphhek chhah noma phoangpa adong ledangne? ngale khet akhu noma phoangpa adong ledangne? 
MAT.6.26	Wo hehnâng sûtan en: Thinma chenmin khiet alimah, ngale pum nângmin khôankhen thienmah; rohkomin rangkhethung wah ne Wa Joban ma sûare wakeka! Nea wo heh noma ajahthem thãchaan ledangne? 
MAT.6.27	Nekhu chhangwah henkomin patrii sekmah letma roandông chuthe tabâm leknyan en a?
MAT.6.28	“Ngale khet akhurãng chenrãngma sekmah eken a? Sûtan en, wunwah chongpô heh chenroh dongeka: Thinma moatlemmin momah, ngale khet akhumin hôanmah. 
MAT.6.29	Rohkomin ngama thôkoh eka, Solomon Lowang tumin chhu alu ngale khetsen khusen tonglahma ere chongpô wanthe sêntô dangho. 
