GEN.1.1	In the beginning
GEN.7.19	Then the water surged even higher on the earth, and all the high mountains under the whole sky were covered. 
GEN.7.20	The mountains were covered as the water surged above them more than twenty feet.
GEN.7.21	Every creature perished — those that crawl on the earth, birds, livestock, wildlife, and those that swarm
GEN.7.22	Everything with the breath of the spirit of life in its nostrils
GEN.7.23	He wiped out every living thing that was on the face of the earth, from mankind to livestock, to creatures that crawl, to the birds of the sky, and they were wiped off the earth. Only Noah was left, and those that were with him in the ark.
GEN.7.24	And the water surged on the earth 150 days.
GEN.8.1	God remembered Noah,
GEN.8.2	The sources of the watery depths and the floodgates of the sky were closed, and the rain from the sky stopped.
GEN.8.3	The water steadily receded from the earth, and by the end of 150 days the water had decreased significantly.
GEN.8.4	The ark came to rest in the seventh month, on the seventeenth day of the month, on the mountains of Ararat.
GEN.8.5	The water continued to recede until the tenth month; in the tenth month, on the first day of the month, the tops of the mountains were visible. 
GEN.8.6	After forty days Noah opened the window of the ark that he had made, 
GEN.8.7	and he sent out a raven. It went back and forth until the water had dried up from the earth. 
GEN.8.8	Then he sent out a dove to see whether the water on the earth’s surface had gone down, 
GEN.8.9	but the dove found no resting place for its foot. It returned to him in the ark because water covered the surface of the whole earth. He reached out and brought it into the ark to himself. 
GEN.8.10	So Noah waited seven more days and sent out the dove from the ark again. 
GEN.8.11	When the dove came to him at evening, there was a plucked olive leaf in its beak. So Noah knew that the water on the earth’s surface had gone down. 
GEN.8.12	After he had waited another seven days, he sent out the dove, but it did not return to him again. 
GEN.8.13	In the six hundred and first year,
GEN.8.14	By the twenty-seventh day of the second month, the earth was dry.
GEN.8.15	Then God spoke to Noah, 
GEN.8.16	“Come out of the ark, you, your wife, your sons, and your sons’ wives with you. 
GEN.8.17	Bring out all the living creatures
GEN.8.18	So Noah, along with his sons, his wife, and his sons’ wives, came out. 
GEN.8.19	All the animals, all the creatures that crawl, and all the flying creatures — everything that moves on the earth — came out of the ark by their families.
GEN.8.20	Then Noah built an altar to the 
GEN.8.21	When the 
GEN.8.22	As long as the earth endures,
GEN.8.22	seedtime and harvest, cold and heat,
GEN.8.22	summer and winter, and day and night
GEN.8.22	will not cease.”
GEN.9.1	God blessed Noah and his sons and said to them, “Be fruitful and multiply and fill the earth.
GEN.9.2	The fear and terror of you will be in every living creature on the earth, every bird of the sky, every creature that crawls on the ground, and all the fish of the sea. They are placed under your authority.
GEN.9.3	Every creature that lives and moves will be food for you;
GEN.9.4	However, you must not eat meat with its lifeblood in it.
GEN.9.5	And I will require a penalty for your lifeblood;
GEN.9.6	Whoever sheds human blood,
GEN.9.6	by humans his blood will be shed,
GEN.9.6	for God made humans in his image.
GEN.9.7	But you, be fruitful and multiply; spread out over the earth and multiply on it.”
GEN.9.8	Then God said to Noah and his sons with him, 
GEN.9.9	“Understand that I am establishing my covenant
GEN.9.10	and with every living creature that is with you — birds, livestock, and all wildlife of the earth that are with you — all the animals of the earth that came out of the ark. 
GEN.9.11	I establish my covenant with you that never again will every creature be wiped out by floodwaters; there will never again be a flood to destroy the earth.”
GEN.9.12	And God said, “This is the sign of the covenant
GEN.9.13	I have placed my bow in the clouds,
GEN.9.14	Whenever I form clouds over the earth and the bow appears in the clouds, 
GEN.9.15	I will remember my covenant
GEN.9.16	The bow will be in the clouds, and I will look at it and remember the permanent covenant
GEN.9.17	God said to Noah, “This is the sign of the covenant that I have established between me and every creature on earth.”
GEN.9.18	Noah’s sons who came out of the ark were Shem, Ham, and Japheth. Ham was the father of Canaan. 
GEN.9.19	These three were Noah’s sons, and from them the whole earth was populated.
GEN.9.20	Noah, as a man of the soil, began by planting
GEN.9.21	He drank some of the wine, became drunk, and uncovered himself inside his tent. 
GEN.9.22	Ham, the father of Canaan, saw his father naked and told his two brothers outside.
GEN.9.23	Then Shem and Japheth took a cloak and placed it over both their shoulders, and walking backward, they covered their father’s nakedness. Their faces were turned away, and they did not see their father naked.
GEN.9.24	When Noah awoke from his drinking and learned what his youngest son had done to him, 
GEN.9.25	he said:
GEN.9.25	Canaan is cursed.
GEN.9.25	He will be the lowest of slaves to his brothers.
GEN.9.26	He also said:
GEN.9.26	Blessed be the 
GEN.9.26	Let Canaan be
GEN.9.27	Let God extend Japheth;
GEN.9.27	let Japheth dwell in the tents of Shem;
GEN.9.27	let Canaan be Shem’s slave.
GEN.9.28	Now Noah lived 350 years after the flood. 
GEN.9.29	So Noah’s life lasted 950 years; then he died.
GEN.10.1	These are the family records
GEN.10.2	Japheth’s sons:
GEN.10.3	Gomer’s sons: Ashkenaz, Riphath, and Togarmah. 
GEN.10.4	And Javan’s sons: Elishah, Tarshish,
GEN.10.5	From these descendants, the peoples of the coasts and islands spread out into their lands according to their clans in their nations, each with its own language.
GEN.10.6	Ham’s sons:
GEN.10.7	Cush’s sons: Seba, Havilah, Sabtah, Raamah, and Sabteca. And Raamah’s sons: Sheba and Dedan.
GEN.10.8	Cush fathered Nimrod, who began to be powerful in the land. 
GEN.10.9	He was a powerful hunter in the sight of the 
GEN.10.10	His kingdom started with Babylon,
GEN.10.11	From that land he went to Assyria
GEN.10.12	and Resen, between Nineveh and the great city Calah.
GEN.10.13	Mizraim
GEN.10.14	Pathrus, Casluh (the Philistines came from them), and Caphtor.
GEN.10.15	Canaan fathered Sidon his firstborn and Heth, 
GEN.10.16	as well as the Jebusites, the Amorites, the Girgashites,
GEN.10.17	the Hivites, the Arkites, the Sinites, 
GEN.10.18	the Arvadites, the Zemarites, and the Hamathites. Afterward the Canaanite clans scattered. 
GEN.10.19	The Canaanite border went from Sidon going toward Gerar as far as Gaza, and going toward Sodom, Gomorrah, Admah, and Zeboiim as far as Lasha.
GEN.10.20	These are Ham’s sons by their clans, according to their languages, in their lands and their nations.
GEN.10.21	And Shem, Japheth’s older brother, also had sons. Shem was the father of all the sons of Eber.
GEN.10.22	Shem’s sons
GEN.10.23	Aram’s sons: Uz, Hul, Gether, and Mash.
GEN.10.24	Arpachshad fathered
GEN.10.25	Eber had two sons. One was named Peleg,
GEN.10.26	And Joktan fathered Almodad, Sheleph, Hazarmaveth, Jerah, 
GEN.10.27	Hadoram, Uzal, Diklah, 
GEN.10.28	Obal, Abimael, Sheba, 
GEN.10.29	Ophir, Havilah, and Jobab. All these were Joktan’s sons. 
GEN.10.30	Their settlements extended from Mesha to Sephar, the eastern hill country.
GEN.10.31	These are Shem’s sons by their clans, according to their languages, in their lands and their nations.
GEN.10.32	These are the clans of Noah’s sons, according to their family records, in their nations. The nations on earth spread out from these after the flood.
GEN.11.1	The whole earth had the same language and vocabulary.
GEN.11.2	As people
GEN.11.3	They said to each other, “Come, let us make oven-fired bricks.” (They used brick for stone and asphalt
GEN.11.4	And they said, “Come, let us build ourselves a city and a tower with its top in the sky.
GEN.11.5	Then the 
GEN.11.6	The 
GEN.11.7	Come, let’s go down there and confuse their language so that they will not understand one another’s speech.” 
GEN.11.8	So from there the 
GEN.11.9	Therefore it is called Babylon,
GEN.11.10	These are the family records
GEN.11.11	After he fathered Arpachshad, Shem lived 500 years and fathered other sons and daughters. 
GEN.11.12	Arpachshad lived 35 years
GEN.11.13	After he fathered Shelah, Arpachshad lived 403 years and fathered other sons and daughters. 
GEN.11.14	Shelah lived 30 years and fathered Eber. 
GEN.11.15	After he fathered Eber, Shelah lived 403 years and fathered other sons and daughters. 
GEN.11.16	Eber lived 34 years and fathered Peleg. 
GEN.11.17	After he fathered Peleg, Eber lived 430 years and fathered other sons and daughters. 
GEN.11.18	Peleg lived 30 years and fathered Reu. 
GEN.11.19	After he fathered Reu, Peleg lived 209 years and fathered other sons and daughters. 
GEN.11.20	Reu lived 32 years and fathered Serug. 
GEN.11.21	After he fathered Serug, Reu lived 207 years and fathered other sons and daughters. 
GEN.11.22	Serug lived 30 years and fathered Nahor. 
GEN.11.23	After he fathered Nahor, Serug lived 200 years and fathered other sons and daughters. 
GEN.11.24	Nahor lived 29 years and fathered Terah.
GEN.11.25	After he fathered Terah, Nahor lived 119 years and fathered other sons and daughters. 
GEN.11.26	Terah lived 70 years and fathered Abram, Nahor, and Haran.
GEN.11.27	These are the family records of Terah. Terah fathered Abram, Nahor, and Haran, and Haran fathered Lot. 
GEN.11.28	Haran died in his native land, in Ur of the Chaldeans, during his father Terah’s lifetime. 
GEN.11.29	Abram and Nahor took wives: Abram’s wife was named Sarai,
GEN.11.30	Sarai was unable to conceive;
GEN.11.31	Terah took his son Abram, his grandson Lot (Haran’s son), and his daughter-in-law Sarai, his son Abram’s wife, and they set out together from Ur of the Chaldeans
GEN.11.32	Terah lived 205 years and died in Haran.
GEN.12.1	The 
GEN.12.1	Go out from your land,
GEN.12.1	your relatives,
GEN.12.1	and your father’s house
GEN.12.1	to the land that I will show you.
GEN.12.2	I will make you into a great nation,
GEN.12.2	I will bless you,
GEN.12.2	I will make your name great,
GEN.12.2	and you will be a blessing.
GEN.12.3	I will bless those who bless you,
GEN.12.3	I will curse anyone who treats you with contempt,
GEN.12.3	and all the peoples
GEN.12.3	will be blessed
GEN.12.4	So Abram went, as the 
GEN.12.5	He took his wife Sarai, his nephew Lot, all the possessions they had accumulated, and the people they had acquired in Haran, and they set out for the land of Canaan. When they came to the land of Canaan, 
GEN.12.6	Abram passed through the land to the site of Shechem,
GEN.12.7	The 
GEN.12.8	From there he moved on to the hill country east of Bethel and pitched his tent, with Bethel on the west and Ai on the east. He built an altar to the 
GEN.12.9	Then Abram journeyed by stages to the Negev.
GEN.12.10	There was a famine in the land,
GEN.12.11	When he was about to enter Egypt, he said to his wife Sarai, “Look, I know what a beautiful woman you are. 
GEN.12.12	When the Egyptians see you, they will say, ‘This is his wife.’ They will kill me but let you live.
GEN.12.13	Please say you’re my sister so it will go well for me because of you, and my life will be spared on your account.” 
GEN.12.14	When Abram entered Egypt, the Egyptians saw that the woman was very beautiful. 
GEN.12.15	Pharaoh’s officials saw her and praised her to Pharaoh, so the woman was taken to Pharaoh’s household. 
GEN.12.16	He treated Abram well because of her, and Abram acquired flocks and herds, male and female donkeys, male and female slaves, and camels.
GEN.12.17	But the 
GEN.12.18	So Pharaoh sent for Abram and said, “What have you done to me? Why didn’t you tell me she was your wife? 
GEN.12.19	Why did you say, ‘She’s my sister,’ so that I took her as my wife? Now, here is your wife. Take her and go!” 
GEN.12.20	Then Pharaoh gave his men orders about him, and they sent him away with his wife and all he had.
GEN.13.1	Abram went up from Egypt to the Negev
GEN.13.2	Abram was very rich in livestock, silver, and gold. 
GEN.13.3	He went by stages from the Negev to Bethel, to the place between Bethel and Ai where his tent had formerly been, 
GEN.13.4	to the site where he had built the altar. And Abram called on the name of the 
GEN.13.5	Now Lot, who was traveling with Abram, also had flocks, herds, and tents. 
GEN.13.6	But the land was unable to support them as long as they stayed together, for they had so many possessions that they could not stay together,
GEN.13.7	and there was quarreling between the herdsmen of Abram’s livestock and the herdsmen of Lot’s livestock.
GEN.13.8	So Abram said to Lot, “Please, let’s not have quarreling between you and me, or between your herdsmen and my herdsmen, since we are relatives.
GEN.13.9	Isn’t the whole land before you? Separate from me: if you go to the left, I will go to the right; if you go to the right, I will go to the left.”
GEN.13.10	Lot looked out and saw that the entire plain
GEN.13.11	So Lot chose the entire plain of the Jordan for himself. Then Lot journeyed eastward, and they separated from each other. 
GEN.13.12	Abram lived in the land of Canaan, but Lot lived in the cities on the plain and set up his tent near Sodom. 
GEN.13.13	(Now the men of Sodom were evil, sinning immensely
GEN.13.14	After Lot had separated from him, the 
GEN.13.15	for I will give you and your offspring forever all the land that you see.
GEN.13.16	I will make your offspring like the dust of the earth,
GEN.13.17	Get up and walk around the land, through its length and width, for I will give it to you.”
GEN.13.18	So Abram moved his tent and went to live near the oaks of Mamre at Hebron,
GEN.14.1	In those days King Amraphel of Shinar,
GEN.14.2	waged war against King Bera of Sodom, King Birsha of Gomorrah, King Shinab of Admah, and King Shemeber of Zeboiim,
GEN.14.3	All of these came as allies to the Siddim Valley (that is, the Dead Sea
GEN.14.4	They were subject to Chedorlaomer for twelve years, but in the thirteenth year they rebelled. 
GEN.14.5	In the fourteenth year Chedorlaomer and the kings who were with him came and defeated the Rephaim
GEN.14.6	and the Horites
GEN.14.7	Then they came back to invade En-mishpat (that is, Kadesh
GEN.14.8	Then the king of Sodom, the king of Gomorrah, the king of Admah, the king of Zeboiim, and the king of Bela (that is, Zoar) went out and lined up for battle in the Siddim Valley 
GEN.14.9	against King Chedorlaomer of Elam, King Tidal of Goiim, King Amraphel of Shinar, and King Arioch of Ellasar — four kings against five. 
GEN.14.10	Now the Siddim Valley contained many asphalt pits, and as the kings of Sodom and Gomorrah fled, some fell into them,
GEN.14.11	The four kings took all the goods of Sodom and Gomorrah and all their food and went on. 
GEN.14.12	They also took Abram’s nephew Lot and his possessions, for he was living in Sodom,
GEN.14.13	One of the survivors came and told Abram the Hebrew,
GEN.14.14	When Abram heard that his relative had been taken prisoner, he assembled
GEN.14.15	And he and his servants deployed against them by night, defeated them, and pursued them as far as Hobah to the north of Damascus. 
GEN.14.16	He brought back all the goods and also his relative Lot and his goods, as well as the women and the other people.
GEN.14.17	After Abram returned from defeating Chedorlaomer and the kings who were with him, the king of Sodom went out to meet him in the Shaveh Valley (that is, the King’s Valley
GEN.14.18	Melchizedek, king of Salem,
GEN.14.19	He blessed him and said:
GEN.14.19	Abram is blessed by God Most High,
GEN.14.19	Creator
GEN.14.20	and blessed be God Most High
GEN.14.20	who has handed over your enemies to you.
GEN.14.20	And Abram gave him a tenth of everything.
GEN.14.21	Then the king of Sodom said to Abram, “Give me the people, but take the possessions for yourself.”
GEN.14.22	But Abram said to the king of Sodom, “I have raised my hand in an oath to the 
GEN.14.23	that I will not take a thread or sandal strap or anything that belongs to you, so you can never say, ‘I made Abram rich.’ 
GEN.14.24	I will take nothing
GEN.15.1	After these events, the word of the 
GEN.15.1	Do not be afraid,
GEN.15.1	I am your shield;
GEN.15.1	your reward will be very great.
GEN.15.2	But Abram said, “Lord 
GEN.15.3	Abram continued, “Look, you have given me no offspring, so a slave born in
GEN.15.4	Now the word of the 
GEN.15.5	He took him outside and said, “Look at the sky and count the stars, if you are able to count them.” Then he said to him, “Your offspring will be that numerous.”
GEN.15.6	Abram believed the 
GEN.15.7	He also said to him, “I am the 
GEN.15.8	But he said, “Lord 
GEN.15.9	He said to him, “Bring me a three-year-old cow, a three-year-old female goat, a three-year-old ram, a turtledove, and a young pigeon.”
GEN.15.10	So he brought all these to him, cut them in half, and laid the pieces opposite each other, but he did not cut the birds
GEN.15.11	Birds of prey came down on the carcasses, but Abram drove them away. 
GEN.15.12	As the sun was setting, a deep sleep
GEN.15.13	Then the 
GEN.15.14	However, I will judge the nation they serve,
GEN.15.15	But you will go to your fathers in peace and be buried at a good old age.
GEN.15.16	In the fourth generation they will return here, for the iniquity of the Amorites has not yet reached its full measure.”
GEN.15.17	When the sun had set and it was dark, a smoking fire pot and a flaming torch appeared and passed between the divided animals. 
GEN.15.18	On that day the 
GEN.15.19	the land of the Kenites, Kenizzites, Kadmonites, 
GEN.15.20	Hethites, Perizzites, Rephaim, 
