GEN.1.1	 In the beginning
1SA.28.5	 When Saul saw the camp of the Philistines, he was absolutely terrified.
1SA.28.6	 So Saul inquired of the 
1SA.28.7	 So Saul instructed his servants, “Find me a woman who is a medium,
1SA.28.8	 So Saul disguised himself and put on other clothing and left, accompanied by two of his men. They came to the woman at night and said, “Use your ritual pit to conjure up for me the one I tell you.”
1SA.28.9	 But the woman said to him, “Look, you are aware of what Saul has done; he has removed
1SA.28.10	 But Saul swore an oath to her by the 
1SA.28.11	 The woman replied, “Who is it that I should bring up for you?” He said, “Bring up for me Samuel.”
1SA.28.12	 When the woman saw Samuel, she cried out loudly.
1SA.28.13	 The king said to her, “Don’t be afraid! What have you seen?” The woman replied to Saul, “I have seen one like a god
1SA.28.14	 He said to her, “What about his appearance?” She said, “An old man is coming up! He is wrapped in a robe!”
1SA.28.14	Then Saul realized it was Samuel, and he bowed his face toward the ground and kneeled down. 
1SA.28.15	 Samuel said to Saul, “Why have you disturbed me by bringing me up?” Saul replied, “I am terribly troubled! The Philistines are fighting against me and God has turned away from me. He does not answer me – not by the prophets nor by dreams. So I have called on you to tell me what I should do.”
1SA.28.16	 Samuel said, “Why are you asking me, now that the 
1SA.28.17	 The 
1SA.28.18	 Since you did not obey the 
1SA.28.19	 The 
1SA.28.20	 Saul quickly fell full length on the ground and was very afraid because of Samuel’s words. He was completely drained of energy,
1SA.28.21	 When the woman came to Saul and saw how terrified he was, she said to him, “Your servant has done what you asked.
1SA.28.22	 Now it’s your turn to listen to your servant! Let me set before you a bit of bread so that you can eat. When you regain your strength, you can go on your way.”
1SA.28.23	 But he refused, saying, “I won’t eat!” Both his servants and the woman urged
1SA.28.24	 Now the woman
1SA.28.25	 She brought it to Saul and his servants, and they ate. Then they arose and left that same night.
1SA.29.1	 The Philistines assembled all their troops
1SA.29.2	 When the leaders of the Philistines were passing in review at the head of their units of hundreds and thousands,
1SA.29.3	 The leaders of the Philistines asked, “What about these Hebrews?” Achish said to the leaders of the Philistines, “Isn’t this David, the servant of King Saul of Israel, who has been with me for quite some time?
1SA.29.4	 But the leaders of the Philistines became angry with him and said
1SA.29.5	 Isn’t this David, of whom they sang as they danced,
1SA.29.5	‘Saul has struck down his thousands,
1SA.29.5	but David his tens of thousands’?”
1SA.29.6	 So Achish summoned David and said to him, “As surely as the 
1SA.29.7	 So turn and leave
1SA.29.8	 But David said to Achish, “What have I done? What have you found in your servant from the day that I first came into your presence until the present time, that I shouldn’t go and fight the enemies of my lord the king?” 
1SA.29.9	 Achish replied to David, “I am convinced that you are as reliable
1SA.29.10	 So get up early in the morning along with the servants of your lord who have come with you.
1SA.29.11	 So David and his men got up early in the morning to return
1SA.30.1	 On the third day David and his men came to Ziklag. Now the Amalekites had raided the Negev and Ziklag. They attacked Ziklag and burned it.
1SA.30.2	 They took captive the women who were in it, from the youngest to the oldest, but they did not kill anyone. They simply carried them off and went on their way. 
1SA.30.3	 When David and his men came to the city, they found it burned.
1SA.30.4	 Then David and the men
1SA.30.5	 David’s two wives had been taken captive – Ahinoam the Jezreelite and Abigail the Carmelite, Nabal’s widow. 
1SA.30.6	 David was very upset, for the men
1SA.30.7	 Then David said to the priest Abiathar son of Ahimelech, “Bring me the ephod.” So Abiathar brought the ephod to David. 
1SA.30.8	 David inquired of the 
1SA.30.9	 So David went, accompanied by his six hundred men. When he came to the Wadi Besor, those who were in the rear stayed there.
1SA.30.10	 David and four hundred men continued the pursuit, but two hundred men who were too exhausted to cross the Wadi Besor stayed there. 
1SA.30.11	 Then they found an Egyptian in the field and brought him to David. They gave him bread to eat and water to drink. 
1SA.30.12	 They gave him a slice of pressed figs and two bunches of raisins to eat. This greatly refreshed him,
1SA.30.13	 David said to him, “To whom do you belong, and where are you from?” The young man said, “I am an Egyptian, the servant of an Amalekite man. My master abandoned me when I was ill for three days. 
1SA.30.14	 We conducted a raid on the Negev of the Kerethites, on the area of Judah, and on the Negev of Caleb. We burned Ziklag.”
1SA.30.15	 David said to him, “Can you take us down to this raiding party?” He said, “Swear to me by God that you will not kill me or hand me over to my master, and I will take you down to this raiding party.”
1SA.30.16	 So he took David
1SA.30.17	 But David struck them down from twilight until the following evening. None of them escaped, with the exception of four hundred young men who got away on camels.
1SA.30.18	 David retrieved everything the Amalekites had taken; he
1SA.30.19	 There was nothing missing, whether small or great. He retrieved sons and daughters, the plunder, and everything else they had taken.
1SA.30.20	 David took all the flocks and herds and drove them in front of the rest of the animals. People were saying, “This is David’s plunder!”
1SA.30.21	 Then David approached the two hundred men who had been too exhausted to go with him,
1SA.30.22	 But all the evil and worthless men among those who had gone with David said, “Since they didn’t go with us,
1SA.30.23	 But David said, “No! You shouldn’t do this, my brothers. Look at what the 
1SA.30.24	 Who will listen to you in this matter? The portion of the one who went down into the battle will be the same as the portion of the one who remained with the equipment! Let their portions be the same!” 
1SA.30.25	 From that time onward it was a binding ordinance
1SA.30.26	 When David came to Ziklag, he sent some of the plunder to the elders of Judah who were his friends, saying, “Here’s a gift
1SA.30.27	 The gift was for those in the following locations:
1SA.30.28	 for those in Aroer, Siphmoth, Eshtemoa, 
1SA.30.29	 and Racal; for those in the cities of the Jerahmeelites and Kenites; 
1SA.30.30	 for those in Hormah, Bor Ashan, Athach, 
1SA.30.31	 and Hebron; and for those in whatever other places David and his men had traveled. 
1SA.31.1	 Now the Philistines were fighting against Israel. The men of Israel fled from the Philistines and many of them fell dead on Mount Gilboa. 
1SA.31.2	 The Philistines stayed right on the heels
1SA.31.3	 Saul himself was in the thick of the battle;
1SA.31.4	 Saul said to his armor bearer, “Draw your sword and stab me with it! Otherwise these uncircumcised people will come, stab me, and torture me.” But his armor bearer refused to do it, because he was very afraid. So Saul took his sword and fell on it. 
1SA.31.5	 When his armor bearer saw that Saul was dead, he also fell on his own sword and died with him. 
1SA.31.6	 So Saul, his three sons, his armor bearer, and all his men died together that day. 
1SA.31.7	 When the men of Israel who were in the valley and across the Jordan saw that the men of Israel had fled and that Saul and his sons were dead, they abandoned the cities and fled. The Philistines came and occupied them. 
1SA.31.8	 The next day, when the Philistines came to strip loot from the corpses, they discovered Saul and his three sons lying dead
1SA.31.9	 They cut off Saul’s
1SA.31.10	 They placed Saul’s armor in the temple of the Ashtoreths
1SA.31.11	 When the residents of Jabesh Gilead heard what the Philistines had done to Saul, 
1SA.31.12	 all their warriors set out and traveled throughout the night. They took Saul’s corpse and the corpses of his sons from the city wall of Beth Shan and went
1SA.31.13	 They took the bones and buried them under the tamarisk tree at Jabesh; then they fasted for seven days.
2SA.1.1	 After the death of Saul,
2SA.1.2	 On the third day a man arrived from the camp of Saul with his clothes torn and dirt on his head.
2SA.1.3	 David asked him, “Where are you coming from?” He replied, “I have escaped from the camp of Israel.” 
2SA.1.4	 David inquired, “How were things going?
2SA.1.5	 David said to the young man
2SA.1.6	 The young man who was telling him this
2SA.1.7	 When he turned around and saw me, he called out to me. I answered, ‘Here I am!’ 
2SA.1.8	 He asked me, ‘Who are you?’ I told him, ‘I’m
2SA.1.9	 He said to me, ‘Stand over me and finish me off!
2SA.1.10	 So I stood over him and put him to death, since I knew that he couldn’t live in such a condition.
2SA.1.11	 David then grabbed his own clothes
2SA.1.12	 They lamented and wept and fasted until evening because Saul, his son Jonathan, the 
2SA.1.13	 David said to the young man who told this to him, “Where are you from?” He replied, “I am an Amalekite, the son of a resident foreigner.”
2SA.1.14	 David replied to him, “How is it that you were not afraid to reach out your hand to destroy the 
2SA.1.15	 Then David called one of the soldiers
2SA.1.16	 David said to him, “Your blood be on your own head! Your own mouth has testified against you, saying ‘I have put the 
2SA.1.17	 Then David chanted this lament over Saul and his son Jonathan. 
2SA.1.18	 (He gave instructions that the people of Judah should be taught “The Bow.”
2SA.1.19	 The beauty
2SA.1.19	How the mighty have fallen!
2SA.1.20	 Don’t report it in Gath,
2SA.1.20	don’t spread the news in the streets of Ashkelon,
2SA.1.20	or the daughters of the Philistines will rejoice,
2SA.1.20	the daughters of the uncircumcised will celebrate!
2SA.1.21	 O mountains of Gilboa, 
2SA.1.21	may there be no dew or rain on you, nor fields of grain offerings!
2SA.1.21	For it was there that the shield of warriors was defiled;
2SA.1.21	the shield of Saul lies neglected without oil.
2SA.1.22	 From the blood of the slain, from the fat of warriors,
2SA.1.22	the bow of Jonathan was not turned away.
2SA.1.22	The sword of Saul never returned
2SA.1.23	 Saul and Jonathan were greatly loved
2SA.1.23	and not even in their deaths were they separated.
2SA.1.23	They were swifter than eagles, stronger than lions.
2SA.1.24	 O daughters of Israel, weep over Saul,
2SA.1.24	who clothed you in scarlet
2SA.1.24	who put gold jewelry on your clothes.
2SA.1.25	 How the warriors have fallen
2SA.1.25	in the midst of battle!
2SA.1.25	Jonathan lies slain on your high places!
2SA.1.26	 I grieve over you, my brother Jonathan!
2SA.1.26	You were very dear to me.
2SA.1.26	Your love was more special to me than the love of women.
2SA.1.27	 How the warriors have fallen!
2SA.1.27	The weapons of war
2SA.2.1	 Afterward David inquired of the 
2SA.2.2	 So David went up, along with his two wives, Ahinoam the Jezreelite and Abigail, formerly the wife of Nabal the Carmelite. 
2SA.2.3	 David also brought along the men who were with him, each with his family. They settled in the cities
2SA.2.4	 The men of Judah came and there they anointed David as king over the people
2SA.2.4	David was told,
2SA.2.5	 So David sent messengers to the people of Jabesh Gilead and told them, “May you be blessed by the 
2SA.2.6	 Now may the 
2SA.2.7	 Now be courageous
2SA.2.8	 Now Abner son of Ner, the general in command of Saul’s army, had taken Saul’s son Ish-bosheth
2SA.2.9	 He appointed him king over Gilead, the Geshurites,
2SA.2.10	 Ish-bosheth son of Saul was forty years old when he began to rule over Israel. He ruled two years. However, the people
2SA.2.11	 David was king in Hebron over the people of Judah for seven and a half years.
2SA.2.12	 Then Abner son of Ner and the servants of Ish-bosheth son of Saul went out from Mahanaim to Gibeon. 
2SA.2.13	 Joab son of Zeruiah and the servants of David also went out and confronted them at the pool of Gibeon. One group stationed themselves on one side of the pool, and the other group on the other side of the pool. 
2SA.2.14	 Abner said to Joab, “Let the soldiers get up and fight
2SA.2.15	 So they got up and crossed over by number: twelve belonging to Benjamin and to Ish-bosheth son of Saul, and twelve from the servants of David. 
2SA.2.16	 As they grappled with one another, each one stabbed his opponent with his sword and they fell dead together.
2SA.2.17	 Now the battle was very severe that day; Abner and the men of Israel were overcome by David’s soldiers.
2SA.2.18	 The three sons of Zeruiah were there – Joab, Abishai, and Asahel. (Now Asahel was as quick on his feet as one of the gazelles in the field.) 
2SA.2.19	 Asahel chased Abner, without turning to the right or to the left as he followed Abner.
2SA.2.20	 Then Abner turned and asked, “Is that you, Asahel?” He replied, “Yes it is!” 
2SA.2.21	 Abner said to him, “Turn aside to your right or to your left. Capture one of the soldiers
2SA.2.22	 So Abner spoke again to Asahel, “Turn aside from following me! I do not want to strike you to the ground.
2SA.2.23	 But Asahel
2SA.2.24	 So Joab and Abishai chased Abner. At sunset they came to the hill of Ammah near Giah on the way to the wilderness of Gibeon. 
2SA.2.25	 The Benjaminites formed their ranks
2SA.2.26	 Then Abner called out to Joab, “Must the sword devour forever? Don’t you realize that this will turn bitter in the end? When will you tell the people to turn aside from pursuing their brothers?” 
2SA.2.27	 Joab replied, “As surely as God lives, if you had not said this, it would have been morning before the people would have abandoned pursuit
2SA.2.28	 Then Joab blew the ram’s horn and all the people stopped in their tracks.
2SA.2.29	 Abner and his men went through the Arabah all that night. They crossed the Jordan River
2SA.2.30	 Now Joab returned from chasing Abner and assembled all the people. Nineteen of David’s soldiers were missing, in addition to Asahel. 
2SA.2.31	 But David’s soldiers had slaughtered the Benjaminites and Abner’s men – in all, 360 men had died! 
2SA.2.32	 They took Asahel’s body and buried him in his father’s tomb at Bethlehem.
2SA.3.1	 However, the war was prolonged between the house of Saul and the house of David. David was becoming steadily stronger, while the house of Saul was becoming increasingly weaker.
2SA.3.2	 Now sons were born to David in Hebron. His firstborn was Amnon, born to Ahinoam the Jezreelite. 
2SA.3.3	 His second son
2SA.3.4	 His fourth son was Adonijah, the son of Haggith. His fifth son was Shephatiah, the son of Abitail. 
2SA.3.5	 His sixth son was Ithream, born to David’s wife Eglah. These sons
2SA.3.6	 As the war continued between the house of Saul and the house of David, Abner was becoming more influential
2SA.3.7	 Now Saul had a concubine named Rizpah daughter of Aiah. Ish-bosheth
2SA.3.8	 These words of Ish-bosheth really angered Abner and he said, “Am I the head of a dog that belongs to Judah? This very day I am demonstrating
2SA.3.9	 God will severely judge Abner
2SA.3.10	 namely, to transfer the kingdom from the house of Saul and to establish the throne of David over Israel and over Judah all the way from Dan to Beer Sheba!” 
2SA.3.11	 Ish-bosheth
2SA.3.12	 Then Abner sent messengers
2SA.3.13	 So David said, “Good! I will make an agreement with you. I ask only one thing from you. You will not see my face unless you bring Saul’s daughter Michal when you come to visit me.”
2SA.3.14	 David sent messengers to Ish-bosheth son of Saul with this demand:
2SA.3.15	 So Ish-bosheth took her
2SA.3.16	 Her husband went along behind her, weeping all the way to Bahurim. Finally Abner said to him, “Go back!”
2SA.3.17	 Abner advised
2SA.3.18	 Act now! For the 
2SA.3.19	 Then Abner spoke privately
2SA.3.20	 When Abner, accompanied by twenty men, came to David in Hebron, David prepared a banquet for Abner and the men who were with him. 
2SA.3.21	 Abner said to David, “Let me leave so that I may go and gather all Israel to my lord the king so that they may make an agreement
2SA.3.22	 Now David’s soldiers
2SA.3.23	 When Joab and all the army that was with him arrived, Joab was told: “Abner the son of Ner came to the king; he sent him away, and he left in peace!”
2SA.3.24	 So Joab went to the king and said, “What have you done? Abner
2SA.3.25	 You know Abner the son of Ner! Surely he came here to spy on you and to determine when you leave and when you return
2SA.3.26	 Then Joab left David and sent messengers after Abner. They brought him back from the well of Sirah. (But David was not aware of it.) 
2SA.3.27	 When Abner returned to Hebron, Joab took him aside at the gate as if to speak privately with him. Joab then stabbed him
2SA.3.28	 When David later heard about this, he said, “I and my kingdom are forever innocent before the 
2SA.3.29	 May his blood whirl over
2SA.3.30	 So Joab and his brother Abishai killed Abner, because he had killed their brother Asahel in Gibeon during the battle.
2SA.3.31	 David instructed Joab and all the people who were with him, “Tear your clothes! Put on sackcloth! Lament before Abner!” Now King David followed
2SA.3.32	 So they buried Abner in Hebron. The king cried loudly
2SA.3.33	 The king chanted the following lament for Abner:
2SA.3.33	“Should Abner have died like a fool?
2SA.3.34	 Your hands
2SA.3.34	and your feet were not put into irons.
2SA.3.34	You fell the way one falls before criminals.”
2SA.3.34	All the people
2SA.3.35	 Then all the people came and encouraged David to eat food while it was still day. But David took an oath saying, “God will punish me severely
2SA.3.36	 All the people noticed this and it pleased them.
2SA.3.37	 All the people and all Israel realized on that day that the killing of Abner son of Ner was not done at the king’s instigation.
2SA.3.38	 Then the king said to his servants, “Do you not realize that a great leader
2SA.3.39	 Today I am weak, even though I am anointed as king. These men, the sons of Zeruiah, are too much for me to bear!
2SA.4.1	 When Ish-bosheth
2SA.4.2	 Now Saul’s son
2SA.4.3	 for the Beerothites fled to Gittaim and have remained there as resident foreigners until the present time.)
2SA.4.4	 Now Saul’s son Jonathan had a son who was crippled in both feet. He was five years old when the news about Saul and Jonathan arrived from Jezreel. His nurse picked him up and fled, but in her haste to get away, he fell and was injured.
2SA.4.5	 Now the sons of Rimmon the Beerothite – Recab and Baanah – went at the hottest part of the day to the home of Ish-bosheth, as he was enjoying his midday rest. 
2SA.4.6	 They
2SA.4.7	 They had entered
2SA.4.8	 They brought the head of Ish-bosheth to David in Hebron, saying to the king, “Look! The head of Ish-bosheth son of Saul, your enemy who sought your life! The 
2SA.4.9	 David replied to Recab and his brother Baanah, the sons of Rimmon the Beerothite, “As surely as the 
2SA.4.10	 when someone told me that Saul was dead – even though he thought he was bringing good news
2SA.4.11	 Surely when wicked men have killed an innocent man as he slept
2SA.4.12	 So David issued orders to the soldiers and they put them to death. Then they cut off their hands and feet and hung them
2SA.5.1	 All the tribes of Israel came to David at Hebron saying, “Look, we are your very flesh and blood!
2SA.5.2	 In the past, when Saul was our king, you were the real leader in Israel.
2SA.5.3	 When all the leaders
2SA.5.4	 David was thirty years old when he began to reign and he reigned for forty years. 
2SA.5.5	 In Hebron he reigned over Judah for seven years and six months, and in Jerusalem
2SA.5.6	 Then the king and his men advanced to Jerusalem
2SA.5.7	 But David captured the fortress of Zion (that is, the city of David). 
2SA.5.8	 David said on that day, “Whoever attacks the Jebusites must approach the ‘lame’ and the ‘blind’ who are David’s enemies
2SA.5.9	 So David lived in the fortress and called it the City of David. David built all around it, from the terrace inwards. 
2SA.5.10	 David’s power grew steadily, for the 
2SA.5.11	 King Hiram of Tyre
2SA.5.12	 David realized that the 
2SA.5.13	 David married more concubines and wives from Jerusalem after he arrived from Hebron. Even more sons and daughters were born to David. 
2SA.5.14	 These are the names of children born to him in Jerusalem: Shammua, Shobab, Nathan, Solomon, 
2SA.5.15	 Ibhar, Elishua, Nepheg, Japhia, 
2SA.5.16	 Elishama, Eliada, and Eliphelet. 
2SA.5.17	 When the Philistines heard that David had been designated
2SA.5.18	 Now the Philistines had arrived and spread out in the valley of Rephaim. 
2SA.5.19	 So David asked the 
2SA.5.20	 So David marched against Baal Perazim and defeated them there. Then he said, “The 
2SA.5.21	 The Philistines
2SA.5.22	 The Philistines again came up and spread out in the valley of Rephaim. 
2SA.5.23	 So David asked the 
2SA.5.24	 When you hear the sound of marching in the tops of the trees, act decisively. For at that moment the 
2SA.5.25	 David did just as the 
2SA.6.1	 David again assembled
2SA.6.2	 David and all the men who were with him traveled
2SA.6.3	 They loaded the ark of God on a new cart and carried it from the house of Abinadab, which was on the hill. Uzzah and Ahio, the sons of Abinadab, were guiding the new cart. 
2SA.6.4	 They brought
2SA.6.5	 while David and all Israel
2SA.6.6	 When they arrived at the threshing floor of Nacon,
2SA.6.7	 The 
2SA.6.8	 David was angry because the 
2SA.6.9	 David was afraid of the 
2SA.6.10	 So David was no longer willing to bring the ark of the 
2SA.6.11	 The ark of the 
2SA.6.12	 David was told,
2SA.6.13	 Those who carried the ark of the 
2SA.6.14	 Now David, wearing a linen ephod, was dancing with all his strength before the 
2SA.6.15	 David and all Israel
2SA.6.16	 As the ark of the 
2SA.6.17	 They brought the ark of the 
2SA.6.18	 When David finished offering the burnt sacrifices and peace offerings, he pronounced a blessing over the people in the name of the 
2SA.6.19	 He then handed out to each member of the entire assembly of Israel,
2SA.6.20	 When David went home to pronounce a blessing on his own house,
2SA.6.21	 David replied to Michal, “It was before the 
2SA.6.22	 I am willing to shame and humiliate myself even more than this!
2SA.6.23	 Now Michal, Saul’s daughter, had no children to the day of her death.
2SA.7.1	 The king settled into his palace,
2SA.7.2	 The king said to Nathan the prophet, “Look! I am living in a palace made from cedar, while the ark of God sits in the middle of a tent.” 
2SA.7.3	 Nathan replied to the king, “You should go
2SA.7.4	 That night the 
2SA.7.5	 “Go, tell my servant David: ‘This is what the 
2SA.7.6	 I have not lived in a house from the time I brought the Israelites up from Egypt to the present day. Instead, I was traveling with them and living in a tent.
2SA.7.7	 Wherever I moved among all the Israelites, I did not say
2SA.7.8	 “So now, say this to my servant David: ‘This is what the 
2SA.7.9	 I was with you wherever you went, and I defeated
2SA.7.10	 I will establish a place for my people Israel and settle
2SA.7.11	 and during the time when I appointed judges to lead my people Israel. Instead, I will give you relief
2SA.7.12	 When the time comes for you to die,
2SA.7.13	 He will build a house for my name, and I will make his dynasty permanent.
2SA.7.14	 I will become his father and he will become my son. When he sins, I will correct him with the rod of men and with wounds inflicted by human beings. 
2SA.7.15	 But my loyal love will not be removed from him as I removed it from Saul, whom I removed from before you. 
2SA.7.16	 Your house and your kingdom will stand before me
2SA.7.17	 Nathan told David all these words that were revealed to him.
2SA.7.18	 King David went in, sat before the 
2SA.7.19	 And you didn’t stop there, O 
2SA.7.20	 What more can David say to you? You have given your servant special recognition,
2SA.7.21	 For the sake of your promise and according to your purpose
2SA.7.22	 Therefore you are great, O 
2SA.7.23	 Who is like your people, Israel, a unique nation
2SA.7.24	 You made Israel your very own people for all time.
2SA.7.25	 So now, O 
2SA.7.26	 so you may gain lasting fame,
2SA.7.27	 for you, O 
2SA.7.28	 Now, O sovereign 
2SA.7.29	 Now be willing to bless your servant’s dynasty
2SA.8.1	 Later David defeated the Philistines and subdued them. David took Metheg Ammah
2SA.8.2	 He defeated the Moabites. He made them lie on the ground and then used a rope to measure them off. He put two-thirds of them to death and spared the other third.
2SA.8.3	 David defeated King Hadadezer son of Rehob of Zobah when he came to reestablish
2SA.8.4	 David seized from him 1,700 charioteers
2SA.8.5	 The Arameans of Damascus came to help King Hadadezer of Zobah, but David killed 22,000 of the Arameans. 
2SA.8.6	 David placed garrisons in the territory of the Arameans of Damascus; the Arameans became David’s subjects and brought tribute. The 
2SA.8.7	 David took the golden shields that belonged to Hadadezer’s servants and brought them to Jerusalem.
2SA.8.8	 From Tebah
2SA.8.9	 When King Toi
2SA.8.10	 he
2SA.8.11	 King David dedicated these things to the 
2SA.8.12	 including
2SA.8.13	 David became famous
2SA.8.14	 He placed garrisons throughout Edom,
2SA.8.15	 David reigned over all Israel; he guaranteed justice for all his people.
2SA.8.16	 Joab son of Zeruiah was general in command of
2SA.8.17	 Zadok son of Ahitub and Ahimelech son of Abiathar
2SA.8.18	 Benaiah son of Jehoida supervised
2SA.9.1	 Then David asked, “Is anyone still left from the family
2SA.9.2	 Now there was a servant from Saul’s house named Ziba, so he was summoned to David. The king asked him, “Are you Ziba?” He replied, “At your service.”
2SA.9.3	 The king asked, “Is there not someone left from Saul’s family,
2SA.9.4	 The king asked him, “Where is he?” Ziba told the king, “He is at the house of Makir son of Ammiel in Lo Debar.
2SA.9.5	 So King David had him brought
2SA.9.6	 When Mephibosheth son of Jonathan, the son of Saul, came to David, he bowed low with his face toward the ground.
2SA.9.7	 David said to him, “Don’t be afraid, because I will certainly extend kindness to you for the sake of Jonathan your father. You will be a regular guest at my table.”
2SA.9.8	 Then Mephibosheth
2SA.9.9	 Then the king summoned Ziba, Saul’s attendant, and said to him, “Everything that belonged to Saul and to his entire house I hereby give to your master’s grandson. 
2SA.9.10	 You will cultivate
2SA.9.11	 Ziba said to the king, “Your servant will do everything that my lord the king has instructed his servant to do.” So Mephibosheth was a regular guest
2SA.9.12	 Now Mephibosheth had a young son whose name was Mica. All the members of Ziba’s household were Mephibosheth’s servants. 
2SA.9.13	 Mephibosheth was living in Jerusalem,
2SA.10.1	 Later the king of the Ammonites died and his son Hanun succeeded him.
2SA.10.2	 David said, “I will express my loyalty
2SA.10.3	 the Ammonite officials said to their lord Hanun, “Do you really think David is trying to honor your father by sending these messengers to express his sympathy?
2SA.10.4	 So Hanun seized David’s servants and shaved off half of each one’s beard. He cut the lower part of their robes off so that their buttocks were exposed,
2SA.10.5	 Messengers
2SA.10.6	 When the Ammonites realized that David was disgusted with them,
2SA.10.7	 When David heard the news, he sent Joab and the entire army to meet them.
2SA.10.8	 The Ammonites marched out and were deployed for battle at the entrance of the city gate, while the men from Aram Zobah, Rehob, Ish-tob, and Maacah were by themselves in the field.
2SA.10.9	 When Joab saw that the battle would be fought on two fronts, he chose some of Israel’s best men and deployed them against the Arameans.
2SA.10.10	 He put his brother Abishai in charge of the rest of the army
2SA.10.11	 Joab
2SA.10.12	 Be strong! Let’s fight bravely for the sake of our people and the cities of our God! The 
2SA.10.13	 So Joab and his men
2SA.10.14	 When the Ammonites saw the Arameans flee, they fled before his brother Abishai and went into the city. Joab withdrew from fighting the Ammonites and returned to
2SA.10.15	 When the Arameans realized that they had been defeated by Israel, they consolidated their forces.
2SA.10.16	 Then Hadadezer sent for Arameans from
2SA.10.17	 When David was informed, he gathered all Israel, crossed the Jordan River,
2SA.10.18	 The Arameans fled before Israel. David killed 700 Aramean charioteers and 40,000 foot soldiers.
2SA.10.19	 When all the kings who were subject to Hadadezer
2SA.11.1	 In the spring of the year, at the time when kings
2SA.11.2	 One evening David got up from his bed and walked around on the roof of his palace.
2SA.11.3	 So David sent someone to inquire about the woman. The messenger
2SA.11.4	 David sent some messengers to get her.
2SA.11.5	 The woman conceived and then sent word to David saying, “I’m pregnant.” 
2SA.11.6	 So David sent a message to Joab that said, “Send me Uriah the Hittite.” So Joab sent Uriah to David. 
2SA.11.7	 When Uriah came to him, David asked about how Joab and the army were doing and how the campaign was going.
2SA.11.8	 Then David said to Uriah, “Go down to your home and relax.”
2SA.11.9	 But Uriah stayed at the door of the palace with all
2SA.11.10	 So they informed David, “Uriah has not gone down to his house.” So David said to Uriah, “Haven’t you just arrived from a journey? Why haven’t you gone down to your house?” 
2SA.11.11	 Uriah replied to David, “The ark and Israel and Judah reside in temporary shelters, and my lord Joab and my lord’s soldiers are camping in the open field. Should I go to my house to eat and drink and have marital relations
2SA.11.12	 So David said to Uriah, “Stay here another day. Tomorrow I will send you back.” So Uriah stayed in Jerusalem both that day and the following one.
2SA.11.13	 Then David summoned him. He ate and drank with him, and got him drunk. But in the evening he went out to sleep on his bed with the servants of his lord; he did not go down to his own house.
2SA.11.14	 In the morning David wrote a letter to Joab and sent it with Uriah. 
2SA.11.15	 In the letter he wrote: “Station Uriah in the thick of the battle and then withdraw from him so he will be cut down and killed.”
2SA.11.16	 So as Joab kept watch on the city, he stationed Uriah at the place where he knew the best enemy soldiers
2SA.11.17	 When the men of the city came out and fought with Joab, some of David’s soldiers
2SA.11.18	 Then Joab sent a full battle report to David.
2SA.11.19	 He instructed the messenger as follows: “When you finish giving the battle report to the king, 
2SA.11.20	 if the king becomes angry and asks you, ‘Why did you go so close to the city to fight? Didn’t you realize they would shoot from the wall? 
2SA.11.21	 Who struck down Abimelech the son of Jerub-Besheth? Didn’t a woman throw an upper millstone
2SA.11.22	 So the messenger departed. When he arrived, he informed David of all the news that Joab had sent with him. 
2SA.11.23	 The messenger said to David, “The men overpowered us and attacked us
2SA.11.24	 Then the archers shot at your servants from the wall and some of the king’s soldiers
2SA.11.25	 David said to the messenger, “Tell Joab, ‘Don’t let this thing upset you.
2SA.11.26	 When Uriah’s wife heard that her husband Uriah was dead, she mourned for him.
2SA.11.27	 When the time of mourning passed, David had her brought to his palace.
2SA.12.1	 So the 
2SA.12.2	 The rich man had a great many flocks and herds. 
2SA.12.3	 But the poor man had nothing except for a little lamb he had acquired. He raised it, and it grew up alongside him and his children.
2SA.12.4	 “When a traveler arrived at the rich man’s home,
2SA.12.5	 Then David became very angry at this man. He said to Nathan, “As surely as the 
2SA.12.6	 Because he committed this cold-hearted crime, he must pay for the lamb four times over!”
2SA.12.7	 Nathan said to David, “You are that man! This is what the 
2SA.12.8	 I gave you your master’s house, and put your master’s wives into your arms.
2SA.12.9	 Why have you shown contempt for the word of the 
2SA.12.10	 So now the sword will never depart from your house. For you have despised me by taking the wife of Uriah the Hittite as your own!’ 
2SA.12.11	 This is what the 
2SA.12.12	 Although you have acted in secret, I will do this thing before all Israel, and in broad daylight.’”
2SA.12.13	 Then David exclaimed to Nathan, “I have sinned against the 
2SA.12.14	 Nonetheless, because you have treated the 
2SA.12.15	 Then Nathan went to his home. The 
2SA.12.16	 Then David prayed to
2SA.12.17	 The elders of his house stood over him and tried to lift him from the ground, but he was unwilling, and refused to eat food with them.
2SA.12.18	 On the seventh day the child died. But the servants of David were afraid to inform him that the child had died, for they said, “While the child was still alive he would not listen to us
2SA.12.19	 When David saw that his servants were whispering to one another, he
2SA.12.20	 So David got up from the ground, bathed, put on oil, and changed his clothes. He went to the house of the 
2SA.12.21	 His servants said to him, “What is this that you have done? While
2SA.12.22	 He replied, “While the child was still alive, I fasted and wept because I thought,
2SA.12.23	 But now he is dead. Why should I fast? Am I able to bring him back? I will go to him, but he cannot return to me!’” 
2SA.12.24	 So David comforted his wife Bathsheba. He went to her and had marital relations with her.
2SA.12.25	 and sent word through Nathan the prophet that he should be named Jedidiah
