GEN.1.1	In the beginning, God created the heavens and the earth. 
JDG.19.16	And behold, an old man was coming from his work in the field at evening. The man was from the hill country of Ephraim, and he was sojourning in Gibeah. The men of the place were Benjaminites. 
JDG.19.17	And he lifted up his eyes and saw the traveler in the open square of the city. And the old man said, "Where are you going? And where do you come from?" 
JDG.19.18	And he said to him, "We are passing from Bethlehem in Judah to the remote parts of the hill country of Ephraim, from which I come. I went to Bethlehem in Judah, and I am going to the house of the 
JDG.19.19	We have straw and feed for our donkeys, with bread and wine for me and your female servant and the young man with your servants. There is no lack of anything." 
JDG.19.20	And the old man said, "Peace be to you; I will care for all your wants. Only, do not spend the night in the square." 
JDG.19.21	So he brought him into his house and gave the donkeys feed. And they washed their feet, and ate and drank. 
JDG.19.22	As they were making their hearts merry, behold, the men of the city, worthless fellows, surrounded the house, beating on the door. And they said to the old man, the master of the house, "Bring out the man who came into your house, that we may know him." 
JDG.19.23	And the man, the master of the house, went out to them and said to them, "No, my brothers, do not act so wickedly; since this man has come into my house, do not do this vile thing. 
JDG.19.24	Behold, here are my virgin daughter and his concubine. Let me bring them out now. Violate them and do with them what seems good to you, but against this man do not do this outrageous thing." 
JDG.19.25	But the men would not listen to him. So the man seized his concubine and made her go out to them. And they knew her and abused her all night until the morning. And as the dawn began to break, they let her go. 
JDG.19.26	And as morning appeared, the woman came and fell down at the door of the man's house where her master was, until it was light. 
JDG.19.27	And her master rose up in the morning, and when he opened the doors of the house and went out to go on his way, behold, there was his concubine lying at the door of the house, with her hands on the threshold. 
JDG.19.28	He said to her, "Get up, let us be going." But there was no answer. Then he put her on the donkey, and the man rose up and went away to his home. 
JDG.19.29	And when he entered his house, he took a knife, and taking hold of his concubine he divided her, limb by limb, into twelve pieces, and sent her throughout all the territory of Israel. 
JDG.19.30	And all who saw it said, "Such a thing has never happened or been seen from the day that the people of Israel came up out of the land of Egypt until this day; consider it, take counsel, and speak." 
JDG.20.1	Then all the people of Israel came out, from Dan to Beersheba, including the land of Gilead, and the congregation assembled as one man to the 
JDG.20.2	And the chiefs of all the people, of all the tribes of Israel, presented themselves in the assembly of the people of God, 400,000 men on foot that drew the sword. 
JDG.20.3	(Now the people of Benjamin heard that the people of Israel had gone up to Mizpah.) And the people of Israel said, "Tell us, how did this evil happen?" 
JDG.20.4	And the Levite, the husband of the woman who was murdered, answered and said, "I came to Gibeah that belongs to Benjamin, I and my concubine, to spend the night. 
JDG.20.5	And the leaders of Gibeah rose against me and surrounded the house against me by night. They meant to kill me, and they violated my concubine, and she is dead. 
JDG.20.6	So I took hold of my concubine and cut her in pieces and sent her throughout all the country of the inheritance of Israel, for they have committed abomination and outrage in Israel. 
JDG.20.7	Behold, you people of Israel, all of you, give your advice and counsel here." 
JDG.20.8	And all the people arose as one man, saying, "None of us will go to his tent, and none of us will return to his house. 
JDG.20.9	But now this is what we will do to Gibeah: we will go up against it by lot, 
JDG.20.10	and we will take ten men of a hundred throughout all the tribes of Israel, and a hundred of a thousand, and a thousand of ten thousand, to bring provisions for the people, that when they come they may repay Gibeah of Benjamin for all the outrage that they have committed in Israel." 
JDG.20.11	So all the men of Israel gathered against the city, united as one man. 
JDG.20.12	And the tribes of Israel sent men through all the tribe of Benjamin, saying, "What evil is this that has taken place among you? 
JDG.20.13	Now therefore give up the men, the worthless fellows in Gibeah, that we may put them to death and purge evil from Israel." But the Benjaminites would not listen to the voice of their brothers, the people of Israel. 
JDG.20.14	Then the people of Benjamin came together out of the cities to Gibeah to go out to battle against the people of Israel. 
JDG.20.15	And the people of Benjamin mustered out of their cities on that day 26,000 men who drew the sword, besides the inhabitants of Gibeah, who mustered 700 chosen men. 
JDG.20.16	Among all these were 700 chosen men who were left-handed; every one could sling a stone at a hair and not miss. 
JDG.20.17	And the men of Israel, apart from Benjamin, mustered 400,000 men who drew the sword; all these were men of war. 
JDG.20.18	The people of Israel arose and went up to Bethel and inquired of God, "Who shall go up first for us to fight against the people of Benjamin?" And the 
JDG.20.19	Then the people of Israel rose in the morning and encamped against Gibeah. 
JDG.20.20	And the men of Israel went out to fight against Benjamin, and the men of Israel drew up the battle line against them at Gibeah. 
JDG.20.21	The people of Benjamin came out of Gibeah and destroyed on that day 22,000 men of the Israelites. 
JDG.20.22	But the people, the men of Israel, took courage, and again formed the battle line in the same place where they had formed it on the first day. 
JDG.20.23	And the people of Israel went up and wept before the 
JDG.20.24	So the people of Israel came near against the people of Benjamin the second day. 
JDG.20.25	And Benjamin went against them out of Gibeah the second day, and destroyed 18,000 men of the people of Israel. All these were men who drew the sword. 
JDG.20.26	Then all the people of Israel, the whole army, went up and came to Bethel and wept. They sat there before the 
JDG.20.27	And the people of Israel inquired of the 
JDG.20.28	and Phinehas the son of Eleazar, son of Aaron, ministered before it in those days), saying, "Shall we go out once more to battle against our brothers, the people of Benjamin, or shall we cease?" And the 
JDG.20.29	So Israel set men in ambush around Gibeah. 
JDG.20.30	And the people of Israel went up against the people of Benjamin on the third day and set themselves in array against Gibeah, as at other times. 
JDG.20.31	And the people of Benjamin went out against the people and were drawn away from the city. And as at other times they began to strike and kill some of the people in the highways, one of which goes up to Bethel and the other to Gibeah, and in the open country, about thirty men of Israel. 
JDG.20.32	And the people of Benjamin said, "They are routed before us, as at the first." But the people of Israel said, "Let us flee and draw them away from the city to the highways." 
JDG.20.33	And all the men of Israel rose up out of their place and set themselves in array at Baal-tamar, and the men of Israel who were in ambush rushed out of their place from Maareh-geba. 
JDG.20.34	And there came against Gibeah 10,000 chosen men out of all Israel, and the battle was hard, but the Benjaminites did not know that disaster was close upon them. 
JDG.20.35	And the 
JDG.20.36	So the people of Benjamin saw that they were defeated. 
JDG.20.36	The men of Israel gave ground to Benjamin, because they trusted the men in ambush whom they had set against Gibeah. 
JDG.20.37	Then the men in ambush hurried and rushed against Gibeah; the men in ambush moved out and struck all the city with the edge of the sword. 
JDG.20.38	Now the appointed signal between the men of Israel and the men in the main ambush was that when they made a great cloud of smoke rise up out of the city 
JDG.20.39	the men of Israel should turn in battle. Now Benjamin had begun to strike and kill about thirty men of Israel. They said, "Surely they are defeated before us, as in the first battle." 
JDG.20.40	But when the signal began to rise out of the city in a column of smoke, the Benjaminites looked behind them, and behold, the whole of the city went up in smoke to heaven. 
JDG.20.41	Then the men of Israel turned, and the men of Benjamin were dismayed, for they saw that disaster was close upon them. 
JDG.20.42	Therefore they turned their backs before the men of Israel in the direction of the wilderness, but the battle overtook them. And those who came out of the cities were destroying them in their midst. 
JDG.20.43	Surrounding the Benjaminites, they pursued them and trod them down from Nohah as far as opposite Gibeah on the east. 
JDG.20.44	Eighteen thousand men of Benjamin fell, all of them men of valor. 
JDG.20.45	And they turned and fled toward the wilderness to the rock of Rimmon. Five thousand men of them were cut down in the highways. And they were pursued hard to Gidom, and 2,000 men of them were struck down. 
JDG.20.46	So all who fell that day of Benjamin were 25,000 men who drew the sword, all of them men of valor. 
JDG.20.47	But 600 men turned and fled toward the wilderness to the rock of Rimmon and remained at the rock of Rimmon four months. 
JDG.20.48	And the men of Israel turned back against the people of Benjamin and struck them with the edge of the sword, the city, men and beasts and all that they found. And all the towns that they found they set on fire. 
JDG.21.1	Now the men of Israel had sworn at Mizpah, "No one of us shall give his daughter in marriage to Benjamin." 
JDG.21.2	And the people came to Bethel and sat there till evening before God, and they lifted up their voices and wept bitterly. 
JDG.21.3	And they said, "O 
JDG.21.4	And the next day the people rose early and built there an altar and offered burnt offerings and peace offerings. 
JDG.21.5	And the people of Israel said, "Which of all the tribes of Israel did not come up in the assembly to the 
JDG.21.6	And the people of Israel had compassion for Benjamin their brother and said, "One tribe is cut off from Israel this day. 
JDG.21.7	What shall we do for wives for those who are left, since we have sworn by the 
JDG.21.8	And they said, "What one is there of the tribes of Israel that did not come up to the 
JDG.21.9	For when the people were mustered, behold, not one of the inhabitants of Jabesh-gilead was there. 
JDG.21.10	So the congregation sent 12,000 of their bravest men there and commanded them, "Go and strike the inhabitants of Jabesh-gilead with the edge of the sword; also the women and the little ones. 
JDG.21.11	This is what you shall do: every male and every woman that has lain with a male you shall devote to destruction." 
JDG.21.12	And they found among the inhabitants of Jabesh-gilead 400 young virgins who had not known a man by lying with him, and they brought them to the camp at Shiloh, which is in the land of Canaan. 
JDG.21.13	Then the whole congregation sent word to the people of Benjamin who were at the rock of Rimmon and proclaimed peace to them. 
JDG.21.14	And Benjamin returned at that time. And they gave them the women whom they had saved alive of the women of Jabesh-gilead, but they were not enough for them. 
JDG.21.15	And the people had compassion on Benjamin because the 
JDG.21.16	Then the elders of the congregation said, "What shall we do for wives for those who are left, since the women are destroyed out of Benjamin?" 
JDG.21.17	And they said, "There must be an inheritance for the survivors of Benjamin, that a tribe not be blotted out from Israel. 
JDG.21.18	Yet we cannot give them wives from our daughters." For the people of Israel had sworn, "Cursed be he who gives a wife to Benjamin." 
JDG.21.19	So they said, "Behold, there is the yearly feast of the 
JDG.21.20	And they commanded the people of Benjamin, saying, "Go and lie in ambush in the vineyards 
JDG.21.21	and watch. If the daughters of Shiloh come out to dance in the dances, then come out of the vineyards and snatch each man his wife from the daughters of Shiloh, and go to the land of Benjamin. 
JDG.21.22	And when their fathers or their brothers come to complain to us, we will say to them, 'Grant them graciously to us, because we did not take for each man of them his wife in battle, neither did you give them to them, else you would now be guilty.'" 
JDG.21.23	And the people of Benjamin did so and took their wives, according to their number, from the dancers whom they carried off. Then they went and returned to their inheritance and rebuilt the towns and lived in them. 
JDG.21.24	And the people of Israel departed from there at that time, every man to his tribe and family, and they went out from there every man to his inheritance. 
JDG.21.25	In those days there was no king in Israel. Everyone did what was right in his own eyes. 
RUT.1.1	In the days when the judges ruled there was a famine in the land, and a man of Bethlehem in Judah went to sojourn in the country of Moab, he and his wife and his two sons. 
RUT.1.2	The name of the man was Elimelech and the name of his wife Naomi, and the names of his two sons were Mahlon and Chilion. They were Ephrathites from Bethlehem in Judah. They went into the country of Moab and remained there. 
RUT.1.3	But Elimelech, the husband of Naomi, died, and she was left with her two sons. 
RUT.1.4	These took Moabite wives; the name of the one was Orpah and the name of the other Ruth. They lived there about ten years, 
RUT.1.5	and both Mahlon and Chilion died, so that the woman was left without her two sons and her husband. 
RUT.1.6	Then she arose with her daughters-in-law to return from the country of Moab, for she had heard in the fields of Moab that the 
RUT.1.7	So she set out from the place where she was with her two daughters-in-law, and they went on the way to return to the land of Judah. 
RUT.1.8	But Naomi said to her two daughters-in-law, "Go, return each of you to her mother's house. May the 
RUT.1.9	The 
RUT.1.10	And they said to her, "No, we will return with you to your people." 
RUT.1.11	But Naomi said, "Turn back, my daughters; why will you go with me? Have I yet sons in my womb that they may become your husbands? 
RUT.1.12	Turn back, my daughters; go your way, for I am too old to have a husband. If I should say I have hope, even if I should have a husband this night and should bear sons, 
RUT.1.13	would you therefore wait till they were grown? Would you therefore refrain from marrying? No, my daughters, for it is exceedingly bitter to me for your sake that the hand of the 
RUT.1.14	Then they lifted up their voices and wept again. And Orpah kissed her mother-in-law, but Ruth clung to her. 
RUT.1.15	And she said, "See, your sister-in-law has gone back to her people and to her gods; return after your sister-in-law." 
RUT.1.16	But Ruth said, "Do not urge me to leave you or to return from following you. For where you go I will go, and where you lodge I will lodge. Your people shall be my people, and your God my God. 
RUT.1.17	Where you die I will die, and there will I be buried. May the 
RUT.1.18	And when Naomi saw that she was determined to go with her, she said no more. 
RUT.1.19	So the two of them went on until they came to Bethlehem. And when they came to Bethlehem, the whole town was stirred because of them. And the women said, "Is this Naomi?" 
RUT.1.20	She said to them, "Do not call me Naomi; call me Mara, for the Almighty has dealt very bitterly with me. 
RUT.1.21	I went away full, and the 
RUT.1.22	So Naomi returned, and Ruth the Moabite her daughter-in-law with her, who returned from the country of Moab. And they came to Bethlehem at the beginning of barley harvest. 
RUT.2.1	Now Naomi had a relative of her husband's, a worthy man of the clan of Elimelech, whose name was Boaz. 
RUT.2.2	And Ruth the Moabite said to Naomi, "Let me go to the field and glean among the ears of grain after him in whose sight I shall find favor." And she said to her, "Go, my daughter." 
RUT.2.3	So she set out and went and gleaned in the field after the reapers, and she happened to come to the part of the field belonging to Boaz, who was of the clan of Elimelech. 
RUT.2.4	And behold, Boaz came from Bethlehem. And he said to the reapers, "The 
RUT.2.5	Then Boaz said to his young man who was in charge of the reapers, "Whose young woman is this?" 
RUT.2.6	And the servant who was in charge of the reapers answered, "She is the young Moabite woman, who came back with Naomi from the country of Moab. 
RUT.2.7	She said, 'Please let me glean and gather among the sheaves after the reapers.' So she came, and she has continued from early morning until now, except for a short rest." 
RUT.2.8	Then Boaz said to Ruth, "Now, listen, my daughter, do not go to glean in another field or leave this one, but keep close to my young women. 
RUT.2.9	Let your eyes be on the field that they are reaping, and go after them. Have I not charged the young men not to touch you? And when you are thirsty, go to the vessels and drink what the young men have drawn." 
RUT.2.10	Then she fell on her face, bowing to the ground, and said to him, "Why have I found favor in your eyes, that you should take notice of me, since I am a foreigner?" 
RUT.2.11	But Boaz answered her, "All that you have done for your mother-in-law since the death of your husband has been fully told to me, and how you left your father and mother and your native land and came to a people that you did not know before. 
RUT.2.12	The 
RUT.2.13	Then she said, "I have found favor in your eyes, my lord, for you have comforted me and spoken kindly to your servant, though I am not one of your servants." 
RUT.2.14	And at mealtime Boaz said to her, "Come here and eat some bread and dip your morsel in the wine." So she sat beside the reapers, and he passed to her roasted grain. And she ate until she was satisfied, and she had some left over. 
RUT.2.15	When she rose to glean, Boaz instructed his young men, saying, "Let her glean even among the sheaves, and do not reproach her. 
RUT.2.16	And also pull out some from the bundles for her and leave it for her to glean, and do not rebuke her." 
RUT.2.17	So she gleaned in the field until evening. Then she beat out what she had gleaned, and it was about an ephah of barley. 
RUT.2.18	And she took it up and went into the city. Her mother-in-law saw what she had gleaned. She also brought out and gave her what food she had left over after being satisfied. 
RUT.2.19	And her mother-in-law said to her, "Where did you glean today? And where have you worked? Blessed be the man who took notice of you." So she told her mother-in-law with whom she had worked and said, "The man's name with whom I worked today is Boaz." 
RUT.2.20	And Naomi said to her daughter-in-law, "May he be blessed by the 
RUT.2.21	And Ruth the Moabite said, "Besides, he said to me, 'You shall keep close by my young men until they have finished all my harvest.'" 
RUT.2.22	And Naomi said to Ruth, her daughter-in-law, "It is good, my daughter, that you go out with his young women, lest in another field you be assaulted." 
RUT.2.23	So she kept close to the young women of Boaz, gleaning until the end of the barley and wheat harvests. And she lived with her mother-in-law. 
RUT.3.1	Then Naomi her mother-in-law said to her, "My daughter, should I not seek rest for you, that it may be well with you? 
RUT.3.2	Is not Boaz our relative, with whose young women you were? See, he is winnowing barley tonight at the threshing floor. 
RUT.3.3	Wash therefore and anoint yourself, and put on your cloak and go down to the threshing floor, but do not make yourself known to the man until he has finished eating and drinking. 
RUT.3.4	But when he lies down, observe the place where he lies. Then go and uncover his feet and lie down, and he will tell you what to do." 
RUT.3.5	And she replied, "All that you say I will do." 
RUT.3.6	So she went down to the threshing floor and did just as her mother-in-law had commanded her. 
RUT.3.7	And when Boaz had eaten and drunk, and his heart was merry, he went to lie down at the end of the heap of grain. Then she came softly and uncovered his feet and lay down. 
RUT.3.8	At midnight the man was startled and turned over, and behold, a woman lay at his feet! 
RUT.3.9	He said, "Who are you?" And she answered, "I am Ruth, your servant. Spread your wings over your servant, for you are a redeemer." 
RUT.3.10	And he said, "May you be blessed by the 
RUT.3.11	And now, my daughter, do not fear. I will do for you all that you ask, for all my fellow townsmen know that you are a worthy woman. 
RUT.3.12	And now it is true that I am a redeemer. Yet there is a redeemer nearer than I. 
RUT.3.13	Remain tonight, and in the morning, if he will redeem you, good; let him do it. But if he is not willing to redeem you, then, as the 
RUT.3.14	So she lay at his feet until the morning, but arose before one could recognize another. And he said, "Let it not be known that the woman came to the threshing floor." 
RUT.3.15	And he said, "Bring the garment you are wearing and hold it out." So she held it, and he measured out six measures of barley and put it on her. Then she went into the city. 
RUT.3.16	And when she came to her mother-in-law, she said, "How did you fare, my daughter?" Then she told her all that the man had done for her, 
RUT.3.17	saying, "These six measures of barley he gave to me, for he said to me, 'You must not go back empty-handed to your mother-in-law.'" 
RUT.3.18	She replied, "Wait, my daughter, until you learn how the matter turns out, for the man will not rest but will settle the matter today." 
RUT.4.1	Now Boaz had gone up to the gate and sat down there. And behold, the redeemer, of whom Boaz had spoken, came by. So Boaz said, "Turn aside, friend; sit down here." And he turned aside and sat down. 
RUT.4.2	And he took ten men of the elders of the city and said, "Sit down here." So they sat down. 
RUT.4.3	Then he said to the redeemer, "Naomi, who has come back from the country of Moab, is selling the parcel of land that belonged to our relative Elimelech. 
RUT.4.4	So I thought I would tell you of it and say, 'Buy it in the presence of those sitting here and in the presence of the elders of my people.' If you will redeem it, redeem it. But if you will not, tell me, that I may know, for there is no one besides you to redeem it, and I come after you." And he said, "I will redeem it." 
RUT.4.5	Then Boaz said, "The day you buy the field from the hand of Naomi, you also acquire Ruth the Moabite, the widow of the dead, in order to perpetuate the name of the dead in his inheritance." 
RUT.4.6	Then the redeemer said, "I cannot redeem it for myself, lest I impair my own inheritance. Take my right of redemption yourself, for I cannot redeem it." 
RUT.4.7	Now this was the custom in former times in Israel concerning redeeming and exchanging: to confirm a transaction, the one drew off his sandal and gave it to the other, and this was the manner of attesting in Israel. 
RUT.4.8	So when the redeemer said to Boaz, "Buy it for yourself," he drew off his sandal. 
RUT.4.9	Then Boaz said to the elders and all the people, "You are witnesses this day that I have bought from the hand of Naomi all that belonged to Elimelech and all that belonged to Chilion and to Mahlon. 
RUT.4.10	Also Ruth the Moabite, the widow of Mahlon, I have bought to be my wife, to perpetuate the name of the dead in his inheritance, that the name of the dead may not be cut off from among his brothers and from the gate of his native place. You are witnesses this day." 
RUT.4.11	Then all the people who were at the gate and the elders said, "We are witnesses. May the 
RUT.4.12	and may your house be like the house of Perez, whom Tamar bore to Judah, because of the offspring that the 
RUT.4.13	So Boaz took Ruth, and she became his wife. And he went in to her, and the 
RUT.4.14	Then the women said to Naomi, "Blessed be the 
RUT.4.15	He shall be to you a restorer of life and a nourisher of your old age, for your daughter-in-law who loves you, who is more to you than seven sons, has given birth to him." 
RUT.4.16	Then Naomi took the child and laid him on her lap and became his nurse. 
RUT.4.17	And the women of the neighborhood gave him a name, saying, "A son has been born to Naomi." They named him Obed. He was the father of Jesse, the father of David. 
RUT.4.18	Now these are the generations of Perez: Perez fathered Hezron, 
RUT.4.19	Hezron fathered Ram, Ram fathered Amminadab, 
RUT.4.20	Amminadab fathered Nahshon, Nahshon fathered Salmon, 
RUT.4.21	Salmon fathered Boaz, Boaz fathered Obed, 
RUT.4.22	Obed fathered Jesse, and Jesse fathered David. 
1SA.1.1	There was a certain man of Ramathaim-zophim of the hill country of Ephraim whose name was Elkanah the son of Jeroham, son of Elihu, son of Tohu, son of Zuph, an Ephrathite. 
1SA.1.2	He had two wives. The name of the one was Hannah, and the name of the other, Peninnah. And Peninnah had children, but Hannah had no children. 
1SA.1.3	Now this man used to go up year by year from his city to worship and to sacrifice to the 
1SA.1.4	On the day when Elkanah sacrificed, he would give portions to Peninnah his wife and to all her sons and daughters. 
1SA.1.5	But to Hannah he gave a double portion, because he loved her, though the 
1SA.1.6	And her rival used to provoke her grievously to irritate her, because the 
1SA.1.7	So it went on year by year. As often as she went up to the house of the 
1SA.1.8	And Elkanah, her husband, said to her, "Hannah, why do you weep? And why do you not eat? And why is your heart sad? Am I not more to you than ten sons?" 
1SA.1.9	After they had eaten and drunk in Shiloh, Hannah rose. Now Eli the priest was sitting on the seat beside the doorpost of the temple of the 
1SA.1.10	She was deeply distressed and prayed to the 
1SA.1.11	And she vowed a vow and said, "O 
1SA.1.12	As she continued praying before the 
1SA.1.13	Hannah was speaking in her heart; only her lips moved, and her voice was not heard. Therefore Eli took her to be a drunken woman. 
1SA.1.14	And Eli said to her, "How long will you go on being drunk? Put your wine away from you." 
1SA.1.15	But Hannah answered, "No, my lord, I am a woman troubled in spirit. I have drunk neither wine nor strong drink, but I have been pouring out my soul before the 
1SA.1.16	Do not regard your servant as a worthless woman, for all along I have been speaking out of my great anxiety and vexation." 
1SA.1.17	Then Eli answered, "Go in peace, and the God of Israel grant your petition that you have made to him." 
1SA.1.18	And she said, "Let your servant find favor in your eyes." Then the woman went her way and ate, and her face was no longer sad. 
1SA.1.19	They rose early in the morning and worshiped before the 
1SA.1.20	And in due time Hannah conceived and bore a son, and she called his name Samuel, for she said, "I have asked for him from the 
1SA.1.21	The man Elkanah and all his house went up to offer to the 
1SA.1.22	But Hannah did not go up, for she said to her husband, "As soon as the child is weaned, I will bring him, so that he may appear in the presence of the 
1SA.1.23	Elkanah her husband said to her, "Do what seems best to you; wait until you have weaned him; only, may the 
1SA.1.24	And when she had weaned him, she took him up with her, along with a three-year-old bull, an ephah of flour, and a skin of wine, and she brought him to the house of the 
1SA.1.25	Then they slaughtered the bull, and they brought the child to Eli. 
1SA.1.26	And she said, "Oh, my lord! As you live, my lord, I am the woman who was standing here in your presence, praying to the 
1SA.1.27	For this child I prayed, and the 
1SA.1.28	Therefore I have lent him to the 
1SA.1.28	And he worshiped the 
1SA.2.1	And Hannah prayed and said, 
1SA.2.1	"My heart exults in the 
1SA.2.1	my horn is exalted in the 
1SA.2.1	My mouth derides my enemies,
1SA.2.1	because I rejoice in your salvation.
1SA.2.2	 "There is none holy like the 
1SA.2.2	for there is none besides you;
1SA.2.2	there is no rock like our God.
1SA.2.3	 Talk no more so very proudly,
1SA.2.3	let not arrogance come from your mouth;
1SA.2.3	for the 
1SA.2.3	and by him actions are weighed.
1SA.2.4	 The bows of the mighty are broken,
1SA.2.4	but the feeble bind on strength.
1SA.2.5	 Those who were full have hired themselves out for bread,
1SA.2.5	but those who were hungry have ceased to hunger.
1SA.2.5	The barren has borne seven,
1SA.2.5	but she who has many children is forlorn.
1SA.2.6	 The 
1SA.2.6	he brings down to Sheol and raises up.
1SA.2.7	 The 
1SA.2.7	he brings low and he exalts.
1SA.2.8	 He raises up the poor from the dust;
1SA.2.8	he lifts the needy from the ash heap
1SA.2.8	to make them sit with princes
1SA.2.8	and inherit a seat of honor.
1SA.2.8	For the pillars of the earth are the 
1SA.2.8	and on them he has set the world.
1SA.2.9	 "He will guard the feet of his faithful ones,
1SA.2.9	but the wicked shall be cut off in darkness,
1SA.2.9	for not by might shall a man prevail.
1SA.2.10	 The adversaries of the 
1SA.2.10	against them he will thunder in heaven.
1SA.2.10	The 
1SA.2.10	he will give strength to his king
1SA.2.10	and exalt the horn of his anointed."
1SA.2.11	Then Elkanah went home to Ramah. And the boy was ministering to the 
1SA.2.12	Now the sons of Eli were worthless men. They did not know the 
1SA.2.13	The custom of the priests with the people was that when any man offered sacrifice, the priest's servant would come, while the meat was boiling, with a three-pronged fork in his hand, 
1SA.2.14	and he would thrust it into the pan or kettle or cauldron or pot. All that the fork brought up the priest would take for himself. This is what they did at Shiloh to all the Israelites who came there. 
1SA.2.15	Moreover, before the fat was burned, the priest's servant would come and say to the man who was sacrificing, "Give meat for the priest to roast, for he will not accept boiled meat from you but only raw." 
1SA.2.16	And if the man said to him, "Let them burn the fat first, and then take as much as you wish," he would say, "No, you must give it now, and if not, I will take it by force." 
1SA.2.17	Thus the sin of the young men was very great in the sight of the 
1SA.2.18	Samuel was ministering before the 
1SA.2.19	And his mother used to make for him a little robe and take it to him each year when she went up with her husband to offer the yearly sacrifice. 
1SA.2.20	Then Eli would bless Elkanah and his wife, and say, "May the 
1SA.2.21	Indeed the 
1SA.2.22	Now Eli was very old, and he kept hearing all that his sons were doing to all Israel, and how they lay with the women who were serving at the entrance to the tent of meeting. 
1SA.2.23	And he said to them, "Why do you do such things? For I hear of your evil dealings from all these people. 
1SA.2.24	No, my sons; it is no good report that I hear the people of the 
1SA.2.25	If someone sins against a man, God will mediate for him, but if someone sins against the 
1SA.2.26	Now the boy Samuel continued to grow both in stature and in favor with the 
1SA.2.27	And there came a man of God to Eli and said to him, "Thus says the 
1SA.2.28	Did I choose him out of all the tribes of Israel to be my priest, to go up to my altar, to burn incense, to wear an ephod before me? I gave to the house of your father all my offerings by fire from the people of Israel. 
1SA.2.29	Why then do you scorn my sacrifices and my offerings that I commanded for my dwelling, and honor your sons above me by fattening yourselves on the choicest parts of every offering of my people Israel?' 
1SA.2.30	Therefore the 
1SA.2.31	Behold, the days are coming when I will cut off your strength and the strength of your father's house, so that there will not be an old man in your house. 
1SA.2.32	Then in distress you will look with envious eye on all the prosperity that shall be bestowed on Israel, and there shall not be an old man in your house forever. 
1SA.2.33	The only one of you whom I shall not cut off from my altar shall be spared to weep his eyes out to grieve his heart, and all the descendants of your house shall die by the sword of men. 
1SA.2.34	And this that shall come upon your two sons, Hophni and Phinehas, shall be the sign to you: both of them shall die on the same day. 
1SA.2.35	And I will raise up for myself a faithful priest, who shall do according to what is in my heart and in my mind. And I will build him a sure house, and he shall go in and out before my anointed forever. 
1SA.2.36	And everyone who is left in your house shall come to implore him for a piece of silver or a loaf of bread and shall say, "Please put me in one of the priests' places, that I may eat a morsel of bread."'" 
1SA.3.1	Now the boy Samuel was ministering to the 
1SA.3.2	At that time Eli, whose eyesight had begun to grow dim so that he could not see, was lying down in his own place. 
1SA.3.3	The lamp of God had not yet gone out, and Samuel was lying down in the temple of the 
1SA.3.4	Then the 
1SA.3.5	and ran to Eli and said, "Here I am, for you called me." But he said, "I did not call; lie down again." So he went and lay down. 
1SA.3.6	And the 
1SA.3.7	Now Samuel did not yet know the 
1SA.3.8	And the 
1SA.3.9	Therefore Eli said to Samuel, "Go, lie down, and if he calls you, you shall say, 'Speak, 
1SA.3.10	And the 
1SA.3.11	Then the 
1SA.3.12	On that day I will fulfill against Eli all that I have spoken concerning his house, from beginning to end. 
1SA.3.13	And I declare to him that I am about to punish his house forever, for the iniquity that he knew, because his sons were blaspheming God, and he did not restrain them. 
1SA.3.14	Therefore I swear to the house of Eli that the iniquity of Eli's house shall not be atoned for by sacrifice or offering forever." 
1SA.3.15	Samuel lay until morning; then he opened the doors of the house of the 
1SA.3.16	But Eli called Samuel and said, "Samuel, my son." And he said, "Here I am." 
1SA.3.17	And Eli said, "What was it that he told you? Do not hide it from me. May God do so to you and more also if you hide anything from me of all that he told you." 
1SA.3.18	So Samuel told him everything and hid nothing from him. And he said, "It is the 
1SA.3.19	And Samuel grew, and the 
1SA.3.20	And all Israel from Dan to Beersheba knew that Samuel was established as a prophet of the 
1SA.3.21	And the 
1SA.4.1	And the word of Samuel came to all Israel. 
1SA.4.1	Now Israel went out to battle against the Philistines. They encamped at Ebenezer, and the Philistines encamped at Aphek. 
1SA.4.2	The Philistines drew up in line against Israel, and when the battle spread, Israel was defeated before the Philistines, who killed about four thousand men on the field of battle. 
1SA.4.3	And when the people came to the camp, the elders of Israel said, "Why has the 
1SA.4.4	So the people sent to Shiloh and brought from there the ark of the covenant of the 
1SA.4.5	As soon as the ark of the covenant of the 
1SA.4.6	And when the Philistines heard the noise of the shouting, they said, "What does this great shouting in the camp of the Hebrews mean?" And when they learned that the ark of the 
1SA.4.7	the Philistines were afraid, for they said, "A god has come into the camp." And they said, "Woe to us! For nothing like this has happened before. 
1SA.4.8	Woe to us! Who can deliver us from the power of these mighty gods? These are the gods who struck the Egyptians with every sort of plague in the wilderness. 
1SA.4.9	Take courage, and be men, O Philistines, lest you become slaves to the Hebrews as they have been to you; be men and fight." 
1SA.4.10	So the Philistines fought, and Israel was defeated, and they fled, every man to his home. And there was a very great slaughter, for thirty thousand foot soldiers of Israel fell. 
1SA.4.11	And the ark of God was captured, and the two sons of Eli, Hophni and Phinehas, died. 
1SA.4.12	A man of Benjamin ran from the battle line and came to Shiloh the same day, with his clothes torn and with dirt on his head. 
1SA.4.13	When he arrived, Eli was sitting on his seat by the road watching, for his heart trembled for the ark of God. And when the man came into the city and told the news, all the city cried out. 
